a	a˧˥
gang thép	ɣaŋ˧˥ tʰɛp˦˥
gang trắng	ɣaŋ˧˥ ʈăŋ˩˧
gang tấc	ɣaŋ˧˥ tɤ̆k˦˥
gang xám	ɣaŋ˧˥ sam˩˧
ganh	ɣan˧˥
ganh ghét	ɣan˧˥ ɣɛk˦˥
ganh ghẻ	ɣan˧˥ ɣɛ˧˩˨
ganh gổ	ɣan˧˥ ɣo˧˩˨
ganh tị	ɣan˧˥ ti˨ˀ˩ʔ
ganh ăn	ɣan˧˥ ăŋ˧˥
ganh đua	ɣan˧˥ duə˧˥
gau gáu	ɣăw˧˥ ɣăw˩˧
gay	ɣăj˧˥
gay cấn	ɣăj˧˥ kɤ̆ŋ˩˧
gay gay	ɣăj˧˥ ɣăj˧˥
gay go	ɣăj˧˥ ɣɔ˧˥
gay gắt	ɣăj˧˥ ɣăk˦˥
gay ác	ɣăj˧˥ ak˦˥
ge	ɣɛ˧˥
ge-la-tin	ɣɛ˧˥-la˧˥-tin˧˥
ge-ma-ni	ɣɛ˧˥-ma˧˥-ni˧˥
gen	ɣɛŋ˧˥
ghe	ɣɛ˧˥
ghe bản lồng	ɣɛ˧˥ baŋ˧˩˨ loŋ͡m˦˨
ghe bầu	ɣɛ˧˥ bɤ̆w˦˨
ghe chài	ɣɛ˧˥ caj˦˨
ghe cộ	ɣɛ˧˥ ko˨ˀ˩ʔ
ghe cửa	ɣɛ˧˥ kɯə˧˩˨
ghe hầu	ɣɛ˧˥ hɤ̆w˦˨
ghe lườn	ɣɛ˧˥ lɯəŋ˦˨
ghe mành	ɣɛ˧˥ man˦˨
ghe phen	ɣɛ˧˥ fɛŋ˧˥
ghen	ɣɛŋ˧˥
ghen bóng ghen gió	ɣɛŋ˧˥ bɔŋ͡m˩˧ ɣɛŋ˧˥ jɔ˩˧
ghen ghét	ɣɛŋ˧˥ ɣɛk˦˥
ghen lồng ghen lộn	ɣɛŋ˧˥ loŋ͡m˦˨ ɣɛŋ˧˥ loŋ͡m˨ˀ˩ʔ
ghen ngược	ɣɛŋ˧˥ ŋɯək˨ˀ˩ʔ
ghen sắc ghen tài	ɣɛŋ˧˥ ʂăk˦˥ ɣɛŋ˧˥ taj˦˨
ghen tuông	ɣɛŋ˧˥ tuəŋ˧˥
ghen tài ghen sắc	ɣɛŋ˧˥ taj˦˨ ɣɛŋ˧˥ ʂăk˦˥
ghen tị	ɣɛŋ˧˥ ti˨ˀ˩ʔ
ghen tức	ɣɛŋ˧˥ tɯk˦˥
ghen ăn	ɣɛŋ˧˥ ăŋ˧˥
ghen ăn ghét ở	ɣɛŋ˧˥ ăŋ˧˥ ɣɛk˦˥ ɤ˧˩˨
ghen ăn tức ở	ɣɛŋ˧˥ ăŋ˧˥ tɯk˦˥ ɤ˧˩˨
ghi	ɣi˧˥
ghi bàn	ɣi˧˥ baŋ˦˨
ghi chép	ɣi˧˥ cɛp˦˥
ghi chú	ɣi˧˥ cu˩˧
ghi công	ɣi˧˥ koŋ͡m˧˥
ghi hình	ɣi˧˥ hin˦˨
ghi lò	ɣi˧˥ lɔ˦˨
ghi lòng	ɣi˧˥ lɔŋ͡m˦˨
ghi lòng tạc dạ	ɣi˧˥ lɔŋ͡m˦˨ tak˨ˀ˩ʔ ja˨ˀ˩ʔ
ghi nhận	ɣi˧˥ ɲɤ̆ŋ˨ˀ˩ʔ
ghi nhớ	ɣi˧˥ ɲɤ˩˧
ghi rõ	ɣi˧˥ ʐɔ˧˩˨
ghi số tự nhiên	ɣi˧˥ ʂo˩˧ tɯ˨ˀ˩ʔ ɲiəŋ˧˥
ghi ta	ɣi˧˥ ta˧˥
ghi tên	ɣi˧˥ ten˧˥
ghi tạc	ɣi˧˥ tak˨ˀ˩ʔ
ghi xương khắc cốt	ɣi˧˥ sɯəŋ˧˥ xăk˦˥ kok͡p˦˥
ghi âm	ɣi˧˥ ɤ̆m˧˥
ghi ý	ɣi˧˥ i˩˧
ghi đông	ɣi˧˥ doŋ͡m˧˥
ghi-sê	ɣi˧˥-ʂe˧˥
ghi-ta	ɣi˧˥-ta˧˥
ghi-đông	ɣi˧˥-doŋ͡m˧˥
ghim	ɣim˧˥
ghim băng	ɣim˧˥ băŋ˧˥
ghin-de	ɣin˧˥-jɛ˧˥
ghiền	ɣiəŋ˦˨
ghiền gập	ɣiəŋ˦˨ ɣɤ̆p˨ˀ˩ʔ
ghè	ɣɛ˦˨
ghèn	ɣɛŋ˦˨
ghèn cháo	ɣɛŋ˦˨ caw˩˧
ghé	ɣɛ˩˧
ghé gẩm	ɣɛ˩˧ ɣɤ̆m˧˩˨
ghé lưng	ɣɛ˩˧ lɯŋ˧˥
ghé mắt	ɣɛ˩˧ măk˦˥
ghé nón	ɣɛ˩˧ nɔŋ͡m˩˧
ghé tai	ɣɛ˩˧ taj˧˥
ghé vai	ɣɛ˩˧ jaj˧˥
ghém	ɣɛm˩˧
ghép	ɣɛp˦˥
ghép cặp	ɣɛp˦˥ kăp˨ˀ˩ʔ
ghép mộng	ɣɛp˦˥ moŋ͡m˨ˀ˩ʔ
ghép nối	ɣɛp˦˥ noj˩˧
ghép sau	ɣɛp˦˥ ʂăw˧˥
ghép trước	ɣɛp˦˥ ʈɯək˦˥
ghép vần	ɣɛp˦˥ jɤ̆ŋ˦˨
ghép đôi	ɣɛp˦˥ doj˧˥
ghét	ɣɛk˦˥
ghét bỏ	ɣɛk˦˥ bɔ˧˩˨
ghét cay ghét đắng	ɣɛk˦˥ kăj˧˥ ɣɛk˦˥ dăŋ˩˧
ghét guổng	ɣɛk˦˥ ɣuəŋ˧˩˨
ghét gúa	ɣɛk˦˥ ɣuə˩˧
ghét gủa	ɣɛk˦˥ ɣuə˧˩˨
ghét mặt	ɣɛk˦˥ măk˨ˀ˩ʔ
ghét ngon ghét ngọt	ɣɛk˦˥ ŋɔŋ͡m˧˥ ɣɛk˦˥ ŋɔk͡p˨ˀ˩ʔ
ghét người	ɣɛk˦˥ ŋɯəj˦˨
ghét người yêu của	ɣɛk˦˥ ŋɯəj˦˨ iəw˧˥ kuə˧˩˨
ghét đào đất đổ đi	ɣɛk˦˥ daw˦˨ dɤ̆k˦˥ do˧˩˨ di˧˥
ghét đắng ghét cay	ɣɛk˦˥ dăŋ˩˧ ɣɛk˦˥ kăj˧˥
ghê	ɣe˧˥
ghê ghê	ɣe˧˥ ɣe˧˥
ghê gớm	ɣe˧˥ ɣɤm˩˧
ghê hồn	ɣe˧˥ hoŋ͡m˦˨
ghê người	ɣe˧˥ ŋɯəj˦˨
ghê răng	ɣe˧˥ ʐăŋ˧˥
ghê rợn	ɣe˧˥ ʐɤŋ˨ˀ˩ʔ
ghê sợ	ɣe˧˥ ʂɤ˨ˀ˩ʔ
ghê tởm	ɣe˧˥ tɤm˧˩˨
ghê xương	ɣe˧˥ sɯəŋ˧˥
ghì	ɣi˦˨
ghìm	ɣim˦˨
ghín	ɣin˩˧
ghính	ɣin˩˧
ghít	ɣit˦˥
ghẹ	ɣɛ˨ˀ˩ʔ
ghẹ gẫm	ɣɛ˨ˀ˩ʔ ɣɤ̆m˧˩˨
ghẹ ổ	ɣɛ˨ˀ˩ʔ o˧˩˨
ghẹo	ɣeo˨ˀ˩ʔ
ghẹo gái	ɣeo˨ˀ˩ʔ ɣaj˩˧
ghẹo nguyệt trêu hoa	ɣeo˨ˀ˩ʔ ŋwiək˨ˀ˩ʔ ʈɛu˧˥ hwa˧˥
ghẻ	ɣɛ˧˩˨
ghẻ chốc	ɣɛ˧˩˨ cok͡p˦˥
ghẻ cóc	ɣɛ˧˩˨ kɔk͡p˦˥
ghẻ lạnh	ɣɛ˧˩˨ lan˨ˀ˩ʔ
ghẻ lở	ɣɛ˧˩˨ lɤ˧˩˨
ghẻ nước	ɣɛ˧˩˨ nɯək˦˥
ghẻ ong	ɣɛ˧˩˨ ɔŋ͡m˧˥
ghẻ ruồi	ɣɛ˧˩˨ ʐuəj˦˨
ghẽ	ɣɛ˧˩˨
ghế	ɣe˩˧
ghế bành	ɣe˩˧ ban˦˨
ghế bành tượng	ɣe˩˧ ban˦˨ tɯəŋ˨ˀ˩ʔ
ghế băng	ɣe˩˧ băŋ˧˥
ghế bị cáo	ɣe˩˧ bi˨ˀ˩ʔ kaw˩˧
ghế bố	ɣe˩˧ bo˩˧
ghế chao	ɣe˩˧ caw˧˥
ghế dài	ɣe˩˧ jaj˦˨
ghế dựa	ɣe˩˧ jɯə˨ˀ˩ʔ
ghế gập	ɣe˩˧ ɣɤ̆p˨ˀ˩ʔ
ghế mây	ɣe˩˧ mɤ̆j˧˥
ghế ngựa	ɣe˩˧ ŋɯə˨ˀ˩ʔ
ghế phụ	ɣe˩˧ fu˨ˀ˩ʔ
ghế tréo	ɣe˩˧ ʈeo˩˧
ghế trường kỉ	ɣe˩˧ ʈɯəŋ˦˨ ki˧˩˨
ghế trường kỷ	ɣe˩˧ ʈɯəŋ˦˨ ki˧˩˨
ghế tựa	ɣe˩˧ tɯə˨ˀ˩ʔ
ghế vải	ɣe˩˧ jaj˧˩˨
ghế xoay	ɣe˩˧ swăj˧˥
ghế xích đu	ɣe˩˧ sit˦˥ du˧˥
ghế xếp	ɣe˩˧ sep˦˥
ghế điện	ɣe˩˧ diəŋ˨ˀ˩ʔ
ghế đôn	ɣe˩˧ doŋ͡m˧˥
ghế đẩu	ɣe˩˧ dɤ̆w˧˩˨
ghế đẳng	ɣe˩˧ dăŋ˧˩˨
ghếch	ɣet˦˥
ghềnh	ɣen˦˨
ghểnh	ɣen˧˩˨
ghểnh cổ	ɣen˧˩˨ ko˧˩˨
ghễnh	ɣen˧˩˨
ghệch	ɣet˨ˀ˩ʔ
ghệt	ɣet˨ˀ˩ʔ
ghịt	ɣit˨ˀ˩ʔ
gi lê	ji˧˥ le˧˥
gi-lê	ji˧˥-le˧˥
gia	ja˧˥
gia binh	ja˧˥ bin˧˥
gia biến	ja˧˥ biəŋ˩˧
gia bản	ja˧˥ baŋ˧˩˨
gia bảo	ja˧˥ baw˧˩˨
gia bộc	ja˧˥ bok͡p˨ˀ˩ʔ
gia bội	ja˧˥ boj˨ˀ˩ʔ
gia chi dĩ	ja˧˥ ci˧˥ ji˧˩˨
gia chánh	ja˧˥ can˩˧
gia chính	ja˧˥ cin˩˧
gia chủ	ja˧˥ cu˧˩˨
gia công	ja˧˥ koŋ͡m˧˥
gia cơ	ja˧˥ kɤ˧˥
gia cư	ja˧˥ kɯ˧˥
gia cường	ja˧˥ kɯəŋ˦˨
gia cảm	ja˧˥ kam˧˩˨
gia cảnh	ja˧˥ kan˧˩˨
gia cầm	ja˧˥ kɤ̆m˦˨
gia cố	ja˧˥ ko˩˧
gia cụ	ja˧˥ ku˨ˀ˩ʔ
gia dĩ	ja˧˥ ji˧˩˨
gia dụng	ja˧˥ juŋ͡m˨ˀ˩ʔ
gia giáo	ja˧˥ jaw˩˧
gia giảm	ja˧˥ jam˧˩˨
gia huynh	ja˧˥ hwin˧˥
gia huấn	ja˧˥ hwɤ̆ŋ˩˧
gia huấn ca	ja˧˥ hwɤ̆ŋ˩˧ ka˧˥
gia hào	ja˧˥ haw˦˨
gia hình	ja˧˥ hin˦˨
gia hương	ja˧˥ hɯəŋ˧˥
gia hạn	ja˧˥ haŋ˨ˀ˩ʔ
gia khách	ja˧˥ xak˦˥
gia kế	ja˧˥ ke˩˧
gia lễ	ja˧˥ le˧˩˨
gia miện	ja˧˥ miəŋ˨ˀ˩ʔ
gia nghiêm	ja˧˥ ŋiəm˧˥
gia nghiệp	ja˧˥ ŋiəp˨ˀ˩ʔ
gia nhân	ja˧˥ ɲɤ̆ŋ˧˥
gia nhập	ja˧˥ ɲɤ̆p˨ˀ˩ʔ
gia nô	ja˧˥ no˧˥
gia phong	ja˧˥ fɔŋ͡m˧˥
gia pháp	ja˧˥ fap˦˥
gia phả	ja˧˥ fa˧˩˨
gia phổ	ja˧˥ fo˧˩˨
gia quan	ja˧˥ waŋ˧˥
gia quyến	ja˧˥ wiɛŋ˩˧
gia súc	ja˧˥ ʂuk͡p˦˥
gia sư	ja˧˥ ʂɯ˧˥
gia sản	ja˧˥ ʂaŋ˧˩˨
gia số	ja˧˥ ʂo˩˧
gia sự	ja˧˥ ʂɯ˨ˀ˩ʔ
gia thanh	ja˧˥ tʰan˧˥
gia thuộc	ja˧˥ tʰuək˨ˀ˩ʔ
gia thân	ja˧˥ tʰɤ̆ŋ˧˥
gia thất	ja˧˥ tʰɤ̆k˦˥
gia thần	ja˧˥ tʰɤ̆ŋ˦˨
gia thế	ja˧˥ tʰe˩˧
gia tiên	ja˧˥ tiəŋ˧˥
gia truyền	ja˧˥ ʈwiəŋ˦˨
gia trưởng	ja˧˥ ʈɯəŋ˧˩˨
gia trạch	ja˧˥ ʈak˨ˀ˩ʔ
gia trọng	ja˧˥ ʈɔŋ͡m˨ˀ˩ʔ
gia tài	ja˧˥ taj˦˨
gia tâm	ja˧˥ tɤ̆m˧˥
gia tăng	ja˧˥ tăŋ˧˥
gia tư	ja˧˥ tɯ˧˥
gia tố	ja˧˥ to˩˧
gia tốc	ja˧˥ tok͡p˦˥
gia tốc kế	ja˧˥ tok͡p˦˥ ke˩˧
gia tộc	ja˧˥ tok͡p˨ˀ˩ʔ
gia từ	ja˧˥ tɯ˦˨
gia vận	ja˧˥ jɤ̆ŋ˨ˀ˩ʔ
gia vị	ja˧˥ ji˨ˀ˩ʔ
gia ân	ja˧˥ ɤ̆ŋ˧˥
gia đinh	ja˧˥ din˧˥
gia đình	ja˧˥ din˦˨
gia đình chủ nghĩa	ja˧˥ din˦˨ cu˧˩˨ ŋiə˧˩˨
gia đình trị	ja˧˥ din˦˨ ʈi˨ˀ˩ʔ
gia đường	ja˧˥ dɯəŋ˦˨
gia đạo	ja˧˥ daw˨ˀ˩ʔ
gia đệ	ja˧˥ de˨ˀ˩ʔ
gia đồng	ja˧˥ doŋ͡m˦˨
gia ơn	ja˧˥ ɤŋ˧˥
gia ấm	ja˧˥ ɤ̆m˩˧
gia-két	ja˧˥-kɛk˦˥
gia-rai	ja˧˥-ʐaj˧˥
gia-ven	ja˧˥-jɛŋ˧˥
giai	jaj˧˥
giai chương	jaj˧˥ cɯəŋ˧˥
giai cú	jaj˧˥ ku˩˧
giai cảnh	jaj˧˥ kan˧˩˨
giai cấp	jaj˧˥ kɤ̆p˦˥
giai cấp tính	jaj˧˥ kɤ̆p˦˥ tin˩˧
giai gái	jaj˧˥ ɣaj˩˧
giai kì	jaj˧˥ ki˦˨
giai kỳ	jaj˧˥ ki˦˨
giai lão	jaj˧˥ law˧˩˨
giai lão bách niên	jaj˧˥ law˧˩˨ bak˦˥ niəŋ˧˥
giai nhân	jaj˧˥ ɲɤ̆ŋ˧˥
giai nhân tài tử	jaj˧˥ ɲɤ̆ŋ˧˥ taj˦˨ tɯ˧˩˨
giai phẩm	jaj˧˥ fɤ̆m˧˩˨
giai sự	jaj˧˥ ʂɯ˨ˀ˩ʔ
giai thoại	jaj˧˥ tʰwaj˨ˀ˩ʔ
giai thừa	jaj˧˥ tʰɯə˦˨
giai tác	jaj˧˥ tak˦˥
giai tầng	jaj˧˥ tɤ̆ŋ˦˨
giai tằng	jaj˧˥ tăŋ˦˨
giai tế	jaj˧˥ te˩˧
giai vị	jaj˧˥ ji˨ˀ˩ʔ
giai âm	jaj˧˥ ɤ̆m˧˥
giai điệu	jaj˧˥ diəw˨ˀ˩ʔ
giai đoạn	jaj˧˥ dwaŋ˨ˀ˩ʔ
giam	jam˧˥
giam chấp	jam˧˥ cɤ̆p˦˥
giam cấm	jam˧˥ kɤ̆m˩˧
giam cầm	jam˧˥ kɤ̆m˦˨
giam cứu	jam˧˥ kɯw˩˧
giam giữ	jam˧˥ jɯ˧˩˨
giam hãm	jam˧˥ ham˧˩˨
giam hẵm	jam˧˥ hăm˧˩˨
giam lỏng	jam˧˥ lɔŋ͡m˧˩˨
gian	jaŋ˧˥
gian bào	jaŋ˧˥ baw˦˨
gian băng	jaŋ˧˥ băŋ˧˥
gian chí tuyến	jaŋ˧˥ ci˩˧ twiəŋ˩˧
gian cơ	jaŋ˧˥ kɤ˧˥
gian dâm	jaŋ˧˥ jɤ̆m˧˥
gian dối	jaŋ˧˥ joj˩˧
gian giảo	jaŋ˧˥ jaw˧˩˨
gian hiểm	jaŋ˧˥ hiəm˧˩˨
gian hoạt	jaŋ˧˥ hwak˨ˀ˩ʔ
gian hàm	jaŋ˧˥ ham˦˨
gian hàng	jaŋ˧˥ haŋ˦˨
gian hùng	jaŋ˧˥ huŋ͡m˦˨
gian khó	jaŋ˧˥ xɔ˩˧
gian khổ	jaŋ˧˥ xo˧˩˨
gian khớp	jaŋ˧˥ xɤp˦˥
gian lao	jaŋ˧˥ law˧˥
gian lận	jaŋ˧˥ lɤ̆ŋ˨ˀ˩ʔ
gian lậu	jaŋ˧˥ lɤ̆w˨ˀ˩ʔ
gian manh	jaŋ˧˥ man˧˥
gian nan	jaŋ˧˥ naŋ˧˥
gian ngoan	jaŋ˧˥ ŋwaŋ˧˥
gian nguy	jaŋ˧˥ ŋwi˧˥
gian nịnh	jaŋ˧˥ nin˨ˀ˩ʔ
gian phi	jaŋ˧˥ fi˧˥
gian phu	jaŋ˧˥ fu˧˥
gian phu dâm phụ	jaŋ˧˥ fu˧˥ jɤ̆m˧˥ fu˨ˀ˩ʔ
gian phụ	jaŋ˧˥ fu˨ˀ˩ʔ
gian tham	jaŋ˧˥ tʰam˧˥
gian thương	jaŋ˧˥ tʰɯəŋ˧˥
gian thần	jaŋ˧˥ tʰɤ̆ŋ˦˨
gian thần tặc tử	jaŋ˧˥ tʰɤ̆ŋ˦˨ tăk˨ˀ˩ʔ tɯ˧˩˨
gian truân	jaŋ˧˥ ʈwɤ̆ŋ˧˥
gian trá	jaŋ˧˥ ʈa˩˧
gian tà	jaŋ˧˥ ta˦˨
gian tình	jaŋ˧˥ tin˦˨
gian tặc	jaŋ˧˥ tăk˨ˀ˩ʔ
gian tế	jaŋ˧˥ te˩˧
gian xảo	jaŋ˧˥ saw˧˩˨
gian ác	jaŋ˧˥ ak˦˥
gian đảng	jaŋ˧˥ daŋ˧˩˨
gian địa cực	jaŋ˧˥ diə˨ˀ˩ʔ kɯk˨ˀ˩ʔ
gian địa tầng	jaŋ˧˥ diə˨ˀ˩ʔ tɤ̆ŋ˦˨
gian đốt	jaŋ˧˥ dok͡p˦˥
giang	jaŋ˧˥
giang biên	jaŋ˧˥ biəŋ˧˥
giang cảng	jaŋ˧˥ kaŋ˧˩˨
giang hà	jaŋ˧˥ ha˦˨
giang hồ	jaŋ˧˥ ho˦˨
giang hồ tứ chiếng	jaŋ˧˥ ho˦˨ tɯ˩˧ ciəŋ˩˧
giang khê	jaŋ˧˥ xe˧˥
giang khúc	jaŋ˧˥ xuk͡p˦˥
giang khẩu	jaŋ˧˥ xɤ̆w˧˩˨
giang mai	jaŋ˧˥ maj˧˥
giang mai học	jaŋ˧˥ maj˧˥ hɔk͡p˨ˀ˩ʔ
giang san	jaŋ˧˥ ʂaŋ˧˥
giang sơn	jaŋ˧˥ ʂɤŋ˧˥
giang sơn nào anh hùng ấy	jaŋ˧˥ ʂɤŋ˧˥ naw˦˨ an˧˥ huŋ͡m˦˨ ɤ̆j˩˧
giang trung	jaŋ˧˥ ʈuŋ͡m˧˥
giang tân	jaŋ˧˥ tɤ̆ŋ˧˥
giang đoàn	jaŋ˧˥ dwaŋ˦˨
giang đình	jaŋ˧˥ din˦˨
gianh	jan˧˥
giao	jaw˧˥
giao ban	jaw˧˥ baŋ˧˥
giao binh	jaw˧˥ bin˧˥
giao bái	jaw˧˥ baj˩˧
giao bóng	jaw˧˥ bɔŋ͡m˩˧
giao ca	jaw˧˥ ka˧˥
giao chiến	jaw˧˥ ciəŋ˩˧
giao cảm	jaw˧˥ kam˧˩˨
giao cảnh	jaw˧˥ kan˧˩˨
giao cấu	jaw˧˥ kɤ̆w˩˧
giao diện	jaw˧˥ jiəŋ˨ˀ˩ʔ
giao du	jaw˧˥ ju˧˥
giao duyên	jaw˧˥ jwiəŋ˧˥
giao dịch	jaw˧˥ jit˨ˀ˩ʔ
giao hiếu	jaw˧˥ hiəw˩˧
giao hoan	jaw˧˥ hwaŋ˧˥
giao hoà	jaw˧˥ hwa˦˨
giao hoàn	jaw˧˥ hwaŋ˦˨
giao hoán	jaw˧˥ hwaŋ˩˧
giao hôn	jaw˧˥ hoŋ͡m˧˥
giao hưởng	jaw˧˥ hɯəŋ˧˩˨
giao hảo	jaw˧˥ haw˧˩˨
giao hẹn	jaw˧˥ hɛŋ˨ˀ˩ʔ
giao hỗ	jaw˧˥ ho˧˩˨
giao hội	jaw˧˥ hoj˨ˀ˩ʔ
giao hợp	jaw˧˥ hɤp˨ˀ˩ʔ
giao hữu	jaw˧˥ hɯw˧˩˨
giao khoán	jaw˧˥ xwaŋ˩˧
giao kèo	jaw˧˥ keo˦˨
giao kết	jaw˧˥ ket˦˥
giao liên	jaw˧˥ liəŋ˧˥
giao loan	jaw˧˥ lwaŋ˧˥
giao long	jaw˧˥ lɔŋ͡m˧˥
giao lưu	jaw˧˥ lɯw˧˥
giao lương	jaw˧˥ lɯəŋ˧˥
giao lộ	jaw˧˥ lo˨ˀ˩ʔ
giao nhận	jaw˧˥ ɲɤ̆ŋ˨ˀ˩ʔ
giao nạp	jaw˧˥ nap˨ˀ˩ʔ
giao nộp	jaw˧˥ nop˨ˀ˩ʔ
giao phong	jaw˧˥ fɔŋ͡m˧˥
giao phó	jaw˧˥ fɔ˩˧
giao phấn	jaw˧˥ fɤ̆ŋ˩˧
giao phối	jaw˧˥ foj˩˧
giao phối học	jaw˧˥ foj˩˧ hɔk͡p˨ˀ˩ʔ
giao quân	jaw˧˥ wɤ̆ŋ˧˥
giao thiệp	jaw˧˥ tʰiəp˨ˀ˩ʔ
giao thoa	jaw˧˥ tʰwa˧˥
giao thoa (lí)	jaw˧˥ tʰwa˧˥ li˩˧
giao thoa kế	jaw˧˥ tʰwa˧˥ ke˩˧
giao thông	jaw˧˥ tʰoŋ͡m˧˥
giao thông hào	jaw˧˥ tʰoŋ͡m˧˥ haw˦˨
giao thông tĩnh	jaw˧˥ tʰoŋ͡m˧˥ tin˧˩˨
giao thương	jaw˧˥ tʰɯəŋ˧˥
giao thầu	jaw˧˥ tʰɤ̆w˦˨
giao thời	jaw˧˥ tʰɤj˦˨
giao thừa	jaw˧˥ tʰɯə˦˨
giao tiếp	jaw˧˥ tiəp˦˥
giao tranh	jaw˧˥ ʈan˧˥
giao trùng	jaw˧˥ ʈuŋ͡m˦˨
giao tuyến	jaw˧˥ twiəŋ˩˧
giao tình	jaw˧˥ tin˦˨
giao tế	jaw˧˥ te˩˧
giao tế xứ	jaw˧˥ te˩˧ sɯ˩˧
giao tử	jaw˧˥ tɯ˧˩˨
giao tử bào	jaw˧˥ tɯ˧˩˨ baw˦˨
giao tử nang	jaw˧˥ tɯ˧˩˨ naŋ˧˥
giao tử thể	jaw˧˥ tɯ˧˩˨ tʰe˧˩˨
giao viễn	jaw˧˥ jiəŋ˧˩˨
giao vĩ	jaw˧˥ ji˧˩˨
giao điểm	jaw˧˥ diəm˧˩˨
giao điện	jaw˧˥ diəŋ˨ˀ˩ʔ
giao đoan	jaw˧˥ dwaŋ˧˥
giao đàm	jaw˧˥ dam˦˨
giao đàn	jaw˧˥ daŋ˦˨
giao đãi	jaw˧˥ daj˧˩˨
giao đấu	jaw˧˥ dɤ̆w˩˧
giao ước	jaw˧˥ ɯək˦˥
giau giảu	jăw˧˥ jăw˧˩˨
gic-lơ	zit˧˥-lɤ˧˥
gie	jɛ˧˥
gien	jɛŋ˧˥
gieo	jeo˧˥
gieo cấy	jeo˧˥ kɤ̆j˩˧
gieo cầu	jeo˧˥ kɤ̆w˦˨
gieo gió gặt bão	jeo˧˥ jɔ˩˧ ɣăk˨ˀ˩ʔ baw˧˩˨
gieo lại	jeo˧˥ laj˨ˀ˩ʔ
gieo mình	jeo˧˥ min˦˨
gieo mạ còn phải kén giống	jeo˧˥ ma˨ˀ˩ʔ kɔŋ͡m˦˨ faj˧˩˨ kɛŋ˩˧ joŋ͡m˩˧
gieo neo	jeo˧˥ neo˧˥
gieo ngọc chìm châu	jeo˧˥ ŋɔk͡p˨ˀ˩ʔ cim˦˨ cɤ̆w˧˥
gieo quẻ	jeo˧˥ wɛ˧˩˨
gieo rắc	jeo˧˥ ʐăk˦˥
gieo thoi	jeo˧˥ tʰɔj˧˥
gieo thẳng	jeo˧˥ tʰăŋ˧˩˨
gieo trồng	jeo˧˥ ʈoŋ͡m˦˨
gieo vãi mạ	jeo˧˥ jaj˧˩˨ ma˨ˀ˩ʔ
gieo vần	jeo˧˥ jɤ̆ŋ˦˨
gieo đầu	jeo˧˥ dɤ̆w˦˨
gin	zin˧˥
gio	jɔ˧˥
gioi	jɔj˧˥
gion giỏn	jɔŋ͡m˧˥ jɔŋ͡m˧˩˨
giong	jɔŋ͡m˧˥
giong buồm	jɔŋ͡m˧˥ buəm˦˨
giong buồm ngược gió	jɔŋ͡m˧˥ buəm˦˨ ŋɯək˨ˀ˩ʔ jɔ˩˧
giong ruổi	jɔŋ͡m˧˥ ʐuəj˧˩˨
gioong	jɔŋ͡m˧˥
gioàng	jwaŋ˦˨
gioăng	jwăŋ˧˥
gip	zip˧˥
giu	ju˧˥
giu giú	ju˧˥ ju˩˧
giu-đô	ju˧˥-do˧˥
giua	juə˧˥
giun	juŋ͡m˧˥
giun chỉ	juŋ͡m˧˥ ci˧˩˨
giun cát	juŋ͡m˧˥ kak˦˥
giun dẹp	juŋ͡m˧˥ jɛp˨ˀ˩ʔ
giun giẹp	juŋ͡m˧˥ jɛp˨ˀ˩ʔ
giun kim	juŋ͡m˧˥ kim˧˥
giun lươn	juŋ͡m˧˥ lɯəŋ˧˥
giun móc	juŋ͡m˧˥ mɔk͡p˦˥
giun móc câu	juŋ͡m˧˥ mɔk͡p˦˥ kɤ̆w˧˥
giun nhiều tơ	juŋ͡m˧˥ ɲiəw˦˨ tɤ˧˥
giun que	juŋ͡m˧˥ wɛ˧˥
giun sán	juŋ͡m˧˥ ʂaŋ˩˧
giun tròn	juŋ͡m˧˥ ʈɔŋ͡m˦˨
giun tóc	juŋ͡m˧˥ tɔk͡p˦˥
giun vòi	juŋ͡m˧˥ jɔj˦˨
giun xanh	juŋ͡m˧˥ san˧˥
giun xoắn	juŋ͡m˧˥ swăŋ˩˧
giun ít tơ	juŋ͡m˧˥ it˦˥ tɤ˧˥
giun đũa	juŋ͡m˧˥ duə˧˩˨
giun đất	juŋ͡m˧˥ dɤ̆k˦˥
giun đốt	juŋ͡m˧˥ dok͡p˦˥
giun ống	juŋ͡m˧˥ oŋ͡m˩˧
giuộc	juək˨ˀ˩ʔ
già	ja˦˨
già chơi trống bỏi	ja˦˨ cɤj˧˥ ʈoŋ͡m˩˧ bɔj˧˩˨
già chẳng trót đời	ja˦˨ căŋ˧˩˨ ʈɔk͡p˦˥ dɤj˦˨
già câng	ja˦˨ kɤ̆ŋ˧˥
già cơ	ja˦˨ kɤ˧˥
già cả	ja˦˨ ka˧˩˨
già cấc	ja˦˨ kɤ̆k˦˥
già cốc	ja˦˨ kok͡p˦˥
già cốc đế	ja˦˨ kok͡p˦˥ de˩˧
già cỗi	ja˦˨ koj˧˩˨
già dái non hột	ja˦˨ jaj˩˧ nɔŋ͡m˧˥ hok͡p˨ˀ˩ʔ
già dặn	ja˦˨ jăŋ˨ˀ˩ʔ
già gan	ja˦˨ ɣaŋ˧˥
già giang	ja˦˨ jaŋ˧˥
già giặn	ja˦˨ jăŋ˨ˀ˩ʔ
già gừng già quế	ja˦˨ ɣɯŋ˦˨ ja˦˨ we˩˧
