a da mek	adamek
ogli	oglɪ
okor	okoɹ
okro	okɹo
olo	olo
ombl	ombl̩
onggl	oŋgl̩
onggl wan	oŋgl̩ wan
onjrid	ondʒɹid
ont	ont
ontalaji	ontaladʒi
ontin	ontin
ontruut	ontɹuːt
op	op
op tu	optu
opdiet	opdɪɛt
opinyan	opiɲan
opsaid dong	opsaɪd doŋ
orbort	oɹbort
ort	oɹt
ortkwiek	oɹtkwɪɛk
ou	ɔu
oun	ɔun
ous	ɔus
ousomeba	ɔusomeba
owad	owad
ozban	ozban
paadn	paːdn̩
paal	paːl
paaliment	paːliment
paarat	paːɹat
paas	paːs
paas dong	paːsdoŋ
paas ischri	paːs istʃɹi
paasl	paːsl̩
paasn	paːsn̩
paasteriti	paːsteɹiti
paat	paːat
paat a	paːta
paati	paːti
pachrik	patʃɹik
pahn	pã
pain	paɪn
paint	paɪnt
paip	paɪp
pakistan	pakistan
pakit	pakit
paliis	paliːs
palisi	palisi
palitikal	palitikal
palitishan	palitiʃan
palitix	palitiks
panish	panish
panish tong	paniʃtoŋ
papila	papila
papilieshan	papilɪɛʃan
papishuo	papiʃuɔ
papyulieshan	papjulɪɛʃan
pashan fruut	paʃan fɹuːt
pat	pat
pati	pati
patwa	patwa
pel	pel
pelin	pelin
pepa	pepa
picha	pitʃa
picha buk	pitʃa buk
pie	pɪɛ
pie fa	pɪɛfa
piej	pɪɛdʒ
piepa	pɪɛpa
pier	pɪɛɹ
pierans	pɪɛɹans
pieschri	pɪɛstʃɹi
pieshans	pɪɛʃans
piich patan	piːtʃ patan
piik	piːk
piika	piːka
piiki-puoki	piːkipuɔki
piil	piːl
piini	pːini
piini-waali	piːniwaːli
piipl	piːpl̩
piipl nashinal paati	piːpl̩ naʃinal paːti
piiriad	piːɹiad
piis	piːs
piita	piːta
piiz	piːz
pikni	pikni
pilikin	pilikin
pimenta	pimenta
pio	pio
pit	pit
pitieta	pitɪɛta
pitni	pitni
plaan	plaːn
plaant	plaːnt
plaantin	plaːntin
pleja	pledʒa
plie	plɪɛ
plies	plɪɛs
pliet	plɪɛt
plit	plit
plom	plom
poblik	poblik
poblikieshan	poblikɪɛʃan
poblish	pobliʃ
poblisha	pobliʃa
pofaam	pofaːm
poliis	poliːs
poliisman	poliːsman
politikal paati	politikal paːti
pongkin	poŋkin
ponish	poniʃ
ponishment	poniʃment
por-kiapita	poɹ kjapita
porl	poɹl
pormanent	poɹmanent
posnal	posnal
posnal infamieshan	posnal infamɪɛʃan
pospektiv	pospektiv
potenshal	potenʃal
potienin	potɪɛnin
potikila	potikila
potikyula	potikjula
powa	powa
prablem	pɹablem
praim	pɹaɪm
praim minista	pɹaɪm minista
prais	pɹaɪs
praivisi	pɹaɪvisi
prajek	pɹadʒek
pramis	pɹamis
pravins	pɹavins
pred	pɹed
preke	pɹeke
priivos	pɹiːvos
primenta	pɹimenta
prizaab	pɹizaːb
prizn	pɹizn̩
prodok	pɹodok
prodokshan	pɹodokʃan
profeshanal chrienin	pɹofeʃanal tʃɹɪɛnin
pronongx	pɹonoŋks
protek	pɹotek
protekshan	pɹotekʃan
prumuot	pɹumuɔt
pruogram	pɹuɔgɹam
pruoses	pɹuɔses
pudn	pudn̩
pumuot	pumuɔt
puo	puɔ
puohim	puɔhim
puok	puɔk
puos	puɔs
puosha	puɔʃa
puosi	puɔsi
puot	puɔt
puot antuoni	puɔt antuɔni
puot maraya	puotmaɹaja
puotlan	puɔtlan
puotmuor	puotmuoɹ
pupaa	pupaː
pus	pus
pwail	pwaɪl
pyaa-pyaa	pjaːpjaː
pyuuriti	pjuːɹɪtɪ
raa	ɹaː
raatid	ɹaːtid
raip	ɹaɪp
rais	ɹaɪs
rais ahn piiz	ɹaɪs ã piːz
rait	ɹaɪt
raita	ɹaɪta
raitn	ɹaɪtn̩
raki paint	ɹakipaɪnt
raktuon	ɹaktuɔn
rang	ɹaŋ
rang-said	ɹaŋsaɪd
raya byuuno	ɹajabjuːno
reda	ɹeda
redi	ɹedɪ
refa	ɹefa
refa tu	ɹefatu
refa tu az	ɹefatuaz
refarans	ɹefaɹans
refarans buk	ɹefaɹans buk
refrans	ɹefɹans
rekaad	ɹekaːd
rekanaiz	ɹekanaɪz
rekanaiz se	ɹekanaɪzse
rekanishan	ɹekaniʃan
respirieshan	ɹespiɹɪɛʃan
revaluushan	ɹevaluːʃan
revarii	ɹevaɹiː
revinyuu	ɹeviɲuː
riba	ɹiba
ribelyan	ɹibeljan
ridim	ɹidim
ried	ɹɪɛd
riedio	ɹɪɛdio
riek	ɹɪɛk
rielwie	ɹɪɛlwɪɛ
rielwie stieshan	ɹɪɛlwɪɛ stɪɛʃan
rien	ɹɪɛn
rienj	ɹɪɛndʒ
ries	ɹɪɛs
riesin	ɹɪɛsin
riesizim	ɹɪɛsizim
rieza	ɹɪɛza
riezn	ɹɪɛzn̩
rifaam	ɹifaːm
rifain	ɹifaɪn
rigl	ɹigl̩
riid	ɹiːd
riida	ɹiːda
riijan	ɹiːdʒan
riijanal	ɹiːdʒanal
riili	ɹiːli
riisant	ɹiːsant
riizn	ɹiːzn̩
rijais	ɹijaɪs
rilaxieshan	ɹilaksɪɛʃan
rilieshanship	ɹilɪɛʃanʃip
rilietid	ɹilɪɛtid
riliis	ɹiliːs
rilijan	ɹilidʒan
rimien	ɹimɪɛn
ripoblik	ɹipoblik
ripoblik a airilan	ɹipoblik a aɪɹilan
ripoblik a chaina	ɹipoblik a tʃaɪna
riprizent	ɹipɹizent
ris	ɹis
rispek	ɹispek
ritorn	ɹitoɹn
rivazdiel	ɹivazdɪɛl
rivuolt	ɹivuɔlt
rizaat	ɹizaːt
rizolt	ɹizolt
romantik	ɹomantik
ron	ɹon
ronawe bie	ɹonawebɪɛ
rosha	ɹoʃa
ruod	ɹuɔd
ruoman kyaklik	ɹuɔman kjaklik
ruoman kyaklik choch	ɹuɔman kjaklik tʃotʃ
ruos	ɹuɔs
ruudnis	ɹuːdnis
ruul	ɹuːl
ruut	ɹuːt
saab	saːb
saabis	saːbis
saach	saːtʃ
saadi ariebia	saːdi aɹɪɛbja
saaf	saːf
saalfish	saːlfiʃ
saaya saas	saːja saːs
sai	saɪ
saiman	saɪman
sait	saɪt
saiyans	saɪjans
sakrifais	sakɹifaɪs
salaman	salaman
samyuel	samjuel
san	san
sang	saŋ
sanja	sandʒa
santa kruuz	santakɹuːz
santapii	santapiː
sar	saɹ
saril	saɹil
sasayati	sasajati
sataya	sataja
savlamaar	savlamaːɹ
sayans	sajans
sayantis	sajantis
schraip	stʃɹaɪp
schuu	stʃuː
se	se
sebm	sebm̩
sebmt	sebm̩t
sebmtiin	sebm̩tiːn
sebn	sebn̩
sebnt	sebn̩t
sebntiin	sebn̩tiːn
sebral	sebɹal
sef	sef
sekan	sekan
sekl	sekl̩
seklment	sekl̩ment
sekshan	sekʃan
sela	sela
senchral hieja	sentʃɹalhɪɛdʒa
senchri	sentʃɹi
senit	senit
senita	senita
sens	sens
sensobl	sensobl̩
sensos	sensos
sentans	sentans
sentri	sentɹi
separieshan	sepaɹɪɛʃan
septemba	septemba
set a ruul	setaɹuːl
sexizim	seksizim
sfier	sfɪɛɹ
shaachij	ʃaːtʃɪdʒ
shaat	ʃaːt
shap	ʃap
shap-maasa	ʃapmaːsa
sheda	ʃeda
shiem	ʃɪɛm
shier	ʃɪɛɹ
shob	ʃob
shot	ʃot
shout	ʃɔut
shudn	ʃudn̩
shuga	ʃuga
shuga kien	ʃuga kɪɛn
shuo	ʃuɔ
shuor	ʃuɔɹ
shuut	ʃuːt
si	si
sib	sib
sidong	sidoŋ
sief	sɪɛf
sieka	sɪɛka
siel	sɪɛl
siem	sɪɛm
siem wie	sɪɛm wɪɛ
siem wie laka ef	sɪɛm wɪɛ laka ef
siera	sɪɛra
siev	sɪɛv
sii	siː
sii kyaptin	siː kjaptin
siikuel	siːkwel
siim	siːm
siim fi	siːmfi
siin	siːn
siis	siːs
siitorkl	siːtoɹkl̩
siizn	siːzn̩
siiznin	siːznin
sik	sɪk
silekshan	silekʃan
silvia	silvia
sin jiemz	sindʒɪɛmz
sin kiachrin	sinkjatʃɹin
sin kits ahn niivis	sinkits ã niːvis
sin luusha	sinluːʃa
sin mieri	sinmɪɛɹi
sin tamas	sintamas
sin vinsn ahn di grenidiinz	sinvinsn̩ ã di gɹenidiːnz
sing	sɪŋ
singa	siŋa
singgapuor	siŋgapuoɹ
siniek	sinɪɛk
sinieli	sɪnɪɛli
sint an	sintan
sint anju	sintandʒu
sint anz bie	sintanzbɪɛ
sint ilizibet	sintilizibet
sinting	sintiŋ
sipl	sipl̩
sista	sista
sistim	sistim
siti	siti
sitieshan	sitɪɛʃan
sitiet	sitɪɛt
sitizn	sitizn̩
sitn	sitn̩
six	siks
sixt	sikst
sixtiin	sikstiːn
skai	skaɪ
skelyan	skeljan
skuul	skuːl
skwier	skwɪɛɹ
skwier kilomita	skwɪɛɹ kilomita
slait	slaɪt
slieb	slɪɛb
sliip	sliːp
sluo	slʊo
smaal	smaːl
smadi	smadi
smadi els	smadi els
smadi uu	smadi uː
smuok	smuɔk
so langx az	solaŋksaz
sobjek	sobdʒek
sodan	sodan
sofa	sofa
sofarieshan	sofaɹɪɛʃan
sohn	sõ
sojes	sodʒes
som	som
soma	soma
somwe	somwe
sopm	sopm̩
sopraizn	sopɹaɪzn̩
sopres	sopɹes
sori kounti	soɹi kounti
sorkl	soɹkl̩
sorniem	soɹnɪɛm
sorosi	soɹosi
soroun	soɹɔun
soroun bai	soɹɔun baɪ
sostien	sostɪɛn
soua	sɔua
soun	sɔun
sout	sɔut
sout afrika	sout afɹika
sout koria	sout koɹia
soutiis	sɔutiːs
soutiis ieja	soutiːsɪɛdʒa
soutwes	sɔutwes
spais	spaɪs
spekchrom	spektʃɹom
spien	spɪɛn
spies	spɪɛs
spiishiz	spiːʃiz
spring	spɹiŋ
spring rien	spɹiŋ ɹɪɛn
spring waata	spɹiŋ waːta
spuoxman	spuɔksman
staach	staːtʃ
staam	staːm
staar	staːɹ
staar apl	staːɹ apl̩
staarfruut	staːɹ fɹuːt
staat	staːt
stail	staɪl
stie	stɪɛ
stiebl	stɪɛbl̩
stiej	stɪɛdʒ
stieshan	stɪɛʃan
stiet	stɪɛt
stietos	stɪɛtos
stiibm	stiːbm̩
stiim	stiːm
stiim powa	stiːm powa
stodi	stodi
stuon	stuɔn
suhn	sũ
suimz	suimz
suitsalan	suitsalan
sumaal	sumaːl
sumuud	sumuːd
suoja	suɔdʒa
suop	suɔp
suos	suɔs
suoshal	suɔʃal
suoshal woka	suɔʃal woka
suoviet yuunian	suovɪɛt juːnjan
susu	susu
suucha	suːtʃa
suun	suːn
suup	suːp
swiidn	swiːdn̩
swiit	swiːt
swiit pepa	swiːt pepa
swiit pitieta	swiːt pitɪɛta
swiit-swiit	swiːtswiːt
swimin	swimin
taak	taːk
taakin	taːkin
taat	taːt
taat frahn	taːt fɹã
taikl	taɪkl̩
tailan	taɪlan
taim	taɪm
talawa	talawa
tamas	tamas
tambrik	tambɹik
tambrin	tambɹin
tan	tan
tan op	tanop
tandad	tandad
tangx	taŋks
tap	tap
tapik	tapik
taya	taja
tayad	tajad
tek	tek
tek iin	tek iːn
tek kier a	tek kɪɛɹ
tek plies	tek plɪɛs
tek uoba	tek uɔba
tekniik	tekniːk
tel	tel
tel nou	tel nɔu
ten	ten
tenis	tenis
tent	tent
tenya	teɲa
terichri	teɹitʃɹi
tertiin	teɹtiːn
textail	tekstaɪl
tide	tide
tiebl	tɪɛbl̩
tiel	tɪɛl
ties	tɪɛs
tieta	tɪɛta
tigeda	tigeda
tii	tiː
tiich	tiːtʃ
tiif	tiːf
tiit	tiːt
tik	tik
tingk	tiŋk
tingz	tiŋz
tiori	tioɹi
tisyu	tisju
tix	tɪks
toch	totʃ
tod	tod
todi	todi
tof	tof
ton	ton
tong	tɔŋ
torki	Toɹki
torkl	toɹkl̩
torm	toɹm
tormal	toɹmal
tornin paint	toɹnin paɪnt
torpmtaim	toɹpm̩taɪm̩
toti	totɪ
toun	tɔun
touzn	tɔuzn̩
towa	towa
towil	towil
tros	tɹos
tu	tu
tumatis	tumatis
tuo	tuɔ
tuofuu	tuɔfuː
tuon	tuɔn
tuonaliti	tuɔnaliti
tuori	tuɔɹi
tuu	tuː
tuul	tuːl
twelb	twelb
twenti	twenti
ud	ud
uman	uman
umoch	umotʃ
unu	unu
uoba	uɔba
uoba taim	uɔba taɪm
uobasior	uɔbasioɹ
uochi rayas	uotʃiɹajas
uol	uɔl
uoli	uɔli
uoliip	huɔliːp
uom	uɔm
uon	uɔn
uona	uɔna
uonaship	uɔnaʃip
uonyan	uoɲan
uopm	uɔpm̩
uopm op	uɔpm̩ op
uoshan	uɔʃan
uovn	uovn̩
uu	uː
vais	vaɪs
van	van
varayati	vaɹajati
vejitebl	vedʒitebl̩
vieri	vɪɛɹi
vietnam	vɪɛtnam
vijan	vidʒan
vik	vik
viniga	viniga
volkieno	volkɪɛno
vorjan	voɹdʒan
vowil	vowil
vuokal	vuɔkal
vuokalis	vuɔkalis
vuot	vuɔt
wa	wa
wa dehn kaal	wa dehn kaːl
waak	waːk
waal	waːl
waam	waːm
waapm	waːpm̩
waar	waːɹ
waata	waːta
wahn	wã
waidpred	waɪdpɹed
waif	waɪf
wail	waɪl
wails	waɪls
wait	waɪt
wala	wala
wan	wan
wan nex	wan neks
wan wie	wan wɪɛ
wapn-bapn	wapn̩bapn̩
was	was
wat-lef	watlef
wat-liiv	watliːv
we miin se	wemiːnse
weda	weda
wehn	wẽ
wes	wes
wes afrika	wes afɹika
wesmolan	wesmolan
westan yuurop	wɛstan juːɹop
wi	wi
wid	wid
widout	widɔut
widoutn	widɔutn̩
wie	wɪɛ
wiej	wɪɛdʒ
wiet	wɪɛt
wiik	wiːk
wiil	wiːl
winta	winta
wod	wod
wod-a-mout	wodamɔut
wok	wok
wok fuos	wok fuɔs
woka	woka
woklis	woklis
wol	wol
wori	woɹi
worom	woɹom
wot	wot
wotlis	wotlis
wud	wud
wuol	wuɔl
ya	ja
yaad	jaːd
yaadi	jaːdi
yai	jaɪ
yam	jam
yampi	jampi
yaso	jaso
yaxep	jaksep
yeside	jeside
yong	joŋ
yu	ju
yumaniti	jumaniti
yunaitid kindom	junaɪtid kindom
yunaitid stiet	junaɪtid stɪɛt
yunivorsiti	junivoɹsiti
yuu	juː
yuukrien	juːkɹɪɛn
yuuman	juːman
yuuna	yuːna
yuuniiknis	juːniːknis
yuunyan	juːɲan
yuurop	juːɹop
yuus	juːs
yuusful	juːsful
yuusij	juːsidʒ
yuut	juːt
yuuz	juːz
zela	zela
zuu	zuː
