abadžija	âbad͡ʒija
ejakulacija	ejakulǎːt͡sija
ejakulat	ejakǔlaːt
ekavica	ěːkaʋit͡sa
ekavski	ěːkaʋski
ekavski	ěːkaʋskiː
ekipa	ekǐːpa
ekleziologija	ekleziolǒɡija
eklipsa	eklǐpsa
eklisiologija	eklisiolǒɡija
ekološki	ekǒloʃki
ekološki	ekǒloʃkiː
ekonomičan	ekonǒmit͡ʃan
ekonomično	ekonǒmit͡ʃno
ekonomski	ekǒnomski
ekonomski	ekǒnomskiː
ekosistem	ekosǐsteːm
ekosustav	ekosǔːstaʋ
ekranizacija	ekranizǎːt͡sija
eks	êks
ekscentrik	ekst͡sěntrik
ekscentričan	ekst͡sěntrit͡ʃan
ekscentrično	ekst͡sěntrit͡ʃno
ekscentričnost	ekst͡sěntrit͡ʃnoːst
ekscerpt	ěkst͡serpt
eksces	ěkst͡ses
ekser	ěkser
ekskluzivan	êkskluziːʋan
ekskluzivno	êkskluziːʋno
ekskomunikacija	ekskomunikǎːt͡sija
ekskrement	ekskrěment
ekspanzija	ekspǎnzija
ekspedicija	ekspedǐːt͡sija
ekspert	ěkspert
eksplodirati	eksplodǐːrati
eksplozivan	êksploziːʋan
eksplozivno	êksploziːʋno
eksport	ěksport
ekspresionizam	ekspresionǐzam
ekspresivan	êkspresiːʋan
ekspresivno	êkspresiːʋno
eksproprijacija	eksproprijǎːt͡sija
ekstatičan	ekstǎtit͡ʃan
ekstatično	ekstǎtit͡ʃno
ekstaza	ekstǎːza
ekstenzivan	êkstenziːʋan
ekstenzivno	êkstenziːʋno
eksterni	ěksteːrniː
ekstrakt	ěkstrakt
ekstravagantan	ekstraʋaɡǎntan
ekstravagantno	ekstraʋaɡǎntno
ekstreman	ěkstreːman
ekstremizam	ekstremǐzam
ekstremno	ěkstreːmno
ekumenizam	ekumenǐzam
ekvador	ěkʋaːdor
ekvadorac	ekʋadǒːrat͡s
ekvadorka	ekʋǎdoːrka
ekvadorski	ěkʋaːdorskiː
ekvator	ěkʋaːtor
ekvinocij	ekʋǐnoːt͡sij
ekvivalentan	ekʋiʋǎlentan
ekvivalentno	ekʋiʋǎlentno
elaborat	elabǒraːt
elastičan	elǎstit͡ʃan
elegantan	eleɡǎntan
elegantno	eleɡǎntno
elektrana	elektrǎna
elektricitet	elektrit͡sǐteːt
elektrifikacija	elektrifikǎːt͡sija
električar	elěktrit͡ʃaːr
električni	elěktrit͡ʃniː
elektroda	elektrǒːda
elektrolit	elektrǒliːt
elektroliza	elektrolǐːza
elektromagnet	elektromǎɡneːt
elektromagnetizam	elektromaɡnetǐzam
elektromagnetni	elektromǎɡneːtniː
elektromagnetski	elektromǎɡneːtskiː
elektron	elěktroːn
elektronika	elektrǒnika
elektronski	elěktroːnskiː
elektrotehnika	elektrotěxnika
elemenat	elěmenat
element	elěment
elementaran	êlementaːran
elidirati	elidǐːrati
eliksir	elǐksiːr
eliminacija	eliminǎːt͡sija
elipsa	elǐpsa
eliptičan	elǐptit͡ʃan
elitni	ěliːtniː
elizija	elǐːzija
elokvencija	elokʋěnt͡sija
elokventan	elokʋěntan
elzas	ělzas
emancipacija	emant͡sipǎːt͡sija
embrij	êmbrij
embrio	êmbrio
embrion	êmbrioːn
emigracija	emiɡrǎːt͡sija
emigrant	emǐɡrant
eminentan	eminěntan
emocija	emǒːt͡sija
emocionalan	êmot͡sionaːlan
emocionalno	êmot͡sionaːlno
emotivan	êmotiːʋan
empirijski	empǐriːjskiː
enciklopedijski	entsiklopěːdiːjski
enciklopedijski	entsiklopěːdiːjskiː
enciklopedist	ent͡siklopědist
endogamija	endoɡǎmija
energetika	enerɡětika
energija	eněrɡija
energičan	eněrɡit͡ʃan
energično	eněrɡit͡ʃno
engleska	ěnɡleːskaː
engleski	ěnɡleːski
engleski	ěnɡleːskiː
engleskinja	ěnɡleskiɲa
englez	ěnɡleːz
enigmatičan	eniɡmǎtit͡ʃan
enklava	enklǎːʋa
enklitika	enklǐtika
entomologija	entomolǒɡija
entuzijast	entuzǐjast
entuzijastičan	entuzijǎstit͡ʃan
entuzijastkinja	entuzǐjastkiɲa
entuzijazam	entuzijǎzam
eon	ěoːn
eparh	ěparx
eparhija	epǎrxija
eparhijski	epǎrxiːjskiː
epenteza	epentěːza
epidemija	epiděmija
epidemijski	epiděmiːjskiː
epifanija	epifǎnija
epigraf	epǐɡraf
epigram	epǐɡram
epikurejac	epikurěːjat͡s
epikurejski	epikǔreːjski
epikurejski	epikǔreːjskiː
epilepsija	epilěpsija
epileptičan	epilěptit͡ʃan
epileptičar	epilěptit͡ʃaːr
epileptičarka	epilěptit͡ʃaːrka
epileptički	epilěptit͡ʃkiː
epilog	epǐloɡ
epir	ěpiːr
episkop	ěpiskop
epistemolog	epistemǒloɡ
epistemologija	epistemolǒɡija
epistola	epǐstola
epitaf	epǐtaf
epitet	epǐteːt
epizoda	epizǒːda
epoha	epǒːxa
epohalan	êpoxaːlan
epruveta	epruʋěta
epsilon	ěpsiloːn
era	ěːra
erekcija	erěkt͡sija
erevan	ěreʋaːn
eritreja	eritrěːja
ermenija	ěrmeːnija
erotičan	erǒtit͡ʃan
erotski	ěrotski
erotski	ěrotskiː
erudicija	erudǐːt͡sija
erudit	erǔdiːt
erupcija	erǔpt͡sija
eruptivan	êruptiːʋan
escajg	êst͡sajɡ
esej	ěseːj
esencija	esěnt͡sija
esencijalan	êsent͡sijaːlan
esencijalno	êsent͡sijaːlno
eshatolog	esxatǒloɡ
eshatologija	esxatolǒɡija
eshatološki	esxatǒloʃkiː
eskalator	eskǎlaːtor
eskapizam	eskapǐzam
eskimski	ěskiːmskiː
esperanto	esperǎnto
esteticizam	estetit͡sǐzam
estetika	estětika
estetizam	estetǐzam
estetski	ěsteːtski
estetski	ěsteːtskiː
estonac	estǒːnat͡s
estonija	ěstoːnija
estonski	ěstoːnskiː
estuarij	estǔaːrij
etanol	etǎnoːl
etapa	etǎpa
etaža	etǎːʒa
etika	ětika
etimolog	etimǒloɡ
etimologija	etimolǒɡija
etimološki	etimǒloʃkiː
etiologija	etiolǒɡija
etiopija	etiǒpija
etiopljanin	etiǒːpʎanin
etiopski	etǐopskiː
etički	ětit͡ʃkiː
etnologija	etnolǒɡija
etnomuzikologija	etnomuzikolǒɡija
etologija	etolǒɡija
etruščanski	etrǔːʃt͡ʃanskiː
eufemizam	eufemǐzam
euforija	eufǒrija
euforičan	eufǒrit͡ʃan
euforično	eufǒrit͡ʃno
eulogija	eulǒɡija
europa	eurǒːpa
europski	ěuropski
europski	ěuropskiː
eutanazija	eutanǎːzija
evakuacija	eʋakuǎːt͡sija
evanđelje	eʋǎnd͡ʑeːʎe
evanđeoski	eʋand͡ʑeǒski
evanđeoski	eʋand͡ʑeǒskiː
eventualan	êʋentuaːlan
eventualno	êʋentuaːlno
evidentan	eʋiděntan
evidentno	eʋiděntno
evolucija	eʋolǔːt͡sija
evolucijski	eʋolǔːt͡siːjskiː
evolucionist	eʋolut͡siǒnist
evolucionizam	eʋolut͡sionǐzam
evropa	eʋrǒːpa
evropski	ěʋropski
evropski	ěʋropskiː
ezoteričan	ezotěrit͡ʃan
ezoterično	ezotěrit͡ʃno
ešarpa	ěʃaːrpa
f	f
fabrika	fǎbrika
fabrikant	fabrǐkant
fabrički	fǎbrit͡ʃkiː
fajda	fǎjda
fajerunt	fǎjerunt
fajl	fâːjl
fajront	fǎjront
fajrunt	fǎjrunt
fakat	fâkat
fakin	fǎkiːn
fakinarija	fakinǎrija
fakinariti	fakinǎːriti
fakinaža	fakinǎːʒa
fakinka	fakǐːnka
fakinski	fǎkiːnski
fakinski	fǎkiːnskiː
fakinčina	fakǐnt͡ʃina
fakinčić	fakǐnt͡ʃit͡ɕ
fakir	fǎkiːr
fakirski	fǎkiːrski
fakirski	fǎkiːrskiː
faks	fâks
faksirati	faksǐːrati
fakt	fâkt
faktičan	fǎktit͡ʃan
faktički	fǎktit͡ʃki
faktično	fǎktit͡ʃno
fakultet	fakǔlteːt
fala	fǎːla
faliti	fâliti
faličan	fǎlit͡ʃan
falos	fâlos
falset	fǎlset
falsifikacija	falsifikǎːt͡sija
falsifikat	falsifǐkaːt
falsifikator	falsifǐkaːtor
falus	fâlus
familija	fǎmiːlija
familijaran	fâmilijaːran
famozan	fâmoːzan
famozno	fâmoːzno
fanatik	fanǎtik
fanatizam	fanatǐzam
fanatičan	fanǎtit͡ʃan
fanatičnost	fanǎtit͡ʃnoːst
fanta	fâːnta
fantastičan	fantǎstit͡ʃan
fantastično	fantǎstit͡ʃno
fantazija	fǎntaːzija
fantazma	fantǎzma
fantazmagorija	fantazmaɡǒrija
fantitelj	fǎntiteʎ
fantom	fǎntoːm
faraon	farǎoːn
farba	fâːrba
farbati	fâːrbati
farma	fâːrma
farmakolog	farmakǒloɡ
farmakologija	farmakolǒɡija
farmer	fârmer
fasada	fasǎːda
fascikl	fast͡sǐkl
fascinacija	fast͡sinǎːt͡sija
fascinantan	fast͡sinǎntan
fascinirati	fast͡sinǐːrati
fatalan	fâtaːlan
fatalist	fatǎlist
fatalistički	fatalǐstit͡ʃki
fatalistički	fatalǐstit͡ʃkiː
fatalistkinja	fatǎlistkiɲa
fatalizam	fatalǐzam
fatalno	fǎtaːlno
fatum	fǎːtum
faustovski	fǎustoʋski
faustovski	fǎustoʋskiː
favorit	faʋǒriːt
fašist	fǎʃist
fašistički	faʃǐstitʃki
fašistički	faʃǐstitʃkiː
fašistkinja	fǎʃistkiɲa
fašizam	faʃǐzam
februar	fêbruaːr
februarski	fêbruarskiː
federacija	federǎːt͡sija
federalist	federǎlist
federalistički	federalǐstit͡ʃki
federalistički	federalǐstit͡ʃkiː
federalistkinja	federǎlistkiɲa
federalizam	federalǐzam
federalni	fêderaːlan
federativan	fêderatiːʋan
fekalije	fěkaːlije
felacija	felǎːt͡sija
feljton	fěʎtoːn
feministički	feminǐstitʃki
feministički	feminǐstitʃkiː
feminizam	feminǐzam
fenicija	fenǐːt͡sija
feniks	fěːniks
feničanin	fenǐːt͡ʃanin
fenički	fěniːt͡ʃkiː
fenjer	fěɲer
fenologija	fenolǒɡija
fenomenalan	fênomenaːlan
fercihtati	fert͡sǐxtati
fergismajniht	ferɡǐsmajnixt
ferije	fêːrije
ferplej	fêːrplej
fes	fês
feta	fêta
fetiš	fětiʃ
fetišizam	fetiʃǐzam
fetus	fěːtus
feudalac	feudǎːlat͡s
feudalan	fêudaːlan
feudalizam	feudalǐzam
fešta	fêʃta
fibula	fîbula
figura	fiɡǔːra
figurativan	fîɡuratiːʋan
figurativno	fîɡuratiːʋno
figurica	fiɡǔːrit͡sa
fijasko	fijǎsko
fijola	fîjola
fikcija	fǐkt͡sija
fiksan	fîksan
fil	fîl
fil	fîːl
filantrop	filǎntrop
filantropija	filantrǒpija
filantropkinja	filǎntropkiɲa
filantropski	filǎntropski
filantropski	filǎntropskiː
filc	fîlt͡s
fildiš	fǐldiʃ
fildžan	fǐld͡ʒaːn
filipini	filipǐːni
filmski	fîlmski
filmski	fîlmskiː
filogeneza	filoɡěneza
filogenija	filoɡěːnija
filolog	filǒloɡ
filologija	filolǒɡija
filološki	filǒloʃki
filološki	filǒloʃkiː
filozof	filǒzof
filtar	fǐltar
filter	fǐlter
filtrirati	filtrǐːrati
fin	fîːn
finac	fǐːnat͡s
finale	finǎːle
finalist	finǎlist
finalistkinja	finǎlistkiɲa
finalni	fǐnaːlniː
financije	finǎnt͡sije
financijski	finǎntsiːjski
financijski	finǎntsiːjskiː
financirati	finant͡sǐːrati
finansije	finǎnsije
finansijski	finǎnsiːjski
finansijski	finǎnsiːjskiː
findžan	fǐnd͡ʒaːn
finik	fǐnik
finoća	finǒt͡ɕa
finska	fîːnskaː
finski	fîːnskiː
firma	fîːrma
fisija	fǐːsija
fiskalni	fǐskaːlniː
fitilj	fǐtiːʎ
fizika	fǐzika
fiziolog	fiziǒloɡ
fiziologija	fiziolǒɡija
fiziološki	fiziǒloʃki
fiziološki	fiziǒloʃkiː
fizioterapeut	fizioterapěut
fizioterapeutkinja	fizioterapěutkiɲa
fizioterapeutski	fizioterapěutski
fizioterapeutski	fizioterapěutskiː
fizioterapija	fizioterǎpija
fizioterapijski	fizioterǎpiːjskiː
fizički	fǐzit͡ʃkiː
fišek	fǐʃek
fišeklija	fiʃěklija
fišekluk	fiʃěkluk
fištar	fîʃtar
fjaka	fjâka
fjord	fjôrd
flajš	flâjʃ
flamanski	flǎmaːnski
flamanski	flǎmaːnskiː
flatulencija	flatulěnt͡sija
flauta	flǎuta
flautaš	flaǔtist
flautist	flaǔtist
flaša	flâʃa
flaširati	flaʃǐːrati
flebitis	flebǐtis
flegma	flěɡma
flegmatičan	fleɡmǎtit͡ʃan
flegmatično	fleɡmǎtit͡ʃno
flek	flêk
fleka	flêka
fleksibilan	flêksibiːlan
fleksibilno	flêksibiːlno
fleksija	flěksija
flert	flêrt
flertovati	flêrtoʋati
flora	flôːra
florida	flǒrida
floskula	flôskula
flota	flôta
fluid	flûiːd
fluidan	flûiːdan
fluks	flûks
fluktuacija	fluktuǎːt͡sija
fluktuirati	fluktuǐːrati
fluorescencija	fluorest͡sěnt͡sija
fluorescentan	fluorest͡sěntan
fluorid	fluǒriːd
fluvijalan	flûʋijaːlan
foaje	foǎjeː
fobija	fǒbija
foka	fôka
fokus	fǒːkus
fokusirati	fokusǐːrati
folklor	fǒlkloːr
folklorist	folklǒrist
folkloristika	folklorǐstika
fon	fôːn
fondacija	fondǎːt͡sija
fonem	fǒneːm
fonemski	fǒneːmskiː
fonetički	fonětit͡ʃkiː
fonetski	fǒnetskiː
fonograf	fonǒɡraf
fonolog	fonǒloɡ
fonologija	fonolǒɡija
fonološki	fonǒloʃkiː
fontana	fǒntaːna
forint	fǒriːnt
forinta	forǐːnta
forma	fôːrma
formacija	formǎːt͡sija
formalan	fǒrmaːlan
formalist	formǎlist
formalistički	formalǐstit͡ʃki
formalizam	formalǐzam
formalno	fǒrmaːlno
formalnost	formǎːlnoːst
formant	fǒrmant
formirati	formǐːrati
formulacija	formulǎːt͡sija
formulirati	formulǐːrati
fortifikacija	fortifikǎːt͡sija
forum	fǒːrum
forši	forʃi
foršpan	fǒrʃpan
fosfor	fôsfor
fosforni	fôsfoːrniː
fosil	fǒsiːl
fosilni	fǒsiːlniː
fotka	fôtka
fotoaparat	fotoapǎraːt
fotogeničan	fotoɡěnit͡ʃan
fotograf	fotǒɡraf
fotografija	fotoɡrǎfija
fotomontaža	fotomontǎːʒa
fotoreportaža	fotoreportǎːʒa
fotoreporter	fotorepǒrteːr
fotorobot	fotorǒbot
fotosinteza	fotosintěːza
fotoćelija	fotot͡ɕělija
fragilan	frâɡiːlan
fragment	frǎɡment
fragmentaran	frâɡmentaːran
frajer	frâjer
framason	framǎsoːn
franački	frânat͡ʃkiː
francuska	frǎnt͡suːskaː
francuski	frǎntsuːski
francuski	frǎntsuːskiː
francuskinja	frǎnt͡suskiɲa
francuz	frǎnt͡suːz
fratar	frâːtar
fratricid	fratrǐt͡siːd
frazeologija	frazeolǒɡija
fregata	freɡǎta
frekventan	frekʋěntan
frend	frênd
frendica	frêndit͡sa
frenetičan	frenětit͡ʃan
freska	frêska
frigati	frîɡati
frigidan	frǐɡiːdan
frikativ	frîkatiːʋ
frikcija	frǐkt͡sija
frivolan	frîʋoːlan
frivolno	frîʋoːlno
friz	frîːz
frižider	friʒǐdeːr
frkati	fřːkati
front	frônt
frontalan	frǒntaːlan
frontalno	frǒntaːlno
fruktoza	fruktǒːza
frumantin	frumǎntiːn
frustracija	frustrǎːt͡sija
frustriran	frǔstriːran
fudbal	fûdbaːl
fudbaler	fudbǎleːr
fuj	fuj
fukara	fukǎra
fukara	fûkara
fumar	fǔmaːr
fumati	fǔmati
fundamentalan	fûndamentaːlan
fundamentalistički	fundamentalǐstit͡ʃkiː
fundamentalizam	fundamentalǐzam
funta	fûːnta
furiozan	fûrioːzan
furiozno	fûrioːzno
furnir	fǔrniːr
furundžija	furǔnd͡ʒija
fusnota	fûsnoːta
futur	fǔtuːr
futurist	futǔrist
futuristički	futurǐstit͡ʃki
futuristički	futurǐstit͡ʃkiː
futuristkinja	futǔristkiɲa
futurizam	futurǐzam
g	ɡ
gablec	ɡǎblet͡s
gabon	ɡǎboːn
gabor	ɡâːbor
gabula	ɡâbula
gadan	ɡǎdan
gaditi	ɡâditi
gaj	ɡâːj
gajba	ɡâːjba
gajde	ɡâːjde
gajica	ɡǎjit͡sa
gakati	ɡǎːkati
gaknuti	ɡǎːknuti
gaktati	ɡâktati
gal	ɡâːl
galaktika	ɡalǎktika
galama	ɡalǎːma
galamiti	ɡalǎːmiti
galantan	ɡalǎntan
galantno	ɡalǎntno
galantnost	ɡalǎntnoːst
galeb	ɡâleːb
galebica	ɡâlebit͡sa
galeblji	ɡâlebʎiː
galge	ɡâːlɡe
galica	ɡâlit͡sa
galicija	ɡǎliːt͡sija
galicijski	ɡǎliːt͡siːjskiː
galija	ɡǎlija
galjan	ɡǎʎan
galop	ɡǎlop
galski	ɡâːlskiː
galženjak	ɡalʒěɲaːk
gama	ɡâma
gamad	ɡâmaːd
gambija	ɡǎmbija
gana	ɡâna
ganac	ɡǎːnat͡s
gandža	ɡând͡ʒa
gandža	ɡâːnd͡ʒa
gangster	ɡǎnɡster
gangsterski	ɡǎnɡsterski
gangsterski	ɡǎnɡsterskiː
ganjak	ɡǎɲak
ganjati	ɡǎːɲati
ganski	ɡâːnskiː
ganuti	ɡǎnuti
ganutljiv	ɡanǔtʎiʋ
ganutljivo	ɡanǔtʎiʋo
gao	ɡâːo
garancija	ɡarǎnt͡sija
garant	ɡǎrant
garantirati	ɡarantǐːrati
garantovati	ɡǎrantoʋati
garaža	ɡarǎːʒa
garbagologija	ɡarbaɡolǒɡija
garda	ɡâːrda
garderoba	ɡarderǒːba
garnitura	ɡarnitǔːra
gas	ɡâːs
gasiti	ɡǎːsiti
gasnuti	ɡâsnuti
gat	ɡât
gavez	ɡâʋeːz
gaz	ɡâːz
gaza	ɡǎːza
gaziti	ɡâziti
gaće	ɡât͡ɕe
gaćice	ɡât͡ɕit͡se
gaćnik	ɡât͡ɕniːk
gađati	ɡǎːd͡ʑati
gađenje	ɡâd͡ʑeːɲe
gda	ɡdaː
gdaj	ɡdaːj
gde	ɡdê
gdegde	ɡděɡde
gdekad	ɡděkad
gdje	ɡdjê
gdjegdje	ɡdjěɡdje
gdjekad	ɡdjěkad
gdo	ɡdoː
gegati	ɡěːɡati
gej	ɡêːj
gejša	ɡêːjʃa
gemišt	ɡěmiʃt
genealogija	ɡenealǒɡija
generacija	ɡenerǎːt͡sija
general	ɡeněraːl
generalan	ɡêneraːlan
generalica	ɡenerǎlit͡sa
genetika	ɡenětika
genetičar	ɡenětit͡ʃaːr
genetički	ɡenětit͡ʃkiː
genij	ɡêːniːj
genijalan	ɡênijaːlan
genijalno	ɡênijaːlno
genijalnost	ɡenijǎːlnoːst
genitivni	ɡênitiːʋniː
genom	ɡěnoːm
geografija	ɡeoɡrǎfija
geografski	ɡeǒɡrafski
geografski	ɡeǒɡrafskiː
geometrijski	ɡeomětriːjskiː
geomorfologija	ɡeomorfolǒɡija
geopolitika	ɡeopolǐtika
gerijatrija	ɡerijǎtrija
gerijatrijski	ɡerijǎtriːjskiː
gerilac	ɡerǐːlat͡s
german	ɡěrmaːn
germanizirati	ɡermanizǐːrati
germanski	ɡěrmaːnskiː
gerontofobija	ɡerontofǒbija
gerontologija	ɡerontolǒɡija
geslo	ɡêslo
geto	ɡêto
getriba	ɡetrǐːba
gib	ɡîːb
gibak	ɡîbak
gibanica	ɡǐbanit͡sa
gibati	ɡǐːbati
gibraltar	ɡǐbraltaːr
gibraltarski	ɡǐbraltarskiː
gic	ɡît͡s
gica	ɡǐːt͡sa
gigabajt	ɡîɡabaːjt
gigametar	ɡîɡametar
gigant	ɡǐɡant
gigantski	ɡǐɡantskiː
giljotina	ɡǐʎotina
giljotinirati	ɡiʎotinǐːrati
gimnastika	ɡimnǎstika
gimnazija	ɡǐmnaːzija
ginekolog	ɡinekǒloɡ
ginekologija	ɡinekolǒɡija
ginekološki	ɡinekǒloʃki
ginekološki	ɡinekǒloʃkiː
gingivitis	ɡinɡiʋǐtis
ginko	ɡǐːnko
ginuti	ɡînuti
gips	ɡîps
gitarski	ɡǐtaːrskiː
glacijacija	ɡlat͡sijǎːt͡sija
glacijalan	ɡlât͡sijaːlan
glad	ɡlâːd
gladak	ɡlâdak
gladan	ɡlǎːdan
gladijator	ɡladǐjaːtor
gladijatorski	ɡladǐjaːtorski
gladijatorski	ɡladǐjaːtorskiː
gladiti	ɡlâditi
glagol	ɡlâɡol
glagolj	ɡlǎːɡoʎ
glagoljati	ɡlaɡǒʎati
glagoljaški	ɡlaɡǒʎaːʃki
glagoljaški	ɡlaɡǒʎaːʃkiː
glagoljica	ɡlaɡǒʎit͡sa
glagoljički	ɡlaɡǒʎit͡ʃkiː
glagoljski	ɡlâɡoʎskiː
glagolski	ɡlâɡolskiː
glamur	ɡlǎmuːr
glanc	ɡlânt͡s
glancati	ɡlâːnt͡sati
glas	ɡlaːs
glasan	ɡlâsan
glasati	ɡlǎsati
glasač	ɡlǎsaːt͡ʃ
glasačica	ɡlasǎt͡ʃit͡sa
glasina	ɡlǎsina
glasiti	ɡlǎːsiti
glasnik	ɡlâːsniːk
glasno	ɡlâsno
glasnogovornik	ɡlasnoɡoʋǒrniːk
glasnost	ɡlâsnoːst
glasnoća	ɡlasnǒt͡ɕa
glasonoša	ɡlasǒnoʃa
glasovati	ɡlâsoʋati
glasovir	ɡlâsoʋiːr
glasovit	ɡlasǒʋit
glava	ɡlǎːʋa
glavar	ɡlǎʋaːr
glavat	ɡlǎʋat
glavetina	ɡlaʋětina
glavešina	ɡlaʋěʃina
glavica	ɡlǎʋit͡sa
glavić	ɡlǎʋiːt͡ɕ
glavni	ɡlǎʋniː
glavnica	ɡlǎʋnit͡sa
glavnina	ɡlaʋnǐna
glavobolja	ɡlaʋǒboʎa
glavolomka	ɡlaʋǒlomka
glavonja	ɡlǎːʋoɲa
glavonožac	ɡlavonoːʒat͡s
glavonožac	ɡlavǒnoʒat͡s
glavurda	ɡlǎʋuːrda
glazba	ɡlǎzba
glazben	ɡlǎzben
glazbenica	ɡlǎzbenit͡sa
glazbenik	ɡlǎzbeniːk
gle	ɡlê
gledalac	ɡlědalat͡s
gledatelj	ɡlědateʎ
gledati	ɡlêdati
glede	ɡlêde
gledište	ɡlêdiːʃte
glečer	ɡlêt͡ʃer
gležanj	ɡlêʒaɲ
glib	ɡlîːb
glibav	ɡlîbaʋ
glibovit	ɡlibǒʋit
glicerin	ɡlit͡sěriːn
glina	ɡlǐːna
glinast	ɡlînast
glinen	ɡlǐnen
glinovit	ɡlinǒʋit
glista	ɡlǐːsta
gljivar	ɡʎǐʋaːr
globa	ɡlǒba
globalan	ɡlǒbaːlan
globalizacija	ɡlobalizǎːt͡sija
globalno	ɡlǒbaːlno
globalnost	ɡlobǎːlnoːst
globiti	ɡlǒbiti
globus	ɡlǒːbus
glodati	ɡlǒdati
glodavac	ɡlôdaʋat͡s
glodač	ɡlǒdaːt͡ʃ
glog	ɡlôɡ
glogov	ɡlǒɡoʋ
glogovik	ɡloɡǒʋiːk
glogovina	ɡlǒɡoʋina
glomazan	ɡlômaːzan
glomazno	ɡlômaːzno
glomaznost	ɡlômaːznoːst
glorificirati	ɡlorifit͡sǐːrati
glorifikacija	ɡlorifikǎːt͡sija
glosar	ɡlǒsaːr
glotalan	ɡlôtaːlan
glubina	ɡlubǐna
gluh	ɡlûːx
gluhan	ɡlǔxan
gluhonijem	ɡlûxonijeːm
gluhoća	ɡluxǒt͡ɕa
glumiti	ɡlǔːmiti
glup	ɡlûːp
glupan	ɡlǔpan
glupav	ɡlûpaʋ
glupača	ɡlǔpat͡ʃa
glupost	ɡlǔːpoːst
gluv	ɡlûːʋ
gluvoća	ɡluʋǒt͡ɕa
gmaz	ɡmâːz
gmizati	ɡmîzati
gmizavac	ɡmîzaʋat͡s
gnajs	ɡnâjs
gnevan	ɡněːʋan
gnevno	ɡnêːʋno
gnezdo	ɡněːzdo
gnijezdo	ɡnjěːzdo
gnjat	ɡɲâːt
gnjavator	ɡɲǎʋaːtor
gnjevan	ɡɲěːʋan
gnjevno	ɡɲêːʋno
gnječiti	ɡɲěːt͡ʃiti
gnjida	ɡɲîda
gnjileti	ɡɲǐːleti
gnjilež	ɡɲǐːleʒ
gnjiljeti	ɡɲǐːʎeti
gnjio	ɡɲîo
gnjiti	ɡɲîːti
gnjurac	ɡɲǔːrat͡s
gnjusan	ɡɲûsan
gnjusno	ɡɲûsno
gnoj	ɡnôːj
gnojiti	ɡnǒjiti
gnojivo	ɡnôjiːʋo
gnosticizam	ɡnostit͡sǐzam
gnusan	ɡnûsan
gnusno	ɡnûsno
go	ɡôː
god	ɡôːd
godina	ɡôdina
godinama	ɡôdinama
goditi	ɡǒditi
godišnje	ɡǒdiʃɲeː
godišnji	ɡǒdiʃɲiː
godišnjica	ɡǒdiʃɲit͡sa
gojan	ɡôːjan
gojazan	ɡôjaːzan
gojaznost	ɡôjaːznoːst
gojenac	ɡôjenat͡s
gojiti	ɡǒjiti
gol	ɡôːl
golem	ɡǒlem
golenjača	ɡolěɲat͡ʃa
golfer	ɡôlfer
golferica	ɡǒlferit͡sa
golgota	ɡǒlɡota
golicati	ɡolǐt͡sati
golišav	ɡolǐʃaʋ
golišavac	ɡolǐʃaʋat͡s
golišavo	ɡolǐʃaʋo
golišavost	ɡolǐʃaʋoːst
goljenjača	ɡoʎěɲat͡ʃa
golman	ɡôlman
golobrad	ɡolǒbrad
gologuz	ɡolǒɡuz
golotinja	ɡolǒtiɲa
golubarnik	ɡolǔbaːrniːk
golubinjak	ɡolubǐɲaːk
golubić	ɡolǔbit͡ɕ
goluždravac	ɡolǔʒdraʋat͡s
gomila	ɡǒmila
gomilati	ɡomǐlati
gondolijer	ɡondolǐjeːr
gonetati	ɡoněːtati
goniti	ɡǒniti
gonič	ɡǒniːt͡ʃ
gonoreja	ɡonorěːja
gora	ɡǒra
gorak	ɡǒːrak
goranin	ɡǒranin
gord	ɡôːrd
gordijski	ɡǒrdiːjskiː
gordo	ɡôːrdo
gordost	ɡǒːrdoːst
gore	ɡôre
gore	ɡôreː
goreti	ɡǒreti
goriv	ɡǒriʋ
gorivo	ɡôriːʋo
gorjeti	ɡǒrjeti
gorljiv	ɡǒrʎiʋ
gorljivo	ɡǒrʎiʋo
gornji	ɡôːrɲiː
gorostas	ɡôrostaːs
gorostasan	ɡôrostaːsan
gorski	ɡǒrskiː
gorušica	ɡorǔʃit͡sa
goružda	ɡǒruʒda
gorčati	ɡǒrt͡ʃati
gorčina	ɡort͡ʃǐna
gorštak	ɡǒrʃtaːk
gorštakinja	ɡorʃtǎkiɲa
gospa	ɡǒːspa
gospar	ɡǒspaːr
gospod	ɡôspod
gospoda	ɡospǒda
gospodar	ɡospǒdaːr
gospodarica	ɡospodǎrit͡sa
gospodariti	ɡospodǎːriti
gospodarski	ɡospǒdaːrskiː
gospodarstvenik	ɡospodǎrstʋeniːk
gospodarstvo	ɡospodǎːrstʋo
gospodin	ɡospǒdin
gospodična	ɡospodǐt͡ʃna
gospodnji	ɡǒspodɲiː
gospodstvo	ɡospǒdstʋo
gospođa	ɡôspod͡ʑa
gospođica	ɡôspod͡ʑit͡sa
gospoština	ɡospǒʃtina
gost	ɡôst
gost	ɡôːst
gostioničar	ɡostiǒnit͡ʃaːr
gostiti	ɡǒstiti
gostoljubiv	ɡostoʎǔbiʋ
gostoljubivo	ɡostoʎǔbiʋo
gostoljubivost	ɡostoʎǔbiʋoːst
got	ɡôt
gotica	ɡǒtit͡sa
