abbadísin	apatiːsɪn
hjólreiðamenn	çoulrɛjðamɛn
hjólreiðar	çoulreiðar
hjóls	çouls
hjólsins	çoulsɪns
hjólum	çouːlʏm
hjólunum	çouːlɔnʏm
hjón	çouːn
hjóna	çouːna
hjónaband	çouːnapant
hjónabandi	çouːnapantɪ
hjónabandinu	çouːnapantɪnʏ
hjónabandið	çouːnapantɪð
hjónabands	çouːnapants
hjónabönd	çouːnapœnt
hjónaherbergi	çouːnahɛrpɛcɪ
hjónaherberginu	çouːnahɛrpɛcɪnʏ
hjónanna	çouːnana
hjónarúminu	çouːnaruːmɪnʏ
hjónarúmið	çouːnaruːmɪð
hjónin	çouːnɪn
hjónum	çouːnʏm
hjónunum	çouːnɔnʏm
hjöllum	çœtlʏm
hjölt	çœl̥t
hjördís	çœrtis
hjördísar	çœrtisar
hjördísi	çœrtisɪ
hjörleifs	çœrleifs
hjörleifsdóttir	çœrlɛjfstouhtɪr
hjörleifsson	çœrleifsɔːn
hjörleifur	çœrleivʏr
hjört	çœr̥t
hjörts	çœr̥ts
hjörtu	çœr̥tʏ
hjörtum	çœr̥tʏm
hjörtunum	çœr̥tɔnʏm
hjörtur	çœr̥tʏr
hjörum	çœːrʏm
hjörunum	çœːrɔnʏm
hjörvar	çœrvar
hjörð	çœrð
hjörðin	çœrðɪn
hjörðina	çœrðɪna
hjörðinni	çœrðɪnɪ
hjú	çuː
hjúfra	çuvra
hjúfrað	çuvrað
hjúkkan	çuhkan
hjúkra	çuːkra
hjúkrað	çuːkrað
hjúkrun	çuːkrʏn
hjúkrunar	çuːkrʏnar
hjúkrunardeild	çuːkrʏnarteilt
hjúkrunarforstjóra	çuːkrʏnarfɔr̥stjoura
hjúkrunarforstjóri	çuːkrʏnarfɔr̥stjourɪ
hjúkrunarfræði	çuːkrʏnarfraiːðɪ
hjúkrunarfræðideild	çuːkrʏnarfrajːðɪtɛjlt
hjúkrunarfræðing	çuːkrʏnarfrajːðiŋk
hjúkrunarfræðinga	çuːkrʏnarfraiːðiŋka
hjúkrunarfræðingar	çuːkrʏnarfraiːðiŋkar
hjúkrunarfræðings	çuːkrʏnarfrajːðiŋks
hjúkrunarfræðingum	çuːkrʏnarfraiːðiŋkʏm
hjúkrunarfræðingur	çuːkrʏnarfraiːðiŋkʏr
hjúkrunarfólk	çuːkrʏnarfoul̥k
hjúkrunargreinar	çuːkrʏnarkrɛːjnar
hjúkrunargreiningu	çuːkrʏnarkrɛːjniŋkʏ
hjúkrunarheimila	çuːkrʏnarheiːmɪla
hjúkrunarheimili	çuːkrʏnarheiːmɪlɪ
hjúkrunarheimilinu	çuːkrʏnarheiːmɪlɪnʏ
hjúkrunarheimilis	çuːkrʏnarheiːmɪlɪs
hjúkrunarheimilisins	çuːkrʏnarheiːmɪlɪsɪns
hjúkrunarheimilið	çuːkrʏnarheiːmɪlɪð
hjúkrunarheimilum	çuːkrʏnarheiːmɪlʏm
hjúkrunarkona	çuːkrʏnarkʰɔːna
hjúkrunarkonan	çuːkrʏnarkʰɔːnan
hjúkrunarkonu	çuːkrʏnarkʰɔːnʏ
hjúkrunarkonuna	çuːkrʏnarkʰɔːnʏna
hjúkrunarkonur	çuːkrʏnarkʰɔːnʏr
hjúkrunarkonurnar	çuːkrʏnarkʰɔːnʏtnar
hjúkrunarráð	çuːkrʏnaraːuð
hjúkrunarrými	çuːkrʏnariːmɪ
hjúkrunarrýmum	çuːkrʏnariːmʏm
hjúpa	çuːpa
hjúpur	çuːpʏr
hjúskap	çuːskap
hjúskaparafmæli	çuːskaparamailɪ
hjúskaparstaða	çuːskaparstaːða
hk	hauːkauː
hlakka	l̥ahka
hlakkandi	l̥ahkantɪ
hlakkar	l̥ahkar
hlakkað	l̥ahkað
hlakkaði	l̥ahkaðɪ
hlamma	l̥ama
hlammaði	l̥amaðɪ
hland	l̥ant
hlandgult	l̥antkʏl̥t
hlandi	l̥antɪ
hlandið	l̥antɪð
hlandkollubletti	l̥antkʰɔtlʏplɛhtɪ
hlass	l̥as
hlaup	l̥œiːp
hlaupa	l̥œiːpa
hlaupabrautir	l̥œipaprœitɪr
hlaupabólu	l̥œipapouːlʏ
hlaupandi	l̥œiːpantɪ
hlaupanótan	l̥œiːpanouːtan
hlaupara	l̥œipara
hlaupast	l̥œiːpast
hlaupi	l̥œiːpɪ
hlaupinn	l̥œiːpɪn
hlaupinu	l̥œiːpɪnʏ
hlaupist	l̥œiːpɪst
hlaupið	l̥œiːpɪð
hlaupmiðun	l̥œipmɪðʏn
hlaupsins	l̥œipsɪns
hlauptu	l̥œiftʏ
hlaupum	l̥œiːpʏm
hlaupár	l̥œiːpaur
hlaust	l̥œist
hlaut	l̥œiːt
hlað	l̥aːð
hlaða	l̥aːða
hlaðan	l̥aːðan
hlaðast	l̥aːðast
hlaðborð	l̥aðpɔrð
hlaðborðið	l̥aðpɔrðɪð
hlaðhamar	l̥aːðhamar
hlaðhamri	l̥aːðhamrɪ
hlaðhömrum	l̥aːðhœmrʏm
hlaði	l̥aːðɪ
hlaðin	l̥aːðɪn
hlaðinn	l̥aːðɪn
hlaðinu	l̥aːðɪnʏ
hlaðið	l̥aːðɪð
hlaðna	l̥aðna
hlaðnar	l̥aðnar
hlaðnir	l̥aðnɪr
hlegið	l̥eijɪð
hleifinn	l̥ɛːjvɪn
hleina	l̥ɛːjna
hlekk	l̥ɛhk
hlekki	l̥ɛhcɪ
hlekkir	l̥ɛhcɪr
hlekkjaður	l̥ɛhcaðʏr
hlekkjum	l̥ɛhcʏm
hlekkjuð	l̥ɛhcʏð
hlekkst	l̥ɛhxst
hlekkur	l̥ɛhkʏr
hlekkurinn	l̥ɛhkʏrɪn
hlemm	l̥ɛm
hlemmi	l̥ɛmɪ
hlemminn	l̥ɛmɪn
hlemmur	l̥ɛmʏr
hlera	l̥ɛːra
hlerann	l̥ɛːran
hleranum	l̥ɛːranʏm
hlerar	l̥ɛːrar
hlerað	l̥ɛːrað
hleraði	l̥ɛːraðɪ
hleri	l̥ɛːrɪ
hlerinn	l̥ɛːrɪn
hlerum	l̥ɛːrʏm
hlerunum	l̥ɛːrɔnʏm
hlessa	l̥ɛsa
hleyp	l̥ɛːjp
hleypa	l̥eiːpa
hleypi	l̥eiːpɪ
hleypir	l̥eiːpɪr
hleypt	l̥eift
hleypti	l̥eiftɪ
hleyptu	l̥eiftʏ
hleypur	l̥eiːpʏr
hleðslu	l̥ɛðstlʏ
hleðslubúnaður	l̥ɛðstlʏpuːnaðʏr
hleðslugaffals	l̥ɛðstlʏkafals
hleðslum	l̥ɛðstlʏm
hleðslutengill	l̥ɛðstlʏtʰɛjɲcɪtl̥
hleður	l̥ɛːðʏr
hlina	l̥ɪːna
hlið	l̥ɪːð
hliða	l̥ɪːða
hliðanna	l̥ɪːðana
hliðar	l̥ɪːðar
hliðargötu	l̥ɪːðarkœːtʏ
hliðarhreyfingar	l̥ɪːðar̥ɛːjviŋkar
hliðarhreyfingum	l̥ɪːðar̥ɛːjviŋkʏm
hliðarlistunum	l̥ɪːðarlɪstɔnʏm
hliðarlínunni	l̥ɪːðarliːnʏnɪ
hliðarnar	l̥ɪːðatnar
hliðarop	l̥ɪːðarɔːp
hliðarrúða	l̥ɪːðaruːða
hliðarrúðunum	l̥ɪːðaruːðɔnʏm
hliðarspik	l̥ɪːðar̥spɪːk
hliðartösku	l̥ɪːðar̥tʰœskʏ
hliðarverkanir	l̥ɪːðarvɛr̥kanɪr
hliðarvirkjun	l̥ɪːðarvɪr̥cʏn
hliðhollir	l̥ɪːðhɔtlɪr
hliðhollur	l̥ɪːðhɔtlʏr
hliði	l̥ɪːðɪ
hliðin	l̥ɪːðɪn
hliðina	l̥ɪːðɪna
hliðinni	l̥ɪːðɪnɪ
hliðinu	l̥ɪːðɪnʏ
hliðið	l̥ɪːðɪð
hliðopi	l̥ɪːðɔpɪ
hliðrænir	l̥ɪðrajnɪr
hliðsjón	l̥ɪðsjoun
hliðsjónar	l̥ɪðsjounar
hliðstætt	l̥ɪðstaiht
hliðstæð	l̥ɪðstaið
hliðstæða	l̥ɪðstaiða
hliðstæðar	l̥ɪðstajðar
hliðstæðu	l̥ɪðstaiðʏ
hliðstæðum	l̥ɪðstaiðʏm
hliðstæður	l̥ɪðstaiðʏr
hliðum	l̥ɪːðʏm
hliðunum	l̥ɪːðɔnʏm
hljóm	l̥jouːm
hljóma	l̥jouːma
hljómalind	l̥jouːmalɪnt
hljómar	l̥jouːmar
hljómað	l̥jouːmað
hljómaði	l̥jouːmaðɪ
hljómblæbrigða	l̥joumplajprɪɣða
hljómborð	l̥joumpɔrð
hljómborðið	l̥joumpɔrðɪð
hljómbönd	l̥joumpœnt
hljómeyki	l̥jouːmeicɪ
hljómfalli	l̥joumfatlɪ
hljómflutningstæki	l̥joumflʏhtniŋkstaiːcɪ
hljómgrunn	l̥joumkrʏn
hljómi	l̥jouːmɪ
hljómkviðu	l̥joumkvɪðʏ
hljómlausri	l̥joumlœisrɪ
hljómlaust	l̥joumlœist
hljómleikaplata	l̥joumlɛjkaplaːta
hljómleikum	l̥joumleikʏm
hljómlist	l̥joumlɪst
hljómlistarmanna	l̥joumlɪstarmana
hljómlistarmaður	l̥joumlɪstarmaːðʏr
hljómmikil	l̥joumɪcɪl
hljómplötu	l̥joumplœtʏ
hljómplötum	l̥joumpʰlœtʏm
hljómplötur	l̥joumpʰlœtʏr
hljómskífa	l̥joumsciva
hljómsveit	l̥joumsveit
hljómsveita	l̥joumsveita
hljómsveitar	l̥joumsveitar
hljómsveitarinnar	l̥joumsveitarɪnar
hljómsveitarmeðlimir	l̥joumsvɛjtarmɛðlɪmɪr
hljómsveitarstjóra	l̥joumsveitarstjouːra
hljómsveitarstjóri	l̥joumsveitarstjouːrɪ
hljómsveitarstjórinn	l̥joumsveitarstjouːrɪn
hljómsveitastjóri	l̥joumsvɛjtastjouːrɪ
hljómsveitavænasta	l̥joumsvɛjtavaːjnasta
hljómsveitin	l̥joumsveitɪn
hljómsveitina	l̥joumsveitɪna
hljómsveitinni	l̥joumsveitɪnɪ
hljómsveitir	l̥joumsveitɪr
hljómsveitirnar	l̥joumsveitɪtnar
hljómsveitum	l̥joumsveitʏm
hljómtæki	l̥joumtaicɪ
hljómum	l̥jouːmʏm
hljómur	l̥jouːmʏr
hljómurinn	l̥jouːmʏrɪn
hljómuðu	l̥jouːmʏðʏ
hljóp	l̥jouːp
hljóta	l̥jouːta
hljótast	l̥jouːtast
hljóti	l̥jouːtɪ
hljótist	l̥jouːtɪst
hljótt	l̥jouht
hljótum	l̥jouːtʏm
hljóð	l̥jouːð
hljóða	l̥jouːða
hljóðalaust	l̥jouːðalœist
hljóðan	l̥jouːðan
hljóðar	l̥jouːðar
hljóðaði	l̥jouːðaðɪ
hljóðbært	l̥jouðpair̥t
hljóðeinangrunarplötum	l̥jouːðɛjnauŋkrʏnarpʰlœːtʏm
hljóðfræði	l̥jouðfraiðɪ
hljóðfæra	l̥jouðfaira
hljóðfæraleik	l̥jouðfairaleiːk
hljóðfæraleikara	l̥jouðfairaleiːkara
hljóðfæraleikarar	l̥jouðfairaleiːkarar
hljóðfæraleikur	l̥jouðfairaleiːkʏr
hljóðfæraleikurum	l̥jouðfairaleiːkʏrʏm
hljóðfæraskipan	l̥jouðfairascɪːpan
hljóðfæri	l̥jouðfairɪ
hljóðfærin	l̥jouðfairɪn
hljóðfærisins	l̥jouðfairɪsɪns
hljóðfærið	l̥jouðfairɪð
hljóðfærum	l̥jouðfairʏm
hljóðhimnurnar	l̥jouːðhɪmnʏtnar
hljóði	l̥jouːðɪ
hljóðin	l̥jouːðɪn
hljóðinu	l̥jouːðɪnʏ
hljóðið	l̥jouːðɪð
hljóðkerfi	l̥jouðcɛrvɪ
hljóðlaus	l̥jouðlœis
hljóðlaust	l̥jouðlœist
hljóðlausum	l̥jouðlœisʏm
hljóðlega	l̥jouðlɛɣa
hljóðlát	l̥jouðlaut
hljóðláta	l̥jouðlauta
hljóðlátar	l̥jouðlautar
hljóðlátt	l̥jouðlauht
hljóðlátur	l̥jouðlautʏr
hljóðnar	l̥jouðnar
hljóðnema	l̥jouðnɛma
hljóðnemann	l̥jouðnɛman
hljóðnuðu	l̥jouðnʏðʏ
hljóðri	l̥jouðrɪ
hljóðrita	l̥jouðrɪta
hljóðritanir	l̥jouðrɪtanɪr
hljóðritað	l̥jouðrɪtað
hljóðritaði	l̥jouðrɪtaðɪ
hljóðrits	l̥jouðrɪts
hljóðritun	l̥jouðrɪtʏn
hljóðs	l̥jouðs
hljóðu	l̥jouːðʏ
hljóðum	l̥jouːðʏm
hljóðunum	l̥jouːðɔnʏm
hljóður	l̥jouːðʏr
hljóðver	l̥jouðvɛr
hljóðveri	l̥jouðvɛrɪ
hljóðverinu	l̥jouðvɛrɪnʏ
hljóðvinnsla	l̥jouðvɪnstla
hljóðvinnsluforrits	l̥jouðvɪnstlʏfɔrɪts
hlotist	l̥ɔːtɪst
hlotið	l̥ɔːtɪð
hlotnast	l̥ɔhtnast
hlotnaðist	l̥ɔhtnaðɪst
hlunk	l̥uŋ̊k
hlunkast	l̥uŋ̊kast
hlunkaðist	l̥uŋ̊kaðɪst
hlunki	l̥uŋ̊cɪ
hlunkur	l̥uŋ̊kʏr
hlunnindaráðunautur	l̥ʏnɪntaraːuðʏnœitʏr
hlunnindi	l̥ʏnɪntɪ
hlupu	l̥ʏːpʏ
hlupum	l̥ʏːpʏm
hlust	l̥ʏst
hlusta	l̥ʏsta
hlustandans	l̥ʏstantans
hlustandi	l̥ʏstantɪ
hlustar	l̥ʏstar
hlustað	l̥ʏstað
hlustaði	l̥ʏstaðɪ
hlustaðir	l̥ʏstaðɪr
hlustaðu	l̥ʏstaðʏ
hlustenda	l̥ʏstɛnta
hlustendum	l̥ʏstɛntʏm
hlustendur	l̥ʏstɛntʏr
hlusti	l̥ʏstɪ
hlustir	l̥ʏstɪr
hlustirnar	l̥ʏstɪtnar
hlustið	l̥ʏstɪð
hlustum	l̥ʏstʏm
hlustun	l̥ʏstʏn
hlustunarefni	l̥ʏstʏnarɛpnɪ
hlustunarefnið	l̥ʏstʏnarɛpnɪð
hlustunaræfing	l̥ʏstʏnaraːjfiŋk
hlustuðu	l̥ʏstʏðʏ
hlustuðum	l̥ʏstʏðʏm
hlut	l̥ʏːt
hluta	l̥ʏːta
hlutabréf	l̥ʏːtaprjɛːv
hlutabréfa	l̥ʏːtaprjɛːva
hlutabréfaeign	l̥ʏːtaprjɛːvaeikn̥
hlutabréfamarkað	l̥ʏːtaprjɛːvamar̥kað
hlutabréfamarkaði	l̥ʏːtaprjɛːvamar̥kaðɪ
hlutabréfamarkaðinn	l̥ʏːtaprjɛːvamar̥kaðɪn
hlutabréfamarkaðnum	l̥ʏːtaprjɛːvamar̥kaðnʏm
hlutabréfamörkuðum	l̥ʏːtaprjɛːvamœr̥kʏðʏm
hlutabréfanna	l̥ʏːtaprjɛːvana
hlutabréfavísitalan	l̥ʏːtaprjɛːvaviːsɪtʰaːlan
hlutabréfin	l̥ʏːtaprjɛːvɪn
hlutabréfum	l̥ʏːtaprjɛːvʏm
hlutafjár	l̥ʏːtafjauːr
hlutafjáraukningu	l̥ʏːtafjaurœihkniŋkʏ
hlutafjárins	l̥ʏːtafjauːrɪns
hlutafjárútboð	l̥ʏːtafjauruːtpɔð
hlutafjárútboði	l̥ʏːtafjauruːtpɔðɪ
hlutafé	l̥ʏːtafjɛː
hlutafélag	l̥ʏːtafjɛːlaɣ
hlutafélaga	l̥ʏːtafjɛːlaɣa
hlutafélagi	l̥ʏːtafjɛːlaijɪ
hlutafélagið	l̥ʏːtafjɛːlaijɪð
hlutafélags	l̥ʏːtafjɛːlaxs
hlutafélög	l̥ʏːtafjɛːlœɣ
hlutafélögum	l̥ʏːtafjɛːlœɣʏm
hlutaféð	l̥ʏːtafjɛːð
hlutann	l̥ʏːtan
hlutanna	l̥ʏːtana
hlutanum	l̥ʏːtanʏm
hlutar	l̥ʏːtar
hlutarins	l̥ʏːtarɪns
hlutast	l̥ʏːtast
hlutastarfi	l̥ʏːtastarvɪ
hlutaðeigandi	l̥ʏːtaðeiːɣantɪ
hlutdeild	l̥ʏːteilt
hlutdeildar	l̥ʏːteiltar
hlutdeildarfélaga	l̥ʏːteiltarfjɛːlaɣa
hlutdrægni	l̥ʏːtrajknɪ
hlutfall	l̥ʏːtfatl̥
hlutfallagóð	l̥ʏːtfatlakouːð
hlutfalli	l̥ʏːtfatl̥ɪ
hlutfallið	l̥ʏːtfatl̥ɪð
hlutfallskvarða	l̥ʏːtfalskʰvarða
hlutfallslega	l̥ʏːtfatl̥stlɛɣa
hlutfallslegan	l̥ʏːtfalslɛːɣan
hlutfallslegri	l̥ʏːtfalslɛɣrɪ
hlutföll	l̥ʏːtfœtl̥
hlutföllin	l̥ʏːtfœtlɪn
hlutföllum	l̥ʏːtfœtl̥ʏm
hluthafa	l̥ʏːthava
hluthafafundar	l̥ʏːthavafʏntar
hluthafafundi	l̥ʏːthavafʏntɪ
hluthafanna	l̥ʏːthavana
hluthafar	l̥ʏːthavar
hluthafarnir	l̥ʏːthavatnɪr
hluthafi	l̥ʏːthavɪ
hluthafinn	l̥ʏːthavɪn
hluthyggja	l̥ʏːtʰhɪca
hluthöfum	l̥ʏːthœvʏm
hluti	l̥ʏːtɪ
hlutina	l̥ʏːtɪna
hlutinn	l̥ʏːtɪn
hlutir	l̥ʏːtɪr
hlutirnir	l̥ʏːtɪtnɪr
hlutkesti	l̥ʏːtcʰɛstɪ
hlutlaus	l̥ʏːtlœis
hlutlausa	l̥ʏːtlœisa
hlutlaust	l̥ʏːtlœist
hlutlausum	l̥ʏːtlœisʏm
hlutleysi	l̥ʏːtleisɪ
hlutskipti	l̥ʏːtscɪftɪ
hluttekningu	l̥ʏːtʰɛhkniŋkʏ
hlutu	l̥ʏːtʏ
hlutum	l̥ʏːtʏm
hlutunum	l̥ʏːtɔnʏm
hlutur	l̥ʏːtʏr
hluturinn	l̥ʏːtʏrɪn
hlutust	l̥ʏːtʏst
hlutverk	l̥ʏːtvɛr̥k
hlutverka	l̥ʏːtvɛr̥ka
hlutverki	l̥ʏːtvɛr̥cɪ
hlutverkin	l̥ʏːtvɛr̥cɪn
hlutverkinu	l̥ʏːtvɛr̥cɪnʏ
hlutverkið	l̥ʏːtvɛr̥cɪð
hlutverks	l̥ʏːtvɛr̥ks
hlutverkum	l̥ʏːtvɛr̥kʏm
hlykkjabraut	l̥ɪhcaprœit
hlykkjast	l̥ɪhcast
hlykkjum	l̥ɪhcʏm
hlykkjuðust	l̥ɪhcʏðʏst
hlykkjótt	l̥ɪhcouht
hlykkjótta	l̥ɪhcouhta
hlynnt	l̥ɪn̥t
hlynntir	l̥ɪn̥tɪr
hlynntur	l̥ɪn̥tʏr
hlyns	l̥ɪns
hlynur	l̥ɪːnʏr
hlyti	l̥ɪːtɪ
hlytist	l̥ɪːtɪst
hlytu	l̥ɪːtʏ
hlálegt	l̥auːlɛxt
hlátrar	l̥auːtrar
hlátrasköll	l̥auːtraskœtl̥
hlátri	l̥auːtrɪ
hlátrinum	l̥auːtrɪnʏm
hlátrum	l̥auːtrʏm
hlátur	l̥auːtʏr
hláturinn	l̥auːtʏrɪn
hláturmild	l̥auːtʏrmɪlt
hláturroku	l̥auːtʏrɔːkʏ
hláturs	l̥auːtʏr̥s
hlæ	l̥aiː
hlægileg	l̥aijɪlɛɣ
hlægilega	l̥aijɪlɛɣa
hlægilegt	l̥aijɪlɛxt
hlægilegur	l̥aijɪlɛɣʏr
hlæja	l̥aija
hlæjandi	l̥aijantɪ
hlæjum	l̥aijʏm
hlær	l̥aiːr
hlærðu	l̥airðʏ
hlé	l̥jɛː
hlédræg	l̥jɛːtraiɣ
hlédræga	l̥jɛːtraiɣa
hlédrægur	l̥jɛːtraiɣʏr
hlégarði	l̥jɛːkarðɪ
hléi	l̥jɛːɪ
hléinu	l̥jɛːɪnʏ
hlés	l̥jɛːs
hléum	l̥jɛːʏm
hlíf	l̥iːv
hlífa	l̥iːva
hlífalausir	l̥iːfalœisɪr
hlífar	l̥iːvar
hlíft	l̥ift
hlífði	l̥ivðɪ
hlífðu	l̥ivðʏ
hlín	l̥iːn
hlíta	l̥iːta
hlítar	l̥iːtar
hlíðarenda	l̥iːðarɛnta
hlíðarendi	l̥iːðarɛntɪ
hlíðarfjalli	l̥iːðarfjatlɪ
hlíðarhjalla	l̥iːðarçatla
hlíðarmenn	l̥iːðarmɛn
hlíðarnar	l̥iðatnar
hlíðarseli	l̥iðarsɛːlɪ
hlíðarsmára	l̥iðarsmauːra
hlíðartúni	l̥iːðartʰuːnɪ
hlíðarvegi	l̥iðarveijɪ
hlíðaskóla	l̥iðaskouːla
hlíðasmára	l̥iðasmauːra
hlíðina	l̥iːðɪna
hló	l̥ouː
hlógu	l̥ouːʏ
hlógum	l̥ouːʏm
hlóst	l̥oust
hlóð	l̥ouːð
hlóðir	l̥ouːðɪr
hlóðst	l̥ouðst
hlóðu	l̥ouːðʏ
hlóðum	l̥ouːðʏm
hlóðunum	l̥ouːðɔnʏm
hlóðust	l̥ouːðʏst
hlökkum	l̥œhkʏm
hlökkuðu	l̥œhkʏðʏ
hlökkuðum	l̥œhkʏðʏm
hlöllabar	l̥œlapaːr
hlöllabátur	l̥œlapaːutʏr
hlöðu	l̥œːðʏ
hlöðum	l̥œːðʏm
hlöðuna	l̥œːðʏna
hlöðunnar	l̥œːðʏnar
hlöðunni	l̥œːðʏnɪ
hlöðver	l̥œðvɛr
hlöðversdóttir	l̥œðvɛr̥stouhtɪr
hlöðversson	l̥œðvɛr̥sɔːn
hlúa	l̥uːa
hlúð	l̥uːð
hlúði	l̥uːðɪ
hlý	l̥iː
hlýddi	l̥itɪ
hlýddu	l̥itʏ
hlýddum	l̥itʏm
hlýhug	l̥iːhʏɣ
hlýir	l̥iːɪr
hlýja	l̥iːja
hlýjan	l̥iːjan
hlýjar	l̥iːjar
hlýjasta	l̥iːjasta
hlýju	l̥iːjʏ
hlýjum	l̥iːjʏm
hlýjuna	l̥iːjʏna
hlýjunni	l̥iːjʏnɪ
hlýleg	l̥iːlɛɣ
hlýlega	l̥iːlɛɣa
hlýlegt	l̥iːlɛxt
hlýlegu	l̥iːlɛɣʏ
hlýlegur	l̥iːlɛɣʏr
hlýna	l̥iːna
hlýnar	l̥iːnar
hlýnaði	l̥iːnaðɪ
hlýr	l̥iːr
hlýrra	l̥ira
hlýrri	l̥irɪ
hlýst	l̥ist
hlýt	l̥iːt
hlýtt	l̥iht
hlýtur	l̥iːtʏr
hlýturðu	l̥iːtʏrʏ
hlýða	l̥iːða
hlýði	l̥iːðɪ
hlýðin	l̥iːðɪn
hlýðir	l̥iːðɪr
hlýðið	l̥iːðɪð
hlýðni	l̥iðnɪ
hnakk	n̥ahk
hnakka	n̥ahka
hnakkann	n̥ahkan
hnakkanum	n̥ahkanʏm
hnakkefni	n̥ahkɛpnɪ
hnakki	n̥ahcɪ
hnakkinn	n̥ahcɪn
hnakknefið	n̥ahknɛːvɪð
hnapp	n̥ahp
hnappa	n̥ahpa
hnappana	n̥ahpana
hnappavöllum	n̥ahpavœtlʏm
hnappi	n̥ahpɪ
hnappinn	n̥ahpɪn
hnappur	n̥ahpʏr
hnarreist	n̥areist
hnarreistur	n̥areistʏr
hnatta	n̥ahta
hnattrænu	n̥ahtrajnʏ
hnattvædd	n̥ahtvajt
hnattvæðingar	n̥ahtvaiðiŋkar
hnattvæðingu	n̥ahtvaiðiŋkʏ
hnaus	n̥œis
hnausastrengnum	n̥œisastrɛjŋnʏm
hnaut	n̥œiːt
hnefa	n̥ɛːva
hnefafylli	n̥ɛːvafɪtlɪ
hnefaleik	n̥ɛːvaleiːk
hnefaleika	n̥ɛːvaleiːka
hnefaleikar	n̥ɛːvaleiːkar
hnefaleikari	n̥ɛːvaleiːkarɪ
hnefaleikum	n̥ɛːvaleiːkʏm
hnefana	n̥ɛːvana
hnefann	n̥ɛːvan
hnefanum	n̥ɛːvanʏm
hnefi	n̥ɛːvɪ
hnefinn	n̥ɛːvɪn
hnefli	n̥ɛplɪ
hnefum	n̥ɛːvʏm
hneggjar	n̥ɛcar
hneig	n̥eiːɣ
hneigir	n̥eijɪr
hneigja	n̥ɛːja
hneigjum	n̥ɛːjʏm
hneigði	n̥eiːɣðɪ
hneigðir	n̥eiːɣðɪr
hneigðist	n̥eiːɣðɪst
hneigðu	n̥eiːɣðʏ
hneigðum	n̥eiːɣðʏm
hneisa	n̥eiːsa
hneisu	n̥eiːsʏ
hnekk	n̥ɛhk
hnekki	n̥ɛhcɪ
hnekkja	n̥ɛhca
hnekkt	n̥ɛxt
hneppa	n̥ɛhpa
hneppir	n̥ɛhpɪr
hneppt	n̥ɛft
hnepptur	n̥ɛftʏr
hnerra	n̥ɛra
hnettinum	n̥ɛhtɪnʏm
hnettir	n̥ɛhtɪr
hnetu	n̥ɛːtʏ
hnetum	n̥ɛːtʏm
hnetur	n̥ɛːtʏr
hnetusmjör	n̥ɛːtʏsmjœːr
hneykslan	n̥eikstlan
hneykslanlegt	n̥eikstlanlɛxt
hneykslar	n̥ɛjkstlar
hneykslast	n̥eikstlast
hneykslaðir	n̥eikstlaðɪr
hneykslaður	n̥eikstlaðʏr
hneyksli	n̥eikstlɪ
hneykslið	n̥eikstlɪð
hneyksluð	n̥eikstlʏð
hnig	n̥ɪːɣ
hnigið	n̥iːjɪð
hnignun	n̥ɪknʏn
hnigu	n̥ɪːɣʏ
hnika	n̥ɪːka
hnikað	n̥ɪːkað
hnikaði	n̥ɪːkaðɪ
hnippa	n̥ɪhpa
hnippt	n̥ɪft
hnipra	n̥ɪːpra
hniprar	n̥ɪːprar
hnit	n̥ɪːt
hnitað	n̥ɪːtað
hnitmiðað	n̥ɪːtmɪðað
hnitmiðaða	n̥ɪtmɪðaða
hnitmiðuð	n̥ɪːtmɪðʏð
hnitunartækis	n̥ɪːtʏnartʰajːcɪs
hnituðu	n̥ɪːtʏðʏ
hnjáliðunum	n̥jauːlɪðɔnʏm
hnjám	n̥jauːm
hnjánna	n̥jauna
hnjánum	n̥jauːnʏm
hnokka	n̥ɔhka
hnokki	n̥ɔhcɪ
hnoss	n̥ɔs
hnossið	n̥ɔsɪð
hnot	n̥ɔːt
hnotskurn	n̥ɔːtskʏrtn̥
hnoð	n̥ɔːð
hnoðast	n̥ɔːðast
hnoðað	n̥ɔːðað
hnoðaði	n̥ɔːðaðɪ
hnoðraholt	n̥ɔðrahɔl̥t
hnugginn	n̥ʏcɪn
hnullunga	n̥ʏtluŋka
hnullungagrjóti	n̥ʏtluŋkakrjouːtɪ
hnupla	n̥ʏhpla
hnusa	n̥ʏːsa
hnusaði	n̥ʏːsaðɪ
hnusi	n̥ʏːsɪ
hnussar	n̥ʏsar
hnussaði	n̥ʏsaðɪ
hnykilinn	n̥ɪːcɪlɪn
hnykk	n̥ɪhk
hnykkir	n̥ɪhcɪr
hnykkti	n̥ɪxtɪ
hnyklar	n̥ɪhklar
hnykli	n̥ɪhklɪ
hnyttin	n̥ɪhtɪn
hné	n̥jɛː
hnébeygjulyftu	n̥jɛːpɛjʏlɪftʏ
hnén	n̥jɛːn
hnénu	n̥jɛːnʏ
hnésbæturnar	n̥jɛːspaitʏtnar
hnésins	n̥jɛːsɪns
hnéð	n̥jɛːð
hníf	n̥iːv
hnífa	n̥iːva
hnífakvörn	n̥iːvakʰvœrtn̥
hnífana	n̥iːvana
hnífapör	n̥iːvapʰœːr
hnífapörin	n̥iːvapœːrɪn
hnífi	n̥iːvɪ
hnífinn	n̥iːvɪn
hnífnum	n̥ipnʏm
hnífs	n̥ifs
hnífsdal	n̥ifstal
hnífsdals	n̥ifstals
