ۋە	wˈæ
ئېگىز	ˈeɡɪz
ئەمگەك	ˈæmɡæk
ئەگىشىپ	æɡˈɪʃɪp
بىۋاستە	bɪwˈɑstæ
بىۋاسىتە	bˌɪwɑsˈɪtæ
تىن	tˈɪn
تېخنىكا	teχnˈɪkɑ
دۇچ	dˈut͡ʃ
قىلىۋاتقان	qˌɪlɪwˈɑtqɑn
ماقالە	mɑqˈɑlæ
مەجبۇر	mˈæd͡ʒbur
ياشاش	jˈɑʃɑʃ
ياۋا	jˈɑwɑ
ئازراق	ˈɑzrɑq
ئۆگىنىش	œɡˈɪnɪʃ
ئەمەلىي	æmˈælɪj
توققۇز	tˈoqquz
جان	d͡ʒˈɑn
خەلقنىڭ	χˈælqnɪŋ
دەريا	dˈærjɑ
سېنىڭ	sˈenɪŋ
شىركەتنىڭ	ʃɪrkˈætnɪŋ
كۆك	kˈœk
مەھكىمىسى	mˌæhkɪmˈɪsɪ
يىراق	jˈɪɾɑq
يەتكەن	jˈætkæn
ھاياتى	hɑjˈɑtɪ
ھېلىقى	helˈɪqɪ
ھەرىكىتى	hˌæɾɪkˈɪtɪ
ئاسان	ˈɑsɑn
ئاھالە	ɑhˈɑlæ
ئىشلىگەن	ɪʃlˈɪɡæn
باشقىلارنىڭ	bˌɑʃqɪlˈɑrnɪŋ
توغرىسىدىكى	tˌoʁrɪsɪdˈɪkɪ
تىلىنىڭ	tɪlˈɪnɪŋ
جۇمھۇرىيىتى	d͡ʒˌumhuɾɪjˈɪtɪ
سەل	sˈæl
كۈرەش	kˈyɾæʃ
كۈندىن	kˈyndɪn
گە	ɡˈæ
ئاڭ	ˈɑŋ
ئوسمان	ˈosmɑn
ئىزچىل	ˈɪzt͡ʃɪl
ئەھمىيەت	æhmˈɪjæt
بېشىغا	beʃˈɪʁɑ
دا	dˈɑ
دەرھال	dˈærhɑl
قاراشلىق	qɑɾˈɑʃlɪq
قوشۇپ	qˈoʃup
مول	mˈol
مۇرەككەپ	muɾˈækkæp
مۇقەددەس	muqˈæddæs
مۇناسىۋىتى	mˌunɑsɪwˈɪtɪ
مەشرەپ	mˈæʃræp
نۇرغۇنلىغان	nˌurʁunlˈɪʁɑn
ئويلاپ	ˈojlɑp
ئۇرۇشى	uɾˈuʃɪ
ئەھمەد	ˈæhmæd
بىرلا	bˈɪrlɑ
بېرىدىغان	bˌeɾɪdˈɪʁɑn
خانلىقى	χɑnlˈɪqɪ
دىنىغا	dɪnˈɪʁɑ
رولى	rˈolɪ
شىمالى	ʃɪmˈɑlɪ
قۇربان	qˈurbɑn
كونترول	kˈontrol
كىلومەتىر	kˌɪlomˈætɪr
كۆرگەن	kˈœrɡæn
مۇئامىلە	mˌuɑmˈɪlæ
مۇتلەق	mˈutlæq
نەشىر	nˈæʃɪr
ھۆل	hˈœl
ۋەزىر	wˈæzɪr
ئادەتتىكى	ˌɑdættˈɪkɪ
ئارقا	ˈɑrqɑ
ئامېرىكىنىڭ	ˌɑmeɾɪkˈɪnɪŋ
ئۇن	ˈun
ئۇيغۇن	ˈujʁun
بولمايدىغان	bˌolmɑjdˈɪʁɑn
بۈگۈن	bˈyɡyn
تېگىشلىك	teɡˈɪʃlɪk
دەرس	dˈærs
سىزنى	sˈɪznɪ
سىزگە	sˈɪzɡæ
سەۋەبىدىن	sˌæwæbˈɪdɪn
قوي	qˈoj
كەلگەندىن	kælɡˈændɪn
ماشىنا	mɑʃˈɪnɑ
مۇسۇلمانلار	mˌusulmˈɑnlɑr
يار	jˈɑr
ياسالغان	jɑsˈɑlʁɑn
پادىشاھ	pɑdˈɪʃɑh
ئىلتىماس	ɪltˈɪmɑs
ئەپەندى	æpˈændɪ
باشلىقى	bɑʃlˈɪqɪ
باھا	bˈɑhɑ
جەمئىي	d͡ʒˈæmɪj
شۇنى	ʃˈunɪ
قىسقا	qˈɪsqɑ
قۇرغان	qˈurʁɑn
كومىتېتى	kˌomɪtˈetɪ
كۇب	kˈub
كەسىپ	kˈæsɪp
كەڭلىكى	kæŋlˈɪkɪ
مەبلەغ	mˈæblæʁ
مەزگىلىدە	mˌæzɡɪlˈɪdæ
ھەقتە	hˈæqtæ
ئوتتۇرىسىدىكى	ˌottuɾˌɪsɪdˈɪkɪ
ئوغۇل	ˈoʁul
ئوچۇق	ˈot͡ʃuq
ئىشلىرى	ɪʃlˈɪɾɪ
ئېتىراپ	etˈɪɾɑp
ئەسلىدە	æslˈɪdæ
تىلدا	tˈɪldɑ
خەنزۇچە	χænzˈut͡ʃæ
سەككىز	sˈækkɪz
سەۋەب	sˈæwæb
قىسمىنى	qɪsmˈɪnɪ
مۇكەممەل	mukˈæmmæl
يازما	jˈɑzmɑ
يېزىسى	jezˈɪsɪ
ئىنگلىزچە	ɪnɡlˈɪzt͡ʃæ
بولاتتى	bolˈɑttɪ
بولمىسا	bolmˈɪsɑ
بىلىدۇ	bɪlˈɪdu
بېرىشى	beɾˈɪʃɪ
بەلكىم	bˈælkɪm
بەلگىلەنگەن	bˌælɡɪlˈænɡæn
جەنۇبى	d͡ʒænˈubɪ
سۆزلەر	sˈœzlær
شەرقى	ʃˈærqɪ
قىزى	qˈɪzɪ
كەسپىي	kˈæspɪj
يۈرۈش	jˈyɾyʃ
چىقىرىش	t͡ʃɪqˈɪɾɪʃ
ئاخبارات	ɑχbˈɑɾɑt
ئايرىلىپ	ɑjrˈɪlɪp
ئۆلۈم	ˈœlym
ئەلۋەتتە	ælwˈættæ
بارىدۇ	bɑɾˈɪdu
باشلانغان	bɑʃlˈɑnʁɑn
تەسەۋۋۇر	tæsˈæwwur
تەكشۈرۈش	tækʃˈyɾyʃ
دورا	dˈoɾɑ
شەرت	ʃˈært
قارىتا	qɑɾˈɪtɑ
قىلدىم	qˈɪldɪm
قىيىن	qˈɪjɪn
كۆرسەتكەن	kœrsˈætkæn
مىللەتلەرنىڭ	mˌɪllætlˈærnɪŋ
مەقسەت	mˈæqsæt
مەنىدە	mænˈɪdæ
مەڭگۈ	mˈæŋɡy
نەتىجىدە	nˌætɪd͡ʒˈɪdæ
يامان	jˈɑmɑn
پارتىيە	pɑrtˈɪjæ
پەرقلىق	pˈærqlɪq
ئايرىپ	ˈɑjrɪp
ئىتتىپاقى	ˌɪttɪpˈɑqɪ
ئۆزئارا	œzˈɑɾɑ
باج	bˈɑd͡ʒ
تۇتىشىدۇ	tˌutɪʃˈɪdu
تۈركىيەدە	tˌyrkɪjˈædæ
تەشەببۇس	tæʃˈæbbus
جەمئىيىتىنىڭ	d͡ʒˌæmɪjɪtˈɪnɪŋ
فىلىم	fˈɪlɪm
قويۇلىدۇ	qˌojulˈɪdu
قىلاتتى	qɪlˈɑttɪ
قىلغۇچى	qɪlʁˈut͡ʃɪ
قەدىمىي	qædˈɪmɪj
مۇناسىۋەت	mˌunɑsˈɪwæt
ياشاۋاتقان	jˌɑʃɑwˈɑtqɑn
ياشلار	jˈɑʃlɑr
پىكىر	pˈɪkɪr
ۋەتەن	wˈætæn
ئادەمنى	ɑdˈæmnɪ
ئاقسۇ	ˈɑqsu
ئوغۇز	ˈoʁuz
ئۆسۈملۈك	œsˈymlyk
تىللار	tˈɪllɑr
جاۋاپ	d͡ʒˈɑwɑp
جەنۇب	d͡ʒˈænub
رولىنى	rolˈɪnɪ
سۆزى	sˈœzɪ
شۇنىڭغا	ʃunˈɪŋʁɑ
شەخسىي	ʃˈæχsɪj
كىشىنى	kɪʃˈɪnɪ
مايدانى	mɑjdˈɑnɪ
مىلادى	mɪlˈɑdɪ
مەنچە	mˈænt͡ʃæ
يولدا	jˈoldɑ
يۇقارقى	juqˈɑrqɪ
يۇقىرىدا	jˌuqɪɾˈɪdɑ
پۈتكۈل	pˈytkyl
ھىس	hˈɪs
ئادەملەر	ɑdˈæmlær
ئالى	ˈɑlɪ
ئاياللارنىڭ	ˌɑjɑllˈɑrnɪŋ
ئىسىملىك	ɪsˈɪmlɪk
ئېيتىپ	ˈejtɪp
بىكار	bˈɪkɑr
جەمئىيەتنىڭ	d͡ʒˌæmɪjˈætnɪŋ
دېيىلىدۇ	dˌejɪlˈɪdu
ساھەسىدە	sˌɑhæsˈɪdæ
سول	sˈol
قاتارىدا	qˌɑtɑɾˈɪdɑ
قويدى	qˈojdɪ
قىلغاندا	qɪlʁˈɑndɑ
قۇمۇل	qˈumul
كېيىنچە	kejˈɪnt͡ʃæ
پايدىلىق	pɑjdˈɪlɪq
ھەربىر	hˈærbɪr
ئالاقە	ɑlˈɑqæ
ئالدىنى	ɑldˈɪnɪ
ئاممىۋى	ɑmmˈɪwɪ
ئويۇنى	ojˈunɪ
ئىشلىتىش	ɪʃlˈɪtɪʃ
ئىشلەپ	ˈɪʃlæp
ئۆزگىرىش	œzɡˈɪɾɪʃ
ئېغىز	ˈeʁɪz
بېرى	bˈeɾɪ
بەزىلىرى	bˌæzɪlˈɪɾɪ
تىك	tˈɪk
سۈيى	sˈyjɪ
شائىر	ʃˈɑɪr
شەرق	ʃˈærq
قىلىنىپ	qɪlˈɪnɪp
قىممەت	qˈɪmmæt
قىممەتلىك	qɪmmˈætlɪk
كىرىدۇ	kɪɾˈɪdu
مال	mˈɑl
نورمال	nˈormɑl
نىشان	nˈɪʃɑn
نەرسىنى	nærsˈɪnɪ
ۋاز	wˈɑz
ئادا	ˈɑdɑ
ئوتتۇرىسىدا	ˌottuɾɪsˈɪdɑ
ئوخشاشلا	oχʃˈɑʃlɑ
ئورۇنغا	oɾˈunʁɑ
ئوينايدۇ	ojnˈɑjdu
ئىشلىتىلىدۇ	ˌɪʃlɪtɪlˈɪdu
ئېشىپ	ˈeʃɪp
ئەقىل	ˈæqɪl
بارلىقىنى	bˌɑrlɪqˈɪnɪ
تۇرۇش	tˈuɾuʃ
تۈزلەڭلىك	tyzlˈæŋlɪk
خوجا	χˈod͡ʒɑ
دوللار	dˈollɑr
سابىق	sˈɑbɪq
ساندىكى	sɑndˈɪkɪ
سىلەر	sˈɪlær
سۆزنى	sˈœznɪ
قوللانغان	qollˈɑnʁɑn
قەتئىي	qˈætɪj
كۆچۈپ	kˈœt͡ʃyp
مىلادىدىن	mˌɪlɑdˈɪdɪn
مەلۇمات	mælˈumɑt
نەشرىياتى	nˌæʃrɪjˈɑtɪ
يىلدا	jˈɪldɑ
يۈزىدىن	jyzˈɪdɪn
پۇلى	pˈulɪ
ئابدۇللاھ	ɑbdˈullɑh
ئاددىي	ˈɑddɪj
ئاساسىدا	ˌɑsɑsˈɪdɑ
ئايلانغان	ɑjlˈɑnʁɑn
ئوخشايدۇ	oχʃˈɑjdu
ئوقۇشقا	oqˈuʃqɑ
ئىسىم	ˈɪsɪm
ئىقتىدارى	ˌɪqtɪdˈɑɾɪ
ئۆتىدۇ	œtˈɪdu
ئۆزىڭىزنىڭ	ˌœzɪŋˈɪznɪŋ
ئۆمەر	ˈœmær
ئۇلاردىن	ulˈɑrdɪn
تارقالغان	tɑrqˈɑlʁɑn
تال	tˈɑl
تەلەپپۇز	tælˈæppuz
دائىر	dˈɑɪr
مىللىمېتىر	mˌɪllɪmˈetɪr
ناماز	nˈɑmɑz
يۈكسەك	jˈyksæk
يېڭىدىن	jeŋˈɪdɪn
پايتەختى	pɑjtˈæχtɪ
پىياز	pˈɪjɑz
ۋەكىللىك	wækˈɪllɪk
ئاشۇرۇش	ɑʃˈuɾuʃ
ئالتاي	ˈɑltɑj
ئاۋاز	ˈɑwɑz
ئىگىلەيدۇ	ˌɪɡɪlˈæjdu
ئۆينىڭ	ˈœjnɪŋ
ئۇسسۇل	ˈussul
ئەسكەر	ˈæskær
بازىرى	bɑzˈɪɾɪ
بىردىن	bˈɪrdɪn
تونۇلغان	tonˈulʁɑn
جۇڭخۇا	d͡ʒuŋχˈuɑ
دەۋرى	dˈæwrɪ
رايۇننومۇرى	rˌɑjunnomˈuɾɪ
رەزىيەللاھۇ	rˌæzɪjællˈɑhu
شەكىللەنگەن	ʃˌækɪllˈænɡæn
شەھىرىنىڭ	ʃˌæhɪɾˈɪnɪŋ
قاتارلىقلارنى	qˌɑtɑrlɪqlˈɑrnɪ
قايتىدىن	qɑjtˈɪdɪn
قولىغا	qolˈɪʁɑ
قېلىش	qˈelɪʃ
قەدەم	qˈædæm
كۈندىلىك	kyndˈɪlɪk
نېمىشقا	nemˈɪʃqɑ
يىگىت	jˈɪɡɪt
چاچ	t͡ʃˈɑt͡ʃ
ھوقۇقىنى	hˌoquqˈɪnɪ
ئادەت	ˈɑdæt
ئايدا	ˈɑjdɑ
ئوقۇغۇچى	ˌoquʁˈut͡ʃɪ
ئىكەنلىكى	ˌɪkænlˈɪkɪ
ئۈزلۈكسىز	yzlˈyksɪz
ئېتىقاد	etˈɪqɑd
بازار	bˈɑzɑr
بولۇشنى	bolˈuʃnɪ
خەنزۇ	χˈænzu
داۋام	dˈɑwɑm
دوكتور	dˈoktor
دۆلەتلەرنىڭ	dˌœlætlˈærnɪŋ
رەسۇلۇللاھ	rˌæsulˈullɑh
زۆرۈر	zˈœɾyr
سۇلالىسىنىڭ	sˌulɑlɪsˈɪnɪŋ
شەھىرىدە	ʃˌæhɪɾˈɪdæ
كىنو	kˈɪno
كۆزى	kˈœzɪ
مىللىتى	mɪllˈɪtɪ
مەيدان	mˈæjdɑn
نەتىجە	nætˈɪd͡ʒæ
ياراتقان	jɑɾˈɑtqɑn
يېغى	jˈeʁɪ
پەرق	pˈærq
چۈشكەن	t͡ʃˈyʃkæn
ھازىرمۇ	hɑzˈɪrmu
ئابدۇخالىق	ˌɑbduχˈɑlɪq
ئاۋۋال	ˈɑwwɑl
ئورنىنى	ornˈɪnɪ
باشقىچە	bɑʃqˈɪt͡ʃæ
بىرلىكى	bɪrlˈɪkɪ
بەلگىلىك	bælɡˈɪlɪk
تارىخىدا	tˌɑɾɪχˈɪdɑ
تۇراتتى	tuɾˈɑttɪ
تۈركلەر	tˈyrklær
تۈرى	tˈyɾɪ
جەھەتتىكى	d͡ʒˌæhættˈɪkɪ
دانە	dˈɑnæ
دەسلەپتە	dæslˈæptæ
رەئىسى	ræˈɪsɪ
سوغۇق	sˈoʁuq
سېرىق	sˈeɾɪq
سەۋەبلىك	sæwˈæblɪk
قوش	qˈoʃ
كىرەك	kˈɪɾæk
مۇسۇلمانلارنىڭ	mˌusulmɑnlˈɑrnɪŋ
مەسىلىسى	mˌæsɪlˈɪsɪ
مەھمۇد	mˈæhmud
ناھايتى	nɑhˈɑjtɪ
يات	jˈɑt
يولىدا	jolˈɪdɑ
پائالىيەت	pˌɑɑlˈɪjæt
پاي	pˈɑj
ئاجىز	ˈɑd͡ʒɪz
ئوبدان	ˈobdɑn
ئوردا	ˈordɑ
ئوقۇتۇش	oqˈutuʃ
ئوقۇغۇچىلار	ˌoquʁut͡ʃˈɪlɑr
ئى	ˈɪ
ئىچىدىن	ɪt͡ʃˈɪdɪn
ئۆلۈپ	ˈœlyp
ئۇيغۇرلاردا	ˌujʁurlˈɑrdɑ
ئېرىشتى	eɾˈɪʃtɪ
ئېسىل	ˈesɪl
بايلىقى	bɑjlˈɪqɪ
بىن	bˈɪn
بېرىشنى	beɾˈɪʃnɪ
بېشى	bˈeʃɪ
تەجرىبە	tæd͡ʒrˈɪbæ
تەربىيە	tærbˈɪjæ
تەۋەسىدە	tˌæwæsˈɪdæ
زامانىۋى	zˌɑmɑnˈɪwɪ
قوغداش	qˈoʁdɑʃ
قويۇش	qˈojuʃ
قىلىشىغا	qˌɪlɪʃˈɪʁɑ
قىممىتى	qɪmmˈɪtɪ
كۈچكە	kˈyt͡ʃkæ
كېسەل	kˈesæl
مەنبەسى	mænbˈæsɪ
نەرسىلەرنى	nˌærsɪlˈærnɪ
چاغلاردا	t͡ʃɑʁlˈɑrdɑ
چىرايلىق	t͡ʃɪɾˈɑjlɪq
چىقىرىپ	t͡ʃɪqˈɪɾɪp
ھاياتىنى	hˌɑjɑtˈɪnɪ
ھۆكۈمەتنىڭ	hˌœkymˈætnɪŋ
ۋىلايىتى	wˌɪlɑjˈɪtɪ
ئاستىغا	ɑstˈɪʁɑ
ئۇسۇل	ˈusul
ئۇنداقتا	undˈɑqtɑ
ئۇچرايدۇ	ut͡ʃrˈɑjdu
ئەسىرى	æsˈɪɾɪ
بىرلىككە	bɪrlˈɪkkæ
تارىختا	tɑɾˈɪχtɑ
تاغلىق	tˈɑʁlɪq
تامامەن	tɑmˈɑmæn
تىجارەت	tɪd͡ʒˈɑɾæt
تۇتقان	tˈutqɑn
جانلىق	d͡ʒˈɑnlɪq
دائىرىسى	dˌɑɪɾˈɪsɪ
دۈشمەن	dˈyʃmæn
رىم	rˈɪm
ساڭا	sˈɑŋɑ
سۆزلەپ	sˈœzlæp
سۇنىڭ	sˈunɪŋ
قانۇنى	qɑnˈunɪ
قولىدا	qolˈɪdɑ
قىزغىن	qˈɪzʁɪn
كىشىلەرگە	kˌɪʃɪlˈærɡæ
كۆزگە	kˈœzɡæ
مىليارد	mˈɪljɑrd
مۇۋەپپەقىيەت	mˌuwæppæqˈɪjæt
مەنىۋى	mænˈɪwɪ
نامايان	nɑmˈɑjɑn
ياشايدىغان	jˌɑʃɑjdˈɪʁɑn
پوقتانومۇرى	pˌoqtɑnomˈuɾɪ
ھۆددە	hˈœddæ
ئاتىغان	ɑtˈɪʁɑn
ئالما	ˈɑlmɑ
ئايلىنىش	ɑjlˈɪnɪʃ
ئىستېمال	ɪstˈemɑl
ئىشلارنىڭ	ɪʃlˈɑrnɪŋ
ئىلگىرىكى	ˌɪlɡɪɾˈɪkɪ
ئۆزىڭىز	œzˈɪŋɪz
ئۇنىۋېرسىتېتى	ˌunɪwˌersɪtˈetɪ
ئەدەبىياتى	ˌædæbɪjˈɑtɪ
ئەسىر	ˈæsɪr
ئەسەرلەرنى	ˌæsærlˈærnɪ
بۇلۇپ	bˈulup
بەرپا	bˈærpɑ
تاشلاپ	tˈɑʃlɑp
تۈردە	tˈyrdæ
تەشكىلاتى	tˌæʃkɪlˈɑtɪ
داۋالاش	dɑwˈɑlɑʃ
رەڭلىك	rˈæŋlɪk
سوراپ	sˈoɾɑp
سۈنئىي	sˈynɪj
سېلىش	sˈelɪʃ
قايىل	qˈɑjɪl
قىلغىلى	qɪlʁˈɪlɪ
قىلمايدۇ	qɪlmˈɑjdu
قۇرۇپ	qˈuɾup
قېچىپ	qˈet͡ʃɪp
كۆتۈرۈپ	kœtˈyɾyp
ماي	mˈɑj
ياشقا	jˈɑʃqɑ
ياغاچ	jˈɑʁɑt͡ʃ
ياپونىيە	jˌɑponˈɪjæ
يىللار	jˈɪllɑr
پايدىلىنىپ	pˌɑjdɪlˈɪnɪp
گۈل	ɡˈyl
ھاكىمىيەت	hˌɑkɪmˈɪjæt
ھىندىستان	hɪndˈɪstɑn
ھەقىقەتەن	hˌæqɪqˈætæn
ئالىملار	ɑlˈɪmlɑr
ئاڭلاپ	ˈɑŋlɑp
ئوقۇتقۇچى	ˌoqutqˈut͡ʃɪ
ئىجاد	ˈɪd͡ʒɑd
ئىچى	ˈɪt͡ʃɪ
ئۆيىگە	œjˈɪɡæ
ئەرەبچە	æɾˈæbt͡ʃæ
ئەزالىرى	ˌæzɑlˈɪɾɪ
باتۇر	bˈɑtur
بولۇشقا	bolˈuʃqɑ
بىلىدىغان	bˌɪlɪdˈɪʁɑn
بەگ	bˈæɡ
تاپىدۇ	tɑpˈɪdu
تۇخۇم	tˈuχum
تەتقىقاتى	tˌætqɪqˈɑtɪ
تەرەپنىڭ	tæɾˈæpnɪŋ
تەڭرى	tˈæŋrɪ
جايلاردا	d͡ʒɑjlˈɑrdɑ
جەنۇبتىن	d͡ʒænˈubtɪn
دۆلىتى	dœlˈɪtɪ
رازى	rˈɑzɪ
زات	zˈɑt
سىرتىدا	sɪrtˈɪdɑ
غەربكە	ʁˈærbkæ
قاتناشقان	qɑtnˈɑʃqɑn
قىرىق	qˈɪɾɪq
كومپيۇتېر	kompjˈuter
كېتىپ	kˈetɪp
كېلىۋاتقان	kˌelɪwˈɑtqɑn
مىقداردا	mɪqdˈɑrdɑ
مېۋە	mˈewæ
مەنسۇپ	mˈænsup
مەھكىمىسىگە	mˌæhkɪmɪsˈɪɡæ
نەزەر	nˈæzær
چېگرا	t͡ʃˈeɡrɑ
ئۆلچەم	ˈœlt͡ʃæm
ئۆيدە	ˈœjdæ
ئېلېكتر	ˈelektr
ئەتراپىدىكى	ˌætrɑpɪdˈɪkɪ
ئەزا	ˈæzɑ
ئەسلىگە	æslˈɪɡæ
بۇلارنى	bulˈɑrnɪ
بېرىشكە	beɾˈɪʃkæ
تاكى	tˈɑkɪ
توك	tˈok
تىلنىڭ	tˈɪlnɪŋ
تۇرپان	tˈurpɑn
تۈركلەرنىڭ	tyrklˈærnɪŋ
تەركىب	tˈærkɪb
تەپەككۇر	tæpˈækkur
جۈملىدىن	d͡ʒymlˈɪdɪn
جەڭ	d͡ʒˈæŋ
خىزمىتى	χɪzmˈɪtɪ
دىنىنىڭ	dɪnˈɪnɪŋ
دېگەنلىك	deɡˈænlɪk
روھى	rˈohɪ
ساياھەت	sɑjˈɑhæt
سۈپىتى	sypˈɪtɪ
شەرقتىن	ʃˈærqtɪn
شەھەرنىڭ	ʃæhˈærnɪŋ
قىسمىغا	qɪsmˈɪʁɑ
قۇرۇقلۇق	quɾˈuqluq
قۇياش	qˈujɑʃ
كاتتا	kˈɑttɑ
كېسىم	kˈesɪm
مۇھەببەت	muhˈæbbæt
مەملىكەت	mæmlˈɪkæt
مەملىكەتلىك	mˌæmlɪkˈætlɪk
پايدىلىنىش	pˌɑjdɪlˈɪnɪʃ
چىقىرىدۇ	t͡ʃˌɪqɪɾˈɪdu
گۆش	ɡˈœʃ
گېزىتى	ɡezˈɪtɪ
ۋاقىتلاردا	wˌɑqɪtlˈɑrdɑ
ۋەزىپە	wæzˈɪpæ
ۋەيران	wˈæjrɑn
ئىشلىرىغا	ˌɪʃlɪɾˈɪʁɑ
ئۆتكۈزۈپ	œtkˈyzyp
ئەسەرلەر	æsˈærlær
ئەھۋالنى	æhwˈɑlnɪ
باشتىن	bˈɑʃtɪn
بالىلارغا	bˌɑlɪlˈɑrʁɑ
بىلىپ	bˈɪlɪp
بىلەنلا	bɪlˈænlɑ
بۇلىدۇ	bulˈɪdu
بېسىپ	bˈesɪp
بەكمۇ	bˈækmu
تارىخقا	tɑɾˈɪχqɑ
تاۋۇش	tˈɑwuʃ
تۈزۈلگەن	tyzˈylɡæn
تېپىپ	tˈepɪp
تەرەققى	tæɾˈæqqɪ
تەرەققىياتى	tˌæɾæqqɪjˈɑtɪ
دېيىلگەن	dejˈɪlɡæn
رايونلۇق	rɑjˈonluq
سۆزنىڭ	sˈœznɪŋ
شەيخ	ʃˈæjχ
قىلغاندىن	qɪlʁˈɑndɪn
ماددىي	mˈɑddɪj
مۇۋەپپەقىيەتلىك	mˌuwæppˌæqɪjˈætlɪk
نەتىجىسىدە	nˌætɪd͡ʒɪsˈɪdæ
يولىنى	jolˈɪnɪ
پىششىقلاپ	pɪʃʃˈɪqlɑp
چۈشۈش	t͡ʃˈyʃyʃ
ھامان	hˈɑmɑn
ۋاڭ	wˈɑŋ
ئارزۇ	ˈɑrzu
ئازىركى	ɑzˈɪrkɪ
ئالىمى	ɑlˈɪmɪ
ئوينىغان	ojnˈɪʁɑn
ئىنكار	ˈɪnkɑr
ئۈستى	ˈystɪ
ئېگىزلىكى	ˌeɡɪzlˈɪkɪ
باراۋەر	bɑɾˈɑwær
بولدۇم	bˈoldum
تەھلىل	tˈæhlɪl
جەمئىيەتتە	d͡ʒˌæmɪjˈættæ
دۆلىتىنىڭ	dˌœlɪtˈɪnɪŋ
رايونىنىڭ	rˌɑjonˈɪnɪŋ
زاماندا	zɑmˈɑndɑ
سوڭىغا	soŋˈɪʁɑ
سىياسەت	sɪjˈɑsæt
فىزىكا	fɪzˈɪkɑ
قانۇنىي	qɑnˈunɪj
قوشقان	qˈoʃqɑn
قوشۇنى	qoʃˈunɪ
قىسقىچە	qɪsqˈɪt͡ʃæ
كەلتۈرگەن	kæltˈyrɡæn
مەركەز	mˈærkæz
مەزگىلى	mæzɡˈɪlɪ
مەغلۇپ	mˈæʁlup
نىمە	nˈɪmæ
نۇسخىسى	nusχˈɪsɪ
ياشايدۇ	jɑʃˈɑjdu
ياۋايى	jɑwˈɑjɪ
ھۆرمەت	hˈœrmæt
ئاتىلىدىغان	ˌɑtɪlɪdˈɪʁɑn
ئالاھىدىلىكى	ˌɑlɑhˌɪdɪlˈɪkɪ
ئوسمانلى	osmˈɑnlɪ
ئوق	ˈoq
ئىدىم	ˈɪdɪm
ئىشغال	ˈɪʃʁɑl
ئىلغار	ˈɪlʁɑr
ئۇيغۇرلارغا	ˌujʁurlˈɑrʁɑ
ئېچىش	ˈet͡ʃɪʃ
ئەخلاق	ˈæχlɑq
باغلاپ	bˈɑʁlɑp
بولىشى	bolˈɪʃɪ
بەكرەك	bˈækræk
جاي	d͡ʒˈɑj
جايدا	d͡ʒˈɑjdɑ
خانىم	χˈɑnɪm
خىتاينىڭ	χɪtˈɑjnɪŋ
خەلىپە	χælˈɪpæ
دەم	dˈæm
زىيان	zˈɪjɑn
سادىر	sˈɑdɪr
ساپ	sˈɑp
سۆزلەرنى	sœzlˈærnɪ
شەكىللىك	ʃækˈɪllɪk
قاتار	qˈɑtɑr
قارىشى	qɑɾˈɪʃɪ
قوللىنىلغان	qˌollɪnˈɪlʁɑn
كىتابنى	kɪtˈɑbnɪ
كېسىپ	kˈesɪp
ماتېماتىكا	mˌɑtemɑtˈɪkɑ
مۇئەييەن	muˈæjjæn
مۇھاكىمە	mˌuhɑkˈɪmæ
مەدەنىيىتى	mˌædænɪjˈɪtɪ
نومۇر	nˈomur
ياغ	jˈɑʁ
يالغان	jˈɑlʁɑn
يەردىن	jˈærdɪn
ھالەتتە	hɑlˈættæ
ھەسسە	hˈæssæ
ئاجايىپ	ɑd͡ʒˈɑjɪp
ئايالى	ɑjˈɑlɪ
ئورنىدا	ornˈɪdɑ
ئىقتىساد	ɪqtˈɪsɑd
ئۆزىمىزنىڭ	ˌœzɪmˈɪznɪŋ
ئۆزگىچە	œzɡˈɪt͡ʃæ
ئۇستاز	ˈustɑz
ئۇششاق	ˈuʃʃɑq
ئېلىشقا	elˈɪʃqɑ
بىرىنى	bɪɾˈɪnɪ
بۇددا	bˈuddɑ
تارماقتىكى	tˌɑrmɑqtˈɪkɪ
تىپتىكى	tɪptˈɪkɪ
تۇرۇشلۇق	tuɾˈuʃluq
جازاسى	d͡ʒɑzˈɑsɪ
دۇنيانى	dunjˈɑnɪ
رايونىغا	rˌɑjonˈɪʁɑ
شۇندىن	ʃˈundɪn
غايەت	ʁˈɑjæt
قائىدە	qɑˈɪdæ
قىلىشتا	qɪlˈɪʃtɑ
كۇنى	kˈunɪ
مېدىيانىڭ	mˌedɪjˈɑnɪŋ
ناچار	nˈɑt͡ʃɑr
ناھىيىسىنىڭ	nˌɑhɪjɪsˈɪnɪŋ
ياساپ	jˈɑsɑp
يۇقىرىدىكى	jˌuqɪɾɪdˈɪkɪ
يۈزى	jˈyzɪ
يېزىش	jˈezɪʃ
پەنلەر	pˈænlær
ئا	ˈɑ
ئائىلىسى	ˌɑɪlˈɪsɪ
ئوقۇۋاتقان	ˌoquwˈɑtqɑn
ئىستانبۇل	ɪstˈɑnbul
ئىككىسى	ɪkkˈɪsɪ
ئىنگلىز	ˈɪnɡlɪz
ئۇقۇم	ˈuqum
ئۇنىۋېرسىتېتىنىڭ	ˌunɪwˌersɪtetˈɪnɪŋ
ئۇيغۇرلارنى	ˌujʁurlˈɑrnɪ
ئۈنۈملۈك	ynˈymlyk
ئېچىپ	ˈet͡ʃɪp
ئەسلىدىكى	ˌæslɪdˈɪkɪ
