'day	daɪ̯
astinggal	ʔɐstɪŋɡal
astrolohiya	ʔɐstɾolohiɐ
astronomiya	ʔɐstɾonomiɐ
astropisika	ʔɐstɾopisɪxɐ
asukal	ʔɐsuxɐl
asukarera	ʔɐsʊxɐɾeɾɐ
asul	ʔɐsul
asungot	ʔɐsuŋot
asunto	ʔɐsunto
asupre	ʔɐsupɾe
asusena	ʔɐsʊsenɐ
aswang	ʔɐswaŋ
asya	ʔaʃɐ
asyano	ʔɐʃɐno
asyenda	ʔɐʃendɐ
at	ʔɐt
ata	ʔatɐ
ata	ʔatɐʔ
atake	ʔɐtaxe
atang	ʔatɐŋ
atang	ʔɐtaŋ
atangya	ʔɐtɐŋja
atas	ʔatɐs
atas	ʔɐtas
atat	ʔɐtat
ataud	ʔɐtɐʔud
ataul	ʔɐtɐʔul
atay	ʔataɪ̯
atay	ʔɐtaɪ̯
atayin	ʔɐtɐjin
ate	ʔɐte
ate	ʔɐteʔ
atenas	ʔɐtenɐs
atendido	ʔɐtendido
atensiyon	ʔɐtenʃon
athanasia	ʔɐthɐnasɪɐ
atig	ʔɐtiɡ
atigin	ʔɐtɪɰin
atik	ʔɐtik
atikha	ʔɐtɪkhaʔ
atin	ʔatɪn
atip	ʔɐtip
atis	ʔatɪs
atlantiko	ʔɐtlantɪxo
atleta	ʔɐtletɐ
atras	ʔɐtɾas
atraso	ʔɐtɾaso
atrebida	ʔɐtɾebidɐ
atrebido	ʔɐtɾebido
atribida	ʔɐtɾɪbidɐ
atribido	ʔɐtɾɪbido
atribusyon	ʔɐtɾɪbʊʃon
atsara	ʔɐt͡ʃaɾɐ
atsi	ʔat͡ʃɪ
atsi	ʔɐt͡ʃi
atsoy	ʔɐt͡ʃoɪ̯
atsuwete	ʔɐt͡ʃʊete
atubili	ʔɐtʊbilɪʔ
atubili	ʔɐtʊbɪli
atubili	ʔɐtʊbɪliʔ
atungal	ʔɐtuŋɐl
atupag	ʔɐtupɐɡ
audrey	ʔaʊ̯dɾeɪ̯
aurora	ʔaʊ̯ɾoɾɐ
avanceña	ʔɐbɐnseɲɐ
avendaño	ʔɐbendaɲo
aw	ʔaʊ̯
awa	ʔawɐʔ
awak	ʔawɐk
awak	ʔɐwak
awang	ʔɐwaŋ
awanggan	ʔɐwɐŋɡan
awat	ʔawɐt
awat	ʔɐwat
away	ʔawaɪ̯
awayan	ʔɐwɐjan
awayin	ʔɐwajɪn
awit	ʔawɪt
awstralya	ʔaʊ̯stɾɐljɐ
awstriya	ʔaʊ̯stɾɪɐ
awtismo	ʔaʊ̯tismo
awtomatiko	ʔaʊ̯tomatɪxo
awtonomiya	ʔaʊ̯tonomiɐ
awtopsiya	ʔaʊ̯topʃa
awtor	ʔaʊ̯toɾ
awtoridad	ʔaʊ̯toɾɪdad
awtoridad	ʔotoɾɪdad
awtorisado	ʔaʊ̯toɾɪsado
awtorisado	ʔotoɾɪsado
awtorisasyon	ʔaʊ̯toɾɪsɐʃon
awtorisasyon	ʔotoɾɪsɐʃon
ay	ʔaɪ̯
aya	ʔajɐ
aya	ʔajɐʔ
ayako	ʔɐjaxo
ayam	ʔajɐm
ayan	ʔɐjan
ayangaw	ʔɐjɐŋaʊ̯
ayaw	ʔajaʊ̯
ayaw	ʔɐjaʊ̯
ayon	ʔɐjon
ayos	ʔɐjos
aysing	ʔaɪ̯sɪŋ
ayson	ʔaɪ̯son
ayta	ʔaɪ̯ta
ayuda	ʔɐjudɐ
ayumi	ʔɐjumɪ
ayungin	ʔɐjuŋɪn
ayuno	ʔɐjuno
ayusin	ʔɐjusɪn
ayusin	ʔɐjʊsin
ayuyang	ʔɐjʊjaŋ
aywan	ʔaɪ̯wan
aywan	ʔewɐn
azaña	ʔɐsaɲɐ
azucena	ʔɐsʊsenɐ
añonuevo	ʔɐɲonuebo
ba	bɐ
ba't	bɐt
baang	baʔɐŋ
baang	bɐʔaŋ
baat	bɐʔat
baba	babɐʔ
baba	bɐba
baba	bɐbaʔ
babaan	babaʔɐn
babaan	babɐʔan
babaan	bɐbɐʔan
babad	babɐd
babad	bɐbad
babae	bɐbaʔe
babaero	bɐbɐʔeɾo
babag	babɐɡ
babag	bɐbaɡ
babaihin	bɐbɐʔihɪn
babala	bɐbɐlaʔ
babao	babaʊ̯
babasa	bɐbasɐ
babasagin	bɐbɐsaɰɪn
babasagin	bɐbɐsɐɰin
babasahin	bɐbɐsahɪn
babasahin	bɐbɐsɐhin
babat	babɐt
babaw	babaʊ̯
babay	babaɪ̯
babayaran	bɐbɐjaɾɐn
babayaran	bɐbɐjɐɾan
babaye	bɐbaje
babaylan	bɐbaɪ̯lan
babero	bɐbeɾo
baboy	baboɪ̯
babuyan	bɐbujɐn
babuyan	bɐbʊjan
babuyin	bɐbujɪn
bacani	bɐxanɪ
bacas	bɐxas
baclad	bɐklad
baclig	baklɪɡ
bacoor	bɐxoʔoɾ
bacsa	baksɐ
baculi	bɐxulɪ
badaho	bɐdaho
badayos	bɐdajos
bading	bɐdiŋ
badminton	badmɪnton
badminton	bɐdmɪnton
baduy	bɐduɪ
badya	bɐd͡ʒa
badyet	bad͡ʒet
bag	bɐɡ
baga	baɰɐ
baga	baɰɐʔ
baga	bɐɰa
baga	bɐɰaʔ
bagabag	bɐɰabɐɡ
bagabag	bɐɰɐbaɡ
bagahe	bɐɰahe
bagal	baɰɐl
bagalan	bɐɰalɐn
bagama't	bɐɰɐmat
bagaman	bɐɰɐman
bagamat	bɐɰɐmat
bagang	bɐɡʔaŋ
bagang	bɐɰaŋ
bagansiya	bɐɰanʃa
bagaoisan	bɐɰɐwisɐn
bagay	baɰaɪ̯
bagbag	bɐɡbaɡ
bagets	bɐɰet͡s
baging	baɰɪŋ
bagito	bɐɰito
bagko	bɐɡkoʔ
bagkos	bɐɡkos
bagkus	bɐɡkus
bagnet	bɐɡnet
bago	baɰo
bagok	bɐɰok
bagol	bɐɰol
bagon	bɐɰon
bagoong	bɐɰoʔoŋ
bagot	bɐɰot
bagsak	bɐɡsak
bagsik	bɐɡsik
bagsit	baɡsɪt
bagtas	bɐɡtas
bagting	bɐɡtiŋ
baguhan	bɐɰuhɐn
bagunsakupin	bɐɰʊnsaxʊpɪn
baguntao	bɐɰʊntaʔo
bagwis	bɐɡwis
bagyo	bɐɡjo
bagyuhin	bɐɡjʊhin
baha	bɐhaʔ
bahag	bɐhaɡ
bahagan	bɐhɐɰan
bahaghari	bɐhɐɡhaɾɪ
bahaghari	bɐhɐɡhaɾɪʔ
bahagi	bɐhaɰɪʔ
bahagsubay	bɐhɐɡsubaɪ̯
bahagya	bɐhɐɡjaʔ
bahala	bɐhalɐʔ
bahasa	bɐhasɐ
bahaw	bahaʊ̯
bahaw	bɐhaʊ̯
bahay	bahaɪ̯
bahid	bahɪd
bahin	bɐhin
bahin	bɐhiŋ
bahing	bɐhiŋ
bahon	bɐhon
baiki	bɐʔixɪʔ
baino	bɐʔɪno
baisan	bɐʔɪsan
bait	bɐʔit
baitang	bɐʔitɐŋ
baitang	bɐʔɪtaŋ
baiya	bɐʔiɐ
baka	baxɐ
baka	bɐxaʔ
bakahan	bɐxɐhan
bakal	baxɐl
bakal	bɐxal
bakalaw	bɐxɐlaʊ̯
bakam	bɐxam
bakante	bɐxante
bakas	baxɐs
bakas	bɐxas
bakasyon	bɐxɐʃon
bakasyonista	bɐxɐʃonistɐ
bakasyunista	bɐxɐʃʊnistɐ
bakat	baxɐt
bakat	bɐxat
bakaw	baxaʊ̯
bakaw	bɐxaʊ̯
bakawan	bɐxawɐn
bakay	baxaɪ̯
bakbak	bɐkbak
baket	baxet
bakin	baxɪn
bakit	baxet
bakit	baxɪt
bakit	bɐt
bakla	bɐkla
bakla	bɐklaʔ
baklad	bɐklad
baklain	bɐklaʔɪn
baklain	bɐklɐʔin
baklas	bɐklas
bakli	bɐkliʔ
baklita	bɐklitɐ
bako	bɐxoʔ
bakod	baxod
bakod	bɐxod
bakokang	bɐxokɐŋ
bakol	baxol
baksa	bɐksa
baksa	bɐksaʔ
baktaw	bɐktaʊ̯
bakterya	bɐkteɾjɐ
bakulaw	bɐxulaʊ̯
bakulo	baxʊlo
bakuna	bɐxunɐ
bakunado	bɐxʊnado
bakunahan	bɐxʊnahɐn
bakuran	bɐxuɾɐn
bakwit	bɐkwit
bakya	bɐkjaʔ
bala	balɐ
bala	balɐʔ
balaan	balɐɐn
balabag	bɐlɐbaɡ
balabal	bɐlabɐl
balabiga	bɐlɐbiɰɐʔ
balae	bɐlaʔe
balag	balɐɡ
balag	bɐlaɡ
balagat	bɐlaɰɐt
balaghan	bɐlɐɡhan
balaglawas	bɐlaɡlawɐs
balagtas	bɐlɐɡtas
balaguer	bɐlɐɰeɾ
balahak	bɐlahɐk
balahakan	balɐhɐxan
balahibo	bɐlɐhibo
balaho	bɐlɐhoʔ
balahura	bɐlɐhuɾɐ
balai	bɐlaʔɪ
balaid	bɐlɐʔid
balak	balɐk
balakang	bɐlɐxaŋ
balakat	bɐlaxɐt
balakbak	bɐlɐkbak
balakid	bɐlaxɪd
balakid	bɐlɐxid
balakil	bɐlaxɪl
balakilan	bɐlɐxilɐn
balaksila	bɐlɐksilɐʔ
balakubak	bɐlɐxubɐk
balakyot	bɐlɐkjot
balam	balɐm
balam	bɐlam
balana	balɐna
balana	bɐlanɐʔ
balana	bɐlɐnaʔ
balanan	bɐlanɐn
balandra	bɐlandɾɐ
balang	balɐŋ
balanga	bɐlɐŋaʔ
balangaw	bɐlɐŋaʊ̯
balangay	bɐlaŋaɪ̯
balangay	bɐlɐŋaɪ̯
balangkas	bɐlɐŋkas
balani	bɐlanɪʔ
balanoy	bɐlanoɪ̯
balanse	bɐlanse
balaong	bɐlaʔoŋ
balaraw	bɐlɐɾaʊ̯
balarila	bɐlɐɾilɐʔ
balas	balɐs
balas	bɐlas
balasa	bɐlasɐ
balasabas	bɐlɐsabɐs
balasubas	bɐlɐsubɐs
balat	balɐt
balat	bɐlat
balatik	bɐlatɪk
balatkayo	bɐlɐtkɐjoʔ
balato	bɐlato
balatong	bɐlatoŋ
balaw	balaʊ̯
balaw	bɐlaʊ̯
balaye	bɐlaje
balayi	bɐlajɪ
balbal	bɐlbal
balbas	bɐlbas
balbon	bɐlbon
balbula	balbʊla
balbula	balbʊlɐ
balda	baldɐ
balda	bɐlda
baldado	bɐldado
baldahin	bɐldɐhin
balde	bɐlde
baldonado	bɐldonado
baldosa	bɐldosɐ
balete	bɐlete
balewala	bɐlewɐlaʔ
balewalain	bɐlewɐlɐʔin
baley	bɐleɪ̯
bali	balɪ
bali	balɪʔ
bali	bɐliʔ
balian	bɐliʔɐn
balibag	bɐlibɐɡ
balibag	bɐlɪbaɡ
balibago	bɐlɪbaɰo
balibat	bɐlibɐt
balibat	bɐlɪbat
balibol	balɪbol
balibol	bɐlibol
balidasyon	bɐlɪdɐʃon
balido	balɪdo
baligho	bɐlɪɡhoʔ
baligtad	bɐlɪɡtad
baligtarin	bɐlɪɡtaɾɪn
baligtarin	bɐlɪɡtɐɾin
baliin	bɐliʔɪn
balik	bɐlik
balikan	balixɐn
balikan	bɐlɪxan
balikat	bɐlixɐt
balikbayan	bɐlɪkbajɐn
baliko	bɐlɪxoʔ
baliktad	bɐlɪktad
balikutsa	bɐlɪxʊt͡ʃa
balikwas	bɐlɪkwas
baliling	bɐlilɪŋ
baliling	bɐlɪliŋ
balimbing	bɐlɪmbiŋ
balindang	bɐlɪndaŋ
balindas	bɐlɪndas
baling	balɪŋ
balinghat	bɐlɪŋhat
balinghoy	bɐlɪŋhoɪ̯
balingit	bɐliŋɪt
balingkinitan	bɐlɪŋkɪnitɐn
balingot	bɐliŋot
balingot	bɐlɪŋot
balinguyngoy	bɐlɪŋʊɪŋoɪ̯
balino	bɐlino
balino	bɐlɪno
balino	bɐlɪnoʔ
balinsasayaw	bɐlinsɐsɐjaʊ̯
balintataw	bɐlɪntɐtaʊ̯
balintataw	bɐlɪntɐtɐʔo
balintawak	bɐlɪntɐwak
balintong	bɐlɪntoŋ
balintuna	bɐlɪntunɐʔ
balintunay	bɐlɪntunaɪ̯
balipik	bɐlipɪk
balisa	bɐlisɐ
balisa	bɐlɪsa
balisacan	bɐlɪsaxɐn
balisakang	bɐlɪsɐxaŋ
balisawsaw	bɐlɪsaʊ̯saʊ̯
baliskad	bɐlɪskad
balisong	bɐlisoŋ
balisong	bɐlɪsoŋ
balisungsong	bɐlɪsʊŋsoŋ
balisuplingan	bɐlɪsʊpliŋɐn
balisuso	bɐlɪsʊsoʔ
balita	bɐlitɐʔ
balitado	bɐlɪtado
balite	bɐlite
baliw	balɪʊ̯
baliw	bɐliʊ̯
baliwag	bɐliwɐɡ
balkon	bɐlkon
balkonahe	bɐlkonahe
balngawsipat	bɐlŋaʊ̯sipɐt
balngawsukat	bɐlŋaʊ̯suxɐt
balnian	bɐlniʔɐn
balnibalngawsipatan	bɐlnɪbɐlŋaʊ̯sɪpatɐn
balnibulog	bɐlnɪbʊloɡ
balnidagitab	bɐlnɪdɐɰitɐb
balnikapnayan	bɐlnɪxɐpnajɐn
balnisukat	bɐlnɪsuxɐt
balon	bɐlon
balot	bɐlot
balota	bɐlotɐ
balsa	bɐlsa
balsahan	bɐlsɐhan
balubad	bɐlubɐd
baluga	bɐluɰɐ
baluga	bɐluɰɐʔ
balukay	balʊxaɪ̯
baluktot	bɐlʊktot
balumbalunan	bɐlumbɐlunɐn
balut	bɐlut
baluti	bɐlutɪʔ
baluyot	bɐlujot
balwarte	bɐlwaɾte
balyan	bɐljan
balyena	bɐljenɐ
bamban	bɐmban
bambang	bɐmbaŋ
bambo	bɐmbo
bami	bamɪ
bami	bamɪʔ
bampira	bɐmpiɾɐ
bamus	bamʊs
bana	banɐ
bana	banɐʔ
bana	bɐnaʔ
banaag	banɐɐɡ
banaag	bɐnaʔɐɡ
banaba	bɐnɐba
banal	bɐnal
banas	bɐnas
banat	banɐt
banat	bɐnat
banawa	bɐnawɐ
banayad	bɐnajɐd
banban	bɐnban
banda	bandɐ
banda	bɐnda
bandalismo	bɐndɐlismo
banday	bandaɪ̯
bandeha	bɐndehɐ
bandido	bɐndido
bandila	bɐndilɐʔ
bandurya	bɐnduɾjɐ
bandyo	band͡ʒo
banga	baŋɐʔ
banga	bɐŋaʔ
bangag	bɐŋaɡ
bangan	baŋɐn
bangan	bɐŋan
bangas	baŋɐs
bangas	bɐŋas
bangaw	baŋaʊ̯
bangaw	bɐŋaʊ̯
bangcay	bɐŋkaɪ̯
bangga	bɐŋɡaʔ
banggit	bɐŋɡit
banghay	bɐŋhaɪ̯
bangin	bɐŋin
bangis	bɐŋis
bangka	bɐŋkaʔ
bangkal	bɐŋkal
bangkarote	bɐŋkɐɾote
bangkas	bɐŋkas
bangkay	bɐŋkaɪ̯
bangketa	bɐŋketɐ
bangkete	bɐŋkete
bangkilas	bɐŋkilɐs
bangkiling	bɐŋkɪliŋ
bangkito	bɐŋkitoʔ
bangkiwi	bɐŋkɪwiʔ
bangko	bɐŋkoʔ
bangkoro	bɐŋkoɾo
bangkukang	bɐŋkuxɐŋ
bangkuro	bɐŋkuɾo
bangkuta	bɐŋkutɐʔ
bango	bɐŋo
bangon	bɐŋon
bangungot	bɐŋuŋot
bangus	bɐŋus
baniaga	bɐɲɐɰɐ
baniaga	bɐɲɐɰɐʔ
banig	bɐniɡ
banlaw	bɐnlaʊ̯
banli	bɐnliʔ
banlian	bɐnlɪʔan
banoglawin	bɐnoɡlawɪn
banos	bɐnos
banoy	banoɪ̯
bansa	bɐnsa
bansa	bɐnsaʔ
bansag	bɐnsaɡ
bansi	bɐnsiʔ
bansiw	bɐnsiʊ̯
bansot	bɐnsot
banta	bantɐʔ
banta	bɐntaʔ
bantas	bɐntas
bantay	bɐntaɪ̯
bantayan	bɐntajɐn
bantayan	bɐntɐjan
bantayog	bɐntajoɡ
bantil	bɐntil
banting	bɐntiŋ
bantiti	bɐntitɪʔ
bantiti	bɐntɪtiʔ
banto	bɐntoʔ
bantod	bɐntod
bantog	bɐntoɡ
bantok	bɐntok
bantot	bɐntot
bantuan	bɐntʊʔan
bantulot	bɐntulot
bantulot	bɐntʊlot
banyaga	bɐɲɐɰɐʔ
banyas	bɐɲas
banyera	bɐɲeɾɐ
banyo	baɲo
banyos	bɐɲos
banyuhay	bɐɲʊhaɪ̯
baog	bɐʔoɡ
baon	bɐʔon
bapor	bɐpoɾ
baquiran	bɐxiɾɐn
bara	baɾɐ
bara	bɐɾa
barado	bɐɾado
baraha	bɐɾahɐ
baraka	bɐɾaxɐ
barakilan	bɐɾɐxilɐn
barako	bɐɾaxo
barangay	bɐɾɐŋɡaɪ̯
barat	bɐɾat
barbero	bɐɾbeɾo
barberya	bɐɾbeɾja
barbosa	bɐɾbosɐ
barcelona	bɐɾselonɐ
bardagol	bɐɾdɐɰol
barena	bɐɾenɐ
barera	bɐɾeɾɐ
bareta	bɐɾetɐ
barha	baɾhɐ
barik	baɾɪk
barik	bɐɾik
barikada	bɐɾɪxadɐ
barikod	bɐɾɪxod
baril	bɐɾil
bariles	bɐɾiles
baritono	bɐɾitono
baritono	bɐɾɪtono
barkada	bɐɾkadɐ
barkilyos	bɐɾkiljos
barko	bɐɾko
barnis	bɐɾnis
barok	bɐɾok
baron	bɐɾon
barong	bɐɾoŋ
barquilla	bɐɾkiljɐ
bartender	bɐɾtendeɾ
bartolina	bɐɾtolinɐ
bartolome	bɐɾtolome
barumbada	bɐɾumbadɐ
barumbado	bɐɾumbado
barya	bɐɾja
basa	basɐ
basa	bɐsa
basa	bɐsaʔ
basag	basɐɡ
basag	bɐsaɡ
basagin	bɐsaɰɪn
basagulero	bɐsɐɰʊleɾo
basahan	bɐsahɐn
basahin	bɐsahɪn
basakay	bɐsaxaɪ̯
basangal	bɐsaŋɐl
basanlot	bɐsɐnlot
basar	bɐsaɾ
basbas	bɐsbas
basbasan	bɐsbɐsan
bascoguin	bɐskoɰɪn
basehan	bɐsehan
basi	basɪʔ
basig	basɪɡ
basilan	bɐsilɐn
basilika	bɐsilɪxa
basisig	bɐsisɪɡ
baskag	bɐskaɡ
baskagan	bɐskaɰɐn
basketbolista	bɐsketbolistɐ
baso	bɐso
bassig	bassɪɡ
basta	bastɐ
basta	bɐsta
basta	bɐstaʔ
bastardo	bɐstaɾdo
bastos	bɐstos
basuka	bɐsuxɐ
basura	bɐsuɾɐ
basurahan	bɐsʊɾahɐn
basurahan	bɐsʊɾɐhan
basurera	bɐsʊɾeɾɐ
basurero	bɐsʊɾeɾo
basyo	bɐʃo
basyuhin	bɐʃʊhin
bata	batɐ
bata	batɐʔ
bata	bɐta
bataan	bɐtaʔɐn
bataan	bɐtɐʔan
batad	bɐtad
batag	batɐɡ
batag	bɐtaɡ
batak	batɐk
batak	bɐtak
batallones	bɐtɐllones
batalyon	bɐtɐljon
batanes	bɐtanes
batangas	bɐtaŋɡɐs
batangueño	bɐtɐŋɡeɲo
batar	bɐtaɾ
bataraza	bɐtɐɾasɐ
batas	bɐtas
batasan	batasɐn
bataw	bataʊ̯
bataw	bɐtaʊ̯
batay	bataɪ̯
batayan	bɐtajɐn
batayan	bɐtɐjan
batchoy	bɐt͡ʃoɪ̯
baterya	bɐteɾja
bathala	bɐthalɐʔ
bathalaan	bɐthɐlaʔɐn
bati	batɪʔ
bati	bɐti
bati	bɐtiʔ
batia	bɐt͡ʃaʔ
batid	bɐtid
batidor	bɐtɪdoɾ
batik	bɐtik
batikano	bɐtɪxano
batikos	bɐtixos
batikusin	bɐtɪxusɪn
batingaw	bɐtɪŋaʊ̯
batingawan	bɐtɪŋawɐn
batingting	bɐtɪŋtiŋ
batis	batɪs
batiti	bɐtitɪʔ
bato	bɐto
batsilyer	bɐt͡ʃɪljeɾ
batsoy	bɐt͡ʃoɪ̯
batugan	bɐtuɰɐn
batukan	bɐtuxɐn
batuktok	batʊktok
batulang	bɐtʊlaŋ
batuta	bɐtutɐʔ
batutay	bɐtutaɪ̯
batya	bɐt͡ʃaʔ
batyaw	bɐt͡ʃaʊ̯
baunan	baʔunɐn
baunan	baʔʊnan
baunan	bɐʔʊnan
bauzon	baʊ̯son
bawa	bawɐ
bawal	bawɐl
bawang	bawɐŋ
bawang	bɐwaŋ
bawas	bawɐs
bawas	bɐwas
bawat	bawɐt
bawaw	bawaʊ̯
baway	bawaɪ̯
bawi	bawɪʔ
bawi	bɐwiʔ
bawian	bɐwiʔɐn
bawtisteryo	baʊ̯tɪsteɾjo
baya	bajɐ
baya	bajɐʔ
bayabas	bɐjabɐs
bayabasan	bajɐbɐsan
bayabasan	bɐjɐbasɐn
bayad	bajɐd
bayad	bɐjad
bayag	bɐjaɡ
bayan	bajɐn
bayani	bɐjanɪ
bayanihan	bɐjɐnihɐn
bayar	bajɐɾ
bayaran	bɐjaɾɐn
bayaran	bɐjɐɾan
bayarin	bajɐɾɪn
bayarin	bɐjɐɾin
bayaw	bajaʊ̯
bayaw	bɐjaʊ̯
bayawak	bɐjawɐk
baybay	baɪ̯baɪ̯
baybayin	baɪ̯bajɪn
baybayin	baɪ̯bɐjin
bayki	baɪ̯xɪ
bayna	baɪ̯na
bayna	baɪ̯nɐ
baynilya	baɪ̯niljɐ
bayno	baɪ̯no
bayo	bɐjo
bayolente	bɐjolente
bayoneta	bɐjonetɐ
bayong	baɪ̯ʔoŋ
bayong	bɐjoŋ
bayugo	bɐjuɰo
baywang	baɪ̯waŋ
baywang	bewɐŋ
bañaga	bɐɲɐɰɐ
beatipikasyon	beɐtɪpɪxɐʃon
bejasa	behasɐ
beke	bexeʔ
beki	bexɪ
belarus	belaɾʊs
belarusya	belɐɾuʃɐ
belat	belɐt
belhika	belhɪxɐ
belhiko	belhɪxo
belosidad	belosɪdad
bendisyon	bendɪʃon
benepisyaryo	benepɪʃɐɾjo
benepisyo	benepiʃo
beneswela	beneswelɐ
benesyana	beneʃɐnɐ
benggala	beŋɡalɐ
benipayo	benɪpajo
benta	bentɐ
bentaha	bentahɐ
bentilador	bentɪlɐdoɾ
bentilasyon	bentɪlɐʃon
benus	benʊs
berdugo	beɾduɰo
bergonia	beɾɡoɲɐ
beripika	beɾɪpɪxa
beripikahin	beɾɪpɪxɐhin
beripikasyon	beɾɪpɪxɐʃon
bernabe	beɾnɐbe
bernakulo	beɾnaxʊlo
bersikulo	beɾsixʊlo
bersiyon	beɾʃon
bertdey	beɾtdeɪ̯
bestida	bestidɐ
beterinaryo	beteɾɪnaɾjo
betis	betɪs
betsin	bet͡ʃɪn
bewang	bewɐŋ
beynte	beɪ̯nte
beysbol	beɪ̯sbol
biak	bɪʔak
biaya	biɐjɐʔ
bibig	bɪbiɡ
bibilis	bɪbɪlis
bibingka	bɪbiŋkɐ
bibliya	biblja
bida	bidɐ
bidbid	bɪdbid
bidbiran	bɪdbiɾɐn
bidbiran	bɪdbɪɾan
bigamiya	bɪɰɐmiɐ
bigamya	bɪɰamjɐ
bigamya	bɪɰɐmja
bigas	bɪɰas
bigasan	biɰasɐn
bigat	bɪɡʔat
bigat	bɪɰat
bigaw	bɪɰaʊ̯
bigay	bɪɰaɪ̯
bigha	bɪɡhaʔ
bighani	bɪɡhanɪʔ
bigkas	bɪɡkas
bigkis	bɪɡkis
bigla	bɪɡlaʔ
biglaan	bɪɡlaʔɐn
bignay	bɪɡnaɪ̯
bigo	bɪɰoʔ
bigonya	bɪɰoɲɐ
bigote	bɪɰote
bigotilyo	bɪɰotiljo
bigti	bɪɡti
bigti	bɪɡtiʔ
bigtihin	bɪɡtɪhin
bigtiin	bɪɡtɪʔin
bigting	bɪɡtiŋ
biguin	bɪɰʊʔin
bigwas	bɪɡwas
bigyan	bɪɡjan
biha	bihɐ
bihag	bihɐɡ
bihag	bɪhaɡ
bihasa	bɪhasɐ
bihasa	bɪhasɐʔ
bihasa	bɪhɐsa
bihasa	bɪhɐsaʔ
bihilante	bɪhɪlante
bihilya	bɪhiljɐ
bihira	bɪhiɾɐʔ
bihis	bihɪs
bihis	bɪhis
biik	bɪʔik
bika	bɪxaʔ
bikaryo	bɪxaɾjo
bikas	bixɐs
bikas	bɪxas
bikat	bixɐt
biki	bixɪʔ
bikig	bɪxiɡ
biko	bixo
bikolana	bɪxolanɐ
bikolano	bɪxolano
biktima	biktɪma
bila	bilɐ
bilabila	bɪlɐbɪla
bilad	bɪlad
bilang	bilɐŋ
bilang	bɪlaŋ
bilangan	bɪlaŋɐn
bilangan	bɪlɐŋan
bilanggo	bɪlɐŋɡoʔ
bilangguan	bɪlɐŋɡuʔɐn
bilangin	bilɐŋin
bilangin	bɪlaŋɪn
bilao	bɪlaʔo
bilaok	bɪlaʔok
bilas	bɪlas
bilasa	bɪlasɐʔ
bilasa	bɪlɐsaʔ
bilauo	bɪlawo
bilbil	bɪlbil
bilhan	bɪlhan
bilhin	bɪlhin
bili	bɪli
bilibid	bɪlibɪd
bilig	bɪliɡ
bilin	bilɪn
biliran	bɪliɾɐn
bilis	bɪlis
bilisan	bɪlɪsan
bilog	bɪloɡ
bilot	bɪlot
biloy	biloɪ̯
bilubilo	bɪlubɪlo
bilugan	bɪluɰɐn
bilugan	bɪlʊɰan
bilugin	bɪluɰɪn
bilulo	bɪlulo
biluslawas	bɪlʊslawɐs
bilyar	bɪljaɾ
bilyaran	bɪljaɾɐn
bilyon	bɪljon
bilyonarya	bɪljonaɾjɐ
bilyonaryo	bɪljonaɾjo
bimbin	bɪmbin
bimol	bɪmol
binabae	bɪnɐbaʔe
binabae	bɪnɐbɐʔe
binabasa	bɪnɐbasɐ
binabayi	bɪnɐbajɪ
binago	bɪnaɰo
binagre	bɪnaɡɾe
binalalak	bɪnɐlalɐk
binasa	bɪnasɐ
binat	binɐt
binata	bɪnatɐʔ
binatilyo	bɪnɐtiljo
binaysok	bɪnaɪ̯sok
bingguhan	bɪŋɡuhɐn
bingi	bɪŋi
bingi	bɪŋiʔ
bingit	biŋɪt
bingot	bɪŋot
bingwit	bɪŋwit
binhay	bɪŋhaɪ̯
binhi	bɪŋhiʔ
bini	binɪʔ
binibini	bɪnɪbinɪ
biniboy	bɪniboɪ̯
binili	bɪnɪli
binokulo	bɪnoxʊlo
binsa	bɪnsaʔ
binta	bintɐ
bintag	bɪntaɡ
bintana	bɪntanɐʔ
bintang	bɪntaŋ
binti	bɪntiʔ
binting	bɪntiŋ
bintog	bɪntoɡ
binundok	bɪnʊndok
binutil	bɪnutɪl
binuya	bɪnujɐ
binyag	bɪɲaɡ
biray	biɾaɪ̯
biray	bɪɾaɪ̯
bireta	bɪɾetɐ
birey	biɾeɪ̯
birimbaw	bɪɾɪmbaʊ̯
biruin	bɪɾuʔɪn
birus	biɾʊs
bisa	bisɐ
bisa	bisɐʔ
bisagra	bɪsaɡɾɐ
bisaklat	bɪsɐklat
bisaya	bɪsajɐʔ
biscocho	bɪskot͡ʃo
bisig	bisɪɡ
bisikleta	bɪsɪkletɐ
bisiro	bɪsiɾo
bisita	bɪsitɐ
bisitahin	bɪsɪtahɪn
biskonde	bɪskonde
biskondesa	bɪskondesɐ
biskuwit	bɪskwit
biso	bɪsoʔ
bisor	bɪsoɾ
bista	bistɐ
bistado	bɪstado
bisyesto	bɪʃesto
bisyo	biʃo
bitad	bɪtad
bitag	bitɐɡ
bitak	bɪtak
bitamina	bɪtɐminɐ
bitaog	bɪtaʔoɡ
bitas	bitɐs
bitaw	bɪtaʊ̯
bitay	bitaɪ̯
bitayan	bɪtɐjan
bitbit	bɪtbit
bithay	bɪthaɪ̯
bitig	bitɪɡ
bitig	bɪtiɡ
bitin	bitɪn
bitin	bɪtin
bitiw	bɪtiʊ̯
bito	bɪtoʔ
bitsin	bɪt͡ʃin
bitso	bɪt͡ʃo
bitsuwelas	bɪt͡ʃʊelɐs
bituin	bɪtuin
