'ch	χ
beicio	bei̯kjɔ
beicio	bei̯kɔ
beiddio	beiðjɔ
beidio	beidjɔ
beidr	bei̯dr
beiriannwr	bei̯rjanʊr
beirniad	bei̯rnjad
beirniadaeth	bei̯rnjadaɨ̯θ
beirniadaeth	bei̯rnjadɛθ
beirniadaethau	bei̯rnjadeɨ̯θa
beirniadaethau	bei̯rnjadeɨ̯θaɨ̯
beirniadaethau	bei̯rnjadeɨ̯θɛ
beirniadol	bei̯rnjadɔl
beirniadu	bei̯rnjadɨ
beirniaid	bei̯rnjai̯d
beirniaid	bei̯rnjɛd
beis	beis
belffast	bɛlfasd
bellach	bɛɬaχ
ben	bɛn
bencampwr	bɛŋkampʊr
bencampwriaeth	bɛŋkampʊrjaɨ̯θ
bencampwriaeth	bɛŋkampʊrjɛθ
bencampwyr	bɛŋkampwɨ̞r
bendant	bɛndant
benderfynu	bɛndɛrvənɨ
bendith	bɛndɪθ
bendithio	bɛndɪθjɔ
bengwin	bɛŋɡwɪn
bengwiniaid	bɛŋɡwɪnjai̯d
bengwiniaid	bɛŋɡwɪnjɛd
benthycion	bɛnθəkjɔn
benthyg	bɛnθɨ̞ɡ
benyw	bɛnɨ̞u̯
benywaidd	bɛnɨ̞u̯ai̯ð
ber	bɛr
berf	bɛrv
berf annherfynol	bɛrvanhɛrvənɔl
berfau	bɛrva
berfau	bɛrvaɨ̯
berfau	bɛrvɛ
berfau annherfynol	bɛrvaanhɛrvənɔl
berfau annherfynol	bɛrvaɨ̯anhɛrvənɔl
berfau annherfynol	bɛrvɛanhɛrvənɔl
berfenw	bɛrvɛnu
berfenwau	bɛrvɛnwa
berfenwau	bɛrvɛnwaɨ̯
berfenwau	bɛrvɛnwɛ
berllan	bɛrɬan
bermo	əbɛrmɔ
berthynas	bɛrθənas
berw	bɛru
berwi	bɛrwi
beth	beːθ
bethau	bɛθa
bethau	bɛθaɨ̯
bethau	bɛθɛ
betws	bɛtʊs
beudy	beɨ̯dɨ
bi	biː
biau	biːa
biau	biːaɨ̯
biau	biːɛ
bib	biːb
bibgorn	bɪbɡɔrn
big	biːɡ
bigan	bɪɡan
bigwrn	bɪɡʊrn
bildar	bɪldar
biliwn	bɪljʊn
bin	biːn
bin	bɪn
bioleg	bjɔlɛɡ
biolegol	bjɔlɛɡɔl
biolegydd	bjɔlɛɡɨð
birmingham	bərmɪŋham
biti	bɪtɪ
biws	bɪu̯s
blaen	blaːɨ̯n
blaidd	blai̯ð
blanced	blaŋkad
blanced	blaŋkɛd
blas	blaːs
blasus	blasɨ̞s
blawd	blau̯d
ble	bleː
ble wyt ti'n byw	bleːuːɨ̯ttɨːnbɨu̯
ble wyt ti'n byw	bleːuːɨ̯ttɨːnbɪu̯
bleiddiaid	blei̯ðjai̯d
bleiddiaid	blei̯ðjɛd
bleiddiau	blei̯ðja
bleiddiau	blei̯ðjaɨ̯
bleiddiau	blei̯ðjɛ
bleidleisio	blei̯dlei̯ʃɔ
blew	bleːu̯
blewyn	blɛu̯ɨ̞n
blin	bliːn
blinedig	blɪnɛdɪɡ
blingo	blɪŋɔ
blino	blɪnɔ
blith	bliːθ
blodau	blɔda
blodau	blɔdaɨ̯
blodau	blɔdɛ
blodfresych	blɔdvrɛsɨ̞χ
blodfresychen	blɔdvrɛsəχan
blodfresychen	blɔdvrɛsəχɛn
blodyn	blɔdɨ̞n
blog	blɔɡ
blogiau	blɔɡja
blogiau	blɔɡjaɨ̯
blogiau	blɔɡjɛ
blogio	blɔɡjɔ
blogiwr	blɔɡjʊr
blogwyr	blɔɡwɨ̞r
blorai	blɔrai̯
blwch	bluːχ
blwch llwch	bluːχɬuːχ
blwydd	bluːɨ̯ð
blwyddi	blʊɨ̯ði
blwyddyn	blʊɨ̯ðɨ̞n
blwyddyn golau	blʊɨ̯ðɨ̞nɡɔla
blwyddyn golau	blʊɨ̯ðɨ̞nɡɔlaɨ̯
blwyddyn golau	blʊɨ̯ðɨ̞nɡɔlɛ
blychau llwch	bləχaɨ̯ɬuːχ
blychau llwch	bləχaɬuːχ
blychau llwch	bləχɛɬuːχ
blynedd	blənað
blynedd	blənɛð
blynyddoedd	blənəðɔɨ̯ð
blynyddoedd golau	blənəðɔɨ̯ðɡɔla
blynyddoedd golau	blənəðɔɨ̯ðɡɔlaɨ̯
blynyddoedd golau	blənəðɔɨ̯ðɡɔlɛ
bob	boːb
bobl	bɔbl
bobl	bɔbɔl
bobloedd	bɔblɔɨ̯ð
boch	boːχ
bochdew	bɔχdɛu̯
bocsio	bɔkʃɔ
bocsiwr	bɔkʃʊr
bocswyr	bɔkswɨ̞r
bod	boːd
bodd	boːð
boddi	bɔði
boenen	bɔɨ̯nɛn
boeni	bɔɨ̯nɨ
boi	bɔi̯
bol	bɔl
boncyff	bɔŋkɨ̞f
bondigrybwyll	bɔndɪɡrəbʊɨ̯ɬ
boneddiges	bɔnɛðɪɡɛs
boneddigesau	bɔnɛðɪɡɛsa
boneddigesau	bɔnɛðɪɡɛsaɨ̯
boneddigesau	bɔnɛðɪɡɛsɛ
boneddigion	bɔnɛðɪɡjɔn
bongorff	bɔŋɡɔrf
bonheddig	bɔnhɛðɪɡ
boptai	bɔptai̯
bopty	bɔptɨ
bord	bɔrd
bordydd	bɔrdɨ̞ð
bore	bɔra
bore	bɔrɛ
bore da	bɔradaː
bore da	bɔrɛdaː
bortiwgal	bɔrtjʊɡal
bortiwgal	bɔrtɪu̯ɡal
brad	braːd
braen	braːɨ̯n
braenu	brei̯ni
braenu	breɨ̯nɨ̞
braf	braːv
braich	brai̯χ
brain	brai̯n
braint	brai̯nt
bras	braːs
braster	brastɛr
brasterog	brasdɛrɔɡ
brathu	braθɨ̞
braw	braːu̯
brawd	brau̯d
brawiau	brau̯ja
brawiau	brau̯jaɨ̯
brawiau	brau̯jɛ
brawychdod	brau̯əχdɔd
brawychiad	brau̯əχjad
brawychiadau	brau̯əχjada
brawychiadau	brau̯əχjadaɨ̯
brawychiadau	brau̯əχjadɛ
brawychiaeth	brau̯əχjaɨ̯θ
brawychiaeth	brau̯əχjɛθ
brawychus	brau̯əχɨ̞s
brawychwr	brau̯əχʊr
brawychwyr	brau̯əχwɨ̞r
brech	breːχ
brechdan	brɛχdan
brecsit	brɛksɪt
brecwast	brɛkwast
breifat	brei̯vat
brenhines	brɛnhɪnas
brenhines	brɛnhɪnɛs
brenin	brɛnɪn
bresych	brɛsɨ̞χ
bresychen	brɛsəχan
bresychen	brɛsəχɛn
breuddwyd	breɨ̯ðʊɨ̯d
breuddwydio	breɨ̯ðʊɨ̯djɔ
breuddwydion	breɨ̯ðʊɨ̯djɔn
brexit	brɛksɪt
bri	briː
briallen	brjaɬɛn
briallen	brɪaɬɛn
briallu	brjaɬɨ̞
briallu	brɪaɬɨ̞
bric	brɪk
briciau	brikja
briciau	brikjaɨ̯
briciau	brikjɛ
brics	brɪks
bricsen	brɪksan
bricsen	brɪksɛn
bricyll	brɪkɨ̞ɬ
brif	briːv
brig	briːɡ
brig y nos	briːɡənoːs
brith	briːθ
briw	brɪu̯
broch	broːχ
brochion	brɔχjɔn
brochod	brɔχɔd
brodyr	brɔdɨ̞r
broga	brɔɡa
bron	brɔn
bronrhuddyn y mynydd	brɔnr̥ɨ̞ðɨ̞nəmənɨ̞ð
bronwen	brɔnwɛn
brwd	bruːd
brwdfrydedd	brʊdvrədað
brwdfrydedd	brʊdvrədɛð
brwmstan	brʊmsdan
brwydr	brʊɨ̯dr
brwydrau	brʊɨ̯dra
brwydrau	brʊɨ̯draɨ̯
brwydrau	brʊɨ̯drɛ
brwydro	brʊɨ̯drɔ
brwydrwr	brʊɨ̯drʊr
brwydrwyr	brʊɨ̯drwɨ̞r
brwyn	bruːɨ̯n
brwyna	brʊɨ̯na
brwysg	bruːɨ̯sk
brych	brɨːχ
bryd	brɨːd
brydain	brədai̯n
brydain	brədɛn
bryf	brɨːv
bryfed	brəvad
bryfed	brəvɛd
bryn	brɨ̞n
bryna	brəna
bryngaer	brəŋɡaɨ̯r
bryngaer	brɨ̞ŋɡaɨ̯r
bryniau	brənja
bryniau	brənjaɨ̯
bryniau	brənjɛ
brynu	brənɨ
brys	brɨːs
bryste	brɨ̞stɛ
brysur	brəsɨ̞r
brython	brəθɔn
brythoneg	brəθɔnɛɡ
brân	braːn
brân gernyw	braːnɡɛrnɨu̯
brân gernyw	braːnɡɛrnɪu̯
brëyr	breːɨ̞r
bu	bɨː
bual	bɨ̞al
buan	bɨ̞an
budd	bɨːð
buddion	bɨ̞ðjɔn
buddsoddi	bɨ̞ðsɔðɪ
buddug	bɨ̞ðɨ̞ɡ
buddugol	bɨ̞ðɨ̞ɡɔl
buddugoliaeth	bɨ̞ðɨ̞ɡɔljaɨ̯θ
buddugoliaeth	bɨ̞ðɨ̞ɡɔljɛθ
buddugwr	bɨ̞ðɨ̞ɡʊr
buddugwyr	bɨ̞ðɨ̞ɡwɨ̞r
bugail	bɪɡai̯l
bugail	bɪɡɛl
bum	bɨ̞m
bunt	bɨ̞nt
bur	bɨːr
busnes	bɨ̞snas
busnes	bɨ̞snɛs
buwch	bɨu̯χ
bwa	buːa
bwa'r gwynt	buːarɡwɨ̞nt
bwced	bʊkad
bwced	bʊkɛd
bwch	buːχ
bwgan	bʊɡan
bwl	bʊl
bwlch	bʊlχ
bwlgaria	bʊlɡarja
bwm y gors	bʊməɡɔrs
bwrdd	bʊrð
bwrw	bʊru
bwrw hen wragedd â ffyn	bʊrʊheːnwraɡɛðafɨ̞n
bws	bʊs
bwthyn	bʊθɨ̞n
bwyd	buːɨ̯d
bwydydd	bʊɨ̯dɨ̞ð
bwyta	bəta
bwyta	bʊɨ̯ta
bwytadwy	bʊɨ̯tadʊɨ̯
bwyty	bʊɨ̯tɨ̞
bychan	bəχan
bychod	bəχɔd
byd	bɨːd
bydd	bɨːð
byddai	bəða
byddai	bəðai̯
byddai	bəðɛ
byddar	bəðar
byddarol	bəðarɔl
byddaru	bəðarɨ
byddi	bəðɪ
byddin	bəðɪn
byddwch	bəðʊχ
byddwn	bəðʊn
byliau	bəlja
byliau	bəljaɨ̯
byliau	bəljɛ
bynnag	bənaɡ
byr	bɨ̞r
byrddydd	bərðɨ̞ð
byrddydd gaeaf	bərðɨ̞ðɡeɨ̯a
byrddydd gaeaf	bərðɨ̞ðɡeɨ̯av
bys troed	bɨːstroːɨ̯d
bysell	bəsɛɬ
bysellfwrdd	bəsɛɬvʊrð
bysgod	bəsɡɔd
bysgodyn	bəsɡɔdɨ̯n
bysgota	bəsɡɔta
byth	bɨːθ
byth	bɨ̞θ
bythynnod	bəθənɔd
byw	bɨu̯
byw	bɪu̯
bywgraffiadur	bɨu̯ɡrafjadɨ̞r
bywgraffiadur	bɪu̯ɡrafjadɨ̞r
bywiog	bɨ̞u̯jɔɡ
bywyd	bəu̯ɨ̞d
bàth	baθ
bôm	boːm
bôn	boːn
bûm	bɨːm
bŵt	buːt
ca	kaː
cacen	kakan
cacen	kakɛn
cacen fach	kakambaːχ
cacen fach	kakɛmbaːχ
cacen gri	kakaŋɡriː
cacen gri	kakɛŋɡriː
cacennau	kakɛna
cacennau	kakɛnaɨ̯
cacennau	kakɛnɛ
cacennau cri	kakɛnakriː
cacennau cri	kakɛnaɨ̯kriː
cacennau cri	kakɛnɛkriː
cach	kaːχ
cacha	kaχa
cachai	kaχai̯
cachai	kaχɛ
cachais	kaχai̯s
cachais	kaχɛs
cachan	kaχan
cachen	kaχɛn
caches	kaχɛs
cachet	kaχɛt
cachgi bwm	kaχɡɪbʊm
cachgwn bwm	kaχɡʊmbʊm
cachi	kaχɪ
cachlwyth	kaχlʊɨ̯θ
cachu	kaχɨ̞
cacs	kaks
cacs bach	kaksbaːχ
cactws	kaktʊs
cacwn	kakʊn
cacwn meirch	kakʊmmei̯rχ
cacynen	kakənan
cacynen	kakənɛn
cacynen feirch	kakənanvei̯rχ
cacynen feirch	kakənɛnvei̯rχ
cad	kaːd
cadach	kadaχ
cadair	kadai̯r
cadair	kadar
cadair	kadɛr
cadarn	kadarn
cadd	kaːð
cadernid	kadɛrnid
cadlas	kadlas
cadnawes	kadnau̯ɛs
cadno	kadnɔ
cadw	kadu
cadwch	kadʊχ
cadwyn	kadʊɨ̯n
cae	kaːɨ̯
caeaf	keɨ̯a
caeaf	keɨ̯av
caed	kaːɨ̯d
caeir	keɨ̯ɪr
cael	kaːl
cael	kaːɨ̯l
caem	kaːɨ̯m
caen	kaːɨ̯n
caer	kaːɨ̯r
caer arianrhod	kaːɨ̯rarjanr̥ɔd
caer gwydion	kaːɨ̯rɡwədjɔn
caer gwydion	kaːɨ̯rɡwɨ̞djɔn
caerau	keɨ̯ra
caerau	keɨ̯raɨ̯
caerau	keɨ̯rɛ
caerdydd	kaɨ̯rdɨːð
caerdydd	kərdɨːð
caeredin	kaɨ̯rɛdɨ̞n
caerfaddon	kaɨ̯rvaðɔn
caerffili	kaɨ̯rfɪli
caergaint	kaɨ̯rɡai̯nt
caergrawnt	kaɨ̯rɡrau̯nt
caerhirfryn	kaɨ̯rhɪrvrɨ̞n
caerliwelydd	kaɨ̯rlɪu̯ɛlɨ̞ð
caerloyw	kaɨ̯rlɔɨ̯ʊ
caerlŷr	kaɨ̯rlɨːr
caernarfon	kaɨ̞rnarvɔn
caersallog	kaɨ̯rsaɬɔɡ
caerwrangon	kaɨ̯rwraŋɔn
caerwynt	kaɨ̯rwɨ̞nt
caerwysg	kaɨ̯ruːɨ̯sɡ
caeth	kaːɨ̯θ
caeth	kaːθ
caf	kaː
caf	kaːv
cafas	kavas
caffai	kafai̯
caffed	kafɛd
caffel	kafɛl
caffent	kafɛnt
caffer	kafɛr
caffi	kafi
caffis	kafɪs
caffîn	kafiːn
cafiar	kavjar
cafiâr	kavjaːr
cafodd	kavɔð
cafon	kavɔn
cafwyd	kavʊɨ̯d
caiff	kai̯f
caill	kai̯ɬ
cain	kai̯n
caint	kai̯nt
cais	kai̯s
cait	kai̯t
cala	kala
calan	kalan
calchfaen	kalχvaɨ̯n
caled	kalad
caled	kalɛd
caledu	kalɛdɨ
calenigion	kalɛnɪɡjɔn
caleted	kalɛtɛd
calon	kalɔn
calsiwm	kalsjʊm
cam	kam
camau	kama
camau	kamaɨ̯
camau	kamɛ
camgymeriad	kamɡəmɛrjad
camlwrw	kamlʊrʊ
campfa	kampva
campwr	kampʊr
camsefyll	kamsɛvɨ̞ɬ
camu	kamɨ
can	kan
cana	kana
canaf	kanav
canai	kanai̯
canai	kanɛ
canais	kanai̯s
canais	kanɛs
canais	kanɛʃ
canais	kanɪʃ
canant	kanant
canem	kanɛm
canen	kanɛn
canent	kanɛnt
caner	kanɛr
canes	kanɛs
canet	kanɛt
cangarŵ	kaŋɡaruː
cangarŵod	kaŋɡaruːɔd
cangen	kaŋan
cangen	kaŋɛn
canghellor	kaŋhɛɬɔr
canhwyllau	kanhʊi̯ɬa
canhwyllau	kanhʊi̯ɬɛ
canhwyllau	kanhʊɨ̯ɬaɨ̯
canhwyllbren	kanhʊɨ̯ɬbrɛn
cani	kanɪ
caniatáu	kanjataɨ̯
caniatâd	kanjataːd
caniau	kanja
caniau	kanjaɨ̯
caniau	kanjɛ
canit	kanɪt
canlyn	kanlɨ̞n
canlyniad	kanlənjad
canlynol	kanlənɔl
canmol	kanmɔl
canmoladwy	kanmɔladʊɨ̯
canmoliaeth	kanmɔljaɨ̯θ
canmoliaeth	kanmɔljɛθ
canmoliaethau	kanmɔljeɨ̯θa
canmoliaethau	kanmɔljeɨ̯θaɨ̯
canmoliaethau	kanmɔljeɨ̯θɛ
canmolwr	kanmɔlʊr
canmolwyr	kanmɔlwɨ̞r
cannu	kanɨ̞
cannwyll	kanʊɨ̯ɬ
cannydd	kanɨ̞ð
cano	kanɔ
canol	kanɔl
canolaf	kanɔlav
canolbarth	kanɔlbarθ
canoli	kanɔli
canolig	kanɔlɪɡ
canolog	kanɔlɔɡ
canolwr	kanɔlʊr
canolwyr	kanɔlwɨ̞r
canon	kanɔn
canrif	kanrɪv
cansai	kansai̯
cansai	kansɛ
cansen	kansɛn
canslo	kanslɔ
cant	kant
cantor	kantɔr
cantores	kantɔrɛs
canu	kanɨ̞
canwr	kanʊr
canwyllbrennau	kanʊɨ̯ɬbrɛna
canwyllbrennau	kanʊɨ̯ɬbrɛnaɨ̯
canwyllbrennau	kanʊɨ̯ɬbrɛnɛ
canyddion	kanəðjɔn
capel	kapɛl
car	kar
cara	kara
carafannau	karavana
carafannau	karavanaɨ̯
carafannau	karavanɛ
carafán	karavan
carafáns	karavans
carai	karai̯
carai	karɛ
carais	karai̯s
carais	karɛs
carais	karɛʃ
carais	karɪʃ
caran	karan
carant	karant
carbon	karbɔn
carchar	karχar
carco	karkɔ
cared	karɛd
caredig	karɛdɪɡ
caredigrwydd	karɛdɪɡrʊɨ̯ð
carem	karɛm
caren	karɛn
carent	karɛnt
cares	karɛs
carest	karɛsd
caret	karɛt
carew	karɛu̯
carfil	karvɪl
carfil bach	karvɪlbaːχ
carfilod bach	karvɪlɔdbaːχ
cari	karɪ
cariad	karjad
carit	karɪt
carnedd	karnɛð
carneddi	karnɛði
caro	karɔ
carom	karɔm
caron	karɔn
carreg	karaɡ
carreg	karɛɡ
carreg galch	kɛrɪɡɡalχ
carsi	karsi
carthen	karθan
carthen	karθɛn
carthennau	karθɛna
carthennau	karθɛnaɨ̯
carthennau	karθɛnɛ
carthenni	karθɛnɪ
cartre	kartra
cartre	kartrɛ
cartref	kartra
cartref	kartrɛ
cartref	kartrɛv
caru	karɨ̞
carw	karu
carw llychlyn	karuɬəχlɨ̞n
carwr	karʊr
cas	kaːs
cas beth	kaːsbeːθ
casach	kasaχ
cased	kasɛd
casgen	kasɡɛn
casglu	kasɡlɨ
casnewydd	kasnɛu̯ɨ̞ð
casnewydd	kaːsnɛu̯ɨ̞ð
castanwydd	kasdanwɨ̞ð
castanwydden	kasdanwɨ̞ðan
castanwydden	kasdanwɨ̞ðɛn
castell	kasdaɬ
castell	kasdɛɬ
casáu	kasaɨ̯
casét	kasɛt
cath	kaːθ
cathau	kaθa
cathau	kaθaɨ̯
cathau	kaθɛ
cathbysgod	kaθbəsɡɔd
cathod	kaθɔd
catholig	kaθɔlɪɡ
catholigiaeth	kaθɔlɪɡjaɨ̯θ
catholigiaeth	kaθɔlɪɡjɛθ
catholigion	kaθɔlɪɡjɔn
cato	katɔ
cau	kaɨ̯
cawl	kau̯l
cawn	kau̯n
cawna	kau̯na
cawod	kau̯ɔd
cawr	kau̯r
caws	kau̯s
cbac	kbak
ce	keː
cecraeth	kɛkraɨ̯θ
cecren	kɛkrɛn
cecru	kɛkrɨ
cecrus	kɛkrɨ̞s
cedor	kɛdɔr
ceffyl	kɛfɨ̞l
cefn	kɛvn
cefnau	kɛvna
cefnau	kɛvnaɨ̯
cefnau	kɛvnɛ
cefnog	kɛvnɔɡ
ceg	keːɡ
cei	kei̯
ceidw	kei̯du
ceiliog	kei̯ljɔɡ
ceillgwd	keiɬɡʊd
ceinach	kei̯naχ
ceiniog	kei̯njɔɡ
ceir	kei̯r
ceirios	kei̯rjɔs
ceisio	kei̯ʃɔ
ceith	kəi̯θ
celai	kɛlai̯
celen	kɛlɛn
celet	kɛlɛt
cell	kɛɬ
celli	kɛɬɪ
celwydd	kɛlwɨ̞ð
celyn	kɛlɨ̞n
celynna	kɛləna
celynnen	kɛlənan
celynnen	kɛlənɛn
cen	kɛn
cen cerrig	kɛnkɛrɪɡ
cen coed	kɛnkoːɨ̯d
cen pen	kɛnpɛn
cen y cerrig	kɛnəkɛrɪɡ
cen y coed	kɛnəkoːɨ̯d
cenedl	kɛnɛdl
cenedlaethol	kɛnɛdleɨ̯θɔl
cenhedlu	kɛnhɛdlɨ̞
cenhinen	kɛnhɪnan
cenhinen	kɛnhɪnɛn
cenhinen bedr	kɛnhɪnambɛdr
cenhinen bedr	kɛnhɪnɛmbɛdr
cenhinen sifi	kɛnhɪnansɪvɪ
cenhinen sifi	kɛnhɪnɛnsɪvɪ
ceni	kɛnɪ
cenna	kɛna
cennad	kɛnad
cennin pedr	kɛnɪmpɛdr
cennin sifi	kɛnhɪnɛnsɪvɪ
cer	kɛr
cerais	kɛrai̯s
cerbyd	kɛrbɨ̞d
cerdd	kɛrð
cerdd dant	kɛrðdant
cerdded	kɛrðɛd
cerddor	kɛrðɔr
cerddoriaeth	kɛrðɔrjaɨ̯θ
cerddoriaeth	kɛrðɔrjɛθ
ceredigion	kɛrɛdɪɡjɔn
ceri	kɛrɪ
cerir	kɛrɪr
cernyw	kɛrnɨ̞u̯
cernyweg	kɛrnəu̯ɛɡ
cerpyn	kɛrpɨ̞n
cerrig	kɛrɪɡ
cerwch	kɛrʊχ
cerwyn	kɛruɨ̯n
cesail	kɛsai̯l
cesail	kɛsɛl
cesar	kɛsar
cest	kɛsd
cestyll	kɛsdɨ̞ɬ
ceubren	keɨ̯brɛn
ceulo	keɨ̯lɔ
cewch	kɛu̯χ
cewri	kɛu̯ri
chacen	χakan
chacen	χakɛn
chacha	χaχa
chachi	χaχɪ
chad	χaːd
chadair	χadai̯r
chadair	χadar
chadair	χadɛr
chae	χaːɨ̯
chael	χaːl
chael	χaːɨ̯l
chaen	χaːɨ̯n
chaeredin	χaɨ̯rɛdɨ̞n
chaf	χaː
chaf	χaːv
chafas	χavas
chaffed	χafɛd
chaffer	χafɛr
chaffi	χafi
chain	χai̯n
chaint	χai̯nt
chais	χai̯s
chalan	χalan
chaled	χalad
chaled	χalɛd
chalenigion	χalɛnɪɡjɔn
chalennig	χalɛnɪɡ
chaleted	χalɛtɛd
chalon	χalɔn
chana	χana
chanes	χanɛs
chani	χanɪ
chanlyniad	χanlənjad
chansen	χansɛn
chant	χant
chantor	χantɔr
chanu	χanɨ̞
chanwr	χanʊr
chapel	χapɛl
char	χar
chara	χara
charafán	χaravan
charai	χarai̯
charai	χarɛ
charan	χaran
chared	χarɛd
chares	χarɛs
charet	χarɛt
chari	χarɪ
chariad	χarjad
charo	χarɔ
charwr	χarʊr
chas	χaːs
chastell	χasdaɬ
chastell	χasdɛɬ
chath	χaːθ
chathod	χaθɔd
chato	χatɔ
chawl	χau̯l
chawod	χau̯ɔd
chaws	χau̯s
chdi	χdiː
cheffyl	χɛfɨ̞l
chefn	χɛvn
chefnau	χɛvna
chefnau	χɛvnaɨ̯
chefnau	χɛvnɛ
chegin	χɛɡɪn
chei	χei̯
cheir	χei̯r
cheisio	χei̯ʃɔ
chell	χɛɬ
chelyn	χɛlɨ̞n
chenhinen	χɛnhɪnan
chenhinen	χɛnhɪnɛn
cherdded	χɛrðɛd
cherddoriaeth	χɛrðɔrjaɨ̯θ
cherddoriaeth	χɛrðɔrjɛθ
cheri	χɛrɪ
cherir	χɛrɪr
ches	χeːs
chest	χɛst
chestyll	χɛsdɨ̞ɬ
chewch	χɛu̯χ
chi	χiː
chinio	χɪnjɔ
chlefyd	χlɛvɨ̞d
chloan	χlɔan
chloch	χloːχ
chlust	χlɨːst
chlustdlws	χlɨ̞sdlʊs
chlwb	χlʊb
chly	χlɨː
chlybiau	χləbja
chlybiau	χləbjaɨ̯
chlybiau	χləbjɛ
chlyw	χlɨu̯
chlyw	χlɪu̯
chlywed	χləu̯ad
chlywed	χləu̯ɛd
chnau	χnaɨ̯
chnau cyll	χnaɨ̯kɨ̞ɬ
chnau ffrengig	χnaɨ̯frɛŋɪɡ
chneuen	χneɨ̯an
chneuen	χneɨ̯ɛn
chneuen ffrengig	χneɨ̯anfrɛŋɪɡ
chneuen ffrengig	χneɨ̯ɛnfrɛŋɪɡ
chneuen gyll	χneɨ̯anɡɨ̞ɬ
chneuen gyll	χneɨ̯ɛnɡɨ̞ɬ
chnwd	χnuːd
choch	χoːχ
chochlas	χɔχlas
chodi	χɔdɪ
choed	χoːɨ̯d
choeg	χoːɨ̯ɡ
chofio	χɔvjɔ
choginio	χɔɡɪnjɔ
cholli	χɔɬi
chopa	χɔpa
chor	χɔr
chorff	χɔrf
chosyn	χɔsɨ̞n
chot	χɔt
christ	χriːst
chroes	χroːɨ̯s
chrwth	χruːθ
chu	χɨː
chul	χɨːl
chusan	χɨ̞san
chusanau	χɨ̞sana
chusanau	χɨ̞sanaɨ̯
chusanau	χɨ̞sanɛ
chusanu	χɨ̞sanɨ̞
chut	χɨ̞t
chwaer	χwaːɨ̯r
chwain	χwai̯n
chwalu	χwalɨ̞
chwannog	χwanɔɡ
chwarae	χwara
chwarae	χwaraɨ̯
chwarae	χwarɛ
chwardd	χwarð
chwarel	χwaral
chwarel	χwarɛl
chwarren	χwarɛn
chwch	χʊχ
chwe	χweː
chwech	χweːχ
chwech ar hugain	χweːχarhɪɡai̯n
chweched	χwɛχad
chweched	χwɛχɛd
chwedl	χwɛdl
chwefror	χwɛvrɔr
chweina	χwei̯na
chwennych	χwɛnɨ̞χ
chwenychu	χwɛnəχɨ
chwern	χwɛrn
chwerthin	χwɛrθɨ̞n
chwerw	χwɛru
chwerwddwr	χwɛrwðʊr
chwerwddwr	χwɛrðʊr
chwery	χwɛrɨ
chwestiwn	kwɛsdjʊn
chweugain	χwei̯ɡai̯n
chwi	χwiː
chwigain	χwɪɡai̯n
chwilio	χwɪljɔ
chwinciad	χwɪŋkjad
chwiorydd	χwiɔrɨ̞ð
chwip	χwɪp
chwisgi	wɪsɡi
chwisgi	χwɪsɡi
chwith	χwiːθ
chwningen	χʊnɪŋan
chwningen	χʊnɪŋɛn
chwpan	χʊpan
chwpwrdd	χʊpʊrð
chwrdd	χʊrð
chwrs	χʊrs
chwrw	χʊru
chwydd	χuːɨ̯ð
chwydd	χwɨːð
chwyddiant	χwəðjant
chwyddo	χwɨ̞ðɔ
chwyldro	χwɨ̞ldrɔ
chwympo	χwɨmpɔ
chwyno	χʊɨ̯nɔ
chwyrn	χwɨ̞rn
chwyrnaf	χwərnav
chwyrnu	χwərnɨ
chwys	χwɨːs
chwyth	χwɨːθ
chwythaf	χwəθa
chwythaf	χwəθav
chwythu	χwəθɨ̞
chwŷl	χwɨːl
chychwyn	χəχwɨ̞n
chydbreswylwyr	χɨːdbrɛsʊɨ̯lwɨ̞r
chyfarfod	χwarvɔd
chyfarfod	χəvarvɔd
chyfforddus	χəfɔrðɨ̞s
chyfiawnder	χəvjau̯ndɛr
chyflym	χəvlɨ̞m
chyfnither	χəvnɪθar
chyfnither	χəvnɪθɛr
chyfoethog	χəvɔɨ̯θɔɡ
chyfreithiwr	χəvrei̯θjʊr
chylchgrawn	χəlχɡrau̯n
chylchgrawn	χɨ̞lχɡrau̯n
chymaint	χəmai̯nt
chymaint	χəmɛnt
chymedrolwr	χəmɛdrɔlʊr
chymedrolwyr	χəmɛdrɔlwɨ̞r
chymorth	χəmɔrθ
chymru	χəmrɨ̞
chymylog	χəməlɔɡ
chyngor	χəŋɔr
chynhadledd	χənhadlɛð
chynnwrf	χənʊrv
chyrraedd	χərað
chyrraedd	χəraɨ̯ð
chyrraedd	χərɛð
chysgu	χəsɡɨ
chystadlu	χəsdadlɨ
chythraul	χəθral
chythraul	χəθraɨ̯l
chythraul	χəθrɛl
chythreuliaid	χəθreɨ̯ljai̯d
chythreuliaid	χəθreɨ̯ljɛd
chân	χaːn
chôt	χoːt
chôt law	χoːtlaːu̯
ci	kiː
cic	kɪk
cic adlam	kɪkadlam
cic gosb	kɪkɡoːsb
ciciau	kikja
ciciau	kikjaɨ̯
ciciau	kikjɛ
ciciau adlam	kikjaadlam
ciciau adlam	kikjaɨ̯adlam
ciciau adlam	kikjɛadlam
ciciau cosb	kɪkjaɡoːsb
ciciau cosb	kɪkjaɨ̯koːsb
ciciau cosb	kɪkjɛɡoːsb
cicio	kɪkjɔ
cig	kiːɡ
cigfran	kɪɡvran
cil	kiːl
