ա	ɑ
բարձրաձայնել	pʰɑɾt͡sʰɾɑt͡sʰɑjnɛl
բարձրանալ	pʰɑɾt͡sʰɾɑnɑl
բարձրավանդակ	pʰɑɾt͡sʰɾɑvɑntʰɑɡ
բարձրացնել	pʰɑɾt͡sʰɾɑt͡sʰənɛl
բարձրացում	pʰɑɾt͡sʰɾɑt͡sʰum
բարձրորակ	pʰɑɾt͡sʰɾɔɾɑɡ
բարձրություն	pʰɑɾt͡sʰɾutʰʏn
բարձրունք	pʰɑɾt͡sʰɾuŋkʰ
բարմեն	pʰɑɾmɛn
բարյավ	pʰɑɾjɑv
բարոյական	pʰɑɾɔjɑɡɑn
բարոյականություն	pʰɑɾɔjɑɡɑnutʰʏn
բարոն	pʰɑɾɔn
բարով	pʰɑɾɔv
բարութ	pʰɑɾutʰ
բարսեղ	pʰɑɾsɛʁ
բարսեղյան	pʰɑɾsɛʁjɑn
բարվոք	pʰɑɾvɔkʰ
բարտի	pʰɑɾdi
բարք	pʰɑɾkʰ
բարօրություն	pʰɑɾɔɾutʰʏn
բաց	pʰɑt͡sʰ
բացակա	pʰɑt͡sʰɑɡɑ
բացականչ	pʰɑt͡sʰɑɡɑnt͡ʃʰ
բացականչական	pʰɑt͡sʰɑɡɑnt͡ʃʰɑɡɑn
բացականչել	pʰɑt͡sʰɑɡɑnt͡ʃʰɛl
բացականչություն	pʰɑt͡sʰɑɡɑnt͡ʃʰutʰʏn
բացականչում	pʰɑt͡sʰɑɡɑnt͡ʃʰum
բացահայտ	pʰɑt͡sʰɑhɑjd
բացահայտում	pʰɑt͡sʰɑhɑjdum
բացառաբար	pʰɑt͡sʰɑɾɑpʰɑɾ
բացառական	pʰɑt͡sʰɑɾɑɡɑn
բացառապես	pʰɑt͡sʰɑɾɑbɛs
բացառել	pʰɑt͡sʰɑɾɛl
բացառիկ	pʰɑt͡sʰɑɾiɡ
բացառիկություն	pʰɑt͡sʰɑɾiɡutʰʏn
բացառություն	pʰɑt͡sʰɑɾutʰʏn
բացառվել	pʰɑt͡sʰɑɾvɛl
բացասական	pʰɑt͡sʰɑsɑɡɑn
բացատ	pʰɑt͡sʰɑd
բացատրական	pʰɑt͡sʰɑdɾɑɡɑn
բացատրել	pʰɑt͡sʰɑdɾɛl
բացատրություն	pʰɑt͡sʰɑdəɾutʰʏn
բացարձակ	pʰɑt͡sʰɑɾt͡sʰɑɡ
բացել	pʰɑt͡sʰɛl
բացի	pʰɑt͡sʰi
բացորոշ	pʰɑt͡sʰɔɾɔʃ
բացորոշաբար	pʰɑt͡sʰɔɾɔʃɑpʰɑɾ
բացորոշակի	pʰɑt͡sʰɔɾɔʃɑɡi
բացորոշապես	pʰɑt͡sʰɔɾɔʃɑbɛs
բացում	pʰɑt͡sʰum
բացվածք	pʰɑt͡sʰvɑt͡sʰkʰ
բացօթյա	pʰɑt͡sʰɔtʰjɑ
բաքու	pʰɑkʰu
բդեշխ	pʰətʰɛʃχ
բդխ	pʰətʰəχə
բեբել	pʰɛpʰɛl
բեգեմոնդ	pʰɛkʰɛmɔntʰ
բեգեմոնտ	pʰɛkʰɛmɔnd
բեգեմոտ	pʰɛkʰɛmɔd
բեդոկ	pʰɛtʰɔɡ
բեզմեն	pʰɛzmɛn
բեթհովեն	pʰɛtʰhɔvɛn
բեթղեհեմ	pʰɛtʰχɛhɛm
բել	pʰɛl
բելառուս	pʰɛlɑɾus
բելառուսական	pʰɛlɑɾusɑɡɑn
բելառուսերեն	pʰɛlɑɾusɛɾɛn
բելգիա	pʰɛlkʰjɑ
բելգորոդ	pʰɛlkʰɔɾɔtʰ
բելգրադ	pʰɛlkʰɾɑtʰ
բելիզ	pʰɛliz
բելիսարիոս	pʰɛlisɑɾiɔs
բելմոպան	pʰɛlmɔbɑn
բելոռուսերեն	pʰɛlɔɾusɛɾɛn
բելուջերեն	pʰɛlut͡ʃʰɛɾɛn
բելուջստան	pʰɛlut͡ʃʰəstɑn
բեխաբար	pʰɛχɑpʰɑɾ
բեկանել	pʰɛɡɑnɛl
բեկել	pʰɛɡɛl
բեկոր	pʰɛɡɔɾ
բեկտել	pʰɛɡdɛl
բեհեզ	pʰɛhɛz
բեղ	pʰɛʁ
բեղեր	pʰɛʁɛɾ
բեղմ	pʰɛʁm
բեղմնավորում	pʰɛʁmnɑvɔɾum
բեղուն	pʰɛʁun
բեմ	pʰɛm
բեյսբոլ	pʰɛjspʰɔl
բեն	pʰɛn
բենգալուրու	pʰɛŋkʰɑluɾu
բենեդիկտյան	pʰɛnɛtʰiɡdjɑn
բենզալցակայան	pʰɛnzɑlət͡sʰɑɡɑjɑn
բենզասղոց	pʰɛnzɑsəʁɔt͡sʰ
բենիլյուքս	pʰɛnilʏkʰs
բենին	pʰɛnin
բեովտիա	pʰɛɔvdjɑ
բեռ	pʰɛɾ
բեռլին	pʰɛɾlin
բեռն	pʰɛɾn
բեռնախցիկ	pʰɛɾnɑχət͡sʰiɡ
բեռնատար	pʰɛɾnɑdɑɾ
բեռնյան	pʰɛɾnjɑn
բեսարաբիա	pʰɛsɑɾɑpʰjɑ
բեսեդկա	pʰisɛtʰkɑ
բեսթսելեր	pʰɛstʰsɛlɛɾ
բեսիրաթ	pʰɛsiɾɑtʰ
բետոն	pʰɛdɔn
բերան	pʰɛɾɑn
բերանային	pʰɛɾɑnɑjin
բերանացի	pʰɛɾɑnɑt͡sʰi
բերանի	pʰɛɾɑni
բերբեր	pʰɛɾpʰɛɾ
բերդ	pʰɛɾtʰ
բերել	pʰɛɾɛl
բերիլիում	pʰɛɾilijum
բերկլիում	pʰɛɾɡlijum
բերման	pʰɛɾmɑn
բերնային	pʰɛɾnɑjin
բերում	pʰɛɾum
բերրի	pʰɛɾːi
բերք	pʰɛɾkʰ
բեւեռ	pʰɛvɛɾ
բեւեռային	pʰɛvɛɾɑjin
բեւեռացույց	pʰɛvɛɾɑt͡sʰujt͡sʰ
բզեզ	pʰəzɛz
բզզալ	pʰəzːɑl
բզրուկ	pʰəzɾuɡ
բժիշկ	pʰəʒiʃk
բժշկագիտություն	pʰəʒəʃkɑkʰidutʰʏn
բժշկական	pʰəʒəʃkɑɡɑn
բժշկել	pʰəʒəʃkɛl
բժշկություն	pʰəʒəʃkutʰʏn
բժշկում	pʰəʒəʃkum
բիբ	pʰipʰ
բիբար	pʰipʰɑɾ
բիբլիոգրաֆիա	pʰipʰliɔkʰɾɑfjɑ
բիբլոս	pʰipʰlɔs
բիզ	pʰiz
բիզնես	pʰiznɛs
բիզնեսմեն	pʰiznɛsmɛn
բիզոն	pʰizɔn
բիթ	pʰitʰ
բիլ	pʰil
բիլակ	pʰilɑɡ
բիծ	pʰid͡z
բիհար	pʰihɑɾ
բիհարի	pʰihɑɾi
բիճ	pʰid͡ʒ
բինտ	pʰind
բիշկեկ	pʰiʃkɛɡ
բիշքեկ	pʰiʃkʰɛɡ
բիոլոգիա	pʰijɔlɔkʰjɑ
բիսլամա	pʰislɑmɑ
բիսմութ	pʰismutʰ
բիստրո	pʰistɾɔ
բիր	pʰiɾ
բիրմա	pʰiɾmɑ
բիրմաներեն	pʰiɾmɑnɛɾɛn
բիրմինգամ	pʰiɾmiŋkʰɑm
բիրմինգհեմ	pʰiɾmiŋkʰhɛm
բիրմինհամ	pʰiɾminhɑm
բիրոբիջան	pʰiɾɔpʰit͡ʃʰɑn
բիրտ	pʰiɾd
բլագովեշչենսկ	pʰlɑkʰɔvɛʃt͡ʃʰɛnsk
բլբլալ	pʰəlpʰəlɑl
բլբուլ	pʰəlpʰul
բլթակ	pʰəltʰɑɡ
բլիթ	pʰəlitʰ
բլղուր	pʰəlʁuɾ
բլղուրապուր	pʰəlʁuɾɑbuɾ
բլնգազ	pʰələŋkʰɑz
բլոգ	pʰlɔkʰ
բլոգեր	pʰəlɔkʰɛɾ
բլոկ	pʰəlɔɡ
բլոկադա	pʰlɔɡɑtʰɑ
բլոճ	pʰəlɔd͡ʒ
բլոջ	pʰəlɔt͡ʃʰ
բլուր	pʰəluɾ
բխել	pʰəχɛl
բհկ	pʰəhəɡə
բհոջպուրի	pʰhɔt͡ʃʰpuɾi
բղավել	pʰəʁɑvɛl
բղուղ	pʰəʁuʁ
բղջախոհություն	pʰəχt͡ʃʰɑχɔhutʰʏn
բյուզանդական	pʰʏzɑntʰɑɡɑn
բյուզանդացի	pʰʏzɑntʰɑt͡sʰi
բյուզանդիա	pʰʏzɑntʰjɑ
բյուզանդիոն	pʰʏzɑntʰjɔn
բյութանիա	pʰʏtʰɑnjɑ
բյուջե	pʰʏt͡ʃʰɛ
բյուջետային	pʰʏt͡ʃʰɛdɑjin
բյուր	pʰʏɾ
բյուրեղ	pʰʏɾɛʁ
բնաբան	pʰənɑpʰɑn
բնագիր	pʰənɑkʰiɾ
բնազանցություն	pʰənɑzɑnt͡sʰutʰʏn
բնազդ	pʰənɑstʰ
բնական	pʰənɑɡɑn
բնակարան	pʰənɑɡɑɾɑn
բնակել	pʰənɑɡɛl
բնակիչ	pʰənɑɡit͡ʃʰ
բնակչություն	pʰənɑkʰt͡ʃʰutʰʏn
բնակվել	pʰənɑɡvɛl
բնակտոր	pʰənɑɡədɔɾ
բնապահպանություն	pʰənɑbɑhbɑnutʰʏn
բնապատկեր	pʰənɑbɑdɡɛɾ
բնավորություն	pʰənɑvɔɾutʰʏn
բնովի	pʰənɔvi
բնորոշ	pʰənɔɾɔʃ
բնորոշել	pʰənɔɾɔʃɛl
բնութագրել	pʰənutʰɑkʰəɾɛl
բնություն	pʰənutʰʏn
բնույթ	pʰənujtʰ
բշտիկ	pʰəʃtiɡ
բոբիկ	pʰɔpʰiɡ
բոգոտա	pʰɔkʰɔdɑ
բոզ	pʰɔz
բոզավագ	pʰɔzɑvɑkʰ
բոզբաշ	pʰɔspʰɑʃ
բոզի	pʰɔzi
բոզոն	pʰɔzɔn
բոզություն	pʰɔzutʰʏn
բոթսվանա	pʰɔtʰəsvɑnɑ
բոժախ	pʰɔʒɑχ
բոժոժ	pʰɔʒɔʒ
բոլիվիա	pʰɔlivjɑ
բոլշեւիկ	pʰɔlʃɛviɡ
բոլոնիա	pʰɔlɔnjɑ
բոլոր	pʰɔlɔɾ
բոլորակ	pʰɔlɔɾɑɡ
բոլորը	pʰɔlɔɾə
բոլորշի	pʰɔlɔɾʃi
բոլորովին	pʰɔlɔɾɔvin
բոլորք	pʰɔlɔɾkʰ
բոլուկ	pʰɔluɡ
բոխատերեւ	pʰɔχɑdɛɾɛv
բոխի	pʰɔχi
բոկ	pʰɔɡ
բոկեղ	pʰɔɡɛʁ
բոկոտ	pʰɔɡɔd
բոկոտն	pʰɔɡɔdən
բոհեմիա	pʰɔhɛmjɑ
բոհեմունդ	pʰɔhɛmuntʰ
բող	pʰɔʁ
բողբոջ	pʰɔχpʰɔt͡ʃʰ
բողբոջել	pʰɔχpʰɔt͡ʃʰɛl
բողկ	pʰɔχk
բողկուկ	pʰɔχkuɡ
բողոճ	pʰɔʁɔd͡ʒ
բողոք	pʰɔʁɔkʰ
բողոքականություն	pʰɔʁɔkʰɑɡɑnutʰʏn
բողոքարկել	pʰɔʁɔkʰɑɾɡɛl
բողոքարկում	pʰɔʁɔkʰɑɾɡum
բողոքել	pʰɔʁɔkʰɛl
բոյ	pʰɔj
բոյաջյան	pʰɔjɑt͡ʃʰjɑn
բոյկոտ	pʰɔjɡɔd
բոնուս	pʰɔnus
բոշա	pʰɔʃɑ
բոշայերեն	pʰɔʃɑjɛɾɛn
բոպիկ	pʰɔbiɡ
բոպլիկ	pʰɔbliɡ
բոռ	pʰɔɾ
բոսնիա	pʰɔsnjɑ
բոսնիերեն	pʰɔsnjɛɾɛn
բոսոր	pʰɔsɔɾ
բոստան	pʰɔstɑn
բոսֆոր	pʰɔsfɔɾ
բով	pʰɔv
բովանդակ	pʰɔvɑntʰɑɡ
բովանդակային	pʰɔvɑntʰɑɡɑjin
բովանդակություն	pʰɔvɑntʰɑɡutʰʏn
բովել	pʰɔvɛl
բոտոշան	pʰɔdɔʃɑn
բոտսվանա	pʰɔdəsvɑnɑ
բոր	pʰɔɾ
բորակ	pʰɔɾɑɡ
բորան	pʰɔɾɑn
բորբ	pʰɔɾpʰ
բորբոս	pʰɔɾpʰɔs
բորբոք	pʰɔɾpʰɔkʰ
բորբոքել	pʰɔɾpʰɔkʰɛl
բորբոքում	pʰɔɾpʰɔkʰum
բորդել	pʰɔɾtʰɛl
բորեկ	pʰɔɾɛɡ
բորենի	pʰɔɾɛni
բորժոմ	pʰɔɾʒɔm
բորժոմի	pʰɔɾʒɔmi
բորիում	pʰɔɾium
բորշչ	pʰɔɾʃt͡ʃʰ
բորոտ	pʰɔɾɔd
բոց	pʰɔt͡sʰ
բոցարձակ	pʰɔt͡sʰɑɾt͡sʰɑɡ
բոցեղեն	pʰɔt͡sʰɛʁɛn
բու	pʰu
բուգ	pʰukʰ
բուդ	pʰutʰ
բուդապեշտ	pʰutʰɑbɛʃt
բուդդայականություն	pʰutʰːɑjɑɡɑnutʰʏn
բուդդիզմ	pʰutʰːizm
բութ	pʰutʰ
բութան	pʰutʰɑn
բութանիա	pʰutʰɑnjɑ
բուժել	pʰuʒɛl
բուժում	pʰuʒum
բուժումբուրա	pʰuʒumpʰuɾɑ
բուժքույր	pʰuʒkʰujɾ
բուլկի	pʰulɡi
բուլղարացի	pʰulʁɑɾɑt͡sʰi
բուլղարերեն	pʰulʁɑɾɛɾɛn
բուլղարիա	pʰulʁɑɾjɑ
բուխ	pʰuχ
բուխարա	pʰuχɑɾɑ
բուխարական	pʰuχɑɾɑɡɑn
բուխարեստ	pʰuχɑɾɛst
բուխարիկ	pʰuχɑɾiɡ
բուծ	pʰud͡z
բուծանել	pʰud͡zɑnɛl
բուծել	pʰud͡zɛl
բուկ	pʰuɡ
բուկովինա	pʰuɡɔvinɑ
բուհ	pʰuh
բուղա	pʰuʁɑ
բումերանգ	pʰumɛɾɑŋkʰ
բույթ	pʰujtʰ
բույլ	pʰujl
բույն	pʰujn
բույս	pʰujs
բույր	pʰujɾ
բուն	pʰun
բունկալ	pʰuŋɡɑl
բունկեն	pʰuŋɡɛn
բունոց	pʰunɔt͡sʰ
բուշտ	pʰuʃt
բուռ	pʰuɾ
բուռն	pʰuɾən
բուսաբան	pʰusɑpʰɑn
բուսաբանություն	pʰusɑpʰɑnutʰʏn
բուսական	pʰusɑɡɑn
բուսակեր	pʰusɑɡɛɾ
բուսակերություն	pʰusɑɡɛɾutʰʏn
բուսանել	pʰusɑnɛl
բուսնել	pʰusnɛl
բուստ	pʰust
բուտ	pʰud
բուրաստան	pʰuɾɑstɑn
բուրբոն	pʰuɾpʰɔn
բուրգ	pʰuɾkʰ
բուրգեր	pʰuɾkʰɛɾ
բուրգունդիա	pʰuɾkʰuntʰjɑ
բուրգունդյան	pʰuɾkʰuntʰjɑn
բուրդ	pʰuɾtʰ
բուրժուազիա	pʰuɾʒuɑzjɑ
բուրմունք	pʰuɾmuŋkʰ
բուրում	pʰuɾum
բուրունդի	pʰuɾuntʰi
բուրվառ	pʰuɾvɑɾ
բուք	pʰukʰ
բոքս	pʰɔkʰs
բջիջ	pʰət͡ʃʰit͡ʃʰ
բջջաբան	pʰət͡ʃʰət͡ʃʰɑpʰɑn
բջջաբանական	pʰət͡ʃʰət͡ʃʰɑpʰɑnɑɡɑn
բջջաբանություն	pʰət͡ʃʰət͡ʃʰɑpʰɑnutʰʏn
բջջային	pʰət͡ʃʰət͡ʃʰɑjin
բռի	pʰəɾi
բռինչ	pʰəɾint͡ʃʰ
բռնաբար	pʰəɾnɑpʰɑɾ
բռնաբարել	pʰəɾnɑpʰɑɾɛl
բռնաբարություն	pʰəɾnɑpʰɑɾutʰʏn
բռնազավթում	pʰəɾnɑzɑftʰum
բռնակալ	pʰəɾnɑɡɑl
բռնապետ	pʰəɾnɑbɛd
բռնել	pʰəɾnɛl
բռնոցի	pʰəɾnɔt͡sʰi
բռնություն	pʰəɾnutʰʏn
բռնչի	pʰəɾənt͡ʃʰi
բռունցք	pʰəɾunt͡sʰkʰ
բվեճ	pʰəvɛd͡ʒ
բտել	pʰədɛl
բրազիլիա	pʰɾɑziljɑ
բրատիսլավա	pʰɾɑdislɑvɑ
բրդել	pʰəɾtʰɛl
բրդյա	pʰəɾtʰjɑ
բրեժնեւ	pʰəɾɛʒnɛv
բրեժնեւ	pʰɾɛʒnɛv
բրետ	pʰəɾɛd
բրետոներեն	pʰɾɛdɔnɛɾɛn
բրեցել	pʰɾɛt͡sʰɛl
բրթել	pʰəɾtʰɛl
բրինձ	pʰəɾind͡z
բրինձ	pʰəɾint͡sʰ
բրիչ	pʰəɾit͡ʃʰ
բրիտանական	pʰɾidɑnɑɡɑn
բրիտանացի	pʰɾidɑnɑt͡sʰi
բրիտանիա	pʰɾidɑnjɑ
բրյանսկ	pʰɾjɑnsk
բրյուսել	pʰɾʏsɛl
բրնձապուր	pʰəɾənd͡zɑbuɾ
բրնձապուր	pʰəɾənt͡sʰɑbuɾ
բրոմ	pʰɾɔm
բրոնզ	pʰəɾɔnz
բրոշ	pʰəɾɔʃ
բրոունյան	pʰɾɔunjɑn
բրունեյ	pʰɾunɛj
բրուտ	pʰɾud
բրուցելոզ	pʰɾut͡sʰɛlɔz
գ	kʰə
գաբոն	kʰɑpʰɔn
գաբորոնե	kʰɑpʰɔɾɔnɛ
գաբրիել	kʰɑpʰɾijɛl
գագաթ	kʰɑkʰɑtʰ
գագաթնաժողով	kʰɑkʰɑtʰnɑʒɔʁɔv
գագիկ	kʰɑkʰiɡ
գագուլ	kʰɑkʰul
գագուլիկ	kʰɑkʰuliɡ
գագրա	kʰɑkʰɾɑ
գադես	kʰɑtʰɛs
գադոլինիում	kʰɑtʰɔlinijum
գազ	kʰɑz
գազա	kʰɑzɑ
գազալցակայան	kʰɑzɑlət͡sʰɑɡɑjɑn
գազախ	kʰɑzɑχ
գազայի	kʰɑzɑji
գազան	kʰɑzɑn
գազանանոց	kʰɑzɑnɑnɔt͡sʰ
գազանություն	kʰɑzɑnutʰʏn
գազավոն	kʰɑzɑvɔn
գազար	kʰɑzɑɾ
գազարագույն	kʰɑzɑɾɑkʰujn
գազոն	kʰɑzɔn
գազոնահնձիչ	kʰɑzɔnɑhənt͡sʰit͡ʃʰ
գաթա	kʰɑtʰɑ
գալ	kʰɑl
գալակտիկա	kʰɑlɑɡdiɡɑ
գալակտիկական	kʰɑlɑɡdiɡɑɡɑn
գալար	kʰɑlɑɾ
գալարել	kʰɑlɑɾɛl
գալարվել	kʰɑlɑɾvɛl
գալեն	kʰɑlɛn
գալիլեա	kʰɑlilɛjɑ
գալիլեյ	kʰɑlilɛj
գալիլիա	kʰɑliljɑ
գալիում	kʰɑlijum
գալիում	kʰɑliʏm
գալիս	kʰɑlis
գալիցիա	kʰɑlit͡sʰjɑ
գալյեգո	kʰɑljɛkʰɔ
գալուստ	kʰɑlust
գալստյան	kʰɑləstjɑn
գալստուկ	kʰɑlstuɡ
գահ	kʰɑh
գահակալել	kʰɑhɑɡɑlɛl
գահասրահ	kʰɑhɑsəɾɑh
գահավանդ	kʰɑhɑvɑntʰ
գահավանդակ	kʰɑhɑvɑntʰɑɡ
գահիրե	kʰɑhiɾɛ
գահույք	kʰɑhujkʰ
գաղատիա	kʰɑʁɑdjɑ
գաղափար	kʰɑʁɑpʰɑɾ
գաղափարագիր	kʰɑʁɑpʰɑɾɑkʰiɾ
գաղափարախոս	kʰɑʁɑpʰɑɾɑχɔs
գաղափարախոսական	kʰɑʁɑpʰɑɾɑχɔsɑɡɑn
գաղափարախոսություն	kʰɑʁɑpʰɑɾɑχɔsutʰʏn
գաղել	kʰɑʁɛl
գաղթ	kʰɑχtʰ
գաղթել	kʰɑχtʰɛl
գաղթեցում	kʰɑχtʰɛt͡sʰum
գաղիանոս	kʰɑʁjɑnɔs
գաղձ	kʰɑχt͡sʰ
գաղութ	kʰɑʁutʰ
գաղութատեր	kʰɑʁutʰɑdɛɾ
գաղութատիրություն	kʰɑʁutʰɑdiɾutʰʏn
գաղջ	kʰɑχt͡ʃʰ
գաղտ	kʰɑχt
գաղտակուր	kʰɑχtɑɡuɾ
գաղտնաբառ	kʰɑχtnɑpʰɑɾ
գաղտնի	kʰɑχtni
գաղտնիք	kʰɑχtnikʰ
գաղտրիկ	kʰɑχtɾiɡ
գամ	kʰɑm
գամակ	kʰɑmɑɡ
գամբիա	kʰɑmpʰjɑ
գամել	kʰɑmɛl
գամետ	kʰɑmɛd
գամիրք	kʰɑmiɾkʰ
գամփռ	kʰɑmpʰəɾ
գայանա	kʰɑjɑnɑ
գայանե	kʰɑjɑnɛ
գայթակղել	kʰɑjtʰɑɡəʁɛl
գայթակղություն	kʰɑjtʰɑɡəʁutʰʏn
գայիսոն	kʰɑjisɔn
գայլ	kʰɑjl
գայլաձուկ	kʰɑjlɑt͡sʰuɡ
գայլաշուն	kʰɑjlɑʃun
գայլենի	kʰɑjlɛni
գայլիկոն	kʰɑjliɡɔn
գայկա	kʰɑjɡɑ
գայռ	kʰɑjɾ
գան	kʰɑn
գանա	kʰɑnɑ
գանգ	kʰɑŋkʰ
գանգաթիթեռ	kʰɑŋkʰɑtʰitʰɛɾ
գանգատ	kʰɑŋkʰɑd
գանգես	kʰɑŋkʰɛs
գանգուր	kʰɑŋkʰuɾ
գանգրագեղ	kʰɑŋkʰɾɑkʰɛʁ
գանգրածածկ	kʰɑŋkʰɾɑd͡zɑd͡zɡ
գանգրածայր	kʰɑŋkʰɾɑd͡zɑjɾ
գանգրահեր	kʰɑŋkʰɾɑhɛɾ
գանգրաձեւ	kʰɑŋkʰɾɑt͡sʰɛv
գանգրամազ	kʰɑŋkʰɾɑmɑz
գանգրանալ	kʰɑŋkʰɾɑnɑl
գանգրանման	kʰɑŋkʰɾɑnəmɑn
գանգրաշուք	kʰɑŋkʰɾɑʃukʰ
գանգրավարս	kʰɑŋkʰɾɑvɑɾs
գանգրավոր	kʰɑŋkʰɾɑvɔɾ
գանգրավուն	kʰɑŋkʰɾɑvun
գանգրացնել	kʰɑŋkʰɾɑt͡sʰənɛl
գանգրացում	kʰɑŋkʰɾɑt͡sʰum
գանգրացվել	kʰɑŋkʰɾɑt͡sʰvɛl
գանգրափունջ	kʰɑŋkʰɾɑpʰunt͡ʃʰ
գանգրել	kʰɑŋkʰɾɛl
գանգրենա	kʰɑŋkʰɾɛnɑ
գանգրիկ	kʰɑŋkʰɾiɡ
գանգրոց	kʰɑŋkʰɾɔt͡sʰ
գանգրություն	kʰɑŋkʰɾutʰʏn
գանգրվել	kʰɑŋkʰəɾvɛl
գանդինագար	kʰɑntʰinɑkʰɑɾ
գանձ	kʰɑnt͡sʰ
գանձակ	kʰɑnt͡sʰɑɡ
գանձավոր	kʰɑnt͡sʰɑvɔɾ
գանձատուփ	kʰɑnt͡sʰɑdupʰ
գանձարան	kʰɑnt͡sʰɑɾɑn
գաուչո	kʰɑut͡ʃʰɔ
գաջ	kʰɑt͡ʃʰ
գառ	kʰɑɾ
գառնանգղ	kʰɑɾnɑŋkʰəʁ
գառնարած	kʰɑɾnɑɾɑd͡z
գառնենի	kʰɑɾnɛni
գառնիկ	kʰɑɾniɡ
գասկոնցի	kʰɑskɔnt͡sʰi
գասպարյան	kʰɑspɑɾjɑn
գաստնիցա	ɡɑstnit͡sʰɑ
գավազան	kʰɑvɑzɑn
գավաթ	kʰɑvɑtʰ
գավառ	kʰɑvɑɾ
գավառական	kʰɑvɑɾɑɡɑn
գավգամելա	kʰɑfkʰɑmɛlɑ
գավիթ	kʰɑvitʰ
գավոտ	kʰɑvɔd
գավրիլ	kʰɑvɾil
գարեգին	kʰɑɾɛkʰin
գարեջուր	kʰɑɾɛt͡ʃʰuɾ
գարի	kʰɑɾi
գարիկ	kʰɑɾiɡ
գարնային	kʰɑɾnɑjin
գարնանային	kʰɑɾnɑnɑjin
գարշ	kʰɑɾʃ
գարշապար	kʰɑɾʃɑbɑɾ
գարշել	kʰɑɾʃɛl
գարուն	kʰɑɾun
գափ	kʰɑpʰ
գաֆեսճյան	kʰɑfɛsd͡ʒjɑn
գգվանք	kʰəkʰvɑŋkʰ
գգվել	kʰəkʰvɛl
գդալ	kʰətʰɑl
գդակ	kʰətʰɑɡ
գդակագործ	kʰətʰɑɡɑkʰɔɾd͡z
գել	kʰɛl
գելարան	kʰɛlɑɾɑn
գելել	kʰɛlɛl
գելոց	kʰɛlɔt͡sʰ
գեղ	kʰɛʁ
գեղագանգուր	kʰɛʁɑkʰɑŋkʰuɾ
գեղագետ	kʰɛʁɑkʰɛd
գեղագիտություն	kʰɛʁɑkʰidutʰʏn
գեղամ	kʰɛʁɑm
գեղամյան	kʰɛʁɑmjɑn
գեղանի	kʰɛʁɑni
գեղարդ	kʰɛʁɑɾtʰ
գեղարվեստական	kʰɛʁɑɾvɛstɑɡɑn
գեղարքունի	kʰɛʁɑɾkʰuni
գեղարքունիք	kʰɛʁɑɾkʰunikʰ
գեղացի	kʰɛʁɑt͡sʰi
գեղգեղել	kʰɛʁkʰɛʁɛl
գեղեցիկ	kʰɛʁɛt͡sʰiɡ
գեղեցկահարմար	kʰɛʁɛt͡sʰkɑhɑɾmɑɾ
գեղեցկություն	kʰɛʁɛt͡sʰkutʰʏn
գեղեցկուհի	kʰɛʁɛt͡sʰkuhi
գեղեցկուհին	kʰɛʁɛt͡sʰkuhin
գեղձ	kʰɛʁd͡z
գեղձի	kʰɛχt͡sʰi
գեղմ	kʰɛʁm
գեղմնակ	kʰɛʁmənɑɡ
գեղմնավոր	kʰɛʁmnɑvɔɾ
գեղոն	kʰɛʁɔn
գեղջուկ	kʰɛχt͡ʃʰuɡ
գեղցի	kʰɛχt͡sʰi
գեյզեր	kʰɛjzɛɾ
գեն	kʰɛn
գենդալֆ	kʰɛntʰɑlf
գեներալ	kʰɛnɛɾɑl
գեշ	kʰɛʃ
գեոլոգիա	kʰɛjɔlɔkʰjɑ
գեջ	kʰɛt͡ʃʰ
գեռլա	kʰɛɾlɑ
գես	kʰɛs
գեստապո	kʰɛstɑbɔ
գեստապոյական	kʰɛstɑbɔjɑɡɑn
գետ	kʰɛd
գետաբերան	kʰɛdɑpʰɛɾɑn
գետակ	kʰɛdɑɡ
գետակինճ	kʰɛdɑɡind͡ʒ
գետահովիտ	kʰɛdɑhɔvid
գետաձի	kʰɛdɑt͡sʰi
գետառ	kʰɛdɑɾ
գետափ	kʰɛdɑpʰ
գետին	kʰɛdin
գետնախնձոր	kʰɛdnɑχənt͡sʰɔɾ
գետնահարկ	kʰɛdnɑhɑɾɡ
գետնաշարժ	kʰɛdnɑʃɑɾʒ
գետնառյուծ	kʰɛdnɑɾʏd͡z
գետնից	kʰɛdnit͡sʰ
գեր	kʰɛɾ
գերագնահատել	kʰɛɾɑkʰənɑhɑdɛl
գերագույն	kʰɛɾɑkʰujn
գերադրական	kʰɛɾɑtʰɾɑɡɑn
գերազանց	kʰɛɾɑzɑnt͡sʰ
գերազանցություն	kʰɛɾɑzɑnt͡sʰutʰʏn
գերակա	kʰɛɾɑɡɑ
գերան	kʰɛɾɑn
գերանդի	kʰɛɾɑntʰi
գերատեսչություն	kʰɛɾɑdɛst͡ʃʰutʰʏn
գերդաստան	kʰɛɾtʰɑstɑn
գերեզման	kʰɛɾɛzmɑn
գերեզմանոց	kʰɛɾɛzmɑnɔt͡sʰ
գերել	kʰɛɾɛl
գերեվարում	kʰɛɾɛvɑɾum
գերի	kʰɛɾi
գերիրապաշտություն	kʰɛɾiɾɑbɑʃtutʰʏn
գերխնդիր	kʰɛɾχəntʰiɾ
գերծել	kʰɛɾd͡zɛl
գերճշտում	kʰɛɾd͡ʒəʃtum
գերմակ	kʰɛɾmɑɡ
