да	dˈɑ
телімі	telɪmˈɪ
теңізге	teŋɪzɡˈe
тізімінен	tɪzɪmɪnˈen
түзетуге	tuzetwɡˈe
түсіріліп	tusɪɾɪlˈɪp
түтін	tutˈɪn
тәркілеу	tæɾkɪlˈew
тәртіпсіздіктер	tæɾtɪpsɪzdɪktˈeɾ
хабарына	xɑbˈɑɾənɑ
ханы	xˈɑnə
хаттарын	xɑttˈɑɾən
шақырылып	ʃˈɑqəɾəɫəp
шаңырағы	ʃˈɑŋəɾɑʀə
шетелдерге	ʃeteɫdeɾɡˈe
шұқып	ʃˈʊqəp
экономикада	ekonˈoməjkɑdɑ
эстрада	estɾɑdˈɑ
ішуге	ɪʃwɡˈe
Құс	qˈʊs
қабылдаймыз	qˈɑbəɫdɑjməz
қазаға	qɑzɑʀˈɑ
қалмапты	qɑɫmˈɑptə
қандайда	qɑndɑjdˈɑ
қаралау	qɑɾɑɫˈɑw
қарсыластарынан	qˈɑɾsəɫɑstɑɾənɑn
қағаздары	qɑʀɑzdˈɑɾə
қозғалады	qozʀɑɫˈɑdə
қолдауды	qoɫdˈɑwdə
қорларын	qoɾɫˈɑɾən
қостанайлық	qostɑnˈɑjɫəq
қосылғанын	qˈosəɫʀɑnən
қысылып	qəsəɫəp
қысқарған	qəsqɑɾʀɑn
Үсенов	usenˈov
ұжымының	ˈʊʒəmənəŋ
ұйымдардан	ˈʊjəmdɑɾdɑn
ұлдарының	ʊɫdˈɑɾənəŋ
ұлттан	ʊɫttˈɑn
ұрлады	ʊɾɫˈɑdə
ұрысқа	ˈʊɾəsqɑ
ұшар	ʊʃˈɑɾ
әдебиетінің	ædˈebəjetɪnɪŋ
әкімшілікке	ækɪmʃɪlɪkkˈe
әшкерелеу	æʃkeɾelˈew
өзгерістің	ɵzɡeɾɪstˈɪŋ
өндірісті	ɵndɪɾɪstˈɪ
өтемақыны	ɵtemˈɑqənə
өш	ˈɵʃ
АК	ˈɑk
Аида	ˈɑəjdɑ
Аралдың	ɑɾˈɑɫdəŋ
Базар	bɑzˈɑɾ
Бибігүл	bəjbɪɡuɫ
Бірыңғай	bˈɪɾəŋʀɑj
Бәкиев	bˈækəjev
Видеода	vəjdeodɑ
Винявский	vəjnjavskəjj
Дик	dəjk
Египетте	ˈeɡəjpette
ЕуроОдақ	ewɾˈoodˈɑq
Жазда	ʒɑzdˈɑ
Жарыстың	ʒˈɑɾəstəŋ
Женевадағы	ʒenevɑdˈɑʀə
Жүнісов	ʒunɪsˈov
Зекейұлы	zekejˈʊɫə
Кеңестің	keŋestˈɪŋ
Колумбия	kˈoɫwmbəjja
Комиссияның	kˈoməjssəjjanəŋ
Көбіне	kɵbɪnˈe
Мәдени	mædˈenəj
Неміс	nemˈɪs
Олимпиадасына	ˈoɫəjmpəjɑdɑsənɑ
Оралмандар	oɾɑɫmɑndˈɑɾ
Отынбаева	ˈotənbɑevɑ
Республиканың	ɾˈespwbɫəjkɑnəŋ
Рух	ɾwx
Семейдегі	semejdeɡˈɪ
Стамбулда	stɑmbwɫdˈɑ
Стивен	stəjven
Таиланд	tˈɑəjɫɑnd
Тағдыр	tˈɑʀdəɾ
Техникалық	tˈexnəjkɑɫəq
Тәжікстаннан	tæʒɪkstɑnnˈɑn
Шетелге	ʃeteɫɡˈe
аздау	ɑzdˈɑw
алмайтындай	ɑɫmˈɑjtəndɑj
аренада	ɑɾenɑdˈɑ
арзандады	ɑɾzɑndˈɑdə
астын	ˈɑstən
аумағының	ɑwmˈɑʀənəŋ
ашылатын	ˈɑʃəɫɑtən
аяқты	ɑjˈaqtə
байлығының	bˈɑjɫəʀənəŋ
бастай	bɑstˈɑj
басшыларға	bˈɑsʃəɫɑɾʀɑ
басымдыққа	bˈɑsəmdəqqɑ
баян	bɑjˈan
бағынады	bˈɑʀənɑdə
белгісін	beɫɡɪsˈɪn
бергендей	beɾɡendˈej
берілетінін	beɾɪletɪnˈɪn
блок	bɫˈok
болыс	bˈoɫəs
бюджетінің	bjudʒetɪnˈɪŋ
бюросында	bjuɾˈosəndɑ
грек	ɡɾˈek
дауласып	dɑwɫˈɑsəp
дауының	dˈɑwənəŋ
даңғаза	dɑŋʀɑzˈɑ
докторлық	doktˈoɾɫəq
ерекшеліктері	eɾekʃelɪkteɾˈɪ
есірткіні	esɪɾtkɪnˈɪ
ешкіммен	eʃkɪmmˈen
жататыны	ʒɑtˈɑtənə
жаттанды	ʒɑttˈɑndə
жауынгерлік	ʒˈɑwənɡeɾlɪk
жақсартуды	ʒɑqsˈɑɾtwdə
жақынырақ	ʒˈɑqənəɾɑq
жемісі	ʒemɪsˈɪ
жерлерден	ʒeɾleɾdˈen
жымиып	ʒəməjəp
жүргендерге	ʒuɾɡendeɾɡˈe
жүрдік	ʒuɾdˈɪk
жұртын	ʒˈʊɾtən
жұқа	ʒʊqˈɑ
жұққан	ʒʊqqˈɑn
жәй	ʒˈæj
инфрақұрылымы	əjnfɾɑqʊɾəɫəmə
келтіруді	keɫtɪɾwdˈɪ
келісілген	kelɪsɪɫɡˈen
кодексін	kodeksˈɪn
коррупциямен	kˈoɾɾwptsəjjamen
күрдтер	kuɾdtˈeɾ
күресінен	kuɾesɪnˈen
көрсеткіштер	kɵɾsetkɪʃtˈeɾ
материалдарында	mɑtˈeɾəjɑɫdɑɾəndɑ
механизм	mexˈɑnəjzm
мигранттарға	məjɡɾɑnttɑɾʀɑ
мынаған	mənɑʀɑn
міндеттері	mɪndetteɾˈɪ
мұздай	mʊzdˈɑj
орнығып	ˈoɾnəʀəp
орындамаған	ˈoɾəndɑmɑʀɑn
орындыққа	ˈoɾəndəqqɑ
оқылымда	ˈoqəɫəmdɑ
парақшасы	pɑɾɑqʃˈɑsə
процестерге	pɾotsesteɾɡˈe
пікірлерге	pɪkɪɾleɾɡˈe
рұқсатымен	ɾʊqsˈɑtəmen
сайлауларда	sɑjɫɑwɫɑɾdˈɑ
салалар	sɑɫɑɫˈɑɾ
салқыны	sˈɑɫqənə
санымен	sˈɑnəmen
саудасын	sɑwdˈɑsən
стандартты	stɑndˈɑɾttə
судьяны	swdʔjˈanə
сынынан	sənənɑn
сұр	sˈʊɾ
сұхбаттасқан	sʊxbɑttɑsqˈɑn
табандылық	tɑbˈɑndəɫəq
тайпа	tɑjpˈɑ
таяған	tɑjaʀˈɑn
тағамдар	tɑʀɑmdˈɑɾ
тағуға	tɑʀwʀˈɑ
тақырыптың	tˈɑqəɾəptəŋ
технологияның	texnoɫˈoɡəjjanəŋ
титтей	təjttej
тігін	tɪɡˈɪn
түріндегі	tuɾɪndeɡˈɪ
тұрғандықтан	tʊɾʀˈɑndəqtɑn
тұрғысыз	tˈʊɾʀəsəz
тұстар	tʊstˈɑɾ
тұқымын	tˈʊqəmən
тәртібінде	tæɾtɪbɪndˈe
төменге	tɵmenɡˈe
төсекте	tɵsektˈe
хандар	xɑndˈɑɾ
швейцариялық	ʃvejtsˈɑɾəjjaɫəq
шетіне	ʃetɪnˈe
шүбә	ʃubˈæ
ысырап	əsəɾɑp
іштен	ɪʃtˈen
Қазкоммерцбанк	qɑzkommeɾtsbˈɑnk
Қызмет	qəzmet
қажеттілігін	qɑʒettɪlɪɡˈɪn
қазасын	qɑzˈɑsən
қазынасы	qˈɑzənɑsə
қайраткерлерінің	qɑjɾɑtkeɾleɾɪnˈɪŋ
қаралап	qɑɾɑɫˈɑp
қаржыландырады	qˈɑɾʒəɫɑndəɾɑdə
қиындатып	qəjəndɑtəp
қиял	qəjjaɫ
қорды	qˈoɾdə
қуанышы	qwˈɑnəʃə
қудаланып	qwdɑɫˈɑnəp
құрлықтың	qˈʊɾɫəqtəŋ
құрметтеу	qʊɾmettˈew
ұйымдастырады	ˈʊjəmdɑstəɾɑdə
ұйымынан	ˈʊjəmənɑn
ұстанымдарын	ʊstˈɑnəmdɑɾən
ұсыныстың	ˈʊsənəstəŋ
Әзірбайжанда	æzɪɾbɑjʒɑndˈɑ
әйелімен	æjelɪmˈen
әкеме	ækemˈe
әлдеқандай	æɫdeqɑndˈɑj
әуреге	æwɾeɡˈe
өзгерісті	ɵzɡeɾɪstˈɪ
өр	ˈɵɾ
өткеніне	ɵtkenɪnˈe
Абу	ˈɑbw
Алтынбектің	ˈɑɫtənbektɪŋ
Ауылдық	ˈɑwəɫdəq
Ақтаудан	ɑqtɑwdˈɑn
Баукең	bɑwkˈeŋ
Ерекше	eɾekʃˈe
Ерғалиеваның	eɾʀˈɑɫəjevɑnəŋ
Есіргеповтің	esɪɾɡepovtˈɪŋ
Ештеңе	eʃteŋˈe
Жанарбек	ʒɑnɑɾbˈek
Интернетке	əjnteɾnetke
Калифорния	kˈɑɫəjfoɾnəjja
МАГАТЭ	mɑɡɑtˈe
Маман	mɑmˈɑn
Мануэль	mɑnwˈeɫʔ
Мақаланы	mɑqɑɫˈɑnə
Милан	məjɫɑn
Орыстар	ˈoɾəstɑɾ
Орысша	ˈoɾəsʃɑ
Сарбөпеев	sɑɾbɵpeˈev
Саған	sɑʀˈɑn
Танков	tɑnkˈov
Толық	tˈoɫəq
Фарида	fˈɑɾəjdɑ
Шүкеев	ʃukeˈev
Экологиялық	ekoɫˈoɡəjjaɫəq
ажырасу	ˈɑʒəɾɑsw
айтпаймын	ɑjtpˈɑjmən
алғандарын	ɑɫʀɑndˈɑɾən
американ	ɑmˈeɾəjkɑn
антитеррорлық	ˈɑntəjteɾɾoɾɫəq
асырылған	ˈɑsəɾəɫʀɑn
ашықтық	ˈɑʃəqtəq
аяқталғанша	ɑjaqtɑɫʀɑnʃˈɑ
ағамның	ɑʀˈɑmnəŋ
белшеден	beɫʃedˈen
бермекші	beɾmekʃˈɪ
берілгені	beɾɪɫɡenˈɪ
білетінін	bɪletɪnˈɪn
бірігуі	bɪɾɪɡwˈɪ
данамен	dɑnɑmˈen
дардай	dɑɾdˈɑj
долларынан	doɫɫˈɑɾənɑn
егіп	eɡˈɪp
егіс	eɡˈɪs
екпеден	ekpedˈen
жазасыз	ʒɑzˈɑsəz
жазудың	ʒˈɑzwdəŋ
жазумен	ʒɑzwmˈen
жалауын	ʒɑɫˈɑwən
жалтарып	ʒɑɫtˈɑɾəp
жамағат	ʒɑmɑʀˈɑt
жаудырған	ʒˈɑwdəɾʀɑn
жақсартып	ʒɑqsˈɑɾtəp
жолаушыларды	ʒoɫˈɑwʃəɫɑɾdə
жұмады	ʒʊmˈɑdə
игілігіне	əjɡɪlɪɡɪne
идеясына	əjdejasənɑ
итермелеп	əjteɾmelep
кемеңгер	kemeŋɡˈeɾ
кесіліп	kesɪlˈɪp
кеткендігін	ketkendɪɡˈɪn
кіргізу	kɪɾɡˈɪzw
күшеюі	kuʃejuˈɪ
кәсіпкерлікті	kæsɪpkeɾlɪktˈɪ
көгілдір	kɵɡɪɫdˈɪɾ
көптігі	kɵptɪɡˈɪ
лауазымын	ɫɑwˈɑzəmən
легі	leɡˈɪ
маңнан	mɑŋnˈɑn
мемлекеттегі	memleketteɡˈɪ
мұндайды	mʊndˈɑjdə
мұражайдың	mʊɾɑʒˈɑjdəŋ
назарларыңызға	nɑzɑɾɫˈɑɾəŋəzʀɑ
несі	nesˈɪ
олимпиадада	ˈoɫəjmpəjɑdɑdɑ
органдарын	oɾɡɑndˈɑɾən
сағынып	sˈɑʀənəp
сезіне	sezɪnˈe
сергек	seɾɡˈek
соғуы	sˈoʀwə
спортты	spˈoɾttə
сынағынан	sənɑʀənɑn
сырғып	səɾʀəp
танытпады	tˈɑnətpɑdə
тартысы	tˈɑɾtəsə
тастанды	tɑstˈɑndə
тасымалдауға	tˈɑsəmɑɫdɑwʀɑ
топырағы	tˈopəɾɑʀə
тоқтатуы	toqtˈɑtwə
туғызатын	twʀəzɑtən
тілеймін	tɪlejmˈɪn
тірідей	tɪɾɪdˈej
түсіргенін	tusɪɾɡenˈɪn
тұрмай	tʊɾmˈɑj
тәубе	tæwbˈe
тәуелсіздікке	tæweɫsɪzdɪkkˈe
төрағалығы	tɵɾɑʀˈɑɫəʀə
хабарласу	xɑbɑɾɫˈɑsw
шайқаста	ʃɑjqɑstˈɑ
шартына	ʃˈɑɾtənɑ
шекарасының	ʃekɑɾˈɑsənəŋ
шетін	ʃetˈɪn
шешімінен	ʃeʃɪmɪnˈen
штабының	ʃtˈɑbənəŋ
Ғаламдық	ʀɑɫˈɑmdəq
ғимараттары	ʀəjmɑɾɑttɑɾə
Қиыр	qəjəɾ
Қордың	qˈoɾdəŋ
Құқықтық	qˈʊqəqtəq
қазы	qˈɑzə
қайтарылуы	qɑjtˈɑɾəɫwə
қалғандардың	qɑɫʀɑndˈɑɾdəŋ
қарастырған	qɑɾˈɑstəɾʀɑn
қаңғыбас	qˈɑŋʀəbɑs
қожайын	qoʒˈɑjən
қозғаушы	qozʀˈɑwʃə
қуатымен	qwˈɑtəmen
қудалаудың	qwdɑɫˈɑwdəŋ
қырым	qəɾəm
ұлтшылдары	ˈʊɫtʃəɫdɑɾə
ұлық	ˈʊɫəq
ұлғайтып	ʊɫʀˈɑjtəp
ұстатты	ʊstˈɑttə
ұсындық	ˈʊsəndəq
ұғымы	ˈʊʀəmə
әзіл	æzˈɪɫ
әзірлеуге	æzɪɾlewɡˈe
әкімдері	ækɪmdeɾˈɪ
әлдене	æɫdenˈe
әрекеттің	æɾekettˈɪŋ
әулетінің	æwletɪnˈɪŋ
әңгімеледі	æŋɡɪmeledˈɪ
Өтемұратов	ɵtemʊɾɑtˈov
өкілдігі	ɵkɪɫdɪɡˈɪ
өлімінен	ɵlɪmɪnˈen
өткіземіз	ɵtkɪzemˈɪz
өшіп	ɵʃˈɪp
Айына	ˈɑjənɑ
Алан	ɑɫˈɑn
Бекжан	bekʒˈɑn
Еуромайдан	ewɾomɑjdˈɑn
Жағдайды	ʒɑʀdˈɑjdə
Жерорта	ʒeɾoɾtˈɑ
Зиялы	zəjjaɫə
Конституциясына	kˈonstəjtwtsəjjasənɑ
Көктем	kɵktˈem
Марс	mˈɑɾs
Массачусетс	mɑssɑt͡ʃwsˈets
Момышұлының	mˈoməʃʊɫənəŋ
Мәскеуді	mæskewdˈɪ
Одағындағы	odˈɑʀəndɑʀə
Пара	pɑɾˈɑ
Редакция	ɾedˈɑktsəjja
Сенатының	senˈɑtənəŋ
Сотталушылар	sottˈɑɫwʃəɫɑɾ
Сотталғандардың	sottɑɫʀɑndˈɑɾdəŋ
Сыдықов	sədəqov
Сыздықовтың	səzdəqovtəŋ
Тайшыбеков	tˈɑjʃəbekov
Хрущев	xɾwʃʃˈev
Шеруге	ʃeɾwɡˈe
Шторк	ʃtˈoɾk
айтуымыз	ˈɑjtwəməz
айтыңызшы	ˈɑjtəŋəzʃə
айыпқа	ˈɑjəpqɑ
айғақтарды	ɑjʀɑqtˈɑɾdə
айқас	ɑjqˈɑs
аласа	ɑɫɑsˈɑ
артқанын	ɑɾtqˈɑnən
аяп	ɑjˈap
ағаларымыз	ɑʀɑɫˈɑɾəməz
ақиқатқа	ˈɑqəjqɑtqɑ
аңшылық	ˈɑŋʃəɫəq
байқады	bɑjqˈɑdə
байқайсыз	bɑjqˈɑjsəz
байқала	bɑjqɑɫˈɑ
балабақшаның	bɑɫɑbɑqʃˈɑnəŋ
баламалы	bɑɫɑmˈɑɫə
балықтың	bˈɑɫəqtəŋ
бармаймын	bɑɾmˈɑjmən
бағаланды	bɑʀɑɫˈɑndə
белгілеу	beɫɡɪlˈew
белдесуде	beɫdeswdˈe
блогына	bɫˈoɡənɑ
болжауға	boɫʒɑwʀˈɑ
былыққа	bəɫəqqɑ
бітеді	bɪtedˈɪ
бәсекеде	bæsekedˈe
бөлімін	bɵlɪmˈɪn
видеосын	vəjdeosən
газеттерге	ɡɑzetteɾɡˈe
гектардан	ɡektɑɾdˈɑn
даңқы	dˈɑŋqə
дегенімен	deɡenɪmˈen
демеуші	demewʃˈɪ
депутаттарын	depwtɑttˈɑɾən
екіұдай	ekɪʊdˈɑj
есту	ˈestw
етуші	etwʃˈɪ
жабады	ʒɑbˈɑdə
жазбаларды	ʒɑzbɑɫˈɑɾdə
жазбаларын	ʒɑzbɑɫˈɑɾən
жазушыларының	ʒˈɑzwʃəɫɑɾənəŋ
жазылса	ʒˈɑzəɫsɑ
жасауын	ʒɑsˈɑwən
жауды	ʒˈɑwdə
жаққан	ʒɑqqˈɑn
жаңалықтары	ʒɑŋˈɑɫəqtɑɾə
жаңартып	ʒɑŋˈɑɾtəp
жемқорлықтан	ʒemqˈoɾɫəqtɑn
жолымыз	ʒˈoɫəməz
жібердік	ʒɪbeɾdˈɪk
жібермейді	ʒɪbeɾmejdˈɪ
жүн	ʒˈun
жұмыстарынан	ʒˈʊməstɑɾənɑn
жұртшылығының	ʒˈʊɾtʃəɫəʀənəŋ
залдағы	zɑɫdˈɑʀə
зауыттары	zˈɑwəttɑɾə
идеяларын	əjdejaɫɑɾən
интеграцияның	əjnteɡɾɑtsəjjanəŋ
итке	əjtke
келушілердің	keɫwʃɪleɾdˈɪŋ
келісемін	kelɪsemˈɪn
кешінде	keʃɪndˈe
клубта	kɫwbtˈɑ
комитетінен	kˈoməjtetɪnen
күдіктілерді	kudɪktɪleɾdˈɪ
мемлекеттерден	memleketteɾdˈen
метрдей	metɾdˈej
міндетіміз	mɪndetɪmˈɪz
мүмкіншілік	mumkɪnʃɪlˈɪk
мұраты	mʊɾˈɑtə
нысандарының	nəsɑndɑɾənəŋ
оппозицияда	oppˈozəjtsəjjadɑ
орталықтарын	oɾtˈɑɫəqtɑɾən
орындалады	ˈoɾəndɑɫɑdə
петиция	pˈetəjtsəjja
радикал	ɾˈɑdəjkɑɫ
репортаж	ɾepoɾtˈɑʒ
салмақтың	sɑɫmˈɑqtəŋ
салынбақ	sˈɑɫənbɑq
салыстырады	sˈɑɫəstəɾɑdə
салыстыру	sˈɑɫəstəɾw
санкциялары	sˈɑnktsəjjaɫɑɾə
сапынан	sˈɑpənɑn
соза	sozˈɑ
суретшілер	swɾetʃɪlˈeɾ
сөйлесуден	sɵjleswdˈen
сөндіру	sɵndˈɪɾw
талабымен	tɑɫˈɑbəmen
тарай	tɑɾˈɑj
тасы	tˈɑsə
тежеп	teʒˈep
теңіздің	teŋɪzdˈɪŋ
тоқтайтын	toqtˈɑjtən
тоқтаусыз	toqtˈɑwsəz
туындайтын	twəndɑjtən
тындырып	təndəɾəp
тұқыртып	tˈʊqəɾtəp
тәркілеп	tæɾkɪlˈep
төрелік	tɵɾelˈɪk
учаскесі	wt͡ʃɑskesˈɪ
факторы	fɑktˈoɾə
фильмдердің	fəjɫʔmdeɾdɪŋ
хабарласа	xɑbɑɾɫɑsˈɑ
халқым	xˈɑɫqəm
шақыруды	ʃˈɑqəɾwdə
шекарашылары	ʃekɑɾˈɑʃəɫɑɾə
шешілуі	ʃeʃɪɫwˈɪ
штат	ʃtˈɑt
шығармаларының	ʃəʀɑɾmɑɫɑɾənəŋ
ынтымақтастықтың	əntəmɑqtɑstəqtəŋ
экранға	ekɾɑnʀˈɑ
ғылымды	ʀəɫəmdə
Қазақгейт	qɑzɑqɡˈejt
Қалдыбай	qˈɑɫdəbɑj
Қарин	qˈɑɾəjn
Құранның	qʊɾˈɑnnəŋ
қазақтілді	qɑzɑqtɪɫdˈɪ
қалалардағы	qɑɫɑɫɑɾdˈɑʀə
қарыздар	qˈɑɾəzdɑɾ
қасиеттер	qˈɑsəjetteɾ
қаулының	qˈɑwɫənəŋ
қорықты	qˈoɾəqtə
қоспағанда	qospɑʀɑndˈɑ
қуанды	qwˈɑndə
қызметтегі	qəzmetteɡɪ
қызымды	qəzəmdə
қызықтырады	qəzəqtəɾɑdə
қылатын	qəɫɑtən
қылығына	qəɫəʀənɑ
қысқарды	qəsqɑɾdə
құбылыстың	qˈʊbəɫəstəŋ
құрам	qʊɾˈɑm
құрылымның	qˈʊɾəɫəmnəŋ
Үрімжідегі	uɾɪmʒɪdeɡˈɪ
Ұйымдастырушылардың	ˈʊjəmdɑstəɾwʃəɫɑɾdəŋ
ұсынуға	ˈʊsənwʀɑ
ұшыруға	ˈʊʃəɾwʀɑ
Әркім	æɾkˈɪm
әділетсіздік	ædɪletsɪzdˈɪk
әншінің	ænʃɪnˈɪŋ
өкіметінің	ɵkɪmetɪnˈɪŋ
өндірілетін	ɵndɪɾɪletˈɪn
өндіріске	ɵndɪɾɪskˈe
өтініштерін	ɵtɪnɪʃteɾˈɪn
Америкадан	ɑmˈeɾəjkɑdɑn
Африкадағы	ˈɑfɾəjkɑdɑʀə
Ақжол	ɑqʒˈoɫ
Балаларға	bɑɫɑɫɑɾʀˈɑ
Гузяль	ɡwzjˈaɫʔ
Демалыс	demˈɑɫəs
Джо	dʒˈo
Зардап	zɑɾdˈɑp
Ия	əjja
Йемен	jemˈen
Кошляк	koʃɫjˈak
Күйеуі	kujewˈɪ
Көкпекті	kɵkpektˈɪ
Ленинград	lˈenəjnɡɾɑd
Маңғыстауға	mˈɑŋʀəstɑwʀɑ
Молла	moɫɫˈɑ
Немцовтың	nemtsˈovtəŋ
Путиннен	pwtəjnnen
Рыпакова	ɾəpɑkovɑ
Сайын	sˈɑjən
Спортшы	spˈoɾtʃə
Тарас	tɑɾˈɑs
Түске	tuskˈe
Халқымыздың	xˈɑɫqəməzdəŋ
Хаменеи	xɑmenˈeəj
Штаттарының	ʃtɑttˈɑɾənəŋ
Шындығын	ʃəndəʀən
Шығысқа	ʃəʀəsqɑ
Ынтымақ	əntəmɑq
абай	ɑbˈɑj
автономиясының	ɑvtonˈoməjjasənəŋ
азаматтармен	ɑzɑmɑttɑɾmˈen
актерлер	ɑkteɾlˈeɾ
алақандай	ɑɫɑqɑndˈɑj
артылған	ˈɑɾtəɫʀɑn
аруағы	ɑɾwˈɑʀə
асқынған	ˈɑsqənʀɑn
атасын	ɑtˈɑsən
атқанын	ɑtqˈɑnən
атқарылатын	ɑtqˈɑɾəɫɑtən
аудармасы	ɑwdɑɾmˈɑsə
аумаққа	ɑwmɑqqˈɑ
ауылдарына	ˈɑwəɫdɑɾənɑ
ағаштың	ɑʀˈɑʃtəŋ
ақпараттандыру	ɑqpɑɾɑttˈɑndəɾw
ақсап	ɑqsˈɑp
бабамыз	bɑbˈɑməz
байсалды	bɑjsˈɑɫdə
балықты	bˈɑɫəqtə
баспадан	bɑspɑdˈɑn
бастықтың	bˈɑstəqtəŋ
басшыларынан	bˈɑsʃəɫɑɾənɑn
бағу	bˈɑʀw
бекем	bekˈem
бензиннің	bˈenzəjnnɪŋ
берушіге	beɾwʃɪɡˈe
боз	bˈoz
болжамға	boɫʒɑmʀˈɑ
босатады	bosɑtˈɑdə
бұйрыққа	bˈʊjɾəqqɑ
бұрмалау	bʊɾmɑɫˈɑw
даласы	dɑɫˈɑsə
делік	delˈɪk
денсаулығым	densˈɑwɫəʀəm
добы	dˈobə
доқ	dˈoq
дәмін	dæmˈɪn
елдік	eɫdˈɪk
енжар	enʒˈɑɾ
есептейміз	eseptejmˈɪz
ескерткіштері	eskeɾtkɪʃteɾˈɪ
етпесе	etpesˈe
жалақысына	ʒɑɫˈɑqəsənɑ
жарайтын	ʒɑɾˈɑjtən
жақсылығын	ʒˈɑqsəɫəʀən
жерім	ʒeɾˈɪm
жобалау	ʒobɑɫˈɑw
жолдарының	ʒoɫdˈɑɾənəŋ
жүгінді	ʒuɡɪndˈɪ
жұбайлар	ʒʊbɑjɫˈɑɾ
зая	zɑjˈa
заңнаманы	zɑŋnɑmˈɑnə
зерттеуді	zeɾttewdˈɪ
зорлықпен	zˈoɾɫəqpen
иелігіне	əjelɪɡɪne
индексі	əjndeksɪ
итермелеген	əjteɾmeleɡen
кездесуін	kezdeswˈɪn
кейіпкердің	kejɪpkeɾdˈɪŋ
кемшілігі	kemʃɪlɪɡˈɪ
кенде	kendˈe
кеспек	kespˈek
кеңсеге	keŋseɡˈe
киіктің	kəjɪktɪŋ
командасында	komɑndˈɑsəndɑ
комиссиясын	kˈoməjssəjjasən
корпусы	kˈoɾpwsə
күмәнім	kumænˈɪm
күшейткен	kuʃejtkˈen
көбейгенін	kɵbejɡenˈɪn
көпірдің	kɵpɪɾdˈɪŋ
көтерсе	kɵteɾsˈe
лауазымы	ɫɑwˈɑzəmə
мазмұнды	mɑzmˈʊndə
мезгілінде	mezɡɪlɪndˈe
министрлікке	məjnəjstɾlɪkke
митингілер	məjtəjnɡɪleɾ
мәшине	mˈæʃəjne
мөлшерден	mɵɫʃeɾdˈen
нормаларын	noɾmɑɫˈɑɾən
нәтижелеріне	nˈætəjʒeleɾɪne
орталықтарының	oɾtˈɑɫəqtɑɾənəŋ
отырысынан	ˈotəɾəsənɑn
оқытуды	ˈoqətwdə
оққағары	oqqɑʀˈɑɾə
оңтүстіктегі	oŋtustɪkteɡˈɪ
пайдаланылатын	pɑjdɑɫˈɑnəɫɑtən
прокурорлардың	pɾokwɾoɾɫˈɑɾdəŋ
сабағын	sɑbˈɑʀən
саласынан	sɑɫˈɑsənɑn
салумен	sɑɫwmˈen
санды	sˈɑndə
сауын	sˈɑwən
сақалы	sɑqˈɑɫə
сақтаудың	sɑqtˈɑwdəŋ
сипатын	səjpɑtən
соңғысы	sˈoŋʀəsə
стадионда	stˈɑdəjondɑ
съезі	sʔezˈɪ
сындарлы	səndɑɾɫə
сіңіп	sɪŋˈɪp
табиғатын	tˈɑbəjʀɑtən
танытса	tˈɑnətsɑ
танытушылар	tˈɑnətwʃəɫɑɾ
тапсырысымен	tˈɑpsəɾəsəmen
тарапымыздан	tɑɾˈɑpəməzdɑn
тағайындалады	tɑʀˈɑjəndɑɫɑdə
тегіс	teɡˈɪs
тендерге	tendeɾɡˈe
тиер	təjeɾ
топтап	toptˈɑp
тілшілеріне	tɪɫʃɪleɾɪnˈe
түріктер	tuɾɪktˈeɾ
түстім	tustˈɪm
тұжырымдамасы	tˈʊʒəɾəmdɑmɑsə
тұрыпты	tˈʊɾəptə
төрешісі	tɵɾeʃɪsˈɪ
формада	foɾmɑdˈɑ
шеттегі	ʃetteɡˈɪ
шығармасы	ʃəʀɑɾmɑsə
шығарылуы	ʃəʀɑɾəɫwə
эфир	ˈefəjɾ
іспеттес	ɪspettˈes
ісіндегі	ɪsɪndeɡˈɪ
ғалымдарының	ʀˈɑɫəmdɑɾənəŋ
ғимараттарды	ʀəjmɑɾɑttɑɾdə
Қазғарыш	qɑzʀˈɑɾəʃ
ҚазҰУ	qˈɑzˈʊw
Қаражал	qɑɾɑʒˈɑɫ
Қарзай	qɑɾzˈɑj
қазынасынан	qˈɑzənɑsənɑn
қалайтынын	qɑɫˈɑjtənən
қалдыратын	qˈɑɫdəɾɑtən
қалыңдық	qˈɑɫəŋdəq
қаржысының	qˈɑɾʒəsənəŋ
қатынап	qˈɑtənɑp
қатқыл	qˈɑtqəɫ
қойын	qˈojən
қолдамайды	qoɫdɑmˈɑjdə
қуантады	qwɑntˈɑdə
үндеуінде	undewɪndˈe
Ұлыбританияға	ˈʊɫəbɾəjtɑnəjjaʀɑ
ұйымдастыратын	ˈʊjəmdɑstəɾɑtən
ұйымдастырмақ	ˈʊjəmdɑstəɾmɑq
ұйымнан	ˈʊjəmnɑn
ұрпағына	ʊɾpˈɑʀənɑ
әдісті	ædɪstˈɪ
әлемінде	ælemɪndˈe
өлгеннен	ɵɫɡennˈen
өткізуі	ɵtkɪzwˈɪ
Абдолла	ɑbdoɫɫˈɑ
Адольф	ɑdˈoɫʔf
Атбасар	ɑtbɑsˈɑɾ
Белсенділердің	beɫsendɪleɾdˈɪŋ
Бұларға	bʊɫɑɾʀˈɑ
Бәріміз	bæɾɪmˈɪz
Елеусінов	elewsɪnˈov
Ерғали	eɾʀˈɑɫəj
Кабулдағы	kɑbwɫdˈɑʀə
Колбин	kˈoɫbəjn
