va	ʋˈæ
dorilar	dɑɾˈylæɾ
doston	dˈɑstɑn
dostoni	dɑstˈɑny
fikrlar	fˌykɾlæɾ
havoda	hæʋˈɑdæ
hukmron	hˈʊkmɾɑn
huzurida	hˌʊzʊɾˈydæ
ilgʻor	ˈyɫʁɑɾ
kompyuter	kɑmpjˈʊteɾ
konsert	kˈɑnseɾt
maqsadlarda	mˌæqsædlˈæɾdæ
natijasi	nˌætyd͡ʒˈæsy
nuqta	nˈʊqtæ
oxirigacha	ˌɑχyɾyɡˈæt͡Sæ
oʻlim	ˈoɫym
oʻrganilgan	ˌoɾɡænˈyɫɡæn
parazitlik	pˌæɾæzˈytɫyk
port	pˈɑɾt
qismlarida	qˌysmlæɾˈydæ
qurilmasi	qˌʊɾyɫmˈæsy
sathi	sˈæthy
sayohat	sæjˈɑhæt
simfonik	symfˌɑnyk
sirti	sˈyɾty
tarqaladi	tˌæɾqælˈædy
tugʻma	tˈʊʁmæ
ustalari	ˌʊstælˈæɾy
ustasi	ʊstˈæsy
xizmatlar	χyzmˈætlæɾ
yoʻnalishda	jˌonæɫˈyʃdæ
yuborgan	jʊbˈɑɾɡæn
yuritish	jʊɾˈytyʃ
AQShda	ˈæqʃdˈæ
London	ɫˈɑndɑn
Soʻngra	sˈoŋɾæ
XIX	χˈyχ
aloqada	ˌæɫɑqˈædæ
beriladigan	bˌeɾylædˈyɡæn
buyum	bˈʊjʊm
cherkov	t͡Sˈeɾkɑʋ
choʻzilgan	t͡Sozˈyɫɡæn
dalolat	dæɫˈɑlæt
davlatlarning	dˌæʋlætlˈæɾnyŋ
davridan	dæʋɾˈydæn
davrning	dˈæʋɾnyŋ
dramatik	dɾæmˈætyk
dushman	dˈʊʃmæn
ettirdi	ettˈyɾdy
idishlar	ydˈyʃlæɾ
jangovar	d͡ʒæŋˈɑʋæɾ
kishining	kyʃˈynyŋ
koʻzda	kˈozdæ
makkajoʻxori	mˌækkæd͡ʒoχˈɑɾy
marmar	mˈæɾmæɾ
mayin	mˈæjyn
milliard	myɫɫˈyæɾd
muammolar	mˌʊæmmˈɑlæɾ
muammolarni	mˌʊæmmɑlˈæɾny
muassasasi	mˌʊæssæsˈæsy
muhitda	mʊhˈytdæ
mustahkamlash	mˌʊstæhkˈæmlæʃ
nazaridan	nˌæzæɾˈydæn
nisbati	nysbˈæty
oluvchi	ɑɫˈʊʋt͡Sy
oʻtadigan	ˌotædˈyɡæn
oʻtkazadi	ˌotkæzˈædy
oʻyinlari	ˌojynlˈæɾy
qoʻliga	qoɫˈyɡæ
shahridan	ʃæhɾˈydæn
sifatini	syfˌætˈyny
sogʻliqni	sɑʁɫˈyqny
sohibi	sɑhˈyby
tabiatda	tˌæbyˈætdæ
transporti	tɾænspˈɑɾty
turga	tˈʊɾɡæ
ukasi	ʊkˈæsy
xavfsizlik	χæʋfsˌyzɫyk
xoʻjaliklarida	χˌod͡ʒæɫˌyklæɾˈydæ
yotqiziqlari	jˌɑtqyzyqlˈæɾy
Oʻsimlik	osˈymɫyk
Oʻsimliklar	ˌosymɫˈyklæɾ
Ye	jˈe
aholini	ˌæhɑɫˈyny
atrof	ˈætɾɑf
aylana	æjlˈænæ
bajariladi	bˌæd͡ʒæɾylˈædy
bilib	bˈyɫyb
boshqaruvi	bˌɑʃqæɾˈʊʋy
buning	bˈʊnyŋ
chang	t͡Sˈæŋ
dars	dˈæɾs
daryolar	dæɾjˈɑlæɾ
dehqonlar	dehqˈɑnlæɾ
erda	ˈeɾdæ
ini	ˈyny
jildli	d͡ʒˈyɫdɫy
kasalliklarni	kˌæsæɫɫyklˈæɾny
kemalar	kemˈælæɾ
koʻllar	kˈoɫlæɾ
koʻpaytirish	kˌopæjtˈyɾyʃ
kuzda	kˈʊzdæ
mahrum	mˈæhɾʊm
milliondan	mˌyɫɫyˈɑndæn
mulki	mˈʊɫky
musbat	mˈʊsbæt
noyabr	nˈɑjæbɾ
ogʻiz	ˈɑʁyz
olmagan	ɑɫmˈæɡæn
orollar	ɑɾˈɑɫlæɾ
ortishi	ɑɾtˈyʃy
ovqatlanish	ˌɑʋqætlˈænyʃ
oʻrnatiladi	ˌoɾnætylˈædy
qabilalar	qˌæbylˈælæɾ
qilishdan	qyɫˈyʃdæn
qishda	qˈyʃdæ
qismidan	qysmˈydæn
qoʻzgʻolon	qozʁˈɑɫɑn
rahbar	ɾˈæhbæɾ
reaksiyalar	ɾˌeæksyjˈælæɾ
shakllanishida	ʃˌækɫlænyʃˈydæ
talabalar	tˌælæbˈælæɾ
taxallusi	tˌæχæɫɫˈʊsy
tezda	tˈezdæ
tilini	tyɫˈyny
viloyatlari	ʋˌyɫɑjætlˈæɾy
xor	χˈɑɾ
ya	jˈæ
yaratadi	jˌæɾætˈædy
yerdagi	jeɾdˈæɡy
yigʻindisi	jˌyʁyndˈysy
yotgan	jˈɑtɡæn
zilzila	zyɫzˈylæ
Ibrohim	ybɾˈɑhym
Musiqa	mʊsˈyqæ
Naxichevan	nˌæχyt͡Sˈeʋæn
Nizomiy	nyzˈɑmyj
XX	χˌaχˈa
aytish	ˈæjtyʃ
bogʻdorchilik	bˌɑʁdɑɾt͡Sˈyɫyk
boʻlganlar	boɫɡˈænlæɾ
elementlarning	ˌelementlˈæɾnyŋ
fakultetini	fˌækʊɫtetˈyny
folklor	fˌɑɫkɫɑɾ
goʻzal	ɡˈozæɫ
hayvonlarni	hˌæjʋɑnlˈæɾny
his	hˈys
hududiga	hˌʊdʊdˈyɡæ
ijodining	ˌyd͡ʒɑdˈynyŋ
irsiy	ˈyɾsyj
izchil	ˈyzt͡Syɫ
kalta	kˈæɫtæ
keltirish	keɫtˈyɾyʃ
kengayib	keŋˈæjyb
maktabida	mˌæktæbˈydæ
maqsadlarida	mˌæqsædlæɾˈydæ
olam	ˈɑlæm
orasidan	ˌɑɾæsˌydæn
organizmga	ˌɑɾɡænˈyzmɡæ
oshiq	ˈɑʃyq
oshirishga	ˌɑʃyɾˈyʃɡæ
oʻgʻit	ˈoʁyt
parranda	pæɾɾˈændæ
poligrafiya	pˌɑɫyɡɾæfˌyjæ
poʻstining	postˈynyŋ
qatoriga	qˌætɑɾˈyɡæ
rivojlana	ɾˌyʋɑd͡ʒlˈænæ
siydik	sˈyjdyk
televizion	tˌeleʋyzˈyɑn
tizimining	tˌyzymˈynyŋ
tomoniga	tˌɑmɑnˈyɡæ
un	ˈʊn
usulini	ˌʊsʊɫˈyny
vaqtning	ʋˈæqtnyŋ
xam	χˈæm
xili	χˈyɫy
Urganch	ˈʊɾɡænt͡S
Usmonli	ʊsmˈɑnɫy
asarning	æsˈæɾnyŋ
asosidagi	ˌæsɑsydˈæɡy
ataluvchi	ˌætæɫˈʊʋt͡Sy
aylanma	æjlˈænmæ
b	bˈe
bemorning	bemˈɑɾnyŋ
boruvchi	bɑɾˈʊʋt͡Sy
boshidan	bɑʃˈydæn
bosqichida	bˌɑsqyt͡Sˈydæ
chogʻida	t͡Sɑʁˈydæ
dir	dˈyɾ
elementar	ˌelemˈentæɾ
epik	ˈepyk
farqi	fˌæɾqy
gi	ɡˈy
hayotining	hˌæjɑtˈynyŋ
hayotning	hæjˈɑtnyŋ
hibsga	hˈybsɡæ
hodisasi	hˌɑdysˈæsy
hukmdori	hʊkmdˈɑɾy
ishlovchi	yʃɫˈɑʋt͡Sy
ishonchli	yʃˈɑnt͡Sɫy
jinoiy	d͡ʒynˈɑyj
kattaligi	kˌættæɫˈyɡy
kiritdi	kyɾˈytdy
kompaniyalari	kˌɑmpænˌyjælˈæɾy
mebel	mˈebeɫ
mohiyatini	mˌɑhyjætˈyny
muharrir	mʊhˈæɾɾyɾ
muskul	mˈʊskʊɫ
obrazlar	ɑbɾˈæzlæɾ
ochish	ˈɑt͡Syʃ
olinishi	ˌɑɫynˈyʃy
omborlari	ˌɑmbɑɾlˈæɾy
parchalanib	pˌæɾt͡Sælˈænyb
qilganlar	qyɫɡˈænlæɾ
raqamli	ɾæqˈæmɫy
salmoqli	sæɫmˈɑqɫy
shaharga	ʃæhˈæɾɡæ
tillariga	tˌyɫlæɾˈyɡæ
tolali	tɑlˈæɫy
tumanlari	tˌʊmænlˈæɾy
vodiysida	ʋˌɑdyjsˈydæ
xulosa	χʊɫˈɑsæ
yasaladi	jˌæsælˈædy
yuritilgan	jˌʊɾytˈyɫɡæn
Dunyo	dˈʊnjɑ
Hindistonning	hˌyndystˈɑnnyŋ
Imom	ˈymɑm
Maydoni	mæjdˈɑny
Men	men
Movarounnahr	mˌɑʋæɾɑˈʊnnæhɾ
Suvda	sˈʊʋdæ
Togʻli	tˈɑʁɫy
analiz	ænˈæɫyz
balandlikda	bˌælændɫˈykdæ
begona	beɡˈɑnæ
biron	bˈyɾɑn
biz	byz
boʻlishgan	boɫˈyʃɡæn
chambarchas	t͡Sæmbˈæɾt͡Sæs
chiqildi	t͡Syqˈyɫdy
chiziqli	t͡Syzˈyqɫy
chorva	t͡Sˈɑɾʋæ
chuchuk	t͡Sˈʊt͡Sʊk
deya	dˈejæ
differensial	dyffˌeɾensˈyæɫ
doira	dɑˈyɾæ
ehtiyoj	ehtˈyjɑd͡ʒ
hujayralari	hˌʊd͡ʒæjɾælˈæɾy
ibtidoiy	ˌybtydˈɑyj
ifodalash	yfˌɑdˈælæʃ
ilohiy	yɫˈɑhyj
jamoalar	d͡ʒˌæmɑˈælæɾ
kapital	kæpˈytæɫ
kiyim	kˈyjym
korxonalarida	kˌɑɾχɑnˌælæɾˈydæ
kuchga	kˈʊt͡Sɡæ
kunga	kˈʊŋæ
men	men
mil	mˈyɫ
muzeylar	mʊzˈejlæɾ
namlik	nˈæmɫyk
ortadi	ɑɾtˈædy
oʻtroq	ˈotɾɑq
pastga	pˈæstɡæ
punkti	pˈʊnkty
qaytadan	qæjtˈædæn
qiziqish	qyzˈyqyʃ
qoidalariga	qˌɑydˌælæɾˈyɡæ
qoraqalpoq	qˌɑɾæqˈæɫpɑq
resurslari	ɾˌesʊɾslˈæɾy
rezina	ɾezˈynæ
si	sˈy
sirt	sˈyɾt
sozanda	sɑzˈændæ
surgan	sˈʊɾɡæn
tashlash	tˈæʃlæʃ
tashqarida	tˌæʃqæɾˌydæ
togʻlar	tˈɑʁlæɾ
tomonlari	tˌɑmɑnlˈæɾy
turkum	tˈʊɾkʊm
unib	ˈʊnyb
vosita	ʋɑsˈytæ
yoshgacha	jɑʃɡˈæt͡Sæ
yuqoriga	jˌʊqɑɾˈyɡæ
yurtlarida	jˌʊɾtlæɾˈydæ
Chetdan	t͡Sˈetdæn
OʻzRda	ˈozɾdˈæ
Parij	pˈæɾyd͡ʒ
Respublikada	ɾˌespʊbɫykˈædæ
The	thˈe
Turkmaniston	tˌʊɾkmænˈystɑn
Uch	ˈʊt͡S
Urush	ˈʊɾʊʃ
Va	ʋˈæ
apparati	ˌæppæɾˈæty
asarda	æsˈæɾdæ
asarini	ˌæsæɾˈyny
asoslanib	ˌæsɑslˈænyb
avlodlari	ˌæʋɫɑdlˈæɾy
baho	bˈæhɑ
birikmalari	bˌyɾykmælˈæɾy
borligi	bɑɾɫˈyɡy
dolzarb	dˈɑɫzæɾb
faxriy	fˌæχɾyj
haqi	hˈæqy
haykaltaroshlik	hˌæjkæɫtæɾˈɑʃɫyk
hududidagi	hˌʊdʊdydˈæɡy
imkoniyat	ˌymkɑnˈyjæt
imperator	ˌympeɾˈætɑɾ
insoniyat	ˌynsɑnˈyjæt
jan	d͡ʒˈæn
karbonat	kæɾbˈɑnæt
kiruvchi	kyɾˈʊʋt͡Sy
kontinental	kˌɑntynˈentæɫ
mahsulotda	mˌæhsʊɫˈɑtdæ
mamlakatlarning	mˌæmlækætlˈæɾnyŋ
mantiqiy	mæntˈyqyj
maqsadda	mæqsˈæddæ
merosi	meɾˈɑsy
mol	mˈɑɫ
mutaxassis	mˌʊtæχˈæssys
nisbiy	nˈysbyj
qachon	qˈæt͡Sɑn
qatnashadi	qˌætnæʃˈædy
qismlarini	qˌysmlæɾˈyny
qurollar	qʊɾˈɑɫlæɾ
rivojlantirishga	ɾˌyʋɑd͡ʒlˌæntyɾˈyʃɡæ
ruhi	ɾˈʊhy
tayinlandi	tˌæjynlˈændy
texnologiyasi	tˌeχnɑɫˌɑɡyjˈæsy
turkman	tˈʊɾkmæn
turlaridan	tˌʊɾlæɾˈydæn
tutash	tˈʊtæʃ
yetdi	jˈetdy
yilgi	jˈyɫɡy
yoʻllarini	jˌoɫlæɾˈyny
yubordi	jʊbˈɑɾdy
Adabiyot	ˌædæbˈyjɑt
Chirchiq	t͡Sˈyɾt͡Syq
Nemis	nˈemys
Tarixi	tæɾˈyχy
Universitet	ˌʊnyʋeɾsˈytet
Usmon	ˈʊsmɑn
Xon	χˈɑn
Ya	jˈæ
ahamiyatiga	ˌæhæmˌyjætˈyɡæ
asoschilaridan	ˌæsɑst͡Sˌylæɾˈydæn
asosda	æsˈɑsdæ
axloq	ˈæχɫɑq
bahor	bˈæhɑɾ
barmoq	bˈæɾmɑq
bular	bˌʊlæɾ
darajadagi	dˌæɾæd͡ʒædˈæɡy
dostonlari	dˌɑstɑnlˈæɾy
elektronika	ˌelektɾɑnˈykæ
etilib	etˈyɫyb
funksional	fˌʊnksyˈɑnæɫ
hayvonlari	hˌæjʋɑnlˈæɾy
holatlar	hɑlˈætlæɾ
idish	ˈydyʃ
italyan	ytˈæɫjæn
janr	d͡ʒˈænɾ
jarayonini	d͡ʒˌæɾæjɑnˈyny
kalsiy	kˈæɫsyj
kirishi	kyɾˈyʃy
klasterdir	klæstˈeɾdyɾ
komissiyasi	kˌɑmyssyjˈæsy
koʻtarilib	kˌotæɾˈyɫyb
kuchsiz	kˈʊt͡Ssyz
masala	mæsˈælæ
mohiyati	mˌɑhyjˈæty
muassasa	mˌʊæssˈæsæ
muddatli	mʊddˈætɫy
nazariya	nˌæzæɾˈyjæ
nusxa	nˈʊsχæ
olganda	ɑɫɡˈændæ
ostidagi	ˌɑstydˈæɡy
oylik	ˈɑjɫyk
oʻzidan	ozˈydæn
pasayadi	pˌæsæjˈædy
qamal	qˈæmæɫ
qaramasdan	qˌæɾæmˈæsdæn
qarori	qæɾˈɑɾy
qish	qˈyʃ
qoʻyib	qˈojyb
qumli	qˈʊmɫy
reaksiyaga	ɾˌeæksyjˈæɡæ
sharoitlarda	ʃˌæɾɑytlˈæɾdæ
shartnomasi	ʃˌæɾtnɑmˈæsy
simob	sˈymɑb
sirk	sˈyɾk
toshkoʻmir	tɑʃkˈomyɾ
toʻq	tˈoq
tushishi	tʊʃˈyʃy
universitetining	ˌʊnyʋˌeɾsytetˈynyŋ
uran	ˈʊɾæn
uslubida	ˌʊsɫʊbˈydæ
vulkan	ʋˈʊɫkæn
yaratishga	jˌæɾætˈyʃɡæ
yoʻqolib	joqˈɑɫyb
yuboradi	jˌʊbɑɾˈædy
Aholisining	ˌæhɑɫysˈynyŋ
D	dˈe
Kosmik	kˈɑsmyk
Madaniyat	mˌædænˈyjæt
Nurota	nʊɾˈɑtæ
Oʻzbekistan	ˌozbekˈystæn
Samarqandda	sˌæmæɾqˈænddæ
aeroport	ˌæeɾˈɑpɑɾt
aralashmasi	ˌæɾælæʃmˈæsy
askarlar	æskˈæɾlæɾ
bayram	bˈæjɾæm
bogʻlab	bˈɑʁlæb
burun	bˈʊɾʊn
chiqarishning	t͡Sˌyqæɾˈyʃnyŋ
chiqiladi	t͡Sˌyqylˈædy
davrdan	dˈæʋɾdæn
davridagi	dˌæʋɾydˈæɡy
emizuvchilar	ˌemyzʊʋt͡Sˈylæɾ
etishni	etˈyʃny
gol	ɡˈɑɫ
gulli	ɡˈʊɫɫy
havzalarida	hˌæʋzælæɾˈydæ
hayotga	hæjˈɑtɡæ
kamaytirish	kˌæmæjtˈyɾyʃ
kiradigan	kˌyɾædˈyɡæn
koʻpayib	kopˈæjyb
loyiha	ɫɑjˈyhæ
masofada	mˌæsɑfˌædæ
miyaning	myjˈænyŋ
moy	mˈɑj
natriy	nˈætɾyj
nomiga	nɑmˈyɡæ
oʻlchami	oɫt͡Sˈæmy
oʻqi	ˈoqy
oʻzgarish	ozɡˈæɾyʃ
poliz	pˈɑɫyz
qoldirgan	qɑɫdˈyɾɡæn
qoʻshdi	qˈoʃdy
qurollari	qˌʊɾɑɫlˈæɾy
sanaladi	sˌænælˈædy
shaklga	ʃˈækɫɡæ
sharoitlari	ʃˌæɾɑytlˈæɾy
shoʻr	ʃˈoɾ
siyosatini	sˌyjɑsætˈyny
taqozo	tæqˈɑzɑ
termini	teɾmˈyny
vazifalarni	ʋˌæzyfˌælˈæɾny
vino	ʋˈynɑ
xoʻjaligiga	χˌod͡ʒæɫyɡˈyɡæ
yaratishda	jˌæɾætˈyʃdæ
yetkazadi	jˌetkæzˈædy
yuboriladi	jˌʊbɑɾylˈædy
yuritadi	jˌʊɾytˈædy
zarba	zˈæɾbæ
Gaz	ɡˈæz
Hasan	hˈæsæn
Iravan	yɾˈæʋæn
Karimov	kæɾˈymɑʋ
Keyinroq	kejˈynɾɑq
NGC	ˌenɡˈets
Navoiyning	nˌæʋɑˈyjnyŋ
Sud	sˈʊd
Volga	ʋˈɑɫɡæ
Yadro	jˈædɾɑ
ajoyib	æd͡ʒˈɑjyb
albomi	æɫbˈɑmy
amerikalik	ˌæmeɾykˈæɫyk
bosqich	bˈɑsqyt͡S
chempionati	t͡Sˌempyɑnˈæty
dinamik	dynˈæmyk
filiali	fˌyɫyˈæɫy
fosh	fˌɑʃ
funksiyasi	fˌʊnksyjˈæsy
gʻoyaviy	ʁɑjˈæʋyj
ichi	ˈyt͡Sy
individual	ˌyndyʋydˈʊæɫ
insoniy	ynsˈɑnyj
izlanishlar	ˌyzlænˈyʃlæɾ
jamoalari	d͡ʒˌæmɑælˈæɾy
jazo	d͡ʒˈæzɑ
jumlasiga	d͡ʒˌʊmlæsˈyɡæ
koʻtargan	kotˈæɾɡæn
manzarali	mˌænzæɾˈæɫy
maqbarasi	mˌæqbæɾˈæsy
matn	mˈætn
mintaqa	myntˈæqæ
nikel	nˈykeɫ
nima	nˈymæ
of	ˈɑf
old	ˈɑɫd
ovozi	ɑʋˈɑzy
oʻtmay	ˈotmæj
preparatlar	pɾˌepæɾˈætlæɾ
psixologik	psˌyχɑɫˈɑɡyk
qobiliyati	qˌɑbyɫyjˈæty
quyish	qˈʊjyʃ
roʻyxatga	ɾojχˈætɡæ
sirtiga	syɾtˈyɡæ
sulfat	sˈʊɫfˌæt
tekisligi	tˌekysɫˈyɡy
tomosha	tɑmˈɑʃæ
tubdan	tˈʊbdæn
tushuniladi	tˌʊʃʊnylˈædy
vaqtincha	ʋæqtˈynt͡Sæ
vaqtlarda	ʋæqtlˈæɾdæ
yanvar	jˈænʋæɾ
yozuvchilar	jˌɑzʊʋt͡Sˈylæɾ
yurtini	jʊɾtˈyny
zimmasiga	zˌymmæsˈyɡæ
Chingizxon	t͡Syŋˈyzχɑn
Fan	fˌæn
Federatsiyasi	fˌedeɾˌætsyjˈæsy
Fors	fˌɑɾs
Ingliz	ˈyŋɫyz
Ona	ˈɑnæ
Rossiyaga	ɾˌɑssyjˈæɡæ
Umar	ˈʊmæɾ
Vizantiya	ʋˌyzæntˈyjæ
Xitoyning	χytˈɑjnyŋ
Xuroson	χʊɾˈɑsɑn
Yengil	jˈeŋyɫ
ajraladi	ˌæd͡ʒɾælˈædy
apparat	æppˈæɾæt
ataladigan	ˌætælædˈyɡæn
birbiriga	bˌyɾbyɾˈyɡæ
boshladilar	bˌɑʃlædˈylæɾ
boshqalardan	bˌɑʃqælˈæɾdæn
boʻyoq	bˈojɑq
darajali	dˌæɾæd͡ʒˈæɫy
devoni	deʋˈɑny
falsafasi	fˌæɫsæfˌæsy
hisoblanib	hˌysɑblˈænyb
hissasi	hyssˈæsy
imkoniyatini	ˌymkɑnˌyjætˈyny
ishni	ˈyʃny
istirohat	ˌystyɾˈɑhæt
jez	d͡ʒˈez
jihozlar	d͡ʒyhˈɑzlæɾ
jins	d͡ʒˈyns
kela	kˈelæ
kengash	kˈeŋæʃ
koʻpayishi	kˌopæjˈyʃy
koʻzi	kˈozy
kuchini	kʊt͡Sˈyny
kvars	kʋˈæɾs
manbalari	mˌænbælˈæɾy
marganets	mæɾɡˈænets
miqdordagi	mˌyqdɑɾdˈæɡy
muhitning	mʊhˈytnyŋ
munosabatlarni	mˌʊnɑsˌæbætlˈæɾny
nusxasi	nʊsχˈæsy
oilaviy	ˌɑylˈæʋyj
omil	ˈɑmyɫ
qavat	qˈæʋæt
qiya	qˈyjæ
qoʻshiqlar	qoʃˈyqlæɾ
quloq	qˈʊɫɑq
reaksiya	ɾˌeæksˈyjæ
reaksiyasi	ɾˌeæksyjˈæsy
shoiri	ʃɑˈyɾy
shundaki	ʃʊndˈæky
siqib	sˈyqyb
soldi	sˈɑɫdy
sulton	sˈʊɫtɑn
taqaladi	tˌæqælˈædy
tayinlangan	tˌæjynlˈæŋæn
toʻplash	tˈoplæʃ
uzok	ˈʊzɑk
xalqlarning	χæɫqlˈæɾnyŋ
xotini	χɑtˈyny
yaylov	jˈæjɫɑʋ
yetti	jˈetty
yo	jˈɑ
yozishicha	jˌɑzyʃˈyt͡Sæ
zararli	zæɾˈæɾɫy
Atom	ˈætɑm
Avtomobil	ˌæʋtɑmˈɑbyɫ
Eronda	eɾˈɑndæ
Jaloliddin	d͡ʒˌæɫɑɫˈyddyn
Mineral	mynˈeɾæɫ
Nerv	nˈeɾʋ
R	ˈeɾ
Sharqda	ʃˈæɾqdæ
Tuproq	tˈʊpɾɑq
antik	ˈæntyk
armiyasi	ˌæɾmyjˈæsy
avtomobilsozlik	ˌæʋtɑmˌɑbyɫsˈɑzɫyk
aytgan	ˈæjtɡæn
berilishi	bˌeɾyɫˈyʃy
birlashgan	byɾlˈæʃɡæn
boshqarib	bɑʃqˈæɾyb
chiroyli	t͡Syɾˈɑjɫy
chorvachiligi	t͡Sˌɑɾʋæt͡Syɫˈyɡy
dasht	dˈæʃt
dorivor	dɑɾˈyʋɑɾ
fanining	fˌænˈynyŋ
gʻarb	ʁˈæɾb
hadis	hˈædys
ilmi	ˈyɫmy
joylashadi	d͡ʒˌɑjlæʃˈædy
kanallar	kænˈæɫlæɾ
kengaytirish	kˌeŋæjtˈyɾyʃ
kengligi	keŋɫˈyɡy
koʻtarish	kotˈæɾyʃ
kuzatib	kʊzˈætyb
lari	lˈæɾy
matematika	mˌætemætˈykæ
metallarning	mˌetæɫlˈæɾnyŋ
mexanizmi	mˌeχænˈyzmy
natija	nætˈyd͡ʒæ
nomlanadi	nˌɑmlænˈædy
ovchilik	ɑʋt͡Sˈyɫyk
oxirlarida	ˌɑχyɾlæɾˈydæ
oʻlka	ˈoɫkæ
oʻrganadigan	ˌoɾɡænædˈyɡæn
oʻrnatish	oɾnˈætyʃ
paleolit	pˌæleˈɑɫyt
paytlarda	pæjtlˈæɾdæ
platina	plætˈynæ
qadimda	qædˈymdæ
qilayotgan	qˌylæjˈɑtɡæn
qiziqarli	qˌyzyqˈæɾɫy
qoʻlyozma	qoɫjˈɑzmæ
shoxobchalari	ʃˌɑχɑbt͡Sælˈæɾy
tayinlanadi	tˌæjynlænˈædy
toki	tˈɑky
turlarini	tˌʊɾlæɾˈyny
turlarining	tˌʊɾlæɾˈynyŋ
tusli	tˈʊsɫy
unumli	ʊnˈʊmɫy
ushlab	ˈʊʃlæb
uylar	ˈʊjlæɾ
xoni	χˈɑny
xususiyatlarga	χˌʊsʊsˌyjætlˈæɾɡæ
yozda	jˈɑzdæ
zavod	zˈæʋɑd
Akademiyasi	ˌækædˌemyjˈæsy
Aliyev	æɫˈyjeʋ
Aynan	ˈæjnæn
Fransuz	fɾˌænsʊz
Gʻarb	ʁˈæɾb
Ish	ˈyʃ
Kasallikning	kˌæsæɫɫˈyknyŋ
Mahkamasi	mˌæhkæmˈæsy
OCL	ˈɑtsɫ
Olimpiya	ˌɑɫympˈyjæ
RF	ˌeɾˈef
Shirin	ʃˈyɾyn
Turkistonda	tˌʊɾkystˈɑndæ
ajralgan	æd͡ʒɾˈæɫɡæn
asarlarda	ˌæsæɾlˈæɾdæ
aytiladi	ˌæjtylˈædy
bajargan	bæd͡ʒˈæɾɡæn
bogʻlar	bˈɑʁlæɾ
boshlanishi	bˌɑʃlænˈyʃy
boshqaruvchi	bˌɑʃqæɾˈʊʋt͡Sy
buyon	bˈʊjɑn
darak	dˈæɾæk
davlatga	dæʋlˈætɡæ
egalari	ˌeɡælˈæɾy
fondi	fˌɑndy
fuqarolarning	fˌʊqæɾɑlˈæɾnyŋ
gʻoyasi	ʁɑjˈæsy
haddan	hˈæddæn
hodisalarni	hˌɑdysælˈæɾny
janri	d͡ʒˈænɾy
kiritildi	kˌyɾytˈyɫdy
klaster	klˈæsteɾ
klubi	kɫˈʊby
kremniy	kɾˈemnyj
mato	mˈætɑ
maydonda	mæjdˈɑndæ
moslashgan	mɑslˈæʃɡæn
muhandislik	mˌʊhændˈysɫyk
mustaqilligi	mˌʊstæqyɫɫˈyɡy
obrazi	ɑbɾˈæzy
ogʻriydi	ɑʁɾˈyjdy
oʻstiriladi	ˌostyɾylˈædy
oʻymakorligi	ˌojmækɑɾɫˈyɡy
pochta	pˈɑt͡Stæ
qilmaydi	qyɫmˈæjdy
qilmoqda	qyɫmˈɑqdæ
qoʻlda	qˈoɫdæ
qoʻshish	qˈoʃyʃ
qurol	qˈʊɾɑɫ
shakllanadi	ʃˌækɫlænˈædy
sharqda	ʃˈæɾqdæ
shimolida	ʃˌymɑɫˈydæ
sudi	sˈʊdy
tashlangan	tæʃlˈæŋæn
tenglamalar	tˌeŋlæmˈælæɾ
tobe	tˈɑbe
tra	tɾˈæ
tuproqning	tʊpɾˈɑqnyŋ
tus	tˈʊs
urushlar	ʊɾˈʊʃlæɾ
usta	ˈʊstæ
xalqlarining	χˌæɫqlæɾˈynyŋ
yapon	jˈæpɑn
yaratiladi	jˌæɾætylˈædy
yogʻi	jˈɑʁy
yurgan	jˈʊɾɡæn
yuzlab	jˈʊzlæb
Allohning	æɫɫˈɑhnyŋ
Amaliy	æmˈæɫyj
Amerikada	ˌæmeɾykˈædæ
Daryo	dˈæɾjɑ
Fransiyada	fɾˌænsyjˈædæ
Nukus	nˈʊkʊs
Qirollik	qyɾˈɑɫɫyk
Qonunchilik	qˌɑnʊnt͡Sˈyɫyk
Rasmiy	ɾˈæsmyj
Shayx	ʃˈæjχ
Temuriylar	tˌemʊɾˈyjlæɾ
Tibbiyot	tybbˈyjɑt
alifbosi	ˌæɫyfbˌɑsy
anchagina	ˌænt͡Sæɡˈynæ
apparatlar	ˌæppæɾˈætlæɾ
bazasi	bæzˈæsy
beton	bˈetɑn
biladi	bylˈædy
bitilgan	bytˈyɫɡæn
boshka	bˈɑʃkæ
boyligi	bɑjɫˈyɡy
boʻlmish	bˈoɫmyʃ
boʻyidagi	bˌojydˈæɡy
ekiladigan	ˌekylædˈyɡæn
eksperimental	ˌekspeɾymˈentæɫ
ettirish	ettˈyɾyʃ
faoliyatiga	fˌæɑɫˌyjætˈyɡæ
fuqarolari	fˌʊqæɾɑlˈæɾy
gumbaz	ɡˈʊmbæz
gʻoyat	ʁˈɑjæt
hujjat	hˈʊd͡ʒd͡ʒæt
hukmdor	hˈʊkmdɑɾ
idrok	ˈydɾɑk
ijrochi	yd͡ʒɾˈɑt͡Sy
imkoniyatlari	ˌymkɑnˌyjætlˈæɾy
inshoot	ynʃˈɑɑt
istalgan	ystˈæɫɡæn
jurnal	d͡ʒˈʊɾnæɫ
kechishi	ket͡Sˈyʃy
konstitutsiyasi	kˌɑnstytˌʊtsyjˈæsy
koʻtarilishi	kˌotæɾyɫˈyʃy
