је	je
Артура	ˈɑrtʊrɐ
Венеције	vˈɛnɛt͡sˌɪje
Вилхелм	vˈilhɛlm
Воли	vˈolɪ
Источног	ˈistot͡ʃnoɡ
Колумбије	kˈolʊmbˌɪje
Марић	mˈɑrɪt͡ɕ
Међународном	mˈɛd͡ʑʊnˌɑrodnom
Млада	mlˈadɐ
Објавила	ˈobjɐvˌɪlɐ
Очигледно	ˈot͡ʃɪɡlˌɛdno
Платон	plˈaton
Рок	rˈok
Свакако	svˈakɐko
Слике	slˈikɛ
Словака	slˈovɐkɐ
Тодор	tˈodor
Цветковић	t͡svˈɛtkovɪt͡ɕ
Црвеном	t͡srvˈɛnom
Чикаго	t͡ʃˈikɐɡo
албански	ˈalbɐnskɪ
анализира	ˈanɐlˌɪzɪrɐ
антике	ˈantɪkɛ
апсорбује	ˈapsorbˌʊje
археолози	ˈɑrhɛˌolozɪ
бесконачно	bˈɛskonˌɐt͡ʃno
бин	bˈin
бодове	bˈodovɛ
везивање	vˈɛzɪvˌɐɲe
вертикалне	vˈɛrtɪkˌɐlnɛ
вилице	vˈilɪt͡sɛ
водило	vˈodɪlo
вољом	vˈoʎom
глумом	ɡlˈumom
грађевинских	ɡrˈad͡ʑɛvˌɪnskɪh
датотека	dˈatotˌɛkɐ
дебљина	dˈɛbʎɪnɐ
детаљ	dˈɛtɐʎ
дететом	dˈɛtɛtom
дневника	dnˈɛvnɪkɐ
домен	dˈomɛn
дрога	drˈoɡɐ
ефектима	ˈɛfɛktˌɪmɐ
жестоке	ʒˈɛstokɛ
закључен	zˈakʎʊt͡ʃɛn
занима	zˈanɪmɐ
извиђачки	ˈizvɪd͡ʑˌɐt͡ʃkɪ
издавачку	ˈizdɐvˌɐt͡ʃkʊ
издржавање	ˈizdrʒɐvˌɐɲe
изложено	ˈizloʒˌɛno
индивидуално	ˈindɪvˌɪdʊˌɐlno
каросерије	kˈɑrosˌɛrɪje
катедрала	kˈatɛdrˌɐlɐ
кованог	kˈovɐnoɡ
комбинацијом	kˈombɪnˌɐt͡sɪjom
контролисали	kˈontrolˌɪsɐlɪ
кораку	kˈorɐkʊ
крунисан	krˈunɪsɐn
кување	kˈuvɐɲe
кукуруза	kˈukʊrˌʊzɐ
купили	kˈupɪlɪ
купују	kˈupʊjʊ
масакр	mˈasɐkr
маха	mˈahɐ
мрзи	mrzˈi
надгледа	nˈadɡlɛdɐ
надзора	nˈad͡ʑorɐ
намесник	nˈamɛsnɪk
напасти	nˈapɐstɪ
најчешћих	nˈɑjt͡ʃɛʃt͡ɕɪh
независну	nˈɛzɐvˌɪsnʊ
никоме	nˈikomɛ
обављала	ˈobɐvljˌɐlɐ
обојене	ˈobojˌenɛ
одлагање	ˈodlɐɡˌɐɲe
одредила	ˈodrɛdˌɪlɐ
описано	ˈopɪsˌɐno
отпадних	ˈotpɐdnɪh
очуван	ˈot͡ʃʊvɐn
памти	pˈamtɪ
петак	pˈɛtɐk
пешадијског	pˈɛʃɐdˌɪjskoɡ
побољшао	pˈoboʎʃˌɐo
повредио	pˈovrɛdˌɪo
подвиг	pˈodvɪɡ
подрум	pˈodrʊm
поређење	pˈorɛd͡ʑˌɛɲe
посматрао	pˈosmɐtrˌɐo
правећи	prˈavɛt͡ɕɪ
преваре	prˈɛvɑrɛ
примарних	prˈimɑrnɪh
проласка	prˈolɐskɐ
путник	pˈutnɪk
путовали	pˈutovˌɐlɪ
ратовање	rˈatovˌɐɲe
референдума	rˈɛfɛrˌɛndʊmɐ
ситним	sˈitnɪm
скуповима	skˈupovˌɪmɐ
следбеника	slˈɛdbɛnˌɪkɐ
снажни	snˈaʒnɪ
стандардних	stˈandɑrdnɪh
супротан	sˈuprotɐn
супротне	sˈuprotnɛ
сушења	sˈuʃɛɲɐ
сфери	sfˈɛrɪ
сјајан	sjˈɑjɐn
такмичила	tˈakmɪt͡ʃˌɪlɐ
танка	tˈaŋkɐ
тврдњама	tvrdɲˈamɐ
тропске	trˈopskɛ
узорци	ˈuzort͡sɪ
украо	ˈukrɐo
украшене	ˈukrɐʃˌɛnɛ
универзума	ˈunɪvˌɛrzʊmɐ
уопштено	ˈuopʃtˌɛno
управљала	ˈuprɐvljˌɐlɐ
упућују	ˈupʊt͡ɕˌʊjʊ
цртежи	t͡srtˈɛʒɪ
чинилац	t͡ʃˈinɪlɐt͡s
човечанство	t͡ʃˈovɛt͡ʃˌɐnstvo
чувена	t͡ʃˈuvɛnɐ
шведски	ʃvˈɛtskɪ
шетње	ʃˈɛtɲe
штампаних	ʃtˈampɐnɪh
B	bˈə
John	jˈohn
KS	kˈəsˌə
Једне	jˈednɛ
Југословенског	jˈuɡoslˌovɛnskoɡ
Алис	ˈalɪs
Антић	ˈantɪt͡ɕ
Божића	bˈoʒɪt͡ɕɐ
Валтер	vˈaltɛr
Вебер	vˈɛbɛr
Гимназију	ɡˈimnɐzˌɪjʊ
Данској	dˈanskoj
Дени	dˈɛnɪ
Дуга	dˈuɡɐ
Емил	ˈɛmɪl
Ираку	ˈirɐkʊ
Маринковић	mˈɑrɪŋkˌovɪt͡ɕ
Мира	mˈirɐ
Настаје	nˈastɑje
Новац	nˈovɐt͡s
Норвешкој	nˈorvɛʃkoj
Обала	ˈobɐlɐ
Патрик	pˈatrɪk
Плод	plˈod
Приче	prˈit͡ʃɛ
Реп	rˈɛp
Румуна	rˈumʊnɐ
Селиште	sˈɛlɪʃtɛ
Сељаци	sˈɛʎɐt͡sɪ
Соња	sˈoɲɐ
Турску	tˈurskʊ
Феликс	fˈɛlɪks
Фудбалски	fˈudbɐlskɪ
Хана	xˈanɐ
Хелен	xˈɛlɛn
бирао	bˈirɐo
бракова	brˈakovɐ
бренд	brˈɛnd
бројно	brˈojno
вештачких	vˈɛʃtɐt͡ʃkɪh
војнички	vˈojnɪt͡ʃkɪ
галаксија	ɡˈalɐksˌɪjɐ
гине	ɡˈinɛ
глобални	ɡlˈobɐlnɪ
гробови	ɡrˈobovɪ
губицима	ɡˈubɪt͡sˌɪmɐ
деде	dˈɛdɛ
достигли	dˈostɪɡlɪ
древни	drˈɛvnɪ
дужностима	dˈuʒnostˌɪmɐ
жлезда	ʒlˈɛzdɐ
задужбине	zˈadʊʒbˌɪnɛ
замонашио	zˈamonˌɐʃɪo
затварају	zˈatvɑrˌɑjʊ
зет	zˈɛt
знаке	znˈakɛ
изградила	ˈizɡrɐdˌɪlɐ
именовања	ˈimɛnˌovɐɲɐ
интерпретацију	ˈintɛrprˌɛtɐt͡sˌɪjʊ
калцијума	kˈalt͡sɪjˌʊmɐ
кашњења	kˈaʃɲeɲɐ
квалификационих	kvˈalɪfˌɪkɐt͡sˌɪonɪh
клавира	klˈavɪrɐ
комерцијалних	kˈomɛrt͡sˌɪjɐlnɪh
комунистичких	kˈomʊnˌɪstɪt͡ʃkɪh
корене	kˈorɛnɛ
кретали	krˈɛtɐlɪ
ланцу	lˈant͡sʊ
митрополије	mˈitropˌolɪje
напредују	nˈaprɛdˌʊjʊ
наследи	nˈaslɛdɪ
најближе	nˈɑjblɪʒɛ
нето	nˈɛto
нуклеарних	nˈuklɛˌɑrnɪh
обавештајне	ˈobɐvˌɛʃtɑjnɛ
обилује	ˈobɪlˌʊje
обликује	ˈoblɪkˌʊje
одбијени	ˈodbɪjˌenɪ
одвели	ˈodvɛlɪ
одвоји	ˈodvojɪ
одобрен	ˈodobrɛn
океану	ˈokɛˌɐnʊ
оригиналну	ˈorɪɡˌɪnɐlnʊ
осетљивост	ˈosɛtʎˌɪvost
ослобађају	ˈoslobˌɐd͡ʑɑjʊ
оснивањем	ˈosnɪvˌɐɲem
оставивши	ˈostɐvˌɪfʃɪ
писмима	pˈismɪmɐ
показујући	pˈokɐzˌʊjʊt͡ɕɪ
покретача	pˈokrɛtˌɐt͡ʃɐ
покретом	pˈokrɛtom
понудили	pˈonʊdˌɪlɪ
поправи	pˈoprɐvɪ
потражња	pˈotrɐʒɲɐ
пољским	pˈoʎskɪm
православним	prˈavoslˌɐvnɪm
првенствених	prvˈɛnstvɛnɪh
првопласираних	prvˈoplɐsˌɪrɐnɪh
пребачена	prˈɛbɐt͡ʃˌɛnɐ
предвиђен	prˈɛdvɪd͡ʑɛn
прикупља	prˈikʊpʎɐ
прилагођене	prˈilɐɡˌod͡ʑɛnɛ
прилозима	prˈilozˌɪmɐ
примао	prˈimɐo
провинцију	prˈovɪnt͡sˌɪjʊ
прослава	prˈoslɐvɐ
психички	psˈihɪt͡ʃkɪ
путовањима	pˈutovˌɐɲɪmɐ
пјесму	pjˈesmʊ
радара	rˈadɑrɐ
развијену	rˈazvɪjˌenʊ
реаговао	rˈɛɐɡˌovɐo
свађа	svˈad͡ʑɐ
сер	sˈɛr
сиромашна	sˈiromˌɐʃnɐ
скакача	skˈakɐt͡ʃɐ
снажног	snˈaʒnoɡ
спалили	spˈalɪlɪ
спортском	spˈortskom
спровођењу	sprˈovod͡ʑˌɛɲʊ
сребрних	srˈɛbrnɪh
суђено	sˈud͡ʑɛno
сјајно	sjˈɑjno
тематски	tˈɛmɐtskɪ
тестиса	tˈɛstɪsɐ
турско	tˈursko
убрзава	ˈubrzɐvɐ
угрожене	ˈuɡroʒˌɛnɛ
указао	ˈukɐzˌɐo
урбаним	ˈurbɐnɪm
уским	ˈuskɪm
устима	ˈustɪmɐ
ученица	ˈut͡ʃɛnˌɪt͡sɐ
хуманитарне	xˈumɐnˌɪtɑrnɛ
царској	t͡sˈɑrskoj
црквено	t͡srkvˈɛno
часу	t͡ʃˈasʊ
четничких	t͡ʃˈɛtnɪt͡ʃkɪh
шеме	ʃˈɛmɛ
ширењем	ʃˈirɛɲem
југозападном	jˈuɡozˌɐpɐdnom
Јединство	jˈedɪnstvo
Џозеф	d͡ʒˈozɛf
Александром	ˈalɛksˌɐndrom
Богом	bˈoɡom
Ви	vˈi
Вођа	vˈod͡ʑɐ
Господин	ɡˈospodɪn
Дворац	dvˈorɐt͡s
Динамо	dˈinɐmo
Значај	znˈat͡ʃɑj
Зорана	zˈorɐnɐ
КП	kˈəpˌə
Кевин	kˈɛvɪn
Кит	kˈit
Маркс	mˈɑrks
Мислим	mˈislɪm
Наука	nˈaʊkɐ
Павловића	pˈavlovˌɪt͡ɕɐ
Панчева	pˈant͡ʃɛvɐ
Погинуло	pˈoɡɪnˌʊlo
Политичка	pˈolɪtˌɪt͡ʃkɐ
Постојале	pˈostojˌɐlɛ
Примена	prˈimɛnɐ
Софију	sˈofɪjʊ
Стојковић	stˈojkovɪt͡ɕ
Угарска	ˈuɡɑrskɐ
Фреди	frˈɛdɪ
Х	xˈə
Хрвоје	xrvˈoje
Шон	ʃˈon
ал	ˈal
анализом	ˈanɐlˌɪzom
атомске	ˈatomskɛ
бирали	bˈirɐlɪ
величином	vˈɛlɪt͡ʃˌɪnom
видио	vˈidɪo
владару	vlˈadɑrʊ
вуне	vˈunɛ
глумачку	ɡlˈumɐt͡ʃkʊ
глумцима	ɡlˈumt͡sɪmɐ
гробницу	ɡrˈobnɪt͡sʊ
грудног	ɡrˈudnoɡ
демона	dˈɛmonɐ
доктрина	dˈoktrɪnɐ
дугачко	dˈuɡɐt͡ʃko
етничка	ˈɛtnɪt͡ʃkɐ
зауставила	zˈaʊstˌɐvɪlɐ
знаком	znˈakom
знаменитости	znˈamɛnˌɪtostɪ
избаци	ˈizbɐt͡sɪ
избећи	ˈizbɛt͡ɕɪ
изолације	ˈizolˌɐt͡sɪje
имплементацију	ˈimplɛmˌɛntɐt͡sˌɪjʊ
капацитетом	kˈapɐt͡sˌɪtɛtom
капе	kˈapɛ
класичну	klˈasɪt͡ʃnʊ
кованице	kˈovɐnˌɪt͡sɛ
коначна	kˈonɐt͡ʃnɐ
контроверзна	kˈontrovˌɛrznɐ
крака	krˈakɐ
купатило	kˈupɐtˌɪlo
лежао	lˈɛʒɐo
лепоти	lˈɛpotɪ
македонске	mˈakɛdˌonskɛ
македонски	mˈakɛdˌonskɪ
машински	mˈaʃɪnskɪ
мирним	mˈirnɪm
моћни	mˈot͡ɕnɪ
мрље	mrʎˈe
навести	nˈavɛstɪ
намени	nˈamɛnɪ
напуштање	nˈapʊʃtˌɐɲe
наредба	nˈɑrɛdbɐ
науче	nˈaʊt͡ʃɛ
наши	nˈaʃɪ
обележила	ˈobɛlˌɛʒɪlɐ
образовао	ˈobrɐzˌovɐo
обронцима	ˈobront͡sˌɪmɐ
одговарајућа	ˈodɡovˌɑrɑjˌʊt͡ɕɐ
одигра	ˈodɪɡrɐ
одступање	ˈotstʊpˌɐɲe
омиљени	ˈomɪʎˌenɪ
особом	ˈosobom
оштећено	ˈoʃtɛt͡ɕˌɛno
планирали	plˈanɪrˌɐlɪ
племић	plˈɛmɪt͡ɕ
подухвата	pˈodʊhvˌɐtɐ
полицајци	pˈolɪt͡sˌɑjt͡sɪ
положи	pˈoloʒɪ
постајала	pˈostɑjˌɐlɐ
похвалио	pˈohvɐlˌɪo
походе	pˈohodɛ
предграђу	prˈɛdɡrɐd͡ʑʊ
пределе	prˈɛdɛlɛ
председничким	prˈɛtsɛdnˌɪt͡ʃkɪm
премијере	prˈɛmɪjˌerɛ
препознао	prˈɛpoznˌɐo
претходној	prˈɛthodnoj
примања	prˈimɐɲɐ
принуђена	prˈinʊd͡ʑˌɛnɐ
приступом	prˈistʊpom
притвору	prˈitvorʊ
продати	prˈodɐtɪ
противнапад	prˈotɪvnˌɐpɐd
процват	prˈot͡svɐt
пруже	prˈuʒɛ
рађен	rˈad͡ʑɛn
реализације	rˈɛɐlˌɪzɐt͡sˌɪje
речника	rˈɛt͡ʃnɪkɐ
рођеног	rˈod͡ʑɛnoɡ
саветовао	sˈavɛtˌovɐo
садашњег	sˈadɐʃɲeɡ
садржати	sˈadrʒɐtɪ
састанцима	sˈastɐnt͡sˌɪmɐ
силовања	sˈilovˌɐɲɐ
синагога	sˈinɐɡˌoɡɐ
сира	sˈirɐ
склоп	sklˈop
скупи	skˈupɪ
спасити	spˈasɪtɪ
специфичности	spˈɛt͡sɪfˌɪt͡ʃnostɪ
сразмерно	srˈazmɛrno
срчане	srt͡ʃˈanɛ
стварна	stvˈɑrnɐ
столу	stˈolʊ
струјања	strˈujɐɲɐ
топло	tˈoplo
тропским	trˈopskɪm
увидео	ˈuvɪdˌɛo
уговори	ˈuɡovˌorɪ
удаљени	ˈudɐʎˌenɪ
улицом	ˈulɪt͡som
утврђених	ˈutvrd͡ʑɛnɪh
ушију	ˈuʃɪjʊ
филмској	fˈilmskoj
фондова	fˈondovɐ
фрагмената	frˈaɡmɛnˌɐtɐ
фудбалских	fˈudbɐlskɪh
хапшен	xˈapʃɛn
читаоце	t͡ʃˈitɐˌot͡sɛ
школом	ʃkˈolom
јаму	jˈamʊ
јерменске	jˈermɛnskɛ
Аргентина	ˈɑrɡɛntˌɪnɐ
Баш	bˈaʃ
Белог	bˈɛloɡ
Добра	dˈobrɐ
Духа	dˈuhɐ
Ели	ˈɛlɪ
Зависно	zˈavɪsno
Крушевац	krˈuʃɛvɐt͡s
Меч	mˈɛt͡ʃ
Морава	mˈorɐvɐ
Наступао	nˈastʊpˌɐo
Оливера	ˈolɪvˌɛrɐ
Пети	pˈɛtɪ
Простире	prˈostɪrɛ
Стефану	stˈɛfɐnʊ
Теодосије	tˈɛodˌosɪje
ФИФА	fˈifɐ
Фишер	fˈiʃɛr
Читав	t͡ʃˈitɐv
адекватно	ˈadɛkvˌɐtno
амбасаде	ˈambɐsˌɐdɛ
армијом	ˈɑrmɪjom
аутономне	ˈaʊtˌonomnɛ
базама	bˈazɐmɐ
блокада	blˈokɐdɐ
бојног	bˈojnoɡ
бројчано	brˈojt͡ʃɐno
будућу	bˈudʊt͡ɕʊ
већински	vˈɛt͡ɕɪnskɪ
витез	vˈitɛz
враћао	vrˈat͡ɕɐo
гледиште	ɡlˈɛdɪʃtɛ
говорник	ɡˈovornɪk
годишњице	ɡˈodɪʃɲˌɪt͡sɛ
голим	ɡˈolɪm
грађанским	ɡrˈad͡ʑɐnskɪm
датотеке	dˈatotˌɛkɛ
демократија	dˈɛmokrˌɐtɪjɐ
додуше	dˈodʊʃɛ
дугове	dˈuɡovɛ
екосистема	ˈɛkosˌɪstɛmɐ
експанзије	ˈɛkspɐnzˌɪje
електронским	ˈɛlɛktrˌonskɪm
ерупције	ˈɛrʊpt͡sˌɪje
ефективно	ˈɛfɛktˌɪvno
жалио	ʒˈalɪo
забележени	zˈabɛlˌɛʒɛnɪ
завршном	zˈavrʃnom
запажања	zˈapɐʒˌɐɲɐ
заљубила	zˈaʎʊbˌɪlɐ
ивицу	ˈivɪt͡sʊ
изборио	ˈizborˌɪo
извршавају	ˈizvrʃɐvˌɑjʊ
изрека	ˈizrɛkɐ
изумирања	ˈizʊmˌɪrɐɲɐ
инспирисана	ˈinspɪrˌɪsɐnɐ
инструментима	ˈinstrʊmˌɛntɪmɐ
интерфејса	ˈintɛrfˌejsɐ
исплати	ˈisplɐtɪ
испунила	ˈispʊnˌɪlɐ
испуњени	ˈispʊɲˌenɪ
историчарима	ˈistorˌɪt͡ʃɑrˌɪmɐ
картица	kˈɑrtɪt͡sɐ
колено	kˈolɛno
комедији	kˈomɛdˌɪjɪ
комору	kˈomorʊ
месни	mˈɛsnɪ
монархија	mˈonɑrhˌɪjɐ
мјестима	mjˈestɪmɐ
надомак	nˈadomɐk
наредни	nˈɑrɛdnɪ
наслаге	nˈaslɐɡɛ
натписи	nˈatpɪsɪ
нестабилности	nˈɛstɐbˌɪlnostɪ
обавити	ˈobɐvˌɪtɪ
оближњим	ˈoblɪʒɲɪm
обложена	ˈobloʒˌɛnɐ
општинска	ˈopʃtɪnskɐ
организовати	ˈorɡɐnˌɪzovˌɐtɪ
пепео	pˈɛpɛo
плаво	plˈavo
потпун	pˈotpʊn
похвалили	pˈohvɐlˌɪlɪ
прваци	prvˈat͡sɪ
пребацује	prˈɛbɐt͡sˌʊje
предавање	prˈɛdɐvˌɐɲe
предузети	prˈɛdʊzˌɛtɪ
преузму	prˈɛʊzmʊ
прилози	prˈilozɪ
приморао	prˈimorˌɐo
присталицама	prˈistɐlˌɪt͡sɐmɐ
приступити	prˈistʊpˌɪtɪ
проблему	prˈoblɛmʊ
прозу	prˈozʊ
протесте	prˈotɛstɛ
протокол	prˈotokol
равним	rˈavnɪm
радњама	rˈadɲɐmɐ
разбијеног	rˈazbɪjˌenoɡ
размере	rˈazmɛrɛ
рађена	rˈad͡ʑɛnɐ
рањени	rˈaɲenɪ
рекорди	rˈɛkordɪ
референце	rˈɛfɛrˌɛnt͡sɛ
решили	rˈɛʃɪlɪ
робове	rˈobovɛ
родној	rˈodnoj
савремену	sˈavrɛmˌɛnʊ
сазнајемо	sˈaznɑjˌemo
сету	sˈɛtʊ
снажном	snˈaʒnom
споменику	spˈomɛnˌɪkʊ
спортом	spˈortom
стазама	stˈazɐmɐ
суочио	sˈuot͡ʃˌɪo
сутра	sˈutrɐ
танким	tˈaŋkɪm
требају	trˈɛbɑjʊ
туче	tˈut͡ʃɛ
увели	ˈuvɛlɪ
узајамно	ˈuzɑjˌɐmno
укључивање	ˈukʎʊt͡ʃˌɪvɐɲe
упао	ˈupɐo
уследили	ˈuslɛdˌɪlɪ
успешним	ˈuspɛʃnɪm
филозофи	fˈilozˌofɪ
фресака	frˈɛsɐkɐ
функционалност	fˈuŋkt͡sɪˌonɐlnost
хидроелектране	xˈidroˌɛlɛktrˌɐnɛ
цилиндра	t͡sˈilɪndrɐ
чворови	t͡ʃvˈorovɪ
чудно	t͡ʃˈudno
чуло	t͡ʃˈulo
југословенском	jˈuɡoslˌovɛnskom
њиве	ɲˈivɛ
on	ˈon
u	ˈu
Јакова	jˈakovɐ
Југословенска	jˈuɡoslˌovɛnskɐ
ВН	vˈənˌə
Европљана	ˈɛvropʎˌɐnɐ
Кинтана	kˈintɐnɐ
Ладислав	lˈadɪslɐv
Лукас	lˈukɐs
Момчило	mˈomt͡ʃɪlo
Наполеона	nˈapolˌɛonɐ
Општа	ˈopʃtɐ
Пашић	pˈaʃɪt͡ɕ
Представа	prˈɛtstɐvɐ
Роми	rˈomɪ
Роџерс	rˈod͡ʒɛrs
Свето	svˈɛto
Совјетске	sˈovjetskɛ
Стјепан	stjˈepɐn
Технички	tˈɛhnɪt͡ʃkɪ
Титулу	tˈitʊlʊ
УК	ˈuk
Ужицу	ˈuʒɪt͡sʊ
Финској	fˈinskoj
Французима	frˈant͡sʊzˌɪmɐ
Харија	xˈɑrɪjɐ
Хајнрих	xˈɑjnrɪh
архиепископ	ˈɑrhɪˌɛpɪskop
архитектонске	ˈɑrhɪtˌɛktonskɛ
аустријских	ˈaʊstrˌɪjskɪh
бачен	bˈat͡ʃɛn
бега	bˈɛɡɐ
брзу	brzˈu
ваздухоплова	vˈazdʊhˌoplovɐ
врату	vrˈatʊ
врту	vrtˈu
генетски	ɡˈɛnɛtskɪ
графика	ɡrˈafɪkɐ
експеримената	ˈɛkspɛrˌɪmɛnˌɐtɐ
желимо	ʒˈɛlɪmo
затражи	zˈatrɐʒɪ
здрав	zdrˈav
зимском	zˈimskom
извештава	ˈizvɛʃtˌɐvɐ
изучавање	ˈizʊt͡ʃˌɐvɐɲe
инвестиције	ˈinvɛstˌɪt͡sɪje
интерпретација	ˈintɛrprˌɛtɐt͡sˌɪjɐ
исказује	ˈiskɐzˌʊje
искуствима	ˈiskʊstvˌɪmɐ
испунити	ˈispʊnˌɪtɪ
капелан	kˈapɛlɐn
карцинома	kˈɑrt͡sɪnˌomɐ
квадратном	kvˈadrɐtnom
класична	klˈasɪt͡ʃnɐ
коефицијент	kˈoɛfˌɪt͡sɪjent
ледника	lˈɛdnɪkɐ
масама	mˈasɐmɐ
материјална	mˈatɛrˌɪjɐlnɐ
матрице	mˈatrɪt͡sɛ
млађу	mlˈad͡ʑʊ
монарха	mˈonɑrhɐ
наведеног	nˈavɛdˌɛnoɡ
наоружана	nˈaorˌʊʒɐnɐ
наставна	nˈastɐvnɐ
наставних	nˈastɐvnɪh
најпродаванији	nˈɑjprodˌɐvɐnˌɪjɪ
несвесно	nˈɛsvɛsno
ниских	nˈiskɪh
нисмо	nˈismo
ношње	nˈoʃɲe
одигране	ˈodɪɡrˌɐnɛ
одлукама	ˈodlʊkˌɐmɐ
омладина	ˈomlɐdˌɪnɐ
ослањао	ˈoslɐɲˌɐo
осовине	ˈosovˌɪnɛ
пари	pˈɑrɪ
парне	pˈɑrnɛ
партијама	pˈɑrtɪjˌɐmɐ
побуњеницима	pˈobʊɲˌenɪt͡sˌɪmɐ
површинске	pˈovrʃɪnskɛ
подигнуто	pˈodɪɡnˌʊto
позивао	pˈozɪvˌɐo
покровитељством	pˈokrovˌɪtɛʎstvom
понављања	pˈonɐvljˌɐɲɐ
популарних	pˈopʊlˌɑrnɪh
постигнути	pˈostɪɡnˌʊtɪ
потврдили	pˈotvrdɪlɪ
потребну	pˈotrɛbnʊ
појачава	pˈojɐt͡ʃˌɐvɐ
претходник	prˈɛthodnɪk
прецизније	prˈɛt͡sɪznˌɪje
придружују	prˈidrʊʒˌʊjʊ
протежу	prˈotɛʒʊ
равнотежа	rˈavnotˌɛʒɐ
развојни	rˈazvojnɪ
рај	rˈɑj
реализма	rˈɛɐlˌɪzmɐ
редовним	rˈɛdovnɪm
републику	rˈɛpʊblˌɪkʊ
ритма	rˈitmɐ
светилишта	svˈɛtɪlˌɪʃtɐ
сврставају	svrstˈavɑjʊ
седмица	sˈɛdmɪt͡sɐ
синглови	sˈiŋɡlovɪ
слонова	slˈonovɐ
спремност	sprˈɛmnost
срчаних	srt͡ʃˈanɪh
статистички	stˈatɪstˌɪt͡ʃkɪ
стриктно	strˈiktno
супстанца	sˈupstɐnt͡sɐ
тезе	tˈɛzɛ
трговачко	trɡˈovɐt͡ʃko
убијали	ˈubɪjˌɐlɪ
узастопна	ˈuzɐstˌopnɐ
уноса	ˈunosɐ
уобичајених	ˈuobˌɪt͡ʃɑjˌenɪh
управне	ˈuprɐvnɛ
ухвате	ˈuhvɐtɛ
флуида	flˈuɪdɐ
фонду	fˈondʊ
храмови	xrˈamovɪ
цртања	t͡srtˈaɲɐ
читаоцима	t͡ʃˈitɐˌot͡sɪmɐ
чувала	t͡ʃˈuvɐlɐ
RAID	rˈaɪd
Јерусалиму	jˈerʊsˌɐlɪmʊ
Административно	ˈadmɪnˌɪstrɐtˌɪvno
Академију	ˈakɐdˌɛmɪjʊ
Војислава	vˈojɪslˌɐvɐ
Дизни	dˈiznɪ
Државном	drʒˈavnom
Земљиште	zˈɛmʎɪʃtɛ
Иста	ˈistɐ
Кинеска	kˈinɛskɐ
Конгресу	kˈoŋɡrɛsʊ
Коришћење	kˈorɪʃt͡ɕˌɛɲe
Максима	mˈaksɪmɐ
Најзначајније	nˈɑjznɐt͡ʃˌɑjnɪje
Омар	ˈomɑr
Павелић	pˈavɛlɪt͡ɕ
Побуна	pˈobʊnɐ
Просветни	prˈosvɛtnɪ
Рено	rˈɛno
Сарађивао	sˈɑrɐd͡ʑˌɪvɐo
Школе	ʃkˈolɛ
алуминијума	ˈalʊmˌɪnɪjˌʊmɐ
атоми	ˈatomɪ
башти	bˈaʃtɪ
бомбама	bˈombɐmɐ
вертикални	vˈɛrtɪkˌɐlnɪ
витамина	vˈitɐmˌɪnɐ
витеза	vˈitɛzɐ
гомила	ɡˈomɪlɐ
групације	ɡrˈupɐt͡sˌɪje
губио	ɡˈubɪo
дале	dˈalɛ
даске	dˈaskɛ
дневних	dnˈɛvnɪh
докторирао	dˈoktorˌɪrɐo
доносили	dˈonosˌɪlɪ
занимљив	zˈanɪmʎɪv
заседу	zˈasɛdʊ
заслужује	zˈaslʊʒˌʊje
значајном	znˈat͡ʃɑjnom
изађу	ˈizɐd͡ʑʊ
издижу	ˈizdɪʒʊ
излагао	ˈizlɐɡˌɐo
измењен	ˈizmɛɲen
исхрана	ˈishrɐnɐ
керамика	kˈɛrɐmˌɪkɐ
коаутор	kˈoɐˌʊtor
комунистичког	kˈomʊnˌɪstɪt͡ʃkoɡ
конкурса	kˈoŋkʊrsɐ
кругови	krˈuɡovɪ
књигом	kɲˈiɡom
леш	lˈɛʃ
масом	mˈasom
мету	mˈɛtʊ
младост	mlˈadost
муслиманским	mˈuslɪmˌɐnskɪm
нагиба	nˈaɡɪbɐ
наговор	nˈaɡovor
намесника	nˈamɛsnˌɪkɐ
најнижи	nˈɑjnɪʒɪ
одбрамбеног	ˈodbrɐmbˌɛnoɡ
одговарала	ˈodɡovˌɑrɐlɐ
одлагања	ˈodlɐɡˌɐɲɐ
однела	ˈodnɛlɐ
одржавати	ˈodrʒɐvˌɐtɪ
оквире	ˈokvɪrɛ
описивање	ˈopɪsˌɪvɐɲe
пламен	plˈamɛn
планирају	plˈanɪrˌɑjʊ
побили	pˈobɪlɪ
подруму	pˈodrʊmʊ
позитивни	pˈozɪtˌɪvnɪ
покажу	pˈokɐʒʊ
поклони	pˈoklonɪ
полагање	pˈolɐɡˌɐɲe
поразе	pˈorɐzɛ
поријекла	pˈorɪjˌeklɐ
постајао	pˈostɑjˌɐo
постигавши	pˈostɪɡˌɐfʃɪ
пољопривредни	pˈoʎoprˌɪvrɛdnɪ
правоугаоне	prˈavo͡ʊɡˌɐonɛ
преведене	prˈɛvɛdˌɛnɛ
преостало	prˈɛostˌɐlo
приходи	prˈihodɪ
прогласи	prˈoɡlɐsɪ
проузрокује	prˈo͡ʊzrokˌʊje
проширити	prˈoʃɪrˌɪtɪ
пројект	prˈojekt
пукотине	pˈukotˌɪnɛ
рањавања	rˈaɲɐvˌɐɲɐ
револуционарног	rˈɛvolˌʊt͡sɪˌonɑrnoɡ
рекордом	rˈɛkordom
ризиком	rˈizɪkom
рудари	rˈudɑrɪ
