--nya	--ɲa
berlagak	bərlagaʔ
berlagu	bərlagu
berlain	bərlain
berlainan	bərlainan
berlakon	bərlakon
berlaku	bərlaku
berlakunya	bərlakuɲa
berlalu	bərlalu
berlambak	bərlambaʔ
berlambang	bərlambaŋ
berlambat	bərlambat
berlandaskan	bərlandaskan
berlanggar	bərlaŋgar
berlangsung	bərlaŋsuŋ
berlangsungnya	bərlaŋsuŋɲa
berlanjut	bərlandʒut
berlanjutan	bərlandʒutan
berlantai	bərlantai
berlapis	bərlapis
berlari	bərlari
berlarian	bərlarian
berlarut	bərlarut
berlatar	bərlatar
berlatih	bərlatih
berlau	bərlau
berlauk	bərlauʔ
berlawan	bərlawan
berlawanan	bərlawanan
berlayar	bərlajar
berlebih	bərləbih
berlebihan	bərləbihan
berlekuk	bərləkuʔ
berleluasa	bərləluasa
berlemak	bərləmaʔ
berlendir	bərləndir
berlengan	bərləŋan
berlepas	bərləpas
berlian	bərlian
berlibur	bərlibur
berlidah	bərlidah
berliku	bərliku
berlilitkan	bərlilitkan
berlimau	bərlimau
berlinang	bərlinaŋ
berlindung	bərlinduŋ
berlipat	bərlipat
berlistrik	bərlistriʔ
berlokasi	bərlokasi
berlomba	bərlomba
berlonggok	bərloŋgoʔ
berlubang	bərlubaŋ
berlukiskan	bərlukiskan
berlumpur	bərlumpur
berlumur	bərlumur
berlumuran	bərlumuran
berlumut	bərlumut
berlutut	bərlutut
berlégar	bərlegar
berléhér	bərleher
berlénggang	bərleŋgaŋ
berma	bərma
bermacam	bərmatʃam
bermadah	bərmadah
bermadu	bərmadu
bermain	bərmain
bermakna	bərmaʔna
bermaksud	bərmaʔsud
bermalam	bərmalam
bermalas	bərmalas
bermandi	bərmandi
bermanfaat	bərmanfaʔat
bermanis	bərmanis
bermarkas	bərmarkas
bermartabat	bərmartabat
bermasalah	bərmasalah
bermasam	bərmasam
bermastautin	bərmastautin
bermasyarakat	bərmasjarakat
bermat	bərmat
bermata	bərmata
bermaya	bərmaja
bermegah	bərməgah
bermekaran	bərməkaran
bermenantu	bərmənantu
bermenantukan	bərmənantukan
bermengkal	bərməŋkal
bermenung	bərmənuŋ
bermesin	bərməsin
bermesra	bərməsra
bermesraan	bərməsraʔan
bermeterai	bərmətərai
bermi	bərmi
bermilik	bərmiliʔ
bermimpi	bərmimpi
berminat	bərminat
berminyak	bərmiɲaʔ
bermobil	bərmobil
bermodal	bərmodal
bermoral	bərmoral
bermotif	bərmotif
bermotifkan	bərmotifkan
bermotor	bərmotor
bermuara	bərmuara
bermuda	bərmuda
bermuka	bərmuka
bermukim	bərmukim
bermula	bərmula
bermulut	bərmulut
bermunculan	bərmuntʃulan
bermurah	bərmurah
bermusim	bərmusim
bermusuh	bərmusuh
bermusuhan	bərmusuhan
bermusyawarah	bərmusjawarah
bermutu	bərmutu
berméditasi	bərmeditasi
bermérek	bərmerəʔ
bernada	bərnada
bernafas	bərnafas
bernafkah	bərnafkah
bernafsu	bərnafsu
bernama	bərnama
bernanah	bərnanah
bernapas	bərnapas
bernas	bərnas
bernasib	bərnasib
bernaung	bərnauŋ
bernegara	bərnəgara
bernga	bərŋa
berniaga	bərniaga
berniat	bərniat
bernikah	bərnikah
bernilai	bərnilai
bernobat	bərnobat
bernoda	bərnoda
bernomor	bərnomor
bernostalgia	bərnostalgia
bernubuat	bərnubuat
bernyala	bərɲala
bernyanyi	bərɲaɲi
bernyawa	bərɲawa
berobat	bərobat
beroci	bərotʃi
beroda	bəroda
beroga	bəroga
berok	bəroʔ
beroléh	bəroleh
berombak	bərombaʔ
beronang	bəronaŋ
beronani	bəronani
berondong	bərondoŋ
berongga	bəroŋga
berongsang	bəroŋsaŋ
berongsong	bəroŋsoŋ
beronjong	bərondʒoŋ
beronok	bəronoʔ
berontak	bərontaʔ
beroperasi	bəropərasi
beroriéntasi	bərorientasi
beroriéntasikan	bərorientasikan
berosot	bərosot
berpacar	bərpatʃar
berpacaran	bərpatʃaran
berpadanan	bərpadanan
berpadu	bərpadu
berpagar	bərpagar
berpaham	bərpaham
berpahat	bərpahat
berpakaian	bərpakaian
berpaling	bərpaliŋ
berpamitan	bərpamitan
berpandangan	bərpandaŋan
berpandu	bərpandu
berpangkal	bərpaŋkal
berpangkalan	bərpaŋkalan
berpangkat	bərpaŋkat
berpangku	bərpaŋku
berpanjangan	bərpandʒaŋan
berpantang	bərpantaŋ
berpantingan	bərpantiŋan
berpantun	bərpantun
berpartai	bərpartai
berpartisipasi	bərpartisipasi
berpasangan	bərpasaŋan
berpasir	bərpasir
berpasukan	bərpasukan
berpatah	bərpatah
berpatutan	bərpatutan
berpaut	bərpaut
berpecah	bərpətʃah
berpecahan	bərpətʃahan
berpedoman	bərpədoman
berpegang	bərpəgaŋ
berpegangan	bərpəgaŋan
berpelana	bərpəlana
berpelesir	bərpələsir
berpelitur	bərpəlitur
berpeluang	bərpəluaŋ
berpeluh	bərpəluh
berpeluk	bərpəluʔ
berpelukan	bərpəlukan
berpeluru	bərpəluru
berpembawaan	bərpəmbawaʔan
berpencar	bərpəntʃar
berpencaran	bərpəntʃaran
berpendapat	bərpəndapat
berpendar	bərpəndar
berpendidikan	bərpəndidikan
berpendirian	bərpəndirian
berpengalaman	bərpəŋalaman
berpengaruh	bərpəŋaruh
berpengetahuan	bərpəŋətahuan
berpenggalan	bərpəŋgalan
berpengharapan	bərpəŋharapan
berpenghasilan	bərpəŋhasilan
berpenghuni	bərpəŋhuni
berpentas	bərpəntas
berpentingan	bərpəntiŋan
berpenumpang	bərpənumpaŋ
berpenyakit	bərpəɲakit
berperahu	bərpərahu
berperan	bərpəran
berperanan	bərpəranan
berperang	bərpəraŋ
berperangai	bərpəraŋai
berperasaan	bərpərasaʔan
berperata	bərpərata
berperawakan	bərpərawakan
berperi	bərpəri
berperikemanusiaan	bərpərikəmanusiaʔan
berperilaku	bərpərilaku
berperingkat	bərpəriŋkat
berperisai	bərpərisai
berperistiwa	bərpəristiwa
berperut	bərpərut
berpesan	bərpəsan
berpesiar	bərpəsiar
berpetam	bərpətam
berpeti	bərpəti
berpidato	bərpidato
berpihak	bərpihaʔ
berpijak	bərpidʒaʔ
berpikir	bərpikir
berpikiran	bərpikiran
berpilin	bərpilin
berpindah	bərpindah
berpinggir	bərpiŋgir
berpintu	bərpintu
berpisah	bərpisah
berpiutang	bərpiutaŋ
berpohon	bərpohon
berpokok	bərpokoʔ
berpoligami	bərpoligami
berpolitik	bərpolitiʔ
berpotong	bərpotoŋ
berpotongan	bərpotoŋan
berpoténsi	bərpotensi
berprasangka	bərprasaŋka
berpribadi	bərpribadi
berproduksi	bərproduʔsi
berpréstasi	bərprestasi
berpuas	bərpuas
berpuasa	bərpuasa
berpulang	bərpulaŋ
berpuluh	bərpuluh
berpusat	bərpusat
berpusing	bərpusiŋ
berputar	bərputar
berputih	bərputih
berpéndar	bərpendar
berpéndaran	bərpendaran
berpér	bərper
berpésta	bərpesta
berpétak	bərpetaʔ
bersabar	bərsabar
bersabda	bərsabda
bersahabat	bərsahabat
bersahaja	bərsahadʒa
bersahut	bərsahut
bersahutan	bərsahutan
bersaing	bərsaiŋ
bersajak	bərsadʒaʔ
bersaksi	bərsaʔsi
bersalah	bərsalah
bersalam	bərsalam
bersalaman	bərsalaman
bersalin	bərsalin
bersalju	bərsaldʒu
bersalut	bərsalut
bersama	bərsama
bersamaan	bərsamaʔan
bersambat	bərsambat
bersambung	bərsambuŋ
bersambungan	bərsambuŋan
bersambut	bərsambut
bersampan	bərsampan
bersandar	bərsandar
bersandaran	bərsandaran
bersandarkan	bərsandarkan
bersanggama	bərsaŋgama
bersanggul	bərsaŋgul
bersangka	bərsaŋka
bersangkut	bərsaŋkut
bersangkutan	bərsaŋkutan
bersantai	bərsantai
bersara	bərsara
bersarang	bərsaraŋ
bersari	bərsari
bersastra	bərsastra
bersat	bərsat
bersatu	bərsatu
bersaudara	bərsaudara
bersayap	bərsajap
bersebab	bərsəbab
bersebadan	bərsəbadan
bersebaran	bərsəbaran
bersebelahan	bərsəbəlahan
berseberangan	bərsəbəraŋan
bersecepat	bərsətʃəpat
bersedekah	bərsədəkah
bersedekap	bərsədəkap
bersedia	bərsədia
bersedih	bərsədih
bersedu	bərsədu
bersegera	bərsəgəra
bersegi	bərsəgi
bersejarah	bərsədʒarah
bersejuk	bərsədʒuʔ
bersekat	bərsəkat
bersekedudukan	bərsəkədudukan
bersekolah	bərsəkolah
bersekongkol	bərsəkoŋkol
bersekutu	bərsəkutu
bersela	bərsəla
berselaju	bərsəladʒu
berselam	bərsəlam
berselamatan	bərsəlamatan
berselancar	bərsəlantʃar
berselang	bərsəlaŋ
berselaput	bərsəlaput
berselawat	bərsəlawat
berselepat	bərsələpat
berselibut	bərsəlibut
berselimut	bərsəlimut
berselimutkan	bərsəlimutkan
berselindung	bərsəlinduŋ
berseling	bərsəliŋ
berselingkuh	bərsəliŋkuh
berselirak	bərsəliraʔ
berselirat	bərsəlirat
berselisih	bərsəlisih
berselit	bərsəlit
berseliweran	bərsəliwəran
berseloka	bərsəloka
berselonjor	bərsəlondʒor
berseloroh	bərsəloroh
berseluar	bərsəluar
berselubung	bərsəlubuŋ
berseluk	bərsəluʔ
berselumu	bərsəlumu
berselékoh	bərsəlekoh
berselékéh	bərsəlekeh
berseléléran	bərsəleleran
berselémpang	bərsəlempaŋ
berseléndang	bərsəlendaŋ
berseléra	bərsəlera
berselérak	bərsəleraʔ
berselésa	bərsəlesa
bersemadi	bərsəmadi
bersemak	bərsəmaʔ
bersemangat	bərsəmaŋat
bersemarak	bərsəmaraʔ
bersemayam	bərsəmajam
bersembah	bərsəmbah
bersembahyang	bərsəmbahjaŋ
bersembayan	bərsəmbajan
bersembilan	bərsəmbilan
bersemboyan	bərsəmbojan
bersembunyi	bərsəmbuɲi
bersemburan	bərsəmburan
bersemburit	bərsəmburit
bersemenda	bərsəmənda
bersemi	bərsəmi
bersempadan	bərsəmpadan
bersempadankan	bərsəmpadankan
bersemuka	bərsəmuka
bersemén	bərsəmen
bersenam	bərsənam
bersenandung	bərsənanduŋ
bersenang	bərsənaŋ
bersenapan	bərsənapan
bersenda	bərsənda
bersendar	bərsəndar
bersendi	bərsəndi
bersendikan	bərsəndikan
bersendiri	bərsəndiri
bersendirian	bərsəndirian
bersengat	bərsəŋat
bersenggang	bərsəŋgaŋ
bersenggayut	bərsəŋgajut
bersenggulung	bərsəŋguluŋ
bersengkarut	bərsəŋkarut
bersengkela	bərsəŋkəla
bersengkeling	bərsəŋkəliŋ
bersengkelit	bərsəŋkəlit
bersengkéta	bərsəŋketa
berseni	bərsəni
bersenjata	bərsəndʒata
bersenjatakan	bərsəndʒatakan
bersentosa	bərsəntosa
bersentuh	bərsəntuh
bersentuhan	bərsəntuhan
bersenyawa	bərsəɲawa
bersenyum	bərsəɲum
bersepah	bərsəpah
bersepai	bərsəpai
bersepaian	bərsəpaian
bersepakat	bərsəpakat
bersepan	bərsəpan
bersepatu	bərsəpatu
bersepi	bərsəpi
bersepuh	bərsəpuh
bersepéda	bərsəpeda
berserabut	bərsərabut
berseragam	bərsəragam
berserah	bərsərah
berserak	bərsəraʔ
berserama	bərsərama
berserang	bərsəraŋ
berseranggung	bərsəraŋguŋ
berserat	bərsərat
berserban	bərsərban
berseregang	bərsərəgaŋ
berserenjang	bərsərəndʒaŋ
berseri	bərsəri
berserikat	bərsərikat
berserobok	bərsəroboʔ
berserudi	bərsərudi
berserunda	bərsərunda
bersesah	bərsəsah
bersesak	bərsəsaʔ
bersesal	bərsəsal
bersesalan	bərsəsalan
bersesat	bərsəsat
bersesuaian	bərsəsuaian
berseteru	bərsətəru
bersetia	bərsətia
bersetrika	bərsətrika
bersetrip	bərsətrip
bersetubuh	bərsətubuh
bersetuju	bərsətudʒu
bersiap	bərsiap
bersiar	bərsiar
bersibunuh	bərsibunuh
bersicakar	bərsitʃakar
bersicengang	bərsitʃəŋaŋ
bersicepat	bərsitʃəpat
bersidahulu	bərsidahulu
bersidang	bərsidaŋ
bersifat	bərsifat
bersih	bərsih
bersikap	bərsikap
bersikeras	bərsikəras
bersil	bərsil
bersilang	bərsilaŋ
bersilat	bərsilat
bersilih	bərsilih
bersilsilah	bərsilsilah
bersimbah	bərsimbah
bersimpati	bərsimpati
bersin	bərsin
bersinar	bərsinar
bersinggungan	bərsiŋguŋan
bersirip	bərsirip
bersisa	bərsisa
bersisik	bərsisiʔ
bersisir	bərsisir
bersit	bərsit
bersitegang	bərsitəgaŋ
bersiul	bərsiul
berskala	bərskala
bersoal	bərsoal
bersolék	bərsoleʔ
bersongkok	bərsoŋkoʔ
bersorak	bərsoraʔ
berstamina	bərstamina
berstatus	bərstatus
bersua	bərsua
bersuami	bərsuami
bersuamikan	bərsuamikan
bersuara	bərsuara
bersubsidi	bərsubsidi
bersuci	bərsutʃi
bersudut	bərsudut
bersujud	bərsudʒud
bersuka	bərsuka
bersukacita	bərsukatʃita
bersukaria	bərsukaria
bersuku	bərsuku
bersulam	bərsulam
bersuling	bərsuliŋ
bersuluh	bərsuluh
bersumber	bərsumbər
bersumberkan	bərsumbərkan
bersumpah	bərsumpah
bersunat	bərsunat
bersundal	bərsundal
bersungut	bərsuŋut
bersusah	bərsusah
bersut	bərsut
bersyarat	bərsjarat
bersyukur	bərsjukur
bersédan	bərsedan
berségel	bərsegəl
berségéh	bərsegeh
bersél	bərsel
bersémpang	bərsempaŋ
berséndél	bərsendel
berséndéng	bərsendeŋ
berséndéngan	bərsendeŋan
bersénggolan	bərseŋgolan
berséngkang	bərseŋkaŋ
bersép	bərsep
bersépah	bərsepah
bersérak	bərseraʔ
bersérakan	bərserakan
berséran	bərseran
berséri	bərseri
berséwaka	bərsewaka
bertabiat	bərtabiat
bertabrakan	bərtabrakan
bertabung	bərtabuŋ
bertabur	bərtabur
bertaburan	bərtaburan
bertafakur	bərtafakur
bertahan	bərtahan
bertahap	bərtahap
bertahun	bərtahun
bertajuk	bərtadʒuʔ
bertakhta	bərtaʔhta
bertakung	bərtakuŋ
bertakwa	bərtaʔwa
bertali	bərtali
bertalu	bərtalu
bertam	bərtam
bertamadun	bərtamadun
bertamasya	bərtamasja
bertambah	bərtambah
bertanah	bərtanah
bertanda	bərtanda
bertandang	bərtandaŋ
bertanding	bərtandiŋ
bertanduk	bərtanduʔ
bertangguh	bərtaŋguh
bertanggung	bərtaŋguŋ
bertanggung-jawab	bərtaŋguŋ-dʒawab
bertangkai	bərtaŋkai
bertangkup	bərtaŋkup
bertani	bərtani
bertanya	bərtaɲa
bertanyakan	bərtaɲakan
bertapa	bərtapa
bertapak	bərtapaʔ
bertaraf	bərtaraf
bertaruh	bərtaruh
bertarung	bərtaruŋ
bertatahkan	bərtatahkan
bertatih	bərtatih
bertauliah	bərtauliah
bertaut	bərtaut
berteduh	bərtəduh
berteduhkan	bərtəduhkan
bertegah	bərtəgah
bertegak	bərtəgaʔ
bertegas	bərtəgas
berteguh	bərtəguh
bertegun	bərtəgun
bertegur	bərtəgur
bertekak	bərtəkaʔ
bertekan	bərtəkan
bertekanan	bərtəkanan
bertekap	bərtəkap
bertekat	bərtəkat
bertekatkan	bərtəkatkan
bertekuk	bərtəkuʔ
bertekun	bərtəkun
bertelabat	bərtəlabat
bertelanjang	bərtəlandʒaŋ
bertelekan	bərtələkan
berteleku	bərtələku
bertelepuk	bərtələpuʔ
bertelimpuh	bərtəlimpuh
bertelinga	bərtəliŋa
bertelingkah	bərtəliŋkah
berteluk	bərtəluʔ
bertelur	bərtəlur
bertelut	bərtəlut
bertelémpong	bərtəlempoŋ
berteman	bərtəman
bertemankan	bərtəmankan
bertembung	bərtəmbuŋ
bertemin	bərtəmin
bertempat	bərtəmpat
bertempiar	bərtəmpiar
bertempias	bərtəmpias
bertempik	bərtəmpiʔ
bertempur	bərtəmpur
bertemu	bərtəmu
bertenaga	bərtənaga
bertenang	bərtənaŋ
bertengkar	bərtəŋkar
bertengking	bərtəŋkiŋ
bertentang	bərtəntaŋ
bertentangan	bərtəntaŋan
bertentu	bərtəntu
bertenun	bərtənun
bertenung	bərtənuŋ
bertepas	bərtəpas
bertepatan	bərtəpatan
bertepi	bərtəpi
bertepikan	bərtəpikan
bertepuk	bərtəpuʔ
bertera	bərtəra
berterali	bərtərali
berteralikan	bərtəralikan
berterap	bərtərap
berteras	bərtəras
berteraskan	bərtəraskan
berterawang	bərtərawaŋ
berteriak	bərtəriaʔ
berterima	bərtərima
bertertib	bərtərtib
berterus	bərtərus
berterusan	bərtərusan
bertesmak	bərtəsmaʔ
bertetakan	bərtətakan
bertetangga	bərtətaŋga
bertiang	bərtiaŋ
bertiga	bərtiga
bertih	bərtih
bertimbang	bərtimbaŋ
bertimbun	bərtimbun
bertindak	bərtindaʔ
bertindih	bərtindih
bertindik	bərtindiʔ
bertingkah	bərtiŋkah
bertingkap	bərtiŋkap
bertingkat	bərtiŋkat
bertinju	bərtindʒu
bertitah	bərtitah
bertitik	bərtitiʔ
bertiup	bərtiup
bertobat	bərtobat
bertoko	bərtoko
bertolak	bərtolaʔ
bertoleransi	bərtoləransi
bertongkat	bərtoŋkat
bertopi	bərtopi
bertopéng	bərtopeŋ
bertopéngkan	bərtopeŋkan
bertuah	bərtuah
bertualang	bərtualaŋ
bertuan	bərtuan
bertubuh	bərtubuh
bertudung	bərtuduŋ
bertugas	bərtugas
bertuhan	bərtuhan
bertujuan	bərtudʒuan
bertujuh	bərtudʒuh
bertukang	bərtukaŋ
bertukar	bərtukar
bertulang	bərtulaŋ
bertulis	bərtulis
bertumbuh	bərtumbuh
bertumbuk	bərtumbuʔ
bertumpu	bərtumpu
bertumpuk	bərtumpuʔ
bertunang	bərtunaŋ
bertunas	bərtunas
berturut	bərturut
bertutur	bərtutur
bertéater	bərteatər
bertébaran	bərtebaran
bertékad	bərtekad
bertéknologi	bərteʔnologi
bertélepon	bərteləpon
bertélé	bərtele
bertéma	bərtema
bertémakan	bərtemakan
bertémperamén	bərtempəramen
bertémpél	bərtempel
berténggang	bərteŋgaŋ
berténggék	bərteŋgeʔ
berténggér	bərteŋger
berténjét	bərtendʒet
bertéori	bərteori
bertépék	bərtepeʔ
bertétésan	bərtetesan
beruang	bəruaŋ
berubah	bərubah
beruban	bəruban
berucap	bərutʃap
berudu	bərudu
berui	bərui
berujar	bərudʒar
berujul	bərudʒul
berujung	bərudʒuŋ
beruk	bəruʔ
berukir	bərukir
berukiran	bərukiran
berukuran	bərukuran
berulang	bərulaŋ
berumah	bərumah
berumbun	bərumbun
berumbung	bərumbuŋ
berumput	bərumput
berumur	bərumur
berunang	bərunaŋ
berunding	bərundiŋ
berundur	bərundur
berungut	bəruŋut
beruniform	bəruniform
berunsur	bərunsur
berunsurkan	bərunsurkan
beruntun	bəruntun
beruntung	bəruntuŋ
beruntus	bəruntus
berupa	bərupa
berupaya	bərupaja
berurat	bərurat
berurusan	bərurusan
berurutan	bərurutan
berus	bərus
berusaha	bərusaha
berusia	bərusia
berutang	bərutaŋ
bervariasi	bərvariasi
berwajah	bərwadʒah
berwajib	bərwadʒib
berwali	bərwali
berwarganegara	bərwarganəgara
berwari	bərwari
berwarna	bərwarna
berwaspada	bərwaspada
berwawancara	bərwawantʃara
berwawasan	bərwawasan
berwenang	bərwənaŋ
berwewenang	bərwəwənaŋ
berwibawa	bərwibawa
berwisata	bərwisata
berwujud	bərwudʒud
berzakat	bərzakat
berziarah	bərziarah
berzina	bərzina
beréaksi	bəreaʔsi
berédar	bəredar
berédel	bəredəl
beréfléksi	bərefleʔsi
beréhat	bərehat
berékonomi	bərekonomi
berékor	bərekor
berékréasi	bəreʔreasi
berékskursi	bəreʔskursi
berékspansi	bəreʔspansi
beréksperimén	bəreʔspərimen
beréksprési	bəreʔspresi
berénda	bərenda
beréndéng	bərendeŋ
beréngsot	bəreŋsot
beréngsék	bəreŋseʔ
beréntét	bərentet
beréo	bəreo
berés	bəres
berét	bəret
berévolusi	bərevolusi
beréwok	bərewoʔ
besalén	bəsalen
besar	bəsar
besaran	bəsaran
besarkan	bəsarkan
besarnya	bəsarɲa
besel	bəsəl
besengék	bəsəŋeʔ
beserdam	bəsərdam
beserdawa	bəsərdawa
beserta	bəsərta
besi	bəsi
besing	bəsiŋ
besit	bəsit
beskap	bəskap
beslah	bəslah
beslahan	bəslahan
beslit	bəslit
besot	bəsot
bestari	bəstari
bestir	bəstir
bestral	bəstral
besték	bəsteʔ
bestél	bəstel
bestélan	bəstelan
besuk	bəsuʔ
besusu	bəsusu
besut	bəsut
besét	bəset
bet	bət
betah	bətah
betahak	bətahaʔ
betapa	bətapa
betara	bətara
betari	bətari
betas	bətas
betatas	bətatas
beterbangan	bətərbaŋan
beterjunan	bətərdʒunan
beternak	bətərnaʔ
betet	bətət
beti	bəti
betik	bətiʔ
betina	bətina
betina.	bətina.
beting	bətiŋ
betis	bətis
betok	bətoʔ
beton	bəton
betonisasi	bətonisasi
betot	bətot
betuk	bətuʔ
betul	bətul
betulan	bətulan
betung	bətuŋ
betutu	bətutu
bhayangkara	bhajaŋkara
bi	bi
biadab	biadab
biadat	biadat
biadi	biadi
biah	biah
biak	biaʔ
biakan	biakan
biang	biaŋ
bianglala	biaŋlala
biaperi	biapəri
biar	biar
biara	biara
biarawan	biarawan
biarawati	biarawati
biarkan	biarkan
biarlah	biarlah
biarpun	biarpun
bias	bias
biasa	biasa
biasanya	biasaɲa
biat	biat
biau	biau
biawak	biawaʔ
biawan	biawan
biawas	biawas
biaya	biaja
biayanya	biajaɲa
bibi	bibi
bibinda	bibinda
bibir	bibir
bibirnya	bibirɲa
bibit	bibit
bibliografi	bibliografi
biblioték	biblioteʔ
bicana	bitʃana
bicara	bitʃara
bicarakan	bitʃarakan
bicokok	bitʃokoʔ
bicu	bitʃu
bida	bida
bidaah	bidaʔah
bidadari	bidadari
bidah	bidah
bidai	bidai
bidak	bidaʔ
bidal	bidal
bidalan	bidalan
bidan	bidan
bidang	bidaŋ
bidangan	bidaŋan
bidar	bidar
bidara	bidara
bidari	bidari
bidas	bidas
bidasan	bidasan
bidik	bidiʔ
bidikan	bidikan
bido	bido
biduan	biduan
biduanda	biduanda
biduanita	biduanita
biduk	biduʔ
bidur	bidur
biduri	biduri
bid’ah	bidʔah
bigair	bigair
bigami	bigami
bigamis	bigamis
bihun	bihun
bija	bidʒa
bijak	bidʒaʔ
bijaksana	bidʒaʔsana
bijaksanawan	bidʒaʔsanawan
bijan	bidʒan
bijana	bidʒana
biji	bidʒi
bijian	bidʒian
bijih	bidʒih
bik	biʔ
bikang	bikaŋ
bikarbonat	bikarbonat
bikin	bikin
bikinan	bikinan
bikini	bikini
bikir	bikir
bikonkaf	bikonkaf
bikonvéks	bikonveʔs
biksu	biʔsu
biksuni	biʔsuni
biku	biku
bil	bil
bila	bila
bilabial	bilabial
bilah	bilah
bilakmata	bilaʔmata
bilal	bilal
bilamana	bilamana
bilamasa	bilamasa
bilang	bilaŋ
bilangan	bilaŋan
bilas	bilas
bilateral	bilatəral
bilatéral	bilateral
bilau	bilau
bilhak	bilhaʔ
biliar	biliar
bilik	biliʔ
bilingual	biliŋual
bilingualisme	biliŋualismə
bilion	bilion
bilis	bilis
biliun	biliun
billahi	billahi
bilur	bilur
bilyét	biljet
bimbang	bimbaŋ
bimbing	bimbiŋ
bimbingan	bimbiŋan
bimbit	bimbit
bimbitan	bimbitan
bin	bin
bina	bina
binaan	binaʔan
binal	binal
binar	binar
binara	binara
binaraga	binaraga
binaragawan	binaragawan
binasa	binasa
binasakan	binasakan
binatang	binataŋ
binawah	binawah
bincacak	bintʃatʃaʔ
bincang	bintʃaŋ
bincu	bintʃu
bincul	bintʃul
bincut	bintʃut
bindam	bindam
bindeng	bindəŋ
binder	bindər
bindu	bindu
binen	binən
bingas	biŋas
bingit	biŋit
bingka	biŋka
bingkah	biŋkah
bingkahan	biŋkahan
bingkai	biŋkai
bingkainya	biŋkaiɲa
bingkas	biŋkas
bingkatak	biŋkataʔ
bingkis	biŋkis
bingkisan	biŋkisan
bingung	biŋuŋ
bini	bini
bininya	biniɲa
binjai	bindʒai
binjat	bindʒat
binokular	binokular
bintak	bintaʔ
bintal	bintal
bintalak	bintalaʔ
bintan	bintan
bintang	bintaŋ
bintangan	bintaŋan
bintangnya	bintaŋɲa
bintara	bintara
bintat	bintat
binti	binti
bintik	bintiʔ
bintil	bintil
bintit	bintit
bintul	bintul
bintul-bahar	bintul-bahar
bintur	bintur
binturung	binturuŋ
binéka	bineka
binér	biner
biodata	biodata
biofisik	biofisiʔ
biofisika	biofisika
biogas	biogas
biografi	biografi
biogénik	biogeniʔ
biokimia	biokimia
biola	biola
biologi	biologi
biologis	biologis
biométrik	biometriʔ
biopsi	biopsi
bioritme	bioritmə
biosfér	biosfer
biosida	biosida
bioskop	bioskop
biota	biota
bioték	bioteʔ
bipolar	bipolar
bir	bir
birah	birah
birai	birai
biram	biram
birama	birama
biras	biras
birat	birat
biri	biri
biri-biri	biri-biri
biring	biriŋ
birit	birit
biro	biro
birokrasi	biroʔrasi
birokrat	biroʔrat
birokratik	biroʔratiʔ
birokratis	biroʔratis
birokratisasi	biroʔratisasi
birsam	birsam
biru	biru
bis	bis
bis.	bis.
bisa	bisa
bisai	bisai
bisanya	bisaɲa
bisawab	bisawab
bisbol	bisbol
bisik	bisiʔ
bisikan	bisikan
bising	bisiŋ
bisinosis	bisinosis
biskuit	biskuit
bismut	bismut
bisnis	bisnis
bison	bison
bissu	bissu
bistik	bistiʔ
bisu	bisu
bisul	bisul
biséksual	biseʔsual
biséktris	biseʔtris
biséps	biseps
bit	bit
biti	biti
biting	bitiŋ
bitumén	bitumen
biuku	biuku
bius	bius
biut	biut
bizurai	bizurai
blabar	blabar
blak-blakan	blak-blakan
blangko	blaŋko
blaster	blastər
blasteran	blastəran
blazer	blazər
blekok	bləkoʔ
blekék	bləkeʔ
blirik	bliriʔ
blok	bloʔ
blokade	blokadə
blokir	blokir
blong	bloŋ
bludrék	bludreʔ
blus	blus
blustru	blustru
blék	bleʔ
blénder	blendər
bléwah	blewah
bobok	boboʔ
bobol	bobol
bobos	bobos
bobot	bobot
bobotok	bobotoʔ
bobrok	bobroʔ
bocah	botʃah
bocok	botʃoʔ
bocong	botʃoŋ
bocor	botʃor
bocoran	botʃoran
bodi	bodi
bodoh	bodoh
bodohnya	bodohɲa
bodok	bodoʔ
bodong	bodoŋ
bodor	bodor
boga	boga
bogam	bogam
bogem	bogəm
bogi	bogi
bogol	bogol
bogor	bogor
bogot	bogot
bogél	bogel
bohlam	bohlam
bohong	bohoŋ
bohongan	bohoŋan
bohorok	bohoroʔ
boi	boi
boikot	boikot
bokar	bokar
bokca	boʔtʃa
bokoh	bokoh
bokong	bokoŋ
bokop	bokop
bokor	bokor
boks	boʔs
boksen	boʔsən
bokser	boʔsər
boksu	boʔsu
bol	bol
bola	bola
bolak	bolaʔ
boling	boliŋ
bolong	boloŋ
bolos	bolos
bolot	bolot
bolotu	bolotu
bolpoin	bolpoin
bolu	bolu
boléh	boleh
boléhan	bolehan
boléhkah	bolehkah
boléhnya	bolehɲa
boléro	bolero
bom	bom
bomba	bomba
bombardemén	bombardəmen
bombardir	bombardir
bombas	bombas
bombastis	bombastis
bomber	bombər
bomoh	bomoh
bon	bon
bonafiditas	bonafiditas
bonang	bonaŋ
bonanza	bonanza
bonbon	bonbon
boncol	bontʃol
boncong	bontʃoŋ
boncél	bontʃel
boncéng	bontʃeŋ
boncéngan	bontʃeŋan
bonda	bonda
bondol	bondol
bondong	bondoŋ
bondongan	bondoŋan
bondot	bondot
bong	boŋ
bongak	boŋaʔ
bonggol	boŋgol
bongkah	boŋkah
bongkak	boŋkaʔ
bongkal	boŋkal
bongkar	boŋkar
bongkaran	boŋkaran
