ve	vɛ
meşgul	mɛʃɡˈʊɫ
okuyan	okujˈan
olana	oɫanˈa
oluşturulması	oɫʊʃtuɾʊɫmasˈɯ
oluşum	oɫˈuʃʊm
oyunlarda	ojʊnɫardˈa
pasaport	pasapˈɔrt
sistemlerinde	sɪstæmleɾɪndˈɛ
sonsuza	sˈɔnsuza
sular	suɫˈar
taşları	taʃɫaɾˈɯ
unvanına	ʊnvanɯnˈa
yapısının	japɯsɯnˈɯn
yayınları	jajɯnɫaɾˈɯ
Ölümünden	œlymøndˈæn
Üzerine	yzeɾinˈɛ
çifti	t͡ʃɪftˈɪ
Almanların	aɫmanɫaɾˈɯn
Dijital	diʒitˈaɫ
Hollandalı	hɔɫɫandaɫˈɯ
Slav	sɫˈav
aleyhine	alɛjhinˈɛ
almışlardır	aɫmɯʃɫˈardɯr
atık	atˈɯk
açlık	at͡ʃɫˈɯk
açıklamak	at͡ʃɯkɫamˈak
açıklayan	at͡ʃɯkɫajˈan
durur	duɾˈʊr
edebilirler	edebilɪrlˈɛr
fotoğrafları	fotoːɾafɫaɾˈɯ
gördüğünü	ɟœrdyːnˈø
haklar	hakɫˈar
istasyon	ɪstasjˈɔn
kazanma	kazˈanma
malzemesi	maɫzemesˈɪ
müzikleri	myzɪkleɾˈɪ
oylama	ˈɔjɫama
oynama	ɔjnˈama
rejim	rˈeʒɪm
vakıf	vakˈɯf
yönünü	jœnynˈø
Şahin	ʃahˈɪn
Bizanslılar	bizansɫɯɫˈar
Cuma	d͡ʒˈuma
Doğa	doːˈa
G	ɟˈɛ
Hans	hˈans
Sinop	sˈinɔp
deneyler	denɛjlˈɛr
dizayn	dizˈajn
erkeklerde	ɛrkɛklɛrdˈɛ
evcil	ɛvd͡ʒˈɪl
jeolojik	ʒeoɫoʒˈɪk
keşfedildi	kɛʃfedɪldˈɪ
kimin	kimˈɪn
muhteşem	mʊhteʃˈæm
okulunda	okuɫʊndˈa
reform	refˈɔrm
sahneleri	sahneleɾˈɪ
saldırır	saɫdɯɾˈɯr
sesler	sɛslˈɛr
silahları	siɫahɫaɾˈɯ
vermeden	vˈɛrmedæn
yazarlığı	jazarɫɯɯˈɯ
çıkacak	t͡ʃɯkad͡ʒˈak
öldükten	œldøktˈæn
İtalyanca	itaɫjand͡ʒˈa
şifreleme	ʃɪfrˈelemɛ
Corporation	d͡ʒɔrpoɾatiˈɔn
Dağları	daːɫaɾˈɯ
Güçlü	ɟøt͡ʃlˈø
Madrid	madrˈɪd
Müdür	mˈydør
Polat	poɫˈat
alakalı	aɫakaɫˈɯ
beden	bedˈæn
cesur	d͡ʒesˈʊr
dahilinde	dahilɪndˈɛ
eki	ekˈɪ
emrini	æmrinˈɪ
farkında	farkɯndˈa
listeye	lɪstejˈɛ
mesajı	mesaʒˈɯ
metni	mɛtnˈɪ
mezarı	mezaɾˈɯ
niteliği	nitelijˈɪ
peşine	peʃinˈɛ
platform	pɫatfˈɔrm
sistemlerin	sɪstæmleɾˈɪn
tehlikeye	tɛhlikejˈɛ
tema	tˈema
ulaşmış	uɫaʃmˈɯʃ
çağırdı	t͡ʃaːɯrdˈɯ
çerçeve	t͡ʃɛrt͡ʃevˈɛ
çıkmıştı	t͡ʃɯkmɯʃtˈɯ
üstünlük	østønlˈøk
İdare	idaɾˈɛ
şansını	ʃansɯnˈɯ
Artvin	ˈartvɪn
Blue	bɫuˈɛ
Hitit	hitˈɪt
Kazak	kazˈak
Mac	mˈad͡ʒ
Mimarlık	mimarɫˈɯk
Siyaset	sijasˈɛt
eğlenceli	ɛjlˈænd͡ʒɛlɪ
eşitlik	eʃɪtlˈɪk
figür	fiɟˈør
gelişmekte	ɟelɪʃmɛktˈɛ
ikmal	ɪkmˈaɫ
kabuk	kabˈʊk
mahkemeye	mahkˈemejɛ
mini	minˈɪ
nihayet	nihajˈɛt
oyuncuya	ojʊnd͡ʒujˈa
sanatları	sanatɫaɾˈɯ
sebeplerden	sebɛplɛrdˈæn
toplandı	tɔpɫandˈɯ
tüyleri	tøjleɾˈɪ
uyarı	ujaɾˈɯ
yasaları	jasaɫaɾˈɯ
yayılmıştır	jajɯɫmˈɯʃtɯr
yüzeyinde	jyzejɪndˈɛ
yüzyıllar	jøzjɯɫɫˈar
önündeki	œnøndekˈɪ
Bugüne	buɟynˈɛ
Kimya	kɪmjˈa
Milletvekili	mɪllɛtvekilˈɪ
Rusların	rʊsɫaɾˈɯn
Tommy	tˈɔmmj
azaltır	azaɫtˈɯr
dalda	daɫdˈa
dönmeye	dˈœnmejɛ
düşündü	dyʃøndˈø
haberdar	habɛrdˈar
hocası	hod͡ʒasˈɯ
kampanya	kampanjˈa
konumunu	konumunˈʊ
medyada	mɛdjadˈa
milliyetçi	mɪllijɛtt͡ʃˈɪ
oranının	oɾanɯnˈɯn
oyunlarında	ojʊnɫaɾɯndˈa
parçacıkların	part͡ʃad͡ʒɯkɫaɾˈɯn
rejimi	rˈeʒimɪ
romanın	rˈomanɯn
sürecinin	syɾed͡ʒinˈɪn
temsilcileri	tæmsɪld͡ʒileɾˈɪ
yerleşimi	jɛrlˈeʃimɪ
çevrilidir	t͡ʃɛvrilˈidɪr
İkisi	ikisˈɪ
İskoçya	ɪskɔt͡ʃjˈa
şiirler	ʃiɪrlˈɛr
Amasya	amˈasja
BM	bˌemˈɛ
Kont	kˈɔnt
Oxford	ɔksfˈɔrd
belirleyen	belɪrlejˈæn
bölgelerinden	bœlɟeleɾɪndˈæn
dahili	dahilˈɪ
dergide	dɛrɟidˈɛ
dost	dˈɔst
festival	fɛstivˈaɫ
gölün	ɟœlˈøn
hizmetler	hɪzmɛtlˈɛr
iri	iɾˈɪ
kazanması	kazanmasˈɯ
kenar	kenˈar
sahasında	sahasɯndˈa
savaşan	savaʃˈan
tanıyan	tanɯjˈan
tesisi	tesisˈɪ
yollarla	jɔɫɫˈarɫa
çalışmayı	t͡ʃaɫˈɯʃmajɯ
İktisat	ɪktisˈat
İçin	it͡ʃˈɪn
şüphe	ʃøphˈɛ
Arka	arkˈa
Dahası	dahasˈɯ
Güç	ɟˈøt͡ʃ
araçların	aɾat͡ʃɫaɾˈɯn
araştırmaya	aɾaʃtˈɯrmaja
bağlanan	baːɫanˈan
belirtilir	belɪrtilˈɪr
devletleri	dɛvlɛtleɾˈɪ
dönmüş	dœnmˈøʃ
evlidir	ɛvlˈidɪr
formayı	fˈɔrmajɯ
gösterirler	ɟœsteɾɪrlˈɛr
halktan	haɫktˈan
ihracat	ɪhrad͡ʒˈat
kadroya	kadrojˈa
kullanılacak	kʊɫɫanɯɫad͡ʒˈak
köşesinde	kœʃesɪndˈɛ
manastır	manˈastɯr
olanların	oɫanɫaɾˈɯn
onay	onˈaj
padişah	padiʃˈah
propaganda	propaɡandˈa
yürütmektedir	jyɾøtmɛktˈedɪr
zamandır	zamˈandɯr
ziyarete	zijˈaɾetɛ
Özgün	œzɡˈøn
şehrini	ʃɛhrinˈɪ
Euro	euɾˈɔ
Eşi	eʃˈɪ
Henüz	hˈenøz
Partinin	partinˈɪn
ailesiyle	ailesˈɪjlɛ
alet	alˈɛt
azınlık	azɯnɫˈɯk
başlanan	baʃɫanˈan
başlayınca	baʃɫajɯnd͡ʒˈa
belirlenmesi	belɪrlænmesˈɪ
dağınık	daːɯnˈɯk
elçi	ælt͡ʃˈɪ
evlenme	ɛvlˈænmɛ
geçirmeye	ɟet͡ʃˈɪrmejɛ
konulu	konuɫˈʊ
kuruluşlar	kuɾuɫʊʃɫˈar
mühendisi	myhændisˈɪ
s	sˈɛ
sektörü	sɛktœɾˈø
soğutma	soːˈʊtma
söylüyor	sœjlˈyjɔr
unsurları	ʊnsʊrɫaɾˈɯ
uyguladığı	ʊjɡuɫadɯɯˈɯ
varisi	vaɾisˈɪ
yarısını	jaɾɯsɯnˈɯ
yerleşme	jɛrlˈɛʃmɛ
Pasifik	pasifˈɪk
Premier	premiˈɛr
Projesi	proʒesˈɪ
Q	kjˈu
Sicilya	sid͡ʒɪljˈa
Zelanda	zeɫandˈa
akciğer	akd͡ʒijˈɛr
başarıyı	baʃaɾɯjˈɯ
başbakanlık	baʃbakanɫˈɯk
başlamışlardır	baʃɫamɯʃɫˈardɯr
bulup	buɫˈʊp
denizde	dˈenɪzdɛ
değişikliğe	dejiʃɪklijˈɛ
dilini	dilinˈɪ
dünyasının	dønjasɯnˈɯn
edildikten	edɪldɪktˈæn
kalkan	kaɫkˈan
kaynaklardan	kajnakɫardˈan
kazanılan	kazanɯɫˈan
listesidir	lɪstesˈidɪr
oranına	oɾanɯnˈa
seçme	sˈɛt͡ʃmɛ
taşınan	taʃɯnˈan
uğrayan	uːɾajˈan
versiyonunu	vɛrsijonunˈʊ
yasadışı	jasadɯʃˈɯ
yaşanmıştır	jaʃanmˈɯʃtɯr
yerlerinden	jɛrleɾɪndˈæn
yüzeyine	jyzejinˈɛ
çalışmalarından	t͡ʃaɫɯʃmaɫaɾɯndˈan
çalışmanın	t͡ʃaɫˈɯʃmanɯn
çıkarmaya	t͡ʃɯkˈarmaja
Basın	basˈɯn
Başta	baʃtˈa
Francisco	frand͡ʒɪsd͡ʒˈɔ
Kahramanmaraş	kahramanmaɾˈaʃ
PC	pˌɛd͡ʒˈɛ
Prusya	prʊsjˈa
Rize	rˈizɛ
Tank	tˈank
Tasarım	tasˈaɾɯm
Wilson	wɪlsˈɔn
atanan	atanˈan
ayına	ajɯnˈa
birbiri	bɪrbiɾˈɪ
dere	deɾˈɛ
dul	dˈʊɫ
erkeğin	ɛrkejˈɪn
eserinin	eseɾinˈɪn
görüp	ɟœɾˈøp
gösterimi	ɟœstˈeɾimɪ
insani	ˈɪnsanɪ
insanlarla	ɪnsanɫˈarɫa
işte	ɪʃtˈɛ
işten	ɪʃtˈæn
karakterinin	kaɾakteɾinˈɪn
kararları	kaɾarɫaɾˈɯ
katılması	katɯɫmasˈɯ
kelimeler	kelˈimelɛr
malzemenin	maɫzˈemenɪn
sonuçlarını	sonʊt͡ʃɫaɾɯnˈɯ
sunucusu	sunud͡ʒusˈʊ
tabanı	tabanˈɯ
tarzını	tarzɯnˈɯ
toprağı	tɔpraːˈɯ
yakında	jakɯndˈa
İlköğretim	ɪlkœːɾˈetɪm
Arnavutluk	arnavʊtɫˈʊk
Donanması	donanmasˈɯ
F	fˈɛ
IP	ˈɯp
Kazakistan	kazakɪstˈan
Press	prˈɛss
bırakan	bɯɾakˈan
deneyim	denejˈɪm
dikkati	dikːatˈɪ
edebilmek	edebɪlmˈɛk
etkileyici	ɛtkilejid͡ʒˈɪ
etkinlikleri	ɛtkɪnlɪkleɾˈɪ
faktör	faktˈœr
kapağı	kapaːˈɯ
kesimi	kˈesimɪ
masa	mˈasa
sahibinin	sahibinˈɪn
sel	sˈæl
somut	somˈʊt
sırayla	sˈɯɾajɫa
tarıma	taɾˈɯma
taşınması	taʃɯnmasˈɯ
toplanır	tɔpɫanˈɯr
uğramıştır	uːɾamˈɯʃtɯr
uğrar	uːɾˈar
ödüllendirildi	œdøllændiɾɪldˈɪ
üretilmektedir	yɾetɪlmɛktˈedɪr
Art	ˈart
Düşük	dyʃˈøk
Eric	eɾˈɪd͡ʒ
Kitabı	kitabˈɯ
Liverpool	livɛrpoˈɔɫ
Metin	metˈɪn
Mihail	mihaˈɪl
Olay	oɫˈaj
Times	timˈɛs
almadan	ˈaɫmadan
arayan	aɾajˈan
bağışıklık	baːɯʃɯkɫˈɯk
büyüklükte	byjøkløktˈɛ
dilinin	dilinˈɪn
doktorasını	dɔktoɾasɯnˈɯ
dışarıda	dɯʃaɾɯdˈa
ekstra	ɛkstrˈa
etrafı	ɛtrafˈɯ
eşsiz	ˈɛʃsɪz
filosu	fiɫosˈʊ
geceleri	ɟed͡ʒeleɾˈɪ
gerçekleştiren	ɟɛrt͡ʃɛklɛʃtiɾˈæn
göstermiş	ɟœstɛrmˈɪʃ
iletim	ilˈetɪm
işçiler	ɪʃt͡ʃilˈɛr
kazanmaya	kazˈanmaja
koymak	kɔjmˈak
kuruludur	kuɾuɫˈudʊr
kâr	kˈar
merkezlerinden	mɛrkɛzleɾɪndˈæn
mürettebat	myɾetːebˈat
nem	nˈæm
olaylardan	oɫajɫardˈan
ordusunda	ɔrdusʊndˈa
sonuçta	sonʊt͡ʃtˈa
statüsüne	statysynˈɛ
tutuldu	tutʊɫdˈʊ
yapıdır	japˈɯdɯr
yayılmış	jajɯɫmˈɯʃ
üretime	yɾetˈimɛ
ışın	ɯʃˈɯn
şehirdeki	ʃehɪrdekˈɪ
Belediyenin	beledijenˈɪn
Emniyet	æmnijˈɛt
Group	ɡroˈʊp
Juan	ʒuˈan
Konsey	kɔnsˈɛj
Kötü	kœtˈø
Pakistan	pakɪstˈan
Street	streˈɛt
Tour	toˈʊr
U	ˈu
Vadisi	vadisˈɪ
Yardımcı	jardɯmd͡ʒˈɯ
alanıdır	aɫanˈɯdɯr
bulamadı	buɫˈamadɯ
cemaat	d͡ʒemaˈat
cesaret	d͡ʒesaɾˈɛt
dağıldı	daːɯɫdˈɯ
edilirken	edilˈɪrcæn
etik	etˈɪk
etken	ˈɛtcæn
göründü	ɟœɾøndˈø
gösterebilir	ɟœsteɾebilˈɪr
hepsini	hɛpsinˈɪ
kısıtlı	kɯsɯtɫˈɯ
mesleki	mɛslekˈɪ
mineral	mineɾˈaɫ
odaya	odajˈa
olmamakla	ɔɫmamˈakɫa
sakinleri	sakɪnleɾˈɪ
sertifika	sɛrtifikˈa
spesifik	spesifˈɪk
taşıyıcı	taʃɯjɯd͡ʒˈɯ
tören	tœɾˈæn
töreninde	tœɾenɪndˈɛ
umut	umˈʊt
vadi	vadˈɪ
vampir	vampˈɪr
çalışmasına	t͡ʃaɫɯʃmasɯnˈa
özelliklerinin	œzællɪkleɾinˈɪn
şehrine	ʃɛhrinˈɛ
Azeri	azeɾˈɪ
Batılı	batɯɫˈɯ
Dan	dˈan
Erdoğan	ɛrdoːˈan
Hill	hˈɪll
Kocaeli	kod͡ʒˈɛjlɪ
Sekiz	sˈekɪz
Yahudileri	jahudileɾˈɪ
açısal	at͡ʃɯsˈaɫ
bölgelerin	bœlɟeleɾˈɪn
faydalı	fajdaɫˈɯ
girmeye	ɟˈɪrmejɛ
gitmesi	ɟɪtmesˈɪ
giymiş	ɟɪjmˈɪʃ
grubudur	ɡrubˈudʊr
hakaret	hakaɾˈɛt
hastaların	hastaɫaɾˈɯn
hastalıklar	hastaɫɯkɫˈar
hastalıkları	hastaɫɯkɫaɾˈɯ
hızda	hɯzdˈa
ilçede	ˈɪlt͡ʃɛdɛ
infaz	ɪnfˈaz
kaldığını	kaɫdɯɯɯnˈɯ
kaybederek	kajbedeɾˈɛk
kullanılmasına	kʊɫɫanɯɫmasɯnˈa
kutu	kutˈʊ
kümesi	kymesˈɪ
meclise	mɛd͡ʒlˈisɛ
onuruna	onuɾunˈa
oyların	ɔjɫaɾˈɯn
tartışmalara	tartɯʃmaɫaɾˈa
temsilci	tæmsɪld͡ʒˈɪ
uzunlukta	uzʊnɫʊktˈa
yeteneğine	jetenejinˈɛ
Öğrenci	œːɾænd͡ʒˈɪ
Üniversitesinde	ynivɛrsitesɪndˈɛ
çekirdeği	t͡ʃekɪrdejˈɪ
önlemler	œnlæmlˈɛr
Ayşe	ajʃˈɛ
Harp	hˈarp
Kaliforniya	kalifɔrnijˈa
Mahallede	mahˈaɫledɛ
Miller	mɪllˈɛr
Vladimir	vɫadimˈɪr
Ya	jˈa
açarak	at͡ʃaɾˈak
bakteri	bakteɾˈɪ
desteklemektedir	dɛstɛklemɛktˈedɪr
değerlendirme	dejɛrlˈændɪrmɛ
eleştirdi	elˈɛʃtɪrdɪ
filmdir	fˈɪlmdɪr
gerçekleştiği	ɟɛrt͡ʃɛklɛʃtijˈɪ
ilahi	iɫahˈɪ
inanılmaz	inanɯɫmˈaz
istatistiksel	ɪstatɪstɪksˈæl
kategoride	kateɡoɾidˈɛ
kaynaklarının	kajnakɫaɾɯnˈɯn
kayıtlar	kajɯtɫˈar
kedi	kedˈɪ
noktalar	nɔktaɫˈar
oyuncularından	ojʊnd͡ʒuɫaɾɯndˈan
sağlayarak	saːɫajaɾˈak
strateji	strateʒˈɪ
sınırına	sɯnɯɾɯnˈa
uyku	ʊjkˈʊ
y	jˈɛ
yansıtan	jansɯtˈan
yükselme	jøksˈælmɛ
yürütmüştür	jyɾøtmˈøʃtør
yılan	jɯɫˈan
Başkanlık	baʃkanɫˈɯk
Mesela	mˈeseɫa
Motor	motˈɔr
Programı	prɔɡramˈɯ
anlaşmazlık	anɫaʃmazɫˈɯk
as	ˈas
ağaçları	aːt͡ʃɫaɾˈɯ
başarıları	baʃaɾɯɫaɾˈɯ
dediği	dedijˈɪ
dillerinde	dɪlleɾɪndˈɛ
döviz	dˈœvɪz
görüşe	ɟœɾyʃˈɛ
imzalandı	ɪmzaɫandˈɯ
katil	katˈɪl
kaydetmiştir	kajdɛtmˈɪʃtɪr
kaynaklarında	kajnakɫaɾɯndˈa
kuramı	kuɾamˈɯ
köylüler	kœjlylˈɛr
nihayetinde	nihajetɪndˈɛ
oyu	ojˈʊ
sahaya	sahajˈa
seride	seɾidˈɛ
subayı	subajˈɯ
sınırında	sɯnɯɾɯndˈa
telefonu	telefonˈʊ
televizyonda	televɪzjɔndˈa
uyarlanmıştır	ujarɫanmˈɯʃtɯr
uçan	ut͡ʃˈan
yüksekliğinde	jøksɛklijɪndˈɛ
zehirli	zehɪrlˈɪ
çekme	t͡ʃˈɛkmɛ
ödüle	œdˈylɛ
öğrenince	œːɾenˈɪnd͡ʒɛ
Şiir	ʃiˈɪr
Kilisenin	kilˈisenɪn
alamadı	aɫˈamadɯ
almadı	ˈaɫmadɯ
almaktaydı	aɫmaktajdˈɯ
artmaktadır	artmaktˈadɯr
askerin	askeɾˈɪn
açabilir	at͡ʃabilˈɪr
davranışı	davranɯʃˈɯ
dağın	daːˈɯn
dinlenme	dɪnlˈænmɛ
dışa	dɯʃˈa
edilmelidir	edɪlmelˈidɪr
etmenin	ˈɛtmenɪn
evlat	ɛvɫˈat
göreceli	ɟœɾˈed͡ʒɛlɪ
hizmetine	hɪzmetinˈɛ
ilerledikçe	ilɛrledˈɪkt͡ʃɛ
isimle	ˈisɪmlɛ
kalırlar	kaɫɯrɫˈar
kasabanın	kasabanˈɯn
kompleks	kɔmplˈɛks
kurallarına	kuɾaɫɫaɾɯnˈa
makaleler	makˈalelɛr
nesnenin	nɛsnenˈɪn
paralı	pˈaɾaɫɯ
sanatının	sanatɯnˈɯn
seven	sevˈæn
söylemektedir	sœjlemɛktˈedɪr
takımların	takɯmɫaɾˈɯn
taraftar	taɾaftˈar
tutuklu	tutʊkɫˈʊ
ulaştığı	uɫaʃtɯɯˈɯ
yara	jaɾˈa
yerlerini	jɛrleɾinˈɪ
ölmesi	œlmesˈɪ
İçinde	it͡ʃɪndˈɛ
şarkıda	ʃarkɯdˈa
Albümdeki	aɫbømdekˈɪ
Kütüphanesi	kytøphanesˈɪ
Matt	mˈatː
Ray	rˈaj
Yerli	jɛrlˈɪ
aracının	aɾad͡ʒɯnˈɯn
arkadaşının	arkadaʃɯnˈɯn
ayağı	ajaːˈɯ
bilişsel	bilɪʃsˈæl
bitişik	bitiʃˈɪk
cihazları	d͡ʒihazɫaɾˈɯ
daimi	dˈaimɪ
dönemini	dœneminˈɪ
ekrana	ɛkranˈa
etmeden	ˈɛtmedæn
faktörler	faktœrlˈɛr
görürler	ɟœɾørlˈɛr
hikâyenin	hikajenˈɪn
ilaçlar	iɫat͡ʃɫˈar
karşımıza	karʃˈɯmɯza
kavramları	kavramɫaɾˈɯ
koalisyon	koalɪsjˈɔn
kumaş	kumˈaʃ
olmayıp	ɔɫmajˈɯp
sağlamaya	saːɫˈamaja
yasaklandı	jasakɫandˈɯ
yayımlanmış	jajɯmɫanmˈɯʃ
yaşlarında	jaʃɫaɾɯndˈa
yeteneklerini	jetenɛkleɾinˈɪ
yoğunluk	joːʊnɫˈʊk
çaldı	t͡ʃaɫdˈɯ
çifte	t͡ʃɪftˈɛ
çıktığını	t͡ʃɯktɯɯɯnˈɯ
örgütün	œrɟytˈøn
örnektir	œrnˈɛktɪr
Şehzade	ʃɛhzadˈɛ
Albümden	ˈaɫbømdæn
Arslan	arsɫˈan
Elektronik	elɛktronˈɪk
Erişim	eɾˈiʃɪm
Kulübün	kulybˈøn
Osmanlıların	ɔsmanɫɯɫaɾˈɯn
Sen	sˈæn
Soğuk	soːˈʊk
Uşak	ˈuʃak
Yönetmen	jœnɛtmˈæn
aileleri	aileleɾˈɪ
ailelerin	aileleɾˈɪn
bitti	bitːˈɪ
boyutları	bojʊtɫaɾˈɯ
cinsi	d͡ʒɪnsˈɪ
direktörlük	diɾɛktœrlˈøk
dışarıya	dɯʃaɾɯjˈa
evren	ɛvrˈæn
görevlileri	ɟœɾɛvlileɾˈɪ
halindeki	halɪndekˈɪ
harici	haɾid͡ʒˈɪ
itibari	itibaɾˈɪ
liderliğindeki	lidɛrlijɪndekˈɪ
madeni	madenˈɪ
okur	okˈʊr
sanatçıların	sanatt͡ʃɯɫaɾˈɯn
sağa	sˈaː
sunmuştur	sʊnmˈʊʃtʊr
sırası	sɯɾasˈɯ
yapıldığını	japɯɫdɯɯɯnˈɯ
yapılırken	japɯɫˈɯrcæn
yağı	jaːˈɯ
zaferi	zafeɾˈɪ
çıkarken	t͡ʃɯkˈarcæn
Belarus	beɫaɾˈʊs
Fox	fˈɔks
Oğlu	oːɫˈʊ
arkadaşlarıyla	arkadaʃɫaɾˈɯjɫa
arttırmak	artːɯrmˈak
bekleyen	bɛklejˈæn
birleşerek	bɪrleʃeɾˈɛk
biter	bitˈɛr
haklı	hakɫˈɯ
havanın	havanˈɯn
ismin	ɪsmˈɪn
işlerine	ɪʃleɾinˈɛ
kargo	karɡˈɔ
kullanıcıya	kʊɫɫanɯd͡ʒɯjˈa
kuvvetlerin	kʊvvɛtleɾˈɪn
olsalar	ˈɔɫsaɫar
seti	setˈɪ
seçenek	set͡ʃenˈɛk
site	sitˈɛ
sözünü	sœzynˈø
çıktılar	t͡ʃɯktɯɫˈar
ü	ˈy
İktisadi	ɪktˈisadɪ
Bakü	bakˈø
Ligde	lɪɟdˈɛ
Oyunculuk	ojʊnd͡ʒuɫˈʊk
Saldırı	sˈaɫdɯɾɯ
Siyasal	sijasˈaɫ
ayakları	ajakɫaɾˈɯ
biçimleri	bit͡ʃɪmleɾˈɪ
etkilemiştir	ɛtkilemˈɪʃtɪr
geçirilen	ɟet͡ʃiɾilˈæn
gösteriler	ɟœsteɾilˈɛr
ilkokul	ɪlkokˈʊɫ
içindir	it͡ʃˈɪndɪr
kadınla	kadˈɯnɫa
kaldırılmıştır	kaɫdɯɾɯɫmˈɯʃtɯr
kullanımının	kʊɫɫanɯmɯnˈɯn
kuyruklu	kʊjrʊkɫˈʊ
taarruzu	taˈarruzʊ
tabii	tabiˈɪ
topluluklar	tɔpɫuɫʊkɫˈar
uygulanabilir	ʊjɡuɫanabilˈɪr
zinciri	zɪnd͡ʒiɾˈɪ
çıkabilir	t͡ʃɯkabilˈɪr
şekline	ʃɛklinˈɛ
Eğitimi	ejˈitimɪ
Green	ɡreˈæn
Toplum	tˈɔplʊm
Uygulama	ʊjɡˈuɫama
Wilhelm	wɪlhˈælm
Yüz	jˈøz
bahçesi	baht͡ʃesˈɪ
bilinçli	bilɪnt͡ʃlˈɪ
bira	biɾˈa
bulunmadığı	buɫʊnmadɯɯˈɯ
böcek	bœd͡ʒˈɛk
coğrafya	d͡ʒoːɾafjˈa
dizileri	dizileɾˈɪ
düşüncelerini	dyʃønd͡ʒeleɾinˈɪ
eteklerinde	etɛkleɾɪndˈɛ
finans	finˈans
fiyatı	fijatˈɯ
gereksiz	ɟeɾˈɛksɪz
grupla	ɡrˈʊpɫa
ilerledi	ilˈɛrledɪ
kazasında	kazasɯndˈa
merkezinden	mɛrkezɪndˈæn
metro	mɛtrˈɔ
mor	mˈɔr
müziğini	myzijinˈɪ
onuncu	onʊnd͡ʒˈʊ
parçasıydı	part͡ʃasɯjdˈɯ
protokol	protokˈɔɫ
yazması	jazmasˈɯ
yerleştirildi	jɛrlɛʃtiɾɪldˈɪ
zorladı	zˈɔrɫadɯ
öldüren	œldyɾˈæn
üstündeki	østøndekˈɪ
Adaları	adaɫaɾˈɯ
Benjamin	bænʒamˈɪn
College	d͡ʒɔɫleɟˈɛ
Day	dˈaj
Dergi	dɛrɡˈɪ
Hikâye	hikajˈɛ
Jandarma	ʒandˈarma
NATO	natˈɔ
Veri	veɾˈɪ
anlamını	anɫamɯnˈɯ
ayrılırlar	ajrɯɫɯrɫˈar
başladığını	baʃɫadɯɯɯnˈɯ
başlanmış	baʃɫanmˈɯʃ
birliklerin	bɪrlɪkleɾˈɪn
birliklerine	bɪrlɪkleɾinˈɛ
bulgular	bʊɫɡuɫˈar
emek	emˈɛk
hareketine	haɾeketinˈɛ
ilçeye	ˈɪlt͡ʃɛjɛ
istikrarlı	ɪstɪkrarɫˈɯ
katına	katɯnˈa
kaybolur	kajboɫˈʊr
kayıtlara	kajɯtɫaɾˈa
mücadeleye	myd͡ʒadˈelejɛ
stili	stilˈɪ
taban	tabˈan
teşhis	tɛʃhˈɪs
topluma	tɔpɫˈuma
turunda	tuɾʊndˈa
vurdu	vʊrdˈʊ
yaban	jabˈan
yazmak	jazmˈak
Die	diˈɛ
Dokuz	dˈokʊz
Gerçekten	ɟɛrt͡ʃɛktˈæn
Küresel	kyɾesˈæl
Medya	mɛdjˈa
Uçak	ut͡ʃˈak
alanlarına	aɫanɫaɾɯnˈa
ayırmak	ajɯrmˈak
binasının	binasɯnˈɯn
halife	halifˈɛ
hesaplama	hesˈapɫama
iOS	ˈiˈɔs
içerikli	it͡ʃeɾɪklˈɪ
kalitesini	kalitesinˈɪ
kaynağıdır	kajnaːˈɯdɯr
kayıpları	kajɯpɫaɾˈɯ
kişiliği	kiʃilijˈɪ
kurucuları	kuɾud͡ʒuɫaɾˈɯ
köyüne	kœjynˈɛ
motorları	motɔrɫaɾˈɯ
platin	pɫatˈɪn
projeler	proʒelˈɛr
sergiler	sɛrɟilˈɛr
tarihlenen	taɾɪhlenˈæn
topladığı	tɔpɫadɯɯˈɯ
yasalar	jˈasaɫar
Öğretmen	œːɾɛtmˈæn
Araplar	aɾapɫˈar
Guy	ɡˈʊj
Hizmet	hɪzmˈɛt
It	ˈɯt
Oldukça	ɔɫdʊkt͡ʃˈa
Tarihsel	taɾɪhsˈæl
Tepe	tepˈɛ
akademisyen	akademɪsjˈæn
albümle	ˈaɫbømlɛ
aracılığı	aɾad͡ʒɯɫɯɯˈɯ
avantajı	avantaʒˈɯ
açı	at͡ʃˈɯ
ağzı	aːzˈɯ
dallarında	daɫɫaɾɯndˈa
domuz	dˈomʊz
edeceği	eded͡ʒejˈɪ
edilmesiyle	edɪlmesˈɪjlɛ
fiilen	fiilˈæn
gölü	ɟœlˈø
götürdü	ɟœtørdˈø
gözler	ɟœzlˈɛr
koleksiyonu	kolɛksijonˈʊ
kurtuldu	kʊrtʊɫdˈʊ
kurucularından	kuɾud͡ʒuɫaɾɯndˈan
kuşak	kuʃˈak
köprünün	kœprynˈøn
maliyet	malijˈɛt
seferleri	sefɛrleɾˈɪ
size	sizˈɛ
varlığına	varɫɯɯɯnˈa
yerleştirilmiş	jɛrlɛʃtiɾɪlmˈɪʃ
yönetimindeki	jœnetimɪndekˈɪ
zincir	zɪnd͡ʒˈɪr
çalma	t͡ʃˈaɫma
çağrısı	t͡ʃaːɾɯsˈɯ
çıkarılması	t͡ʃɯkaɾɯɫmasˈɯ
ürünün	yɾynˈøn
üyelik	yjelˈɪk
Muğla	mˈuːɫa
