'll	l,əl
dramatisation	dɹˌæmɐtaɪzˈeɪʃən
dramatise	dɹˈæmɐtˌaɪz
dramatised	dɹˈæmɐtˌaɪzd
dramatises	dɹˈæmɐtˌaɪzɪz
dramatising	dɹˈæmɐtˌaɪzɪŋ
dramatist	dɹˈæmɐtˌɪst
dramatists	dɹˈæmɐtˌɪsts
dramaturge	dɹˈæmətʃˌɔːdʒ
drams	dɹˈæmz
drank	dɹˈæŋk
drape	dɹˈeɪp
draped	dɹˈeɪpt
draper	dɹˈeɪpɐ
draperies	dɹˈeɪpəɹɪz
drapers	dɹˈeɪpəz
drapery	dɹˈeɪpəɹi
drapes	dɹˈeɪps
draping	dɹˈeɪpɪŋ
drastic	dɹˈæstɪk,dɹˈɑːstɪk
drastically	dɹˈɑːstɪkli
drat	dɹˈæt
dratted	dɹˈætɪd
draught	dɹˈɑːft
draughts	dɹˈɑːfts
draughtsman	dɹˈɑːftsmən
draughtsmanship	dɹˈɑːftsmənʃˌɪp
draughtsmen	dɹˈɑːftsmɛn
draughty	dɹˈɑːfti
draw	dɹˈɔː
drawback	dɹˈɔːbæk
drawbacks	dɹˈɔːbæks
drawbridge	dɹˈɔːbɹɪdʒ
drawbridges	dɹˈɔːbɹɪdʒɪz
drawer	dɹˈɔːə
drawers	dɹˈɔːəz
drawing	dɹˈɔːɪŋ,dɹˈɔːɹɪŋ
drawings	dɹˈɔːɹɪŋz,dɹˈɔːɪŋz
drawl	dɹˈɔːl
drawled	dɹˈɔːld
drawling	dɹˈɔːlɪŋ
drawls	dɹˈɔːlz
drawn	dɹˈɔːn
draws	dɹˈɔːz
drawstring	dɹˈɔːstɹɪŋ
dray	dɹˈeɪ
drayman	dɹˈeɪmən
drays	dɹˈeɪz
dread	dɹˈɛd
dreaded	dɹˈɛdɪd
dreadful	dɹˈɛdfəl
dreadfully	dɹˈɛdfəli
dreadfulness	dɹˈɛdfəlnəs
dreading	dɹˈɛdɪŋ
dreadlocks	dɹˈɛdlɒks
dreadnaught	dɹˈɛdnɔːt
dreadnought	dɹˈɛdnɔːt
dreadnoughts	dɹˈɛdnɔːts
dreads	dɹˈɛdz
dream	dɹˈiːm
dreamboat	dɹˈiːmbəʊt
dreamboats	dɹˈiːmbəʊts
dreamed	dɹˈiːmd
dreamer	dɹˈiːmɐ
dreamers	dɹˈiːməz
dreamiest	dɹˈiːmɪəst
dreamily	dɹˈiːmɪli
dreaminess	dɹˈiːmɪnəs
dreaming	dɹˈiːmɪŋ
dreamland	dɹˈiːmlənd
dreamless	dɹˈiːmləs
dreamlike	dɹˈiːmlaɪk
dreams	dɹˈiːmz
dreamt	dɹˈɛmpt,dɹˈɛmt
dreamworld	dɹˈiːmwɜːld
dreamy	dɹˈiːmi
drear	dɹˈiə
dreariest	dɹˈiəɹɪəst
drearily	dɹˈiəɹɪli
dreariness	dɹˈiəɹɪnəs
dreary	dɹˈiəɹi
dredge	dɹˈɛdʒ
dredged	dɹˈɛdʒd
dredger	dɹˈɛdʒɐ
dredgers	dɹˈɛdʒəz
dredges	dɹˈɛdʒɪz
dredging	dɹˈɛdʒɪŋ
dree	dɹˈiː
dreg	dɹˈɛɡ
dregs	dɹˈɛɡz
drench	dɹˈɛntʃ
drenched	dɹˈɛntʃt
drenches	dɹˈɛntʃɪz
drenching	dɹˈɛntʃɪŋ
dress	dɹˈɛs
dressage	dɹˈɛsɪdʒ
dressed	dɹˈɛst
dresser	dɹˈɛsɐ
dressers	dɹˈɛsəz
dresses	dɹˈɛsɪz
dressing	dɹˈɛsɪŋ
dressings	dɹˈɛsɪŋz
dressmaker	dɹˈɛsmeɪkɐ
dressmakers	dɹˈɛsmeɪkəz
dressmaking	dɹˈɛsmeɪkɪŋ
dressy	dɹˈɛsi
drew	dɹˈuː
dribble	dɹˈɪbəl
dribbled	dɹˈɪbəld
dribbler	dɹˈɪblɐ
dribbles	dɹˈɪbəlz
dribbling	dɹˈɪblɪŋ
dried	dɹˈaɪd
drier	dɹˈaɪə
driers	dɹˈaɪəz
dries	dɹˈaɪz
driest	dɹˈaɪəst
drift	dɹˈɪft
drifted	dɹˈɪftɪd
drifter	dɹˈɪftɐ
drifters	dɹˈɪftəz
drifting	dɹˈɪftɪŋ
drifts	dɹˈɪfts
driftwood	dɹˈɪftwʊd
drill	dɹˈɪl
drilled	dɹˈɪld
driller	dɹˈɪlɐ
drillers	dɹˈɪləz
drilling	dɹˈɪlɪŋ
drillings	dɹˈɪlɪŋz
drills	dɹˈɪlz
drily	dɹˈaɪli
drink	dɹˈɪŋk
drinkable	dɹˈɪŋkəbəl
drinker	dɹˈɪŋkɐ
drinkers	dɹˈɪŋkəz
drinking	dɹˈɪŋkɪŋ
drinkings	dɹˈɪŋkɪŋz
drinks	dɹˈɪŋks
drip	dɹˈɪp
dripped	dɹˈɪpt
dripper	dɹˈɪpɐ
dripping	dɹˈɪpɪŋ
drippings	dɹˈɪpɪŋz
drippy	dɹˈɪpi
drips	dɹˈɪps
drivability	dɹˌaɪvəbˈɪlɪti
drivable	dɹˈaɪvəbəl
drive	dɹˈaɪv
drivel	dɹˈɪvəl
drivelling	dɹˈɪvəlɪŋ
driven	dɹˈɪvən
driver	dɹˈaɪvə,dɹˈaɪvɐ
drivers	dɹˈaɪvəz
drives	dɹˈaɪvz
driveshaft	dɹˈaɪvʃɑːft
driveway	dɹˈaɪvweɪ
driveways	dɹˈaɪvweɪz
driving	dɹˈaɪvɪŋ
drizzle	dɹˈɪzəl
drizzled	dɹˈɪzəld
drizzles	dɹˈɪzəlz
drizzling	dɹˈɪzlɪŋ
drizzly	dɹˈɪzli
drogue	dɹˈəʊɡ
drogues	dɹˈəʊɡz
droit	dɹˈɔɪt
droll	dɹˈəʊl
drollery	dɹˈəʊləɹi
dromedaries	dɹˈəʊmdəɹiz
dromedary	dɹˈəʊmdəɹi
drone	dɹˈəʊn
droned	dɹˈəʊnd
drones	dɹˈəʊnz
drongo	dɹˈɒŋɡəʊ
droning	dɹˈəʊnɪŋ
drool	dɹˈuːl
drooled	dɹˈuːld
drooling	dɹˈuːlɪŋ
drools	dɹˈuːlz
droop	dɹˈuːp
drooped	dɹˈuːpt
drooping	dɹˈuːpɪŋ
droops	dɹˈuːps
droopy	dɹˈuːpi
drop	dɹˈɒp
droplet	dɹˈɒplət
droplets	dɹˈɒpləts
dropout	dɹˈɒpaʊt
dropouts	dɹˈɒpaʊts
dropped	dɹˈɒpt
dropper	dɹˈɒpɐ
droppers	dɹˈɒpəz
dropping	dɹˈɒpɪŋ
droppings	dɹˈɒpɪŋz
drops	dɹˈɒps
dropsy	dɹˈɒpsi
dropwort	dɹˈɒpwɔːt
drosophila	dɹˌɒsəfˈɪlɐ
dross	dɹˈɒs
drought	dɹˈaʊt
droughts	dɹˈaʊts
droughty	dɹˈaʊti
drouth	dɹˈaʊθ
drouthy	dɹˈaʊθi
drove	dɹˈəʊv
drover	dɹˈəʊvɐ
drovers	dɹˈəʊvəz
droves	dɹˈəʊvz
droving	dɹˈəʊvɪŋ
drown	dɹˈaʊn
drowned	dɹˈaʊnd
drowning	dɹˈaʊnɪŋ
drownings	dɹˈaʊnɪŋz
drowns	dɹˈaʊnz
drowse	dɹˈaʊz
drowsily	dɹˈaʊsɪli
drowsiness	dɹˈaʊsɪnəs
drowsing	dɹˈaʊzɪŋ
drowsy	dɹˈaʊsi
drubbed	dɹˈʌbd
drubbing	dɹˈʌbɪŋ
drudge	dɹˈʌdʒ
drudged	dɹˈʌdʒd
drudgery	dɹˈʌdʒɹi
drug	dɹˈʌɡ,dɹˈɐg
drugged	dɹˈʌɡd
druggie	dɹˈʌɡi
druggies	dɹˈʌɡɪz
drugging	dɹˈʌɡɪŋ
druggist	dɹˈʌɡɪst
druggists	dɹˈʌɡɪsts
druggy	dɹˈʌɡi
drugs	dɹˈʌɡz,dɹˈɐgz
drugstore	dɹˈʌɡstɔː
drugstores	dɹˈʌɡstɔːz
druid	dɹˈuːɪd
druidic	dɹuːˈɪdɪk
druidical	dɹuːˈɪdɪkəl
druidism	dɹˈuːɪdˌɪzəm
druids	dɹˈuːɪdz
drum	dɹˈʌm,dɹˈɐm
drumbeat	dɹˈʌmbiːt
drumbeats	dɹˈʌmbiːts
drumhead	dɹˈʌmhɛd
drumlin	dɹˈʌmlɪn
drumlins	dɹˈʌmlɪnz
drummed	dɹˈʌmd
drummer	dɹˈʌmɐ
drummers	dɹˈʌməz
drumming	dɹˈʌmɪŋ
drums	dɹˈʌmz,dɹˈɐmz
drumstick	dɹˈʌmstɪk
drumsticks	dɹˈʌmstɪks
drunk	dɹˈʌŋk,dɹˈɐŋk
drunkard	dɹˈʌŋkəd
drunkards	dɹˈʌŋkədz
drunken	dɹˈʌŋkən
drunkenly	dɹˈʌŋkənli
drunkenness	dɹˈʌŋkənnəs
drunker	dɹˈʌŋkɐ
drunkest	dɹˈʌŋkəst
drunks	dɹˈʌŋks
drupe	dɹˈuːp
dry	dɹˈaɪ
dryad	dɹˈaɪæd
dryads	dɹˈaɪædz
dryer	dɹˈaɪɐ,dɹˈaɪə
dryers	dɹˈaɪəz
dryest	dɹˈaɪəst
drying	dɹˈaɪɪŋ
dryish	dɹˈɪɪʃ
dryness	dɹˈaɪnəs
drys	dɹˈaɪz
drystone	dɹˈɪstəʊn
drywall	dɹˈaɪwɔːl
dual	djˈuːəl
dualism	djˈuːəlˌɪzəm
dualistic	djˌuːəlˈɪstɪk
dualists	djˈuːəlˌɪsts
dualities	djuːˈælɪtiz
duality	djuːˈælɪti
dually	djˈuːəli
dub	dˈɐb,dˈʌb
dubai	duːbˈaɪ
dubbed	dˈʌbd
dubbin	dˈʌbɪn
dubbing	dˈʌbɪŋ
dubiety	djˈuːbˈaɪəti
dubious	djˈuːbɪəs
dubiously	djˈuːbɪəsli
dublin	dˈɐblɪn
dubs	dˈʌbz
ducal	djˈuːkəl
ducat	dʒˈuːkæt
ducats	dʒˈuːkæts
duce	djˈuːs
duchess	dˈʌtʃɛs
duchesses	dˈʌtʃɛsɪz
duchies	dˈʌtʃɪz
duchy	dˈʌtʃi
duck	dˈɐk,dˈʌk
duckbill	dˈʌkbɪl
duckboard	dˈʌkbɔːd
duckboards	dˈʌkbɔːdz
ducked	dˈʌkt
duckies	dˈʌkiz
ducking	dˈʌkɪŋ
duckling	dˈʌklɪŋ
ducklings	dˈʌklɪŋz
duckpond	dˈʌkpɒnd
ducks	dˈʌks,dˈɐks
duckweed	dˈʌkwiːd
ducky	dˈʌki
duct	dˈʌkt
ducted	dˈʌktɪd
ductile	dˈʌktaɪl
ducting	dˈʌktɪŋ
ducts	dˈʌkts
dud	dˈɐd,dˈʌd
dude	djˈuːd,dˈuːd
dudes	djˈuːdz
dudgeon	dˈʌdʒɒn
dudley	dˈɐdli
duds	dˈʌdz
due	djˈuː
duel	djˈuːəl
duelled	djˈuːəld
duelling	djˈuːəlɪŋ
duellist	djˈuːəlˌɪst
duellists	djˈuːəlˌɪsts
duels	djˈuːəlz
duende	djuːˈɛnd
dues	djˈuːz
duet	djuːˈɛt
duets	djuːˈɛts
duff	dˈʌf
duffed	dˈʌft
duffel	dˈʌfəl
duffer	dˈʌfɐ
duffers	dˈʌfəz
duffing	dˈʌfɪŋ
duffs	dˈʌfs
dug	dˈɐg,dˈʌɡ
dugong	djˈuːɡɒŋ
dugongs	djˈuːɡɒŋz
dugout	dˈʌɡaʊt
dugouts	dˈʌɡaʊts
duh	dˈʌ,dˈɜː
duke	djˈuːk
dukedom	djˈuːkɛdəm
dukedoms	djˈuːkɛdəmz
dukes	djˈuːks
dulcet	dˈʌlsɪt
dulcimer	dˈʌlsɪmɐ
dulcimers	dˈʌlsɪməz
dull	dˈɐl,dˈʌl
dullard	dˈʌlɑːd
dullards	dˈʌlɑːdz
dulled	dˈʌld
duller	dˈʌlɐ
dullest	dˈʌləst
dulling	dˈʌlɪŋ
dullish	dˈʌlɪʃ
dullness	dˈʌlnəs
dulls	dˈʌlz
dulse	dˈʌls
dulwich	dˈɐlɪtʃ
duly	djˈuːli
duma	dˈuːmɐ
dumb	dˈʌm,dˈɐm
dumbbell	dˈʌmbɛl
dumbbells	dˈʌmbɛlz
dumber	dˈʌmɐ
dumbest	dˈʌməst
dumbfound	dˈʌmfaʊnd
dumbfounded	dˈʌmfaʊndɪd
dumbly	dˈʌmli
dumbness	dˈʌmnəs
dumbo	dˈʌməʊ
dumbos	dˈʌməʊz
dumbstruck	dˈʌmstɹʌk
dumbwaiter	dˈʌmweɪtɐ
dumfries	dɐmfɹˈiːs
dummies	dˈʌmɪz
dummy	dˈʌmi,dˈɐmi
dump	dˈɐmp,dˈʌmp
dumped	dˈɐmpt,dˈʌmpt
dumper	dˈʌmpɐ
dumpers	dˈʌmpəz
dumping	dˈʌmpɪŋ
dumpling	dˈʌmplɪŋ
dumplings	dˈʌmplɪŋz,dˈɐmplɪŋz
dumps	dˈʌmps
dumpster	dˈʌmpstɐ
dumpsters	dˈʌmpstəz
dumpy	dˈʌmpi
dun	dˈɐn,dˈʌn
dunbartonshire	dɐnbˈɑːtənʃə
duncan	dˈɐŋkən
dunce	dˈʌns
dunces	dˈʌnsɪz
dundee	dɐndˈiː
dunderhead	dˈʌndəhˌɛd
dunderheads	dˈʌndəhˌɛdz
dune	djˈuːn
dunes	djˈuːnz
dung	dˈʌŋ,dˈɐŋ
dungaree	dˌʌŋɡɐɹˈiː
dungarees	dˌʌŋɡɐɹˈiːz
dungeon	dˈʌndʒən,dˈɐndʒən
dungeons	dˈʌndʒənz
dunk	dˈɐŋk,dˈʌŋk
dunked	dˈʌŋkt
dunking	dˈʌŋkɪŋ
dunks	dˈʌŋks
dunlin	dˈʌnlɪn
dunlins	dˈʌnlɪnz
dunned	dˈʌnd
dunnest	dˈʌnəst
dunning	dˈʌnɪŋ
dunno	dˈʌnəʊ
dunnock	dˈʌnək
dunnocks	dˈʌnəks
duns	dˈʌnz
dunt	dˈʌnt
duo	djˈuːəʊ
duodenal	djˈuːəʊdnəl
duodenum	djˈuːəʊdnəm
duologue	djˈuːəlˌɒɡ
duomo	djuːˈəʊməʊ
duopoly	djuːˈɒpəli
duos	djˈuːəʊz
dupe	djˈuːp
duped	djˈuːpt
duper	dˈuːpɐ
dupes	djˈuːps
duping	djˈuːpɪŋ
duple	djˈuːpəl
duplex	djˈuːplɛks
duplicate	djˈuːplɪkɪt,djˈuːplɪkˌeɪt
duplicated	djˈuːplɪkˌeɪtɪd
duplicating	djˈuːplɪkˌeɪtɪŋ
duplication	djˌuːplɪkˈeɪʃən
duplications	djˌuːplɪkˈeɪʃənz
duplicitous	djuːplˈɪsɪtəs
duplicity	djuːplˈɪsɪti
durability	djˌɔːɹəbˈɪlɪti
durable	djˈʊəɹəbəl,djˈɔːɹəbəl
durables	djˈɔːɹəbəlz
durance	djˈɔːɹəns
duration	djʊɹˈeɪʃən,djɔːɹˈeɪʃən
durations	djɔːɹˈeɪʃənz
durbar	dˈɜːbɑː
duress	djɔːɹˈɛs
durham	dˈɐɹəm
durian	djˈɔːɹiən
during	djˈʊəɹɪŋ,djˈɔːɹɪŋ
duro	djˈɔːɹəʊ
durst	dˈɜːst
durum	djˈɔːɹəm
dusk	dˈʌsk,dˈɐsk
dusky	dˈʌski
dust	dˈɐst,dˈʌst
dustbin	dˈɐstbɪn,dˈʌstbɪn
dustbins	dˈʌstbɪnz
dustcart	dˈʌstkɑːt
dustcarts	dˈʌstkɑːts
dusted	dˈʌstɪd
duster	dˈʌstɐ
dusters	dˈʌstəz
dustier	dˈʌstɪɐ
dustiest	dˈʌstɪəst
dustiness	dˈʌstɪnəs
dusting	dˈʌstɪŋ
dustless	dˈʌstləs
dustman	dˈʌstmən
dustmen	dˈʌstmɛn
dustpan	dˈʌstpæn
dustproof	dˈʌstpɹuːf
dusts	dˈʌsts
dustsheets	dˈʌstʃiːts
dusty	dˈʌsti,dˈɐsti
dutch	dˈɐtʃ,dˈʌtʃ
duties	djˈuːtɪz,djˈuːtiz
dutiful	djˈuːtɪfəl
dutifully	djˈuːtɪfəli
duty	djˈuːti
duvet	dˈuːveɪ
duvets	dˈuːveɪs
dux	dˈʌks
dwarf	dwˈɔːf
dwarfed	dwˈɔːft
dwarfing	dwˈɔːfɪŋ
dwarfish	dwˈɔːfɪʃ
dwarfism	dwˈɔːfɪzəm
dwarfs	dwˈɔːfs
dwarves	dwˈɔːvz
dweeb	dwˈiːb
dweebs	dwˈiːbz
dwell	dwˈɛl
dwelled	dwˈɛld
dweller	dwˈɛlɐ
dwellers	dwˈɛləz
dwelling	dwˈɛlɪŋ
dwellings	dwˈɛlɪŋz
dwells	dwˈɛlz
dwelt	dwˈɛlt
dwindle	dwˈɪndəl
dwindled	dwˈɪndəld
dwindles	dwˈɪndəlz
dwindling	dwˈɪndlɪŋ
dyad	dˈaɪæd
dye	daɪ,dˈaɪ
dyed	daɪd,dˈaɪd
dyeing	dˈaɪɪŋ
dyer	dˈaɪɐ
dyers	dˈaɪəz
dyes	dˈaɪz,daɪz
dying	dˈaɪɪŋ
dyke	dˈaɪk
dykes	dˈaɪks
dylan	dˈɪlən
dynamic	daɪnˈæmɪk
dynamical	daɪnˈæmɪkəl
dynamically	daɪnˈæmɪkli
dynamics	daɪnˈæmɪks
dynamism	dˈaɪnɐmˌɪzəm
dynamite	dˈaɪnəmˌaɪt,dˈaɪnɐmˌaɪt
dynamited	dˈaɪnɐmˌaɪtɪd
dynamo	dˈaɪnɐmˌəʊ
dynamometer	dˌaɪnɐmˈɒmɪtɐ
dynamos	dˈaɪnɐmˌəʊz
dynast	dˈɪnɑːst
dynastic	dɪnˈɑːstɪk
dynasties	dˈɪnɐstɪz
dynasts	dˈɪnɑːsts
dynasty	dˈɪnɐsti,dˈɪnəsti
dyne	dˈaɪn
dysentery	dˈɪsəntəɹi
dysfunction	dɪsfˈʌŋkʃən
dysfunctional	dɪsfˈʌŋkʃənəl
dysfunctions	dɪsfˈʌŋkʃənz
dyslexia	dɪslˈɛksiə
dyslexic	dɪslˈɛksɪk
dyslexics	dɪslˈɛksɪks
dyspepsia	dɪspˈɛpsiə
dyspeptic	dɪspˈɛptɪk
dysphasia	dɪsfˈeɪziə
dysphonia	dɪsfˈəʊniə
dysphoria	dɪsfˈɔːɹiə
dysplasia	dɪsplˈeɪziə
dyspnoea	dɪspnˈiə
dysprosium	dɪspɹˈəʊsiəm
dystopia	dɪstˈəʊpiə
dystopian	dɪstˈəʊpiən
dystrophic	dɪstɹˈɒfɪk
dystrophy	dˈɪstɹəfi
e	ˈiː
e'en	ˈɛən
e'er	ˈeə
e's	ˈiːz
each	ˈiːtʃ
eager	ˈiːgə,ˈiːɡɐ
eagerly	ˈiːɡəli
eagerness	ˈiːɡənəs
eagle	ˈiːɡəl,ˈiːgəl
eagles	ˈiːgəlz,ˈiːɡəlz
eaglet	ˈiːɡlət
ealing	ˈiːlɪŋ
ear	ˈɪə,ˈiə
earache	ˈiəɹeɪk
eardrops	ˈiədɹɒps
eardrum	ˈiədɹəm
eardrums	ˈiədɹəmz
eared	ˈiəd
earflaps	ˈiəflæps
earful	ˈiəfəl
earing	ˈiəɹɪŋ
earl	ˈɜːl
earldom	ˈɜːldəm
earldoms	ˈɜːldəmz
earlier	ˈɜːlɪə,ˈɜːlɪɐ
earliest	ˈɜːlɪəst
earliness	ˈɜːlɪnəs
earlobe	ˈiələʊb
earlobes	ˈiələʊbz
earls	ˈɜːlz
early	ˈɜːli
earmark	ˈiəmɑːk
earmarked	ˈiəmɑːkt
earmarking	ˈiəmɑːkɪŋ
earmarks	ˈiəmɑːks
earmuffs	ˈiəmʌfs
earn	ˈɜːn
earned	ˈɜːnd
earner	ˈɜːnɐ
earners	ˈɜːnəz
earnest	ˈɜːnəst
earnestly	ˈɜːnəstli
earnestness	ˈɜːnəstnəs
earning	ˈɜːnɪŋ
earnings	ˈɜːnɪŋz
earns	ˈɜːnz
earphone	ˈiəfəʊn
earphones	ˈiəfəʊnz,ˈɪəfˌəʊnz
earpiece	ˈiəpiːs
earpieces	ˈiəpiːsɪz
earplug	ˈiəplʌɡ
earplugs	ˈiəplʌɡz
earring	ˈiəɹɪŋ
earrings	ˈɪəɹɪŋz,ˈiəɹɪŋz
ears	ˈɪəz,ˈiəz
earshot	ˈiəʃɒt
earth	ˈɜːθ
earthbound	ˈɜːθbaʊnd
earthed	ˈɜːθd
earthen	ˈɜːðən
earthenware	ˈɜːθənwˌeə
earthier	ˈɜːθɪɐ
earthiness	ˈɜːθɪnəs
earthing	ˈɜːθɪŋ
earthlight	ˈɜːθlaɪt
earthliness	ˈɜːθlinəs
earthling	ˈɜːθlɪŋ
earthlings	ˈɜːθlɪŋz
earthly	ˈɜːθli
earthman	ˈɜːθmən
earthquake	ˈɜːθkweɪk,ˈɜːθkwˌeɪk
earthquakes	ˈɜːθkweɪks
earths	ˈɜːθs
earthshine	ˈɜːθʃaɪn
earthwards	ˈɜːθwədz
earthwork	ˈɜːθwɜːk
earthworks	ˈɜːθwɜːks
earthworm	ˈɜːθwɜːm
earthworms	ˈɜːθwɜːmz
earthy	ˈɜːθi
earwax	ˈiəwæks
earwig	ˈiəwɪɡ
earwigs	ˈiəwɪɡz
ease	ˈiːz
eased	ˈiːzd
easeful	ˈiːzfəl
easel	ˈiːzəl
easels	ˈiːzəlz
easement	ˈiːzmənt
eases	ˈiːzɪz
easier	ˈiːzɪɐ,ˈiːziːə
easiest	ˈiːzɪəst,ˈiːziɪst
easily	ˈiːzɪli
easiness	ˈiːzɪnəs
easing	ˈiːzɪŋ
east	ˈiːst
eastbound	ˈiːstbaʊnd
eastbourne	ˈiːstbˌɔːn
eastenders	ˈiːstˌɛndəz
easter	ˈiːstə
easterly	ˈiːstəli
eastern	ˈiːstən
easterner	ˈiːstənɐ
easterners	ˈiːstənəz
easternmost	ˈiːstənmˌəʊst
eastward	ˈiːstwəd
eastwards	ˈiːstwədz
easy	ˈiːzi
easygoing	iːzˈɪɡəʊɪŋ
eat	ˈiːt
eatable	ˈiːtəbəl
eaten	ˈiːtən
eater	ˈiːtɐ
eateries	ˈiːtəɹiz
eaters	ˈiːtəz
eatery	ˈiːtəɹi
eating	ˈiːtɪŋ
eats	ˈiːts
eau	ˈəʊ
eave	ˈiːv
eaves	ˈiːvz
eavesdrop	ˈiːvzdɹɒp,ˈiːvzdɹˌɒp
eavesdropped	ˈiːvzdɹɒpt
eavesdropper	ˈiːvzdɹɒpɐ
eavesdroppers	ˈiːvzdɹɒpəz
eavesdropping	ˈiːvzdɹɒpɪŋ
eavesdrops	ˈiːvzdɹɒps
ebay	ˈiːbˌeɪ
ebb	ˈɛb
ebbed	ˈɛbd
ebbing	ˈɛbɪŋ
ebbs	ˈɛbz
ebonies	ˈɛbənɪz
ebonised	ˈɛbənˌaɪzd
ebony	ˈɛbəni
ebooks	ˈiːbˌʊks
ebullience	ɪbˈʊliəns
ebullient	ɪbˈʊliənt
eccentric	ɛksˈɛntɹɪk
eccentrically	ɛksˈɛntɹɪkli
eccentricities	ˌɛksɪntɹˈɪsɪtiz
eccentricity	ˌɛksɪntɹˈɪsɪti
eccentrics	ɛksˈɛntɹɪks
ecclesia	ɪklˈiːziə
ecclesiastic	ɪklˌiːzɪˈæstɪk
ecclesiastical	ɪklɪzɪˈæstɪkəl,ɪklˌiːzɪˈæstɪkəl
ecclesiastics	ɪklˌiːzɪˈæstɪks
echelon	ˈɛʃəlˌɒn
echelons	ˈɛʃəlˌɒnz
echidna	ˈɛtʃɪdnɐ
echidnas	ˈɛtʃɪdnəz
echinacea	ˌɛtʃaɪnˈeɪsiə
echinoderm	ˈɛtʃɪnˌəʊdəm
echinoderms	ˈɛtʃɪnˌəʊdəmz
echo	ˈɛkəʊ
echoed	ˈɛkəʊd
echoes	ˈɛkəʊz
echoing	ˈɛkəʊɪŋ
echolalia	ˌɛkəlˈeɪliə
echolocate	ˈɛkələʊkˌeɪt
echolocation	ˌɛkələʊkˈeɪʃən
echopraxia	ˌɛkəpɹˈeɪksiə
echos	ˈɛkəʊz
echt	ˈɛtʃt
ecks	ˈɛks
eckses	ˈɛksɪz
eclampsia	ɪklˈæmpsiə
eclectic	ɪklˈɛktɪk
eclecticism	ɪklˈɛktɪsˌɪzəm
eclipse	ɪklˈɪps
eclipsed	ɪklˈɪpsd
eclipses	ɪklˈɪpsɪz
eclipsing	ɪklˈɪpsɪŋ
ecliptic	ɪklˈɪptɪk
eco	ˈiːkəʊ,ˈɛkəʊ
ecological	ˌɛkəlˈɒdʒɪkəl,ˌiːkəlˈɒdʒɪkəl
ecologically	ˌɛkəlˈɒdʒɪkli
ecologist	ɛkˈɒlədʒˌɪst
ecologists	ɛkˈɒlədʒˌɪsts
ecology	ɪkˈɒlədʒi,ɛkˈɒlədʒi
ecommerce	ˈiːkˌɒmɜːs
economic	ˌɛkənˈɒmɪk,ˌiːkənˈɒmɪk
economical	ˌiːkənˈɒmɪkəl
economically	ˌɛkənˈɒmɪkli,ˌiːkənˈɒmɪkli
economics	ˌiːkənˈɒmɪks,ˌɛkənˈɒmɪks
economies	ɪkˈɒnəmɪz,ɪkˈɒnəmiz
economise	ɪkˈɒnəmˌaɪz
economised	ɪkˈɒnəmˌaɪzd
economising	ɪkˈɒnəmˌaɪzɪŋ
economist	ɪkˈɒnəmˌɪst,ɪkˈɒnəmɪst
economists	ɪkˈɒnəmˌɪsts,ɪkˈɒnəmɪsts
economy	ɪkˈɒnəmi
ecosystem	ˈiːkəʊsˌɪstəm
ecosystems	ˈiːkəʊsˌɪstəmz
ecotourism	ˈɛkətˌɔːɹɪzəm
ecru	ˈɛkɹuː
ecstasies	ˈɛkstəsiz
ecstasy	ˈɛkstəsi
ecstatic	ɛkstˈætɪk
ecstatically	ɛkstˈætɪkli
ectoparasite	ˈɛktəpˌæɹɐsˌaɪt
ectopic	ɛktˈɒpɪk
ectoplasm	ˈɛktəplˌæzəm
ectoplasmic	ˌɛktəplˈæzmɪk
ectothermic	ˌɛktəðˈɜːmɪk
ecu	ˈɛkuː
ecuador	ˈɛkwədˌɔː
ecumenical	ˌɛkjuːmˈɛnɪkəl
ecumenically	ˌɛkjuːmˈɛnɪkli
eczema	ˈɛkzəmɐ
eczematous	ˌɛkzɪmˈætəs
eddie	ˈɛdi
eddies	ˈɛdɪz
eddy	ˈɛdi
eddying	ˈɛdɪɪŋ
edelweiss	ˈɛdɪlwˌeɪs
eden	ˈiːdən
edgar	ˈɛdgə
edge	ˈɛdʒ
edged	ˈɛdʒd
edger	ˈɛdʒɐ
edges	ˈɛdʒɪz
edgeways	ˈɛdʒweɪz
edgewise	ˈɛdʒwaɪz
edgier	ˈɛdʒɪɐ
edgiest	ˈɛdʒɪəst
edginess	ˈɛdʒɪnəs
edging	ˈɛdʒɪŋ
edgings	ˈɛdʒɪŋz
edgy	ˈɛdʒi
edh	ˈɛd
edible	ˈɛdəbəl
edibles	ˈɛdəbəlz
edict	ˈiːdɪkt
edicts	ˈiːdɪkts
edification	ˌɛdɪfɪkˈeɪʃən
edifice	ˈɛdɪfɪs
edifices	ˈɛdɪfɪsɪz
edified	ˈɛdɪfˌaɪd
edify	ˈɛdɪfˌaɪ
edifying	ˈɛdɪfˌaɪɪŋ
edinburgh	ˈɛdɪnbɹə
edit	ˈɛdɪt
edited	ˈɛdɪtɪd
edith	ˈiːdɪθ
editing	ˈɛdɪtɪŋ
edition	ɪdˈɪʃən
editions	ɪdˈɪʃənz
editor	ˈɛdɪtɐ,ˈɛdɪtə
editorial	ˌɛdɪtˈɔːɹɪəl
editorialise	ˌɛdɪtˈɔːɹɪəlˌaɪz
editorialised	ˈɛdɪtˌɔːɹɪəlˌaɪzd
editorialising	ˈɛdɪtˌɔːɹɪəlˌaɪzɪŋ
