㔂	lan²⁴
天主聖三	tʰiɛn⁴⁴⁻²²t͡su⁵³⁻⁴⁴ɕiɪŋ²¹⁻⁵³sam⁴⁴
天九	tʰiɛn⁴⁴⁻²²kiu⁵³
天井	tʰĩ⁴⁴⁻²²t͡ɕĩ⁵³
天仙	tʰiɛn⁴⁴⁻²²ɕiɛn⁴⁴
天作之合	tʰiɛn⁴⁴⁻²²t͡sɔk̚³²⁻⁴t͡ɕi⁴⁴⁻²²hap̚⁴
天使	tʰĩ⁴⁴⁻²²saɪ²¹
天倫	tʰiɛn⁴⁴⁻²²lun²⁴
天倫之樂	tʰiɛn⁴⁴⁻²²lun²⁴⁻²²t͡ɕi⁴⁴⁻²²lɔk̚⁴
天光	tʰĩ⁴⁴kŋ̍⁴⁴
天公	tʰĩ⁴⁴⁻²²kɔŋ⁴⁴
天公祖	tʰĩ⁴⁴⁻²²kɔŋ⁴⁴⁻²²t͡sɔ⁵³
天兵	pʰin⁴⁴⁻²²pʰiã⁴⁴
天兵	tʰiɛn⁴⁴⁻²²pʰiã⁴⁴
天冬	tʰiɛn⁴⁴⁻²²tɔŋ⁴⁴
天分	tʰiɛn⁴⁴⁻²²hun²²
天命	tʰiɛn⁴⁴⁻²²biɪŋ²²
天和	tʰĩ⁴⁴⁻²²ɔ²⁴
天國	tʰiɛn⁴⁴⁻²²kɔk̚³²
天地	tʰiɛn⁴⁴⁻²²te²²
天地	tʰĩ⁴⁴⁻²²tue²²
天地炮	tʰiɛn⁴⁴⁻²²te²²⁻²¹pʰaʊ²¹
天堂	tʰiɛn⁴⁴⁻²²tɔŋ²⁴
天堂	tʰĩ⁴⁴⁻²²tŋ̍²⁴
天塹	tʰiɛn⁴⁴⁻²²t͡ɕʰiam²¹
天大	tʰĩ⁴⁴⁻²²tua²²
天天	tʰiɛn⁴⁴⁻²²tʰiɛn⁴⁴
天子	tʰiɛn⁴⁴⁻²²t͡su⁵³
天安門	tʰiɛn⁴⁴⁻²²an⁴⁴⁻²²mŋ̍²⁴
天宮	tʰiɛn⁴⁴⁻²²kiɔŋ⁴⁴
天差淵	tʰiɛn⁴⁴⁻²²t͡sʰa⁴⁴⁻²²iɛn⁴⁴
天幕	tʰiɛn⁴⁴⁻²²bɔ²²
天干	tʰiɛn⁴⁴⁻²²kan⁴⁴
天平	tʰiɛn⁴⁴⁻²²piɪŋ²⁴
天年	tʰiɛn⁴⁴⁻²²liɛn²⁴
天庭	tʰiɛn⁴⁴⁻²²tiɪŋ²⁴
天性	tʰiɛn⁴⁴⁻²²ɕiɪŋ²¹
天意	tʰiɛn⁴⁴⁻²²i²¹
天意	tʰĩ⁴⁴⁻²²i²¹
天才	tʰiɛn⁴⁴⁻²²t͡saɪ²⁴
天擇	tʰiɛn⁴⁴⁻²²tiɪk̚⁴
天敵	tʰiɛn⁴⁴⁻²²tiɪk̚⁴
天數	tʰiɛn⁴⁴⁻²²sɔ²¹
天文	tʰiɛn⁴⁴⁻²²bun²⁴
天文學	tʰiɛn⁴⁴⁻²²bun²⁴⁻²²hak̚⁴
天文學家	tʰiɛn⁴⁴⁻²²bun²⁴⁻²²hak̚⁴⁻³²ka⁴⁴
天日	tʰiɛn⁴⁴⁻²²lit̚⁴
天日	tʰĩ⁴⁴⁻²²lit̚⁴
天時	tʰiɛn⁴⁴⁻²²ɕi²⁴
天時	tʰĩ⁴⁴⁻²²ɕi²⁴
天晴	tʰĩ⁴⁴⁻²²t͡ɕĩ²⁴
天暗	tʰĩ⁴⁴⁻²²am²¹
天書	tʰiɛn⁴⁴⁻²²su⁴⁴
天梯	tʰĩ⁴⁴⁻²²tʰui⁴⁴
天棚	tʰĩ⁴⁴⁻²²pĩ²⁴
天橋	tʰiɛn⁴⁴⁻²²kio²⁴
天橋	tʰĩ⁴⁴⁻²²kio²⁴
天機	tʰiɛn⁴⁴⁻²²ki⁴⁴
天欲光	tʰĩ⁴⁴beʔ³²⁻⁵³kŋ̍⁴⁴
天氣	tʰĩ⁴⁴⁻²²kʰi²¹
天氣預報	tʰĩ⁴⁴⁻²²kʰi²¹⁻⁵³u²²⁻²¹po²¹
天池	tʰiɛn⁴⁴⁻²²ti²⁴
天河	tʰiɛn⁴⁴⁻²²ho²⁴
天津	tʰiɛn⁴⁴⁻²²t͡ɕin⁴⁴
天涯	tʰiɛn⁴⁴⁻²²ɡaɪ²⁴
天涯海角	tʰiɛn⁴⁴⁻²²ɡaɪ²⁴⁻²²haɪ⁵³⁻⁴⁴kak̚³²
天火	tʰĩ⁴⁴⁻²²he⁵³
天災	tʰiɛn⁴⁴⁻²²t͡saɪ⁴⁴
天烏	tʰĩ⁴⁴⁻²²ɔ⁴⁴
天然	tʰiɛn⁴⁴⁻²²liɛn²⁴
天然氣	tʰiɛn⁴⁴⁻²²liɛn²⁴⁻²²kʰi²¹
天燈	tʰiɛn⁴⁴⁻²²tiɪŋ⁴⁴
天狗	tʰiɛn⁴⁴⁻²²kaʊ⁵³
天王	tʰiɛn⁴⁴⁻²²ɔŋ²⁴
天王星	tʰiɛn⁴⁴⁻²²ɔŋ²⁴⁻²²t͡ɕʰĩ⁴⁴
天珠	tʰiɛn⁴⁴⁻²²t͡su⁴⁴
天理	tʰiɛn⁴⁴⁻²²li⁵³
天理	tʰĩ⁴⁴⁻²²li⁵³
天生	tʰiɛn⁴⁴⁻²²ɕiɪŋ⁴⁴
天界	tʰiɛn⁴⁴⁻²²kaɪ²¹
天皇	tʰiɛn⁴⁴⁻²²hɔŋ²⁴
天真	tʰiɛn⁴⁴⁻²²t͡ɕin⁴⁴
天神	tʰiɛn⁴⁴⁻²²ɕin²⁴
天秤	tʰiɛn⁴⁴⁻²²piɪŋ²⁴
天空	tʰiɛn⁴⁴⁻²²kʰɔŋ⁴⁴
天窗	tʰĩ⁴⁴⁻²²tʰaŋ⁴⁴
天竹	tʰiɛn⁴⁴⁻²²tiɔk̚³²
天竹	tʰiɛn⁴⁴⁻²²tiɪk̚³²
天竺	tʰiɛn⁴⁴⁻²²tiɔk̚³²
天篷	tʰiɛn⁴⁴⁻²²pɔŋ²⁴
天線	tʰiɛn⁴⁴⁻²²suã²¹
天線	tʰĩ⁴⁴⁻²²suã²¹
天羅地網	tʰiɛn⁴⁴⁻²²lo²⁴⁻²²te²²⁻²¹baŋ²²
天羅地網	tʰiɛn⁴⁴⁻²²lo²⁴⁻²²tue²²⁻²¹baŋ²²
天羅板	tʰiɛn⁴⁴⁻²²lo²⁴⁻²²pan⁵³
天職	tʰiɛn⁴⁴⁻²²t͡ɕit̚³²
天臺	tʰiɛn⁴⁴⁻²²taɪ²⁴
天良	tʰiɛn⁴⁴⁻²²liɔŋ²⁴
天色	tʰiɛn⁴⁴⁻²²ɕiɪk̚³²
天色	tʰĩ⁴⁴⁻²²ɕiɪk̚³²
天花	tʰiɛn⁴⁴⁻²²hua⁴⁴
天花板	tʰiɛn⁴⁴⁻²²hua⁴⁴⁻²²pan⁵³
天藍	tʰiɛn⁴⁴⁻²²lam²⁴
天藍色	tʰiɛn⁴⁴⁻²²lam²⁴⁻²²ɕiɪk̚³²
天象	tʰiɛn⁴⁴⁻²²ɕiɔŋ²²
天財票	tʰiɛn⁴⁴⁻²²t͡saɪ²⁴⁻²²pʰio²¹
天資	tʰiɛn⁴⁴⁻²²t͡su⁴⁴
天賜	tʰiɛn⁴⁴⁻²²su²¹
天賦	tʰiɛn⁴⁴⁻²²hu²¹
天跤下	tʰĩ⁴⁴⁻²²kʰa⁴⁴⁻²²e²²
天道	tʰiɛn⁴⁴⁻²²to²²
天邊	tʰĩ⁴⁴⁻²²pĩ⁴⁴
天長地久	tʰiɛn⁴⁴⁻²²tiɔŋ²⁴⁻²²te²²⁻²¹kiu⁵³
天門冬	tʰiɛn⁴⁴⁻²²bun²⁴⁻²²taŋ⁴⁴
天門冬	tʰiɛn⁴⁴⁻²²bun²⁴⁻²²tɔŋ⁴⁴
天開	tʰĩ⁴⁴kʰui⁴⁴
天際	tʰiɛn⁴⁴⁻²²t͡se²¹
天險	tʰiɛn⁴⁴⁻²²hiam⁵³
天露	tʰĩ⁴⁴⁻²²lɔ²²
天靈蓋	tʰiɛn⁴⁴⁻²²liɪŋ²⁴⁻²²kaɪ²¹
天頂	tʰĩ⁴⁴⁻²²tiɪŋ⁵³
天風	tʰiɛn⁴⁴⁻²²hɔŋ⁴⁴
天體	tʰiɛn⁴⁴⁻²²tʰe⁵³
天體	tʰĩ⁴⁴⁻²²tʰe⁵³
天體物理學	tʰiɛn⁴⁴⁻²²tʰe⁵³⁻⁴⁴but̚⁴⁻³²li⁵³⁻⁴⁴hak̚⁴
天鵝	tʰiɛn⁴⁴⁻²²ɡo²⁴
天鵝絨	tʰiɛn⁴⁴⁻²²ɡo²⁴⁻²²d͡ʑiɔŋ²⁴
天黑	tʰĩ⁴⁴⁻²²hiɪk̚⁴
天龍	tʰiɛn⁴⁴⁻²²liɔŋ²⁴
太	tʰaɪ²¹
太保	tʰaɪ²¹⁻⁵³po⁵³
太傅	tʰaɪ²¹⁻⁵³hu²¹
太公	tʰaɪ²¹⁻⁵³kɔŋ⁴⁴
太原	tʰaɪ²¹⁻⁵³ɡuan²⁴
太古	tʰaɪ²¹⁻⁵³kɔ⁵³
太后	tʰaɪ²¹⁻⁵³hɔ²²
太太	tʰaɪ²¹⁻⁵³tʰaɪ²¹
太媽	tʰaɪ²¹⁻⁵³mã⁵³
太子	tʰaɪ²¹⁻⁵³t͡su⁵³
太宗	tʰaɪ²¹⁻⁵³t͡sɔŋ⁴⁴
太師	tʰaɪ²¹⁻⁵³su⁴⁴
太平	tʰaɪ²¹⁻⁵³piɪŋ²⁴
太平天國	tʰaɪ²¹⁻⁵³piɪŋ²⁴⁻²²tʰiɛn⁴⁴⁻²²kɔk̚³²
太平山	tʰaɪ²¹⁻⁵³piɪŋ²⁴⁻²²suã⁴⁴
太平洋	tʰaɪ²¹⁻⁵³piɪŋ²⁴⁻²²iũ²⁴
太平門	tʰaɪ²¹⁻⁵³piɪŋ²⁴⁻²²mŋ̍²⁴
太廟	tʰaɪ²¹⁻⁵³bio²²
太極	tʰaɪ²¹⁻⁵³kiɪk̚⁴
太極拳	tʰaɪ²¹⁻⁵³kiɪk̚⁴⁻³²kun²⁴
太極旗	tʰaɪ²¹⁻⁵³kiɪk̚⁴⁻³²ki²⁴
太白	tʰaɪ²¹⁻⁵³piɪk̚⁴
太白粉	tʰaɪ²¹⁻⁵³peʔ⁴⁻²¹hun⁵³
太監	tʰaɪ²¹⁻⁵³kam²¹
太祖	tʰaɪ²¹⁻⁵³t͡sɔ⁵³
太空	tʰaɪ²¹⁻⁵³kʰɔŋ⁴⁴
太空站	tʰaɪ²¹⁻⁵³kʰɔŋ⁴⁴⁻²²t͡sam²²
太陰	tʰaɪ²¹⁻⁵³im⁴⁴
太陽	tʰaɪ²¹⁻⁵³iɔŋ²⁴
太陽穴	tʰaɪ²¹⁻⁵³iɔŋ²⁴⁻²²hiɛt̚⁴
太陽系	tʰaɪ²¹⁻⁵³iɔŋ²⁴⁻²²he²²
太陽邊	tʰaɪ²¹⁻⁵³iɔŋ²⁴⁻²²piɛn⁴⁴
太魯閣	tʰaɪ²¹⁻⁵³lɔ⁵³⁻⁴⁴koʔ³²
太魯閣人	tʰaɪ²¹⁻⁵³lɔ⁵³⁻⁴⁴koʔ³²⁻⁵³laŋ²⁴
太魯閣語	tʰaɪ²²⁻²¹lɔ⁵³⁻⁴⁴kɔʔ³²⁻⁵³ɡi⁵³
太麻里	tʰaɪ²¹⁻⁵³mã²⁴⁻²²li⁵³
夫	hu⁴⁴
夫	pɔ⁴⁴
夫人	hu⁴⁴⁻²²lin²⁴
夫君	hu⁴⁴⁻²²kun⁴⁴
夫妻	hu⁴⁴⁻²²t͡sʰe⁴⁴
夫婦	hu⁴⁴⁻²²hu²²
夫子	hu⁴⁴⁻²²t͡su⁵³
夬	kuai⁵³
夬	kuat̚³²
夭	iaʊ⁴⁴
夭	iaʊ⁵³
夭壽	iaʊ⁵³⁻⁴⁴ɕiu²²
夭折	iaʊ⁴⁴⁻²²t͡ɕiɛt̚³²
央	iaŋ⁴⁴
央	iɔŋ⁴⁴
央	ŋ̍⁴⁴
央及	iaŋ⁴⁴⁻²²kip̚⁴
央及	iɔŋ⁴⁴⁻²²kip̚⁴
央告	iɔŋ⁴⁴⁻²²ko²¹
央求	iɔŋ⁴⁴⁻²²kiu²⁴
央行	iaŋ⁴⁴⁻²²haŋ²⁴
央視	iɔŋ⁴⁴⁻²²ɕi²²
央託	iɔŋ⁴⁴⁻²²tʰɔk̚³²
夯	haŋ⁴⁴
失	ɕit̚³²
失主	ɕit̚³²⁻⁴t͡su⁵³
失事	ɕit̚³²⁻⁴su²²
失信	ɕit̚³²⁻⁴ɕin²¹
失傳	ɕit̚³²⁻⁴tuan²⁴
失利	ɕit̚³²⁻⁴li²²
失勢	ɕit̚³²⁻⁴se²¹
失去	ɕit̚³²⁻⁴kʰi²¹
失口	ɕit̚³²⁻⁴kʰaʊ⁵³
失地	ɕit̚³²⁻⁴te²²
失地	ɕit̚³²⁻⁴tue²²
失學	ɕit̚³²⁻⁴hak̚⁴
失守	ɕit̚³²⁻⁴ɕiu⁵³
失宜	ɕit̚³²⁻⁴ɡi²⁴
失實	ɕit̚³²⁻⁴ɕit̚⁴
失寵	ɕit̚³²⁻⁴tʰiɔŋ⁵³
失常	ɕit̚³²⁻⁴ɕiɔŋ²⁴
失序	ɕit̚³²⁻⁴su²²
失德	ɕit̚³²⁻⁴tiɪk̚³²
失心	ɕit̚³²⁻⁴ɕim⁴⁴
失志	ɕit̚³²⁻⁴t͡ɕi²¹
失意	ɕit̚³²⁻⁴i²¹
失態	ɕit̚³²⁻⁴tʰaɪ²¹
失戀	ɕit̚³²⁻⁴luan²⁴
失手	ɕit̚³²⁻⁴t͡ɕʰiu⁵³
失掉	ɕit̚³²⁻⁴tiaʊ²²
失措	ɕit̚³²⁻⁴t͡sʰo²¹
失措	ɕit̚³²⁻⁴t͡sʰɔk̚³²
失效	ɕit̚³²⁻⁴haʊ²²
失敗	ɕit̚³²⁻⁴paɪ²²
失散	ɕit̚³²⁻⁴suã²¹
失敬	ɕit̚³²⁻⁴kiɪŋ²¹
失明	ɕit̚³²⁻⁴biɪŋ²⁴
失時	ɕit̚³²⁻⁴ɕi²⁴
失望	ɕit̚³²⁻⁴bɔŋ²²
失業	ɕit̚³²⁻⁴ɡiap̚⁴
失檢	ɕit̚³²⁻⁴kiam⁵³
失火	ɕit̚³²⁻⁴he⁵³
失物	ɕit̚³²⁻⁴but̚⁴
失當	ɕit̚³²⁻⁴tɔŋ²¹
失真	ɕit̚³²⁻⁴t͡ɕin⁴⁴
失眠	ɕit̚³²⁻⁴bin²⁴
失神	ɕit̚³²⁻⁴ɕin²⁴
失禁	ɕit̚³²⁻⁴kim²¹
失禮	ɕit̚³²⁻⁴le⁵³
失策	ɕit̚³²⁻⁴t͡ɕʰiɪk̚³²
失算	ɕit̚³²⁻⁴suan²¹
失算	ɕit̚³²⁻⁴sŋ̍²¹
失節	ɕit̚³²⁻⁴t͡ɕiɛt̚³²
失約	ɕit̚³²⁻⁴iɔk̚³²
失聲	ɕit̚³²⁻⁴ɕiã⁴⁴
失職	ɕit̚³²⁻⁴t͡ɕit̚³²
失腳	ɕit̚³²⁻⁴kʰa⁴⁴
失色	ɕit̚³²⁻⁴ɕiɪk̚³²
失落	ɕit̚³²⁻⁴loʔ⁴
失血	ɕit̚³²⁻⁴hiɛt̚³²
失言	ɕit̚³²⁻⁴ɡiɛn²⁴
失誤	ɕit̚³²⁻⁴ŋɔ̃²²
失調	ɕit̚³²⁻⁴tiaʊ²²
失調	ɕit̚³²⁻⁴tiaʊ²⁴
失路	ɕit̚³²⁻⁴lɔ²²
失蹤	ɕit̚³²⁻⁴t͡sɔŋ⁴⁴
失身	ɕit̚³²⁻⁴ɕin⁴⁴
失迎	ɕit̚³²⁻⁴ɡiɪŋ²⁴
失重	ɕit̚³²⁻⁴taŋ²²
失錯	ɕit̚³²⁻⁴t͡sʰo²¹
失陪	ɕit̚³²⁻⁴pue²⁴
失陷	ɕit̚³²⁻⁴ham²²
失靈	ɕit̚³²⁻⁴liɪŋ²⁴
失音	ɕit̚³²⁻⁴im⁴⁴
夷	i²⁴
夷	tʰaɪ²⁴
夾	kap̚³²
夾	kaʔ³²
夾	kiap̚³²
夾	ŋuẽʔ³²
夾	ŋẽʔ³²
夾	ŋẽʔ⁴
夾	ɡiap̚³²
夾仔	ŋẽʔ⁴⁻²¹a⁵³
夾層	kiap̚³²⁻⁴t͡san²⁴
夾帶	kiap̚³²⁻⁴taɪ²¹
夾帶	kiap̚³²⁻⁴tua²¹
夾心	kiap̚³²⁻⁴ɕim⁴⁴
夾擊	kiap̚³²⁻⁴kiɪk̚³²
夾攻	kiap̚³²⁻⁴kɔŋ⁴⁴
夾板	kiap̚³²⁻⁴pan⁵³
夾生	kiap̚³²⁻⁴t͡ɕʰĩ⁴⁴
夾縫	kiap̚³²⁻⁴pʰaŋ²²
夾裘	kiap̚³²⁻⁴hiu²⁴
夾道	kiap̚³²⁻⁴to²²
夾雜	kiap̚³²⁻⁴t͡sap̚⁴
奄	iam⁵³
奄奄一息	iam⁵³⁻⁴⁴iam⁵³⁻⁴⁴it̚³²⁻⁴ɕiɪk̚³²
奅	pʰã²²
奇	ki²⁴
奇	ki⁴⁴
奇	kʰia⁴⁴
奇兵	ki²⁴⁻²²piɪŋ⁴⁴
奇妙	ki²⁴⁻²²biaʊ²²
奇巧	ki²⁴⁻²²kʰa⁵³
奇幻	ki²⁴⁻²²huan²²
奇怪	ki²⁴⁻²²kuai²¹
奇想	ki²⁴⁻²²ɕiɔŋ⁵³
奇數	ki⁴⁴⁻²²sɔ²¹
奇數	kʰia⁴⁴⁻²²sɔ²¹
奇景	ki²⁴⁻²²kiɪŋ⁵³
奇特	ki²⁴⁻²²tiɪk̚⁴
奇異	ki²⁴⁻²²i²²
奇箸	kʰa⁴⁴⁻²²ti²²
奇箸	kʰia⁴⁴⁻²²ti²²
奇聞	ki²⁴⁻²²bun²⁴
奇萊	ki²⁴⁻²²laɪ²⁴
奇襲	ki²⁴⁻²²ɕip̚⁴
奇觀	ki²⁴⁻²²kuan⁴⁴
奇跡	ki²⁴⁻²²t͡ɕiɪk̚³²
奇遇	ki²⁴⁻²²ɡu²²
奇零	ki⁴⁴⁻²²liɪŋ²⁴
奈	nãɪ²²
奈	ta²²
奈何	nãɪ²²⁻²¹ho²⁴
奈何	ta²²⁻²¹ua²⁴
奉	hɔŋ²²
奉公守法	hɔŋ²²⁻²¹kɔŋ⁴⁴⁻²²ɕiu⁵³⁻⁴⁴huat̚³²
奉勸	hɔŋ²²⁻²¹kʰuan²¹
奉告	hɔŋ²²⁻²¹ko²¹
奉命	hɔŋ²²⁻²¹biɪŋ²²
奉承	hɔŋ²²⁻²¹ɕiɪŋ²⁴
奉獻	hɔŋ²²⁻²¹hiɛn²¹
奉祀	hɔŋ²²⁻²¹su²²
奉行	hɔŋ²²⁻²¹hiɪŋ²⁴
奉送	hɔŋ²²⁻²¹saŋ²¹
奉送	hɔŋ²²⁻²¹sɔŋ²¹
奉還	hɔŋ²²⁻²¹huan²⁴
奉陪	hɔŋ²²⁻²¹pue²⁴
奉養	hɔŋ²²⁻²¹iɔŋ⁵³
奎	kʰe⁴⁴
奏	t͡saʊ²¹
奏	t͡sɔ²¹
奏摺	t͡saʊ²¹⁻⁵³t͡ɕiɛt̚³²
奏效	t͡sɔ²¹⁻⁵³haʊ²²
奏樂	t͡saʊ²¹⁻⁵³ɡak̚⁴
奏章	t͡saʊ²¹⁻⁵³t͡ɕiɔŋ⁴⁴
奏鳴曲	t͡saʊ²¹⁻⁵³biɪŋ²⁴⁻²²kʰiɔk̚³²
奐	huan²¹
契	kʰe²¹
契	kʰue²¹
契兄	kʰue²¹⁻⁵³hiã⁴⁴
契兄囝	kʰue²¹⁻⁵³hiã⁴⁴⁻²²kiã⁵³
契兄婆	kʰue²¹⁻⁵³hiã⁴⁴⁻²²po²⁴
契合	kʰe²¹⁻⁵³hap̚⁴
契囝	kʰue²¹⁻⁵³kiã⁵³
契字	kʰue²¹⁻⁵³li²²
契弟	kʰue²¹⁻⁵³te²²
契據	kʰue²¹⁻⁵³ku²¹
契機	kʰe²¹⁻⁵³ki⁴⁴
契母	kʰue²¹⁻⁵³bu⁵³
契爸	kʰue²¹⁻⁵³pe²²
契約	kʰue²¹⁻⁵³iɔk̚³²
契阿兄	kʰue²¹⁻⁵³a⁴⁴⁻²²hiã⁴⁴
奔	pun⁴⁴
奔	pʰun⁴⁴
奔命	pun⁴⁴⁻²²biɪŋ²²
奔喪	pʰun⁴⁴⁻²²sɔŋ⁴⁴
奔忙	pun⁴⁴⁻²²bɔŋ²⁴
奔放	pun⁴⁴⁻²²hɔŋ²¹
奔波	pun⁴⁴⁻²²po⁴⁴
奔波	pʰun⁴⁴⁻²²po⁴⁴
奔流	pun⁴⁴⁻²²liu²⁴
奔瀉	pun⁴⁴⁻²²ɕia²¹
奔瀉	pʰun⁴⁴⁻²²ɕia²¹
奔走	pun⁴⁴⁻²²t͡saʊ⁵³
奔走	pun⁴⁴⁻²²t͡sɔ⁵³
奔走	pʰun⁴⁴⁻²²t͡saʊ⁵³
奔走	pʰun⁴⁴⁻²²t͡sɔ⁵³
奔跑	pun⁴⁴⁻²²pʰaʊ⁵³
奔跑	pʰun⁴⁴⁻²²pʰaʊ⁵³
奔逃	pun⁴⁴⁻²²to²⁴
奔馳	pun⁴⁴⁻²²ti²⁴
奔騰	pun⁴⁴⁻²²tʰiɪŋ²⁴
奔騰	pʰun⁴⁴⁻²²tʰiɪŋ²⁴
奕	i²²
奕	iɪk̚⁴
奕救國	i²²⁻²¹kiu²¹⁻⁵³kɔk̚³²
套	tʰo²¹
套利	tʰo²¹⁻⁵³li²²
套套	tʰo²¹⁻⁵³tʰo²¹
套戲	tʰo²¹⁻⁵³hi²¹
套房	tʰo²¹⁻⁵³paŋ²⁴
套數	tʰo²¹⁻⁵³sɔ²¹
套牢	tʰo²¹⁻⁵³lo²⁴
套色	tʰo²¹⁻⁵³ɕiɪk̚³²
套衫	tʰo²¹⁻⁵³sã⁴⁴
套裝軟體	tʰo²¹⁻⁵³t͡sɔŋ⁴⁴⁻²²nŋ̍⁵³⁻⁴⁴tʰe⁵³
套語	tʰo²¹⁻⁵³ɡu⁵³
套購	tʰo²¹⁻⁵³kɔ²¹
套間	tʰo²¹⁻⁵³kiɪŋ⁴⁴
套餐	tʰo²¹⁻⁵³t͡sʰan⁴⁴
奚	he²⁴
奠	tiɛn²²
奠下	tiɛn²²⁻²¹ha²²
奠儀	tiɛn²²⁻²¹ɡi²⁴
奠基	tiɛn²²⁻²¹ki⁴⁴
奠定	tiɛn²²⁻²¹tiɪŋ²²
奢	ɕia⁴⁴
奢侈	t͡ɕʰia⁴⁴⁻²²t͡ɕʰi⁵³
奢侈品	t͡ɕʰia⁴⁴⁻²²t͡ɕʰi⁵³⁻⁴⁴pʰin⁵³
奢望	ɕia⁴⁴⁻²²bɔŋ²²
奢華	ɕia⁴⁴⁻²²hua²⁴
奧	aʊ²¹
奧	o²¹
奧地利	o²¹⁻⁵³te²²⁻²¹li²²
奧妙	aʊ²¹⁻⁵³biaʊ²²
奧妙	o²¹⁻⁵³biaʊ²²
奧援	o²¹⁻⁵³uan²²
奧斯陸	o²¹⁻⁵³su⁴⁴⁻²²liɔk̚⁴
奧步	aʊ²¹⁻⁵³pɔ²²
奧秘	aʊ²¹⁻⁵³pi²¹
奧秘	o²¹⁻⁵³pi²¹
奧賽	o²¹⁻⁵³saɪ²¹
奧運	o²¹⁻⁵³un²²
奧運會	o²¹⁻⁵³un²²⁻²¹hue²²
奩	liam²⁴
奪	tuat̚⁴
奪	tuaʔ⁴
奪取	tuat̚⁴⁻³²t͡sʰu⁵³
奪回	tuat̚⁴⁻³²hue²⁴
奪得	tuat̚⁴⁻³²tit̚³²
奪得	tuat̚⁴⁻³²tiɪk̚³²
奪權	tuat̚⁴⁻³²kuan²⁴
奪目	tuat̚⁴⁻³²bɔk̚⁴
奮	hun²¹
奮不顧身	hun²¹⁻⁵³put̚³²⁻⁴kɔ²¹⁻⁵³ɕin⁴⁴
奮力	hun²¹⁻⁵³liɪk̚⁴
奮勇	hun²¹⁻⁵³iɔŋ⁵³
奮勉	hun²¹⁻⁵³biɛn⁵³
奮戰	hun²¹⁻⁵³t͡ɕiɛn²¹
奮發	hun²¹⁻⁵³huat̚³²
奮起	hun²¹⁻⁵³kʰi⁵³
奮鬥	hun²¹⁻⁵³tɔ²¹
女	li⁵³
女	lu⁵³
女中	li⁵³⁻⁴⁴tiɔŋ⁴⁴
女主人	li⁵³⁻⁴⁴t͡su⁵³⁻⁴⁴laŋ²⁴
女人	lu⁵³⁻⁴⁴lin²⁴
女伴	li⁵³⁻⁴⁴pʰuã²²
女傭	lu⁵³⁻⁴⁴iɔŋ⁴⁴
女僕	li⁵³⁻⁴⁴pɔk̚⁴
女兒	lu⁵³⁻⁴⁴li²⁴
女友	li⁵³⁻⁴⁴iu⁵³
女士	lu⁵³⁻⁴⁴su²²
女奴	li⁵³⁻⁴⁴lɔ²⁴
女婢	li⁵³⁻⁴⁴pi²²
女婿	lu⁵³⁻⁴⁴saɪ²¹
女子	lu⁵³⁻⁴⁴t͡su⁵³
女將	lu⁵³⁻⁴⁴t͡ɕiɔŋ²¹
女性	lu⁵³⁻⁴⁴ɕiɪŋ²¹
女方	lu⁵³⁻⁴⁴hɔŋ⁴⁴
女朋友	lu⁵³⁻⁴⁴piɪŋ²⁴⁻²²iu⁵³
女權	li⁵³⁻⁴⁴kuan²⁴
女流	lu⁵³⁻⁴⁴liu²⁴
女王	lu⁵³⁻⁴⁴ɔŋ²⁴
女生	lu⁵³⁻⁴⁴ɕiɪŋ⁴⁴
女皇	lu⁵³⁻⁴⁴hɔŋ²⁴
女神	lu⁵³⁻⁴⁴ɕin²⁴
女管家	li⁵³⁻⁴⁴kuan⁵³⁻⁴⁴ke⁴⁴
女色	lu⁵³⁻⁴⁴ɕiɪk̚³²
女裝	li⁵³⁻⁴⁴t͡sɔŋ⁴⁴
女警	li⁵³⁻⁴⁴kiɪŋ⁵³
女郎	lu⁵³⁻⁴⁴lɔŋ²⁴
女錶	lu⁵³⁻⁴⁴pio⁵³
女高音	li⁵³⁻⁴⁴ko⁴⁴⁻²²im⁴⁴
奴	lɔ²⁴
奴僕	lɔ²⁴⁻²²pʰɔk̚³²
奴役	lɔ²⁴⁻²²iɪk̚⁴
奴才	lɔ²⁴⁻²²t͡saɪ²⁴
奴隸	lɔ²⁴⁻²²le²²
奶	nãɪ⁵³
奶	nĩ⁴⁴
奶仔	nĩ⁴⁴⁻²²a⁵³
奶仔頭	nĩ⁴⁴⁻²²a⁵³⁻⁴⁴tʰaʊ²⁴
奶匏	nĩ⁴⁴⁻²²pu²⁴
奶喙	nĩ⁴⁴⁻²²t͡sʰui²¹
奶嘴	nĩ⁴⁴⁻²²t͡sʰui²¹
奶套	nĩ⁴⁴⁻²²tʰo²¹
奶奶	nãɪ⁵³⁻⁴⁴nãɪ⁵³
奶媽	nãɪ⁵³⁻⁴⁴mã⁴⁴
奶帕	nĩ⁴⁴⁻²²pʰe²¹
奶母	nĩ⁴⁴⁻²²bu⁵³
奶油	nãɪ⁴⁴⁻²²iu²⁴
奶油	nĩ⁴⁴⁻²²iu²⁴
奶穿	nĩ⁴⁴⁻²²t͡sʰŋ̍⁴⁴
奶粉	nĩ⁴⁴⁻²²hun⁵³
奶罩	nĩ⁴⁴⁻²²ta²¹
