aarōn	aaɾoːn
caldārius	kaɫ̪d̪aːɾiʊs̠
caldī	kaɫ̪d̪iː
caldō	kaɫ̪d̪oː
calefaciō	kaɫ̪ɛfakioː
calefactiō	kaɫ̪ɛfakt̪ioː
calefactīvus	kaɫ̪ɛfakt̪iːwʊs̠
calefactūrus	kaɫ̪ɛfakt̪uːɾʊs̠
calendārium	kaɫ̪ɛn̪d̪aːɾiʊ̃ˑ
calentum	kaɫ̪ɛn̪t̪ʊ̃ˑ
caletra	kaɫ̪ɛt̪ɾa
caleō	kaɫ̪eoː
calfaciō	kaɫ̪fakioː
calfactum	kaɫ̪fakt̪ʊ̃ˑ
calfactūrus	kaɫ̪fakt̪uːɾʊs̠
calgacus	kaɫ̪ɡakʊs̠
calibēus	kal̪ɪbeːʊs̠
caliditās	kal̪ɪd̪ɪt̪aːs̠
calidius	kal̪ɪd̪iʊs̠
calidus	kal̪ɪd̪ʊs̠
calidāria	kal̪ɪd̪aːɾia
caliendrum	kal̪iɛn̪d̪ɾʊ̃ˑ
california	kal̪ɪfɔrnia
californicus	kal̪ɪfɔrnɪkʊs̠
californium	kal̪ɪfɔrniʊ̃ˑ
californiāna	kal̪ɪfɔrniaːna
californiāna	kal̪ɪfɔrniaːnaː
californiāne	kal̪ɪfɔrniaːnɛ
californiānus	kal̪ɪfɔrniaːnʊs̠
californiānās	kal̪ɪfɔrniaːnaːs̠
californiānī	kal̪ɪfɔrniaːniː
californiānōs	kal̪ɪfɔrniaːnoːs̠
californiēnsis	kal̪ɪfɔrniẽːs̠ɪs̠
caligāte	kal̪ɪɡaːt̪ɛ
caligātus	kal̪ɪɡaːt̪ʊs̠
caligātīs	kal̪ɪɡaːt̪iːs̠
caligātō	kal̪ɪɡaːt̪oː
calingae	kal̪ɪŋɡae̯
calingī	kal̪ɪŋɡiː
calix	kal̪ɪks̠
callaecia	kal̠l̠ae̯kia
callais	kal̠l̠aɪs̠
callet	kal̠l̠ɛt̪
calleō	kal̠l̠eoː
calliarus	kal̠l̠iaɾʊs̠
callichorus	kal̠l̠ɪkʰɔɾʊs̠
callidulus	kal̠l̠ɪd̪ʊɫ̪ʊs̠
callidus	kal̠l̠ɪd̪ʊs̠
callimus	kal̠l̠ɪmʊs̠
callinipaza	kal̠l̠ɪnɪpazza
callion	kal̠l̠iɔn
calliopē	kal̠l̠iɔpeː
calliopēa	kal̠l̠iɔpeːa
callipetalon	kal̠l̠ɪpɛt̪aɫ̪ɔn
callirhoē	kal̠l̠ɪɾɔeː
callirrhoē	kal̠l̠ɪrrɔeː
callis	kal̠l̠ɪs̠
callistō	kal̠l̠ɪs̠t̪oː
callium	kal̠l̠iʊ̃ˑ
callum	kal̠l̠ʊ̃ˑ
callōsitās	kal̠l̠oːs̠ɪt̪aːs̠
callōsus	kal̠l̠oːs̠ʊs̠
calor	kaɫ̪ɔr
calos	kaɫ̪ɔs̠
calpar	kaɫ̪par
calpurnius	kaɫ̪pʊrniʊs̠
calpē	kaɫ̪peː
caluconēs	kaɫ̪ʊkɔneːs̠
calumnia	kaɫ̪ʊmnia
calumnior	kaɫ̪ʊmniɔr
calumniātor	kaɫ̪ʊmniaːt̪ɔr
calumniātrīx	kaɫ̪ʊmniaːt̪ɾiːks̠
calve	kaɫ̪wɛ
calventius	kaɫ̪wɛn̪t̪iʊs̠
calveō	kaɫ̪weoː
calvisius	kaɫ̪wɪs̠iʊs̠
calvisiāna	kaɫ̪wɪs̠iaːna
calvitium	kaɫ̪wɪt̪iʊ̃ˑ
calvitiēs	kaɫ̪wɪt̪ieːs̠
calvor	kaɫ̪wɔr
calvus	kaɫ̪wʊs̠
calvāria	kaɫ̪waːɾia
calvās	kaɫ̪waːs̠
calvī	kaɫ̪wiː
calvō	kaɫ̪woː
calvōs	kaɫ̪woːs̠
calycadnus	kal̪ʏkad̪nʊs̠
calycinus	kal̪ʏkɪnʊs̠
calydōn	kal̪ʏd̪oːn
calymna	kal̪ʏmna
calypsō	kal̪ʏps̠oː
calypsōn	kal̪ʏps̠oːn
calypsūs	kal̪ʏps̠uːs̠
calyptra	kal̪ʏpt̪ɾa
calyx	kal̪ʏks̠
calātiō	kaɫ̪aːt̪ioː
calēdonia	kaɫ̪eːd̪ɔnia
calēdonius	kaɫ̪eːd̪ɔniʊs̠
calēla	kaɫ̪eːɫ̪a
calēns	kaɫ̪ẽːs̠
calēnus	kaɫ̪eːnʊs̠
calētēs	kaɫ̪eːt̪eːs̠
calīpha	kal̪iːpʰa
calō	kaɫ̪oː
calōrificus	kaɫ̪oːɾɪfɪkʊs̠
calōrātus	kaɫ̪oːɾaːt̪ʊs̠
camactulicī	kamakt̪ʊl̪ɪkiː
camara	kamaɾa
camaracum	kamaɾakʊ̃ˑ
camarat	kamaɾat̪
camarā	kamaɾaː
camarās	kamaɾaːs̠
camarīna	kamaɾiːna
camarītae	kamaɾiːt̪ae̯
cambalidus	kambal̪ɪd̪ʊs̠
cambium	kambiʊ̃ˑ
cambiāre	kambiaːɾɛ
cambodicus	kambɔd̪ɪkʊs̠
cambolectrī	kambɔɫ̪ɛkt̪ɾiː
cambosicus	kambɔs̠ɪkʊs̠
cambra	kambɾa
cambria	kambɾia
cambricus	kambɾɪkʊs̠
cambriānus	kambɾiaːnʊs̠
cambrās	kambɾaːs̠
cambrēnsis	kambɾẽːs̠ɪs̠
cambȳsēs	kambyːs̠eːs̠
camella	kamɛl̠l̠a
camerat	kamɛɾat̪
cameria	kamɛɾia
camerius	kamɛɾiʊs̠
camerlingus	kamɛrl̪ɪŋɡʊs̠
cameronēnsis	kamɛɾɔnẽːs̠ɪs̠
cameroonēnsis	kamɛɾoːnẽːs̠ɪs̠
camerunēnsis	kamɛɾʊnẽːs̠ɪs̠
camerā	kamɛɾaː
camerāre	kamɛɾaːɾɛ
camerārius	kamɛɾaːɾiʊs̠
camerās	kamɛɾaːs̠
camerāte	kamɛɾaːt̪ɛ
camerātiō	kamɛɾaːt̪ioː
camerātō	kamɛɾaːt̪oː
camerāvī	kamɛɾaːwiː
camerīnum	kamɛɾiːnʊ̃ˑ
camerō	kamɛɾoː
camesēs	kamɛs̠eːs̠
camissarēs	kamɪs̠s̠aɾeːs̠
cammarus	kammaɾʊs̠
camminō	kammɪnoː
cammīnus	kammiːnʊs̠
cammīnō	kammɪnoː
campaspē	kampas̠peː
campester	kampɛs̠t̪ɛr
campestris	kampɛs̠t̪ɾɪs̠
campicellum	kampɪkɛl̠l̠ʊ̃ˑ
campicolus	kampɪkɔɫ̪ʊs̠
campodūnum	kampɔd̪uːnʊ̃ˑ
campsa	kamps̠a
campsō	kamps̠oː
camptaulēs	kampt̪au̯ɫ̪eːs̠
camptēr	kampt̪eːr
campus	kampʊs̠
campylus	kampʏɫ̪ʊs̠
campāniam	kampaːniãˑ
campānula	kampaːnʊɫ̪a
campānus	kampaːnʊs̠
campānōrum	kampaːnoːɾʊ̃ˑ
camulodūnum	kamʊɫ̪ɔd̪uːnʊ̃ˑ
camum	kamʊ̃ˑ
camunnī	kamʊnniː
camur	kamʊr
camēlidae	kameːl̪ɪd̪ae̯
camēlopardalis	kameːɫ̪ɔpard̪al̪ɪs̠
camēlopardalus	kameːɫ̪ɔpard̪al̪ɪs̠
camēlopardus	kameːɫ̪ɔpard̪ʊs̠
camēlus	kameːɫ̪ʊs̠
camīcus	kamiːkʊs̠
camīnus	kamiːnʊs̠
camōnius	kamoːniʊs̠
canadēnsis	kanad̪ẽːs̠ɪs̠
canaitis	kanaɪt̪ɪs̠
canarinus	kanaɾɪnʊs̠
canariēnsis	kanaɾiẽːs̠ɪs̠
canariī	kanaɾiiː
cancamum	kaŋkamʊ̃ˑ
cancellus	kaŋkɛl̠l̠ʊs̠
cancellārius	kaŋkɛl̠l̠aːɾiʊs̠
cancellī	kaŋkɛl̠l̠iː
cancellō	kaŋkɛl̠l̠oː
cancer	kaŋkɛr
cancrifōrmis	kaŋkɾɪfoːrmɪs̠
candaulēs	kan̪d̪au̯ɫ̪eːs̠
candefaciō	kan̪d̪ɛfakioː
candentia	kan̪d̪ɛn̪t̪ia
candeī	kan̪d̪eiː
candeō	kan̪d̪eoː
candicō	kan̪d̪ɪkoː
candidus	kan̪d̪ɪd̪ʊs̠
candificō	kan̪d̪ɪfɪkoː
candor	kan̪d̪ɔr
candyba	kan̪d̪ʏba
candānum	kan̪d̪aːnʊ̃ˑ
candēla	kan̪d̪eːɫ̪a
candēlāber	kan̪d̪eːɫ̪aːbɛr
candēlābra	kan̪d̪eːɫ̪aːbɾa
candēlābrum	kan̪d̪eːɫ̪aːbɾʊ̃ˑ
candēlābrus	kan̪d̪eːɫ̪aːbɾʊs̠
candēlābrārius	kan̪d̪eːɫ̪aːbɾaːɾiʊs̠
candēscō	kan̪d̪eːs̠koː
candētum	kan̪d̪eːt̪ʊ̃ˑ
cane	kanɛ
canere	kaneːɾɛ
canere	kanɛɾɛ
canicae	kanɪkae̯
canifōrmis	kanɪfoːrmɪs̠
canis	kanɪs̠
canistellum	kanɪs̠t̪ɛl̠l̠ʊ̃ˑ
canistrilūdium	kanɪs̠t̪ɾɪɫ̪uːd̪iʊ̃ˑ
canistrum	kanɪs̠t̪ɾʊ̃ˑ
cannabinus	kannabɪnʊs̠
cannabius	kannabiʊs̠
cannabum	kannabʊ̃ˑ
cannabās	kannabaːs̠
cannabīs	kannabiːs̠
cannadicus	kannad̪ɪkʊs̠
canneus	kanneʊs̠
canninefātēs	kannɪnɛfaːt̪eːs̠
cannula	kannʊɫ̪a
cannētum	kanneːt̪ʊ̃ˑ
canonicus	kanɔnɪkʊs̠
canonista	kanɔnɪs̠t̪a
cantabricus	kan̪t̪abɾɪkʊs̠
cantabrigiēnsis	kan̪t̪abɾɪɡiẽːs̠ɪs̠
cantabrum	kan̪t̪abɾʊ̃ˑ
cantabrus	kan̪t̪abɾʊs̠
cantabrī	kan̪t̪abɾiː
cantabās	kan̪t̪abaːs̠
cantanus	kan̪t̪anʊs̠
cantharis	kan̪t̪ʰaɾɪs̠
cantharus	kan̪t̪ʰaɾʊs̠
canticum	kan̪t̪ɪkʊ̃ˑ
cantilius	kan̪t̪ɪl̪iʊs̠
cantilēna	kan̪t̪ɪɫ̪eːna
cantiocaptae	kan̪t̪iɔkapt̪ae̯
cantitō	kan̪t̪ɪt̪oː
cantium	kan̪t̪iʊ̃ˑ
cantiō	kan̪t̪ioː
cantonēnsis	kan̪t̪ɔnẽːs̠ɪs̠
cantrīx	kan̪t̪ɾiːks̠
cantus	kan̪t̪ʊs̠
cantābilis	kan̪t̪aːbɪl̪ɪs̠
cantābundus	kan̪t̪aːbʊn̪d̪ʊs̠
cantāmen	kan̪t̪aːmɛn
cantātis	kan̪t̪aːt̪ɪs̠
cantātiō	kan̪t̪aːt̪ioː
cantātrīx	kan̪t̪aːt̪ɾiːks̠
cantātus	kan̪t̪aːt̪ʊs̠
cantātīs	kan̪t̪aːt̪iːs̠
cantāverimus	kan̪t̪aːwɛɾiːmʊs̠
cantāverimus	kan̪t̪aːwɛɾɪmʊs̠
cantāveris	kan̪t̪aːwɛɾiːs̠
cantāveris	kan̪t̪aːwɛɾɪs̠
cantāveritis	kan̪t̪aːwɛɾiːt̪ɪs̠
cantāveritis	kan̪t̪aːwɛɾɪt̪ɪs̠
canulēius	kanʊɫ̪eːjʊs̠
canusium	kanʊs̠iʊ̃ˑ
canālicius	kanaːl̪ɪkiʊs̠
canālicula	kanaːl̪ɪkʊɫ̪a
canāliculus	kanaːl̪ɪkʊɫ̪ʊs̠
canāliculātus	kanaːl̪ɪkʊɫ̪aːt̪ʊs̠
canālis	kanaːl̪ɪs̠
canāliēnsis	kanaːl̪iẽːs̠ɪs̠
canāria	kanaːɾia
canāria	kanaːɾiaː
canārius	kanaːɾiʊs̠
canāriās	kanaːɾiaːs̠
canāriō	kanaːɾioː
canāriōs	kanaːɾioːs̠
canās	kanaːs̠
canātim	kanaːt̪ɪ̃ˑ
canīculāris	kaniːkʊɫ̪aːɾɪs̠
canīnius	kaniːniʊs̠
canīnus	kaniːnʊs̠
canōrus	kanoːɾʊs̠
capanēus	kapaneːʊs̠
capara	kapaɾa
capella	kapɛl̠l̠a
capellus	kapɛl̠l̠ʊs̠
caper	kapɛr
capessō	kapɛs̠s̠oː
capharnāum	kapʰarnaːʊ̃ˑ
caphrena	kapʰɾɛna
caphāreum	kapʰaːɾeu̯m
caphāreus	kapʰaːɾeu̯s̠
caphēreus	kapʰeːɾeu̯s̠
capillus	kapɪl̠l̠ʊs̠
capillāceus	kapɪl̠l̠aːkeʊs̠
capillāgō	kapɪl̠l̠aːɡoː
capillāmentum	kapɪl̠l̠aːmɛn̪t̪ʊ̃ˑ
capillāre	kapɪl̠l̠aːɾɛ
capillāris	kapɪl̠l̠aːɾɪs̠
capillātiō	kapɪl̠l̠aːt̪ioː
capillātus	kapɪl̠l̠aːt̪ʊs̠
capisa	kapɪs̠a
capissō	kapɪs̠s̠oː
capistrum	kapɪs̠t̪ɾʊ̃ˑ
capistērium	kapɪs̠t̪eːɾiʊ̃ˑ
capita	kapɪt̪a
capitilavium	kapɪt̪ɪɫ̪awiʊ̃ˑ
capitium	kapɪt̪iʊ̃ˑ
capitulum	kapɪt̪ʊɫ̪ʊ̃ˑ
capitulātiō	kapɪt̪ʊɫ̪aːt̪ioː
capitālis	kapɪt̪aːl̪ɪs̠
capitātiō	kapɪt̪aːt̪ioː
capitātus	kapɪt̪aːt̪ʊs̠
capitō	kapɪt̪oː
capitōlias	kapɪt̪oːl̪ias̠
capitōlium	kapɪt̪oːl̪iʊ̃ˑ
capitōlīnus	kapɪt̪oːl̪iːnʊs̠
capitōne	kapɪt̪oːnɛ
capitōnī	kapɪt̪oːniː
capnos	kapnɔs̠
capnītis	kapniːt̪ɪs̠
caporī	kapɔɾiː
capotēs	kapɔt̪eːs̠
cappella	kappɛl̠l̠a
cappellānus	kappɛl̠l̠aːnʊs̠
capra	kapɾa
caprea	kapɾea
caprifolium	kapɾɪfɔl̪iʊ̃ˑ
caprimulgus	kapɾɪmʊɫ̪ɡʊs̠
capripēs	kapɾɪpeːs̠
caprus	kapɾʊs̠
caprāria	kapɾaːɾia
caprārius	kapɾaːɾiʊs̠
caprās	kapɾaːs̠
caprīnus	kapɾiːnʊs̠
capsa	kaps̠a
capsacēs	kaps̠akeːs̠
capsilāgō	kaps̠ɪɫ̪aːɡoː
capsula	kaps̠ʊɫ̪a
capsulātus	kaps̠ʊɫ̪aːt̪ʊs̠
captiōsus	kapt̪ioːs̠ʊs̠
captus	kapt̪ʊs̠
captīvitās	kapt̪iːwɪt̪as̠
captīvus	kapt̪iːwʊs̠
captīvātiō	kapt̪iːwaːt̪ioː
captīvātor	kapt̪iːwaːt̪ɔr
captūra	kapt̪uːɾa
captūre	kapt̪uːɾɛ
capuchīnus	kapʊkʰiːnʊs̠
capucinus	kapʊkɪnʊs̠
capulāris	kapʊɫ̪aːɾɪs̠
caput	kapʊt̪
capācitās	kapaːkɪt̪aːs̠
capāx	kapaːks̠
capēdō	kapeːd̪oː
capēnsis	kapẽːs̠ɪs̠
caracalla	kaɾakal̠l̠a
caracter	kaɾakt̪ɛr
caracēnī	kaɾakeːniː
caragius	kaɾaɡiʊs̠
caralis	kaɾal̪ɪs̠
carambis	kaɾambɪs̠
carambucis	kaɾambʊkɪs̠
carana	kaɾana
carantonus	kaɾan̪t̪ɔnʊs̠
caranītis	kaɾaniːt̪ɪs̠
carastaseī	kaɾas̠t̪as̠eiː
caratacus	kaɾat̪akʊs̠
carbaseus	karbas̠eʊs̠
carbatina	karbat̪ɪna
carbula	karbʊɫ̪a
carbunculus	karbʊŋkʊɫ̪ʊs̠
carbōne	karboːnɛ
carbōnicus	karboːnɪkʊs̠
carbōnium	karboːniʊ̃ˑ
carbōnāria	karboːnaːɾia
carbōnārius	karboːnaːɾiʊs̠
carcasō	karkas̠oː
carcathiocerta	karkat̪ʰiɔkɛrt̪a
carcer	karkɛr
carchariās	karkʰaɾiaːs̠
carchēsium	karkʰeːs̠iʊ̃ˑ
carcina	karkɪna
carciniās	karkɪniaːs̠
carcinophagus	karkɪnɔpʰaɡʊs̠
carcinus	karkɪnʊs̠
carcinōma	karkɪnoːma
cardamylē	kard̪amʏɫ̪eː
cardava	kard̪awa
cardea	kard̪ea
cardia	kard̪ia
cardinālis	kard̪ɪnaːl̪ɪs̠
carduchī	kard̪ʊkʰiː
cardus	kard̪ʊs̠
carduus	kard̪ʊʊs̠
carduēlis	kard̪ʊeːl̪ɪs̠
carduētum	kard̪ʊeːt̪ʊ̃ˑ
cardō	kard̪oː
carente	kaɾɛn̪t̪ɛ
carentēs	kaɾɛn̪t̪eːs̠
careō	kaɾeoː
carfiāthum	karfiaːt̪ʰʊ̃ˑ
carfulēnus	karfʊɫ̪eːnʊs̠
caribaeus	kaɾɪbae̯ʊs̠
caribūtus	kaɾɪbuːt̪ʊs̠
caricus	kaɾɪkʊs̠
caricē	kaɾɪkeː
carine	kaɾɪnɛ
carinicollis	kaɾɪnɪkɔl̠l̠ɪs̠
carinus	kaɾɪnʊs̠
carinī	kaɾɪniː
carisa	kaɾɪs̠a
carisius	kaɾɪs̠iʊs̠
caristānius	kaɾɪs̠t̪aːniʊs̠
cariēs	kaɾieːs̠
cariōsus	kaɾioːs̠ʊs̠
carlsbergēnsis	karɫ̪s̠bɛrɡẽːs̠ɪs̠
carlshamnia	karɫ̪s̠hamnia
carmen	karmɛn
carminandī	karmɪnan̪d̪iː
carminandō	karmɪnan̪d̪oː
carminum	karmɪnʊ̃ˑ
carminābundus	karmɪnaːbʊn̪d̪ʊs̠
carmināverimus	karmɪnaːwɛɾiːmʊs̠
carmināverimus	karmɪnaːwɛɾɪmʊs̠
carmināveris	karmɪnaːwɛɾiːs̠
carmināveris	karmɪnaːwɛɾɪs̠
carmināveritis	karmɪnaːwɛɾiːt̪ɪs̠
carmināveritis	karmɪnaːwɛɾɪt̪ɪs̠
carnaticus	karnat̪ɪkʊs̠
carne	karnɛ
carneadēs	karnead̪eːs̠
carneus	karneʊs̠
carnifex	karnɪfɛks̠
carniger	karnɪɡɛr
carnis	karnɪs̠
carnivorus	karnɪwɔɾʊs̠
carnus	karnʊs̠
carnālis	karnaːl̪ɪs̠
carnārius	karnaːɾiʊs̠
carnōsa	karnoːs̠a
carnōsa	karnoːs̠aː
carnōse	karnoːs̠ɛ
carnōsus	karnoːs̠ʊs̠
carnōsās	karnoːs̠aːs̠
carnōsī	karnoːs̠iː
carnōsō	karnoːs̠oː
carnōsōs	karnoːs̠oːs̠
carnūtēs	karnuːt̪eːs̠
carocotinum	kaɾɔkɔt̪ɪnʊ̃ˑ
carolicoronia	kaɾɔl̪ɪkɔɾɔnia
carolicoroniēnsibus	kaɾɔl̪ɪkɔɾɔniẽːs̠ɪbʊs̠
carolicoroniēnsis	kaɾɔl̪ɪkɔɾɔniẽːs̠ɪs̠
carolus	kaɾɔɫ̪ʊs̠
carolīniānus	kaɾɔl̪iːniaːnʊs̠
carolīniēnsis	kaɾɔl̪iːniẽːs̠ɪs̠
carolīnus	kaɾɔl̪iːnʊs̠
carolīnēnsis	kaɾɔl̪iːnẽːs̠ɪs̠
caronī	kaɾɔniː
caros	kaɾɔs̠
caroticus	kaɾɔt̪ɪkʊs̠
carotovorus	kaɾɔt̪ɔwɔɾʊs̠
carpasia	karpas̠ia
carpasinus	karpas̠ɪnʊs̠
carpasum	karpas̠ʊ̃ˑ
carpathum	karpat̪ʰʊ̃ˑ
carpathus	karpat̪ʰʊs̠
carpatinus	karpat̪ɪnʊs̠
carpe	karpɛ
carpentoracte	karpɛn̪t̪ɔɾakt̪ɛ
carpentum	karpɛn̪t̪ʊ̃ˑ
carpetānī	karpɛt̪aːniː
carphatī	karpʰat̪iː
carphos	karpʰɔs̠
carpinus	karpɪnʊs̠
carpinātius	karpɪnaːt̪iʊs̠
carpisculus	karpɪs̠kʊɫ̪ʊs̠
carptim	karpt̪ɪ̃ˑ
carpus	karpʊs̠
carpālis	karpaːl̪ɪs̠
carricō	karrɪkoː
carrocō	karrɔkoː
carrus	karrʊs̠
carrīnās	karriːnaːs̠
carseolī	kars̠eɔl̪iː
carta	kart̪a
cartallus	kart̪al̠l̠ʊs̠
cartana	kart̪ana
carteius	kart̪ɛjjʊs̠
cartesius	kart̪ɛs̠iʊs̠
cartesiānus	kart̪ɛs̠iaːnʊs̠
carthaea	kart̪ʰae̯a
carthāginiēnsis	kart̪ʰaːɡɪniẽːs̠ɪs̠
carthāgō	kart̪ʰaːɡoː
cartibulum	kart̪ɪbʊɫ̪ʊ̃ˑ
cartilāgineus	kart̪ɪɫ̪aːɡɪneʊs̠
cartilāginōsus	kart̪ɪɫ̪aːɡɪnoːs̠ʊs̠
cartilāgō	kart̪ɪɫ̪aːɡoː
cartimandua	kart̪ɪman̪d̪ʊa
cartēia	kart̪eːia
carvetiī	karwɛt̪iiː
carvilius	karwɪl̪iʊs̠
caryae	kaɾyae̯
caryophyllon	kaɾyɔpʰʏl̠l̠ɔn
caryophyllus	kaɾyɔpʰʏl̠l̠ʊs̠
carystus	kaɾʏs̠t̪ʊs̠
caryōta	kaɾyoːt̪a
carē	kaɾeː
carē	kaːɾɛ
carēnē	kaɾeːneː
carēsus	kaɾeːs̠ʊs̠
carīna	kaɾiːna
carīnātus	kaɾiːnaːt̪ʊs̠
carīnō	kaɾiːnoː
carō	kaɾoː
carōta	kaɾoːt̪a
carūca	kaɾuːka
carūra	kaɾuːɾa
carūsa	kaɾuːs̠a
casa	kas̠a
casachicus	kas̠akʰɪkʊs̠
casam	kas̠ãˑ
casanī	kas̠aniː
cascantum	kas̠kan̪t̪ʊ̃ˑ
cascellius	kas̠kɛl̠l̠iʊs̠
cascus	kas̠kʊs̠
casella	kas̠ɛl̠l̠a
casellula	kas̠ɛl̠l̠ʊɫ̪a
casia	kas̠ia
casina	kas̠ɪna
casina	kas̠ɪnaː
casinomagus	kas̠ɪnɔmaɡʊs̠
casius	kas̠iʊs̠
casmenae	kas̠mɛnae̯
casmiricus	kas̠mɪɾɪkʊs̠
casmonātēs	kas̠mɔnaːt̪eːs̠
casnētum	kas̠neːt̪ʊ̃ˑ
casos	kas̠ɔs̠
caspasum	kas̠pas̠ʊ̃ˑ
casperia	kas̠pɛɾia
casperius	kas̠pɛɾiʊs̠
caspicus	kas̠pɪkʊs̠
cassandanē	kas̠s̠an̪d̪aneː
cassia	kas̠s̠ia
cassiopeia	kas̠s̠iɔpei̯a
cassius	kas̠s̠iʊs̠
cassivellaunus	kas̠s̠ɪwɛl̠l̠au̯nʊs̠
cassubicus	kas̠s̠ʊbɪkʊs̠
cassus	kas̠s̠ʊs̠
cassābundus	kas̠s̠aːbʊn̪d̪ʊs̠
cassīnus	kas̠s̠iːnʊs̠
cassīnēnsis	kas̠s̠iːnẽːs̠ɪs̠
cassīnō	kas̠s̠iːnoː
cassīta	kas̠s̠iːt̪a
castagnārētum	kas̠t̪aŋnaːɾeːt̪ʊ̃ˑ
castagnērētum	kas̠t̪aŋneːɾeːt̪ʊ̃ˑ
castaldus	kas̠t̪aɫ̪d̪ʊs̠
castaldī	kas̠t̪aɫ̪d̪iː
castaldō	kas̠t̪aɫ̪d̪oː
castalia	kas̠t̪al̪ia
castanea	kas̠t̪anea
castaneolus	kas̠t̪aneɔɫ̪ʊs̠
castaneus	kas̠t̪aneʊs̠
castaneārius	kas̠t̪aneaːɾiʊs̠
castaniētum	kas̠t̪anieːt̪ʊ̃ˑ
castanārius	kas̠t̪anaːɾiʊs̠
castanārētum	kas̠t̪anaːɾeːt̪ʊ̃ˑ
castanētum	kas̠t̪aneːt̪ʊ̃ˑ
caste	kas̠t̪ɛ
castella	kas̠t̪ɛl̠l̠a
castellae	kas̠t̪ɛl̠l̠ae̯
castellam	kas̠t̪ɛl̠l̠ãˑ
castellum	kas̠t̪ɛl̠l̠ʊ̃ˑ
casticus	kas̠t̪ɪkʊs̠
castificō	kas̠t̪ɪfɪkoː
castilium	kas̠t̪ɪl̪iʊ̃ˑ
castitās	kas̠t̪ɪt̪aːs̠
castor	kas̠t̪ɔr
castoreum	kas̠t̪ɔɾeʊ̃ˑ
castra	kas̠t̪ɾa
castramētor	kas̠t̪ɾameːt̪ɔr
castricius	kas̠t̪ɾɪkiʊs̠
castrimoenium	kas̠t̪ɾɪmoe̯niʊ̃ˑ
castrum	kas̠t̪ɾʊ̃ˑ
castrātus	kas̠t̪ɾaːt̪ʊs̠
castrēnsis	kas̠t̪ɾẽːs̠ɪs̠
castrīs	kas̠t̪ɾiːs̠
castrō	kas̠t̪ɾoː
castulō	kas̠t̪ʊɫ̪oː
castus	kas̠t̪ʊs̠
castē	kas̠t̪eː
castīgātiō	kas̠t̪iːɡaːt̪ioː
castīgō	kas̠t̪iːɡoː
castō	kas̠t̪oː
casuaga	kas̠ʊaɡa
casuentus	kas̠ʊɛn̪t̪ʊs̠
casula	kas̠ʊɫ̪a
casventum	kas̠wɛn̪t̪ʊ̃ˑ
casālia	kas̠aːl̪ia
casālis	kas̠aːl̪ɪs̠
casālēs	kas̠aːɫ̪eːs̠
casānicus	kas̠aːnɪkʊs̠
casāria	kas̠aːɾia
casāria	kas̠aːɾiaː
casārius	kas̠aːɾiʊs̠
casātius	kas̠aːt̪iʊs̠
casīna	kas̠iːna
casīna	kas̠iːnaː
casīnus	kas̠iːnʊs̠
casīnēnse	kas̠iːnẽːs̠ɛ
casīnēnsis	kas̠iːnẽːs̠ɪs̠
casīnō	kas̠iːnoː
casīnōs	kas̠iːnoːs̠
cata	kat̪a
catabānī	kat̪abaːniː
catabēda	kat̪abeːd̪a
cataegis	kat̪ae̯ɡɪs̠
catalaunī	kat̪aɫ̪au̯niː
catalinēnsis	kat̪al̪ɪnẽːs̠ɪs̠
catalānus	kat̪aɫ̪aːnʊs̠
catalī	kat̪al̪iː
catamītus	kat̪amiːt̪ʊs̠
catanancē	kat̪anaŋkeː
cataonia	kat̪aɔnia
cataphractus	kat̪apʰɾakt̪ʊs̠
cataplasma	kat̪apɫ̪as̠ma
cataplasmō	kat̪apɫ̪as̠moː
catapulta	kat̪apʊɫ̪t̪a
cataracta	kat̪aɾakt̪a
cataractonium	kat̪aɾakt̪ɔniʊ̃ˑ
catarrhactēs	kat̪arrakt̪eːs̠
catarrheī	kat̪arreiː
catarrhālis	kat̪arraːl̪ɪs̠
catasceua	kat̪as̠keu̯a
catasceuē	kat̪as̠keu̯eː
catascopium	kat̪as̠kɔpiʊ̃ˑ
catasta	kat̪as̠t̪a
catastropha	kat̪as̠t̪ɾɔpʰa
catellīs	kat̪ɛl̠l̠iːs̠
caterva	kat̪ɛrwa
catervārius	kat̪ɛrwaːɾiʊs̠
catharticus	kat̪ʰart̪ɪkʊs̠
cathedra	kat̪ʰɛd̪ra
cathedra	kat̪ʰɛd̪ɾa
cathedrālis	kat̪ʰɛd̪ɾaːl̪ɪs̠
catheī	kat̪ʰeiː
catholicus	kat̪ʰɔl̪ɪkʊs̠
catilius	kat̪ɪl̪iʊs̠
catilīnārius	kat̪ɪl̪iːnaːɾiʊs̠
catius	kat̪iʊs̠
cativolcus	kat̪ɪwɔɫ̪kʊs̠
catochītis	kat̪ɔkʰiːt̪ɪs̠
catorchītēs	kat̪ɔrkʰiːt̪eːs̠
catoslugī	kat̪ɔs̠ɫ̪ʊɡiː
catta	kat̪t̪a
cattus	kat̪t̪ʊs̠
catulaster	kat̪ʊɫ̪as̠t̪ɛr
catulliānus	kat̪ʊl̠l̠iaːnʊs̠
catullus	kat̪ʊl̠l̠ʊs̠
catulus	kat̪ʊɫ̪ʊs̠
caturīgēs	kat̪ʊɾiːɡɛs̠
catēcheticus	kat̪eːkʰɛt̪ɪkʊs̠
