جي	ɟˈeː
سروي	sˈʌrʋi
سيٽ	sˈeːʈ
سپريم	sˌəprˈiːm
سگهو	səɡˈʌhoː
شراب	ʃərˈaːb
ــ	lˈetəcʰˈahacˈaːrbˈʊr.ilˈetəcʰˈahacˈaːrbˈʊr.i
لاڳاپا	laːɡˈaːpaː
لکيون	ləkʰjˈoːn
ملا	mˈʌlaː
ميداني	meːdˈaːni
نوابشاهه	nˈaʋaːbʃaːhˌəh
نيڪال	neːkˈaːl
هٿيار	hətʰjˈaːr
وهندو	ʋəhˈʌndoː
وڪرو	ʋəkˈʌroː
ٽيڪنالاجي	ʈˌeːknaːlˈaːɟi
پاڙون	paːr.ˈoːn
پراڪرت	pˌəraːkərˈʌt̪
ڇوڪري	cʰoːkˈʌri
ڌرمي	dʰərˈʌmi
ڏهين	ɖəhˈiːn
ڏيکاريل	ɖeːkʰˈaːrjal
ڪيفيت	keːfˈiːt̪
گئس	ɡˈʌs
گهاٽي	ɡəhˈaːʈi
آسان	aːsˈaːn
اصلاح	ˌɪʂlˈaːh
الحق	ˌaləhˈʌq
اھميت	ˌahmˈiːt̪
بشير	bəʃˈiːr
بلوچن	bˌəloːcˈʌn
بنو	bˈʌnoː
تصديق	t̪ˌəʂdˈiːq
جهڙن	ɟˌəhər.ˈʌn
حب	hˈʌb
خون	xˈoːn
درج	dˈarɟ
دوستي	dˈoːst̪i
رستن	rəst̪ˈʌn
رضا	rˈʌzaː
سانگي	sˈaːnɡi
سگهون	sˌəɡhˈuːn
صدارت	ʂˌədaːrˈʌt̪
عبدالقادر	ˌabdˌaːlqaːdˈʌr
فائديمند	fˌaːɪdimˈʌnd
ماڳن	maːɡˈʌn
محققن	mʊhˈaqɪqn
مرڪب	mˌərəkˈʌb
مشين	məʃˈiːn
مقبري	mˌəqəbˈʌri
منظم	mˌənəʐˈʌm
ناس	nˈaːs
هري	hˈʌri
هوء	hˈoː
يزيد	jəzˈiːd
ٻيڙي	bˈeːr.i
ڄاڻو	ɟˈaːɳoː
ڦٽي	pʰˈʌʈi
گرامر	ɡˌəraːmˈʌr
گهٽتائي	ɡˌəhəʈt̪ˈaːi
گهڙي	ɡəhˈʌr.i
آئس	aːˈɪs
آريا	ˈaːrjaː
آمدني	ˌaːmədˈʌni
آڪسيجن	ˌaːksiɟˈʌn
تبديليون	t̪ˌəbdiljˈoːn
جمهوري	ɟˌəmhˈuːri
جهنگلي	ɟˌəhənɡˈʌli
جهڙيون	ɟˌəhər.jˈoːn
خانداني	xaːndˈaːni
خطرناڪ	xˌətərnˈaːk
راجپوتن	rˌaːɟpoːt̪ˈʌn
ري	rˈeː
رھڻ	rəhˈʌɳ
زبانن	zəbˈaːnən
زمان	zəmˈaːn
سني	sˈʌni
سيٽون	seːʈˈoːn
سکن	səkʰˈʌn
عملدار	ˌaməldˈaːr
عھدي	ahˈʌdi
لاڳيتو	laːɡˈiːt̪oː
لڳندا	ləɡˈʌndaː
ماتحت	mˌaːt̪əhˈʌt̪
مارڪس	mˌaːrəkˈʌs
ماڪڙ	maːkˈʌr.
مروج	mərˈoːɟ
مٿاڇري	mˌətʰaːcʰˈʌri
مٿن	məʈˈʌn
ناڻي	nˈaːɳi
هلڪي	həlˈʌki
ٻوٽا	bˈoːʈaː
پشاور	pˌəʃaːˈoːr
چانسلر	cˌaːnsəlˈʌr
چونڊي	cˈoːnɖi
کهاوڙ	kʰˌəhaːˈoːr.
ڪامل	kaːmˈʌl
ڪلب	kəlˈʌb
ڪمي	kˈʌmi
ڪنڊن	kənɖˈʌn
ڪيتري	keːt̪ˈʌri
گذارڻ	ɡˌəzaːrˈʌɳ
گذر	ɡəzˈʌr
آبپاشي	ˌaːbpˈaːʃi
آفيسرن	ˌaːfisərˈʌn
احترام	ˌɛht̪ərˈaːm
اسماعيلي	ˌasmˌaːaːˈiːli
اصطلاحن	ˌɪʂtɪlaːhˈʌn
الور	alˈoːr
انجمن	ˌanəɟəmˈʌn
اونهاري	ˌuːnhˈaːri
ايسوسيئيشن	ˌeːsoːsˌiːiʃˈʌn
ايمان	eːmˈaːn
برصغير	bˌərəʂɣˈiːr
بيحد	bˈeːhəd
تجارتي	t̪ˌəɟaːrˈʌt̪i
تجربو	t̪ˌəɟərbˈoː
تري	t̪ˈʌri
جڳھ	ɟəɡˈʌh
جھڙو	ɟəhˈʌr.oː
دارومدار	dˌaːroːmdˈaːr
رحيمداد	rˌəhimdˈaːd
رياستون	rjaːst̪ˈoːn
ساحلي	saːhˈʌli
سانوڻ	saːnˈoːɳ
سرائڪي	sˌəraːˈɪki
سڀا	sˈʌbʰaː
شعري	ʃˈaːri
فخر	fəxˈʌr
فلسطين	fˌələstˈiːn
فيصلي	feːʂˈʌli
لائن	laːˈɪn
مادري	maːdˈʌri
معاهدي	maːhˈʌdi
منظوم	mˌənʐˈuːm
مک	mˈʌkʰ
نسلن	nˌəsəlˈʌn
نيوز	njˈoːz
هرهڪ	hˌərəhˈʌk
وارث	ʋaːrˈʌs
واقعا	ʋˈaːqaː
ويهڻ	ʋeːhˈʌɳ
وڌندڙ	ʋˌədʰəndˈʌr.
ٺھڻ	ʈʰəhˈʌɳ
پليٽ	pəlˈiːʈ
پوٽو	pˈoːʈoː
ٿڌي	ʈˈʌdʰi
چاهه	caːhˈʌh
ڌاتو	dʰˈaːt̪oː
ڌرين	dʰərˈiːn
ڪلڪتي	kˌələkˈʌt̪i
ڪمانڊر	kˌəmaːnɖˈʌr
اصطلاحي	ˌɪʂtɪlˈaːhi
ترجما	t̪ˌərəɟˈʌmaː
تعاون	t̪aːˈoːn
جاکوڙ	ɟaːkʰˈoːr.
حملا	həmˈʌlaː
دمشق	dˌəməʃˈʌq
ديو	djˈoː
رومانوي	roːmˈaːnʋi
سپاهي	səpˈaːhi
شيدائي	ʃeːdˈaːi
عاشق	aːʃˈʌq
عاليشان	ˌaːliʃˈaːn
عمارتن	ˌamaːrət̪ˈʌn
فائدي	faːˈɪdi
قدامت	qˌədaːmˈʌt̪
قنڌار	qəndʰˈaːr
قيمتي	qeːmˈʌt̪i
لسانيات	lˌəsaːniˈaːt
ليکڪن	lˌeːkʰəkˈʌn
لڪي	lˈʌki
لڳن	ləɡˈʌn
لڳندي	ləɡˈʌndi
محترم	mˌəhət̪ərˈʌm
ميران	meːrˈaːn
نفرت	nˌəfərˈʌt̪
نڪرن	nˈɪkrn
هفتيوار	hˌəft̪jʋˈaːr
هيس	hˈeːs
هڻڻ	həɳˈʌɳ
ٺاهيا	ʈʰˈaːhjaː
ٻڪري	bəkˈʌri
پرچار	pərcˈaːr
ڇوڪرن	cʰˌoːkərˈʌn
ڇڏجي	cʰəɖˈʌɟi
ڊپ	ɖˈʌp
ڦٽن	pʰəʈˈʌn
ڪئنال	kənˈaːl
ڪئناڊا	kənˈaːɖaː
ڪاڇي	kˈaːcʰi
ڪورس	koːrˈʌs
ڪوٽڙي	koːʈˈʌr.i
گجراتي	ɡˌəɟrˈaːt̪i
گهوڙي	ɡəhˈoːr.i
ڳاڙهو	ɡaːr.ˈʌhoː
اباڻي	abˈaːɳi
اختياري	axt̪jˈaːri
انيڪ	anˈiːk
اهڃاڻ	ˌahəɲˈaːɳ
اهڙين	ˌahər.ˈiːn
بھتر	bˌəhət̪ˈʌr
خطري	xətˈʌri
دفاع	dˈɪfaː
دکن	dəkʰˈʌn
رانديگر	rˌaːndiɡˈʌr
روڪ	rˈoːk
روڪي	rˈoːki
ريسرچ	reːsˈʌrc
سرور	sərˈoːr
سليم	səlˈiːm
شاھه	ʃaːhˈʌh
علائقائي	ˌalaːɪqˈaːi
فيڊريشن	fˌeːɖriʃˈʌn
ماتا	mˈaːt̪aː
مت	mˈʌt̪
متحده	mʊtˈahɪdh
ميوزيم	mjoːzˈiːm
ميوي	mjʋˈeː
ناظم	naːʐˈʌm
نامزد	nˌaːməzˈʌd
نصاب	nəʂˈaːb
نقشو	nəqˈʌʃoː
نوٽ	nˈoːʈ
ويڙھ	ʋˈeːr.h
پهتي	pəhˈʌt̪i
پيغمبر	pˌeːɣəmbˈʌr
ڀاڄي	bʰˈaːɟi
ڀرتي	bʰərˈʌt̪i
ڇاپي	cʰˈaːpi
ڇيڙي	cʰˈeːr.i
ڦٽل	pʰəʈˈʌl
کيرٿر	kʰˌeːrəʈˈʌr
ڪارپوريشن	kˌaːrpˌoːriʃˈʌn
ڪجھه	kˌəɟəhˈʌh
ڪلچر	kˌələcˈʌr
ڪيريئر	kˌeːriˈɪr
گاجي	ɡˈaːɟi
آن	ˈaːn
ابي	abˈiː
اگهه	ˌaɡəhˈʌh
اھڙا	ahˈʌr.aː
بادشاهي	bˈaːdʃˌaːhi
بک	bˈʌkʰ
تاري	t̪ˈaːri
تباھ	t̪əbˈaːh
تلوار	t̪əlʋˈaːr
توازن	t̪ʋaːzˈʌn
جمهوريت	ɟˌəmhuːrˈiːt̪
جيڏو	ɟˈeːɖoː
خطرو	xətˈʌroː
راجائن	rˌaːɟaːˈɪn
رحه	rəhˈʌh
سخي	sˈʌxi
سٽن	səʈˈʌn
عرض	arˈʌz
عمارتون	ˌamaːrt̪ˈoːn
قابض	qaːbˈɪz
لائبريري	lˌaːɪbrˈiːri
لنگهي	lənɡˈʌhi
مجيد	məɟˈiːd
مٿو	mˈʌtʰoː
نتيجا	nət̪ˈiːɟaː
نوح	nˈoːh
وفاق	ʋəfˈaːq
وقف	ʋəqˈʌf
وڊيو	ʋˈʌɖjoː
يهودي	jəhˈoːdi
پس	pˈʌs
پڇڙ	pəcʰˈʌr.
پھچي	pəhˈʌci
ڀرپاسي	bʰˌərpˈaːsi
ڊپارٽمينٽ	ɖˌəpaːrˌəʈminˈʌʈ
ڏکيو	ɖˈʌkʰjoː
ڪرڻي	kərˈʌɳi
ڪلاسيڪل	kˌəlaːsikˈʌl
افسوس	ˌafsˈoːs
الاهي	alˈaːhi
انسانيت	ɪnsˈaːnit̪
اهوئي	ahˈoːi
ايڪٽ	eːkˈʌʈ
بناوٽ	bˌənaːˈoːʈ
بڻائڻ	bˌəɳaːˈɪɳ
تنقيدي	t̪ˌənqˈiːdi
تنگ	t̪ˈʌnɡ
جذبن	ɟˌəzəbˈʌn
جيسين	ɟeːsˈiːn
جپان	ɟəpˈaːn
ذخيرو	zəxˈiːroː
ربيع	rəbˈiː
سافٽ	saːfˈʌʈ
سببن	sˌəbəbˈʌn
سپر	səpˈʌr
شاهنواز	ʃˌaːhənʋˈaːz
شوري	ʃˈoːri
شي	ʃˈeː
طريقا	tərˈiːqaː
قابليت	qˌaːblˈiːt̪
مائٽن	maːʈˈʌn
مٽ	mˈʌʈ
نوعيت	nʋaːˈiːt̪
نگاري	nəɡˈaːri
وقتن	ʋˌəqət̪ˈʌn
ٺهرايو	ʈʰˌəhərˈaːjoː
ٺڪر	ʈʰəkˈʌr
ٽڪرين	ʈˌəkrˈiːn
پوزيشن	pˌoːziʃˈʌn
ڄاڻي	ɟˈaːɳi
ڇڏين	cʰəɖˈiːn
ڏوهه	ɖoːhˈʌh
ڪئين	kəˈiːn
گروھ	ɡərˈoːh
ابوالحسن	abʋˈaːləhˌəsən
از	ˈaz
باغن	bˈaːɣən
بدلائي	bˌədlˈaːi
تشريح	t̪əʃˈʌrih
تفصيلي	t̪ˌəfʂˈiːli
جذبي	ɟˌəzbˈiː
جناب	ɟənˈaːb
جيمس	ɟeːmˈʌs
حسام	həsˈaːm
حضور	həzˈoːr
خاتون	xaːt̪ˈoːn
داد	dˈaːd
سياح	sjˈaːh
صلاحيتن	ʂˌəlaːhit̪ˈʌn
فورس	foːrˈʌs
فيصلا	feːʂˈʌlaː
لوهه	loːhˈʌh
مارئي	maːrˈʌi
ماريو	mˈaːrjoː
ماٿري	maːʈˈʌri
معافي	mˈaːfi
ميرپور	mˌeːrpˈoːr
ميٽرڪ	mˌeːʈərˈʌk
ميڪسيڪو	mˌeːksˈiːkoː
مٽاسٽا	mˌəʈaːsˈʌʈaː
مڃي	mˈʌɲi
مکڻ	məkʰˈʌɳ
هونئن	hoːnˈʌn
هيٺيون	heːʈʰjˈoːn
وڌايو	ʋədʰˈaːjoː
يعقوب	jaːqˈoːb
يهودين	jˌəhoːdˈiːn
يونائيٽيڊ	jˌoːnaːiʈˈiːɖ
يڪدم	jˌəkədˈʌm
ٺهرائي	ʈʰˌəhərˈaːi
ٺيڪ	ʈʰˈeːk
ٻول	bˈoːl
پروڊيوسر	pˌəroːɖjoːsˈʌr
چونڊون	coːnɖˈoːn
کی	kʰˈeː
ڪاغذ	kaːɣˈʌz
ڪاٺيون	kaːʈʰjˈoːn
ڪور	kˈoːr
گهاٽو	ɡəhˈaːʈoː
گھربل	ɡʰˌərəbˈʌl
گھرو	ɡʰˈʌroː
ڳولي	ɡˈoːli
ابتڙ	ˌabət̪ˈʌr.
اختر	axt̪ˈʌr
ايڊيشن	ˌeːɖiʃˈʌn
بحر	bəhˈʌr
بلدياتي	bˌəldjˈaːt̪i
بندرگاهه	bˌəndərɡaːhˈʌh
بنهه	bˌənəhˈʌh
تجربن	t̪ˌəɟərəbˈʌn
تدريس	t̪ˌədrˈiːs
حقيقتن	hˌəqiqət̪ˈʌn
خراسان	xˌəraːsˈaːn
رجحان	rˌəɟhˈaːn
رحمت	rˌəhəmˈʌt̪
سرمست	sˌərəmˈʌst̪
سفير	səfˈiːr
سيوستان	sjoːst̪ˈaːn
سگهه	sˌəɡəhˈʌh
سگهڙ	sˌəɡəhˈʌr.
عنه	anˈʌh
عڪاسي	akˈaːsi
لهڻ	ləhˈʌɳ
لڳيون	ləɡjˈoːn
مائٽ	mˈaːʈ
محروم	mˌəhrˈuːm
مرضي	mərˈʌzi
معاويه	maːʋˈiːh
مقالو	məqˈaːloː
ميرپورخاص	mˌeːrpˌoːrxˈaːʂ
ميسر	meːsˈʌr
هيئن	hˈiːʌ̃
ٻير	bˈeːr
ٽارين	ʈaːrˈiːn
ٽڪرن	ʈˌəkərˈʌn
پاڙن	paːr.ˈʌn
پورٽ	poːrˈʌʈ
چارڻ	caːrˈʌɳ
چاڪر	caːkˈʌr
چن	cˈʌn
ڏيهي	ɖˈeːhi
ڪارڪردگي	kˌaːrəkərdˈʌɡi
ڪانهي	kaːnˈʌhi
ڪرشن	kˌərəʃˈʌn
ڪوفي	kˈoːfi
گاڏي	ɡˈaːɖi
گنج	ɡənˈʌɟ
گهربل	ɡˌəhərəbˈʌl
گوبند	ɡoːbˈʌnd
آس	ˈaːs
آچر	aːcˈʌr
آڇ	ˈaːcʰ
اترئين	ˌat̪ərˈiːn
ازم	azˈʌm
انجنيئر	ˌanəɟniˈɪr
انجنيئرنگ	ˌanəɟniˈɪrənɡ
بادشاهت	bˈaːdʃˌaːhət̪
بعضي	bˈaːzi
تجربا	t̪ˌəɟərbˈaː
تنوير	t̪ənʋˈiːr
جيوت	ɟjˈoːt̪
حمل	həmˈʌl
خانو	xˈaːnoː
خوشبودار	xˈʊʃbˈoːdaːr
درگاھ	dˌərɡˈaːh
رحيم	rəhˈiːm
رسالا	rəsˈaːlaː
سارو	sˈaːroː
سهڻا	səhˈʌɳaː
سينيٽ	seːnˈiːʈ
سٽون	səʈˈoːn
صديون	ʂədjˈoːn
صوفين	ʂoːfˈiːn
عبيدالله	abˈiːdaːlˌələh
فيلڊ	feːlˈʌɖ
قربان	qˌərbˈaːn
مخلوق	mˌəxlˈuːq
ملائڻ	mˌəlaːˈɪɳ
ملاح	mˈʌlaːh
منفرد	mˌənəfˈʌrd
منٽ	mənˈʌʈ
مهر	məhˈʌr
نارنگي	naːrˈʌnɡi
ناز	nˈaːz
نظرين	naʐˈarin
نياز	njˈaːz
نگران	nˌəɡrˈaːn
ورھاست	ʋˌərhˈaːst̪
وڙهڻ	ʋˌər.əhˈʌɳ
ٻوڏ	bˈoːɖ
ٻچا	bˈʌcaː
ٻڪريون	bˌəkrjˈoːn
ٽڪري	ʈəkˈʌri
ڀنڀور	bʰˌənbʰˈuːr
ڇپيا	cʰˈʌpjaː
ڊگھي	ɖˈʌɡʰi
ڏسندي	ɖɪsˈʌndi
کاتو	kʰˈaːt̪oː
ڪمار	kəmˈaːr
گريڊ	ɡərˈiːɖ
گنبذ	ɡənbˈʌz
آرمي	aːrˈʌmi
آڌار	aːdʰˈaːr
احتجاج	ˌɛht̪əɟˈaːɟ
اسڪاٽلينڊ	ˌaskˌaːʈlˈiːnɖ
الطاف	ˌaltˈaːf
انب	ˈanb
انصاري	ˌanʂˈaːri
ايڪڙن	ˌeːkər.ˈʌn
بئراج	bərˈaːɟ
بنائي	bənˈaːi
بنگالي	bənɡˈaːli
بيشمار	bˈeːʃmˌaːr
بيعت	bˈiːt̪
تجربي	t̪ˌəɟərbˈiː
تخليقي	t̪ˌəxlˈiːqi
جنسون	ɟˈɪnsuːn
خاموش	xaːmˈoːʃ
خاندانن	xˌaːndaːnˈʌn
خلا	xˈʌlaː
دائمي	daːˈɪmi
دفتر	dˌəfət̪ˈʌr
دورو	dˈoːroː
ساڙي	sˈaːr.i
سڀيتا	səbʰˈiːt̪aː
سڪل	səkˈʌl
شهنشاهه	ʃˌəhənʃaːhˈʌh
طبقو	təbˈʌqoː
طوفان	toːfˈaːn
طويل	tʋˈeːl
عبدالعزيز	ˌabdˌaːlaːzˈiːz
غريبن	ɣˌəribˈʌn
فنڪارن	fˌənkaːrˈʌn
فڪري	fəkˈʌri
قلمبند	qˌələmbˈʌnd
لڪل	ləkˈʌl
متن	mət̪ˈʌn
محفل	mˈɛhfˌɪl
مزاحمت	mˌəzaːhəmˈʌt̪
مزدور	mˌəzdˈuːr
معاف	mˈaːf
ملندا	məlˈʌndaː
مليون	məljˈoːn
مهاڳ	məhˈaːɡ
موزون	moːzˈoːn
موڪل	moːkˈʌl
ميجر	meːɟˈʌr
نج	nˈʌɟ
نسب	nəsˈʌb
نصيب	nəʂˈiːb
نفسيات	nˌəfsiˈaːt
نمائش	nˈʊmaːˈɪʃ
نڪرندا	nˈɪkrndaː
ورتا	ʋərˈʌt̪aː
يافته	jˌaːfət̪ˈʌh
ٽريننگ	ʈˌərinˈʌnɡ
ٽيهه	ʈeːhˈʌh
پاٽ	pˈaːʈ
پلو	pˈʌloː
پني	pˈʌni
پنھنجا	pənhnˈʌɟaː
ٿلهو	ʈəlˈʌhoː
ٿورا	tʰˈoːraː
ٿيس	tʰˈeːs
چيل	cˈeːl
ڪارخانا	kˌaːrxˈaːnaː
ڪاريگر	kˌaːriɡˈʌr
ڪردارن	kˌərdaːrˈʌn
ڪلهوڙا	kˌəlhˈuːr.aː
گيس	ɡˈeːs
ڳاڙها	ɡaːr.ˈʌhaː
ڳچ	ɡˈʌc
ھم	hˈʌm
اجتماعي	ˌɪɟtɪmaːˈaːi
اڳئين	ˌaɡˈiːn
بچڻ	bəcˈʌɳ
تياري	t̪jˈaːri
جزن	ɟəzˈʌn
جسمن	ɟˌəsəmˈʌn
جوهر	ɟoːhˈʌr
خيالي	xjˈaːli
دستاويز	dˌəst̪aːʋˈiːz
ديس	dˈeːs
رايل	rˈaːjal
روينيو	rʋˈeːnjoː
ريڊ	rˈeːɖ
ساهت	saːhˈʌt̪
سرفراز	sˌərəfrˈaːz
سمي	sˈʌmi
سيريز	seːrˈiːz
سپهه	sˌəpəhˈʌh
سڌارا	sədʰˈaːraː
شهرين	ʃˌəhərˈiːn
شورو	ʃˈoːroː
عدم	adˈʌm
عنصرن	ˌanəʂərˈʌn
عهدو	ahˈʌdoː
فائونڊيشن	fˌaːoːnɖiʃˈʌn
فارغ	faːrˈʌɣ
لوڪن	loːkˈʌn
ليڊر	leːɖˈʌr
ماکي	mˈaːkʰi
مثالي	məsˈaːli
مريدن	mˌəridˈʌn
ناصر	naːʂˈʌr
ننگرپارڪر	nˌənɡərpaːrəkˈʌr
نڪتا	nəkˈʌt̪aː
هلندا	həlˈʌndaː
هلچل	hˌələcˈʌl
واپارين	ʋˌaːpaːrˈiːn
وجهڻ	ʋˌəɟəhˈʌɳ
ورهاست	ʋˌərhˈaːst̪
يھودين	jˌəhoːdˈiːn
پاڙو	pˈaːr.oː
پبلشر	pˌəbələʃˈʌr
پراڻ	pərˈaːɳ
پريشان	pˌəriʃˈaːn
چاڙهي	caːr.ˈʌhi
ڍڪيل	ɖʰˈʌkjal
ڦڦڙن	pʰˌəpʰər.ˈʌn
ڪمري	kəmˈʌri
آرمينيا	ˌaːrmˈiːnjaː
آزمائي	ˌaːzmˈaːi
آفريڪي	ˌaːfrˈiːki
آهر	aːhˈʌr
بادشاه	bˈaːdʃˌaːh
بادشاهن	bˈaːdʃˌaːhən
باز	bˈaːz
باقاعده	bˈaːqˈaːjdh
بم	bˈʌm
جزا	ɟˈʌzaː
حڪومتن	hˌəkoːmət̪ˈʌn
خالص	xaːlˈʌʂ
دنگ	dˈʌnɡ
دوري	dˈoːri
ديرو	dˈeːroː
رجب	rəɟˈʌb
سائيٽ	saːˈiːʈ
سانگهڙ	sˌaːnɡəhˈʌr.
ساڻن	saːɳˈʌn
ساھ	sˈaːh
سفارتي	sˌəfaːrˈʌt̪i
سڪا	sˈʌkaː
سڪون	səkˈoːn
شاخن	ʃaːxˈʌn
شرف	ʃərˈʌf
صنفن	ʂˌənəfˈʌn
طبقاتي	tˌəbqˈaːt̪i
عيد	aˈiːd
غذا	ɣˈʌzaː
فاتح	fˌaːt̪ˈah
فروغ	fərˈoːɣ
ليلا	lˈeːlaː
ماحولياتي	mˌaːhoːljˈaːt̪i
ماھر	maːhˈʌr
مفهوم	mˌəfhˈuːm
ملائيشيا	mˌəlaːˈiːʃjaː
منع	mˈʌnaː
ميون	mjˈoːn
نئيگ	nəˈiːɡ
ناسي	nˈaːsi
نظاماڻي	nɪʐˈaːmaːɳˌiː
نوشهري	nˌoːʃəhˈʌri
هون	hˈoːn
هيرو	hˈeːroː
واڳون	ʋaːɡˈoːn
وغيرہ	ʋˌəɣirˈʌh
ويدن	ʋeːdˈʌn
ويس	ʋˈeːs
ويڪرو	ʋeːkˈʌroː
وڃائي	ʋəɲˈaːi
ٽوڙي	ʈˈoːr.i
ڀوري	bʰˈoːri
ڄائي	ɟˈaːi
چئني	cˈʌni
چيا	cjˈaː
ڏجن	ɖəɟˈʌn
کائيندو	kʰaːˈiːndoː
ڪٿان	kətʰˈaːn
ڪڍندا	kəɖʰˈʌndaː
گاج	ɡˈaːɟ
گريجوئيشن	ɡˌəriɟˌoːiʃˈʌn
ھوائي	hʋˈaːi
اجرڪ	ˌaɟərˈʌk
ارغونن	ˌarɣoːnˈʌn
اوسر	uːsˈʌr
اڪرم	ˌakərˈʌm
اڪيلي	akˈiːli
اھڙن	ˌahər.ˈʌn
بچيل	bacˈɪal
تاثر	t̪aːsˈʌr
تبديلين	t̪ˌəbdilˈiːn
تفسير	t̪ˌəfsˈiːr
توحيد	t̪oːhˈiːd
تير	t̪ˈeːr
تڪراري	t̪ˌəkrˈaːri
تڪميل	t̪əkˈʌmjal
جنسن	ɟˈɪnsn
جوڳو	ɟˈoːɡoː
رسمون	rˌəsmˈuːn
رليز	rəlˈiːz
زيور	zjˈoːr
سالياني	saːljˈaːni
سجاده	sˌəɟaːdˈʌh
سرون	sərˈoːn
سمجهندا	sˌəməɟəhˈʌndaː
سنڀالي	sˌənbʰˈaːli
سينگار	seːnɡˈaːr
سکيو	sˈʌkʰjoː
شيشي	ʃˈeːʃi
شڪاري	ʃəkˈaːri
صفائي	ʂəfˈaːi
صفحي	ʂəfˈʌhi
صوبيدار	ʂuːbˈiːdaːr
عقيدن	ˌaqidˈʌn
قابو	qaːbˈoː
قانونن	qˌaːnoːnˈʌn
قبرن	qˌəbərˈʌn
محصول	mˌəhʂˈuːl
مطالبو	mʊtˈaːlɪbˌoː
مظهر	mˌəʐəhˈʌr
مفادن	mˌəfaːdˈʌn
مڙني	mər.ˈʌni
نيويارڪ	njʋjaːrˈʌk
هٿي	hˈʌtʰi
ورثو	ʋərˈʌsoː
ويسٽ	ʋeːsˈʌʈ
ٽاريون	ʈaːrjˈoːn
پابند	paːbˈʌnd
ٿڙ	ʈˈʌr.
ڀرڳڙي	bʰˌərəɡˈʌr.i
ڌارين	dʰaːrˈiːn
ڏسو	ɖˈɪsoː
ڏيارڻ	ɖjaːrˈʌɳ
کڏ	kʰˈʌɖ
ڪبير	kəbˈiːr
ڪپڙن	kˌəpər.ˈʌn
گرام	ɡərˈaːm
گروهن	ɡˌəroːhˈʌn
گھڻ	ɡʰˈʌɳ
ڳايا	ɡˈaːjaː
ھندي	hˈʌndi
اس	ˈas
اشرف	ˌaʃərˈʌf
اضافي	ɪzˈaːfi
امتياز	ˌamt̪jˈaːz
اوج	ˈuːɟ
ب	bˈeː
بادشاھت	bˈaːdʃˌaːhət̪
بناوت	bˌənaːˈoːt̪
تاريخن	t̪ˌaːrixˈʌn
تقريب	t̪ˌəqrˈiːb
تلاش	t̪əlˈaːʃ
حادثي	haːdˈʌsi
دخل	dəxˈʌl
راڳي	rˈaːɡi
ريشمي	reːʃˈʌmi
رٿ	rˈʌʈ
ساوا	sˈaːʋaː
سلون	səlˈoːn
شريعت	ʃərˈiːt̪
شهزادي	ʃˌəhəzˈaːdi
شوڪت	ʃoːkˈʌt̪
شڪر	ʃəkˈʌr
شھيد	ʃəhˈiːd
طبعي	təbˈaːi
ظفر	ʐəfˈʌr
عبدالملڪ	ˌabdˌaːləməlˈʌk
فرمان	fˌərmˈaːn
فوجين	foːɟˈiːn
فون	fˈoːn
قادري	qaːdˈʌri
لوھ	lˈoːh
مترجم	mˌət̪ərəɟˈʌm
موري	mˈoːri
نازڪ	naːzˈʌk
ننڍڙن	nˌənəɖʰər.ˈʌn
نڪي	nˈʌki
وزيرن	ʋˌəzirˈʌn
وڍي	ʋˈʌɖʰi
يونيورسٽين	jˌoːnjoːrˌəsʈˈiːn
ٻيلا	bˈeːlaː
ٻٻر	bəbˈʌr
پڙهائڻ	pˌər.haːˈɪɳ
چاليهه	cˌaːlihˈʌh
ڦريون	pʰərjˈoːn
کلي	kʰˈʌli
کوليو	kʰˈoːljoː
ڪوبہ	koːbˈʌh
ڪوريا	kˈoːrjaː
ڪٽي	kˈʌʈi
ھجن	həɟˈʌn
ارادي	arˈaːdi
اگر	aɡˈʌr
تامل	t̪aːmˈʌl
ترجيح	t̪ərˈʌɟih
تھذيب	t̪ˌəhzˈiːb
جنگين	ɟənɡˈiːn
حميد	həmˈiːd
دائرو	daːˈɪroː
دلي	dˈʌli
دودي	dˈoːdi
ذهين	zəhˈiːn
رهواسي	rəhʋˈaːsi
رڌي	rˈʌdʰi
رھندي	rəhˈʌndi
سلام	səlˈaːm
سنئون	sˌənˈoːn
سنگيت	sənɡˈiːt̪
سولنگي	soːlˈʌnɡi
سگهندا	sˌəɡəhˈʌndaː
سڱ	səˈŋ̩
عاقل	aːqˈʌl
علحده	ˌaləhədˈʌh
فردن	fərdˈʌn
فعل	fˈaːl
قريب	qərˈiːb
ليکيو	lˈeːkʰjoː
لڏپلاڻ	lˌəɖəplˈaːɳ
مدرسن	mˌədərəsˈʌn
مذهبن	mˌəzəhəbˈʌn
ميري	mˈeːri
وجهندا	ʋˌəɟəhˈʌndaː
وجھي	ʋəɟˈʌhi
ويران	ʋeːrˈaːn
ٽيڪس	ʈeːkˈʌs
پائڻ	paːˈɪɳ
پڙهندو	pˌər.əhˈʌndoː
پڳ	pˈʌɡ
ڄاتو	ɟˈaːt̪oː
چنيسر	cˌənisˈʌr
ڇوجو	cʰˈoːɟoː
ڊيموڪريٽڪ	ɖˌeːmoːkriʈˈʌk
ڏور	ɖˈoːr
ڪارڪنن	kˌaːrəkənˈʌn
ڪرايائين	kˌəraːjaːˈiːn
ڪوھ	kˈoːh
ڪڇي	kˈʌcʰi
ڳائڻي	ɡaːˈɪɳi
