а	ɑ
досі	dosʲi
досі	dɔsʲi
доторкатися	dɔtɔrkɑtesʲɐ
доторкнутися	dɔtorknutesʲɐ
дофамін	dɔfɐmʲin
доходити	dɔxɔdete
дохід	doxʲid
доцільний	dot͡sʲilʲnei̯
дочка	dɔt͡ʃkɑ
дошка	dɔʃkɐ
дошкам	dɔʃkɐm
дошками	dɔʃkɐme
дошках	dɔʃkɐx
дошки	dɔʃke
дошко	dɔʃkɔ
дошкою	dɔʃkɔjʊ
дошку	dɔʃkʊ
дошці	dɔsʲt͡sʲi
дощ	dɔʃt͡ʃ
дощова	dɔʃt͡ʃɔʋɑ
дощовий	dɔʃt͡ʃɔʋɪi̯
дощок	dɔʃt͡ʃɔk
доїжджати	dɔjiʒd͡ʒɑte
доїти	dɔjite
доїхати	dɔjixɐte
дракон	drɐkɔn
драматургічний	drɐmɐtʊrɦʲit͡ʃnei̯
драматургія	drɐmɐtʊrɦʲijɐ
дратувати	drɐtʊʋɑte
древній	drɛu̯nʲii̯
дрижаки	dreʒɐkɪ
дрова	drɔʋɐ
дровця	drɔu̯t͡sʲɑ
друг	druɦ
друга	druɦɐ
друге	druɦe
другий	druɦei̯
другові	druɦɔʋʲi
другом	druɦɔm
другу	druɦʊ
друже	druʒe
дружелюбний	drʊʒelʲubnei̯
дружелюбніший	drʊʒelʲubnʲiʃei̯
дружина	drʊʒɪnɐ
дружити	drʊʒɪte
друзям	druzʲɐm
друзями	druzʲɐme
друзях	druzʲɐx
друзі	druzʲi
друзів	druzʲiu̯
друкарня	drʊkɑrnʲɐ
друкувати	drʊkʊʋɑte
друкуватися	drʊkʊʋɑtesʲɐ
дрібний	dʲrʲibnɪi̯
дрівця	dʲrʲiu̯t͡sʲɑ
дріжджі	dʲrʲiʒd͡ʒʲi
дрізд	dʲrʲizd
дрімати	dʲrʲimɑte
дріт	dʲrʲit
дуб	dub
дубовий	dʊbɔʋei̯
дубові	dubɔʋʲi
дубові	dʊbɔʋʲi
дуже	duʒe
дужий	duʒei̯
дума	dumɐ
думати	dumɐte
думка	dumkɐ
думках	dʊmkɑx
думку	dumkʊ
дунай	dʊnɑi̯
дупа	dupɐ
дупло	dʊpɫɔ
дур	dur
дурень	durenʲ
дури	dʊrɪ
дурисвіт	dʊrɪsʲʋʲit
дурити	dʊrɪte
дурний	dʊrnɪi̯
дуріан	dʊrʲiɑn
дурість	durʲisʲtʲ
дути	dute
дух	dux
духовенство	dʊxɔʋɛnstwɔ
духовний	dʊxɔu̯nei̯
духівництво	dʊxʲiu̯nɪt͡stwɔ
душ	duʃ
душа	dʊʃɑ
душевний	dʊʃɛu̯nei̯
душевнохворий	dʊʃeu̯nɔxwɔrei̯
дядько	dʲɑdʲkɔ
дядьо	dʲɑdʲɔ
дядя	dʲɑdʲɐ
дякувати	dʲɑkʊʋɐte
дякую	dʲɑkʊjʊ
дятел	dʲɑteɫ
діагноз	dʲiɑɦnɔz
діагностика	dʲiɐɦnɔstekɐ
діагностичний	dʲiɐɦnɔstɪt͡ʃnei̯
діагностувати	dʲiɐɦnɔstʊʋɑte
діаграма	dʲiɐɦrɑmɐ
діалект	dʲiɐɫɛkt
діалог	dʲiɐɫɔɦ
діаметрально	dʲiɐmetrɑlʲnɔ
діана	dʲiɑnɐ
діаспора	dʲiɑspɔrɐ
діафрагм	dʲiɐfrɑɦm
діафрагма	dʲiɐfrɑɦmɐ
діафрагмам	dʲiɐfrɑɦmɐm
діафрагмами	dʲiɐfrɑɦmɐme
діафрагмах	dʲiɐfrɑɦmɐx
діафрагми	dʲiɐfrɑɦme
діафрагмо	dʲiɐfrɑɦmɔ
діафрагмою	dʲiɐfrɑɦmɔjʊ
діафрагму	dʲiɐfrɑɦmʊ
діафрагмі	dʲiɐfrɑɦmʲi
дівер	dʲiʋer
дівка	dʲiu̯kɐ
дівча	dʲiu̯t͡ʃɑ
дівчата	dʲiu̯t͡ʃɑtɐ
дівчина	dʲiu̯t͡ʃenɐ
дівчина	dʲiu̯t͡ʃɪnɐ
дівчинка	dʲiu̯t͡ʃenkɐ
дід	dʲid
дідусь	dʲidusʲ
дідух	dʲidux
дізнаватися	dʲiznɐʋɑtesʲɐ
дізнатися	dʲiznɑtesʲɐ
дійний	dʲii̯nei̯
дійсний	dʲii̯snei̯
дійсність	dʲii̯sʲnʲisʲtʲ
дійти	dʲii̯tɪ
діл	dʲiɫ
ділити	dʲiɫɪte
діло	dʲiɫɔ
діловий	dʲiɫɔʋɪi̯
діловодство	dʲiɫɔwɔd͡zstwɔ
ділянка	dʲilʲɑnkɐ
дім	dʲim
дір	dʲir
діра	dʲirɑ
діри	dʲire
діри	dʲirɪ
дірка	dʲirkɐ
діставати	dʲistɐʋɑte
діставатися	dʲistɐʋɑtesʲɐ
дістати	dʲistɑte
дістатися	dʲistɑtesʲɐ
діти	dʲite
дітки	dʲitke
дітлах	dʲitɫɑx
дітлахи	dʲitɫɐxɪ
діуретичний	dʲiʊretɪt͡ʃnei̯
дія	dʲijɐ
діяльний	dʲijɑlʲnei̯
діяльність	dʲijɑlʲnʲisʲtʲ
діяння	dʲijɐnʲːɐ
діяння	dʲijɑnʲːɐ
діяти	dʲijɐte
дієвий	dʲijɛʋei̯
дієвідміна	dʲijeʋʲidʲmʲinɐ
дієвідмінювання	dʲijeʋʲidʲmʲinʲʊʋɐnʲːɐ
дієприкметник	dʲijeprekmɛtnek
дієприслівник	dʲijepresʲlʲiu̯nek
дієслово	dʲijesɫɔwɔ
дієта	dʲijɛtɐ
дієтичний	dʲijetɪt͡ʃnei̯
евакуація	eʋɐkʊɑt͡sʲijɐ
евакуювати	eʋɐkʊjʊʋɑte
еволюційний	ewɔlʲʊt͡sʲii̯nei̯
еволюціонувати	ewɔlʲʊt͡sʲiɔnʊʋɑte
еволюція	ewolʲut͡sʲijɐ
евтаназія	eu̯tɐnɑzʲijɐ
егоцентричний	eɦɔt͡sentrɪt͡ʃnei̯
егоїзм	eɦɔjizm
егоїстичний	eɦɔjistɪt͡ʃnei̯
едо	ɛdɔ
ейфорія	ei̯forʲijɐ
екваторіальний	ekʋɐtɔrʲiɑlʲnei̯
еквівалентний	ekʋʲiʋɐɫɛntnei̯
екологічний	ekɔɫoɦʲit͡ʃnei̯
екологія	ekɔɫɔɦʲijɐ
економити	ekɔnɔmete
економіка	ekɔnɔmʲikɐ
економіст	ekɔnomʲist
економічний	ekɔnomʲit͡ʃnei̯
екосистем	ekɔsestɛm
екосистема	ekɔsestɛmɐ
екран	ekrɑn
ексгібіціонізм	eɡzʲɦʲibʲit͡sʲionʲizm
ексгібіціоніст	eɡzʲɦʲibʲit͡sʲionʲist
ексгібіціоністка	eɡzʲɦʲibʲit͡sʲionʲistkɐ
ексгібіціоністський	eɡzʲɦʲibʲit͡sʲionʲisʲkei̯
ексклюзивний	eksklʲʊzɪu̯nei̯
екскурсовод	ekskʊrsɔwɔd
екскурсія	ekskursʲijɐ
екслібрис	eksʲlʲibres
експедицій	ekspedɪt͡sʲii̯
експедицію	ekspedɪt͡sʲijʊ
експедиція	ekspedɪt͡sʲijɐ
експедиціям	ekspedɪt͡sʲijɐm
експедиціями	ekspedɪt͡sʲijɐme
експедиціях	ekspedɪt͡sʲijɐx
експедиціє	ekspedɪt͡sʲije
експедицією	ekspedɪt͡sʲijejʊ
експедиції	ekspedɪt͡sʲiji
експеримент	eksperemɛnt
експериментальний	eksperementɑlʲnei̯
експериментувати	eksperementʊʋɑte
експерт	ekspɛrt
експертний	ekspɛrtnei̯
експлуатація	ekspɫʊɐtɑt͡sʲijɐ
експлуатувати	ekspɫʊɐtʊʋɑte
експозиція	ekspɔzɪt͡sʲijɐ
експонат	ekspɔnɑt
експорт	ɛkspɔrt
експортувати	ekspɔrtʊʋɑte
експрес	eksprɛs
екстаз	ekstɑz
екстатичний	ekstɐtɪt͡ʃnei̯
екстремальний	ekstremɑlʲnei̯
еластичний	eɫɐstɪt͡ʃnei̯
елегантний	eɫeɦɑntnei̯
елегантність	eɫeɦɑntʲnʲisʲtʲ
електорат	eɫektɔrɑt
електрик	eɫɛktrek
електрика	eɫɛktrekɐ
електрифікація	eɫektrefʲikɑt͡sʲijɐ
електрифікувати	eɫektrefʲikʊʋɑte
електричка	eɫektrɪt͡ʃkɐ
електричний	eɫektrɪt͡ʃnei̯
електромагнетизм	eɫektrɔmɐɦnetɪzm
електромагніт	eɫektrɔmɐɦnʲit
електрон	eɫektrɔn
електронний	eɫektrɔnːei̯
елемент	eɫemɛnt
елементарний	eɫementɑrnei̯
елефант	eɫefɑnt
ель	ɛlʲ
еліпс	ɛlʲips
емблема	embɫɛmɐ
емблематичний	embɫemɐtɪt͡ʃnei̯
ембріон	embrʲiɔn
ембріональний	embrʲiɔnɑlʲnei̯
емоцій	emɔt͡sʲii̯
емоційний	emot͡sʲii̯nei̯
емоцію	emɔt͡sʲijʊ
емоція	emɔt͡sʲijɐ
емоціям	emɔt͡sʲijɐm
емоціями	emɔt͡sʲijɐme
емоціях	emɔt͡sʲijɐx
емоціє	emɔt͡sʲije
емоцією	emɔt͡sʲijejʊ
емоції	emɔt͡sʲiji
емпатія	empɑtʲijɐ
емпіричний	empʲirɪt͡ʃnei̯
ему	ɛmʊ
еміграційний	emʲiɦrɐt͡sʲii̯nei̯
еміграція	emʲiɦrɑt͡sʲijɐ
емігрувати	emʲiɦrʊʋɑte
емілія	emʲilʲijɐ
ендокринна	endɔkrɪnːɐ
ендокринний	endɔkrɪnːei̯
ендокринологічний	endɔkrenɔɫoɦʲit͡ʃnei̯
ендокринологія	endɔkrenɔɫɔɦʲijɐ
енергій	enɛrɦʲii̯
енергію	enɛrɦʲijʊ
енергія	enɛrɦʲijɐ
енергіям	enɛrɦʲijɐm
енергіями	enɛrɦʲijɐme
енергіях	enɛrɦʲijɐx
енергіє	enɛrɦʲije
енергією	enɛrɦʲijejʊ
енергії	enɛrɦʲiji
ензим	enzɪm
ентомолог	entɔmɔɫɔɦ
ентомологічний	entɔmɔɫoɦʲit͡ʃnei̯
ентомологія	entɔmɔɫɔɦʲijɐ
енциклопедист	ent͡sekɫɔpedɪst
енциклопедистка	ent͡sekɫɔpedɪstkɐ
енциклопедичний	ent͡sekɫɔpedɪt͡ʃnei̯
енциклопедія	ent͡sekɫɔpɛdʲijɐ
епох	epɔx
епоха	epɔxɐ
епохи	epɔxe
епідеміолог	epʲidemʲiɔɫɔɦ
епідеміологічний	epʲidemʲiɔɫoɦʲit͡ʃnei̯
епідеміологія	epʲidemʲiɔɫɔɦʲijɐ
епідемічний	epʲidemʲit͡ʃnei̯
епідемія	epʲidɛmʲijɐ
епізод	epʲizɔd
епізодичний	epʲizɔdɪt͡ʃnei̯
епістемологія	epʲistemɔɫɔɦʲijɐ
епітет	epʲitet
епіфіз	epʲifʲiz
епічний	epʲit͡ʃnei̯
ера	ɛrɐ
еректильна	erektɪlʲnɐ
еректильний	erektɪlʲnei̯
ерекція	erɛkt͡sʲijɐ
еротика	erɔtekɐ
еротичний	erɔtɪt͡ʃnei̯
ескадрилья	eskɐdrɪlʲjɐ
ескалація	eskɐɫɑt͡sʲijɐ
естетика	estɛtekɐ
естетичний	estetɪt͡ʃnei̯
естонський	estɔnʲsʲkei̯
естонія	estɔnʲijɐ
етап	etɑp
етика	ɛtekɐ
етимолог	etemɔɫɔɦ
етимологічний	etemɔɫoɦʲit͡ʃnei̯
етимологія	etemɔɫɔɦʲijɐ
етнограф	etnɔɦrɐf
етнічний	etʲnʲit͡ʃnei̯
ефект	efɛkt
ефективний	efektɪu̯nei̯
ефективність	efektɪu̯nʲisʲtʲ
ефіопія	efʲiɔpʲijɐ
ефір	efʲir
еякулювати	ejɐkʊlʲʊʋɑte
еякулят	ejɐkʊlʲɑt
еякуляція	ejɐkʊlʲɑt͡sʲijɐ
жаба	ʒɑbɐ
жадний	ʒɑdnei̯
жадоба	ʒɐdɔbɐ
жадібний	ʒɑdʲibnei̯
жало	ʒɐɫɔ
жало	ʒɑɫɔ
жалоба	ʒɐɫɔbɐ
жалоба	ʒɑɫɔbɐ
жаль	ʒɑlʲ
жанр	ʒɑnr
жарити	ʒɑrete
жаркий	ʒɐrkɪi̯
жарко	ʒɑrkɔ
жарт	ʒɑrt
жартувати	ʒɐrtʊʋɑte
жасмин	ʒɐsmɪn
жати	ʒɑte
жах	ʒɑx
жахливий	ʒɐxɫɪʋei̯
жебрак	ʒebrɑk
желе	ʒeɫɛ
женева	ʒenɛʋɐ
женевський	ʒenɛu̯sʲkei̯
женитися	ʒenɪtesʲɐ
жених	ʒenɪx
жертва	ʒɛrtʋɐ
живець	ʒeʋɛt͡sʲ
живий	ʒeʋɪi̯
живопис	ʒewɔpes
живіт	ʒeʋʲit
жид	ʒɪd
жила	ʒeɫɑ
жила	ʒɪɫɐ
жир	ʒɪr
житель	ʒɪtelʲ
жителька	ʒɪtelʲkɐ
жити	ʒɪte
житло	ʒetɫɔ
житловий	ʒetɫɔʋɪi̯
житній	ʒɪtʲnʲii̯
жито	ʒɪtɔ
житомир	ʒetɔmer
життя	ʒetʲːɑ
життєздатний	ʒetʲːezdɑtnei̯
життєпис	ʒetʲːɛpes
житіє	ʒetʲijɛ
жлуктати	ʒɫʊktɑte
жлуктити	ʒɫuktete
жнець	ʒnɛt͡sʲ
жовтень	ʒɔu̯tenʲ
жовтий	ʒɔu̯tei̯
жовтогарячий	ʒɔu̯tɔɦɐrʲɑt͡ʃei̯
жовток	ʒɔu̯tɔk
жовч	ʒɔu̯t͡ʃ
жоден	ʒɔden
жодний	ʒɔdnei̯
жолудь	ʒɔɫʊdʲ
жона	ʒɔnɑ
жорстокий	ʒɔrstɔkei̯
жук	ʒuk
жупан	ʒʊpɑn
журавель	ʒʊrɐʋɛlʲ
журавлина	ʒʊrɐu̯ɫɪnɐ
журити	ʒʊrɪte
журнал	ʒʊrnɑɫ
журналіст	ʒʊrnɐlʲist
журналістка	ʒʊrnɐlʲistkɐ
журналістський	ʒʊrnɐlʲisʲkei̯
жучиха	ʒʊt͡ʃɪxɐ
жінка	ʒʲinkɐ
жіночий	ʒʲinɔt͡ʃei̯
з	z
з'явитися	zjɐʋɪtesʲɐ
з'являтися	zjɐu̯lʲɑtesʲɐ
з'ясовувати	zjɐsɔwʊʋɐte
з'ясувати	zjɐsʊʋɑte
з'їбатися	zjibɑtesʲɐ
з'їдати	zjidɑte
з'їзд	zjizd
з'їсти	zjiste
забава	zɐbɑʋɐ
забавний	zɐbɑu̯nei̯
забагти	zɐbɑɦte
забезпечення	zɐbezpɛt͡ʃenʲːɐ
забезпечити	zɐbezpɛt͡ʃete
забезпечувати	zɐbezpɛt͡ʃʊʋɐte
забити	zɐbɪte
забобон	zɐbɔbɔn
заборона	zɐbɔrɔnɐ
заборонений	zɐbɔrɔnenei̯
заборонити	zɐbɔrɔnɪte
забороняти	zɐbɔrɔnʲɑte
забрало	zɐbrɑɫɔ
забруднення	zɐbrudnenʲːɐ
забруднити	zɐbrʊdnɪte
забруднювати	zɐbrudʲnʲʊʋɐte
забувати	zɐbʊʋɑte
забудькуватий	zɐbudʲkʊʋɐtei̯
забути	zɐbute
завада	zɐʋɑdɐ
завадити	zɐʋɑdete
заважати	zɐʋɐʒɑte
завантажити	zɐʋɐntɑʒete
завантажувати	zɐʋɐntɑʒʊʋɐte
заварити	zɐʋɐrɪte
заварювати	zɐʋɑrʲʊʋɐte
завважити	zɐʋːɑʒete
завважувати	zɐʋːɑʒʊʋɐte
завдавати	zɐu̯dɐʋɑte
завдання	zɐu̯dɑnʲːɐ
завдати	zɐu̯dɑte
завдяки	zɐu̯dʲɐkɪ
завершення	zɐʋɛrʃenʲːɐ
завершити	zɐʋerʃɪte
завершувати	zɐʋɛrʃʊʋɐte
завести	zɐʋestɪ
завжди	zɐu̯ʒdɪ
завжди	zɑu̯ʒde
завзяття	zɐu̯zʲɑtʲːɐ
завод	zɐwɔd
заводити	zɐwɔdete
завойовувати	zɐwɔjɔwʊʋɐte
заворушення	zɐworuʃenʲːɐ
завоювати	zɐwɔjʊʋɑte
завтра	zɑu̯trɐ
завтрашній	zɑu̯trɐʃnʲii̯
завше	zɑu̯ʃe
завіса	zɐʋʲisɐ
загадка	zɐɦɑdkɐ
загальна	zɐɦɑlʲnɐ
загальний	zɐɦɑlʲnei̯
загальновідомий	zɐɦɐlʲnɔʋʲidɔmei̯
загальнодержавний	zɐɦɐlʲnɔderʒɑu̯nei̯
загальнонаціональний	zɐɦɐlʲnɔnɐt͡sʲiɔnɑlʲnei̯
заглядати	zɐɦlʲɐdɑte
заглянути	zɐɦlʲɑnʊte
загострити	zɐɦɔstrɪte
загострювати	zɐɦɔstʲrʲʊʋɐte
загреб	zɑɦreb
загроза	zɐɦrɔzɐ
зад	zɑd
задній	zɑdʲnʲii̯
задоволений	zɐdɔwɔɫenei̯
задоволення	zɐdɔwɔɫenʲːɐ
задоволень	zɐdɔwɔɫenʲ
задоволеність	zɐdɔwɔɫenʲisʲtʲ
задовольнити	zɐdɔwɔlʲnɪte
задовольняти	zɐdɔwɔlʲnʲɑte
задовільний	zɐdɔʋʲilʲnei̯
зазвичай	zɐzʋet͡ʃɑi̯
заздалегідь	zɐzdɐɫeɦʲidʲ
заздрити	zɑzdrete
заздрощі	zɑzdrɔʃt͡ʃʲi
заздрісний	zɑzdʲrʲisnei̯
заздрість	zɑzdʲrʲisʲtʲ
зазнати	zɐznɑte
зазначати	zɐznɐt͡ʃɑte
зазначений	zɐznɐt͡ʃɛnei̯
зазначений	zɐznɑt͡ʃenei̯
зазначити	zɐznɐt͡ʃɪte
зазначити	zɐznɑt͡ʃete
зайвий	zɑjʋei̯
займати	zɐi̯mɑte
займатися	zɐi̯mɑtesʲɐ
займається	zɐi̯mɑjet͡sʲːɐ
займенник	zɐi̯mɛnːek
зайняти	zɐi̯nʲɑte
зайнятий	zɑi̯nʲɐtei̯
зайнятися	zɐi̯nʲɑtesʲɐ
зайнятість	zɑi̯nʲɐtʲisʲtʲ
зайченя	zɐi̯t͡ʃenʲɑ
зайченятко	zɐi̯t͡ʃenʲɑtkɔ
закарпаття	zɐkɐrpɑtʲːɐ
заклад	zɐkɫɑd
заклад	zɑkɫɐd
заколот	zɑkɔɫɔt
закон	zɐkɔn
законам	zɐkɔnɐm
законами	zɐkɔnɐme
законах	zɐkɔnɐx
законе	zɐkɔne
закони	zɐkɔne
законний	zɐkɔnːei̯
законодавець	zɐkɔnɔdɑʋet͡sʲ
законодавиця	zɐkɔnɔdɑʋet͡sʲɐ
законодавство	zɐkɔnɔdɑu̯stwɔ
законодавчий	zɐkɔnɔdɑu̯t͡ʃei̯
законом	zɐkɔnɔm
закономірний	zɐkɔnomʲirnei̯
законопроект	zɐkɔnɔprɔɛkt
законослухняний	zɐkɔnɔsɫʊxnʲɑnei̯
закону	zɐkɔnʊ
закордон	zɐkɔrdɔn
закордонний	zɐkɔrdɔnːei̯
закохатися	zɐkɔxɑtesʲɐ
закохуватися	zɐkɔxʊʋɐtesʲɐ
закривати	zɐkreʋɑte
закрити	zɐkrɪte
закупити	zɐkʊpɪte
закуповувати	zɐkʊpɔwʊʋɐte
закупівля	zɐkʊpʲiu̯lʲɐ
закуска	zɐkuskɐ
закінчення	zɐkʲint͡ʃenʲːɐ
зал	zɑɫ
залежати	zɐɫɛʒɐte
залежний	zɐɫɛʒnei̯
залишати	zɐɫeʃɑte
залишатися	zɐɫeʃɑtesʲɐ
залишити	zɐɫeʃɪte
залишити	zɐɫɪʃete
залишитися	zɐɫeʃɪtesʲɐ
залоза	zɑɫɔzɐ
залупа	zɐɫupɐ
залізна	zɐlʲiznɐ
залізний	zɐlʲiznei̯
залізниця	zɐlʲiznɪt͡sʲɐ
залізничний	zɐlʲiznɪt͡ʃnei̯
залізняк	zɐlʲizʲnʲɑk
залізо	zɐlʲizɔ
замах	zɑmɐx
замбія	zɑmbʲijɐ
замовити	zɐmɔʋete
замовлення	zɐmɔu̯ɫenʲːɐ
замовляти	zɐmɔu̯lʲɑte
замовник	zɐmɔu̯nek
замовниця	zɐmɔu̯net͡sʲɐ
заможний	zɐmɔʒnei̯
замок	zɐmɔk
замок	zɑmɔk
заморожувати	zɐmɔrɔʒʊʋɐte
заморозити	zɐmɔrɔzete
замостити	zɐmɔstɪte
замощувати	zɐmɔʃt͡ʃʊʋɐte
заміна	zɐmʲinɐ
замінити	zɐmʲinɪte
замінювати	zɐmʲinʲʊʋɐte
заміняти	zɐmʲinʲɑte
замісто	zɐmʲistɔ
замість	zɐmʲisʲtʲ
замість	zɑmʲisʲtʲ
занадто	zɐnɑdtɔ
занедбаний	zɐnɛdbɐnei̯
занедбати	zɐnedbɑte
занедбувати	zɐnɛdbʊʋɐte
занепокоєння	zɐnepɔkɔjenʲːɐ
занотовувати	zɐnɔtɔwʊʋɐte
занотувати	zɐnɔtʊʋɑte
занурити	zɐnurete
занурювати	zɐnurʲʊʋɐte
заохотити	zɐɔxɔtete
заохочувати	zɐɔxɔt͡ʃʊʋɐte
заощаджувати	zɐɔʃt͡ʃɑd͡ʒʊʋɐte
заощадити	zɐɔʃt͡ʃɑdete
зап'ястя	zɐpjɑsʲtʲɐ
запальничка	zɐpɐlʲnɪt͡ʃkɐ
запам'ятати	zɐpɐmjɐtɑte
запам'ятовувати	zɐpɐmjɐtɔwʊʋɐte
запах	zɑpɐx
запевнити	zɐpɛu̯nete
запевняти	zɐpeu̯nʲɑte
заперечення	zɐperɛt͡ʃenʲːɐ
заперечити	zɐperɛt͡ʃete
заперечний	zɐperɛt͡ʃnei̯
заперечувати	zɐperɛt͡ʃʊʋɐte
записати	zɐpesɑte
записувати	zɐpɪsʊʋɐte
запитання	zɐpetɑnʲːɐ
запитати	zɐpetɑte
запитувати	zɐpɪtʊʋɐte
заплатити	zɐpɫɐtɪte
запобігання	zɐpɔbʲiɦɑnʲːɐ
запобігати	zɐpɔbʲiɦɑte
запобігти	zɐpobʲiɦte
запобіжний	zɐpobʲiʒnei̯
заповнити	zɐpɔu̯nete
заповнювати	zɐpɔu̯nʲʊʋɐte
заподіювати	zɐpodʲijʊʋɐte
заподіяти	zɐpodʲijɐte
запозичати	zɐpɔzet͡ʃɑte
запозичення	zɐpɔzɪt͡ʃenʲːɐ
запозичити	zɐpɔzɪt͡ʃete
запозичувати	zɐpɔzɪt͡ʃʊʋɐte
запоріжжя	zɐporʲiʒʲːɐ
започатковувати	zɐpɔt͡ʃɐtkɔwʊʋɐte
започаткувати	zɐpɔt͡ʃɐtkʊʋɑte
запроваджувати	zɐprɔʋɑd͡ʒʊʋɐte
запровадити	zɐprɔʋɑdete
запрограмувати	zɐprɔɦrɐmʊʋɑte
запропонувати	zɐprɔpɔnʊʋɑte
запросити	zɐprɔsɪte
запрошувати	zɐprɔʃʊʋɐte
запізнитися	zɐpʲiznɪtesʲɐ
запізнюватися	zɐpʲizʲnʲʊʋɐtesʲɐ
зара	zɑrɐ
зараз	zɐrɑz
зараз	zɑrɐz
зараза	zɐrɑzɐ
зареєструвати	zɐrejestrʊʋɑte
заробити	zɐrɔbɪte
заробляти	zɐrɔblʲɑte
заробітна	zɐrobʲitnɐ
заробітний	zɐrobʲitnei̯
зарплата	zɐrpɫɑtɐ
зарубіжжя	zɐrʊbʲiʒʲːɐ
зарубіжний	zɐrʊbʲiʒnei̯
заручати	zɐrʊt͡ʃɑte
заручений	zɐrut͡ʃenei̯
заручин	zɐrut͡ʃen
заручини	zɐrut͡ʃene
заручити	zɐrʊt͡ʃɪte
заручник	zɐrut͡ʃnek
заручниця	zɐrut͡ʃnet͡sʲɐ
заряджати	zɐrʲɐd͡ʒɑte
зарядити	zɐrʲɐdɪte
засада	zɐsɑdɐ
засвідчити	zɐsʲʋʲid͡ʒt͡ʃete
засвідчувати	zɐsʲʋʲid͡ʒt͡ʃʊʋɐte
заслуговувати	zɐsɫʊɦɔwʊʋɐte
заслужити	zɐsɫʊʒɪte
засмутити	zɐsmʊtɪte
засмучений	zɐsmut͡ʃenei̯
засмучувати	zɐsmut͡ʃʊʋɐte
засновник	zɐsnɔu̯nek
засновниць	zɐsnɔu̯net͡sʲ
засновниця	zɐsnɔu̯net͡sʲɐ
засновниці	zɐsnɔu̯net͡sʲi
засновувати	zɐsnɔwʊʋɐte
заснувати	zɐsnʊʋɑte
заспокоювати	zɐspɔkɔjʊʋɐte
заспокоїти	zɐspɔkɔjite
заспокійливий	zɐspokʲii̯ɫeʋei̯
застарілий	zɐstɐrʲiɫei̯
застерегти	zɐstereɦtɪ
застерігати	zɐsterʲiɦɑte
застосовувати	zɐstɔsɔwʊʋɐte
застосування	zɐstɔsʊʋɑnʲːɐ
застосувати	zɐstɔsʊʋɑte
застосунок	zɐstosunɔk
застраховувати	zɐstrɐxɔwʊʋɐte
застрахувати	zɐstrɐxʊʋɑte
застуд	zɐstud
застуда	zɐstudɐ
застудам	zɐstudɐm
застудами	zɐstudɐme
застудах	zɐstudɐx
застуджуватися	zɐstud͡ʒʊʋɐtesʲɐ
застуди	zɐstude
застудитися	nɐrɔdɪtesʲɐ
застудою	zɐstudɔjʊ
застуду	zɐstudʊ
застуді	zɐstudʲi
заступ	zɑstʊp
заступник	zɐstupnek
засуджувати	zɐsud͡ʒʊʋɐte
засудити	zɐsʊdɪte
засіб	zɑsʲib
засідання	zɐsʲidɐnʲːɐ
затвердження	zɐtʋɛrd͡ʒenʲːɐ
затверджувати	zɐtʋɛrd͡ʒʊʋɐte
затвердити	zɐtʋɛrdete
зателефонувати	zɐteɫefɔnʊʋɑte
затор	zɐtɔr
затримати	zɐtrɪmɐte
затриматися	zɐtrɪmɐtesʲɐ
затримувати	zɐtrɪmʊʋɐte
затримуватися	zɐtrɪmʊʋɐtesʲɐ
зауваження	zɐʊʋɑʒenʲːɐ
заучити	zɐʊt͡ʃɪte
заучувати	zɐut͡ʃʊʋɐte
захаренко	zɐxɑrenkɔ
захворювання	zɐxwɔrʲʊʋɐnʲːɐ
захворювань	zɐxwɔrʲʊʋɐnʲ
захворювати	zɐxwɔrʲʊʋɐte
захворіти	zɐxworʲite
захист	zɑxest
захистити	zɐxestɪte
захищати	zɐxeʃt͡ʃɑte
захищений	zɐxɪʃt͡ʃenei̯
захоплюватися	zɐxɔplʲʊʋɐtesʲɐ
захід	zɐxʲid
захід	zɑxʲid
західний	zɑxʲidnei̯
західноєвропейський	zɑxʲidnɔjeu̯rɔpɛi̯sʲkei̯
зацікавити	zɐt͡sʲikɑʋete
зацікавлений	zɐt͡sʲikɑu̯ɫenei̯
зацікавлювати	zɐt͡sʲikɑu̯lʲʊʋɐte
зачинити	zɐt͡ʃenɪte
зачиняти	zɐt͡ʃenʲɑte
заява	zɐjɑʋɐ
заяви	zɐjɐʋɪ
заяви	zɐjɑʋe
заявити	zɐjɐʋɪte
заявляти	zɐjɐu̯lʲɑte
заяць	zɑjɐt͡sʲ
заєць	zɑjet͡sʲ
заїр	zɐjir
заґреб	zɑɡreb
збагатити	zbɐɦɐtɪte
збагачувати	zbɐɦɑt͡ʃʊʋɐte
зберегти	zbereɦtɪ
збереження	zberɛʒenʲːɐ
зберігати	zberʲiɦɑte
збирати	zberɑte
збиратися	zberɑtesʲɐ
збрехати	zbrexɑte
збройний	zbrɔi̯nei̯
зброя	zbrɔjɐ
збудувати	zbʊdʊʋɑte
збіжжя	zʲbʲiʒʲːɐ
збільшення	zʲbʲilʲʃenʲːɐ
збільшити	zʲbʲilʲʃete
збільшувати	zʲbʲilʲʃʊʋɐte
збір	zʲbʲir
зв'язки	zʋjɐzkɪ
зв'язки	zʋjɑzke
зв'язку	zʋjɐzku
зв'язку	zʋjɑzkʊ
зв'язок	zʋjɐzɔk
зв'язок	zʋjɑzɔk
звати	zʋɑte
звернення	zʋɛrnenʲːɐ
