aalboaiei	aalbŏajej
atinse	atinse
atinsese	atinsese
atipic	atipik
atipice	atipitʃe
atipie	atipije
atitudine	atitudine
atitudinea	atitudinĕa
atlant	atlant
atlantic	atlantik
atlas	atlas
atlaz	atlaz
atlet	atlet
atletic	atletik
atletism	atletism
atmosferei	atmosferej
atmosferic	atmosferik
atmosferă	atmosferə
atoatevăzător	atŏatevəzətor
atoateștiutor	atŏateʃtiutor
atodiresei	atodiresej
atol	atol
atom	atom
atomic	atomik
atomism	atomism
atomist	atomist
atomistică	atomistikə
atomiza	atomiza
atomizare	atomizare
atomizat	atomizat
atomizator	atomizator
atomizor	atomizor
atomoelectric	atomoelektrik
atomoterapie	atomoterapije
aton	aton
atonal	atonal
atonalism	atonalism
atonalitate	atonalitate
atonic	atonik
atonie	atonije
atot	atot
atotbiruitor	atotbiruitor
atotcunoscător	atotkunoskətor
atotcuprinzător	atotkuprinzətor
atotputernic	atotputernik
atotputernicie	atotputernitʃije
atotputință	atotputintsə
atotvăzător	atotvəzətor
atotștiință	atotʃtijintsə
atotștiutor	atotʃtiutor
atractiv	atraktiv
atracție	atraktsije
atrage	atradʒe
atragem	atradʒem
atragere	atradʒere
atrageți	atradʒetsʲ
atragă	atraɡə
atras	atras
atrase	atrase
atrasei	atrasej
atrasă	atrasə
atrepsie	atrepsije
atrial	atrijal
atribui	atribui
atribuire	atribuire
atribuit	atribuit
atribut	atribut
atributiv	atributiv
atributul	atributul
atribuție	atributsije
atribuțiune	atributsiune
atriu	atrju
atrium	atrium
atroce	atrotʃe
atrocitate	atrotʃitate
atrofia	atrofija
atrofiat	atrofijat
atrofie	atrofije
atrofiere	atrofijere
atropină	atropinə
atropism	atropism
atrăgea	atrədʒ̩a
atrăgătoare	atrəɡətŏare
atrăgător	atrəɡətor
atrăsese	atrəsese
atu	atu
atunce	atuntʃe
atuncea	atuntʃ̩a
atunci	atuntʃʲ
atârn	atɨrn
atârna	atɨrna
atârnare	atɨrnare
atârnat	atɨrnat
atârnătoare	atɨrnətŏare
atât	atɨt
atâtea	atɨtĕa
atâtelea	atɨtelĕa
atâtica	atɨtika
atâția	atɨtsija
au	aw
aubadă	aubadə
aud	aud
aude	aude
audiența	audijentsa
audio	audio
audiofrecvență	audiofrekventsə
audit	audit
auditoriul	auditorjul
audă	audə
augmentai	auɡmentaj
augmentase	auɡmentase
augur	auɡur
august	auɡust
augustin	auɡustin
aul	aul
aur	aur
aurelianu	aurelijanu
aureolat	aureolat
aursulesei	aursulesej
aurului	auruluj
aut	aut
autentice	autentitʃe
autenticității	autentitʃitətsij
auto	auto
autoadaptare	autoadaptare
autoafirma	autoafirma
autoanaliza	autoanaliza
autoaprindere	autoaprindere
autobuz	autobuz
autobuze	autobuze
autobuzul	autobuzul
autodeclanșa	autodeklanʃa
autodepăși	autodepəʃʲ
autodistrugere	autodistrudʒere
autohtone	autohtone
autoland	autoland
automate	automate
automatic	automatik
automată	automatə
automobil	automobil
autonomie	autonomije
autoplus	autoplus
autor	autor
autorii	autorij
autorilor	autorilor
autorități	autoritətsʲ
autorul	autorul
autosoft	autosoft
autostrăzi	autostrəzʲ
autotransport	autotransport
autoșasiu	autoʃasiw
auz	auz
auzea	auzĕa
auzeam	auzĕam
auzeau	auzĕaw
auzi	auzi
auzind	auzind
auziră	auzirə
auzise	auzise
auzisem	auzisem
auzit	auzit
auzul	auzul
auzului	auzuluj
aval	aval
avalanșă	avalanʃə
avamedica	avamedika
avan	avan
avanbec	avanbek
avancronică	avankronikə
avanfosă	avanfosə
avangardism	avanɡardism
avangardist	avanɡardist
avangardă	avanɡardə
avanport	avanport
avanpost	avanpost
avanpremieră	avanpremijerə
avans	avans
avansa	avansa
avansare	avansare
avansat	avansat
avanscenă	avanstʃenə
avansează	avansĕazə
avansul	avansul
avantaj	avantaʒ
avantaja	avantaʒa
avantajant	avantaʒant
avantajare	avantaʒare
avantajat	avantaʒat
avantajele	avantaʒele
avantajoase	avantaʒŏase
avantajos	avantaʒos
avantajul	avantaʒul
avar	avar
avaria	avarija
avariat	avarijat
avarie	avarije
avariere	avarijere
avarii	avarij
avariție	avaritsije
avarvarei	avarvarej
avat	avat
avatar	avatar
avea	avĕa
aveam	avĕam
aveau	avĕaw
avem	avem
aven	aven
aventura	aventura
aventurai	aventuraj
aventurare	aventurare
aventurier	aventurijer
aventurin	aventurin
aventurism	aventurism
aventurist	aventurist
aventuros	aventuros
avenă	avenə
avere	avere
avers	avers
averse	averse
aversiune	aversiune
aversiunea	aversiunĕa
aversă	aversə
avertisment	avertisment
avertiza	avertiza
avertizare	avertizare
avertizase	avertizase
avertizat	avertizat
avertizor	avertizor
aveți	avetsʲ
aviar	avijar
aviară	avijarə
aviatic	avijatik
aviatoare	avijatŏare
aviator	avijator
aviația	avijatsija
aviație	avijatsije
aviației	avijatsijej
avicol	avikol
avicultor	avikultor
avicultură	avikulturə
avid	avid
aviditate	aviditate
avidă	avidə
avioane	aviŏane
aviochimic	aviokʲ̩imik
aviofon	aviofon
avion	avion
avionul	avionul
avionului	avionuluj
avitaminoză	avitaminozə
aviva	aviva
avivai	avivaj
avivare	avivare
avivat	avivat
aviz	aviz
aviza	aviza
avizare	avizare
avizat	avizat
avizier	avizijer
avizo	avizo
avocado	avokado
avocat	avokat
avocata	avokata
avocatului	avokatuluj
avocatură	avokaturə
avocațial	avokatsijal
avocații	avokatsij
avocățel	avokətsel
avocățesc	avokətsesk
avort	avort
avorta	avorta
avortare	avortare
avorton	avorton
avram	avram
avramescu	avramesku
avrig	avriɡ
avrămească	avrəmĕaskə
avrămeasă	avrəmĕasə
avu	avu
avuabil	avuwabil
avui	avuj
avulsiune	avulsiune
avusese	avusese
avusesem	avusesem
avuseseră	avuseserə
avut	avut
avuție	avutsije
avânt	avɨnt
avânta	avɨnta
avântare	avɨntare
avântat	avɨntat
avă	avə
avăcăriței	avəkəritsej
avădanei	avədanej
ax	aks
axa	aksa
axare	aksare
axat	aksat
axial	aksijal
axilar	aksilar
axilă	aksilə
axinia	aksinija
axinte	aksinte
axiologic	aksiolodʒik
axiologie	aksiolodʒije
axiomatic	aksiomatik
axiomatiza	aksiomatiza
axiomatizare	aksiomatizare
axiomatizat	aksiomatizat
axiometru	aksiometru
axiomă	aksiomə
axis	aksis
axolot	aksolot
axon	akson
axonometric	aksonometrik
axonometrie	aksonometrije
az	az
azalee	azalee
azamfirei	azamfirej
azbest	azbest
azbestoză	azbestozə
azbociment	azbotʃiment
azbotextolit	azbotekstolit
azeotrop	azeotrop
azeotropic	azeotropik
azeotropie	azeotropije
azeotropism	azeotropism
azer	azer
azeră	azerə
azi	azʲ
azidă	azidə
azil	azil
azilant	azilant
azimut	azimut
azimutal	azimutal
azimă	azimə
azoderivat	azoderivat
azoic	azoik
azonal	azonal
azoospermie	azoospermije
azot	azot
azotat	azotat
azotemie	azotemije
azotic	azotik
azotit	azotit
azotobacter	azotobakter
azotobacterie	azotobakterije
azotometru	azotometru
azotos	azotos
azoturie	azoturije
azotură	azoturə
aztec	aztek
azuga	azuɡa
azur	azur
azura	azura
azurare	azurare
azurat	azurat
azurit	azurit
azuriu	azuriw
azvârlire	azvɨrlire
azvârlit	azvɨrlit
azvârlite	azvɨrlite
azvârlitoare	azvɨrlitŏare
azvârlitor	azvɨrlitor
azvârlitură	azvɨrliturə
așa	aʃa
așadar	aʃadar
așazisele	aʃazisele
așchiat	aʃkʲ̩ijat
așchiere	aʃkʲ̩ijere
așez	aʃez
așeza	aʃeza
așezai	aʃezaj
așezare	aʃezare
așezară	aʃezarə
așezasem	aʃezasem
așezat	aʃezat
așezate	aʃezate
așezată	aʃezatə
așezau	aʃezaw
așeze	aʃeze
așezăm	aʃezəm
așezământ	aʃezəmɨnt
ași	aʃʲ
așteaptă	aʃtĕaptə
aștept	aʃtept
aștepta	aʃtepta
așteptam	aʃteptam
așteptare	aʃteptare
așteptară	aʃteptarə
așteptase	aʃteptase
așteptat	aʃteptat
așteptato	aʃteptato
așteptată	aʃteptatə
așteptați	aʃteptatsj
aștepte	aʃtepte
așteptând	aʃteptɨnd
așteptări	aʃteptərʲ
aștern	aʃtern
așterne	aʃterne
așternere	aʃternere
așternu	aʃternu
așternut	aʃternut
așâderea	aʃiʒderĕa
așâderi	aʃiʒderʲ
ați	atsj
ațică	atsikə
aține	atsine
aținea	atsinĕa
aținere	atsinere
ațintire	atsintire
ațintit	atsintit
ațintite	atsintite
aținut	atsinut
ațipeală	atsipĕalə
ațipire	atsipire
ațipise	atsipise
ațipit	atsipit
ațișoară	atsiʃŏarə
ațos	atsos
ațâța	atsɨtsa
ațâțare	atsɨtsare
ațâțat	atsɨtsat
ațâțător	atsɨtsətor
ba	ba
baba	baba
babac	babak
babacă	babakə
babadag	babadaɡ
babaie	babaje
babalâc	babalɨk
baban	baban
babaros	babaros
babau	babaw
babaua	babawa
babete	babete
babetă	babetə
babilonean	babilonĕan
babilonian	babilonijan
babilonic	babilonik
babilonie	babilonije
babism	babism
babiță	babitsə
baboi	baboj
baboiaș	babojaʃ
babord	babord
baborniță	babornitsə
baboșă	baboʃə
babuin	babuin
babuvism	babuvism
babuvist	babuvist
babușcă	babuʃkə
bac	bak
bacal	bakal
bacalaureat	bakalaurĕat
bacalbașa	bakalbaʃa
bacalu	bakalu
bacanală	bakanalə
bacantă	bakantə
bacara	bakara
bacator	bakator
bachelită	bakʲ̩elitə
bacifer	batʃifer
baciform	batʃiform
bacil	batʃil
bacilar	batʃilar
bacilemie	batʃilemije
baciliform	batʃiliform
baciloză	batʃilozə
baciu	batʃ̩u
baclava	baklava
bacon	bakon
bacterian	bakterijan
bactericid	bakteritʃid
bacterie	bakterije
bacteriemie	bakterijemije
bacteriocecidie	bakteriotʃetʃidije
bacteriofag	bakteriofaɡ
bacteriofagie	bakteriofadʒije
bacteriolizină	bakteriolizinə
bacterioliză	bakteriolizə
bacteriolog	bakterioloɡ
bacteriologic	bakteriolodʒik
bacteriologie	bakteriolodʒije
bacteriostatic	bakteriostatik
bacteriostază	bakteriostazə
bacterioză	bakteriozə
bacteriurie	bakterjurije
baculit	bakulit
bacă	bakə
bacău	bakəw
bacăul	bakəul
bacșiș	bakʃiʃ
badana	badana
bade	bade
badea	badĕa
badian	badijan
badijonaj	badiʒonaʒ
badinerie	badinerije
badminton	badminton
badâona	badiʒona
badâonaj	badiʒonaʒ
badâonare	badiʒonare
badâonat	badiʒonat
baftă	baftə
baga	baɡa
bagaj	baɡaʒ
bagajele	baɡaʒele
bagajist	baɡaʒist
bagajul	baɡaʒul
bagatel	baɡatel
bagateliza	baɡateliza
bagatelizare	baɡatelizare
bagatelizat	baɡatelizat
bagatelă	baɡatelə
bagdadie	baɡdadije
bage	bad͡ʒe
baghetei	bagʲ̩etej
baghetă	bagʲ̩etə
bahic	bahik
bahnă	bahnə
bahorniță	bahornitsə
baht	baht
bai	baj
baia	baja
baiaderă	bajaderə
baian	bajan
baicea	bajtʃ̩a
baicu	bajku
baie	baje
baier	bajer
baieră	bajerə
baionetă	bajonetə
bairac	bajrak
bairamul	bajramul
baiu	baju
bal	bal
balaban	balaban
balabustă	balabustə
balaci	balatʃʲ
balade	balade
balader	balader
baladesc	baladesk
baladier	baladijer
baladin	baladin
balador	balador
baladă	baladə
balafon	balafon
balalaică	balalajkə
balama	balama
balamuc	balamuk
balamut	balamut
balamuție	balamutsije
balang	balanɡ
balanga	balanɡa
balanită	balanitə
balans	balans
balansa	balansa
balansare	balansare
balansat	balansat
balansier	balansijer
balansină	balansinə
balansoar	balansŏar
balansor	balansor
balanus	balanus
balanțier	balantsijer
balanță	balantsə
balaoacheș	balaŏakʲ̩eʃ
balast	balast
balasta	balasta
balastare	balastare
balastat	balastat
balastieră	balastijerə
balastor	balastor
balaur	balaur
balauroaică	balaurŏajkə
balaș	balaʃ
balc	balk
balcan	balkan
balcaniadă	balkanijadə
balcanic	balkanik
balcanism	balkanism
balcanist	balkanist
balcanistică	balkanistikə
balcanolog	balkanoloɡ
balcanologie	balkanolodʒije
balcon	balkon
balconaș	balkonaʃ
balconului	balkonuluj
balcâz	balkɨz
baldachin	baldakʲ̩in
baldahin	baldahin
baldovin	baldovin
baldovinescu	baldovinesku
baldu	baldu
balegă	baleɡə
baleia	baleja
baleiaj	balejaʒ
baleiat	balejat
baleiere	balejere
balenieră	balenijerə
balenă	balenə
balercuță	balerkutsə
balercă	balerkə
balerin	balerin
balet	balet
baletist	baletist
balie	balije
baligă	baliɡə
balimez	balimez
balint	balint
balistic	balistik
balistician	balistitʃijan
balistograf	balistoɡraf
balistă	balistə
balivernă	balivernə
baliza	baliza
balizaj	balizaʒ
balizare	balizare
balizat	balizat
balizor	balizor
balmoș	balmoʃ
balmuș	balmuʃ
balnear	balnear
balneară	balnearə
balneo	balneo
balneoclimatic	balneoklimatik
balneolog	balneoloɡ
balneologic	balneolodʒik
balneologie	balneolodʒije
balneoterapie	balneoterapije
balograf	baloɡraf
balon	balon
balona	balona
balonare	balonare
balonat	balonat
balonaș	balonaʃ
balonet	balonet
balonul	balonul
balot	balot
balota	balota
balotaj	balotaʒ
balotare	balotare
balotat	balotat
balsa	balsa
balsam	balsam
balsamic	balsamik
balsamină	balsaminə
baltac	baltak
baltag	baltaɡ
baltic	baltik
baltă	baltə
baluba	baluba
baluri	balurʲ
balustradă	balustradə
balustru	balustru
balâc	balɨk
bală	balə
balș	balʃ
bambus	bambus
bamă	bamə
ban	ban
banal	banal
banalitate	banalitate
banaliza	banaliza
banalizare	banalizare
banalizat	banalizat
banan	banan
bananier	bananijer
banat	banat
banatit	banatit
banc	bank
bancar	bankar
bancare	bankare
bancher	bankʲ̩er
banchet	bankʲ̩et
banchetei	bankʲ̩etej
banchetă	bankʲ̩etə
banchină	bankʲ̩inə
banchiză	bankʲ̩izə
banciu	bantʃ̩u
bancnote	banknote
banco	banko
bancocrat	bankokrat
bancocrație	bankokratsije
bancomat	bankomat
bancă	bankə
banda	banda
bandaj	bandaʒ
bandaja	bandaʒa
bandajare	bandaʒare
bandajat	bandaʒat
bandajist	bandaʒist
bandare	bandare
bandat	bandat
banderilă	banderilə
banderolare	banderolare
banderolă	banderolə
bandieră	bandijerə
bandit	bandit
banditesc	banditesk
banditește	banditeʃte
banditism	banditism
bandoală	bandŏalə
bandolă	bandolə
bandotecă	bandotekə
bandou	bandow
bandulieră	bandulijerə
bandulă	bandulə
bandurar	bandurar
bandurist	bandurist
bandură	bandurə
bang	banɡ
bangăt	banɡət
bani	banʲ
baniciu	banitʃ̩u
banieră	banijerə
banii	banij
banilor	banilor
baniu	banju
baniță	banitsə
banjo	banʒo
banloc	banlok
bantoid	bantoid
bantu	bantu
bantustan	bantustan
bantustanizare	bantustanizare
bantă	bantə
banul	banul
bană	banə
baobab	baobab
baptism	baptism
baptist	baptist
baptisteriu	baptisterju
bar	bar
bara	bara
barabanci	barabantʃʲ
barabancă	barabankə
baraboi	baraboj
barabuliște	barabuliʃte
barabulă	barabulə
barabușcă	barabuʃkə
baracament	barakament
baracă	barakə
baragladină	baraɡladinə
baraj	baraʒ
barajist	baraʒist
baraolt	baraolt
barare	barare
barat	barat
baratcă	baratkə
barbacană	barbakanə
barbar	barbar
barbarie	barbarije
barbarism	barbarism
barbet	barbet
barbetă	barbetə
barbian	barbijan
barbiton	barbiton
barbituric	barbiturik
barbiturism	barbiturism
barbișon	barbiʃon
barbișă	barbiʃə
barboni	barboni
barbonța	barbontsa
barbotaj	barbotaʒ
barbotare	barbotare
barbotină	barbotinə
barbu	barbu
barbun	barbun
barbut	barbut
barbută	barbutə
barbă	barbə
barbălată	barbəlatə
barbăneagră	barbənĕaɡrə
barbăroșie	barbəroʃije
barbăroșă	barbəroʃə
barbăsură	barbəsurə
barc	bark
barcană	barkanə
barcarolă	barkarolə
barcaz	barkaz
barchentină	barkʲ̩entinə
barchet	barkʲ̩et
barcă	barkə
bard	bard
bardou	bardow
bardă	bardə
barej	bareʒ
barem	barem
baretor	baretor
baretă	baretə
barhet	barhet
baric	barik
baricada	barikada
baricadare	barikadare
baricadat	barikadat
baricentru	baritʃentru
barie	barije
bariere	barijere
barieră	barijerə
baril	baril
barim	barim
barimetrie	barimetrije
barisferă	barisferə
baritină	baritinə
bariton	bariton
barită	baritə
bariu	barju
bariz	bariz
bariș	bariʃ
bariț	barits
barjă	barʒə
barman	barman
barmaniță	barmanitsə
baroană	barŏanə
baroc	barok
barocameră	barokamerə
baroforeză	baroforezə
barograf	baroɡraf
barogramă	baroɡramə
barometric	barometrik
barometru	barometru
baron	baron
baronarcoză	baronarkozə
baroneasă	baronĕasə
baronet	baronet
baronie	baronije
baronul	baronul
baroreceptor	baroretʃeptor
baros	baros
barosan	barosan
baroscop	baroskop
barotermograf	barotermoɡraf
barotermometru	barotermometru
barou	barow
barremian	barremijan
bartiță	bartitsə
bartonian	bartonijan
barz	barz
barză	barzə
barșon	barʃon
bas	bas
basamac	basamak
basarab	basarab
basaraba	basaraba
basarabean	basarabĕan
basarabeancă	basarabĕankə
basarabescu	basarabesku
basarabi	basarabʲ
basc	bask
baschet	baskʲ̩et
baschetbalist	baskʲ̩etbalist
bascula	baskula
basculant	baskulant
basculare	baskulare
basculator	baskulator
bască	baskə
basidie	basidije
basidiomicetă	basidiomitʃetə
basidiospor	basidiospor
basilescu	basilesku
basist	basist
basm	basm
basma	basma
basnă	basnə
bason	bason
basorelief	basorelijef
basoreliev	basorelijev
basta	basta
bastard	bastard
bastardare	bastardare
bastarn	bastarn
bastiment	bastiment
bastingaj	bastinɡaʒ
baston	baston
bastonadă	bastonadə
bastonaș	bastonaʃ
bataj	bataʒ
batal	batal
batant	batant
batard	batard
batardou	batardow
batat	batat
batată	batatə
batav	batav
batcă	batkə
bate	bate
batel	batel
batem	batem
batere	batere
baterea	baterĕa
baterie	baterije
baterist	baterist
batic	batik
batigraf	batiɡraf
batigrafie	batiɡrafije
batigramă	batiɡramə
batimetric	batimetrik
batimetrie	batimetrije
batimetru	batimetru
batiscaf	batiskaf
batisferă	batisferə
batist	batist
batistă	batistə
batiu	batiw
batjocorire	batʒokorire
batjocorit	batʒokorit
batjocoritor	batʒokoritor
batjocoră	batʒokorə
batjocuri	batʒokurʲ
batjocurire	batʒokurire
batjocurit	batʒokurit
batjocură	batʒokurə
batoc	batok
batocrom	batokrom
batog	batoɡ
batojit	batoʒit
batolit	batolit
batometru	batometru
baton	baton
batozar	batozar
batoză	batozə
batâr	batɨr
bată	batə
batăr	batər
bau	baw
bauxită	bauksitə
bavarez	bavarez
bavaria	bavarija
bavetă	bavetə
bavețică	bavetsikə
bavură	bavurə
bavă	bavə
bax	baks
baza	baza
bazaconie	bazakonije
bazaconii	bazakonij
bazal	bazal
bazalt	bazalt
bazaltic	bazaltik
bazaochi	bazaokʲ̩ʲ
bazar	bazar
bazare	bazare
bazat	bazat
baze	baze
bazează	bazĕazə
bazedov	bazedov
bazedovian	bazedovijan
bazele	bazele
bazic	bazik
bazicitate	bazitʃitate
bazileu	bazilew
bazilical	bazilikal
bazilică	bazilikə
bazin	bazin
bazinaș	bazinaʃ
bazinet	bazinet
bazofil	bazofil
bazon	bazon
bazona	bazona
bazonare	bazonare
bazonat	bazonat
bașbuzuc	baʃbuzuk
bașoaldă	baʃŏaldə
baștină	baʃtinə
bea	bĕa
beat	bĕat
beau	bĕaw
bebe	bebe
bebeluș	bebeluʃ
bebeluși	bebeluʃʲ
bebeșel	bebeʃel
bec	bek
becali	bekali
becar	bekar
becațină	bekatsinə
becață	bekatsə
becer	betʃer
becerie	betʃerije
becheanu	bekʲ̩̩anu
becher	bekʲ̩er
becheraș	bekʲ̩eraʃ
beci	betʃʲ
becisnic	betʃisnik
becisnicie	betʃisnitʃije
beclean	beklĕan
beduin	beduin
begonie	beɡonije
behaism	behaism
behaviorism	behaviorism
behliță	behlitsə
behăire	behəire
behăit	behəit
behăitor	behəitor
behăitură	behəiturə
beica	bejka
beiuș	bejuʃ
bej	beʒ
bejan	beʒan
bejanie	beʒanije
bejenar	beʒenar
bejenaru	beʒenaru
bejenerie	beʒenerije
bejenie	beʒenije
bejenire	beʒenire
bejgăneanu	beʒɡənĕanu
bejănar	beʒənar
bejănire	beʒənire
bejănări	beʒənərʲ
bejănărie	beʒənərije
bejănărire	beʒənərire
bejănărit	beʒənərit
bel	bel
beladonă	beladonə
belarus	belarus
belcanto	belkanto
belciug	beltʃ̩uɡ
belciugat	beltʃ̩uɡat
belciugatele	beltʃ̩uɡatele
beldie	beldije
beldiță	belditsə
bele	bele
belea	belĕa
belemnit	belemnit
beletristic	beletristik
beletristică	beletristikə
belfer	belfer
belgi	beldʒʲ
belgrădean	belɡrədĕan
belgrădeancă	belɡrədĕankə
belhiță	belhitsə
belicist	belitʃist
belicos	belikos
beligan	beliɡan
beligerant	belidʒerant
beligeranță	belidʒerantsə
belinograf	belinoɡraf
belinogramă	belinoɡramə
belinț	belints
belire	belire
belit	belit
beliș	beliʃ
bellu	bellu
belotă	belotə
beltea	beltĕa
belvedere	belvedere
belzebut	belzebut
belșiță	belʃitsə
belșug	belʃuɡ
bem	bem
bemol	bemol
bemoliza	bemoliza
bemolizare	bemolizare
bemolizat	bemolizat
benchet	benkʲ̩et
benchetui	benkʲ̩etui
benchetuială	benkʲ̩etujalə
benchetuire	benkʲ̩etuire
benchi	benkʲ̩ʲ
bendix	bendiks
bendiță	benditsə
benedictin	benediktin
benedicțiune	benediktsiune
benefic	benefik
benefice	benefitʃe
beneficia	benefitʃija
beneficiar	benefitʃijar
beneficiere	benefitʃijere
beneficii	benefitʃij
benevol	benevol
benga	benɡa
bengal	benɡal
bengalez	benɡalez
benghi	bengʲ̩ʲ
benign	beniɡn
benignitate	beniɡnitate
beninez	beninez
beniș	beniʃ
benjamin	benʒamin
benoar	benŏar
bentiță	bentitsə
bentonic	bentonik
bentonit	bentonit
bentonită	bentonitə
bentos	bentos
benzaldehidă	benzaldehidə
benzedrină	benzedrinə
benzen	benzen
benzenic	benzenik
benzidină	benzidinə
benzii	benzij
benzil	benzil
benziliden	benziliden
benzină	benzinə
benzipiren	benzipiren
benzoe	benzoe
benzoic	benzoik
benzoil	benzoil
benzoilare	benzoilare
benzolism	benzolism
benzonaftol	benzonaftol
benzopirină	benzopirinə
benzopurpurină	benzopurpurinə
benă	benə
beoțian	beotsijan
berar	berar
berat	berat
berbant	berbant
berbantlâc	berbantlɨk
berbec	berbek
berbecar	berbekar
berbecat	berbekat
berbece	berbetʃe
berbecel	berbetʃel
berbeci	berbetʃʲ
berbecire	berbetʃire
berbecit	berbetʃit
berbecuț	berbekuts
berbecărie	berbekərije
berbeleacul	berbelĕakul
berber	berber
berberidacee	berberidatʃee
berbință	berbintsə
berc	berk
berca	berka
bercea	bertʃ̩a
berceanu	bertʃ̩anu
bere	bere
berechet	berekʲ̩et
beregate	bereɡate
beregată	bereɡatə
beret	beret
beretă	beretə
berești	bereʃtʲ
bergamot	berɡamot
bergamut	berɡamut
beril	beril
beriliu	berilju
berjeră	berʒerə
berlinez	berlinez
berlină	berlinə
bermudă	bermudə
bermă	bermə
bernardin	bernardin
bernea	bernĕa
bernă	bernə
berton	berton
bertă	bertə
berzasca	berzaska
berze	berze
berărie	berərije
besacte	besakte
besactea	besaktĕa
best	best
bestial	bestijal
bestialitate	bestijalitate
bestiar	bestijar
bestie	bestije
bestseller	bestsel̩ər
beta	beta
betatron	betatron
beteag	betĕaɡ
beteală	betĕalə
betegeală	betedʒ̩alə
betegie	betedʒije
betegire	betedʒire
betegit	betedʒit
betejeală	beteʒĕalə
betejire	beteʒire
betejit	beteʒit
betel	betel
betelie	betelije
beteșug	beteʃuɡ
beton	beton
betona	betona
betonare	betonare
betonat	betonat
betonică	betonikə
betonier	betonijer
betonieră	betonijerə
betonist	betonist
betulacee	betulatʃee
beucă	beukə
beutură	beuturə
beuță	beutsə
bevatron	bevatron
bezea	bezĕa
bezmetec	bezmetek
bezmetic	bezmetik
bezmeticire	bezmetitʃire
bezmeticit	bezmetitʃit
beznei	beznej
beznă	beznə
beșica	beʃika
beșicare	beʃikare
beșicat	beʃikat
beșicos	beʃikos
beșicuță	beʃikutsə
beșleagă	beʃlĕaɡə
beșlic	beʃlik
beșliu	beʃliw
beșteleală	beʃtelĕalə
beșteli	beʃteli
beștelire	beʃtelire
beștelit	beʃtelit
beție	betsije
bețigaș	betsiɡaʃ
bețiv	betsiv
bețivan	betsivan
bețivancă	betsivankə
bețișor	betsiʃor
biacid	bjatʃid
bianual	bianuwal
biata	bjata
biatomic	bjatomik
biban	biban
bibazic	bibazik
bibelou	bibelow
biber	biber
biberet	biberet
biberon	biberon
bibic	bibik
bibică	bibikə
bibil	bibil
bibilică	bibilikə
bibiloi	bibiloj
biblic	biblik
biblie	biblije
bibliobuz	bibliobuz
bibliofag	bibliofaɡ
bibliofil	bibliofil
bibliofilie	bibliofilije
bibliofilistic	bibliofilistik
bibliofilm	bibliofilm
bibliofob	bibliofob
bibliofobie	bibliofobije
bibliograf	biblioɡraf
bibliografic	biblioɡrafik
bibliografie	biblioɡrafije
bibliografiere	biblioɡrafijere
bibliolog	biblioloɡ
bibliologic	bibliolodʒik
bibliologie	bibliolodʒije
biblioman	biblioman
bibliomanie	bibliomanije
biblioraft	biblioraft
biblioteca	biblioteka
bibliotecar	bibliotekar
biblioteconomic	bibliotekonomik
biblioteconomie	bibliotekonomije
bibliotecă	bibliotekə
bibliotehnică	bibliotehnikə
bicameral	bikameral
bicarbonat	bikarbonat
bicarpelar	bikarpelar
bicaz	bikaz
bicefal	bitʃefal
bicentenar	bitʃentenar
biceps	bitʃeps
bichirire	bikʲ̩irire
bichirit	bikʲ̩irit
bici	bitʃʲ
bicicletă	bitʃikletə
biciclic	bitʃiklik
biciclist	bitʃiklist
biciclu	bitʃiklu
bicisnic	bitʃisnik
bicisnicie	bitʃisnitʃije
biciul	bitʃ̩ul
biciușcă	bitʃ̩uʃkə
biciușor	bitʃ̩uʃor
biclorură	biklorurə
bicolor	bikolor
biconcav	bikonkav
biconvex	bikonveks
bicorn	bikorn
bicromat	bikromat
bicromatic	bikromatik
bicuspid	bikuspid
bideu	bidew
bidibiu	bidibiw
bididiu	bididiw
bidinea	bidinĕa
bidiviu	bidiviw
bidon	bidon
bidulescu	bidulesku
bieletă	bijeletə
bielă	bijelə
bienal	bijenal
biet	bjet
bietei	bjetej
bietul	bjetul
bieți	bjetsʲ
bifa	bifa
bifare	bifare
bifat	bifat
bifazat	bifazat
bifazic	bifazik
bifid	bifid
bifilar	bifilar
biflor	biflor
bifocal	bifokal
bifoliat	bifolijat
bifor	bifor
biftec	biftek
bifurca	bifurka
bifurcare	bifurkare
bifurcase	bifurkase
bifurcat	bifurkat
bifurcație	bifurkatsije
bigam	biɡam
bigamie	biɡamije
bigeminism	bidʒeminism
bigeneric	bidʒenerik
bigot	biɡot
bigoterie	biɡoterije
bigotism	biɡotism
bigrilă	biɡrilə
bigserv	biɡserv
bigudiu	biɡudiw
bigă	biɡə
bihindisire	bihindisire
bihorean	bihorĕan
bihoreancă	bihorĕankə
bihun	bihun
bihuncă	bihunkə
bijuterie	biʒuterije
bilabial	bilabijal
bilabiat	bilabijat
bilanț	bilants
bilanțier	bilantsijer
bilanțul	bilantsul
bilateral	bilateral
bilateralism	bilateralism
bilașco	bilaʃko
bilentilă	bilentilə
bilet	bilet
bilete	bilete
biletă	biletə
bilețel	biletsel
biliar	bilijar
biliard	bilijard
biligeneză	bilidʒenezə
bilingv	bilinɡv
bilioanele	biliŏanele
bilios	bilios
bilirubină	bilirubinə
biliverdină	biliverdinə
bilobat	bilobat
bilocular	bilokular
bilunar	bilunar
bilă	bilə
biman	biman
bimbașă	bimbaʃə
bimensual	bimensuwal
bimestrial	bimestrijal
