کے	keː
صل	ʂˈʌl
فردوس	fɪrdˈɔːs
لاشاری	laːʃˈaːri
مومل	mˈoːməl
نسرین	nˌəsrˈiːn
نمی	nˈʌmi
ٹائی	ʈˈaːi
پولو	pˈoːloː
پھنسی	pʰˈʌnsi
پیاروں	pjˈaːrõː
ڈرا	ɖˈʌraː
ڈھونڈ	ɖʰˈuːnɖ
کشمکش	kˈaʃmakˌaʃ
کےقریب	kˌeːqrˈiːb
انشا	ˈɪnʃaː
بدعنوان	bˌədʊnʋˈaːn
بیکری	bˈeːkrˌiː
تالاب	taːlˈaːb
خدیجہ	xədˈiːɟˌa
خم	xˈʌm
دھاڑ	dʰˈaːr.
رحجان	rˌəhəɟˈaːn
رپورٹر	rɪpˈoːrʈər
سرنگوں	sʊrˈanɡõː
عمیر	ʊmˈeːr
فطری	fˈɪtrˌiː
قیاس	qˈajaːs
ماریہ	maːrˈiːa
مواصلاتی	mˌaʋaːʂlˈaːti
میڈیاسے	mˈeːɖjaːsˌeː
نادرن	nˈaːdərˌən
نارکوٹکس	nˌaːrkˈoːʈəkˌəs
واویلا	ʋaːʋˈiːlaː
وڑائچ	ʋər.ˈa͡ɪc
پولینڈ	poːlˈiːnɖ
چھے	cʰˈeː
کلاشنکوف	kˌəlaːʃˌɪnkˈoːf
کوبتادیا	kˌoːbtaːdˈiːaː
بابو	bˈaːboː
بارگاہوں	bˌaːrɡˈaːhõː
بتایاگیا	bˌətaːjˈaːɡjaː
بکنگ	bˈʊkɪnɡ
جد	ɟˈʌd
جرنلسٹس	ɟˌərənəlˈʌsʈs
جوا	ɟˈaʋaː
جوابدہ	ɟˈaʋaːbda
رئیل	rəˈiːl
رضاکاروں	rˌəzaːkˈaːrõː
ستاروں	sɪtˈaːrõː
سنبھالا	sənbʰˈaːlaː
سوائن	saʋˈa͡ɪn
طلعت	təlˈaːt
قراقرم	qərˈaːqərˌəm
مارکر	mˈaːrəkˌər
مریضہ	mərˈiːzˌa
پٹرولنگ	pˌəʈrˈoːlɪnɡ
پیمانہ	peːmˈaːnˌa
ڈاکووٴں	ɖˈaːlˈalɪfkˈaːfˈoːˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnɣʊnnˌa
ڈاکہ	ɖˈaːkˌa
ڈبلز	ɖˈʌbəlˌəz
گزارا	ɡʊzˈaːraː
گھنٹی	ɡʰˈʌnʈˌiː
اسٹیٹس	ɪsʈˈiːʈs
السیسی	alsˈeːsi
بج	bˈʌɟ
بچالیا	bəcˈaːljaː
جونیجو	ɟoːnˈiːɟoː
خاصا	xˈaːʂaː
دوحہ	dˈoːhəˌa
دھڑے	dʰˈʌr.eː
رکشے	rˈʌkʃˌeː
سویا	sˈoːjaː
فرما	fˈʌrmˌaː
لارڈ	lˈaːrɖ
لمحے	lˈʌmhˌeː
مصافحہ	məʂˈaːfəhˌəa
ٹس	ʈˈʌs
پشاورہائیکورٹ	pˌəʃaːʋˌərhˌaːikˈoːrʈ
پلیئرز	pˌəliˈarz
پڑھائی	pər.hˈaːi
پہنچائے	pahˈʊncaːˌeː
کرناٹک	kˌərnˈaːʈək
کھولا	kʰˈoːlaː
ہیک	hˈeːk
یوفون	jɔfˈoːn
آسکر	ˈaːsəkˌər
بخود	bˈaxʊd
بلائی	bəlˈaːi
بچھانے	bɪcʰˈaːneː
داؤ	dˈaːoː
دعاؤں	dˌʊaːˈoːn
رنویر	rənʋˈiːr
ریسٹ	rˈeːsʈ
سینیئر	sˌiːniˈar
شمشاد	ʃˌəmʃˈaːd
شکرگزار	ʃˌəkərˌəɡzˈaːr
غنڈہ	ɣˈʌnɖəˌa
فلک	fˈʌlək
متن	mˈʌtən
مسلک	mˈaslak
مشروبات	mˌəʃrˌuːbˈaːt
نافرمانی	nˌaːfərmˈaːni
نوکریاں	noːkˈʌrjãː
وویمن	ʋʋˈeːmən
وہیکل	ʋəhˈiːkəl
ٹوپی	ʈˈoːpi
ٹوک	ʈˈoːk
پرتبادلہ	pˌərətbˈaːdəla
پمپس	pˈʌmpəs
پھاٹک	pʰˈaːʈək
پیما	pˈeːmaː
چوالیس	cˌaʋaːlˈiːs
کرگیا	kərˈʌɡjaː
کواپنے	kaʋˈaːpnˌeː
کیٹیگری	keːʈˈiːɡrˌiː
اتریں	ˈʊtrẽː
اظر	ˈaʐər
باغات	bˌaːɣˈaːt
باقر	bˈaːqɪr
باوٴلنگ	bˈeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrlˈaːmnˈuːnɡˈaːf
برائن	bərˈa͡ɪn
برتی	bˈʌrtˌiː
بھانجا	bʰˈaːnɟaː
تواس	tˈaʋaːs
سمز	sˈʌməz
سیفران	sˌeːfrˈaːn
سیکھ	sˈiːkʰ
شقوں	ʃˈʌqõː
عبدالوحید	ˌabdˌaːloːhˈiːd
لبرل	lˈʌbərˌəl
مائیک	maːˈiːk
مرحومہ	mˌərhˈuːmˌa
وارثی	ʋˈaːrsˌiː
پالیا	pˈaːljaː
پورٹس	pˈoːrʈs
پکار	pʊkˈaːr
چرا	cˈʌraː
کارخانے	kˌaːrxˈaːneː
کاغذ	kaːɣˈaz
کانوٹس	kaːnˈoːʈs
کنٹرولر	kˈanʈroːlˌər
ؤ	ʋˌaːɔhˈamza
اقرار	ɪqrˈaːr
اپنانا	ˌapnˈaːnaː
بحیرہ	bəhˈiːrˌa
براک	bərˈaːk
حویلیاں	haʋˈeːljãː
خیالی	xˈajaːlˌiː
دلاتے	dɪlˈaːteː
دماغی	dɪmˈaːɣi
ذائقہ	zˈa͡ɪqˌa
ذکا	zˈʌkaː
زیور	zˈeːʋər
سرگودہا	sˌərɡˈoːdhˌaː
سسر	sˈʌsər
لفٹنگ	lˈɪfʈnɡ
مخلوق	mˌəxlˈuːq
ميں	mˈẽ
ورزیاں	ʋərˈʌzjãː
پوسٹر	pˈoːsʈər
پٹھانکوٹ	pˌəʈʰaːnkˈoːʈ
چولستان	cˌoːlɪstˈaːn
چٹنی	cˈʌʈnˌiː
کزن	kˈʌzən
کود	kˈuːd
کچن	kˈʌcən
کین	kˈeːn
کیوجہ	keːˈoːɟˌa
ہلدی	hˈʌldˌiː
آلودہ	aːlˈuːda
المقدس	almˌʊqadˈas
بازل	bˈaːzəl
برکت	bˈarkat
بریڈ	bərˈiːɖ
بناتی	bənˈaːti
بکتر	bˈaktar
بھٹیاں	bʰˈʌʈjãː
تبلیغی	tˌəblˈiːɣi
جیالوں	ɟjˈaːlõː
حاکم	hˈaːkəm
خاکے	xˈaːkeː
درگئی	dˌərɡˈai
رابرٹ	raːbˈʌrʈ
رومز	rˈoːməz
سبزواری	sˌəbzʋˈaːri
شیراز	ʃeːrˈaːz
فرنیچر	fˌərnˈiːcər
مواقعوں	mˌaʋaːqˈaːõː
نس	nˈʌs
پارکوں	pˈaːrkˌõː
پرتپاک	pˌərətpˈaːk
پیارے	pjˈaːreː
کیڑے	kˈiːr.eː
گانوں	ɡˈaːnõː
ھو	hˈʌoː
ہیکرز	heːkˈʌrz
اشاروں	ɪʃˈaːrõː
اعزازات	eːzˈaːzaːt
الہ	ˈalˌa
اوچھے	ˈoːcʰeː
باؤنڈری	baːˈoːnɖərˌiː
ثانوی	sˈaːnʋi
جیکی	ɟˈeːki
خسرے	xˈʌsrˌeː
دلدل	dˈʌlədˌəl
دھڑکن	dʰˈʌr.əkˌən
دیانتداری	djˌaːnətdˈaːri
دیواروں	dˈiːʋaːrˌõː
ردوبدل	rədˈoːbədˌəl
رکھنی	rˈʌkʰnˌiː
سنگیتا	sˌənɡˈiːtaː
فیچرز	feːcˈʌrz
قلعے	qəlˈaːeː
لالہ	lˈaːlˌa
لوہا	lˈoːhaː
مثالیں	mɪsˈaːlẽː
مواخذے	maʋˈaːxzˌeː
نادہندہ	nˌaːdahˈɪnda
نگہداشت	nˌɪɡɛhdˈaːʃt
ٹیلر	ʈˈeːlər
پاسداران	pˌaːsdaːrˈaːn
پیف	pˈeːf
ڈو	ɖˈoː
کمانڈنٹ	kəmˈaːnɖənʈ
کنول	kʌ̃ʋˈal
کھانوں	kʰˈaːnõː
گریٹ	ɡərˈiːʈ
یارک	jˈaːrək
ابتداء	ˈɪbtˌɪdaː
انٹرپول	ɪnʈˈarpoːl
جولی	ɟˈoːli
حکمراں	hˈʌkəmrãː
رپورٹنگ	rɪpˈoːrʈɪnɡ
زکریا	zəkˈʌrjaː
سروں	sˈʌrõː
سسی	sˈʌsi
سوڈان	soːɖˈaːn
شجرکاری	ʃˌəɟərkˈaːri
شہلا	ʃˈɛhlaː
عوا	ˈaʋaː
لوٹے	lˈoːʈeː
ناکے	nˈaːkeː
پتوں	pˈʌtõː
پرندہ	parˈɪnda
پرچہ	pˈʌrca
پریمئیر	pˌərimˈiːr
پیوند	peːʋˈand
چھائے	cʰˈaːeː
کاایک	kˌaːaːˈiːk
کاپٹرز	kˌaːpəʈˈʌrz
کرنیوالا	kˌərneːʋˈaːlaː
کنسرٹ	kənsˈʌrʈ
گندے	ɡˈʌndeː
ہوائیں	hˌaʋaːjˈeːn
یوآئی	jɔˈaːi
یورینیم	jˌuːreːniˈam
ئیگی	ˈeːɡi
ادیبوں	adˈiːbõː
الاول	alˈaʋʋal
برسراقتدار	bˌarsˈaraːqˌətdˌaːr
بیٹیاں	bˈeːʈjãː
ترکیب	tˌərkˈiːb
تھنک	tʰˈʌnək
جامشورو	ɟˌaːmʃˈoːroː
حوثیوں	hˈoːsiˌõː
خدشے	xˈʌdʃˌeː
خنجر	xˈʌnɟər
زیرہ	zˈeːrˌa
سائیکلیں	saːˈiːklˌẽː
سوئمنگ	soːˈɪmənɡ
سونیا	sˈoːnjaː
سہرا	sˈɛhraː
سیکھنا	sˈiːkʰnaː
شکوک	ʃʊkˈuːk
قمیض	qəmˈiːz
لاقانونیت	lˌaːqaːnˌoːniˈat
لیجئے	lˈeːɟˌeː
مسخ	mˈasx
وجغرافیائی	ʋˌəɟəɣrˈaːfjaːˌiː
وزرات	ʋˌʊzarˈaːt
وفاداری	ʋˌəfaːdˈaːri
پراسیکیوشن	pˌəraːsˌiːkeːˈoːʃən
کھال	kʰˈaːl
کہوں	kˈʌhõː
کینیڈین	kˌɛneːɖiˈan
یلغار	jˌəlɣˈaːr
اسٹینڈ	ɪsʈˈeːnɖ
امراء	ˈamrˌaː
ایئرلائن	eːˈarlˌa͡ɪn
ایٹم	ˈeːʈəm
تاریخوں	taːrˈiːxõː
خوردنی	xˈʊrdni
رابعہ	rˈaːbɪˌa
رکے	rˈʊkeː
ریفرنسز	rˌeːfərˈʌnsəz
سرکہ	sˈarka
سنگلز	sˈʌnəɡˌələz
سیکوئل	sˌeːkoːˈɪl
عذرا	ˈʊzraː
عمریں	ˈʊmrẽː
عیسائی	ˈiːsaːˌiː
غیرمعمولی	ɣˌeːrmˈaːmuːlˌiː
فحش	fˈʌhəʃ
لاروا	lˈaːrʋaː
لاپتا	lˈaːptˌaː
لنگر	lˈʌnəɡˌər
مانا	mˈaːnaː
مزیدکہاکہ	mˌəzidˌəkhˈaːkˌa
مچل	mˈʌcəl
ویلی	ʋˈeːli
پہنچتے	pahˈʊncteː
چڑھاؤ	cər.hˈaːoː
کلمات	kˌələmˈaːt
کلچرل	kˈʌləcˌərəl
کنویں	kˈũːẽː
کینیا	kˈeːnjaː
ہاٹ	hˈaːʈ
ہیلری	hˈeːlrˌiː
یورپین	jˌɔrpˈiːn
افسانہ	ˌafsˈaːnˌa
الے	ˈaleː
اورملک	ˈoːrəmˌələk
اوپننگ	oːpˈanɪnɡ
برساتی	bˌərsˈaːti
برسر	bˌarsˈar
بشارالاسد	bˌəʃaːraːlˈaːsəd
بہیمانہ	bˌəhimˈaːnˌa
بیسٹ	bˈeːsʈ
تضاد	təzˈaːd
جئے	ɟˈʌeː
حوالات	haʋˈaːlaːt
دیانتدار	djˌaːnətdˈaːr
راجپوت	rˌaːɟpˈoːt
شاخ	ʃˈaːx
شنگھائی	ʃˌənɡʰˈaːi
صبا	ʂˈʌbaː
عمارات	ˌɪmaːrˈaːt
فزیکل	fəzˈiːkəl
فلیٹس	flˈeːʈs
قلندر	qəlˈʌndər
مئیر	məˈiːr
ماڑی	mˈaːr.i
مساوات	mˌasaːʋˈaːt
میکسیکو	mˌeːksˈiːkoː
نافذکرنے	nˈaːfəzˌəkərneː
پیپکو	pˈeːpkˌoː
چاکلیٹ	cˈaːkleːʈ
چکنا	cˈɪknaː
کاغلط	kˈaːɣəlˌət
کڑا	kˈʌr.aː
گرے	ɡˈɪreː
یوکرائن	jˌɔkrˈa͡ɪn
ابن	ˈɪbn
ارض	ˈarz
استور	ˌastˈoːr
الدعوۃ	aldaːˈoːt
اونچے	ˈuːnceː
اپارٹمنٹ	apˈaːrʈəmˌənʈ
بلنگ	bˈʌlənɡ
بلوچی	bəlˈoːci
تحصیلدار	tˌɛhʂildˈaːr
جاتاہے	ɟaːtˈaːheː
جلائے	ɟəlˈaːeː
جوئے	ɟˈoːeː
جین	ɟˈeːn
داسو	dˈaːsoː
دلبرداشتہ	dˌələbrdˈaːʃta
زاد	zˈaːd
سارہ	sˈaːrˌa
سرینگر	sərˈiːnəɡˌər
سٹیٹس	sʈˈeːʈs
شادیاں	ʃˈaːdjãː
عرق	ˈarəq
لائسنسوں	la͡ɪsˈʌnsõː
مانوس	maːnˈoːs
میران	meːrˈaːn
میکنزم	mˈeːkənˌəzəm
نگری	nˈʌɡrˌiː
چرچے	cˈʌrceː
چوٹ	cˈoːʈ
چھلانگ	cʰəlˈaːnɡ
کلفٹن	kˈʌləfˌəʈən
کوگرفتارکرلیا	kˌoːɡərˌəftˌaːrəkərˈʌljaː
گیری	ɡˈiːri
ہندی	hˈɪndi
ہومز	hˈoːməz
آسامیاں	aːsˈaːmjãː
اظہارانہوں	ˌɪʐhaːrˈaːnhˌõː
انویسٹمنٹ	anʋˈiːsʈəmˌənʈ
باوقار	bˌaːʋqˈaːr
بندہ	bˈʌnda
تاروں	tˈaːrõː
تسخیر	tˌəsxˈiːr
جیکسن	ɟˈeːkəsˌən
خاکی	xˈaːki
دید	dˈiːd
سٹر	sˈʌʈər
سٹرکچر	sˈʌʈərˌəkəcˌər
سیسہ	sˈeːsˌa
قصہ	qˈɪʂˌa
مانگیں	mˈaːnɡˌẽː
مرہ	mˈʌrˌa
مصالحے	mʊʂˈaːlɪhˌeː
مندوں	mˈʌndõː
میا	mjˈaː
نعشیں	nˈaːʃẽː
وائرل	ʋˈa͡ɪrəl
وارڈز	ʋˈaːrɖz
پہنے	pˈɛhneː
ڈمپر	ɖˈʌmpər
کاانکشاف	kˌaːaːnˌəkʃˈaːf
کلے	kˈʌleː
کویہاں	kaʋˈiːhãː
کھوئی	kʰˈoːi
کیاجارہا	kjaːɟˈaːrhˌaː
گلوکاروں	ɡˌəloːkˈaːrõː
گور	ɡˈoːr
گڈو	ɡˈʌɖoː
گھومتی	ɡʰˈoːmtˌiː
یونیورسل	jˌɔneːˈoːrəsˌəl
اجارہ	ɪɟˈaːrˌa
افضال	ˌafzˈaːl
انسپکٹرز	ˌɪnspəkʈˈarz
اینڈرسن	ˈeːnɖərˌəsən
بارگین	bˌaːrɡˈiːn
بونس	bˈoːns
بڑھی	bˈar.hi
جرنیل	ɟˈarneːl
دھرے	dʰˈʌreː
رویئے	raʋˈaiˌeː
زونز	zˈoːnəz
ساکن	sˈaːkən
صنعتکار	ʂanˈatkaːr
لومیا	lˈoːmjaː
لہجے	lˈɛhɟeː
مشیروں	mʊʃˈiːrõː
موسلا	mˈoːslˌaː
مہ	mˈʌa
نائک	nˈa͡ɪk
نیلام	neːlˈaːm
ٹینکرز	ʈˌeːnəkˈʌrz
چاکنگ	cˈaːkɪnɡ
کلاسز	klˈaːsz
کولمبو	koːlˈʌmboː
کھویا	kʰˈoːjaː
گالف	ɡˈaːləf
یہودیوں	jahˈuːdiˌõː
احباب	ɛhbˈaːb
ارجن	ˈarəɟˌən
انسپکشن	ˈɪnspəkˌəʃən
براستہ	bərˈaːstˌa
بریف	bərˈiːf
بزدل	bˈʊzdɪl
بینر	bˈeːnər
جالندھری	ɟaːlˈʌndʰərˌiː
خلائی	xəlˈaːi
دلاتا	dɪlˈaːtaː
رسومات	rˌʊsuːmˈaːt
سدرامیا	sˌədrˈaːmjaː
سفاک	səfˈaːk
سمجھیں	sˈʌmɟʰˌẽː
سنگاپور	sˌənɡaːpˈoːr
شیشہ	ʃˈiːʃa
ضد	zˈʌd
قو	qˈoː
مصالحتی	mˌʊʂaːlɪhˈati
مٹھائیاں	məʈʰˈaːjãː
نارمل	nˈaːrmal
چندہ	cˈʌnda
چھتوں	cʰˈʌtõː
چھوڑنا	cʰˈoːr.nˌaː
ڈائریکٹ	ɖa͡ɪrˈeːkʈ
ڈیویلپمنٹ	ɖeːʋˈiːləpˌəmənʈ
ڈیپوٹیشن	ɖˌeːpoːʈeːʃˈan
کادفاع	kaːdˈɪfaː
کلئیر	kˌəlˈiːr
گرفتا	ɡˈɪrɪftˌaː
گزارنا	ɡʊzˈaːrnaː
گستاخی	ɡˌəstˈaːxi
اخلاقیات	ˌaxlˌaːqiˈaːt
اسلوبی	ˌaslˈoːbi
اوول	oːˈoːl
اہلحدیث	ˌahəlˌəhədˈiːs
اینجلس	ˈeːnɟəlˌəs
بلوچوں	bəlˈoːcõː
بنادیں	bənˈaːdẽː
بندہونا	bˌəndəhˈoːnaː
بنیا	bˈʌnjaː
بھاوٴ	bˈeːdɔcˈaʃmihˌeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːr
ترانہ	tərˈaːnˌa
تمغے	tˈʌmɣˌeː
دباو	dəbˈaːoː
رونا	rˈoːnaː
رٹی	rˈʌʈi
سازشی	sˈaːzʃˌiː
سرشار	sˌərʃˈaːr
سرطان	sˌərtˈaːn
سویرے	saʋˈeːreː
فنانشل	fənˈaːnəʃˌəl
مظفرگڑھ	mˌəʐəfˌərəɡˈʌr.h
پریشانیوں	pˌəriʃˈaːniˌõː
ڈیوٹیاں	ɖjuːʈˈiːãː
کردیاہے	kərdjˈaːheː
کرینگی	kərˈiːnɡˌiː
کفایت	kˌɪfaːjˈat
کوڑے	kˈoːr.eː
کھائیں	kʰˈaːẽː
کیفے	kˈeːfeː
گال	ɡˈaːl
گوجرہ	ɡˈoːɟəra
گولن	ɡˈoːlən
ہتک	hˈʌtək
ہورہاہے	hˌoːrhˈaːheː
آمیزہ	aːmˈeːza
ارتکاب	ˌɪrtɪkˈaːb
المسلمون	almˈʊslˌɪmoːn
بستیوں	bˈʌstˌiõː
بٹھا	bˈɪʈʰaː
ترویج	tərʋˈiːɟ
تصفیہ	tˌəʂfˈiːa
تہذیبوں	tɛhzˈiːbõː
راوٴنڈ	rˈeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnɖˈaːl
سلاد	səlˈaːd
شہرمیں	ʃˈɛhrəmˌẽː
طلوع	tˈʊluː
عورتیں	aˈoːrtˌẽː
منحصر	mˌʊnhˈaʂɪr
مندوخیل	mˌənduːxˈiːl
مہربانی	mˌɛhɛrbˈaːni
نارنگ	nˈaːrənɡ
ننھے	nˈʌnheː
ول	ʋˈʌl
ٹرم	ʈˈʌrəm
چنوں	cˈʌnõː
کولکتہ	kˈoːləkta
گ	ɡˈaːf
گالیاں	ɡˈaːljãː
گواہان	ɡˌaʋaːhˈaːn
آرٹسٹ	ˈaːrʈəˌɪsʈ
باور	bˈaːʋər
بڑھائیں	bˈar.haːˌẽː
بیلا	bˈeːlaː
جزیرہ	ɟəzˈiːrˌa
جوڑوں	ɟˈoːr.õː
حصار	hɪʂˈaːr
دھاوا	dʰˈaːʋaː
رسوخ	rəsˈoːx
روشنیوں	rˈoːʃnˌiõː
ستی	sˈʌti
سلامت	səlˈaːmət
سنبھالیں	sənbʰˈaːlẽː
سنیپ	sənˈiːp
سڈنی	sˈʌɖnˌiː
شہریارخان	ʃˈɛhrjaːrxaːn
عبرتناک	ɪbrˈatnaːk
غاصبانہ	ɣˌaːʂbˈaːnˌa
ماؤں	maːˈoːn
منظورکرلی	mˌanʐˈuːrkərli
مے	mˈeː
پامالی	paːmˈaːli
پرفی	pˈʌrfˌiː
پروقار	pˌəroːqˈaːr
پھیلی	pʰˈeːli
پہننے	pˈɛhɛnneː
کاریوں	kˈaːriˌõː
کروانی	kərʋˈaːni
کھنہ	kʰˈʌnˌa
گریبان	ɡˌəribˈaːn
ہوے	hˈaʋeː
یہیں	jahˈĩː
آئینگے	aːˈiːnɡˌeː
بولتے	bˈoːltˌeː
بیانی	bajˈaːni
تخلیقی	tˌəxlˈiːqi
ترس	tˈʌrəs
تفویض	təfʋˈiːz
جیکٹ	ɟˈeːkɪʈ
دالبندین	dˌaːləbndˈiːn
دانت	dˈaːnt
دانے	dˈaːneː
رتی	rˈʌti
سمال	səmˈaːl
شئیر	ʃəˈiːr
شرف	ʃˈarf
شروعات	ʃˌʊruːˈaːt
شہادتوں	ʃəhˈaːdtˌõː
صفت	ʂɪfˈat
قول	qˈoːl
مصائب	məʂˈa͡ɪb
معرکہ	mˈaːrka
منازل	mənˈaːzəl
ولیم	ʋəlˈiːm
ویران	ʋirˈaːn
ویلز	ʋˈeːləz
پسے	pˈʌseː
پشاورکے	pəʃˈaːʋərkeː
پنڈال	pənɖˈaːl
پوسٹل	pˈoːsʈəl
چھپی	cʰˈʌpi
کچھی	kˈʌcʰi
آمرانہ	ˌaːmrˈaːnˌa
آمیزے	aːmˈeːzeː
ابہام	ɪbhˈaːm
افرادگرفتار	ˌafrˌaːdəɡˌərəftˈaːr
الائچی	alˈa͡ɪci
اٹھارہویں	ˌaʈʰaːrˈʌhʋẽː
ایڈشنل	ˈeːɖəʃˌənəl
بربادی	bˌərbˈaːdi
برگ	bˈarɡ
بلانا	bəlˈaːnaː
تئیس	təˈiːs
تصویریں	təʂʋˈiːrẽː
جیکولین	ɟˌeːkoːlˈiːn
درندگی	darˈɪndɡi
دیہاڑے	deːhˈaːr.eː
رائٹ	rˈa͡ɪʈ
سمتھ	sˈɪmthh
شپنگ	ʃˈʌpənɡ
صلہ	ʂˈɪla
غائبانہ	ɣa͡ɪbˈaːnˌa
لمیت	lˌəmiˈat
لٹریچر	lˌəʈrˈiːcər
مجبوری	mˌəɟbˈuːri
مصالحت	mˌʊʂaːlɪhˈat
ملازمہ	mʊlˈaːzɪma
موسیقار	mˌoːsiqˈaːr
نظربندی	naʐˈarbəndˌiː
ٹھہرایا	ʈʰɛhrˈaːjaː
پسی	pˈʌsi
پیرمحل	pˈeːrəmˌəhəl
ڈبے	ɖˈʌbeː
کااستعمال	kˌaːaːstˈaːmaːl
گواہی	ɡaʋˈaːhi
گھمبیر	ɡʰəmbˈiːr
یکے	jˈʌkeː
ادار	ɪdˈaːr
الشریفین	alʃˌərifˈiːn
اکاونٹ	ˌɪkaːʋˈanʈ
بنگلا	bˈʌnəɡlaː
بوڑھا	bˈuːr.haː
بہو	bˈʌhoː
تعمیروترقی	tˈaːmirˌoːtərqi
تہذیبی	tɛhzˈiːbi
رمیش	rəmˈiːʃ
سرجن	sˈarɟan
سفارتکار	sɪfˈaːratkˌaːr
سچن	sˈʌcən
سگالی	səɡˈaːli
ضمی	zˈʌmi
فلوجہ	fəlˈoːɟˌa
میسنجر	meːsˈʌnɟər
وائرلیس	ʋˌa͡ɪrlˈiːs
ووکیشنل	ʋoːkˈeːʃnal
ٹکٹنگ	ʈˈʌkʈˌɪnɡ
چھوڑی	cʰˈoːr.i
چیمبرز	cˈeːmbərz
کواس	kaʋˈaːs
کوریجہ	koːrˈiːɟˌa
گردیزی	ɡərdˈiːzi
گنڈاپور	ɡˌənɖaːpˈoːr
ہٹانا	həʈˈaːnaː
آرائیں	aːrˈaːẽː
اقلیت	ˌaqaliˈat
انحراف	ˌɪnhɪrˈaːf
بالر	bˈaːlɪr
بدلنا	bˈʌdəlnaː
برقی	bˈʌrqˌiː
بینی	bˈiːni
بیٹ	bˈeːʈ
تاریک	taːrˈiːk
تیری	tˈeːri
خوار	xʋˈaːr
دوگنا	dˈoːɡnˌaː
دوہرے	dˈoːhreː
سالار	saːlˈaːr
سٹڈیز	sˌəʈɖˈiːz
سہی	sˈʌhi
شباب	ʃəbˈaːb
شکا	ʃˈʌkaː
عابدی	ˈaːbdˌiː
عبدالکریم	ˌabdˌaːləkrˈiːm
فیڈ	fˈeːɖ
مست	mˈʌst
موجو	mˈoːɟoː
نغمہ	nˈaɣma
نوں	nˈõː
ورکشاپس	ʋˌərəkʃˈaːpəs
ٹرینیں	ʈrˈeːnẽː
ٹیگ	ʈˈeːɡ
پرکام	pˌərkˈaːm
چندریگر	cˌəndərˈiːɡər
کردگی	kˈʌrdəɡˌiː
کھلیں	kʰˈʌlẽː
گردشی	ɡˈʌrdəʃˌiː
ہارے	hˈaːreː
ہندوؤں	hˌɪnduːˈoːn
اصلاحاتی	ˌɪʂlˈaːhaːtˌiː
اوربھارت	ˌoːrbʰˈaːrət
اکیلا	akˈeːlaː
بولنا	bˈoːlnˌaː
بڑھائے	bˈar.haːˌeː
بہاؤالدین	bˌəhaːˌoːaːldˈiːn
جوڑنے	ɟˈoːr.nˌeː
دفتری	dˈʌfətri
دنیائے	dʊnˈiːaːˌeː
دیوالیہ	dˈiːʋaːlˌiːa
سنسان	sʊnsˈaːn
سنیئر	sˌəniˈar
سٹیئرنگ	sʈeːˈarɪnɡ
سچی	sˈʌci
طب	tˈɪb
فرٹیلائزر	fˌərʈilˈa͡ɪzər
لٹیروں	ləʈˈiːrõː
محلوں	mˈɛhlõː
مشاہدہ	mʊʃˈaːhɪdˌa
مصدق	mʊʂˈadːɪq
موٹو	mˈoːʈoː
میتیں	mˈeːtẽː
نکلتے	nɪkˈalteː
پتلی	pˈʌtlˌiː
پشاورپولیس	pˌəʃaːʋˌərpoːlˈiːs
پلٹ	pˈʌləʈ
پھینکا	pʰˈeːnkˌaː
چوبند	coːbˈʌnd
چھپنے	cʰˈʌpnˌeː
کابیان	kˈaːbjaːn
کاٹی	kˈaːʈi
کنگنا	kˈʌnɡnaː
گوداموں	ɡoːdˈaːmõː
ہمدردوں	hˈamdərdˌõː
اطالوی	atˈaːlʋi
افزا	ˈafzˌaː
اورپاک	ˌoːrpˈaːk
بتیس	bətˈiːs
بلاتفریق	bˌəlaːtˌəfrˈiːq
بیلاروس	bˌeːlaːrˈoːs
خلجی	xˈʌlɟˌiː
خلفشار	xˈalfɪʃˌaːr
دوسال	doːsˈaːl
دیواریں	dˈiːʋaːrˌẽː
سائے	sˈaːeː
سرائیکی	sˌəraːˈiːki
سرٹیفیکیٹ	sˌərʈifikˈiːʈ
شے	ʃˈeː
صہیب	ʂəhˈiːb
طاری	tˈaːri
علامات	ˌalaːmˈaːt
عماد	amˈaːd
قیمہ	qˈeːmˌa
لائرز	lˈa͡ɪrz
لڑا	lˈʌr.aː
نبرد	nəbˈʌrd
واعظ	ʋˈaːɪʐ
ٹال	ʈˈaːl
ڈالرکی	ɖˈaːlərki
ڈیو	ɖjˈuː
ڈیپ	ɖˈiːp
کاہنہ	kˈaːhəna
کھاریاں	kʰˈaːrjãː
کیڑوں	kˈiːr.õː
گھل	ɡʰˈʊl
گیاکہ	ɡjˈaːkˌa
آپریٹر	ˌaːprˈiːʈər
اسپین	ɪspˈiːn
اغراض	ˌaɣrˈaːz
اندھڑ	ˈandʰər.
اورنہ	ˈoːrəna
برسات	bˌərəsˈaːt
بندے	bˈʌndeː
بوائے	boˈaːeː
بکرا	bˈʌkrˌaː
جاننا	ɟˈaːnnˌaː
جوبلی	ɟˈoːblˌiː
خلل	xˈʌləl
خوابوں	xʋˈaːbõː
دالوں	dˈaːlõː
دلکش	dɪlkˈaʃ
رفتہ	rˈafta
