.f	ʔɛf
nfꜣ	nɛfɑ
ngꜣw	nɛɡɑuː
nhj	nɛhi
nhm	nɛhɛm
nhmhm	nɛhɛmhɛm
nhp	naːhap
nhp	noːhəp
nhp	nɛhɛp
nht	naːhat
nht	naːhaʔ
nht	noːhə
nht	nɛhɛt
nhw	nɛhuː
nhzj	nehsə
nhzj	nihsiʔ
nhzj	nihzit
nhzj	nɛhzi
nhꜣy	nɛhɑiː
nj	ni
nj	nij
nj	nəʔ
njk	nik
njs	nis
njtjt	nitit
njw	niuː
njꜣj	niɑi
nk	nɛk
nkt	nukut
nkt	nukuʔ
nkt	nəkøʔ
nkt	nɛkɛt
nkw	nɛkuː
nmj	nɛmi
nmnm	nɛmnɛm
nms	nɛmɛs
nmsw	nɛmsuː
nmt	nɛmɛt
nmtj	nɛmti
nmtt	nɛmtɛt
nmw	nɛmuː
nmḥ	nɛmɛħ
nmꜣrṯ	nɛmɑrɛt͡ʃ
nmꜥ	nɛmɑː
nn	nɛn
nnj	nɛni
nnw	naːnaw
nnw	noːn
nnw	nɛnuː
nnšm	j
nnšm	n
nnšm	najʃ
nnšm	nanʃVm
nnšm	nanʃVw
nnšm	nɛnʃɛm
npnpt	nɛpnɛpɛt
npꜣw	nɛpɑuː
nqdd	nɛkdɛd
nqꜥ	nɛkɑː
nqꜥwt	nɛkɑːuːt
nrj	nɛri
nrt	naːɾat
nrt	naːɾaʔ
nrt	noːɾə
nrt	nɛrɛt
nrw	nɛruː
ns	les
ns	lis
ns	nɛs
nsrt	nasɾat
nsrt	nasɾaʔ
nsrt	nasɾə
nsrt	nɛsrɛt
nst	nɛsɛt
nswt	nijsiːwat
nswt	nisiːwaʔ
nswt	nɛsuːt
nswt	ʔənsiːʔ
nswt	ʔənsiːʔəʔ
nswtyw	nɛsuːtiːuː
nsyt	nɛsiːt
nt	nɛt
ntb	nɛtɛb
ntf	nVtaf
ntf	nətaf
ntf	nɛtɛf
ntf	ɛntɛf
ntj	nɛti
ntj	ɛnti
ntk	nVtak
ntk	nətak
ntk	nɛtɛk
ntk	ɛntɛk
nts	nVtas
nts	nətas
nts	nɛtɛs
nts	ɛntɛs
ntsn	nɛtɛsɛn
ntsn	ɛntɛsɛn
ntsnj	nɛtɛsɛni
ntsnj	ɛntɛsɛni
ntt	nɛtɛt
ntt	ɛntɛt
nttn	nɛtɛtɛn
nttn	ɛntɛtɛn
ntw	nətaw
ntw	nɛtuː
ntw	ɛntuː
ntṯ	nVtaʔ
ntṯ	nətaʔ
ntṯ	nɛtɛt͡ʃ
ntṯ	ɛntɛt͡ʃ
ntṯn	nVtaːcan
ntṯn	nVtaːtan
ntṯn	nətoːtən
ntṯn	nɛtɛt͡ʃɛn
ntṯn	ɛntɛt͡ʃɛn
nw	nuwwuw
nw	nuː
nw	nøww
nwd	nuːd
nwdt	nuːdɛt
nwdw	nuːduː
nwj	nuːi
nwt	neːʔə
nwt	nuːt
nwt	nuːʔat
nwt	nuːʔaʔ
nwtj	nuːti
nwtkꜣrṯ	nuːtkɑrɛt͡ʃ
nwtwt	nuːtuːt
nwy	nuːiː
nwyt	nuːiːt
nwḥ	nuːħ
nwḫ	nuːx
nyny	niːniː
nznzn	nɛzɛnzɛn
nš	nɛʃ
nšm	nɛʃɛm
nšmt	nɛʃmɛt
nšnj	nɛʃni
nšp	nɛʃɛp
nšt	nɛʃɛt
nḏ	nɛd͡ʒ
nḏdnḏd	nɛd͡ʒɛdnɛd͡ʒɛd
nḏm	naːcʼam
nḏm	naːcʼim
nḏm	naːtʼam
nḏm	naːtʼim
nḏm	noːtʼəm
nḏm	nɛd͡ʒɛm
nḏnḏ	nɛd͡ʒnɛd͡ʒ
nḏr	nɛd͡ʒɛr
nḏrj	nɛd͡ʒɛri
nḏs	naːcʼas
nḏs	naːtʼas
nḏs	noːtʼəs
nḏs	nɛd͡ʒɛs
nḏt	nɛd͡ʒɛt
nḏyt	nɛd͡ʒiːt
nḏꜣ	nɛd͡ʒɑ
nḏꜣw	nɛd͡ʒɑuː
nḏꜣḏꜣ	nɛd͡ʒɑd͡ʒɑ
nḥ	nɛħ
nḥbt	nɛħbɛt
nḥd	nɛħɛd
nḥm	naːħam
nḥm	noːħəm
nḥm	nɛħɛm
nḥmn	nɛħmɛn
nḥr	nɛħɛr
nḥrj	nɛħri
nḥrw	nɛħɛruː
nḥsj	nɛħsi
nḥtj	neħtə
nḥtj	niħtit
nḥtj	niħtiʔ
nḥtj	nɛħɛti
nḥḏt	nutʃʼħaʔ
nḥḏt	nuħcʼat
nḥḏt	nuħtʃʼaʔ
nḥḏt	nøtʃʼħə
nḥḏt	nøħtʃʼə
nḥḏt	nɛħd͡ʒɛt
nḥḥ	neʔħəħ
nḥḥ	nijħaħ
nḥḥ	nɛħɛħ
nḫ	nɛx
nḫbt	nɛxbɛt
nḫbḫb	nɛxɛbxɛb
nḫj	nɛxi
nḫn	nɛxɛn
nḫnt	nɛxnɛt
nḫnw	nɛxɛnuː
nḫt	nɛxɛt
nḫwt	nɛxuːt
nḫꜣw	nɛxɑuː
nḫꜣḫꜣ	nɛxɑxɑ
nṯr	naːcaɾ
nṯr	naːtaʔ
nṯr	noːtə
nṯr	nɛt͡ʃɛr
nṯrj	nucɾij
nṯrj	nucɾit
nṯrj	nutɾij
nṯrj	nutɾiʔ
nṯrj	nətɾeʔ
nṯrj	nɛt͡ʃri
nṯrj	nɛt͡ʃɛri
nṯrt	nacaːɾat
nṯrt	nataːɾaʔ
nṯrt	nətoːɾə
nṯrt	nɛt͡ʃɛrɛt
nṯrtj	nɛt͡ʃɛrti
nṯrw	nacuːɾaw[1]
nṯrw	natuːɾaw
nṯrw	nəteːɾə
nṯrw	nɛt͡ʃɛruː
nṯryt	nɛt͡ʃriːt
nẖnm	nɛçnɛm
nẖs	nɛçɛs
nꜣ	niʀ
nꜣ	nɑ
nꜣ	nəʔ
nꜣj	nej
nꜣj	nɑi
nꜣy	nɑiː
nꜣyw	nɑiːuː
nꜣḏꜣ	nɑd͡ʒɑ
nꜣḏꜣrw	nɑd͡ʒɑruː
nꜥj	nɑːi
nꜥr	nɑːr
nꜥrt	nɑːrɛt
nꜥꜥ	nɑːʔɑː
p	pɛ
pds	pɛdɛs
pf	pɛf
pfꜣ	pɛfɑ
pgꜣ	pɛɡɑ
pj	pi
pn	pɛn
pnw	piːn
pnw	piːnaw
pnw	piːnəʔ
pnw	pɛnuː
pnꜥ	pɛnɑː
ppy	pɛpiː
pr	paːɾuw
pr	paːɾəʔ
pr	poːɾ
pr	pɛr
prj	piːɾaʔ
prj	piːɾit
prj	piːɾiʔ
prj	piːɾə
prj	pɛri
prt	paɾaːjit
prt	paɾaːjiʔ
prt	puɾut
prt	puɾuʔ
prt	pəɾaːʔəʔ
prt	pəɾoːʔ
prt	pəɾøʔ
prt	pɛrɛt
prwypwsꜣ	pɛruːiːpuːsɑ
psg	pɛsɛɡ
psj	piːsit
psj	piːsiʔ
psj	piːsə
psj	pɛsi
psmṯk	pɛsmɛt͡ʃɛk
psš	pɛsɛʃ
psšt	pɛsʃɛt
psštj	pɛsʃɛti
psḏ	pɛsɛd͡ʒ
psḏj	pestʼə
psḏj	piscʼit
psḏj	pistʼiʔ
psḏj	pɛsɛd͡ʒi
psḏjw	piscʼijjaw
psḏjw	pɛsɛd͡ʒiuː
psḏntjw	pɛsd͡ʒɛntiuː
psḏnw	pɛsɛd͡ʒnuː
psḏt	pisiːcʼat
psḏt	pisiːtʼaʔ
psḏt	pəsiːtʼə
psḏt	pɛsɛd͡ʒɛt
psḏw	pisiːcʼaw
psḏw	pisiːtʼaw
psḏw	pəsiːtʼ
psḏw	pəsiːtʼəʔ
psḏw	pɛsɛd͡ʒuː
pt	peʔ
pt	peːwə
pt	pit
pt	piʔ
pt	puːwat
pt	puːwaʔ
pt	pɛt
ptpt	pɛtpɛt
ptr	pɛtɛr
ptwꜣrwmys	pɛtuːɑruːmiːs
ptḥ	pitaħ
ptḥ	pətaħ
ptḥ	pɛtɛħ
pw	puː
pwnt	puːnɛt
pwntjw	puːntiuː
pwrꜣsꜣtj	puːrɑsɑti
pwy	puːiː
py	piː
pzn	pɛzɛn
pzḥ	paːsaħ
pzḥ	paːzaħ
pzḥ	poːsəħ
pzḥ	pɛzɛħ
pzḫ	paːsaχ
pzḫ	paːzaχ
pzḫ	poːsəχ
pzḫ	pɛzɛx
pšn	pɛʃɛn
pḏt	piːcʼat
pḏt	piːtʼaʔ
pḏt	piːtʼə
pḏt	pɛd͡ʒɛt
pḏtj	pɛd͡ʒɛti
pḥ	pɛħ
pḥrr	pɛħrɛr
pḥtj	peħtə
pḥtj	piħtaj
pḥtj	pɛħti
pḥwj	pɛħuːi
pẖr	pɛçɛr
pẖrt	pɛçrɛt
pꜣ	piʀ
pꜣ	pɑ
pꜣ	pə
pꜣ	pəʔ
pꜣj	pɑi
pꜣq	pɑk
pꜣqj	piʀqʼit
pꜣqj	piʀqʼiʔ
pꜣqj	piːqʼə
pꜣqj	pɑki
pꜣqt	pɑkɛt
pꜣw	pɑuː
pꜣwt	pɑuːt
pꜣwtj	pɑuːti
pꜣy	pɑiː
pꜣz	pɑz
pꜣḏ	pɑd͡ʒ
pꜣḫd	pɑxɛd
pꜥt	pɑːt
qbb	kɛbɛb
qbb	qʼabab
qbb	qʼəβap
qbw	kɛbuː
qbḥ	kɛbɛħ
qbḥw	kɛbɛħuː
qd	kɛd
qd	qʼaːtʼ
qd	qʼoːtʼ
qdd	kɛdɛd
qdj	kɛdi
qdj	qʼetʼʔə
qdj	qʼitʼjit
qdj	qʼitʼjiʔ
qdj	qʼitʼʔaʔ
qdnw	kɛdnuː
qdt	kɛdɛt
qdtt	kɛdtɛt
qdš	kɛdɛʃ
qdšw	kɛdʃuː
qjs	kis
qmꜣ	kɛmɑ
qnb	kɛnɛb
qnbt	kɛnbɛt
qnj	kɛni
qnj	qʼenjə
qnj	qʼinjit
qnj	qʼinjiʔ
qnjt	kɛnit
qnjw	kɛniuː
qnt	kɛnɛt
qnw	kɛnuː
qnyt	kɛniːt
qqtj	kɛkti
qrf	kɛrɛf
qrf	qʼaɾaf
qrf	qʼəɾaf
qrft	kɛrfɛt
qrr	kɛrɛr
qrrt	kɛrɛrɛt
qrs	kɛrɛs
qrs	qʼaːɾas
qrs	qʼaːʔs
qrs	qʼoːʔs
qrst	kɛrɛsɛt
qrsw	kɛrɛsuː
qrwjwꜣpꜣdrꜣ	kɛruːiuːɑpɑdrɑ
qs	kɛs
qs	qʼes
qs	qʼis
qsn	kɛsɛn
qsnt	kɛsɛnɛt
qysrs	kiːsrɛs
qꜣb	kɑb
qꜣbt	kɑbɛt
qꜣbt	qʼiʀbVt
qꜣbt	qʼiʀbVʔ
qꜣbt	qʼiːbaʔ
qꜣbt	qʼiːβə
qꜣdt	kɑdɛt
qꜣj	kɑi
qꜣqꜣw	kɑkɑuː
qꜣr	kɑr
qꜣs	kɑs
qꜣꜣ	kɑʔɑ
qꜣꜥ	kɑʔɑː
qꜥḥ	kɑːħ
r	ɛr
r	ɝ
r	ɾaʀ
r	ɾaʔ
r	ɾaːʀaw
r	ɾoːw
rbw	rɛbuː
rd	rɛd
rd	ɾatʼwaw
rd	ɾatʼʔ
rd	ɾaːtʼuw
rd	ɾetʼ
rd	ɾitʼ
rd	ɾoːtʼ
rhn	rɛhɛn
rhn	ɾaːhan
rhn	ɾehnə
rhn	ɾihnit
rhn	ɾihniʔ
rhn	ɾoːhən
rk	rɛk
rkḥ	rɛkɛħ
rkḥ	ɾaːkaħ
rkḥ	ɾoːkəħ
rm	rɛm
rmj	rɛmi
rmj	ɾiːma
rmj	ɾiːmit
rmj	ɾiːmiʔ
rmj	ɾiːmə
rmn	rɛmɛn
rmyt	ramiːjVt
rmyt	ramiːjVʔ
rmyt	rəmeːʔ
rmyt	rəmeːʔəʔ
rmyt	rɛmiːt
rmṯ	rɛmɛt͡ʃ
rmṯ	ɾaːmac
rmṯ	ɾaːmaʔ
rmṯ	ɾoːmə
rmṯt	rɛmɛt͡ʃɛt
rmṯt	ɾamcat
rmṯt	ɾamtaʔ
rmṯt	ɾamtə
rn	rɛn
rn	ɾen
rn	ɾin
rnn	rɛnɛn
rnp	rɛnɛp
rnpj	rɛnɛpi
rnpj	ɾenpaʔ
rnpj	ɾenpə
rnpj	ɾinpit
rnpj	ɾinpiʔ
rnpt	rɛnpɛt
rnpt	ɾanpat
rnpt	ɾanpawwat
rnpt	ɾanpawwaʔ
rnpt	ɾanpaʔ
rnpt	ɾanpə
rnpt	ɾənpawwə
rnpwt	rɛnpuːt
rnpwt	ɾinpiːwat
rqj	rɛki
rrj	rɛri
rrj	ɾiːɾ
rrj	ɾiːɾij
rrj	ɾiːɾəʔ
rs	rɛs
rsj	rɛsi
rsw	rɛsuː
rswt	rɛsuːt
rtḥ	rɛtɛħ
rtḥtj	rɛtħɛti
rwd	ruːd
rwj	ruːi
rwt	ruːt
rwḏ	ruːd͡ʒ
rwḏt	ruːd͡ʒɛt
rwḏt	ɾawcʼit
rwḏt	ɾawtʼaʔ
rwḏt	ɾawtʼiʔ
rwḏt	ɾawtʼə
rš	rɛʃ
ršrš	rɛʃrɛʃ
ršw	rɛʃuː
ršwt	rɛʃuːt
ršwt	ɾaʃwat
ršwt	ɾaʃwaʔ
ršwt	ɾaʃʔə
rḏj	rɛd͡ʒi
rḏj	tʼiːʔ
rḏj	ɾVcʼiːjit
rḏj	ɾVtʼiːjiʔ
rḏj	ɾətʼiːʔəʔ
rḏw	rɛd͡ʒuː
rḥw	rɛħuː
rḥwj	rɛħuːi
rḫ	rɛx
rḫs	rɛxɛs
rḫyt	rɛxiːt
rḫyt	ɾaχjat
rḫyt	ɾaχjaʔ
rḫyt	ɾaχʔə
rṯnw	rɛt͡ʃɛnuː
rꜣ	rɑ
rꜥ	rɑː
rꜥ	ɾeːʕ
rꜥ	ɾiːʕuw
rꜥ	ɾiːʕəʔ
s	sɛ
sbj	sɛbi
sbjw	sɛbiuː
sbk	sɛbɛk
sbn	sɛbɛn
sbnw	sɛbɛnuː
sbq	sɛbɛk
sbtj	sɛbti
sbḥ	sɛbɛħ
sbḫt	sɛbxɛt
sbꜣ	sabaʀ
sbꜣ	siːbaʀ
sbꜣ	siːbəʔ
sbꜣ	siːβ
sbꜣ	səβaʔ
sbꜣ	sɛbɑ
sbꜣgj	sɛbɑɡi
sbꜣqj	sɛbɑki
sbꜣtj	sɛbɑti
sbꜣyt	sabaʀjat
sbꜣyt	sabaʀjaʔ
sbꜣyt	səbaːʔəʔ
sbꜣyt	səβoːʔ
sbꜣyt	sɛbɑiːt
sd	saːtʼ
sd	setʼ
sd	sitʼ
sd	soːtʼ
sd	sɛd
sdb	sɛdɛb
sdm	sɛdɛm
sdmj	sɛdɛmi
sdwḫ	sɛduːx
sdyt	sɛdiːt
sdꜣ	sɛdɑ
sf	sef
sf	sif
sf	sɛf
sfkk	sɛfɛkɛk
sfsf	sɛfsɛf
sfḫ	sɛfɛx
sfḫjw	safχijjaw
sfḫjw	sɛfxiuː
sfḫnw	sɛfɛxnuː
sfḫw	safχaw
sfḫw	safχəʔ
sfḫw	saχf
sfḫw	sɛfɛxuː
sfḫḫ	sɛfɛxɛx
sfṯ	sɛfɛt͡ʃ
sgnn	sakʼnan
sgnn	saʔkʼən
sgnn	sɛɡɛnɛn
sgr	sɛɡɛr
shꜣj	sɛhɑi
sj	si
sjdj	sɛidi
sjhm	sɛihɛm
sjm	sim
sjn	sin
sjnj	sini
sjnw	sinuː
sjsjw	saɾsijjaw
sjsjw	sisiuː
sjsnw	sisnuː
sjsw	i
sjsw	sajsaw
sjsw	saɾsaw
sjsw	sisuː
sjsw	ʔəssaw
sjzj	sɛizi
sjꜣ	saːjaʀ
sjꜣ	saːʔəʔ
sjꜣ	siɑ
sjꜣ	soːʔ
sjꜣt	sɛiɑt
sjꜥr	siɑːr
sk	sɛk
skj	sɛki
skm	sɛkɛm
skn	sɛkɛn
sksj	sɛksi
sksk	sɛksɛk
skt	sɛkɛt
skꜣ	sɛkɑ
sm	sɛm
smdt	sɛmdɛt
smj	sɛmi
smn	simiːnit
smn	simiːniʔ
smn	səmiːnə
smn	sɛmɛn
smnmn	sɛmɛnmɛn
smnḫ	sɛmɛnɛx
smr	sɛmɛr
smsj	sɛmɛsi
smsm	sɛmsɛm
smsw	sɛmɛsuː
smw	siːm
smw	siːmiw
smw	siːməʔ
smw	sɛmuː
smwn	sɛmuːn
smḥ	sɛmɛħ
smḥj	sɛmħi
smḫ	sɛmɛx
smꜣ	sɛmɑ
smꜣwj	sɛmɑuːi
sn	san
sn	sanuːwaw
sn	səneːw
sn	sɛn
snb	sɛnɛb
snb.tj	sɛnɛbʔti
snbb	sɛnbɛb
snbj	sɛnbi
snd	sɛnɛd
snfj	sɛnɛfi
snfr	sɛnɛfɛr
snj	sɛni
snm	sɛnɛm
snmyt	sɛnmiːt
snnw	sɛnɛnuː
snq	saːnaqʼ
snq	soːnəqʼ
snq	sɛnɛk
snsn	sansan
snsn	sansən
snsn	sɛnsɛn
snt	saːnat
snt	saːnaʔ
snt	soːnə
snt	sɛnɛt
snwj	sinuwwaj
snwj	sənuwwəʔ
snwj	sənøww
snwj	sɛnuːi
snwtt	sɛnuːtɛt
snwḫ	sɛnuːx
snšmšm	sɛnɛʃɛmʃɛm
snḏ	sinicʼ
snḏ	sinitʼ
snḏ	sənetʼ
snḏ	sɛnɛd͡ʒ
snḏm	sɛnɛd͡ʒɛm
snḏw	sɛnɛd͡ʒuː
snḥ	sɛnɛħ
snḫbḫb	sɛnɛxɛbxɛb
snḫn	sɛnɛxɛn
snṯ	sɛnɛt͡ʃ
snṯr	sɛnɛt͡ʃɛr
spd	sɛpɛd
spdt	saptʼat
spdt	saptʼaʔ
spdt	saptʼə
spdt	sopdɛt
spdt	sɛpdɛt
spdt	sɛpɛdɛt
spdw	sɛpduː
spdḏ	saptʼacʼ
spdḏ	saptʼatʼ
spdḏ	saptʼaʔ
spdḏ	saptʼə
spdḏ	sɛpdɛd͡ʒ
spj	sɛpi
spr	sɛpɛr
sprw	sɛpɛruː
spt	saːpat
spt	saːpaʔ
spt	soːpə
spt	sɛpɛt
spḥ	sɛpɛħ
spꜣt	sɛpɑt
sqbb	sɛkɛbɛb
sqbbwj	sɛkɛbɛbuːi
sqbḥ	sɛkɛbɛħ
sqd	sɛkɛd
sqdj	sɛkɛdi
sqr	sɛkɛr
sqꜣj	sɛkɑi
sr	sɛr
srd	sɛrɛd
srf	sɛrɛf
srmj	sɛrɛmi
srt	sɛrɛt
srw	sɛruː
srwj	sɛruːi
srwḏ	sɛruːd͡ʒ
srwḫ	sɛruːx
srḫ	sɛrɛx
ssf	sɛsɛf
ssm	sɛsɛm
ssmt	sɛsɛmɛt
ssn	sɛsɛn
sspd	sɛsɛpɛd
ssḫ	sɛsɛx
ssꜣj	sɛsɑi
st	sɛt
stj	sɛti
stp	satpaw
stp	saːtap
stp	soːtəp
stp	sɛtɛp
stpt	sɛtɛpɛt
stt	sɛtɛt
stwt	sɛtuːt
stẖ	seːtəx
stẖ	suːtVç
stẖ	sɛtɛç
stẖj	sɛtçi
stꜣ	sɛtɑ
sw	su
sw	suw
sw	suː
swdfj	sɛwɛdɛfi
swn	suːn
swn	sɛwɛn
swnt	suːnɛt
swnw	suːnuː
swrd	sɛwɛrɛd
swsḫ	sɛwɛsɛx
swt	suːt
swḏ	sɛwɛd͡ʒ
swḏꜣ	sɛwɛd͡ʒɑ
swḥt	sawħVt
swḥt	sawħVʔ
swḥt	soːħə
swḥt	suːħɛt
swꜣj	seʔjaʔ
swꜣj	seʔjə
swꜣj	siwʀit
swꜣj	siwʀiʔ
swꜣj	suːɑi
swꜣḏ	sɛwɑd͡ʒ
swꜥb	sɛwɑːb
sš	sɛʃ
sšd	sɛʃɛd
sšm	sɛʃɛm
sšmj	sɛʃɛmi
sšmm	sɛʃɛmɛm
sšmw	sɛʃmuː
sšp	sɛʃɛp
sšpt	saʃaːpat
sšpt	sɛʃpɛt
sšpt	ʃaːpaʔ
sšpt	ʃoːpə
sšr	sɛʃɛr
sšrw	sɛʃruː
sštꜣ	sɛʃtɑ
sḏ	sɛd͡ʒ
sḏb	sɛd͡ʒɛb
sḏd	set͡ʃʼʔə
sḏd	sicʼtʼit
sḏd	sit͡ʃʼʔiʔ
sḏd	sɛd͡ʒɛd
sḏd	tʼ
sḏd	ʔ
sḏfꜣ	setʼfə
sḏfꜣ	setʼfəʔ
sḏfꜣ	sicʼfiʀ
sḏfꜣ	sitʼfiʀ
sḏfꜣ	sɛd͡ʒɛfɑ
sḏm	sacʼimna
sḏm	sacʼma
sḏm	sacʼmiw
sḏm	saːcʼam
sḏm	saːcʼim
sḏm	saːtʼam
sḏm	soːtʼəm
sḏm	sɛd͡ʒɛm
sḏmw	sɛd͡ʒɛmuː
sḏr	sɛd͡ʒɛr
sḏrt	sɛd͡ʒrɛt
sḏt	sɛd͡ʒɛt
sḏwj	sɛd͡ʒuːi
sḏꜣ	sɛd͡ʒɑ
sḥd	sɛħɛd
sḥqr	sɛħɛkɛr
sḥqꜣ	sɛħɛkɑ
sḥrj	sɛħɛri
sḥtm	sɛħɛtɛm
sḥtp	sɛħɛtɛp
sḥḏ	sɛħɛd͡ʒ
sḥḏw	seħtʼ
sḥḏw	siħcʼVw
sḥḏw	siħtʼVw
sḥḏw	sɛħd͡ʒuː
sḥꜣbj	sɛħɑbi
sḥꜣj	sɛħɑi
sḫd	sɛxɛd
sḫdḫd	sɛxɛdxɛd
sḫm	sɛxɛm
sḫmt	seχmə
sḫmt	siχmit
sḫmt	siχmiʔ
sḫmt	sɛxmɛt
sḫn	sɛxɛn
sḫntj	sɛxɛnɛti
sḫpj	sɛxɛpi
sḫpr	sɛxɛpɛr
sḫr	sɛxɛr
sḫry	sɛxriː
sḫt	saːχat
sḫt	saːχaʔ
sḫt	soːχə
sḫt	sɛxɛt
sḫtj	seχt
sḫtj	siχtVj
sḫtj	sɛxti
sḫw	sɛxuː
sḫꜣj	seχʔaʔ
sḫꜣj	seχʔə
sḫꜣj	siχʀit
sḫꜣj	siχʀiʔ
sḫꜣj	sɛxɑi
sḫꜣw	sɛxɑuː
sḫꜥj	sɛxɑːi
sṯ	sɛt͡ʃ
sṯjt	sɛt͡ʃit
sṯnj	sɛt͡ʃɛni
sṯt	sɛt͡ʃɛt
sṯzj	sɛt͡ʃɛzi
sṯzw	sɛt͡ʃɛzuː
sṯꜣ	sɛt͡ʃɑ
sṯꜣt	sɛt͡ʃɑt
sẖkr	sɛçkɛr
sẖr	sɛçɛr
sẖt	sɛçɛt
sꜣ	sɑ
sꜣbt	sɑbɛt
sꜣdjꜥmj	sɑdiɑːmi
sꜣgꜣ	sakʼ
sꜣgꜣ	sɛɡ
sꜣj	siːʀit
sꜣj	siːʀiʔ
sꜣj	siːʔa
sꜣj	siːʔə
sꜣj	sɑi
sꜣngꜣr	sɑnɡɑr
sꜣq	saːʀaqʼ
sꜣq	saːʔəqʼ
sꜣq	soːʔəqʼ
sꜣq	sɑk
sꜣrꜣqw	sɑrɑkuː
sꜣsꜣ	sɑsɑ
sꜣḥ	sɑħ
sꜣḫ	sɛɑx
sꜣḫꜣḫ	sɛɑxɑx
sꜣꜣ	sɑʔɑ
sꜥb	sɑːb
sꜥnj	sɛɑːni
sꜥnḫ	sɛɑːnx
sꜥq	sɛɑːk
sꜥr	sɛɑːr
sꜥsꜥ	sɑːsɑː
sꜥšꜣ	sɛɑːʃɑ
sꜥḥ	sɑːħ
sꜥḥꜥ	sɛɑːħɑː
sꜥꜣj	sɛɑːʔɑi
t	tɛ
tf	tef
tf	tif
tf	tɛf
tfn	tɛfɛn
tfnt	tɛfnɛt
tfnwt	tɛfnuːt
tfꜣ	tɛfɑ
thj	tɛhi
thm	tɛhɛm
thw	tɛhuː
tj	ti
tjkrṯ	tikrɛt͡ʃ
tjmsqw	timɛskuː
tjsw	tisuː
tjt	tit
tjtj	titi
tjw	tiuː
tjꜥꜣ	tiɑːʔɑ
tkk	tɛkɛk
tkn	tɛkɛn
tkꜣ	taːkaʀ
tkꜣ	taːkəʔ
tkꜣ	toːkə
tkꜣ	tɛkɑ
tkꜣw	tɛkɑuː
tm	jataːmuw
tm	tɛm
tm	ʔataːməʔ
tm	ʔatoːm
tmm	tɛmɛm
tmt	tɛmɛt
tmꜣ	tɛmɑ
tn	tɛn
tnj	tɛni
tnm	tɛnɛm
tnmw	tɛnɛmuː
tnw	tɛnuː
tnṯ	tɛnɛt͡ʃ
tp	cʼap
tp	tɛp
tp	tʼap
tpj	tapij
tpj	təpej
tpj	tɛpi
tpr	tɛpɛr
tpt	tɛpɛt
tr	tɛr
ttj	tatij
ttj	tɛti
tw	tuː
tw.j	tuːʔi
tw.k	tuːʔɛk
tw.n	tuːʔɛn
tw.t	tuːʔɛt
tw.tn	tuːʔtɛn
tw.tw	tuːʔtuː
twn	tuːn
twr	tuːr
twt	tawaːtij
twt	tuːt
twt	təwaːtəʔ
twt	təwoːt
twy	tuːiː
twꜣ	tuːɑ
twꜣwt	tuːɑuːt
tybꜣrys	tiːbɑriːs
tyts	tiːtɛs
tšꜣ	taːšaʀ
tšꜣ	toːšə
tšꜣ	tɛʃɑ
tḫj	tiːχit
tḫj	tiːχiʔ
tḫj	tiːχə
tḫj	tɛxi
tḫn	tɛxɛn
tꜣ	taʀ
tꜣ	taʔ
tꜣ	tiʀ
tꜣ	tɑ
tꜣ	tə
tꜣ	təʔ
tꜣhꜣrqꜣ	tɑhɑrkɑ
tꜣj	tɑi
tꜣw	taʀwaw
tꜣw	toːw
tꜣw	tɑuː
tꜣwj	taʀwVj
tꜣwj	taːwəʔ
tꜣwj	toːw
tꜣwj	tɑuːi
tꜣy	tɑiː
tꜣš	taʀaʃ
tꜣš	tɑʃ
tꜣš	təʔaʃ
w	uː
wbd	wɛbɛd
wbn	wɛbɛn
wbnt	wɛbnɛt
wbnw	wɛbɛnuː
wbḫ	wabaχ
wbḫ	wəβaχ
wbḫ	wɛbɛx
wbꜣ	wɛbɑ
wbꜣyt	wɛbɑiːt
wdfj	wetʼfə
wdfj	witʼfit
wdfj	witʼfiʔ
wdfj	wɛdɛfi
wdj	wɛdi
wdn	wɛdɛn
wdpw	wɛdpuː
wdḥw	wɛdɛħuː
wfj	wɛfi
wfꜣ	waːfVʀ
wfꜣ	waːfəʔ
wfꜣ	woːfə
wfꜣ	wɛfɑ
wgg	wɛɡɛɡ
wj	wi
wjn	win
wjꜣ	wiɑ
wmt	wɛmɛt
wmwt	wɛmuːt
wn	wan
wn	wɛn
wnb	wɛnɛb
wngbw	wɛnɛɡbuː
wnj	wɛni
wnjs	wanjas
wnjs	wɛnis
wnm	waːnam
wnm	woːnəm
wnm	wɛnɛm
wnmj	wɛnmi
wnmt	wɛnmɛt
wnmw	wɛnɛmuː
wnn	wanan
wnn	wənan
wnn	wɛnɛn
wnnt	wɛnɛnɛt
wnt	wɛnɛt
wnwn	wɛnuːn
wnwt	wVnaːwat
wnwt	wVnaːwaʔ
wnwt	wənoːwə
wnwt	wɛnuːt
wnḏw	wɛnd͡ʒuː
wnḏwt	wɛnɛd͡ʒuːt
wnḫwj	wɛnɛxuːi
wpj	wɛpi
wprt	wɛprɛt
wps	wɛpɛs
wpt	wɛpɛt
wpw	wɛpuː
wpwt	wapwut
wpwt	wapwuʔ
wpwt	wapwə
wpwt	wɛpuːt
wpwtj	wapwutjVw
wpwtj	wapwuːtij
wpwtj	wəpweːt
wpwtj	wəpwøtj
wpwtj	wɛpuːti
wr	weːɾ
wr	wuːɾaw
wr	wɛr
wrr	waɾaɾ
wrr	waɾaʔ
wrr	wəɾaʔ
wrr	wɛrɛr
