άβλαβοσ	avlavos
αναστηλώνομαι	anastilonome
αναστηλώνω	anastilono
αναστηλώσεισ	anastilosis
αναστράφηκα	anastɾafika
αναστρέφομαι	anastɾefome
αναστρέφομε	anastɾefome
αναστρέφουμε	anastɾefume
αναστρέφω	anastɾefo
αναστρέψιμοσ	anastɾepsimos
αναστροφή	anastɾofi
αναστυλώθηκα	anastiloθika
αναστυλώνομαι	anastilonome
αναστυλώνω	anastilono
αναστύλωσα	anastilosa
ανασυγκροτώ	anasiŋɡɾoto
ανασυνιστώ	anasinisto
ανατάθηκα	anataθika
ανατέλλω	anatelo
ανατίναξα	anatinaksa
αναταράζω	anatarazo
ανατείνομαι	anatinome
ανατείνομε	anatinome
ανατείνουμε	anatinume
ανατείνω	anatino
ανατιμώ	anatimo
ανατιμώμαι	anatimome
ανατινάζομαι	anatinazome
ανατινάζω	anatinazo
ανατινάχθηκα	anatinaxθika
ανατινάχτηκα	anatinaxtika
ανατράπηκα	anatɾapika
ανατράπηκαν	anatɾapikan
ανατράπηκε	anatɾapice
ανατρέπομαι	anatɾepome
ανατρέπομε	anatɾepome
ανατρέπουμε	anatɾepume
ανατρέπω	anatɾepo
ανατραπήκαν	anatɾapikan
ανατραπήκανε	anatɾapikane
αναφέρθηκα	anafeɾθika
αναφέρομαι	anafeɾome
αναφέρομε	anafeɾome
αναφέρουμε	anafeɾume
αναφέρω	anafeɾo
αναφαίρετοσ	anaferetos
αναφιώτικα	anafçotika
αναφορά	anafoɾa
αναφτερώνομαι	anafteɾonome
αναφτερώνω	anafteɾono
αναφυτεύθηκα	anafitefθika
αναφυτεύομαι	anafitevome
αναφυτεύτηκα	anafiteftika
αναφυτεύω	anafitevo
αναφύομαι	anafiome
αναφύτευσα	anafitefsa
αναχωρώ	anaxoɾo
αναψοκοκκινίζω	anapsokocinizo
ανγκουίλα	aŋɡuila
ανδρείωσα	anðɾiosa
ανδρειώνομαι	anðɾionome
ανδρειώνω	anðɾiono
ανδρώνομαι	anðɾonome
ανδρώνω	anðɾono
ανεβάζομαι	anevazome
ανεβάζω	anevazo
ανεβάστηκα	anevastika
ανεβαίνω	aneveno
ανεβασιά	anevasça
ανεβασιάσ	anevasças
ανεβασιέσ	anevasçes
ανεβασιών	anevasçon
ανεβοκατεβαίνω	anevokateveno
ανεγγύητοσ	aneŋɟiitos
ανεγνωρισμένοσ	aneɣnoɾizmenos
ανεγράφην	aneɣrafin
ανειδοποίητοσ	aniðopiitos
ανεκαλύφθην	anekalifθin
ανεκκαθάριστοσ	anekaθaɾistos
ανεκτίμητοσ	anektimitos
ανεκόπην	anekopin
ανελκυστήρασ	anelcistiɾas
ανελκύομαι	anelciome
ανελκύομε	anelciome
ανελκύουμε	anelciume
ανελκύσθηκα	anelcisθika
ανελκύστηκα	anelcistika
ανελκύω	anelcio
ανεμελιά	anameʎa
ανεμελιάσ	anemeʎas
ανεμελιέσ	anemeʎes
ανεμελιών	anemeʎon
ανενταφίαστοσ	anendafiastos
ανεξολόθρευτοσ	aneksoloθɾeftos
ανεπάρκεια	anepaɾcia
ανεπίγραφοσ	anepiɣrafos
ανεπαίσθητα	anepesθita
ανεπαίσθητοσ	anepesθitos
ανεπαισθήτωσ	anepesθitos
ανεπανόρθωτοσ	anepanorθotos
ανεπαρκήσ	anepaɾcis
ανεπαρκώσ	anepaɾkos
ανεπηρέαστοσ	anepiɾeastos
ανεπιθύμητοσ	anepiθimitos
ανεσκάφην	aneskafin
ανετράπη	anetɾapi
ανετράπην	anetɾapin
ανετράπησαν	anetɾapisan
ανευρέθηκα	anevɾeθika
ανευρίσκομαι	anevɾiskome
ανευρίσκομε	anevɾiskome
ανευρίσκουμε	anevɾiskume
ανευρίσκω	anevɾisko
ανευφημία	anefimia
ανεφοδιάζω	anefoðiazo
ανησυχία	anisiçia
ανησυχώ	anisixo
ανησύχησα	anisixo
ανησύχησα	anisiçisa
ανηύρα	anivɾa
ανθέλληνασ	anθelinas
ανθελληνίδα	anθeliniða
ανθεστήρια	anθestiɾia
ανθεστηρίων	anθestiɾion
ανθισμένοσ	anθizmenos
ανθρακιά	anθraca
ανθρωπεύομαι	anθɾopevome
ανθρωπεύτηκα	anθɾopeftika
ανθρωπεύω	anθɾopevo
ανθρωποκτονία	anθɾopoktonia
ανθρωπόκαινοσ	anθɾopocenos
ανθρώπεψα	anθɾopepsa
ανθρώπεψε	anθɾopepse
ανθό	anθo
ανθόκηποσ	anθocipos
ανθώ	anθo
ανιδρύθηκα	aniðriθika
ανιδρύομαι	aniðriome
ανιδρύομε	aniðriome
ανιδρύουμε	aniðriume
ανιδρύω	aniðrio
ανιλίνεσ	anilines
ανιλίνη	anilini
ανιλίνησ	anilinis
ανιλινών	anilinon
ανιχνεύθηκα	anixnefθika
ανιχνεύομαι	anixnevome
ανιχνεύτηκα	anixneftika
ανιχνεύω	anixnevo
ανιψούλεσ	anipsules
ανιψούλη	anipsuli
ανιψούληδεσ	anipsuliðes
ανιψούληδων	anipsuliðon
ανιψούλησ	anipsulis
ανοίγομαι	aniɣome
ανοίγω	aniɣo
ανοίκειοσ	anicios
ανοησία	anoisia
ανοικτίρμων	aniktirmon
ανοιξιάτικα	aniksçatika
ανοιξιάτικοσ	aniksçatikos
ανορθόδοξοσ	anoɾθoðoksos
ανορθώθηκα	anoɾθoθika
ανορθώνομαι	anoɾθonome
ανορθώνω	anoɾθono
ανορθώσεισ	anoɾθosis
αντάμωσα	andamosa
αντάμωση	andamosi
αντέβαινα	andevena
αντέγραψα	andeɣrapsa
αντέκρουσα	andekrusa
αντέστε	adeste
αντέστρεψα	andestɾepsa
αντέτε	adete
αντέτι	adeti
αντέχω	andexo
αντίγραφο	andiɣɾafo
αντίδραση	andiðɾasi
αντίνοοσ	andinoos
αντίο	adio
αντίπαροσ	andipaɾos
ανταγωνίζομαι	andaɣonizome
ανταλλάζομαι	andalazome
ανταλλάζω	andalazo
ανταμείβομαι	andamivome
ανταμείβω	andamivo
ανταμοιβή	andamivi
ανταμώθηκα	andamoθika
ανταμώνομαι	andamonome
ανταμώνω	andamono
ανταμώσεισ	andamosis
αντανακλαστικό	andanaklastiko
αντανακλώ	andanaklo
ανταποκρίνομαι	andapokɾinome
αντεπιτέθηκα	andepiteθika
αντευχήθηκα	andefçiθika
αντεύχομαι	andefxome
αντζούγια	andzuʝa
αντηχώ	andixo
αντιβαίνω	andiveno
αντιβουίζω	andivuizo
αντιγράφεισ	andiɣrafis
αντιγράφηκα	andiɣrafika
αντιγράφομαι	andiɣrafome
αντιγράφτηκα	andiɣraftika
αντιγράφω	andiɣrafo
αντιγραφείσ	andiɣrafis
αντιδάνειο	andiðanio
αντιδράσεισ	andiðɾasis
αντιδρώ	andiðɾo
αντικείμενο	andicimeno
αντικλεπτικά	andikleptika
αντικλεπτικέ	andikleptiçe
αντικλεπτικέσ	andikleptices
αντικλεπτική	andikleptici
αντικλεπτικήσ	andiklepticis
αντικλεπτικοί	andikleptici
αντικλεπτικού	andikleptiku
αντικλεπτικούσ	andikleptikus
αντικλεπτικό	andikleptiko
αντικλεπτικών	andikleptikon
αντικρούομαι	andikruome
αντικρούομε	andikruome
αντικρούουμε	andikruume
αντικρούσθηκα	andikrusθika
αντικρούστηκα	andikrustika
αντικρούω	andikruo
αντιμεθαύριο	andimeθavɾio
αντιμετωπίζομαι	andimetopizome
αντιμετωπίζω	andimetopizo
αντιμετωπίστηκα	andimetopistika
αντιμετώπισα	andimetopisa
αντιπαραβάλλομαι	andipaɾavalome
αντιπαραβάλλω	andipaɾavalo
αντιπαραβάλω	andipaɾavalo
αντιπαραμεθαύριο	andiparameθavɾio
αντιπροσωπεύω	andipɾosopevo
αντιστέκομαι	andistekome
αντιστράφηκα	andistɾafika
αντιστρέφομαι	andistɾefome
αντιστρέφομε	andistɾefome
αντιστρέφουμε	andistɾefume
αντιστρέφω	andistɾefo
αντιφάσκω	andifasko
αντιφρονών	andifronon
αντλήθηκα	andliθika
αντλημένοσ	andlimenos
αντλούμαι	andlume
αντλούμε	andlume
αντλώ	andlo
αντρειώνομαι	andɾionome
ανυπομονούσα	anipomonusa
ανυπομονώ	anipomono
ανωριμότητα	anoɾimotita
ανόρθωσα	anoɾθosa
ανώριμοσ	anoɾimos
αξέχαστοσ	aksexastos
αξίζει	aksizi
αξίζω	aksizo
αξιαγάπητοσ	aksiaɣapitos
αξιογέλαστοσ	aksioʝelastos
αξιοζήλευτοσ	aksiozileftos
αξιοθρήνητοσ	aksioθɾinitos
αξιολογήσεισ	aksioloʝisis
αξιολογήσεων	aksioloʝiseon
αξιολογήσεωσ	aksioloʝiseos
αξιολογούμαι	aksioloɣume
αξιολογούμε	aksioloɣume
αξιολογώ	aksioloɣo
αξιολόγησα	aksioloʝisa
αξιολόγηση	aksioloʝisi
αξιολόγησησ	aksioloʝisis
αξιολύπητοσ	aksiolipitos
αξιοπρέπεια	aksiopɾepia
αξιοσημείωτα	aksiosimiota
αξιοσημείωτε	aksiosimiote
αξιοσημείωτεσ	aksiosimiotes
αξιοσημείωτη	aksiosimioti
αξιοσημείωτησ	aksiosimiotis
αξιοσημείωτο	aksiosimioto
αξιοσημείωτοι	aksiosimioti
αξιοσημείωτοσ	aksiosimiotos
αξιοσημείωτου	aksiosimiotu
αξιοσημείωτουσ	aksiosimiotus
αξιοσημείωτων	aksiosimioton
αξιωματικόσ	aksiomatikos
αξιόπιστοσ	aksiopistos
αορτή	aoɾti
απ	ap
απάλειψα	apalipsa
απάντηση	apandisi
απάτησα	apatisa
απέβαλα	apevala
απέβαλλα	apevala
απέβλεψα	apevlepsa
απέδειξα	apeðiksa
απέδειξε	apeðikse
απέκλεισα	apeklisa
απέκοψα	apekopsa
απέκρινα	apekɾina
απέκρουσα	apekrusa
απέκρυψα	apekɾipsa
απέλυσα	apelisa
απέπεμψα	apepempsa
απέπνευσα	apepnefsa
απέρριψα	apeɾipsa
απέρχομαι	apeɾxome
απέσεισα	apesisa
απέσπασα	apespasa
απέσταξα	apestaksa
απέτισα	apetisa
απέτρεψα	apetɾepsa
απέχθεια	apexθia
απήλθα	apilθa
απαίτησα	apetisa
απαγάγω	apaɣaɣo
απαγορευμένοσ	apaɣoɾevmenos
απαγορεύθηκα	apaɣoɾefθika
απαγορεύομαι	apaɣoɾevome
απαγορεύσεισ	apaɣoɾefsis
απαγορεύτηκα	apaɣoɾeftika
απαγορεύω	apaɣorevo
απαγόρευση	apaɣorefsi
απαθήσ	apaθis
απαιτήθηκα	apetiθika
απαιτούμαι	apetume
απαιτούμε	apetume
απαιτώ	apeto
απαλείφθηκα	apalifθika
απαλείφομαι	apalifome
απαλείφομε	apalifome
απαλείφουμε	apalifume
απαλείφτηκα	apaliftika
απαλείφω	apalifo
απαλλαγή	apalaʝi
απαράδεκτα	apaɾaðekta
απαράδεκτη	apaɾaðekti
απαράδεκτοι	apaɾaðekti
απαράδεκτοσ	apaɾaðektos
απαράδεχτοσ	apaɾaðextos
απαραίτητοσ	aparetitos
απαραδέκτωσ	apaɾaðektos
απαρηγορήτωσ	apaɾiɣoɾitos
απαρηγόρητα	apaɾiɣoɾita
απαρηγόρητοσ	apaɾiɣoɾitos
απαρχαιωμένα	aparçeomena
απαρχαιωμένε	aparçeomene
απαρχαιωμένεσ	aparçeomenes
απαρχαιωμένη	aparçeomeni
απαρχαιωμένησ	aparçeomenis
απαρχαιωμένο	aparçeomeno
απαρχαιωμένοι	aparçeomeni
απαρχαιωμένοσ	aparçeomenos
απαρχαιωμένου	aparçeomenu
απαρχαιωμένουσ	aparçeomenus
απαρχαιωμένων	aparçeomenon
απασχολήθηκα	apasxoliθika
απασχολήσεισ	apasxolisis
απασχολημένα	apasxolimena
απασχολημένε	apasxolimene
απασχολημένεσ	apasxolimenes
απασχολημένη	apasxolimeni
απασχολημένησ	apasxolimenis
απασχολημένο	apasxolimeno
απασχολημένοι	apasxolimeni
απασχολημένοσ	apasxolimenos
απασχολημένου	apasxolimenu
απασχολημένουσ	apasxolimenus
απασχολημένων	apasxolimenon
απασχολιέμαι	apasxoʎeme
απασχολούμαι	apasxolume
απασχολούμε	apasxolume
απασχολώ	apasxolo
απασχόλησα	apasxolisa
απατάω	apatao
απατήθηκα	apatiθika
απατημένοσ	apatimenos
απατιέμαι	apatçeme
απατώ	apato
απατώμαι	apatome
απεδείχθη	apeðixθi
απεδείχθησαν	apeðixθisan
απειθώ	apiθo
απειλώ	apilo
απεκαλύφθην	apekalifθin
απεκλείσθη	apeklisθi
απεκόπην	apekopin
απελπισία	apelpisia
απελπισμένα	apelpizmena
απελπισμένε	apelpizmene
απελπισμένεσ	apelpizmenes
απελπισμένη	apelpizmeni
απελπισμένησ	apelpizmenis
απελπισμένο	apelpizmeno
απελπισμένοι	apelpizmeni
απελπισμένοσ	apelpizmenos
απελπισμένου	apelpizmenu
απελπισμένουσ	apelpizmenus
απελπισμένων	apelpizmenon
απεραντολογία	apeɾandoloʝia
απερρίφθην	apeɾifθin
απεσταγμένοσ	apestaɣmenos
απετράπη	apetɾapi
απετράπην	apetɾapin
απετράπησαν	apetɾapisan
απευχήθηκα	apefçiθika
απεχθάνομαι	apexθanome
απεύχομαι	apefxome
απηρχαιωμένοσ	apirçeomenos
απηρχαιωμένου	apirçeomenu
απλοποιώ	aplopio
απλούσ	aplus
απλούστατοσ	aplustatos
απλότητα	aplotita
αποβάθρα	apovaθɾa
αποβάλετε	apovalete
αποβάλλεται	apovalete
αποβάλλετε	apovalete
αποβάλλομαι	apovalome
αποβάλλομε	apovalome
αποβάλλουμε	apovalume
αποβάλλω	apovalo
αποβάλομε	apovalome
αποβάλουμε	apovalume
αποβάλω	apovalo
αποβιβάζομαι	apovivazome
αποβιβάζω	apovivazo
αποβλέπω	apovlepo
αποβλήθηκα	apovliθika
απογείωση	apoʝiosi
απογειώνω	apoʝiono
απογοήτευσα	apoɣoitefsa
απογοήτεψα	apoɣoitepsa
απογοητεύθηκα	apoɣoitefθika
απογοητεύομαι	apoɣoitevome
απογοητεύτηκα	apoɣoiteftika
απογοητεύω	apoɣoitevo
αποδέχθηκα	apoðexθika
αποδέχομαι	apoðexome
αποδέχτηκα	apoðextika
αποδείξεισ	apoðiksis
αποδείχθηκα	apoðixθika
αποδείχθηκαν	apoðixθikan
αποδείχθηκε	apoðixθice
αποδείχνομαι	apoðixnome
αποδείχνω	apoðixno
αποδείχτηκα	apoðixtika
αποδείχτηκαν	apoðixtikan
αποδείχτηκε	apoðixtice
αποδεικνύομαι	apoðikniome
αποδεικνύομε	apoðikniome
αποδεικνύουμε	apoðikniume
αποδεικνύω	apoðiknio
αποδειχθήκαν	apoðixθikan
αποδειχθήκανε	apoðixθikane
αποδειχτήκαν	apoðixtikan
αποδειχτήκανε	apoðixtikane
αποδεχθεί	apoðexθi
αποδεχτεί	apoðexti
αποδοκιμάζομαι	apoðocimazome
αποδοκιμάζομε	apoðocimazome
αποδοκιμάζουμε	apoðocimazume
αποδοκιμάζω	apoðocimazo
αποδοκιμάσθηκα	apoðocimasθika
αποδοκιμάστηκα	apoðocimastika
αποζημίωσα	apozimiosa
αποζημιώθηκα	apozimioθika
αποζημιώνομαι	apozimionome
αποζημιώνω	apozimiono
αποζημιώσεισ	apozimiosis
αποθήκευσα	apoθicefsa
αποθήκεψα	apoθicepsa
αποθανών	apoθanon
αποθηκεύθηκα	apoθicefθika
αποθηκεύομαι	apoθicevome
αποθηκεύτηκα	apoθiceftika
αποθηκεύω	apoθicevo
αποκάλυψα	apokalipsa
αποκάλυψη	apokalipsi
αποκέντρωση	apocendɾosi
αποκαθίσταμαι	apokaθistame
αποκαθιστώ	apokaθisto
αποκαλύπτομαι	apokaliptome
αποκαλύπτομε	apokaliptome
αποκαλύπτουμε	apokaliptume
αποκαλύπτω	apokalipto
αποκαλύφθηκα	apokalifθika
αποκαλύφτηκα	apokaliftika
αποκαλύψεισ	apokalipsis
αποκατάστησα	apokatastisa
αποκατέστησα	apokatestisa
αποκαταστάθηκα	apokatastaθika
αποκατασταίνομαι	apokatastenome
αποκατασταίνω	apokatasteno
αποκερματισμέ	apoceɾmatizme
αποκερματισμοί	apoceɾmatizmi
αποκερματισμού	apoceɾmatizmu
αποκερματισμούσ	apoceɾmatizmus
αποκερματισμό	apoceɾmatizmo
αποκερματισμόσ	apoceɾmatizmos
αποκερματισμών	apoceɾmatizmon
αποκεφαλίζω	apocefalizo
αποκλείεται	apokliete
αποκλείετε	apokliete
αποκλείομαι	apokliome
αποκλείομε	apokliome
αποκλείουμε	apokliume
αποκλείσθηκα	apoklisθika
αποκλείσθηκε	apoklisθice
αποκλείστηκα	apoklistika
αποκλείστηκε	apoklistice
αποκλείω	apoklio
αποκλεισμένα	apoklizmena
αποκλεισμένε	apoklizmene
αποκλεισμένεσ	apoklizmenes
αποκλεισμένη	apoklizmeni
αποκλεισμένησ	apoklizmenis
αποκλεισμένο	apoklizmeno
αποκλεισμένοι	apoklizmeni
αποκλεισμένοσ	apoklizmenos
αποκλεισμένου	apoklizmenu
αποκλεισμένουσ	apoklizmenus
αποκλεισμένων	apoklizmenon
αποκομίζω	apokomizo
αποκρίθηκα	apokɾiθika
αποκρίνομαι	apokɾinome
αποκρίνω	apokɾino
αποκρουστικόσ	apokrustikos
αποκρούομαι	apokruome
αποκρούομε	apokruome
αποκρούουμε	apokruume
αποκρούσθηκα	apokrusθika
αποκρούστηκα	apokrustika
αποκρούω	apokruo
αποκρύβομαι	apokɾivome
αποκρύβω	apokɾivo
αποκρύπτομαι	apokɾiptome
αποκρύπτομε	apokɾiptome
αποκρύπτουμε	apokɾiptume
αποκρύπτω	apokɾipto
αποκρύφθηκα	apokɾifθika
αποκρύφτηκα	apokɾiftika
αποκρύψεισ	apokɾipsis
αποκυήματα	apociimata
αποκυήματοσ	apociimatos
αποκυημάτων	apociimaton
αποκόβομαι	apokovome
αποκόβουμε	apokovume
αποκόβω	apokovo
αποκόμισα	apokomisa
αποκόπηκα	apokopika
αποκόπτομαι	apokoptome
αποκόπτομε	apokoptome
αποκόπτουμε	apokoptume
αποκόπτω	apokopto
αποκύημα	apociima
απολίθωμα	apoliθoma
απολαμβάνω	apolaɱvano
απολογία	apoloʝia
απολογητικά	apoloʝitika
απολογητικέ	apoloʝitice
απολογητικέσ	apoloʝitices
απολογητική	apoloʝitici
απολογητικήσ	apoloʝiticis
απολογητικοί	apoloʝitici
απολογητικού	apoloʝitiku
απολογητικούσ	apoloʝitikus
απολογητικό	apoloʝitiko
απολογητικόσ	apoloʝitikos
απολογητικών	apoloʝitikon
απολογητικώσ	apoloʝitikos
απολογούμαι	apoloɣume
απολύθηκα	apoliθika
απολύομαι	apoliome
απολύομε	apoliome
απολύουμε	apoliume
απολύω	apolio
απομονωμένα	apomonomena
απομονωμένε	apomonomene
απομονωμένεσ	apomonomenes
απομονωμένη	apomonomeni
απομονωμένησ	apomonomenis
απομονωμένο	apomonomeno
απομονωμένοι	apomonomeni
απομονωμένοσ	apomonomenos
απομονωμένου	apomonomenu
απομονωμένουσ	apomonomenus
απομονωμένων	apomonomenon
απομονώθηκα	apomonoθika
απομονώνομαι	apomonono
απομονώνω	apomonono
απομονώσεισ	apomonosis
απομόνωσα	apomonosa
αποξενωμένοσ	apoksenomenos
αποξενώνομαι	apoksenonome
αποξενώνω	apoksenono
αποπέμπομαι	apopembome
αποπέμπομε	apopembome
αποπέμπουμε	apopembume
αποπέμπω	apopembo
αποπέμφθηκα	apopemfθika
αποπλέω	apopleo
αποπνέω	apopneo
απορρίπτομαι	apoɾiptome
απορρίπτομε	apoɾiptome
απορρίπτουμε	apoɾiptume
απορρίπτω	apoɾipto
απορρίφθηκα	apoɾifθika
απορρίφτηκα	apoɾiftika
απορρίψεισ	apoɾipsis
απορροφάω	aporofao
απορροφήθηκα	apoɾofiθika
απορροφήσεισ	apoɾofisis
απορροφημένοσ	apoɾofimenos
απορροφιέμαι	apoɾofçeme
απορροφούμενα	apoɾofumena
απορροφούμενε	apoɾofumene
απορροφούμενεσ	apoɾofumenes
απορροφούμενη	apoɾofumeni
απορροφούμενησ	apoɾofumenis
απορροφούμενο	apoɾofumeno
απορροφούμενοι	apoɾofumeni
απορροφούμενοσ	apoɾofumenos
απορροφούμενου	apoɾofumenu
απορροφούμενουσ	apoɾofumenus
απορροφούμενων	apoɾofumenon
απορροφώ	apoɾofo
απορροφώμαι	apoɾofome
απορροφώμενοσ	apoɾofomenos
απορρόφησα	apoɾofisa
απορώ	apoɾo
αποσάθρωσα	aposaθɾosa
αποσαθρώθηκα	aposaθɾoθika
αποσαθρώνομαι	aposaθɾonome
αποσαθρώνω	aposaθɾono
αποσαθρώσεισ	aposaθɾosis
αποσείομαι	aposiome
αποσείομε	aposiome
αποσείουμε	aposiume
αποσείστηκα	aposistika
αποσείω	aposio
αποσιωπήθηκα	aposiopiθika
αποσιωπώ	aposiopo
αποσιωπώμαι	aposiopome
αποσιώπησα	aposiopisa
αποσπάστηκα	apospastika
αποσπασμένοσ	apospazmenos
αποσπώ	apospo
αποσπώμαι	apospome
αποστάζομαι	apostazome
αποστάζομε	apostazome
αποστάζουμε	apostazume
αποστάζω	apostazo
αποστάλθηκα	apostalθika
αποστάξεισ	apostaksis
αποστάσεισ	apostasis
αποστάχθηκα	apostaxθika
αποστάχτηκα	apostaxtika
αποστέλλομαι	apostelome
αποστέλλω	apostelo
αποσταίνω	aposteno
αποσταγμένοσ	apostaɣmenos
αποστείρωσα	apostiɾosa
αποστειρώθηκα	apostiɾoθika
αποστειρώνομαι	apostiɾonome
αποστειρώνω	apostiɾono
αποστειρώσεισ	apostiɾosis
αποστηθίζομαι	apostiθizome
αποστηθίζω	apostiθizo
αποστολέασ	apostoleas
αποστολή	apostoli
αποσυνδέω	aposinðeo
αποτέλεσα	apotelesa
αποταμιεύθηκα	apotamiefθika
αποταμιεύομαι	apotamievome
αποταμιεύτηκα	apotamieftika
αποταμιεύω	apotamievo
αποτελούμαι	apotelume
αποτελώ	apotelo
αποτράβηξα	apotɾaviksa
αποτράπηκα	apotɾapika
αποτράπηκαν	apotɾapikan
αποτράπηκε	apotɾapice
αποτρέπομαι	apotɾepome
αποτρέπομε	apotɾepome
αποτρέπουμε	apotɾepume
αποτρέπω	apotɾepo
αποτραβάω	apotɾavao
αποτραβήχτηκα	apotɾavixtika
αποτραβηγμένοσ	apotɾaviɣmenos
αποτραβιέμαι	apotɾavʝeme
αποτραβώ	apotɾavo
αποτραπήκαν	apotɾapikan
αποτραπήκανε	apotɾapikane
αποτυχία	apotiçia
αποφάσεωσ	apofaseos
αποφασίζω	apofasizo
αποφοίτησα	apofitisa
αποφοιτώ	apofito
απρίλη	apɾili
απρίληδεσ	apɾiliðes
απρίληδων	apɾiliðon
απρίλησ	apɾilis
απρίλιε	apɾilie
απρίλιο	apɾilio
απρίλιοι	apɾilii
απρίλιοσ	apɾilios
απριλίου	apɾiliu
απριλίουσ	apɾilius
απριλίων	apɾilion
απωθήθηκα	apoθiθika
απωθώ	apoθo
απόβαλε	apovale
απόβαλλε	apovale
απόγευμα	apoʝevma
απόγονοσ	apoɣonos
απόδειξα	apoðiksa
απόδειξε	apoðikse
απόκλεισα	apoklisa
απόκοψα	apokopsa
απόκριση	apokɾisi
απόκρουσα	apokrusa
απόκρυψα	apokɾipsa
απόλυσα	apolisa
απόπλοι	apopli
απόπλου	apoplu
απόπλουσ	apoplus
απόπλων	apoplon
απόρριμμα	aporima
απόρριψα	apoɾipsa
απόσεισα	aposisa
απόσπασα	apospasa
απόσταξα	apostaksa
απόστασα	apostasa
απότρεψα	apotɾepsa
απόφαση	apofasi
απώλεια	apolia
αράδα	aɾaða
αράζω	arazo
αράπησ	aɾapis
αράχνη	aɾaxni
αραπίνα	aɾapina
αραχνάκι	aɾaxnaci
αραχνίτσα	aɾaxnitsa
αραχνιά	aɾaxɲa
αραχνιάζω	aɾaxɲazo
αραχνιασμένα	aɾaxɲazmena
αραχνιασμένε	aɾaxɲazmene
αραχνιασμένεσ	aɾaxɲazmenes
αραχνιασμένη	aɾaxɲazmeni
αραχνιασμένησ	aɾaxɲazmenis
αραχνιασμένο	aɾaxɲazmeno
αραχνιασμένοι	aɾaxɲazmeni
αραχνιασμένοσ	aɾaxɲazmenos
αραχνιασμένου	aɾaxɲazmenu
αραχνιασμένουσ	aɾaxɲazmenus
αραχνιασμένων	aɾaxɲazmenon
αραχνούλα	aɾaxnula
αργαλειόσ	aɾɣaʎos
αργοσάλευε	aɾɣosaleve
αργοσάλεψα	aɾɣosalepsa
αργοσάλεψε	aɾɣosalepse
αργοσαλεύω	aɾɣosalevo
αργυραμοιβόσ	aɾʝiɾamivos
αργό	aɾɣo
αργύρησ	aɾʝiɾis
αργώ	aɾɣo
αρδεύθηκα	aɾðefθika
αρδεύομαι	aɾðevome
αρδεύτηκα	aɾðeftika
αρδεύω	aɾðevo
αρετέσ	aretes
αρετή	areti
αρετήσ	aretis
αρετών	areton
αριβάρισα	aɾivaɾisa
αριβάρω	aɾivaɾo
αριζόνα	aɾizona
αριστοκλήσ	aɾistoklis
αριστοκρατία	aɾistokɾatia
αρκέστηκα	aɾcestika
αρκούμαι	aɾkume
αρκούμε	aɾkume
αρκτικόσ	aɾktikos
αρκώ	aɾko
αρμέγω	aɾmeɣo
αρμαντίλλο	armadilo
αρματώθηκα	aɾmatoθika
αρματώνομαι	aɾmatonome
αρματώνομε	aɾmatonome
αρματώνουμε	aɾmatonume
αρματώνω	aɾmatono
αρμοδίωσ	aɾmoðios
αρμοδιότητα	aɾmoðiotita
αρμόδιοι	aɾmoðii
αρμόδιοσ	aɾmoðios
αρνήθηκα	aɾniθika
αρνιέμαι	aɾɲeme
αρνιούμαι	aɾɲume
αρνούμαι	aɾnume
αρούμπα	aɾuba
αρπάζομαι	aɾpazome
αρπάζω	aɾpazo
αρρωστημένα	arostimena
αρρωστημένε	arostimene
αρρωστημένεσ	arostimenes
αρρωστημένη	arostimeni
αρρωστημένησ	arostimenis
αρρωστημένο	arostimeno
αρρωστημένοι	arostimeni
αρρωστημένοσ	arostimenos
αρρωστημένου	arostimenu
αρρωστημένουσ	arostimenus
αρρωστημένων	arostimenon
αρχή	arçi
αρχήθεν	arçiθen
αρχίασ	aɾçias
αρχίδαμοσ	aɾçiðamos
αρχίδι	aɾçiði
αρχίζω	arçizo
αρχαιολογία	arçeoloʝia
αρχειοθήκη	arçioθici
αρχηγόσ	aɾçiɣos
αρχιδούκισσα	aɾçiðucisa
αρχικά	arçika
αρχικόσ	arçikos
αρχικώσ	arçikos
αρχιμαλάκασ	aɾçimalakas
αρχιμηνιά	aɾçimiɲa
αρχιφύλακασ	aɾçifilakas
ασ'	as
ασέβεια	asevia
ασέβειασ	asevias
ασέβειεσ	asevies
ασέλγεια	aselʝia
ασανσέρ	asanseɾ
ασβέστησ	azvestis
ασεβέστατα	asevestata
ασεβέστερα	asevestera
ασεβήσ	asevis
ασεβειών	asevion
ασεβώ	asevo
ασεβώσ	asevos
ασελγήσ	aselʝis
ασελγείσ	aselʝis
ασελγώ	aselɣo
ασκάλαφοσ	askalafos
ασκήθηκα	asciθika
ασκημένοσ	ascimenos
ασκούμαι	askume
ασκούμε	askume
ασκώ	asko
ασπάζομαι	aspazome
ασπάσθηκα	aspasθika
ασπάστηκα	aspastika
ασπρίζω	aspɾizo
αστέρασ	asteɾas
αστέρι	asteɾi
αστράφτει	astɾafti
αστράφτω	astɾafto
αστυνομία	astinomia
αστυνομοκρατία	astinomokɾatia
αστυνόμοσ	astinomos
αστυφύλακασ	astifilakas
ασυγχώρητοσ	asiŋxoritos
ασχολιέμαι	asxoʎeme
ασχολούμαι	asxolume
ατάλαντοσ	atalandos
ατμ	ei̯tiem
ατμόσ	atmos
ατροφία	atɾofia
