aarōn	aːarɔn
circumvēneris	t͡ʃirkumvɛːnɛris
circumvēneritis	t͡ʃirkumvɛnɛriːt̪is
circumvēneritis	t͡ʃirkumvɛnɛːrit̪is
circumōrnātus	t͡ʃirkumɔrnaːt̪us
circundō	t͡ʃirkun̪d̪ɔ
circānea	t͡ʃirknaːɛa
circātum	t͡ʃirkaːt̪um
circātūrus	t͡ʃirkat̪uːrus
circēnse	t͡ʃirt͡ʃɛnsɛ
circēnsis	t͡ʃirt͡ʃɛnsis
circō	t͡ʃirkɔ
cirsion	t͡ʃirsiɔn
cisalpīnus	t͡ʃizalpiːnus
cisamus	t͡ʃiːzamus
cisimbrium	t͡ʃizimbrium
cisium	t͡ʃiːzium
cissaros	t͡ʃissarɔs
cissyros	t͡ʃissirɔs
cissērussa	t͡ʃissɛrussa
cissītis	t͡ʃissiːt̪is
cissōnius	t͡ʃissɔːnius
cista	t͡ʃist̪a
cisterna	t͡ʃist̪ɛrna
cisthos	t͡ʃist̪ɔs
cisthēnē	t͡ʃist̪ɛːnɛ
cistula	t͡ʃist̪ula
citandus	t͡ʃit̪an̪d̪us
citandō	t͡ʃit̪an̪d̪ɔ
citante	t͡ʃit̪an̪t̪ɛ
citantī	t͡ʃit̪an̪t̪i
citantō	t͡ʃit̪an̪t̪ɔ
citer	t͡ʃiːt̪ɛr
cithara	t͡ʃiːt̪ara
citharicen	t͡ʃit̪aːrit͡ʃɛn
citharista	t͡ʃit̪arist̪a
citharizō	t͡ʃit̪aridd͡zɔ
citimus	t͡ʃiːt̪imus
citium	t͡ʃiːt͡sium
citius	t͡ʃiːt͡sius
citor	t͡ʃiːt̪ɔr
citrangulum	t͡ʃit̪raŋɡulum
citrangulus	t͡ʃit̪raŋɡulus
citrullum	t͡ʃit̪rullum
citrullus	t͡ʃit̪rullus
citrus	t͡ʃiːt̪rus
citrā	t͡ʃit̪ra
citrā	t͡ʃiːt̪ra
citrīnus	t͡ʃit̪riːnus
citus	t͡ʃiːt̪us
citās	t͡ʃiːt̪as
citāta	t͡ʃit̪aːt̪a
citāte	t͡ʃit̪aːt̪ɛ
citātiō	t͡ʃit̪aːt͡siɔ
citātī	t͡ʃit̪aːt̪i
citātō	t͡ʃit̪aːt̪ɔ
citīs	t͡ʃiːt̪is
citōs	t͡ʃiːt̪ɔs
cius	t͡ʃiːus
clampetīa	klampɛt̪iːa
clanculum	klaŋkulum
clandēstīnus	klan̪d̪ɛst̪iːnus
clangor	klaŋɡɔr
clangō	klaŋɡɔ
clanis	klaːnis
clarendonēnsis	klarɛn̪d̪ɔnɛnsis
clariae	klaːriɛ
clarionēnsis	klariɔnɛnsis
claterna	klat̪ɛrna
claudaster	klau̯d̪ast̪ɛr
claudere	klau̯d̪ɛrɛ
claudere	klau̯d̪ɛːrɛ
claudeō	klau̯d̪ɛɔ
claudia	klau̯d̪ia
claudiae	klau̯d̪iɛ
claudiam	klau̯d̪iam
claudicātiō	klau̯d̪ikaːt͡siɔ
claudicō	klau̯d̪ikɔ
claudius	klau̯d̪ius
claudus	klau̯d̪us
claudēre	klau̯d̪ɛːrɛ
clausentum	klau̯sɛn̪t̪um
claustellum	klau̯st̪ɛllum
claustra	klau̯st̪ra
claustrum	klau̯st̪rum
claustrārius	klau̯st̪raːrius
clausūra	klau̯suːra
clavenna	klavɛnna
clavipēs	klaːvipɛs
clearchus	klɛarkus
clenōdium	klɛnɔːd̪ium
cleobūlus	klɛɔbuːlus
cleomenēs	klɛɔːmɛnɛs
cleophōn	klɛːɔfɔn
clepsydra	klɛpsid̪ra
clepsīna	klɛpsiːna
clepta	klɛpt̪a
clepō	klɛːpɔ
cleōn	klɛːɔn
cleōnae	klɛɔːnɛ
clibanus	kliːbanus
clientēla	kliɛn̪t̪ɛːla
clima	kliːma
climberrum	klimbɛrrum
clipeolum	klipɛːɔlum
clipeus	kliːpɛus
cliēns	kliːɛns
clocitō	klɔːt͡ʃit̪ɔ
clodius	klɔːd̪ius
cloelius	klɛːlius
clonos	klɔːnɔs
cloāca	klɔaːka
cludrus	kluːd̪rus
cluentius	kluɛnt͡sius
cluentus	kluɛn̪t̪us
clueō	kluːɛɔ
clunia	kluːnia
clutōrius	klut̪ɔːrius
cluvidiēnus	kluvid̪iɛːnus
cluvius	kluːvius
cluās	kluːas
clymenos	kliːmɛnɔs
clypeus	kliːpɛus
clypeō	kliːpɛɔ
clādēs	klaːd̪ɛs
clāmitō	klaːmit̪ɔ
clāmor	klaːmɔr
clāmō	klaːmɔ
clāmōsus	klamɔːzus
clāra	klaːra
clāre	klaːrɛ
clāreō	klaːrɛɔ
clārificātiō	klarifikaːt͡siɔ
clārificō	klariːfikɔ
clāripennis	klaripɛnnis
clāritās	klaːrit̪as
clāritūdō	klarit̪uːd̪ɔ
clārus	klaːrus
clārē	klaːrɛ
clārēscō	klarɛskɔ
clāthrātus	klat̪raːt̪us
clāthrī	klaːt̪ri
clāva	klaːva
clāve	klaːvɛ
clāvem	klaːvɛm
clāvibus	klaːvibus
clāvicornis	klavikɔrnis
clāvicula	klaviːkula
clāviculārius	klavikulaːrius
clāvile	klaːvilɛ
clāvis	klaːvis
clāvium	klaːvium
clāvula	klaːvula
clāvus	klaːvus
clāvārium	klavaːrium
clāvātus	klavaːt̪us
clāvēs	klaːvɛs
clāvī	klaːvi
clāvīchordium	klavikɔrd̪ium
clāzomenae	kladd͡zɔːmɛnɛ
clēmentia	klɛmɛnt͡sia
clēmēns	klɛːmɛns
clēricia	klɛriːt͡ʃia
clēricālis	klɛrikaːlis
clīdion	kliːd̪iɔn
clīdēs	kliːd̪ɛs
clīmactēricus	klimakt̪ɛːrikus
clīnicus	kliːnikus
clīnō	kliːnɔ
clīoe	kliːɛ
clīsthenēs	klist̪ɛnɛs
clītarchus	klit̪arkus
clītellae	klit̪ɛllɛ
clīternia	klit̪ɛrnia
clītumnus	klit̪umnus
clītōr	kliːt̪ɔr
clīvius	kliːvius
clīvus	kliːvus
clīō	kliːɔ
clīūs	kliːus
clōdicō	klɔːd̪ikɔ
clōdus	klɔːd̪us
clōstra	klɔst̪ra
clūdō	kluːd̪ɔ
clūnis	kluːnis
clūsium	kluːzium
clūsius	kluːzius
cnaeus	knɛːus
cnaeus	ɲɛːus
cneōron	knɛɔːrɔn
cnidos	kniːd̪ɔs
cnidus	kniːd̪us
cnāsōnae	knazɔːnɛ
cnēmis	knɛːmis
cnōdāx	knɔːd̪aks
coa	kɔːa
coacervātiō	kɔat͡ʃɛrvaːt͡siɔ
coacervō	kɔat͡ʃɛrvɔ
coacēscō	kɔat͡ʃɛskɔ
coadūnō	kɔad̪uːnɔ
coaedificō	kɔɛd̪iːfikɔ
coaequālis	kɔɛkwaːlis
coaequō	kɔɛːkwɔ
coaevus	kɔɛːvus
coagitō	kɔaːd͡ʒit̪ɔ
coagmentābantur	kɔaɡmɛn̪t̪aban̪t̪ur
coagmentō	kɔaɡmɛn̪t̪ɔ
coalitiō	kɔaliːt͡siɔ
coalitus	kɔaːlit̪us
coalēsce	kɔalɛʃʃɛ
coalēscō	kɔalɛskɔ
coalō	kɔːalɔ
coambulō	kɔambulɔ
coangustō	kɔaŋɡust̪ɔ
coarctō	kɔarkt̪ɔ
coarguō	kɔarɡuɔ
coartat	kɔart̪at̪
coartā	kɔart̪a
coartō	kɔart̪ɔ
cobanēnsis	kɔbanɛnsis
coboea	kɔbɛːa
cobulātus	kɔbuːlat̪us
cocceus	kɔtt͡ʃɛus
cocciferus	kɔtt͡ʃiːfɛrus
coccineum	kɔtt͡ʃiːnɛum
coccineus	kɔtt͡ʃiːnɛus
coccinus	kɔtt͡ʃinus
coccum	kɔkkum
coccēius	kɔtt͡ʃɛːius
coccȳx	kɔtt͡ʃiks
cochinchinēnsis	kɔkiŋkinɛnsis
cochinēnsis	kɔkinɛnsis
cochlea	kɔːklɛa
cochlear	kɔːklɛar
cocilius	kɔt͡ʃiːlius
cocistrō	kɔt͡ʃist̪rɔ
coclear	kɔːklɛar
coclēs	kɔːklɛs
cocolobis	kɔkɔːlɔbis
cocondae	kɔkɔn̪d̪ɛ
cocosa	kɔːkɔza
cocosatēs	kɔkɔːzat̪ɛs
coctile	kɔkt̪ilɛ
coctilia	kɔkt̪iːlia
coctilis	kɔkt̪ilis
coctiō	kɔkt͡siɔ
coctor	kɔkt̪ɔr
coctūra	kɔkt̪uːra
cocus	kɔːkus
cocō	kɔːkɔ
codānī	kɔd̪aːni
coefficiēns	kɔɛffiːt͡ʃiɛns
coelebs	t͡ʃɛːlɛps
coelernī	t͡ʃɛlɛrni
coelestis	t͡ʃɛlɛst̪is
coelicolor	t͡ʃɛliːkɔlɔr
coeliger	t͡ʃɛːlid͡ʒɛr
coelus	t͡ʃɛːlus
coemētērium	t͡ʃɛmɛt̪ɛːrium
coenobia	t͡ʃɛnɔːbia
coenobium	t͡ʃɛnɔːbium
coenobī	t͡ʃɛːnɔbi
coenulentus	t͡ʃɛnulɛn̪t̪us
coenō	t͡ʃɛːnɔ
coepiō	t͡ʃɛːpiɔ
coeptus	t͡ʃɛpt̪us
coepī	t͡ʃɛːpi
coerceō	kɔɛrt͡ʃɛɔ
coercitiō	kɔɛrt͡ʃiːt͡siɔ
coeruleus	t͡ʃɛruːlɛus
coerātor	t͡ʃɛraːt̪ɔr
coetus	t͡ʃɛːt̪us
coetāneō	t͡ʃɛt̪aːnɛɔ
coeuntis	kɔɛun̪t̪is
coeus	t͡ʃɛːus
coeō	kɔːɛɔ
coffea	kɔffɛa
cofānus	kɔfaːnus
cogamus	kɔːɡamus
cognitiō	kɔɲɲiːt͡siɔ
cognātiō	kɔɲɲaːt͡siɔ
cognātus	kɔɲɲaːt̪us
cognōmen	kɔɲɲɔːmɛn
cognōminō	kɔɲɲɔːminɔ
cognōscere	kɔɲɲɔʃʃɛrɛ
cognōscere	kɔɲɲɔʃʃɛːrɛ
cognōscibilis	kɔɲɲɔʃʃiːbilis
cognōscō	kɔɲɲɔskɔ
cohabitō	kɔaːbit̪ɔ
cohaereō	kɔɛːrɛɔ
cohaerēscō	kɔɛrɛskɔ
cohibeō	kɔiːbɛɔ
cohibitiō	kɔibiːt͡siɔ
cohibēre	kɔibɛːrɛ
cohonestō	kɔɔnɛst̪ɔ
cohors	kɔːɔrs
cohortor	kɔɔrt̪ɔr
cohortātis	kɔɔrt̪aːt̪is
cohortātiō	kɔɔrt̪aːt͡siɔ
cohortātīs	kɔɔrt̪aːt̪is
cohortō	kɔɔrt̪ɔ
cohum	kɔːum
coiciō	kɔjiːt͡ʃiɔ
coiector	kɔjɛkt̪ɔr
coincidentia	kɔin̠ʲt͡ʃid̪ɛnt͡sia
coincidentēs	kɔin̠ʲt͡ʃid̪ɛn̪t̪ɛs
coincidō	kɔin̠ʲt͡ʃid̪ɔ
coinquinātiō	kɔiŋkwinaːt͡siɔ
coinquinātus	kɔiŋkwinaːt̪us
coinquinō	kɔiŋkwinɔ
coitae	kɔːit̪ɛ
coitiō	kɔiːt͡siɔ
coitus	kɔːit̪us
coitūrus	kɔit̪uːrus
coix	kɔːiks
coiēns	kɔjɛns
colaphizō	kɔlafidd͡zɔ
colapis	kɔːlapis
colarnī	kɔlarni
colchicus	kɔlkikus
colchis	kɔlkis
colebae	kɔːlɛbɛ
coleoptrātus	kɔlɛɔpt̪raːt̪us
colimēnsis	kɔlimɛnsis
coliās	kɔːlias
collabōrō	kɔllabɔːrɔ
collacrimō	kɔllaːkrimɔ
collactāneus	kɔllakt̪aːnɛus
collaudātiō	kɔllau̯d̪aːt͡siɔ
collaudō	kɔllau̯d̪ɔ
colliculus	kɔlliːkulus
colligātiō	kɔlliɡaːt͡siɔ
collippō	kɔllippɔ
colliquātiō	kɔllikwaːt͡siɔ
colliquēscō	kɔllikwɛskɔ
colliquō	kɔllikwɔ
collis	kɔllis
collocātiō	kɔllɔkaːt͡siɔ
collocō	kɔllɔkɔ
collocūtus	kɔllɔkuːt̪us
colloquium	kɔllɔːkwium
colloquor	kɔllɔkwɔr
collum	kɔllum
colluviō	kɔlluːviɔ
collybus	kɔllibus
collytus	kɔllit̪us
collābor	kɔllaːbɔr
collābundus	kɔllabun̪d̪us
collāris	kɔllaːris
collārium	kɔllaːrium
collātia	kɔllaːt͡sia
collātiō	kɔllaːt͡siɔ
collātīnus	kɔllat̪iːnus
collēcta	kɔllɛkt̪a
collēctiō	kɔllɛkt͡siɔ
collēctīvus	kɔllɛkt̪iːvus
collēga	kɔllɛːɡa
collēgium	kɔllɛːd͡ʒium
collēgiālis	kɔllɛd͡ʒiaːlis
collēgiāte	kɔllɛd͡ʒiaːt̪ɛ
collēgiātus	kɔllɛd͡ʒiaːt̪us
collēgiō	kɔllɛːd͡ʒiɔ
collīdō	kɔlliːd̪ɔ
collīne	kɔlliːnɛ
collīnus	kɔlliːnus
collīsiō	kɔlliːziɔ
collūceō	kɔlluːt͡ʃɛɔ
collūctor	kɔllukt̪ɔr
collūctātiō	kɔllukt̪aːt͡siɔ
collūdō	kɔlluːd̪ɔ
collūsiō	kɔlluːziɔ
collūsor	kɔlluːzɔr
collūstrium	kɔllust̪rium
collūstrō	kɔllust̪rɔ
collȳra	kɔlliːra
collȳrium	kɔlliːrium
colobium	kɔlɔːbium
colobona	kɔlɔːbɔna
colocāsia	kɔlɔkaːzia
colombiāna	kɔlɔmbiaːna
colombiāne	kɔlɔmbiaːnɛ
colombiānus	kɔlɔmbiaːnus
colombiānās	kɔlɔmbiaːnas
colombiānī	kɔlɔmbiaːni
colombiānō	kɔlɔmbiaːnɔ
colombiānōs	kɔlɔmbiaːnɔs
colombiēnsis	kɔlɔmbiɛnsis
colon	kɔːlɔn
colophōn	kɔːlɔfɔn
color	kɔːlɔr
coloradēnsis	kɔlɔrad̪ɛnsis
colossae	kɔlɔssɛ
colossus	kɔlɔssus
colossēus	kɔlɔssɛːus
colostrum	kɔlɔst̪rum
coluber	kɔːlubɛr
colubra	kɔlubra
colubra	kɔːlubra
colubrīnus	kɔlubriːnus
columba	kɔlumba
columbiānus	kɔlumbiaːnus
columbiēnsis	kɔlumbiɛnsis
columbus	kɔlumbus
columbārium	kɔlumbaːrium
columbīnus	kɔlumbiːnus
columella	kɔlumɛlla
columen	kɔːlumɛn
columna	kɔlumna
colus	kɔːlus
colycantiī	kɔlikant͡sii
colēre	kɔːlɛrɛ
colī	kɔːli
colō	kɔːlɔ
colōna	kɔlɔːna
colōnia	kɔlɔːnia
colōnica	kɔlɔːnika
colōnicus	kɔlɔːnikus
colōniārius	kɔlɔniaːrius
colōnus	kɔlɔːnus
colōnārius	kɔlɔnaːrius
colōnēus	kɔlɔnɛːus
colōrem	kɔlɔːrɛm
colōribus	kɔlɔːribus
colōrius	kɔlɔːrius
colōrātum	kɔlɔraːt̪um
colōrō	kɔlɔːrɔ
colūrus	kɔluːrus
colūthia	kɔluːt̪ia
coma	kɔːma
comaron	kɔːmarɔn
combaristum	kɔmbarist̪um
combibōnibus	kɔmbibɔːnibus
combrētum	kɔmbrɛːt̪um
combīnāta	kɔmbinaːt̪a
combīnātiō	kɔmbinaːt͡siɔ
combīnō	kɔmbiːnɔ
combūrō	kɔmbuːrɔ
comedit	kɔmɛːd̪it̪
comedit	kɔːmɛd̪it̪
comedō	kɔːmɛd̪ɔ
comes	kɔːmɛs
comicius	kɔmiːt͡ʃius
cominius	kɔmiːnius
comitia	kɔmiːt͡sia
comitissa	kɔmit̪issa
comitium	kɔmiːt͡sium
comitiālis	kɔmit͡siaːlis
comitiō	kɔmiːt͡siɔ
comitor	kɔːmit̪ɔr
comitābilis	kɔmit̪aːbilis
comitātus	kɔmit̪aːt̪us
comitō	kɔːmit̪ɔ
comma	kɔmma
commaculō	kɔmmaːkulɔ
commadeō	kɔmmaːd̪ɛɔ
commagēnē	kɔmmad͡ʒɛːnɛ
commandō	kɔmman̪d̪ɔ
commandūcō	kɔmman̪d̪uːkɔ
commaneō	kɔmmaːnɛɔ
commarceō	kɔmmart͡ʃɛɔ
commata	kɔmmat̪a
commeminī	kɔmmɛːmini
commemorat	kɔmmɛːmɔrat̪
commemorātiō	kɔmmɛmɔraːt͡siɔ
commemorō	kɔmmɛːmɔrɔ
commendābilis	kɔmmɛn̪d̪aːbilis
commendātiō	kɔmmɛn̪d̪aːt͡siɔ
commendō	kɔmmɛn̪d̪ɔ
commentor	kɔmmɛn̪t̪ɔr
commentārius	kɔmmɛn̪t̪aːrius
commentātiō	kɔmmɛn̪t̪aːt͡siɔ
commentīcius	kɔmmɛn̪t̪iːt͡ʃius
commercium	kɔmmɛrt͡ʃium
commerciālis	kɔmmɛrt͡ʃiaːlis
commereō	kɔmmɛːrɛɔ
commeō	kɔmmɛɔ
commi	kɔmmi
commictus	kɔmmikt̪us
commigrō	kɔmmiɡrɔ
commingō	kɔmmiŋɡɔ
comminor	kɔmminɔr
comminuō	kɔmmiːnuɔ
comminābundus	kɔmminabun̪d̪us
comminātiō	kɔmminaːt͡siɔ
comminīscor	kɔmminiskɔr
comminūtiō	kɔmminuːt͡siɔ
commis	kɔmmis
commisceō	kɔmmiʃʃɛɔ
commiscibilis	kɔmmiʃʃiːbilis
commiseror	kɔmmiːzɛrɔr
commissātiō	kɔmmissaːt͡siɔ
commissūra	kɔmmissuːra
committō	kɔmmit̪t̪ɔ
commodus	kɔmmɔd̪us
commodō	kɔmmɔd̪ɔ
commolō	kɔmmɔlɔ
commonefaciō	kɔmmɔnɛfaːt͡ʃiɔ
commonefactum	kɔmmɔnɛfakt̪um
commonefactūrus	kɔmmɔnɛfakt̪uːrus
commoneō	kɔmmɔːnɛɔ
commonitiō	kɔmmɔniːt͡siɔ
commonitum	kɔmmɔːnit̪um
commonitūrus	kɔmmɔnit̪uːrus
commonē	kɔmmɔnɛ
commordeō	kɔmmɔrd̪ɛɔ
commorior	kɔmmɔːriɔr
commoror	kɔmmɔrɔr
commortuus	kɔmmɔrt̪uus
commorātiō	kɔmmɔraːt͡siɔ
commorātus	kɔmmɔraːt̪us
commorī	kɔmmɔri
commoveō	kɔmmɔːvɛɔ
commulceō	kɔmmul̠ʲt͡ʃɛɔ
commurmurō	kɔmmurmurɔ
commācerō	kɔmmaːt͡ʃɛrɔ
commēnsūrābilis	kɔmmɛnsuraːbilis
commētior	kɔmmɛːt͡siɔr
commōnstrō	kɔmmɔnst̪rɔ
commūnicābilis	kɔmmunikaːbilis
commūnicārius	kɔmmunikaːrius
commūnicātīvus	kɔmmunikat̪iːvus
commūnicō	kɔmmuːnikɔ
commūnis	kɔmmuːnis
commūnismus	kɔmmunismus
commūnisticus	kɔmmunist̪ikus
commūniter	kɔmmuːnit̪ɛr
commūnitārius	kɔmmunit̪aːrius
commūnitās	kɔmmuːnit̪as
commūniō	kɔmmuːniɔ
commūnāle	kɔmmunaːlɛ
commūnālis	kɔmmunaːlis
commūnālēs	kɔmmunaːlɛs
commūtātiō	kɔmmut̪aːt͡siɔ
commūtō	kɔmmuːt̪ɔ
compactus	kɔmpakt̪us
compacīscor	kɔmpat͡ʃiskɔr
compalpō	kɔmpalpɔ
comparticeps	kɔmpart̪it͡ʃɛps
compartior	kɔmpart͡siɔr
comparābilis	kɔmparaːbilis
comparātīvus	kɔmparat̪iːvus
comparō	kɔmparɔ
compassibilis	kɔmpassiːbilis
compassiō	kɔmpassiɔ
compater	kɔmpat̪ɛr
compatior	kɔmpaːt͡siɔr
compecīscor	kɔmpɛt͡ʃiskɔr
compediō	kɔmpɛːd̪iɔ
compellātiō	kɔmpɛllaːt͡siɔ
compendium	kɔmpɛn̪d̪ium
compendō	kɔmpɛn̪d̪ɔ
comperendinō	kɔmpɛrɛn̪d̪inɔ
comperiō	kɔmpɛːriɔ
compescō	kɔmpɛskɔ
competenter	kɔmpɛt̪ɛn̪t̪ɛr
competentia	kɔmpɛt̪ɛnt͡sia
competītiō	kɔmpɛt̪iːt͡siɔ
competītor	kɔmpɛt̪iːt̪ɔr
competītrīx	kɔmpɛt̪iːt̪riks
compingō	kɔmpiŋɡɔ
compitum	kɔmpit̪um
compitālicius	kɔmpit̪aliːt͡ʃius
compitālis	kɔmpit̪aːlis
complaceō	kɔmplaːt͡ʃɛɔ
complantō	kɔmplan̪t̪ɔ
complector	kɔmplɛkt̪ɔr
complectō	kɔmplɛkt̪ɔ
complexiō	kɔmplɛksiɔ
complexus	kɔmplɛksus
complexō	kɔmplɛksɔ
compleō	kɔmplɛɔ
complicā	kɔmplika
complicārem	kɔmplikaːrɛm
complicārās	kɔmpliːkaras
complicārēs	kɔmplikaːrɛs
complicās	kɔmplikas
complicāsse	kɔmplikassɛ
complicāssem	kɔmplikassɛm
complicāssēs	kɔmplikassɛs
complicō	kɔmplikɔ
compluit	kɔmpluit̪
compluor	kɔmpluɔr
compluvium	kɔmpluːvium
complānō	kɔmplaːnɔ
complēmentārius	kɔmplɛmɛn̪t̪aːrius
complētam	kɔmplɛːt̪am
complēte	kɔmplɛːt̪ɛ
complētus	kɔmplɛːt̪us
complētās	kɔmplɛːt̪as
complētīvus	kɔmplɛt̪iːvus
complētōrĭum	kɔmplɛt̪ɔːrium
complōdō	kɔmplɔːd̪ɔ
complōrō	kɔmplɔːrɔ
complūtum	kɔmpluːt̪um
comportō	kɔmpɔrt̪ɔ
compos	kɔmpɔs
composite	kɔmpɔːzit̪ɛ
compositiō	kɔmpɔziːt͡siɔ
compositus	kɔmpɔːzit̪us
compositō	kɔmpɔːzit̪ɔ
comprehendō	kɔmprɛɛn̪d̪ɔ
comprehēnsibilis	kɔmprɛɛnsiːbilis
comprehēnsiō	kɔmprɛɛnsiɔ
comprehēnsīvus	kɔmprɛɛnsiːvus
comprehēnsō	kɔmprɛɛnsɔ
compressiō	kɔmprɛssiɔ
comprimō	kɔmprimɔ
comprobātor	kɔmprɔbaːt̪ɔr
comprobō	kɔmprɔbɔ
comprānsor	kɔmpransɔr
comprēndō	kɔmprɛn̪d̪ɔ
comprōmissum	kɔmprɔmissum
comprōmittō	kɔmprɔmit̪t̪ɔ
compsa	kɔmpsa
compsatus	kɔmpsat̪us
compugnō	kɔmpuɲɲɔ
compungō	kɔmpuŋɡɔ
computandō	kɔmput̪an̪d̪ɔ
computrēscō	kɔmput̪rɛskɔ
computātrum	kɔmput̪aːt̪rum
computātrālis	kɔmput̪at̪raːlis
computātōrius	kɔmput̪at̪ɔːrius
computō	kɔmput̪ɔ
compācta	kɔmpakt̪a
compāctus	kɔmpakt̪us
compāctās	kɔmpakt̪as
compāctō	kɔmpakt̪ɔ
compāctōs	kɔmpakt̪ɔs
compāgēs	kɔmpaːd͡ʒɛs
compāniō	kɔmpaːniɔ
compār	kɔmpar
compāreō	kɔmpaːrɛɔ
compēnsandō	kɔmpɛnsan̪d̪ɔ
compēnsat	kɔmpɛnsat̪
compēnsem	kɔmpɛnsɛm
compēnsā	kɔmpɛnsa
compēnsārem	kɔmpɛnsaːrɛm
compēnsārās	kɔmpɛnsaːras
compēnsārēs	kɔmpɛnsaːrɛs
compēnsās	kɔmpɛnsas
compēnsāsse	kɔmpɛnsassɛ
compēnsāssem	kɔmpɛnsassɛm
compēnsāssēs	kɔmpɛnsassɛs
compēnsātīva	kɔmpɛnsat̪iːva
compēnsātīve	kɔmpɛnsat̪iːvɛ
compēnsātīvus	kɔmpɛnsat̪iːvus
compēnsātīvī	kɔmpɛnsat̪iːvi
compēnsātīvō	kɔmpɛnsat̪iːvɔ
compēnsēs	kɔmpɛnsɛs
compēnsō	kɔmpɛnsɔ
compīlātiō	kɔmpilaːt͡siɔ
compīlātor	kɔmpilaːt̪ɔr
compīlō	kɔmpiːlɔ
compōnō	kɔmpɔːnɔ
compūnctiō	kɔmpuŋkt͡siɔ
comāna	kɔmaːna
comātius	kɔmaːt͡sius
comēta	kɔmɛːt̪a
comētēs	kɔmɛːt̪ɛs
comōsus	kɔmɔːzus
conbibō	kɔmbibɔ
conbūrō	kɔmbuːrɔ
conca	kɔŋka
concaleō	kɔŋkaːlɛɔ
concamarātus	kɔŋkamaraːt̪us
concanicus	kɔŋkaːnikus
concanī	kɔŋkani
concarnō	kɔŋkarnɔ
concatēnō	kɔŋkat̪ɛːnɔ
concavus	kɔŋkavus
concelēbrō	kɔn̠ʲt͡ʃɛlɛːbrɔ
concentiō	kɔn̠ʲt͡ʃɛnt͡siɔ
concentus	kɔn̠ʲt͡ʃɛn̪t̪us
conceptiō	kɔn̠ʲt͡ʃɛpt͡siɔ
conceptus	kɔn̠ʲt͡ʃɛpt̪us
conceptuālis	kɔn̠ʲt͡ʃɛpt̪uaːlis
concernō	kɔn̠ʲt͡ʃɛrnɔ
concerpō	kɔn̠ʲt͡ʃɛrpɔ
concertātiō	kɔn̠ʲt͡ʃɛrt̪aːt͡siɔ
concertō	kɔn̠ʲt͡ʃɛrt̪ɔ
concessibilis	kɔn̠ʲt͡ʃɛssiːbilis
concessiō	kɔn̠ʲt͡ʃɛssiɔ
concha	kɔŋka
concheus	kɔŋkɛus
conchȳliātus	kɔŋkiliaːt̪us
concidere	kɔn̠ʲt͡ʃid̪ɛːrɛ
concidere	kɔn̠ʲt͡ʃiːd̪ɛrɛ
concidō	kɔn̠ʲt͡ʃid̪ɔ
concieō	kɔn̠ʲt͡ʃiːɛɔ
conciliante	kɔn̠ʲt͡ʃilian̪t̪ɛ
concilium	kɔn̠ʲt͡ʃiːlium
conciliābulum	kɔn̠ʲt͡ʃiliaːbulum
conciliātiō	kɔn̠ʲt͡ʃiliaːt͡siɔ
conciliātor	kɔn̠ʲt͡ʃiliaːt̪ɔr
conciliātrīx	kɔn̠ʲt͡ʃiliaːt̪riks
conciliō	kɔn̠ʲt͡ʃiːliɔ
concinnitās	kɔn̠ʲt͡ʃinnit̪as
concinnus	kɔn̠ʲt͡ʃinnus
concinnātiō	kɔn̠ʲt͡ʃinnaːt͡siɔ
concinō	kɔn̠ʲt͡ʃinɔ
concionor	kɔn̠ʲt͡ʃiːɔnɔr
concipiō	kɔn̠ʲt͡ʃiːpiɔ
concitātiō	kɔn̠ʲt͡ʃit̪aːt͡siɔ
conciō	kɔn̠ʲt͡ʃiɔ
conclāmātus	kɔŋklamaːt̪us
conclāmō	kɔŋklaːmɔ
conclāve	kɔŋklaːvɛ
conclūdō	kɔŋkluːd̪ɔ
concoctiō	kɔŋkɔkt͡siɔ
concolor	kɔŋkɔlɔr
concomitor	kɔŋkɔːmit̪ɔr
concoquō	kɔŋkɔkwɔ
concordem	kɔŋkɔrd̪ɛm
concordia	kɔŋkɔrd̪ia
concorditer	kɔŋkɔrd̪it̪ɛr
concordiālis	kɔŋkɔrd̪iaːlis
concordēs	kɔŋkɔrd̪ɛs
concordō	kɔŋkɔrd̪ɔ
concors	kɔŋkɔrs
concremō	kɔŋkrɛmɔ
concrepō	kɔŋkrɛpɔ
concreō	kɔŋkrɛɔ
concrēdō	kɔŋkrɛːd̪ɔ
concrēscō	kɔŋkrɛskɔ
concubeō	kɔŋkuːbɛɔ
concubius	kɔŋkuːbius
concubīna	kɔŋkubiːna
concubīnus	kɔŋkubiːnus
conculcō	kɔŋkulkɔ
concumbō	kɔŋkumbɔ
concupiscibilis	kɔŋkupiʃʃiːbilis
concupiō	kɔŋkuːpiɔ
concupīscēns	kɔŋkupiʃʃɛns
concupīscō	kɔŋkupiskɔ
concurrentia	kɔŋkurrɛnt͡sia
concurrō	kɔŋkurrɔ
concutiō	kɔŋkuːt͡siɔ
concēdō	kɔn̠ʲt͡ʃɛːd̪ɔ
concēlō	kɔn̠ʲt͡ʃɛːlɔ
concīdere	kɔn̠ʲt͡ʃiːd̪ɛrɛ
concīdō	kɔn̠ʲt͡ʃiːd̪ɔ
conde	kɔn̪d̪ɛ
condecet	kɔn̪d̪ɛt͡ʃɛt̪
condecorō	kɔn̪d̪ɛːkɔrɔ
