а	a
зародиш	zaɾɔdiʃ
засакува	zasakuva
засвирува	zasviɾuva
засводи	zasvɔdi
засводува	zasvɔduva
засебност	zasɛbnɔst
засекогаш	zasɛkɔɡaʃ
засипнатост	zasipnatɔst
заситеност	zasitɛnɔst
засити	zasiti
засладува	zasɫaduva
заслепеност	zaslɛpɛnɔst
заслепителен	zaslɛpitɛlɛn
заслепувачки	zaslɛpuvat͡ʃki
засмева	zasmɛva
засмрдува	zasmr̩duva
заспива	zaspiva
заспие	zaspijɛ
засраменост	zasramɛnɔst
застанува	zastanuva
застапеност	zastapɛnɔst
застапнички	zastapnit͡ʃki
застапништво	zastapniʃtvɔ
застарува	zastaɾuva
застрашувачки	zastraʃuvat͡ʃki
застудува	zastuduva
засукува	zasukuva
затапеност	zatapɛnɔst
заташкува	zataʃkuva
затајува	zatajuva
затвор	zatvɔr
затворенички	zatvɔrɛnit͡ʃki
затвореност	zatvɔɾɛnɔst
затворски	zatvɔrski
затегнатост	zatɛɡnatɔst
затекнува	zatɛknuva
затилок	zatiɫɔk
затоа	zatɔa
заточение	zatɔt͡ʃɛnijɛ
заточеништво	zatɔt͡ʃɛniʃtvɔ
затреперува	zatrɛpɛɾuva
затрпа	zatr̩pa
зацвилува	zat͡sviɫuva
зацврчува	zat͡svr̩t͡ʃuva
зачаденост	zat͡ʃadɛnɔst
зачадува	zat͡ʃaduva
зачекорува	zat͡ʃɛkɔɾuva
зачестеност	zat͡ʃɛstɛnɔst
зачешла	zat͡ʃɛʃɫa
зачмаеност	zat͡ʃmaɛnɔst
зачуденост	zat͡ʃudɛnɔst
зачудувачки	zat͡ʃuduvat͡ʃki
зачукува	zat͡ʃukuva
зашива	zaʃiva
зашилува	zaʃiɫuva
зашо	zaʃɔ
заштедува	zaʃtɛduva
заштитеност	zaʃtitɛnɔst
заштитнички	zaʃtitnit͡ʃki
заштитува	zaʃtituva
зашто	zaʃtɔ
заѕвонува	zad͡zvɔnuva
зајадливост	zajadlivɔst
зајадува	zajaduva
зајачиште	zajat͡ʃiʃtɛ
зајдисонце	zajdisɔnt͡sɛ
заљубеност	zalubɛnɔst
заќутува	zacutuva
збеснува	zbɛsnuva
збиеност	zbijɛnɔst
зближува	zbliʒuva
збор	zbɔr
зборливост	zbɔrlivɔst
зборообразување	zbɔɾɔɔbrazuvaɲɛ
збороред	zbɔɾɔɾɛt
зборување	zbɔruvaɲɛ
зборче	zbɔrt͡ʃɛ
збрка	zbr̩ka
збрца	zbr̩t͡sa
збунувачки	zbunuvat͡ʃki
звање	zvaɲɛ
звуков	zvukɔf
звучност	zvut͡ʃnɔst
згаденост	zɡadɛnɔst
згазнува	zɡaznuva
згаснува	zɡasnuva
зглоб	zɡɫɔp
зглопче	zɡɫɔpt͡ʃɛ
згмечува	zɡmɛt͡ʃuva
згодност	zɡɔdnɔst
зголеменост	zɡɔlɛmɛnɔst
зграда	zɡrada
зградичка	zɡradit͡ʃka
зградиште	zɡradiʃtɛ
зграпчува	zɡrapt͡ʃuva
згрбавеност	zɡr̩bavɛnɔst
згрешува	zɡrɛʃuva
згрижува	zɡriʒuva
згрозеност	zɡrɔzɛnɔst
згрченост	zɡr̩t͡ʃɛnɔst
згура	zɡuɾa
згуснатост	zɡusnatɔst
згуснувач	zɡusnuvat͡ʃ
здебелува	zdɛbɛɫuva
здиплува	zdipɫuva
здоболува	zdɔbɔɫuva
здодевност	zdɔdɛvnɔst
здравје	zdravjɛ
здрвеност	zdr̩vɛnɔst
здруженост	zdruʒɛnɔst
зебрест	zɛbrɛst
зев	zɛf
зеленчук	zɛlɛnt͡ʃuk
зеленчуков	zɛlɛnt͡ʃukɔf
зелче	zɛɫt͡ʃɛ
зелје	zɛljɛ
зема	zɛma
земе	zɛmɛ
земја	zɛmja
земјичка	zɛmjit͡ʃka
земјоделец	zɛmjɔdɛlɛt͡s
земјоделство	zɛmjɔdɛɫstvɔ
земјопоседник	zɛmjɔpɔsɛdnik
зеница	zɛnit͡sa
зетов	zɛtɔf
зима	zima
зимава	zimava
зиме	zimɛ
зимоска	zimɔska
зимурливост	zimurlivɔst
зијан	zijan
златарка	zɫatarka
златарски	zɫatarski
златарство	zɫatarstvɔ
златен	zɫatɛn
златест	zɫatɛst
златокрилест	zɫatɔkrilɛst
златце	zɫatt͡sɛ
злокобност	zɫɔkɔbnɔst
злосторница	zɫɔstɔrnit͡sa
злоупотреба	zɫɔupɔtrɛba
злоупотребувач	zɫɔupɔtrɛbuvat͡ʃ
змиест	zmijɛst
змиин	zmiin
змииште	zmiiʃtɛ
змиски	zmiski
змијуле	zmijulɛ
змијулест	zmijulɛst
знак	znak
знаме	znamɛ
знаменосец	znamɛnɔsɛt͡s
знаменце	znamɛnt͡sɛ
значи	znat͡ʃi
зоврива	zɔvriva
зограф	zɔɡraf
зора	zɔɾa
зошо	zɔʃɔ
зошто	zɔʃtɔ
зрее	zrɛɛ
зрнест	zr̩nɛst
зрно	zr̩nɔ
зрнце	zr̩n̩t͡sɛ
зуцне	zut͡snɛ
и	i
иако	ijakɔ
ивичи	ivit͡ʃi
игла	iɡɫa
иглест	iɡlɛst
игличка	iɡlit͡ʃka
играч	iɡrat͡ʃ
играчка	iɡrat͡ʃka
играчки	iɡrat͡ʃki
игривост	iɡrivɔst
идеален	idɛalɛn
идеализација	idɛalizat͡sija
идентификација	idɛntifikat͡sija
идеја	idɛja
идиличност	idilit͡ʃnɔst
идолопоклонство	idɔɫɔpɔkɫɔnstvɔ
избавител	izbavitɛɫ
избацува	izbat͡suva
избезуменост	izbɛzumɛnɔst
избирачки	izbiɾat͡ʃki
избодува	izbɔduva
избор	izbɔr
избраник	izbranik
избраница	izbranit͡sa
избрзува	izbr̩zuva
избувен	izbuvɛn
избувливост	izbuvlivɔst
изведба	izvɛdba
изведувач	izvɛduvat͡ʃ
изведувачка	izvɛduvat͡ʃka
изведувачки	izvɛduvat͡ʃki
извезувач	izvɛzuvat͡ʃ
известувач	izvɛstuvat͡ʃ
известувачка	izvɛstuvat͡ʃka
извештаченост	izvɛʃtat͡ʃɛnɔst
извидник	izvidnik
извидничка	izvidnit͡ʃka
извиднички	izvidnit͡ʃki
извидува	izviduva
извидувач	izviduvat͡ʃ
извикува	izvikuva
извинувачки	izvinuvat͡ʃki
извисува	izvisuva
извиткува	izvitkuva
извитоперува	izvitɔpɛɾuva
извичен	izvit͡ʃɛn
извлекува	izvlɛkuva
извод	izvɔt
изводливост	izvɔdlivɔst
извонредност	izvɔnrɛdnɔst
извор	izvɔr
изворче	izvɔrt͡ʃɛ
изврива	izvriva
извршен	izvr̩ʃɛn
извршител	izvr̩ʃitɛɫ
извршителка	izvr̩ʃitɛɫka
изгали	izɡali
изгладнетост	izɡɫadnɛtɔst
изгнаси	izɡnasi
изготви	izɡɔtvi
изгрев	izɡrɛf
изгрејсонце	izɡrɛjsɔnt͡sɛ
изгрицка	izɡrit͡ska
изгушка	izɡuʃka
издашност	izdaʃnɔst
издвојува	izdvɔjuva
изделка	izdɛɫka
издишка	izdiʃka
издлабува	izdɫabuva
издолженост	izdɔɫʒɛnɔst
издолжува	izdɔɫʒuva
издушува	izduʃuva
изеде	izɛdɛ
изедначеност	izɛdnat͡ʃɛnɔst
изедува	izɛduva
излапен	izɫapɛn
излапеност	izɫapɛnɔst
излачува	izɫat͡ʃuva
излезен	izlɛzɛn
излета	izlɛta
излетува	izlɛtuva
излечивост	izlɛt͡ʃivɔst
излижува	izliʒuva
излишност	izliʃnɔst
изложбен	izɫɔʒbɛn
излудува	izɫuduva
измазнува	izmaznuva
измамнички	izmamnit͡ʃki
измаченост	izmat͡ʃɛnɔst
изменува	izmɛnuva
измерува	izmɛɾuva
изминува	izminuva
изморува	izmɔɾuva
измрзнува	izmr̩znuva
измрсува	izmr̩suva
изнаака	iznaaka
изнаброи	iznabrɔi
изнабута	iznabuta
изнавари	iznavaɾi
изнавезе	iznavɛzɛ
изнавитка	iznavitka
изнавреѓа	iznavrɛɟa
изнаврне	iznavr̩nɛ
изнагали	iznaɡali
изнагнете	iznaɡnɛtɛ
изнаголта	iznaɡɔɫta
изнаготви	iznaɡɔtvi
изнадава	iznadava
изнаделка	iznadɛɫka
изнадроби	iznadrɔbi
изназеме	iznazɛmɛ
изнакапе	iznakapɛ
изнакара	iznakaɾa
изнакваси	iznakvasi
изнакити	iznakiti
изнакопа	iznakɔpa
изнакраде	iznakradɛ
изнакрка	iznakr̩ka
изналепи	iznalɛpi
изналупа	iznaɫupa
изнамачка	iznamat͡ʃka
изнамрчи	iznamr̩t͡ʃi
изнаоблече	iznaɔblɛt͡ʃɛ
изнапика	iznapika
изнапише	iznapiʃɛ
изнаплете	iznaplɛtɛ
изнаполни	iznapɔɫni
изнаправи	iznapravi
изнапреде	iznaprɛdɛ
изнапржи	iznapr̩ʒi
изнареди	iznaɾɛdi
изнасади	iznasadi
изнасее	iznasɛɛ
изнасече	iznasɛt͡ʃɛ
изнастава	iznastava
изнастиска	iznastiska
изнатепа	iznatɛpa
изнаучи	iznaut͡ʃi
изнафали	iznafali
изнафрла	iznafr̩ɫa
изнацепи	iznat͡sɛpi
изнацрпи	iznat͡sr̩pi
изнашара	iznaʃaɾa
изнајмува	iznajmuva
изнемоштеност	iznɛmɔʃtɛnɔst
изненаденост	iznɛnadɛnɔst
изненадност	iznɛnadnɔst
изнервираност	iznɛrviɾanɔst
износеност	iznɔsɛnɔst
износува	iznɔsuva
изнудувач	iznuduvat͡ʃ
изобличеност	izɔblit͡ʃɛnɔst
изолациски	izɔɫat͡siski
изопаченик	izɔpat͡ʃɛnik
изопаченост	izɔpat͡ʃɛnɔst
изостанок	izɔstanɔk
изостреност	izɔstrɛnɔst
изработувач	izrabɔtuvat͡ʃ
израел	izraɛɫ
изразитост	izrazitɔst
изретчува	izrɛtt͡ʃuva
изречен	izrɛt͡ʃɛn
изрипува	izripuva
изрод	izrɔt
изустува	izustuva
иконописец	ikɔnɔpisɛt͡s
или	ili
иловица	iɫɔvit͡sa
илустрација	iɫustrat͡sija
илјада	iljada
име	imɛ
имено	imɛnɔ
именува	imɛnuva
именце	imɛnt͡sɛ
имиграциски	imiɡrat͡siski
имиграција	imiɡrat͡sija
имитаторка	imitatɔrka
имотност	imɔtnɔst
императорка	impɛratɔrka
импресија	imprɛsija
импровизаторка	imprɔvizatɔrka
импровизација	imprɔvizat͡sija
имунологија	imunɔɫɔɡija
инаетчија	inaɛtt͡ʃija
инаквост	inakvɔst
инаку	inaku
инвестициски	iɱvɛstit͡siski
индексен	indɛksɛn
индиец	indijɛt͡s
индикација	indikat͡sija
индија	indija
индијка	indijka
инерција	inɛrt͡sija
иницијаторка	init͡sijatɔrka
иницијација	init͡sijat͡sija
инквизициски	iŋkvizit͡siski
инквизиција	iŋkvizit͡sija
инкубациски	iŋkubat͡siski
иновациски	inɔvat͡siski
иновација	inɔvat͡sija
инсинуација	insinuat͡sija
инспекторка	inspɛktɔrka
инспекторски	inspɛktɔrski
инспекциски	inspɛkt͡siski
инсталациски	instaɫat͡siski
инсталација	instaɫat͡sija
инструкторка	instruktɔrka
интеграциски	intɛɡrat͡siski
интеграција	intɛɡrat͡sija
интеракција	intɛrakt͡sija
интервју	intɛrvju
интерен	intɛɾɛn
интерес	intɛɾɛs
интересчија	intɛrɛʃt͡ʃija
интернационален	intɛrnat͡sijɔnalɛn
интерпретациски	intɛrprɛtat͡siski
интерпункциски	intɛrpuŋkt͡siski
интонациски	intɔnat͡siski
интонација	intɔnat͡sija
интранет	intranɛt
интуиција	intuit͡sija
инфлациски	infɫat͡siski
инфлација	infɫat͡sija
информатика	iɱfɔrmatika
информатичарски	iɱfɔrmatit͡ʃarski
информациски	iɱfɔrmat͡siski
инфузија	infuzija
ираде	iɾadɛ
ирак	irak
иран	iran
иридиум	iridijum
ироничност	irɔnit͡ʃnɔst
иселеничка	isɛlɛnit͡ʃka
иселенички	isɛlɛnit͡ʃki
иселеништво	isɛlɛniʃtvɔ
исечок	isɛt͡ʃɔk
искача	iskat͡ʃa
искашлува	iskaʃɫuva
исклучив	iskɫut͡ʃif
исклучиво	iskɫut͡ʃivɔ
исклучителност	iskɫut͡ʃitɛɫnɔst
ископува	iskɔpuva
искористува	iskɔristuva
искорнува	iskɔrnuva
искосува	iskɔsuva
искра	iskra
искреност	iskrɛnɔst
искривеност	iskrivɛnɔst
искривоколчува	iskrivɔkɔɫt͡ʃuva
искривува	iskrivuva
искричка	iskrit͡ʃka
искрснува	iskr̩snuva
иследи	islɛdi
исончаност	isɔnt͡ʃanɔst
испакнатост	ispaknatɔst
испива	ispiva
испита	ispita
испитувач	ispituvat͡ʃ
испише	ispiʃɛ
исплата	ispɫata
исплатливост	ispɫatlivɔst
испливува	isplivuva
испобаци	ispɔbat͡si
испобега	ispɔbɛɡa
испобрише	ispɔbriʃɛ
испобрка	ispɔbr̩ka
исповади	ispɔvadi
исповедалница	ispɔvɛdaɫnit͡sa
исповеден	ispɔvɛdɛn
исповедник	ispɔvɛdnik
исповеднички	ispɔvɛdnit͡ʃki
исповитка	ispɔvitka
исповрти	ispɔvr̩ti
испогази	ispɔɡazi
испогмечи	ispɔɡmɛt͡ʃi
испогради	ispɔɡradi
испогреши	ispɔɡrɛʃi
испогризе	ispɔɡrizɛ
исподвлече	ispɔdvlɛt͡ʃɛ
испожени	ispɔʒɛni
испозаборави	ispɔzabɔɾavi
испозагине	ispɔzaɡinɛ
испозакачи	ispɔzakat͡ʃi
испозапали	ispɔzapali
испозатвори	ispɔzatvɔɾi
испоздрави	ispɔzdravi
испоказни	ispɔkazni
испокара	ispɔkaɾa
испокаса	ispɔkasa
испоколе	ispɔkɔlɛ
испокорне	ispɔkɔrnɛ
испокраде	ispɔkradɛ
испокрпи	ispɔkr̩pi
испокубе	ispɔkubɛ
испокупи	ispɔkupi
исполаже	ispɔɫaʒɛ
исполепи	ispɔlɛpi
исползи	ispɔɫzi
исполнителност	ispɔɫnitɛɫnɔst
испомажи	ispɔmaʒi
испомачка	ispɔmat͡ʃka
испомоча	ispɔmɔt͡ʃa
испонарача	ispɔnaɾat͡ʃa
испонастине	ispɔnastinɛ
испонаучи	ispɔnaut͡ʃi
испоначичка	ispɔnat͡ʃit͡ʃka
испообеси	ispɔɔbɛsi
испооговара	ispɔɔɡɔvaɾa
испоотвори	ispɔɔtvɔɾi
испопрати	ispɔprati
испопродаде	ispɔprɔdadɛ
испопрска	ispɔpr̩ska
испопука	ispɔpuka
испоразбуди	ispɔrazbudi
испорака	ispɔɾaka
испорачувач	ispɔrat͡ʃuvat͡ʃ
испоруга	ispɔɾuɡa
испосакати	ispɔsakati
испосере	ispɔsɛɾɛ
испосече	ispɔsɛt͡ʃɛ
испосник	ispɔsnik
испоснички	ispɔsnit͡ʃki
испосништво	ispɔsniʃtvɔ
испостиска	ispɔstiska
испотепа	ispɔtɛpa
испотпише	ispɔtpiʃɛ
испотутка	ispɔtutka
испоубие	ispɔubijɛ
испоумре	ispɔumrɛ
испоуништи	ispɔuniʃti
испоутне	ispɔutnɛ
испофаќа	ispɔfaca
испофрла	ispɔfr̩ɫa
испохефта	ispɔxɛfta
испоцрка	ispɔt͡sr̩ka
испочитува	ispɔt͡ʃituva
испразнува	ispraznuva
испрекинатост	isprɛkinatɔst
испреплетеност	isprɛplɛtɛnɔst
испреплетува	isprɛplɛtuva
испржува	ispr̩ʒuva
испруженост	ispruʒɛnɔst
испукува	ispukuva
испупченост	ispupt͡ʃɛnɔst
испупчува	ispupt͡ʃuva
испцуе	ispt͡suɛ
истанченост	istant͡ʃɛnɔst
истенчува	istɛnt͡ʃuva
истиснува	istisnuva
истишува	istiʃuva
истовара	istɔvaɾa
истовремено	istɔvrɛmɛnɔ
истовременост	istɔvrɛmɛnɔst
истоименик	istɔimɛnik
историчарка	istɔrit͡ʃarka
источњак	istɔt͡ʃɲak
истоштува	istɔʃtuva
истражувачка	istraʒuvat͡ʃka
истребувач	istrɛbuvat͡ʃ
истребувачка	istrɛbuvat͡ʃka
истрелува	istrɛɫuva
истресува	istrɛsuva
истрчува	istr̩t͡ʃuva
истумба	istumba
исушува	isuʃuva
исфаќа	isfaca
исфрлен	isfr̩lɛn
исходен	isxɔdɛn
исцицува	ist͡sit͡suva
исцрнува	ist͡sr̩nuva
исцрпеност	ist͡sr̩pɛnɔst
исцрпност	ist͡sr̩pnɔst
исцрта	ist͡sr̩ta
исцртува	ist͡sr̩tuva
исцрцорува	ist͡sr̩t͡sɔɾuva
исчистува	iʃt͡ʃistuva
итербиум	itɛrbijum
итност	itnɔst
итрец	itrɛt͡s
итрина	itrina
итрост	itrɔst
ич	it͡ʃ
ишарет	iʃaɾɛt
ишка	iʃka
ишмукува	iʃmukuva
ишне	iʃnɛ
кабел	kabɛɫ
кабелче	kabɛɫt͡ʃɛ
кабул	kabuɫ
кабулски	kabuɫski
кавал	kavaɫ
кавалче	kavaɫt͡ʃɛ
кавгаџика	kavɡad͡ʒika
каде	kadɛ
кадифе	kadifɛ
кадија	kadija
кадра	kadra
кадравост	kadravɔst
кажигаз	kaʒiɡas
казанџија	kazand͡ʒija
казахстан	kazaxstan
казненик	kaznɛnik
каивче	kaift͡ʃɛ
каиш	kaiʃ
како	kakɔ
какофонија	kakɔfɔnija
кактус	kaktus
кал	kaɫ
кале	kalɛ
календар	kalɛndar
калиум	kalijum
калкан	kaɫkan
калорија	kaɫɔɾija
калуѓерство	kaɫuɟɛrstvɔ
калфа	kaɫfa
камион	kamijɔn
камионче	kamijɔnt͡ʃɛ
камо	kamɔ
камоли	kamɔli
камшик	kamʃik
камшиче	kamʃit͡ʃɛ
канада	kanada
канбера	kambɛɾa
канберски	kambɛrski
кандило	kandiɫɔ
кандилце	kandiɫt͡sɛ
капак	kapak
капинов	kapinɔf
капнатост	kapnatɔst
кара	kaɾa
карактеризација	kaɾaktɛɾizat͡sija
каранфилче	karaɱfiɫt͡ʃɛ
каросерија	kaɾɔsɛɾija
карта	karta
карти	karti
картичка	kartit͡ʃka
картографија	kartɔɡrafija
карфиол	karfijɔɫ
карши	karʃi
каса	kasa
касиер	kasijɛr
касиерка	kasijɛrka
касичка	kasit͡ʃka
касмет	kasmɛt
касметлија	kasmɛtlija
каснатина	kasnatina
каснува	kasnuva
кастрација	kastrat͡sija
кат	kat
каталог	kataɫɔk
катанец	katanɛt͡s
катанче	katant͡ʃɛ
катастарски	katastarski
катаљарда	katalarda
категоризација	katɛɡɔɾizat͡sija
катедрала	katɛdraɫa
катраноса	katranɔsa
катче	katt͡ʃɛ
катјон	katjɔn
кафе	kafɛ
кафез	kafɛs
кафенце	kafɛnt͡sɛ
кафеџија	kafɛd͡ʒija
кафиња	kafiɲa
кафуле	kafulɛ
каца	kat͡sa
каци	kat͡si
качамак	kat͡ʃamak
качество	kat͡ʃɛstvɔ
каша	kaʃa
кашичка	kaʃit͡ʃka
кај	kaj
кајгана	kajɡana
кајсиичка	kajsiit͡ʃka
кајсија	kajsija
кајче	kajt͡ʃɛ
квадрат	kvadrat
квадратче	kvadratt͡ʃɛ
квалификација	kvalifikat͡sija
кварт	kvart
квас	kvas
квасец	kvasɛt͡s
кваси	kvasi
квебек	kvɛbɛk
квислинг	kvisliŋk
келнер	kɛɫnɛr
келнерка	kɛɫnɛrka
кенгурче	kɛŋɡurt͡ʃɛ
кепец	kɛpɛt͡s
кибернетика	kibɛrnɛtika
кибрит	kibrit
кибритче	kibritt͡ʃɛ
кивнува	kivnuva
киев	kijɛf
киевски	kijɛfski
килимар	kilimar
килимарски	kilimarski
килимарство	kilimarstvɔ
килимче	kilimt͡ʃɛ
километарски	kiɫɔmɛtarski
кимнува	kimnuva
кина	kina
кинематографија	kinɛmatɔɡrafija
кинетика	kinɛtika
кипарски	kiparski
киселкавост	kisɛɫkavɔst
кифла	kifɫa
кифличка	kiflit͡ʃka
кичма	kit͡ʃma
кишињев	kiʃiɲɛf
кишињевски	kiʃiɲɛfski
клавичембала	kɫavit͡ʃɛmbaɫa
клавичембало	kɫavit͡ʃɛmbaɫɔ
клада	kɫada
клапнува	kɫapnuva
класика	kɫasika
класификациски	kɫasifikat͡siski
класификација	kɫasifikat͡sija
клати	kɫati
клаустрофобија	kɫaustrɔfɔbija
клацка	kɫat͡ska
клекнува	klɛknuva
клема	klɛma
клен	klɛn
клептоманија	klɛptɔmanija
клер	klɛr
клетвен	klɛtvɛn
клетка	klɛtka
кликнува	kliknuva
климатизација	klimatizat͡sija
клинички	klinit͡ʃki
клинче	klint͡ʃɛ
клистир	klistir
клитика	klitika
клише	kliʃɛ
клоцнува	kɫɔt͡snuva
клумка	kɫumka
клунка	kɫuŋka
клуч	kɫut͡ʃ
клуче	kɫut͡ʃɛ
кметов	kmɛtɔf
кметува	kmɛtuva
кнежевства	knɛʒɛfstva
кнежевство	knɛʒɛfstvɔ
кнежество	knɛʒɛstvɔ
кнез	knɛs
книга	kniɡa
книгава	kniɡava
книгана	kniɡana
книгата	kniɡata
книги	kniɡi
книгиве	kniɡivɛ
книгине	kniɡinɛ
книгите	kniɡitɛ
книго	kniɡɔ
книжар	kniʒar
книжарка	kniʒarka
книжарница	kniʒarnit͡sa
книжарски	kniʒarski
книжен	kniʒɛn
книжуле	kniʒulɛ
ко	kɔ
коа	kɔa
кобила	kɔbiɫa
ковче	kɔft͡ʃɛ
ковчест	kɔft͡ʃɛst
кога	kɔɡa
код	kɔt
кодификација	kɔdifikat͡sija
кодош	kɔdɔʃ
кое	kɔɛ
коза	kɔza
козарски	kɔzarski
козарство	kɔzarstvɔ
козичка	kɔzit͡ʃka
козметичар	kɔzmɛtit͡ʃar
козметичарка	kɔzmɛtit͡ʃarka
кои	kɔi
кокиче	kɔkit͡ʃɛ
кокори	kɔkɔɾi
кокосов	kɔkɔsɔf
кола	kɔɫa
колаче	kɔɫat͡ʃɛ
колаченце	kɔɫat͡ʃɛnt͡sɛ
колбас	kɔɫbas
колебливост	kɔlɛblivɔst
коледе	kɔlɛdɛ
колекција	kɔlɛkt͡sija
колено	kɔlɛnɔ
коленце	kɔlɛnt͡sɛ
количество	kɔlit͡ʃɛstvɔ
колкав	kɔɫkaf
колку	kɔɫku
колкумина	kɔɫkumina
колокациски	kɔɫɔkat͡siski
колоквиум	kɔɫɔkvijum
колонизациски	kɔɫɔnizat͡siski
колосек	kɔɫɔsɛk
команда	kɔmanda
комар	kɔmar
комарец	kɔmaɾɛt͡s
комарци	kɔmart͡si
комби	kɔmbi
комика	kɔmika
комисиски	kɔmisiski
комичарка	kɔmit͡ʃarka
комичарски	kɔmit͡ʃarski
комичност	kɔmit͡ʃnɔst
коморач	kɔmɔɾat͡ʃ
комотност	kɔmɔtnɔst
компактност	kɔmpaktnɔst
компарација	kɔmparat͡sija
компензација	kɔmpɛnzat͡sija
компир	kɔmpir
компиров	kɔmpiɾɔf
компирче	kɔmpirt͡ʃɛ
комплексност	kɔmplɛksnɔst
комплицираност	kɔmplit͡siɾanɔst
композиторски	kɔmpɔzitɔrski
композициски	kɔmpɔzit͡siski
компонента	kɔmpɔnɛnta
компромис	kɔmprɔmis
компјутер	kɔmpjutɛr
компјутеризација	kɔmpjutɛɾizat͡sija
комунизам	kɔmunizam
комшилак	kɔmʃiɫak
конверзациски	kɔɱvɛrzat͡siski
конверзација	kɔɱvɛrzat͡sija
конверзија	kɔɱvɛrzija
конгрес	kɔŋɡrɛs
кондензатор	kɔndɛnzatɔr
кондензација	kɔndɛnzat͡sija
кондиција	kɔndit͡sija
кондуктерка	kɔnduktɛrka
кондуктерски	kɔnduktɛrski
конексија	kɔnɛksija
конечно	kɔnɛt͡ʃnɔ
конзерваториум	kɔnzɛrvatɔɾijum
конзервација	kɔnzɛrvat͡sija
конзул	kɔnzuɫ
конкуренција	kɔŋkurɛnt͡sija
конотација	kɔnɔtat͡sija
констатација	kɔnstatat͡sija
конституција	kɔnstitut͡sija
конта	kɔnta
контактен	kɔntaktɛn
континент	kɔntinɛnt
контурен	kɔntuɾɛn
конфедерациски	kɔɱfɛdɛrat͡siski
конференциски	kɔɱfɛrɛnt͡siski
конфигурација	kɔɱfiɡurat͡sija
конфискација	kɔɱfiskat͡sija
конфузен	kɔɱfuzɛn
конфучиј	kɔɱfut͡ʃij
концизен	kɔnt͡sizɛn
концизност	kɔnt͡siznɔst
конјугациски	kɔnjuɡat͡siski
координаторка	kɔɔrdinatɔrka
координаторски	kɔɔrdinatɔrski
координација	kɔɔrdinat͡sija
копан	kɔpan
копаничар	kɔpanit͡ʃar
копанче	kɔpant͡ʃɛ
копито	kɔpitɔ
копитце	kɔpitt͡sɛ
копнува	kɔpnuva
коприва	kɔpriva
коприна	kɔprina
копула	kɔpuɫa
копје	kɔpjɛ
копјенце	kɔpjɛnt͡sɛ
кора	kɔɾa
кораб	kɔɾap
корелација	kɔɾɛɫat͡sija
корен	kɔɾɛn
коренче	kɔɾɛnt͡ʃɛ
кореја	kɔrɛja
користољубивост	kɔɾistɔlubivɔst
корито	kɔɾitɔ
коритце	kɔɾitt͡sɛ
коричка	kɔɾit͡ʃka
корне	kɔrnɛ
корпорациски	kɔrpɔrat͡siski
корупција	kɔrupt͡sija
коса	kɔsa
косачка	kɔsat͡ʃka
коси	kɔsi
косичка	kɔsit͡ʃka
коска	kɔska
коскест	kɔskɛst
коски	kɔski
космологија	kɔsmɔɫɔɡija
космонаут	kɔsmɔnaut
космонаутка	kɔsmɔnautka
косово	kɔsɔvɔ
костенов	kɔstɛnɔf
костим	kɔstim
костимче	kɔstimt͡ʃɛ
котларски	kɔtɫarski
кофа	kɔfa
коцка	kɔt͡ska
коцкарски	kɔt͡skarski
коцкест	kɔt͡skɛst
коцкичка	kɔt͡skit͡ʃka
кочан	kɔt͡ʃan
кочина	kɔt͡ʃina
кошарка	kɔʃarka
кошмар	kɔʃmar
кошница	kɔʃnit͡sa
кошничарски	kɔʃnit͡ʃarski
кошничка	kɔʃnit͡ʃka
кој	kɔj
која	kɔja
коњ	kɔɲ
коњарство	kɔɲarstvɔ
коњица	kɔɲit͡sa
коњушарски	kɔɲuʃarski
коњче	kɔɲt͡ʃɛ
крава	krava
кравар	kravar
краварка	kravarka
краварски	kravarski
краварство	kravarstvɔ
кравче	kraft͡ʃɛ
крадец	kradɛt͡s
крадешкум	kradɛʃkum
крал	kraɫ
кралоубиство	kraɫɔubistvɔ
кралски	kraɫski
кралува	kraɫuva
крап	krap
краставичка	krastavit͡ʃka
кратковечност	kratkɔvɛt͡ʃnɔst
кратковид	kratkɔvit
краткометражен	kratkɔmɛtraʒɛn
краткост	kratkɔst
краткотрајност	kratkɔtrajnɔst
краток	kratɔk
крај	kraj
крајморски	krajmɔrski
крајпатен	krajpatɛn
крајречен	krajrɛt͡ʃɛn
крајче	krajt͡ʃɛ
крв	kr̩f
крводарител	kr̩vɔdaɾitɛɫ
крвожедност	kr̩vɔʒɛdnɔst
крволочност	kr̩vɔɫɔt͡ʃnɔst
крдо	kr̩dɔ
креација	krɛat͡sija
кревкост	krɛfkɔst
креда	krɛda
кредитен	krɛditɛn
крекнува	krɛknuva
кремен	krɛmɛn
крепкост	krɛpkɔst
крепосник	krɛpɔsnik
крзнар	kr̩znar
крзнарски	kr̩znarski
крзнарство	kr̩znarstvɔ
крзно	kr̩znɔ
криволов	krivɔɫɔf
кризен	krizɛn
крикет	krikɛt
крикнува	kriknuva
крилест	krilɛst
крило	kriɫɔ
крилце	kriɫt͡sɛ
кринов	krinɔf
криптологија	kriptɔɫɔɡija
кристал	kristaɫ
кристализација	kristalizat͡sija
критика	kritika
критичар	kritit͡ʃar
критичарски	kritit͡ʃarski
критичност	kritit͡ʃnɔst
криумчар	krijumt͡ʃar
кришум	kriʃum
кркнува	kr̩knuva
кров	krɔf
кровче	krɔft͡ʃɛ
крои	krɔi
