we	βˈe
baýramçylygyň	bˌɑjrɑmt͡ʃɯɫˈɯʁɯŋ
bildirilip	bˌillirˈilip
binýadynyň	bˌinjɑdˈɯnɯŋ
bölekleriniň	bˌœlœklœrˈiniŋ
dünýäsi	dønjˈæθi
düşünilýär	dˌøʃønˈøljæːr
eýelän	ejˈelæn
görnüşlerine	ɡˌœrnøʃlœrˈønœ
gözegçiligini	ɡˌœðœʁt͡ʃˌøløʁˈini
habarlary	xˌɑβɑrɫˈɑrɯ
häsiýetine	hˌæθijetˈine
hödürledi	hˌœdørlˈœdø
hödürlendi	hˌœdørlˈœnnø
hödürleýär	hˌœdørlˈœjæːr
hökmanydyr	hˌœkmɑnˈɯdɯr
iberilen	ˌiβerˈilen
iberýär	iβˈerjæːr
innowasiýa	ˌinnoβoθˈijɑ
işlän	ˈiʃlæn
jogapkärçiligine	d͡ʒˌoʁopkˌært͡ʃiliʁˈine
kagyzlaryň	qˌɑʁɯðɫˈɑrɯŋ
kesgitlemäge	kˌeθʁitlemˈæːɡe
kubogy	qʊβˈoʁʊ
maslahatlaşmak	mˌɑθɫɑxˌɑtɫɑʃmˈɑq
metbugat	metβˈʊːʁot
neşirýat	neʃˈirjɑt
paýtagtymyz	pˌɑjtɑʁtˈɯmɯð
pullarynyň	pˌʊɫɫorˈʊnʊŋ
sirk	θˈirk
tabşyrylan	tˌɑβʃɯrˈɯɫɑn
talyplarynyň	tˌɑɫɯpɫɑrˈɯnɯŋ
tamamlanmagy	tˌɑmɑmɫɑnmˈɑʁɯ
taslamasyna	tˌɑθɫɑmɑθˈɯnɑ
tehnika	tehnˈikɑ
temmi	tˈemmiː
ulanylmagyna	ˌʊɫonˌʊɫmɑʁˈɯnɑ
ylalaşyklar	ˌɯɫɑɫɑʃˈɯqɫɑr
ylalaşyklary	ˌɯɫɑɫˌɑʃɯqɫˈɑrɯ
ynandyrdy	ˌɯnɑnnˈɯrdɯ
yza	ˈɯðɑ
çemeleşmegiň	t͡ʃˌemeleʃmˈeʁiŋ
öwrülip	œβrˈøløp
üstünlige	ˌøθθønlˈøʁœ
ýetginjekler	jˌetʁind͡ʒˈekler
ýetirijisi	jˌetirid͡ʒˈiθi
ýetirilip	jˌetirˈilip
şatlyk	ʃˈɑtɫɯq
şertnamalar	ʃˌertnɑmˈɑɫɑr
Kanunyna	qˌɑnʊnˈʊnɑ
Kodekse	qodˈekθe
Nusaý	nˈʊθoj
abatlaýyş	ˌɑβɑtɫˈɑjɯʃ
bellenilmedik	bˌellenilmˈedik
bildirýär	billˈirjæːr
bilimiň	bilˈimiŋ
birleşdirýän	bˌirleʃdˈirjæn
bozulan	boðˈʊɫon
bölümiň	bœlˈømøŋ
delillendirilen	dˌelillˌennirˈilen
ençemesi	ˌent͡ʃemˈeθi
gatnaşyklarynda	ɡˌɑtnɑʃˌɯqɫɑrˈɯnnɑ
gektara	ɡektˈɑrɑ
giriş	ɡˈiriʃ
gowulandyrmaga	ɡˌoβʊɫˌonnʊrmˈɑʁɑ
hossarlyk	xoθθˈorɫʊq
hukugyň	xʊqˈʊʁʊŋ
internet	intˈernet
käýinç	kˈæjint͡ʃ
meniň	mˈeniŋ
milletiň	millˈetiŋ
myhmansöýerlik	mˌɯxmɑnθœjˈerlik
nyşanynyň	nˌɯʃɑnˈɯnɯŋ
obanyň	oβˈonʊŋ
okuwa	oqˈʊβo
orunda	orˈʊnno
parlamentara	pˌɑrɫɑmentˈɑrɑ
paýtagtymyzy	pˌɑjtɑʁtɯmˈɯðɯ
peýdalanýan	pˌejdɑɫˈɑnjɑn
portunyň	portˈʊnʊŋ
pugta	pˈʊʁto
tapgyryna	tˌɑpʁɯrˈɯnɑ
welaýatlaryndan	βˌelɑjˌɑtɫɑrˈɯnnɑn
ykdysadyýetimizi	ˌɯqdɯθˌɑdɯjˌetimˈiði
ylmynyň	ɯɫmˈɯnɯŋ
ýerleşdirildi	jˌerleʃdirˈilli
ýüklenilýär	jˌøklœnˈøljæːr
Deslapky	deθɫˈɑpqɯ
Döwletiniň	dˌœβlœtˈønøŋ
Halkymyzyň	xˌɑɫqɯmˈɯðɯŋ
amallaryny	ˌɑmɑɫɫɑrˈɯnɯ
aralyk	ɑːrˈɑɫɯq
atasynyň	ˌɑtɑθˈɯnɯŋ
azyklyk	ɑðˈɯqɫɯq
aýy	ˈɑjɯ
baglary	bɑʁɫˈɑrɯ
birmeňzeş	birmˈeŋðeʃ
bäsleşdiler	bˌæθleʃdˈiler
böleklerini	bˌœlœklœrˈini
daş	dˈɑːʃ
desgalarynda	dˌeθʁɑɫɑrˈɯnnɑ
diňlenildi	dˌiŋlenˈilli
erkekler	erkˈekler
esaslyk	eθˈɑθɫɯq
gaýtaryp	ɡɑjtˈɑrɯp
goşulýan	ɡoʃˈʊɫjɑn
görlüşi	ɡœrlˈøʃø
hasaplanýan	xˌɑθɑpɫˈɑnjɑn
haýyşnamanyň	xˌɑjɯʃnɑmˈɑnɯŋ
hiliniň	hilˈiniŋ
hyzmatyň	xɯðmˈɑtɯŋ
hödürlemek	hˌœdørlœmˈœk
islegine	ˌiθleʁˈine
maşgalanyň	mˌɑʃʁɑɫˈɑnɯŋ
mekdepler	mekdˈepler
myhmany	mɯxmˈɑnɯ
möhümdigine	mˌœhømnøʁˈøne
nazarda	nɑðˈɑrdɑ
netijede	nˌetid͡ʒˈede
oktýabrynda	ˌoqtjɑβrˈɯnnɑ
oturdyldy	ˌotʊrdˈʊɫɫʊ
owazy	oβˈoðʊ
raýatynyň	rˌɑjɑtˈɯnɯŋ
saklaýjy	θɑqɫˈɑjd͡ʒɯ
salamlaşyp	θˌɑɫɑmɫˈɑʃɯp
sebitleriniň	θˌeβitlerˈiniŋ
sungatyň	θʊnʁˈotʊŋ
sözi	θˈœðø
wepaly	βepˈɑːɫɯ
wezipelere	βˌeðipelˈere
Özara	œːðˈɑrɑ
Ýaşulular	jˌɑːʃʊɫˈʊɫor
çykyşyny	t͡ʃˌɯqɯʃˈɯnɯ
ölçegleri	ˌœlt͡ʃœʁlˈœri
üçüsi	øt͡ʃˈøθø
ýazgysy	jɑðʁˈɯθɯ
ýaşajyk	jɑʃˈɑd͡ʒɯq
ýüküň	jˈøkøŋ
şertnamalaýyn	ʃˌertnɑmɑɫˈɑjɯn
Aşgabatdaky	ˌɑʃʁɑβɑtdˈɑːqɯ
Bäsleşige	bˌæθleʃˈiʁe
Gatnaşyjy	ɡˌɑtnɑʃˈɯd͡ʒɯ
Hökümetara	hˌœkømœtˈɑrɑ
Mejlisde	med͡ʒlˈiθθe
Serkerdebaşysy	θˌerkerdˌeβɑʃˈɯθɯ
Tutuş	tˈʊtʊʃ
abatlamak	ˌɑβɑtɫɑmˈɑq
artmagy	ɑrtmˈɑʁɯ
azaltmak	ˌɑðɑɫtmˈɑq
belarus	belˈɑrʊθ
bellenip	bellˈenip
bezegine	bˌeðeʁˈine
bolandygy	bˌoɫonnˈʊʁɯ
bolman	bˈoɫmon
dabaralaryna	dˌɑβɑrˌɑɫɑrˈɯnɑ
dillerinde	dˌillerˈinne
edýändigi	ˌedjænnˈiʁi
ekologik	ˌekoɫˈoɡik
etdiriler	ˌetdirˈiler
eýran	ˈejrɑn
garamagyň	ɡˌɑrɑmˈɑʁɯŋ
garanyňda	ɡˌɑrɑnˈɯŋŋɑ
gelmek	ɡelmˈek
goldawyna	ɡˌoɫɫoβˈʊno
goýup	ɡˈojʊp
gullukçylary	ɡˌʊɫɫʊqt͡ʃʊɫˈɑrɯ
gurluş	ɡˈʊrɫʊʃ
gurnaldy	ɡʊrnˈoɫɫʊ
gurşawyň	ɡʊrʃˈoβʊŋ
gutarnykly	ɡˌʊtornˈʊqɫʊ
hökman	hˈœkmɑn
inçe	ˈint͡ʃe
jemgyýet	d͡ʒemʁˈɯjet
kanagatlandyrmak	qˌɑnɑʁˌɑtɫɑnnɯrmˈɑq
kararlary	qˌɑrɑrɫˈɑrɯ
kassa	qˈɑθθɑ
kyn	qˈɯn
köpdür	kˈœpdør
meýdançasy	mˌejdɑnt͡ʃˈɑθɯ
mugallymçylyk	mˌʊʁoɫɫʊmt͡ʃˈʊɫɯq
myhmanlara	mˌɯxmɑnɫˈɑrɑ
möhletleýin	mˌœhlœtlˈœjin
onlarçasy	ˌonɫort͡ʃˈoθʊ
prokurora	prˌoqʊrˈoro
raýatlara	rˌɑjɑtɫˈɑrɑ
sahypalarynda	θˌɑxɯpˌɑɫɑrˈɯnnɑ
sambo	θˈɑmmo
sanawyny	θˌɑnoβˈɯnɯ
sebitleriň	θˌeβitlˈeriŋ
tabşyryldy	tˌɑβʃɯrˈɯɫɫɯ
ulgamdaky	ˌʊɫʁomnˈɑqɯ
çözgüdine	t͡ʃˌœðʁødˈønœ
çözgüdiň	t͡ʃœðʁˈødøŋ
üçden	ˈøt͡ʃdœn
üçindir	øt͡ʃˈønnir
ýokarlanmagyna	jˌoqorɫˌonmɑʁˈɯnɑ
şertlendirýär	ʃˌertlennˈirjæːr
şäherlerinde	ʃˌæherlerˈinne
Gün	ɡˈøn
Mejlisi	med͡ʒlˈiθi
Oýunlaryň	ˌojʊnɫˈorʊŋ
Türkmenhimiýa	tˌørkmœnhømˈijɑ
ada	ˈɑːdɑ
birleşmesi	bˌirleʃmˈeθi
bolmaga	boɫmˈoʁo
boşatdy	boʃˈotdʊ
daşamagyň	dˌɑʃɑmˈɑʁɯŋ
diwersifikasiýa	dˌiβerθifˌikɑθˈijɑ
duşuşygynda	dˌʊʃʊʃʊʁˈʊnnɑ
döwürlerden	dˌœβørlˈœrden
düşdi	dˈøʃdø
ekinleriniň	ˌekinlerˈiniŋ
elektroenergetika	ˌelektrˌoenˌerʁetˈikɑ
esaslanan	ˌeθɑθɫˈɑnɑn
etraplarynda	ˌetrɑpɫɑrˈɯnnɑ
forumy	fˌorˈʊmʊ
galyndylary	ɡˌɑɫɯnnɯɫˈɑrɯ
gelýärler	ɡeljˈærler
gerekli	ɡerˈekli
geçelgelerini	ɡˌet͡ʃelʁˌelerˈini
geçirijisi	ɡˌet͡ʃirid͡ʒˈiθi
girdejiler	ɡˌirded͡ʒˈiler
guraly	ɡʊrˈoɫʊ
gurnalan	ɡʊrnˈoɫon
gözellik	ɡœðˈœlløk
haýwanlaryň	xˌɑjβɑnɫˈɑrɯŋ
hyzmatynyň	xˌɯðmɑtˈɯnɯŋ
köpýyllyk	kœpjˈɯɫɫɯq
ministriniň	mˌiniθθrˈiniŋ
mümkinçiliklerine	mˌømkønt͡ʃˌøliklerˈine
namalarynda	nˌɑmɑɫɑrˈɯnnɑ
nemes	nˈemeθ
partiýanyň	pˌɑrtijˈɑnɯŋ
sekuntda	θekˈʊntdɑ
tamamlamak	tˌɑmɑmɫɑmˈɑq
telekeçileriniň	tˌelekˌet͡ʃilerˈiniŋ
ulgama	ʊɫʁˈomo
ulgamlar	ʊɫʁˈomɫɑr
umumybilim	ˌʊmʊmʊβˈilim
wagtdan	βˈɑʁtdɑn
wezipelerine	βˌeðipˌelerˈine
ykdysadyýetini	ˌɯqdɯθˌɑdɯjetˈini
ynsan	ˈɯnθɑːn
zeper	ðˈeper
Öri	ˈœrø
çeşmeleriniň	t͡ʃˌeʃmelerˈiniŋ
çykyşlaryny	t͡ʃˌɯqɯʃɫɑrˈɯnɯ
çäresini	t͡ʃˌæreθˈini
öýleriň	œjlˈeriŋ
üstünlikleriniň	ˌøθθønlˌøklerˈiniŋ
ýörişiň	jœrˈøʃiŋ
şatlykly	ʃɑtɫˈɯqɫɯ
Atçylyk	ɑt͡ʃt͡ʃˈɯɫɯq
Bellige	bellˈiʁe
Däp	dˈæːp
Maslahat	mɑθɫˈɑxɑt
Muhammet	mʊxˈommet
Pursatdan	pʊrθˈotdɑn
Türkmenpatent	tˌørkmœnpˈɑtent
Welaýat	βelˈɑjɑt
amatlyklary	ˌɑmɑtɫɯqɫˈɑrɯ
açdy	ˈɑt͡ʃdɯ
açylyşy	ˌɑt͡ʃɯɫˈɯʃɯ
aşyrylmagyna	ˌɑʃɯrˌɯɫmɑʁˈɯnɑ
baky	bˈɑqɯ
bellenilmegi	bˌellenilmˈeʁi
dalaşgärler	dˌɑɫɑʃʁˈærler
daşamakda	dˌɑʃɑmˈɑqdɑ
duýulýar	dʊjˈʊɫjɑr
düşündiriş	dˌøʃønnˈørøʃ
enjam	ˈend͡ʒɑːm
gadagandyr	ɡˌɑdɑʁˈɑnnɯr
gatnaşyk	ɡɑtnˈɑʃɯq
gatnaşýanlaryň	ɡˌɑtnɑʃjɑnɫˈɑrɯŋ
goldaýar	ɡoɫɫˈojɑr
goşýar	ɡˈoʃjɑr
gulluklarynyň	ɡˌʊɫɫʊqɫorˈʊnʊŋ
gullukçylar	ɡˌʊɫɫʊqt͡ʃˈʊɫɑr
gymmatlygy	ɡˌɯmmɑtɫˈɯʁɯ
hasaplanylýan	xˌɑθɑpɫɑnˈɯɫjɑn
hünäri	hønˈæːri
işjeňleşdirmäge	ˌiʃʃeŋlˌeʃdirmˈæːɡe
kanunçylygyň	qˌɑnʊnt͡ʃʊɫˈʊʁʊŋ
kärdeşler	kærdˈeʃler
muzdsuz	mˈʊððθʊð
nesil	nˈeθil
orunlarynyň	ˌorʊnɫorˈʊnʊŋ
otagly	otˈoʁɫʊ
pikiri	pikˈiri
raýatlaryna	rˌɑjɑtɫɑrˈɯnɑ
satmak	θɑtmˈɑq
satuw	θˈɑtʊβ
syýasatynda	θˌɯjɑθɑtˈɯnnɑ
taekwondo	tˌɑekβˈonno
tapgyrlaýyn	tˌɑpʁɯrɫˈɑjɯn
tehnologiki	tˌehnoɫoɡˈiki
ulgamlaryň	ˌʊɫʁomɫˈɑrɯŋ
utgaşykly	ˌʊtʁoʃˈʊqɫɯ
wagtlap	βˈɑʁtlɑːp
ygtyýarlyk	ˌɯʁtɯjˈɑrɫɯq
yklym	ˈɯqɫɯm
ylalaşyklaryň	ˌɯɫɑɫˌɑʃɯqɫˈɑrɯŋ
Öňde	ˈœŋŋœ
çykarylýan	t͡ʃˌɯqɑrˈɯɫjɑn
çykdajy	t͡ʃɯqdˈɑd͡ʒɯ
çägindäki	t͡ʃˌæʁindˈæːkɪ
ömür	ˈœmør
özbek	ˈœðβœk
üpjünçiligini	ˌøpd͡ʒønt͡ʃˌøløʁˈini
ýörelgesine	jˌœrœlʁœθˈine
ýörişi	jœrˈøʃi
ýüzmek	jøðmˈœk
Aşraf	ˈɑʃrɑf
Dini	dˈini
Haryt	xˈɑrɯt
Hünär	hˈønær
Kararyna	qˌɑrɑrˈɯnɑ
Kodeks	qˈodekθ
Tokaý	tˈoqoj
Ymamnazar	ˌɯmɑmnˈɑðɑːr
abat	ˈɑβɑt
aýdylýar	ɑjdˈɯɫjɑr
aňrybaş	ɑŋrˈɯβɑʃ
bazarlarynda	bˌɑðɑrɫɑrˈɯnnɑ
başy	bˈɑʃɯ
bendinde	bennˈinne
berkidilen	bˌerkidˈilen
bäsleşikleriň	bˌæθleʃiklˈeriŋ
daşynda	dɑʃˈɯnnɑ
dilleri	dillˈeri
düýbi	dˈøːjbi
düşünje	døʃˈønd͡ʒœ
goralmagy	ɡˌoroɫmˈoʁɯ
goşandyny	ɡˌoʃonnˈʊnɯ
goşýarlar	ɡoʃjˈɑrɫɑr
gämileriniň	ɡˌæmilerˈiniŋ
görnüşlerinde	ɡˌœrnøʃlœrˈønne
hereketine	hˌereketˈine
iberen	iβˈeren
ini	ˈiːni
iýul	ˈijʊɫ
kärendesine	kˌærenneθˈine
köplügi	kœplˈøɡø
lizing	lˈiðinʁ
maksatlaryny	mˌɑqθɑtɫɑrˈɯnɯ
maslahatlaryň	mˌɑθɫɑxɑtɫˈɑrɯŋ
meýilnamasyny	mˌejilnˌɑmɑθˈɯnɯ
mümkinçiligine	mˌømkønt͡ʃˌøliʁˈine
nusgalyk	nʊθʁˈoɫʊq
opera	opˈerɑ
paýtagtyň	pɑjtˈɑʁtɯŋ
puşmana	pʊʃmˈono
resmileşdirmek	rˌeθmilˌeʃdirmˈek
saparyň	θɑpˈɑrɯŋ
serişdesini	θˌeriʃdeθˈini
sowgatlary	θˌoβʁotɫˈorʊ
söwdanyň	θœβdˈɑnɯŋ
sözler	θˈœðlœr
tamamlady	tˌɑmɑmɫˈɑdɯ
tassyklanylýan	tˌɑθθɯqɫɑnˈɯɫjɑn
taý	tˈɑj
tejribesine	tˌed͡ʒriβeθˈine
tölegiň	tœlˈœʁøŋ
ulanylan	ˌʊɫonˈʊɫɑn
ussatlyklaryny	ˌʊθθotɫˌʊqɫɑrˈɯnɯ
wagta	βˈɑʁtɑ
wakalara	βˌɑqɑɫˈɑrɑ
wekilhanalaryň	βˌekilxˌɑnɑɫˈɑrɯŋ
zenan	ðˈenɑn
önümçiligine	ˌœnømt͡ʃˌøløʁˈine
öňümizde	ˌœŋømˈøððœ
ýörelgeleriniň	jˌœrœlʁˌœlerˈiniŋ
ýörelgesini	jˌœrœlʁœθˈini
Arkadag	ɑrqˈɑdɑʁ
Azerbaýjanyň	ˌɑðerβɑjd͡ʒˈɑnɯŋ
Başga	bˈɑʃʁɑ
Daşky	dˈɑʃqɯ
Kärdeşler	kærdˈeʃler
Ses	θˈeθ
alnyşy	ɑɫnˈɯʃɯ
asyrda	ɑθˈɯrdɑ
aýan	ˈɑjɑn
aýdymy	ɑjdˈɯmɯ
aşyrmagy	ˌɑʃɯrmˈɑʁɯ
baglanyşdyrýar	bˌɑʁɫɑnɯʃdˈɯrjɑr
barlagyny	bˌɑrɫɑʁˈɯnɯ
barmagyň	bɑrmˈɑʁɯŋ
bileleşigi	bˌileleʃˈiʁi
bolýarlar	boɫjˈɑrɫɑr
borçnamalaryny	bˌort͡ʃnɑmˌɑɫɑrˈɯnɯ
bäsleşiginiň	bˌæθleʃiʁˈiniŋ
bölmek	bœːlmˈœk
dokuz	dˈoqʊð
dolanyşyga	dˌoɫonʊʃˈʊʁɑ
dollaryna	dˌoɫɫorˈʊno
döwletlerden	dˌœβlœtlˈœrden
düzümlerini	dˌøðømlœrˈønø
edilenden	ˌedilˈennen
ekiş	ˈekiʃ
enjamlaryny	ˌend͡ʒɑmɫɑrˈɯnɯ
getirýän	ɡetˈirjæn
girmegi	ɡirmˈeʁi
goranmak	ɡˌoronmˈoq
goýýan	ɡˈojjɑn
görelde	ɡœrˈœllœ
gözelligini	ɡˌœðœlløʁˈøni
heniz	hˈenið
herekete	hˌerekˈete
irki	ˈirki
isleglerini	ˌiθleʁlerˈini
jezany	d͡ʒeðˈɑnɯ
kanunlaryň	qˌɑnʊnɫˈorʊŋ
kesgitnamasy	kˌeθʁitnɑmˈɑθɯ
kitaplary	kˌitɑpɫˈɑrɯ
kärhanalarda	kˌærxɑnɑɫˈɑrdɑ
kölüniň	kœlˈønøŋ
netijenamasy	nˌetid͡ʒˌenɑmˈɑθɯ
oýnalýan	ojnˈɑɫjɑn
ruhubelentligiň	rˌʊxʊβˌelentlˈiʁiŋ
salşyklary	θˌɑɫʃɯqɫˈɑrɯ
saýlawlara	θˌɑjɫoβɫˈorɑ
sebäbi	θeβˈæβi
tagallasy	tˌɑʁɑɫɫˈɑθɯ
talaplaryň	tˌɑɫɑpɫˈɑrɯŋ
tanslar	tˈɑnθɫɑr
tapyp	tˈɑpɯp
tehnikalar	tˌehnikˈɑɫɑr
tutan	tˈʊton
tölenilmegi	tˌœlœnølmˈeʁi
ukyplydyr	ˌʊqʊpɫˈʊdɯr
wekillerine	βˌekillerˈine
zalyna	ðɑɫˈɯnɑ
çykyşlarynda	t͡ʃˌɯqɯʃɫɑrˈɯnnɑ
çäkli	t͡ʃˈækli
çäksiz	t͡ʃˈækθið
öýleri	œjlˈeri
ýa	jˈɑː
ýagdaýdyr	jɑʁdˈɑjdɯr
ýerlere	jerlˈere
şoňa	ʃoŋˈo
şäherçesiniň	ʃˌæhert͡ʃeθˈiniŋ
Bitaraplygy	bˌitɑrɑpɫˈɯʁɯ
Döwrebap	dœβrˈœβɑp
Goranmak	ɡˌoronmˈoq
Gündogaryň	ɡˌønnoʁˈorʊŋ
Inçhon	ˈint͡ʃxon
Mejlis	mˈed͡ʒliːθ
Myhmanlar	mɯxmˈɑnɫɑr
Taryhy	tɑrˈɯxɯ
Türkmenhowaýollary	tˌørkmœnxˌoβojoɫɫˈorʊ
arbitraž	ɑrβˈitrɑʒ
artistleri	ˌɑrtiθθlˈeri
artistleriniň	ˌɑrtiθθlerˈiniŋ
awgustynda	ˌoβʁʊθθˈʊnno
awiasiýasynyň	ˌoβiˌɑθijɑθˈɯnɯŋ
awtoulagy	ˌoβtoʊɫˈoʁʊ
baran	bˈɑrɑn
baryldy	bɑrˈɯɫɫɯ
bazarynyň	bˌɑðɑrˈɯnɯŋ
baýdaklary	bˌɑjdɑqɫˈɑrɯ
baýlygy	bɑjɫˈɯʁɯ
başlaýar	bɑʃɫˈɑjɑr
başyndan	bɑʃˈɯnnɑn
bolýandygyny	bˌoɫjɑnnɯʁˈɯnɯ
buhgalterçilik	bˌʊxʁoɫtert͡ʃˈilik
desgalarda	dˌeθʁɑɫˈɑrdɑ
deňeşdireniňde	dˌeŋeʃdˌirenˈiŋŋe
dürs	dˈørθ
edil	ˈedil
enjamy	end͡ʒˈɑmɯ
finala	fˌinˈɑɫɑ
gaýra	ɡˈɑjrɑ
geljeginiň	ɡˌeld͡ʒeʁˈiniŋ
gerimini	ɡˌerimˈini
goly	ɡˈoɫʊ
gurlupdyr	ɡʊrɫˈʊpdʊr
gämisiniň	ɡˌæmiθˈiniŋ
gördüler	ɡˌœrdølˈœr
görýärler	ɡœrjˈærler
halklarymyzyň	xˌɑɫkɫɑrɯmˈɯðɯŋ
iýunynda	ˌijʊnˈʊnno
işgärlerini	ˌiʃʁærlerˈini
keselleri	kˌeθellˈeri
kodeksine	qˌodekθˈine
meşgullanmaga	mˌeʃʁʊɫɫonmˈɑʁɑ
ministrligine	mˌiniθθrliʁˈine
okaýan	oqˈojɑːn
Ýol	jˈoːɫ
ählisinde	ˌæhliθˈinne
çagyrylan	t͡ʃˌɑʁɯrˈɯɫɑn
çagyrýar	t͡ʃɑʁˈɯrjɑr
çekilmegi	t͡ʃˌekilmˈeʁi
ösdürilmegini	ˌœθθørˌølmœʁˈøni
öweziniň	ˌœβœðˈøniŋ
ýapylyş	jɑpˈɯɫɯʃ
ýörelgesi	jˌœrœlʁˈœθi
şahadatnamasy	ʃˌɑxɑdˌɑtnɑmˈɑθɯ
şertlendirilendir	ʃˌertlennˌirilˈennir
Awtogeniý	ˌoβtoɡˈenij
Dabaraly	dˌɑβɑrˈɑɫɯ
Dokma	dˈoqmo
Erkin	ˈerkin
Giňişleýin	ɡˌiŋiʃlˈejin
Gyrgyz	ɡˈɯrʁɯð
Gyrgyzystanyň	ɡˌɯrʁɯðɯθθˈɑnɯŋ
Kiçi	kˈit͡ʃi
Müşderi	møʃdˈœrø
Tatarystan	tˌɑtɑrˈɯθθɑn
bildirilýär	bˌillirˈiljæːr
birlikleriniň	bˌirliklerˈiniŋ
bolçulygyny	bˌoɫt͡ʃʊɫʊʁˈʊnɯ
bölünýär	bœlˈønjæːr
döredilipdir	dˌœrœdølˈipdir
döredilmegini	dˌœrœdˌølmeʁˈini
düşýän	dˈøʃjæn
gatnatmakda	ɡˌɑtnɑtmˈɑqdɑ
gazylyp	ɡɑðˈɯɫɯp
hasabyny	xˌɑθɑβˈɯnɯ
instituty	ˌinθθitˈʊtʊ
işgärlere	ˌiʃʁærlˈere
kerweni	kerβˈeni
maglumatlara	mˌɑʁɫʊmotɫˈorɑ
müňlerçesi	mˌøŋlœrt͡ʃˈeθi
nyşanyny	nˌɯʃɑnˈɯnɯ
ot	ˈoːt
paýtagtyna	pˌɑjtɑʁtˈɯnɑ
saklanmalydygyny	θˌɑqɫɑnmˌɑɫɯdɯʁˈɯnɯ
sebiti	θeβˈiti
seredildi	θˌeredˈilli
seredilýän	θˌeredˈiljæn
tamamlanyp	tˌɑmɑmɫˈɑnɯp
tanyşdylar	tˌɑnɯʃdˈɯɫɑr
tanyşdyrýar	tˌɑnɯʃdˈɯrjɑr
taraplary	tˌɑrɑpɫˈɑrɯ
taýýarlamakda	tˌɑjjɑrɫɑmˈɑqdɑ
töwereginde	tˌœβœrœʁˈønne
türgenlerimiziň	tˌørʁœnlˌerimˈiðiŋ
ussatlygyna	ˌʊθθotɫʊʁˈɯnɑ
wagtyndan	βɑʁtˈɯnnɑn
zolagyny	ðˌoɫoʁˈʊnʊ
Çaga	t͡ʃˈɑːʁɑ
çäkleriniň	t͡ʃˌæklerˈiniŋ
çözgüdiniň	t͡ʃˌœðʁødˈønøŋ
öndüriji	ˌœːnnørˈød͡ʒø
üstündäki	ˌøθθøndˈæːkɪ
ýanwarda	jɑnβˈɑrdɑ
ýetirýärler	jˌetirjˈærler
ýylsaýyn	jɯɫθˈɑjɯn
ýöredişe	jˌœrœdˈøʃe
Şir	ʃˈir
Şondan	ʃˈonnon
Bileleşiginiň	bˌilelˌeʃiʁˈiniŋ
Döwletara	dˌœβlœtˈɑrɑ
Gruziýanyň	ʁrˌʊðijˈɑnɯŋ
Guramaçylyk	ɡˌʊromot͡ʃˈɯɫɯq
Işiň	ˈiʃiŋ
Jemagat	d͡ʒemˈɑːʁɑt
Paýdarlar	pɑjdˈɑrɫɑr
Toparyň	topˈorʊŋ
Täjigistanyň	tˌæd͡ʒiʁiθθˈɑnɯŋ
Türkmeniň	tørkmˈœnøŋ
adatdan	ɑdˈɑtdɑn
alyşmalar	ˌɑɫɯʃmˈɑɫɑr
arzanyň	ɑrðˈɑnɯŋ
açylyp	ɑt͡ʃˈɯɫɯp
baýraklary	bˌɑjrɑqɫˈɑrɯ
bildirýändigini	bˌillirjˌænniʁˈini
bildirýärler	bˌillirjˈærler
binýat	bˈinjɑt
bäsleşiklere	bˌæθleʃiklˈere
deňziň	dˈeŋðiŋ
dikeldiş	dikˈelliʃ
düzümler	døðˈømlœr
düşýär	dˈøʃjæːr
edaralarda	ˌedɑrɑɫˈɑrdɑ
edebi	edˈeβi
etmegine	ˌetmeʁˈine
etraplaryň	ˌetrɑpɫˈɑrɯŋ
forumynyň	fˌorʊmˈʊnʊŋ
gatnaşygy	ɡˌɑtnɑʃˈɯʁɯ
geçirijiniň	ɡˌet͡ʃirid͡ʒˈiniŋ
goýýar	ɡˈojjɑr
güman	ɡˈømɑn
gününi	ɡønˈønø
harytlara	xˌɑrɯtɫˈɑrɑ
kitabynyň	kˌitɑβˈɯnɯŋ
maksatnamany	mˌɑqθɑtnɑmˈɑnɯ
mugallymlar	mˌʊʁoɫɫˈʊmɫɑr
netijenama	nˌetid͡ʒenˈɑːmɑ
neşe	nˈeʃe
obasynda	ˌoβoθˈʊnno
ornaşdyrmaga	ˌornoʃdʊrmˈɑʁɑ
peýdalanmagy	pˌejdɑɫɑnmˈɑʁɯ
puluna	pʊɫˈʊno
resmileşdirilen	rˌeθmilˌeʃdirˈilen
resminamalaryna	rˌeθminˌɑmɑɫɑrˈɯnɑ
ruhuny	rʊxˈʊnʊ
sebäpler	θeβˈæpler
sergisiniň	θˌerʁiθˈiniŋ
tapawutlanan	tˌɑpoβʊtɫˈonon
tapawutlandy	tˌɑpoβʊtɫˈonnʊ
tizlikli	tiðlˈikli
topragyň	toprˈoʁʊŋ
tutulypdyr	tˌʊtʊɫˈʊpdʊr
umyt	ˈʊmʊt
uniwersitetinde	ˌʊniβˌerθitetˈinne
usullarynyň	ˌʊθʊɫɫorˈʊnʊŋ
yz	ˈɯð
zeleliň	ðelˈeliŋ
ösdüriljekdigine	ˌœθθørˌøld͡ʒœkdiʁˈine
öwreniş	œβrˈœnøʃ
ýagty	jˈɑʁtɯ
ýerlerine	jˌerlerˈine
