a	ɑː
bæcere	bækere
bæcern	bækern
bæcestre	bækestre
bæchus	bækxuːs
bædan	bædɑn
bædan	bæːdɑn
bædaþ	bæːdɑθ
bædde	bæːdde
bæddel	bæddel
bæddon	bæːddon
bædeþ	bæːdeθ
bædling	bædlinɡ
bæl	bæːl
bælfyr	bæːlfyːr
bælg	bælɡ
bænen	bæːnen
bær	bær
bærfot	bærfoːt
bærlic	bærliːt͡ʃ
bærnan	bærnɑn
bærne	bærne
bæron	bæːron
bæst	bæst
bæðhus	bæθxuːs
bæþ	bæθ
bæþhus	bæθxuːs
bœc	bøːk
cac	kɑk
cachus	kɑkxuːs
caf	kɑːf
cafscipe	kɑːfʃipe
calan	kɑlɑn
cald	kɑld
calend	kɑlend
calu	kɑlu
camb	kɑmb
camp	kɑmp
campdom	kɑmpdoːm
campian	kɑmpiɑn
camplic	kɑmpliːt͡ʃ
campræden	kɑmpræːden
campstede	kɑmpstede
campung	kɑmpunɡ
campwisa	kɑmpwiːsɑ
canc	kɑnk
cancer	kɑnker
cancettan	kɑnkettɑn
candel	kɑndel
cann	kɑnn
canne	kɑnne
cantware	kɑntwɑre
capian	kɑpiɑn
carcern	kɑrkern
carful	kɑrful
carfullice	kɑrfulliːt͡ʃe
carian	kɑriɑn
carig	kɑrij
carl	kɑrl
carleas	kɑrlæ͜ɑːs
carleasnes	kɑrlæ͜ɑːsnes
carles	kɑrles
carr	kɑrr
carte	kɑrte
caru	kɑru
carwielm	kɑrwi͜ylm
casere	kɑːsere
caseren	kɑːseren
caserlic	kɑːserliːt͡ʃ
casern	kɑːsern
castel	kɑstel
castenere	kɑstenere
cater	kɑter
catt	kɑtt
catte	kɑtte
cawel	kɑwel
ceac	t͡ʃæ͜ɑːk
ceace	t͡ʃæ͜ɑːke
ceaf	t͡ʃæ͜ɑf
ceafl	t͡ʃæ͜ɑfl
ceafor	t͡ʃæ͜ɑfor
ceahhe	t͡ʃæ͜ɑxxe
ceahhettan	t͡ʃæ͜ɑxxettɑn
cealc	t͡ʃæ͜ɑlk
ceald	t͡ʃæ͜ɑld
cealdheort	t͡ʃæ͜ɑldxe͜ort
cealdian	t͡ʃæ͜ɑldiɑn
cealdnes	t͡ʃæ͜ɑldnes
cealdnys	t͡ʃæ͜ɑldnys
cealf	t͡ʃæ͜ɑlf
ceallian	t͡ʃæ͜ɑlliɑn
ceap	t͡ʃæ͜ɑːp
ceapa	t͡ʃæːɑ̯pɑ
ceapian	t͡ʃæ͜ɑːpiɑn
ceapmann	t͡ʃæ͜ɑːpmɑnn
ceapstow	t͡ʃæ͜ɑːpstoːw
cearful	t͡ʃæ͜ɑrful
cearfullice	t͡ʃæ͜ɑrfulliːt͡ʃe
cearig	t͡ʃæ͜ɑrij
cearseld	kæ͜ɑrseld
cearu	t͡ʃæ͜ɑru
cearwylm	t͡ʃæ͜ɑrwylm
ceas	t͡ʃæ͜ɑːs
ceasnes	t͡ʃæ͜ɑːsnes
ceaster	t͡ʃæ͜ɑster
ceasterleod	t͡ʃæ͜ɑsterle͜oːd
ceaw	t͡ʃæ͜ɑːw
ceder	keder
cederbeam	kederbæ͜ɑːm
cedertreow	kedertre͜oːw
cedrisc	kedriʃ
celde	t͡ʃelde
cele	t͡ʃele
cemban	kembɑn
cempa	kempɑ
cempestre	kempestre
cen	t͡ʃeːn
cene	keːne
cenep	kenep
cenlice	keːnliːt͡ʃe
cennan	kennɑn
cenning	kenninɡ
cenningstow	kenninɡstoːw
cenningtid	kenninɡtiːd
cenrice	keːnriːke
cent	kent
centland	kentlɑnd
cenþu	keːnθu
ceo	t͡ʃe͜oː
ceoce	t͡ʃe͜oːke
ceod	ke͜od
ceol	t͡ʃe͜oːl
ceorfan	t͡ʃe͜orfɑn
ceorfdeor	t͡ʃe͜orfde͜oːr
ceorian	t͡ʃe͜oriɑn
ceorl	t͡ʃe͜orl
ceorla	t͡ʃe͜orlɑ
ceorlas	t͡ʃe͜orlɑs
ceorlboren	t͡ʃe͜orlboren
ceorle	t͡ʃe͜orle
ceorles	t͡ʃe͜orles
ceorlfolc	t͡ʃe͜orlfolk
ceorlian	t͡ʃe͜orliɑn
ceorlisc	t͡ʃe͜orliʃ
ceorliscnes	t͡ʃe͜orliʃnes
ceorlleas	t͡ʃe͜orllæ͜ɑːs
ceorran	t͡ʃe͜orrɑn
ceosan	t͡ʃe͜oːsɑn
ceosel	t͡ʃe͜osel
ceosol	t͡ʃe͜osol
ceosung	t͡ʃe͜oːsunɡ
ceowan	t͡ʃe͜oːwɑn
ceowaþ	t͡ʃe͜oːwɑθ
ceoweþ	t͡ʃe͜oːweθ
cepan	keːpɑn
cerdic	t͡ʃerdit͡ʃ
cerran	t͡ʃerrɑn
cese	t͡ʃeːse
cest	t͡ʃest
cetel	ketel
cicel	kit͡ʃel
cicen	kit͡ʃen
cicen	t͡ʃiken
cidan	t͡ʃiːdɑn
ciefes	t͡ʃi͜yfes
ciefese	t͡ʃi͜yfese
ciegan	t͡ʃi͜yːjɑn
ciele	t͡ʃi͜yle
ciepe	t͡ʃi͜ype
ciern	t͡ʃi͜yrn
cierr	t͡ʃi͜yrr
cierran	t͡ʃi͜yrrɑn
ciese	t͡ʃi͜yːse
cietel	t͡ʃi͜ytel
cigan	t͡ʃiːjɑn
cild	t͡ʃild
cildhad	t͡ʃildxɑːd
cildisc	t͡ʃildiʃ
cildlic	t͡ʃildliːt͡ʃ
cimban	t͡ʃimbɑn
cin	t͡ʃin
cinan	t͡ʃiːnɑn
cinn	kinn
cinn	t͡ʃinn
cipe	t͡ʃipe
cipp	t͡ʃipp
circul	t͡ʃirkul
circuladl	kirkulɑːdl
ciricbelle	t͡ʃirit͡ʃbelle
ciricboc	t͡ʃirit͡ʃboːk
ciricbot	t͡ʃirit͡ʃboːt
ciricbryce	t͡ʃirit͡ʃbryt͡ʃe
ciricbræc	t͡ʃirit͡ʃbræːt͡ʃ
ciricburh	t͡ʃirit͡ʃburx
ciricdor	t͡ʃirit͡ʃdoːr
cirice	t͡ʃirit͡ʃe
ciricend	t͡ʃirit͡ʃend
ciricfriþ	t͡ʃirit͡ʃfriθ
ciricfultum	t͡ʃirit͡ʃfultum
ciricgang	t͡ʃirit͡ʃɡɑnɡ
ciricgemana	t͡ʃirit͡ʃjemɑːnɑ
ciricgeorn	t͡ʃirit͡ʃje͜orn
ciricgeriht	t͡ʃirit͡ʃjerixt
ciricgriþ	t͡ʃirit͡ʃɡriθ
cirichad	t͡ʃirit͡ʃxɑːd
cirichalgung	t͡ʃirit͡ʃxɑːlɡunɡ
cirichata	t͡ʃirit͡ʃxɑtɑ
cirichyll	t͡ʃirit͡ʃxyll
ciricland	t͡ʃirit͡ʃlɑnd
ciriclic	t͡ʃirikliːt͡ʃ
ciricmangung	t͡ʃirit͡ʃmɑnɡunɡ
ciricmitta	t͡ʃirit͡ʃmittɑ
ciricmærsung	t͡ʃirit͡ʃmæːrsunɡ
ciricnytt	t͡ʃirit͡ʃnytt
ciricpæþ	t͡ʃirit͡ʃpæθ
ciricragu	t͡ʃirit͡ʃrɑɡu
ciricran	t͡ʃirit͡ʃrɑːn
ciricsang	t͡ʃirit͡ʃsɑnɡ
ciricsangere	t͡ʃirit͡ʃsɑnɡere
ciricsceatt	t͡ʃirit͡ʃʃæ͜ɑtt
ciricsceattweorc	t͡ʃirit͡ʃʃæ͜ɑttwe͜ork
ciricsocn	t͡ʃirit͡ʃsoːkn
ciricsteall	t͡ʃirit͡ʃstæ͜ɑll
ciricstede	t͡ʃirit͡ʃstede
ciricstig	t͡ʃirit͡ʃstiːj
cirictid	t͡ʃirit͡ʃtiːd
cirictun	t͡ʃiriktuːn
ciricwag	t͡ʃirit͡ʃwɑːɡ
ciricwaru	t͡ʃirit͡ʃwɑru
ciricweard	t͡ʃirit͡ʃwæ͜ɑrd
ciricweg	t͡ʃirit͡ʃwej
ciricwica	t͡ʃirit͡ʃwiːt͡ʃɑ
ciricwæcce	t͡ʃirit͡ʃwætt͡ʃe
ciricwæd	t͡ʃirit͡ʃwæːd
ciricæwe	t͡ʃirit͡ʃæːwe
ciricþegn	t͡ʃirit͡ʃθejn
ciricþegnung	t͡ʃirikθejnunɡ
ciricþing	t͡ʃirit͡ʃθinɡ
ciricþingere	t͡ʃirit͡ʃθinɡere
cirse	t͡ʃirse
cisel	t͡ʃisel
cisil	t͡ʃisil
citelian	t͡ʃiteliɑn
citelung	t͡ʃitelunɡ
ciþ	t͡ʃiːθ
clacu	klɑku
clam	klɑːm
clawan	klɑwɑn
clawan	klɑːwɑn
clawian	klɑwiɑn
clawu	klɑwu
claþ	klɑːθ
claþas	klɑːθɑs
clea	klæ͜ɑː
cleafa	klæ͜ɑːfɑ
cleofan	kle͜oːfɑn
cleopian	kle͜opiɑn
clerc	klerk
cliewen	kli͜yːwen
clif	klif
clifiht	klifixt
clifstan	klifstɑːn
climban	klimbɑn
clingan	klinɡɑn
clipian	klipiɑn
clipiendlic	klipiendliːt͡ʃ
clipigendlic	klipijendliːt͡ʃ
clipol	klipol
clipola	klipolɑ
clipolgefeg	klipoljefeːj
cliwen	kliːwen
cliþa	kliːθɑ
clucge	kluɡɡe
clud	kluːd
clus	kluːs
clut	kluːt
clyccan	klytt͡ʃɑn
clyppan	klyppɑn
clysan	klyːsɑn
clæcleas	klæklæ͜ɑːs
clæg	klæːj
clæman	klæːmɑn
clæna	klæːnɑ
clænan	klæːnɑn
clæne	klæːne
clænes	klæːnes
clænlic	klæːnliːt͡ʃ
clænlice	klæːnliːt͡ʃe
clænne	klæːnne
clænsian	klæːnsiɑn
clænum	klæːnum
clæppan	klæppɑn
clæþ	klæːθ
cnafa	knɑfɑ
cnapa	knɑpɑ
cnawan	knɑːwɑn
cnawe	knɑːwe
cnawelæc	knɑːwelæːt͡ʃ
cnawelæcing	knɑːwelæːt͡ʃinɡ
cnearr	knæ͜ɑrr
cneht	knext
cneo	kne͜oː
cneoht	kne͜oxt
cneordlæcan	kne͜ordlæːt͡ʃɑn
cneorim	kne͜oːriːm
cneoris	kne͜oːris
cneow	kne͜oːw
cnif	kniːf
cniht	knixt
cnihthad	knixtxɑːd
cnihtlic	knixtliːt͡ʃ
cnihtwesende	knixtwesende
cnocian	knokiɑn
cnosl	knoːsl
cnossian	knossiɑn
cnotta	knottɑ
cnucel	knukel
cnyll	knyll
cnyllan	knyllɑn
cnyss	knyss
cnyssan	knyssɑn
cnyssung	knyssunɡ
cnyttan	knyttɑn
cnæwe	knæːwe
coc	kok
coc	koːk
cocc	kokk
cocer	koker
cocnian	koːkniɑn
codd	kodd
cofa	kofɑ
cofgod	koːfɡod
col	kol
col	koːl
colian	koːliɑn
colsweart	kolswæ͜ɑrt
com	koːm
comb	komb
comon	koːmon
copian	kopiɑn
copor	kopor
copp	kopp
corenscipe	korenʃipe
corn	korn
cornbære	kornbæːre
cornweal	kornwæ͜ɑl
corona	koroːnɑ
cos	kos
cosp	kosp
coss	koss
cost	kost
costian	kostiɑn
costnian	kostniɑn
costnung	kostnunɡ
cot	kot
coþu	koθu
crabba	krɑbbɑ
cracian	krɑkiɑn
cradol	krɑdol
crafian	krɑfiɑn
cran	krɑn
cranic	krɑnik
cranicwritere	krɑnikwriːtere
cranoc	krɑnok
crawan	krɑːwɑn
crawe	krɑːwe
crecas	kreːkɑs
crecisc	kreːkiʃ
creopan	kre͜oːpɑn
cribb	kribb
cricc	kritt͡ʃ
crimman	krimmɑn
crincan	krinkɑn
crincgan	krinjɑn
cringan	krinɡɑn
crist	krist
cristen	kristen
cristendom	kristendoːm
cristesmæsse	kristesmæsse
crocca	krokkɑ
cropp	kropp
croppa	kroppɑ
cruc	kruːt͡ʃ
crudan	kruːdɑn
cruma	krumɑ
crycc	krytt͡ʃ
crypel	krypel
cræft	kræft
cræftig	kræftij
cræftiga	kræftiɡɑ
cræftiglice	kræftijliːt͡ʃe
cræftleas	kræftlæ͜ɑːs
cræftlic	kræftliːt͡ʃ
cu	kuː
cudele	kudele
cuhyrde	kuːxyrde
culfre	kulfre
cuma	kumɑ
cuman	kumɑn
cumb	kumb
cumliþe	kumliːθe
cumliþian	kumliːθiɑn
cumliþnes	kumliːθnes
cumpæder	kumpæder
cunnan	kunnɑn
cunnian	kunniɑn
cunnung	kunnunɡ
cuppe	kuppe
cusceote	kuːʃote
cuwearm	kuːwæ͜ɑrm
cuwon	kuwon
cuþ	kuːθ
cuþa	kuːθɑ
cuþe	kuːθe
cuþlice	kuːθliːt͡ʃe
cuþlæcan	kuːθlæːt͡ʃɑn
cwacian	kwɑkiɑn
cwalu	kwɑlu
cwead	kwæ͜ɑːd
cwealm	kwæ͜ɑlm
cwealmbære	kwæ͜ɑlmbæːre
cweartern	kwæ͜ɑrtern
cweccan	kwett͡ʃɑn
cweden	kweden
cwedol	kwedol
cwelan	kwelɑn
cwelaþ	kwelɑθ
cwele	kwele
cwelende	kwelende
cwellan	kwellɑn
cweman	kweːmɑn
cweme	kweːme
cwen	kweːn
cwene	kwene
cwene	kweːne
cwenfugol	kweːnfuɡol
cwenland	kweːnlɑnd
cwenlic	kweːnliːt͡ʃ
cweorn	kwe͜orn
cweornstan	kwe͜ornstɑːn
cweðan	kweθɑn
cweþan	kweθɑn
cweþaþ	kweθɑθ
cweþe	kweθe
cwic	kwik
cwicbeam	kwikbæ͜ɑːm
cwice	kwit͡ʃe
cwician	kwikiɑn
cwicseolfor	kwikse͜olfor
cwictreow	kwiktre͜oːw
cwidboc	kwidboːk
cwide	kwide
cwidræden	kwidræːden
cwiesan	kwi͜yːsɑn
cwild	kwild
cwist	kwist
cwiþ	kwiθ
cwomon	kwoːmon
cwysan	kwyːsɑn
cwæde	kwæːde
cwæden	kwæːden
cwæþ	kwæθ
cwœn	kwøːn
cy	kyː
cycel	kyt͡ʃel
cycen	kyt͡ʃen
cycen	t͡ʃyken
cycen	t͡ʃyːken
cycene	kyt͡ʃene
cyll	kyll
cylu	kylu
cyme	kyme
cyme	kyːme
cymen	kymen
cymlic	kyːmliːt͡ʃ
cynd	kynd
cynde	kynde
cyndelic	kyndeliːt͡ʃ
cynebot	kyneboːt
cyneg	kyneɡ
cynegierd	kyneji͜yrd
cynehelm	kynexelm
cynelic	kyneliːt͡ʃ
cynerice	kyneriːt͡ʃe
cynesetl	kynesetl
cyneþrym	kyneθrym
cynferð	kynferθ
cynferþ	kynferθ
cyng	kynɡ
cynig	kyniɡ
cyning	kyninɡ
cyningdom	kyninɡdoːm
cyninge	kyninɡe
cyningrice	kyninɡriːt͡ʃe
cynn	kynn
cyperen	kyperen
cypren	kypren
cyre	kyre
cyren	t͡ʃyren
cyrf	kyrf
cyrictun	t͡ʃirit͡ʃtuːn
cyrlic	t͡ʃyrlik
cyrnel	kyrnel
cyrr	t͡ʃyrr
cyrran	t͡ʃyrrɑn
cyrtel	kyrtel
cyrtenlæcan	kyrtenlæːt͡ʃɑn
cysa	kysɑ
cysel	t͡ʃysel
cyssan	kyssɑn
cyst	kyst
cystan	kystɑn
cystig	kystij
cywþ	t͡ʃyːwθ
cyþan	kyːθɑn
cyþlæcan	kyːθlæːt͡ʃɑn
cyþþu	kyːθθu
cædmon	kædmon
cæg	kæːj
cægbora	kæːjborɑ
cæggian	kæːɡɡiɑn
cælf	kælf
cærsiht	kærsixt
da	dɑː
dafen	dɑfen
dafenian	dɑfeniɑn
dag	dɑːɡ
dagian	dɑɡiɑn
dagung	dɑɡunɡ
dah	dɑːx
dal	dɑl
daroþ	dɑroθ
daru	dɑru
dead	dæ͜ɑːd
deadlic	dæ͜ɑːdliːt͡ʃ
deadlicnes	dæ͜ɑːdliːknes
deaf	dæ͜ɑːf
deag	dæ͜ɑːɡ
deagol	dæ͜ɑːɡol
deagolnes	dæ͜ɑːɡolnes
deah	dæ͜ɑːx
deaw	dæ͜ɑːw
deaþ	dæ͜ɑːθ
deaþbed	dæ͜ɑːθbed
deaþbedd	dæ͜ɑːθbedd
deaþlic	dæ͜ɑːθliːt͡ʃ
deaþlicnes	dæ͜ɑːθliːt͡ʃnes
deaþlieg	dæ͜ɑːθli͜yːj
deaþscyld	dæ͜ɑːθʃyld
deaþscyldig	dæ͜ɑːθʃyldij
deaþslege	dæ͜ɑːθsleje
deaþwerig	dæ͜ɑːθweːrij
december	dekember
declinian	dekliːniɑn
declinung	dekliːnunɡ
ded	deːd
defe	deːfe
deg	dej
delf	delf
delfan	delfɑn
delu	delu
dema	deːmɑ
deman	deːmɑn
demend	deːmend
dene	dene
denemearc	denemæ͜ɑrk
denisc	deniʃ
denn	denn
denu	denu
deofol	de͜oːfol
deofolcund	de͜oːfolkund
deofolseoc	de͜oːfolse͜oːk
deofolseocnes	de͜oːfolse͜oːknes
deogol	de͜oːɡol
deon	de͜oːn
deop	de͜oːp
deoplic	de͜oːpliːt͡ʃ
deoplice	de͜oːpliːt͡ʃe
deopnes	de͜oːpnes
deor	de͜oːr
deorc	de͜ork
deorcnes	de͜orknes
deorcynn	de͜oːrkynn
deore	de͜oːre
deoren	de͜oːren
deorf	de͜orf
deorfan	de͜orfɑn
deorfellen	de͜oːrfellen
deorlice	de͜oːrliːt͡ʃe
deorling	de͜oːrlinɡ
deorwente	de͜orwente
derian	derjɑn
deriendlic	derjendliːt͡ʃ
diacon	diɑːkon
dic	diːt͡ʃ
diedan	di͜yːdɑn
diepe	di͜yːpe
diere	di͜yːre
diernan	di͜yrnɑn
dierne	di͜yrne
diht	dixt
dihtan	dixtɑn
dihtian	dixtiɑn
dihtnian	dixtniɑn
dilegian	dileɡiɑn
dilgian	dilɡiɑn
dimm	dimm
diofol	di͜uːfol
disc	diʃ
discipul	diskipul
discipul	diʃʃipul
distæf	distæf
docga	doɡɡɑ
dogga	doɡɡɑ
dogor	doːɡor
dohte	dohte
dohtig	doxtij
dohtor	doxtor
dol	dol
dolg	dolɡ
dolh	dolx
dom	doːm
domboc	doːmboːk
domeadig	doːmæ͜ɑːdij
domern	doːmern
domhus	doːmxuːs
domleas	doːmlæ͜ɑːs
don	doːn
donua	donuɑ
dor	doːr
dora	dorɑ
dox	doks
draca	drɑkɑ
dracu	drɑku
dragan	drɑɡɑn
dran	drɑːn
dreah	dræːɑ̯h
dreahtes	dræɑ̯htes
dreahtest	dræɑ̯htest
dream	dræ͜ɑːm
dreamcræft	dræ͜ɑːmkræft
dreamere	dræ͜ɑːmere
dreamleas	dræ͜ɑːmlæ͜ɑːs
dreccan	drett͡ʃɑn
drefan	dreːfɑn
drefednes	dreːfednes
drefend	dreːfend
drefing	dreːfinɡ
drehte	drehte
drehtest	drehtest
dreman	dreːmɑn
drenc	drent͡ʃ
drencan	drent͡ʃɑn
drenccuppe	drenkkuppe
drenccuppe	drent͡ʃkuppe
dreng	drenɡ
dreogan	dre͜oːɡɑn
dreopan	dre͜oːpɑn
dreor	dre͜oːr
dreorig	dre͜oːrij
dreoriglice	dre͜oːrijliːt͡ʃe
dreorignes	dre͜oːrijnes
dreorignys	dre͜oːrijnys
dreosan	dre͜oːsɑn
drepan	drepɑn
drepe	drepe
drieman	dri͜yːmɑn
drifan	driːfɑn
drihten	drixten
drihtenlic	drixtenliːt͡ʃ
drihtenlice	drixtenliːt͡ʃe
drihtlice	drixtliːt͡ʃe
drinc	drink
drincan	drinkɑn
drincere	drinkere
drithen	dritxen
drof	droːf
droflic	droːfliːt͡ʃ
drogen	droɡen
dropa	dropɑ
dropian	dropiɑn
dropmælum	dropmæːlum
drugaþ	druːɡɑθ
drugon	druɡon
druh	drux
druncen	drunken
druncnian	drunkniɑn
drusian	druːsiɑn
dry	dryː
drycræft	dryːkræft
drygan	dryːjɑn
dryge	dryːje
dryht	dryxt
dryhten	dryxten
dryhtguma	dryxtɡumɑ
dryman	dryːmɑn
drync	drynt͡ʃ
drægnet	dræjnet
drægnett	dræjnett
dræn	dræːn
drænc	drænk
duce	duke
duce	duːke
dudda	duddɑ
dufan	duːfɑn
dufenal	dufenɑl
dugan	duɡɑn
duguþ	duɡuθ
dumb	dumb
dumbnes	dumbnes
dun	duːn
dung	dunɡ
dunholm	dunxolm
dunn	dunn
dunstan	dunstɑːn
durran	durrɑn
duru	duru
dust	duːst
dustsceawung	duːstʃæ͜ɑːwunɡ
dwealde	dwæ͜ɑlde
dwelan	dwelɑn
dweleþ	dweleθ
dwelian	dweliɑn
dwellan	dwellɑn
dwelle	dwelle
dweorg	dwe͜orɡ
dwild	dwild
dwimor	dwimor
dwinan	dwiːnɑn
dwola	dwolɑ
dwolcræft	dwolkræft
dwolma	dwolmɑ
dwolmann	dwolmɑnn
dwæs	dwæːs
dwæscan	dwæːʃʃɑn
dydan	dyːdɑn
dyfan	dyːfɑn
dyhtig	dyxtij
dyncge	dynje
dyne	dyne
dynian	dyniɑn
dynnan	dynnɑn
dynt	dynt
dype	dyːpe
dyppan	dyppɑn
dyrne	dyrne
dysig	dysij
dæd	dæːd
dædbana	dæːdbɑnɑ
dædbeta	dæːdbeːtɑ
dædbetan	dæːdbeːtɑn
dædbot	dæːdboːt
dædbotnes	dæːdboːtnes
dædhata	dæːdxɑtɑ
dædlic	dæːdliːt͡ʃ
dæfte	dæfte
dæg	dæj
dæge	dæje
dæge	dæːje
dæges	dæjes
dægfeorm	dæjfe͜orm
dæglang	dæjlɑnɡ
dæglanges	dæjlɑnɡes
dæglic	dæjliːt͡ʃ
dægmæl	dæjmæːl
dægred	dæjreːd
dægsceald	dæjʃæ͜ɑld
dægsteorra	dæjste͜orrɑ
dægweorc	dæjwe͜ork
dæl	dæl
dæl	dæːl
dælan	dæːlɑn
dælde	dæːlde
dælniman	dæːlnimɑn
dœg	døɡ
dœman	døːmɑn
ea	æ͜ɑː
eac	æ͜ɑːk
eaca	æ͜ɑːkɑ
eacan	æ͜ɑːkɑn
eacen	æ͜ɑːken
eacniende	æ͜ɑːkniende
ead	æ͜ɑːd
eadan	æ͜ɑːdɑn
eadbald	æ͜ɑːdbɑld
eadbeald	æ͜ɑːdbæ͜ɑld
eadburh	æ͜ɑdburx
eaden	æ͜ɑːden
eades	æːɑ̯des
eadesa	æ͜ɑdesɑ
eadgar	æ͜ɑːdɡɑːr
eadig	æ͜ɑːdij
eadmund	æ͜ɑːdmund
eadric	æ͜ɑːdriːk
eadweard	æ͜ɑːdwæ͜ɑrd
eadwulf	æ͜ɑːdwulf
eafera	æ͜ɑferɑ
eafora	æ͜ɑforɑ
eafoþ	æ͜ɑfoθ
eagan	æ͜ɑːɡɑn
eagduru	æ͜ɑːɡduru
eage	æ͜ɑːɡe
eagæppel	æ͜ɑːɡæppel
eagþyrel	æ͜ɑːɡθyːrel
eagþyrl	æ͜ɑːɡθyːrl
eahta	æ͜ɑxtɑ
eahtafeald	æ͜ɑxtɑfæ͜ɑld
eahtateoþa	æ͜ɑxtɑte͜oːθɑ
eahtatiene	æ͜ɑxtɑti͜yːne
eahtian	æ͜ɑxtiɑn
eahtoþa	æ͜ɑxtoθɑ
eala	æ͜ɑːlɑː
ealc	æ͜ɑlt͡ʃ
eald	æ͜ɑld
ealdbacen	æ͜ɑldbɑken
ealdfæder	æ͜ɑldfæder
ealdmoder	æ͜ɑldmoːder
ealdmodor	æ͜ɑldmoːdor
ealdnes	æ͜ɑldnes
ealdor	æ͜ɑldor
ealdorleas	æ͜ɑldorlæ͜ɑːs
ealdorlease	æɑ̯ldorlæːɑ̯se
ealdorman	æ͜ɑldormɑn
ealdormann	æ͜ɑldormɑnn
ealdseaxan	æ͜ɑldsæ͜ɑksɑn
ealgian	æ͜ɑlɡiɑn
ealh	æ͜ɑlx
ealhswiþ	æ͜ɑlxswiːθ
eall	æ͜ɑll
ealles	æ͜ɑlles
eallic	æ͜ɑlliːt͡ʃ
eallswa	æ͜ɑllswɑː
ealneg	æ͜ɑlnej
ealswa	æ͜ɑlswɑː
ealu	æ͜ɑlu
ealuhus	æ͜ɑluxuːs
eam	æ͜ɑm
eam	æ͜ɑːm
eanred	æ͜ɑːnred
ear	æ͜ɑːr
earclænsend	æ͜ɑːrklæːnsend
eard	æ͜ɑrd
eardian	æ͜ɑrdiɑn
eardiend	æ͜ɑrdiend
eardiende	æ͜ɑrdiende
eardiendlic	æ͜ɑrdiendliːt͡ʃ
eardung	æ͜ɑrdunɡ
eare	æ͜ɑːre
earendel	æ͜ɑːrendel
earfeþe	æ͜ɑrfeθe
earfoþdæde	æ͜ɑrfoθdæːde
earfoþe	æ͜ɑrfoθe
earfoþhwil	æ͜ɑrfoθxwiːl
earfoþnes	æ͜ɑrfoθnes
earfoþþrag	æ͜ɑrfoθθrɑːɡ
earg	æ͜ɑrɡ
earh	æ͜ɑrx
earhring	æ͜ɑːrxrinɡ
earlæppa	æ͜ɑːrlæppɑ
earm	æ͜ɑrm
earmcearig	æ͜ɑrmt͡ʃæ͜ɑrij
earmhread	æ͜ɑrmxræ͜ɑːd
earn	æ͜ɑrn
earnian	æ͜ɑrniɑn
earnwulf	æ͜ɑrnwulf
ears	æ͜ɑrs
earsþerl	æ͜ɑrsθerl
earsþyrel	æ͜ɑrsθyːrel
earwicga	æ͜ɑːrwiɡɡɑ
east	æ͜ɑːst
eastan	æ͜ɑːstɑn
eastengle	æ͜ɑːstenɡle
eastermonaþ	æ͜ɑːstermoːnɑθ
easterne	æ͜ɑːsterne
eastre	æ͜ɑːstre
eastream	æ͜ɑːstræ͜ɑːm
eastreamyþ	æ͜ɑːstræ͜ɑːmyːθ
eata	æ͜ɑtɑ
eaxel	æ͜ɑksel
eaxl	æ͜ɑksl
eaxlegespann	æ͜ɑkslejespɑnn
eaþ	æ͜ɑːθ
eaþbede	æ͜ɑːθbeːde
eaþbene	æ͜ɑːθbeːne
eaþdæde	æ͜ɑːθdæːde
eaþe	æ͜ɑːθe
eaþmed	æ͜ɑːθmeːd
eaþmedan	æ͜ɑːθmeːdɑn
eaþmod	æ͜ɑːθmoːd
eaþmodheort	æ͜ɑːθmoːdxe͜ort
eaþmodian	æ͜ɑːθmoːdiɑn
eaþmodig	æ͜ɑːθmoːdij
eaþmodlic	æ͜ɑːθmoːdliːt͡ʃ
eaþmodlice	æ͜ɑːθmoːdliːt͡ʃe
eaþmodnes	æ͜ɑːθmoːdnes
ebreisc	ebreːiʃ
ece	et͡ʃe
ece	eːt͡ʃe
ecg	ejj
ecnes	eːknes
edcenning	edkenninɡ
edcierr	edt͡ʃi͜yrr
edcwic	edkwik
edcwician	edkwikiɑn
edcyrr	edt͡ʃyrr
edgeong	edjunɡ
edgild	edjild
edischenn	ediʃxenn
edlesendlic	edlesendliːt͡ʃ
edlæcan	edlæːt͡ʃɑn
edlæcung	edlæːt͡ʃunɡ
edniewan	edni͜yːwɑn
edniewe	edni͜yːwe
edniewian	edni͜yːwiɑn
edniewiend	edni͜yːwiend
edniewinga	edni͜yːwinɡɑ
edniewung	edni͜yːwunɡ
edniwan	edniːwɑn
edniwe	edniːwe
edniwian	edniːwiɑn
edniwigend	edniːwijend
edniwinga	edniːwinɡɑ
edniwung	edniːwunɡ
edor	edor
edstaþelian	edstɑθeliɑn
edstaþeliend	edstɑθeliend
edstaþelig	edstɑθelij
edwendan	edwendɑn
edwenden	edwenden
edwist	edwist
efel	efel
efen	efen
efen	eːfen
efenbyrde	efenbyrde
efencempa	efenkempɑ
efeneardian	efenæ͜ɑrdiɑn
efenhleoþor	efenxle͜oːθor
efenhleoþrian	efenxle͜oːθriɑn
efenhleoþrung	efenxle͜oːθrunɡ
efenhleta	efenxletɑ
efenlic	efenliːt͡ʃ
efenlice	efenliːt͡ʃe
efenlicnes	efenliːknes
efenling	efenlinɡ
efenmetan	efenmetɑn
efenmære	efenmæːre
efenniht	efennixt
efenscyldig	efenʃyldij
efensecgan	efensejjɑn
efenwerod	efenwerod
efenwiht	efenwixt
efenwyrcan	efenwyrt͡ʃɑn
