a	a˧˥
chẳng ngờ	căŋ˧˩˨ŋɤ˦˨
chẳng nhẽ	căŋ˧˩˨ɲɛ˧˩˨
chẳng những	căŋ˧˩˨ɲɯŋ˧˩˨
chẳng nên cơm cháo gì	căŋ˧˩˨nen˧˥kɤm˧˥caw˩˧ɣi˦˨
chẳng nói chẳng rằng	căŋ˧˩˨nɔj˩˧căŋ˧˩˨ʐăŋ˦˨
chẳng nước gì	căŋ˧˩˨nɯək˦˥ɣi˦˨
chẳng nước non gì	căŋ˧˩˨nɯək˦˥nɔŋ͡m˧˥ɣi˦˨
chẳng nề	căŋ˧˩˨ne˦˨
chẳng nữa	căŋ˧˩˨nɯə˧˩˨
chẳng phải đầu cũng phải tai; chẳng phải đầu lại phải tai	căŋ˧˩˨faj˧˩˨dɤ̆w˦˨kuŋ͡m˧˩˨faj˧˩˨taj˧˥căŋ˧˩˨faj˧˩˨dɤ̆w˦˨laj˨ˀ˩ʔfaj˧˩˨taj˧˥
chẳng phải đầu lại phải tai	căŋ˧˩˨faj˧˩˨dɤ̆w˦˨laj˨ˀ˩ʔfaj˧˩˨taj˧˥
chẳng qua	căŋ˧˩˨wa˧˥
chẳng quản	căŋ˧˩˨waŋ˧˩˨
chẳng ra gì	căŋ˧˩˨ʐa˧˥ɣi˦˨
chẳng sao	căŋ˧˩˨ʂaw˧˥
chẳng thà	căŋ˧˩˨tʰa˦˨
chẳng thấm vào đâu	căŋ˧˩˨tʰɤ̆m˩˧jaw˦˨dɤ̆w˧˥
chẳng trách	căŋ˧˩˨ʈak˦˥
chẳng tuần chay nào không nước mắt	căŋ˧˩˨twɤ̆ŋ˦˨căj˧˥naw˦˨xoŋ͡m˧˥nɯək˦˥măk˦˥
chẳng vẻ thay	căŋ˧˩˨jɛ˧˩˨tʰăj˧˥
chẳng vừa	căŋ˧˩˨jɯə˦˨
chẳng xong	căŋ˧˩˨sɔŋ͡m˧˥
chẳng ăn ai	căŋ˧˩˨ăŋ˧˥aj˧˥
chẳng đâu vào đâu	căŋ˧˩˨dɤ̆w˧˥jaw˦˨dɤ̆w˧˥
chẳng được ăn thì đạp đổ	căŋ˧˩˨dɯək˨ˀ˩ʔăŋ˧˥tʰi˦˨dap˨ˀ˩ʔdo˧˩˨
chẳng đẻ chẳng thương	căŋ˧˩˨dɛ˧˩˨căŋ˧˩˨tʰɯəŋ˧˥
chẳng đội trời chung	căŋ˧˩˨doj˨ˀ˩ʔʈɤj˦˨cuŋ͡m˧˥
chẳng đừng	căŋ˧˩˨dɯŋ˦˨
chẳng ưa dưa có dòi	căŋ˧˩˨ɯə˧˥jɯə˧˥kɔ˩˧jɔj˦˨
chẵn	căŋ˧˩˨
chẵn lẻ	căŋ˧˩˨lɛ˧˩˨
chẵn mưa thừa nắng	căŋ˧˩˨mɯə˧˥tʰɯə˦˨năŋ˩˧
chẵn đôi	căŋ˧˩˨doj˧˥
chặc	căk˨ˀ˩ʔ
chặc lưỡi	căk˨ˀ˩ʔlɯəj˧˩˨
chặm	căm˨ˀ˩ʔ
chặn	căŋ˨ˀ˩ʔ
chặn bóng	căŋ˨ˀ˩ʔbɔŋ͡m˩˧
chặn giấy	căŋ˨ˀ˩ʔjɤ̆j˩˧
chặn hậu	căŋ˨ˀ˩ʔhɤ̆w˨ˀ˩ʔ
chặn họng	căŋ˨ˀ˩ʔhɔŋ͡m˨ˀ˩ʔ
chặn tay	căŋ˨ˀ˩ʔtăj˧˥
chặn đánh	căŋ˨ˀ˩ʔdan˩˧
chặn đường	căŋ˨ˀ˩ʔdɯəŋ˦˨
chặn đầu	căŋ˨ˀ˩ʔdɤ̆w˦˨
chặn đầu chặn đuôi	căŋ˨ˀ˩ʔdɤ̆w˦˨căŋ˨ˀ˩ʔduəj˧˥
chặn đứng	căŋ˨ˀ˩ʔdɯŋ˩˧
chặng	căŋ˨ˀ˩ʔ
chặng đường	căŋ˨ˀ˩ʔdɯəŋ˦˨
chặp	căp˨ˀ˩ʔ
chặp tối	căp˨ˀ˩ʔtoj˩˧
chặt	căk˨ˀ˩ʔ
chặt chẽ	căk˨ˀ˩ʔcɛ˧˩˨
chặt chịa	căk˨ˀ˩ʔciə˨ˀ˩ʔ
chặt cụt	căk˨ˀ˩ʔkuk͡p˨ˀ˩ʔ
chặt cứng	căk˨ˀ˩ʔkɯŋ˩˧
chặt hạ	căk˨ˀ˩ʔha˨ˀ˩ʔ
chặt khúc	căk˨ˀ˩ʔxuk͡p˦˥
chặt ngọn	căk˨ˀ˩ʔŋɔŋ͡m˨ˀ˩ʔ
chặt như nêm	căk˨ˀ˩ʔɲɯ˧˥nem˧˥
chặt phá	căk˨ˀ˩ʔfa˩˧
chặt tay	căk˨ˀ˩ʔtăj˧˥
chặt to kho nhừ	căk˨ˀ˩ʔtɔ˧˥xɔ˧˥ɲɯ˦˨
chặt xiềng	căk˨ˀ˩ʔsiəŋ˦˨
chẹn	cɛŋ˨ˀ˩ʔ
chẹn cổ	cɛŋ˨ˀ˩ʔko˧˩˨
chẹn hầu chẹn họng	cɛŋ˨ˀ˩ʔhɤ̆w˦˨cɛŋ˨ˀ˩ʔhɔŋ͡m˨ˀ˩ʔ
chẹn họng	cɛŋ˨ˀ˩ʔhɔŋ͡m˨ˀ˩ʔ
chẹn đường	cɛŋ˨ˀ˩ʔdɯəŋ˦˨
chẹp bẹp	cɛp˨ˀ˩ʔbɛp˨ˀ˩ʔ
chẹt	cɛk˨ˀ˩ʔ
chẹt cổ	cɛk˨ˀ˩ʔko˧˩˨
chẹt cổ bóp hầu	cɛk˨ˀ˩ʔko˧˩˨bɔp˦˥hɤ̆w˦˨
chẹt họng mới há miệng	cɛk˨ˀ˩ʔhɔŋ͡m˨ˀ˩ʔmɤj˩˧ha˩˧miəŋ˨ˀ˩ʔ
chẻ	cɛ˧˩˨
chẻ cổ	cɛ˧˩˨ko˧˩˨
chẻ hoe	cɛ˧˩˨hwe˧˥
chẻ sợi tóc làm tư	cɛ˧˩˨ʂɤj˨ˀ˩ʔtɔk͡p˦˥lam˦˨tɯ˧˥
chẻ tre	cɛ˧˩˨ʈɛ˧˥
chẻ tre nghe gióng	cɛ˧˩˨ʈɛ˧˥ŋɛ˧˥jɔŋ͡m˩˧
chẻ vỏ	cɛ˧˩˨jɔ˧˩˨
chẻ xác	cɛ˧˩˨sak˦˥
chẻ đôi sợi tóc	cɛ˧˩˨doj˧˥ʂɤj˨ˀ˩ʔtɔk͡p˦˥
chẻm bẻm	cɛm˧˩˨bɛm˧˩˨
chẻn hoẻn	cɛŋ˧˩˨hwen˧˩˨
chẻo	ceo˧˩˨
chẻo lẻo	ceo˧˩˨leo˧˩˨
chẻo miệng	ceo˧˩˨miəŋ˨ˀ˩ʔ
chẻo mép	ceo˧˩˨mɛp˦˥
chẽ	cɛ˧˩˨
chẽn	cɛŋ˧˩˨
chế	ce˩˧
chế biến	ce˩˧biəŋ˩˧
chế bản	ce˩˧baŋ˧˩˨
chế cu nha	ce˩˧ku˧˥ɲa˧˥
chế dục	ce˩˧juk͡p˨ˀ˩ʔ
chế giễu	ce˩˧jɛu˧˩˨
chế hoá	ce˩˧hwa˩˧
chế khoa	ce˩˧xwa˧˥
chế liệu	ce˩˧liəw˨ˀ˩ʔ
chế là	ce˩˧la˦˨
chế ngự	ce˩˧ŋɯ˨ˀ˩ʔ
chế nhạo	ce˩˧ɲaw˨ˀ˩ʔ
chế pháp	ce˩˧fap˦˥
chế phẩm	ce˩˧fɤ̆m˧˩˨
chế phục	ce˩˧fuk͡p˨ˀ˩ʔ
chế thắng	ce˩˧tʰăŋ˩˧
chế tài	ce˩˧taj˦˨
chế tác	ce˩˧tak˦˥
chế tạo	ce˩˧taw˨ˀ˩ʔ
chế tạo máy	ce˩˧taw˨ˀ˩ʔmăj˩˧
chế xuất	ce˩˧swɤ̆k˦˥
chế áp	ce˩˧ap˦˥
chế định	ce˩˧din˨ˀ˩ʔ
chế độ	ce˩˧do˨ˀ˩ʔ
chế độ chiếm hữu nô lệ	ce˩˧do˨ˀ˩ʔciəm˩˧hɯw˧˩˨no˧˥le˨ˀ˩ʔ
chế độ chuyên chế	ce˩˧do˨ˀ˩ʔcwiəŋ˧˥ce˩˧
chế độ công hữu	ce˩˧do˨ˀ˩ʔkoŋ͡m˧˥hɯw˧˩˨
chế độ cộng hoà	ce˩˧do˨ˀ˩ʔkoŋ͡m˨ˀ˩ʔhwa˦˨
chế độ cộng sản nguyên thuỷ	ce˩˧do˨ˀ˩ʔkoŋ͡m˨ˀ˩ʔʂaŋ˧˩˨ŋwiəŋ˧˥tʰwi˧˩˨
chế độ dân chủ	ce˩˧do˨ˀ˩ʔjɤ̆ŋ˧˥cu˧˩˨
chế độ dân chủ mới	ce˩˧do˨ˀ˩ʔjɤ̆ŋ˧˥cu˧˩˨mɤj˩˧
chế độ dân chủ nhân dân	ce˩˧do˨ˀ˩ʔjɤ̆ŋ˧˥cu˧˩˨ɲɤ̆ŋ˧˥jɤ̆ŋ˧˥
chế độ dân chủ tư sản	ce˩˧do˨ˀ˩ʔjɤ̆ŋ˧˥cu˧˩˨tɯ˧˥ʂaŋ˧˩˨
chế độ dân chủ xã hội chủ nghĩa	ce˩˧do˨ˀ˩ʔjɤ̆ŋ˧˥cu˧˩˨sa˧˩˨hoj˨ˀ˩ʔcu˧˩˨ŋiə˧˩˨
chế độ gia trưởng	ce˩˧do˨ˀ˩ʔja˧˥ʈɯəŋ˧˩˨
chế độ hai viện	ce˩˧do˨ˀ˩ʔhaj˧˥jiəŋ˨ˀ˩ʔ
chế độ hôn nhân đối ngẫu	ce˩˧do˨ˀ˩ʔhoŋ͡m˧˥ɲɤ̆ŋ˧˥doj˩˧ŋɤ̆w˧˩˨
chế độ lưỡng viện	ce˩˧do˨ˀ˩ʔlɯəŋ˧˩˨jiəŋ˨ˀ˩ʔ
chế độ một viện	ce˩˧do˨ˀ˩ʔmok͡p˨ˀ˩ʔjiəŋ˨ˀ˩ʔ
chế độ ngoại hôn	ce˩˧do˨ˀ˩ʔŋwaj˨ˀ˩ʔhoŋ͡m˧˥
chế độ nông nô	ce˩˧do˨ˀ˩ʔnoŋ͡m˧˥no˧˥
chế độ phong kiến	ce˩˧do˨ˀ˩ʔfɔŋ͡m˧˥kiəŋ˩˧
chế độ phong kiến phân quyền	ce˩˧do˨ˀ˩ʔfɔŋ͡m˧˥kiəŋ˩˧fɤ̆ŋ˧˥wiɛŋ˦˨
chế độ phong kiến tập quyền	ce˩˧do˨ˀ˩ʔfɔŋ͡m˧˥kiəŋ˩˧tɤ̆p˨ˀ˩ʔwiɛŋ˦˨
chế độ quân chủ	ce˩˧do˨ˀ˩ʔwɤ̆ŋ˧˥cu˧˩˨
chế độ quân chủ chuyên chế	ce˩˧do˨ˀ˩ʔwɤ̆ŋ˧˥cu˧˩˨cwiəŋ˧˥ce˩˧
chế độ quân chủ lập hiến	ce˩˧do˨ˀ˩ʔwɤ̆ŋ˧˥cu˧˩˨lɤ̆p˨ˀ˩ʔhiəŋ˩˧
chế độ quần hôn	ce˩˧do˨ˀ˩ʔwɤ̆ŋ˦˨hoŋ͡m˧˥
chế độ sở hữu	ce˩˧do˨ˀ˩ʔʂɤ˧˩˨hɯw˧˩˨
chế độ sở hữu cá nhân	ce˩˧do˨ˀ˩ʔʂɤ˧˩˨hɯw˧˩˨ka˩˧ɲɤ̆ŋ˧˥
chế độ sở hữu toàn dân	ce˩˧do˨ˀ˩ʔʂɤ˧˩˨hɯw˧˩˨twaŋ˦˨jɤ̆ŋ˧˥
chế độ sở hữu tập thể	ce˩˧do˨ˀ˩ʔʂɤ˧˩˨hɯw˧˩˨tɤ̆p˨ˀ˩ʔtʰe˧˩˨
chế độ sở hữu xã hội chủ nghĩa	ce˩˧do˨ˀ˩ʔʂɤ˧˩˨hɯw˧˩˨sa˧˩˨hoj˨ˀ˩ʔcu˧˩˨ŋiə˧˩˨
chế độ thủ trưởng	ce˩˧do˨ˀ˩ʔtʰu˧˩˨ʈɯəŋ˧˩˨
chế độ tiền tệ	ce˩˧do˨ˀ˩ʔtiəŋ˦˨te˨ˀ˩ʔ
chế độ tư bản	ce˩˧do˨ˀ˩ʔtɯ˧˥baŋ˧˩˨
chế độ tư hữu	ce˩˧do˨ˀ˩ʔtɯ˧˥hɯw˧˩˨
chế độ tạp hôn	ce˩˧do˨ˀ˩ʔtap˨ˀ˩ʔhoŋ͡m˧˥
chế độ tập trung dân chủ	ce˩˧do˨ˀ˩ʔtɤ̆p˨ˀ˩ʔʈuŋ͡m˧˥jɤ̆ŋ˧˥cu˧˩˨
chế độ tập trung quan liêu	ce˩˧do˨ˀ˩ʔtɤ̆p˨ˀ˩ʔʈuŋ͡m˧˥waŋ˧˥liəw˧˥
chế độ đa phu	ce˩˧do˨ˀ˩ʔda˧˥fu˧˥
chế độ đa thê	ce˩˧do˨ˀ˩ʔda˧˥tʰe˧˥
chế độ đại nghị	ce˩˧do˨ˀ˩ʔdaj˨ˀ˩ʔŋi˨ˀ˩ʔ
chế độ đối ngẫu hôn	ce˩˧do˨ˀ˩ʔdoj˩˧ŋɤ̆w˧˩˨hoŋ͡m˧˥
chế ước	ce˩˧ɯək˦˥
chếch	cet˦˥
chếch chếch	cet˦˥cet˦˥
chếch lệch	cet˦˥let˨ˀ˩ʔ
chếch mác	cet˦˥mak˦˥
chếch mếch	cet˦˥met˦˥
chếnh choáng	cen˩˧cwaŋ˩˧
chếp	cep˦˥
chết	cet˦˥
chết băm chết vằm	cet˦˥băm˧˥cet˦˥jăm˦˨
chết bỏ đời	cet˦˥bɔ˧˩˨dɤj˦˨
chết bờ chết bụi	cet˦˥bɤ˦˨cet˦˥buj˨ˀ˩ʔ
chết cay chết đắng	cet˦˥kăj˧˥cet˦˥dăŋ˩˧
chết cha	cet˦˥ca˧˥
chết cha!	cet˦˥ca˧˥
chết chém	cet˦˥cɛm˩˧
chết chìm	cet˦˥cim˦˨
chết chóc	cet˦˥cɔk͡p˦˥
chết chùm	cet˦˥cum˦˨
chết chưa	cet˦˥cɯə˧˥
chết chẹt	cet˦˥cɛk˨ˀ˩ʔ
chết chết	cet˦˥cet˦˥
chết chửa	cet˦˥cɯə˧˩˨
chết cóng	cet˦˥kɔŋ͡m˩˧
chết cười	cet˦˥kɯəj˦˨
chết cả nút	cet˦˥ka˧˩˨nuk͡p˦˥
chết cả đống	cet˦˥ka˧˩˨doŋ͡m˩˧
chết cỏng	cet˦˥kɔŋ͡m˧˩˨
chết cứng	cet˦˥kɯŋ˩˧
chết dần chết mòn	cet˦˥jɤ̆ŋ˦˨cet˦˥mɔŋ͡m˦˨
chết dở	cet˦˥jɤ˧˩˨
chết dở sống dở	cet˦˥jɤ˧˩˨ʂoŋ͡m˩˧jɤ˧˩˨
chết già	cet˦˥ja˦˨
chết giả	cet˦˥ja˧˩˨
chết giấc	cet˦˥jɤ̆k˦˥
chết giẫm	cet˦˥jɤ̆m˧˩˨
chết gí	cet˦˥ɣi˩˧
chết hụt	cet˦˥huk͡p˨ˀ˩ʔ
chết khiếp	cet˦˥xiəp˦˥
chết khát	cet˦˥xak˦˥
chết khô	cet˦˥xo˧˥
chết không ai vuốt mắt	cet˦˥xoŋ͡m˧˥aj˧˥juək˦˥măk˦˥
chết không giấy đắp mặt	cet˦˥xoŋ͡m˧˥jɤ̆j˩˧dăp˦˥măk˨ˀ˩ʔ
chết không kịp kêu	cet˦˥xoŋ͡m˧˥kip˨ˀ˩ʔkɛu˧˥
chết không kịp ngáp	cet˦˥xoŋ͡m˧˥kip˨ˀ˩ʔŋap˦˥
chết không kịp trối	cet˦˥xoŋ͡m˧˥kip˨ˀ˩ʔʈoj˩˧
chết không người vuốt mắt	cet˦˥xoŋ͡m˧˥ŋɯəj˦˨juək˦˥măk˦˥
chết không nhắm mắt	cet˦˥xoŋ͡m˧˥ɲăm˩˧măk˦˥
chết không nhắm mắt được	cet˦˥xoŋ͡m˧˥ɲăm˩˧măk˦˥dɯək˨ˀ˩ʔ
chết không đèn chông dầu	cet˦˥xoŋ͡m˧˥dɛŋ˦˨coŋ͡m˧˥jɤ̆w˦˨
chết kèn trống, sống dầu đèn	cet˦˥kɛŋ˦˨ʈoŋ͡m˩˧ʂoŋ͡m˩˧jɤ̆w˦˨dɛŋ˦˨
chết lên chết xuống	cet˦˥len˧˥cet˦˥suəŋ˩˧
chết lăn như rạ	cet˦˥lăŋ˧˥ɲɯ˧˥ʐa˨ˀ˩ʔ
chết lần chết mòn	cet˦˥lɤ̆ŋ˦˨cet˦˥mɔŋ͡m˦˨
chết mê	cet˦˥me˧˥
chết mê chết mệt	cet˦˥me˧˥cet˦˥met˨ˀ˩ʔ
chết mòn	cet˦˥mɔŋ͡m˦˨
chết mòn chết dần	cet˦˥mɔŋ͡m˦˨cet˦˥jɤ̆ŋ˦˨
chết mòn chết mỏi	cet˦˥mɔŋ͡m˦˨cet˦˥mɔj˧˩˨
chết mất ngáp	cet˦˥mɤ̆k˦˥ŋap˦˥
chết mất xác	cet˦˥mɤ̆k˦˥sak˦˥
chết mệt	cet˦˥met˨ˀ˩ʔ
chết mồ	cet˦˥mo˦˨
chết ngoẻo củ từ	cet˦˥ŋwew˧˩˨ku˧˩˨tɯ˦˨
chết ngóm	cet˦˥ŋɔm˩˧
chết người	cet˦˥ŋɯəj˦˨
chết ngạt	cet˦˥ŋak˨ˀ˩ʔ
chết ngất	cet˦˥ŋɤ̆k˦˥
chết ngốt	cet˦˥ŋok͡p˦˥
chết nhăn răng	cet˦˥ɲăŋ˧˥ʐăŋ˧˥
chết như ngả rạ	cet˦˥ɲɯ˧˥ŋa˧˩˨ʐa˨ˀ˩ʔ
chết như rạ	cet˦˥ɲɯ˧˥ʐa˨ˀ˩ʔ
chết như sung rụng	cet˦˥ɲɯ˧˥ʂuŋ͡m˧˥ʐuŋ͡m˨ˀ˩ʔ
chết no hơn sống thèm	cet˦˥nɔ˧˥hɤŋ˧˥ʂoŋ͡m˩˧tʰɛm˦˨
chết non	cet˦˥nɔŋ͡m˧˥
chết não	cet˦˥naw˧˩˨
chết nết không chừa	cet˦˥net˦˥xoŋ͡m˧˥cɯə˦˨
chết nổi chết chìm	cet˦˥noj˧˩˨cet˦˥cim˦˨
chết nỗi	cet˦˥noj˧˩˨
chết nứt chết trương	cet˦˥nɯk˦˥cet˦˥ʈɯəŋ˧˥
chết nửa đời người	cet˦˥nɯə˧˩˨dɤj˦˨ŋɯəj˦˨
chết oan	cet˦˥waŋ˧˥
chết rũ	cet˦˥ʐu˧˩˨
chết rũ xương	cet˦˥ʐu˧˩˨sɯəŋ˧˥
chết rấp	cet˦˥ʐɤ̆p˦˥
chết rồi!	cet˦˥ʐoj˦˨
chết rục xương	cet˦˥ʐuk͡p˨ˀ˩ʔsɯəŋ˧˥
chết sặc gạch	cet˦˥ʂăk˨ˀ˩ʔɣak˨ˀ˩ʔ
chết sống	cet˦˥ʂoŋ͡m˩˧
chết sớm	cet˦˥ʂɤm˩˧
chết thiêu	cet˦˥tʰiəw˧˥
chết thèm chết khát	cet˦˥tʰɛm˦˨cet˦˥xak˦˥
chết thèm chết nhạt	cet˦˥tʰɛm˦˨cet˦˥ɲak˨ˀ˩ʔ
chết thật	cet˦˥tʰɤ̆k˨ˀ˩ʔ
chết thẳng cẳng	cet˦˥tʰăŋ˧˩˨kăŋ˧˩˨
chết tiền	cet˦˥tiəŋ˦˨
chết tiệt	cet˦˥tiək˨ˀ˩ʔ
chết toi	cet˦˥tɔj˧˥
chết trong còn hơn sống đục	cet˦˥ʈɔŋ͡m˧˥kɔŋ͡m˦˨hɤŋ˧˥ʂoŋ͡m˩˧duk͡p˨ˀ˩ʔ
chết trôi	cet˦˥ʈoj˧˥
chết trương	cet˦˥ʈɯəŋ˧˥
chết trương chết nứt	cet˦˥ʈɯəŋ˧˥cet˦˥nɯk˦˥
chết tươi	cet˦˥tɯəj˧˥
chết từ đời tám hoánh	cet˦˥tɯ˦˨dɤj˦˨tam˩˧hwan˩˧
chết tử	cet˦˥tɯ˧˩˨
chết tử chết tiệt	cet˦˥tɯ˧˩˨cet˦˥tiək˨ˀ˩ʔ
chết vinh còn hơn sống nhục	cet˦˥jin˧˥kɔŋ͡m˦˨hɤŋ˧˥ʂoŋ͡m˩˧ɲuk͡p˨ˀ˩ʔ
chết xác	cet˦˥sak˦˥
chết yểu	cet˦˥iəw˧˩˨
chết đi sống lại	cet˦˥di˧˥ʂoŋ͡m˩˧laj˨ˀ˩ʔ
chết điếng	cet˦˥diəŋ˩˧
chết đuối	cet˦˥duəj˩˧
chết đuối trên cạn	cet˦˥duəj˩˧ʈen˧˥kaŋ˨ˀ˩ʔ
chết đuối vớ phải bọt	cet˦˥duəj˩˧jɤ˩˧faj˧˩˨bɔk͡p˨ˀ˩ʔ
chết đuối vớ được cọc	cet˦˥duəj˩˧jɤ˩˧dɯək˨ˀ˩ʔkɔk͡p˨ˀ˩ʔ
chết đuối đọi đèn	cet˦˥duəj˩˧dɔj˨ˀ˩ʔdɛŋ˦˨
chết đâm	cet˦˥dɤ̆m˧˥
chết đòn	cet˦˥dɔŋ͡m˦˨
chết đói	cet˦˥dɔj˩˧
chết đói chết khát	cet˦˥dɔj˩˧cet˦˥xak˦˥
chết đói nhăn răng	cet˦˥dɔj˩˧ɲăŋ˧˥ʐăŋ˧˥
chết đói như rạ	cet˦˥dɔj˩˧ɲɯ˧˥ʐa˨ˀ˩ʔ
chết đường chết chợ	cet˦˥dɯəŋ˦˨cet˦˥cɤ˨ˀ˩ʔ
chết đường chết sá	cet˦˥dɯəŋ˦˨cet˦˥ʂa˩˧
chết đầu nước	cet˦˥dɤ̆w˦˨nɯək˦˥
chết đắm	cet˦˥dăm˩˧
chết đắng chết cay	cet˦˥dăŋ˩˧cet˦˥kăj˧˥
chết đến đít còn cay	cet˦˥den˩˧dit˦˥kɔŋ͡m˦˨kăj˧˥
chết đứ đừ	cet˦˥dɯ˩˧dɯ˦˨
chết đứng	cet˦˥dɯŋ˩˧
chết đứng như từ hải	cet˦˥dɯŋ˩˧ɲɯ˧˥tɯ˦˨haj˧˩˨
chề chà	ce˦˨ca˦˨
chề chề	ce˦˨ce˦˨
chềm chễm	cem˦˨cem˧˩˨
chềm chệp	cem˦˨cep˨ˀ˩ʔ
chềnh ềnh	cen˦˨en˦˨
chểnh choảng	cen˧˩˨cwaŋ˧˩˨
chểnh mảng	cen˧˩˨maŋ˧˩˨
chễm chệ	cem˧˩˨ce˨ˀ˩ʔ
chễm chện	cem˧˩˨cen˨ˀ˩ʔ
chễnh chện	cen˧˩˨cen˨ˀ˩ʔ
chệch	cet˨ˀ˩ʔ
chệch choạc	cet˨ˀ˩ʔcwak˨ˀ˩ʔ
chệnh choạng	cen˨ˀ˩ʔcwaŋ˨ˀ˩ʔ
chệt	cet˨ˀ˩ʔ
chỉ	ci˧˩˨
chỉ buộc chân voi	ci˧˩˨buək˨ˀ˩ʔcɤ̆ŋ˧˥jɔj˧˥
chỉ báo	ci˧˩˨baw˩˧
chỉ bảo	ci˧˩˨baw˧˩˨
chỉ bộp	ci˧˩˨bop˨ˀ˩ʔ
chỉ châm	ci˧˩˨cɤ̆m˧˥
chỉ chực	ci˧˩˨cɯk˨ˀ˩ʔ
chỉ có	ci˧˩˨kɔ˩˧
chỉ cần	ci˧˩˨kɤ̆ŋ˦˨
chỉ dẫn	ci˧˩˨jɤ̆ŋ˧˩˨
chỉ dụ	ci˧˩˨ju˨ˀ˩ʔ
chỉ giáo	ci˧˩˨jaw˩˧
chỉ giới	ci˧˩˨jɤj˩˧
chỉ huy	ci˧˩˨hwi˧˥
chỉ huy dàn nhạc	ci˧˩˨hwi˧˥jaŋ˦˨ɲak˨ˀ˩ʔ
chỉ huy phó	ci˧˩˨hwi˧˥fɔ˩˧
chỉ huy sở	ci˧˩˨hwi˧˥ʂɤ˧˩˨
chỉ huy trưởng	ci˧˩˨hwi˧˥ʈɯəŋ˧˩˨
chỉ huyết	ci˧˩˨hwiək˦˥
chỉ hươu chỉ vượn	ci˧˩˨hɯəw˧˥ci˧˩˨jɯəŋ˨ˀ˩ʔ
chỉ hồng	ci˧˩˨hoŋ͡m˦˨
chỉ lệnh	ci˧˩˨len˨ˀ˩ʔ
chỉ lối đưa đường	ci˧˩˨loj˩˧dɯə˧˥dɯəŋ˦˨
chỉ mảnh tơ mành	ci˧˩˨man˧˩˨tɤ˧˥man˦˨
chỉ mặt gọi tên	ci˧˩˨măk˨ˀ˩ʔɣɔj˨ˀ˩ʔten˧˥
chỉ mặt vạch trán	ci˧˩˨măk˨ˀ˩ʔjak˨ˀ˩ʔʈaŋ˩˧
chỉ mặt vạch tên	ci˧˩˨măk˨ˀ˩ʔjak˨ˀ˩ʔten˧˥
chỉ mặt đặt tên	ci˧˩˨măk˨ˀ˩ʔdăk˨ˀ˩ʔten˧˥
chỉ mỗi tội	ci˧˩˨moj˧˩˨toj˨ˀ˩ʔ
chỉ mộc	ci˧˩˨mok͡p˨ˀ˩ʔ
chỉ một đàng đi một nẻo	ci˧˩˨mok͡p˨ˀ˩ʔdaŋ˦˨di˧˥mok͡p˨ˀ˩ʔneo˧˩˨
chỉ một đường đi một nẻo	ci˧˩˨mok͡p˨ˀ˩ʔdɯəŋ˦˨di˧˥mok͡p˨ˀ˩ʔneo˧˩˨
chỉ nam	ci˧˩˨nam˧˥
chỉ ngũ sắc	ci˧˩˨ŋu˧˩˨ʂăk˦˥
chỉ nhị	ci˧˩˨ɲi˨ˀ˩ʔ
chỉ non thề biển	ci˧˩˨nɔŋ͡m˧˥tʰe˦˨biəŋ˧˩˨
chỉ non thề bể	ci˧˩˨nɔŋ͡m˧˥tʰe˦˨be˧˩˨
chỉ núi thề non	ci˧˩˨nuj˩˧tʰe˦˨nɔŋ͡m˧˥
chỉ núi thề sông	ci˧˩˨nuj˩˧tʰe˦˨ʂoŋ͡m˧˥
chỉ nẻo đưa đường	ci˧˩˨neo˧˩˨dɯə˧˥dɯəŋ˦˨
chỉ số	ci˧˩˨ʂo˩˧
chỉ số hoá	ci˧˩˨ʂo˩˧hwa˩˧
chỉ sống	ci˧˩˨ʂoŋ͡m˩˧
chỉ sợi	ci˧˩˨ʂɤj˨ˀ˩ʔ
chỉ tay	ci˧˩˨tăj˧˥
chỉ tay day trán	ci˧˩˨tăj˧˥jăj˧˥ʈaŋ˩˧
chỉ tay năm ngón	ci˧˩˨tăj˧˥năm˧˥ŋɔŋ͡m˩˧
chỉ thiên	ci˧˩˨tʰiəŋ˧˥
chỉ thư	ci˧˩˨tʰɯ˧˥
chỉ thắm	ci˧˩˨tʰăm˩˧
chỉ thị	ci˧˩˨tʰi˨ˀ˩ʔ
chỉ thị màu	ci˧˩˨tʰi˨ˀ˩ʔmăw˦˨
chỉ thống	ci˧˩˨tʰoŋ͡m˩˧
chỉ thực	ci˧˩˨tʰɯk˨ˀ˩ʔ
chỉ tiêu	ci˧˩˨tiəw˧˥
chỉ trán vạch tên	ci˧˩˨ʈaŋ˩˧jak˨ˀ˩ʔten˧˥
chỉ trích	ci˧˩˨ʈit˦˥
chỉ trắng may vải đen	ci˧˩˨ʈăŋ˩˧măj˧˥jaj˧˩˨dɛŋ˧˥
chỉ trỏ	ci˧˩˨ʈɔ˧˩˨
chỉ trời vạch đất	ci˧˩˨ʈɤj˦˨jak˨ˀ˩ʔdɤ̆k˦˥
chỉ tên vạch mặt	ci˧˩˨ten˧˥jak˨ˀ˩ʔmăk˨ˀ˩ʔ
chỉ tơ	ci˧˩˨tɤ˧˥
chỉ tấn tơ tần	ci˧˩˨tɤ̆ŋ˩˧tɤ˧˥tɤ̆ŋ˦˨
chỉ tệ	ci˧˩˨te˨ˀ˩ʔ
