Ⴁ	b
გააკეთებს	ɡɑɑkʼɛtʰɛbs
გააკუებს	ɡɑɑkʼuɛbs
გაალამაზებს	ɡɑɑlɑmɑzɛbs
გაამდიდრებს	ɡɑɑmdidrɛbs
გაამოთ	ɡɑɑmɔtʰ
გაანდო	ɡɑɑndɔ
გაასწორებს	ɡɑɑst͡sʼɔrɛbs
გაატარებს	ɡɑɑtʼɑrɛbs
გაატარეს	ɡɑɑtʼɑrɛs
გააფთრებული	ɡɑɑpʰtʰrɛbuli
გააღებს	ɡɑɑɣɛbs
გააჩნია	ɡɑɑt͡ʃniɑ
გააცნობს	ɡɑɑt͡snɔbs
გააძნელებს	ɡɑɑd͡znɛlɛbs
გააწიწმატებს	ɡɑɑt͡sʼit͡sʼmɑtʼɛbs
გაახურებს	ɡɑɑxurɛbs
გაახურეთ	ɡɑɑxurɛtʰ
გააჯვი	ɡɑɑd͡ʒvi
გაბარდინი	ɡɑbɑrdini
გაბარდული	ɡɑbɑrduli
გაბატონებულად	ɡɑbɑtʼɔnɛbulɑd
გაბატონებული	ɡɑbɑtʼɔnɛbuli
გაბაშვილი	ɡɑbɑʃvili
გაბედულად	ɡɑbɛdulɑd
გაბედულება	ɡɑbɛdulɛbɑ
გაბედული	ɡɑbɛduli
გაბერილი	ɡɑbɛrili
გაბზარული	ɡɑbzɑruli
გაბიაბრუება	ɡɑbiɑbruɛbɑ
გაბნეული	ɡɑbnɛuli
გაბონი	ɡɑbɔni
გაბრაზებით	ɡɑbrɑzɛbitʰ
გაბრაზებული	ɡɑbrɑzɛbuli
გაბრუებული	ɡɑbruɛbuli
გაბუტულად	ɡɑbutʼulɑd
გაბღენძილი	ɡɑbɣɛnd͡zili
გაგებით	ɡɑɡɛbitʰ
გაგიმარჯოს	ɡɑɡimɑrd͡ʒɔs
გაგიჟებით	ɡɑɡiʒɛbitʰ
გაგიჟებული	ɡɑɡiʒɛbuli
გაგონება	ɡɑɡɔnɛbɑ
გაგრა	ɡɑɡrɑ
გაგრძელება	ɡɑɡrd͡zɛlɛbɑ
გადააადგილებს	ɡɑdɑɑɑdɡilɛbs
გადააგდებს	ɡɑdɑɑɡdɛbs
გადაადგილება	ɡɑdɑɑdɡilɛbɑ
გადაარქმევს	ɡɑdɑɑrkʰmɛvs
გადააღწევს	ɡɑdɑɑɣt͡sʼɛvs
გადაგდება	ɡɑdɑɡdɛbɑ
გადადიან	ɡɑdɑdiɑn
გადადის	ɡɑdɑdis
გადავაღწიე	ɡɑdɑvɑɣt͡sʼiɛ
გადავიხადე	ɡɑdɑvixɑdɛ
გადავიხადო	ɡɑdɑvixɑdɔ
გადავიხდი	ɡɑdɑvixdi
გადათარგმნის	ɡɑdɑtʰɑrɡmnis
გადაიხადა	ɡɑdɑixɑdɑ
გადაიხადოს	ɡɑdɑixɑdɔs
გადაიხდი	ɡɑdɑixdi
გადაიხდიან	ɡɑdɑixdiɑn
გადაიხდის	ɡɑdɑixdis
გადაკრული	ɡɑdɑkʼruli
გადამდგარი	ɡɑdɑmdɡɑri
გადამდები	ɡɑdɑmdɛbi
გადამოწმებადი	ɡɑdɑmɔt͡sʼmɛbɑdi
გადამცემი	ɡɑdɑmt͡sɛmi
გადამწერი	ɡɑdɑmt͡sʼɛri
გადამწყვეტად	ɡɑdɑmt͡sʼqʼvɛtʼɑd
გადამწყვეტი	ɡɑdɑmt͡sʼqʼvɛtʼi
გადარეული	ɡɑdɑrɛuli
გადარეცხილი	ɡɑdɑrɛt͡sxili
გადარქმევა	ɡɑdɑrkʰmɛvɑ
გადასაზიდი	ɡɑdɑsɑzidi
გადასაწყვეტი	ɡɑdɑsɑt͡sʼqʼvɛtʼi
გადასახადი	ɡɑdɑsɑxɑdi
გადასვლა	ɡɑdɑsvlɑ
გადასინჯავს	ɡɑdɑsind͡ʒɑvs
გადატანა	ɡɑdɑtʼɑnɑ
გადატანილი	ɡɑdɑtʼɑnili
გადატვირთული	ɡɑdɑtʼvirtʰuli
გადაუდებლად	ɡɑdɑudɛblɑd
გადაულახავად	ɡɑdɑulɑxɑvɑd
გადაულახავი	ɡɑdɑulɑxɑvi
გადაუხაზავი	ɡɑdɑuxɑzɑvi
გადაუხდელი	ɡɑdɑuxdɛli
გადაუხდელობა	ɡɑdɑuxdɛlɔbɑ
გადაუხურავი	ɡɑdɑuxurɑvi
გადაქანცული	ɡɑdɑkʰɑnt͡suli
გადაღეჭილი	ɡɑdɑɣɛt͡ʃʼili
გადაწერეთ	ɡɑdɑt͡sʼɛrɛtʰ
გადაწერს	ɡɑdɑt͡sʼɛrs
გადაწყვეტილება	ɡɑdɑt͡sʼqʼvɛtʼilɛbɑ
გადაწყვეტს	ɡɑdɑt͡sʼqʼvɛtʼs
გადაწყვიტა	ɡɑdɑt͡sʼqʼvitʼɑ
გადაჭარბებულად	ɡɑdɑt͡ʃʼɑrbɛbulɑd
გადაჭიმული	ɡɑdɑt͡ʃʼimuli
გადაჭრით	ɡɑdɑt͡ʃʼritʰ
გადახდა	ɡɑdɑxdɑ
გადახდები	ɡɑdɑxdɛbi
გადახდილი	ɡɑdɑxdili
გადახდის	ɡɑdɑxdis
გადახოტრილი	ɡɑdɑxɔtʼrili
გადახრილად	ɡɑdɑxrilɑd
გადახრილი	ɡɑdɑxrili
გადის	ɡɑdis
გადმოდის	ɡɑdmɔdis
გადმოიქცა	ɡɑdmɔikʰt͡sɑ
გადმოიქცევა	ɡɑdmɔikʰt͡sɛvɑ
გადმონაშთი	ɡɑdmɔnɑʃtʰi
გადმოსაკონტრრევოლუციონერებლებისნაირებისათვისაცო	ɡɑdmɔsɑkʼɔntʼrrɛvɔlut͡siɔnɛrɛblɛbisnɑirɛbisɑtʰvisɑt͡sɔ
გადოლინიუმი	ɡɑdɔliniumi
გაერთიანება	ɡɑɛrtʰiɑnɛbɑ
გაერთიანებული	ɡɑɛrtʰiɑnɛbuli
გაეღვიძა	ɡɑɛɣvid͡zɑ
გაეღვიძება	ɡɑɛɣvid͡zɛbɑ
გავა	ɡɑvɑ
გავარვარებულად	ɡɑvɑrvɑrɛbulɑd
გავიგე	ɡɑviɡɛ
გავლენა	ɡɑvlɛnɑ
გავლენიანად	ɡɑvlɛniɑnɑd
გავლენიანი	ɡɑvlɛniɑni
გავრცელება	ɡɑvrt͡sɛlɛbɑ
გავრცელებული	ɡɑvrt͡sɛlɛbuli
გაზაფხული	ɡɑzɑpʰxuli
გაზეთი	ɡɑzɛtʰi
გაზელი	ɡɑzɛli
გაზვიადება	ɡɑzviɑdɛbɑ
გაზიფიკაცია	ɡɑzipʰikʼɑt͡siɑ
გაზომეტრი	ɡɑzɔmɛtʼri
გაზომვადი	ɡɑzɔmvɑdi
გაზონი	ɡɑzɔni
გაზრდა	ɡɑzrdɑ
გაზრდილიყო	ɡɑzrdiliqʼɔ
გაზუთხვა	ɡɑzutʰxvɑ
გაზქურა	ɡɑzkʰurɑ
გათალეთ	ɡɑtʰɑlɛtʰ
გათევა	ɡɑtʰɛvɑ
გათეთრდება	ɡɑtʰɛtʰrdɛbɑ
გათვალისწინება	ɡɑtʰvɑlist͡sʼinɛbɑ
გათიშავს	ɡɑtʰiʃɑvs
გათიშე	ɡɑtʰiʃɛ
გათლა	ɡɑtʰlɑ
გათხოვილი	ɡɑtʰxɔvili
გაიანა	ɡɑiɑnɑ
გაიგებს	ɡɑiɡɛbs
გაივლის	ɡɑivlis
გაიზრდება	ɡɑizrdɛbɑ
გაიზუთხავს	ɡɑizutʰxɑvs
გაითვალისწინებს	ɡɑitʰvɑlist͡sʼinɛbs
გაიმეორებს	ɡɑimɛɔrɛbs
გაისად	ɡɑisɑd
გაიფიქრეთ	ɡɑipʰikʰrɛtʰ
გაიძვერა	ɡɑid͡zvɛrɑ
გაიჭაჭება	ɡɑit͡ʃʼɑt͡ʃʼɛbɑ
გაიჭაჭებიან	ɡɑit͡ʃʼɑt͡ʃʼɛbiɑn
გაიხარე	ɡɑixɑrɛ
გაიხსენებს	ɡɑixsɛnɛbs
გაკეთება	ɡɑkʼɛtʰɛbɑ
გაკეთებული	ɡɑkʼɛtʰɛbuli
გაკვამლული	ɡɑkʼvɑmluli
გაკვეთილი	ɡɑkʼvɛtʰili
გაკვირვებული	ɡɑkʼvirvɛbuli
გაკოტრებული	ɡɑkʼɔtʼrɛbuli
გაკუება	ɡɑkʼuɛbɑ
გალანტურად	ɡɑlɑntʼurɑd
გალანტური	ɡɑlɑntʼuri
გალაქტიკა	ɡɑlɑkʰtʼikʼɑ
გალერა	ɡɑlɛrɑ
გალერეა	ɡɑlɛrɛɑ
გალვანური	ɡɑlvɑnuri
გალია	ɡɑliɑ
გალიონი	ɡɑliɔni
გალიუმი	ɡɑliumi
გალობა	ɡɑlɔbɑ
გალონი	ɡɑlɔni
გალუმპული	ɡɑlumpʼuli
გალური	ɡɑluri
გამა	ɡɑmɑ
გამათბობელი	ɡɑmɑtʰbɔbɛli
გამალებით	ɡɑmɑlɛbitʰ
გამალებულად	ɡɑmɑlɛbulɑd
გამალებული	ɡɑmɑlɛbuli
გამამხნევებლად	ɡɑmɑmxnɛvɛblɑd
გამანადგურებლად	ɡɑmɑnɑdɡurɛblɑd
გამართული	ɡɑmɑrtʰuli
გამართულობა	ɡɑmɑrtʰulɔbɑ
გამარჯვება	ɡɑmɑrd͡ʒvɛbɑ
გამარჯობა	ɡɑmɑrd͡ʒɔbɑ
გამატარეთ	ɡɑmɑtʼɑrɛtʰ
გამაუპატიურებელი	ɡɑmɑupʼɑtʼiurɛbɛli
გამაღიზიანებლად	ɡɑmɑɣiziɑnɛblɑd
გამაში	ɡɑmɑʃi
გამაცოცხლებლად	ɡɑmɑt͡sɔt͡sxlɛblɑd
გამაცხელებელი	ɡɑmɑt͡sxɛlɛbɛli
გამბედავად	ɡɑmbɛdɑvɑd
გამბედავი	ɡɑmbɛdɑvi
გამბედაობა	ɡɑmbɛdɑɔbɑ
გამბია	ɡɑmbiɑ
გამბიტი	ɡɑmbitʼi
გამგზავრება	ɡɑmɡzɑvrɛbɑ
გამგზავრებები	ɡɑmɡzɑvrɛbɛbi
გამეფებული	ɡɑmɛpʰɛbuli
გამზირი	ɡɑmziri
გამკილავად	ɡɑmkʼilɑvɑd
გამო	ɡɑmɔ
გამოადგება	ɡɑmɔɑdɡɛbɑ
გამოადგებოდა	ɡɑmɔɑdɡɛbɔdɑ
გამოატანს	ɡɑmɔɑtʼɑns
გამოაქვეყნებს	ɡɑmɔɑkʰvɛqʼnɛbs
გამოაცხობს	ɡɑmɔɑt͡sxɔbs
გამოდიან	ɡɑmɔdiɑn
გამოდის	ɡɑmɔdis
გამოვატან	ɡɑmɔvɑtʼɑn
გამოთქმა	ɡɑmɔtʰkʰmɑ
გამოთქმული	ɡɑmɔtʰkʰmuli
გამოითქმის	ɡɑmɔitʰkʰmis
გამოითქმოდა	ɡɑmɔitʰkʰmɔdɑ
გამოიკვლევს	ɡɑmɔikʼvlɛvs
გამოიკითხავს	ɡɑmɔikʼitʰxɑvs
გამოკვლევა	ɡɑmɔkʼvlɛvɑ
გამოკლება	ɡɑmɔkʼlɛbɑ
გამომგონებელი	ɡɑmɔmɡɔnɛbɛli
გამომგონებლურად	ɡɑmɔmɡɔnɛblurɑd
გამომდინარე	ɡɑmɔmdinɑrɛ
გამომივიდა	ɡɑmɔmividɑ
გამომსახველი	ɡɑmɔmsɑxvɛli
გამომქვეყნებელი	ɡɑmɔmkʰvɛqʼnɛbɛli
გამომცდელი	ɡɑmɔmt͡sdɛli
გამომძალველურად	ɡɑmɔmd͡zɑlvɛlurɑd
გამომწვევად	ɡɑmɔmt͡sʼvɛvɑd
გამომწვევი	ɡɑmɔmt͡sʼvɛvi
გამომხატველად	ɡɑmɔmxɑtʼvɛlɑd
გამომხატველურად	ɡɑmɔmxɑtʼvɛlurɑd
გამონაყარი	ɡɑmɔnɑqʼɑri
გამონაშვერი	ɡɑmɔnɑʃvɛri
გამოპრანჭული	ɡɑmɔpʼrɑnt͡ʃʼuli
გამორჩეული	ɡɑmɔrt͡ʃɛuli
გამოსადეგი	ɡɑmɔsɑdɛɡi
გამოსადეგობა	ɡɑmɔsɑdɛɡɔbɑ
გამოსავალი	ɡɑmɔsɑvɑli
გამოსასყიდი	ɡɑmɔsɑsqʼidi
გამოსაცდელი	ɡɑmɔsɑt͡sdɛli
გამოსახავს	ɡɑmɔsɑxɑvs
გამოსახულება	ɡɑmɔsɑxulɛbɑ
გამოსახული	ɡɑmɔsɑxuli
გამოსდის	ɡɑmɔsdis
გამოსვლად	ɡɑmɔsvlɑd
გამოსვლამ	ɡɑmɔsvlɑm
გამოსვლას	ɡɑmɔsvlɑs
გამოსვლით	ɡɑmɔsvlitʰ
გამოსვლის	ɡɑmɔsvlis
გამოსულიყო	ɡɑmɔsuliqʼɔ
გამოსყიდვა	ɡɑmɔsqʼidvɑ
გამოტანება	ɡɑmɔtʼɑnɛbɑ
გამოტვინებული	ɡɑmɔtʼvinɛbuli
გამოუვიდა	ɡɑmɔuvidɑ
გამოუთქმელად	ɡɑmɔutʰkʰmɛlɑd
გამოუთქმელი	ɡɑmɔutʰkʰmɛli
გამოუკვლევი	ɡɑmɔukʼvlɛvi
გამოუსწორებლად	ɡɑmɔust͡sʼɔrɛblɑd
გამოუცდელად	ɡɑmɔut͡sdɛlɑd
გამოუცდელი	ɡɑmɔut͡sdɛli
გამოუცდელობა	ɡɑmɔut͡sdɛlɔbɑ
გამოუცნობი	ɡɑmɔut͡snɔbi
გამოფენა	ɡɑmɔpʰɛnɑ
გამოფიტული	ɡɑmɔpʰitʼuli
გამოქანებულად	ɡɑmɔkʰɑnɛbulɑd
გამოყენება	ɡɑmɔqʼɛnɛbɑ
გამოყენებადი	ɡɑmɔqʼɛnɛbɑdi
გამოყენებითი	ɡɑmɔqʼɛnɛbitʰi
გამოყენებული	ɡɑmɔqʼɛnɛbuli
გამოყოფილი	ɡɑmɔqʼɔpʰili
გამოშვერილი	ɡɑmɔʃvɛrili
გამოშტერებული	ɡɑmɔʃtʼɛrɛbuli
გამოჩენილად	ɡɑmɔt͡ʃɛnilɑd
გამოჩენილი	ɡɑmɔt͡ʃɛnili
გამოჩენილობა	ɡɑmɔt͡ʃɛnilɔbɑ
გამოჩორკნილი	ɡɑmɔt͡ʃɔrkʼnili
გამოცანა	ɡɑmɔt͡sɑnɑ
გამოცდილება	ɡɑmɔt͡sdilɛbɑ
გამოცდილი	ɡɑmɔt͡sdili
გამოცემა	ɡɑmɔt͡sɛmɑ
გამოცემად	ɡɑmɔt͡sɛmɑd
გამოცემამ	ɡɑmɔt͡sɛmɑm
გამოცემას	ɡɑmɔt͡sɛmɑs
გამოცემით	ɡɑmɔt͡sɛmitʰ
გამოცემის	ɡɑmɔt͡sɛmis
გამოცხობა	ɡɑmɔt͡sxɔbɑ
გამოძახება	ɡɑmɔd͡zɑxɛbɑ
გამოხატავს	ɡɑmɔxɑtʼɑvs
გამოჯავრებით	ɡɑmɔd͡ʒɑvrɛbitʰ
გამრყვნელად	ɡɑmrqʼvnɛlɑd
გამსახურდია	ɡɑmsɑxurdiɑ
გამტარობა	ɡɑmtʼɑrɔbɑ
გამუდმებით	ɡɑmudmɛbitʰ
გამურულად	ɡɑmurulɑd
გამძლე	ɡɑmd͡zlɛ
გამძლეობა	ɡɑmd͡zlɛɔbɑ
გამჭვირვალე	ɡɑmt͡ʃʼvirvɑlɛ
გამჭვირვალედ	ɡɑmt͡ʃʼvirvɑlɛd
გამჭოლად	ɡɑmt͡ʃʼɔlɑd
გამჭრიახად	ɡɑmt͡ʃʼriɑxɑd
გამჭრიახი	ɡɑmt͡ʃʼriɑxi
გამჭრიახობა	ɡɑmt͡ʃʼriɑxɔbɑ
გამხდარი	ɡɑmxdɑri
გამხდრად	ɡɑmxdrɑd
განა	ɡɑnɑ
განადგურება	ɡɑnɑdɡurɛbɑ
განათლება	ɡɑnɑtʰlɛbɑ
განათლებას	ɡɑnɑtʰlɛbɑs
განათლების	ɡɑnɑtʰlɛbis
განაყოფიერება	ɡɑnɑqʼɔpʰiɛrɛbɑ
განაჩენი	ɡɑnɑt͡ʃɛni
განაცხადა	ɡɑnɑt͡sxɑdɑ
განაცხადებს	ɡɑnɑt͡sxɑdɛbs
განაწილება	ɡɑnɑt͡sʼilɛbɑ
განახლება	ɡɑnɑxlɛbɑ
განახლებადი	ɡɑnɑxlɛbɑdi
განგაში	ɡɑnɡɑʃi
განგმირვა	ɡɑnɡmirvɑ
განგრენა	ɡɑnɡrɛnɑ
განგსტერი	ɡɑnɡstʼɛri
განდგომილები	ɡɑndɡɔmilɛbi
განებივრებული	ɡɑnɛbivrɛbuli
განედი	ɡɑnɛdi
განვითარებამ	ɡɑnvitʰɑrɛbɑm
განვითარებას	ɡɑnvitʰɑrɛbɑs
განვითარების	ɡɑnvitʰɑrɛbis
განზე	ɡɑnzɛ
განზომილება	ɡɑnzɔmilɛbɑ
განზრახ	ɡɑnzrɑx
განზრახულად	ɡɑnzrɑxulɑd
განთიადი	ɡɑntʰiɑdi
განიერი	ɡɑniɛri
განივ	ɡɑniv
განივად	ɡɑnivɑd
განივი	ɡɑnivi
განიცდიან	ɡɑnit͡sdiɑn
განიცდის	ɡɑnit͡sdis
განიხილავს	ɡɑnixilɑvs
განკარგულება	ɡɑnkʼɑrɡulɛbɑ
განმანათლებლობა	ɡɑnmɑnɑtʰlɛblɔbɑ
განმარტება	ɡɑnmɑrtʼɛbɑ
განმარტებითი	ɡɑnmɑrtʼɛbitʰi
განმგმირავად	ɡɑnmɡmirɑvɑd
განმეორებადი	ɡɑnmɛɔrɛbɑdi
განმეორებით	ɡɑnmɛɔrɛbitʰ
განმეორებითი	ɡɑnmɛɔrɛbitʰi
განრიგები	ɡɑnriɡɛbi
განრიგი	ɡɑnriɡi
განრისხებულად	ɡɑnrisxɛbulɑd
განსაზღვრა	ɡɑnsɑzɣvrɑ
განსაზღვრავს	ɡɑnsɑzɣvrɑvs
განსაზღვრულად	ɡɑnsɑzɣvrulɑd
განსაზღვრული	ɡɑnsɑzɣvruli
განსაკუთრებით	ɡɑnsɑkʼutʰrɛbitʰ
განსაკუთრებულად	ɡɑnsɑkʼutʰrɛbulɑd
განსაკუთრებული	ɡɑnsɑkʼutʰrɛbuli
განსაცვიფრებლად	ɡɑnsɑt͡svipʰrɛblɑd
განსახლება	ɡɑnsɑxlɛbɑ
განსწავლული	ɡɑnst͡sʼɑvluli
განსხვავება	ɡɑnsxvɑvɛbɑ
განსხვავებით	ɡɑnsxvɑvɛbitʰ
განსხვავებულად	ɡɑnsxvɑvɛbulɑd
განსხვავებული	ɡɑnsxvɑvɛbuli
განუზომლად	ɡɑnuzɔmlɑd
განუზრახავად	ɡɑnuzrɑxɑvɑd
განურჩევლად	ɡɑnurt͡ʃɛvlɑd
განუსაზღვრელად	ɡɑnusɑzɣvrɛlɑd
განუწყვეტლად	ɡɑnut͡sʼqʼvɛtʼlɑd
განუხორციელებელი	ɡɑnuxɔrt͡siɛlɛbɛli
განუხორციელებლად	ɡɑnuxɔrt͡siɛlɛblɑd
განყენებულად	ɡɑnqʼɛnɛbulɑd
განყოფილება	ɡɑnqʼɔpʰilɛbɑ
განცალკევებით	ɡɑnt͡sɑlkʼɛvɛbitʰ
განძი	ɡɑnd͡zi
განწყობა	ɡɑnt͡sʼqʼɔbɑ
განხეთქილება	ɡɑnxɛtʰkʰilɛbɑ
განხილვა	ɡɑnxilvɑ
განხორციელება	ɡɑnxɔrt͡siɛlɛbɑ
გაოცებულად	ɡɑɔt͡sɛbulɑd
გარანტი	ɡɑrɑntʼi
გარანტია	ɡɑrɑntʼiɑ
გარაჟი	ɡɑrɑʒi
გარგარი	ɡɑrɡɑri
გარდა	ɡɑrdɑ
გარდამავალი	ɡɑrdɑmɑvɑli
გარდამავლად	ɡɑrdɑmɑvlɑd
გარდაუვალად	ɡɑrdɑuvɑlɑd
გარდაუვალი	ɡɑrdɑuvɑli
გარდაუვალობა	ɡɑrdɑuvɑlɔbɑ
გარდაუვლად	ɡɑrdɑuvlɑd
გარდაქმნა	ɡɑrdɑkʰmnɑ
გარდაცვალებად	ɡɑrdɑt͡svɑlɛbɑd
გარდაცვალებამ	ɡɑrdɑt͡svɑlɛbɑm
გარდაცვალებას	ɡɑrdɑt͡svɑlɛbɑs
გარდაცვალებით	ɡɑrdɑt͡svɑlɛbitʰ
გარდაცვალების	ɡɑrdɑt͡svɑlɛbis
გარდაცვლილი	ɡɑrdɑt͡svlili
გარდერობი	ɡɑrdɛrɔbi
გარდიგარდმო	ɡɑrdiɡɑrdmɔ
გარე	ɡɑrɛ
გარეგანი	ɡɑrɛɡɑni
გარეგნობა	ɡɑrɛɡnɔbɑ
გარეგნულად	ɡɑrɛɡnulɑd
გარეგნული	ɡɑrɛɡnuli
გარედან	ɡɑrɛdɑn
გარეთ	ɡɑrɛtʰ
გარეთა	ɡɑrɛtʰɑ
გარემო	ɡɑrɛmɔ
გარემოება	ɡɑrɛmɔɛbɑ
გარეუბანი	ɡɑrɛubɑni
გარეშე	ɡɑrɛʃɛ
გართულებული	ɡɑrtʰulɛbuli
გარიჟრაჟი	ɡɑriʒrɑʒi
გარკვევით	ɡɑrkʼvɛvitʰ
გარკვეული	ɡɑrkʼvɛuli
გარნიზონი	ɡɑrnizɔni
გარნირი	ɡɑrniri
გარსი	ɡɑrsi
გარყვნილად	ɡɑrqʼvnilɑd
გარყვნილება	ɡɑrqʼvnilɛbɑ
გარყვნილები	ɡɑrqʼvnilɛbi
გარყვნილი	ɡɑrqʼvnili
გარშემო	ɡɑrʃɛmɔ
გასაგებად	ɡɑsɑɡɛbɑd
გასაგები	ɡɑsɑɡɛbi
გასავლიანი	ɡɑsɑvliɑni
გასამათრახებელი	ɡɑsɑmɑtʰrɑxɛbɛli
გასამრჯელო	ɡɑsɑmrd͡ʒɛlɔ
გასაოცარი	ɡɑsɑɔt͡sɑri
გასაოცრად	ɡɑsɑɔt͡srɑd
გასართობად	ɡɑsɑrtʰɔbɑd
გასასვლელი	ɡɑsɑsvlɛli
გასაღები	ɡɑsɑɣɛbi
გასაჭირი	ɡɑsɑt͡ʃʼiri
გასვლა	ɡɑsvlɑ
გასინჯვა	ɡɑsind͡ʒvɑ
გასტრიტი	ɡɑstʼritʼi
გასული	ɡɑsuli
გასულიერება	ɡɑsuliɛrɛbɑ
გასულიყო	ɡɑsuliqʼɔ
გასწვრივ	ɡɑst͡sʼvriv
გასწორება	ɡɑst͡sʼɔrɛbɑ
გატეხვა	ɡɑtʼɛxvɑ
გატრუნვა	ɡɑtʼrunvɑ
გაუბედავად	ɡɑubɛdɑvɑd
გაუბედაობა	ɡɑubɛdɑɔbɑ
გაუგებრად	ɡɑuɡɛbrɑd
გაუგებრობა	ɡɑuɡɛbrɔbɑ
გაუმარჯოს	ɡɑumɑrd͡ʒɔs
გაუმაძღრად	ɡɑumɑd͡zɣrɑd
გაუმაძღრობა	ɡɑumɑd͡zɣrɔbɑ
გაუნათლებლად	ɡɑunɑtʰlɛblɑd
გაუნძრევლად	ɡɑund͡zrɛvlɑd
გაუპატიურება	ɡɑupʼɑtʼiurɛbɑ
გაურკვევლად	ɡɑurkʼvɛvlɑd
გაურკვევლობა	ɡɑurkʼvɛvlɔbɑ
გაუსაძლისი	ɡɑusɑd͡zlisi
გაუფრთხილებლად	ɡɑupʰrtʰxilɛblɑd
გაუქმება	ɡɑukʰmɛbɑ
გაუშვებს	ɡɑuʃvɛbs
გაუჩინარება	ɡɑut͡ʃinɑrɛbɑ
გაუწონასწორებლად	ɡɑut͡sʼɔnɑst͡sʼɔrɛblɑd
გაუხშოებულად	ɡɑuxʃɔɛbulɑd
გაფანტული	ɡɑpʰɑntʼuli
გაფატრავს	ɡɑpʰɑtʼrɑvs
გაფატრვა	ɡɑpʰɑtʼrvɑ
გაფენს	ɡɑpʰɛns
გაფინა	ɡɑpʰinɑ
გაფიცვა	ɡɑpʰit͡svɑ
გაფორმების	ɡɑpʰɔrmɛbis
გაფრენა	ɡɑpʰrɛnɑ
გაფუფუნებული	ɡɑpʰupʰunɛbuli
გაფუჭება	ɡɑpʰut͡ʃʼɛbɑ
გაფუჭებული	ɡɑpʰut͡ʃʼɛbuli
გაქ	ɡɑkʰ
გაქვთ	ɡɑkʰvtʰ
გაქვს	ɡɑkʰvs
გაქრობა	ɡɑkʰrɔbɑ
გაქცევა	ɡɑkʰt͡sɛvɑ
გაღიზიანებულად	ɡɑɣiziɑnɛbulɑd
გაღიმება	ɡɑɣimɛbɑ
გაღიმებული	ɡɑɣimɛbuli
გაყალბება	ɡɑqʼɑlbɛbɑ
გაყიდვა	ɡɑqʼidvɑ
გაყოფადი	ɡɑqʼɔpʰɑdi
გაშეშებულად	ɡɑʃɛʃɛbulɑd
გაშეშებული	ɡɑʃɛʃɛbuli
გაშვება	ɡɑʃvɛbɑ
გაშლილი	ɡɑʃlili
გაშმაგება	ɡɑʃmɑɡɛbɑ
გაშორდა	ɡɑʃɔrdɑ
გაშორდება	ɡɑʃɔrdɛbɑ
გაშორება	ɡɑʃɔrɛbɑ
გაშრობა	ɡɑʃrɔbɑ
გაშუქება	ɡɑʃukʰɛbɑ
გაჩერებული	ɡɑt͡ʃɛrɛbuli
გაჩეჩილი	ɡɑt͡ʃɛt͡ʃili
გაჩითული	ɡɑt͡ʃitʰuli
გაჩმახება	ɡɑt͡ʃmɑxɛbɑ
გაჩუმება	ɡɑt͡ʃumɛbɑ
გაცემა	ɡɑt͡sɛmɑ
გაცვეთილად	ɡɑt͡svɛtʰilɑd
გაცვეთილი	ɡɑt͡svɛtʰili
გაცვლა	ɡɑt͡svlɑ
გაცილება	ɡɑt͡silɛbɑ
გაცილებით	ɡɑt͡silɛbitʰ
გაცინებული	ɡɑt͡sinɛbuli
გაცრეცილი	ɡɑt͡srɛt͡sili
გაძლევთ	ɡɑd͡zlɛvtʰ
გაწვრთნის	ɡɑt͡sʼvrtʰnis
გაწიწმატდება	ɡɑt͡sʼit͡sʼmɑtʼdɛbɑ
გაწიწმატება	ɡɑt͡sʼit͡sʼmɑtʼɛbɑ
გაწონასწორებულად	ɡɑt͡sʼɔnɑst͡sʼɔrɛbulɑd
გაწყალებული	ɡɑt͡sʼqʼɑlɛbuli
გაჭყლეტილი	ɡɑt͡ʃʼqʼlɛtʼili
გახარებულად	ɡɑxɑrɛbulɑd
გახევებულად	ɡɑxɛvɛbulɑd
გახლდათ	ɡɑxldɑtʰ
გახმაურებულად	ɡɑxmɑurɛbulɑd
გახნის	ɡɑxnis
გახსნა	ɡɑxsnɑ
გდება	ɡdɛbɑ
გეგმა	ɡɛɡmɑ
გეგმავს	ɡɛɡmɑvs
გედი	ɡɛdi
გეთაყვა	ɡɛtʰɑqʼvɑ
გეი	ɡɛi
გეიზერი	ɡɛizɛri
გეიშა	ɡɛiʃɑ
გელა	ɡɛlɑ
გელაქნური	ɡɛlɑkʰnuri
გელაშვილი	ɡɛlɑʃvili
გემბანი	ɡɛmbɑni
გემზე	ɡɛmzɛ
გემი	ɡɛmi
გემო	ɡɛmɔ
გემოვნებიანი	ɡɛmɔvnɛbiɑni
გემოვნებით	ɡɛmɔvnɛbitʰ
გემრიელად	ɡɛmriɛlɑd
გემრიელი	ɡɛmriɛli
გენაცვალე	ɡɛnɑt͡svɑlɛ
გენეალოგია	ɡɛnɛɑlɔɡiɑ
გენეალოგიურად	ɡɛnɛɑlɔɡiurɑd
გენეალოგიური	ɡɛnɛɑlɔɡiuri
გენერალი	ɡɛnɛrɑli
გენერატორი	ɡɛnɛrɑtʼɔri
გენერაციული	ɡɛnɛrɑt͡siuli
გენეტიკა	ɡɛnɛtʼikʼɑ
