а	a
блештити	blěːʃtiti
блејати	blěːjati
ближити	blǐːʒiti
близак	blîzak
близанац	blizǎːnat͡s
близина	blizǐna
близу	blǐːzu
блискати	blîskati
блиско	blîsko
блискост	blîskoːst
блистав	blîstaʋ
блистати	blǐstati
блиц	blît͡s
блицкриг	blît͡skriːɡ
блијед	bljêːd
блиједјети	blijěːdjeti
блијесак	bljêːsak
блијештати	bljěːʃtati
блијештити	blijěːʃtiti
блокада	blokǎːda
блокирати	blokǐːrati
блуд	blûːd
блудан	blûːdan
блудник	blûːdniːk
блудница	blǔːdnit͡sa
блудничење	blûːdnit͡ʃeːɲe
блудничити	blûːdnit͡ʃiti
блуз	blûːz
блутдрук	blûːtdruk
боб	bôb
бова	bôːʋa
бог	bôːɡ
богаз	bôɡaz
богат	bǒɡat
богаташев	boɡatǎːʃeʋ
богатити	bǒɡatiti
богато	bǒɡato
богатство	boɡǎtstʋo
богаљ	bôɡaːʎ
богдан	bǒɡdaːn
богиња	bǒɡiɲa
богиње	bǒɡiɲe
богомољка	boɡǒmoːʎka
богорадити	boɡorǎːditi
богослов	bôɡosloʋ
богословац	boɡoslǒːʋat͡s
богота	boɡǒta
богохулан	bôɡoxuːlan
богохулити	boɡoxǔːliti
богохулник	bôɡoxuːlniːk
богумил	bôɡumil
бод	bôːd
бодар	bôdar
бодеж	bǒːdeʒ
бодовати	bôdoʋati
бодрити	bǒdriti
бодро	bôdro
бодрост	bôdroːst
бодул	bôːdul
бодља	bôdʎa
бодљика	bǒdʎika
бодљикав	bǒdʎikaʋ
боем	bǒeːm
боемка	bǒeːmka
боемски	bǒeːmski
боемски	bǒeːmskiː
божански	boʒǎnskiː
божанствен	boʒǎnstʋen
божанство	boʒǎnstʋo
божи	bôʒiː
божиковина	boʒǐːkoʋina
божиј	bôʒiːj
божији	bôʒijiː
божић	bǒʒit͡ɕ
божићни	bǒʒit͡ɕniː
божур	bǒʒuːr
божји	bôʒjiː
бозон	bǒzoːn
бокал	bǒkaːl
боквица	bôkʋit͡sa
боксерице	bôkserit͡se
бол	bôːl
болан	bôːlan
болесник	bolěsniːk
болесница	bolěsnit͡sa
болеснички	bolěsniːt͡ʃki
болеснички	bolěsniːt͡ʃkiː
болест	bôleːst
болестан	bôlestan
болети	bǒleti
болешљив	bolěʃʎiʋ
болешљивост	bolěʃʎiʋoːst
боливија	bolǐːʋija
боливијац	boliʋǐːjat͡s
боливијски	bǒliːʋiːjskiː
болница	bǒːlnit͡sa
болничар	bǒːlnit͡ʃaːr
болничарка	bǒːlnit͡ʃaːrka
болнички	bǒːlnitʃki
болнички	bǒːlnitʃkiː
болно	bôːlno
боловати	bolǒʋati
боловање	bolǒʋaːɲe
боловање	bôloʋaːɲe
бомба	bôːmba
бомбардер	bombǎrdeːr
бомбастичан	bombǎstit͡ʃan
бомбастично	bombǎstit͡ʃno
бор	bôːr
боравак	bǒraʋak
боравити	bǒraʋiti
боравишни	bǒraʋiːʃniː
боравиште	bǒraʋiːʃte
боранија	borǎnija
борац	bǒːrat͡s
борба	bǒrba
борбен	bôrben
борбено	bôrbeno
борбеност	bôrbenoːst
борер	bǒːrer
борис	bôːris
борити	bǒriti
боровина	bǒroʋina
боровница	borǒːʋnit͡sa
бос	bôːs
босанац	bosǎːnat͡s
босански	bǒsanski
босански	bǒsanskiː
босиљак	bǒsiʎak
босна	bôsna
босоног	bosǒnoɡ
бости	bôsti
бостон	bôston
ботаника	botǎnika
ботаничар	botǎnit͡ʃaːr
ботанички	botǎnit͡ʃkiː
бофл	bǒfl
боца	bôt͡sa
боцвана	bot͡sʋǎna
боцкати	bôt͡skati
боцнути	bôt͡snuti
бочица	bôt͡ʃit͡sa
бочни	bôt͡ʃniː
бошча	bôʃt͡ʃa
бошњак	bǒʃɲaːk
бошњачки	bǒʃɲaːtʃki
бошњачки	bǒʃɲaːtʃkiː
бој	bôːj
боја	bǒja
бојадисати	bojǎdisati
бојажљив	bojǎʒʎiʋ
бојажљиво	bojǎʒʎiʋo
бојазан	bôjaːzan
бојан	bǒjan
бојати	bǒjati
бојевати	bojěʋati
бојити	bǒjiti
бојкот	bǒjkot
бојна	bôːjna
бојник	bôːjniːk
бојовати	bojǒʋati
бојовник	bǒjoːʋniːk
боље	bôʎeː
бољети	bǒʎeti
бољитак	boʎǐːtak
брабоњак	brâboɲak
бравар	brâʋaːr
браварски	brâʋarskiː
брада	brǎːda
брадавица	brǎdaʋit͡sa
брадат	brǎdat
брадетина	bradětina
бразилски	brǎziːlskiː
брак	brâːk
браколомство	brakolǒːmstʋo
брана	brǎːna
бранилац	brǎnilat͡s
бранислав	brǎnislaʋ
бранитељ	brǎniteʎ
бранити	brǎːniti
бранич	brǎniːt͡ʃ
бранка	brâːnka
бранка	brǎːnka
бранко	brâːnko
брат	brât
братац	brâtat͡s
брати	brâti
братислава	brǎtislaʋa
братић	brâtit͡ɕ
братоубилачки	bratoǔbilatʃki
братоубилачки	bratoǔbilatʃkiː
братски	brǎtskiː
братство	brǎtstʋo
браузер	brâuzer
брач	brâːt͡ʃ
брачни	brâːt͡ʃniː
брашно	brâʃno
брајда	brâːjda
браћа	brât͡ɕa
брбљав	br̂bʎaʋ
брбљавост	br̂bʎaʋoːst
брбљати	břbʎati
брбљивост	břbʎiʋoːst
брдовит	brdǒʋit
брдски	br̂dskiː
бревијар	breʋǐjaːr
бреговић	brěɡoʋit͡ɕ
брежје	brêːʒje
брезница	brěːznit͡sa
брезничанин	brěːznit͡ʃanin
брезов	brězoʋ
брезовац	brêzoʋat͡s
брезовица	brêzoʋit͡sa
бреме	brême
бресква	brêskʋa
бретонски	brětoːnskiː
брз	br̂ːz
брзати	břzati
брзина	brzǐna
брзо	br̂ːzo
брзопис	br̂zopiːs
брзоплет	brzǒplet
брига	brîɡa
бригадирка	briɡǎdiːrka
брижан	brîʒan
брижно	brîʒno
брижност	brîʒnoːst
брижљив	brǐʒʎiʋ
брижљивост	brǐʒʎiʋoːst
бринета	briněta
бринути	brînuti
брис	brîːs
брисати	brîsati
брисач	brǐsaːt͡ʃ
брисел	brǐsel
бриселски	brǐselskiː
британац	britǎːnat͡s
британија	brǐtaːnija
британски	brǐtaːnskiː
бритвица	brîtʋit͡sa
брити	brîti
бријати	brîjati
бријеме	brijěme
брк	br̂ːk
бркат	břkat
бркајлија	brkǎjlija
брко	břːko
бркоња	břːkoɲa
брод	brôːd
бродица	brǒdit͡sa
бродић	brǒdiːt͡ɕ
бродоградилиште	brodoɡrǎdiliːʃte
бродоградитељ	brodoɡrǎditeʎ
бродоградња	brodoɡrǎːdɲa
бродолом	brôdolom
бродски	brǒdskiː
брокат	brǒkaːt
брокула	brôkula
бром	brôm
брош	brôʃ
број	brôːj
бројан	brôːjan
бројати	brǒjati
бројило	brǒjilo
бројити	brǒjiti
бројка	brôːjka
бројно	brôːjno
бројчани	brǒjt͡ʃaniː
бројчаник	brojt͡ʃǎniːk
бројчано	brǒjt͡ʃano
броћ	brôt͡ɕ
брука	brûka
брукати	brûkati
брус	brûːs
брусити	brǔːsiti
бруталан	brûtaːlan
бруталност	brutǎːlnoːst
брујати	brǔːjati
брчкати	br̂t͡ʃkati
буба	bûba
бубати	bǔːbati
бубашваба	bubaʃʋǎːba
бубањ	bûːbaɲ
бубнути	bûbnuti
бубрег	bǔbreɡ
бубрежаст	bǔbreʒast
бубрежни	bǔbreʒniː
бубрежњак	bǔbreʒɲaːk
бубрити	bǔbriti
бубуљица	bubǔʎit͡sa
бубуљичав	bubǔʎit͡ʃaʋ
бубуљичавост	bubǔʎit͡ʃaʋoːst
бубуљичаст	bubǔʎit͡ʃast
бубњава	bǔbɲaʋa
бубњар	bǔbɲaːr
бубњарски	bǔbɲarskiː
бубњаст	bǔbɲaːst
бубњати	bǔbɲati
бубњиште	bûbɲiːʃte
бубњић	bǔbɲit͡ɕ
бува	bǔʋa
бугарин	bûɡarin
бугарити	buɡǎːriti
бугарка	bûɡaːrka
бугарска	bûɡarska
бугарски	bûɡarski
бугарски	bûɡarskiː
бугарштица	buɡǎrʃtit͡sa
буда	bǔːda
будак	bûdaːk
будала	budǎla
будаласт	budǎlast
будалаштина	budalǎːʃtina
будалетина	budalětina
будалина	budǎlina
будалити	budǎliti
будалица	budǎlit͡sa
будалчина	budǎlt͡ʃina
будан	bǔːdan
будзашто	bǔdzaʃto
будизам	budǐzam
будилац	bǔdilat͡s
будилица	bǔdilit͡sa
будилник	bǔdiːlniːk
будимпешта	bǔdimpeʃta
будимпештански	bǔdimpeʃtaːnskiː
будист	bǔdist
будистички	budǐstit͡ʃki
будистички	budǐstit͡ʃkiː
будисткиња	bǔdistkiɲa
будитељ	bǔditeʎ
будити	bǔːditi
будница	bǔːdnit͡sa
будно	bûːdno
будност	bǔːdnoːst
будоар	budǒaːr
буду	bûdu
будући	bûduːtɕi
будући	bǔduːtɕiː
будућност	budǔːt͡ɕnoːst
будшто	bǔdʃto
буздован	buzdǒʋaːn
бук	bûːk
бука	bûka
букавац	bǔːkaʋat͡s
букагије	bukǎɡije
букара	bǔkara
букач	bǔkaːt͡ʃ
букачки	bǔkat͡ʃkiː
буква	bûkʋa
буквалан	bûkʋaːlan
буквално	bûkʋaːlno
букван	bǔkʋan
буквар	bǔkʋaːr
буквик	bǔkʋiːk
буквица	bûkʋit͡sa
букет	bǔkeːt
буки	bǔki
букинг	bǔkinɡ
букнути	bǔːknuti
буков	bǔkoʋ
буковача	bûkoʋat͡ʃa
буковина	bǔkoʋina
буктати	bǔktati
буктети	bǔkteti
буктиња	bǔktiɲa
буктјети	bǔktjeti
букурешт	bûkureʃt
букурештански	bukurěʃtaːnskiː
була	bûla
була	bǔla
була	bǔːla
булазнити	bulǎːzniti
булевар	bulěvaːr
буна	bǔːna
бунар	bǔnaːr
бунда	bûːnda
бундева	bǔndeʋa
бунило	bǔnilo
бунити	bǔːniti
бункер	bǔnker
бункерирати	bunkerǐːrati
бунт	bûnt
бунт	bǔnt
бунтован	bûntoːʋan
бунтовник	bǔntoːʋniːk
бунтовница	bǔntoːʋnit͡sa
бунцати	bǔnt͡sati
бура	bûra
бураг	bǔraːɡ
буран	bûːran
буранија	burǎnija
бургија	bǔrɡija
буре	bûre
бурка	bûːrka
бурлеска	burlěska
бурма	bûːrma
бурманац	burmǎːnat͡s
бурманка	bǔrmaːnka
бурмански	bǔrmanskiː
бурунди	burûndi
бусола	bǔsola
бут	bût
бутан	bǔtaːn
бутига	bǔtiːɡa
бутик	bǔtik
буфало	bûfalo
буфер	bǔfer
бухара	buxǎːra
буцањ	bûːt͡saɲ
буцмаст	bût͡smast
буцо	bǔːt͡so
буча	bût͡ʃa
бучан	bût͡ʃan
бучати	bǔːt͡ʃati
бучити	bǔːt͡ʃiti
бучица	bût͡ʃit͡sa
бучно	bût͡ʃno
бучност	bût͡ʃnoːst
бушач	bǔʃaːt͡ʃ
бушилица	bǔʃilit͡sa
бушити	bǔːʃiti
бушотина	bǔʃotina
буђ	bûd͡ʑ
буђавити	bud͡ʑǎːʋiti
буђелар	bud͡ʑělaːr
буђење	bǔːd͡ʑeɲe
бујати	bǔjati
бујица	bǔjit͡sa
бујични	bǔjit͡ʃniː
бујно	bûːjno
бујност	bǔːjnoːst
бујон	bǔjoːn
буљина	bǔʎina
буљити	bǔːʎiti
бућ	bût͡ɕ
бућа	bût͡ɕa
бућкати	bût͡ɕkati
бућнути	bût͡ɕnuti
буџа	bǔːd͡ʒa
буџак	bǔd͡ʒaːk
буџет	bǔd͡ʒet
буџетирати	bud͡ʒetǐːrati
буџетски	bǔd͡ʒetski
буџован	bud͡ʒǒʋaːn
бјегати	bjêɡati
бјегунац	bjeɡǔːnat͡s
бјежати	bjěʒati
бјекство	bjěkstʋo
бјеланце	bjelǎːnt͡se
бјеланчевина	bjelǎːnt͡ʃeʋina
бјеласати	bjelǎsati
бјеласнути	bjelǎsnuti
бјелањак	bjelǎːɲak
бјелег	bjěleɡ
бјелило	bjělilo
бјелина	bjelǐna
бјелкиња	bjêlkiɲa
бјелорусија	bjelorǔsija
бјелоруски	bjêloruski
бјелоруски	bjêloruskiː
бјеснило	bjěsnilo
бјесњети	bjěsɲeti
бјечва	bjêt͡ʃʋa
бјељег	bjěʎeɡ
бљак	bʎâk
бљедило	bʎědilo
бљедоћа	bʎedǒt͡ɕa
бљескати	bʎêskati
бљеснути	bʎêsnuti
бљештав	bʎêʃtaʋ
бљувати	bʎǔʋati
бљузгавица	bʎûzɡaʋit͡sa
бљузгати	bʎûzɡati
бљутав	bʎûtaʋ
в	ʋ
вавек	ʋâʋeːk
вавијек	ʋâʋijek
вага	ʋǎːɡa
вагати	ʋǎːɡati
вагина	ʋaɡǐːna
вагнути	ʋǎːɡnuti
вагон	ʋǎɡoːn
вадити	ʋâditi
вадичеп	ʋǎdit͡ʃep
важан	ʋǎːʒan
важити	ʋǎːʒiti
важно	ʋâːʒno
важност	ʋǎːʒnoːst
ваза	ʋǎːza
вазал	ʋǎzaːl
вазалство	ʋazǎːlstʋo
ваздан	ʋâzdaːn
ваздух	ʋǎzduːx
вакуф	ʋâkuf
вакцина	ʋakt͡sǐːna
вал	ʋâːl
вала	ʋǎlaː
валовит	ʋalǒʋit
валута	ʋalǔːta
вама	ʋâma
вампир	ʋǎmpiːr
вампирски	ʋǎmpiːrskiː
ван	ʋân
ван	ʋâːn
вандализам	ʋandalǐzam
вани	ʋǎni
ванка	ʋâːnka
вапно	ʋǎːpno
вар	ʋâːr
варав	ʋâraʋ
варалица	ʋâralit͡sa
варати	ʋârati
варварски	ʋǎrʋarski
варварски	ʋǎrʋarskiː
варга	ʋâːrɡa
варити	ʋǎːriti
варка	ʋâːrka
варшава	ʋǎrʃaʋa
варљив	ʋǎrʎiʋ
вас	ʋâːs
васељенски	ʋasěʎeːnskiː
ватикан	ʋâtikaːn
ватра	ʋâtra
ватрен	ʋâtren
ватрогасац	ʋatroɡǎːsat͡s
ватромет	ʋâtromeːt
вашар	ʋǎːʃar
вашмашина	ʋâʃmaʃiːna
вајда	ʋǎjda
ваљак	ʋǎːʎak
ваљати	ʋǎʎati
ваљати	ʋǎːʎati
ваљда	ʋǎʎda
вањски	ʋǎɲskiː
веверица	ʋêʋerit͡sa
вегетаријанац	ʋeɡetarijǎːnat͡s
вегетаријански	ʋeɡetarǐjaːnski
вегетаријански	ʋeɡetarǐjaːnskiː
вегетација	ʋeɡetǎːt͡sija
вегетацијски	ʋeɡetǎːt͡siːjskiː
ведар	ʋêdar
ведрина	ʋedrǐna
ведски	ʋêːdskiː
вежба	ʋêʒba
вежбати	ʋêʒbati
вез	ʋêːz
веза	ʋêza
везати	ʋěːzati
везивати	ʋezǐːʋati
везир	ʋěziːr
векер	ʋêker
векерица	ʋêkerit͡sa
веларан	ʋělaːran
велепосланик	ʋeleposlǎniːk
велепосланица	ʋelepǒslanit͡sa
велепосланство	ʋeleposlǎːnstʋo
велик	ʋělik
великаш	ʋelǐkaːʃ
великашки	ʋelǐkaːʃki
великашки	ʋelǐkaːʃkiː
великодушан	ʋelikǒduʃan
великодушно	ʋelikǒduʃno
великодушност	ʋelikǒduʃnoːst
велим	ʋěliːm
величина	ʋelit͡ʃǐna
велможа	ʋělmoʒa
велшки	ʋêlʃkiː
вена	ʋěːna
венац	ʋěːnat͡s
венера	ʋěnera
венерични	ʋeněrit͡ʃniː
венеролог	ʋenerǒloɡ
венерологија	ʋenerolǒɡija
венозан	ʋěnoːzan
венски	ʋěːnskiː
вентил	ʋěntiːl
вентилатор	ʋentǐlaːtor
вентилација	ʋentilǎːt͡sija
вентилирати	ʋentilǐːrati
вентрилоквист	ʋentrilǒkʋist
венути	ʋěnuti
венчавати	ʋent͡ʃǎːʋati
венчаница	ʋent͡ʃǎnit͡sa
венчати	ʋěnt͡ʃati
венчање	ʋent͡ʃǎːɲe
венчић	ʋěnt͡ʃit͡ɕ
вео	ʋêo
веома	ʋěoma
вепар	ʋêpar
веприна	ʋêprina
веприна	ʋěprina
вепровац	ʋěproʋat͡s
вепровина	ʋěproʋina
вера	ʋêra
вера	ʋêːra
веран	ʋěːran
веранда	ʋěraːnda
верати	ʋěrati
верач	ʋěraːt͡ʃ
вербалан	ʋěrbaːlan
вербализам	ʋerbalǐzam
вербалистички	ʋerbalǐstitʃki
вербалистички	ʋerbalǐstitʃkiː
вергл	ʋěrɡl
верглати	ʋěrɡlati
верглаш	ʋěrɡlaːʃ
вереник	ʋêreniːk
веренички	ʋêrenit͡ʃkiː
вересија	ʋerěsija
верз	ʋêrz
верзал	ʋěrzaːl
верзални	ʋěrzaːlniː
верзиран	ʋěrziːran
верзирано	ʋěrziːrano
верзираност	ʋěrziːranoːst
верзија	ʋěrzija
верига	ʋěriɡa
веридба	ʋěridba
верижан	ʋěriːʒan
верижаст	ʋěriʒast
верижица	ʋěriʒit͡sa
веризам	ʋerǐzam
верист	ʋěrist
веристички	ʋerǐstitʃki
веристички	ʋerǐstitʃkiː
верити	ʋêriti
верификатор	ʋerifǐkaːtor
верификација	ʋerifikǎːt͡sija
верификацијски	ʋerifikǎːt͡siːjskiː
верифицирати	ʋerifit͡sǐːrati
вермут	ʋěrmut
верник	ʋêːrniːk
верница	ʋêːrnit͡sa
верно	ʋêːrno
верност	ʋěːrnoːst
веровати	ʋêroʋati
вероватно	ʋêroʋaːtno
веровник	ʋerǒʋniːk
веродостојан	ʋerodǒːstoːjan
веродостојност	ʋerodostǒːjnoːst
вероисповед	ʋeroǐspoʋeːd
вероисповест	ʋeroǐspoʋeːst
вероучитељ	ʋeroǔt͡ʃiteʎ
веројатан	ʋêrojaːtan
веројатно	ʋêrojaːtno
веројатност	ʋerojǎːtnoːst
верс	ʋêrs
версајски	ʋěrsajskiː
версификатор	ʋersifǐkaːtor
версификација	ʋersifikǎːt͡sija
версифицирати	ʋersifit͡sǐːrati
верски	ʋěrskiː
вертикала	ʋertikǎːla
вертикалан	ʋêrtikaːlan
вертикалност	ʋertikǎːlnoːst
весалце	ʋesǎːlt͡se
веселити	ʋesěliti
веселица	ʋesělit͡sa
веселник	ʋěseːlniːk
весело	ʋêselo
веселост	ʋêseloːst
весео	ʋêseo
весељак	ʋesěʎaːk
весељаковић	ʋeseʎǎːkoʋit͡ɕ
весеље	ʋesěːʎe
веслар	ʋěslaːr
весларица	ʋeslǎrit͡sa
веслати	ʋěslati
веслач	ʋěslaːt͡ʃ
веслачица	ʋeslǎt͡ʃit͡sa
веслачки	ʋěslaːtʃki
веслачки	ʋěslaːtʃkiː
веслање	ʋěslaːɲe
весло	ʋěslo
весна	ʋêsna
весник	ʋêːsniːk
веспа	ʋêspa
веста	ʋêsta
вестерн	ʋěstern
вести	ʋêːsti
ветар	ʋêtar
ветеран	ʋetěraːn
ветерина	ʋeterǐːna
ветеринар	ʋeterǐnaːr
ветеринарка	ʋeterǐnaːrka
ветеринарски	ʋeterǐnaːrskiː
ветеринарство	ʋeterinǎːrstʋo
вето	ʋêːto
ветреушка	ʋetrěuʃka
ветрењак	ʋetrěɲaːk
ветрењаст	ʋêtreɲast
ветрењача	ʋetrěɲat͡ʃa
ветрина	ʋětrina
ветрић	ʋêtrit͡ɕ
ветробран	ʋêtrobraːn
ветровит	ʋetrǒʋit
вечан	ʋêt͡ʃan
вече	ʋêt͡ʃeː
вечер	ʋêt͡ʃeːr
вечера	ʋět͡ʃera
вечерас	ʋet͡ʃěras
вечерати	ʋět͡ʃerati
вечерашњи	ʋet͡ʃěraʃɲiː
вечерњи	ʋět͡ʃeːrɲiː
вечит	ʋět͡ʃit
вечно	ʋêt͡ʃno
веш	ʋêʃ
вешала	ʋêʃala
вешалица	ʋêʃalit͡sa
вешати	ʋêʃati
вешач	ʋěʃaːt͡ʃ
вешерица	ʋêʃerit͡sa
вешерка	ʋêʃeːrka
вешерница	ʋěʃeːrnit͡sa
вешмашина	ʋêʃmaʃiːna
вешплав	ʋêʃplaːʋ
вешт	ʋêʃt
вештак	ʋěʃtaːk
вештац	ʋěːʃtat͡s
вештачење	ʋeʃtǎːt͡ʃeːɲe
вештачити	ʋeʃtǎːt͡ʃiti
вештачки	ʋěʃtaːtʃki
вештачки	ʋěʃtaːtʃkiː
вештачки	ʋěːʃtatʃkiː
вештина	ʋeʃtǐna
вештица	ʋěʃtit͡sa
вешто	ʋêʃto
веђа	ʋêd͡ʑa
вејати	ʋêjati
већ	ʋêt͡ɕ
већати	ʋěːt͡ɕati
веће	ʋěːt͡ɕe
већина	ʋet͡ɕǐna
већином	ʋet͡ɕǐnoːm
већински	ʋětɕiːnski
већински	ʋětɕiːnskiː
ви	ʋîː
вигањ	ʋîɡaɲ
вид	ʋîːd
видеокасета	ʋideokasěta
видети	ʋîdeti
видик	ʋǐdiːk
видјела	ʋidjela
видјети	ʋîdjeti
видљив	ʋǐdʎiʋ
видљиво	ʋǐdʎiʋo
виза	ʋǐːza
визија	ʋîːzija
вика	ʋîka
викати	ʋǐːkati
викач	ʋǐkaːt͡ʃ
викачица	ʋikǎt͡ʃit͡sa
викенд	ʋǐkend
викнути	ʋǐːknuti
викторија	ʋǐktoːrija
вила	ʋîla
вила	ʋǐːla
виле	ʋîle
вилица	ʋîlit͡sa
виме	ʋîme
винар	ʋǐnaːr
виноград	ʋǐnoɡraːd
виолина	ʋiolǐːna
виолончело	ʋiolǒnt͡ʃelo
виролог	ʋirǒloɡ
вирологија	ʋirolǒɡija
виршла	ʋǐrʃla
вис	ʋîːs
висак	ʋǐːsak
висина	ʋisǐna
висиномер	ʋîsinomeːr
висиномјер	ʋîsinomjeːr
висински	ʋǐsiːnskiː
висити	ʋîsiti
виски	ʋîski
висок	ʋǐsok
високо	ʋisǒko
висораван	ʋîsoraːʋan
виспрен	ʋîspren
висјети	ʋîsjeti
виталан	ʋîtaːlan
витално	ʋîtaːlno
виталност	ʋitǎːlnoːst
вити	ʋîti
витраж	ʋǐtraːʒ
витрај	ʋǐtraj
витрина	ʋitrǐːna
вичан	ʋît͡ʃan
вишак	ʋǐːʃak
више	ʋîʃe
више	ʋîʃeː
вишезначан	ʋiʃěznat͡ʃan
вишезначност	ʋiʃěznat͡ʃnoːst
вишестран	ʋiʃěstran
вишња	ʋîʃɲa
виђати	ʋǐːd͡ʑati
вијадукт	ʋijǎdukt
вијак	ʋǐːjak
вијенац	ʋijěːnat͡s
вијетнам	ʋîjetnam
вијетнамски	ʋîjetnamskiː
вијећати	ʋijěːt͡ɕati
вијеће	ʋijěːt͡ɕe
вијуга	ʋǐjuɡa
виљушка	ʋǐʎuʃka
влага	ʋlâɡa
владавина	ʋlǎdaʋina
владар	ʋlǎdaːr
владарев	ʋladǎːreʋ
владарски	ʋlǎdaːrski
владарски	ʋlǎdaːrskiː
владати	ʋlǎːdati
владајући	ʋlǎːdajuːt͡ɕiː
владање	ʋlǎːdaːɲe
владин	ʋlǎːdin
влажан	ʋlâʒan
влажити	ʋlâʒiti
влажност	ʋlâʒnoːst
влак	ʋlâːk
влаканце	ʋlakǎːnt͡se
влакно	ʋlǎːkno
влас	ʋlâːs
власац	ʋlǎːsat͡s
власник	ʋlâːsniːk
власница	ʋlâːsnit͡sa
власништво	ʋlâːsniːʃtʋo
власт	ʋlâːst
властела	ʋlastěla
властелин	ʋlastěliːn
властелински	ʋlastěliːnskiː
властит	ʋlǎstit
влат	ʋlâːt
влах	ʋlâx
во	ʋôː
вод	ʋôːd
вода	ʋǒda
воден	ʋǒden
воденица	ʋoděnit͡sa
водећи	ʋǒdeːt͡ɕiː
водитељ	ʋǒditeʎ
водитељица	ʋoditěʎit͡sa
водити	ʋǒditi
водич	ʋǒdiːt͡ʃ
водовод	ʋôdoʋoːd
водоинсталатер	ʋodoinstalǎteːr
водомар	ʋôdomaːr
водомер	ʋôdomeːr
водомјер	ʋôdomjeːr
водоноша	ʋodǒnoʃa
водопад	ʋôdopaːd
водопија	ʋodǒpija
водораван	ʋôdoraːʋan
водоравно	ʋôdoraːʋno
вожња	ʋǒʒɲa
воз	ʋôːz
возар	ʋǒzaːr
возарина	ʋozǎrina
возати	ʋǒːzati
возач	ʋǒzaːt͡ʃ
возачица	ʋozǎt͡ʃit͡sa
возачки	ʋǒzaːtʃki
возачки	ʋǒzaːtʃkiː
возило	ʋǒzilo
возити	ʋǒziti
вокација	ʋokǎːt͡sija
вол	ʋôːl
волга	ʋôːlɡa
волети	ʋǒleti
воловски	ʋǒloʋski
воловски	ʋǒloʋskiː
восак	ʋôsak
воскар	ʋôskaːr
вошплав	ʋôʃplaːʋ
воштан	ʋǒʃtan
воштаница	ʋoʃtǎnit͡sa
воштар	ʋǒʃtaːr
воштити	ʋǒʃtiti
војак	ʋǒjaːk
војачки	ʋǒjaːt͡ʃkiː
војвода	ʋǒjʋoda
војводина	ʋǒjʋodina
војводство	ʋǒjʋodstʋo
војвоткиња	ʋǒjʋotkiɲa
војевати	ʋojěʋati
војислав	ʋǒjislaʋ
војна	ʋôːjna
војни	ʋôːjniː
војник	ʋǒjniːk
војничина	ʋojnǐt͡ʃina
војнички	ʋǒjniːt͡ʃki
војнички	ʋǒjniːt͡ʃkiː
војништво	ʋojnǐːʃtʋo
војска	ʋǒːjska
војсковођа	ʋôjskoʋod͡ʑa
воља	ʋôʎa
вољан	ʋǒːʎan
вољети	ʋǒʎeti
вољно	ʋôːʎno
воњ	ʋôːɲ
воњати	ʋǒɲati
воће	ʋǒt͡ɕe
воћни	ʋôt͡ɕniː
воћњак	ʋôt͡ɕɲaːk
врабац	ʋrǎːbat͡s
враг	ʋrâːɡ
враголан	ʋraɡǒlaːn
враголаст	ʋraɡǒlast
враголија	ʋraɡǒlija
вражић	ʋrǎʒit͡ɕ
вражји	ʋrǎʒjiː
вран	ʋrâːn
врана	ʋrâna
вранац	ʋrǎːnat͡s
врапчић	ʋrǎpt͡ʃit͡ɕ
врат	ʋrâːt
врата	ʋrǎːta
вратар	ʋrǎtaːr
вратарица	ʋratǎrit͡sa
вратарка	ʋrǎtaːrka
вратити	ʋrǎːtiti
вратич	ʋrǎtit͡ʃ
вратни	ʋrâːtniː
вратница	ʋrâtnit͡sa
вратоломан	ʋrâtoloːman
вратоломија	ʋratolǒmija
врач	ʋrâːt͡ʃ
врачара	ʋrǎt͡ʃara
врачати	ʋrǎːt͡ʃati
врањ	ʋrâːɲ
враћати	ʋrât͡ɕati
врба	ʋřːba
врбовина	ʋřboʋina
врг	ʋr̂ɡ
вргањ	ʋřɡaːɲ
вргнути	ʋr̂ɡnuti
вребати	ʋrěːbati
вребач	ʋrěbaːt͡ʃ
врева	ʋrêʋa
вредан	ʋrěːdan
вредети	ʋrěːdeti
вредновати	ʋrêdnoʋati
вредност	ʋrěːdnoːst
вредноћа	ʋrednǒt͡ɕa
врежа	ʋrêːʒa
врело	ʋrêlo
време	ʋrěːme
временит	ʋreměnit
временски	ʋrêmenski
временски	ʋrêmenskiː
времешан	ʋrêmeːʃan
врео	ʋrêo
врес	ʋrêːs
вретенар	ʋretěnaːr
вретено	ʋretěno
врети	ʋrêti
вретна	ʋrêtna
вређати	ʋrěːd͡ʑati
врење	ʋrěːɲe
врећа	ʋrêt͡ɕa
врећаст	ʋrêt͡ɕast
врзмати	ʋr̂zmati
врисак	ʋrîːsak
вриска	ʋrîska
врискати	ʋrîskati
вриснути	ʋrǐːsnuti
вриштав	ʋrǐʃtaʋ
вриштати	ʋrǐːʃtati
вриједан	ʋrjěːdan
вриједити	ʋrijěːditi
вриједност	ʋrjěːdnoːst
вријежа	ʋrijêːʒa
вријеме	ʋrijěːme
вријес	ʋrijêːs
вријеђати	ʋrijěːd͡ʑati
врлет	ʋr̂leːt
врлетан	ʋr̂leːtan
врли	ʋr̂liː
врлина	ʋrlǐna
врло	ʋr̂lo
врлудав	ʋrlǔdaʋ
врлудати	ʋrlǔdati
