ก.	kɔː˧
ชนม์	t͡ɕʰon˧
ชนม์พรรษา	t͡ɕʰon˧.pʰan˧.saː˩˩˦
ชนวน	t͡ɕʰa˦˥.nua̯n˧
ชนะ	t͡ɕʰa˦˥.naʔ˦˥
ชนิด	t͡ɕʰa˦˥.nit̚˦˥
ชบา	t͡ɕʰa˦˥.baː˧
ชม	t͡ɕʰom˧
ชมพู	t͡ɕʰom˧.pʰuː˧
ชมพูทวีป	t͡ɕʰom˧.pʰuː˧.tʰa˦˥.wiːp̚˥˩
ชมพู่	t͡ɕʰom˧.pʰuː˥˩
ชมรม	t͡ɕʰom˧.rom˧
ชยันโต	t͡ɕʰa˦˥.jan˧.toː˧
ชรา	t͡ɕʰa˦˥.raː˧
ชล	t͡ɕʰon˧,t͡ɕʰon˧.la˦˥.
ชลธาร	t͡ɕʰon˧.la˦˥.tʰaːn˧
ชลธี	t͡ɕʰon˧.la˦˥.tʰiː˧
ชลบุรี	t͡ɕʰon˧.bu˨˩.riː˧
ชลประทาน	t͡ɕʰon˧.la˦˥.pra˨˩.tʰaːn˧,t͡ɕʰon˧.pra˨˩.tʰaːn˧
ชลิตา	t͡ɕʰa˦˥.li˦˥.taː˧
ชลูกา	t͡ɕʰa˦˥.luː˧.kaː˧
ชวด	t͡ɕʰua̯t̚˥˩
ชวดศก	t͡ɕʰua̯t̚˥˩.sok̚˨˩
ชวน	t͡ɕʰa˦˥.wa˦˥.na˦˥.,t͡ɕʰua̯n˧
ชวร	t͡ɕʰua̯n˧
ชวา	t͡ɕʰa˦˥.waː˧
ชอบ	t͡ɕʰɔːp̚˥˩
ชอบธรรม	t͡ɕʰɔːp̚˥˩.tʰam˧
ชอปปิ้ง	t͡ɕʰɔp̚˦˥.piŋ˧
ชอล์ก	t͡ɕʰɔk̚˦˥
ชอล์ค	t͡ɕʰɔk̚˦˥
ชะ	t͡ɕʰaʔ˦˥
ชะตา	t͡ɕʰa˦˥.taː˧
ชะนี	t͡ɕʰa˦˥.niː˧
ชะพลู	t͡ɕʰa˦˥.pʰluː˧
ชะมด	t͡ɕʰa˦˥.mot̚˦˥
ชะมัด	t͡ɕʰa˦˥.mat̚˦˥
ชะรอย	t͡ɕʰa˦˥.rɔːj˧
ชะอม	t͡ɕʰa˦˥.ʔom˧
ชะเนียง	t͡ɕʰa˦˥.nia̯ŋ˧
ชะเอม	t͡ɕʰa˦˥.ʔeːm˧
ชัก	t͡ɕʰak̚˦˥
ชักดาบ	t͡ɕʰak̚˦˥.daːp̚˨˩
ชักภาพ	t͡ɕʰak̚˦˥.pʰaːp̚˥˩
ชักว่าว	t͡ɕʰak̚˦˥.waːw˥˩,t͡ɕʰak̚˦˥.waw˥˩
ชักเย่อ	t͡ɕʰak̚˦˥.ka˨˩.jɤː˥˩
ชักแม่น้ำทั้งห้า	t͡ɕʰak̚˦˥.mɛː˥˩.naːm˦˥.tʰaŋ˦˥.haː˥˩
ชักโครก	t͡ɕʰak̚˦˥.kʰroːk̚˥˩
ชักใย	t͡ɕʰak̚˦˥.jaj˧
ชัง	t͡ɕʰaŋ˧
ชัด	t͡ɕʰat̚˦˥
ชัดเจน	t͡ɕʰat̚˦˥.t͡ɕeːn˧
ชัน	t͡ɕʰan˧
ชันษา	t͡ɕʰan˧.na˦˥.saː˩˩˦
ชันสูตรพลิกศพ	t͡ɕʰan˧.na˦˥.suːt̚˨˩.pʰlik̚˦˥.sop̚˨˩
ชัย	t͡ɕʰaj˧.ja˦˥.,t͡ɕʰaj˧
ชัยชนะ	t͡ɕʰaj˧.t͡ɕʰa˦˥.naʔ˦˥
ชัยนาท	t͡ɕʰaj˧.naːt̚˥˩
ชัยภูมิ	t͡ɕʰaj˧.ja˦˥.pʰuːm˧
ชัลลุกะ	t͡ɕʰan˧.lu˦˥.kaʔ˨˩
ชัลลุกา	t͡ɕʰan˧.lu˦˥.kaː˧
ชั่ง	t͡ɕʰaŋ˥˩
ชั่ว	t͡ɕʰua̯˥˩
ชั่วคราว	t͡ɕʰua̯˥˩.kʰraːw˧
ชั่วช้า	t͡ɕʰua̯˥˩.t͡ɕʰaː˦˥
ชั่วนาตาปี	t͡ɕʰua̯˥˩.naː˧.taː˧.piː˧
ชั่วร้าย	t͡ɕʰua̯˥˩.raːj˦˥
ชั่วโมง	t͡ɕʰua̯˥˩.moːŋ˧
ชั้น	t͡ɕʰan˦˥
ชั้นเชิง	t͡ɕʰan˦˥.t͡ɕʰɤːŋ˧
ชั้นใน	t͡ɕʰan˦˥.naj˧
ชา	t͡ɕʰaː˧
ชาขาว	t͡ɕʰaː˧.kʰaːw˩˩˦
ชาชัก	t͡ɕʰaː˧.t͡ɕʰak̚˦˥
ชาด	t͡ɕʰaːt̚˥˩,t͡ɕʰaːt̚˦˥
ชาดก	t͡ɕʰaː˧.dok̚˨˩
ชาตรูป	t͡ɕʰaː˧.ta˨˩.ruːp̚˥˩
ชาติ	t͡ɕʰaːt̚˥˩,t͡ɕʰaːt̚˥˩.ti˨˩.
ชาตินิยม	t͡ɕʰaːt̚˥˩.ni˦˥.jom˧
ชาติพันธุ์	t͡ɕʰaːt̚˥˩.ti˨˩.pʰan˧
ชาติพันธุ์วรรณนา	t͡ɕʰaːt̚˥˩.ti˨˩.pʰan˧.wan˧.na˦˥.naː˧
ชาน	t͡ɕʰaːn˧
ชานกำแพง	t͡ɕʰaːn˧.kam˧.pʰɛːŋ˧
ชานชาลา	t͡ɕʰaːn˧.t͡ɕʰaː˧.laː˧
ชานม	t͡ɕʰaː˧.nom˧
ชานมไข่มุก	t͡ɕʰaː˧.nom˧.kʰaj˨˩.muk̚˦˥
ชานอ้อย	t͡ɕʰaːn˧.ʔɔj˥˩
ชานเมือง	t͡ɕʰaːn˧.mɯa̯ŋ˧
ชาม	t͡ɕʰaːm˧
ชาย	t͡ɕʰaːj˧
ชายคา	t͡ɕʰaːj˧.kʰaː˧
ชายฝั่ง	t͡ɕʰaːj˧.faŋ˨˩
ชายรักร่วมเพศ	t͡ɕʰaːj˧.rak̚˦˥.rua̯m˥˩.pʰeːt̚˥˩
ชายหาด	t͡ɕʰaːj˧.haːt̚˨˩
ชายา	t͡ɕʰaː˧.jaː˧
ชายแดน	t͡ɕʰaːj˧.dɛːn˧
ชาร์จ	t͡ɕʰaːt̚˦˥
ชาร์ป	t͡ɕʰaːp̚˦˥
ชาว	t͡ɕʰaːw˧
ชาวนา	t͡ɕʰaːw˧.naː˧
ชาวบน	t͡ɕʰaːw˧.bon˧
ชาวบ้าน	t͡ɕʰaːw˧.baːn˥˩
ชาวประมง	t͡ɕʰaːw˧.pra˨˩.moŋ˧
ชาวสวน	t͡ɕʰaːw˧.sua̯n˩˩˦
ชาวสีม่วง	t͡ɕʰaːw˧.siː˩˩˦.mua̯ŋ˥˩
ชาวสีรุ้ง	t͡ɕʰaːw˧.siː˩˩˦.ruŋ˦˥
ชาวเขา	t͡ɕʰaːw˧.kʰaw˩˩˦
ชาวเน็ต	t͡ɕʰaːw˧.net̚˨˩
ชาวเน็ท	t͡ɕʰaːw˧.net̚˨˩
ชาวไร่	t͡ɕʰaːw˧.raj˥˩
ชาอูหลง	t͡ɕʰaː˧.ʔuː˧.loŋ˩˩˦
ชาเขียว	t͡ɕʰaː˧.kʰia̯w˩˩˦
ชาเย็น	t͡ɕʰaː˧.jen˧
ชาแดง	t͡ɕʰaː˧.dɛːŋ˧
ชาไข่มุก	t͡ɕʰaː˧.kʰaj˨˩.muk̚˦˥
ชำนาญ	t͡ɕʰam˧.naːn˧
ชำระ	t͡ɕʰam˧.raʔ˦˥
ชำเรา	t͡ɕʰam˧.raw˧
ชำแรก	t͡ɕʰam˧.rɛːk̚˥˩
ชิง	t͡ɕʰiŋ˧
ชิงชัง	t͡ɕʰiŋ˧.t͡ɕʰaŋ˧
ชิงชัน	t͡ɕʰiŋ˧.t͡ɕʰan˧
ชิงช้า	t͡ɕʰiŋ˧.t͡ɕʰaː˦˥
ชิงช้าสวรรค์	t͡ɕʰiŋ˧.t͡ɕʰaː˦˥.sa˨˩.wan˩˩˦
ชิงทรัพย์	t͡ɕʰiŋ˧.sap̚˦˥
ชิงสุกก่อนห่าม	t͡ɕʰiŋ˧.suk̚˨˩.kɔːn˨˩.haːm˨˩
ชิงหมาเกิด	t͡ɕʰiŋ˧.maː˩˩˦.kɤːt̚˨˩
ชิด	t͡ɕʰit̚˦˥
ชิน	t͡ɕʰin˧
ชิบหาย	t͡ɕʰip̚˦˥.haːj˩˩˦
ชิม	t͡ɕʰim˧
ชิมแปนซี	t͡ɕʰim˧.pɛːn˧.siː˧
ชิลลา	t͡ɕʰin˧.laː˧,t͡ɕʰil˧.laː˧
ชิลี	t͡ɕʰi˦˥.liː˧
ชิว	t͡ɕʰiw˧
ชิวหา	t͡ɕʰiw˧.haː˩˩˦
ชิเมจิ	t͡ɕʰi˦˥.meː˧.t͡ɕiʔ˨˩
ชิ่ง	t͡ɕʰiŋ˥˩
ชิ้น	t͡ɕʰin˦˥
ชี	t͡ɕʰiː˧
ชีตาห์	t͡ɕʰiː˧.taː˥˩
ชีพ	t͡ɕʰiːp̚˥˩.pʰa˦˥.,t͡ɕʰiːp̚˥˩
ชีพจร	t͡ɕʰiːp̚˥˩.pʰa˦˥.t͡ɕɔːn˧
ชีล้อม	t͡ɕʰiː˧.lɔːm˦˥
ชีวนิเวศ	t͡ɕʰiː˧.wa˦˥.ni˦˥.weːt̚˥˩
ชีวประวัติ	t͡ɕʰiː˧.wa˦˥.pra˨˩.wat̚˨˩
ชีววิทยา	t͡ɕʰiː˧.wa˦˥.wit̚˦˥.tʰa˦˥.jaː˧
ชีวิต	t͡ɕʰiː˧.wit̚˦˥
ชีวิตชีวา	t͡ɕʰiː˧.wit̚˦˥.t͡ɕʰiː˧.waː˧
ชีส	t͡ɕʰiːs˦˥
ชี้	t͡ɕʰiː˦˥
ชี้ต้าน	t͡ɕʰiː˦˥.taːn˥˩
ชี้ฟ้า	t͡ɕʰiː˦˥.faː˦˥
ชี้แจง	t͡ɕʰiː˦˥.t͡ɕɛːŋ˧
ชื่น	t͡ɕʰɯːn˥˩
ชื่นชม	t͡ɕʰɯːn˥˩.t͡ɕʰom˧
ชื่นชอบ	t͡ɕʰɯːn˥˩.t͡ɕʰɔːp̚˥˩
ชื่นใจ	t͡ɕʰɯːn˥˩.t͡ɕaj˧
ชื่อ	t͡ɕʰɯː˥˩
ชื่อผู้ใช้	t͡ɕʰɯː˥˩.pʰuː˥˩.t͡ɕʰaj˦˥
ชื่อสกุล	t͡ɕʰɯː˥˩.sa˨˩.kun˧
ชื่อเรื่อง	t͡ɕʰɯː˥˩.rɯa̯ŋ˥˩
ชื่อเล่น	t͡ɕʰɯː˥˩.len˥˩
ชื่อเสีย	t͡ɕʰɯː˥˩.sia̯˩˩˦
ชื่อเสียง	t͡ɕʰɯː˥˩.sia̯ŋ˩˩˦
ชื้น	t͡ɕʰɯːn˦˥
ชุด	t͡ɕʰut̚˦˥
ชุดชั้นใน	t͡ɕʰut̚˦˥.t͡ɕʰan˦˥.naj˧
ชุดนอน	t͡ɕʰut̚˦˥.nɔːn˧
ชุดว่ายน้ำ	t͡ɕʰut̚˦˥.waːj˥˩.naːm˦˥
ชุบ	t͡ɕʰup̚˦˥
ชุบชีวิต	t͡ɕʰup̚˦˥.t͡ɕʰiː˧.wit̚˦˥
ชุม	t͡ɕʰum˧
ชุมชน	t͡ɕʰum˧.t͡ɕʰon˧
ชุมชนแออัด	t͡ɕʰum˧.t͡ɕʰon˧.ʔɛː˧.ʔat̚˨˩
ชุมนุม	t͡ɕʰum˧.num˧
ชุมพร	t͡ɕʰum˧.pʰɔːn˧
ชุ่ม	t͡ɕʰum˥˩
ชุ่ย	t͡ɕʰuj˥˩
ชู	t͡ɕʰuː˧
ชูการ์ไกลเดอร์	t͡ɕʰuː˧.kaː˥˩.klaj˧.dɤː˥˩
ชู้	t͡ɕʰuː˦˥
ชู้สาว	t͡ɕʰuː˦˥.saːw˩˩˦
ชโย	t͡ɕʰa˦˥.joː˧
ช็อกโกแลต	t͡ɕʰɔk̚˦˥.koː˧.lɛt̚˦˥
ช็อคโกแลต	t͡ɕʰɔk̚˥˩.kʰoː˧.lɛt̚˦˥
ช่วง	t͡ɕʰua̯ŋ˥˩
ช่วงชิง	t͡ɕʰua̯ŋ˥˩.t͡ɕʰiŋ˧
ช่วย	t͡ɕʰua̯j˥˩
ช่วยตัวเอง	t͡ɕʰua̯j˥˩.tua̯˧.ʔeːŋ˧
ช่วยเหลือ	t͡ɕʰua̯j˥˩.lɯa̯˩˩˦
ช่อ	t͡ɕʰɔː˥˩
ช่อง	t͡ɕʰɔŋ˥˩
ช่องคลอด	t͡ɕʰɔŋ˥˩.kʰlɔːt̚˥˩
ช่องคอ	t͡ɕʰɔŋ˥˩.kʰɔː˧
ช่องท้อง	t͡ɕʰɔŋ˥˩.tʰɔːŋ˦˥
ช่องบาดาล	t͡ɕʰɔŋ˥˩.baː˧.daːn˧
ช่องว่าง	t͡ɕʰɔŋ˥˩.waːŋ˥˩
ช่องอก	t͡ɕʰɔŋ˥˩.ʔok̚˨˩
ช่องเขา	t͡ɕʰɔŋ˥˩.kʰaw˩˩˦
ช่องแคบ	t͡ɕʰɔŋ˥˩.kʰɛːp̚˥˩
ช่องโค้ง	t͡ɕʰɔːŋ˥˩.kʰoːŋ˦˥
ช่องโหว่	t͡ɕʰɔŋ˥˩.woː˨˩
ช่องไฟ	t͡ɕʰɔŋ˥˩.faj˧
ช่อฟ้า	t͡ɕʰɔː˥˩.faː˦˥
ช่ะ	t͡ɕʰaʔ˨˩,t͡ɕʰaʔ˥˩
ช่าง	t͡ɕʰaːŋ˥˩
ช่างตัดผม	t͡ɕʰaːŋ˥˩.tat̚˨˩.pʰom˩˩˦
ช่างทอง	t͡ɕʰaːŋ˥˩.tʰɔːŋ˧
ช่างฝีมือ	t͡ɕʰaːŋ˥˩.fiː˩˩˦.mɯː˧
ช่างภาพ	t͡ɕʰaŋ˥˩.pʰaːp̚˥˩
ช่างหล่อ	t͡ɕʰaːŋ˥˩.lɔː˨˩
ช่างเครื่อง	t͡ɕʰaːŋ˥˩.kʰrɯa̯ŋ˥˩
ช่างแต่งผม	t͡ɕʰaːŋ˥˩.tɛːŋ˨˩.pʰom˩˩˦
ช่างไม้	t͡ɕʰaːŋ˥˩.maːj˦˥
ช้อน	t͡ɕʰɔːn˦˥
ช้อนชา	t͡ɕʰɔːn˦˥.t͡ɕʰaː˧
ช้อนซุป	t͡ɕʰɔːn˦˥.sup̚˦˥
ช้อนโต๊ะ	t͡ɕʰɔːn˦˥.toʔ˦˥
ช้อปปิ้ง	t͡ɕʰɔp̚˦˥.piŋ˥˩
ช้อย	t͡ɕʰɔːj˦˥
ช้า	t͡ɕʰaː˦˥
ช้าก่อน	t͡ɕʰaː˦˥.kɔːn˨˩
ช้าง	t͡ɕʰaːŋ˦˥
ช้างตายทั้งตัวเอาใบบัวมาปิด	t͡ɕʰaːŋ˦˥.taːj˧.tʰaŋ˦˥.tua̯˧.ʔaw˧.baj˧.bua̯˧.maː˧.pit̚˨˩
ช้างน้ำ	t͡ɕʰaːŋ˦˥.naːm˦˥
ช้างม้าวัวควาย	t͡ɕʰaːŋ˦˥.maː˦˥.wua̯˧.kʰwaːj˧
ช้างเผือก	t͡ɕʰaːŋ˦˥.pʰɯa̯k̚˨˩
ช้าพลู	t͡ɕʰaː˦˥.pʰluː˧
ช้ำ	t͡ɕʰam˦˥
ซ	sɔː˧
ซด	sot̚˦˥
ซน	son˧
ซบ	sop̚˦˥
ซวย	sua̯j˧
ซอ	sɔː˧
ซอก	sɔːk̚˥˩
ซอกระป๋อง	sɔː˧.kra˨˩.pɔŋ˩˩˦
ซอง	sɔːŋ˧
ซองกระสุน	sɔːŋ˧.kra˨˩.sun˩˩˦
ซองจดหมาย	sɔːŋ˧.t͡ɕot̚˨˩.maːj˩˩˦
ซอด้วง	sɔː˧.dua̯ŋ˥˩
ซอบั้ง	sɔː˧.baŋ˥˩
ซอปี๊บ	sɔː˧.piːp̚˦˥
ซอฟต์เสิร์ฟ	sɔːf˦˥.sɤːf˨˩
ซอฟต์แวร์	sɔːp̚˦˥.wɛː˧,sɔːf˦˥.wɛː˧
ซอมซ่อ	sɔːm˧.ma˦˥.sɔː˥˩
ซอมบี	sɔm˧.biː˥˩
ซอย	sɔːj˧
ซอส	sɔːs˦˥,sɔːt̚˦˥
ซอสถั่วเหลือง	sɔːt̚˦˥.tʰua̯˨˩.lɯa̯ŋ˩˩˦,sɔːs˦˥.tʰua̯˨˩.lɯa̯ŋ˩˩˦
ซอสหอยนางรม	sɔːt̚˦˥.hɔj˩˩˦.naːŋ˧.rom˧
ซอสามสาย	sɔː˧.saːm˩˩˦.saːj˩˩˦
ซออู้	sɔː˧.ʔuː˥˩
ซะ	saʔ˦˥
ซัก	sak̚˦˥
ซักฟอก	sak̚˦˥.fɔːk̚˥˩
ซักรีด	sak̚˦˥.riːt̚˥˩
ซักอบรีด	sak̚˦˥.ʔop̚˨˩.riːt̚˥˩
ซัด	sat̚˦˥
ซัดทอด	sat̚˦˥.tʰɔːt̚˥˩
ซันเด	san˧.deː˧
ซับ	sap̚˦˥
ซับซ้อน	sap̚˦˥.sɔːn˦˥
ซัลเฟอร์	sal˧.fɤː˥˩
ซัวเถา	sua̯˧.tʰaw˩˩˦
ซา	saː˧
ซาก	saːk̚˥˩
ซากดึกดำบรรพ์	saːk̚˥˩.dɯk̚˨˩.dam˧.ban˧
ซาตาน	saː˧.taːn˧
ซานตา	saːn˧.taː˥˩
ซานตาคลอส	saːn˧.taː˧.kʰlɔːs˦˥
ซานมารีโน	saːn˧.maː˧.riː˧.noː˥˩
ซานา	saː˧.naː˧
ซามัว	saː˧.mua̯˧
ซามูไร	saː˧.muː˧.raj˧
ซาย	saːj˧
ซาร์	saː˧
ซาละเปา	saː˧.la˦˥.paw˧
ซาลาเปา	saː˧.laː˧.paw˧
ซาลาแมนเดอร์	saː˧.laː˧.mɛːn˧.dɤː˧
ซาว	saːw˧
ซาอุดีอาระเบีย	saː˧.ʔu˨˩.diː˧.ʔaː˧.ra˦˥.bia̯˧,saː˧.ʔu˨˩.diː˧.ʔaː˧.ra˦˥.bia̯˨˩
ซาฮารา	saː˧.haː˧.raː˧
ซาฮาราตะวันตก	saː˧.haː˧.raː˧.ta˨˩.wan˧.tok̚˨˩
ซาฮาลิน	saː˧.haː˧.lin˧
ซาเกร็บ	saː˧.krep̚˦˥
ซาแมเรียม	saː˧.mɛː˧.ria̯m˥˩
ซาโมวาร์	saː˧.moː˧.waː˧
ซิ	siʔ˦˥
ซิกมา	sik̚˦˥.maː˥˩
ซิการ์	si˦˥.kaː˥˩
ซิง	siŋ˧
ซิงก์	siŋ˦˥
ซิงเกิล	siŋ˧.kɤn˥˩
ซิดนีย์	sit̚˦˥.niː˥˩
ซินต์มาร์เติน	sin˦˥.maː˧.tɤn˥˩
ซินเดอเรลล่า	sin˧.dɤː˧.ren˧.laː˥˩,sin˧.dɤː˧.rel˧.laː˥˩
ซินแส	sin˧.sɛː˩˩˦
ซิป	sip̚˦˥
ซิมบับเว	sim˧.bap̚˦˥.weː˧,sim˧.bap̚˨˩.weː˧
ซิลิคอน	si˦˥.li˦˥.kʰɔn˥˩
ซิว	siw˧
ซิ่ง	siŋ˥˩
ซิ่น	sin˥˩
ซิ่ว	siw˥˩
ซี	siː˧
ซีก	siːk̚˥˩
ซีกโลก	siːk̚˥˩.loːk̚˥˩
ซีซาร์	siː˧.saː˧
ซีด	siːt̚˥˩
ซีดี	siː˧.diː˧
ซีตา	siː˧.taː˥˩
ซีนอน	siː˧.nɔn˥˩
ซีบอร์เกียม	siː˧.bɔː˧.kia̯m˥˩
ซีพียู	siː˧.pʰiː˧.juː˧
ซีฟู้ด	siː˧.fuːt̚˦˥
ซีฟู๊ด	siː˧.fuːt̚˦˥
ซีริลลิก	siː˧.ril˧.lik̚˨˩
ซีรีย์	siː˧.riː˥˩
ซีรีส์	siː˧.riː˥˩
ซีรีเบลลัม	siː˧.riː˧.beːl˧.lam˥˩
ซีรี่ย์	siː˧.riː˥˩
ซีร็อกซ์	siː˧.rɔk̚˨˩
ซีลีเนียม	siː˧.liː˧.nia̯m˥˩
ซีอิ๊ว	siː˧.ʔiw˦˥
ซีเซียม	siː˧.sia̯m˥˩
ซีเมนต์	siː˧.men˧
ซีเรีย	siː˧.ria̯˧
ซีเรียม	siː˧.ria̯m˥˩
ซีเรียส	siː˧.ria̯t̚˥˩
ซี่	siː˥˩
ซี่โครง	siː˥˩.kʰroːŋ˧
ซี้	siː˦˥
ซี้ซั้ว	siː˦˥.sua̯˦˥
ซึง	sɯŋ˧
ซึนเดเระ	sɯn˧.deː˧.reʔ˦˥
ซึม	sɯm˧
ซึ่ง	sɯŋ˥˩
ซึ้ง	sɯŋ˦˥
ซื่อ	sɯː˥˩
ซื่อสัตย์	sɯː˥˩.sat̚˨˩
ซื้อ	sɯː˦˥
ซื้อของ	sɯː˦˥.kʰɔːŋ˩˩˦
ซื้อขาย	sɯː˦˥.kʰaːj˩˩˦
ซุก	suk̚˦˥
ซุง	suŋ˧
ซุบซิบ	sup̚˦˥.sip̚˦˥
ซุป	sup̚˦˥
ซุ่ม	sum˥˩
ซุ่มซ่าม	sum˥˩.saːm˥˩
ซุ้ม	sum˦˥
ซูชิ	suː˧.t͡ɕʰiʔ˦˥
ซูดาน	suː˧.daːn˧
ซูดานใต้	suː˧.daːn˧.taːj˥˩
ซูม	suːm˧
ซูรินาม	suː˧.ri˦˥.naːm˧
ซูรินาเม	suː˧.ri˦˥.naː˧.meː˧
ซูเปอร์มาร์เก็ต	suː˧.pɤː˥˩.maː˧.ket̚˥˩
ซูเฟล	suː˧.fleː˥˩
ซูโม่	suː˧.moː˥˩
ซ็อกเก็ต	sɔk̚˦˥.ket̚˨˩
ซ่อง	sɔŋ˥˩
ซ่องโจร	sɔŋ˥˩.t͡ɕoːn˧
ซ่องโสเภณี	sɔːŋ˥˩.soː˩˩˦.pʰeː˧.niː˧
ซ่อน	sɔːn˥˩
ซ่อม	sɔm˥˩
ซ่า	saː˥˩
ซ่าน	saːn˥˩
ซ้อ	sɔː˦˥
ซ้อน	sɔːn˦˥
ซ้อม	sɔːm˦˥
ซ้าย	saːj˦˥
ซ้ำ	sam˦˥
ซ้ำซาก	sam˦˥.saːk̚˥˩
ซ้ำเติม	sam˦˥.tɤːm˧
ฌ	t͡ɕʰɔː˧
ฌาน	t͡ɕʰaːn˧
ฌาปน	t͡ɕʰaː˧.pa˨˩.na˦˥.
ฌาปนกิจ	t͡ɕʰaː˧.pa˨˩.na˦˥.kit̚˨˩
ฌาปนสถาน	t͡ɕʰaː˧.pa˨˩.na˦˥.sa˨˩.tʰaːn˩˩˦
ญ	jɔː˧
ญวน	jua̯n˧
ญัตติ	jat̚˦˥.tiʔ˨˩
ญาณ	jaːn˧.na˦˥.,jaːn˧,jaː˧.na˦˥.
ญาณวิทยา	jaːn˧.na˦˥.wit̚˦˥.tʰa˦˥.jaː˧,jaː˧.na˦˥.wit̚˦˥.tʰa˦˥.jaː˧
ญาณี	jaː˧.niː˧
ญาดา	jaː˧.daː˧
ญาติ	jaː˧.ti˨˩.,jaːt̚˥˩.ti˨˩.,jaːt̚˥˩
ญาติดี	jaːt̚˥˩.diː˧
ญาติพี่น้อง	jaːt̚˥˩.pʰiː˥˩.nɔːŋ˦˥
ญิบ	jip̚˦˥
ญี่ปุ่น	jiː˥˩.pun˨˩
ญ้อ	jɔː˦˥
ฎ	dɔː˧
ฎีกา	diː˧.kaː˧
ฏ	tɔː˧
ฐ	tʰɔː˩˩˦
ฐาน	tʰaːn˩˩˦
ฐานข้อมูล	tʰaːn˩˩˦.kʰɔː˥˩.muːn˧
ฐานทัพ	tʰaːn˩˩˦.tʰap̚˦˥
ฐานรองดอก	tʰaːn˩˩˦.rɔːŋ˧.dɔːk̚˨˩
ฐานะ	tʰaː˩˩˦.naʔ˦˥
ฐานันดร	tʰaː˩˩˦.nan˧.dɔːn˧
ฐิติ	tʰi˨˩.tiʔ˨˩
ฑ	tʰɔː˧
ฑังส	tʰaŋ˧.saʔ˨˩
ฑาก	daː˧.ka˨˩.
ฑาหก	tʰaː˧.hok̚˨˩
ฑาหะ	tʰaː˧.haʔ˨˩
ฑูต	tʰuːt̚˥˩
ฒ	tʰɔː˧
ฒากา	tʰaː˧.kaː˧
ณ	naʔ˦˥,nɔː˧
ณ.	naʔ˦˥
ณครรลำภาง	na˦˥.kʰɔːn˧.lam˧.pʰaːŋ˧
ด	dɔː˧
ดก	dok̚˨˩
ดง	doŋ˧
ดนตรี	don˧.triː˧
ดม	dom˧
ดยุก	da˨˩.juk̚˦˥
ดร.	dɔː˧.rɔː˧
ดรัมเมเยอร์	dram˧.meː˧.jɤː˥˩
ดราม่า	draː˧.maː˥˩
ดรุ	da˨˩.ruʔ˦˥
ดรุษัณฑ์	da˨˩.ru˦˥.san˩˩˦
ดวง	dua̯ŋ˧
ดวงอาทิตย์	dua̯ŋ˧.ʔaː˧.tʰit̚˦˥
ดวงอาทิตย์เที่ยงคืน	dua̯ŋ˧.ʔaː˧.tʰit̚˦˥.tʰia̯ŋ˥˩.kʰɯːn˧
ดวงใจ	dua̯ŋ˧.t͡ɕaj˧
ดอก	dɔːk̚˨˩
ดอกจัน	dɔːk̚˨˩.t͡ɕan˧
ดอกจิก	dɔːk̚˨˩.t͡ɕik̚˨˩
ดอกทอง	dɔːk̚˨˩.tʰɔːŋ˧
ดอกฟ้ากับหมาวัด	dɔːk̚˨˩.faː˦˥.kap̚˨˩.maː˩˩˦.wat̚˦˥
ดอกเตอร์	dɔk̚˦˥.tɤː˥˩
ดอกเบี้ย	dɔːk̚˨˩.bia̯˥˩
ดอกไม้	dɔːk̚˨˩.maːj˦˥
ดอกไม้เพลิง	dɔːk̚˨˩.maːj˦˥.pʰlɤːŋ˧
ดอกไม้ไฟ	dɔːk̚˨˩.maːj˦˥.faj˧
ดอง	dɔːŋ˧
ดองเปรี้ยวดองเค็ม	dɔːŋ˧.pria̯w˥˩.dɔːŋ˧.kʰem˧
ดอน	dɔːn˧
ดอนเมือง	dɔːn˧.mɯa̯ŋ˧
ดอม	dɔːm˧
ดอมินีกา	dɔː˧.mi˦˥.niː˧.kaː˥˩
ดอย	dɔːj˧
ดอล	dɔn˧
ดอลลาร์	dɔn˧.laː˥˩
ดอลล่าร์	dɔn˧.laː˥˩
ดัก	dak̚˨˩
ดักควาย	dak̚˨˩.kʰwaːj˧
ดักดาน	dak̚˨˩.daːn˧
ดักฟัง	dak̚˨˩.faŋ˧
ดักแด้	dak̚˨˩.dɛː˥˩
ดัง	daŋ˧
ดังกล่าว	daŋ˧.klaːw˨˩
ดังก้อง	daŋ˧.kɔŋ˥˩
ดังนั้น	daŋ˧.nan˦˥
ดังโงะ	daŋ˧.ŋoʔ˨˩
ดัชต์	dat͡ɕʰ˦˥,dat̚˦˥
ดัชเชส	dat̚˦˥.t͡ɕʰes˥˩,dat̚˦˥.t͡ɕʰes˦˥
ดัด	dat̚˨˩
ดัดจริต	dat̚˨˩.t͡ɕa˨˩.rit̚˨˩
ดัดแปลง	dat̚˨˩.plɛːŋ˧
ดัตช์	dat̚˦˥
ดัน	dan˧
ดับ	dap̚˨˩
ดับขันธ์	dap̚˨˩.kʰan˩˩˦
ดับบลิว	dap̚˨˩.bliw˧
ดับลิน	dap̚˦˥.lin˧,dap̚˦˥.lin˥˩
ดับเบิลยู	dap̚˨˩.bɤl˥˩.juː˧
ดับเบิลเบส	dap̚˨˩.bɤl˥˩.beːs˨˩
ดับเพลิง	dap̚˨˩.pʰlɤːŋ˧
