a	a˧˧
bắt cặp	băk˦˥kăp˨˩˨
bắt giam	băk˦˥jam˧˧
bắt gió	băk˦˥jɔ˦˥
bắt giọng	băk˦˥jɔŋ͡m˨˩˨
bắt giữ	băk˦˥jɯ˨˩˦
bắt gân	băk˦˥ɣɤ̆ŋ˧˧
bắt gặp	băk˦˥ɣăp˨˩˨
bắt khoan bắt nhặt	băk˦˥xwaŋ˧˧băk˦˥ɲăk˨˩˨
bắt khoán	băk˦˥xwaŋ˦˥
bắt kịp	băk˦˥kip˨˩˨
bắt liên lạc	băk˦˥liəŋ˧˧lak˨˩˨
bắt làm	băk˦˥lam˧˨
bắt lính	băk˦˥lin˦˥
bắt lấy	băk˦˥lɤ̆j˦˥
bắt lẽ	băk˦˥lɛ˨˩˦
bắt lỗi	băk˦˥loj˨˩˦
bắt lời	băk˦˥lɤj˧˨
bắt lửa	băk˦˥lɯə˨˩˦
bắt miếng	băk˦˥miəŋ˦˥
bắt màu	băk˦˥măw˧˨
bắt mạch	băk˦˥mat˨˩˨
bắt mắt	băk˦˥măk˦˥
bắt mẹo	băk˦˥meo˨˩˨
bắt mối	băk˦˥moj˦˥
bắt mồi	băk˦˥moj˧˨
bắt ne bắt nét	băk˦˥nɛ˧˧băk˦˥nɛt˦˥
bắt nguồn	băk˦˥ŋuəŋ˧˨
bắt nhái bỏ đệp	băk˦˥ɲaj˦˥bɔ˨˩˦dep˨˩˨
bắt nhân tình	băk˦˥ɲɤ̆ŋ˧˧tin˧˨
bắt nhịp	băk˦˥ɲip˨˩˨
bắt nhời	băk˦˥ɲɤj˧˨
bắt nét	băk˦˥nɛt˦˥
bắt nạt	băk˦˥nat˨˩˨
bắt nạt xó bếp	băk˦˥nat˨˩˨sɔ˦˥bep˦˥
bắt nọc	băk˦˥nɔk͡p˨˩˨
bắt nọn	băk˦˥nɔŋ͡m˨˩˨
bắt nợ	băk˦˥nɤ˨˩˨
bắt phu	băk˦˥fu˧˧
bắt phạt	băk˦˥fat˨˩˨
bắt quyết	băk˦˥wiɛt˦˥
bắt quàng	băk˦˥waŋ˧˨
bắt quả tang	băk˦˥wa˨˩˦taŋ˧˧
bắt rễ	băk˦˥ʐe˨˩˦
bắt rễ xâu chuỗi	băk˦˥ʐe˨˩˦sɤ̆w˧˧cuəj˨˩˦
bắt sống	băk˦˥ʂoŋ͡m˦˥
bắt tay	băk˦˥tăj˧˧
bắt thóp	băk˦˥tʰɔp˦˥
bắt thăm	băk˦˥tʰăm˧˧
bắt thường	băk˦˥tʰɯəŋ˧˨
bắt tréo	băk˦˥ʈeo˦˥
bắt trớn	băk˦˥ʈɤŋ˦˥
bắt tình	băk˦˥tin˧˨
bắt tận tay day tận cánh	băk˦˥tɤ̆ŋ˨˩˨tăj˧˧jăj˧˧tɤ̆ŋ˨˩˨kan˦˥
bắt tận tay day tận mặt	băk˦˥tɤ̆ŋ˨˩˨tăj˧˧jăj˧˧tɤ̆ŋ˨˩˨măk˨˩˨
bắt tận tay day tận tóc	băk˦˥tɤ̆ŋ˨˩˨tăj˧˧jăj˧˧tɤ̆ŋ˨˩˨tɔk͡p˦˥
bắt tội	băk˦˥toj˨˩˨
bắt tội bắt vạ	băk˦˥toj˨˩˨băk˦˥ja˨˩˨
bắt vạ	băk˦˥ja˨˩˨
bắt xâu	băk˦˥sɤ̆w˧˧
bắt ép	băk˦˥ɛp˦˥
bắt đinh	băk˦˥din˧˧
bắt điện	băk˦˥diəŋ˨˩˨
bắt được	băk˦˥dɯək˨˩˨
bắt đầu	băk˦˥dɤ̆w˧˨
bắt đầu từ	băk˦˥dɤ̆w˧˨tɯ˧˨
bắt đền	băk˦˥den˧˨
bắt ấn	băk˦˥ɤ̆ŋ˦˥
bắt-tê	băk˦˥-te˧˧
bằm	băm˧˨
bằn bặt	băŋ˧˨băk˨˩˨
bằng	băŋ˧˨
bằng an	băŋ˧˨aŋ˧˧
bằng bẵng	băŋ˧˨băŋ˨˩˦
bằng bặn	băŋ˧˨băŋ˨˩˨
bằng chà bằng lứa	băŋ˧˨ca˧˨băŋ˧˨lɯə˦˥
bằng chân	băŋ˧˨cɤ̆ŋ˧˧
bằng chân như vại	băŋ˧˨cɤ̆ŋ˧˧ɲɯ˧˧jaj˨˩˨
bằng chị (anh) bằng em	băŋ˧˨ci˨˩˨an˧˧băŋ˧˨ɛm˧˧
bằng chứng	băŋ˧˨cɯŋ˦˥
bằng cả	băŋ˧˨ka˨˩˦
bằng cấp	băŋ˧˨kɤ̆p˦˥
bằng cốc	băŋ˧˨kok͡p˦˥
bằng cớ	băŋ˧˨kɤ˦˥
bằng cứ	băŋ˧˨kɯ˦˥
bằng da bằng thịt	băŋ˧˨ja˧˧băŋ˧˨tʰit˨˩˨
bằng doãn	băŋ˧˨jwaŋ˨˩˦
bằng giang	băŋ˧˨jaŋ˧˧
bằng giã	băŋ˧˨ja˨˩˦
bằng hành	băŋ˧˨han˧˨
bằng hữu	băŋ˧˨hɯw˨˩˦
bằng hữu chi giao	băŋ˧˨hɯw˨˩˦ci˧˧jaw˧˧
bằng khen	băŋ˧˨xɛŋ˧˧
bằng khoán	băŋ˧˨xwaŋ˦˥
bằng khánh	băŋ˧˨xan˦˥
bằng không	băŋ˧˨xoŋ͡m˧˧
bằng la	băŋ˧˨la˧˧
bằng lang	băŋ˧˨laŋ˧˧
bằng luân	băŋ˧˨lwɤ̆ŋ˧˧
bằng lòng	băŋ˧˨lɔŋ͡m˧˨
bằng lăng	băŋ˧˨lăŋ˧˧
bằng lũng	băŋ˧˨luŋ͡m˨˩˦
bằng lặng	băŋ˧˨lăŋ˨˩˨
bằng mày bằng mặt	băŋ˧˨măj˧˨băŋ˧˨măk˨˩˨
bằng mạc	băŋ˧˨mak˨˩˨
bằng mặt	băŋ˧˨măk˨˩˨
bằng mặt chẳng bằng lòng	băŋ˧˨măk˨˩˨căŋ˨˩˦băŋ˧˨lɔŋ͡m˧˨
bằng nay	băŋ˧˨năj˧˧
bằng nhau	băŋ˧˨ɲăw˧˧
bằng như	băŋ˧˨ɲɯ˧˧
bằng nào	băŋ˧˨naw˧˨
bằng nửa con mắt	băŋ˧˨nɯə˨˩˦kɔŋ͡m˧˧măk˦˥
bằng phúc	băŋ˧˨fuk͡p˦˥
bằng phẳng	băŋ˧˨făŋ˨˩˦
bằng sáng chế	băŋ˧˨ʂaŋ˦˥ce˦˥
bằng sắc	băŋ˧˨ʂăk˦˥
bằng thành	băŋ˧˨tʰan˧˨
bằng thừa	băŋ˧˨tʰɯə˧˨
bằng tiện	băŋ˧˨tiəŋ˨˩˨
bằng trạc	băŋ˧˨ʈak˨˩˨
bằng trắc	băŋ˧˨ʈăk˦˥
bằng vai	băŋ˧˨jaj˧˧
bằng vai ngang vế	băŋ˧˨jaj˧˧ŋaŋ˧˧je˦˥
bằng vai phải lứa	băŋ˧˨jaj˧˧faj˨˩˦lɯə˦˥
bằng xương bằng thịt	băŋ˧˨sɯəŋ˧˧băŋ˧˨tʰit˨˩˨
bằng đôi bằng lứa	băŋ˧˨doj˧˧băŋ˧˨lɯə˦˥
bằng đôi phải lứa	băŋ˧˨doj˧˧faj˨˩˦lɯə˦˥
bằng được	băŋ˧˨dɯək˨˩˨
bằng đẳng	băŋ˧˨dăŋ˨˩˦
bằng địa	băŋ˧˨diə˨˩˨
bẳn	băŋ˨˩˦
bẳn gắt	băŋ˨˩˦ɣăk˦˥
bẳn tính	băŋ˨˩˦tin˦˥
bẵng	băŋ˨˩˦
bẵng tin	băŋ˨˩˦tin˧˧
bẵng đi	băŋ˨˩˦di˧˧
bặc hặc	băk˨˩˨hăk˨˩˨
bặm	băm˨˩˨
bặm trợn	băm˨˩˨ʈɤŋ˨˩˨
bặng nhặng	băŋ˨˩˨ɲăŋ˨˩˨
bặp	băp˨˩˨
bặt	băk˨˩˨
bặt thiệp	băk˨˩˨tʰip˨˩˨
bặt tin	băk˨˩˨tin˧˧
bặt tiếng im hơi	băk˨˩˨tiəŋ˦˥im˧˧hɤj˧˧
bặt tăm	băk˨˩˨tăm˧˧
bặt tăm bặt tích	băk˨˩˨tăm˧˧băk˨˩˨tit˦˥
bặt vô âm tín	băk˨˩˨jo˧˧ɤ̆m˧˧tin˦˥
bẹ	bɛ˨˩˨
bẹ chuối	bɛ˨˩˨cuəj˦˥
bẹ lá	bɛ˨˩˨la˦˥
bẹ mo	bɛ˨˩˨mɔ˧˧
bẹ mèo	bɛ˨˩˨meo˧˨
bẹ mạng	bɛ˨˩˨maŋ˨˩˨
bẹ sườn	bɛ˨˩˨ʂɯəŋ˧˨
bẹn	bɛŋ˨˩˨
bẹo	beo˨˩˨
bẹp	bɛp˨˩˨
bẹp dúm	bɛp˨˩˨jum˦˥
bẹp gí	bɛp˨˩˨ɣi˦˥
bẹp rúm	bɛp˨˩˨ʐum˦˥
bẹp tai	bɛp˨˩˨taj˧˧
bẹt	bɛt˨˩˨
bẻ	bɛ˨˩˦
bẻ bai	bɛ˨˩˦baj˧˧
bẻ bánh	bɛ˨˩˦ban˦˥
bẻ bão	bɛ˨˩˦baw˨˩˦
bẻ bắt	bɛ˨˩˦băk˦˥
bẻ cành cung quế	bɛ˨˩˦kan˧˨kuŋ͡m˧˧we˦˥
bẻ cò	bɛ˨˩˦kɔ˧˨
bẻ cục	bɛ˨˩˦kuk͡p˨˩˨
bẻ ghi	bɛ˨˩˦ɣi˧˧
bẻ gãy	bɛ˨˩˦ɣăj˨˩˦
bẻ gãy sừng trâu	bɛ˨˩˦ɣăj˨˩˦ʂɯŋ˧˨ʈɤ̆w˧˧
bẻ gẫy	bɛ˨˩˦ɣɤ̆j˨˩˦
bẻ hoa	bɛ˨˩˦hwa˧˧
bẻ hoẹ	bɛ˨˩˦hwe˨˩˨
bẻ hành bẻ tỏi	bɛ˨˩˦han˧˨bɛ˨˩˦tɔj˨˩˦
bẻ họe	bɛ˨˩˦hwe˨˩˨
bẻ khục	bɛ˨˩˦xuk͡p˨˩˨
bẻ lái	bɛ˨˩˦laj˦˥
bẻ lẽ	bɛ˨˩˦lɛ˨˩˦
bẻ nạng chống trời	bɛ˨˩˦naŋ˨˩˨coŋ͡m˦˥ʈɤj˧˨
bẻ quặt	bɛ˨˩˦wăk˨˩˨
bẻ quế	bɛ˨˩˦we˦˥
bẻ tay bụt ngày rằm	bɛ˨˩˦tăj˧˧buk͡p˨˩˨ŋăj˧˨ʐăm˧˨
bẻ đũa cả nắm	bɛ˨˩˦duə˨˩˦ka˨˩˦năm˦˥
bẻm	bɛm˨˩˦
bẻm mép	bɛm˨˩˦mɛp˦˥
bẻo	beo˨˩˦
bẻo lẻo	beo˨˩˦leo˨˩˦
bẻo mép	beo˨˩˦mɛp˦˥
bẽ	bɛ˨˩˦
bẽ bàng	bɛ˨˩˦baŋ˧˨
bẽ mặt	bɛ˨˩˦măk˨˩˨
bẽn	bɛŋ˨˩˦
bẽn lẽn	bɛŋ˨˩˦lɛŋ˨˩˦
bế	be˦˥
bế bồng	be˦˥boŋ͡m˧˨
bế giảng	be˦˥jaŋ˨˩˦
bế khắc triệu	be˦˥xăk˦˥ʈiəw˨˩˨
bế kinh	be˦˥kin˧˧
bế môn tạ khách	be˦˥moŋ͡m˧˧ta˨˩˨xat˦˥
bế mạc	be˦˥mak˨˩˨
bế quan toả cảng	be˦˥waŋ˧˧twa˨˩˦kaŋ˨˩˦
bế quan tỏa cảng	be˦˥waŋ˧˧twa˨˩˦kaŋ˨˩˦
bế triều	be˦˥ʈiəw˧˨
bế tắc	be˦˥tăk˦˥
bế xốc	be˦˥sok͡p˦˥
bế ẵm	be˦˥ăm˨˩˦
bến	ben˦˥
bến bãi	ben˦˥baj˨˩˦
bến bờ	ben˦˥bɤ˧˨
bến cát	ben˦˥kat˦˥
bến cũ đò xưa	ben˦˥ku˨˩˦dɔ˧˨sɯə˧˧
bến cảng	ben˦˥kaŋ˨˩˦
bến cầu	ben˦˥kɤ̆w˧˨
bến củi	ben˦˥kuj˨˩˦
bến gối	ben˦˥ɣoj˦˥
bến hải	ben˦˥haj˨˩˦
bến lội	ben˦˥loj˨˩˨
bến lức	ben˦˥lɯk˦˥
bến mê	ben˦˥me˧˧
bến nghé	ben˦˥ŋɛ˦˥
bến nhà rồng	ben˦˥ɲa˧˨ʐoŋ͡m˧˨
bến nước	ben˦˥nɯək˦˥
bến phà	ben˦˥fa˧˨
bến quan	ben˦˥waŋ˧˧
bến sông	ben˦˥ʂoŋ͡m˧˧
bến thuỷ	ben˦˥tʰwi˨˩˦
bến thành	ben˦˥tʰan˧˨
bến thủ	ben˦˥tʰu˨˩˦
bến tre	ben˦˥ʈɛ˧˧
bến tàu	ben˦˥tăw˧˨
bến vượt	ben˦˥jɯək˨˩˨
bến xe	ben˦˥sɛ˧˧
bến ô-tô	ben˦˥o˧˧-to˧˧
bến đìn	ben˦˥din˧˨
bến đò	ben˦˥dɔ˧˨
bến đợi sông chờ	ben˦˥dɤj˨˩˨ʂoŋ͡m˧˧cɤ˧˨
bếp	bep˦˥
bếp ga	bep˦˥ɣa˧˧
bếp hoàng cầm	bep˦˥hwaŋ˧˨kɤ̆m˧˨
bếp lò	bep˦˥lɔ˧˨
bếp lạnh tro tàn	bep˦˥lan˨˩˨ʈɔ˧˧taŋ˧˨
bếp mặt trời	bep˦˥măk˨˩˨ʈɤj˧˨
bếp núc	bep˦˥nuk͡p˦˥
bếp nước	bep˦˥nɯək˦˥
bếp đứng	bep˦˥dɯŋ˦˥
bết	bet˦˥
bết bệt	bet˦˥bet˨˩˨
bề	be˧˨
bề bề	be˧˨be˧˨
bề bộn	be˧˨boŋ͡m˨˩˨
bề cao	be˧˨kaw˧˧
bề dài	be˧˨jaj˧˨
bề dày	be˧˨jăj˧˨
bề dưới	be˧˨jɯəj˦˥
bề dọc	be˧˨jɔk͡p˨˩˨
bề mặt	be˧˨măk˨˩˨
bề ngang	be˧˨ŋaŋ˧˧
bề ngoài	be˧˨ŋwaj˧˨
bề nào cũng	be˧˨naw˧˨kuŋ͡m˨˩˦
bề rộng	be˧˨ʐoŋ͡m˨˩˨
bề sâu	be˧˨ʂɤ̆w˧˧
bề sề	be˧˨ʂe˧˨
bề thế	be˧˨tʰe˦˥
bề trong	be˧˨ʈɔŋ͡m˧˧
bề trái	be˧˨ʈaj˦˥
bề trên	be˧˨ʈen˧˧
bề tôi	be˧˨toj˧˧
bền	ben˧˨
bền bỉ	ben˧˨bi˨˩˦
bền chí	ben˧˨ci˦˥
bền chặt	ben˧˨căk˨˩˨
bền gan	ben˧˨ɣaŋ˧˧
bền gan quyết chí	ben˧˨ɣaŋ˧˧wiɛt˦˥ci˦˥
bền gan vững chí	ben˧˨ɣaŋ˧˧jɯŋ˨˩˦ci˦˥
bền lâu	ben˧˨lɤ̆w˧˧
bền lòng	ben˧˨lɔŋ͡m˧˨
bền màu	ben˧˨măw˧˨
bền mùi	ben˧˨muj˧˨
bền nhiệt	ben˧˨ɲiək˨˩˨
bền va	ben˧˨ja˧˧
bền vững	ben˧˨jɯŋ˨˩˦
bềnh	ben˧˨
bềnh bệch	ben˧˨bet˨˩˨
bềnh bồng	ben˧˨boŋ͡m˧˨
bều bệu	bɛu˧˨bɛu˨˩˨
bể	be˨˩˦
bể bơi	be˨˩˦bɤj˧˧
bể bạc non vàng	be˨˩˦bak˨˩˨nɔŋ͡m˧˧jaŋ˧˨
bể bạc rừng vàng	be˨˩˦bak˨˩˨ʐɯŋ˧˨jaŋ˧˨
bể bầu	be˨˩˦bɤ̆w˧˨
bể chuyện	be˨˩˦cwiəŋ˨˩˨
bể chìm	be˨˩˦cim˧˨
bể cạn	be˨˩˦kaŋ˨˩˨
bể cạn non mòn	be˨˩˦kaŋ˨˩˨nɔŋ͡m˧˧mɔŋ͡m˧˨
bể dâu	be˨˩˦jɤ̆w˧˧
bể dĩa	be˨˩˦jiə˨˩˦
bể hoạn	be˨˩˦hwaŋ˨˩˨
bể khổ	be˨˩˦xo˨˩˦
bể kính	be˨˩˦kin˦˥
bể lắng	be˨˩˦lăŋ˦˥
bể lặng sóng yên	be˨˩˦lăŋ˨˩˨ʂɔŋ͡m˦˥iɛŋ˧˧
bể lặng trời trong	be˨˩˦lăŋ˨˩˨ʈɤj˧˨ʈɔŋ͡m˧˧
bể lọc	be˨˩˦lɔk͡p˨˩˨
bể mánh	be˨˩˦man˦˥
bể phốt	be˨˩˦fok͡p˦˥
bể sâu sóng cả	be˨˩˦ʂɤ̆w˧˧ʂɔŋ͡m˦˥ka˨˩˦
bể sở sông ngô	be˨˩˦ʂɤ˨˩˦ʂoŋ͡m˧˧ŋo˧˧
bể thảm	be˨˩˦tʰam˨˩˦
bể trầm luân	be˨˩˦ʈɤ̆m˧˨lwɤ̆ŋ˧˧
bể trần	be˨˩˦ʈɤ̆ŋ˧˨
bể trời	be˨˩˦ʈɤj˧˨
bể tự hoại	be˨˩˦tɯ˨˩˨hwaj˨˩˨
bể xả	be˨˩˦sa˨˩˦
bể ái	be˨˩˦aj˦˥
bể đám	be˨˩˦dam˦˥
bể đầu sứt trán	be˨˩˦dɤ̆w˧˨ʂɯk˦˥ʈaŋ˦˥
bển	ben˨˩˦
bễ	be˨˩˦
bệ	be˨˩˨
bệ hạ	be˨˩˨ha˨˩˨
bệ kiến	be˨˩˨kiəŋ˦˥
bệ ngọc	be˨˩˨ŋɔk͡p˨˩˨
bệ phóng	be˨˩˨fɔŋ͡m˦˥
bệ rạc	be˨˩˨ʐak˨˩˨
bệ rồng	be˨˩˨ʐoŋ͡m˧˨
bệ sệ	be˨˩˨ʂe˨˩˨
bệ tiền	be˨˩˨tiəŋ˧˨
bệ tì	be˨˩˨ti˧˨
bệ vệ	be˨˩˨je˨˩˨
bệch	bet˨˩˨
bệch bạc	bet˨˩˨bak˨˩˨
bệch bạch	bet˨˩˨bat˨˩˨
bện	ben˨˩˨
bện hơi	ben˨˩˨hɤj˧˧
bện tóc	ben˨˩˨tɔk͡p˦˥
bệnh	ben˨˩˨
bệnh binh	ben˨˩˨bin˧˧
bệnh biến	ben˨˩˨biəŋ˦˥
bệnh bạch cầu	ben˨˩˨bat˨˩˨kɤ̆w˧˨
bệnh chứng	ben˨˩˨cɯŋ˦˥
bệnh căn	ben˨˩˨kăŋ˧˧
bệnh căn học	ben˨˩˨kăŋ˧˧hɔk͡p˨˩˨
bệnh dại	ben˨˩˨jaj˨˩˨
bệnh dịch	ben˨˩˨jit˨˩˨
bệnh hoạn	ben˨˩˨hwaŋ˨˩˨
bệnh học	ben˨˩˨hɔk͡p˨˩˨
bệnh khoa	ben˨˩˨xwa˧˧
bệnh kinh niên	ben˨˩˨kin˧˧niəŋ˧˧
bệnh kín	ben˨˩˨kin˦˥
bệnh lí	ben˨˩˨li˦˥
bệnh lí học	ben˨˩˨li˦˥hɔk͡p˨˩˨
bệnh lý	ben˨˩˨li˦˥
bệnh lý học	ben˨˩˨li˦˥hɔk͡p˨˩˨
bệnh lịch	ben˨˩˨lit˨˩˨
bệnh mãn tính	ben˨˩˨maŋ˨˩˦tin˦˥
bệnh mạn tính	ben˨˩˨maŋ˨˩˨tin˦˥
bệnh nghề nghiệp	ben˨˩˨ŋe˧˨ŋip˨˩˨
bệnh nhi	ben˨˩˨ɲi˧˧
bệnh nhân	ben˨˩˨ɲɤ̆ŋ˧˧
bệnh phóng xạ	ben˨˩˨fɔŋ͡m˦˥sa˨˩˨
bệnh phẩm	ben˨˩˨fɤ̆m˨˩˦
bệnh sĩ	ben˨˩˨ʂi˨˩˦
bệnh sử	ben˨˩˨ʂɯ˨˩˦
bệnh thời khí	ben˨˩˨tʰɤj˧˨xi˦˥
bệnh truyền nhiễm	ben˨˩˨ʈwiəŋ˧˨ɲim˨˩˦
bệnh trạng	ben˨˩˨ʈaŋ˨˩˨
bệnh tâm thần	ben˨˩˨tɤ̆m˧˧tʰɤ̆ŋ˧˨
bệnh tình	ben˨˩˨tin˧˨
bệnh tưởng	ben˨˩˨tɯəŋ˨˩˦
bệnh tật	ben˨˩˨tɤ̆k˨˩˨
bệnh tề tuyên	ben˨˩˨te˧˨twiəŋ˧˧
bệnh viện	ben˨˩˨jiəŋ˨˩˨
bệnh xá	ben˨˩˨sa˦˥
bệnh xã hội	ben˨˩˨sa˨˩˦hoj˨˩˨
bệnh án	ben˨˩˨aŋ˦˥
bệt	bet˨˩˨
bệt xà-lù	bet˨˩˨sa˧˨-lu˧˨
bệu	bɛu˨˩˨
bệu bạo	bɛu˨˩˨baw˨˩˨
bệu rệch	bɛu˨˩˨ʐet˨˩˨
bỉ	bi˨˩˦
bỉ báng	bi˨˩˦baŋ˦˥
bỉ bạc	bi˨˩˦bak˨˩˨
bỉ lận	bi˨˩˦lɤ̆ŋ˨˩˨
bỉ lậu	bi˨˩˦lɤ̆w˨˩˨
bỉ mặt	bi˨˩˦măk˨˩˨
bỉ nhân	bi˨˩˦ɲɤ̆ŋ˧˧
bỉ sắc tư phong	bi˨˩˦ʂăk˦˥tɯ˧˧fɔŋ͡m˧˧
bỉ thử	bi˨˩˦tʰɯ˨˩˦
bỉ vỏ	bi˨˩˦jɔ˨˩˦
bỉ ổi	bi˨˩˦oj˨˩˦
bỉm	bim˨˩˦
bỉm sơn	bim˨˩˦ʂɤŋ˧˧
bỉnh bút	bin˨˩˦buk͡p˦˥
bị	bi˨˩˨
bị bẹt	bi˨˩˨bɛt˨˩˨
bị can	bi˨˩˨kaŋ˧˧
bị chú	bi˨˩˨cu˦˥
bị cáo	bi˨˩˨kaw˦˥
bị gậy	bi˨˩˨ɣɤ̆j˨˩˨
bị lật tẩy	bi˨˩˨lɤ̆k˨˩˨tɤ̆j˨˩˦
bị mọc sừng	bi˨˩˨mɔk͡p˨˩˨ʂɯŋ˧˨
bị nạn	bi˨˩˨naŋ˨˩˨
bị sị	bi˨˩˨ʂi˨˩˨
bị thương	bi˨˩˨tʰɯəŋ˧˧
bị thất bát	bi˨˩˨tʰɤ̆k˦˥bat˦˥
bị thịt	bi˨˩˨tʰit˨˩˨
bị trị	bi˨˩˨ʈi˨˩˨
bị vong lục	bi˨˩˨jɔŋ͡m˧˧luk͡p˨˩˨
bị vì	bi˨˩˨ji˧˨
bị xị	bi˨˩˨si˨˩˨
bị án	bi˨˩˨aŋ˦˥
bị đơn	bi˨˩˨dɤŋ˧˧
bị động	bi˨˩˨doŋ͡m˨˩˨
bịa	biə˨˩˨
bịa đặt	biə˨˩˨dăk˨˩˨
bịch	bit˨˩˨
bịn	bin˨˩˨
bịn rịn	bin˨˩˨ʐin˨˩˨
bịnh	bin˨˩˨
bịp	bip˨˩˨
bịp bợm	bip˨˩˨bɤm˨˩˨
bịp già	bip˨˩˨ja˧˨
bịt	bit˨˩˨
bịt bùng	bit˨˩˨buŋ͡m˧˨
bịt miệng	bit˨˩˨miəŋ˨˩˨
bịt miệng bưng tai	bit˨˩˨miəŋ˨˩˨bɯŋ˧˧taj˧˧
bịt mũi	bit˨˩˨muj˨˩˦
bịt mắt	bit˨˩˨măk˦˥
bịt mắt bắt chim	bit˨˩˨măk˦˥băk˦˥cim˧˧
bịt mắt bắt dê	bit˨˩˨măk˦˥băk˦˥je˧˧
bịt mắt thế gian	bit˨˩˨măk˦˥tʰe˦˥jaŋ˧˧
bịt mồm bịt miệng	bit˨˩˨mom˧˨bit˨˩˨miəŋ˨˩˨
bịu	biw˨˩˨
bọ	bɔ˨˩˨
bọ bạc	bɔ˨˩˨bak˨˩˨
bọ chét	bɔ˨˩˨cɛt˦˥
bọ chó	bɔ˨˩˨cɔ˦˥
bọ chó múa bấc	bɔ˨˩˨cɔ˦˥muə˦˥bɤ̆k˦˥
bọ chỉ đào	bɔ˨˩˨ci˨˩˦daw˧˨
bọ cạp	bɔ˨˩˨kap˨˩˨
bọ da	bɔ˨˩˨ja˧˧
bọ dím	bɔ˨˩˨jim˦˥
bọ dừa	bɔ˨˩˨jɯə˧˨
bọ gạo	bɔ˨˩˨ɣaw˨˩˨
bọ gậy	bɔ˨˩˨ɣɤ̆j˨˩˨
bọ hung	bɔ˨˩˨huŋ͡m˧˧
bọ hà	bɔ˨˩˨ha˧˨
bọ lá	bɔ˨˩˨la˦˥
bọ mát	bɔ˨˩˨mat˦˥
bọ mò	bɔ˨˩˨mɔ˧˨
bọ mạt	bɔ˨˩˨mat˨˩˨
bọ mảy	bɔ˨˩˨măj˨˩˦
bọ mẩy	bɔ˨˩˨mɤ̆j˨˩˦
bọ mắm	bɔ˨˩˨măm˦˥
bọ ngựa	bɔ˨˩˨ŋɯə˨˩˨
bọ ngựa chống xe	bɔ˨˩˨ŋɯə˨˩˨coŋ͡m˦˥sɛ˧˧
bọ nhảy	bɔ˨˩˨ɲăj˨˩˦
bọ nẹt	bɔ˨˩˨nɛt˨˩˨
bọ nẹt có giẻ cùi	bɔ˨˩˨nɛt˨˩˨kɔ˦˥jɛ˨˩˦kuj˧˨
bọ phấn	bɔ˨˩˨fɤ̆ŋ˦˥
bọ que	bɔ˨˩˨wɛ˧˧
bọ quít	bɔ˨˩˨wit˦˥
bọ quýt	bɔ˨˩˨wit˦˥
bọ rùa	bɔ˨˩˨ʐuə˧˨
bọ rầy	bɔ˨˩˨ʐɤ̆j˧˨
bọ rầy xanh	bɔ˨˩˨ʐɤ̆j˧˨san˧˧
bọ trĩ	bɔ˨˩˨ʈi˨˩˦
bọ vừng	bɔ˨˩˨jɯŋ˧˨
bọ xít	bɔ˨˩˨sit˦˥
bọ đa	bɔ˨˩˨da˧˧
bọc	bɔk͡p˨˩˨
bọc hậu	bɔk͡p˨˩˨hɤ̆w˨˩˨
bọc máu	bɔk͡p˨˩˨măw˦˥
bọc sắt	bɔk͡p˨˩˨ʂăk˦˥
bọn	bɔŋ͡m˨˩˨
bọn chúng	bɔŋ͡m˨˩˨cuŋ͡m˦˥
bọn họ	bɔŋ͡m˨˩˨hɔ˨˩˨
bọn mình	bɔŋ͡m˨˩˨min˧˨
bọn nó	bɔŋ͡m˨˩˨nɔ˦˥
bọn phát xít	bɔŋ͡m˨˩˨fat˦˥sit˦˥
bọn ta	bɔŋ͡m˨˩˨ta˧˧
bọn tao	bɔŋ͡m˨˩˨taw˧˧
bọn tớ	bɔŋ͡m˨˩˨tɤ˦˥
bọng	bɔŋ͡m˨˩˨
bọng cà cuống	bɔŋ͡m˨˩˨ka˧˨kuəŋ˦˥
bọng nước	bɔŋ͡m˨˩˨nɯək˦˥
bọng ong	bɔŋ͡m˨˩˨ɔŋ͡m˧˧
bọng đái	bɔŋ͡m˨˩˨daj˦˥
bọp	bɔp˨˩˨
bọp bẹp	bɔp˨˩˨bɛp˨˩˨
bọp xọp	bɔp˨˩˨sɔp˨˩˨
bọt	bɔk͡p˨˩˨
bọt biển	bɔk͡p˨˩˨biəŋ˨˩˦
bọt bèo	bɔk͡p˨˩˨beo˧˨
bọt bể	bɔk͡p˨˩˨be˨˩˦
bọt mép	bɔk͡p˨˩˨mɛp˦˥
bỏ	bɔ˨˩˦
bỏ bà	bɔ˨˩˦ba˧˨
bỏ bê	bɔ˨˩˦be˧˧
bỏ bùa	bɔ˨˩˦buə˧˨
bỏ bùn sang ao	bɔ˨˩˦buŋ͡m˧˨ʂaŋ˧˧aw˧˧
bỏ bả	bɔ˨˩˦ba˨˩˦
bỏ bẵng	bɔ˨˩˦băŋ˨˩˦
bỏ bễ	bɔ˨˩˦be˨˩˦
bỏ bố	bɔ˨˩˦bo˦˥
bỏ bộ	bɔ˨˩˦bo˨˩˨
bỏ bớt	bɔ˨˩˦bɤk˦˥
bỏ bừa	bɔ˨˩˦bɯə˧˨
bỏ cha	bɔ˨˩˦ca˧˧
bỏ chạy	bɔ˨˩˦căj˨˩˨
bỏ cuộc	bɔ˨˩˦kuək˨˩˨
