a	ɒ
féregnyúlvány	feːrɛɡɲuːlvaːɲ
féregnyúlványok	feːrɛɡɲuːlvaːɲok
férfi	feːrfi
férfiak	feːrfijɒk
férfiakon	feːrfijɒkon
férfias	feːrfijɒʃ
férfiasabb	feːrfijɒʃɒbː
férfiasság	feːrfijɒʃːaːɡ
férfin	feːrfin
férfinak	feːrfinɒk
férfinevek	feːrfinɛvɛk
férfinév	feːrfineːv
férfit	feːrfit
férge	feːrɡɛ
férgek	feːrɡɛk
férhet	feːrɦɛt
férj	feːrʝ
férje	feːrjɛ
férjek	feːrjɛk
férjem	feːrjɛm
férjezett	feːrjɛzɛtː
férsz	feːrs
fészek	feːsɛk
fészke	feːskɛ
fészkek	feːskɛk
fészkelődik	feːskɛløːdik
fésül	feːʃyl
fésületlen	feːʃylɛtlɛn
fésületlenebb	feːʃylɛtlɛnɛbː
fésülködik	feːʃylkødik
fésű	feːʃyː
fésűk	feːʃyːk
fóbia	foːbijɒ
fóbiák	foːbijaːk
fóbiás	foːbijaːʃ
fóka	foːkɒ
fókusz	foːkus
fókuszcsoport	foːkust͡ʃoport
fókuszcsoportok	foːkust͡ʃoportok
fókusztávolság	foːkustaːvolʃaːɡ
fókuszál	foːkusaːl
fókák	foːkaːk
fókát	foːkaːt
fólia	foːlijɒ
fóliasátor	foːlijɒʃaːtor
fónok	foːnok
fórum	foːrum
fóruma	foːrumɒ
fórumba	foːrumbɒ
fórumban	foːrumbɒn
fórumhoz	foːrumɦoz
fórumnak	foːrumnɒk
fórumok	foːrumok
fórumokat	foːrumokɒt
fórumokon	foːrumokon
fórumokra	foːrumokrɒ
fórumon	foːrumon
fórumot	foːrumot
fórumra	foːrumrɒ
fórumról	foːrumroːl
föderáció	fødɛraːt͡sijoː
föderációk	fødɛraːt͡sijoːk
födém	fødeːm
födémek	fødeːmɛk
föl	føl
fölbecsül	følbɛt͡ʃyl
föld	føld
földalatti	føldɒlɒtːi
földalattik	føldɒlɒtːik
földbirtokos	føldbirtokoʃ
földbirtokosok	føldbirtokoʃok
földcsuszamlás	føltt͡ʃusɒmlaːʃ
földdel	føldɛl
földdé	føldeː
földek	føldɛk
földekre	føldɛkrɛ
földel	føldɛl
földelés	føldɛleːʃ
földelések	føldɛleːʃɛk
földes	føldɛʃ
földesebb	føldɛʃɛbː
földesúr	føldɛʃuːr
földet	føldɛt
földgáz	føldɡaːz
földgázok	føldɡaːzok
földhöz	følthøz
földi	føldi
földiek	føldijɛk
földieper	føldijɛpɛr
földimalac	føldimɒlɒt͡s
földimalacok	føldimɒlɒt͡sok
földimogyoró	føldimoɟoroː
földimogyorók	føldimoɟoroːk
földje	følɟɛ
földkéreg	føltkeːrɛɡ
földművelésügyi	føldmyːvɛleːʃyɟi
földnyelv	føldɲɛlv
földnyelvek	føldɲɛlvɛk
földrajz	føldrɒjz
földrajzi	føldrɒjzi
földrajztudós	føldrɒjstudoːʃ
földrajztudósok	føldrɒjstudoːʃok
földre	føldrɛ
földrengés	føldrɛŋɡeːʃ
földrengések	føldrɛŋɡeːʃɛk
földrész	føldreːs
földszint	følt͡sint
földszinten	følt͡sintɛn
földszoros	føltsoroʃ
földszorosok	føltsoroʃok
földszín	føltsiːn
földtan	føltɒn
földtani	føltɒni
földteke	føltɛkɛ
földterület	føltɛrylɛt
földtudomány	føltudomaːɲ
földtől	føltøːl
földutak	føldutɒk
földön	føldøn
földönkívüli	føldøŋkiːvyli
földút	følduːt
fölfelé	følfɛleː
fölfújódik	følfuːjoːdik
fölfúvódik	følfuːvoːdik
följebb	føjːɛbː
fölkavar	følkɒvɒr
fölkeres	følkɛrɛʃ
fölmegy	følmɛɟ
fölnyúlik	følɲuːlik
fölszáll	følsaːlː
fölszállás	følsaːlːaːʃ
fölső	følʃøː
fölvált	følvaːlt
fölé	føleː
föléje	føleːjɛ
fölény	føleːɲ
fölír	føliːr
fölösleges	føløʃlɛɡɛʃ
fölött	føløtː
fölötte	føløtːɛ
fölötted	føløtːɛd
fölöttem	føløtːɛm
fölöttetek	føløtːɛtɛk
fölötti	føløtːi
fölöttük	føløtːyk
fölöttünk	føløtːyŋk
fölül	følyl
fölüle	følylɛ
fölületes	følylɛtɛʃ
fölülmúl	følylmuːl
fölülír	følyliːr
fönn	fønː
fönt	fønt
fönícia	føniːt͡sijɒ
föníciai	føniːt͡sijɒji
förgeteg	førɡɛtɛɡ
förgetegek	førɡɛtɛɡɛk
förgeteges	førɡɛtɛɡɛʃ
förmed	førmɛd
förmedvény	førmɛdveːɲ
förmedvények	førmɛdveːɲɛk
förtelmes	førtɛlmɛʃ
förtelmesebb	førtɛlmɛʃɛbː
fösvény	føʃveːɲ
fösvényebb	føʃveːɲɛbː
fösvények	føʃveːɲɛk
fú	fuː
fúdd	fuːdː
fúga	fuːɡɒ
fúgák	fuːɡaːk
fúj	fuːj
fújd	fuːjd
fújdogál	fuːjdoɡaːl
fújhat	fuːjɦɒt
fújj	fuːjː
fújja	fuːjːɒ
fújsz	fuːjs
fújódik	fuːjoːdik
fúl	fuːl
fúlj	fuːjː
fúlsz	fuːls
fúlt	fuːlt
fúr	fuːr
fúrhat	fuːrɦɒt
fúrj	fuːrʝ
fúrt	fuːrt
fúró	fuːroː
fúrófej	fuːroːfɛj
fúrógép	fuːroːɡeːp
fúrógépek	fuːroːɡeːpɛk
fúrójuk	fuːroːjuk
fúrók	fuːroːk
fúrólyuk	fuːroːjuk
fúvódik	fuːvoːdik
fúzió	fuːzijoː
füge	fyɡɛ
függ	fyɡː
függelemsértés	fyɡːɛlɛmʃeːrteːʃ
függelemsértések	fyɡːɛlɛmʃeːrteːʃɛk
függelék	fyɡːɛleːk
függelékek	fyɡːɛleːkɛk
függessz	fyɡːɛsː
függeszkedik	fyɡːɛskɛdik
függeszt	fyɡːɛst
független	fyɡːɛtlɛn
függetlenebb	fyɡːɛtlɛnɛbː
függetlenné	fyɡːɛtlɛnːeː
függetlenség	fyɡːɛtlɛnʃeːɡ
függetlenül	fyɡːɛtlɛnyl
függj	fyɡʝ
függsz	fyks
függvény	fyɡveːɲ
függvénye	fyɡveːɲɛ
függvények	fyɡveːɲɛk
függvényében	fyɡveːɲeːbɛn
függöny	fyɡːøɲ
függönyt	fyɡːøɲt
függönyök	fyɡːøɲøk
függő	fyɡːøː
függőbb	fyɡːøːbː
függőben	fyɡːøːbɛn
függően	fyɡːøːɛn
függőhidak	fyɡːøːɦidɒk
függőhíd	fyɡːøːɦiːd
függőkosár	fyɡːøːkoʃaːr
függőleges	fyɡːøːlɛɡɛʃ
függőlegesen	fyɡːøːlɛɡɛʃɛn
függőágy	fyɡːøːaːɟ
függőágyak	fyɡːøːaːɟɒk
fügék	fyɡeːk
fül	fyl
fülbe	fylbɛ
fülbemászó	fylbɛmaːsoː
fülbemászóbb	fylbɛmaːsoːbː
fülbemászók	fylbɛmaːsoːk
fülben	fylbɛn
fülbevaló	fylbɛvɒloː
fülbevalók	fylbɛvɒloːk
fülből	fylbøːl
fülcimpa	fylt͡simpɒ
fülcimpák	fylt͡simpaːk
fülcsepp	fylt͡ʃɛpː
füle	fylɛ
füled	fylɛd
fülei	fylɛji
füleid	fylɛjid
füleik	fylɛjik
füleim	fylɛjim
füleink	fylɛjiŋk
füleitek	fylɛjitɛk
fülek	fylɛk
fülekbe	fylɛɡbɛ
fülekben	fylɛɡbɛn
fülekből	fylɛɡbøːl
füleken	fylɛkɛn
füleket	fylɛkɛt
fülekhez	fylɛkhɛz
fülekig	fylɛkiɡ
fülekkel	fylɛkːɛl
fülekké	fylɛkːeː
fülekként	fylɛkːeːnt
füleknek	fylɛknɛk
füleknél	fylɛkneːl
fülekre	fylɛkrɛ
fülekről	fylɛkrøːl
fülektől	fylɛktøːl
fülekért	fylɛkeːrt
fülem	fylɛm
fülemüle	fylɛmylɛ
fülemülék	fylɛmyleːk
füles	fylɛʃ
fülesbaglyok	fylɛʒbɒɡjok
fülesbagoly	fylɛʒbɒɡoj
fülesek	fylɛʃɛk
fület	fylɛt
fületek	fylɛtɛk
fülgyógyászat	fylɟoːɟaːsɒt
fülgyógyászatok	fylɟoːɟaːsɒtok
fülhallgató	fylɦɒlɡɒtoː
fülhallgatók	fylɦɒlɡɒtoːk
fülhöz	fylɦøz
fülig	fyliɡ
fülkagyló	fylkɒɟloː
fülkagylók	fylkɒɟloːk
fülke	fylkɛ
fülkék	fylkeːk
fülként	fylkeːnt
füllel	fylːɛl
füllé	fylːeː
fülnek	fylnɛk
fülnél	fylneːl
fülorvos	fylorvoʃ
fülorvosok	fylorvoʃok
fülre	fyrːɛ
fülről	fyrːøːl
fülszöveg	fylsøvɛɡ
fültanú	fyltɒnuː
fültanúk	fyltɒnuːk
fültisztító	fyltistiːtoː
fültövek	fyltøvɛk
fültő	fyltøː
fültől	fyltøːl
fültőmirigy	fyltøːmiriɟ
fültőmirigyek	fyltøːmiriɟɛk
fülzsír	fylʒiːr
fülzúgás	fylzuːɡaːʃ
fülének	fyleːnɛk
fülért	fyleːrt
fülész	fyleːs
fülészek	fyleːsɛk
fülészet	fyleːsɛt
fülészetek	fyleːsɛtɛk
fülészeti	fyleːsɛti
fülét	fyleːt
fülön	fyløn
fülöp	fyløp
fülük	fylyk
fülünk	fylyŋk
fülű	fylyː
fürdet	fyrdɛt
fürdik	fyrdik
fürdés	fyrdeːʃ
fürdések	fyrdeːʃɛk
fürdöm	fyrdøm
fürdő	fyrdøː
fürdők	fyrdøːk
fürdőkád	fyrdøːkaːd
fürdőkádak	fyrdøːkaːdɒk
fürdőköpeny	fyrdøːkøpɛɲ
fürdőköpenyek	fyrdøːkøpɛɲɛk
fürdőruha	fyrdøːruɦɒ
fürdőruhák	fyrdøːruɦaːk
fürdőszoba	fyrdøːsobɒ
fürdőszobában	fyrdøːsobaːbɒn
fürdőszobák	fyrdøːsobaːk
fürdőszobákban	fyrdøːsobaːɡbɒn
fürdőszobás	fyrdøːsobaːʃ
fürge	fyrɡɛ
fürgébb	fyrɡeːbː
fürj	fyrʝ
fürt	fyrt
fürtök	fyrtøk
fürödj	fyrøɟː
fürödnek	fyrødnɛk
fürössz	fyrøsː
füröszd	fyrøzd
füröszt	fyrøst
füst	fyʃt
füstbe	fyʒdbɛ
füstike	fyʃtikɛ
füstikék	fyʃtikeːk
füstjelző	fyʃtjɛlzøː
füstjelzőben	fyʃtjɛlzøːbɛn
füstoszlop	fyʃtoslop
füstoszlopok	fyʃtoslopok
füstök	fyʃtøk
füstöl	fyʃtøl
füstölög	fyʃtøløɡ
füstölő	fyʃtøløː
füstölők	fyʃtøløːk
fütty	fycː
füttyel	fycːɛl
füttyent	fycːɛnt
füttyök	fycːøk
fütyül	fycyl
füvek	fyvɛk
füves	fyvɛʃ
füvön	fyvøn
füze	fyzɛ
füzek	fyzɛk
füzet	fyzɛt
füzetek	fyzɛtɛk
füzér	fyzeːr
füzérek	fyzeːrɛk
fő	føː
főbb	føːbː
főellenség	føːɛlːɛnʃeːɡ
főherceg	føːɦɛrt͡sɛɡ
főhercegek	føːɦɛrt͡sɛɡɛk
főhet	føːɦɛt
főidény	føːjideːɲ
főigazgató	føːjiɡɒzɡɒtoː
főiskola	føːjiʃkolɒ
főiskolai	føːjiʃkolɒji
főiskolák	føːjiʃkolaːk
főispán	føːjiʃpaːn
főispánja	føːjiʃpaːɲːɒ
főj	føːj
fők	føːk
főkre	føːkrɛ
főként	føːkeːnt
főképp	føːkeːpː
főképpen	føːkeːpːɛn
főkön	føːkøn
főkör	føːkør
főkötő	føːkøtøː
főkötők	føːkøtøːk
főleg	føːlɛɡ
főmondat	føːmondɒt
főmondatok	føːmondɒtok
főmufti	føːmufti
főmuftik	føːmuftik
főn	føːn
főnek	føːnɛk
főnevek	føːnɛvɛk
főni	føːni
főnix	føːniks
főnixmadár	føːniksmɒdaːr
főnt	føːnt
főnyeremény	føːɲɛrɛmeːɲ
főnék	føːneːk
főnél	føːneːl
főnév	føːneːv
főnévi	føːneːvi
főnévragozás	føːneːvrɒɡozaːʃ
főnök	føːnøk
főnökök	føːnøkøk
főnököket	føːnøkøkɛt
főnökösködik	føːnøkøʃkødik
főoldal	føːoldɒl
főoltár	føːoltaːr
főorvos	føːorvoʃ
főorvosok	føːorvoʃok
főpap	føːpɒp
főpapi	føːpɒpi
főpolgármester	føːpolɡaːrmɛʃtɛr
főposta	føːpoʃtɒ
főposták	føːpoʃtaːk
főpénztáros	føːpeːnstaːroʃ
főre	føːrɛ
fős	føːʃ
fősz	føːs
főszerep	føːsɛrɛp
főszereplés	føːsɛrɛpleːʃ
főszereplése	føːsɛrɛpleːʃɛ
főszereplésével	føːsɛrɛpleːʃeːvɛl
főszereplő	føːsɛrɛpløː
főszerkesztő	føːsɛrkɛstøː
főszerkesztője	føːsɛrkɛstøːjɛ
főszerkesztők	føːsɛrkɛstøːk
főt	føːt
főtere	føːtɛrɛ
főterén	føːtɛreːn
főtitkár	føːtitkaːr
főtt	føːtː
főttebb	føːtːɛbː
főtér	føːteːr
főtéren	føːteːrɛn
főutak	føːutɒk
főutca	føːut͡sːɒ
fővel	føːvɛl
fővállalkozó	føːvaːlːɒlkozoː
fővállalkozók	føːvaːlːɒlkozoːk
főváros	føːvaːroʃ
fővárosban	føːvaːroʒbɒn
fővárosból	føːvaːroʒboːl
fővárosi	føːvaːroʃi
fővárosok	føːvaːroʃok
fővárosokban	føːvaːroʃoɡbɒn
főz	føːz
főzd	føːzd
főzelék	føːzɛleːk
főzelékek	føːzɛleːkɛk
főzet	føːzɛt
főzetek	føːzɛtɛk
főzhet	føːshɛt
főzni	føːzni
főznie	føːznijɛ
főzniük	føːznijyk
főznöd	føːznød
főznöm	føːznøm
főznötök	føːznøtøk
főznünk	føːznyŋk
főztje	føːscɛ
főzz	føːzː
főzzük	føːzːyk
főzés	føːzeːʃ
főzések	føːzeːʃɛk
főzöl	føːzøl
főző	føːzøː
főzőcske	føːzøːt͡ʃkɛ
főzőcskézik	føːzøːt͡ʃkeːzik
főzőkanál	føːzøːkɒnaːl
főút	føːuːt
fű	fyː
fűnek	fyːnɛk
fűnyíró	fyːɲiːroː
fűnyírók	fyːɲiːroːk
fűre	fyːrɛ
fűrész	fyːreːs
fűrészek	fyːreːsɛk
fűrészel	fyːreːsɛl
fűrészgép	fyːreːzɡeːp
fűrészpor	fyːreːspor
fűszer	fyːsɛr
fűszerek	fyːsɛrɛk
fűszeres	fyːsɛrɛʃ
fűszeresebb	fyːsɛrɛʃɛbː
fűszeresek	fyːsɛrɛʃɛk
fűszerez	fyːsɛrɛz
fűt	fyːt
fűteni	fyːtɛni
fűtesz	fyːtɛs
fűtetlen	fyːtɛtlɛn
fűthet	fyːthɛt
fűts	fyːt͡ʃː
fűtsz	fyːt͡sː
fűtés	fyːteːʃ
fűtések	fyːteːʃɛk
fűtési	fyːteːʃi
fűtésszerelő	fyːteːʃsɛrɛløː
fűtök	fyːtøk
fűtő	fyːtøː
fűtők	fyːtøːk
fűtőtest	fyːtøːtɛʃt
fűtőtestek	fyːtøːtɛʃtɛk
fűz	fyːz
fűzfa	fyːsfɒ
fűzfapoéta	fyːsfɒpojeːtɒ
fűzfák	fyːsfaːk
fűzhet	fyːshɛt
fűzz	fyːzː
fűzöld	fyːzøld
fűzött	fyːzøtː
fűző	fyːzøː
fűződik	fyːzøːdik
fűződő	fyːzøːdøː
fűzők	fyːzøːk
g	ɡ
g	ɡeː
gabi	ɡɒbi
gabon	ɡɒbon
gabona	ɡɒbonɒ
gabonapehely	ɡɒbonɒpɛhɛj
gabonák	ɡɒbonaːk
gabriella	ɡɒbrijɛlːɒ
gadolínium	ɡɒdoliːnijum
gael	ɡeːl
gaelek	ɡeːlɛk
gaelül	ɡeːlyl
gagyi	ɡɒɟi
galagonya	ɡɒlɒɡoɲɒ
galamb	ɡɒlɒmb
galambok	ɡɒlɒmbok
galambszürke	ɡɒlɒmpsyrkɛ
galaxis	ɡɒlɒksiʃ
galaxisod	ɡɒlɒksiʃod
galaxisok	ɡɒlɒksiʃok
galaxisunk	ɡɒlɒksiʃuŋk
galeri	ɡɒlɛri
galerik	ɡɒlɛrik
galgagyörk	ɡɒlɡɒɟørk
galiba	ɡɒlibɒ
galibák	ɡɒlibaːk
gallicizmus	ɡɒlːit͡sizmuʃ
gallium	ɡɒlːijum
galliumok	ɡɒlːijumok
gallok	ɡɒlːok
gally	ɡɒjː
gallyak	ɡɒjːɒk
gallyat	ɡɒjːɒt
gallyon	ɡɒjːon
gallér	ɡɒlːeːr
gallérok	ɡɒlːeːrok
galléros	ɡɒlːeːroʃ
galuska	ɡɒluʃkɒ
galuskák	ɡɒluʃkaːk
galéria	ɡɒleːrijɒ
galériában	ɡɒleːrijaːbɒn
galóca	ɡɒloːt͡sɒ
galócák	ɡɒloːt͡saːk
gambia	ɡɒmbijɒ
gametofiton	ɡɒmɛtofiton
gamma	ɡɒmːɒ
gaméta	ɡɒmeːtɒ
ganaj	ɡɒnɒj
gang	ɡɒŋɡ
gangesz	ɡɒŋɡɛs
gané	ɡɒneː
ganéj	ɡɒneːj
ganéjok	ɡɒneːjok
ganéz	ɡɒneːz
garaboly	ɡɒrɒboj
garabolyok	ɡɒrɒbojok
garancia	ɡɒrɒnt͡sijɒ
garanciák	ɡɒrɒnt͡sijaːk
garanciális	ɡɒrɒnt͡sijaːliʃ
garanciát	ɡɒrɒnt͡sijaːt
garantál	ɡɒrɒntaːl
garantált	ɡɒrɒntaːlt
garantáltabb	ɡɒrɒntaːltɒbː
garantáltan	ɡɒrɒntaːltɒn
garantíroz	ɡɒrɒntiːroz
garas	ɡɒrɒʃ
garasok	ɡɒrɒʃok
garast	ɡɒrɒʃt
garat	ɡɒrɒt
garatmandula	ɡɒrɒtmɒndulɒ
garatmandulák	ɡɒrɒtmɒndulaːk
garatok	ɡɒrɒtok
garazsíroz	ɡɒrɒʒiːroz
garbó	ɡɒrboː
gardedám	ɡɒrdɛdaːm
gardrób	ɡɒrdroːb
gardróbok	ɡɒrdroːbok
gardróbszoba	ɡɒrdroːpsobɒ
gargarizál	ɡɒrɡɒrizaːl
garnéla	ɡɒrneːlɒ
garnélarák	ɡɒrneːlɒraːk
garnélarákok	ɡɒrneːlɒraːkok
garnélarákra	ɡɒrneːlɒraːkrɒ
garnélák	ɡɒrneːlaːk
garázdaság	ɡɒraːzdɒʃaːɡ
garázs	ɡɒraːʒ
garázsban	ɡɒraːʒbɒn
garázsok	ɡɒraːʒok
garázssor	ɡɒraːʃːor
garázsvásár	ɡɒraːʒvaːʃaːr
garázsvásárok	ɡɒraːʒvaːʃaːrok
garázzsal	ɡɒraːʒːɒl
gasztronómia	ɡɒstronoːmijɒ
gasztronómiai	ɡɒstronoːmijɒji
gatya	ɡɒcɒ
gatyába	ɡɒcaːbɒ
gatyák	ɡɒcaːk
gaz	ɡɒz
gazda	ɡɒzdɒ
gazdag	ɡɒzdɒɡ
gazdagabb	ɡɒzdɒɡɒbː
gazdagodik	ɡɒzdɒɡodik
gazdagok	ɡɒzdɒɡok
gazdagon	ɡɒzdɒɡon
gazdagszik	ɡɒzdɒksik
gazdagság	ɡɒzdɒkʃaːɡ
gazdaság	ɡɒzdɒʃaːɡ
gazdasági	ɡɒzdɒʃaːɡi
gazdaságilag	ɡɒzdɒʃaːɡilɒɡ
gazdaságok	ɡɒzdɒʃaːɡok
gazdaságos	ɡɒzdɒʃaːɡoʃ
gazdaságosabb	ɡɒzdɒʃaːɡoʃɒbː
gazdaságot	ɡɒzdɒʃaːɡot
gazdád	ɡɒzdaːd
gazdái	ɡɒzdaːji
gazdáid	ɡɒzdaːjid
gazdáik	ɡɒzdaːjik
gazdáim	ɡɒzdaːjim
gazdáink	ɡɒzdaːjiŋk
gazdáitok	ɡɒzdaːjitok
gazdája	ɡɒzdaːjɒ
gazdájuk	ɡɒzdaːjuk
gazdák	ɡɒzdaːk
gazdálkodik	ɡɒzdaːlkodik
gazdálkodás	ɡɒzdaːlkodaːʃ
gazdálkodási	ɡɒzdaːlkodaːʃi
gazdálkodások	ɡɒzdaːlkodaːʃok
gazdám	ɡɒzdaːm
gazdának	ɡɒzdaːnɒk
gazdánk	ɡɒzdaːŋk
gazdász	ɡɒzdaːs
gazdászok	ɡɒzdaːsok
gazdát	ɡɒzdaːt
gazdátok	ɡɒzdaːtok
gazella	ɡɒzɛlːɒ
gazember	ɡɒzɛmbɛr
gazemberek	ɡɒzɛmbɛrɛk
gazok	ɡɒzok
gazon	ɡɒzon
gazos	ɡɒzoʃ
gazt	ɡɒst
gaál	ɡaːl
gebe	ɡɛbɛ
geci	ɡɛt͡si
gedeon	ɡɛdɛon
gejzír	ɡɛjziːr
gejzírek	ɡɛjziːrɛk
gekkó	ɡɛkːoː
gekkók	ɡɛkːoːk
gellért	ɡɛlːeːrt
gemkapocs	ɡɛmkɒpot͡ʃ
generáció	ɡɛnɛraːt͡sijoː
generációk	ɡɛnɛraːt͡sijoːk
generációs	ɡɛnɛraːt͡sijoːʃ
generális	ɡɛnɛraːliʃ
generálisok	ɡɛnɛraːliʃok
generátor	ɡɛnɛraːtor
generátorok	ɡɛnɛraːtorok
genetika	ɡɛnɛtikɒ
genetikai	ɡɛnɛtikɒji
genetikailag	ɡɛnɛtikɒjilɒɡ
genetikus	ɡɛnɛtikuʃ
genetikusok	ɡɛnɛtikuʃok
genf	ɡɛɱf
genfi	ɡɛɱfi
gengszter	ɡɛŋkstɛr
gengszterek	ɡɛŋkstɛrɛk
genny	ɡɛɲː
gennyek	ɡɛɲːɛk
gennyes	ɡɛɲːɛʃ
gennyesebb	ɡɛɲːɛʃɛbː
genocídium	ɡɛnot͡siːdijum
genocídiumok	ɡɛnot͡siːdijumok
genom	ɡɛnom
genova	d͡ʒɛnovɒ
geocentrikus	ɡɛot͡sɛntrikuʃ
geodézia	ɡɛodeːzijɒ
geofizikai	ɡɛofizikɒji
geográfus	ɡɛoɡraːfuʃ
geográfusok	ɡɛoɡraːfuʃok
geológia	ɡɛoloːɡijɒ
geológiai	ɡɛoloːɡijɒji
geológiailag	ɡɛoloːɡijɒjilɒɡ
geológus	ɡɛoloːɡuʃ
geológusok	ɡɛoloːɡuʃok
geometria	ɡɛomɛtrijɒ
geometriai	ɡɛomɛtrijɒji
geometriák	ɡɛomɛtrijaːk
gepárd	ɡɛpaːrd
gepárdok	ɡɛpaːrdok
gereblye	ɡɛrɛbjɛ
gereblyék	ɡɛrɛbjeːk
gerely	ɡɛrɛj
gerelyek	ɡɛrɛjɛk
gerelyhajítás	ɡɛrɛjhɒjiːtaːʃ
gerenda	ɡɛrɛndɒ
gerendák	ɡɛrɛndaːk
gerezd	ɡɛrɛzd
gergely	ɡɛrɡɛj
gergő	ɡɛrɡøː
geri	ɡɛri
gerilla	ɡɛrilːɒ
gerillaháború	ɡɛrilːɒɦaːboruː
gerinc	ɡɛrint͡s
gerinccsapolás	ɡɛrint͡st͡ʃɒpolaːʃ
gerinccsatorna	ɡɛrint͡st͡ʃɒtornɒ
gerincek	ɡɛrint͡sɛk
gerinces	ɡɛrint͡sɛʃ
gerincoszlop	ɡɛrint͡soslop
gerincoszlopok	ɡɛrint͡soslopok
gerincvelő	ɡɛrint͡svɛløː
gerincvelők	ɡɛrint͡svɛløːk
gerincű	ɡɛrint͡syː
gerle	ɡɛrlɛ
gerlice	ɡɛrlit͡sɛ
gerlicék	ɡɛrlit͡seːk
gerlék	ɡɛrleːk
germanizmus	ɡɛrmɒnizmuʃ
germánium	ɡɛrmaːnijum
germániumok	ɡɛrmaːnijumok
gesz	ɡɛs
gesztenye	ɡɛstɛɲɛ
gesztenyék	ɡɛstɛɲeːk
gesztus	ɡɛstuʃ
gettó	ɡɛtːoː
ghána	ɡaːnɒ
ghánai	ɡaːnɒji
ghánaiak	ɡaːnɒjijɒk
gibraltár	ɡibrɒltaːr
gic	ɡit͡s
giccs	ɡit͡ʃː
giccsek	ɡit͡ʃːɛk
giccses	ɡit͡ʃːɛʃ
giccsesebb	ɡit͡ʃːɛʃɛbː
gida	ɡidɒ
gidák	ɡidaːk
gigantikus	ɡiɡɒntikuʃ
gigágá	ɡiɡaːɡaː
gigászi	ɡiɡaːsi
gigászibb	ɡiɡaːsibː
giliszta	ɡilistɒ
giliszták	ɡilistaːk
gimel	ɡimɛl
gimi	ɡimi
gimnasztika	ɡimnɒstikɒ
gimnázium	ɡimnaːzijum
gimnáziumi	ɡimnaːzijumi
gimnáziumnak	ɡimnaːzijumnɒk
gimnáziumok	ɡimnaːzijumok
ginzeng	ɡinzɛŋɡ
ginzengek	ɡinzɛŋɡɛk
gipsz	ɡips
gipszkarton	ɡipskɒrton
gipszkötés	ɡipskøteːʃ
girland	ɡirlɒnd
gisz	ɡis
gitár	ɡitaːr
gitárok	ɡitaːrok
gitáros	ɡitaːroʃ
gitározik	ɡitaːrozik
gitároztam	ɡitaːrostɒm
gizella	ɡizɛlːɒ
gladiátor	ɡlɒdijaːtor
glasznoszty	ɡlɒsnosc
gleccser	ɡlɛt͡ʃːɛr
gleccserek	ɡlɛt͡ʃːɛrɛk
glissando	ɡlisːɒndoː
glióma	ɡlijoːmɒ
globalizáció	ɡlobɒlizaːt͡sijoː
globalizációk	ɡlobɒlizaːt͡sijoːk
globális	ɡlobaːliʃ
glutamin	ɡlutɒmin
gluténmentes	ɡluteːmːɛntɛʃ
gléda	ɡleːdɒ
glédák	ɡleːdaːk
glória	ɡloːrijɒ
glükóz	ɡlykoːz
gmail	d͡ʒiːmeːl
gmail	ɡeːmeːl
gnoszticizmus	ɡnostit͡sizmuʃ
gnú	ɡnuː
go	ɡoː
golf	ɡolf
golffal	ɡolfɒl
golffá	ɡolfaː
golfon	ɡolfon
golfot	ɡolfot
golfozik	ɡolfozik
golfpálya	ɡolfpaːjɒ
golyó	ɡojoː
golyók	ɡojoːk
golyós	ɡojoːʃ
golyóscsapágy	ɡojoːʃt͡ʃɒpaːɟ
golyóscsapágyak	ɡojoːʃt͡ʃɒpaːɟɒk
golyóstoll	ɡojoːʃtolː
golyóstollak	ɡojoːʃtolːɒk
gomb	ɡomb
gomba	ɡombɒ
gombaféle	ɡombɒfeːlɛ
gombafélék	ɡombɒfeːleːk
gombamérgezés	ɡombɒmeːrɡɛzeːʃ
gombatan	ɡombɒtɒn
gombbal	ɡombɒl
gombelem	ɡombɛlɛm
gombjuk	ɡombjuk
gomblyuk	ɡombjuk
gombok	ɡombok
gombokon	ɡombokon
gombokra	ɡombokrɒ
gombon	ɡombon
gombostű	ɡomboʃtyː
gombra	ɡombrɒ
gombák	ɡombaːk
gombász	ɡombaːs
gombászik	ɡombaːsik
gombászok	ɡombaːsok
gombázik	ɡombaːzik
gombóc	ɡomboːt͡s
gombócok	ɡomboːt͡sok
gombócos	ɡomboːt͡soʃ
gond	ɡond
gondatlan	ɡondɒtlɒn
gondatlanabb	ɡondɒtlɒnɒbː
gondatlanság	ɡondɒtlɒnʃaːɡ
gondatlanul	ɡondɒtlɒnul
gondban	ɡondbɒn
gonddal	ɡondɒl
gonddá	ɡondaː
gondja	ɡoɲɟɒ
gondjai	ɡoɲɟɒji
gondjaid	ɡoɲɟɒjid
gondjaik	ɡoɲɟɒjik
gondjaim	ɡoɲɟɒjim
gondjaink	ɡoɲɟɒjiŋk
gondjaira	ɡoɲɟɒjirɒ
gondjaitok	ɡoɲɟɒjitok
gondjuk	ɡoɲɟuk
gondjára	ɡoɲɟaːrɒ
gondnak	ɡondnɒk
gondnok	ɡonːok
gondnoka	ɡondnokɒ
gondnokai	ɡondnokɒji
gondnokaid	ɡondnokɒjid
gondnokaik	ɡondnokɒjik
gondnokaim	ɡondnokɒjim
gondnokaink	ɡondnokɒjiŋk
gondnokaitok	ɡondnokɒjitok
gondnokod	ɡondnokod
gondnokok	ɡonːokok
