ͷ	t͡sʼ
λύγδη	liɣði
λύγδη	lyɡde
λύγδη	lyɣði
λύγδινοσ	liɣðinos
λύγδινοσ	lyɡdinos
λύγδινοσ	lyɣðinos
λύγδινοσ	lýɡdinos
λύγδοσ	liɣðos
λύγδοσ	lyɡdos
λύγδοσ	lyɣðos
λύγδοσ	lýɡdos
λύγινοσ	liʝinos
λύγινοσ	lyɡinos
λύγινοσ	lyɣinos
λύγινοσ	lyʝinos
λύγινοσ	lýɡinos
λύγκοσ	liŋɡos
λύγκοσ	lyŋkos
λύγκοσ	lyŋɡos
λύγκοσ	lýŋkos
λύγξ	liŋks
λύγξ	lyŋks
λύγξ	lýŋks
λύγοσ	liɣos
λύγοσ	lyɡos
λύγοσ	lyɣos
λύγοσ	lýɡos
λύδαι	liðe
λύδαι	lydɛ
λύδαι	lyðe
λύδαι	lyðɛ
λύδαι	lýdai̯
λύδδα	liða
λύδδα	lydda
λύδδα	lyðða
λύδδα	lýdda
λύει	lii
λύει	lyi
λύει	ly̌ːeː
λύειν	liin
λύειν	lyin
λύειν	ly̌ːeːn
λύεισ	liis
λύεισ	lyis
λύεισ	ly̌ːeːs
λύεται	liete
λύεται	lyete
λύεται	lyetɛ
λύεται	lyɛtɛ
λύεται	ly̌ːetai̯
λύετε	liete
λύετε	lyete
λύετε	lyɛtɛ
λύετε	ly̌ːete
λύετον	lieton
λύετον	lyeton
λύετον	lyɛton
λύετον	ly̌ːeton
λύζω	lizo
λύζω	lyzo
λύζω	lýzdɔː
λύηι	lii
λύηι	lye
λύηι	lyi
λύηι	ly̌ːɛːi̯
λύηισ	liis
λύηισ	lyes
λύηισ	lyis
λύηισ	ly̌ːɛːi̯s
λύητε	liite
λύητε	lyetɛ
λύητε	lyite
λύητε	ly̌ːɛːte
λύητον	liiton
λύητον	lyeton
λύητον	lyiton
λύητον	ly̌ːɛːton
λύθρον	liθron
λύθρον	lytʰron
λύθρον	lyθron
λύθρον	lýtʰron
λύκαινα	licena
λύκαινα	lycena
λύκαινα	lykɛna
λύκαινα	lýkai̯na
λύκαστοσ	likastos
λύκαστοσ	lykastos
λύκαστοσ	lýkastos
λύκαψοσ	likapsos
λύκαψοσ	lykapsos
λύκαψοσ	lýkapsos
λύκειον	licion
λύκειον	lycion
λύκειον	lykion
λύκειον	lýkeːon
λύκιοι	licii
λύκιοι	lyciy
λύκιοι	lykiy
λύκιοι	lýkioi̯
λύκιον	licion
λύκιον	lycion
λύκιον	lykion
λύκιον	lýkion
λύκιοσ	licios
λύκιοσ	lycios
λύκιοσ	lykios
λύκιοσ	lýkios
λύκοι	lici
λύκοι	lycy
λύκοι	lyky
λύκοι	lýkoi̯
λύκοσ	likos
λύκοσ	lykos
λύκοσ	lýkos
λύκτοσ	liktos
λύκτοσ	lyktos
λύκτοσ	lýktos
λύοι	lii
λύοι	lyy
λύοι	ly̌ːoi̯
λύοιεν	liien
λύοιεν	lyyen
λύοιεν	lyyɛn
λύοιεν	ly̌ːoi̯en
λύοιμεν	liimen
λύοιμεν	lyymen
λύοιμεν	lyymɛn
λύοιμεν	ly̌ːoi̯men
λύοιμι	liimi
λύοιμι	lyymi
λύοιμι	ly̌ːoi̯mi
λύοισ	liis
λύοισ	lyys
λύοισ	ly̌ːoi̯s
λύοιτε	liite
λύοιτε	lyyte
λύοιτε	lyytɛ
λύοιτε	ly̌ːoi̯te
λύοιτον	liiton
λύοιτον	lyyton
λύοιτον	ly̌ːoi̯ton
λύομαι	liome
λύομαι	lyome
λύομαι	lyomɛ
λύομαι	ly̌ːomai̯
λύομεν	liomen
λύομεν	lyomen
λύομεν	lyomɛn
λύομεν	ly̌ːomen
λύουσι	liusi
λύουσι	lyusi
λύουσι	ly̌ːoːsi
λύουσιν	liusin
λύουσιν	lyusin
λύουσιν	ly̌ːoːsin
λύπη	lipi
λύπη	lype
λύπη	lypi
λύπη	lýpɛː
λύρα	lira
λύρα	lyra
λύρα	lýra
λύσανδροσ	lisandros
λύσανδροσ	lysandros
λύσανδροσ	lýsandros
λύσασ	lisas
λύσασ	lysas
λύσασ	ly̌ːsaːs
λύσατε	lisate
λύσατε	lysate
λύσατε	lysatɛ
λύσατε	ly̌ːsate
λύσει	lisi
λύσει	lysi
λύσει	ly̌ːseː
λύσει	lýseː
λύσεισ	lisis
λύσεισ	lysis
λύσεισ	ly̌ːseːs
λύσεισ	lýseːs
λύσετε	lisete
λύσετε	lysete
λύσετε	lysɛtɛ
λύσετε	ly̌ːsete
λύσηι	lisi
λύσηι	lyse
λύσηι	lysi
λύσηι	ly̌ːsɛːi̯
λύσιπποσ	lisipos
λύσιπποσ	lysippos
λύσιπποσ	ly̌ːsippos
λύσισ	lisis
λύσισ	lysis
λύσισ	lýsis
λύσσα	lisa
λύσσα	lyssa
λύσσα	lýssa
λύστρα	listra
λύστρα	lystra
λύστρα	lýstra
λύστρα	lýstraː
λύσω	liso
λύσω	lyso
λύσω	ly̌ːsɔː
λύτο	lito
λύτο	lyto
λύτο	lýto
λύτρον	liptron
λύτρον	lyptron
λύτρον	lýptron
λύω	lio
λύω	lyo
λύω	ly̌ːɔː
λύωμεν	liomen
λύωμεν	lyomen
λύωμεν	lyomɛn
λύωμεν	ly̌ːɔːmen
λύων	lion
λύων	lyon
λύων	ly̌ːɔːn
λύωσι	liosi
λύωσι	lyosi
λύωσι	ly̌ːɔːsi
λύωσιν	liosin
λύωσιν	lyosin
λύωσιν	ly̌ːɔːsin
λώβη	lobe
λώβη	lovi
λώβη	loβi
λώβη	lɔ̌ːbɛː
λώβην	loben
λώβην	lovin
λώβην	loβin
λώβην	lɔ̌ːbɛːn
λώβηξ	lobeks
λώβηξ	loviks
λώβηξ	loβiks
λώβηξ	lɔ̌ːbɛːks
λώπη	lope
λώπη	lopi
λώπη	lɔ̌ːpɛː
λώρυμα	lorima
λώρυμα	loryma
λώρυμα	lɔ̌ːryma
λώτινοσ	lotinos
λώτινοσ	lɔ̌ːtinos
μά	ma
μά	má
μάγαδισ	maɡadis
μάγαδισ	maɣaðis
μάγαδισ	máɡadis
μάγγανον	maŋɡanon
μάγγανον	máŋɡanon
μάγδωλοσ	maɡdolos
μάγδωλοσ	maɣðolos
μάγδωλοσ	máɡdɔːlos
μάγειροσ	maɡiros
μάγειροσ	maɣiros
μάγειροσ	maʝiros
μάγειροσ	máɡeːros
μάγλα	maɡla
μάγλα	maɣla
μάγμα	maɡma
μάγμα	maɣma
μάγμα	máŋma
μάγνησ	maɡnes
μάγνησ	maɣnis
μάγνησ	máɡnɛːs
μάγνητεσ	maɡnetɛs
μάγνητεσ	maɣnites
μάγνητεσ	máɡnɛːtes
μάγοσ	maɡos
μάγοσ	maɣos
μάγοσ	máɡos
μάγων	maɡon
μάγων	maɣon
μάγων	máɡɔːn
μάδαρα	madara
μάδαρα	maðara
μάδαρα	mádara
μάδυτοσ	madytos
μάδυτοσ	maðitos
μάδυτοσ	maðytos
μάδυτοσ	mádytos
μάθημα	matʰema
μάθημα	maθima
μάθημα	mátʰɛːma
μάθησισ	matʰesis
μάθησισ	maθisis
μάθησισ	mátʰɛːsis
μάκαι	mace
μάκαι	makɛ
μάκαι	mákai̯
μάκαρ	makar
μάκαρ	mákar
μάκαρεσ	makares
μάκαρεσ	makarɛs
μάκαρεσ	mákares
μάκελλα	macela
μάκελλα	macella
μάκελλα	makella
μάκελλα	makɛlla
μάκελλα	mákella
μάκελλον	macellon
μάκελλον	macelon
μάκελλον	makellon
μάκελλον	makɛllon
μάκελλον	mákellon
μάκιρ	macir
μάκιρ	makir
μάκιστοσ	macistos
μάκιστοσ	makistos
μάκιστοσ	mǎːkistos
μάκρων	makron
μάκρων	mákrɔːn
μάκτρα	maktra
μάκτρα	máktra
μάλα	mala
μάλα	mála
μάλαγμα	malaɡma
μάλαγμα	malaɣma
μάλαγμα	málaŋma
μάλδακον	maldakon
μάλδακον	malðakon
μάλδακον	máldakon
μάλη	male
μάλη	mali
μάλη	málɛː
μάλθα	maltʰa
μάλθα	malθa
μάλθα	máltʰa
μάλιστ'	malist
μάλιστ'	málist
μάλιστα	malista
μάλιστα	málista
μάλκη	malci
μάλκη	malke
μάλκη	malki
μάλκη	málkɛː
μάλλιοσ	malios
μάλλιοσ	mallios
μάλλιοσ	mállios
μάλχοσ	malkʰos
μάλχοσ	malxos
μάλχοσ	málkʰos
μάμμη	mami
μάμμη	mamme
μάμμη	mammi
μάμμη	mámmɛː
μάν	man
μάν	mǎːn
μάνδαλοσ	mandalos
μάνδαλοσ	mándalos
μάνδρα	mandra
μάνδρα	mándraː
μάντισ	mandis
μάντισ	mantis
μάντισ	mántis
μάνυζα	maniza
μάνυζα	manyza
μάνυζα	mányzda
μάξυεσ	maksies
μάξυεσ	maksyes
μάξυεσ	maksyɛs
μάξυεσ	máksyes
μάραγδοσ	maraɡdos
μάραγδοσ	maraɣðos
μάραγδοσ	máraɡdos
μάραγνα	maraɡna
μάραγνα	maraɣna
μάραγνα	máraɡna
μάραθον	maratʰon
μάραθον	maraθon
μάραθον	máratʰon
μάργοσ	marɡos
μάργοσ	marɣos
μάργοσ	márɡos
μάρδοσ	mardos
μάρδοσ	marðos
μάρδοσ	márdos
μάρεια	maria
μάρεια	máreːa
μάρη	mare
μάρη	mari
μάρη	márɛː
μάρθα	marθa
μάριον	marion
μάριον	márion
μάρισ	maris
μάρισ	máris
μάρκελλοσ	marcellos
μάρκελλοσ	marcelos
μάρκελλοσ	markellos
μάρκελλοσ	markɛllos
μάρκελλοσ	mǎːrkellos
μάρκου	marku
μάρκου	mǎːrkoː
μάρμαροσ	marmaros
μάρμαροσ	mármaros
μάρναμαι	marname
μάρναμαι	marnamɛ
μάρναμαι	márnamai̯
μάρναντο	marnando
μάρναντο	marnanto
μάρναντο	márnanto
μάρνασθαι	marnastʰɛ
μάρνασθαι	marnasθe
μάρνασθαι	marnasθɛ
μάρνασθαι	márnastʰai̯
μάρπησσα	marpessa
μάρπησσα	marpisa
μάρπησσα	marpissa
μάρπησσα	márpɛːssa
μάρπτω	marpto
μάρπτω	márptɔː
μάρρον	maron
μάρρον	marron
μάρρον	mar̥r̥on
μάρρον	már̥r̥on
μάρτιοσ	martios
μάρτιοσ	mǎːrtios
μάρτυρ	martir
μάρτυρ	martyr
μάρτυρ	mártyr
μάρτυρα	martira
μάρτυρα	martyra
μάρτυρα	mártyra
μάρτυρεσ	martires
μάρτυρεσ	martyres
μάρτυρεσ	martyrɛs
μάρτυρεσ	mártyres
μάρτυροι	martiri
μάρτυροι	martyry
μάρτυροι	mártyroi̯
μάρτυροσ	martiros
μάρτυροσ	martyros
μάρτυροσ	mártyros
μάρτυσ	martis
μάρτυσ	martys
μάρτυσ	mártys
μάρων	maron
μάρων	márɔːn
μάσημα	masema
μάσημα	masima
μάσημα	másɛːma
μάσησ	mases
μάσησ	masis
μάσησ	mǎːsɛːs
μάσησισ	masesis
μάσησισ	masisis
μάσησισ	másɛːsis
μάσσω	maso
μάσσω	masso
μάσσω	mássɔː
μάσσων	mason
μάσσων	masson
μάσσων	mássɔːn
μάσταξ	mastaks
μάσταξ	mástaks
μάσταυρα	mastavra
μάσταυρα	mastawra
μάσταυρα	mastaβra
μάσταυρα	mástau̯ra
μάστιγα	mastiɡa
μάστιγα	mastiɣa
μάστιγα	mástiːɡa
μάστιγι	mastiɡi
μάστιγι	mastiɣi
μάστιγι	mastiʝi
μάστιγι	mástiːɡi
μάστιξ	mastiks
μάστιξ	mástiːks
μάστιξεν	mastiksen
μάστιξεν	mastiksɛn
μάστιξεν	mástiksen
μάταιοσ	mateos
μάταιοσ	matɛos
μάταιοσ	mátai̯os
μάτη	mate
μάτη	mati
μάτη	mátɛː
μάτηρ	mater
μάτηρ	matir
μάτηρ	mǎːtɛːr
μάτρυλλοσ	matrilos
μάτρυλλοσ	matryllos
μάτρυλλοσ	mátryllos
μάτταβοσ	matavos
μάτταβοσ	mattabos
μάτταβοσ	mattavos
μάτταβοσ	mattaβos
μάτταβοσ	máttabos
μάχαιρα	makʰɛra
μάχαιρα	maxɛra
μάχαιρα	maçera
μάχαιρα	mákʰai̯ra
μάχεσθαι	makʰɛstʰɛ
μάχεσθαι	maxesθɛ
μάχεσθαι	maçesθe
μάχεσθαι	mákʰestʰai̯
μάχη	makʰe
μάχη	maxi
μάχη	maçi
μάχη	mákʰɛː
μάχηι	makʰe
μάχηι	maxi
μάχηι	maçi
μάχηι	mákʰɛːi̯
μάχην	makʰen
μάχην	maxin
μάχην	maçin
μάχην	mákʰɛːn
μάχησ	makʰe
μάχησ	maxi
μάχησ	maçi
μάχησ	mákʰɛː
μάχιμοι	makʰimy
μάχιμοι	maximy
μάχιμοι	maçimi
μάχιμοι	maçimy
μάχιμοι	mákʰimoi̯
μάχιμοσ	makʰimos
μάχιμοσ	maximos
μάχιμοσ	maçimos
μάχιμοσ	mákʰimos
μάχλοσ	makʰlos
μάχλοσ	maxlos
μάχλοσ	mákʰlos
μάχλυεσ	makʰlyɛs
μάχλυεσ	maxlies
μάχλυεσ	maxlyes
μάχλυεσ	mákʰlyes
μάχοιτο	makʰyto
μάχοιτο	maxyto
μάχοιτο	maçito
μάχοιτο	maçyto
μάχοιτο	mákʰoi̯to
μάχομαι	makʰomɛ
μάχομαι	maxome
μάχομαι	maxomɛ
μάχομαι	mákʰomai̯
μάχονται	makʰontɛ
μάχονται	maxonde
μάχονται	maxonte
μάχονται	maxontɛ
μάχονται	mákʰontai̯
μάχοντο	emaxondo
μάχοντο	emaxonto
μάχοντο	emákʰonto
μάχοντο	ɛmakʰonto
μάψ	maps
μάψ	máps
μάϊοσ	maios
μάϊοσ	mǎːios
μέγ'	meɣ
μέγ'	méɡ
μέγ'	mɛɡ
μέγαθοσ	meɣaθos
μέγαθοσ	méɡatʰos
μέγαθοσ	mɛɡatʰos
μέγαν	meɣan
μέγαν	méɡan
μέγαν	mɛɡan
μέγαρα	meɣara
μέγαρα	méɡara
μέγαρα	mɛɡara
μέγαρον	meɣaron
μέγαρον	méɡaron
μέγαρον	mɛɡaron
μέγασ	meɣas
μέγασ	méɡas
μέγασ	mɛɡas
μέγεθοσ	meɣeθos
μέγεθοσ	meʝeθos
μέγεθοσ	méɡetʰos
μέγεθοσ	mɛɡɛtʰos
μέγησ	meɣis
μέγησ	meʝis
μέγησ	méɡɛːs
μέγησ	mɛɡes
μέγιστα	meɣista
μέγιστα	meʝista
μέγιστα	méɡista
μέγιστα	mɛɡista
μέγιστε	meɣiste
μέγιστε	meʝiste
μέγιστε	méɡiste
μέγιστε	mɛɡistɛ
μέγιστοι	meɣisty
μέγιστοι	meʝisti
μέγιστοι	meʝisty
μέγιστοι	méɡistoi̯
μέγιστοι	mɛɡisty
μέγιστον	meɣiston
μέγιστον	meʝiston
μέγιστον	méɡiston
μέγιστον	mɛɡiston
μέγιστοσ	meɣistos
μέγιστοσ	meʝistos
μέγιστοσ	méɡistos
μέγιστοσ	mɛɡistos
μέδιμνοσ	meðimnos
μέδιμνοσ	médimnos
μέδιμνοσ	mɛdimnos
μέδομαι	meðome
μέδομαι	meðomɛ
μέδομαι	médomai̯
μέδομαι	mɛdomɛ
μέδοντεσ	meðondes
μέδοντεσ	meðontes
μέδοντεσ	médontes
μέδοντεσ	mɛdontɛs
μέδουσα	meðusa
μέδουσα	médoːsa
μέδουσα	mɛdusa
μέδω	meðo
μέδω	médɔː
μέδω	mɛdo
μέδων	meðon
μέδων	médɔːn
μέδων	mɛdon
μέθοδοσ	meθoðos
μέθοδοσ	métʰodos
μέθοδοσ	mɛtʰodos
μέθυ	meθi
μέθυ	meθy
μέθυ	métʰy
μέθυ	mɛtʰy
μέλαθρον	melaθron
μέλαθρον	mélatʰron
μέλαθρον	mɛlatʰron
μέλαιναι	melene
μέλαιναι	melɛnɛ
μέλαιναι	mélai̯nai̯
μέλαιναι	mɛlɛnɛ
μέλαιναν	melenan
μέλαιναν	melɛnan
μέλαιναν	mélai̯nan
μέλαιναν	mɛlɛnan
μέλαν	melan
μέλαν	mélan
μέλαν	mɛlan
μέλανα	melana
μέλανα	mélana
μέλανα	mɛlana
μέλανοσ	melanos
μέλανοσ	mélanos
μέλανοσ	mɛlanos
μέλασ	melas
μέλασ	mélaːs
μέλασ	mɛlas
μέλασμα	melazma
μέλασμα	mélazma
μέλασμα	mɛlazma
μέλδομαι	melðome
μέλδομαι	melðomɛ
μέλδομαι	méldomai̯
μέλδομαι	mɛldomɛ
μέλει	meli
μέλει	méleː
μέλει	mɛli
μέλεοσ	meleos
μέλεοσ	méleos
μέλεοσ	mɛlɛos
μέλημα	melima
μέλημα	mélɛːma
μέλημα	mɛlema
μέλητοσ	melitos
μέλητοσ	mélɛːtos
μέλητοσ	mɛletos
μέλι	meli
μέλι	méli
μέλι	mɛli
μέλινοσ	melinos
μέλινοσ	mélinos
μέλινοσ	mɛlinos
μέλισσα	melisa
μέλισσα	melissa
μέλισσα	mélissa
μέλισσα	mɛlissa
μέλιττα	melita
μέλιττα	melitta
μέλιττα	mélitta
μέλιττα	mɛlitta
μέλκα	melka
μέλκα	mélkaː
μέλκα	mɛlka
μέλκιον	melcion
μέλκιον	melkion
μέλκιον	mélkion
μέλκιον	mɛlkion
μέλλει	meli
μέλλει	melli
μέλλει	mélleː
μέλλει	mɛlli
μέλλον	mellon
μέλλον	melon
μέλλον	méllon
μέλλον	mɛllon
μέλλοντα	mellonta
μέλλοντα	melonda
μέλλοντα	méllonta
μέλλοντα	mɛllonta
μέλλοντασ	mellontas
μέλλοντασ	melondas
μέλλοντασ	méllontas
μέλλοντασ	mɛllontas
μέλλοντεσ	mellontes
μέλλοντεσ	melondes
μέλλοντεσ	méllontes
μέλλοντεσ	mɛllontɛs
μέλλοντοσ	mellontos
μέλλοντοσ	melondos
μέλλοντοσ	méllontos
μέλλοντοσ	mɛllontos
μέλλω	mello
μέλλω	melo
μέλλω	méllɔː
μέλλω	mɛllo
μέλλων	mellon
μέλλων	melon
μέλλων	méllɔːn
μέλλων	mɛllon
μέλοσ	melos
μέλοσ	mélos
μέλοσ	mɛlos
μέλπηθρα	melpiθra
μέλπηθρα	mélpɛːtʰra
μέλπηθρα	mɛlpetʰra
μέλπω	melpo
μέλπω	mélpɔː
μέλπω	mɛlpo
μέλω	melo
μέλω	mélɔː
μέλω	mɛlo
μέλων	melon
μέλων	mélɔːn
μέλων	mɛlon
μέμαα	memaa
μέμαα	mémaa
μέμαα	mɛmaa
μέμασαν	memasan
μέμασαν	mémasan
μέμασαν	mɛmasan
μέμβλησ	memblis
μέμβλησ	mémblɛːs
μέμβλησ	mɛmbles
μέμμιοσ	memios
μέμμιοσ	memmios
μέμμιοσ	mémmios
μέμμιοσ	mɛmmios
μέμνων	memnon
μέμνων	mémnɔːn
μέμνων	mɛmnon
μέμονα	memona
μέμονα	mémona
μέμονα	mɛmona
μέμφισ	memfis
μέμφισ	memɸis
μέμφισ	mémpʰis
μέμφισ	mɛmpʰis
μέμφομαι	memfome
μέμφομαι	memɸomɛ
μέμφομαι	mémpʰomai̯
μέμφομαι	mɛmpʰomɛ
μέν	men
μέν	mén
μέν	mɛn
μέναιχμοσ	menexmos
μέναιχμοσ	menɛxmos
μέναιχμοσ	ménai̯kʰmos
μέναιχμοσ	mɛnɛkʰmos
μένανδροσ	menandros
μένανδροσ	ménandros
μένανδροσ	mɛnandros
μένδη	mendi
μένδη	méndɛː
μένδη	mɛnde
μένε	mene
μένε	méne
μένε	mɛnɛ
μένει	meni
μένει	méneː
μένει	mɛni
μένειν	menin
μένειν	méneːn
μένειν	mɛnin
μένεισ	menis
μένεισ	méneːs
μένεισ	mɛnis
μένεοσ	meneos
μένεοσ	méneos
μένεοσ	mɛnɛos
μένετε	menete
μένετε	ménete
μένετε	mɛnɛtɛ
μένιπποσ	menipos
μένιπποσ	menippos
μένιπποσ	ménippos
μένιπποσ	mɛnippos
μένον	menon
μένον	ménon
μένον	mɛnon
μένοντεσ	menondes
μένοντεσ	menontes
μένοντεσ	ménontes
μένοντεσ	mɛnontɛs
μένοσ	menos
μένοσ	ménos
μένοσ	mɛnos
μέντοι	mendi
μέντοι	menty
μέντοι	méntoi̯
μέντοι	mɛnty
μέντορι	mendori
μέντορι	mentori
μέντορι	méntori
μέντορι	mɛntori
μέντωρ	mendor
μέντωρ	mentor
μέντωρ	méntɔːr
μέντωρ	mɛntor
μένω	meno
μένω	ménɔː
μένω	mɛno
μένων	menon
μένων	ménɔːn
μένων	mɛnon
μέρει	meri
μέρει	méreː
μέρει	mɛri
μέριμνα	merimna
μέριμνα	mérimna
μέριμνα	mɛrimna
μέρμεροσ	mermeros
μέρμεροσ	mérmeros
μέρμεροσ	mɛrmɛros
μέρμισ	mermis
μέρμισ	mérmiːs
μέρμισ	mɛrmis
μέρμνοσ	mermnos
μέρμνοσ	mérmnos
μέρμνοσ	mɛrmnos
μέροσ	meros
μέροσ	méros
μέροσ	mɛros
μέροψ	merops
μέροψ	mérops
μέροψ	mɛrops
μέσακλον	mesaklon
μέσακλον	mésaklon
μέσακλον	mɛsaklon
μέσκοσ	meskos
μέσκοσ	méskos
μέσκοσ	mɛskos
μέσοσ	mesos
μέσοσ	mésos
μέσοσ	mɛsos
μέσπιλα	mespila
μέσπιλα	mɛspila
μέσπιλον	mespilon
μέσπιλον	méspilon
μέσπιλον	mɛspilon
μέσση	mesi
μέσση	messi
μέσση	méssɛː
μέσση	mɛsse
μέσσηι	mesi
μέσσηι	messi
μέσσηι	méssɛːi̯
μέσσηι	mɛsse
μέσσην	mesin
μέσσην	messin
μέσσην	méssɛːn
μέσσην	mɛssen
μέσσοισι	mesisi
μέσσοισι	messysi
μέσσοισι	méssoi̯si
μέσσοισι	mɛssysi
μέσσον	meson
μέσσον	messon
μέσσον	mésson
μέσσον	mɛsson
μέσσοσ	mesos
μέσσοσ	messos
μέσσοσ	méssos
μέσσοσ	mɛssos
μέσσωι	meso
μέσσωι	messo
μέσσωι	méssɔːi̯
μέσσωι	mɛsso
μέστριοσ	mestrios
μέστριοσ	méstrios
μέστριοσ	mɛstrios
μέσωι	meso
μέσωι	mésɔːi̯
μέσωι	mɛso
μέτα	meta
μέτα	méta
μέτα	mɛta
μέταλλον	metallon
μέταλλον	metalon
μέταλλον	métallon
μέταλλον	mɛtallon
μέταξα	metaksa
μέταξα	métaksa
μέταξα	mɛtaksa
μέταυροσ	metavros
μέταυροσ	metaβros
μέταυροσ	métau̯ros
μέταυροσ	mɛtawros
μέτελλοσ	metellos
μέτελλοσ	metelos
μέτελλοσ	métellos
μέτελλοσ	mɛtɛllos
μέτοικοσ	metikos
μέτοικοσ	metykos
μέτοικοσ	métoi̯kos
μέτοικοσ	mɛtykos
μέτρια	metria
μέτρια	métria
μέτρια	mɛtria
μέτριοι	metrii
μέτριοι	metriy
μέτριοι	métrioi̯
μέτριοι	mɛtriy
μέτριοσ	metrios
μέτριοσ	métrios
μέτριοσ	mɛtrios
μέτρον	metron
μέτρον	métron
μέτρον	mɛtron
μέτων	meton
μέτων	métɔːn
μέτων	mɛton
μέτωπον	metopon
μέτωπον	métɔːpon
μέτωπον	mɛtopon
μέχρι	mexri
μέχρι	mékʰri
μέχρι	mɛkʰri
μή	me
μή	mi
μή	mɛ̌ː
μήδεα	medɛa
μήδεα	miðea
μήδεα	mɛ̌ːdea
μήδεια	media
μήδεια	miðia
μήδεια	mɛ̌ːdeːa
μήδετο	medɛto
μήδετο	miðeto
μήδετο	mɛ̌ːdeto
μήδοισ	medys
μήδοισ	miðis
μήδοισ	miðys
μήδοισ	mɛ̌ːdoi̯s
μήδομαι	medomɛ
μήδομαι	miðome
μήδομαι	miðomɛ
μήδομαι	mɛ̌ːdomai̯
μήδου	medu
μήδου	miðu
μήδου	mɛ̌ːdoː
μήδουσ	medus
μήδουσ	miðus
μήδουσ	mɛ̌ːdoːs
μήδωι	medo
μήδωι	miðo
μήδωι	mɛ̌ːdɔːi̯
μήδων	medon
μήδων	miðon
μήδων	mɛ̌ːdɔːn
μήθυμνα	metʰymna
μήθυμνα	miθimna
μήθυμνα	miθymna
μήθυμνα	mɛ̌ːtʰymna
μήκων	mekon
μήκων	mikon
μήκων	mɛ̌ːkɔːn
μήλη	mele
μήλη	mili
μήλη	mɛ̌ːlɛː
μήλινοσ	melinos
μήλινοσ	milinos
μήλινοσ	mɛ̌ːlinos
μήλου	melu
μήλου	milu
μήλου	mɛ̌ːloː
μήλωθρον	melotʰron
μήλωθρον	miloθron
μήλωθρον	mɛ̌ːlɔːtʰron
μήλων	melon
μήλων	milon
μήλων	mɛ̌ːlɔːn
μήν	men
μήν	min
μήν	mɛ̌ːn
μήνη	mene
μήνη	mini
μήνη	mɛ̌ːnɛː
μήνιγγοσ	meniŋɡos
μήνιγγοσ	miniŋɡos
μήνιγγοσ	mɛ̌ːniŋɡos
μήνιον	menion
μήνιον	minion
μήνιον	mɛ̌ːnion
μήποτε	mepotɛ
μήποτε	mipote
μήποτε	mɛ̌ːpote
μήρινθοσ	merintʰos
μήρινθοσ	mirinθos
μήρινθοσ	mɛ̌ːrintʰos
μήστωρ	mestor
μήστωρ	mistor
μήστωρ	mɛ̌ːstɔːr
μήτ'	met
μήτ'	mit
μήτ'	mɛ̌ːt
μήτε	metɛ
μήτε	mite
μήτε	mɛ̌ːte
μήτηρ	meter
μήτηρ	mitir
μήτηρ	mɛ̌ːtɛːr
μήτρα	metra
μήτρα	mitra
μήτρα	mɛ̌ːtraː
μία	mia
μία	mía
μίαν	mian
μίαν	mían
μίασμα	miazma
μίασμα	míazma
μίαχοσ	miakʰos
μίαχοσ	miaxos
μίγμα	miɡma
μίγμα	miɣma
μίγμα	míŋma
μίγνυμι	miɡnymi
μίγνυμι	miɣnimi
μίγνυμι	miɣnymi
μίγνυμι	mǐːɡnyːmi
μίδασ	midas
μίδασ	miðas
μίδασ	mídaːs
μίδεια	midia
μίδεια	miðia
μίδεια	mídeːa
μίεζα	mieza
μίεζα	miɛza
μίεζα	míezda
μίθρασ	mitʰras
μίθρασ	miθras
μίθρασ	mítʰraːs
μίλητον	mileton
μίλητον	militon
μίλητον	mǐːlɛːton
μίλητοσ	miletos
μίλητοσ	militos
μίλητοσ	mǐːlɛːtos
μίλτινοσ	miltinos
μίλτινοσ	míltinos
μίλτοσ	miltos
μίλτοσ	míltos
μίλων	milon
μίλων	mílɔːn
μίμαρκυσ	mimarcis
μίμαρκυσ	mimarcys
μίμαρκυσ	mimarkys
μίμαρκυσ	mímarkys
μίμνειν	mimnin
μίμνειν	mímneːn
μίμνω	mimno
μίμνω	mímnɔː
μίνδαροσ	mindaros
μίνδαροσ	míndaros
μίνθη	mintʰe
μίνθη	minθi
μίνθη	míntʰɛː
μίνθοσ	mintʰos
μίνθοσ	minθos
μίνθοσ	míntʰos
μίνιον	minion
μίνιον	mínion
μίνυνθα	mininθa
μίνυνθα	minyntʰa
μίνυνθα	minynθa
μίνυνθα	mínyntʰa
μίνω	mino
μίνω	mǐːnɔː
μίνωσ	minos
μίνωσ	mǐːnɔːs
μίξισ	miksis
μίξισ	míksis
μίσγω	mizɡo
μίσγω	mizɣo
μίσγω	mízɡɔː
μίσημα	misema
μίσημα	misima
μίσημα	mǐːsɛːma
μίστυλλον	mistilon
μίστυλλον	mistyllon
μίστυλλον	místyllon
μίσυ	misi
μίσυ	misy
μίσυ	mísy
μίσχοσ	miskʰos
μίσχοσ	misxos
μίσχοσ	mískʰos
μίτοσ	mitos
μίτοσ	mítos
μίτρα	mitra
μίτρα	mítra
μᾶζα	maza
μᾶζα	mâːzda
μᾶκοσ	makos
μᾶκοσ	mâːkos
μᾶλλον	mallon
μᾶλλον	malon
μᾶλλον	mâːllon
μᾶνισ	manis
μᾶνισ	mâːnis
μᾶρκοσ	markos
