və	vˈæ
diskin	discˈin
dişilərin	diʃilæɾˈin
doktorudur	doçtoɾudˈur
dramı	dramˈɯ
düşsə	dˈyʃsæ
dəyişdirərək	dæjiʃdiɾæɾˈæç
elmlərdə	elmlˈærdæ
empirik	empiɾˈiç
etdiklərinə	etdiçlæɾˈinæ
etnoqrafiya	etnoɡrˈafia
fakültənin	facyltænˈin
fazada	fazadˈa
firmaların	firmaɫaɾˈɯn
formalaşdıran	formaɫaʃdɯɾˈan
futbola	futboɫˈa
gimnastika	ɟimnasticˈa
görünmüşdür	ɟœɾynmyʃdˈyr
gözlü	ɟœzlˈy
gənclərdən	ɟænd͡ʒlærdˈæn
hadisədə	hadisˈædæ
hamamın	hamamˈɯn
hamardır	hamardˈɯr
havanı	havanˈɯ
hazırlanmasını	hazɯrɫanmasɯnˈɯ
hövzələri	hœvzælæɾˈi
hücumlarından	hyd͡ʒumɫaɾɯndˈan
ideyanı	idejanˈɯ
ikisində	icisˈindæ
iltihabi	iltihabˈi
interaktiv	inteɾaçtˈiv
irihəcmli	iɾihæd͡ʒmlˈi
istifadəsində	istifadæsˈindæ
keçmişin	cet͡ʃmiʃˈin
klublarının	çɫubɫaɾɯnˈɯn
kollektivin	coɫleçtivˈin
konqres	conɡrˈes
kursda	cursdˈa
küləklərin	cylæçlæɾˈin
maddəsinin	maddæsinˈin
mediada	mediadˈa
mehrab	mehrˈab
mexanizminin	mexanizminˈin
mi	mˈi
mitinq	mit͡sˈinx
monarx	monˈarx
müdafiəsində	mydafiæsˈindæ
mühitlə	myhˈitlæ
mülkiyyətində	mylcijjætˈindæ
məhkəmələr	mæhcæmælˈær
məhkəməsinin	mæhcæmæsinˈin
mənbəyinin	mænbæjinˈin
mənzərələri	mænzæɾælæɾˈi
məqamları	mæɡamɫaɾˈɯ
mərd	mˈærd
məxluq	mæxɫˈux
məzarlığında	mæzarɫɯɯɯndˈa
məzmunda	mæzmundˈa
nitqi	nitɡˈi
niyyət	nijjˈæt
norması	normasˈɯ
odda	oddˈa
olacaqlar	oɫad͡ʒaɡɫˈar
olunana	oɫunanˈa
ordeninə	ordenˈinæ
orqanlarda	orɡanɫardˈa
paketləri	pacetlæɾˈi
pedaqogika	pedaɡoɟicˈa
periodik	peɾiodˈiç
peykləri	pejçlæɾˈi
peyvənd	pejvˈænd
pozulmuş	pozuɫmˈuʃ
qardaşın	ɡardaʃˈɯn
qarnizon	ɡarnizˈon
qayıdandan	ɡajɯdandˈan
qazan	ɡazˈan
qazanılan	ɡazanɯɫˈan
qorudu	ɡoɾudˈu
qoymur	ɡojmˈur
qüsl	ɡˈysl
qüvvət	ɡyvvˈæt
qəbilənin	ɡæbilænˈin
robot	robˈot
romalıların	romaɫɯɫaɾˈɯn
rəyinə	ræjˈinæ
sahillərindən	sahillæɾindˈæn
sözdə	sˈœzdæ
tammetrajlı	tammetraʒɫˈɯ
tanınmasına	tanɯnmasɯnˈa
terminlər	terminlˈær
testi	testˈi
toyu	tojˈu
tutmasına	tutmasɯnˈa
tutmur	tutmˈur
təcrübələrini	tæd͡ʒrybælæɾinˈi
təfsiri	tæfsiɾˈi
təkərli	tæcærlˈi
təmtəraqlı	tæmtæɾaɡɫˈɯ
təsdiqləndi	tæsdiɡlændˈi
təşəbbüskarı	tæʃæbbyscaɾˈɯ
uşaqlıqda	uʃaɡɫɯɡdˈa
vaqon	vaɡˈon
varlıqları	varɫɯɡɫaɾˈɯ
vaxtları	vaxtɫaɾˈɯ
vəsaitlər	væsa͡ɪtlˈær
xala	xaɫˈa
xalqdan	xaɫɡdˈan
xassəyə	xassˈæjæ
xüsusiyyətlərdən	xysusijjætlærdˈæn
xəta	xætˈa
xəzinəsinə	xæzinæsˈinæ
yayımlamışdır	jajɯmɫamɯʃdˈɯr
yayır	jajˈɯr
zavodlarında	zavodɫaɾɯndˈa
zərurət	zæɾuɾˈæt
çarə	t͡ʃˈaɾæ
çiçəkləmə	t͡ʃit͡ʃæçlˈæmæ
çıxsa	t͡ʃɯxsˈa
çəkirdilər	t͡ʃæcirdilˈær
ö	ˈœ
ölülər	œlylˈær
öləndən	œlændˈæn
öyrənə	œjrˈænæ
İblis	iblˈis
İdris	idrˈis
İsfahan	isfahˈan
İttifaqları	ittifaɡɫaɾˈɯ
Şahmar	ʃahmˈar
şad	ʃˈad
şücaət	ʃyd͡ʒaˈæt
şərqşünas	ʃærɡʃynˈas
şəxslərlə	ʃæxslˈærlæ
əleyhdarları	ælejhdarɫaɾˈɯ
ərik	æɾˈiç
əsiri	æsiɾˈi
əsən	æsˈæn
Afinanın	afinanˈɯn
Akademiyasını	academijasɯnˈɯ
Amur	amˈur
Bay	bˈaj
Benqal	benɡˈaɫ
Comics	d͡ʒomˈid͡ʒs
Divarların	divarɫaɾˈɯn
Endryu	endrjˈu
Everest	eveɾˈest
Fyodor	fjodˈor
Getdikcə	ɟetdˈiçd͡ʒæ
Heykəl	hejcˈæl
Hollivud	hoɫlivˈud
Janna	ʒannˈa
Journal	ʒournˈaɫ
Klinik	çlinˈiç
Külək	cylˈæç
Leonardonun	leonardonˈun
Məhəmmədə	mæhæmmˈædæ
Nova	novˈa
Oleq	olˈex
Oliverin	oliveɾˈin
Pensilvaniya	pensilvˈania
Proses	prosˈes
Qorki	ɡorcˈi
Qoyun	ɡojˈun
Roy	rˈoj
Ruhun	ruhˈun
Seul	seˈuɫ
Sistemi	sistemˈi
Sofi	sofˈi
Sərçə	sˈært͡ʃæ
Torpağı	torpaːˈɯ
Təpə	tˈæpæ
Yerüstü	jeɾystˈy
abidəni	abidænˈi
adasını	adasɯnˈɯ
adlanırlar	adɫanɯrɫˈar
ailələrindən	a͡ɪlælæɾindˈæn
akademiyanın	academijanˈɯn
albomlarını	aɫbomɫaɾɯnˈɯ
anlamda	anɫamdˈa
araba	aɾabˈa
arasındaki	aɾasɯndacˈi
atomlarının	atomɫaɾɯnˈɯn
atışmada	atɯʃmadˈa
axtarırdı	axtaɾɯrdˈɯ
axtarırlar	axtaɾɯrɫˈar
açması	at͡ʃmasˈɯ
açmışdı	at͡ʃmɯʃdˈɯ
bacarırdı	bad͡ʒaɾɯrdˈɯ
balı	baɫˈɯ
bayıra	bajɯɾˈa
başlanğıcından	baʃɫanɣɯd͡ʒɯndˈan
başlayandan	baʃɫajandˈan
binadır	binadˈɯr
birləşmək	birlæʃmˈæç
bitmiş	bitmˈiʃ
boruları	boɾuɫaɾˈɯ
bölməyə	bœlmˈæjæ
bölüm	bœlˈym
bürosu	byɾosˈu
bədənləri	bædænlæɾˈi
bərkidilir	bærcidilˈir
dayanaraq	dajanaɾˈax
dolur	doɫˈur
düzəltdiyi	dyzæltdijˈi
dəfnə	dˈæfnæ
dəqiqlik	dæɡiɡlˈiç
dəyərləndirilir	dæjærlændiɾilˈir
ekspertlər	eçspertlˈær
ermənilərlə	ermænilˈærlæ
eşitdiyi	eʃitdijˈi
fantastika	fantasticˈa
folklorunun	foɫçɫoɾunˈun
formalaşıb	formaɫaʃˈɯb
gənci	ɟænd͡ʒˈi
həllinin	hællinˈin
hərəkətverici	hæɾæcætveɾid͡ʒˈi
həyatları	hæjatɫaɾˈɯ
icazəsiz	id͡ʒazæsˈiz
imamın	imamˈɯn
inamla	inamɫˈa
insanlardır	insanɫardˈɯr
irsin	irsˈin
istehsalçıları	istehsaɫt͡ʃɯɫaɾˈɯ
işləməklə	iʃlæmˈæçlæ
kampusda	campusdˈa
karst	cˈarst
kolleksiyasına	coɫleçsijasɯnˈa
köçməyə	cœt͡ʃmˈæjæ
kütlələrin	cytlælæɾˈin
kəpənək	cæpænˈæç
l	ˈel
liflər	liflˈær
lövhənin	lœvhænˈin
makroiqtisadi	maçroiɡtisadˈi
maneəsiz	maneæsˈiz
matçlar	matt͡ʃɫˈar
metodoloji	metodoɫoʒˈi
millətçilik	millætt͡ʃilˈiç
modelinə	modelˈinæ
musiqiçiləri	musiɡit͡ʃilæɾˈi
muzeylər	muzejlˈær
möcüzələr	mœd͡ʒyzælˈær
möhür	mœhˈyr
müasiri	myasiɾˈi
mübahisələrin	mybahisælæɾˈin
müəssisələrindən	myæssisælæɾindˈæn
mədənin	mædænˈin
məhsula	mæhsuɫˈa
məktəbli	mæçtæblˈi
məskunlaşır	mæscunɫaʃˈɯr
normadan	normadˈan
nöqtəsidir	nœɡtæsidˈir
nəzəriyyəni	næzæɾijjænˈi
obyektlərə	objeçtlˈæɾæ
oksidləşdirici	oçsidlæʃdiɾid͡ʒˈi
ortasından	ortasɯndˈan
otu	otˈu
ovalığının	ovaɫɯɯɯnˈɯn
oxvari	oxvaɾˈi
oynamışlar	ojnamɯʃɫˈar
oyunlara	ojunɫaɾˈa
planlaşdırılmış	pɫanɫaʃdɯɾɯɫmˈɯʃ
poemaları	poemaɫaɾˈɯ
pulunu	puɫunˈu
qalxmaq	ɡaɫxmˈax
qanunauyğunluqlarını	ɡanunaujɣunɫuɡɫaɾɯnˈɯ
qatdan	ɡatdˈan
qayaüstü	ɡajaystˈy
qayğısı	ɡajɣɯsˈɯ
qoşulmağa	ɡoʃuɫmˈaː
qu	ɡˈu
quldurlar	ɡuɫdurɫˈar
qırılma	ɡɯɾɯɫmˈa
qədərini	ɡædæɾinˈi
qəlbi	ɡælbˈi
qəsəbəsinə	ɡæsæbæsˈinæ
rənglərlə	rænɟlˈærlæ
rəqabətə	ræɡabˈætæ
soyuducu	sojudud͡ʒˈu
strategiyası	strateɟijasˈɯ
studiyasının	studijasɯnˈɯn
səhih	sæhˈih
sərvətləri	særvætlæɾˈi
səviyyələrdə	sævijjælˈærdæ
səylə	sˈæjlæ
tapşırığını	tapʃɯɾɯɯɯnˈɯ
terminin	terminˈin
tikintisini	ticintisinˈi
toxumaların	toxumaɫaɾˈɯn
turşuların	turʃuɫaɾˈɯn
tutduqları	tutduɡɫaɾˈɯ
təcrübəni	tæd͡ʒrybænˈi
təhsillərini	tæhsillæɾinˈi
təqaüdçüsü	tæɡaydt͡ʃysˈy
təqiblərə	tæɡiblˈæɾæ
təşkilatıdır	tæʃciɫatɯdˈɯr
uzunluğundadır	uzunɫuːndadˈɯr
vena	venˈa
verməkdədir	vermæçdædˈir
vilayətdə	viɫajˈætdæ
vokalist	vocalˈist
vətəndaşın	vætændaʃˈɯn
xammalı	xammaɫˈɯ
xəstəyə	xæstˈæjæ
yandırıldı	jandɯɾɯɫdˈɯ
yaralanmışdı	jaɾaɫanmɯʃdˈɯ
yaralar	jaɾaɫˈar
yazılarla	jazɯɫarɫˈa
yenilikləri	jeniliçlæɾˈi
yumurtavarı	jumurtavaɾˈɯ
yığmasına	jɯɯmasɯnˈa
zəngi	zænɟˈi
Öncə	ˈœnd͡ʒæ
çatdırmağa	t͡ʃatdɯrmˈaː
çağında	t͡ʃaːɯndˈa
çıxılmaz	t͡ʃɯxɯɫmˈaz
öldürdüyü	œldyrdyjˈy
İqbal	iɡbˈaɫ
Şao	ʃaˈo
Şeirləri	ʃeirlæɾˈi
şanlı	ʃanɫˈɯ
şeirlərinə	ʃeirlæɾˈinæ
şəbəkəsində	ʃæbæcæsˈindæ
şəxsdən	ʃæxsdˈæn
şəxslə	ʃˈæxslæ
Əhmədli	æhmædlˈi
ədalətin	ædalætˈin
əyalətlərdə	æjalætlˈærdæ
əşyalarının	æʃjaɫaɾɯnˈɯn
Alınmış	aɫɯnmˈɯʃ
Assur	assˈur
Ağabala	aːbaɫˈa
Bayrağın	bajraːˈɯn
Big	bˈiɟ
Buddanın	buddanˈɯn
Camaat	d͡ʒamaˈat
Cimmi	d͡ʒimmˈi
Cud	d͡ʒˈud
Cütlük	d͡ʒytlˈyç
Dadaş	dadˈaʃ
Dalğa	daɫɣˈa
Diplomatik	dipɫomatˈiç
Eksperimental	eçspeɾimentˈaɫ
Eş	ˈeʃ
Frensis	frensˈis
Fərhadın	færhadˈɯn
Güllü	ɟyllˈy
Hacıbaba	had͡ʒɯbabˈa
Hacıqabul	had͡ʒɯɡabˈuɫ
Helen	helˈen
Homo	homˈo
Həcc	hˈæd͡ʒd͡ʒ
Kiyevdə	cijˈevdæ
Lənkəranın	læncæɾanˈɯn
Ləçəkləri	læt͡ʃæçlæɾˈi
Mansurov	mansuɾˈov
Maria	maɾiˈa
Marsel	marsˈel
Misiri	misiɾˈi
Mister	mistˈer
Məişət	mæiʃˈæt
Məkkəyə	mæçcˈæjæ
Na	nˈa
Nəsirəddin	næsiɾæddˈin
Oğul	oːˈuɫ
Pis	pˈis
Qartal	ɡartˈaɫ
Qatar	ɡatˈar
Qrupa	ɡrupˈa
Quliyeva	ɡulijevˈa
Qvardiya	ɡvˈardia
Qəsəbənin	ɡæsæbænˈin
Qəzvin	ɡæzvˈin
Qəzənfər	ɡæzænfˈær
Ramin	ramˈin
Regionun	reɟionˈun
Rik	rˈiç
Rüfət	ryfˈæt
Simfonik	simfonˈiç
Solomon	soɫomˈon
Tayvan	tajvˈan
Tunis	tunˈis
Tənqidçilər	tænɡidt͡ʃilˈær
Təsviri	tæsviɾˈi
Universitetindən	universit͡set͡sindˈæn
adalarından	adaɫaɾɯndˈan
adaptasiyası	adaptasijasˈɯ
aktyorları	açtjorɫaɾˈɯ
amorf	amˈorf
anlaya	anɫajˈa
aparmalı	aparmaɫˈɯ
aparıla	apaɾɯɫˈa
aramsız	aɾamsˈɯz
arxitekturası	arxit͡seçtuɾasˈɯ
arzularını	arzuɫaɾɯnˈɯ
asfalt	asfˈaɫt
atılıb	atɯɫˈɯb
axmaq	axmˈax
ayaqda	ajaɡdˈa
azadlığına	azadɫɯɯɯnˈa
aşkarlanır	aʃcarɫanˈɯr
barış	baɾˈɯʃ
bağlama	baːɫamˈa
bilinməkdədir	bilinmæçdædˈir
biliyin	bilijˈin
birləşməsini	birlæʃmæsinˈi
bitkilərinə	bitcilæɾˈinæ
buzlaqların	buzɫaɡɫaɾˈɯn
bölgələrdən	bœlɟælærdˈæn
bölünən	bœlynˈæn
cavablar	d͡ʒavabɫˈar
dalğalarının	daɫɣaɫaɾɯnˈɯn
dayandırıb	dajandɯɾˈɯb
daşıdığını	daʃɯdɯɯɯnˈɯ
delta	deltˈa
digərlərini	diɟærlæɾinˈi
dildir	dildˈir
dindən	dindˈæn
dinində	dinˈindæ
duyduğu	dujdˈuː
edilməmişdi	edilmæmiʃdˈi
ehtiyata	ehtijatˈa
elmlərlə	elmlˈærlæ
etməz	etmˈæz
evlərindən	evlæɾindˈæn
fermentlərin	fermentlæɾˈin
filologiyası	fiɫoɫoɟijasˈɯ
formalaşdı	formaɫaʃdˈɯ
fındıq	fɯndˈɯx
fəaliyyətlərinə	fæalijjætlæɾˈinæ
getməsini	ɟetmæsinˈi
gizlin	ɟizlˈin
görkəmi	ɟœrcæmˈi
götürə	ɟœt͡sˈyɾæ
güllər	ɟyllˈær
güzəştlər	ɟyzæʃtlˈær
gəmisinə	ɟæmisˈinæ
hesaba	hesabˈa
huşunu	huʃunˈu
hökumətdə	hœcumˈætdæ
hüceyrələrdə	hyd͡ʒejrælˈærdæ
həyatla	hæjatɫˈa
ianə	iˈanæ
imzalayıb	imzaɫajˈɯb
inamını	inamɯnˈɯ
inanclar	inand͡ʒɫˈar
ionları	ionɫaɾˈɯ
irsən	irsˈæn
ispanlar	ispanɫˈar
istehsalçılar	istehsaɫt͡ʃɯɫˈar
istəməsi	istæmæsˈi
içəridə	it͡ʃæɾˈidæ
iğtişaşlar	ijtiʃaʃɫˈar
işlənmə	iʃlˈænmæ
jurnalına	ʒurnaɫɯnˈa
kilsələrin	cilsælæɾˈin
kitablarından	citabɫaɾɯndˈan
körfəzinə	cœrfæzˈinæ
köçü	cœt͡ʃˈy
kərpiclə	cærpˈid͡ʒlæ
liqaya	liɡajˈa
mahalına	mahaɫɯnˈa
mayedir	majedˈir
memarlığına	memarɫɯɯɯnˈa
ml	ˌemˈel
mövcudluğunun	mœvd͡ʒudɫuːnˈun
mövqeyinin	mœvɡejinˈin
mürəkkəbdir	myɾæçcæbdˈir
müsəlmanlarının	mysælmanɫaɾɯnˈɯn
məməlilər	mæmælilˈær
məşhurlaşan	mæʃhurɫaʃˈan
nümayəndəlik	nymajændælˈiç
nüsxələri	nysxælæɾˈi
nəşrini	næʃrinˈi
olmalarını	oɫmaɫaɾɯnˈɯ
otaqlarının	otaɡɫaɾɯnˈɯn
paltarları	paɫtarɫaɾˈɯ
partiyasını	partijasɯnˈɯ
penalti	penaɫtˈi
piramida	piɾamidˈa
pislik	pislˈiç
planlaşdırılması	pɫanɫaʃdɯɾɯɫmasˈɯ
populyasiyası	popuɫjasijasˈɯ
problemli	problemlˈi
prokuror	procuɾˈor
püskürməsi	pyscyrmæsˈi
qalmışdılar	ɡaɫmɯʃdɯɫˈar
qalsın	ɡaɫsˈɯn
qarı	ɡaɾˈɯ
qatlarında	ɡatɫaɾɯndˈa
qaydaların	ɡajdaɫaɾˈɯn
qaytarılır	ɡajtaɾɯɫˈɯr
qiymətləndirilmiş	ɡijmætlændiɾilmˈiʃ
qoruyucusu	ɡoɾujud͡ʒusˈu
quberniyası	ɡubernijasˈɯ
quyuları	ɡujuɫaɾˈɯ
referendum	refeɾendˈum
resurslarının	resursɫaɾɯnˈɯn
rəngdən	rænɟdˈæn
rənglərə	rænɟlˈæɾæ
satmağa	satmˈaː
sevinclə	sevˈind͡ʒlæ
silahlarını	siɫahɫaɾɯnˈɯ
siyasətçilər	sijasætt͡ʃilˈær
stansiyalarının	stansijaɫaɾɯnˈɯn
surəsi	suɾæsˈi
sıldırımlı	sɯɫdɯɾɯmɫˈɯ
sıraları	sɯɾaɫaɾˈɯ
səhnənin	sæhnænˈin
sərhədinə	særhædˈinæ
sərkərdələri	særcærdælæɾˈi
tapması	tapmasˈɯ
telekanalı	telecanaɫˈɯ
tikililərdən	ticililærdˈæn
toxumlar	toxumɫˈar
tutularaq	tutuɫaɾˈax
tümən	tymˈæn
türklərdən	tyrçlærdˈæn
təcrübəsindən	tæd͡ʒrybæsindˈæn
təpələri	tæpælæɾˈi
tərəvəzlər	tæɾævæzlˈær
uzadılmış	uzadɯɫmˈɯʃ
uğurlarına	uːrɫaɾɯnˈa
vilayətlərinin	viɫajætlæɾinˈin
xəritədə	xæɾitˈædæ
y	jˈe
yardımın	jardɯmˈɯn
yaşamışdı	jaʃamɯʃdˈɯ
yeməyin	jemæjˈin
yerdəyişmə	jerdæjˈiʃmæ
yüksəlişi	jyçsæliʃˈi
zorakılığa	zoɾacɯɫɯɯˈa
zəhməti	zæhmætˈi
Çinlə	t͡ʃˈinlæ
Özbəkistanın	œzbæcistanˈɯn
çıxarılmasını	t͡ʃɯxaɾɯɫmasɯnˈɯ
çətiri	t͡ʃætiɾˈi
öyrəndiyi	œjrændijˈi
öyrətmək	œjrætmˈæç
İdeal	ideˈaɫ
İdil	idˈil
İrəli	iɾælˈi
İçəri	it͡ʃæɾˈi
Şırnak	ʃɯrnˈaç
şirkətidir	ʃircætidˈir
şüuru	ʃyuɾˈu
Əmirovun	æmiɾovˈun
əriyir	æɾijˈir
əsəbi	æsæbˈi
Alita	alitˈa
Antalya	antaɫjˈa
Antanta	antantˈa
Aqil	aɡˈil
Arxivi	arxivˈi
Ağaoğlu	aːoːɫˈu
Bolşeviklər	boɫʃeviçlˈær
Bəhruz	bæhrˈuz
Cami	d͡ʒamˈi
Corporation	d͡ʒorpoɾatiˈon
Cəsur	d͡ʒæsˈur
Da	dˈa
Daily	dˈa͡ɪlj
Di	dˈi
Dənizdə	dænˈizdæ
Ekspedisiya	eçspedˈisia
Florida	fɫoɾidˈa
Guya	ɟujˈa
Hacıbəyli	had͡ʒɯbæjlˈi
Himalay	himaɫˈaj
Həsənova	hæsænovˈa
Kredit	çredˈit
Liman	limˈan
Liqada	liɡadˈa
Lourens	ɫouɾˈens
Manenin	manenˈin
Maral	maɾˈaɫ
Massaçusets	massat͡ʃusˈets
Morris	morrˈis
Mun	mˈun
Muradov	muɾadˈov
Nağıyev	naːɯjˈev
Nuhun	nuhˈun
Orenburq	oɾenbˈurx
Qlazqo	ɡɫazɡˈo
Qılınc	ɡɯɫˈɯnd͡ʒ
Rast	rˈast
Rocers	rod͡ʒˈers
Sabunçu	sabunt͡ʃˈu
Seyidov	sejidˈov
Söhbət	sœhbˈæt
Valter	vaɫtˈer
Yusuf	jusˈuf
Zəncan	zænd͡ʒˈan
adekvat	adeçvˈat
adlanıb	adɫanˈɯb
aiddirlər	a͡ɪddirlˈær
aləmini	alæminˈi
ama	amˈa
analoqu	anaɫoɡˈu
artist	artˈist
astma	astmˈa
avadanlıqlarla	avadanɫɯɡɫarɫˈa
avar	avˈar
axtarıb	axtaɾˈɯb
ayaqlarını	ajaɡɫaɾɯnˈɯ
bayramlar	bajramɫˈar
bayraqları	bajraɡɫaɾˈɯ
başlayacaq	baʃɫajad͡ʒˈax
bildiriblər	bildiɾiblˈær
biznesin	biznesˈin
böhranın	bœhranˈɯn
bölmədən	bœlmædˈæn
böyüməsinə	bœjymæsˈinæ
bələdçi	bælædt͡ʃˈi
bərəkətli	bæɾæcætlˈi
casus	d͡ʒasˈus
cəmiyyətdən	d͡ʒæmijjætdˈæn
damla	damɫˈa
dayandırılır	dajandɯɾɯɫˈɯr
deşik	deʃˈiç
divarlara	divarɫaɾˈa
dükan	dycˈan
dünən	dynˈæn
dəyərinə	dæjæɾˈinæ
dəyərlərini	dæjærlæɾinˈi
ehtiyatların	ehtijatɫaɾˈɯn
elmlərinin	elmlæɾinˈin
etməyərək	etmæjæɾˈæç
eşidilir	eʃidilˈir
fikirdə	ficˈirdæ
formalaşdığı	formaɫaʃdɯɯˈɯ
fərqlənmişdir	færɡlænmiʃdˈir
geokimyəvi	ɟeocimjævˈi
girmişdir	ɟirmiʃdˈir
gizlədir	ɟizlædˈir
gizlənən	ɟizlænˈæn
göndərilirdi	ɟœndæɾilirdˈi
gələndən	ɟælændˈæn
hadisəsinə	hadisæsˈinæ
hekayədə	hecajˈædæ
hekayəsinin	hecajæsinˈin
hökumətində	hœcumætˈindæ
ifasını	ifasɯnˈɯ
ildönümü	ildœnymˈy
inqilabdan	inɡiɫabdˈan
irimiqyaslı	iɾimiɡjasɫˈɯ
irqçi	irɡt͡ʃˈi
irəlilədi	iɾælilædˈi
ismi	ismˈi
istiqamətindən	istiɡamætindˈæn
izlədi	izlædˈi
kafedralı	cafedraɫˈɯ
kitabxanalar	citabxanaɫˈar
kolleksiyasında	coɫleçsijasɯndˈa
koloniyaları	coɫonijaɫaɾˈɯ
kölgəli	cœlɟælˈi
köməkçiləri	cœmæçt͡ʃilæɾˈi
kütlələr	cytlælˈær
küçəsindəki	cyt͡ʃæsindæcˈi
molekulu	molecuɫˈu
mutant	mutˈant
mövsümdən	mœvsymdˈæn
mövzulardan	mœvzuɫardˈan
müddəaları	myddæaɫaɾˈɯ
müəyyənləşdirilmiş	myæjjænlæʃdiɾilmˈiʃ
məbədlərin	mæbædlæɾˈin
mədənləri	mædænlæɾˈi
mənbəyə	mænbˈæjæ
məqsədəuyğundur	mæɡsædæujɣundˈur
məşhurluğu	mæʃhurɫˈuː
norma	normˈa
nüvəli	nyvælˈi
okeanda	oceandˈa
olmalıdırlar	oɫmaɫɯdɯrɫˈar
olmayacağını	oɫmajad͡ʒaːɯnˈɯ
olmağına	oɫmaːɯnˈa
olunanların	oɫunanɫaɾˈɯn
orbitə	orbˈitæ
ordusundan	ordusundˈan
ortası	ortasˈɯ
otlu	otɫˈu
oxumaqla	oxumaɡɫˈa
oymağı	ojmaːˈɯ
oyunlarından	ojunɫaɾɯndˈan
parklar	parçɫˈar
patentin	patentˈin
pedoqoji	pedoɡoʒˈi
pud	pˈud
qaidə	ɡˈa͡ɪdæ
qalay	ɡaɫˈaj
qaradır	ɡaɾadˈɯr
qarşılaşması	ɡarʃɯɫaʃmasˈɯ
qazla	ɡazɫˈa
qidalanması	ɡidaɫanmasˈɯ
qocalar	ɡod͡ʒaɫˈar
qoşulmuşdu	ɡoʃuɫmuʃdˈu
qələbələr	ɡælæbælˈær
redaktorluğu	redaçtorɫˈuː
relyefli	reljeflˈi
ruhanilərin	ruhanilæɾˈin
sakinlərini	sacinlæɾinˈi
saxlanmasına	saxɫanmasɯnˈa
seçib	set͡ʃˈib
solçu	soɫt͡ʃˈu
spektri	speçtrˈi
strukturların	struçturɫaɾˈɯn
subyektləri	subjeçtlæɾˈi
sürüb	syɾˈyb
sürətindən	syɾætindˈæn
səlis	sælˈis
tapşırıqlar	tapʃɯɾɯɡɫˈar
tikilisi	ticilisˈi
trilyon	triljˈon
təkər	tæcˈær
təmənnasız	tæmænnasˈɯz
tərcüməsində	tærd͡ʒymæsˈindæ
təsvirində	tæsviɾˈindæ
təxəllüsünü	tæxællysynˈy
uçuşları	ut͡ʃuʃɫaɾˈɯ
vacibliyi	vad͡ʒiblijˈi
vertikal	verticˈaɫ
xassə	xˈassæ
xəritəsində	xæɾitæsˈindæ
xəzinəyə	xæzinˈæjæ
xəzər	xæzˈær
yandırır	jandɯɾˈɯr
yaradılırdı	jaɾadɯɫɯrdˈɯ
yaxınlığına	jaxɯnɫɯɯɯnˈa
yaymağa	jajmˈaː
yazısında	jazɯsɯndˈa
yel	jˈel
yeməklərin	jemæçlæɾˈin
yumurtalarını	jumurtaɫaɾɯnˈɯ
yönəltdi	jœnæltdˈi
zolağının	zoɫaːɯnˈɯn
zonaya	zonajˈa
Çexov	t͡ʃexˈov
Çoxillik	t͡ʃoxillˈiç
çatdıran	t͡ʃatdɯɾˈan
çağırılır	t͡ʃaːɯɾɯɫˈɯr
çiçəyi	t͡ʃit͡ʃæjˈi
ölçülən	œlt͡ʃylˈæn
özüdür	œzydˈyr
ürəyini	yɾæjinˈi
üzrədir	yzrædˈir
Şaiq	ʃˈa͡ɪx
Şirvaninin	ʃirvaninˈin
şiddətlə	ʃiddˈætlæ
şəkillərin	ʃæcillæɾˈin
əhalisindən	æhalisindˈæn
əkinlərdə	æcinlˈærdæ
əkinləri	æcinlæɾˈi
əksərən	æçsæɾˈæn
əmrləri	æmrlæɾˈi
əməllər	æmællˈær
ətini	ætinˈi
Abdullayevin	abduɫɫajevˈin
Arran	arrˈan
Avatar	avatˈar
Başqırdıstanın	baʃɡɯrdɯstanˈɯn
Benjamin	benʒamˈin
Bürosunun	byɾosunˈun
Cari	d͡ʒaɾˈi
Ciddi	d͡ʒiddˈi
Dairəvi	da͡ɪɾævˈi
Davudun	davudˈun
Demokratiya	demoçrˈatia
Deyirlər	dejirlˈær
Eldəniz	eldænˈiz
Elvin	elvˈin
Enn	ˈenn
Erix	eɾˈix
Ermənistanla	ermænistanɫˈa
Gövdə	ɟˈœvdæ
Göygöl	ɟœjɟˈœl
Hacıyevin	had͡ʒɯjevˈin
Klaus	çɫaˈus
Konrad	conrˈad
Koroğlunun	coɾoːɫunˈun
Kənan	cænˈan
Lüdovikin	lydovicˈin
Malkolm	maɫcˈoɫm
Men	mˈen
Miranda	miɾandˈa
Mistik	mistˈiç
Moon	moˈon
Motor	motˈor
Məhməd	mæhmˈæd
Mərmərə	mærmˈæɾæ
Natəvan	natævˈan
Nikolayeviç	nicoɫajevˈit͡ʃ
Odlar	odɫˈar
Orxon	orxˈon
Osmanlıya	osmanɫɯjˈa
Qobustanda	ɡobustandˈa
Quranı	ɡuɾanˈɯ
Sarayında	saɾajɯndˈa
Sultanı	suɫtanˈɯ
Sədrəddin	sædræddˈin
Texnoloji	texnoɫoʒˈi
Təsvir	tæsvˈir
Təyinatlı	tæjinatɫˈɯ
Xərçəng	xært͡ʃˈænɟ
Yaşıllaşdırmada	jaʃɯɫɫaʃdɯrmadˈa
Yenidənqurma	jenidænɡurmˈa
Yunanlar	junanɫˈar
ahəngdar	ahænɟdˈar
animenin	animenˈin
