ँ	ə̃
इजाज़त	ɪd͡ʒäːzət̪
इज्जत	ɪd̚d͡ʒət̪
इटली	ɪʈl̪iː
इटली	ɪʈəl̪iː
इटालियन	ɪʈäːl̪ijə̃n̪
इडली	ɪɖl̪iː
इतराना	ɪt̪ɾäːn̪äː
इतवार	ɪt̪wäːɾ
इतालवी	ɪt̪äːl̪ʋiː
इतिहास	ɪt̪ɪɦäːs̪
इतिहासकार	ɪt̪ɪɦäːs̪käːɾ
इत्तिहाद	ɪt̪̚t̪ɪɦäːd̪
इत्तेला	ɪt̪̚t̪eːl̪äː
इत्मीनान	ɪt̪miːn̪ä̃ːn̪
इत्यादि	ɪt̪jäːd̪iː
इथियोपिया	ɪt̪ʰijoːpijäː
इन	ɪ̃n̪
इनका	ɪ̃n̪käː
इनकार	ɪ̃n̪käːɾ
इनको	ɪ̃n̪koː
इनसाफ़	ɪ̃n̪s̪äːf
इनसाफ़	ɪ̃n̪s̪äːpʰ
इनायत	ɪn̪äːjət̪
इन्टरनेट	ɪ̃n̪ʈəɾn̪eːʈ
इन्हें	ɪ̃n̪ɦẽː
इफ़्तिताह	ɪft̪ɪt̪äːɦ
इफ़्तिताह	ɪpʰt̪ɪt̪äːɦ
इबादत	ɪbäːd̪ət̪
इब्तिदा	ɪbt̪ɪd̪äː
इब्तिदाई	ɪbt̪ɪd̪äːiː
इब्राहीम	ɪbɾäːɦĩːm
इमदाद	ɪ̃md̪äːd̪
इमला	ɪ̃ml̪äː
इमली	ɪ̃ml̪iː
इमारत	ɪmäːɾət̪
इमारती	ɪmäːɾət̪iː
इमोशन	ɪmoːʃə̃n̪
इम्तहान	ɪ̃mt̪əɦä̃ːn̪
इम्तिहान	ɪ̃mt̪ɪɦä̃ːn̪
इम्तेहान	ɪ̃mt̪eːɦä̃ːn̪
इराक़	ɪɾäːk
इराक़	ɪɾäːq
इरादतन	ɪɾäːd̪̚t̪ə̃n̪
इरादा	ɪɾäːd̪äː
इलज़ाम	ɪl̪d͡ʒä̃ːm
इलज़ाम	ɪl̪zä̃ːm
इलाक़ा	ɪl̪äːkäː
इलाक़ा	ɪl̪äːqäː
इलाज	ɪl̪äːd͡ʒ
इलायची	ɪl̪äːjt͡ʃiː
इलाहाबाद	ɪl̪äːɦäːbäːd̪
इलाही	ɪl̪äːɦiː
इलेक्ट्रॉन	ɪl̪eːkʈɾɔ̃n̪
इल्तिजा	ɪl̪t̪ɪd͡ʒäː
इल्मी	ɪl̪miː
इशारा	ɪʃäːɾäː
इश्तहार	ɪʃt̪əɦäːɾ
इश्तिहार	ɪʃt̪ɪɦäːɾ
इस	ɪs̪
इसका	ɪs̪käː
इसको	ɪs̪koː
इसबग़ोल	ɪs̪bəɡoːl̪
इसबग़ोल	ɪs̪bəɣoːl̪
इसबगोल	ɪs̪bəɡoːl̪
इसबगोल	ɪs̪bəɣoːl̪
इसमाईल	ɪs̪mäːiːl̪
इसमें	ɪs̪mẽː
इसराईली	ɪs̪ɾäːiːl̪iː
इसराज	ɪs̪ɾäːd͡ʒ
इसरार	ɪs̪ɾäːɾ
इसरो	ɪs̪ɾoː
इसलिए	ɪs̪l̪ɪeː
इससे	ɪs̪s̪eː
इसी	ɪs̪iː
इसीलिए	ɪs̪iːl̪ɪeː
इसे	ɪs̪eː
इस्टाम	ɪs̪ʈä̃ːm
इस्तक़बाल	ɪs̪t̪əkbäːl̪
इस्तक़बाल	ɪs̪t̪əqbäːl̪
इस्तांबुल	ɪs̪t̪ä̃ːmbʊl̪
इस्तीफ़ा	ɪs̪t̪iːfäː
इस्तीफ़ा	ɪs̪t̪iːpʰäː
इस्तेमाल	ɪs̪t̪eːmäːl̪
इस्पात	ɪs̪päːt̪
इस्म	ɪs̪m
इस्राइल	ɪs̪ɾäːɪl̪
इस्लाम	ɪs̪l̪ä̃ːm
इस्लामाबाद	ɪs̪l̪äːmäːbäːd̪
ई	iː
ईंधन	ĩːn̪d̪ʱə̃n̪
ईक्वाडोर	iːkwäːɖoːɾ
ईजियन	iːd͡ʒijə̃n̪
ईटानगर	iːʈäːn̪əɡəɾ
ईमान	iːmä̃ːn̪
ईमानदार	iːmä̃ːn̪d̪äːɾ
ईमेल	iːmeːl̪
ईराक	iːɾäːk
ईरान	iːɾä̃ːn̪
ईरानी	iːɾäːn̪iː
ईर्ष्या	iːɾʃjäː
ईसा	iːs̪äː
ईसाई	iːs̪äːiː
उँडेलना	ʊ̃ɳɖeːl̪n̪äː
उंगली	ʊ̃ŋɡl̪iː
उंचाई	ʊ̃n̪t͡ʃäːiː
उंडुक	ʊ̃ɳɖʊk
उंडुकपुच्छ	ʊ̃ɳɖʊkpʊt̚t͡ʃʰ
उंस	ʊ̃n̪s̪
उकसाना	ʊks̪äːn̪äː
उक़ाब	ʊkäːb
उक़ाब	ʊqäːb
उखड़ना	ʊkʰəɽn̪äː
उखाड़ना	ʊkʰäːɽn̪äː
उगना	ʊɡn̪äː
उगलना	ʊɡəl̪n̪äː
उचकना	ʊt͡ʃəkn̪äː
उचक्का	ʊt͡ʃək̚käː
उच्चायुक्त	ʊt̚t͡ʃäːjʊkt̪
उच्चायोग	ʊt̚t͡ʃäːjoːɡ
उच्चारण	ʊt̚t͡ʃäːɾə̃ɳ
उच्छेदन	ʊt̚t͡ʃʰeːd̪ə̃n̪
उच्छ्वास	ʊt̚t͡ʃʰʋäːs̪
उछलना	ʊt͡ʃʰəl̪n̪äː
उजड़ना	ʊd͡ʒəɽn̪äː
उजला	ʊd͡ʒl̪äː
उज़्बेकिस्तान	ʊd͡ʒbeːkɪs̪t̪ä̃ːn̪
उज़्बेकिस्तान	ʊzbeːkɪs̪t̪ä̃ːn̪
उजागर	ʊd͡ʒäːɡəɾ
उजाला	ʊd͡ʒäːl̪äː
उज्ज्वल	ʊd̚d͡ʒʋəl̪
उठना	ʊʈʰn̪äː
उड़ना	ʊɽn̪äː
उड़ान	ʊɽä̃ːn̪
उड़िया	ʊɽijäː
उड़ीसा	ʊɽiːs̪äː
उड्डयन	ʊɖ̚ɖəjə̃n̪
उढ़काना	ʊɽʱkäːn̪äː
उतरना	ʊt̪əɾn̪äː
उतरवाना	ʊt̪əɾʋäːn̪äː
उतारना	ʊt̪äːɾn̪äː
उतावला	ʊt̪äːʋl̪äː
उत्तम	ʊt̪̚t̪ə̃m
उत्तर	ʊt̪̚t̪əɾ
उत्तरकाशी	ʊt̪̚t̪əɾkäːʃiː
उत्तरदायित्व	ʊt̪̚t̪əɾd̪äːjɪt̪wᵊ
उत्तरदायी	ʊt̪̚t̪əɾd̪äːjiː
उत्तराखंड	ʊt̪̚t̪əɾäːkʰə̃ɳɖ
उत्तराधिकार	ʊt̪̚t̪əɾäːd̪ʱɪkäːɾ
उत्तराधिकारी	ʊt̪̚t̪əɾäːd̪ʱɪkäːɾiː
उत्तरार्द्ध	ʊt̪̚t̪əɾäːɾd̪d̪ʱ
उत्तरी	ʊt̪̚t̪əɾiː
उत्तेजना	ʊt̪̚t̪eːd͡ʒn̪äː
उत्तेजित	ʊt̪̚t̪eːd͡ʒɪt̪
उत्तोलक	ʊt̪̚t̪oːl̪ək
उत्तोलन	ʊt̪̚t̪oːl̪ə̃n̪
उत्पत्ति	ʊt̪pət̪̚t̪iː
उत्पन्न	ʊt̪pə̃n̪n̪
उत्पन्न	ʊt̪pə̃n̪n̪ᵊ
उत्पल	ʊt̪pəl̪
उत्पाद	ʊt̪päːd̪
उत्पादक	ʊt̪päːd̪ək
उत्पादको	ʊt̪päːd̪əkoː
उत्पादकों	ʊt̪päːd̪əkõː
उत्पादन	ʊt̪päːd̪ə̃n̪
उत्पीठिका	ʊt̪piːʈʰɪkäː
उत्पीड़न	ʊt̪piːɽə̃n̪
उत्सर्जन	ʊt̪s̪əɾd͡ʒə̃n̪
उत्साह	ʊt̪s̪äːɦ
उत्साहित	ʊt̪s̪äːɦɪt̪
उत्सुक	ʊt̪s̪ʊk
उत्सुकता	ʊt̪s̪ʊkt̪äː
उदजन	ʊd̪̚d͡ʒə̃n̪
उदजारेय	ʊd̪̚d͡ʒäːɾeːj
उदयकाल	ʊd̪əjkäːl̪
उदयवर्ष	ʊd̪əjʋəɾʃ
उदारता	ʊd̪äːɾt̪äː
उदारतावाद	ʊd̪äːɾt̪äːʋäːd̪
उदारवाद	ʊd̪äːɾʋäːd̪
उदास	ʊd̪äːs̪
उदासी	ʊd̪äːs̪iː
उदासीन	ʊd̪äːs̪ĩːn̪
उदाहरण	ʊd̪äːɦɾə̃ɳ
उदाहरण	ʊd̪ʱäːɾə̃ɳ
उद्घाटन	ʊd̪ɡʱäːʈə̃n̪
उद्देशिका	ʊd̪̚d̪eːʃɪkäː
उद्देश्य	ʊd̪̚d̪eːʃjᵊ
उद्यान	ʊd̪jä̃ːn̪
उद्योगीकरण	ʊd̪joːɡiːkəɾə̃ɳ
उधड़ना	ʊd̪ʱəɽn̪äː
उधार	ʊd̪ʱäːɾ
उधेड़ना	ʊd̪ʱeːɽn̪äː
उनका	ʊ̃n̪käː
उनको	ʊ̃n̪koː
उनचास	ʊ̃n̪t͡ʃäːs̪
उनतालीस	ʊ̃n̪t̪äːl̪iːs̪
उनतीस	ʊ̃n̪t̪iːs̪
उनसठ	ʊ̃n̪s̪əʈʰ
उनहत्तर	ʊ̃n̪ɦət̪̚t̪əɾ
उनासी	ʊn̪äːs̪iː
उनींदा	ʊn̪ĩːn̪d̪äː
उन्नत	ʊ̃n̪n̪ət̪
उन्नति	ʊ̃n̪n̪ət̪iː
उन्नाव	ʊ̃n̪n̪äːʋ
उन्नीस	ʊ̃n̪n̪iːs̪
उन्माद	ʊ̃n̪mäːd̪
उन्मुक्त	ʊ̃n̪mʊkt̪
उन्मूलन	ʊ̃n̪muːl̪ə̃n̪
उन्यासी	ʊ̃n̪jäːs̪iː
उन्हें	ʊ̃n̪ɦẽː
उन्होंने	ʊ̃n̪ɦõːn̪eː
उपकरण	ʊpkəɾə̃ɳ
उपकार	ʊpkäːɾ
उपचार	ʊpt͡ʃäːɾ
उपचुनाव	ʊpt͡ʃʊn̪äːʋ
उपजना	ʊpəd͡ʒn̪äː
उपजाऊ	ʊpd͡ʒäːuː
उपदान	ʊpd̪ä̃ːn̪
उपधान	ʊpd̪ʱä̃ːn̪
उपधारा	ʊpd̪ʱäːɾäː
उपनगर	ʊpn̪əɡəɾ
उपनाम	ʊpn̪ä̃ːm
उपनायिका	ʊpn̪äːjɪkäː
उपनिर्देशक	ʊpn̪ɪɾd̪eːʃək
उपनिषद्	ʊpn̪ɪʃəd̪
उपनेत्र	ʊpn̪eːt̪ɾᵊ
उपन्यास	ʊpə̃n̪jäːs̪
उपन्यासकार	ʊpə̃n̪jäːs̪käːɾ
उपपत्ति	ʊp̚pət̪̚t̪iː
उपबोली	ʊp̚boːl̪iː
उपभाषा	ʊpəbʱäːʃäː
उपभाषा	ʊp̚bʱäːʃäː
उपभोक्ता	ʊp̚bʱoːkt̪äː
उपभोग	ʊp̚bʱoːɡ
उपभोज्य	ʊp̚bʱoːd͡ʒjᵊ
उपयोगिता	ʊpjoːɡɪt̪äː
उपरांत	ʊpɾä̃ːn̪t̪
उपलब्ध	ʊpl̪əbd̪ʱ
उपलब्धि	ʊpl̪əbd̪ʱiː
उपला	ʊpl̪äː
उपवन	ʊpwə̃n̪
उपवास	ʊpwäːs̪
उपसचिव	ʊpəs̪t͡ʃɪʋ
उपसमुच्चय	ʊpəs̪mʊt̚t͡ʃəj
उपसर्ग	ʊps̪əɾɡ
उपस्थित	ʊpəs̪t̪ʰɪt̪
उपस्थिति	ʊpəs̪t̪ʰɪt̪iː
उपहार	ʊpʰäːɾ
उपाधि	ʊpäːd̪ʱiː
उपाध्याय	ʊpäːd̪ʱjäːj
उपाय	ʊpäːj
उपायुक्त	ʊpäːjʊkt̪
उपासक	ʊpäːs̪ək
उपेक्षा	ʊpeːkʃäː
उबरना	ʊbəɾn̪äː
उबाऊ	ʊbäːuː
उबालना	ʊbäːl̪n̪äː
उभरना	ʊbʱəɾn̪äː
उमंग	ʊmə̃ŋɡ
उमड़ना	ʊməɽn̪äː
उमरा	ʊ̃mɾäː
उमस	ʊməs̪
उमा	ʊmäː
उम्दा	ʊ̃md̪äː
उम्मीदवार	ʊ̃mmiːd̪wäːɾ
उम्मीद्वार	ʊ̃mmiːd̪wäːɾ
उम्रक़ैद	ʊ̃mɾəkɛːd̪
उम्रक़ैद	ʊ̃mɾəqɛːd̪
उरुमची	ʊɾʊ̃mt͡ʃiː
उरोस्थि	ʊɾoːs̪t̪ʰiː
उलझन	ʊl̪d͡ʒʱə̃n̪
उलझना	ʊl̪əd͡ʒʱn̪äː
उलझाना	ʊl̪d͡ʒʱäːn̪äː
उलटना	ʊl̪əʈn̪äː
उलटा	ʊl̪ʈäː
उलटी	ʊl̪ʈiː
उलफ़त	ʊl̪fət̪
उलफ़त	ʊl̪pʰət̪
उलहना	ʊl̪ɛɦn̪äː
उलाहना	ʊl̪äːɦn̪äː
उलीचना	ʊl̪iːt͡ʃn̪äː
उलूक	ʊl̪uːk
उल्का	ʊl̪käː
उल्टा	ʊl̪ʈäː
उल्टी	ʊl̪ʈiː
उल्लंघन	ʊl̪l̪ə̃ŋɡʱə̃n̪
उल्लू	ʊl̪l̪uː
उल्लेख	ʊl̪l̪eːkʰ
उल्लेखनीय	ʊl̪l̪eːkʰn̪iːjᵊ
उषा	ʊʃäː
उस	ʊs̪
उसका	ʊs̪käː
उसको	ʊs̪koː
उसमान	ʊs̪mä̃ːn̪
उससे	ʊs̪s̪eː
उसाँस	ʊs̪ä̃ːs̪
उसांस	ʊs̪ä̃ːs̪
उसी	ʊs̪iː
उसूल	ʊs̪uːl̪
उसे	ʊs̪eː
उस्ताद	ʊs̪t̪äːd̪
उस्मानाबाद	ʊs̪mäːn̪äːbäːd̪
उस्मानी	ʊs̪mäːn̪iː
ऊँचा	ũːt͡ʃäː
ऊँचाई	ũːt͡ʃäːiː
ऊंचा	ũːt͡ʃäː
ऊंचाई	ũːt͡ʃäːiː
ऊटपटांग	uːʈəpʈä̃ːŋɡ
ऊदबिलाव	uːd̪bɪl̪äːʋ
ऊन	ũːn̪
ऊना	uːn̪äː
ऊनी	uːn̪iː
ऊपरवाला	uːpəɾʋäːl̪äː
ऊफ़ा	uːfäː
ऊफ़ा	uːpʰäː
ऊबना	uːbn̪äː
ऊर्जा	uːɾd͡ʒäː
ऊर्णा	uːɾɳäː
ऊर्ध्ववायु	uːɾd̪ʱʋəʋäːjuː
ऊर्ध्वाधर	uːɾd̪ʱʋäːd̪ʱəɾ
ऊष्मा	uːʃmäː
ऊष्मीकरण	uːʃmiːkəɾə̃ɳ
ऊसर	uːs̪əɾ
ऋण	ɾɪ̃ɳ
ऋणदाता	ɾɪ̃ɳd̪äːt̪äː
ऋणदाताओ	ɾɪ̃ɳd̪äːt̪äːoː
ऋणदाताओं	ɾɪ̃ɳd̪äːt̪äːõː
ऋणमुक्त	ɾɪ̃ɳmʊkt̪
ऋणाग्र	ɾɪɳäːɡɾᵊ
ऋणायन	ɾɪɳäːjə̃n̪
ऋषि	ɾɪʃiː
ऋषिकेश	ɾɪʃɪkeːʃ
एंड्रॉइड	ẽːɳɖɾɔɪɖ
एकघातीय	eːkɡʱäːt̪iːjᵊ
एकजुटता	eːkd͡ʒʊʈt̪äː
एकतरफ़ा	eːkt̪əɾfäː
एकतरफ़ा	eːkt̪əɾpʰäː
एकता	eːkt̪äː
एकदम	eːkd̪ə̃m
एकरूपता	eːkɾuːpt̪äː
एकल	eːkəl̪
एकवचन	eːkwət͡ʃə̃n̪
एकवर्णीय	eːkwəɾɳiːjᵊ
एकसदनीय	eːks̪əd̪ən̪iːjᵊ
एकसदनीयता	eːks̪əd̪ən̪iːjt̪äː
एकसमान	eːks̪əmä̃ːn̪
एकांत	eːkä̃ːn̪t̪
एकाएक	eːkäːeːk
एकाध	eːkäːd̪ʱ
एकाधिकार	eːkäːd̪ʱɪkäːɾ
एकीकरण	eːkiːkəɾə̃ɳ
एजेंट	eːd͡ʒẽːɳʈ
एजेंसी	eːd͡ʒẽːn̪s̪iː
एटीएम	eːʈiːẽːm
एडवायज़री	eːɖwäːjd͡ʒəɾiː
एडवायज़री	eːɖwäːjzəɾiː
एडिलेड	eːɖɪl̪eːɖ
एड्स	eːɖs̪
एतबार	eːt̪bäːɾ
एतराज़	eːt̪ɾäːd͡ʒ
एतराज़	eːt̪ɾäːz
एमएलए	ẽːm‿eːl̪‿eː
एयरलाइन	eːjəɾl̪äːɪ̃n̪
एलची	eːl̪t͡ʃiː
एलान	eːl̪ä̃ːn̪
एल्युमिनियम	eːl̪jʊmɪn̪ijə̃m
एवं	eːʋə̃m
एशिया	eːʃijäː
एसोसिएशन	eːs̪oːs̪ɪeːʃə̃n̪
एस्केलेटर	eːs̪keːl̪eːʈəɾ
एस्टोनिया	eːs̪ʈoːn̪ijäː
एस्पेरांतो	eːs̪peːɾä̃ːn̪t̪oː
एस्पेरान्तो	eːs̪peːɾä̃ːn̪t̪oː
एहतजाज	eːɦt̪əd͡ʒäːd͡ʒ
एहतियात	eːɦt̪ijäːt̪
एहसान	ɛɦs̪ä̃ːn̪
एहसानमंद	eːɦs̪ä̃ːn̪mə̃n̪d̪
एहसास	eːɦs̪äːs̪
ऐच्छिक	ɛːt̚t͡ʃʰɪk
ऐतराज़	ɛːt̪ɾäːd͡ʒ
ऐतराज़	ɛːt̪ɾäːz
ऐतिहासिक	ɛːt̪ɪɦäːs̪ɪk
ऐनक	ɛːn̪ək
ऐनिमे	ɛːn̪ɪmeː
ऐयाशी	ə̯ijäːʃiː
ऐरन	ɛːɾə̃n̪
ऐसा	ɛːs̪äː
ऐसी	ɛːs̪iː
ऐसे	ɛːs̪eː
ऐहतियातन	ɛːɦt̪ijäːt̪ə̃n̪
ऑकलैंड	ɔkl̪ɛ̃ːɳɖ
ऑक्सफ़ोर्ड	ɔks̪foːɾɖ
ऑक्सफ़ोर्ड	ɔks̪pʰoːɾɖ
ऑफ़िस	ɔfɪs̪
ऑफ़िस	ɔpʰɪs̪
ऑर्थोडॉक्सी	ɔɾt̪ʰoːɖɔks̪iː
ऑस्ट्रिया	ɔs̪ʈɾijäː
ऑस्ट्रेलिया	ɔs̪ʈɾeːl̪ijäː
ओकाई	oːkäːiː
ओखली	oːkʰl̪iː
ओगाज़्म	oːɡäːd͡ʒm
ओगाज़्म	oːɡäːzm
ओछा	oːt͡ʃʰäː
ओझल	oːd͡ʒʱəl̪
ओझा	oːd͡ʒʱäː
ओटावा	oːʈäːʋäː
ओडिशा	oːɖɪʃäː
ओढ़ना	oːɽʱn̪äː
ओणम	oːɳə̃m
ओमान	oːmä̃ːn̪
ओलंदेज़	oːl̪ə̃n̪d̪eːd͡ʒ
ओलंदेज़	oːl̪ə̃n̪d̪eːz
ओलंपिक	oːl̪ə̃mpɪk
ओला	oːl̪äː
ओलिंपियाड	oːl̪ɪ̃mpijäːɖ
ओशिआनिया	oːʃijäːn̪ijäː
ओष्ठ्य	oːʃʈʰjə
ओसाका	oːs̪äːkäː
ओहायो	oːɦäːjoː
औक़ात	ɔːkäːt̪
औक़ात	ɔːqäːt̪
औज़ार	ɔːd͡ʒäːɾ
औज़ार	ɔːzäːɾ
औजार	ɔːd͡ʒäːɾ
औजार	ɔːzäːɾ
औत्सुक्य	ɔːt̪s̪ʊkjᵊ
औद्योगीकरण	ɔːd̪joːɡiːkəɾə̃ɳ
औपचारिक	ɔːpt͡ʃäːɾɪk
औपस्थ्य	ɔːpəs̪t̪ʰjᵊ
औरंगाबाद	ɔːɾə̃ŋɡäːbäːd̪
औलाद	ɔːl̪äːd̪
औलिया	ɔːl̪ijäː
औषध	ɔːʃəd̪ʱ
औषधि	ɔːʃd̪ʱiː
औषधी	ɔːʃd̪ʱiː
औषधीय	ɔːʃd̪ʱiːjᵊ
औसत	ɔːs̪ət̪
औसतन	ɔːs̪t̪ə̃n̪
कँगनी	kə̃ŋɡn̪iː
कंकड़	kə̃ŋkəɽ
कंकड़ीला	kə̃ŋkɽiːl̪äː
कंकाल	kə̃ŋkäːl̪
कंक्रीट	kə̃ŋkɾiːʈ
कंगन	kə̃ŋɡə̃n̪
कंगारू	kə̃ŋɡäːɾuː
कंगाल	kə̃ŋɡäːl̪
कंजूस	kə̃n̪d͡ʒuːs̪
कंठ	kə̃ɳʈʰ
कंठमाला	kə̃ɳʈʰmäːl̪äː
कंठ्य	kə̃ɳʈʰjə
कंडकटर	kə̃ɳɖəkʈəɾ
कंडीशनर	kə̃ɳɖiːʃn̪əɾ
कंद	kə̃n̪d̪
कंदरा	kə̃n̪d̪əɾäː
कंदुक	kə̃n̪d̪ʊk
कंधा	kə̃n̪d̪ʱäː
कंप	kə̃mp
कंपन	kə̃mpə̃n̪
कंपनी	kə̃mpn̪iː
कंपनी	kə̃mpən̪iː
कंपित	kə̃mpɪt̪
कंपू	kə̃mpuː
कंप्यूटर	kə̃mpjuːʈəɾ
कंप्यूटरीकरण	kə̃mpjuːʈɾiːkəɾə̃ɳ
कंबल	kə̃mbəl̪
कंबोडिया	kə̃mboːɖijäː
कक्ष	kəkʃ
कक्षा	kəkʃäː
कगार	kəɡäːɾ
कचनार	kət͡ʃn̪äːɾ
कचरा	kət͡ʃɾäː
कचहरी	kət͡ʃɛɦɾiː
कचालू	kət͡ʃäːl̪uː
कच्चा	kət̚t͡ʃäː
कच्छ	kət̚t͡ʃʰ
कच्छा	kət̚t͡ʃʰäː
कछारी	kət͡ʃʰäːɾiː
कछुआ	kət͡ʃʰʊäː
कजरारा	kəd͡ʒɾäːɾäː
कज़ाख़स्तान	kəd͡ʒäːkʰəs̪t̪ä̃ːn̪
कज़ाख़स्तान	kəzäːxəs̪t̪ä̃ːn̪
कटना	kəʈn̪äː
कटहल	kəʈʰəl̪
कटाई	kəʈäːiː
कटाक्ष	kəʈäːkʃ
कटार	kəʈäːɾ
कटोरा	kəʈoːɾäː
कट्टर	kəʈ̚ʈəɾ
कट्ठा	kəʈ̚ʈʰäː
कठघरा	kəʈʰɡʱəɾäː
कठमुल्ला	kəʈʰmʊl̪l̪äː
कठिन	kəʈʰɪ̃n̪
कठिनता	kəʈʰɪ̃n̪t̪äː
कठिनाई	kəʈʰɪn̪äːiː
कठुआ	kəʈʰʊäː
कडपा	kəɖpäː
कड़कड़ाना	kəɽkəɽäːn̪äː
कड़वा	kəɽʋäː
कड़वापन	kəɽʋäːpə̃n̪
कड़वाहट	kəɽʋäːɦəʈ
कड़ा	kəɽäː
कढ़ाई	kəɽʱäːiː
कतराना	kət̪ɾäːn̪äː
कतल	kət̪əl̪
कतल	qət̪əl̪
कतार	kət̪äːɾ
कतार	qət̪äːɾ
कत्ल	kət̪l̪
कत्ल	qət̪l̪
कथन	kət̪ʰə̃n̪
कथा	kət̪ʰäː
कदन	kəd̪ə̃n̪
कदाचित्	kəd̪äːt͡ʃɪt̪
कदापि	kəd̪äːpiː
कद्दू	kəd̪̚d̪uː
कनटोप	kə̃n̪ʈoːp
कनपटी	kə̃n̪pəʈiː
कनपेड़	kə̃n̪peːɽ
कनाडा	kən̪äːɖäː
कनिया	kən̪ijäː
कनिष्ठ	kən̪ɪʂʈʰ
कनिष्ठा	kən̪ɪʃʈʰäː
कनीज़	kən̪iːd͡ʒ
कनीज़	kən̪iːz
कन्द	kə̃n̪d̪
कन्दरा	kə̃n̪d̪əɾäː
कन्दुक	kə̃n̪d̪ʊk
कन्नड	kə̃n̪n̪əɖ
कन्नड	kə̃n̪n̪əɖᵊ
कन्नड़	kə̃n̪n̪əɽ
कन्नड़	kə̃n̪n̪əɽᵊ
कन्नौज	kə̃n̪n̪ɔːd͡ʒ
कन्या	kə̃n̪jäː
कन्हैया	kə̃n̪ɦə̯ijäː
कपड़ा	kəpɽäː
कपाल	kəpäːl̪
कपास	kəpäːs̪
कपिलवस्तु	kəpɪl̪ʋəs̪t̪uː
कप्तान	kəpt̪ä̃ːn̪
कफ़न	kəfə̃n̪
कफ़न	kəpʰə̃n̪
कबड्डी	kəbəɖ̚ɖiː
कबाड़	kəbäːɽ
कबाब	kəbäːb
कबूल	kəbuːl̪
कबूल	qəbuːl̪
कम	kə̃m
कमज़ोर	kə̃md͡ʒoːɾ
कमज़ोर	kə̃mzoːɾ
कमबख़्त	kə̃mbəkʰt̪
कमबख़्त	kə̃mbəxt̪
कमरबंद	kəməɾbə̃n̪d̪
कमरबन्द	kəməɾbə̃n̪d̪
कमरा	kə̃mɾäː
कमर्शियल	kəməɾʃijəl̪
कमल	kəməl̪
कमली	kə̃ml̪iː
कमाई	kəmäːiː
कमाऊ	kəmäːuː
कमान	kəmä̃ːn̪
कमाल	kəmäːl̪
कमिश्नर	kəmɪʃn̪əɾ
कमीना	kəmiːn̪äː
कमीनापन	kəmiːn̪äːpə̃n̪
कमीशन	kəmiːʃə̃n̪
कमेंट	kəmẽːɳʈ
कमेरा	kəmeːɾäː
कम्प	kə̃mp
कम्पन	kə̃mpə̃n̪
कम्पित	kə̃mpɪt̪
कम्बल	kə̃mbəl̪
कम्बोडिया	kə̃mboːɖijäː
कम्युनिजम	kə̃mjʊn̪ɪd͡ʒə̃m
कम्युनिजम	kə̃mjʊn̪ɪzə̃m
कम्युनिज़म	kə̃mjʊn̪ɪd͡ʒm
कम्युनिज़म	kə̃mjʊn̪ɪd͡ʒə̃m
कम्युनिज़म	kə̃mjʊn̪ɪzm
कम्युनिज़म	kə̃mjʊn̪ɪzə̃m
कम्युनिज़्म	kə̃mjʊn̪ɪd͡ʒmᵊ
कम्युनिज़्म	kə̃mjʊn̪ɪzmᵊ
कम्युनिज्म	kə̃mjʊn̪ɪd͡ʒmᵊ
कम्युनिज्म	kə̃mjʊn̪ɪzmᵊ
कयामत	kəjäːmət̪
कयामत	qəjäːmət̪
करघा	kəɾɡʱäː
करण	kəɾə̃ɳ
करता	kəɾt̪äː
करना	kəɾn̪äː
करनाल	kəɾn̪äːl̪
करनी	kəɾn̪iː
करनेवाला	kəɾn̪eːʋäːl̪äː
कराची	kəɾäːt͡ʃiː
करारा	kəɾäːɾäː
करिश्मा	kəɾɪʃmäː
करूंगा	kəɾũːŋɡäː
करेला	kəɾeːl̪äː
करौंदा	kəɾɔ̃ːn̪d̪äː
कर्ता	kəɾt̪äː
कर्तृत्व	kəɾt̪ɾɪt̪wᵊ
कर्नाटक	kəɾn̪äːʈək
कर्मचारी	kəɾmət͡ʃäːɾiː
कर्मशाला	kəɾməʃäːl̪äː
कल	kəl̪
कलंक	kəl̪ə̃ŋk
कलकत्ता	kəl̪kət̪̚t̪äː
कलक्टर	kəl̪əkʈəɾ
कलन	kəl̪ə̃n̪
कलम	kəl̪ə̃m
कलमकारी	kəl̪ə̃mkäːɾiː
कलमा	kəl̪mäː
कलसा	kəl̪s̪äː
कलह	kəl̪əɦ
कला	kəl̪äː
कलाई	kəl̪äːiː
कलाकार	kəl̪äːkäːɾ
कलात्मक	kəl̪äːt̪mək
कलावंत	kəl̪äːʋə̃n̪t̪
कली	kəl̪iː
कलीसिया	kəl̪iːs̪ijäː
कलेजा	kəl̪eːd͡ʒäː
कलेवा	kəl̪eːʋäː
कलोर	kəl̪oːɾ
कल्टी	kəl̪ʈiː
कल्पना	kəl̪pən̪äː
कल्पनादर्श	kəl̪pən̪äːd̪əɾʃ
कल्पित	kəl̪pɪt̪
कविता	kəʋɪt̪äː
कशमकश	kəʃə̃mkəʃ
कष्टसाध्य	kəʂʈs̪äːd̪ʱjᵊ
कसके	kəs̪keː
कसम	kəs̪ə̃m
कसम	qəs̪ə̃m
कसर	kəs̪əɾ
कसरत	kəs̪ɾət̪
कसाई	kəs̪äːiː
कसाई	qəs̪äːiː
कसूर	kəs̪uːɾ
