ա	ɑ
բարձիթող	bɑɾt͡sʰitʰɔʁ
բարձիթողի	bɑɾt͡sʰitʰɔʁi
բարձունք	bɑɾt͡sʰuŋkʰ
բարձունքներ	bɑɾt͡sʰuŋkʰnɛɾ
բարձր	bɑɾt͡sʰəɾ
բարձրաբերձ	bɑɾt͡sʰɾɑbɛɾt͡sʰ
բարձրագույն	bɑɾt͡sʰɾɑɡujn
բարձրահասակ	bɑɾt͡sʰɾɑhɑsɑk
բարձրաձայն	bɑɾt͡sʰɾɑd͡zɑjn
բարձրաձայնել	bɑɾt͡sʰɾɑd͡zɑjnɛl
բարձրանալ	bɑɾt͡sʰɾɑnɑl
բարձրավանդակ	bɑɾt͡sʰɾɑvɑndɑk
բարձրացնել	bɑɾt͡sʰɾɑt͡sʰnɛl
բարձրացում	bɑɾt͡sʰɾɑt͡sʰum
բարձրորակ	bɑɾt͡sʰɾɔɾɑk
բարձրություն	bɑɾt͡sʰɾutʰjun
բարձրունք	bɑɾt͡sʰəɾuŋkʰ
բարձրունք	bɑɾt͡sʰɾuŋkʰ
բարմեն	bɑɾmɛn
բարյավ	bɑɾjɑv
բարոյական	bɑɾɔjɑkɑn
բարոյականություն	bɑɾɔjɑkɑnutʰjun
բարոն	bɑɾɔn
բարով	bɑɾɔv
բարութ	bɑɾutʰ
բարսեղ	bɑɾsɛʁ
բարսեղյան	bɑɾsɛʁjɑn
բարվոք	bɑɾvɔkʰ
բարք	bɑɾkʰ
բարօրություն	bɑɾɔɾutʰjun
բաց	bɑt͡sʰ
բացակա	bɑt͡sʰɑkɑ
բացականչ	bɑt͡sʰɑkɑnt͡ʃʰ
բացականչական	bɑt͡sʰɑkɑnt͡ʃʰɑkɑn
բացականչել	bɑt͡sʰɑkɑnt͡ʃʰɛl
բացականչություն	bɑt͡sʰɑkɑnt͡ʃʰutʰjun
բացականչում	bɑt͡sʰɑkɑnt͡ʃʰum
բացահայտ	bɑt͡sʰɑhɑjt
բացահայտում	bɑt͡sʰɑhɑjtum
բացառաբար	bɑt͡sʰɑrɑbɑɾ
բացառական	bɑt͡sʰɑrɑkɑn
բացառապես	bɑt͡sʰɑrɑpɛs
բացառել	bɑt͡sʰɑrɛl
բացառիկ	bɑt͡sʰɑrik
բացառիկություն	bɑt͡sʰɑrikutʰjun
բացառություն	bɑt͡sʰɑrutʰjun
բացառվել	bɑt͡sʰɑrvɛl
բացասական	bɑt͡sʰɑsɑkɑn
բացատ	bɑt͡sʰɑt
բացատրական	bɑt͡sʰɑtɾɑkɑn
բացատրել	bɑt͡sʰɑtɾɛl
բացատրություն	bɑt͡sʰɑtəɾutʰjun
բացարձակ	bɑt͡sʰɑɾt͡sʰɑk
բացել	bɑt͡sʰɛl
բացի	bɑt͡sʰi
բացորոշ	bɑt͡sʰɔɾɔʃ
բացորոշաբար	bɑt͡sʰɔɾɔʃɑbɑɾ
բացորոշակի	bɑt͡sʰɔɾɔʃɑki
բացորոշապես	bɑt͡sʰɔɾɔʃɑpɛs
բացում	bɑt͡sʰum
բացվածք	bɑt͡sʰvɑt͡skʰ
բացօթյա	bɑt͡sʰɔtʰjɑ
բաքու	bɑkʰu
բդեշխ	bədɛʃχ
բդխ	bədəχə
բեբել	bɛbɛl
բեգեմոնդ	bɛɡɛmɔnd
բեգեմոնտ	bɛɡɛmɔnt
բեգեմոտ	bɛɡɛmɔt
բեդոկ	bɛdɔk
բեզմեն	bɛzmɛn
բեթհովեն	bɛtʰhɔvɛn
բեթղեհեմ	bɛtʰχɛhɛm
բել	bɛl
բելառուս	bɛlɑrus
բելառուսական	bɛlɑrusɑkɑn
բելառուսերեն	bɛlɑrusɛɾɛn
բելգիա	bɛlɡjɑ
բելգորոդ	bɛlɡɔɾɔd
բելգրադ	bɛlɡɾɑd
բելիզ	bɛliz
բելիսարիոս	bɛlisɑɾiɔs
բելմոպան	bɛlmɔpɑn
բելոռուսերեն	bɛlɔrusɛɾɛn
բելուջերեն	bɛlud͡ʒɛɾɛn
բելուջստան	bɛlud͡ʒstɑn
բեխաբար	bɛχɑbɑɾ
բեկանել	bɛkɑnɛl
բեկել	bɛkɛl
բեկոր	bɛkɔɾ
բեկտել	bɛktɛl
բեհեզ	bɛhɛz
բեղ	bɛʁ
բեղեր	bɛʁɛɾ
բեղմ	bɛʁm
բեղմնավորում	bɛʁmnɑvɔɾum
բեղուն	bɛʁun
բեմ	bɛm
բեյսբոլ	bɛjsbɔl
բեյրութ	bɛjɾutʰ
բեն	bɛn
բենգալերեն	bɛŋɡɑlɛɾɛn
բենգալի	bɛŋɡɑli
բենգալուրու	bɛŋɡɑluɾu
բենեդիկտյան	bɛnɛdiktjɑn
բենզալցակայան	bɛnzɑlət͡sʰɑkɑjɑn
բենզասղոց	bɛnzɑsəʁɔt͡sʰ
բենզին	bɛnzin
բենիլյուքս	bɛniljukʰs
բենին	bɛnin
բեովտիա	bɛɔftjɑ
բեռ	bɛr
բեռլին	bɛrlin
բեռն	bɛrn
բեռնախցիկ	bɛrnɑχət͡sʰik
բեռնատար	bɛrnɑtɑɾ
բեռնյան	bɛrnjɑn
բեսարաբիա	bɛsɑɾɑbjɑ
բեսեդկա	bisɛdkɑ
բեսթսելեր	bɛstʰsɛlɛɾ
բեսիրաթ	bɛsiɾɑtʰ
բետոն	bɛtɔn
բերան	bɛɾɑn
բերանային	bɛɾɑnɑjin
բերանացի	bɛɾɑnɑt͡sʰi
բերանի	bɛɾɑni
բերբեր	bɛɾbɛɾ
բերդ	bɛɾtʰ
բերել	bɛɾɛl
բերիլիում	bɛɾilijum
բերկլիում	bɛɾklijum
բերման	bɛɾmɑn
բերնային	bɛɾnɑjin
բերում	bɛɾum
բերրի	bɛɾːi
բերք	bɛɾkʰ
բեւեռ	bɛvɛr
բեւեռային	bɛvɛrɑjin
բեւեռացույց	bɛvɛrɑt͡sʰujt͡sʰ
բզեզ	bəzɛz
բզզալ	bəzːɑl
բզրուկ	bəzɾuk
բժիշկ	bəʒiʃk
բժշկագիտություն	bəʒəʃkɑɡitutʰjun
բժշկական	bəʒəʃkɑkɑn
բժշկել	bəʒəʃkɛl
բժշկություն	bəʒəʃkutʰjun
բժշկում	bəʒəʃkum
բիբ	bib
բիբար	bibɑɾ
բիբլիոգրաֆիա	bibliɔɡɾɑfjɑ
բիբլոս	biblɔs
բիզ	biz
բիզնես	biznɛs
բիզնեսմեն	biznɛsmɛn
բիզոն	bizɔn
բիթ	bitʰ
բիլ	bil
բիլակ	bilɑk
բիլզերյան	bilzɛɾjɑn
բիծ	bit͡s
բիհար	bihɑɾ
բիհարի	bihɑɾi
բիճ	bit͡ʃ
բինտ	bint
բիշկեկ	biʃkɛk
բիշքեկ	biʃkʰɛk
բիոլոգիա	bijɔlɔɡjɑ
բիսլամա	bislɑmɑ
բիսմութ	bismutʰ
բիստրո	bistɾɔ
բիր	biɾ
բիրմա	biɾmɑ
բիրմաներեն	biɾmɑnɛɾɛn
բիրմինգամ	biɾmiŋɡɑm
բիրմինգհեմ	biɾmiŋɡhɛm
բիրմինհամ	biɾminhɑm
բիրոբիջան	biɾɔbid͡ʒɑn
բիրտ	biɾt
բիֆշտեքս	bifʃtɛkʰs
բլագովեշչենսկ	blɑɡɔvɛʃt͡ʃʰɛnsk
բլբլալ	bəlbəlɑl
բլբուլ	bəlbul
բլթակ	bəltʰɑk
բլիթ	bəlitʰ
բլղուր	bəlʁuɾ
բլղուրապուր	bəlʁuɾɑpuɾ
բլնգազ	bələŋɡɑz
բլոգ	blɔɡ
բլոգեր	bəlɔɡɛɾ
բլոկ	bəlɔk
բլոկադա	blɔkɑdɑ
բլոճ	bəlɔt͡ʃ
բլոջ	bəlɔd͡ʒ
բլուր	bəluɾ
բխել	bəχɛl
բհկ	bəhəkə
բհոջպուրի	bhɔd͡ʒpuɾi
բղավել	bəʁɑvɛl
բղուղ	bəʁuʁ
բղջախոհություն	bəʁd͡ʒɑχɔhutʰjun
բյորեկ	bjɔɾɛk
բյուզանդական	bjuzɑndɑkɑn
բյուզանդացի	bjuzɑndɑt͡sʰi
բյուզանդիա	bjuzɑndjɑ
բյուզանդիոն	bjuzɑndjɔn
բյութանիա	bjutʰɑnjɑ
բյուջե	bjud͡ʒɛ
բյուջետային	bjud͡ʒɛtɑjin
բյուր	bjuɾ
բյուրեղ	bjuɾɛʁ
բնաբան	bənɑbɑn
բնագիր	bənɑɡiɾ
բնազանցություն	bənɑzɑnt͡sʰutʰjun
բնազդ	bənɑzd
բնական	bənɑkɑn
բնակարան	bənɑkɑɾɑn
բնակել	bənɑkɛl
բնակիչ	bənɑkit͡ʃʰ
բնակչություն	bənɑkt͡ʃʰutʰjun
բնակվել	bənɑkvɛl
բնակտոր	bənɑkətɔɾ
բնապահպանություն	bənɑpɑhpɑnutʰjun
բնապատկեր	bənɑpɑtkɛɾ
բնավորություն	bənɑvɔɾutʰjun
բնովի	bənɔvi
բնորոշ	bənɔɾɔʃ
բնորոշել	bənɔɾɔʃɛl
բնութագրել	bənutʰɑɡəɾɛl
բնություն	bənutʰjun
բնույթ	bənujtʰ
բշտիկ	bəʃtik
բոբիկ	bɔbik
բոգոտա	bɔɡɔtɑ
բոզ	bɔz
բոզավագ	bɔzɑvɑkʰ
բոզբաշ	bɔzbɑʃ
բոզի	bɔzi
բոզոն	bɔzɔn
բոզություն	bɔzutʰjun
բոթսվանա	bɔtʰəsvɑnɑ
բոժախ	bɔʒɑχ
բոժոժ	bɔʒɔʒ
բոլիվիա	bɔlivjɑ
բոլշեւիկ	bɔlʃɛvik
բոլոնիա	bɔlɔnjɑ
բոլոր	bɔlɔɾ
բոլորակ	bɔlɔɾɑk
բոլորը	bɔlɔɾə
բոլորշի	bɔlɔɾʃi
բոլորովին	bɔlɔɾɔvin
բոլորք	bɔlɔɾkʰ
բոլուկ	bɔluk
բոխատերեւ	bɔχɑtɛɾɛv
բոխի	bɔχi
բոկ	bɔk
բոկեղ	bɔkɛʁ
բոկոտ	bɔkɔt
բոկոտն	bɔkɔtən
բոհեմիա	bɔhɛmjɑ
բոհեմունդ	bɔhɛmund
բող	bɔʁ
բողբոջ	bɔʁbɔd͡ʒ
բողբոջել	bɔʁbɔd͡ʒɛl
բողկ	bɔχk
բողկուկ	bɔχkuk
բողոճ	bɔʁɔt͡ʃ
բողոք	bɔʁɔkʰ
բողոքականություն	bɔʁɔkʰɑkɑnutʰjun
բողոքարկել	bɔʁɔkʰɑɾkɛl
բողոքարկում	bɔʁɔkʰɑɾkum
բողոքել	bɔʁɔkʰɛl
բոյ	bɔj
բոյաջյան	bɔjɑd͡ʒjɑn
բոյկոտ	bɔjkɔt
բոնուս	bɔnus
բոշա	bɔʃɑ
բոշայերեն	bɔʃɑjɛɾɛn
բոպիկ	bɔpik
բոպլիկ	bɔplik
բոռ	bɔr
բոսնիա	bɔsnjɑ
բոսնիերեն	bɔsnjɛɾɛn
բոսոր	bɔsɔɾ
բոստան	bɔstɑn
բոսֆոր	bɔsfɔɾ
բով	bɔv
բովանդակ	bɔvɑndɑk
բովանդակային	bɔvɑndɑkɑjin
բովանդակություն	bɔvɑndɑkutʰjun
բովել	bɔvɛl
բոտոշան	bɔtɔʃɑn
բոտսվանա	bɔtəsvɑnɑ
բոր	bɔɾ
բորակ	bɔɾɑk
բորան	bɔɾɑn
բորբ	bɔɾb
բորբոս	bɔɾbɔs
բորբոք	bɔɾbɔkʰ
բորբոքել	bɔɾbɔkʰɛl
բորբոքում	bɔɾbɔkʰum
բորդել	bɔɾdɛl
բորեկ	bɔɾɛk
բորենի	bɔɾɛni
բորժոմ	bɔɾʒɔm
բորժոմի	bɔɾʒɔmi
բորիում	bɔɾium
բորշչ	bɔɾʃt͡ʃʰ
բորոտ	bɔɾɔt
բոց	bɔt͡sʰ
բոցարձակ	bɔt͡sʰɑɾt͡sʰɑk
բոցեղեն	bɔt͡sʰɛʁɛn
բու	bu
բուգ	buɡ
բուդ	bud
բուդապեշտ	budɑpɛʃt
բուդդայականություն	budːɑjɑkɑnutʰjun
բուդդիզմ	budːizm
բութ	butʰ
բութան	butʰɑn
բութանիա	butʰɑnjɑ
բուժել	buʒɛl
բուժում	buʒum
բուժումբուրա	buʒumbuɾɑ
բուժքույր	buʒkʰujɾ
բուլդոզեր	buldɔzɛɾ
բուլկի	bulki
բուլղարացի	bulʁɑɾɑt͡sʰi
բուլղարերեն	bulʁɑɾɛɾɛn
բուլղարիա	bulʁɑɾjɑ
բուխ	buχ
բուխարա	buχɑɾɑ
բուխարական	buχɑɾɑkɑn
բուխարեստ	buχɑɾɛst
բուխարիկ	buχɑɾik
բուծ	but͡s
բուծանել	but͡sɑnɛl
բուծել	but͡sɛl
բուկ	buk
բուկովինա	bukɔvinɑ
բուհ	buh
բուղա	buʁɑ
բումերանգ	bumɛɾɑŋɡ
բույթ	bujtʰ
բույլ	bujl
բույն	bujn
բույս	bujs
բույր	bujɾ
բուն	bun
բունկալ	buŋkɑl
բունկեն	buŋkɛn
բունոց	bunɔt͡sʰ
բուշտ	buʃt
բուռ	bur
բուռն	burən
բուսաբան	busɑbɑn
բուսաբանություն	busɑbɑnutʰjun
բուսական	busɑkɑn
բուսակեր	busɑkɛɾ
բուսակերություն	busɑkɛɾutʰjun
բուսանել	busɑnɛl
բուսնել	busnɛl
բուստ	bust
բուտ	but
բուրաստան	buɾɑstɑn
բուրբոն	buɾbɔn
բուրգ	buɾɡ
բուրգեր	buɾɡɛɾ
բուրգունդիա	buɾɡundjɑ
բուրգունդյան	buɾɡundjɑn
բուրդ	buɾtʰ
բուրժուազիա	buɾʒuɑzjɑ
բուրմունք	buɾmuŋkʰ
բուրում	buɾum
բուրունդի	buɾundi
բուրվառ	buɾvɑr
բուք	bukʰ
բոքս	bɔkʰs
բջիջ	bəd͡ʒid͡ʒ
բջջաբան	bəd͡ʒəd͡ʒɑbɑn
բջջաբանական	bəd͡ʒəd͡ʒɑbɑnɑkɑn
բջջաբանություն	bəd͡ʒəd͡ʒɑbɑnutʰjun
բջջային	bəd͡ʒəd͡ʒɑjin
բռի	bəri
բռինչ	bərint͡ʃʰ
բռնաբար	bərnɑbɑɾ
բռնաբարել	bərnɑbɑɾɛl
բռնաբարություն	bərnɑbɑɾutʰjun
բռնազավթում	bərnɑzɑftʰum
բռնակալ	bərnɑkɑl
բռնապետ	bərnɑpɛt
բռնել	bərnɛl
բռնոցի	bərnɔt͡sʰi
բռնություն	bərnutʰjun
բռնչի	bərənt͡ʃʰi
բռունցք	bərunt͡sʰkʰ
բվեճ	bəvɛt͡ʃ
բտել	bətɛl
բրազիլիա	bɾɑziljɑ
բրատիսլավա	bɾɑtislɑvɑ
բրդել	bəɾtʰɛl
բրդյա	bəɾtʰjɑ
բրեժնեւ	bəɾɛʒnɛv
բրեժնեւ	bɾɛʒnɛv
բրետ	bəɾɛt
բրետոներեն	bɾɛtɔnɛɾɛn
բրեցել	bɾɛt͡sʰɛl
բրթել	bəɾtʰɛl
բրինձ	bəɾind͡z
բրիչ	bəɾit͡ʃʰ
բրիտանական	bɾitɑnɑkɑn
բրիտանացի	bɾitɑnɑt͡sʰi
բրիտանիա	bɾitɑnjɑ
բրիտվա	bɾitvɑ
բրյանսկ	bɾjɑnsk
բրյուսել	bɾjusɛl
բրնձապուր	bəɾənd͡zɑpuɾ
բրոմ	bɾɔm
բրոնզ	bəɾɔnz
բրոշ	bəɾɔʃ
բրոունյան	bɾɔunjɑn
բրունեյ	bɾunɛj
բրուտ	bɾut
բրուցելոզ	bɾut͡sʰɛlɔz
գ	ɡə
գաբոն	ɡɑbɔn
գաբորոնե	ɡɑbɔɾɔnɛ
գաբրիել	ɡɑpʰɾijɛl
գագաթ	ɡɑɡɑtʰ
գագաթնաժողով	ɡɑɡɑtʰnɑʒɔʁɔv
գագիկ	ɡɑɡik
գագուլ	ɡɑɡul
գագուլիկ	ɡɑɡulik
գագրա	ɡɑɡɾɑ
գադես	ɡɑdɛs
գադոլինիում	ɡɑdɔlinijum
գազ	ɡɑz
գազա	ɡɑzɑ
գազալցակայան	ɡɑzɑlət͡sʰɑkɑjɑn
գազախ	ɡɑzɑχ
գազայի	ɡɑzɑji
գազան	ɡɑzɑn
գազանանոց	ɡɑzɑnɑnɔt͡sʰ
գազանություն	ɡɑzɑnutʰjun
գազավոն	ɡɑzɑvɔn
գազար	ɡɑzɑɾ
գազարագույն	ɡɑzɑɾɑɡujn
գազոն	ɡɑzɔn
գազոնահնձիչ	ɡɑzɔnɑhənd͡zit͡ʃʰ
գաթա	ɡɑtʰɑ
գալ	ɡɑl
գալակտիկա	ɡɑlɑktikɑ
գալակտիկական	ɡɑlɑktikɑkɑn
գալար	ɡɑlɑɾ
գալարել	ɡɑlɑɾɛl
գալարվել	ɡɑlɑɾvɛl
գալեն	ɡɑlɛn
գալիլեա	ɡɑlilɛjɑ
գալիլեյ	ɡɑlilɛj
գալիլիա	ɡɑliljɑ
գալիում	ɡɑlijum
գալիս	ɡɑlis
գալիցիա	ɡɑlit͡sʰjɑ
գալյեգո	ɡɑljɛɡɔ
գալուստ	ɡɑlust
գալստյան	ɡɑləstjɑn
գալստուկ	ɡɑlstuk
գահ	ɡɑh
գահակալել	ɡɑhɑkɑlɛl
գահասրահ	ɡɑhɑsəɾɑh
գահավանդ	ɡɑhɑvɑnd
գահավանդակ	ɡɑhɑvɑndɑk
գահույք	ɡɑhujkʰ
գաղատիա	ɡɑʁɑtjɑ
գաղափար	ɡɑʁɑpʰɑɾ
գաղափարագիր	ɡɑʁɑpʰɑɾɑɡiɾ
գաղափարախոս	ɡɑʁɑpʰɑɾɑχɔs
գաղափարախոսական	ɡɑʁɑpʰɑɾɑχɔsɑkɑn
գաղափարախոսություն	ɡɑʁɑpʰɑɾɑχɔsutʰjun
գաղել	ɡɑʁɛl
գաղթ	ɡɑχtʰ
գաղթել	ɡɑχtʰɛl
գաղթեցում	ɡɑχtʰɛt͡sʰum
գաղիանոս	ɡɑʁjɑnɔs
գաղձ	ɡɑʁd͡z
գաղութ	ɡɑʁutʰ
գաղութատեր	ɡɑʁutʰɑtɛɾ
գաղութատիրություն	ɡɑʁutʰɑtiɾutʰjun
գաղջ	ɡɑʁd͡ʒ
գաղտ	ɡɑχt
գաղտակուր	ɡɑχtɑkuɾ
գաղտնաբառ	ɡɑχtnɑbɑr
գաղտնի	ɡɑχtni
գաղտնիք	ɡɑχtnikʰ
գաղտրիկ	ɡɑχtɾik
գամ	ɡɑm
գամակ	ɡɑmɑk
գամբիա	ɡɑmbjɑ
գամել	ɡɑmɛl
գամետ	ɡɑmɛt
գամիրք	ɡɑmiɾkʰ
գամփռ	ɡɑmpʰər
գայանա	ɡɑjɑnɑ
գայանե	ɡɑjɑnɛ
գայթակղել	ɡɑjtʰɑkəʁɛl
գայթակղություն	ɡɑjtʰɑkəʁutʰjun
գայիսոն	ɡɑjisɔn
գայլ	ɡɑjl
գայլաձուկ	ɡɑjlɑd͡zuk
գայլաշուն	ɡɑjlɑʃun
գայլենի	ɡɑjlɛni
գայլիկոն	ɡɑjlikɔn
գայկա	ɡɑjkɑ
գայռ	ɡɑjr
գան	ɡɑn
գանա	ɡɑnɑ
գանգ	ɡɑŋɡ
գանգաթիթեռ	ɡɑŋɡɑtʰitʰɛr
գանգատ	ɡɑŋɡɑt
գանգես	ɡɑŋɡɛs
գանգուր	ɡɑŋɡuɾ
գանգրագեղ	ɡɑŋɡɾɑɡɛʁ
գանգրածածկ	ɡɑŋɡɾɑt͡sɑt͡sk
գանգրածայր	ɡɑŋɡɾɑt͡sɑjɾ
գանգրահեր	ɡɑŋɡɾɑhɛɾ
գանգրաձեւ	ɡɑŋɡɾɑd͡zɛv
գանգրամազ	ɡɑŋɡɾɑmɑz
գանգրանալ	ɡɑŋɡɾɑnɑl
գանգրանման	ɡɑŋɡɾɑnəmɑn
գանգրաշուք	ɡɑŋɡɾɑʃukʰ
գանգրավարս	ɡɑŋɡɾɑvɑɾs
գանգրավոր	ɡɑŋɡɾɑvɔɾ
գանգրավուն	ɡɑŋɡɾɑvun
գանգրացնել	ɡɑŋɡɾɑt͡sʰnɛl
գանգրացում	ɡɑŋɡɾɑt͡sʰum
գանգրացվել	ɡɑŋɡɾɑt͡sʰvɛl
գանգրափունջ	ɡɑŋɡɾɑpʰund͡ʒ
գանգրել	ɡɑŋɡɾɛl
գանգրենա	ɡɑŋɡɾɛnɑ
գանգրիկ	ɡɑŋɡɾik
գանգրոց	ɡɑŋɡɾɔt͡sʰ
գանգրություն	ɡɑŋɡɾutʰjun
գանգրվել	ɡɑŋɡəɾvɛl
գանդինագար	ɡɑndinɑɡɑɾ
գանձ	ɡɑnd͡z
գանձակ	ɡɑnd͡zɑk
գանձավոր	ɡɑnd͡zɑvɔɾ
գանձատուփ	ɡɑnd͡zɑtupʰ
գանձարան	ɡɑnd͡zɑɾɑn
գաուչո	ɡɑut͡ʃʰɔ
գաջ	ɡɑd͡ʒ
գառ	ɡɑr
գառաժ	ɡɑrɑʒ
գառնանգղ	ɡɑrnɑŋɡəʁ
գառնարած	ɡɑrnɑɾɑt͡s
գառնենի	ɡɑrnɛni
գառնիկ	ɡɑrnik
գասկոնցի	ɡɑskɔnt͡sʰi
գասպարյան	ɡɑspɑɾjɑn
գաստնիցա	ɡɑstnit͡sʰɑ
գավազան	ɡɑvɑzɑn
գավաթ	ɡɑvɑtʰ
գավառ	ɡɑvɑr
գավառական	ɡɑvɑrɑkɑn
գավգամելա	ɡɑvɡɑmɛlɑ
գավիթ	ɡɑvitʰ
գավոտ	ɡɑvɔt
գավրիլ	ɡɑvɾil
գարաժ	ɡɑɾɑʒ
գարեգին	ɡɑɾɛɡin
գարեջուր	ɡɑɾɛd͡ʒuɾ
գարի	ɡɑɾi
գարիկ	ɡɑɾik
գարնային	ɡɑɾnɑjin
գարնանային	ɡɑɾnɑnɑjin
գարշ	ɡɑɾʃ
գարշապար	ɡɑɾʃɑpɑɾ
գարշել	ɡɑɾʃɛl
գարուն	ɡɑɾun
գափ	ɡɑpʰ
գաֆեսճյան	ɡɑfɛst͡ʃjɑn
գգվանք	ɡəkʰvɑŋkʰ
գգվել	ɡəkʰvɛl
գդալ	ɡətʰɑl
գդակ	ɡədɑk
գդակագործ	ɡədɑkɑɡɔɾt͡s
գել	ɡɛl
գելարան	ɡɛlɑɾɑn
գելել	ɡɛlɛl
գելոց	ɡɛlɔt͡sʰ
գեղ	ɡɛʁ
գեղագանգուր	ɡɛʁɑɡɑŋɡuɾ
գեղագետ	ɡɛʁɑɡɛt
գեղագիտություն	ɡɛʁɑɡitutʰjun
գեղամ	ɡɛʁɑm
գեղամյան	ɡɛʁɑmjɑn
գեղանի	ɡɛʁɑni
գեղարդ	ɡɛʁɑɾtʰ
գեղարվեստական	ɡɛʁɑɾvɛstɑkɑn
գեղարքունի	ɡɛʁɑɾkʰuni
գեղարքունիք	ɡɛʁɑɾkʰunikʰ
գեղացի	ɡɛʁɑt͡sʰi
գեղգեղել	ɡɛʁɡɛʁɛl
գեղեցիկ	ɡɛʁɛt͡sʰik
գեղեցկահարմար	ɡɛʁɛt͡sʰkɑhɑɾmɑɾ
գեղեցկություն	ɡɛʁɛt͡sʰkutʰjun
գեղեցկուհի	ɡɛʁɛt͡sʰkuhi
գեղեցկուհին	ɡɛʁɛt͡sʰkuhin
գեղձ	ɡɛʁd͡z
գեղձի	ɡɛʁd͡zi
գեղմ	ɡɛʁm
գեղմնակ	ɡɛʁmənɑk
գեղմնավոր	ɡɛʁmnɑvɔɾ
գեղոն	ɡɛʁɔn
գեղջուկ	ɡɛʁd͡ʒuk
գեղցի	ɡɛχt͡sʰi
գեյզեր	ɡɛjzɛɾ
գեն	ɡɛn
գենդալֆ	ɡɛndɑlf
գեներալ	ɡɛnɛɾɑl
գեշ	ɡɛʃ
գեոլոգիա	ɡɛjɔlɔɡjɑ
գեջ	ɡɛd͡ʒ
գեռլա	ɡɛrlɑ
գես	ɡɛs
գեստապո	ɡɛstɑpɔ
գեստապոյական	ɡɛstɑpɔjɑkɑn
գետ	ɡɛt
գետաբերան	ɡɛtɑbɛɾɑn
գետակ	ɡɛtɑk
գետակինճ	ɡɛtɑkint͡ʃ
գետահովիտ	ɡɛtɑhɔvit
գետաձի	ɡɛtɑd͡zi
գետառ	ɡɛtɑr
գետափ	ɡɛtɑpʰ
գետին	ɡɛtin
գետնախնձոր	ɡɛtnɑχənd͡zɔɾ
գետնահարկ	ɡɛtnɑhɑɾk
գետնաշարժ	ɡɛtnɑʃɑɾʒ
գետնառյուծ	ɡɛtnɑrjut͡s
գետնից	ɡɛtnit͡sʰ
գեր	ɡɛɾ
գերագնահատել	ɡɛɾɑɡənɑhɑtɛl
գերագույն	ɡɛɾɑɡujn
գերադրական	ɡɛɾɑdɾɑkɑn
գերազանց	ɡɛɾɑzɑnt͡sʰ
գերազանցություն	ɡɛɾɑzɑnt͡sʰutʰjun
գերակա	ɡɛɾɑkɑ
գերան	ɡɛɾɑn
գերանդի	ɡɛɾɑndi
գերատեսչություն	ɡɛɾɑtɛst͡ʃʰutʰjun
գերդաստան	ɡɛɾdɑstɑn
գերեզման	ɡɛɾɛzmɑn
գերեզմանոց	ɡɛɾɛzmɑnɔt͡sʰ
գերել	ɡɛɾɛl
գերեվարում	ɡɛɾɛvɑɾum
գերի	ɡɛɾi
գերիրապաշտություն	ɡɛɾiɾɑpɑʃtutʰjun
գերխնդիր	ɡɛɾχəntʰiɾ
գերծել	ɡɛɾt͡sɛl
գերճշտում	ɡɛɾt͡ʃəʃtum
գերմակ	ɡɛɾmɑk
գերմանական	ɡɛɾmɑnɑkɑn
գերմանացի	ɡɛɾmɑnɑt͡sʰi
գերմաներեն	ɡɛɾmɑnɛɾɛn
գերմանիա	ɡɛɾmɑnjɑ
գերմանիայի	ɡɛɾmɑnjɑji
գերմանիում	ɡɛɾmɑnijum
գերմանուհի	ɡɛɾmɑnuhi
գերմաստի	ɡɛɾmɑsti
գերշուկա	ɡɛɾʃukɑ
գերշտկում	ɡɛɾʃətkum
գերքաղաք	ɡɛɾkʰɑʁɑkʰ
գեւորգ	ɡɛvɔɾkʰ
գեւորգյան	ɡɛvɔɾkʰjɑn
գթալ	ɡətʰɑl
գթասիրտ	ɡətʰɑsiɾt
գթություն	ɡətʰutʰjun
գժանոց	ɡəʒɑnɔt͡sʰ
գժտվել	ɡəʒtvɛl
գի	ɡi
գիժ	ɡiʒ
գիլ	ɡil
գիլաս	ɡilɑs
գիլյոտին	ɡiljɔtin
գիլոյան	ɡilɔjɑn
գիծ	ɡit͡s
գիհի	ɡihi
գիմ	ɡim
գին	ɡin
գինարբու	ɡinɑɾbu
գինարբուք	ɡinɑɾbukʰ
գինդ	ɡind
գինեմոլ	ɡinɛmɔl
գինետուն	ɡinɛtun
գինի	ɡini
գինձ	ɡind͡z
գիշակեր	ɡiʃɑkɛɾ
գիշատել	ɡiʃɑtɛl
գիշեր	ɡiʃɛɾ
գիշերահավասար	ɡiʃɛɾɑhɑvɑsɑɾ
գիշերային	ɡiʃɛɾɑjin
գիշերօթիկ	ɡiʃɛɾɔtʰik
գիսակ	ɡisɑk
գիսաստղ	ɡisɑstəʁ
գիտական	ɡitɑkɑn
գիտակարգ	ɡitɑkɑɾkʰ
գիտակարգային	ɡitɑkɑɾkʰɑjin
գիտակից	ɡitɑkit͡sʰ
գիտակցաբար	ɡitɑkt͡sʰɑbɑɾ
գիտակցական	ɡitɑkt͡sʰɑkɑn
գիտակցականություն	ɡitɑkt͡sʰɑkɑnutʰjun
գիտակցել	ɡitɑkt͡sʰɛl
գիտակցորեն	ɡitɑkt͡sʰɔɾɛn
գիտակցություն	ɡitɑkt͡sʰutʰjun
գիտակցում	ɡitɑkt͡sʰum
