да	dˈɒ
ураза	urˈɑzɑ
җыела	ʑɯˈeɫɑ
Әхмәтов	æxmˈætow
Кырымдагы	qˌɯrɯmdˈɑʁɯ
Нинди	nˈindi
Шәриф	ʃˈærif
бию	bˈijy
канунсыз	qɒnˈunsɯz
нәрсәне	nærsˈæne
теләк	tˈelæk
тирән	tˈiræn
төзелеш	tœzˈeleʃ
уйларга	ˌuɪɫˈɑrʁɑ
чакырган	ɕɒqˈɯrʁɑn
Гадел	ʁˈɒdel
ка	qˈɒ
канунга	qɒnˈuŋʁɑ
кемнәр	kˈemnær
кертелгән	kertˈelɣæn
урнаштыру	ˌurnɑʃtˈɯru
ярата	jɑrˈɑtɑ
әзерләү	ˌæzerlˈæy
аңларга	ɒŋɫˈɒrʁɑ
га	ʁˈɒ
депутатлар	dˌeputˈɑtɫɑr
йортларында	ˌɪortɫɑrˈɯndɑ
такымы	tɒqˈɯmɯ
телләрне	tellˈærne
юлга	jˈuɫʁɑ
яшьләрне	jæʃʔlˈærne
мөгаен	mœʁˈɑen
тормышын	tormˈɯʃɯn
төзелә	tœzˈelæ
үткәрде	ytkˈærde
Шуны	ʃˈunɯ
Эш	ˈeʃ
беләбез	belˈæbez
кими	kˈimi
университетының	ˌuniwˌersitetˈɯnɯŋ
якынча	jɑqˈɯnɕɑ
АКШның	ˈɒqʃnˈɯŋ
ФСБ	fsb
Элегрәк	elˈeɣræk
бетә	bˈetæ
булдырырга	bˌuɫdɯrˈɯrʁɑ
куркынычы	qˌurqɯnˈɯɕɯ
узып	ˈuzɯp
халыклары	xˌɒɫɯqɫˈɑrɯ
җырчылар	ʑɯrɕˈɯɫɑr
Сайлау	sˌɒɪɫˈɑu
булдыра	buɫdˈɯrɑ
ирешә	irˈeʃæ
патша	pˈɒtʃɒ
соңыннан	soŋˈɯnnɑn
тимер	tˈimer
туды	tˈudɯ
урыннар	urˈɯnnɑr
алтын	ˈɒɫtɯn
арттыру	ɒrttˈɯru
документ	doqˈument
ноябрьдә	nojˈæbrʔdæ
октябрьдә	oqtjˈæbrʔdæ
сак	sˈɒq
фикергә	fikˈerɣæ
байтак	bɒˈɪtɑq
барыла	bɒrˈɯɫɑ
газет	ʁˈɒzet
ирек	ˈirek
кертеп	kˈertep
күтәрергә	kˌytærˈerɣæ
мәкалә	mæqˈɑɫæ
урыннарда	ˌurɯnnˈɑrdɑ
үткәргән	ytkˈærɣæn
әйләнде	ˌæɪlˈænde
акыллы	ɒqˈɯɫɫɯ
бетте	bˈette
болар	bˈoɫɑr
йөреп	ɪˈœrep
намзәт	nˈɒmzæt
санлы	sˈɒnɫɯ
сәхифәсендә	sˌæxifæsˈendæ
эшлеклесе	ˌeʃleklˈese
яңалык	jɑŋˈɑɫɯq
җыелып	ʑɯˈeɫɯp
һәйкәле	hˌæɪkˈæle
әзерләнгән	ˌæzerlˈæŋɣæn
Кремль	krˈemlʔ
белдерүенчә	bˌelderyˈenɕæ
килсә	kˈilsæ
мәгълүматлар	mˌæɣʔlymˈɑtɫɑr
тамаша	tɒmˈɒʃɑ
телләрендә	tˌellærˈendæ
яшибез	jæʃˈibez
әйтәм	æˈɪtæm
Алай	ɒɫˈɒɪ
Төп	tˈœp
Чечня	ɕˈeɕnjæ
Чубаров	ɕubˈɑrow
кино	kˈino
мәҗлесе	mæʑlˈese
сүзне	sˈyzne
тәнкыйть	tˈænqɯjtʔ
һуманитар	hˌumɑnˈitɑr
әзерләгән	ˌæzerlˈæɣæn
башладык	bɒʃɫˈɒdɯq
илне	ˈilne
ир	ˈir
итүе	itˈye
китапларны	kˌitɑpɫˈɑrnɯ
кулланырга	qˌuɫɫɑnˈɯrʁɑ
мәктәпкә	mæktˈæpkæ
парламенты	pˌɒrɫɒmˈentɯ
сәфәре	sæfˈære
хисап	xˈisɑp
җибәрү	ʑibˈæry
Гайнетдин	ʁˌɒɪnˈetdin
Финляндия	fˌinljændˈijæ
башкарган	bɒʃqˈɒrʁɑn
диелгән	diˈelɣæn
иреге	irˈeɣe
йогынты	ˌɪoʁˈɯntɯ
оешманың	ˌoeʃmˈɑnɯŋ
сумга	sˈumʁɑ
тарафдарлары	tˌɒrɒfdɑrɫˈɑrɯ
театрында	tˌeɑtrˈɯndɑ
төшерә	tœʃˈeræ
җыя	ʑˈɯjɑ
өстенлек	œstˈenlek
акчаны	ɒqɕˈɒnɯ
арасыннан	ˌɒrɒsˈɯnnɑn
артты	ˈɒrttɯ
диңгез	dˈiŋɣez
менән	mˈenæn
очрашып	oɕrˈɑʃɯp
тырышты	tɯrˈɯʃtɯ
укучылары	ˌuquɕɯɫˈɑrɯ
хәрбиләре	xˌærbilˈære
Аллаһ	ˈɒɫɫɒh
белмәгән	belmˈæɣæn
бирәләр	birˈælær
митинг	mˈitiŋɣ
мәктәпләре	mˌæktæplˈære
сөйләгән	sˌœɪlˈæɣæn
тормышта	tormˈɯʃtɑ
тырышабыз	tˌɯrɯʃˈɑbɯz
җәмәгатьчелеге	ʑˌæmæʁˌɑtʔɕelˈeɣe
үткәрә	ytkˈæræ
Аллаһы	ɒɫɫˈɒhɯ
алдым	ˈɒɫdɯm
журналы	ʒurnˈɑɫɯ
имамнар	imˈɑmnɑr
кануннары	qˌɒnunnˈɑrɯ
милләтен	millˈæten
нәрсәләр	nærsˈælær
районының	rˌɒɪonˈɯnɯŋ
сайт	sˈɒɪt
телиләр	telˈilær
өйрәнеп	ˌœɪrˈænep
Бигрәк	bˈiɣræk
Рәсми	rˈæsmi
ача	ˈɒɕɒ
итүне	itˈyne
китергән	kitˈerɣæn
кичке	kˈiɕke
төшерү	tœʃˈery
чакрымга	ɕɒqrˈɯmʁɑ
чараларына	ɕˌɒrɒɫɑrˈɯnɑ
Әлфия	ælfˈijæ
Гүзәл	ɣˈyzæl
американ	ˌɒmerˈiqɑn
гаиләдә	ʁˌɒilˈædæ
програм	prˈoʁrɑm
тапшырулар	tˌɒpʃɯrˈuɫɑr
телим	tˈelim
фестивале	fˌestiwˈɑɫe
эшләнә	eʃlˈænæ
юлын	jˈuɫɯn
әсәрләре	ˌæsærlˈære
директоры	dˌireqtˈorɯ
көче	kˈœɕe
төркемнәр	tœrkˈemnær
шәһәрләрендә	ʃˌæhærlærˈendæ
Киев	kˈiew
академиясе	ˌɒqɒdˌemijˈæse
кирәклеге	kˌiræklˈeɣe
мәнфәгатьләрен	mˌænfæʁɑtʔɫˈæren
оештырып	ˌoeʃtˈɯrɯp
рәвешендә	rˌæweʃˈendæ
чиркәве	ɕirkˈæwe
Белгечләр	belɣˈeɕlær
Хәкимов	xækˈimow
заман	zˈɒmɒn
катнашы	qɒtnˈɒʃɯ
мөмкинлеген	mˌœmkinlˈeɣen
оешмасының	ˌoeʃmɑsˈɯnɯŋ
сайланган	sˌɒɪɫˈɑŋʁɑn
февральдә	fewrˈɑɫʔdæ
чакыру	ɕɒqˈɯru
чыгышлар	ɕɯʁˈɯʃɫɑr
җәмгыять	ʑæmʁˈɯjɑtʔ
Корбан	qˈorbɑn
Кырымнан	qɯrˈɯmnɑn
Нигә	nˈiɣæ
Таҗетдин	tɒʑˈetdin
бирми	bˈirmi
темага	temˈɑʁɑ
тәҗрибә	tæʑrˈibæ
эшлибез	eʃlˈibez
яңгырады	jˌɑŋʁɯrˈɑdɯ
әйтү	æˈɪty
Мәгариф	mæʁˈɑrif
ага	ˈɒʁɒ
барачак	bɒrˈɒɕɑq
интернетка	ˌinternˈetqɑ
килү	kˈily
тарихны	tɒrˈixnɯ
төрмә	tˈœrmæ
фикерне	fikˈerne
җыю	ʑˈɯju
Акмәчеттә	ˌɒqmæɕˈettæ
Аллага	ɒɫɫˈɒʁɑ
кулланыла	qˌuɫɫɑnˈɯɫɑ
очрашулар	ˌoɕrɑʃˈuɫɑr
республикасы	rˌespubɫiqˈɑsɯ
чыгуы	ɕɯʁˈuɯ
камил	qˈɒmil
конференция	qˌonferentsˈijæ
көчләр	kˈœɕlær
минут	mˈinut
сала	sˈɒɫɒ
тыңлап	tˈɯŋɫɑp
якшәмбе	jækʃˈæmbe
алман	ˈɒɫmɒn
галиме	ʁɒɫˈime
итүен	itˈyen
кертә	kˈertæ
күренми	kyrˈenmi
христиан	xristˈiɑn
эченә	eɕˈenæ
эшчәнлеген	ˌeʃɕænlˈeɣen
өлкәсенең	ˌœlkæsˈeneŋ
Олимпия	ˌoɫimpˈijæ
автор	ˈɑwtor
гариза	ʁɒrˈizɑ
кораллы	qorˈɑɫɫɯ
милләтнең	millˈætneŋ
мәктәпләрендә	mˌæktæplærˈendæ
мәхәббәт	mæxˈæbbæt
салган	sˈɒɫʁɒn
теленнән	telˈennæn
яулап	jɑˈuɫɑp
җырын	ʑˈɯrɯn
баруы	bɒrˈuɯ
дүртенче	dyrtˈenɕe
сөйләргә	sˌœɪlˈærɣæ
туктатырга	tˌuqtɑtˈɯrʁɑ
Башкортстандагы	bˌɒʃqortstɑndˈɑʁɯ
Кәрим	kˈærim
Роберт	rˈobert
Федераль	fedˈerɑɫʔ
ак	ˈɒq
вазгыятьне	wˌɒzʁɯjˈætʔne
гафу	ʁˈɒfu
гыйнвар	ʁˈɯjnwɑr
гәҗит	ɣˈæʑit
килүен	kilˈyen
куела	quˈeɫɑ
мәгълүматны	mˌæɣʔlymˈɑtnɯ
мәсьәләгә	mˌæsʔælˈæɣæ
не	nˈe
тырышалар	tˌɯrɯʃˈɑɫɑr
чик	ɕˈik
Закиров	zɒqˈirow
Нәкъ	nˈækʔ
итсә	ˈitsæ
каршылыклар	qˌɒrʃɯɫˈɯqɫɑr
килдем	kˈildem
нәшер	nˈæʃer
тормый	tˈormɯj
хуҗасы	xuʑˈɑsɯ
җанлы	ʑˈɒnɫɯ
Кызганыч	qɯzʁˈɑnɯɕ
барлыгын	bɒrɫˈɯʁɯn
вакытларда	wˌɒqɯtɫˈɑrdɑ
видео	widˈeo
гаепли	ʁɒˈepli
гыйнварда	ʁɯjnwˈɑrdɑ
иҗади	iʑˈɑdi
калмый	qˈɒɫmɯj
катнашу	qɒtnˈɒʃu
качып	qˈɒɕɯp
кирәктер	kirˈækter
профессор	profˈessor
төрлечә	tœrlˈeɕæ
төрмәдә	tœrmˈædæ
укыта	uqˈɯtɑ
элемтә	elˈemtæ
Согуд	sˈoʁud
ачыла	ɒɕˈɯɫɑ
калдырган	qɒɫdˈɯrʁɑn
каршындагы	qˌɒrʃɯndˈɑʁɯ
мәсьәләсенә	mˌæsʔælæsˈenæ
низаг	nˈizɑʁ
тәкъдиме	tækʔdˈime
яный	jˈɑnɯj
үзенчә	yzˈenɕæ
үлгән	ˈylɣæn
Барак	bˈɒrɒq
НАТО	nˈɒto
Николай	nˌiqoɫˈɑɪ
бирделәр	birdˈelær
бозу	bˈozu
динне	dˈinne
каналы	qɒnˈɒɫɯ
киләләр	kilˈælær
күрсәтелә	kˌyrsætˈelæ
мәсьәләләрне	mˌæsʔælælˈærne
ялгыз	jˈɑɫʁɯz
Барлык	bˈɒrɫɯq
Британия	brˌitɑnˈijæ
Быелгы	bɯˈeɫʁɯ
Игорь	ˈiʁorʔ
авыллары	ˌɑwɯɫɫˈɑrɯ
алмыйлар	ɒɫmˈɯjɫɑr
артисты	ɒrtˈistɯ
буенда	buˈendɑ
вакытлыча	wˌɒqɯtɫˈɯɕɑ
президентының	prˌezidentˈɯnɯŋ
саклана	sɒqɫˈɒnɑ
төште	tˈœʃte
уздырган	uzdˈɯrʁɑn
чикләүләр	ɕˌiklæˈylær
яптылар	jɑptˈɯɫɑr
бетереп	betˈerep
бәйге	bæˈɪɣe
күрде	kˈyrde
күрсәтелгән	kˌyrsætˈelɣæn
мөмкинлекләре	mˌœmkinleklˈære
радиосының	rˌɒdiosˈɯnɯŋ
секретаре	sˌekretˈɑre
хакимиятнең	xˌɒqimijˈætneŋ
Америкада	ˌɒmeriqˈɑdɑ
Син	sˈin
докторы	doqtˈorɯ
иткәннәр	itkˈænnær
кешелек	keʃˈelek
сугышта	suʁˈɯʃtɑ
сәбәпләр	sæbˈæplær
хәйрия	xˌæɪrˈijæ
Лилия	lilˈijæ
Петербур	petˈerbur
берсендә	bersˈendæ
күтәрү	kytˈæry
тикшереп	tikʃˈerep
Үзе	ˈyze
үсеше	ysˈeʃe
Кама	qˈɒmɒ
Республика	rˌespubɫˈiqɑ
Төркиядән	tˌœrkijˈædæn
башкарды	bɒʃqˈɒrdɯ
мәҗлес	mˈæʑles
сораган	sorˈɑʁɑn
халыкларны	xˌɒɫɯqɫˈɑrnɯ
шалтыратып	ʃˌɒɫtɯrˈɑtɯp
Дума	dˈumɑ
Разил	rˈɒzil
булачагын	bˌuɫɑɕˈɑʁɯn
илләрнең	illˈærneŋ
тарату	tɒrˈɒtu
чакрым	ɕˈɒqrɯm
җан	ʑˈɒn
Исхакый	isxˈɑqɯj
Кемдер	kˈemder
Кырымтатарлар	qˌɯrɯmtɑtˈɑrɫɑr
Чарада	ɕɒrˈɒdɑ
ае	ˈɒe
аермалы	ˌɒermˈɑɫɯ
азагында	ˌɒzɒʁˈɯndɑ
баралар	bɒrˈɒɫɑr
дәрәҗәгә	dˌæræʑˈæɣæ
иткәндә	itkˈændæ
июньдә	ijˈynʔdæ
коммунистлар	qˌommunˈistɫɑr
мәхәллә	mæxˈællæ
нәфрәт	nˈæfræt
саклый	sˈɒqɫɯj
тарихында	tˌɒrixˈɯndɑ
татары	tɒtˈɒrɯ
шулкадәр	ʃuɫqˈɑdær
җирендә	ʑirˈendæ
җиңеп	ʑˈiŋep
үсеп	ˈysep
Күпләр	kˈyplær
Тел	tˈel
Фәиз	fˈæiz
башладым	bɒʃɫˈɒdɯm
бирүне	birˈyne
дәрәҗәсенә	dˌæræʑæsˈenæ
иттем	ˈittem
калмады	qɒɫmˈɒdɯ
китерде	kitˈerde
очрашуында	ˌoɕrɑʃuˈɯndɑ
сөйләшкән	sˌœɪlˈæʃkæn
тиешләр	tiˈeʃlær
чәчәк	ɕˈæɕæk
яшәүчеләр	jˌæʃæyɕˈelær
әнә	ˈænæ
Имеш	ˈimeʃ
авылга	ɑwˈɯɫʁɑ
дуңгыз	dˈuŋʁɯz
дәрәҗәсен	dˌæræʑˈæsen
еллыгы	jɯɫɫˈɯʁɯ
ник	nˈik
ташлап	tˈɒʃɫɒp
тәмамланды	tˌæmɑmɫˈɑndɯ
чынлыкта	ɕɯnɫˈɯqtɑ
юлларын	juɫɫˈɑrɯn
бирүче	birˈyɕe
бәйгедә	bˌæɪɣˈedæ
гамәл	ʁˈɒmæl
кан	qˈɒn
катнашып	qɒtnˈɒʃɯp
курка	qˈurqɑ
кырымтатарларны	qˌɯrɯmtˌɑtɑrɫˈɑrnɯ
проектлар	proˈeqtɫɑr
рәвешле	ræwˈeʃle
электр	ˈelektr
авылларда	ˌɑwɯɫɫˈɑrdɑ
алуга	ɒɫˈuʁɑ
басылып	bɒsˈɯɫɯp
укытырга	ˌuqɯtˈɯrʁɑ
фирка	fˈirqɑ
җитәкчелегендәге	ʑˌitækɕˌeleɣendˈæɣe
өметләнә	ˌœmetlˈænæ
бәйгесендә	bˌæɪɣesˈendæ
күптәннән	kyptˈænnæn
оешкан	oˈeʃqɑn
сайлауга	sˌɒɪɫɑˈuʁɑ
синең	sˈineŋ
спектакль	spˈeqtɑqɫʔ
сәхнә	sˈæxnæ
яңгырый	jɑŋʁˈɯrɯj
Виктор	wˈiqtor
Ибраһимов	ˌibrɑhˈimow
Илшат	ˈiɫʃɑt
Оренбур	orˈenbur
булмау	buɫmˈɑu
бүлегенә	bˌyleɣˈenæ
исламга	isɫˈɑmʁɑ
китаплары	kˌitɑpɫˈɑrɯ
мәчетне	mæɕˈetne
оештырыла	ˌoeʃtɯrˈɯɫɑ
режиссер	reʒˈisser
уйлыйбыз	ˌuɪɫˈɯjbɯz
элемтәгә	ˌelemtˈæɣæ
җырлары	ʑɯrɫˈɑrɯ
Али	ˈɒɫi
Гали	ʁˈɒɫi
Мисыр	mˈisɯr
иле	ˈile
иртәнге	irtˈæŋɣe
килер	kˈiler
кызганыч	qɯzʁˈɑnɯɕ
мөнәсәбәтләрне	mˌœnæsˌæbætlˈærne
сораганны	sˌorɑʁˈɑnnɯ
тырышып	tɯrˈɯʃɯp
җыенында	ʑˌɯenˈɯndɑ
Гарәп	ʁˈɒræp
Шунысы	ʃunˈɯsɯ
алучы	ɒɫˈuɕɯ
бүлегендә	bˌyleɣˈendæ
бәхәсләр	bæxˈæslær
китүен	kitˈyen
оештыручы	ˌoeʃtɯrˈuɕɯ
очрашуы	ˌoɕrɑʃˈuɯ
ризык	rˈizɯq
теркәлгән	terkˈælɣæn
чараларда	ɕˌɒrɒɫˈɑrdɑ
шәһәрләрдә	ʃˌæhærlˈærdæ
үлем	ˈylem
өлкәсендәге	ˌœlkæsendˈæɣe
Бауман	bɒˈumɑn
Раил	rˈɒil
Украинадагы	ˌuqrɑˌinɑdˈɑʁɯ
Язучылар	jˌɑzuɕˈɯɫɑr
исемлегенә	ˌisemleɣˈenæ
максатыннан	mˌɒqsɒtˈɯnnɑn
артистлар	ɒrtˈistɫɑr
башкаларга	bˌɒʃqɒɫˈɑrʁɑ
билгели	bilɣˈeli
булмавы	buɫmˈɑwɯ
йортлары	ˌɪortɫˈɑrɯ
йөрү	ɪˈœry
моңарчы	moŋˈɑrɕɯ
озын	ˈozɯn
програмы	proʁrˈɑmɯ
тырышлыгы	tˌɯrɯʃɫˈɯʁɯ
төшергән	tœʃˈerɣæn
хакимиятне	xˌɒqimijˈætne
чыгышын	ɕɯʁˈɯʃɯn
шигырь	ʃˈiʁɯrʔ
яман	jˈɑmɑn
әсәрләрен	ˌæsærlˈæren
Төрек	tˈœrek
быелгы	bɯˈeɫʁɯ
күпмедер	kypmˈeder
күтәрә	kytˈæræ
милләткә	millˈætkæ
мөмкиннәр	mœmkˈinnær
хуҗалыгы	xˌuʑɑɫˈɯʁɯ
элегрәк	elˈeɣræk
Әллә	ˈællæ
Кайберәүләр	qˌɒɪbˌeræˈylær
Кашаповны	qˌɒʃɒpˈownɯ
Полиция	pˌoɫitsˈijæ
Сөембикә	sˌœembˈikæ
Янукович	jˌɑnuqˈowiɕ
аралаша	ˌɒrɒɫˈɑʃɑ
буламы	buɫˈɑmɯ
дошман	dˈoʃmɑn
карарны	qɒrˈɒrnɯ
килгәннәр	kilɣˈænnær
күздә	kˈyzdæ
күзәтелә	kˌyzætˈelæ
күзәтү	kyzˈæty
ягын	jˈɑʁɯn
яшьләргә	jæʃʔlˈærɣæ
Җәмигъ	ʑˈæmiɣʔ
АКШта	ˈɒqʃtˈɒ
Сугыш	sˈuʁɯʃ
агентлыгы	ˌɒʁentɫˈɯʁɯ
алуы	ɒɫˈuɯ
башкаручы	bˌɒʃqɒrˈuɕɯ
дус	dˈus
мәчеттә	mæɕˈettæ
салу	sˈɒɫu
элемтәдә	ˌelemtˈædæ
үткәрелгән	ˌytkærˈelɣæn
Гаяз	ʁˈɒjɑz
баруын	bɒrˈuɯn
йөрергә	ˌɪœrˈerɣæ
кичә	kˈiɕæ
кызлары	qɯzɫˈɑrɯ
күңеленә	kˌyŋelˈenæ
сыйныф	sˈɯjnɯf
тарихчы	tɒrˈixɕɯ
үзгәртергә	ˌyzɣærtˈerɣæ
Алга	ˈɒɫʁɒ
Бар	bˈɒr
Илһам	ˈiɫhɑm
Мәҗлесе	mæʑlˈese
Рафаил	rɒfˈɒil
Соңрак	sˈoŋrɑq
карады	qɒrˈɒdɯ
күңелле	kyŋˈelle
медицина	mˌeditsˈinɑ
техник	tˈexnik
традицион	trˌɒditsˈion
шәһәрнең	ʃæhˈærneŋ
әзерли	æzˈerli
өйрәнгән	ˌœɪrˈæŋɣæn
атап	ˈɒtɒp
аңлатып	ɒŋɫˈɒtɯp
басма	bˈɒsmɒ
беләләр	belˈælær
бирегә	birˈeɣæ
бушлай	buʃɫˈɑɪ
гаепләп	ʁɒˈeplæp
йөрүче	ˌɪœrˈyɕe
китүе	kitˈye
нигезләнеп	nˌiɣezlˈænep
сәфәр	sˈæfær
төзегән	tœzˈeɣæn
ябып	jˈɑbɯp
яклаган	jɑqɫˈɑʁɑn
үземне	yzˈemne
үткәрелә	ˌytkærˈelæ
Азәрбайҗан	ˌɒzærbɑˈɪʑɑn
Мөфти	mˈœfti
авыз	ˈɑwɯz
аларда	ɒɫˈɒrdɑ
бездән	bˈezdæn
сакланып	sɒqɫˈɒnɯp
сорады	sorˈɑdɯ
сөйләште	sˌœɪlˈæʃte
тарихына	tˌɒrixˈɯnɑ
чыгачак	ɕɯʁˈɑɕɑq
ышаныч	ɯʃˈɑnɯɕ
эшчәнлек	eʃɕˈænlek
як	jˈɑq
өлешендә	ˌœleʃˈendæ
Башкортстаннан	bˌɒʃqortstˈɑnnɑn
Киләсе	kilˈæse
Путинны	putˈinnɯ
Фатих	fˈɒtix
Хөкүмәт	xœkˈymæt
башлау	bɒʃɫˈɒu
берлегенең	bˌerleɣˈeneŋ
бәяләде	bˌæjælˈæde
дөньяви	dœnʔjˈæwi
сәер	sˈæer
уята	ujˈɑtɑ
хан	xˈɒn
Конституция	qˌonstitutsˈijæ
Солтан	sˈoɫtɑn
аралашып	ˌɒrɒɫˈɑʃɯp
бернәрсә	bernˈærsæ
бетми	bˈetmi
бинасында	bˌinɑsˈɯndɑ
дәүләтнең	dˌæylˈætneŋ
ким	kˈim
кырымтатарларга	qˌɯrɯmtˌɑtɑrɫˈɑrʁɑ
метр	mˈetr
сайты	sɒˈɪtɯ
тәэсире	tˌæesˈire
хисабына	xˌisɑbˈɯnɑ
эшнең	ˈeʃneŋ
өстәп	ˈœstæp
Роза	rˈozɑ
дога	dˈoʁɑ
дөньясында	dˌœnʔjæsˈɯndɑ
залында	zɒɫˈɯndɑ
кунак	qˈunɑq
мөнәсәбәтләре	mˌœnæsˌæbætlˈære
оста	ˈostɑ
сәясәтенә	sˌæjæsætˈenæ
сәясәткә	sˌæjæsˈætkæ
урыннары	ˌurɯnnˈɑrɯ
яшьләренең	jˌæʃʔlærˈeneŋ
үзәгенә	ˌyzæɣˈenæ
Алсу	ˈɒɫsu
Петербурда	pˌeterbˈurdɑ
Сабан	sˈɒbɒn
Соңыннан	soŋˈɯnnɑn
бардыр	bˈɒrdɯr
башына	bɒʃˈɯnɑ
беррәттән	berrˈættæn
бетерергә	bˌeterˈerɣæ
гамәлләр	ʁɒmˈællær
гасырның	ʁɒsˈɯrnɯŋ
исемнәре	ˌisemnˈære
кайткач	qɒˈɪtqɑɕ
кануны	qɒnˈunɯ
куркып	qˈurqɯp
мөфтият	mœftˈijæt
очраклары	ˌoɕrɑqɫˈɑrɯ
студент	stˈudent
ширкәт	ʃˈirkæt
шәһәренең	ʃˌæhærˈeneŋ
эзләү	ezlˈæy
Ана	ˈɒnɒ
Андагы	ɒndˈɒʁɯ
Төркиядәге	tˌœrkijædˈæɣe
бүлеп	bˈylep
депутатлары	dˌeputɑtɫˈɑrɯ
игътибарны	ˌiɣʔtibˈɑrnɯ
исламны	isɫˈɑmnɯ
колак	qˈoɫɑq
мәкаләләр	mˌæqɑɫˈælær
ниләр	nˈilær
пенсионерлары	pˌensiˌonerɫˈɑrɯ
прокуратура	prˌoqurɑtˈurɑ
өйрәтү	ˌœɪrˈæty
Мансур	mˈɒnsur
Юк	jˈuq
газетасы	ʁˌɒzetˈɑsɯ
исеменә	ˌisemˈenæ
клубы	qɫˈubɯ
рәис	rˈæis
сезне	sˈezne
телебезне	tˌelebˈezne
түләргә	tylˈærɣæ
хәрбиләр	xærbˈilær
юридик	jyrˈidik
Клинтон	klˈinton
Мәчет	mˈæɕet
анысы	ɒnˈɯsɯ
ахырына	ˌɒxɯrˈɯnɑ
гыйбадәт	ʁɯjbˈɑdæt
елларында	jˌɯɫɫɑrˈɯndɑ
калдырды	qɒɫdˈɯrdɯ
тарихка	tɒrˈixqɑ
түгелме	tyɣˈelme
әни	ˈæni
алсак	ˈɒɫsɒq
борчылу	borɕˈɯɫu
керәшен	kerˈæʃen
киттеләр	kittˈelær
китәләр	kitˈælær
күзгә	kˈyzɣæ
салым	sˈɒɫɯm
сизелә	sizˈelæ
сәләтле	sælˈætle
төзи	tˈœzi
шурасының	ʃˌurɑsˈɯnɯŋ
юлында	juɫˈɯndɑ
ябык	jˈɑbɯq
җиңелрәк	ʑiŋˈelræk
үтерелгән	ˌyterˈelɣæn
Беларус	beɫˈɑrus
Булат	bˈuɫɑt
Сабантуй	sˌɒbɒntˈuɪ
алучылар	ˌɒɫuɕˈɯɫɑr
ансамбле	ɒnsˈɒmbɫe
берничек	bernˈiɕek
бәйләп	bæˈɪlæp
ихтыяҗ	ixtˈɯjɑʑ
кайту	qɒˈɪtu
милләтчеләре	mˌillætɕelˈære
мөнәсәбәте	mˌœnæsæbˈæte
пикетка	pikˈetqɑ
татарчага	tˌɒtɒrɕˈɑʁɑ
яшьтәге	jæʃʔtˈæɣe
әсәре	æsˈære
әһәмиятле	ˌæhæmijˈætle
Касай	qɒsˈɒɪ
Киевта	kiˈewtɑ
Радик	rˈɒdik
Чиләбе	ɕilˈæbe
Шәһәр	ʃˈæhær
Юрий	jyrˈiɪ
кием	kˈiem
мәхкәмәсенә	mˌæxkæmæsˈenæ
тамашачылар	tˌɒmɒʃɑɕˈɯɫɑr
чыгар	ɕˈɯʁɑr
этник	ˈetnik
җибәрелгән	ʑˌibærˈelɣæn
Кешеләр	keʃˈelær
гомум	ʁˈomum
итүгә	itˈyɣæ
медпунктны	medpˈunqtnɯ
министрлыгының	mˌinistrɫɯʁˈɯnɯŋ
роль	rˈoɫʔ
саннар	sˈɒnnɒr
тарта	tˈɒrtɒ
туктату	tuqtˈɑtu
тыгыз	tˈɯʁɯz
тәҗрибәсе	tˌæʑribˈæse
юлда	jˈuɫdɑ
якта	jˈɑqtɑ
Миңнуллин	miŋnˈuɫɫin
Мөселманнар	mˌœseɫmˈɑnnɑr
алмыйча	ɒɫmˈɯjɕɑ
билгеләнде	bˌilɣelˈænde
бәйгесе	bˌæɪɣˈese
китабын	kitˈɑbɯn
кылган	qˈɯɫʁɑn
охшаш	ˈoxʃɑʃ
сиңа	sˈiŋɑ
сәламәтлек	sˌæɫɑmˈætlek
тикшерә	tikʃˈeræ
тырышкан	tɯrˈɯʃqɑn
фатир	fˈɒtir
хөкүмәткә	xˌœkymˈætkæ
чечен	ɕˈeɕen
Гадәттә	ʁɒdˈættæ
Ел	jˈel
Сәләт	sˈælæt
Тимур	tˈimur
Хокук	xˈoquq
административ	ˌɒdministrˈɑtiw
бәян	bˈæjæn
киемнәр	kiˈemnær
концертлар	qontsˈertɫɑr
оешмасына	ˌoeʃmɑsˈɯnɑ
сәхнәдә	sæxnˈædæ
ышанып	ɯʃˈɑnɯp
эшеннән	eʃˈennæn
Үзбәкстан	yzbˈæqstɑn
Барысы	bɒrˈɯsɯ
Ватан	wˈɒtɒn
аерып	ɒˈerɯp
алганнар	ɒɫʁˈɒnnɑr
бистәсендә	bˌistæsˈendæ
булалар	buɫˈɑɫɑr
катнашында	qˌɒtnɒʃˈɯndɑ
килдек	kˈildek
күтәрелде	kˌytærˈelde
очкычы	oɕqˈɯɕɯ
ошый	ˈoʃɯj
саф	sˈɒf
ясаучылар	jˌɑsɑuɕˈɯɫɑr
җирләрдә	ʑirlˈærdæ
Заманында	zˌɒmɒnˈɯndɑ
Сафин	sˈɒfin
бастырып	bɒstˈɯrɯp
кайберәүләр	qˌɒɪbˌeræˈylær
мохтарияте	mˌoxtɑrijˈæte
мәйданы	mˌæɪdˈɑnɯ
опера	opˈerɑ
системасы	sˌistemˈɑsɯ
сугышында	sˌuʁɯʃˈɯndɑ
телендәге	tˌelendˈæɣe
туплап	tˈupɫɑp
төбәгендә	tˌœbæɣˈendæ
