अ	ɐ
गम्ये	ɡɐmjeː
गम्ये	ɡɐmjɐj
गम्येत	ɡɐmjeːt̪ɐ
गम्येत	ɡɐmjɐjt̪ɐ
गम्येते	ɡɐmjeːt̪eː
गम्येते	ɡɐmjɐjt̪ɐj
गरुड	ɡɐɾuɖɐ
गरुड	ɡɐɾuɖɐ́
गर्जति	ɡɐɾd͡ʑɐt̪i
गर्जति	ɡɐ́ɾd͡ʑɐt̪i
गर्दभ	ɡɐɾd̪ɐbʱɐ
गर्दभ	ɡɐɾd̪ɐbʱɐ́
गर्धयते	ɡɐɾd̪ʱɐjɐt̪eː
गर्धयते	ɡɐɾd̪ʱɐjɐt̪ɐj
गर्भ	ɡɐɾbʱɐ
गर्भ	ɡɐ́ɾbʱɐ
गर्भिणी	ɡɐɾbʱiɳiː
गर्भिणी	ɡɐɾbʱíɳiː
गर्हति	ɡɐɾɦɐt̪i
गल	ɡɐl̪ɐ
गलति	ɡɐl̪ɐt̪i
गलति	ɡɐ́l̪ɐt̪i
गल्ल	ɡɐl̪l̪ɐ
गविष्टि	ɡɐʋiʂʈi
गविष्टि	ɡɐ́ʋiʂʈi
गाढ	ɡɑːɖʱɐ
गात्र	ɡɑːt̪ɾɐ
गात्र	ɡɑ́ːt̪ɾɐ
गाथ	ɡɑːt̪ʰɐ
गाथ	ɡɑːt̪ʰɐ́
गाथा	ɡɑːt̪ʰɑː
गाथा	ɡɑːt̪ʰɑ́ː
गाधताम्	ɡɑːd̪ʱɐt̪ɑːm
गाधते	ɡɑːd̪ʱɐt̪eː
गाधते	ɡɑːd̪ʱɐt̪ɐj
गाधे	ɡɑːd̪ʱeː
गाधे	ɡɑːd̪ʱɐj
गान	ɡɑːn̪ɐ
गायति	ɡɑːjɐt̪i
गायति	ɡɑ́ːjɐt̪i
गायन	ɡɑːjɐn̪ɐ
गार्ह्य	ɡɑːɾɦjɐ
गिरति	ɡiɾɐt̪i
गिरति	ɡiɾɐ́t̪i
गिरि	ɡiɾi
गिरि	ɡiɾí
गिर्	ɡiɾ
गिर्	ɡíɾ
गीर्	ɡiːɾ
गीर्	ɡíːɾ
गु	ɡu
गुच्छ	ɡutt͡ɕʰɐ
गुड	ɡuɖɐ
गुड	ɡuɖɐ́
गुण	ɡuɳɐ
गुण	ɡuɳɐ́
गुद	ɡud̪ɐ
गुद	ɡud̪ɐ́
गुप्त	ɡupt̪ɐ
गुप्त	ɡupt̪ɐ́
गुरवस्	ɡuɾɐʋɐs̪
गुरु	ɡuɾu
गुरु	ɡuɾú
गुरुत्व	ɡuɾut̪ʋɐ
गुल	ɡul̪ɐ
गुलः	ɡul̪ɐh
गुलम्	ɡul̪ɐm
गुलयोः	ɡul̪ɐjoːh
गुलयोः	ɡul̪ɐjɐwh
गुलस्य	ɡul̪ɐs̪jɐ
गुलाः	ɡul̪ɑːh
गुलात्	ɡul̪ɑːt̪
गुलानाम्	ɡul̪ɑːn̪ɑːm
गुलान्	ɡul̪ɑːn̪
गुलाभ्याम्	ɡul̪ɑːbʱjɑːm
गुलाय	ɡul̪ɑːjɐ
गुलासः	ɡul̪ɑːs̪ɐh
गुले	ɡul̪eː
गुले	ɡul̪ɐj
गुलेन	ɡul̪eːn̪ɐ
गुलेन	ɡul̪ɐjn̪ɐ
गुलेभिः	ɡul̪eːbʱih
गुलेभिः	ɡul̪ɐjbʱih
गुलेभ्यः	ɡul̪eːbʱjɐh
गुलेभ्यः	ɡul̪ɐjbʱjɐh
गुलेषु	ɡul̪eːʂu
गुलेषु	ɡul̪ɐjʂu
गुलैः	ɡul̪ɑjh
गुलैः	ɡul̪ɑːjh
गुलौ	ɡul̪ɑw
गुलौ	ɡul̪ɑːw
गुल्म	ɡul̪mɐ
गुल्म	ɡúl̪mɐ
गुहा	ɡuɦɑː
गुहा	ɡúɦɑː
गुह्	ɡuɦ
गुह्	ɡúɦ
गूढ	ɡuːɖʱɐ
गूढ	ɡuːɖʱɐ́
गूर्त	ɡuːɾt̪ɐ
गूर्त	ɡuːɾt̪ɐ́
गूर्ति	ɡuːɾt̪i
गूर्ति	ɡuːɾt̪í
गूळ्ह	ɡuːɭ̆ɦɐ
गूळ्ह	ɡuːɭ̆ɦɐ́
गूहति	ɡuːɦɐt̪i
गूहति	ɡúːɦɐt̪i
गृञ्जन	ɡr̩ɲd͡ʑɐn̪ɐ
गृणाति	ɡr̩ɳɑːt̪i
गृणाति	ɡr̩ɳɑ́ːt̪i
गृध्यति	ɡr̩d̪ʱjɐt̪i
गृध्यति	ɡŕ̩d̪ʱjɐt̪i
गृध्र	ɡr̩d̪ʱɾɐ
गृध्र	ɡŕ̩d̪ʱɾɐ
गृभ्	ɡr̩bʱ
गृभ्	ɡŕ̩bʱ
गृभ्णाति	ɡr̩bʱɳɑːt̪i
गृभ्णाति	ɡr̩bʱɳɑ́ːt̪i
गृह	ɡr̩ɦɐ
गृह	ɡr̩ɦɐ́
गृहपति	ɡr̩ɦɐpɐt̪i
गृहपति	ɡr̩ɦɐ́pɐt̪i
गृह्णाति	ɡr̩ɦɳɑːt̪i
गृह्णाति	ɡr̩ɦɳɑ́ːt̪i
गॄ	ɡr̩ː
गेह	ɡeːɦɐ
गेह	ɡɐjɦɐ́
गो	ɡoː
गो	ɡɐ́w
गोक्षीर	ɡoːkʂiːɾɐ
गोक्षीर	ɡɐwkʂiːɾɐ
गोग्रह	ɡoːɡɾɐɦɐ
गोग्रह	ɡɐwɡɾɐɦɐ
गोत्र	ɡoːt̪ɾɐ
गोत्र	ɡɐwt̪ɾɐ
गोद	ɡoːd̪ɐ
गोद	ɡɐwd̪ɐ
गोदावरी	ɡoːd̪ɑːʋɐɾiː
गोदावरी	ɡɐwd̪ɑːʋɐɾiː
गोधूम	ɡoːd̪ʱuːmɐ
गोधूम	ɡɐwd̪ʱúːmɐ
गोपाल	ɡoːpɑːl̪ɐ
गोपाल	ɡɐwpɑːl̪ɐ́
गोपाल	ɡɐ́wpɑːl̪ɐ
गोरूप	ɡoːɾuːpɐ
गोरूप	ɡɐwɾuːpɐ́
गोल	ɡoːl̪ɐ
गोल	ɡɐwl̪ɐ
गोलदीप	ɡoːl̪ɐd̪iːpɐ
गोलदीप	ɡɐwl̪ɐd̪iːpɐ
गोष्ठ	ɡoːʂʈʰɐ
गोष्ठ	ɡɐwʂʈʰɐ́
गोस्वामिन्	ɡoːs̪ʋɑːmin̪
गोस्वामिन्	ɡɐws̪ʋɑːmin̪
गौड	ɡɑwɖɐ
गौड	ɡɑːwɖɐ
गौतम	ɡɑwt̪ɐmɐ
गौतम	ɡɑːwt̪ɐmɐ́
गौस्	ɡɑws̪
गौस्	ɡɑ́ːws̪
ग्ना	ɡn̪ɑː
ग्ना	ɡn̪ɑ́ː
ग्मा	ɡmɑː
ग्मा	ɡmɑ́ː
ग्रथन	ɡɾɐt̪ʰɐn̪ɐ
ग्रन्थ	ɡɾɐn̪t̪ʰɐ
ग्रन्थि	ɡɾɐn̪t̪ʰi
ग्रन्थि	ɡɾɐn̪t̪ʰí
ग्रभ्	ɡɾɐbʱ
ग्रसति	ɡɾɐs̪ɐt̪i
ग्रसति	ɡɾɐ́s̪ɐt̪i
ग्रह्	ɡɾɐɦ
ग्राम	ɡɾɑːmɐ
ग्राम	ɡɾɑ́ːmɐ
ग्रामचर्या	ɡɾɑːmɐt͡ɕɐɾjɑː
ग्रामचर्या	ɡɾɑ́ːmɐt͡ɕɐɾjɑː
ग्रावन्	ɡɾɑːʋɐn̪
ग्रावन्	ɡɾɑ́ːʋɐn̪
ग्रीवा	ɡɾiːʋɑː
ग्रीवा	ɡɾiːʋɑ́ː
ग्रीष्म	ɡɾiːʂmɐ
ग्रीष्म	ɡɾiːʂmɐ́
ग्लौ	ɡl̪ɑw
ग्लौ	ɡl̪ɑːw
घ	ɡʱɐ
घकार	ɡʱɐkɑːɾɐ
घन	ɡʱɐn̪ɐ
घन	ɡʱɐn̪ɐ́
घर्म	ɡʱɐɾmɐ
घर्म	ɡʱɐɾmɐ́
घर्षति	ɡʱɐɾʂɐt̪i
घर्षति	ɡʱɐ́ɾʂɐt̪i
घास	ɡʱɑːs̪ɐ
घास	ɡʱɑːs̪ɐ́
घिण्ण्	ɡʱiɳɳ
घूर्ण्	ɡʱuːɾɳ
घृण	ɡʱr̩ɳɐ
घृण	ɡʱr̩ɳɐ́
घृणा	ɡʱr̩ɳɑː
घृणा	ɡʱr̩ɳɑ́ː
घृणोति	ɡʱr̩ɳoːt̪i
घृणोति	ɡʱr̩ɳɐ́wt̪i
घृण्	ɡʱr̩ɳ
घृत	ɡʱr̩t̪ɐ
घृत	ɡʱr̩t̪ɐ́
घोर	ɡʱoːɾɐ
घोर	ɡʱɐwɾɐ́
घोष	ɡʱoːʂɐ
घोष	ɡʱɐ́wʂɐ
घ्रंस	ɡʱɾɐ̃s̪ɐ
घ्रंस	ɡʱɾɐ̃s̪ɐ́
ङकार	ŋɐkɑːɾɐ
च	t͡ɕɐ
चकार	t͡ɕɐkɑːɾɐ
चकृतिम	t͡ɕɐkr̩t̪imɐ
चक्र	t͡ɕɐkɾɐ
चक्र	t͡ɕɐkɾɐ́
चक्रवर्तिनी	t͡ɕɐkɾɐʋɐɾt̪in̪iː
चक्रवर्तिन्	t͡ɕɐkɾɐʋɐɾt̪in̪
चक्रवात	t͡ɕɐkɾɐʋɑːt̪ɐ
चक्षु	t͡ɕɐkʂu
चक्षु	t͡ɕɐ́kʂu
चटक	t͡ɕɐʈɐkɐ
चण	t͡ɕɐɳɐ
चण्ड	t͡ɕɐɳɖɐ
चण्ड	t͡ɕɐ́ɳɖɐ
चण्डिमन्	t͡ɕɐɳɖimɐn̪
चतुर्	t͡ɕɐt̪uɾ
चतुर्	t͡ɕɐ́t̪uɾ
चतुर्दश	t͡ɕɐt̪uɾd̪ɐɕɐ
चतुर्दश	t͡ɕɐ́t̪uɾd̪ɐɕɐ
चतुर्विंशति	t͡ɕɐt̪uɾʋĩɕɐt̪i
चतुर्विंशति	t͡ɕɐ́t̪uɾʋĩɕɐt̪i
चत्वारस्	t͡ɕɐt̪ʋɑːɾɐs̪
चत्वारस्	t͡ɕɐt̪ʋɑ́ːɾɐs̪
चत्वारिंशत्	t͡ɕɐt̪ʋɑːɾĩɕɐt̪
चत्वारिंशत्	t͡ɕɐt̪ʋɑːɾĩɕɐ́t̪
चनस्	t͡ɕɐn̪ɐs̪
चनस्	t͡ɕɐ́n̪ɐs̪
चन्द्र	t͡ɕɐn̪d̪ɾɐ
चन्द्र	t͡ɕɐn̪d̪ɾɐ́
चन्द्रमः	t͡ɕɐn̪d̪ɾɐmɐh
चन्द्रमस्	t͡ɕɐn̪d̪ɾɐmɐs̪
चन्द्रमाः	t͡ɕɐn̪d̪ɾɐmɑːh
चन्द्रमास्	t͡ɕɐn̪d̪ɾɐmɑːs̪
चमति	t͡ɕɐmɐt̪i
चमति	t͡ɕɐ́mɐt̪i
चमस	t͡ɕɐmɐs̪ɐ
चमस	t͡ɕɐmɐs̪ɐ́
चमू	t͡ɕɐmuː
चमू	t͡ɕɐmúː
चम्	t͡ɕɐm
चयते	t͡ɕɐjɐt̪eː
चयते	t͡ɕɐ́jɐt̪ɐj
चरति	t͡ɕɐɾɐt̪i
चरति	t͡ɕɐ́ɾɐt̪i
चरित्र	t͡ɕɐɾit̪ɾɐ
चरित्र	t͡ɕɐɾít̪ɾɐ
चरु	t͡ɕɐɾu
चरु	t͡ɕɐɾú
चर्मन्	t͡ɕɐɾmɐn̪
चर्मन्	t͡ɕɐ́ɾmɐn̪
चषक	t͡ɕɐʂɐkɐh
चष्टे	t͡ɕɐʂʈeː
चष्टे	t͡ɕɐ́ʂʈɐj
चातुर्य	t͡ɕɑːt̪uɾjɐ
चान्द्र	t͡ɕɑːn̪d̪ɾɐ
चिकित्सक	t͡ɕikit̪s̪ɐkɐ
चिकित्सकः	t͡ɕikit̪s̪ɐkɐh
चिकित्सकम्	t͡ɕikit̪s̪ɐkɐm
चिकित्सकयोः	t͡ɕikit̪s̪ɐkɐjoːh
चिकित्सकयोः	t͡ɕikit̪s̪ɐkɐjɐwh
चिकित्सकस्य	t͡ɕikit̪s̪ɐkɐs̪jɐ
चिकित्सकाः	t͡ɕikit̪s̪ɐkɑːh
चिकित्सकात्	t͡ɕikit̪s̪ɐkɑːt̪
चिकित्सकानाम्	t͡ɕikit̪s̪ɐkɑːn̪ɑːm
चिकित्सकान्	t͡ɕikit̪s̪ɐkɑːn̪
चिकित्सकाभ्याम्	t͡ɕikit̪s̪ɐkɑːbʱjɑːm
चिकित्सकाय	t͡ɕikit̪s̪ɐkɑːjɐ
चिकित्सकासः	t͡ɕikit̪s̪ɐkɑːs̪ɐh
चिकित्सके	t͡ɕikit̪s̪ɐkeː
चिकित्सके	t͡ɕikit̪s̪ɐkɐj
चिकित्सकेन	t͡ɕikit̪s̪ɐkeːn̪ɐ
चिकित्सकेन	t͡ɕikit̪s̪ɐkɐjn̪ɐ
चिकित्सकेभिः	t͡ɕikit̪s̪ɐkeːbʱih
चिकित्सकेभिः	t͡ɕikit̪s̪ɐkɐjbʱih
चिकित्सकेभ्यः	t͡ɕikit̪s̪ɐkeːbʱjɐh
चिकित्सकेभ्यः	t͡ɕikit̪s̪ɐkɐjbʱjɐh
चिकित्सकेषु	t͡ɕikit̪s̪ɐkeːʂu
चिकित्सकेषु	t͡ɕikit̪s̪ɐkɐjʂu
चिकित्सकैः	t͡ɕikit̪s̪ɐkɑjh
चिकित्सकैः	t͡ɕikit̪s̪ɐkɑːjh
चिकित्सकौ	t͡ɕikit̪s̪ɐkɑw
चिकित्सकौ	t͡ɕikit̪s̪ɐkɑːw
चिकित्सालय	t͡ɕikit̪s̪ɑːl̪ɐjɐ
चिकित्सिकया	t͡ɕikit̪s̪ikɐjɑː
चिकित्सिकयोः	t͡ɕikit̪s̪ikɐjoːh
चिकित्सिकयोः	t͡ɕikit̪s̪ikɐjɐwh
चिकित्सिका	t͡ɕikit̪s̪ikɑː
चिकित्सिकाः	t͡ɕikit̪s̪ikɑːh
चिकित्सिकानाम्	t͡ɕikit̪s̪ikɑːn̪ɑːm
चिकित्सिकाभिः	t͡ɕikit̪s̪ikɑːbʱih
चिकित्सिकाभ्यः	t͡ɕikit̪s̪ikɑːbʱjɐh
चिकित्सिकाभ्याम्	t͡ɕikit̪s̪ikɑːbʱjɑːm
चिकित्सिकाम्	t͡ɕikit̪s̪ikɑːm
चिकित्सिकायाः	t͡ɕikit̪s̪ikɑːjɑːh
चिकित्सिकायाम्	t͡ɕikit̪s̪ikɑːjɑːm
चिकित्सिकायै	t͡ɕikit̪s̪ikɑːjɑj
चिकित्सिकायै	t͡ɕikit̪s̪ikɑːjɑːj
चिकित्सिकासु	t͡ɕikit̪s̪ikɑːs̪u
चिकित्सिके	t͡ɕikit̪s̪ikeː
चिकित्सिके	t͡ɕikit̪s̪ikɐj
चिकेति	t͡ɕikeːt̪i
चिकेति	t͡ɕíkɐjt̪i
चिकेत्ति	t͡ɕikeːt̪t̪i
चिकेत्ति	t͡ɕíkɐjt̪t̪i
चित्	t͡ɕit̪
चित्र	t͡ɕit̪ɾɐ
चित्र	t͡ɕit̪ɾɐ́
चिन्तयति	t͡ɕin̪t̪ɐjɐt̪i
चीन	t͡ɕiːn̪ɐ
चुकोट्ट	t͡ɕukoːʈʈɐ
चुकोट्ट	t͡ɕukɐwʈʈɐ
चुद्	t͡ɕud̪
चेतना	t͡ɕeːt̪ɐn̪ɑː
चेतना	t͡ɕɐjt̪ɐn̪ɑː
चेतस्	t͡ɕeːt̪ɐs̪
चेतस्	t͡ɕɐ́jt̪ɐs̪
चेतिष्यति	t͡ɕeːt̪iʂjɐt̪i
चेतिष्यति	t͡ɕɐjt̪iʂjɐt̪i
चैत्र	t͡ɕɑjt̪ɾɐ
चैत्र	t͡ɕɑːjt̪ɾɐ
चोदति	t͡ɕoːd̪ɐt̪i
चोदति	t͡ɕɐ́wd̪ɐt̪i
चोर	t͡ɕoːɾɐ
चोर	t͡ɕɐwɾɐ́
चोरयति	t͡ɕoːɾɐjɐt̪i
चोरयति	t͡ɕɐwɾɐjɐt̪i
च्यवते	t͡ɕjɐʋɐt̪eː
च्यवते	t͡ɕjɐʋɐt̪ɐj
च्युप	t͡ɕjupɐ
छकार	t͡ɕʰɐkɑːɾɐ
छत्त्र	t͡ɕʰɐt̪t̪ɾɐ
छत्र	t͡ɕʰɐt̪ɾɐ
छत्रक	t͡ɕʰɐt̪ɾɐkɐ
छदि	t͡ɕʰɐd̪i
छदिस्	t͡ɕʰɐd̪is̪
छदिस्	t͡ɕʰɐd̪ís̪
छद्म	t͡ɕʰɐd̪mɐ
छद्मन्	t͡ɕʰɐd̪mɐn̪
छद्मन्	t͡ɕʰɐ́d̪mɐn̪
छन्दस्	t͡ɕʰɐn̪d̪ɐs̪
छन्दस्	t͡ɕʰɐ́n̪d̪ɐs̪
छर्दति	t͡ɕʰɐɾd̪ɐt̪i
छर्दति	t͡ɕʰɐ́ɾd̪ɐt̪i
छल	t͡ɕʰɐl̪ɐ
छला	t͡ɕʰɐl̪ɑː
छात्त्र	t͡ɕʰɑːt̪t̪ɾɐ
छात्र	t͡ɕʰɑːt̪ɾɐ
छात्रा	t͡ɕʰɑːt̪ɾɑː
छाया	t͡ɕʰɑːjɑː
छाया	t͡ɕʰɑːjɑ́ː
छिद्	t͡ɕʰid̪
छिद्र	t͡ɕʰid̪ɾɐ
छिद्र	t͡ɕʰid̪ɾɐ́
छिनत्ति	t͡ɕʰin̪ɐt̪t̪i
छिनत्ति	t͡ɕʰin̪ɐ́t̪t̪i
छिन्न	t͡ɕʰin̪n̪ɐ
छिन्न	t͡ɕʰin̪n̪ɐ́
छुरी	t͡ɕʰuɾiː
छेदि	t͡ɕʰeːd̪i
छेदि	t͡ɕʰɐ́jd̪i
छ्यवते	t͡ɕʰjɐʋɐt̪eː
छ्यवते	t͡ɕʰjɐʋɐt̪ɐj
ज	d͡ʑɐ
ज	d͡ʑɐ́
जंहस्	d͡ʑɐ̃ɦɐs̪
जंहस्	d͡ʑɐ̃́ɦɐs̪
जकार	d͡ʑɐkɑːɾɐ
जक्षत्	d͡ʑɐkʂɐt̪
जक्षत्	d͡ʑɐ́kʂɐt̪
जगम	d͡ʑɐɡɐmɐ
जगमिथ	d͡ʑɐɡɐmit̪ʰɐ
जगाम	d͡ʑɐɡɑːmɐ
जग्ध	d͡ʑɐɡd̪ʱɐ
जग्ध	d͡ʑɐɡd̪ʱɐ́
जग्म	d͡ʑɐɡmɐ
जग्मतुः	d͡ʑɐɡmɐt̪uh
जग्मथुः	d͡ʑɐɡmɐt̪ʰuh
जग्मथुर्	d͡ʑɐɡmɐt̪ʰuɾ
जग्मिम	d͡ʑɐɡmimɐ
जग्मिव	d͡ʑɐɡmiʋɐ
जग्मुः	d͡ʑɐɡmuh
जङ्गम	d͡ʑɐŋɡɐmɐ
जङ्घा	d͡ʑɐŋɡʱɑː
जङ्घा	d͡ʑɐ́ŋɡʱɑː
जजन्ति	d͡ʑɐd͡ʑɐn̪t̪i
जज्ञे	d͡ʑɐd͡ʑɲeː
जज्ञे	d͡ʑɐd͡ʑɲɐj
जज्ञौ	d͡ʑɐd͡ʑɲɑw
जज्ञौ	d͡ʑɐd͡ʑɲɑːw
जठर	d͡ʑɐʈʰɐɾɐ
जठर	d͡ʑɐʈʰɐ́ɾɐ
जतु	d͡ʑɐt̪u
जतु	d͡ʑɐ́t̪u
जन	d͡ʑɐn̪ɐ
जन	d͡ʑɐ́n̪ɐ
जनक	d͡ʑɐn̪ɐkɐ
जनता	d͡ʑɐn̪ɐt̪ɑː
जनता	d͡ʑɐn̪ɐ́t̪ɑː
जनति	d͡ʑɐn̪ɐt̪i
जनति	d͡ʑɐ́n̪ɐt̪i
जननी	d͡ʑɐn̪ɐn̪iː
जनयति	d͡ʑɐn̪ɐjɐt̪i
जनयति	d͡ʑɐn̪ɐ́jɐt̪i
जनस्	d͡ʑɐn̪ɐs̪
जनस्	d͡ʑɐ́n̪ɐs̪
जनि	d͡ʑɐn̪i
जनि	d͡ʑɐ́n̪i
जनितृ	d͡ʑɐn̪it̪r̩
जनितृ	d͡ʑɐn̪it̪ŕ̩
जनितोस्	d͡ʑɐn̪it̪oːs̪
जनितोस्	d͡ʑɐ́n̪it̪ɐws̪
जनिमन्	d͡ʑɐn̪imɐn̪
जनिमन्	d͡ʑɐ́n̪imɐn̪
जनी	d͡ʑɐn̪iː
जनी	d͡ʑɐ́n̪iː
जनु	d͡ʑɐn̪u
जनुस्	d͡ʑɐn̪us̪
जनुस्	d͡ʑɐn̪ús̪
जनू	d͡ʑɐn̪uː
जनू	d͡ʑɐn̪úː
जन्तु	d͡ʑɐn̪t̪u
जन्तु	d͡ʑɐn̪t̪ú
जन्म	d͡ʑɐn̪mɐ
जन्म	d͡ʑɐ́n̪mɐ
जन्मन्	d͡ʑɐn̪mɐn̪
जन्मन्	d͡ʑɐ́n̪mɐn̪
जन्य	d͡ʑɐn̪jɐ
जन्य	d͡ʑɐ́n̪jɐ
जम्बुद्वीप	d͡ʑɐmbud̪ʋiːpɐ
जम्भ	d͡ʑɐmbʱɐ
जम्भ	d͡ʑɐ́mbʱɐ
जय	d͡ʑɐjɐ
जय	d͡ʑɐjɐ́
जयति	d͡ʑɐjɐt̪i
जयति	d͡ʑɐ́jɐt̪i
जरत्	d͡ʑɐɾɐt̪
जरत्	d͡ʑɐ́ɾɐt̪
जर्जर	d͡ʑɐɾd͡ʑɐɾɐ
जल	d͡ʑɐl̪ɐ
जल	d͡ʑɐl̪ɐ́
जलद	d͡ʑɐl̪ɐd̪ɐ
जलूका	d͡ʑɐl̪uːkɑː
जव	d͡ʑɐʋɐ
जव	d͡ʑɐ́ʋɐ
जवति	d͡ʑɐʋɐt̪i
जवस्	d͡ʑɐʋɐs̪
जवस्	d͡ʑɐ́ʋɐs̪
जवा	d͡ʑɐʋɑː
जस्यति	d͡ʑɐs̪jɐt̪i
जस्यति	d͡ʑɐ́s̪jɐt̪i
जहका	d͡ʑɐɦɐkɑː
जहका	d͡ʑɐ́ɦɐkɑː
जहाति	d͡ʑɐɦɑːt̪i
जहाति	d͡ʑɐ́ɦɑːt̪i
जा	d͡ʑɑː
जा	d͡ʑɑ́ː
जात	d͡ʑɑːt̪ɐ
जात	d͡ʑɑːt̪ɐ́
जाति	d͡ʑɑːt̪i
जाति	d͡ʑɑːt̪í
जान	d͡ʑɑːn̪ɐ
जान	d͡ʑɑ́ːn̪ɐ
जानाति	d͡ʑɑːn̪ɑːt̪i
जानाति	d͡ʑɑːn̪ɑ́ːt̪i
जानि	d͡ʑɑːn̪i
जानि	d͡ʑɑ́ːn̪i
जानीते	d͡ʑɑːn̪iːt̪eː
जानीते	d͡ʑɑːn̪iːt̪ɐj
जानु	d͡ʑɑːn̪u
जानु	d͡ʑɑ́ːn̪u
जाबालिपुर	d͡ʑɑːbɑːl̪ipuɾɐ
जामातृ	d͡ʑɑːmɑːt̪r̩
जामातृ	d͡ʑɑ́ːmɑːt̪r̩
जामित्र	d͡ʑɑːmit̪ɾɐ
जायते	d͡ʑɑːjɐt̪eː
जायते	d͡ʑɑ́ːjɐt̪ɐj
जाल	d͡ʑɑːl̪ɐ
जाल	d͡ʑɑːl̪ɐ́
जालपृष्ठ	d͡ʑɑːl̪ɐpr̩ʂʈʰɐ
जासयति	d͡ʑɑːs̪ɐjɐt̪i
जासयति	d͡ʑɑːs̪ɐ́jɐt̪i
जास्पति	d͡ʑɑːs̪pɐt̪i
जास्पति	d͡ʑɑ́ːs̪pɐt̪i
जिगमिषति	d͡ʑiɡɐmiʂɐt̪i
जिगांसते	d͡ʑiɡɑ̃ːs̪ɐt̪eː
जिगांसते	d͡ʑiɡɑ̃ːs̪ɐt̪ɐj
जिगाति	d͡ʑiɡɑːt̪i
जिघर्ति	d͡ʑiɡʱɐɾt̪i
जिघर्ति	d͡ʑíɡʱɐɾt̪i
जिघ्रति	d͡ʑiɡʱɾɐt̪i
जिघ्रति	d͡ʑíɡʱɾɐt̪i
जिज्ञासते	d͡ʑid͡ʑɲɑːs̪ɐt̪eː
जिज्ञासते	d͡ʑíd͡ʑɲɑːs̪ɐt̪ɐj
जित	d͡ʑit̪ɐ
जित	d͡ʑit̪ɐ́
जिन	d͡ʑin̪ɐ
जिहर्ति	d͡ʑiɦɐɾt̪i
जिहर्ति	d͡ʑíɦɐɾt̪i
जिहीते	d͡ʑiɦiːt̪eː
जिहीते	d͡ʑiɦiːt̪ɐj
जिह्म	d͡ʑiɦmɐ
जिह्म	d͡ʑiɦmɐ́
जिह्रेति	d͡ʑiɦɾeːt̪i
जिह्रेति	d͡ʑiɦɾɐjt̪i
जिह्वा	d͡ʑiɦʋɑː
जिह्वा	d͡ʑiɦʋɑ́ː
जिह्वामूलीय	d͡ʑiɦʋɑːmuːl̪iːjɐ
जिह्वामूलीय	d͡ʑiɦʋɑ́ːmuːl̪iːjɐ
जीत	d͡ʑiːt̪ɐ
जीत	d͡ʑiːt̪ɐ́
जीर्ण	d͡ʑiːɾɳɐ
जीर्ण	d͡ʑiːɾɳɐ́
जीर्यति	d͡ʑiːɾjɐt̪i
जीर्यति	d͡ʑíːɾjɐt̪i
जीव	d͡ʑiːʋɐ
जीव	d͡ʑiːʋɐ́
जीवति	d͡ʑiːʋɐt̪i
जीवति	d͡ʑíːʋɐt̪i
जीवन	d͡ʑiːʋɐn̪ɐ
जीवित	d͡ʑiːʋit̪ɐ
जीवित	d͡ʑiːʋit̪ɐ́
जुघुक्षति	d͡ʑuɡʱukʂɐt̪i
जुवस्	d͡ʑuʋɐs̪
जुवस्	d͡ʑúʋɐs̪
जुषते	d͡ʑuʂɐt̪eː
जुषते	d͡ʑuʂɐ́t̪ɐj
जुष्ट	d͡ʑuʂʈɐ
जुष्ट	d͡ʑuʂʈɐ́
जुष्ट	d͡ʑúʂʈɐ
जुहू	d͡ʑuɦuː
जुहू	d͡ʑuɦúː
जुहोति	d͡ʑuɦoːt̪i
जुहोति	d͡ʑuɦɐ́wt̪i
जू	d͡ʑuː
जू	d͡ʑúː
जूति	d͡ʑuːt̪i
जूति	d͡ʑuːt̪í
जूर्ण	d͡ʑuːɾɳɐ
जूर्ण	d͡ʑuːɾɳɐ́
जॄ	d͡ʑr̩ː
जेन्य	d͡ʑeːn̪jɐ
जेन्य	d͡ʑɐ́jn̪jɐ
जैन	d͡ʑɑjn̪ɐ
जैन	d͡ʑɑːjn̪ɐ
ज्ञा	d͡ʑɲɑː
ज्ञात	d͡ʑɲɑːt̪ɐ
ज्ञात	d͡ʑɲɑːt̪ɐ́
ज्ञाता	d͡ʑɲɑːt̪ɑː
ज्ञाति	d͡ʑɲɑːt̪i
ज्ञाति	d͡ʑɲɑːt̪í
ज्ञातुं	d͡ʑɲɑːt̪um
ज्ञातुम्	d͡ʑɲɑːt̪um
ज्ञातोस्	d͡ʑɲɑːt̪oːs̪
ज्ञातोस्	d͡ʑɲɑ́ːt̪ɐws̪
ज्ञान	d͡ʑɲɑːn̪ɐ
ज्ञान	d͡ʑɲɑ́ːn̪ɐ
ज्ञानिन्	d͡ʑɲɑːn̪in̪
ज्ञापयति	d͡ʑɲɑːpɐjɐt̪i
ज्या	d͡ʑijɑ́ː
ज्या	d͡ʑjɑː
ज्युत्	d͡ʑjut̪
ज्येष्ठ	d͡ʑjeːʂʈʰɐ
ज्येष्ठ	d͡ʑjɐjʂʈʰɐ́
ज्येष्ठ	d͡ʑjɐ́jʂʈʰɐ
ज्योति	d͡ʑjoːt̪i
ज्योति	d͡ʑjɐwt̪i
ज्योतिरिङ्गण	d͡ʑjoːt̪iɾiŋɡɐɳɐ
