'ch	χ
coginio	kɔɡɪnjɔ
coleg	koːlɛɡ
coleg	kɔlɛɡ
colfen	kɔlvɛn
colled	kɔɬɛd
colledion	kɔɬɛdjɔn
collen	kɔɬɛn
colli	kɔɬi
collnod	kɔɬnɔd
colomen	kɔlɔmɛn
colur	koːlɪr
colur	kɔlɪr
coma	kɔma
condemni	kɔndɛmni
condemnio	kɔndɛmnjɔ
conglfaen	kɔŋlvai̯n
cont	kɔnt
contract	kɔntrakt
contractau	kɔntraktai̯
contractau	kɔntraktɛ
conwy	kɔnʊi̯
conwydd	koːnʊi̯ð
conwydd	kɔnwɪð
conwydd	kɔnʊi̯ð
conwydden	kɔnwəðɛn
conwydden	kɔnwɪðɛn
conyn	koːnɪn
conyn	kɔnɪn
cop	kɔp
copa	kɔpa
copii	kɔpiːi
copog	kɔpɔɡ
copyn	kɔpɪn
copïo	kɔpiːɔ
copïwr	kɔpiːʊr
copïwyr	kɔpiːwɪr
cor	kɔr
corcyn	kɔrkɪn
corff	kɔrf
corfflu	kɔrfli
corfflunio	kɔrflɪnjɔ
corffluniwr	kɔrflɪnjʊr
corffluoedd	kɔrfliːɔi̯ð
corgi	kɔrɡi
corgwn	kɔrɡʊn
corhedydd	kɔrheːdɪð
corhedydd	kɔrhɛdɪð
corhwyad	kɔrhʊi̯ad
corhwyaden	kɔrhʊi̯adɛn
corhwyaden	kɔrhʊi̯aːdɛn
corhwyaid	kɔrhʊi̯ai̯d
corhwyaid	kɔrhʊi̯ɛd
corn	kɔrn
cornel	kɔrnɛl
corneli	kɔrneːli
corneli	kɔrnɛli
coronafeirws	kɔroːnavei̯rʊs
coronafeirws	kɔrɔnavei̯rʊs
coronafeirysau	kɔrɔnavei̯rəsai̯
coronafeirysau	kɔrɔnavei̯rəsɛ
coronafirws	kɔroːnaviːrʊs
coronafirws	kɔrɔnavɪrʊs
corryn	kɔrɪn
corwg	koːrʊɡ
corwg	kɔrʊɡ
cosb	kɔsb
cosbau	kɔsbai̯
cosbau	kɔsbɛ
cosyn	kɔsɪn
cot	kɔt
cot law	kɔtlau̯
cotiau	kɔtjai̯
cotiau	kɔtjɛ
cotiau	kɔtɛ
cowyll	kɔu̯ɪɬ
crac	krak
craf	kraːv
craf y geifr	kraːvəɡei̯vr
crair	krai̯r
cramen	kramɛn
crech	kreːχ
cred	kreːd
creda	kreːda
creda	krɛda
credaf	kreːda
credaf	kreːdav
credaf	krɛda
credaf	krɛdav
credant	kreːdant
credant	krɛdant
credent	kreːdɛnt
credent	krɛdɛnt
creder	kreːdɛr
creder	krɛdɛr
credes	kreːdɛs
credes	krɛdɛs
credet	kreːdɛt
credet	krɛdɛt
credi	kreːdi
credi	krɛdi
credit	kreːdɪt
credit	krɛdɪt
credo	kreːdɔ
credo	krɛdɔ
credu	kreːdi
credu	krɛdi
cref	kreːv
crefydd	kreːvɪð
crefydd	krɛvɪð
crefyddol	krɛvəðɔl
cregynna	krɛɡəna
creision	krei̯sjɔn
creision	krei̯ʃɔn
creision ŷd	krei̯sjɔniːd
creision ŷd	krei̯ʃɔniːd
creisionen	krei̯sjoːnɛn
creisionen	krei̯sjɔnɛn
creisionen	krei̯ʃoːnɛn
creisionen	krei̯ʃɔnɛn
creisionen ŷd	krei̯sjoːnɛniːd
creisionen ŷd	krei̯sjɔnɛniːd
creisionen ŷd	krei̯ʃoːnɛniːd
creisionen ŷd	krei̯ʃɔnɛniːd
creisionllyd	krei̯sjɔnɬɪd
creisionllyd	krei̯ʃɔnɬɪd
crempog	krɛmpɔɡ
creto	krɛtɔ
crewyr	krɛu̯ɪr
crist	krɪst
cristion	krɪsdjɔn
cristionogion	krɪsdjɔnɔɡjɔn
cristnogaeth	krɪsdnoːɡai̯θ
cristnogaeth	krɪsdnoːɡɛθ
cristnogaeth	krɪsdnɔɡai̯θ
cristnogaeth	krɪsdnɔɡɛθ
cristnogion	krɪsdnɔɡjɔn
cristnogol	krɪsdnoːɡɔl
cristnogol	krɪsdnɔɡɔl
criw	krɪu̯
croen	kroːn
croen	krɔi̯n
croeniog	krɔi̯njɔɡ
croenliw	krɔi̯nlɪu̯
croes	kroːs
croes	krɔi̯s
croesair	krɔi̯sai̯r
croesffordd	krɔi̯sfɔrð
croesgad	krɔi̯sɡad
croeshoeliad	krɔi̯shɔi̯ljad
croeshoelio	krɔi̯shɔi̯ljɔ
croesholi	krɔi̯shoːli
croesholi	krɔi̯shɔli
croesi	krɔi̯si
croeso	krɔi̯sɔ
croestorri	krɔi̯sdɔri
crog	kroːɡ
croglen	krɔɡlɛn
cromfach	krɔmvaχ
cromlech	krɔmlɛχ
cronni	krɔni
croth	kroːθ
crwban	kruːban
crwban	krʊban
crwn	krʊn
crwst	krʊsd
crwt	krʊt
crwth	kruːθ
crwydr	krʊi̯dr
crwydr	krʊi̯dɪr
crwyn	krʊi̯n
crych	kriːχ
crychach	krəχaχ
crychau	krəχai̯
crychau	krəχɛ
cryched	krəχɛd
crychion	krəχjɔn
crychydd	krəχɪð
cryd	kriːd
crydd	kriːð
cryddiaeth	krəðjai̯θ
cryddiaeth	krəðjɛθ
cryddion	krəðjɔn
crydiau	krədjai̯
crydiau	krədjɛ
cryf	kriːv
crymu	krəmi
cryn	krɪn
cryndod	krəndɔd
crynhoad	krənhoːad
crynhoad	krənhɔad
crynu	krəni
crynwr	krənʊr
crynwyr	krənwɪr
crëwr	kreːʊr
crëwr	krɛʊr
crëyr	kreːɪr
crëyr	krɛɪr
crŷn	kriːn
cu	kiː
cucumer	kɪkɪmɛr
cudyn	kiːdɪn
cudyn	kɪdɪn
cul	kiːl
culdir	kɪldɪr
culdiroedd	kɪldiːrɔi̯ð
culdiroedd	kɪldɪrɔi̯ð
curo	kiːrɔ
curo	kɪrɔ
cusan	kɪsan
cusanau	kɪsanai̯
cusanau	kɪsanɛ
cusanau	kɪsaːnai̯
cusanau	kɪsaːnɛ
cusanu	kɪsani
cusanu	kɪsaːni
cut	kɪt
cwar	kwar
cwb	kʊb
cwbl	kuːbʊl
cwbl	kʊbl
cwbl	kʊbʊl
cwblhau	kʊblhai̯
cwch	kʊχ
cwd	kuːd
cweryl	kweːrɪl
cweryl	kwɛrɪl
cweryla	kwɛrəla
cwerylau	kwɛrəla
cwerylau	kwɛrəlai̯
cwerylau	kwɛrəlɛ
cwerylgar	kwɛrəlɡar
cwerylon	kwɛrəlɔn
cwerylwr	kwɛrəlʊr
cwerylwyr	kwɛrəlwɪr
cwest	kwɛsd
cwestau	kwɛsdai̯
cwestau	kwɛsdɛ
cwestiwn	kwɛsdjʊn
cwestiynau	kwɛsdjuːnɛ
cwestiynau	kwɛsdjənai̯
cwestiynau	kwɛsdjənɛ
cwestiynau	kwɛsdjʊnɛ
cwestiynau	kwɛsdənɛ
cwffio	kʊfjɔ
cwis	kwɪs
cwlwm	kuːlʊm
cwlwm	kʊlʊm
cwm	kʊm
cwmpas	kʊmpas
cwmpawd	kʊmpau̯d
cwmwd	kʊmʊd
cwmwl	kʊmʊl
cwmws	kʊmʊs
cwningen	kʊnɪŋɛn
cwpan	kʊpan
cwpanaid	kʊpanai̯d
cwpanaid	kʊpanɛd
cwpanaid	kʊpaːnai̯d
cwpanaid	kʊpaːnɛd
cwpaneidiau	kʊpanei̯djai̯
cwpaneidiau	kʊpanei̯djɛ
cwpla	kʊpla
cwpwrdd	kʊpʊrð
cwrdd	kʊrð
cwrs	kʊrs
cwrw	kuːru
cwrw	kʊru
cwsg	kʊsɡ
cwsmer	kʊsmɛr
cwsmeriaid	kʊsmɛrjai̯d
cwsmeriaid	kʊsmɛrjɛd
cwstard	kʊsdard
cwstardiau	kʊsdardjai̯
cwstardiau	kʊsdardjɛ
cwta	kʊta
cwtiar	kʊtjar
cwtsh	kʊtʃ
cwtshys	kʊtʃɪz
cwtsio	kʊtʃɔ
cwympo	kwɪmpɔ
cwympo	kʊmpɔ
cwyn	kʊi̯n
cwynion	kʊi̯njɔn
cwyno	kʊi̯nɔ
cwyr	kʊi̯r
cychwyn	kəχwɪn
cyd	kiːd
cydbreswylwyr	kiːdbrɛsʊi̯lwɪr
cydgordio	kɪdɡɔrdjɔ
cydgordiol	kɪdɡɔrdjɔl
cydseiniol	kiːdsei̯jɔl
cydseiniol	kɪdsei̯jɔl
cydsynio	kɪdsənjɔ
cydweithiad	kiːdwei̯θjad
cydweithio	kiːdwei̯θjɔ
cydweithiwr	kiːdwei̯θjʊr
cydweithiwr	kɪdwei̯θjʊr
cydweithrediad	kiːdwei̯θrɛdjad
cydweithrediadau	kiːdwei̯θrɛdjadai̯
cydweithrediadau	kiːdwei̯θrɛdjadɛ
cydweithrediadau	kiːdwei̯θrɛdjaːdai̯
cydweithrediadau	kiːdwei̯θrɛdjaːdɛ
cydweithredu	kiːdwei̯θreːdi
cydweithredu	kiːdwei̯θrɛdi
cydweithredwr	kiːdwei̯θreːdʊr
cydweithredwr	kiːdwei̯θrɛdʊr
cydweithredwyr	kiːdwei̯θrɛdwɪr
cydweithwyr	kiːdwei̯θwɪr
cydweithwyr	kɪdwei̯θwɪr
cydwelediad	kɪdwɛlɛdjad
cydymdeimlad	kiːdəmdei̯mlad
cyfaill	kəvai̯ɬ
cyfair	kəvai̯r
cyfair	kəvɛr
cyfamod	kəvamɔd
cyfamodi	kəvamoːdi
cyfamodi	kəvamɔdi
cyfamser	kəvamsɛr
cyfan	kəvan
cyfandir	kəvandɪr
cyfanswm	kəvansʊm
cyfansymiau	kəvansəmjai̯
cyfansymiau	kəvansəmjɛ
cyfarch	kəvarχ
cyfarchol	kəvarχɔl
cyfaredd	kəvarɛð
cyfaredd	kəvaːrɛð
cyfareddol	kəvareːðɔl
cyfareddol	kəvarɛðɔl
cyfarfod	kwarvɔd
cyfarfod	kəvarvɔd
cyfartal	kəvartal
cyfartaledd	kəvartalɛð
cyfartaledd	kəvartaːlɛð
cyfartalog	kəvartalɔɡ
cyfartalog	kəvartaːlɔɡ
cyfarthiad	kəvarθjad
cyfarthiadau	kəvarθjadai̯
cyfarthiadau	kəvarθjadɛ
cyfarthiadau	kəvarθjaːdai̯
cyfarthiadau	kəvarθjaːdɛ
cyfarwydd	kəvarwɪð
cyfarwydd	kəvarʊi̯ð
cyfarwydd	kəvaːrʊi̯ð
cyfarwyddwr	kəvarʊi̯ðʊr
cyfarwys	kəvarʊi̯s
cyfarwys	kəvaːrʊi̯s
cyfateb	kəvatɛb
cyfatebiaeth	kəvatɛbjai̯θ
cyfatebiaeth	kəvatɛbjɛθ
cyfatebiaethau	kəvatɛbjei̯θai̯
cyfatebiaethau	kəvatɛbjei̯θɛ
cyfatebol	kəvateːbɔl
cyfatebol	kəvatɛbɔl
cyfathrach	kəvaθraχ
cyfddydd	kəvðɪð
cyfeillgar	kəvei̯ɬɡar
cyfeillion	kəvei̯ɬjɔn
cyfeirio	kəvei̯rjɔ
cyfenw	kəveːnu
cyfenw	kəvɛnu
cyfer	kəvɛr
cyff	kiːf
cyfforddus	kəfɔrðɪs
cyffredin	kəfreːdɪn
cyffredin	kəfrɛdɪn
cyffredinol	kəfrɛdiːnɔl
cyffredinol	kəfrɛdɪnɔl
cyffwrdd	kəfʊrð
cyffyloca	kəfəlɔka
cyffylog	kəfəlɔɡ
cyfiawn	kəvjau̯n
cyfiawnder	kəvjau̯ndɛr
cyfiawnhad	kəvjau̯nhaːd
cyfiawnhau	kəvjau̯nhai̯
cyfieithu	kəvjei̯θi
cyfieithydd	kəvjei̯θɪð
cyflafar	kəvlavar
cyflafar	kəvlaːvar
cyflafaredd	kəvlavarɛð
cyflafaredd	kəvlavaːrɛð
cyflafareddu	kəvlavareːði
cyflafareddu	kəvlavarɛði
cyflafareddwr	kəvlavareːðʊr
cyflafareddwr	kəvlavarɛðʊr
cyflawni	kəvlau̯ni
cyfle	kəvlɛ
cyflogaeth	kəvloːɡai̯θ
cyflogaeth	kəvloːɡɛθ
cyflogaeth	kəvlɔɡai̯θ
cyflogaeth	kəvlɔɡɛθ
cyflogi	kəvloːɡi
cyflogi	kəvlɔɡi
cyflogwr	kəvloːɡʊr
cyflogwr	kəvlɔɡʊr
cyflogwyr	kəvloːɡwɪr
cyflogwyr	kəvlɔɡwɪr
cyflwr	kəvlʊr
cyflwyno	kəvlʊi̯nɔ
cyflym	kəvlɪm
cyflymder	kəvləmdɛr
cyfnewid	kəvnɛu̯ɪd
cyfnither	kəvniːθɛr
cyfnither	kəvnɪθɛr
cyfnod	kəvnɔd
cyfnodol	kəvnoːdɔl
cyfnodol	kəvnɔdɔl
cyfnodolion	kəvnɔdɔljɔn
cyfnodolyn	kəvnɔdoːlɪn
cyfnodolyn	kəvnɔdɔlɪn
cyfnos	kəvnɔs
cyfodi	kəvoːdi
cyfodi	kəvɔdi
cyfoethog	kəvɔi̯θɔɡ
cyfraith	kəvrai̯θ
cyfraith	kəvrɛθ
cyfranddeiliad	kəvranðei̯ljad
cyfranddeiliaid	kəvranðei̯ljai̯d
cyfranddeiliaid	kəvranðei̯ljɛd
cyfrannog	kəvranɔɡ
cyfreithiwr	kəvrei̯θjʊr
cyfrif	kəvri
cyfrif	kəvrɪv
cyfrifeg	kəvriːvɛɡ
cyfrifeg	kəvrɪvɛɡ
cyfrifiad	kəvrɪvjad
cyfrifiadur	kəvrɪvjadɪr
cyfrifiadur	kəvrɪvjaːdɪr
cyfrifiant	kəvrɪvjant
cyfrifol	kəvriːvɔl
cyfrifol	kəvrɪvɔl
cyfrifoldeb	kəvrɪvɔldɛb
cyfrifoldebau	kəvrɪvɔldeːbai̯
cyfrifoldebau	kəvrɪvɔldeːbɛ
cyfrifoldebau	kəvrɪvɔldɛbai̯
cyfrifoldebau	kəvrɪvɔldɛbɛ
cyfrifon	kəvriːvɔn
cyfrifon	kəvrɪvɔn
cyfrifwr	kəvriːvʊr
cyfrifwr	kəvrɪvʊr
cyfrifydd	kəvriːvɪð
cyfrifydd	kəvrɪvɪð
cyfrin	kəvrɪn
cyfrinach	kəvriːnaχ
cyfrinach	kəvrɪnaχ
cyfrol	kəvrɔl
cyfrwng	kəvrʊŋ
cyfrwngddarostyngedigaeth	kəvrʊŋðarɔsdəŋɛdiːɡai̯θ
cyfrwngddarostyngedigaeth	kəvrʊŋðarɔsdəŋɛdiːɡɛθ
cyfrwngddarostyngedigaeth	kəvrʊŋðarɔsdəŋɛdɪɡai̯θ
cyfrwngddarostyngedigaeth	kəvrʊŋðarɔsdəŋɛdɪɡɛθ
cyfrwy	kəvrʊi̯
cyfrwyo	kəvrʊi̯ɔ
cyfryngau	kəvrəŋai̯
cyfryngau	kəvrəŋɛ
cyfryngi	kəvrəŋi
cyfryngiad	kəvrəŋjad
cyfryngiadau	kəvrəŋjadai̯
cyfryngiadau	kəvrəŋjadɛ
cyfryngiadau	kəvrəŋjaːdai̯
cyfryngiadau	kəvrəŋjaːdɛ
cyfryngis	kəvrəŋiz
cyfryngu	kəvrəŋi
cyfryngwr	kəvrəŋʊr
cyfryngwyr	kəvrəŋwɪr
cyfun	kəvɪn
cyfundrefn	kəvɪndrɛvn
cyfundrefnol	kəvɪndrɛvnɔl
cyfundrefnu	kəvɪndrɛvni
cyfweld	kəvwɛld
cyfweliad	kəvwɛljad
cyfwelydd	kəvweːlɪð
cyfwelydd	kəvwɛlɪð
cyfyd	kəvɪd
cyfyng	kəvɪŋ
cyhoeddus	kəhɔi̯ðɪs
cyhyd	kəhiːd
cyhyd	kəhɪd
cyhydnos	kəhədnɔs
cyhydnos y gwanwyn	kəhədnɔsəɡwanwɪn
cyhydnos yr hydref	kəhədnɔsərhədrɛ
cyhydnos yr hydref	kəhədnɔsərhədrɛv
cyhyr	kəhɪr
cyhyrog	kəhərɔɡ
cylch	kɪlχ
cylchgrawn	kəlχɡrau̯n
cylchgrawn	kɪlχɡrau̯n
cylchoedd	kəlχɔi̯ð
cylchoedd	kəlχɔð
cylchu	kəlχi
cylion	kəljɔn
cyll	kɪɬ
cyllell	kəɬɛɬ
cyllell	kɪɬɛɬ
cyllell	kɪɬɛθ
cymaint	kəmai̯nt
cymaint	kəmɛnt
cymaint	kɪmɛnt
cymal	kəmal
cymar	kəmar
cymdeithasol	kəmdei̯θasɔl
cymedr	kəmɛdr
cymedrol	kəmɛdrɔl
cymedroldeb	kəmɛdrɔldɛb
cymedroli	kəmɛdroːli
cymedroli	kəmɛdrɔli
cymedrolwr	kəmɛdroːlʊr
cymedrolwr	kəmɛdrɔlʊr
cymedrolwyr	kəmɛdrɔlwɪr
cymell	kəmɛɬ
cymer	kəmɛr
cymharu	kəmari
cymharu	kəmaːri
cymharu	kəmhari
cymharu	kəmhaːri
cymhleth	kəmhlɛθ
cymhleth	kəmlɛθ
cymhlethdod	kəmhlɛθdɔd
cymhlethdodau	kəmhlɛθdoːdai̯
cymhlethdodau	kəmhlɛθdoːdɛ
cymhlethdodau	kəmhlɛθdɔdai̯
cymhlethdodau	kəmhlɛθdɔdɛ
cymhlethdodau	kəmlɛθdoːdɛ
cymhlethdodau	kəmlɛθdɔdɛ
cymhlethu	kəmhlɛθi
cymorth	kəmɔrθ
cymorthion	kəmɔrθjɔn
cymraeg	kəmrai̯ɡ
cymraeg	kəmraːɡ
cymraeg	kʊmraːɡ
cymraes	kəmrai̯s
cymraesau	kəmrei̯sai̯
cymraesau	kəmrei̯sɛ
cymreig	kəmrei̯ɡ
cymro	kəmrɔ
cymru	kəmri
cymry	kəmri
cymryd	kəmrɪd
cymwys	kəmʊi̯s
cymylau	kəməlai̯
cymylau	kəməlɛ
cymylog	kəməlɔɡ
cymylu	kəməli
cymysg	kəmɪsɡ
cymysgedd	kəməsɡɛð
cymysglyd	kəməsɡlɪd
cyn	kɪn
cyn hyn	kɪnhɪn
cyn hyn	kɪnɪn
cynaeafu	knei̯avi
cynaeafu	knei̯aːvi
cynaeafu	kniavi
cynaeafu	kniaːvi
cynaeafu	kənei̯avi
cynaeafu	kənei̯aːvi
cynaniad	kənanjad
cynddrwg	kənðrʊɡ
cynffon	kənfɔn
cyngaws	kəŋau̯s
cyngerdd	kəŋɛrð
cynghanedd	kəŋhanɛð
cynghanedd	kəŋhaːnɛð
cynghori	kəŋhoːri
cynghori	kəŋhɔri
cynghrair	kəŋrai̯r
cynghrair	kəŋrɛr
cynghrair	kəŋr̥ai̯r
cyngor	kəŋɔr
cyngyd	kəŋɡɪd
cyngyd	kəŋɪd
cynhadledd	kənhadlɛð
cynhaeaf	kənhei̯av
cynhenna	kənhɛna
cynhennu	kənhɛni
cynhennus	kənhɛnɪs
cynhesu	kənhɛsi
cynhorthwy	kənhɔrθʊi̯
cynhyrchu	kənhərχi
cynllunio	kənɬɪnjɔ
cynnar	kənar
cynnar	kɪnar
cynnau	kənai̯
cynnau	kənɛ
cynnau	kɪni
cynnau	kɪnɛ
cynnen	kənɛn
cynnes	kənɛs
cynnig	kənɪɡ
cynnud	kənɪd
cynnull	kənɪɬ
cynnwrf	kənʊrv
cynnwys	kənʊi̯s
cynnydd	kənɪð
cynnyrch	kənɪrχ
cynorthwyo	kənɔrθʊi̯ɔ
cynorthwywyr	kənɔrθʊi̯wɪr
cynorthwyydd	kənɔrθʊi̯ɪð
cynrychioli	kənrəχjoːli
cynrychioli	kənrəχjɔli
cynt	kɪnt
cyntaf	kənta
cyntaf	kəntav
cyntaf	kɪnta
cyntedd	kəntɛð
cyntefin	kənteːvɪn
cyntefin	kəntɛvɪn
cynulleidfa	kənɪɬei̯dva
cynuta	kənɪta
cynyddu	kənəði
cyn‌gyd	kəŋɡɪd
cyn‌gyd	kəŋɪd
cyrch	kɪrχ
cyrchu	kərχi
cyrhaeddaf	kərhai̯ðav
cyrhaeddwch	kərhai̯ðʊχ
cyrhaeddwn	kərhai̯ðʊn
cyrn	kɪrn
cyrraedd	kərai̯ð
cyrraedd	kərað
cyrraedd	kərɛð
cyrsiau	kərsjai̯
cyrsiau	kərsjɛ
cyrsiau	kərʃai̯
cyrsiau	kərʃɛ
cysgaf	kəsɡav
cysgiff	kəsɡɪf
cysgu	kəsɡi
cysgu fel clawdd	kəsɡivɛlklau̯ð
cystadlaethau	kəsdadlei̯θai̯
cystadlaethau	kəsdadlei̯θɛ
cystadleuaeth	kəsdadlei̯ai̯θ
cystadleuaeth	kəsdadlei̯ɛθ
cystadleuol	kəsdadlei̯ɔl
cystadleuwr	kəsdadlei̯ʊr
cystadleuwyr	kəsdadlei̯wɪr
cystadleuydd	kəsdadlei̯ɪð
cystadlu	kəsdadli
cystal	kəsdal
cystal	kɪsdal
cystal	kɪsdɛl
cyswllt	kəsʊɬd
cysylltair	kəsəɬdai̯r
cysylltiad	kəsəɬdjad
cysylltnod	kəsəɬdnɔd
cysylltu	kəsəɬdi
cytgord	kətɡɔrd
cythraul	kəθrai̯l
cythraul	kəθrɛl
cythreuliaid	kəθrei̯ljai̯d
cythreuliaid	kəθrei̯ljɛd
cytref	kətrɛv
cytrefi	kətreːvi
cytrefi	kətrɛvi
cytsain	kətsai̯n
cytseiniaid	kətsei̯njai̯d
cytseiniaid	kətsei̯njɛd
cytuno	kətiːnɔ
cytûn	kətiːn
cywir	kəu̯ɪr
cywydd	kəu̯ɪð
cywyddau	kəwəðai̯
cywyddau	kəwəðɛ
cyẅres	kəuːrɛs
cyẅres	kəʊrɛs
cân	kaːn
câr	kaːr
còd	kɔd
côd	koːd
côr	koːr
côr y cewri	koːrəkɛu̯ri
côt	koːt
cŵn	kuːn
cŷn	kiːn
da	daː
daclus	daklɪs
dacluso	daklɪsɔ
dacw	daku
dad	daːd
dadiol	dadjɔl
dadl	dadl
dadlau	dadlai̯
dadlau	dadlɛ
dadleuol	dadlei̯ɔl
dadleuon	dadlei̯ɔn
dadlwytho	dadlʊi̯θɔ
dadwisgo	dadwɪsɡɔ
dadwisgo	dadwɪʃɡɔ
dadwreiddio	dadrɛi̯ðjɔ
dadwreiddio	dadrɛi̯ðɔ
dadwreiddio	dadwrɛi̯ðjɔ
daear	dei̯ar
daearfoch	dei̯arvɔχ
daeargryn	dei̯arɡrɪn
daeargrynfeydd	dei̯arɡrənvei̯ð
daeth	dai̯θ
daeth	daːθ
dafad	davad
dafad	daːvad
dafarn	davarn
dafarn	daːvarn
dafarnwr	davarnʊr
daflu	davli
dafydd	davɪð
dafydd	daːvɪð
dagrau	daɡrai̯
dagrau	daɡrɛ
dail	dai̯l
daioni	dajoːni
daioni	dajɔni
dair	dai̯r
daith	dai̯θ
dal	dal
dala	dala
dala	daːla
dalan	dalan
dalan	daːlan
dalcen	dalkɛn
daled	dalɛd
daled	daːlɛd
dalen	dalɛn
dalen	daːlɛn
dalent	dalɛnt
dalent	daːlɛnt
daler	dalɛr
daler	daːlɛr
dales	dalɛs
dales	daːlɛs
dalet	dalɛt
dalet	daːlɛt
dalfa	dalva
dali	dali
dali	daːli
dalia	dalja
daliad	daljad
daliadaeth	daljadai̯θ
daliadaeth	daljadɛθ
daliadaeth	daljaːdai̯θ
daliadaeth	daljaːdɛθ
daliadaethau	daljadei̯θai̯
daliadaethau	daljadei̯θɛ
daliadau	daljadai̯
daliadau	daljadɛ
daliadau	daljaːdai̯
daliadau	daljaːdɛ
daliaf	daljav
daliff	dalɪf
daliff	daːlɪf
dalit	daːlɪt
dall	daɬ
dallt	daɬt
dalo	dalɔ
dalo	daːlɔ
dalom	dalɔm
dalom	daːlɔm
dalu	dali
dalu	daːli
damwain	damwai̯n
damweiniau	damwei̯njai̯
damweiniau	damwei̯njɛ
damweinio	damwei̯njɔ
dan	dan
danfon	danvɔn
dangos	daŋɡɔs
dannoedd	danɔi̯ð
dannoedd	danɔð
dant	dant
darian	darjan
darianau	darjanai̯
darianau	darjanɛ
darianau	darjaːnai̯
darianau	darjaːnɛ
darlithio	darlɪθjɔ
darlithydd	darliːθɪð
darlithydd	darlɪθɪð
darlledu	darɬeːdi
darlledu	darɬɛdi
darllen	darɬɛn
darlunio	darlɪnjɔ
darpar	darpar
darparu	darpari
darparu	darpaːri
darw	daru
darw	daːru
datblygiad	datbləɡjad
datblygu	datbləɡi
datgelu	datɡeːli
datgelu	datɡɛli
datguddio	datɡɪðjɔ
dathlu	daθli
datod	datɔd
datrys	datrɪs
datws	datʊs
datys	datɪs
dau	dai̯
dau	dɔi̯
dau ar bymtheg	dai̯arbəmθɛɡ
dau ar hugain	dai̯arhiːɡai̯n
dau ar hugain	dai̯arhiːɡɛn
dau ar hugain	dai̯arhɪɡai̯n
dau ar hugain	dai̯arhɪɡɛn
daw	dau̯
dawel	dau̯ɛl
dawn	dau̯n
dawns	dau̯ns
dawnsio	dau̯nsjɔ
dawnsio	dau̯nsɔ
dawnsio	dau̯nʃɔ
ddadlwytho	ðadlʊi̯θɔ
ddaear	ðei̯ar
ddafydd	ðavɪð
ddafydd	ðaːvɪð
ddail	ðai̯l
ddal	ðal
ddalen	ðalɛn
ddalen	ðaːlɛn
ddangos	ðaŋɡɔs
ddannoedd	ðanɔi̯ð
ddannoedd	ðanɔð
ddant	ðant
ddarllen	ðarɬɛn
ddarlunio	ðarlɪnjɔ
ddaru	ðari
ddaru	ðaːri
ddathlu	ðaθli
ddau	ðai̯
ddau	ðɔi̯
ddaw	ðau̯
dde	ðeː
ddechrau	ðaχrɛ
ddechrau	ðəχrɛ
ddechrau	ðɛχrai̯
ddechrau	ðɛχrɛ
ddefnyddio	ðɛvnəðjɔ
ddegfed	ðɛɡvɛd
ddeilen	ðei̯lɛn
ddeiliad	ðei̯ljad
ddeiliaid	ðei̯ljai̯d
ddeiliaid	ðei̯ljɛd
ddelo	ðeːlɔ
ddelo	ðɛlɔ
ddelw	ðeːlu
ddelw	ðɛlu
ddeng	ðɛŋ
ddenmarc	ðɛnmark
ddere	ðeːrɛ
ddere	ðɛrɛ
ddeset	ðɛsɛt
ddeud	ðei̯d
ddeuddeg	ðei̯ðɛɡ
ddeuddegfed	ðei̯ðɛɡvɛd
ddigon	ðiːɡɔn
ddigon	ðɪɡɔn
ddigwydd	ðɪɡwɪð
ddim	m
ddim	ðɪm
ddim	əm
ddiod	ðiːɔd
ddod	ðoːd
ddoe	duɛ
ddoe	ðoː
ddoe	ðɔi̯
ddoi	ðɔi̯
ddoli	ðɔli
ddolis	ðɔliz
ddolur	ðoːlɪr
ddolur	ðɔlɪr
ddos	ðoːs
ddrama	ðrama
ddrama	ðraːma
ddringo	ðrɪŋɔ
ddrud	ðriːd
dduw	ðɪu̯
ddweud	ðwei̯d
ddwfr	ðʊvr
ddwylo	ðiːlɔ
ddwylo	ðʊi̯lɔ
ddwywaith	ðʊi̯wai̯θ
ddwywaith	ðʊi̯wɛθ
ddyn	ðiːn
ddysgu	ðəsɡi
ddôn	ðoːn
de	deː
deall	deːaɬ
deall	diːaɬ
deall	dɛaɬ
deall	dɪaɬ
debyg	deːbɪɡ
debyg	dɛbɪɡ
decaf	dɛkav
dechrau	daχrɛ
dechrau	dəχrɛ
dechrau	dɛχrai̯
dechrau	dɛχrɛ
deddfu	dɛðvi
deffro	dɛfrɔ
deffry	dɛfri
defnydd	dɛvnɪð
defnyddiau	dɛvnəðjai̯
defnyddiau	dɛvnəðjɛ
defnyddio	dɛvnəðjɔ
defnyddiwr	dɛvnəðjʊr
deg	deːɡ
deg ar hugain	deːɡarhiːɡai̯n
deg ar hugain	deːɡarhiːɡɛn
deg ar hugain	deːɡarhɪɡai̯n
deg ar hugain	deːɡarhɪɡɛn
degan	deːɡan
degan	dɛɡan
degau	deːɡai̯
degau	deːɡɛ
degau	dɛɡai̯
degau	dɛɡɛ
degfed	dɛɡvɛd
dei	dei̯
deigr	dei̯ɡr
deigrod	dei̯ɡrɔd
deigryn	dei̯ɡrɪn
deil	dei̯l
deildai	dei̯ldai̯
deildy	dei̯ldi
deilen	dei̯lɛn
deiliad	dei̯ljad
