dreq	dɾɛcɕ
madh	imað
soj	sɔj
dehem	dɛhɛm
andë	aːnd
bâj	bɑj
hjidhi	hjiði
përmy	pərmyː
gjirokastër	ɟ͡ʝiɾɔkastəɾ
njëzetedy	ɲəzɛtɛdy
dërgoj	dəɾɡɔj
lavd	lavd
paharrueshëm	paharuɛʃəm
shigjetë	ʃid͡ʑɛtə
vulvë	vulvə
ganec	ɡanɛt͡s
dygjuhësi	dyɟʑuhəsi
allme	aɫmɛ
zvarranik	zvaranik
pasqyrë	pascyɾə
ti	ti
kishë	kiːʃ
gjalpë	ɟaːlp
pubis	pubis
besoj	bɛsɔj
zvicërr	zvit͡səɾ
bythëkromë	byθəkɾɔːm
klumësht	kluməʃt
ballgun	baɫɡun
arsimoj	aɾsimɔj
zgjedhje	zɟɛðjɛ
mazë	maːz
en	ɛɲ
çukë	t͡ʃukə
shkak	ʃkak
brehem	bɾɛhɛm
dembel	dɛmbɛl
grigjë	ɡɾiːɟ
pijan	pijan
bonjë	bɔɲə
shqipëri	ʃcɕipəɾi
brehem	bɹɛhɛm
vështirë	vəʃtiɹə
mbarë	mãːɹ
bardhyll	baːɾðyːʎ
mbaroj	maɹɔj
shkëlqyeshëm	ʃkəlcyɛʃəm
danjell	daɲɛɫ
gërrec	ɡərɛt͡s
mendim	mendim
shqipëria	ʃkʲipəɾia
arrë	aːr
vjedhës	vjɛðəs
heci	hɛtsi
zhgënjej	ʒɡəɲɛj
mburracak	mburat͡sak
ha	ha
mackë	mat͡skə
këndoj	kəndɔj
bardhyll	baːɾðuːɫ
andaj	andaj
shtrigë	ʃtɾiːɡ
sqarim	scɕaɹim
shigjetar	ʃiɟɛtaɾ
fsheh	fʃeːh
buli	buli
bërllogxhi	bəɾɫɔ̯ɡd͡ʒi
shqipohet	ʃcipɔhɛt
çdo	tʃdo
përgjithësim	pɚɟʑiθəsim
arrç	art͡ʃ
daniel	daɲɛl
kafshatë	kafʃatə
gjelbër	ɟɛlbəɾ
athje	aθjɛ
udhëzoj	uðəzɔj
muskuloz	muskulɔs
ndih	ndiː
brushtull	bɾuʃtuɫ
muskulaturë	muskulatuɹə
kryej	kɾyɛj
skipetar	ʃcɕiptaɾ
grushtoj	ɡɾuʃtoj
lus	ʎut
çadër	tʃadəɾ
dedë	dɛːdə
qifsha	kʲifʃaː
shpirrë	ʃpiːr
jo	jɔ
hallë	haɫə
dodaj	doːdaɲ
qupi	c͡ɕupi
ji	ji
patologji	patɔlɔɟʑi
paqe	pat͡ʃɛ
spermë	spɛɾmə
shkëlqej	ʃkəlcɛj
shtyllë	ʃtyːɫ
plotësoj	plotəsɔj
shqipëria	ʃcɕipəɾia
shqiptar	ʃciptaɹ
bërdhog	bəɾðɔ̯ɡ
skipetar	ʃciptaɹ
kushtor	kuʃtɔɾ
kafshoj	kafʃɔj
emër	ɛməɾ
mbarë	mɑ̃ːɹ
çup	cup
ame	amɛ
përparoj	pəɹpaɹɔj
vendim	vɛndim
lyej	lyɛj
tërësi	təɾəsi
zakonisht	zakɔniʃt
gegnishte	ɡɛɡniʃte
gërfyell	ɡəɾfyɛɫ
tung	tuŋɡ
maç	mat͡ʃ
rr	r
qylaxhi	cɕyladʒi
lut	ʎut
pusullë	pusuːɫ
degë	dɛɡə
kundërthem	kundəɾθɛm
qoftë	cɕoftə
korb	kɔɾb
arti	aɾti
karafil	kaɾafil
gak	ɡak
ajazmë	ajaːzmə
plotësisht	plotəsiʃt
ishe	iʃɛ
pis	pis
afrohet	afɾɔhɛt
mirë	miːɹə
rrafsh	rafʃ
yll	iːɫ
kepë	keːpə
qepa	cçeːpa
krahasohem	kɾahasɔhɛm
dhjetë	ðjɛtə
bardhë	baːɾð
borzilok	bɔɾzilɔk
rrënoj	rənɔj
flas	flas
qye	t͡ɕyː
shpif	ʃpif
lylë	lylə
shpifur	ʃpifur
shqip	ʃc͡ɕip
zvicrra	zvit͡sɾa
çup	kʲup
lidhje	liːðjɛ
balenë	balɛnə
punësoj	punəsɔj
jemi	jɛmi
