gadu	ɡə̀dúː
baka	bə̀káː
kofur	kʷóːɸʊ̀r
ɓelele	ɓèːlèːlèː
sharri	ʃárrìː
ƙaho	kʼə̀hóː
tarbiyya	tàrbɪ́jjàː
yamal	jɛ́màl
sum	sɪ̀m
gada	ɡə́dàː
baiwa	bêiwə́
jimɓirɓir	d͡ʒɪ̀mɓɪ̀rɓɪ̀r
alfijir	ʔàlɸɪ́d͡ʒɪ̀r
imani	ʔíːmáːnìː
hisabi	hɪ̀sáːbìː
nasaru	nə̀sàːrúː
wanka	wáŋkáː
luƙwi	lɪ́kʷʼíː
jima'i	d͡ʒɪ̀máːʔìː
tuntu	tɪ́ntúː
fa'ida	ɸáːʔɪ́dàː
ladani	làːdáːnìː
gunda	ɡʷʊ́ndàː
caka	t͡ʃə̀káː
maya	màːjáː
sulemanu	sɪ́lèːmáːnɪ̀
ciroma	t͡ʃɪ́ròːmə̀
sako	sə̀kʷóː
curi	t͡ʃúːɽìː
tuwo	tʊ́wóː
sarki	sáɽcɪ́
tandu	tándúː
satumba	sə̀tɪ́mbàː
bura	búːɽáː
alhaji	ʔàlhád͡ʒíː
kori	kʷóːrìː
talatin	tə̀làːtɪ́ŋ
samanja	sàːmánd͡ʒə̀
sista	sɪ́stàː
kwango	kʷáŋɡʷò
tautau	táutàu
mu'ujiza	mʊ̀ʔʊ̀d͡ʒɪ́zàː
masaya	mə́sɛ́jáː
bagadaza	bə̀ɡə̀dáːzə̀
dutse	dúːsʼè
santi	sàntɪ́
riba	ríːbàː
falsafa	ɸálsə́ɸàː
gwaiba	ɡʷéibàː
alƙahira	ʔàlkʼáːhɪ̀rə́
barkono	bàrkʷòːnóː
dorina	dòːɽɪ́náː
mele	méːléː
baitulmali	bèitɪ̀lmáːlɪ̀
zainabu	zèinə́bʊ̀
madubi	mə́dúːbíː
wau	wáu
liman	lìːmâŋ
fis	ɸɪ̂s
ruwa	ɽʊ́wə́
giris	ɟɪ̀rɪ̂s
kyanada	cɛ́nə́də̀
majalisa	mə̀d͡ʒə̀lɪ́sàː
algashi	ʔálɡə̀ʃíː
kaf	káp
launi	láunìː
shuka	ʃúːkàː
mulki	mʊ́lcìː
kamala	kə̀máːlàː
mariri	màːɽíːɽíː
mako	máːkʷòː
aya	ʔáːjàː
ƙato	kʼáːtòː
mai	mâi
makero	mə̀céːɽòː
salihi	sáːlɪ̀híː
citta	t͡ʃɪ̀ttə́
hakkan	hákkàŋ
takalmi	tàːkàlmíː
kolo	kʷóːlóː
awaza	ʔàwə́zàː
mesa	méːsàː
ashirin	ʔàʃɪ̀rɪ́ŋ
hanta	hántàː
kunama	kʷʊ̀náːmàː
ƙaddara	kʼàddə́ràː
dokta	dɔ́ktàː
harshe	háɽʃè
mala'ika	mə̀láːʔɪ́kàː
ciki	t͡ʃɪ́cɪ́
lauya	láujàː
anaca	ʔànə̀t͡ʃə̀
duros	dɪ̀râs
komo	kʷóːmóː
ti	tîː
sama	sə́mə̀
makaɗi	mə́kə́ɗíː
daraja	də́rə́d͡ʒàː
bika	bɪ̀káː
gum	ɡʷʊ̀m
sabo	sáːbóː
amirka	ʔámɪ̀rkə̀
mayani	mɛ́jáːníː
ƙulumi	kʷʼúːlɪ́míː
hausa	háusə́
babba	bàbbə́
iblis	ʔɪ̀blɪ̂s
masallaci	mə́sálláːt͡ʃíː
gana	ɡáːnə̀
jinsi	d͡ʒɪ́nsìː
la'alla	lə̀ʔállàː
jimilla	d͡ʒɪ̀mɪ́llàː
ladi	láːdɪ̀
farce	ɸáɽt͡ʃèː
rogo	ɽóːɡʷòː
siga	síːɡàː
al'ajabi	ʔàlʔád͡ʒə̀bíː
wuski	wʊ́scíː
batta	báttàː
gwaggo	ɡʷáɡʷɡʷò
basasa	báːsáːsàː
kazaf	kə́zàɸ
gusa	ɡʷʊ́sàː
bil	bɪ̂l
tsabga	sʼábɡàː
mashi	máːʃìː
sheƙeƙe	ʃèːcʼèːcʼèː
wuluk	wʊ́lɪ́k
addu'a	ʔàddɪ́ʔàː
daura	dàuɽáː
kaɗanya	kə́ɗɛ́ɲjàː
hali	háːlíː
akasidan	ʔákə́sɪ̀dâŋ
disamba	dɪ̀sámbàː
nijeriya	nìːd͡ʒéːrɪ́jɛ̀
baba	báːbə̀
wofi	wòːɸíː
kwabo	kʷə́bòː
baki	bàːcíː
wagadugu	wə̀ɡə̀dɪ́ɡʷʊ̀
walƙiya	wàlcʼɪ́jáː
illa	ʔɪ́lláː
firamare	ɸɪ́ráːmə̀rèː
kurma	kʷʊ́ɽmáː
sumul	sɪ́mʊ́l
la'asariyya	lə̀ʔàsə́rɪ́jjàː
hasana	hásə̀náː
kaigama	kéiɡə́mə̀
talaka	tə́lə̀kə̀
lawur	láːwʊ́ɽ
magaji	mə́ɡàːd͡ʒɪ́
darasi	də́rə̀síː
amsa	ʔámsàː
koka	kʷóːkàː
laka	láːkáː
jam'iyya	d͡ʒàmʔɪ́jjàː
ƙashi	kʼə̀ʃíː
ƙuri'a	kʷʼʊ̀rɪ́ʔàː
basukur	báːsɪ́kʷʊ̀r
baffa	báɸɸə̀
kindirmo	cɪ̀ndɪ̀rmóː
filato	ɸɪ̀làːtó
rafani	ráːɸàːníː
fara'a	ɸə́rə́ʔàː
shekara	ʃèːkə́ɽàː
kamaru	kə̀mə̀rɪ́
bel	bál
hanci	hánt͡ʃɪ́
mandiri	màndíːrìː
kambi	kámbíː
yunan	jùːnâŋ
huhu	hùːhúː
daƙiƙi	də̀cʼíːcʼìː
hijira	hɪ́d͡ʒɪ́ráː
bara	bàːráː
zabarjadi	zə́bàrd͡ʒə́dìː
alama	ʔàláːmàː
fam	ɸâŋ
wal	wàl
gwamna	ɡʷámnàː
labudda	làːbʊ́ddə̀
zakka	zàkkáː
mangariba	màŋɡə̀rɪ́bàː
amawali	ʔámáːwə̀líː
linzami	lɪ̀nzáːmìː
janairu	d͡ʒə̀néirɪ̀
sharhi	ʃárhìː
almajiri	ʔàlmáːd͡ʒɪ̀ríː
ainun	ʔáinɪ̀ŋ
kofi	kʷòːɸíː
ciwo	t͡ʃíːwòː
doki	dóːcìː
aƙida	ʔàcʼíːdàː
duniya	dúːnɪ́jàː
sauti	sáutìː
mabiyi	mə́bɪ̀jíː
hula	hùːláː
nuwamba	nʊ̀wámbàː
pakistan	páːcɪ́stàŋ
ɓaure	ɓáuɽéː
amin	ʔàːmɪ́ŋ
azahariyya	ʔàzə̀hàrɪ́jjàː
takila	táːcɪ̀lə̀
amini	ʔàmíːnìː
abdullahi	ʔàbdɪ̀lláːhɪ̀
tsibiri	sʼɪ̀bɪ́ɽíː
dawa	dáːwàː
sani	sə́nìː
datti	dàttɪ́
kura	kʷúːɽə́
zulƙida	zɪ̀lcʼíːdàː
mutu	mʊ́tɪ̀
dabino	də́bíːnòː
takunkumi	tàːkʷʊ́ŋkʷʊ̀míː
zau	záu
fau	ɸáu
kife	cɪ́ɸèː
garkuwa	ɡàɽkʷʊ́wáː
mohammed	mʊ̀hámmàd
kaiwa	kéiwáː
danga	dáŋɡáː
pijo	pɪ̀d͡ʒó
kafur	káːɸʊ̀r
ƙiƙam	cʼìːkʼàm
cuku	t͡ʃɪ́kʷúː
miya	mɪ́jàː
agade	ʔàɡə̀dè
maita	mêitáː
alatu	ʔáːláːtɪ̀
gwamnati	ɡʷámnə́tɪ̀
karama	kə̀ráːmàː
farisa	ɸáːrɪ́sə̀
ƙwai	kʷʼéi
yunananci	júːnáːnánt͡ʃíː
shaiɗan	ʃèiɗâŋ
jam'i	d͡ʒámʔìː
kumallo	kʷʊ̀mállóː
abjadi	ʔábd͡ʒə̀díː
farilla	ɸə̀rɪ́llàː
kukuma	kʷúːkʷúːmàː
dambu	dámbúː
tadawa	tə̀də́wàː
rubu'i	rɪ́bʊ̀ʔíː
kawu	kàːwʊ́
cura	t͡ʃúːɽàː
ajali	ʔád͡ʒə̀líː
fari	ɸə́ɽíː
kunne	kʷʊ̂nnéː
asiya	ʔáːsɪ́jɛ̀
hairan	háiràŋ
alawa	ʔàláːwàː
wada	wə̀dáː
siket	sɪ̀cát
allura	ʔàllúːràː
duna	dúːnàː
kaita	kéitə́
faransa	ɸə̀ránsə̀
muhuri	mʊ́húːɽíː
cwai	t͡ʃʷéi
inabi	ʔɪ́nə̀bíː
maraba	mə́ɽə́báː
tijara	tɪ̀d͡ʒáːràː
wokaci	wóːkə̀t͡ʃíː
ɗungum	ɗɪ̀ŋɡʷʊ́m
tarnatsa	tárnə́sʼáː
nau'i	náuʔìː
mairiga	mèiɽìːɡə̀
aboki	ʔàbóːcíː
neja	néːd͡ʒə̀
wata	wə́tə́
muhammadu	mʊ̀hámmə́dɪ̀
muhimmi	mʊ̀hɪ́mmìː
kotu	kʷóːtɪ̀
masar	mə́sàr
masara	mə́sə̀ráː
laka	lə́káː
galala	ɡàːlàːlàː
fili	ɸíːlíː
annabi	ʔànnə́bìː
jami'a	d͡ʒáːmɪ̀ʔáː
hasara	hàsáːràː
gwanda	ɡʷándàː
kati	káːtìː
kango	káŋɡʷóː
musa	múːsáː
hutsu	húːsʼúː
alwala	ʔàlwə̀láː
daƙiƙa	də̀cʼíːkʼàː
zahiri	záːhɪ̀ríː
baba	bàːbə́
zara	zàːráː
tarihi	táːríːhìː
en'e	ʔɛ́ŋʔèː
yalwa	jɛ̀lwə́
mantau	màntáu
mago	mə́ɡʷó
murzani	mʊ̀rzáːnìː
ungulu	ʔʊ̀ŋɡʷʊ̀lɪ́
goba	ɡʷóːbàː
adam	ʔádàŋ
maza	mə́zə́
uƙuba	ʔʊ̀kʷʼúːbàː
alƙali	ʔàlkʼáːlíː
dari	də́ɽìː
halama	hàláːmàː
kos	kʷâs
magariba	mə̀ɡə̀rɪ́bàː
mujaddadi	mʊ̀d͡ʒáddə̀díː
sanda	sàndə́
maroko	mə̀róːkʷò
shekarau	ʃèːkə̀ɽáu
kiyama	cɪ̀jáːmàː
sa'a	sə́ʔàː
miji	mɪ́d͡ʒìː
loga	lóːɡàː
fasa'ofis	ɸə́sə̀ʔóːɸɪ̀s
majanuni	mə̀d͡ʒə̀núːnìː
lafazi	lə́ɸə̀zíː
guba	ɡʷʊ́bàː
sababi	sə́bə̀bíː
tara	tə́rə̀
mama	màːmə́
jace	d͡ʒàːt͡ʃéː
ƙauye	kʼáujèː
maiɗaki	mèiɗáːcɪ̀
ɓarawo	ɓə̀ɽáːwòː
ganye	ɡɛ́ɲjéː
mubazzari	mʊ̀bázzə̀ríː
bawa	báːwàː
gwangwani	ɡʷáŋɡʷə́níː
sham	ʃâŋ
shinkafa	ʃɪ̀ŋkáːɸáː
riba	rɪ̀bə́
manzo	mànzóː
dahir	dáːhɪ̀r
birtaniya	bɪ̀rtáːnɪ́jɛ̀
kaca	kə́t͡ʃàː
ladabi	lə́də̀bìː
tafsiri	tàɸsíːrìː
tsololo	sʼòːlòːlòː
reza	réːzàː
lafi	láːɸìː
kafe	kə́ɸèː
rige	ɽɪ́ɟé
nasiha	nə̀síːhàː
fiƙihu	ɸɪ́cʼɪ́hʊ̀
ɗanye	ɗɛ́ɲjéː
aduwa	ʔádʊ́wàː
suna	súːnáː
goro	ɡʷóːrò
salga	sálɡáː
gula	ɡʷʊ́làː
na'ibi	náːʔɪ̀bíː
kazaure	kə̀záuɽé
ushiri	ʔʊ́ʃɪ̀ríː
tafki	táɸcìː
kumama	kʷʊ̀máːmáː
ƙoda	kʷʼóːdàː
diga	dɪ́ɡàː
birni	bɪ́rníː
malam	máːlàŋ
hani'an	háːnɪ́ʔàŋ
zaiti	zéitìː
ra'i	ráːʔìː
boko	bóːkʷòː
lacca	látt͡ʃàː
kunya	kʷʊ́ɲjàː
indiya	ʔɪ́ndɪ́jɛ̀
lada	láːdáː
laya	láːjàː
izini	ʔɪ́zɪ̀níː
wa'adi	wə́ʔàdíː
wanka	wáŋkàː
azumi	ʔázɪ̀míː
karkanda	kárkàndə̀
wuridi	wʊ́rɪ̀díː
kwala	kʷə́làː
gunus	ɡʷʊ̀nɪ̀s
mahawara	mə̀háːwə́ràː
latsa	láːsʼàː
iraƙi	ʔɪ̀râːcʼɪ̀
nim	nɪ̂ŋ
adabo	ʔádàːbóː
jaka	d͡ʒə̀káː
nil	nɪ̂l
kabari	kə́bə̀ríː
funkaso	ɸʊ̀ŋkàːsóː
alade	ʔàlə́dèː
girka	ɟɪ́ɽkáː
kabila	kə̀bíːlàː
kaka	kàːkə́
asiri	ʔàsíːríː
halilu	hàlíːlɪ̀
hidima	hɪ́dɪ́máː
emti	ʔɛ́mtìː
kaka	kàːkáː
kawu	káːwʊ̀
zamani	záːmə̀níː
shat	ʃât
kwal	kʷâl
hukuma	hʊ̀kʷúːmàː
akala	ʔákàːlə̀
el'e	ʔɛ́lʔêː
baiwa	bêiwáː
abada	ʔàbə̀dâː
farali	ɸə́rə̀líː
tantakwashi	tàntə́kʷə̀ʃíː
cadi	t͡ʃáːdɪ̀
kaciya	kàːt͡ʃɪ́jàː
kano	kə́nòː
buƙwi	bʊ̀kʷʼíː
laita	léitàː
ƙirji	cʼɪ̀ɽd͡ʒíː
ɓulla	ɓʊ̀llə́
da'ira	dáːʔɪ̀ráː
rai	ɽâi
raɗau	rə́ɗáu
rogo	ɽóːɡʷò
bora	bóːɽàː
ruwa	ɽʊ́wáː
asawaki	ʔàsə́wàːcíː
takwas	tə́kʷàs
badun	bàːdɪ̀ŋ
sage	sə́ɟèː
muharram	mʊ̀hárràŋ
sanka	sáŋkáː
tasku	táskʷʊ̀
yadda	jɛ́ddə̀
ja	d͡ʒáː
la'ada	lə̀ʔádàː
kwano	kʷáːnòː
rami	ɽáːmìː
gam	ɡâŋ
fatsi	ɸə́sʼíː
dala	dàːlə́
mizani	míːzáːnìː
tagomashi	tə́ɡʷóːmə̀ʃíː
fangali	ɸáŋɡə́líː
uwa	ʔʊ́wáː
akushi	ʔákʷʊ̀ʃíː
ayari	ʔáːjɛ̀ríː
ƴ	j̰
daddawa	dàddə́wáː
asabe	ʔàsə̀bé
kakaki	kàːkàːcíː
laima	léimàː
alƙalami	ʔàlkʼə́lə̀míː
romo	ɽóːmóː
ilmi	ʔɪ̂lmíː
albishir	ʔàlbɪ́ʃɪ̀r
halima	hàlíːmə̀
wala	wáːláː
lami	làːmîː
misali	mɪ̀sáːlìː
galibi	ɡáːlɪ̀bíː
wani	wə́nɪ́
watari	wə̀tə̀ɽɪ́
jana'iza	d͡ʒə̀náːʔɪ́zàː
jama'a	d͡ʒə̀mə́ʔà
huntu	hʊ́ntúː
zarto	zártòː
ridda	rɪ́ddáː
na'am	nə̀ʔám
talla	tàllə̀
garki	ɡàɽcɪ́
karimi	kə̀ríːmìː
mahalli	mə̀hâllíː
lubayya	lɪ̀bɛ́jjɛ̀
mu	múː
hau	hâu
soci	sóːt͡ʃɪ̀
sarka	sàrkáː
gagarau	ɡàːɡə̀ɽáu
jaki	d͡ʒàːcíː
rema	ɽéːmáː
magaji	mə́ɡàːd͡ʒíː
sanata	sə́nə́tàː
kwaɗo	kʷàːɗóː
tozali	tóːzə̀líː
shawwal	ʃàwwâl
bappa	báppə̀
silin	síːlɪ̀ŋ
birgediya	bɪ̀rɟéːdɪ́jàː
baiti	béitìː
ɗim	ɗɪ̀m
ulu	ʔúːlɪ̀
asabari	ʔásə́bə̀ríː
ɗanladi	ɗálláːdɪ̀
takobi	tə́kʷòːbíː
shai'an	ʃéiʔàŋ
rimi	ɽíːmɪ́
yatsa	jáːsʼàː
sa'ida	sə̀ʔíːdàː
duma	dɪ́màː
tanti	tántìː
kunya	kʷʊ́ɲjáː
tattabara	tàttə́bə̀ráː
ɗantala	ɗántə̀láː
biyu	bɪ́jʊ́
sadaki	sə̀dâːcíː
tifa	tíːɸàː
cif	t͡ʃɪ́p
hama	hámàː
damisa	dàːmɪ́sàː
shayi	ʃàːjíː
munafuki	mʊ̀náːɸʊ̀cíː
galau	ɡə̀láu
ailan	ʔáilàŋ
wanwar	wàmwár
idi	ʔíːdìː
isra'ila	ʔɪ̀sráːʔíːlə̀
agushi	ʔàɡʷʊ́ʃíː
mishi	mɪ́ʃíː
kadari	kə́də̀ríː
kissa	cɪ́ssə̀
azzakari	ʔàzzə́kə̀ríː
hadisi	hàdíːsìː
banga	bàŋɡáː
adire	ʔàdɪ̀ré
ayaba	ʔɛ̀jɛ̀bə̀
saye	sɛ̀jéː
ƙanƙane	kʼàŋkʼə́nèː
abdurrahim	ʔàbdɪ̀rrə̀hɪ̂ŋ
goma	ɡʷóːmə̀
tulu	tùːlúː
jatau	d͡ʒàːtáu
laskofur	lâskʷóːɸʊ̀r
yaro	jáːɽòː
anabi	ʔánə̀bíː
tsundum	sʼɪ̀ndɪ́m
lori	lóːrìː
ahmad	ʔáːmàd
isa	ʔíːsáː
jif	d͡ʒɪ̂ɸ
tire	tɪ̀ré
maikuɗi	mèikʷʊ́ɗɪ́
ƙurungu	kʷʼʊ̀ɽɪ́ŋɡʷʊ̀
wada	wàːdáː
ɓaɓura	ɓáːɓʊ̀ɽə̀
riga	ɽìːɡáː
sahibi	sáːhɪ̀bíː
edita	ʔɛ́dɪ́tə̀
ƙazami	kʼə̀záːmíː
bajau	bə́d͡ʒáu
casa'in	t͡ʃə̀sə̀ʔɪ́ŋ
wudil	wʊ̀dɪ́l
attaura	ʔàttáuráː
sana'a	sə̀nə́ʔàː
azahar	ʔàzə́hàr
safara	sə́ɸə́ràː
asabar	ʔàsə́bàr
