uchinjo	utʃiⁿɗʒo
bong'oleka	ɓoŋoleka
kuudhiwa	kuuɗhiwa
waliusikiliz	waliusikiliz
amuriana	amuɾiana
poda	poɗa
ambayo	aᵐɓajo
kuwapatanish	kuwapataniʃ
watamtumiki	watamtumiki
unakimbilia	unakiᵐɓilia
likawa	likawa
haziwachi	haziwatʃi
kedari	Keɗaɾi
wakasali	wakasali
juzi	ʄuzi
yanapokupwa	janapokupwa
bega	ɓeɠa
umepewa	umepewa
imedhihiris	imeɗhihiɾis
sauli	Sauli
punde	puⁿɗe
makwazo	makwazo
shumburere	ʃuᵐɓuɾeɾe
brasi	ɓɾasi
chubulia	tʃuɓulia
saguo	saɠuo
furamisha	fuɾamiʃa
atautawala	atautawala
isiitawale	isiitawale
unaposimama	unaposimama
anawacheka	anawatʃeka
anatujua	anatuʄua
waliomwabud	waliomwaɓuɗ
chakuana	tʃakuana
miongo	mioᵑgo
bano	ɓano
tunachohubi	tunatʃohuɓi
nitakutenda	nitakuteⁿɗa
watatawala	watatawala
kujali	kuʄali
kufaidi	kufaiɗi
changarawe	tʃaᵑgaɾawe
kuchovyea	kutʃovjea
maridadi	maɾiɗaɗi
vipigi	vipiɠi
kisukumi	kisukumi
michicha	mitʃitʃa
utaniongoza	utanioᵑgoza
aliowaagiza	aliowaaɠiza
vidogo	viɗoɠo
sisemi	sisemi
ugomvi	uɠoᵐvi
anaokaa	anaokaa
kudanganya	kuɗaᵑgaɲa
iliwashika	iliwaʃika
tunajionyes	tunaʄioɲes
kisulisuli	kisulisuli
hakustaarabi	hakustaaɾaɓi
jamdani	ʄamɗani
kidahizo	kiɗahizo
zika	zika
undama	uⁿɗama
ukagonga	ukaɠoᵑga
walioandaman	walioaⁿɗaman
kaharabu	kahaɾaɓu
yaliyoshikam	jalijoʃikam
mkoi	mkoi
waliotuzaa	waliotuzaa
itakayoweza	itakajoweza
yalinuiwa	jalinuiwa
akamwekea	akamwekea
kunitayarish	kunitajaɾiʃ
chujisha	tʃuʄiʃa
mkutano	mkutano
kukijaza	kukiʄaza
aliketi	aliketi
aliyelijaza	alijeliʄaza
arao	aɾao
miashiri	miaʃiɾi
inayomtokelea	inajomtokelea
tubwikia	tuɓwikia
kipando	kipaⁿɗo
fiili	fiili
liwe	liwe
kilihudhuriw	kilihuɗhuɾiw
tendegu	teⁿɗeɠu
kinachojazwa	kinatʃoʄazwa
mtawafu	mtawafu
ajiriana	aʄiɾiana
wasikie	wasikie
ambukia	aᵐɓukia
walifukuza	walifukuza
pumbu	puᵐɓu
mbaruti	ᵐɓaɾuti
zimetimka	zimetimka
waamu	waamu
yameachana	jameatʃana
kitandawili	kitaⁿɗawili
tumbaku	tuᵐɓaku
yanayozagaa	janajozaɠaa
kutajirika	kutaʄiɾika
kutafutia	kutafutia
ubarubaru	uɓaɾuɓaɾu
chelebi	tʃeleɓi
walimchukia	walimtʃukia
ndumiko	ⁿɗumiko
huilaumu	huilaumu
wakisaga	wakisaɠa
nimewaleteen	nimewaleteen
thalatha	θalaθa
wazalishi	wazaliʃi
aliyejawa	alijeʄawa
usiokata	usiokata
wakauawa	wakauawa
fufuta	fufuta
kuhifadhiwa	kuhifaɗhiwa
kakuleta	kakuleta
hudondoshwa	huɗoⁿɗoʃwa
kilivyotendeka	kilivjoteⁿɗeka
hutikisa	hutikisa
hakupata	hakupata
faidi	faiɗi
waliyatafaka	walijatafaka
kinachogawanyw	kinatʃoɠawaɲw
viringa	viɾiᵑga
ninahubiri	ninahuɓiɾi
atengeneze	ateᵑgeneze
kinapeperus	kinapepeɾus
aliyomponya	alijompoɲa
hutakuwa	hutakuwa
saraka	saɾaka
zidua	ziɗua
wiche	witʃe
muwatendee	muwateⁿɗee
gileadi	Gileaɗi
paswa	paswa
amewahuzuni	amewahuzuni
mtambao	mtaᵐɓao
sikini	sikini
huiva	huiva
umekwenda	umekweⁿɗa
takaba	Takaɓa
ute	ute
dhurubika	ɗhuɾuɓika
anamhamu	anamhamu
hasamiana	hasamiana
nvumba	nvuᵐɓa
aliyeuamini	alijeuamini
tungikwa	tuᵑgikwa
waliishi	waliiʃi
mapunguani	mapuᵑguani
mwatambua	mwataᵐɓua
kututia	kututia
umemjia	umemʄia
wameiomba	wameioᵐɓa
kibakuli	kiɓakuli
miamko	miamko
kimataifa	kimataifa
tunaowasikia	tunaowasikia
duhusi	ɗuhusi
bilahi	ɓilahi
yaliwashangaza	jaliwaʃaᵑgaza
wachaguzi	watʃaɠuzi
zikiwashangil	zikiwaʃaᵑgil
hudhuria	huɗhuɾia
aliyenituma	alijenituma
amuru	amuɾu
yanayopingan	janajopiᵑgan
uzaliwa	uzaliwa
nimeichagua	nimeitʃaɠua
hapangekuwa	hapaᵑgekuwa
wakikubalian	wakikuɓalian
waufahamu	waufahamu
kideri	kiɗeɾi
shonga	ʃoᵑga
aliahidi	aliahiɗi
akafagia	akafaɠia
vijimbi	viʄiᵐɓi
vingi	viᵑgi
wakifanya	wakifaɲa
kumbatia	kuᵐɓatia
wakafurahi	wakafuɾahi
atawarudish	atawaɾuɗiʃ
pepesua	pepesua
mamio	mamio
kipanuke	kipanuke
tangazwa	taᵑgazwa
hakirisha	hakiɾiʃa
fomeka	fomeka
moto	moto
nitamchukua	nitamtʃukua
vipaji	vipaʄi
usiyahi	usijahi
mtafaruku	mtafaɾuku
uliotupwa	uliotupwa
hanjari	haⁿɗʒaɾi
vyema	vjema
huwamiliki	huwamiliki
inayoingia	inajoiᵑgia
usufu	usufu
umebahatika	umeɓahatika
wanaomdhara	wanaomɗhaɾa
wasiweke	wasiweke
nikachunga	nikatʃuᵑga
sikumwasi	sikumwasi
enenza	eneⁿza
mabandari	maɓaⁿɗaɾi
hatatujalia	hatatuʄalia
watakapofung	watakapofuᵑg
zinazoeleza	zinazoeleza
stua	stua
bikizee	ɓikizee
unapowaokoa	unapowaokoa
wanajiunga	wanaʄiuᵑga
chachia	tʃatʃia
nisimfikirie	nisimfikiɾie
twawashinda	twawaʃiⁿɗa
kilukaonia	Kilukaonia
epikuro	Epikuɾo
kumshitaki	kumʃitaki
mshemali	Mʃemali
kupeleka	kupeleka
ulaji	ulaʄi
uliodhihiri	ulioɗhihiɾi
mtakapojua	mtakapoʄua
isitikisike	isitikisike
anayekiaga	anajekiaɠa
asiyefaa	asijefaa
surwa	suɾwa
alipokuwa	alipokuwa
ulishangaa	uliʃaᵑgaa
mlistahimil	mlistahimil
waombezi	waoᵐɓezi
wamempokea	wamempokea
mtunzi	mtuⁿzi
mtajionea	mtaʄionea
msitoe	msitoe
asijaribu	asiʄaɾiɓu
iliyosokotwa	ilijosokotwa
waliofunzwa	waliofuⁿzwa
kumwongoza	kumwoᵑgoza
mtumainie	mtumainie
waweze	waweze
zitumiwazo	zitumiwazo
kuifunga	kuifuᵑga
kukulaumu	kukulaumu
rrihi	ɾɾihi
mnasara	Mnasaɾa
waite	waite
ikamchemka	ikamtʃemka
shikamoto	ʃikamoto
kuanikia	kuanikia
apande	apaⁿɗe
dhikirisha	ɗhikiɾiʃa
faidisha	faiɗiʃa
kimango	kimaᵑgo
mamilioni	mamilioni
anarudi	anaɾuɗi
dali	ɗali
akamkabidhi	akamkaɓiɗhi
tukutumikie	tukutumikie
usimwogope	usimwoɠope
adhimisha	aɗhimiʃa
yanayotumika	janajotumika
aridhiwa	aɾiɗhiwa
kubandika	kuɓaⁿɗika
tetere	teteɾe
nesu	nesu
ng'onda	ŋoⁿɗa
umefafanuli	umefafanuli
waangukao	waaᵑgukao
kago	kaɠo
elekezwa	elekezwa
pingua	piᵑgua
churana	tʃuɾana
mwandikaji	mwaⁿɗikaʄi
kifukiwe	kifukiwe
pana	pana
inang'ara	inaŋaɾa
mawindoni	mawiⁿɗoni
vichusi	vitʃusi
tafauti	tafauti
mmeyazingati	mmejaziᵑgati
miwale	miwale
likajiondok	likaʄioⁿɗok
chomekeana	tʃomekeana
kumbini	kuᵐɓini
adilia	aɗilia
tukasikia	tukasikia
uvundivu	uvuⁿɗivu
waende	waeⁿɗe
usituletee	usituletee
wapiga	wapiɠa
kitawala	kitawala
likufikie	likufikie
ijapo	iʄapo
mikondo	mikoⁿɗo
zilizotangazwa	zilizotaᵑgazwa
wahindi	Wahiⁿɗi
kukionea	kukionea
ambilika	aᵐɓilika
idumea	Iɗumea
amenifungua	amenifuᵑgua
watafufuliwaj	watafufuliwaʄ
mishtuko	miʃtuko
tunapatanis	tunapatanis
kutojua	kutoʄua
fumkano	fumkano
yamesukwa	jamesukwa
ninawaamuru	ninawaamuɾu
wainjilisti	Waiⁿɗʒilisti
mivuo	mivuo
waliyaona	walijaona
matishari	matiʃaɾi
haitoki	haitoki
ailiana	ailiana
azmamu	azmamu
kupendezwa	kupeⁿɗezwa
wanaomkataa	wanaomkataa
watenzi	wateⁿzi
njano	ⁿɗʒano
zilizojengwa	zilizoʄeᵑgwa
kutaneni	kutaneni
kuangusha	kuaᵑguʃa
mwiwa	mwiwa
fikirani	fikiɾani
walipochukul	walipotʃukul
burutia	ɓuɾutia
ulafu	ulafu
mwunzi	mwuⁿzi
ukongwe	ukoᵑgwe
kupweteka	kupweteka
iliyonyoka	ilijoɲoka
chunjua	tʃuⁿɗʒua
ponoa	ponoa
vunganyiza	vuᵑgaɲiza
diro	ɗiɾo
vibarua	viɓaɾua
wamoabu	Wamoaɓu
analofanya	analofaɲa
hamjamfaidi	hamʄamfaiɗi
wahaka	wahaka
huharibika	huhaɾiɓika
awakamate	awakamate
kinega	kineɠa
vibeti	viɓeti
ninajiona	ninaʄiona
utawavunja	utawavuⁿɗʒa
kupimwa	kupimwa
usimwache	usimwatʃe
palestina	Palestina
barawai	ɓaɾawai
wanalala	wanalala
gereji	ɠeɾeʄi
sikitika	sikitika
nakuamuru	nakuamuɾu
wamerudi	wameɾuɗi
kuchana	kutʃana
utawategeme	utawateɠeme
pacha	patʃa
tera	teɾa
kuyeyushia	kujejuʃia
atokeapo	atokeapo
anayetia	anajetia
alijaribu	aliʄaɾiɓu
nitakufuata	nitakufuata
kumwagiza	kumwaɠiza
hawajazipata	hawaʄazipata
kwanga	kwaᵑga
mlikwisha	mlikwiʃa
chawa	tʃawa
tanashati	tanaʃati
isikikanayo	isikikanajo
foriti	foɾiti
utendaye	uteⁿɗaje
kupachika	kupatʃika
viinamizi	viinamizi
buka	ɓuka
wanapowataz	wanapowataz
kudhurika	kuɗhuɾika
alibwata	aliɓwata
vishina	viʃina
akimu	akimu
shughulika	ʃuɠhulika
kuwakumbush	kuwakuᵐɓuʃ
anayekabidhi	anajekaɓiɗhi
nimefedhehe	nimefeɗhehe
mratibu	mɾatiɓu
alijaza	aliʄaza
pitiwa	pitiwa
msaidieni	msaiɗieni
kaugubika	kauɠuɓika
alifanya	alifaɲa
alishinda	aliʃiⁿɗa
huyaona	hujaona
mishuko	miʃuko
uhusishwe	uhusiʃwe
wananidhara	wananiɗhaɾa
analewa	analewa
kweupe	kweupe
uliiumba	uliiuᵐɓa
honza	hoⁿza
mkafanya	mkafaɲa
utuvu	utuvu
laitwa	Laitwa
saketi	saketi
dhaifu	ɗhaifu
randaranda	ɾaⁿɗaɾaⁿɗa
alichelea	alitʃelea
awasamehe	awasamehe
nyang'anywa	ɲaŋaɲwa
padri	paɗɾi
wamwombapo	wamwoᵐɓapo
damkia	ɗamkia
kuwaletea	kuwaletea
tuliyoyaona	tulijojaona
uwambo	uwaᵐɓo
mtatazama	mtatazama
maruba	maɾuɓa
ubadilikaji	uɓaɗilikaʄi
hamkujua	hamkuʄua
ndogondogo	ⁿɗoɠoⁿɗoɠo
utakapokuwa	utakapokuwa
towe	towe
mtendaji	mteⁿɗaʄi
chinja	tʃiⁿɗʒa
kuulizwa	kuulizwa
wasikiaji	wasikiaʄi
utumie	utumie
babia	ɓaɓia
huwapenda	huwapeⁿɗa
wakicheka	wakitʃeka
kuterereka	kuteɾeɾeka
alinena	alinena
wakishughulia	wakiʃuɠhulia
wamefariki	wamefaɾiki
ujanjaujanj	uʄaⁿɗʒauʄaⁿɗʒ
mlinzi	mliⁿzi
tangua	taᵑgua
wazimawazim	wazimawazim
chukiwa	tʃukiwa
kuduku	kuɗuku
alivyopata	alivjopata
nimebakia	nimeɓakia
hutoboa	hutoɓoa
madadi	maɗaɗi
ahirika	ahiɾika
kabaili	kaɓaili
hurumia	huɾumia
alipokaribia	alipokaɾiɓia
kuzungushia	kuzuᵑguʃia
kaemewa	kaemewa
kumchangia	kumtʃaᵑgia
nilikuwa	nilikuwa
wazembe	wazeᵐɓe
wasiendelee	wasieⁿɗelee
nidhamu	niɗhamu
binua	ɓinua
mwiro	mwiɾo
katazo	katazo
sokwe	sokwe
kahari	Kahaɾi
atunukiwacho	atunukiwatʃo
tukaongea	tukaoᵑgea
misa	misa
huwapo	huwapo
pamamba	pamaᵐɓa
wazijue	waziʄue
anapoitwa	anapoitwa
seremala	seɾemala
vitenge	viteᵑge
hamnipokei	hamnipokei
huungwa	huuᵑgwa
uwazi	uwazi
iliyotota	ilijotota
nain	nain
ataketi	ataketi
mikakasi	mikakasi
kitakachoin	kitakatʃoin
chesongoch	Chesoᵑgotʃ
zinazosimam	zinazosimam
anayemwabud	anajemwaɓuɗ
akatifu	akatifu
doeana	ɗoeana
mgodi	mɠoɗi
wanaochukia	wanaotʃukia
nipata	nipata
naitrojeni	naitɾoʄeni
dhikiwa	ɗhikiwa
kiroma	Kiɾoma
kututumka	kututumka
atanoa	atanoa
ubahaluli	uɓahaluli
zilizokifunga	zilizokifuᵑga
walimpiga	walimpiɠa
kuhudhuria	kuhuɗhuɾia
limepasuka	limepasuka
shumndwa	ʃumⁿɗwa
anena	anena
watumizi	watumizi
kidurazi	kiɗuɾazi
uhakika	uhakika
niko	niko
wakosaji	wakosaʄi
nyinginezo	ɲiᵑginezo
linalosisim	linalosisim
msumbiji	Msuᵐɓiʄi
tawa	tawa
wakidoleni	wakiɗoleni
akamkamata	akamkamata
yakimrembuka	jakimɾeᵐɓuka
afande	afaⁿɗe
hujivuna	huʄivuna
kifaurongo	kifauɾoᵑgo
wamejitosa	wameʄitosa
kutotumika	kutotumika
nazaa	nazaa
mkiuzingati	mkiuziᵑgati
kokotevu	kokotevu
yapasa	japasa
zilizotengwa	zilizoteᵑgwa
kumkosea	kumkosea
kupambia	kupaᵐɓia
vilihafu	vilihafu
kubabaika	kuɓaɓaika
choshwa	tʃoʃwa
mirefu	miɾefu
minguri	miᵑguɾi
kukuambia	kukuaᵐɓia
kakoneni	Kakoneni
kusaidiwa	kusaiɗiwa
mbuaji	ᵐɓuaʄi
analazimika	analazimika
anayetega	anajeteɠa
michwa	mitʃwa
wote	wote
akawafundisha	akawafuⁿɗiʃa
pofuka	pofuka
vichea	vitʃea
shamari	ʃamaɾi
fashisti	faʃisti
stahiki	stahiki
tingi	tiᵑgi
isiyotawali	isijotawali
visima	visima
mabubu	maɓuɓu
kuchacha	kutʃatʃa
kombwa	koᵐɓwa
viperea	vipeɾea
ulalo	ulalo
atarudi	ataɾuɗi
vimefunikwa	vimefunikwa
alinionea	alinionea
chukwa	tʃukwa
changanulika	tʃaᵑganulika
kilinge	kiliᵑge
amewapenda	amewapeⁿɗa
utungo	utuᵑgo
nisha	niʃa
goto	ɠoto
lilipwe	lilipwe
pumziko	pumziko
sedka	seɗka
hesabika	hesaɓika
uvumapo	uvumapo
uliyosema	ulijosema
fanikiwa	fanikiwa
jengwa	ʄeᵑgwa
anayekamilis	anajekamilis
injini	iⁿɗʒini
sidiria	siɗiɾia
kusawajika	kusawaʄika
anayekuja	anajekuʄa
masista	masista
kusemea	kusemea
kuyamaizi	kujamaizi
wakamzika	wakamzika
kumwingia	kumwiᵑgia
dhihirishwa	ɗhihiɾiʃwa
inayoswaliw	inajoswaliw
kuyatekelez	kujatekelez
adaiwaye	aɗaiwaje
udamisi	uɗamisi
mkusanyiko	mkusaɲiko
hawatahitaj	hawatahitaʄ
bebwa	ɓeɓwa
sitaaibishw	sitaaiɓiʃw
kisimamleo	kisimamleo
makuukuu	makuukuu
amekatazwa	amekatazwa
mikombo	mikoᵐɓo
haukusahaul	haukusahaul
msijiwekee	msiʄiwekee
wanapenda	wanapeⁿɗa
kununua	kununua
sama	sama
ushuke	uʃuke
utaangamia	utaaᵑgamia
ameinuka	ameinuka
watakuchuku	watakutʃuku
uumikaji	uumikaʄi
ukiikanyaga	ukiikaɲaɠa
huonyeshwa	huoɲeʃwa
aliyepooza	alijepooza
chegechenge	tʃeɠetʃeᵑge
litumiwalo	litumiwalo
inayopelekwa	inajopelekwa
chekwachekwa	tʃekwatʃekwa
unajisema	unaʄisema
vilivyotambi	vilivjotaᵐɓi
kugeuza	kuɠeuza
banka	ɓanka
ikutha	Ikuθa
umeniacha	umeniatʃa
chemsha	tʃemʃa
akilalamika	akilalamika
aliyekamatwa	alijekamatwa
nitakuita	nitakuita
namua	namua
zimekauka	zimekauka
vilinda	viliⁿɗa
mmejaliwa	mmeʄaliwa
zinapopita	zinapopita
gawia	ɠawia
ng'oka	ŋoka
miluzi	miluzi
ambao	aᵐɓao
benuka	ɓenuka
kisra	kisɾa
wakaliona	wakaliona
aliniambia	aliniaᵐɓia
bogoa	ɓoɠoa
mmeponywa	mmepoɲwa
anaasa	anaasa
gonosokola	ɠonosokola
kukipeleka	kukipeleka
hayatatosha	hajatatoʃa
elemewa	elemewa
lililoinuliwa	lililoinuliwa
uru	uɾu
banulika	ɓanulika
eliudi	Eliuɗi
aambiwalo	aaᵐɓiwalo
sherehi	ʃeɾehi
yataandaliwa	jataaⁿɗaliwa
chunulia	tʃunulia
wakaliita	wakaliita
ninawaoneen	ninawaoneen
kalani	kalani
hadhiri	haɗhiɾi
utoao	utoao
kukawia	kukawia
tukusha	tukuʃa
zinazowakilish	zinazowakiliʃ
kivita	kivita
lililochanua	lililotʃanua
ukumbizi	ukuᵐɓizi
tafaraji	tafaɾaʄi
malezi	malezi
dungisha	ɗuᵑgiʃa
inde	iⁿɗe
kulala	kulala
gwechu	ɠwetʃu
mtaninyima	mtaniɲima
alipoitwa	alipoitwa
silaha	silaha
atapaharibu	atapahaɾiɓu
mbulu	ᵐɓulu
tuliyowaamb	tulijowaaᵐɓ
kuyevusha	kujevuʃa
jitosheleza	ʄitoʃeleza
aendavyo	aeⁿɗavjo
uniepushe	uniepuʃe
poopoo	poopoo
ataipata	ataipata
wanafahamu	wanafahamu
waliobaki	walioɓaki
mjarari	mʄaɾaɾi
jitenga	ʄiteᵑga
walitengene	waliteᵑgene
kususia	kususia
aliyevamiwa	alijevamiwa
uhandisi	uhaⁿɗisi
manemane	manemane
kuyakuta	kujakuta
mliyopaswa	mlijopaswa
kilipotiwa	kilipotiwa
unaokuwako	unaokuwako
mitego	miteɠo
asana	asana
alwaridi	alwaɾiɗi
mjingamjinga	mʄiᵑgamʄiᵑga
hazikumwisha	hazikumwiʃa
iliyomtakas	ilijomtakas
kinatayarish	kinatajaɾiʃ
popotoka	popotoka
akampiga	akampiɠa
laisamis	Laisamis
mronge	mɾoᵑge
wakatoboa	wakatoɓoa
hulazimika	hulazimika
gharikisho	ɠhaɾikiʃo
utakachomwom	utakatʃomwom
asamehewe	asamehewe
aliyowataya	alijowataja
uneni	uneni
nikiwapa	nikiwapa
amelelewa	amelelewa
kihunzi	kihuⁿzi
kibepari	kiɓepaɾi
uliotoka	uliotoka
mshahala	mʃahala
aliwabariki	aliwaɓaɾiki
mnyapara	mɲapaɾa
upesi	upesi
chagua	tʃaɠua
tumepewa	tumepewa
awajalieni	awaʄalieni
walivyowadh	walivjowaɗh
kielezi	kielezi
alikuwa	alikuwa
dondoleka	ɗoⁿɗoleka
anaibia	anaiɓia
uadhimishaj	uaɗhimiʃaʄ
inahusikana	inahusikana
fuzi	fuzi
kufuatwa	kufuatwa
kigombegombe	kiɠoᵐɓeɠoᵐɓe
serahangi	seɾahaᵑgi
msukwano	msukwano
ulioambatana	ulioaᵐɓatana
mafuta	mafuta
angata	aᵑgata
raruliwa	ɾaɾuliwa
kiumbe	kiuᵐɓe
uliyetumwa	ulijetumwa
haachi	haatʃi
jipya	ʄipja
yanisaidie	janisaiɗie
walimweka	walimweka
ifanywayo	ifaɲwajo
inti	inti
potewa	potewa
duazi	ɗuazi
dabirisha	ɗaɓiɾiʃa
bunuwasi	ɓunuwasi
usimtake	usimtake
tendeka	teⁿɗeka
jihadharini	ʄihaɗhaɾini
kumbe	kuᵐɓe
ukuaji	ukuaʄi
sindano	siⁿɗano
yanaonekana	janaonekana
kuvila	kuvila
jora	ʄoɾa
afanyaye	afaɲaje
mabalaa	maɓalaa
inayosemeka	inajosemeka
zingekoma	ziᵑgekoma
hamsini	hamsini
kilimilimi	kilimilimi
kwangu	kwaᵑgu
yakibanguliwa	jakiɓaᵑguliwa
parara	paɾaɾa
uzingo	uziᵑgo
kunyoka	kuɲoka
wanateswa	wanateswa
mtanato	mtanato
akifuatwa	akifuatwa
boso	ɓoso
amilisha	amiliʃa
gubiti	ɠuɓiti
kukumbia	kukuᵐɓia
tarafu	taɾafu
fikia	fikia
kujikinga	kuʄikiᵑga
vipatikane	vipatikane
asimwambie	asimwaᵐɓie
ngawira	ᵑgawiɾa
akawazungumzia	akawazuᵑgumzia
fikichika	fikitʃika
apele	Apele
bunifu	ɓunifu
alipoufikia	alipoufikia
wanawachuki	wanawatʃuki
kikristo	kikɾisto
kianzio	kiaⁿzio
ijulikanayo	iʄulikanajo
muujiza	muuʄiza
kutegea	kuteɠea
ulaiti	ulaiti
wachongezi	watʃoᵑgezi
nitakayembusu	nitakajeᵐɓusu
usengenyaji	useᵑgeɲaʄi
shawali	ʃawali
kutobolewa	kutoɓolewa
kutokazika	kutokazika
iliyochorwa	ilijotʃoɾwa
umepishana	umepiʃana
wakapokea	wakapokea
kusulibiwa	kusuliɓiwa
luja	luʄa
kukunjua	kukuⁿɗʒua
mnaa	mnaa
mfuachuma	mfuatʃuma
kumtia	kumtia
wanapotimiz	wanapotimiz
inaponda	inapoⁿɗa
matengenezo	mateᵑgenezo
majoka	maʄoka
aliyesema	alijesema
ukamuandiki	ukamuaⁿɗiki
hakunywa	hakuɲwa
dumisha	ɗumiʃa
anachungulia	anatʃuᵑgulia
zinijie	ziniʄie
sharifu	ʃaɾifu
wamebadilish	wameɓaɗiliʃ
kuvutana	kuvutana
mkiwakosesh	mkiwakoseʃ
yakionekana	jakionekana
niliyoisiki	nilijoisiki
mwongoleo	mwoᵑgoleo
nusurika	nusuɾika
gusu	ɠusu
tulifurahi	tulifuɾahi
lingalikuwa	liᵑgalikuwa
baiti	ɓaiti
kilichoshikana	kilitʃoʃikana
utamvua	utaᵐvua
anzwa	aⁿzwa
mmemtumainia	mmemtumainia
ukakate	ukakate
kiwasaidie	kiwasaiɗie
kumpasha	kumpaʃa
utandike	utaⁿɗike
kumtamani	kumtamani
tafaruji	tafaɾuʄi
havikuchang	havikutʃaᵑg
jingine	ʄiᵑgine
mashamba	maʃaᵐɓa
mkurufunzi	mkuɾufuⁿzi
unichunguze	unitʃuᵑguze
umekata	umekata
nimepatikana	nimepatikana
zikifika	zikifika
kifufumkunye	kifufumkuɲe
kutoshindwa	kutoʃiⁿɗwa
tunaleta	tunaleta
kipemba	Kipeᵐɓa
vimekatazwa	vimekatazwa
ukimsikiliz	ukimsikiliz
taamali	taamali
yataletwa	jataletwa
zilizoshikana	zilizoʃikana
zumari	zumaɾi
akawaleta	akawaleta
mikuku	mikuku
tunakushuku	tunakuʃuku
bure	ɓuɾe
sekretari	sekɾetaɾi
mruzi	mɾuzi
ungoya	uᵑgoja
kuwauliza	kuwauliza
imetoweka	imetoweka
jitanguliza	ʄitaᵑguliza
hunyauka	huɲauka
akida	akiɗa
vitamini	vitamini
nikimwambia	nikimwaᵐɓia
iondolewe	ioⁿɗolewe
kugongwa	kuɠoᵑgwa
humwinua	humwinua
kutojimudu	kutoʄimuɗu
maasi	maasi
yasiyokamilish	jasijokamiliʃ
yanayozungumzw	janajozuᵑgumzw
michai	mitʃai
nimedhoofik	nimeɗhoofik
vikausha	vikauʃa
wakaziteka	wakaziteka
kuogopa	kuoɠopa
torakoniti	Toɾakoniti
kisimamo	kisimamo
anawatangulia	anawataᵑgulia
hulipokea	hulipokea
humumu	humumu
kujiaibisha	kuʄiaiɓiʃa
atakayevumili	atakajevumili
kinachometamet	kinatʃometamet
watanshati	watanʃati
unaposali	unaposali
mepesi	mepesi
kifunguakinywa	kifuᵑguakiɲwa
ghairi	ɠhaiɾi
mapatano	mapatano
inakubidi	inakuɓiɗi
unachokitaka	unatʃokitaka
mnapatwa	mnapatwa
kingine	kiᵑgine
bondia	ɓoⁿɗia
lusia	Lusia
jirakibisha	ʄiɾakiɓiʃa
asianguke	asiaᵑguke
mpigo	mpiɠo
fowadi	fowaɗi
motomoto	motomoto
wanaachana	wanaatʃana
ubuge	uɓuɠe
kinachotumaini	kinatʃotumaini
wajengaji	waʄeᵑgaʄi
asipoulinda	asipouliⁿɗa
mkiuambia	mkiuaᵐɓia
wanavyofiki	wanavjofiki
aliyetajwa	alijetaʄwa
bwiko	ɓwiko
chanyatwa	tʃaɲatwa
kokonya	kokoɲa
utakachokata	utakatʃokata
zinagoma	zinaɠoma
michanganyiko	mitʃaᵑgaɲiko
inavyoshika	inavjoʃika
wananipinga	wananipiᵑga
amtumikie	amtumikie
batela	ɓatela
mwanaisimu	mwanaisimu
angetaka	aᵑgetaka
vihiga	Vihiɠa
dhumna	ɗhumna
bandu	ɓaⁿɗu
mavuno	mavuno
pigapicha	piɠapitʃa
kinachonadiwa	kinatʃonaɗiwa
viulizi	viulizi
kuhamisha	kuhamiʃa
mabehewa	maɓehewa
kutoleta	kutoleta
bango	ɓaᵑgo
metali	metali
amati	amati
ziki	ziki
kugombana	kuɠoᵐɓana
linakukosesh	linakukoseʃ
litakuwa	litakuwa
kibogoshi	kiɓoɠoʃi
walipomsikia	walipomsikia
tafadhalisha	tafaɗhaliʃa
amewafunga	amewafuᵑga
alikokuwa	alikokuwa
gura	ɠuɾa
wanaowaseng	wanaowaseᵑg
waweke	waweke
akifa	akifa
halikujaa	halikuʄaa
chanda	tʃaⁿɗa
pokewa	pokewa
baradhuli	ɓaɾaɗhuli
yose	Yose
ajabu	aʄaɓu
kuwinda	kuwiⁿɗa
wabumbwisudi	Waɓuᵐɓwisuɗi
nisishiriki	nisiʃiɾiki
galagala	ɠalaɠala
hujaa	huʄaa
ulimiminika	ulimiminika
vikafa	vikafa
disisha	ɗisiʃa
gego	ɠeɠo
mioshi	mioʃi
nyalindele	Njaliⁿɗele
watakaokuya	watakaokuja
twawabariki	twawaɓaɾiki
wanangojea	wanaᵑgoʄea
shukuriwa	ʃukuɾiwa
papatika	papatika
wangafu	waᵑgafu
yakiporomoka	jakipoɾomoka
nikiitumia	nikiitumia
talibisi	taliɓisi
uwakilishaji	uwakiliʃaʄi
inayojitenga	inajoʄiteᵑga
vibyongo	viɓjoᵑgo
wameupokea	wameupokea
najiweka	naʄiweka
kuyaokoa	kujaokoa
akamwite	akamwite
unywaji	uɲwaʄi
utapanda	utapaⁿɗa
upogoupogo	upoɠoupoɠo
alivyowafanya	alivjowafaɲa
bihika	ɓihika
sentafowadi	sentafowaɗi
aliyafukuza	alijafukuza
yanayoukebehi	janajoukeɓehi
umesikia	umesikia
mikwachuro	mikwatʃuɾo
ukifanya	ukifaɲa
kuuanzisha	kuuaⁿziʃa
uwanja	uwaⁿɗʒa
tutatajirika	tutataʄiɾika
atashushwa	ataʃuʃwa
kujitawala	kuʄitawala
sikuwajua	sikuwaʄua
karua	kaɾua
imeuondoa	imeuoⁿɗoa
mnayeowabudu	mnajeowaɓuɗu
liungue	liuᵑgue
kesi	kesi
haijatekete	haiʄatekete
