guztientzako	ɡus̻tˈient͡s̻akˌo
tonua	tonˈuˌa
antzeztua	ant͡s̻ˈes̻tuˌa
Bakoitzak	bakˈo͡ɪt͡s̻ˌak
Generalitateak	ɡenˈeɾalitateˌak
estandar	es̺tˈandˌaɾ
bila	bˈiʎa
umoretsua	umˈoɾet͡s̺uˌa
Teologia	teˈoloɣiˌa
Aldarrikapen	alðˈarikapˌen
Kalkutako	kalkˈutakˌo
betez	betˈes̻
ehunen	eˈunˌen
monumentu	monˈumentˌu
lotan	lotˈan
estiloarekin	es̺tˈiʎoaɾekˌin
beltzaren	belt͡s̻ˈaɾˌen
Zortzigarren	s̻oɾt͡s̻ˈiɣarˌen
Musikagile	mus̺ˈikaɣiʎˌe
Hots	ˈot͡s̺
Kirol	kiɾˈol
haundiagoa	a͡ʊndˈiaɣoˌa
and	ˈand
Desberdintasun	des̺βˈeɾðintas̺ˌun
suziri	s̺us̻ˈiɾˌi
gailurra	ɡa͡ɪʎˈurˌa
desplazamendua	des̺plˈas̻amenduˌa
kubatar	kuβˈatˌaɾ
kroniko	kɾonˈikˌo
anplitudea	anplˈituðeˌa
tribu	tɾˈiβu
enbor	enbˈoɾ
eguzkitsuak	eɣˈus̻kit͡s̺uˌak
gaztetxe	ɡas̻tˈet͡ʃˌe
akastun	akˈas̺tˌun
kapera	kapˈeɾˌa
AEBetan	ˌaˈeβetˈan
baietz	ba͡ɪˈet͡s̻
militanteen	miʎˈitanteˌen
biharamunean	biˈaɾamuneˌan
balkoiak	balkˈo͡ɪˌak
agindu	aɣˈindˌu
Mediterraneo	meðˈiteraneˌo
prozesatu	pɾos̻ˈes̺atˌu
supernobak	s̺upˈeɾnoβˌak
Zelaia	s̻elˈa͡ɪˌa
gorena	ɡoɾˈenˌa
kirolari	kiɾˈolaɾˌi
ugaritan	uɣˈaɾitˌan
ingurutan	inɡˈuɾutˌan
hirian	iɾˈiˌan
aktiboki	aktˈiβokˌi
portuen	poɾtˈuˌen
Country	koˈuntɾjj
liburuak	liβˈuɾuˌak
dantzetan	dant͡s̻ˈetˌan
konbinazio	konbˈiɲas̻iˌo
Gurutzearen	ɡuɾˈut͡s̻eaɾˌen
proiektatu	pɾo͡ɪˈektatˌu
Buruzagi	buɾˈus̻aɣˌi
distantzia	dis̺tˈant͡s̻iˌa
Ixa	ˈiʃa
Aliatuen	alˈiatuˌen
liberala	liβˈeɾalˌa
metil	metˈil
aproposa	apɾˈopos̺ˌa
antigorputzak	antˈiɣoɾput͡s̻ˌak
ukitu	ukˈitˌu
gazteagoa	ɡas̻tˈeaɣoˌa
txartelaren	t͡ʃaɾtˈelaɾˌen
galdezka	ɡalðˈes̻kˌa
errektorea	erˈektoɾeˌa
Percy	pˈeɾkjj
kai	kˈa͡ɪ
Lehenbiziko	leˈenbis̻ikˌo
menditsua	mendˈit͡s̺uˌa
Diskoak	dis̺kˈoˌak
ondoan	ondˈoˌan
muturrean	mutˈureˌan
baliatuz	balˈiatˌus̻
Egileak	eɣˈiʎeˌak
uxatu	uʃˈatˌu
gaixo	ɡˈa͡ɪʃo
egoerarekin	eɣˈoeɾaɾekˌin
apainketa	apˈa͡ɪnketˌa
ezkata	es̻kˈatˌa
Erlatibitate	eɾlˈatiβitatˌe
itsasoak	it͡s̺ˈas̺oˌak
kanalera	kanˈaleɾˌa
III	iˈiˌi
elektroniko	elˈektɾonikˌo
bistan	bis̺tˈan
duguna	duɣˈunˌa
Joanes	ɟoˈanˌes̺
goiburua	ɡo͡ɪβˈuɾuˌa
mendekotasuna	mendˈekotas̺unˌa
prozesatzeko	pɾos̻ˈes̺at͡s̻ekˌo
XV	ˌiʃaˈuβe
Kontserbatorioko	kont͡s̺ˈeɾβatoɾiokˌo
baliabideen	balˈiaβiðeˌen
aurreikustea	a͡ʊrˈe͡ɪkus̺teˌa
neuronen	ne͡ʊɾˈonˌen
Bestela	bes̺tˈelˌa
erremate	erˈematˌe
Titulu	titˈulˌu
poliziako	polˈis̻iakˌo
eskulan	es̺kˈulˌan
medikuek	meðˈikuˌek
edizioko	eðˈis̻iokˌo
Sortzaileak	s̺oɾt͡s̻ˈa͡ɪʎeˌak
leherkari	leˈeɾkaɾˌi
Itsasbehera	it͡s̺ˈas̺βeeɾˌa
alkoholdun	alkˈoolðˌun
Funtzio	funt͡s̻ˈiˌo
Ezaugarri	es̻ˈa͡ʊɣarˌi
parasitoak	paɾˈas̺itoˌak
ongien	onɡˈiˌen
substantziak	s̺ubs̺tˈant͡s̻iˌak
kanta	kˈanta
Minbiziaren	minbˈis̻iaɾˌen
lurrazpiko	lurˈas̻pikˌo
Arteen	aɾtˈeˌen
folklore	folklˈoɾˌe
Morgan	moɾɣˈan
katedrala	katˈeðɾalˌa
erabakiorra	eɾˈaβakiorˌa
beroak	beɾˈoˌak
britaniarra	bɾitˈaniarˌa
indartsuak	indˈaɾt͡s̺uˌak
batzarrak	bat͡s̻ˈarˌak
Batua	batˈuˌa
AEBetara	ˌaˈeβetˈaɾˌa
zentralizatu	s̻entɾˈalis̻atˌu
webgunean	uˈebɣuneˌan
miraria	miɾˈaɾiˌa
egunaren	eɣˈunaɾˌen
apurtu	apˈuɾtˌu
Baten	batˈen
erakustea	eɾˈakus̺teˌa
zertarako	s̻eɾtˈaɾakˌo
Santurtziko	s̺antˈuɾt͡s̻ikˌo
jatorriaren	ɟatˈoriaɾˌen
putzuaren	put͡s̻ˈuaɾˌen
Logroñoko	loɣɾˈoɲokˌo
irakaspenak	iɾˈakas̺penˌak
kideak	kiðˈeˌak
senidea	s̺enˈiðeˌa
librean	liβɾˈeˌan
historiak	is̺tˈoɾiˌak
buruturiko	buɾˈutuɾikˌo
Nazioarteko	nas̻ˈioaɾtekˌo
mugak	muɣˈak
Gutxi	ɡˈut͡ʃi
inpaktu	inpˈaktˌu
Creative	kɾeˈatiβˌe
Rovaniemi	roβˈaniemˌi
Marokok	maɾˈokˌok
printzesa	pɾint͡s̻ˈes̺ˌa
buruen	buɾˈuˌen
sintagmak	s̺intˈaɡmˌak
dezan	des̻ˈan
jaioterriko	ɟa͡ɪˈoterikˌo
ogibide	oɣˈiβiðˌe
pilotariak	piʎˈotaɾiˌak
klubaren	kluβˈaɾˌen
Sindikatu	s̺indˈikatˌu
zitzaiolarik	s̻it͡s̻ˈa͡ɪolaɾˌik
Itunak	itˈunˌak
magia	maɣˈiˌa
Palermo	palˈeɾmˌo
errusiarrek	erˈus̺iarˌek
jotzera	ɟot͡s̻ˈeɾˌa
Suediara	s̺uˈeðiaɾˌa
parlamentuaren	paɾlˈamentuaɾˌen
Inteligentzia	intˈeliɣent͡s̻iˌa
elektrikoko	elˈektɾikokˌo
sentiarazten	s̺entˈiaɾas̻tˌen
amateurra	amˈate͡ʊrˌa
bisitan	bis̺ˈitˌan
seguraski	s̺eɣˈuɾas̺kˌi
txinatar	t͡ʃiɲˈatˌaɾ
lekukotasun	lekˈukotas̺ˌun
ziotelarik	s̻iˈotelaɾˌik
nozioa	nos̻ˈioˌa
lerroetan	lerˈoetˌan
saritzeko	s̺aɾˈit͡s̻ekˌo
altxamendu	alt͡ʃˈamendˌu
binaka	biɲˈakˌa
neskatoak	nes̺kˈatoˌak
taldekideei	talðˈekiðeˌe͡ɪ
sinboloen	s̺inbˈoloˌen
Tribu	tɾˈiβu
kooperatiba	koˈopeɾatiβˌa
Isaac	is̺ˈaˌak
Izenaren	is̻ˈenaɾˌen
Txistulari	t͡ʃis̺tˈulaɾˌi
segundoko	s̺eɣˈundokˌo
Kolon	kolˈon
IZ	ˈis̻
Australiara	a͡ʊs̺tɾˈaliaɾˌa
hirigunean	iɾˈiɣuneˌan
eraginkortasunez	eɾˈaɣinkoɾtas̺unˌes̻
Zuntz	s̻ˈunt͡s̻
betekizun	betˈekis̻ˌun
udalerrietako	uðˈalerietakˌo
Interes	intˈeɾˌes̺
tenientea	tenˈienteˌa
ikusiko	ikˈus̺ikˌo
irudizko	iɾˈuðis̻kˌo
zeruko	s̻eɾˈukˌo
Sestaoko	s̺es̺tˈaokˌo
Antzokia	ant͡s̻ˈokiˌa
gaiez	ɡa͡ɪˈes̻
epaitegia	epˈa͡ɪteɣiˌa
dolarreko	dolˈarekˌo
estatuetan	es̺tˈatuetˌan
margoak	maɾɣˈoˌak
euskarara	e͡ʊs̺kˈaɾaɾˌa
izateaz	is̻ˈateˌas̻
Kaleak	kalˈeˌak
tenpluen	tenplˈuˌen
kurbatuak	kuɾβˈatuˌak
trainerurik	tɾa͡ɪɲˈeɾuɾˌik
Espainiarrek	es̺pˈa͡ɪɲiarˌek
jainkosak	ɟa͡ɪnkˈos̺ˌak
ugaztun	uɣˈas̻tˌun
zoruan	s̻oɾˈuˌan
Zesarren	s̻es̺ˈarˌen
botatzeko	botˈat͡s̻ekˌo
Identitate	iðˈentitatˌe
moldura	molðˈuɾˌa
isiltasun	is̺ˈiltas̺ˌun
Badirudi	baðˈiɾuðˌi
jo	ɟˈo
Administrazioaren	admˈinis̺tɾas̻ioaɾˌen
oinetako	o͡ɪɲˈetakˌo
Ez	ˈes̻
Child	t͡ʃˈild
ezjakintasunaren	es̻ɟˈakintas̺unaɾˌen
baserritarrek	bas̺ˈeritarˌek
Eraztunaren	eɾˈas̻tunaɾˌen
salatua	s̺alˈatuˌa
akta	ˈakta
gudaroste	ɡuðˈaɾos̺tˌe
horiek	ˈoɾiˌek
hartzaile	aɾt͡s̻ˈa͡ɪʎˌe
Alexandra	alˈeʃandɾˌa
fisiko	fis̺ˈikˌo
nabariena	naβˈaɾienˌa
nagusirik	naɣˈus̺iɾˌik
iritzi	iɾˈit͡s̻ˌi
ofizialtasuna	ofˈis̻ialtas̺unˌa
selekzioan	s̺elˈeks̻ioˌan
zonaldearen	s̻onˈalðeaɾˌen
ilunago	iʎˈunaɣˌo
ospetsuenetako	os̺pˈet͡s̺uenetakˌo
dokumentuaren	dokˈumentuaɾˌen
elkartasuna	elkˈaɾtas̺unˌa
erritual	erˈituˌal
Perun	peɾˈun
abelburu	aβˈelβuɾˌu
hazteko	as̻tˈekˌo
triangelua	tɾiˈanɡeluˌa
Amaitu	amˈa͡ɪtˌu
Lasarte	las̺ˈaɾtˌe
berde	bˈeɾðe
horretarako	orˈetaɾakˌo
erasoen	eɾˈas̺oˌen
lizentzien	lis̻ˈent͡s̻iˌen
Hobekuntza	oβˈekunt͡s̻ˌa
immunitatea	immˈunitateˌa
Ingurune	inɡˈuɾunˌe
potentzialak	potˈent͡s̻ialˌak
sagan	s̺aɣˈan
bainu	bˈa͡ɪɲu
jakinarazi	ɟakˈiɲaɾas̻ˌi
Emmanuel	emmˈanuˌel
lagundutako	laɣˈundutakˌo
tripulazioak	tɾipˈulas̻ioˌak
gradukoa	ɡɾaðˈukoˌa
bihurtua	biˈuɾtuˌa
lapurtzeko	lapˈuɾt͡s̻ekˌo
esanda	es̺ˈandˌa
guardia	ɡuˈaɾðiˌa
fisikoaren	fis̺ˈikoaɾˌen
ibiliz	iβˈiʎˌis̻
Ontzia	ont͡s̻ˈiˌa
kolonoek	kolˈonoˌek
Lizarran	lis̻ˈarˌan
alaba	alˈaβˌa
identifikatua	iðˈentifikatuˌa
kalitateari	kalˈitateaɾˌi
ahalegin	aˈaleɣˌin
agintaldiaren	aɣˈintalðiaɾˌen
prozesuan	pɾos̻ˈes̺uˌan
inportazioen	inpˈoɾtas̻ioˌen
izenarekin	is̻ˈenaɾekˌin
erreaktiboa	erˈeaktiβoˌa
izena	is̻ˈenˌa
Wayne	uˈajjɲˌe
hastapenetan	as̺tˈapenetˌan
Bestalde	bes̺tˈalðˌe
Kamera	kamˈeɾˌa
tronutik	tɾonˈutˌik
pastel	pas̺tˈel
egina	eɣˈiɲˌa
Una	ˈuna
zigortua	s̻iɣˈoɾtuˌa
ikasleei	ikˈas̺leˌe͡ɪ
erregistratu	erˈeɣis̺tɾatˌu
beroko	beɾˈokˌo
prebenitzeko	pɾeβˈenit͡s̻ekˌo
zuenari	s̻uˈenaɾˌi
batzutan	bat͡s̻ˈutˌan
Errepublika	erˈepuβlikˌa
bortizkeria	boɾtˈis̻keɾiˌa
krisian	kɾis̺ˈiˌan
neurona	ne͡ʊɾˈonˌa
ertzetik	eɾt͡s̻ˈetˌik
proposatuz	pɾopˈos̺atˌus̻
Guillermo	ɡuˈiʎeɾmˌo
luzetarako	lus̻ˈetaɾakˌo
taldearentzat	talðˈeaɾent͡s̻ˌat
erabakita	eɾˈaβakitˌa
aintzirara	a͡ɪnt͡s̻ˈiɾaɾˌa
langilek	lanɡˈiʎˌek
Nekazaritzako	nekˈas̻aɾit͡s̻akˌo
deitura	de͡ɪtˈuɾˌa
arroken	arˈokˌen
Days	dˈajjs̺
eskaria	es̺kˈaɾiˌa
Eddie	eɟˈiˌe
antzinakoa	ant͡s̻ˈiɲakoˌa
jarraibideak	ɟarˈa͡ɪβiðeˌak
abenduan	aβˈenduˌan
aitonen	a͡ɪtˈonˌen
urtegi	uɾtˈeɣˌi
onenean	onˈeneˌan
Lapurdi	lapˈuɾðˌi
berrogeitamar	berˈoɣe͡ɪtamˌaɾ
ziurtagiriak	s̻iˈuɾtaɣiɾiˌak
arnas	aɾnˈas̺
eskolako	es̺kˈolakˌo
txiro	t͡ʃˈiɾo
dakiena	dakˈienˌa
Peace	peˈaθˌe
Lengua	lenɡˈuˌa
menperatu	menpˈeɾatˌu
Baditu	baðˈitˌu
Sozialista	s̺os̻ˈialis̺tˌa
bizilagun	bis̻ˈiʎaɣˌun
kanpamentu	kanpˈamentˌu
Japoniaren	ɟapˈoniaɾˌen
arloko	aɾlˈokˌo
esnearen	es̺nˈeaɾˌen
Nazionaleko	nas̻ˈionalekˌo
lanarengatik	lanˈaɾenɡatˌik
sotoan	s̺otˈoˌan
batetik	batˈetˌik
babestuko	baβˈes̺tukˌo
Oxfordeko	oʃfˈoɾðekˌo
banan	banˈan
multzoko	mult͡s̻ˈokˌo
Buenos	buˈenˌos̺
generalak	ɡenˈeɾalˌak
berpiztea	beɾpˈis̻teˌa
pribatuak	pɾiβˈatuˌak
nulua	nulˈuˌa
Eskoziaren	es̺kˈos̻iaɾˌen
garaiak	ɡaɾˈa͡ɪˌak
Anak	anˌak
kokatutako	kokˈatutakˌo
suntsitzea	s̺unt͡s̺ˈit͡s̻eˌa
hasierakoa	as̺ˈieɾakoˌa
gertatuko	ɡeɾtˈatukˌo
g	ɡˈe
zuzenean	s̻us̻ˈeneˌan
Némirovskyk	nˈemiɾˌobs̺kjjk
gauzarik	ɡa͡ʊs̻ˈaɾˌik
neurriaren	ne͡ʊrˈiaɾˌen
From	fɾˈom
prostituta	pɾos̺tˈitutˌa
exotiko	eʃˈotikˌo
lodiz	loðˈis̻
Internacional	intˈeɾnaθionˌal
Gamma	ɡˈamma
ezagunena	es̻ˈaɣunenˌa
biziraupena	bis̻ˈiɾa͡ʊpenˌa
egiterakoan	eɣˈiteɾakoˌan
garaieran	ɡaɾˈa͡ɪeɾˌan
Dublin	duβlˈin
erromeria	erˈomeɾiˌa
eskuinerantz	es̺kˈuiɲeɾˌant͡s̻
ziurtasunez	s̻iˈuɾtas̺unˌes̻
Hilbert	ilβˈeɾt
bederatzi	beðˈeɾat͡s̻ˌi
erretratuen	erˈetɾatuˌen
galanta	ɡalˈantˌa
gama	ɡˈama
France	fɾˈanθe
bitarra	bitˈarˌa
Watsonek	uˈat͡s̺onˌek
oposizioko	opˈos̺is̻iokˌo
Auzitegia	a͡ʊs̻ˈiteɣiˌa
unibertsitatea	unˈiβeɾt͡s̺itateˌa
ikertu	ikˈeɾtˌu
telesail	telˈes̺ˌa͡ɪl
sentitu	s̺entˈitˌu
presidenteak	pɾes̺ˈiðenteˌak
garaituak	ɡaɾˈa͡ɪtuˌak
Odinek	oðˈiɲˌek
ikastetxean	ikˈas̺tet͡ʃeˌan
Vizcaya	bis̻kˈajjˌa
neure	nˈe͡ʊɾe
ordoki	oɾðˈokˌi
Nukleo	nuklˈeˌo
zubitik	s̻uβˈitˌik
ibilgailuaren	iβˈilɣa͡ɪʎuaɾˌen
harrituta	arˈitutˌa
edizioak	eðˈis̻ioˌak
Basilio	bas̺ˈiʎiˌo
zezen	s̻es̻ˈen
suediarrak	s̺uˈeðiarˌak
Himilkonek	imˈilkonˌek
jabeei	ɟaβˈeˌe͡ɪ
estropadan	es̺tɾˈopaðˌan
erdietsi	eɾðˈiet͡s̺ˌi
ditzakete	dit͡s̻ˈaketˌe
ezaguera	es̻ˈaɣueɾˌa
legediaren	leɣˈeðiaɾˌen
Ramón	ramˈon
gosearen	ɡos̺ˈeaɾˌen
konpainia	konpˈa͡ɪɲiˌa
kontrajartzen	kontɾˈajaɾt͡s̻ˌen
della	dˈeʎa
zegokiona	s̻eɣˈokionˌa
Pinotxo	piɲˈot͡ʃˌo
txikiena	t͡ʃikˈienˌa
Aldeko	alðˈekˌo
gudariak	ɡuðˈaɾiˌak
inorekin	iɲˈoɾekˌin
nazionalistek	nas̻ˈionalis̺tˌek
pigmentuak	piɡmˈentuˌak
sinpleak	s̺inplˈeˌak
Garaipen	ɡaɾˈa͡ɪpˌen
Ybarra	jjβˈara
Franz	fɾˈans̻
telesaileko	telˈes̺a͡ɪʎekˌo
kontzertuetan	kont͡s̻ˈeɾtuetˌan
apaizaren	apˈa͡ɪs̻aɾˌen
afera	afˈeɾˌa
Andres	andɾˈes̺
Independentzia	indˈependent͡s̻iˌa
Plazaren	plas̻ˈaɾˌen
gariaren	ɡaɾˈiaɾˌen
Coruñako	koɾˈuɲakˌo
gauzatzeko	ɡa͡ʊs̻ˈat͡s̻ekˌo
Platon	platˈon
partidak	paɾtˈiðˌak
aurkezle	a͡ʊɾkˈes̻lˌe
solairuak	s̺olˈa͡ɪɾuˌak
atean	atˈeˌan
belaunaldiaren	belˈa͡ʊnalðiaɾˌen
baserrira	bas̺ˈeriɾˌa
boterearen	botˈeɾeaɾˌen
Aita	ˈa͡ɪta
Taldean	talðˈeˌan
Un	ˈun
jarduerak	ɟaɾðˈueɾˌak
bilgune	bilɣˈunˌe
eskalada	es̺kˈalaðˌa
disolbaturik	dis̺ˈolβatuɾˌik
González	ɡonθˈaleθ
erritmoak	erˈitmoˌak
arimak	aɾˈimˌak
Ahotsa	aˈot͡s̺ˌa
desberdinetara	des̺βˈeɾðiɲetaɾˌa
tratamenduan	tɾatˈamenduˌan
heziketaz	es̻ˈiketˌas̻
Ezkerra	es̻kˈerˌa
itsasteko	it͡s̺ˈas̺tekˌo
gertatzea	ɡeɾtˈat͡s̻eˌa
oholtza	oˈolt͡s̻ˌa
Lehiaketan	le͡ɪˈaketˌan
kokaleku	kokˈalekˌu
gurtu	ɡˈuɾtu
saguak	s̺aɣˈuˌak
Jacksonen	ɟakks̺ˈonˌen
leporatuta	lepˈoɾatutˌa
hizkuntzetara	is̻kˈunt͡s̻etaɾˌa
pentsamenduak	pent͡s̺ˈamenduˌak
Betiko	betˈikˌo
deribatua	deɾˈiβatuˌa
negoziazioak	neɣˈos̻ias̻ioˌak
mendiak	mendˈiˌak
proba	pɾˈoβa
Unamunoren	unˈamunoɾˌen
basurdeak	bas̺ˈuɾðeˌak
zentraleko	s̻entɾˈalekˌo
Plutarko	plutˈaɾkˌo
azala	as̻ˈalˌa
Aires	a͡ɪɾˈes̺
trakzioa	tɾaks̻ˈioˌa
birikak	biɾˈikˌak
itzultzailea	it͡s̻ˈult͡s̻a͡ɪʎeˌa
hauengatik	ˈa͡ʊenɡˌatik
dena	dˈena
hiribildua	iɾˈiβilðuˌa
ibilgailua	iβˈilɣa͡ɪʎuˌa
esperientziak	es̺pˈeɾient͡s̻iˌak
Horrela	orˈelˌa
Bizkaiko	bis̻kˈa͡ɪkˌo
paradoxa	paɾˈaðoʃˌa
parkeak	paɾkˈeˌak
bizitzara	bis̻ˈit͡s̻aɾˌa
igorritako	iɣˈoritakˌo
azkena	as̻kˈenˌa
fundatzailearen	fundˈat͡s̻a͡ɪʎeaɾˌen
ahulago	aˈulaɣˌo
oinarriko	o͡ɪɲˈarikˌo
erasoaren	eɾˈas̺oaɾˌen
piztuko	pis̻tˈukˌo
zuzendurik	s̻us̻ˈenduɾˌik
Trinidad	tɾiɲˈiðˌad
zuelako	s̻uˈelakˌo
errepublika	erˈepuβlikˌa
usten	us̺tˈen
neguan	neɣˈuˌan
Gianni	ɡiˈannˌi
argibideak	aɾɣˈiβiðeˌak
Isidoro	is̺ˈiðoɾˌo
handitu	andˈitˌu
Abertzaleak	aβˈeɾt͡s̻aleˌak
egoitza	eɣˈo͡ɪt͡s̻ˌa
eraztunen	eɾˈas̻tunˌen
eszenan	es̺s̻ˈenˌan
militanteak	miʎˈitanteˌak
Robot	roβˈot
erabakitzea	eɾˈaβakit͡s̻eˌa
lurraldeari	lurˈalðeaɾˌi
kritiko	kɾitˈikˌo
maitatu	ma͡ɪtˈatˌu
deribazio	deɾˈiβas̻iˌo
krisiak	kɾis̺ˈiˌak
diotela	diˈotelˌa
klaseko	klas̺ˈekˌo
Marina	maɾˈiɲˌa
artxiboak	aɾt͡ʃˈiβoˌak
bidaiariei	biðˈa͡ɪaɾiˌe͡ɪ
prozesuaren	pɾos̻ˈes̺uaɾˌen
aurrizki	a͡ʊrˈis̻kˌi
bezpera	bes̻pˈeɾˌa
olinpiar	olˈinpiˌaɾ
Auzo	ˈa͡ʊs̻o
Kissen	kis̺s̺ˈen
Arturo	aɾtˈuɾˌo
irekita	iɾˈekitˌa
Land	lˈand
Hannah	ˈanna
Britania	bɾitˈaniˌa
Ministro	minˈis̺tɾˌo
while	uˈiʎˌe
hiztegi	is̻tˈeɣˌi
senataria	s̺enˈataɾiˌa
Edwards	eðˈuˌaɾds̺
britainiarra	bɾitˈa͡ɪɲiarˌa
joeraren	ɟoˈeɾaɾˌen
orori	oɾˈoɾˌi
muinoetan	muˈiɲoetˌan
Suitzara	s̺uˈit͡s̻aɾˌa
Catherinek	katˈeɾiɲˌek
espiritua	es̺pˈiɾituˌa
ekialdea	ekˈialðeˌa
ordezkaritzaren	oɾðˈes̻kaɾit͡s̻aɾˌen
argiarekin	aɾɣˈiaɾekˌin
harmoniko	aɾmˈonikˌo
Biltzarraren	bilt͡s̻ˈaraɾˌen
berotegi	beɾˈoteɣˌi
Augusto	a͡ʊɣˈus̺tˌo
emozionala	emˈos̻ionalˌa
Salaketa	s̺alˈaketˌa
erdizirkularra	eɾðˈis̻iɾkularˌa
eragile	eɾˈaɣiʎˌe
gerrako	ɡerˈakˌo
gaixotasunaren	ɡa͡ɪʃˈotas̺unaɾˌen
angeluarra	anɡˈeluarˌa
Oscar	os̺kˈaɾ
askatutako	as̺kˈatutakˌo
elkarbizitza	elkˈaɾβis̻it͡s̻ˌa
legezkoa	leɣˈes̻koˌa
Udalerrian	uðˈaleriˌan
errefuxiatuak	erˈefuʃiatuˌak
with	uˈit
atzealde	at͡s̻ˈealðˌe
bar	bˈaɾ
Ingalaterra	inɡˈalaterˌa
Bestetik	bes̺tˈetˌik
obrak	oβɾˈak
mertzenario	meɾt͡s̻ˈenaɾiˌo
Karmengo	kaɾmˈenɡˌo
inklinatua	inklˈiɲatuˌa
ematera	emˈateɾˌa
materialen	matˈeɾialˌen
zuzendariari	s̻us̻ˈendaɾiaɾˌi
elezaharra	elˈes̻aarˌa
kartagotarren	kaɾtˈaɣotarˌen
jostuna	ɟos̺tˈunˌa
lotuak	lotˈuˌak
baztertzea	bas̻tˈeɾt͡s̻eˌa
autobusa	a͡ʊtˈoβus̺ˌa
aipagarriak	a͡ɪpˈaɣariˌak
galdu	ɡˈalðu
direktorio	diɾˈektoɾiˌo
zentroetan	s̻entɾˈoetˌan
metodoaren	metˈoðoaɾˌen
zoriontsu	s̻oɾˈiont͡s̺ˌu
bidaiatzeko	biðˈa͡ɪat͡s̻ekˌo
diamante	diˈamantˌe
espazioaren	es̺pˈas̻ioaɾˌen
programazioaren	pɾoɣɾˈamas̻ioaɾˌen
XVI	ʃβˈi
Washingtonek	uˈas̺inɡtonˌek
Hernández	eɾnˈandes̻
estiloa	es̺tˈiʎoˌa
kontserbatzen	kont͡s̺ˈeɾβat͡s̻ˌen
domeinu	domˈe͡ɪɲˌu
eroriz	eɾˈoɾˌis̻
Hara	ˈaɾa
Bataiatzailearen	batˈa͡ɪat͡s̻a͡ɪʎeaɾˌen
Jupiterrek	ɟupˈiterˌek
dizkion	dis̻kˈiˌon
egituratuak	eɣˈituɾatuˌak
bala	bˈala
taxi	tˈaʃi
daitezke	da͡ɪtˈes̻kˌe
Britainiako	bɾitˈa͡ɪɲiakˌo
Delitu	delˈitˌu
dokumentala	dokˈumentalˌa
errealistak	erˈealis̺tˌak
moldatuak	molðˈatuˌak
Street	s̺tɾeˈet
erreaktibo	erˈeaktiβˌo
lodiera	loðˈieɾˌa
sailkapeneko	s̺a͡ɪlkˈapenekˌo
errepublikarra	erˈepuβlikarˌa
oxidazio	oks̺ˈiðas̻iˌo
Oraingoan	oɾˈa͡ɪnɡoˌan
esparruak	es̺pˈaruˌak
spin	s̺pˈin
taldearekin	talðˈeaɾekˌin
aktibitatearen	aktˈiβitateaɾˌen
preziatua	pɾes̻ˈiatuˌa
nabigazioaren	naβˈiɣas̻ioaɾˌen
erkidego	eɾkˈiðeɣˌo
Portugaleko	poɾtˈuɣalekˌo
gaixotzen	ɡa͡ɪʃˈot͡s̻ˌen
nortasunaren	noɾtˈas̺unaɾˌen
Hirigintza	iɾˈiɣint͡s̻ˌa
larriz	larˈis̻
pasealekuan	pas̺ˈealekuˌan
okupatua	okˈupatuˌa
ezker	es̻kˈeɾ
ekonomikoarekin	ekˈonomikoaɾekˌin
Balbula	balβˈulˌa
handiagotzen	andˈiaɣot͡s̻ˌen
Baionako	ba͡ɪˈonakˌo
geltokien	ɡeltˈokiˌen
bekak	bekˈak
Txapelketetan	t͡ʃapˈelketetˌan
Federazioak	feðˈeɾas̻ioˌak
erosotasuna	eɾˈos̺otas̺unˌa
galaxien	ɡalˈaʃiˌen
gauez	ɡa͡ʊˈes̻
uretatik	uɾˈetatˌik
deabruak	deˈaβɾuˌak
ebolutibo	eβˈolutiβˌo
behatutako	beˈatutakˌo
Bielorrusiako	biˈelorus̺iakˌo
Hamarkada	amˈaɾkaðˌa
Euskarak	e͡ʊs̺kˈaɾˌak
Nabarmentzekoak	naβˈaɾment͡s̻ekoˌak
aurpegiak	a͡ʊɾpˈeɣiˌak
prozesamendua	pɾos̻ˈes̺amenduˌa
nabaritzen	naβˈaɾit͡s̻ˌen
Letra	lˈetɾa
galdurik	ɡalðˈuɾˌik
Denise	denˈis̺ˌe
Institutuan	ins̺tˈitutuˌan
bereganatzeko	beɾˈeɣanat͡s̻ekˌo
bizitzea	bis̻ˈit͡s̻eˌa
soldaduek	s̺olðˈaðuˌek
Kaukasoko	ka͡ʊkˈas̺okˌo
koru	kˈoɾu
egileen	eɣˈiʎeˌen
arautu	aɾˈa͡ʊtˌu
Riveraren	riβˈeɾaɾˌen
prozesioan	pɾos̻ˈes̺ioˌan
beldurtu	belðˈuɾtˌu
Legeak	leɣˈeˌak
algoritmoaren	ˌalɣoɾˈitmoˌaɾen
pertsonalean	peɾt͡s̺ˈonaleˌan
hotsen	ot͡s̺ˈen
Epaileak	epˈa͡ɪʎeˌak
mehatxupean	meˈat͡ʃupeˌan
Iragarki	iɾˈaɣaɾkˌi
aberria	aβˈeriˌa
hastea	as̺tˈeˌa
persiar	peɾs̺ˈiˌaɾ
aberatsenetako	aβˈeɾat͡s̺enetakˌo
mailua	ma͡ɪʎˈuˌa
errolda	erˈolðˌa
hartzearekin	aɾt͡s̻ˈeaɾekˌin
amaierak	amˈa͡ɪeɾˌak
esfoliazio	es̺fˈolias̻iˌo
