服務	fʊk˨mou˨
往來	wɔ:ŋ˩˧lɔ:i˨˩
秋風	tsʰɐu˥fʊŋ˥
養老院	jœ:ŋ˩˧lou˩˧jy:n˨
興工	hɪŋ˥kʊŋ˥
永久性	wɪŋ˩˧kɐu˧˥sɪŋ˧
濃縮	nʊŋ˨˩sʊk˥,lʊŋ˨˩sʊk˥
食番餐勁嘅	sɪk˨fa:n˥tsʰa:n˥kɪŋ˨kɛ:˧
周身蟻	tsɐu˥sɐn˥ɐi˩˧,tsɐu˥sɐn˥ŋɐi˩˧
肉體	jʊk˨tʰɐi˧˥
弊傢伙	pɐi˨ka:˥fɔ:˧˥
聽講話	tʰɛ:ŋ˥kɔ:ŋ˧˥wa:˨
羊毛棉氈	jœ:ŋ˨˩mou˨˩mi:n˨˩tsi:n˥
𡃁仔	lɛ:ŋ˥tsɐi˧˥
信肉	sɵn˧jʊk˨
崗位	kɔ:ŋ˥wɐi˨
一騎	jɐt˥kʰei˧
後座力	hɐu˨tsɔ:˨lɪk˨
㓉	wu:t˨,wu:n˨,kʰu:t˧,kwɐt˧,kwa:t˧
加拿大人	ka:˥na:˨˩ta:i˨jɐn˨˩,ka:˥la:˨˩ta:i˨jɐn˨˩
俬	si:˥
摲	sa:m˧
齷齪	ŋa:k˥tsʰʊk˥,ŋɐk˥tsʰʊk˥,ɐk˥tsʰʊk˥
富饒	fu:˧ji:u˨˩
真諦	tsɐn˥tɐi˧
袹	mɐk˨
襟[車＋立]	kɐm˨li:p˥
鄗	ha:u˥,hou˨
口感	hɐu˧˥kɐm˧˥
狀師	tsɔ:ŋ˨si:˥
如期完成	jy:˨˩kʰei˨˩jy:n˨˩sɪŋ˨˩
高血壓	kou˥hy:t˧a:t˧,kou˥hy:t˧ŋa:t˧
㷎	kʰi:t˧,hɔ:t˧
帢	hɐp˥
雞翼	kɐi˥jɪk˨
領呔	lɛ:ŋ˩˧tʰa:i˥
毃	kʰɔ:k˧
至啱	tsi:˧ŋa:m˥,tsi:˧a:m˥
馬車賽	ma:˩˧tsʰɛ:˥tsʰɔ:i˧
達成	ta:t˨sɪŋ˨˩
下半身	ha:˨pu:n˧sɐn˥
通向	tʰʊŋ˥hœ:ŋ˧
繪製	kʰu:i˧˥tsɐi˧
鄙	pʰei˧˥
嗩吶	sɔ:˧˥na:p˨,sɔ:˧˥la:p˨
崇尚	sʊŋ˨˩sœ:ŋ˨
醜死鬼	tsʰɐu˧˥sei˧˥kwɐi˧˥
儩	tsʰi:˧
撣帚	ta:n˩˧tsɐu˧˥
壓迫	a:t˧pa:k˥,ŋa:t˧pɪk˥,ŋa:t˧pa:k˥
大粒	ta:i˨nɐp˥,ta:i˨lɐp˥
軍	kwɐn˥
歸屬於	kwɐi˥sʊk˨jy:˥
book機票	pʊk˥kei˥pʰi:u˧
唸定	nɐm˧˥tɪŋ˨,lɐm˧˥tɪŋ˨
過底紙	kwɔ:˧tɐi˧˥tsi:˧˥
爆滿	pa:u˧mu:n˩˧
蠔豉	hou˨˩si:˧˥
多產	tɔ:˥tsʰa:n˧˥
幸運	hɐŋ˨wɐn˨
獚	wɔ:ŋ˨˩
電位差	ti:n˨wɐi˨tsʰa:˥
曬太陽	sa:i˧tʰa:i˧jœ:ŋ˨˩
轉頭	tsy:n˧˥tʰɐu˨˩
窩藏罪犯	wɔ:˥tsʰɔ:ŋ˨˩tsɵy˨fa:n˧˥
貞節	tsɪŋ˥tsi:t˧
佢哋	kʰɵy˩˧tei˨
陰月	jɐm˥jy:t˨
議論紛紛	ji:˩˧lɵn˨fɐn˥fɐn˥
甩手	lɐt˥sɐu˧˥
嚴密	ji:m˨˩mɐt˨
可塑性	hɔ:˧˥sou˧sɪŋ˧
一竅不通	jɐt˥hi:u˧pɐt˥tʰʊŋ˥
蜞乸	kʰei˨˩la:˧˥,kʰei˨˩na:˧˥
喲	jɔ:˥
心有餘而力不足	sɐm˥jɐu˩˧jy:˨˩ji:˨˩lɪk˨pɐt˥tsʊk˥
心機	sɐm˥kei˥
糾纏	tɐu˧˥tsʰi:n˨˩
蛔	wu:i˨˩
寑	tsʰɐm˧˥
瀔	kʊk˥
食品店	sɪk˨pɐn˧˥ti:m˧
低血壓	tɐi˥hy:t˧a:t˧,tɐi˥hy:t˧ŋa:t˧
世界語	sɐi˧ka:i˧jy:˩˧
飂	lɐu˨˩,li:u˨˩
欱	hɐp˨,hɔ:t˧
眵	tsʰi:˥
驟眼睇	tsa:u˨a:n˩˧tʰɐi˧˥,tsa:u˨ŋa:n˩˧tʰɐi˧˥
夜晚	jɛ:˨ma:n˩˧
後防	hɐu˨fɔ:ŋ˨˩
止血藥	tsi:˧˥hy:t˧jœ:k˨
擸炩	la:p˧lɪŋ˧
臣子	sɐn˨˩tsi:˧˥
珊瑚	sa:n˥wu:˨˩
爟	ku:n˧
候	hɐu˨
特殊化	tɐk˨sy:˨˩fa:˧
隋朝	tsʰɵy˨˩tsʰi:u˨˩
乍聽之下	tsa:˧tʰɪŋ˥tsi:˥ha:˨
另	lɪŋ˨
無庸置疑	mou˨˩jʊŋ˨˩tsi:˧ji:˨˩
雞心形	kɐi˥sɐm˥jɪŋ˨˩
嚴	ji:m˨˩
隉	ni:p˨
柍	jœ:ŋ˧˥,jœ:ŋ˥
作答	tsɔ:k˧ta:p˧
苽	ku:˥
吵	tsʰa:u˧˥
欽	jɐm˥
迫車	pʰa:k˧tsʰɛ:˥
僶	mɐn˩˧
前塵	tsʰi:n˨˩tsʰɐn˨˩
外海	ŋɔ:i˨hɔ:i˧˥,ɔ:i˨hɔ:i˧˥
琱	ti:u˥
閱讀	jy:t˨tʊk˨
㝵	ŋɔ:i˨,ta:k˥
畀人識穿	pei˧˥jɐn˨˩sɪk˥tsʰy:n˥
咪諗過隔離	lei˩˧lɐm˧˥lei˩˧mɐi˨lɐm˧˥kwɔ:˧ka:k˧lei˨˩,nei˩˧nɐm˧˥nei˩˧mɐi˨nɐm˧˥kwɔ:˧ka:k˧lei˨˩
不平而鳴	pɐt˥pʰɪŋ˨˩ji:˨˩mɪŋ˨˩
間尺	ka:n˧tsʰɛ:k˧
工廠	kʊŋ˥tsʰɔ:ŋ˧˥
導彈網	tou˨ta:n˨mɔ:ŋ˩˧
謬理	mɐu˨nei˧˥
睇辦	tʰɐi˧˥pa:n˧˥
車馬喧闐	kɵy˥ma:˩˧hy:n˥tʰi:n˨˩
發老脾	fa:t˧lou˩˧pʰei˧˥
百靈	pa:k˧lɪŋ˨˩
膠花	ka:u˥fa:˥
三頭六臂	sa:m˥tʰɐu˨˩lʊk˨pei˧
不費吹灰之力	pɐt˥fɐi˧tsʰɵy˥fu:i˥tsi:˥lɪk˨
應付	jɪŋ˧fu:˨
駝背	tʰɔ:˨˩pu:i˧
攝入去	si:p˧jɐp˨hɵy˧
撐	tsʰa:ŋ˥,tsʰa:ŋ˧
冇得比	mou˩˧tɐk˥pei˧˥
紑	fɐu˨˩
喐下喐下	jʊk˥ha:˩˧jʊk˥ha:˩˧
齲	kɵy˧˥
嘅話	kɛ:˧wa:˨
鯁唔落	kʰɐŋ˧˥m̩˨˩lɔ:k˨
天口㷫	tʰi:n˥hɐu˧˥hɪŋ˧
濡	jy:˨˩,ny:n˩˧
懵到上心口	mʊŋ˧˥tou˧sœ:ŋ˩˧sɐm˥hɐu˧˥
唔㜺	m̩˨˩tsa:n˧˥
風雲人物	fʊŋ˥wɐn˨˩jɐn˨˩mɐt˨
欣賞	jɐn˥sœ:ŋ˧˥
使乜講	sɐi˧˥mɐt˥kɔ:ŋ˧˥
卡罅	kʰa:˧la:˧
倔情	kwɐt˨tsʰɪŋ˨˩
𢲈	kʰɛ:k˥,kʰɪk˥
計番條數	kɐi˧fa:n˥tʰi:u˨˩sou˧
傣族	tʰa:i˧tsʊk˨
輕鬆	hɛ:ŋ˥sʊŋ˥
團團轉	tʰy:n˨˩tʰy:n˨˩tsy:n˧
食唔落	sɪk˨m̩˨˩lɔ:k˨
講出嚟	kɔ:ŋ˧˥tsʰɵt˥lei˨˩
𢲡	la:˧˥,na:˥
礄	kʰi:u˨˩
戰國時期	tsi:n˧kwɔ:k˧si:˨˩kʰei˨˩
燦仔	tsʰa:n˧tsɐi˧˥
戶口簿	wu:˨hɐu˧˥pou˧˥
下文	ha:˨mɐn˨˩
總司令	tsʊŋ˧˥si:˥lɪŋ˨
窩心	wɔ:˥sɐm˥
好哋哋	hou˧˥tei˨tei˨
普洱	pʰou˧˥nei˧˥,pʰou˧˥lei˧˥
慪	ɐu˧,ɐu˥
當頭	tɔ:ŋ˥tʰɐu˨˩
高佬	kou˥lou˧˥
蒲吧	pʰou˨˩pa:˥
大喊大叫	ta:i˨ha:m˧ta:i˨ki:u˧
贉	tʰa:m˩˧
仁者	jɐn˨˩tsɛ:˧˥
血淋淋	hy:t˧lɐm˨˩lɐm˨˩
餿	sɐu˥,sʊk˥
慢吞吞	ma:n˨tʰɐn˥tʰɐn˥
門禁	mu:n˨˩kɐm˧
雞零狗碎	kɐi˥lɪŋ˨˩kɐu˧˥sɵy˧
噘嘴	kʰy:t˧tsɵy˧˥
嗲	tɛ:˧˥,tɛ:˨˩,tɛ:˥
偵聽員	tsɪŋ˥tʰɪŋ˥jy:n˨˩
仇家	sɐu˨˩ka:˥
普	pʰou˧˥
糺	kɐu˧˥
平心	pʰɪŋ˨˩sɐm˥
寒風砭骨	hɔ:n˨˩fʊŋ˥pi:n˥kwɐt˥
公數	kʊŋ˥sou˧
戰俘	tsi:n˧fu:˥
陋屋	lɐu˨ʊk˥
食欲	sɪk˨jʊk˨
背叛	pu:i˧pu:n˨
步步高升	pou˨pou˨kou˥sɪŋ˥
保持	pou˧˥tsʰi:˨˩
大姨	ta:i˨ji:˨˩
女權主義	nɵy˩˧kʰy:n˨˩tsy:˧˥ji:˨,lɵy˩˧kʰy:n˨˩tsy:˧˥ji:˨
刮臉	kwa:t˧li:m˩˧
嘌呤	pʰi:u˥lɪŋ˨˩
化驗品	fa:˧ji:m˨pɐn˧˥
以德報怨	ji:˩˧tɐk˥pou˧jy:n˧
䴀	tsʊŋ˥,tʰʊŋ˨˩
養生之道	jœ:ŋ˩˧sɐŋ˥tsi:˥tou˨
借題發揮	tsɛ:˧tʰɐi˨˩fa:t˧fɐi˥
豁達	kʰu:t˧ta:t˨
煒	wɐi˩˧
靚女	lɛ:ŋ˧lɵy˧˥,lɛ:ŋ˧nɵy˧˥
橞	wɐi˨
一命嗚呼	jɐt˥mɪŋ˨wu:˥fu:˥
背影	pu:i˧jɪŋ˧˥
㷫親	hɪŋ˧tsʰɐn˥
一路平安	jɐt˥lou˨pʰɪŋ˨˩ɔ:n˥,jɐt˥lou˨pʰɪŋ˨˩ŋɔ:n˥
想起	sœ:ŋ˧˥hei˧˥
唞順氣	tʰɐu˧˥sɵn˨hei˧
調停	tʰi:u˨˩tʰɪŋ˨˩
週而復始	tsɐu˥ji:˨˩fʊk˨tsʰi:˩˧
生日	sa:ŋ˥jɐt˨
quail	kʰɔ:˥li:˧˥
食人	sɪk˨jɐn˨˩
㟇	tsʰɔ:˨˩
一泡氣	jɐt˥pʰa:u˥hei˧
冇嗰樣整嗰樣	a:˧mɐu˨tsɪŋ˧˥pɛ:ŋ˧˥mou˩˧kɔ:˧˥jœ:ŋ˧˥tsɪŋ˧˥kɔ:˧˥jœ:ŋ˧˥
國防工業	kwɔ:k˧fɔ:ŋ˨˩kʊŋ˥ji:p˨
洗清	sɐi˧˥tsʰɪŋ˥
作官	tsɔ:k˧ku:n˥
投影	tʰɐu˨˩jɪŋ˧˥
嘆咖啡	tʰa:n˧ka:˧fɛ:˥
好用	hou˧˥jʊŋ˨
結集	ki:t˧tsa:p˨
成藥	sɪŋ˨˩jœ:k˨
非士	fei˥si:˧˥
老番冬	lou˩˧fa:n˥tʊŋ˥
文具店	mɐn˨˩kɵy˨ti:m˧
圾	sa:p˧,kʰɐp˥
盬	ku:˧˥
版	pa:n˧˥
審察	sɐm˧˥tsʰa:t˧
慴	tsi:p˧
姼	si:˨˩,tsʰi:˧˥
𥄫	kɐp˨
隆厚	lʊŋ˨˩hɐu˩˧
㓡	fu:˧˥
鬥私批修	tɐu˧si:˥pʰɐi˥sɐu˥
唔制	m̩˨˩tsɐi˧
痛	tʰʊŋ˧
外皮	ŋɔ:i˨pʰei˨˩,ɔ:i˨pʰei˨˩
揹債	pu:i˧tsa:i˧
非常之重要	fei˥sœ:ŋ˨˩tsi:˥tsʊŋ˨ji:u˧
堂	tʰɔ:ŋ˨˩
啲…點賣呀？	ti:˥ti:m˧˥ma:i˨a:˧
妨礙	fɔ:ŋ˨˩ŋɔ:i˨,fɔ:ŋ˨˩ɔ:i˨
不屈不撓	pɐt˥wɐt˥pɐt˥na:u˨˩,pɐt˥wɐt˥pɐt˥la:u˨˩
面口差	mi:n˨hɐu˧˥tsʰa:˥
滿	mu:n˩˧
一頭	jɐt˥tʰɐu˨˩
哪吒	na:˨˩tsa:˥,la:˨˩tsa:˥
嚴酷	ji:m˨˩hʊk˨
成親	sɪŋ˨˩tsʰɐn˥
餩	ɐk˥
哀思	ŋɔ:i˥si:˥,ɔ:i˥si:˥
計時碼錶	kɐi˧si:˨˩ma:˩˧pi:u˥
艨	mʊŋ˨˩
具	kɵy˨
單身寡佬	ta:n˥sɐn˥kwa:˧˥lou˧˥
遠征	jy:n˩˧tsɪŋ˥
烊	jœ:ŋ˨˩
形態	jɪŋ˨˩tʰa:i˧
進諫	tsɵn˧ka:n˧
黃鱔	wɔ:ŋ˨˩si:n˩˧
井字過三關	tsɛ:ŋ˧˥tsi:˨kwɔ:˧sa:m˥kwa:n˥
面豬	mi:n˨tsy:˥
鉑	pɔ:k˨
熟客仔	sʊk˨ha:k˧tsɐi˧˥
生果	sa:ŋ˥kwɔ:˧˥
誠意	sɪŋ˨˩ji:˧
仁人君子	jɐn˨˩jɐn˨˩kwɐn˥tsi:˧˥
了解	li:u˩˧ka:i˧˥
全	tsʰy:n˨˩
偺	tsa:˥
歠入	tsy:t˧jɐp˨
黐脷根	tsʰi:˥lei˨kɐn˥
探試	tʰa:m˧si:˧
戰敗	tsi:n˧pa:i˨
敨吓	tʰɐu˧˥ha:˩˧
裝潢	tsɔ:ŋ˥wɔ:ŋ˨˩
郵戳	jɐu˨˩tsʰœ:k˧
攝氏度	si:p˧si:˨tou˨
㛑	tsʰa:n˧
丐幫	kʰɔ:i˧pɔ:ŋ˥
探頭	tʰa:m˧tʰɐu˨˩
教導	ka:u˧tou˨
豬潤	tsy:˥jɵn˧˥
𤕭	tsœ:ŋ˥
摷皮咪𠵼	tsʰa:u˨˩pʰei˨˩mi:˥mɐŋ˧
後勤部	hɐu˨kʰɐn˨˩pou˨
警訊	kɪŋ˧˥sɵn˧
濕柴	sɐp˥tsʰa:i˨˩
衹	tsi:˧˥
璉	li:n˩˧,li:n˨˩
輕心	hɪŋ˥sɐm˥
驛館	jɪk˨ku:n˧˥
窮當益堅	kʰʊŋ˨˩tɔ:ŋ˥jɪk˥ki:n˥
壓延	ŋa:t˧ji:n˨˩,a:t˧ji:n˨˩
曏	hœ:ŋ˧
阿姨	a:˧ji:˥
理療科	lei˩˧li:u˨˩fɔ:˥
竹篾	tsʊk˥mi:t˨
酸[口＋宿]	sy:n˥sʊk˥
騷quail	sou˥kʰɔ:˥li:˧˥
復辟	fʊk˨pʰɪk˥
吐苦水	tʰou˧fu:˧˥sɵy˧˥
吸入	kʰɐp˥jɐp˨
群	kʰwɐn˨˩
好靚	hou˧˥lɛ:ŋ˧
褚	tsʰy:˧˥
食閒口	sɪk˨ha:n˨˩hɐu˧˥
key卡	kʰi:˥kʰa:˥
雲吞	wɐn˨˩tʰɐn˥
作成	tsɔ:k˧sɪŋ˨˩
碇方	tɛ:ŋ˨fɔ:ŋ˥
瞇眉瞇眼	mei˥mei˨˩mei˥ŋa:n˩˧,mei˥mei˨˩mei˥a:n˩˧
搏同情	pɔ:k˧tʰʊŋ˨˩tsʰɪŋ˨˩
鯥	lʊk˨
擸網頂	la:p˧mɔ:ŋ˩˧tɛ:ŋ˧˥
冕	mi:n˩˧
虀	tsɐi˥
種類	tsʊŋ˧˥lɵy˨
饈膳	sɐu˥si:n˨
吹番梘泡	tsʰɵy˥fa:n˥ka:n˧˥pʰou˩˧
一妻制	jɐt˥tsʰɐi˥tsɐi˧
慷慨激昂	hɔ:ŋ˧˥kʰɔ:i˧kɪk˥ɔ:ŋ˨˩,hɔ:ŋ˧˥kʰɔ:i˧kɪk˥ŋɔ:ŋ˨˩
曝光	pʊk˨kwɔ:ŋ˥
骨幹分子	kwɐt˥kɔ:n˧fɐn˨tsi:˧˥
速成班	tsʰʊk˥sɪŋ˨˩pa:n˥
媰	tsʰɔ:˨˩,tsɐu˥
橫脷	wa:ŋ˨˩lei˨
得來不易	tɐk˥lɔ:i˨˩pɐt˥ji:˨
裉	kʰɐŋ˧
掗開對腳	ŋa:˨hɔ:i˥tɵy˧kœ:k˧,a:˨hɔ:i˥tɵy˧kœ:k˧
健將	ki:n˨tsœ:ŋ˧
激動	kɪk˥tʊŋ˨
詐瞓	tsa:˧fɐn˧
食咗火藥	sɪk˨tsɔ:˧˥fɔ:˧˥jœ:k˨
曱甴屎	ka:t˨tsa:t˨si:˧˥
從嚴處理	tsʰʊŋ˨˩ji:m˨˩tsʰy:˩˧lei˩˧
佗住	tʰɔ:˨˩tsy:˨
落蚊帳	lɔ:k˨mɐn˥tsœ:ŋ˧
契家婆	kʰɐi˧ka:˥pʰɔ:˨˩
颮	pʰa:u˥,pi:u˥
前車之鑑	tsʰi:n˨˩tsʰɛ:˥tsi:˥ka:m˧,tsʰi:n˨˩kɵy˥tsi:˥ka:m˧
倘	sœ:ŋ˨˩,tʰɔ:ŋ˧˥
送行	sʊŋ˧hɐŋ˨˩
紙	tsi:˧˥
拄	tsy:˧˥
工科大學	kʊŋ˥fɔ:˥ta:i˨hɔ:k˨
流	lɐu˨˩
壅	jʊŋ˥,ʊŋ˥,ŋʊŋ˥,jʊŋ˧˥
牛肉麵	ɐu˨˩jʊk˨mi:n˨,ŋɐu˨˩jʊk˨mi:n˨
西方	sɐi˥fɔ:ŋ˥
日子流流長	jɐt˨tsi:˧˥lɐu˨˩lɐu˨˩tsʰœ:ŋ˨˩
氣象預報	hei˧tsœ:ŋ˨jy:˨pou˧
蕊	jɵy˩˧,jɵy˨
煦	hɵy˧˥,jy:˧
剝削	mɔ:k˥sœ:k˧
熠番薯	sa:p˨fa:n˥sy:˧˥
徉	jœ:ŋ˨˩
水豆腐	sɵy˧˥tɐu˨fu:˨
鳶尾科	jy:n˥mei˩˧fɔ:˥
踏破鐵鞋無覓處，得來全不費工夫	ta:p˨pʰɔ:˧tʰi:t˧ha:i˨˩mou˨˩mɪk˨tsʰy:˧tɐk˥lɔ:i˨˩tsʰy:n˨˩pɐt˥fɐi˧kʊŋ˥fu:˥
燒鷄	si:u˥kɐi˥
不好	pɐt˥hou˧˥
邅	tsi:n˥
不溜	pɐt˥lɐu˥
甘	kɐm˥
偷偷摸摸	tʰɐu˥tʰɐu˥mɔ:˧˥mɔ:˧˥
魚販	jy:˨˩fa:n˧
膂	lɵy˩˧
送人	sʊŋ˧jɐn˨˩
身壯力健	sɐn˥tsɔ:ŋ˧lɪk˨ki:n˨
撋	nɔ:˨˩,jɵn˨
新興	sɐn˥hɪŋ˥
簫	si:u˥
專修	tsy:n˥sɐu˥
剳	tsa:p˧
幽魂不散	jɐu˥wɐn˨˩pɐt˥sa:n˧
識別力	sɪk˥pi:t˨lɪk˨
直選	tsɪk˨sy:n˧˥
褼	si:n˥
稱雄	tsʰɪŋ˥hʊŋ˨˩
涅	ni:p˨
貪贓枉法	tʰa:m˥tsɔ:ŋ˥wɔ:ŋ˧˥fa:t˧
蛇吓先	sɛ:˨˩ha:˩˧si:n˥
爛鬼嘢	la:n˨kwɐi˧˥jɛ:˩˧
圖鑒	tʰou˨˩ka:m˧
苾	pɐt˨
團圓飯	tʰy:n˨˩jy:n˨˩fa:n˨
匹配	pʰɐt˥pʰu:i˧
聳立	sʊŋ˧˥la:p˨
有啲唔妥	jɐu˩˧ti:˥m̩˨˩tʰɔ:˧˥
講法	kɔ:ŋ˧˥fa:t˧
朱咕叻雪糕	tsy:˥ku:˥lɪk˥sy:t˧kou˥
熱茶	ji:t˨tsʰa:˨˩
閔	mɐn˩˧
老薑	lou˩˧kœ:ŋ˥
通訊員	tʰʊŋ˥sɵn˧jy:n˨˩
鈹	pʰei˥,pʰei˨˩
軍火商	kwɐn˥fɔ:˧˥sœ:ŋ˥
㨃住度門	tɵy˧˥tsy:˨tou˨mu:n˧˥
疽	tsɵy˥
食貓麪	sɪk˨ma:u˥mi:n˨
壛	ji:m˨˩
有金執咩	jɐu˩˧kɐm˥tsɐp˥mɛ:˥
公安人員	kʊŋ˥ŋɔ:n˥jɐn˨˩jy:n˨˩,kʊŋ˥ɔ:n˥jɐn˨˩jy:n˨˩
窘	kʰwɐn˧
仂	lɐk˨
乾坤	kʰi:n˨˩kʰwɐn˥
聚腳地	tsɵy˨kœ:k˧tei˨
桿	kɔ:n˧˥,kɔ:n˧,kɔ:n˥
切菜	tsʰi:t˧tsʰɔ:i˧
砲	pʰa:u˨˩,pʰa:u˧,pa:u˧
莽	mɔ:ŋ˩˧
䏡	sɵy˨,tsʰɛ:˧˥,tʰɔ:˧,si:˨,fu:n˧˥
春袋	tsʰɵn˥tɔ:i˧˥
謙讓	hi:m˥jœ:ŋ˨
理論性	lei˩˧lɵn˨sɪŋ˧
尋覓	tsʰɐm˨˩mɪk˨
中文堂	tsʊŋ˥mɐn˨˩tʰɔ:ŋ˨˩
瘚	ky:t˧,kʰy:t˧
捱唔住	a:i˨˩m̩˨˩tsy:˨,ŋa:i˨˩m̩˨˩tsy:˨
貴寶號	kwɐi˧pou˧˥hou˨
後花園	hɐu˨fa:˥jy:n˨˩
搲爛	wa:˧˥la:n˨
book	pʊk˥
眼檐	a:n˩˧jɐm˨˩,ŋa:n˩˧jɐm˨˩
老襟	lou˩˧kʰɐm˥
一句話都唔聲	jɐt˥kɵy˧wa:˧˥tou˥m̩˨˩sɛ:ŋ˥
絕緣線	tsy:t˨jy:n˨˩si:n˧
留步	lɐu˨˩pou˨
䴳	wɔ:k˨,wɐt˨
鎌	li:m˨˩
復仇	fʊk˨sɐu˨˩
頞	a:t˧
半生熟	pu:n˧sa:ŋ˥sʊk˨
調味	tʰi:u˨˩mei˨
番薯	fa:n˥sy:˧˥
僾	ɔ:i˧,ɔ:i˧˥
毫無道理	hou˨˩mou˨˩tou˨lei˩˧
不負眾望	pɐt˥fu:˨tsʊŋ˧mɔ:ŋ˨
蹜	sʊk˥
埒	ly:t˧
啞巴	ŋa:˧˥pa:˥,a:˧˥pa:˥
佳作	ka:i˥tsɔ:k˧
額	ŋa:k˨
淨面	tsɪŋ˨mi:n˨
㼼	pʰi:u˨˩,pʰi:u˥
珷	mou˩˧
好氣	hou˧˥hei˧
百病	pa:k˧pɪŋ˨
講實	kɔ:ŋ˧˥sɐt˨
天文望遠鏡	tʰi:n˥mɐn˨˩mɔ:ŋ˨jy:n˨˩kɛ:ŋ˧
肴損咗	ŋa:u˥sy:n˧˥tsɔ:˧˥,a:u˥sy:n˧˥tsɔ:˧˥
唔舒服	m̩˨˩sy:˥fʊk˨
向隅	hœ:ŋ˧jy:˨˩
姩罅	li:n˥la:˧,ni:n˥la:˧
張三李四	tsœ:ŋ˥sa:m˥lei˩˧sei˧
咪話	mɐi˩˧wa:˨
天涯	tʰi:n˥ŋa:i˨˩,tʰi:n˥a:i˨˩
審視	sɐm˧˥si:˨
聲調	sɪŋ˥ti:u˨
叟	sɐu˧˥
鬆軟	sʊŋ˥jy:n˩˧
矺親	tsa:k˧tsʰɐn˥
桹	lɔ:ŋ˨˩
海象	hɔ:i˧˥tsœ:ŋ˨
心急	sɐm˥kɐp˥
傾聽	kʰɪŋ˥tʰɛ:ŋ˥
瘦	sɐu˧
事實	si:˨sɐt˨
議決書	ji:˩˧kʰy:t˧sy:˥
怯意	hi:p˧ji:˧
䜵	si:˨,tsɪk˨,tsʰɛ:k˧
賛	tsa:n˧
言行不符	ji:n˨˩hɐŋ˨pɐt˥fu:˨˩
顚	ti:n˥
懶覺	la:n˩˧ka:u˧
掹草	mɐŋ˥tsʰou˧˥
桂林相思	kwɐi˧lɐm˨˩sœ:ŋ˥si:˥
殺氣	sa:t˧hei˧
插	tsʰa:p˧
騎縫	kʰɛ:˨˩fʊŋ˨˩
陽具	jœ:ŋ˨˩kɵy˨
㧆	ka:n˥
讅	sɐm˧˥
銘記	mɪŋ˨˩kei˧
䦦	ha:m˨˩,ha:m˧˥,sɪk˥,kʰa:m˨˩
皕	pɪk˥
夔	kʰwɐi˨˩
表面	pi:u˧˥mi:n˨
炒熟	tsʰa:u˧˥sʊk˨
鯁死	kʰɐŋ˧˥sei˧˥
麪飽	mi:n˨pa:u˥
挽手袋	wa:n˧˥sɐu˧˥tɔ:i˧˥
call白車	kʰɔ:˥pa:k˨tsʰɛ:˥
豴	tɪk˥
一決雌雄	jɐt˥kʰy:t˧tsʰi:˥hʊŋ˨˩
徒費	tʰou˨˩fɐi˧
唔受得	m̩˨˩sɐu˨tɐk˥
內地	nɔ:i˨tei˨,lɔ:i˨tei˨
靈灰	lɪŋ˨˩fu:i˥
衫裡	sa:m˥lei˩˧
挖掘	wa:t˧kwɐt˨
霪	jɐm˨˩
孵	fu:˥
反抗	fa:n˧˥kʰɔ:ŋ˧
節錄	tsi:t˧lʊk˨
敨涼	tʰɐu˧˥lœ:ŋ˨˩
貴重	kwɐi˧tsʊŋ˨
縳	tsy:n˧
迴流	wu:i˨˩lɐu˨˩
擰實樽蓋	lɪŋ˨sɐt˨tsɵn˥kɔ:i˧,nɪŋ˨sɐt˨tsɵn˥kɔ:i˧
五年級	ŋ˩˧ni:n˨˩kʰɐp˥,ŋ˩˧li:n˨˩kʰɐp˥
裝假狗	tsɔ:ŋ˥ka:˧˥kɐu˧˥
叻過籠	lɛ:k˥kwɔ:˧lʊŋ˨˩
㦱	ŋɔ:˩˧
控制權	hʊŋ˧tsɐi˧kʰy:n˨˩
設計	tsʰi:t˧kɐi˧
脾臟	pʰei˨˩tsɔ:ŋ˨
忑	tʰɪk˥
㪯	kɵy˧˥
歸根究底	kwɐi˥kɐn˥kɐu˧tɐi˧˥
教父	ka:u˧fu:˨
食𢆡	sɪk˨ni:n˥,sɪk˨li:n˥
公共關係	kʊŋ˥kʊŋ˨kwa:n˥hɐi˨
痾屎	ŋɔ:˥si:˧˥,ɔ:˥si:˧˥
奮勇作戰	fɐn˩˧jʊŋ˩˧tsɔ:k˧tsi:n˧
咆	pʰa:u˨˩
竊用	si:t˧jʊŋ˨
菜餚	tsʰɔ:i˧ŋa:u˨˩,tsʰɔ:i˧a:u˨˩
叻過龍	lɛ:k˥kwɔ:˧lʊŋ˨˩
健壯	ki:n˨tsɔ:ŋ˧
夾計	ka:p˧kɐi˧˥
捕拿	pou˨la:˨˩,pou˨na:˨˩
稱號	tsʰɪŋ˥hou˨
考究	ha:u˧˥kɐu˧
慨歎	kʰɔ:i˧tʰa:n˧
闖開	tsʰɔ:ŋ˧˥hɔ:i˥
沙池	sa:˥tsʰi:˨˩
四兩撥千斤	sei˧lœ:ŋ˧˥pu:t˧tsʰi:n˥kɐn˥
踏空	ta:p˨hʊŋ˥
中傷	tsʊŋ˧sœ:ŋ˥
轉眼之間	tsy:n˧˥ŋa:n˩˧tsi:˥ka:n˥,tsy:n˧˥a:n˩˧tsi:˥ka:n˥
會錯意	wu:i˨tsʰɔ:˧ji:˧
腦溢血	nou˩˧jɐt˨hy:t˧,lou˩˧jɐt˨hy:t˧
