теорією	teɔrʲijejʊ
ваш	ʋɑʃ
вовкулака	wɔu̯kʊɫɑkɐ
арабський	ɐrɑbsʲkei̯
дубові	dubɔʋʲi
автоводоцистерна	ɐu̯tɔwɔdɔt͡sestɛrnɐ
шановний	ʃɐnɔu̯nei̯
баклан	bɐkɫɑn
батяр	bɐtʲɑr
чорничник	t͡ʃɔrnɪt͡ʃnek
середній	serɛdʲnʲii̯
показувати	pɔkɑzʊʋɐte
привітати	preʋʲitɑte
жовч	ʒɔu̯t͡ʃ
дбайливий	dbɐi̯ɫɪʋei̯
експедицій	ekspedɪt͡sʲii̯
авіафахівець	ɐʋʲiɐfɐxʲiʋɛt͡sʲ
землевласник	zemɫeu̯ɫɑsnek
сукало	sʊkɑɫɔ
георгій	ɦeɔrɦʲii̯
юшка	juʃkɐ
етнограф	etnɔɦrɐf
сльоза	sʲlʲɔzɑ
бісексуальний	bʲiseksʊɑlʲnei̯
транзит	trɐnzɪt
специфікація	spet͡sefʲikɑt͡sʲijɐ
епізодичний	epʲizɔdɪt͡ʃnei̯
восьмий	wɔsʲmei̯
зміщувати	zʲmʲiʃt͡ʃʊʋɐte
оксана	ɔksɑnɐ
вентиляція	ʋentelʲɑt͡sʲijɐ
худнути	xudnʊte
єгор	jeɦɔr
народжувати	nɐrɔd͡ʒʊʋɐte
ігнорувати	iɦnɔrʊʋɑte
пакистан	pɐkestɑn
вийти	ʋɪi̯te
інженерка	inʒenɛrkɐ
берег	bɛreɦ
суб'єктивний	sʊbjektɪu̯nei̯
австрійка	ɐu̯stʲrʲii̯kɐ
жила	ʒɪɫɐ
рушник	rʊʃnɪk
маленький	mɐɫɛnʲkei̯
аномалія	ɐnɔmɑlʲijɐ
відмінний	ʋʲidʲmʲinːei̯
зображувати	zɔbrɑʒʊʋɐte
теорії	teɔrʲiji
персонаж	persɔnɑʒ
тепловий	tepɫɔʋɪi̯
застуда	zɐstudɐ
відлічувати	ʋʲidʲlʲit͡ʃʊʋɐte
миттєвий	metʲːɛʋei̯
вохра	wɔxrɐ
тирана	terɑnɐ
руча	rʊt͡ʃɑ
перевірка	pereʋʲirkɐ
доросліший	dɔrɔsʲlʲiʃei̯
корея	kɔrɛjɐ
період	perʲiɔd
абстинентка	ɐbstenɛntkɐ
цукрова	t͡sʊkrɔʋɐ
келих	kɛɫex
криму	krɪmʊ
дерен	derɛn
знайомити	znɐjɔmete
п'ятисот	pjɐtesɔt
щомісячний	ʃt͡ʃomʲisʲɐt͡ʃnei̯
віно	ʋʲinɔ
конкретний	kɔnkrɛtnei̯
меж	mɛʒ
віяти	ʋʲijɐte
фінський	fʲinʲsʲkei̯
чудовий	t͡ʃʊdɔʋei̯
адміністративний	ɐdʲmʲinʲistrɐtɪu̯nei̯
використати	ʋɪkɔrestɐte
крапля	krɑplʲɐ
внесок	wnɛsɔk
словечко	sɫɔʋɛt͡ʃkɔ
коротший	kɔrɔt͡ʃʃei̯
подвоювати	pɔdwɔjʊʋɐte
швидко	ʃʋɪdkɔ
сумісний	sʊmʲisnei̯
автореференція	ɑu̯tɔreferɛnʲt͡sʲijɐ
посередниця	pɔserɛdnet͡sʲɐ
заможний	zɐmɔʒnei̯
куниця	kʊnɪt͡sʲɐ
тополею	tɔpɔɫejʊ
конфіскувати	kɔnʲfʲiskʊʋɑte
пішохідна	pʲiʃoxʲidnɐ
сергій	serɦʲii̯
загострювати	zɐɦɔstʲrʲʊʋɐte
лісівництво	lʲisʲiu̯nɪt͡stwɔ
віях	ʋʲijɐx
переводити	perewɔdete
кіно	kʲinɔ
англійка	ɐnɦlʲii̯kɐ
молодий	mɔɫɔdɪi̯
десертів	desɛrtʲiu̯
крикливий	krekɫɪʋei̯
автоматична	ɐu̯tɔmɐtɪt͡ʃnɐ
наявність	nɐjɑu̯nʲisʲtʲ
зменшувати	zmɛnʃʊʋɐte
лист	ɫɪst
заробітна	zɐrobʲitnɐ
монархіях	mɔnɑrxʲijɐx
схід	sʲxʲid
різниця	rʲiznɪt͡sʲɐ
схильність	sxɪlʲnʲisʲtʲ
стремено	stremenɔ
ансамбль	ɐnsɑmblʲ
авансотримач	ɐʋɐnsɔtremɑt͡ʃ
черненко	t͡ʃernɛnkɔ
погрозити	pɔɦrɔzɪte
вагатися	ʋɐɦɑtesʲɐ
стародавній	stɐrɔdɑu̯nʲii̯
михайло	mexɑi̯ɫɔ
беззастережний	bezːɐsterɛʒnei̯
комп'ютеризація	kɔmpjʊterezɑt͡sʲijɐ
осел	ɔsɛɫ
учити	ʊt͡ʃɪte
анексія	ɐnɛksʲijɐ
тугий	tʊɦɪi̯
скоблити	skɔbɫɪte
сісти	sʲiste
ззаду	zːɑdʊ
стандартизувати	stɐndɐrtezʊʋɑte
артеріям	ɐrtɛrʲijɐm
боржниця	bɔrʒnɪt͡sʲɐ
переважувати	pereʋɑʒʊʋɐte
казахський	kɐzɑxsʲkei̯
суперниця	sʊpɛrnet͡sʲɐ
харчування	xɐrt͡ʃʊʋɑnʲːɐ
сирник	sɪrnek
зупинятися	zʊpenʲɑtesʲɐ
худий	xʊdɪi̯
тошо	tɔʃɔ
пилосос	peɫɔsɔs
центральноєвропейський	t͡sentrɐlʲnɔjeu̯rɔpɛi̯sʲkei̯
дочка	dɔt͡ʃkɑ
самодостатність	sɐmɔdɔstɑtʲnʲisʲtʲ
чернець	t͡ʃernɛt͡sʲ
прийменник	prei̯mɛnːek
динамічно	denɐmʲit͡ʃnɔ
оволодіти	ɔwɔɫodʲite
сідниці	sʲidnɪt͡sʲi
кубинка	kʊbɪnkɐ
вірний	ʋʲirnei̯
скорб	skɔrb
ватру	ʋɑtrʊ
фрагменти	frɐɦmɛnte
авіалайнер	ɐʋʲiɐɫɑi̯ner
організаціями	ɔrɦɐnʲizɑt͡sʲijɐme
авіазагін	ɐʋʲiɐzɐɦʲin
пропозицію	prɔpɔzɪt͡sʲijʊ
відображати	ʋʲidɔbrɐʒɑte
якнайскоріше	jɐknɐi̯skorʲiʃe
гринда	ɦrɪndɐ
шабля	ʃɑblʲɐ
онтологічний	ɔntɔɫoɦʲit͡ʃnei̯
трибунал	trebʊnɑɫ
експедицією	ekspedɪt͡sʲijejʊ
скульптор	skulʲptɔr
територіальний	teretɔrʲiɑlʲnei̯
страшидло	strɐʃɪdɫɔ
цілком	t͡sʲiɫkɔm
пекло	pɛkɫɔ
пан	pɑn
ялта	jɑɫtɐ
інерцію	inɛrt͡sʲijʊ
суднобудівник	sʊdnɔbʊdʲiu̯nɪk
ведмідь	ʋedʲmʲidʲ
рівень	rʲiʋenʲ
та	tɑ
паразит	pɐrɐzɪt
юрисдикція	jʊrezdɪkt͡sʲijɐ
співати	sʲpʲiʋɑte
кубинський	kʊbɪnʲsʲkei̯
авіфауна	ɐʋʲifɑʊnɐ
старий	stɐrɪi̯
ратифікація	rɐtefʲikɑt͡sʲijɐ
треба	trɛbɐ
позбуватися	pɔzbʊʋɑtesʲɐ
записувати	zɐpɪsʊʋɐte
бавитися	bɑʋetesʲɐ
інженер	inʒenɛr
основному	ɔsnɔu̯nɔmʊ
семінар	semʲinɑr
переслідувати	peresʲlʲidʊʋɐte
небо	nɛbɔ
реконструювати	rekɔnstrʊjʊʋɑte
витрачати	ʋetrɐt͡ʃɑte
вузол	wuzɔɫ
повноваження	pɔu̯nɔʋɑʒenʲːɐ
експериментувати	eksperementʊʋɑte
стандартів	stɐndɑrtʲiu̯
баварський	bɐʋɑrsʲkei̯
рилами	rɪɫɐme
нечутний	net͡ʃutnei̯
катастрофах	kɐtɐstrɔfɐx
гуляш	ɦʊlʲɑʃ
висота	ʋesɔtɑ
тренер	trɛner
відати	ʋʲidɐte
лисиця	ɫesɪt͡sʲɐ
якір	jɑkʲir
розмити	rɔzmɪte
глек	ɦɫɛk
процвітати	prɔt͡sʲʋʲitɑte
федерації	federɑt͡sʲiji
фотографії	fɔtɔɦrɑfʲiji
син	sɪn
колега	kɔɫɛɦɐ
ігри	iɦre
хвалити	xʋɐɫɪte
євразійський	jeu̯rɐzʲii̯sʲkei̯
рукою	rʊkɔjʊ
щиколотку	ʃt͡ʃɪkɔɫɔtkʊ
таці	tɑt͡sʲi
технологія	texnɔɫɔɦʲijɐ
страйк	strɑi̯k
рильцях	rɪlʲt͡sʲɐx
ній	nʲii̯
взаємозалежний	wzɐjemɔzɐɫɛʒnei̯
вільна	ʋʲilʲnɐ
призначення	preznɑt͡ʃenʲːɐ
церква	t͡sɛrkʋɐ
витратити	ʋɪtrɐtete
зняти	zʲnʲɑte
присутність	presutʲnʲisʲtʲ
зубр	zubr
вершки	ʋerʃkɪ
енциклопедія	ent͡sekɫɔpɛdʲijɐ
чоловік	t͡ʃɔɫɔʋʲik
відчувати	ʋʲid͡ʒt͡ʃʊʋɑte
сороковий	sɔrɔkɔʋei̯
гуляти	ɦʊlʲɑte
словечкові	sɫɔʋɛt͡ʃkɔʋʲi
сексуальний	seksʊɑlʲnei̯
вихідний	ʋexʲidnɪi̯
мечами	met͡ʃɑme
пробачити	prɔbɑt͡ʃete
проголошення	prɔɦɔɫɔʃenʲːɐ
революція	rewolʲut͡sʲijɐ
гамузом	ɦɑmʊzɔm
бджола	bd͡ʒɔɫɑ
поневолити	pɔnewɔɫete
який	jɐkɪi̯
ти	tɪ
книжках	kneʒkɑx
прапор	prɑpɔr
додатків	dɔdɑtʲkʲiu̯
запитання	zɐpetɑnʲːɐ
звертатися	zʋertɑtesʲɐ
всюдисущий	ʍsʲʊdesuʃt͡ʃei̯
сімнадцять	sʲimnɑd͡zʲt͡sʲɐtʲ
імперський	impɛrsʲkei̯
мусульманський	mʊsʊlʲmɑnʲsʲkei̯
автовакцина	ɐu̯tɔʋɐkt͡sɪnɐ
оса	ɔsɑ
добувати	dɔbʊʋɑte
структура	strʊkturɐ
ім'я	imjɑ
плутократіям	pɫʊtɔkrɑtʲijɐm
дзьоб	d͡zʲɔb
пенсія	pɛnʲsʲijɐ
дзвонити	d͡zwɔnɪte
могутній	mɔɦʊtʲnʲii̯
лабораторій	ɫɐbɔrɐtɔrʲii̯
авіаобприскування	ɐʋʲiɐɔbprɪskʊʋɐnʲːɐ
півень	pʲiʋenʲ
геометрична	ɦeɔmetrɪt͡ʃnɐ
корона	kɔrɔnɐ
сірий	sʲirei̯
селянство	selʲɑnstwɔ
конкретизація	kɔnkretezɑt͡sʲijɐ
інфекцію	infɛkt͡sʲijʊ
істерія	isterʲijɐ
фоб	fɔb
заслужити	zɐsɫʊʒɪte
ґазда	ɡɐzdɑ
неможливий	nemɔʒɫɪʋei̯
піднебіння	pʲidnebʲinʲːɐ
вони	wɔnɪ
купи	kupe
швеція	ʃʋɛt͡sʲijɐ
мимоволі	memɔwɔlʲi
емоцій	emɔt͡sʲii̯
посередник	pɔserɛdnek
ствол	stwɔɫ
містобудування	mʲistɔbʊdʊʋɑnʲːɐ
їх	jix
воша	wɔʃɐ
приваблювати	preʋɑblʲʊʋɐte
шанс	ʃɑns
поняття	pɔnʲɑtʲːɐ
довгий	dɔu̯ɦei̯
аварійник	ɐʋɐrʲii̯nek
інфекції	infɛkt͡sʲiji
зубрило	zʊbrɪɫɔ
екстремальний	ekstremɑlʲnei̯
одержувачка	ɔdɛrʒʊʋɐt͡ʃkɐ
зовнішня	zɔu̯nʲiʃnʲɐ
підлогу	pʲidɫɔɦʊ
стоматолог	stɔmɐtɔɫɔɦ
пригодницький	preɦɔdnet͡sʲkei̯
птах	ptɑx
бідувати	bʲidʊʋɑte
специфіка	spet͡sɪfʲikɐ
груди	ɦrude
бистрий	bɪstrei̯
вчити	ʍt͡ʃɪte
професор	prɔfɛsɔr
пральня	prɑlʲnʲɐ
ірландець	irɫɑndet͡sʲ
лаваш	ɫɐʋɑʃ
легітимація	ɫeɦʲitemɑt͡sʲijɐ
вбити	wbɪte
менеджмент	mɛned͡ʒment
компактність	kɔmpɑktʲnʲisʲtʲ
інтерпретувати	interpretʊʋɑte
дідусь	dʲidusʲ
риторика	retɔrekɐ
улюбленка	ʊlʲubɫenkɐ
сконцентрувати	skɔnt͡sentrʊʋɑte
клуб	kɫub
тою	tɔjʊ
абрис	ɑbres
ілона	iɫɔnɐ
кардіологія	kɐrdʲiɔɫɔɦʲijɐ
з'їдати	zjidɑte
свинець	sʋenɛt͡sʲ
імунологічний	imʊnɔɫoɦʲit͡ʃnei̯
налаштовувати	nɐɫɐʃtɔwʊʋɐte
австралійський	ɐu̯strɐlʲii̯sʲkei̯
неспокій	nespɔkʲii̯
кондитерський	kɔndɪtersʲkei̯
цвіль	t͡sʋilʲ
конференція	kɔnferɛnʲt͡sʲijɐ
доброчесний	dɔbrɔt͡ʃɛsnei̯
чудило	t͡ʃʊdɪɫɔ
масштаб	mɐʃːtɑb
урядовий	ʊrʲɐdɔʋei̯
делірій	delʲirʲii̯
тацю	tɑt͡sʲʊ
авіасполучення	ɐʋʲiɐspoɫut͡ʃenʲːɐ
сатира	sɐtɪrɐ
патологія	pɐtɔɫɔɦʲijɐ
діагностувати	dʲiɐɦnɔstʊʋɑte
підкорити	pʲidkɔrɪte
складний	skɫɑdnei̯
видра	ʋɪdrɐ
аблатив	ɐbɫɐtɪu̯
іванов	iʋɐnɔu̯
винаходити	ʋenɐxɔdete
словечкам	sɫɔʋɛt͡ʃkɐm
посміхатися	pɔsʲmʲixɑtesʲɐ
каплице	kɐpɫɪt͡se
сінгапур	sʲinɦɐpur
інцидент	int͡sedɛnt
троль	trɔlʲ
геоморфологія	ɦeɔmɔrfɔɫɔɦʲijɐ
феях	fɛjɐx
деталь	detɑlʲ
навидіти	nɑʋedʲite
страждати	strɐʒdɑte
інцидентах	int͡sedɛntɐx
забобон	zɐbɔbɔn
завдяки	zɐu̯dʲɐkɪ
милосердний	meɫɔsɛrdnei̯
додому	dɔdɔmʊ
випроменити	ʋɪprɔmenete
козирок	kɔzerɔk
назвати	nɐzʋɑte
майже	mɑi̯ʒe
нестача	nestɑt͡ʃɐ
абаз	ɐbɑz
стіг	sʲtʲiɦ
теоріях	teɔrʲijɐx
структурувати	strʊktʊrʊʋɑte
селезінка	seɫezʲinkɐ
голландський	ɦɔɫːɑnd͡zʲsʲkei̯
абстракціоніст	ɐbstrɐkt͡sʲionʲist
торкнутися	torknutesʲɐ
мені	menʲi
призвичаювати	prezʋet͡ʃɑjʊʋɐte
ясний	jɐsnɪi̯
лякатися	lʲɐkɑtesʲɐ
перевезення	pereʋɛzenʲːɐ
буржуазний	bʊrʒʊɑznei̯
молодице	mɔɫɔdɪt͡se
дорослішати	dɔrɔsʲlʲiʃɐte
згадувати	zɦɑdʊʋɐte
відчуття	ʋʲid͡ʒt͡ʃʊtʲːɑ
державний	derʒɑu̯nei̯
в'єтнам	ʋjetnɑm
похибка	pɔxebkɐ
почарківець	pɔt͡ʃɐrkʲiʋet͡sʲ
вивезти	ʋɪʋezte
еволюція	ewolʲut͡sʲijɐ
переводити	perewɔdɪte
лавреат	ɫɐu̯reɑt
фігура	fʲiɦurɐ
пиріг	perʲiɦ
бородавка	bɔrɔdɑu̯kɐ
квиток	kʋetɔk
учень	ut͡ʃenʲ
білоруска	bʲiɫoruskɐ
зображати	zɔbrɐʒɑte
мелодіє	meɫɔdʲije
єгипет	jeɦɪpet
вуглевод	wʊɦɫewɔd
чадо	t͡ʃɑdɔ
виборів	ʋɪbɔrʲiu̯
шомпол	ʃɔmpɔɫ
шлунок	ʃɫunɔk
телеглядачка	teɫeɦlʲɐdɑt͡ʃkɐ
причина	pret͡ʃɪnɐ
реформування	refɔrmʊʋɑnʲːɐ
доза	dɔzɐ
непередбачений	neperedbɑt͡ʃenei̯
змінювати	zʲmʲinʲʊʋɐte
абатиса	ɐbɐtɪsɐ
участь	ut͡ʃɐsʲtʲ
епічний	epʲit͡ʃnei̯
традицію	trɐdɪt͡sʲijʊ
додаткові	dɔdɑtkɔʋʲi
трав'яний	trɐʋjɐnɪi̯
заварити	zɐʋɐrɪte
номінальний	nɔmʲinɑlʲnei̯
популяризувати	pɔpʊlʲɐrezʊʋɑte
виробничий	ʋerɔbnɪt͡ʃei̯
роман	rɔmɑn
депутат	depʊtɑt
норма	nɔrmɐ
номер	nɔmer
адреса	ɑdresɐ
курва	kurʋɐ
терміновий	termʲinɔʋei̯
оптика	ɔptekɐ
битв	bɪtʋ
узлісся	ʊzʲlʲisʲːɐ
утрата	ʊtrɑtɐ
блокаді	bɫɔkɑdʲi
рилам	rɪɫɐm
посольство	pɔsɔlʲstwɔ
протитанковий	prɔtetɑnkɔʋei̯
ремісник	remʲisnɪk
турок	turɔk
швейцарка	ʃʋei̯t͡sɑrkɐ
прикордонний	prekɔrdɔnːei̯
наврез	nɐu̯rɛz
щедрий	ʃt͡ʃɛdrei̯
ґешефт	ɡeʃɛft
дрижаки	dreʒɐkɪ
ненавидіти	nenɑʋedʲite
календареві	kɐɫendɐrɛʋʲi
селище	sɛɫeʃt͡ʃe
ґатунок	ɡɐtunɔk
берлін	berlʲin
федерація	federɑt͡sʲijɐ
авіапідживлення	ɐʋʲiɐpʲid͡ʒɪu̯ɫenʲːɐ
старіти	stɐrʲite
термометрія	termɔmɛtʲrʲijɐ
віз	ʋʲiz
продовження	prɔdɔu̯ʒenʲːɐ
перевиховувати	pereʋexɔwʊʋɐte
християнин	xrestejɐnɪn
кіготь	kʲiɦɔtʲ
цім	t͡sʲim
горизонті	ɦɔrezɔnʲtʲi
мучити	mut͡ʃete
кокос	kɔkɔs
книжкова	kneʒkɔʋɐ
мрії	mrʲiji
вимова	ʋemɔʋɐ
адреса	ɐdrɛsɐ
скептицизм	skeptet͡sɪzm
творити	twɔrɪte
абандон	ɐbɐndɔn
авансцена	ɐʋɐnst͡sɛnɐ
крихітний	krɪxʲitnei̯
неділя	nedʲilʲɐ
кенія	kɛnʲijɐ
приданий	prɪdɐnei̯
співчуття	sʲpʲiu̯t͡ʃʊtʲːɑ
англіцизм	ɐnɦlʲit͡sɪzm
відчай	ʋʲid͡ʒt͡ʃɐi̯
різновид	rʲiznɔʋed
дядько	dʲɑdʲkɔ
власність	wɫɑsʲnʲisʲtʲ
сам	sɑm
обеззброїти	ɔbezːbrɔjite
вночі	wnot͡ʃʲi
військовий	ʋʲii̯sʲkɔʋei̯
порівняти	pɔrʲiu̯nʲɑte
обшукувати	obʃukʊʋɐte
дружити	drʊʒɪte
дорожчий	dɔrɔʒt͡ʃei̯
ненависть	nenɑʋesʲtʲ
вантажівка	ʋɐntɐʒʲiu̯kɐ
сталь	stɑlʲ
пень	pɛnʲ
поглиблювати	pɔɦɫɪblʲʊʋɐte
ковбаси	kɔu̯bɐsɪ
автобаза	ɐu̯tɔbɑzɐ
триста	trɪstɐ
ностальгувати	nɔstɐlʲɦʊʋɑte
абсурдно	ɐbsurdnɔ
звиклий	zʋɪkɫei̯
фіскальний	fʲiskɑlʲnei̯
познань	pɔznɐnʲ
карликова	kɑrɫekɔʋɐ
словника	sɫɔu̯nekɑ
аритметика	ɐretmɛtekɐ
інтересувати	interesʊʋɑte
авантурник	ɐʋɐnturnek
пропорцією	prɔpɔrt͡sʲijejʊ
відпочивати	ʋʲidpɔt͡ʃeʋɑte
приборкати	prebɔrkɐte
вхід	ʍxʲid
бомбосховище	bɔmbɔsxɔʋeʃt͡ʃe
багнистий	bɐɦnɪstei̯
гендер	ɦɛnder
галун	ɦɐɫun
територіальна	teretɔrʲiɑlʲnɐ
різнорідність	rʲiznorʲidʲnʲisʲtʲ
дороговказ	dɔrɔɦɔu̯kɑz
повезти	pɔʋeztɪ
брехнями	brɛxnʲɐme
зібрати	zʲibrɑte
відмінювання	ʋʲidʲmʲinʲʊʋɐnʲːɐ
лошак	ɫɔʃɑk
настати	nɐstɑte
столичний	stɔɫɪt͡ʃnei̯
телугу	tɛɫʊɦʊ
істота	istɔtɐ
конформізм	kɔnformʲizm
бойко	bɔi̯kɔ
навколишній	nɐu̯kɔɫeʃnʲii̯
мотоцикла	mɔtɔt͡sɪkɫɐ
супутник	sʊputnek
сузір'я	sʊzʲirjɐ
плотський	pɫɔt͡sʲkei̯
атеїстичний	ɐtejistɪt͡ʃnei̯
добридень	dɔbredɛnʲ
кіберпростір	kʲiberprɔsʲtʲir
діафрагм	dʲiɐfrɑɦm
аденозин	ɐdenɔzɪn
кишенька	keʃɛnʲkɐ
м'ята	mjɑtɐ
битво	bɪtwɔ
патоген	pɐtɔɦɛn
полон	pɔɫɔn
великомученик	ʋeɫekomut͡ʃenek
смородина	smɔrɔdenɐ
кишені	keʃɛnʲi
газ	ɦɑz
дуже	duʒe
так	tɑk
гад	ɦɑd
вирішення	ʋɪrʲiʃenʲːɐ
самоук	sɐmɔuk
ім'я	imjɐ
опис	ɔpes
довічний	dɔʋʲit͡ʃnei̯
критика	krɪtekɐ
словникові	sɫɔu̯nekɔʋʲi
королевич	kɔrɔɫɛʋet͡ʃ
внутрішній	wnutʲrʲiʃnʲii̯
мамо	mɑmɔ
зустріч	zustʲrʲit͡ʃ
дровця	drɔu̯t͡sʲɑ
племінниця	pɫemʲinːet͡sʲɐ
толерантність	tɔɫerɑntʲnʲisʲtʲ
гривню	ɦrɪu̯nʲʊ
колесо	kɔɫesɔ
репортер	repɔrtɛr
ідеологічний	ideɔɫoɦʲit͡ʃnei̯
шантажувати	ʃɐntɐʒʊʋɑte
вниз	wnɪz
безплатний	bezpɫɑtnei̯
наше	nɑʃe
благоговіння	bɫɐɦɔɦɔʋʲinʲːɐ
пасажирка	pɐsɐʒɪrkɐ
роззброєння	rɔzːbrɔjenʲːɐ
луна	ɫʊnɑ
здійснювати	zʲdʲii̯sʲnʲʊʋɐte
поставити	pɔstɑʋete
уманець	ʊmɐnɛt͡sʲ
ідіотичний	idʲiɔtɪt͡ʃnei̯
найбільший	nɐi̯bʲilʲʃei̯
зразок	zrɐzɔk
швидкістю	ʃʋɪdʲkʲisʲtʲʊ
сертифікація	sertefʲikɑt͡sʲijɐ
абракадабризм	ɐbrɐkɐdɐbrɪzm
довжина	dɔu̯ʒenɑ
фразеологія	frɐzeɔɫɔɦʲijɐ
дев'ять	dɛʋjɐtʲ
соціалістка	sɔt͡sʲiɐlʲistkɐ
багатозначний	bɐɦɐtɔznɑt͡ʃnei̯
християнство	xrestejɑnstwɔ
внука	wnukɐ
біднота	bʲidnɔtɑ
обов'язково	ɔbɔʋjɐzkɔwɔ
пугач	puɦɐt͡ʃ
вірменський	ʋʲirmɛnʲsʲkei̯
шпальта	ʃpɑlʲtɐ
престижний	prestɪʒnei̯
кріпкий	krʲipkɪi̯
кварк	kʋɑrk
асоціація	ɐsɔt͡sʲiɑt͡sʲijɐ
затверджувати	zɐtʋɛrd͡ʒʊʋɐte
волокти	wɔɫɔktɪ
переконувати	perekɔnʊʋɐte
настрій	nɑstʲrʲii̯
утомлений	ʊtɔmɫenei̯
перемир'я	peremɪrjɐ
очевидець	ɔt͡ʃeʋɪdet͡sʲ
теологія	teɔɫɔɦʲijɐ
енциклопедист	ent͡sekɫɔpedɪst
закохатися	zɐkɔxɑtesʲɐ
вітальні	ʋʲitɑlʲnʲi
окупувати	ɔkʊpʊʋɑte
крокодил	krɔkɔdɪɫ
адміністратор	ɐdʲmʲinʲistrɑtɔr
смертельний	smertɛlʲnei̯
консервувати	kɔnserwʊʋɑte
розумовий	rɔzʊmɔʋei̯
мис	mɪs
вершків	ʋerʃkʲiu̯
шкір	ʃkʲir
очолювати	ɔt͡ʃɔlʲʊʋɐte
роки	rɔke
буква	bukʋɐ
телескоп	teɫeskɔp
морквяний	mɔrkʋʲɑnei̯
більшого	bʲilʲʃɔɦɔ
виявляти	ʋejɐu̯lʲɑte
нейтралітет	nei̯trɐlʲitɛt
квартир	kʋɐrtɪr
юґославія	jʊɡɔsɫɑʋʲijɐ
припущення	prepuʃt͡ʃenʲːɐ
монастир	mɔnɐstɪr
фрукт	frukt
америка	ɐmɛrekɐ
містечко	mʲistɛt͡ʃkɔ
застерегти	zɐstereɦtɪ
ізраїльтянка	izrɐjilʲtʲɑnkɐ
побачити	pɔbɑt͡ʃete
обрус	obrus
наперсток	nɐpɛrstɔk
заперечувати	zɐperɛt͡ʃʊʋɐte
дякую	dʲɑkʊjʊ
всі	ʍsʲi
клятьба	klʲɐdʲbɑ
мелодій	meɫɔdʲii̯
шкірами	ʃkʲirɐme
завод	zɐwɔd
вакації	ʋɐkɑt͡sʲiji
передчасна	pered͡ʒt͡ʃɑsnɐ
ковбаса	kɔu̯bɐsɑ
сінаж	sʲinɑʒ
нагий	nɐɦɪi̯
святкувати	sʲʋʲɐtkʊʋɑte
підприємниця	pʲidprejɛmnet͡sʲɐ
бюрократ	bʲʊrɔkrɑt
повсякденний	pɔu̯sʲɐɡdɛnːei̯
радянський	rɐdʲɑnʲsʲkei̯
особливість	ɔsɔbɫɪʋʲisʲtʲ
бджільництво	bd͡ʒʲilʲnɪt͡stwɔ
індивід	indeʋʲid
криптовалюта	kreptɔʋɐlʲutɐ
сіль	sʲilʲ
хаос	xɑɔs
отрута	otrutɐ
дирижабль	dereʒɑblʲ
живий	ʒeʋɪi̯
венам	ʋɛnɐm
пізніший	pʲizʲnʲiʃei̯
знижувати	znɪʒʊʋɐte
націоналістичний	nɐt͡sʲiɔnɐlʲistɪt͡ʃnei̯
освіжати	ɔsʲʋʲiʒɑte
душ	duʃ
вітальнями	ʋʲitɑlʲnʲɐme
вербальний	ʋerbɑlʲnei̯
принцеса	prent͡sɛsɐ
емігрувати	emʲiɦrʊʋɑte
звідси	zʲʋʲid͡zse
органи	ɔrɦɐne
фіолетовий	fʲiɔɫɛtɔʋei̯
дзвінкий	d͡zʲʋʲinkɪi̯
ґава	ɡɑʋɐ
проголошений	prɔɦɔɫɔʃenei̯
безболісний	bezbɔlʲisnei̯
ізолювати	izɔlʲʊʋɑte
віднести	ʋʲidnestɪ
мужчина	mʊʒt͡ʃɪnɐ
однина	ɔdnenɑ
підтримуючий	pʲidtrɪmʊjʊt͡ʃei̯
порівнювати	porʲiu̯nʲʊʋɐte
уможливити	ʊmɔʒɫɪʋete
куба	kubɐ
деїзм	dejizm
вкус	ʍkus
число	t͡ʃesɫɔ
костел	kɔstɛɫ
особистий	ɔsɔbɪstei̯
вижлуктити	ʋɪʒɫʊktete
закономірний	zɐkɔnomʲirnei̯
спорожняти	spɔrɔʒnʲɑte
моїй	mɔjii̯
пірнути	pʲirnute
вторгатися	ʍtɔrɦɑtesʲɐ
шестисотий	ʃestesɔtei̯
танки	tɑnke
енергія	enɛrɦʲijɐ
слов'янко	sɫɔʋjɑnkɔ
авітаміноз	ɐʋʲitɐmʲinɔz
дорослий	dɔrɔsɫei̯
рало	rɑɫɔ
зоря	zɔrʲɑ
швидкість	ʃʋɪdʲkʲisʲtʲ
аномальний	ɐnɔmɑlʲnei̯
скронь	skrɔnʲ
метод	mɛtɔd
школа	ʃkɔɫɐ
ринок	rɪnɔk
обрати	ɔbrɑte
інструкцією	instrukt͡sʲijejʊ
м'язів	mjɑzʲiu̯
клітина	klʲitɪnɐ
ґвалт	ɡʋɑɫt
брід	brʲid
супруга	sʊpruɦɐ
яловичини	jɑɫɔʋet͡ʃene
автовласник	ɐu̯tɔu̯ɫɑsnek
пустиня	pʊstɪnʲɐ
раціях	rɑt͡sʲijɐx
афганський	ɐvɦɑnʲsʲkei̯
вовна	wɔu̯nɐ
корінь	kɔrʲinʲ
обіцянка	ɔbʲit͡sʲɑnkɐ
ведучий	ʋedut͡ʃei̯
мир	mɪr
олег	ɔɫɛɦ
мріє	mrʲije
сосна	sɔsnɑ
аварка	ɐʋɑrkɐ
ґедзь	ɡɛd͡zʲ
дихальний	dɪxɐlʲnei̯
погляд	pɔɦlʲɐd
ідіотка	idʲiɔtkɐ
сигнал	seɦnɑɫ
