secretive	sˈiːkɹətˌɪv
damselfly	dˈæmsɪlflˌaɪ
switching	swˈɪtʃɪŋ
telephony	tɪlˈɛfəni,təlˈɛfənˌi
logician	lədʒˈɪʃən
scimitar	sˈɪmɪtɐ
gran	gɹˈæn,ɡɹˈæn
tempest	tˈɛmpəst
profligate	pɹˈɒflɪɡˌeɪt
juveniles	dʒˈuːvənˌaɪlz
brilliantine	bɹˈɪlɪəntˌiːn
moms	mˈɒmz
servitude	sˈɜːvɪtjˌuːd
deodar	diːˈɒdɐ
loftiness	lˈɒftɪnəs
futurologists	fjˌuːtʃəɹˈɒlədʒˌɪsts
picnicking	pˈɪknɪkɪŋ
muralist	mjˈʊɹəlˌɪst
disjointedness	dɪsdʒˈɔɪntɪdnəs
yurt	jˈɜːt
garrotted	ɡərɹˈɒtɪd
seats	sˈiːts
reciprocated	ɹɪsˈɪpɹəkˌeɪtɪd
undermined	ˌʌndəmˈaɪnd
tribe	tɹˈaɪb
directing	daɪɹˈɛktɪŋ
grieves	ɡɹˈiːvz
horsetails	hˈɔːsteɪlz
tuck	tˈɐk,tˈʌk
accusatory	ɐkjˈuːzətəɹˌi
arrivederci	ɐɹˈaɪvɪdəsˌaɪ
buffeting	bˈʌfɪtɪŋ
enfolding	ɛnfˈəʊldɪŋ
glimmer	ɡlˈɪmɐ
sifts	sˈɪfts
diverting	daɪvˈɜːtɪŋ
cashflow	kˈæʃfləʊ
tantrum	tˈɑːntɹəm
towline	tˈəʊlaɪn
bradycardia	bɹˌædɪkˈɑːdiə
blindfolded	blˈaɪndfəʊldɪd
crutch	kɹˈʌtʃ,kɹˈɐtʃ
electromechanical	ɪlˌɛktɹəʊmɪkˈænɪkəl
lagging	lˈæɡɪŋ
typhoid	tˈaɪfɔɪd
stemmed	stˈɛmd
mudpack	mˈʌdpæk
sliced	slˈaɪst
shushed	ʃˈʌʃt
gordon	gˈɔːdən
woollens	wˈʊlənz
motorbikes	mˈəʊtəbˌaɪks
deferments	dɪfˈɜːmənts
separable	sˈɛpəɹəbəl
idiomatic	ˌɪdɪəmˈætɪk
embroider	ɛmbɹˈɔɪdɐ
cholent	kˈəʊlənt
praises	pɹˈeɪzɪz
cells	sˈɛlz
moulting	mˈəʊltɪŋ
clumsiest	klˈʌmzɪəst
rani	ɹˈæni
waverers	wˈeɪvɹəz
generational	dʒˌɛnəɹˈeɪʃənəl
lovably	lˈʌvəbli
chemically	kˈɛmɪkli
businessmen	bˈɪznəsmˌɛn,bˈɪznɪsmən
undervaluing	ˌʌndəvˈæljuːɪŋ
lessens	lˈɛsənz
miniaturising	mˈɪnɪtʃəɹˌaɪzɪŋ
havering	hˈeɪvəɹɪŋ
picking	pˈɪkɪŋ
ramifications	ɹˌæmɪfɪkˈeɪʃənz
defining	dɪfˈaɪnɪŋ
reassesses	ɹˌiːɐsˈɛsɪz
epicureans	ˈɛpɪkjˌʊɹiənz
coalesced	kəʊəlˈɛst
squabbles	skwˈɒbəlz
imparts	ɪmpˈɑːts
compensate	kˈɒmpənsˌeɪt
fetishist	fˈɛtɪʃˌɪst
aleph	ˈælɛf
clodhopping	klˈɒdhɒpɪŋ
loverly	lˈʌvəli
rehab	ɹˈiːhˌæb,ɹɪhˈæb
pantry	pˈæntɹi,pˈɑːntɹi
importers	ɪmpˈɔːtəz
marshalled	mˈɑːʃəld
cordage	kˈɔːdɪdʒ
swirling	swˈɜːlɪŋ
veers	vˈiəz
luciferin	lˈuːsɪfəɹˌɪn
counsellors	kˈaʊnsɛləz
meson	mˈiːzɒn
healthful	hˈɛlθfəl
gripes	ɡɹˈaɪps
righter	ɹˈaɪtɐ
groaning	ɡɹˈəʊnɪŋ,gɹˈəʊnɪŋ
lucre	lˈuːkɐ
broadcast	bɹˈɔːdkˌɑːst,bɹˈɔːdkɑːst
pandemic	pændˈɛmɪk
redecorated	ɹˌiːdˈɛkəɹˌeɪtɪd
wearisome	wˈeəɹisˌʌm
summoner	sˈʌmənɐ
samovar	sˈæmuːvˌɑː
opportunistic	ɒpətjuːnˈɪstɪk
devotional	dɪvˈəʊʃənəl
sprite	spɹˈaɪt
conspiracy	kənspˈɪɹəsi
mir	mˈiə
probables	pɹˈɒbəbəlz
nihilists	nˈaɪəlˌɪsts
foetus	fˈiːtəs
teddy	tˈɛdi
audacity	ɔːdˈæsɪti
awfully	ˈɔːfəli,ˈɔːfli
insignificance	ˌɪnsɪɡnˈɪfɪkəns
stoicism	stˈəʊɪsˌɪzəm
liberate	lˈɪbəɹˌeɪt
micromanagement	mˌaɪkɹəʊmˈænɪdʒmənt
woody	wˈʊdi
sterilisers	stˈɛɹəlˌaɪzəz
basalt	bˈæsɒlt
obstetric	ɒbstˈɛtɹɪk
underutilised	ˌʌndəjˈuːtəlˌaɪzd
zebras	zˈɛbɹəz
boar	bˈɔː
reflexologist	ɹɪflɪksˈɒlədʒˌɪst
laments	lɐmˈɛnts
offertory	ˈɒfətəɹˌi
spectaculars	spɛktˈækjʊləz
speculate	spˈɛkjʊlˌeɪt
maypole	mˈeɪpəʊl
candlelight	kˈændəllˌaɪt
airship	ˈeəʃɪp
watchtowers	wˈɒtʃtaʊəz
runnels	ɹˈʌnəlz
sibilant	sˈɪbɪlənt
spiraled	spˈaɪəɹəld
spangly	spˈæŋli
peat	pˈiːt
gastroenterologist	ɡˌæstɹəʊntəɹˈɒlədʒˌɪst
om	ˈɒm
doggies	dˈɒɡɪz
comedians	kəmˈiːdiənz
femaleness	fˈiːmeɪlnəs
underemployed	ˌʌndəɹɛmplˈɔɪd
interpreters	ɪntˈɜːpɹɪtəz
suicidally	sˌuːɪsˈaɪdəli
goby	ɡˈəʊbi
fresher	fɹˈɛʃɐ
fusing	fjˈuːzɪŋ
midway	mˈɪdweɪ
lock	lˈɒk
louse	lˈaʊs
trilateral	tɹˈaɪlɐtəɹəl
palindromic	pˌeɪlɪndɹˈɒmɪk
uprating	ˈʌpɹeɪtɪŋ
undercooked	ˌʌndəkˈʊkt
whatsoever	wˌɒtsəʊˈɛvə,wɒtsˌəʊˈɛvɐ
firebreaks	fˈaɪəbɹeɪks
hidden	hˈɪdən
sleeved	slˈiːvd
inkling	ˈɪŋklɪŋ
disapproved	dˌɪsɐpɹˈuːvd
squadron	skwˈɒdɹən
urus	jˈɔːɹəs
nasdaq	nˈæzdæk
unrelieved	ˌʌnɹɪlˈiːvd
harmonisation	hˌɑːmənaɪzˈeɪʃən
fatherless	fˈɑːðələs
gelling	dʒˈɛlɪŋ
demonise	dˈiːmənˌaɪz
douched	dˈuːʃt
tuba	tjˈuːbɐ
litres	lˈiːtəz
presumptive	pɹɪsˈʌmptɪv
switcheroo	swˈɪtʃəɹˌuː
vhf	vˌiːˌeɪtʃˈɛf
combed	kˈəʊmd
aggressors	ɐɡɹˈɛsəz
tosser	tˈɒsɐ
remix	ɹiːmˈɪks,ɹɪmˈɪks,ɹˈiːmˌɪks
inhibited	ɪnhˈɪbɪtɪd
handsful	hˈændzfəl
endoscopy	ɛndˈəʊskəpi
refitted	ɹiːfˈɪtɪd,ɹˈiːfɪtɪd
sureties	ʃˈɔːɹətˌiz
sphincters	sfˈɪŋktəz
maypoles	mˈeɪpəʊlz
discomforting	dɪskˈʌmfətɪŋ
pickiest	pˈɪkiəst
dollar	dˈɒlə,dˈɒlɐ
yep	jˈɛp
tusks	tˈʌsks
parotid	pˈæɹətˌɪd
headache	hˈɛdˌeɪk,hˈɛdeɪk
kneecap	nˈiːkæp
brandish	bɹˈændɪʃ
whirlpool	wˈɜːlpuːl
presbyterian	pɹɪsbaɪtˈiəɹɪən
lyres	lˈaɪəz
syncopated	sˈɪnkəpˌeɪtɪd
thirsting	θˈɜːstɪŋ
ghosted	ɡˈəʊstɪd
clears	klˈɪəz,klˈiəz
gouache	ɡwˈɑːtʃ
haemoglobin	hˈiːməɡlˌɒbɪn
privateer	pɹˌaɪvətˈiə
dressings	dɹˈɛsɪŋz
retiarius	ɹɛʃˈaɪəɹɪəs
euphoric	juːfˈɒɹɪk
birdlike	bˈɜːdlaɪk
initiators	ɪnˈɪʃɪˌeɪtəz
likenesses	lˈaɪknəsɪz
electorally	ɪlˈɛktəɹəli
excommunication	ɛkskəmjˌuːnɪkˈeɪʃən
gladstones	ɡlˈædstəʊnz
creed	kɹˈiːd
trowelling	tɹˈaʊəlɪŋ
parachuted	pˈæɹəʃˌuːtɪd
transpires	tɹænspˈaɪəz
hobnobbing	hˈɒbnɒbɪŋ
chutes	ʃˈuːts
dimming	dˈɪmɪŋ
carbonates	kˈɑːbənˌeɪts
compute	kəmpjˈuːt
lifelessness	lˈaɪfləsnəs
ambassadorships	ɐmbˈæsədəʃˌɪps
maxim	mˈæksɪm
outside	ˈaʊtsaɪd,aʊtsˈaɪd
crunchers	kɹˈʌntʃəz
fatheads	fˈæthɛdz
vulgate	vˈʌlɡeɪt
written	ɹˈɪtən
bleached	blˈiːtʃt
emulate	ˈɛmjʊlˌeɪt
unmoving	ʌnmˈuːvɪŋ
replicating	ɹˈɛplɪkˌeɪtɪŋ
fished	fˈɪʃt
manslaughter	mˈænslɔːtɐ
annoyed	ənˈɔɪd,ɐnˈɔɪd
slackens	slˈækənz
clinks	klˈɪŋks
levitates	lˈɛvɪtˌeɪts
reclaimed	ɹɪklˈeɪmd
interlacing	ˌɪntəlˈeɪsɪŋ
magnifies	mˈæɡnɪfˌaɪz
confectioners	kənfˈɛkʃənəz
teachings	tˈiːtʃɪŋz
southerners	sˈʌðənəz
ponces	pˈɒnsɪz
ingenious	ɪndʒˈiːnɪəs,ɪndʒˈiːnjəs
scats	skˈæts
passover	pˈæsəʊvɐ
amnesty	ˈæmnəsti,ˈæmnɪsti
ousted	ˈaʊstɪd
cloudiness	klˈaʊdɪnəs
jackrabbit	dʒˈækɹɐbˌɪt
abattoirs	ˈæbɐtwˌɑːz
pigs	pˈɪɡz,pˈɪgz
uxorious	ʌksˈɔːɹɪəs
swims	swˈɪmz
pollarding	pˈɒlɑːdɪŋ
hogging	hˈɒɡɪŋ
battle	bˈætəl
outdoors	aʊtdˈɔːz,ˈaʊtdˌɔːz
cold	kˈəʊld
signories	sɪnjˈɔːɹɪz
consultancies	kənsˈʌltənsɪz
cromlechs	kɹˈɒmlɛtʃz
scratching	skɹˈætʃɪŋ
overrule	ˌəʊvəɹˈuːl
toothy	tˈuːθi
aluminum	əlˈuːmɪnəm
neckerchief	nˈɛkətʃˌiːf
supping	sˈʌpɪŋ
coracles	kˈɒɹəkəlz
venezuela	vˌɛnɪzwˈeɪlə
including	ɪnklˈuːdɪŋ
secretions	sɪkɹˈiːʃənz
pluperfect	plˈuːpəfˌɛkt
senorita	sˌɛnɔːɹˈiːtɐ
skit	skˈɪt
miniaturists	mˈɪnɪtʃəɹˌɪsts
guzzler	ɡˈʌzlɐ
predilections	pɹˌiːdɪlˈɛkʃənz
collectively	kəlˈɛktɪvli
playroom	plˈeɪɹuːm
grafter	ɡɹˈɑːftɐ
luxuriant	lˈʌɡʒjʊɹˌiənt
splitter	splˈɪtɐ
breakouts	bɹˈeɪkaʊts
dormouse	dˈɔːmaʊs,dˈɔːmˌaʊs
gunboats	ɡˈʌnbəʊts
leavening	lˈɛvənɪŋ
swansdown	swˈɒnsdaʊn
impossibly	ɪmpˈɒsəbli
textured	tˈɛkstʃəd
ounce	ˈaʊns
rowlock	ɹˈəʊlɒk
visualization	vˌɪzjʊəlaɪzˈeɪʃən,vˌɪʒʊəlaɪzˈeɪʃən
clerihew	klˈɛɹɪhjˌuː
rephrased	ɹɪfɹˈeɪzd
infrastructure	ˌɪnfɹəstɹˈɐktʃə,ˈɪnfɹəstɹˌʌktʃɐ
narcotic	nɑːkˈɒtɪk
denigrate	dˈɛnɪɡɹˌeɪt
yachtsman	jˈɒtsmən
airman	ˈeəmən
clannish	klˈænɪʃ
glow	glˈəʊ,ɡlˈəʊ
narrows	nˈæɹəʊz
immured	ɪmjˈɔːd
methought	mˈɛθɔːt
houses	hˈaʊzɪz
throe	θɹˈəʊ
mendelevium	mˌɛndɪlˈiːviəm
loquacious	ləkwˈeɪʃəs
macerating	mˈæsəɹˌeɪtɪŋ
bounce	bˈaʊns
saltier	sˈɒltɪɐ
monogamy	mənˈɒɡæmi
frontages	fɹˈʌntɪdʒɪz
plotter	plˈɒtɐ
typhus	tˈaɪfəs
concertos	kəntʃˈeətəʊz
scalability	skˌeɪləbˈɪlɪti
metastatic	mˌɛtəstˈætɪk
snatchy	snˈætʃi
wingspans	wˈɪŋspænz
ascendency	ɐsˈɛndənsi
ovary	ˈəʊvəɹi
levying	lˈɛvɪɪŋ
treader	tɹˈɛdɐ
ament	ɐmˈɛnt
extorting	ɛkstˈɔːtɪŋ
repressions	ɹɪpɹˈɛʃənz
being	bˈiːɪŋ
bumping	bˈʌmpɪŋ
minder	mˈaɪndɐ
swan	swˈɒn
chauvinism	ʃˈəʊvɪnˌɪzəm
acetic	ɐsˈiːtɪk
swath	swˈɒθ
crimp	kɹˈɪmp
externalised	ɛkstˈɜːnəlˌaɪzd
eradicate	ɪɹˈædɪkˌeɪt
leaper	lˈiːpɐ
leghorns	lˈɛɡhɔːnz
lymphocyte	lˈɪmfəsˌaɪt
indomitability	ɪndˌɒmɪtəbˈɪlɪti
tain	tˈeɪn
panda	pˈændɐ,pˈændə
respiration	ɹˌɛspɪɹˈeɪʃən
absorbable	ɐbsˈɔːbəbəl
dissertation	dɪsətˈeɪʃən
unstained	ʌnstˈeɪnd
pyromaniacs	pˌaɪɹəʊmˈeɪnɪˌæks
sidles	sˈaɪdəlz
scabs	skˈæbz
reflectively	ɹɪflˈɛktɪvli
nobbles	nˈɒbəlz
sidewinders	sˈaɪdwaɪndəz
maimed	mˈeɪmd
stabled	stˈeɪbəld
reformat	ɹɪfˈɔːmæt
prepayment	pɹɪpˈeɪmənt
enabling	ɛnˈeɪblɪŋ,ɛnˈeɪbəlɪŋ,ɪnˈeɪblɪŋ
purer	pjˈʊɹɐ
binder	bˈaɪndɐ
bargello	bɑːdʒˈɛləʊ
reagents	ɹɪˈeɪdʒənts
scanned	skˈænd
ionise	ˈaɪənˌaɪz
dump	dˈɐmp,dˈʌmp
inimitable	ɪnˈɪmɪtəbəl
thankful	θˈæŋkfəl
tapis	tˈæpiz
cavers	kˈeɪvəz
dialled	dˈaɪəld
pasteuriser	pˈɑːstjuːɹˌaɪzɐ
impatiens	ɪmpˈeɪʃənz
underfoot	ˌʌndəfˈʊt
nose	nˈəʊz
strophe	stɹˈɒf
unadjusted	ʌnɐdʒˈʌstɪd
sandstorm	sˈændstɔːm
electrical	ɪlˈɛktɹɪkəl
swapping	swˈɒpɪŋ
entrust	ɛntɹˈʌst
temperate	tˈɛmpəɹət
rats	ɹˈæts
designations	dˌɛzɪɡnˈeɪʃənz
naturalist	nˈætʃəɹəlˌɪst
shank	ʃˈæŋk
reciprocate	ɹɪsˈɪpɹəkˌeɪt
notch	nˈɒtʃ
sweetest	swˈiːtəst
nylons	nˈaɪlɒnz
lifeblood	lˈaɪfblʌd
holing	hˈəʊlɪŋ
offish	ˈɒfɪʃ
convenor	kənvˈɛnɐ
straightest	stɹˈeɪtəst
mechanics	mɪkˈænɪks
paddies	pˈædɪz
felonious	fɛlˈəʊnɪəs
voluntarism	vˈɒləntəɹˌɪzəm
unfounded	ʌnfˈaʊndɪd
borderers	bˈɔːdəɹəz
joyousness	dʒˈɔɪəsnəs
continuity	kˌɒntɪnjˈuːɪti,kɒntɪnjˈuːɪti
drifts	dɹˈɪfts
potboilers	pˈɒtbɔɪləz
surreptitiously	səɹɪptˈɪʃəsli
experiments	ɪkspˈɛɹɪmənts,ɛkspˈɛɹɪmənts
jackdaw	dʒˈækdɔː
recommit	ɹˌiːkəmˈɪt
aftereffect	ˈɑːftəɹɪfˌɛkt
depiction	dɪpˈɪkʃən
wealthiest	wˈɛlθɪəst
inopportune	ɪnɒpətjˈuːn
earlobes	ˈiələʊbz
traipsed	tɹˈeɪpsd
fresco	fɹˈɛskəʊ
outpourings	aʊtpˈɔːɹɪŋz
hornless	hˈɔːnləs
embroiders	ɛmbɹˈɔɪdəz
conspiracies	kənspˈɪɹəsɪz
retractor	ɹɪtɹˈæktɐ
encircle	ɛnsˈɜːkəl
fro	fɹˈəʊ
cowslips	kˈaʊslɪps
personalising	pˈɜːsənəlˌaɪzɪŋ
mackintosh	mˈækɪntˌɒʃ
messaging	mˈɛsɪdʒɪŋ
confine	kənfˈaɪn,kˈɒnfaɪn
delicacies	dˈɛlɪkəsɪz
impertinently	ɪmpˈɜːtɪnəntli
result	ɹɪzˈɐlt,ɹɪzˈʌlt
limping	lˈɪmpɪŋ
pawnbroker	pˈɔːnbɹəʊkɐ
skits	skˈɪts
pilotage	pˈaɪlɒtɪdʒ
essayed	ˈɛseɪd
breading	bɹˈɛdɪŋ
irritatingly	ˈɪɹɪtˌeɪtɪŋli
connection	kənˈɛkʃən
jockstraps	dʒˈɒkstɹæps
ramekins	ɹˈeɪmkɪnz
socialites	sˈəʊʃəlˌaɪts
abyss	ɐbˈɪs,əbˈɪs
sables	sˈeɪbəlz
extemporise	ɛkstˈɛmpɔːɹˌaɪz
harness	hˈɑːnɪs
inline	ˈɪnlaɪn
spellbinding	spˈɛlbaɪndɪŋ
glycoside	ɡlˈaɪkəsˌaɪd
iguanas	ˌɪɡjuːˈɑːnəz
proposed	pɹəpˈəʊzd
divide	dɪvˈaɪd
surrendered	səɹˈɛndəd
noticeable	nˈəʊtɪsəbəl
warmness	wˈɔːmnəs
colorant	kˈʌləɹənt
beautifying	bjˈuːtɪfˌaɪɪŋ
mooed	mˈuːd
urges	ˈɜːdʒɪz
dunbartonshire	dɐnbˈɑːtənʃə
undergraduates	ˌʌndəɡɹˈædjuːəts
alloyed	ˈælɔɪd
chills	tʃˈɪlz
insipid	ɪnsˈɪpɪd
fireman	fˈaɪəmən
crones	kɹˈəʊnz
barricades	bˈæɹɪkˌeɪdz
multiplicity	mˌʌltɪplˈɪsɪti
rainfall	ɹˈeɪnfɔːl,ɹˈeɪnfˌɔːl
fins	fˈɪnz
plaintiffs	plˈeɪntɪfs
ancestral	ænsˈɛstɹəl
mistrusted	mɪstɹˈʌstɪd
overprotection	ˌəʊvəpɹətˈɛkʃən
mosquito	məskˈiːtəʊ
latecomer	lˈeɪtkʌmɐ
resolve	ɹɪzˈɒlv
magma	mˈæɡmɐ
rebate	ɹˈiːbˌeɪt,ɹˈiːbeɪt
jesters	dʒˈɛstəz
dispatcher	dɪspˈætʃɐ
chunky	tʃˈɐŋki,tʃˈʌŋki
handiwork	hˈændɪwˌɜːk
drafted	dɹˈɑːftɪd
proactively	pɹəʊˈæktɪvli
enjoyments	ɛndʒˈɔɪmənts
sacrum	sˈeɪkɹəm
butted	bˈʌtɪd
pinkest	pˈɪŋkəst
overacted	ˌəʊvəɹˈæktɪd
agglomeration	ɐɡlˌɒməɹˈeɪʃən
symmetric	sɪmˈɛtɹɪk
inhibits	ɪnhˈɪbɪts
padauk	pˈædɔːk
photocopiers	fˈəʊtəkˌɒpiəz
sent	sˈɛnt
inflections	ɪnflˈɛkʃənz
lucas	lˈuːkəs
jottings	dʒˈɒtɪŋz
reacquainting	ɹˈiːkweɪntɪŋ
gentlemen	dʒˈɛntəlmən
kilobits	kˈɪləbˌɪts
impregnated	ˈɪmpɹˌɛɡneɪtɪd
idaho	ˈaɪdəhˌəʊ
relearned	ɹɪlˈɜːnd
fragmentation	fɹˌæɡməntˈeɪʃən
ahem	əhˈəm
geologic	dʒˌɪəlˈɒdʒɪk
dalliances	dˈæliːənsɪz
poet	pˈəʊɪt
jerry	dʒˈɛɹi
hypocrisies	hɪpˈɒkɹəsɪz
minks	mˈɪŋks
jamie	dʒˈeɪmi
jungle	dʒˈʌŋɡəl,dʒˈɐŋgəl
sfumato	ˈɛsfjuːmˈɑːtəʊ
landings	lˈændɪŋz
revisits	ɹɪvˈɪzɪts
recharger	ɹɪtʃˈɑːdʒɐ
fades	fˈeɪdz
intramuscular	ˌɪntɹəmˈʌskjʊlɐ
coat	kˈəʊt
coca	kˈəʊkɐ
elvis	ˈɛlvɪs
upon	əpˈɒn
whisker	wˈɪskɐ,wˈɪskə
disassembled	dˌɪsɐsˈɛmbəld
invalidate	ɪnvˈælɪdˌeɪt
orgies	ˈɔːdʒɪz
chiefly	tʃˈiːfli
jingle	dʒˈɪŋɡəl
renew	ɹɪnjˈuː
rustier	ɹˈʌstɪɐ
breezier	bɹˈiːzɪɐ
tori	tˈɔːɹi
frogmarched	fɹˈɒɡmɑːkt
bullfighting	bˈʊlfaɪtɪŋ
subdivide	sˌʌbdɪvˈaɪd
improvise	ˈɪmpɹəvˌaɪz
permissible	pəmˈɪsəbəl
shared	ʃˈɛəd,ʃˈeəd
moderating	mˈɒdəɹˌeɪtɪŋ
possessiveness	pəzˈɛsɪvnəs
recyclables	ɹɪsˈaɪkləbəlz
cockeyed	kˈɒkɪd
reserved	ɹɪzˈɜːvd
basenji	bˈeɪsndʒi
mixer	mˈɪksə,mˈɪksɐ
quango	kwˈɒnɡəʊ
enormity	ɪnˈɔːmɪti
surrender	səɹˈɛndə,səɹˈɛndɐ
bromidic	bɹəmˈɪdɪk
schadenfreude	ʃˈædənfɹˌɔɪd
suppressed	səpɹˈɛst
shipmate	ʃˈɪpmeɪt
merchantmen	mˈɜːtʃɑːntmˌɛn
liberty	lˈɪbəti
wreaks	ɹˈiːks
objectionable	ɒbdʒˈɛkʃənəbəl
rakish	ɹˈækɪʃ
charitable	tʃˈæɹɪtəbəl
mascaras	mæskˈɑːɹəz
foursomes	fˈɔːsʌmz
consistent	kənsˈɪstənt
procure	pɹəkjˈɔː
kinswoman	kˈɪnswʊmən
distresses	dɪstɹˈɛsɪz
chevet	ʃˈɛvɪt
oxidize	ˈɒksɪdˌaɪz
fleeter	flˈiːtɐ
embodiments	ɛmbˈɒdɪmənts
watermen	wˈɔːtəmˌɛn
spirituals	spˈɪɹɪtʃˌuːəlz
irks	ˈɜːks
gooseberry	ɡˈuːsbəɹi
duplicating	djˈuːplɪkˌeɪtɪŋ
assign	ɐsˈaɪn,əsˈaɪn
adjustments	ɐdʒˈʌstmənts,ədʒˈɐstmənts
maturest	mətʃˈɔːɹəst
hydrocarbon	hˈaɪdɹəkˌɑːbən
styrene	stˈaɪɹiːn
knickers	nˈɪkəz
ideologue	ˈaɪdɪˌɒlɒɡ
heightening	hˈaɪtənɪŋ
pix	pˈɪks
almshouses	ˈɑːmzhaʊzɪz
unshockable	ʌnʃˈɒkəbəl
statesmanlike	stˈeɪtsmənlˌaɪk
coffee	kˈɒfi
podiatrist	pˈəʊdɪˌætɹɪst
xenophobes	zˈɛnəfˌəʊbz
nectar	nˈɛktɐ
working-class	wˌɜːkɪŋklˈɑːs
wench	wˈɛntʃ
minister	mˈɪnɪstə,mˈɪnɪstɐ
cameron	kˈæməɹən
gasbag	ɡˈæsbæɡ
weird	wˈiəd,wˈɪəd
eileen	aɪlˈiːn
sojourns	sˈəʊdʒɜːnz
screamed	skɹˈiːmd
appetiser	ˈæpɪtˌaɪzɐ
identifying	aɪdˈɛntɪfˌaɪɪŋ
arson	ˈɑːsən
cosseting	kˈɒsɪtɪŋ
gunboat	ɡˈʌnbəʊt
nuclear	njˈuːklɪə,njˈuːkliə
molested	məlˈɛstɪd
langlauf	lˈæŋɡlɔːf
scream	skɹˈiːm
persuadable	pəswˈeɪdəbəl
blotters	blˈɒtəz
scrawny	skɹˈɔːni
blushing	blˈʌʃɪŋ
abeam	ɐbˈiːm
spark	spˈɑːk
dimwit	dˈɪmwɪt
bookmaking	bˈʊkmˌeɪkɪŋ
swelling	swˈɛlɪŋ
carpeting	kˈɑːpɪtɪŋ
ballrooms	bˈɔːlɹuːmz
lap	lˈæp
physios	fˈɪzɪˌəʊz
apexes	ˈeɪpɛksɪz
husker	hˈʌskɐ
gymkhanas	dʒɪmkhˈɑːnəz
spectrums	spˈɛktɹəmz
abba	ˈæbɐ
predict	pɹɪdˈɪkt
he	hˈiː
damming	dˈæmɪŋ
manifesting	mˈænɪfˌɛstɪŋ
heaving	hˈiːvɪŋ
inkjet	ˈɪŋkdʒˌɛt
philosophic	fˌɪləsˈɒfɪk
theatregoers	θˈiətɹɪɡˌəʊəz
stonework	stˈəʊnwɜːk
scrunches	skɹˈʌntʃɪz
delusions	dɪlˈuːʒənz
champion	tʃˈæmpiən,tʃˈæmpɪən
brutalist	bɹˈuːtəlˌɪst
ripcord	ɹˈɪpkɔːd
hyperboloid	hˈaɪpəbˌɒlɔɪd
clandestinely	klændˈɛstɪnli
ropes	ɹˈəʊps
repairs	ɹɪpˈɛəz,ɹɪpˈeəz
styles	stˈaɪlz
unfiltered	ʌnfˈɪltəd
seduces	sɪdjˈuːsɪz
phew	fjˈuː
juiciness	dʒˈuːsɪnˌɛs
dermal	dˈɜːməl
quench	kwˈɛntʃ
worm	wˈɜːm
sprits	spɹˈɪts
custodianship	kʌstˈəʊdiənʃˌɪp
wiki	wˈɪki
hibernaculum	hˌaɪbənˈækjʊləm
chinking	tʃˈɪŋkɪŋ
philandering	fɪlˈændəɹɪŋ
replanting	ɹɪplˈæntɪŋ
planks	plˈæŋks
hooky	hˈʊki
logy	lˈəʊɡi
strategies	stɹˈætədʒɪz,stɹˈætɪdʒiz
ticktock	tˈɪktɒk
thriller	θɹˈɪlɐ,θɹˈɪlə
aplenty	ɐplˈɛnti
plumes	plˈuːmz
ovens	ˈʌvənz
bleat	blˈiːt
fissionable	fˈɪʃənəbəl
clamp	klˈæmp
demoralised	dɪmˈɒɹəlˌaɪzd
flairs	flˈeəz
vainglorious	veɪŋɡlˈɔːɹɪəs
farad	fˈæɹæd
common	kˈɒmən
appointments	əpˈɔɪntmənts,ɐpˈɔɪntmənts
sweep	swˈiːp
selves	sˈɛlvz
bothers	bˈɒðəz
ovoid	ˈəʊvɔɪd
startles	stˈɑːtəlz
grandpapa	ɡɹændpˈɑːpɐ
overenthusiastic	ˌəʊvəɹɛnθjˌuːzɪˈæstɪk
afforestation	ɐfˌɒɹɪstˈeɪʃən
forger	fˈɔːdʒɐ
cigarillos	sˌɪɡɑːɹˈɪləʊz
scornfully	skˈɔːnfəli
captivity	kæptˈɪvɪti
phocomelia	fˌɒkəmˈiːliə
suspenders	səspˈɛndəz
pogroms	pˈɒɡɹɒmz
asafoetida	ɐsˈæfiːtˌɪdɐ
quirk	kwˈɜːk
retrain	ɹɪtɹˈeɪn
sanctum	sˈɑːnktəm
peeks	pˈiːks
toggle	tˈɒɡəl,tˈɒgəl
reanimated	ɹiːˈænɪmˌeɪtɪd
benighted	bɪnˈaɪtɪd
newshound	njˈuːzhaʊnd
fireside	fˈaɪəsaɪd
spikiness	spˈaɪkɪnəs
respraying	ɹɪspɹˈeɪɪŋ
coupes	kˈuːps
wronged	ɹˈɒŋd
laughing	lˈɑːfɪŋ
extinguished	ɛkstˈɪŋɡwɪʃt
perfects	pˈɜːfɛkts
redevelop	ɹˌiːdɪvˈɛləp
fastenings	fˈɑːsənɪŋz
sulphides	sˈʌlfaɪdz
flyleaf	flˈaɪliːf
mattering	mˈætəɹɪŋ
synopsis	sɪnˈɒpsɪs
crummiest	kɹˈʌmɪəst
transitioned	tɹænsˈɪʃənd
ping	pˈɪŋ
bermudas	bɜːmjˈuːdəz
bandit	bˈændɪt
gaining	gˈeɪnɪŋ,ɡˈeɪnɪŋ
libretto	lɪbɹˈɛtəʊ
reassured	ɹˌiːəʃjˈɔːd
unsuspecting	ʌnsəspˈɛktɪŋ
commonness	kˈɒmənnəs
tubercular	tjˈuːbəkjˌʊlɐ
translate	tɹˌænslˈeɪt,tɹænslˈeɪt
recalculating	ɹɪkˈælkjʊlˌeɪtɪŋ
