pcion	pt͡ɕɔn
chałwa	xawva
malinkiewicz	malʲinkʲɛvʲit͡ʂ
czytelny	t͡ʂɨtɛlnɨ
mniszek	mɲiʂɛk
molem	mɔlɛm
angielskiemu	anɡʲɛlskʲɛmu
mamunia	mamuɲa
wykaż	vɨkaʂ
markę	markɛ
rzepa	ʐɛpa
starto	startɔ
sobory	sɔbɔrɨ
miętę	mʲɛntɛ
handlarz	xandlaʂ
pokładełko	pɔkwadɛwkɔ
krwawy	krvavɨ
czynniej	t͡ʂɨnɲɛj
boliwijka	bɔlʲivʲijka
pannę	pannɛ
peteja	pɛtɛja
pieprznik	pʲɛpʂɲik
noszczyk	nɔʂt͡ʂɨk
wiosłami	vʲɔswamʲi
absorberami	apsɔrbɛramʲi
swoi	sfɔi
wnęka	vnɛŋka
bakburta	baɡburta
lwami	lvamʲi
żaglouch	ʐaɡlɔux
jakuccy	jakut͡st͡sɨ
figami	fʲiɡamʲi
wolniejszy	vɔlɲɛjʂɨ
ukute	ukutɛ
godzinny	ɡɔd͡ʑinnɨ
kopiejka	kɔpʲɛjka
zależeć	zalɛʐɛt͡ɕ
orzechowego	ɔʐɛxɔvɛɡɔ
grzechowiak	ɡʐɛxɔvʲak
zmywać	zmɨvat͡ɕ
smugo	smuɡɔ
którymi	kturɨmʲi
pomogłeś	pɔmɔɡwɛɕ
tłustą	twustɔ̃
adeptem	adɛptɛm
wymul	vɨmul
letniej	lɛtɲɛj
sztruks	ʂtruks
nauk	nauk
żółwimi	ʐuwvʲimʲi
wiosłować	vʲɔswɔvat͡ɕ
szwoch	ʂfɔx
cewo	t͡sɛvɔ
baskijskie	baskʲijskʲɛ
sucho	suxɔ
dumało	dumawɔ
myśków	mɨɕkuf
kwasoród	kfasɔrut
pogłaskać	pɔɡwaskat͡ɕ
krótcy	krutt͡sɨ
kopane	kɔpanɛ
dominowy	dɔmʲinɔvɨ
wyjaśnić	vɨjaɕɲit͡ɕ
zaspała	zaspawa
słonemu	swɔnɛmu
kiermasz	kʲɛrmaʂ
wydam	vɨdam
powtarzanie	pɔftaʐaɲɛ
trybek	trɨbɛk
krusi	kruɕi
tost	tɔst
przypomnieć	pʂɨpɔmɲɛt͡ɕ
rdestnica	rdɛstɲit͡sa
łoskot	wɔskɔt
indonezyjsku	indɔnɛzɨjsku
węgli	vɛŋɡlʲi
skręcenie	skrɛnt͡sɛɲɛ
pałkami	pawkamʲi
dokumenty	dɔkumɛntɨ
jędrzejak	jɛndʐɛjak
rogom	rɔɡɔm
drewutnia	drɛvutɲa
meksykańskiemu	mɛksɨkaɲskʲɛmu
skromniś	skrɔmɲiɕ
przeszkolić	pʂɛʂkɔlʲit͡ɕ
przegrana	pʂɛɡrana
ocuć	ɔt͡sut͡ɕ
chronicznie	xrɔɲit͡ʂɲɛ
labuch	labux
doszedł	dɔʂɛdw
trasa	trasa
zginęły	zɡʲinɛwɨ
szczęch	ʂt͡ʂɛ̃x
południa	pɔwudɲa
oponentka	ɔpɔnɛntka
międzysłowiański	mʲɛnd͡zɨswɔvʲaɲskʲi
wyrabiać	vɨrabʲat͡ɕ
zarchiwizowałbym	zarxʲivʲizɔvawbɨm
gabruś	ɡabruɕ
opór	ɔpur
feminazistka	fɛmʲinaʑistka
odłóg	ɔdwuk
wieziemy	vʲɛʑɛmɨ
jasiowi	jaɕɔvʲi
tygrysiemu	tɨɡrɨɕɛmu
strąki	strɔŋkʲi
ziębę	ʑɛmbɛ
szycha	ʂɨxa
ikebana	ikɛbana
walczyły	valt͡ʂɨwɨ
chcący	xt͡sɔnt͡sɨ
przymroczek	pʂɨmrɔt͡ʂɛk
pomówienie	pɔmuvʲɛɲɛ
paskudne	paskudnɛ
pierdylion	pʲɛrdɨlʲɔn
dozwolić	dɔzvɔlʲit͡ɕ
kwasek	kfasɛk
lodowaty	lɔdɔvatɨ
skromniejszego	skrɔmɲɛjʂɛɡɔ
kołczyk	kɔwt͡ʂɨk
wysłanniczka	vɨswanɲit͡ʂka
wielofunkcyjność	vʲɛlɔfunkt͡sɨjnɔɕt͡ɕ
lizałam	lʲizawam
łącznik	wɔnt͡ʂɲik
zbocze	zbɔt͡ʂɛ
ogier	ɔɡʲɛr
skaut	skawt
kaczeniec	kat͡ʂɛɲɛt͡s
trzuskolas	tʂuskɔlas
łaniego	waɲɛɡɔ
przykładnie	pʂɨkwadɲɛ
czynne	t͡ʂɨnnɛ
dziwoń	d͡ʑivɔɲ
użądlić	uʐɔndlʲit͡ɕ
spadając	spadajɔnt͡s
zacerować	zat͡sɛrɔvat͡ɕ
przygana	pʂɨɡana
tadeusz	tadɛuʂ
murawka	murafka
połuch	pɔwux
osądu	ɔsɔndu
starający	starajɔnt͡sɨ
pokaże	pɔkaʐɛ
płotka	pwɔtka
palaczką	palat͡ʂkɔ̃
gambia	ɡambʲa
andorskimi	andɔrskʲimʲi
styczniów	stɨt͡ʂɲuf
sejsmologia	sɛjsmɔlɔɡʲja
arogancja	arɔɡant͡sja
snowy	snɔvɨ
karaibskiemu	karaipskʲɛmu
ślimaczym	ɕlʲimat͡ʂɨm
trzykrotka	tʂɨkrɔtka
wasz	vaʂ
bikini	bʲikʲiɲi
ujmę	ujmɛ
rżałem	rʐawɛm
piątkach	pʲɔntkax
kojenie	kɔjɛɲɛ
lipniewicz	lʲipɲɛvʲit͡ʂ
trąd	trɔnt
odpływ	ɔtpwɨf
zarodkiewicz	zarɔtkʲɛvʲit͡ʂ
missouri	mʲizurʲi
rozłupki	rɔzwupkʲi
umrę	umrɛ
chlapnięcie	xlapɲɛɲt͡ɕɛ
cele	t͡sɛlɛ
zaszli	zaʂlʲi
padniecie	padɲɛt͡ɕɛ
otulanie	ɔtulaɲɛ
łątek	wɔntɛk
kostrząb	kɔstʂɔmp
węgrzycka	vɛŋɡʐɨt͡ska
prażę	praʐɛ
ankara	ankara
nudne	nudnɛ
kotły	kɔtwɨ
gomóła	ɡɔmuwa
zadzwoni	zad͡zvɔɲi
mężuś	mɛ̃ʐuɕ
bachora	baxɔra
dziewczyną	d͡ʑɛft͡ʂɨnɔ̃
łokietek	wɔkʲɛtɛk
jebaka	jɛbaka
oddalać	ɔddalat͡ɕ
danuta	danuta
oszczerstwo	ɔʂt͡ʂɛrstfɔ
beata	bɛata
przypisywać	pʂɨpʲisɨvat͡ɕ
wiewiórach	vʲɛvʲurax
szpan	ʂpan
sychowicz	sɨxɔvʲit͡ʂ
wschodniosłowiańskiego	fsxɔdɲɔswɔvʲaɲskʲɛɡɔ
zawiąż	zavʲɔ̃ʂ
podarta	pɔdarta
truteń	trutɛɲ
sobaś	sɔbaɕ
macek	mat͡sɛk
kurzawka	kuʐafka
platanę	platanɛ
wyznaczać	vɨznat͡ʂat͡ɕ
drapacz	drapat͡ʂ
wyrażenie	vɨraʐɛɲɛ
amerykańskiego	amɛrɨkaɲskʲɛɡɔ
illinois	ilʲinɔi
krukami	krukamʲi
wolisz	vɔlʲiʂ
brzeń	bʐɛɲ
zamierzyć	zamʲɛʐɨt͡ɕ
łazili	waʑilʲi
skiną	skʲinɔ̃
obróci	ɔbrut͡ɕi
chętna	xɛntna
wapnisty	vapɲistɨ
baszkirska	baʂkʲirska
innemu	innɛmu
złoty	zwɔtɨ
kowalewicz	kɔvalɛvʲit͡ʂ
czader	t͡ʂadɛr
puszyński	puʂɨɲskʲi
sprzątnąć	spʂɔntnɔɲt͡ɕ
dniowy	dɲɔvɨ
papamobile	papamɔbʲilɛ
marnym	marnɨm
wawrzyniak	vavʐɨɲak
śliwka	ɕlʲifka
tanzańskiemu	tanzaɲskʲɛmu
bąka	bɔŋka
jerzykiewicz	jɛʐɨkʲɛvʲit͡ʂ
pulpet	pulpɛt
butla	butla
niemiarodajny	ɲɛmʲarɔdajnɨ
stepu	stɛpu
buła	buwa
badylak	badɨlak
interwałowe	intɛrvawɔvɛ
ćpać	t͡ɕpat͡ɕ
nadustek	nadustɛk
sztacheta	ʂtaxɛta
uzbeckiemu	uzbɛt͡skʲɛmu
nóżkami	nuʂkamʲi
sądka	sɔntka
narzeczony	naʐɛt͡ʂɔnɨ
spisać	spʲisat͡ɕ
pianino	pʲaɲinɔ
tysiącznego	tɨɕɔnt͡ʂnɛɡɔ
pedagogika	pɛdaɡɔɡʲika
dolemba	dɔlɛmba
dzielne	d͡ʑɛlnɛ
sięgnęli	ɕɛŋɡnɛli
podkoń	pɔtkɔɲ
pokaź	pɔkaɕ
łukaszczyk	wukaʂt͡ʂɨk
demonstrować	dɛmɔ̃strɔvat͡ɕ
brodu	brɔdu
kórnik	kurɲik
strużka	struʂka
planimetria	plaɲimɛtrʲja
absorbowałeś	apsɔrbɔvawɛɕ
drygas	drɨɡas
obserwacja	ɔpsɛrvat͡sja
rączce	rɔnt͡ʂt͡sɛ
sine	ɕinɛ
polska	pɔlska
warowanie	varɔvaɲɛ
górą	ɡurɔ̃
malawijczyk	malavʲijt͡ʂɨk
światłoszczelny	ɕfʲatwɔʂt͡ʂɛlnɨ
brazylijscy	brazɨlʲijst͡sɨ
berno	bɛrnɔ
zakamarkiem	zakamarkʲɛm
błazen	bwazɛn
pijaczka	pʲijat͡ʂka
piątkom	pʲɔntkɔm
witkom	vʲitkɔm
swarów	sfaruf
usposabiać	uspɔsabʲat͡ɕ
kizior	kʲiʑɔr
przeszłą	pʂɛʂwɔ̃
łatą	watɔ̃
istnienie	istɲɛɲɛ
błysnąć	bwɨsnɔɲt͡ɕ
środkowoazjatycki	ɕrɔtkɔvɔazjatɨt͡skʲi
pałować	pawɔvat͡ɕ
dziopa	d͡ʑɔpa
gdak	ɡdak
bratysławski	bratɨswafskʲi
istotną	istɔtnɔ̃
anagram	anaɡram
posążek	pɔsɔ̃ʐɛk
rączek	rɔnt͡ʂɛk
celem	t͡sɛlɛm
adrenaliny	adrɛnalʲinɨ
dudkiewicz	dutkʲɛvʲit͡ʂ
lampionik	lampʲɔɲik
wiana	vʲana
tarantula	tarantula
wąchali	vɔ̃xalʲi
uszła	uʂwa
szymkowicz	ʂɨmkɔvʲit͡ʂ
algierska	alɡʲɛrska
sową	sɔvɔ̃
różą	ruʐɔ̃
najebać	najɛbat͡ɕ
resuscytacja	rɛsust͡sɨtat͡sja
zarchiwizowała	zarxʲivʲizɔvawa
martwy	martfɨ
białostocczanach	bʲawɔstɔt͡st͡ʂanax
wszechstronne	fʂɛxstrɔnnɛ
wiosennej	vʲɔsɛnnɛj
dwukąt	dvukɔnt
odmienny	ɔdmʲɛnnɨ
konali	kɔnalʲi
przemoc	pʂɛmɔt͡s
wegański	vɛɡaɲskʲi
wg	vɛdwuk
zabijający	zabʲijajɔnt͡sɨ
gniotłem	ɡɲɔtwɛm
dubiniec	dubʲiɲɛt͡s
waltz	valts
rozmaity	rɔzmaitɨ
węgierska	vɛŋɡʲɛrska
lepkościomierz	lɛpkɔɕt͡ɕɔmʲɛʂ
łabędziemu	wabɛɲd͡ʑɛmu
gara	ɡara
badania	badaɲa
lakowi	lakɔvʲi
hacham	xaxam
modułowy	mɔduwɔvɨ
bitkę	bʲitkɛ
bobslej	bɔpslɛj
umilaj	umʲilaj
wyproś	vɨprɔɕ
sdun	zdun
kalkowski	kalkɔfskʲi
karą	karɔ̃
meksykańskimi	mɛksɨkaɲskʲimʲi
woszczak	vɔʂt͡ʂak
zastawka	zastafka
opały	ɔpawɨ
niepoważnie	ɲɛpɔvaʐɲɛ
wołoszkiewicz	vɔwɔʂkʲɛvʲit͡ʂ
ufie	ufʲɛ
stać	stat͡ɕ
tajlandzcy	tajlant͡st͡sɨ
wschodniosłowiański	fsxɔdɲɔswɔvʲaɲskʲi
goleniom	ɡɔlɛɲɔm
nurogęś	nurɔɡɛ̃ɕ
jednolity	jɛdnɔlʲitɨ
dupy	dupɨ
zdrobniały	zdrɔbɲawɨ
domostwo	dɔmɔstfɔ
żartowałam	ʐartɔvawam
kieca	kʲɛt͡sa
tętentu	tɛntɛntu
palemka	palɛmka
siemieniec	ɕɛmʲɛɲɛt͡s
ciemni	t͡ɕɛmɲi
mułach	muwax
kichą	kʲixɔ̃
wyrocznia	vɨrɔt͡ʂɲa
prochwicz	prɔxfʲit͡ʂ
szydzić	ʂɨd͡ʑit͡ɕ
wstrząs	fstʂɔ̃s
szeptun	ʂɛptun
podziękować	pɔd͡ʑɛŋkɔvat͡ɕ
podejrzane	pɔdɛjʐanɛ
brudziński	brud͡ʑiɲskʲi
rodzajnik	rɔd͡zajɲik
waszej	vaʂɛj
klaczą	klat͡ʂɔ̃
setę	sɛtɛ
zientek	ʑɛntɛk
wylęg	vɨlɛŋk
malutkie	malutkʲɛ
kurosz	kurɔʂ
bugdol	buɡdɔl
jedenaścioro	jɛdɛnaɕt͡ɕɔrɔ
rugany	ruɡanɨ
blokowisko	blɔkɔvʲiskɔ
zamykające	zamɨkajɔnt͡sɛ
ornat	ɔrnat
odczłowieczać	ɔtt͡ʂwɔvʲɛt͡ʂat͡ɕ
pito	pʲitɔ
międzymózgowie	mʲɛnd͡zɨmuzɡɔvʲɛ
sadzi	sad͡ʑi
achterdek	axtɛrdɛk
ochotniczo	ɔxɔtɲit͡ʂɔ
słodem	swɔdɛm
wiązać	vʲɔ̃zat͡ɕ
aut	awt
wojtuń	vɔjtuɲ
splunąć	splunɔɲt͡ɕ
plemnik	plɛmɲik
zamawiać	zamavʲat͡ɕ
najwcześniejszy	najft͡ʂɛɕɲɛjʂɨ
martyna	martɨna
rafandynka	rafandɨnka
wojton	vɔjtɔn
karniej	karɲɛj
przedstaw	pʂɛtstaf
marcu	mart͡su
technet	tɛxnɛt
wójtowicz	vujtɔvʲit͡ʂ
pulpecik	pulpɛt͡ɕik
albinowski	albʲinɔfskʲi
murdzek	murd͡zɛk
granatowo	ɡranatɔvɔ
rachwaniec	raxfaɲɛt͡s
nekromantka	nɛkrɔmantka
rwandyjski	rvandɨjskʲi
destrukcyjny	dɛstrukt͡sɨjnɨ
ojczym	ɔjt͡ʂɨm
zastrzel	zastʂɛl
roztoczyć	rɔstɔt͡ʂɨt͡ɕ
wizami	vʲizamʲi
nauczył	naut͡ʂɨw
ekologia	ɛkɔlɔɡʲja
kozik	kɔʑik
podpalacz	pɔtpalat͡ʂ
sprzątnij	spʂɔntɲij
kłusować	kwusɔvat͡ɕ
pizza	pʲit͡st͡sa
kukiel	kukʲɛl
korzonek	kɔʐɔnɛk
motel	mɔtɛl
sukienny	sukʲɛnnɨ
dozwalać	dɔzvalat͡ɕ
andrzejkiewicz	andʐɛjkʲɛvʲit͡ʂ
lano	lanɔ
prochal	prɔxal
kęsów	kɛ̃suf
zjemy	zjɛmɨ
skazywać	skazɨvat͡ɕ
traconemu	trat͡sɔnɛmu
dylogia	dɨlɔɡʲja
grzelec	ɡʐɛlɛt͡s
gwatemalskiemu	ɡvatɛmalskʲɛmu
podałaby	pɔdawabɨ
zastępczyni	zastɛmpt͡ʂɨɲi
niełazy	ɲɛwazɨ
trakcie	trakt͡ɕɛ
kraśny	kraɕnɨ
materiał	matɛrʲjaw
wiośle	vʲɔɕlɛ
rachować	raxɔvat͡ɕ
kalota	kalɔta
obuchowicz	ɔbuxɔvʲit͡ʂ
pamięć	pamʲɛɲt͡ɕ
suną	sunɔ̃
stalinista	stalʲiɲista
tyczce	tɨt͡ʂt͡sɛ
olek	ɔlɛk
białota	bʲawɔta
domownik	dɔmɔvɲik
szósty	ʂustɨ
maseczce	masɛt͡ʂt͡sɛ
baku	baku
zakładnik	zakwadɲik
stypendysta	stɨpɛndɨsta
mecz	mɛt͡ʂ
walom	valɔm
maślij	maɕlʲij
pisklaczek	pʲisklat͡ʂɛk
firanka	fʲiranka
galuch	ɡalux
zdubbingowałyście	zdabʲinɡɔvawɨɕt͡ɕɛ
niby	ɲibɨ
biesów	bʲɛsuf
bitną	bʲitnɔ̃
warych	varɨx
dźwigoń	d͡ʑvʲiɡɔɲ
gardzisz	ɡard͡ʑiʂ
kojot	kɔjɔt
kucharek	kuxarɛk
zwyczajnych	zvɨt͡ʂajnɨx
dawała	davawa
córy	t͡surɨ
niwach	ɲivax
ptasia	ptaɕa
wiedzmy	vʲɛd͡zmɨ
jachowicz	jaxɔvʲit͡ʂ
wojtanowicz	vɔjtanɔvʲit͡ʂ
ostrużę	ɔstruʐɛ
lendzion	lɛɲd͡ʑɔn
bielszczankę	bʲɛlʂt͡ʂankɛ
afatyczna	afatɨt͡ʂna
lepczyca	lɛpt͡ʂɨt͡sa
syci	sɨt͡ɕi
wbrew	vbrɛf
zaśnij	zaɕɲij
bereł	bɛrɛw
margany	marɡanɨ
głaskałbym	ɡwaskawbɨm
groblica	ɡrɔblʲit͡sa
gnida	ɡɲida
potomne	pɔtɔmnɛ
aniśkiewicz	aɲiɕkʲɛvʲit͡ʂ
kęsoń	kɛ̃sɔɲ
fermowy	fɛrmɔvɨ
mełłam	mɛwwam
prymowicz	prɨmɔvʲit͡ʂ
łupom	wupɔm
lokatorów	lɔkatɔruf
równociągły	ruvnɔt͡ɕɔŋɡwɨ
lugier	luɡʲɛr
złotka	zwɔtka
absolwentkami	apsɔlvɛntkamʲi
igorek	iɡɔrɛk
atlantyk	atlantɨk
gazetowy	ɡazɛtɔvɨ
walichniewicz	valʲixɲɛvʲit͡ʂ
niepewny	ɲɛpɛvnɨ
atest	atɛst
sole	sɔlɛ
służby	swuʐbɨ
archiwalności	arxʲivalnɔɕt͡ɕi
hawajska	xavajska
komiks	kɔmʲiks
braty	bratɨ
kudyś	kudɨɕ
belgijscy	bɛlɡʲijst͡sɨ
bzów	bzuf
kuciemba	kut͡ɕɛmba
sprała	sprawa
jesiennego	jɛɕɛnnɛɡɔ
węgarek	vɛŋɡarɛk
pawlas	pavlas
terlecki	tɛrlɛt͡skʲi
żebrak	ʐɛbrak
poprawiajcie	pɔpravʲajt͡ɕɛ
obcemu	ɔpt͡sɛmu
inspiracja	inspʲirat͡sja
kartanowicz	kartanɔvʲit͡ʂ
odludny	ɔdludnɨ
najwilgotniejszy	najvʲilɡɔtɲɛjʂɨ
skupić	skupʲit͡ɕ
paszka	paʂka
korund	kɔrunt
należytymi	nalɛʐɨtɨmʲi
antyle	antɨlɛ
honduraskiego	xɔnduraskʲɛɡɔ
spałby	spawbɨ
pomyleniec	pɔmɨlɛɲɛt͡s
niecni	ɲɛt͡sɲi
wdowczyk	vdɔft͡ʂɨk
elektron	ɛlɛktrɔn
rychła	rɨxwa
koźlakiewicz	kɔʑlakʲɛvʲit͡ʂ
aktywniejszego	aktɨvɲɛjʂɛɡɔ
klato	klatɔ
świeże	ɕfʲɛʐɛ
karaibskich	karaipskʲix
uwodziciel	uvɔd͡ʑit͡ɕɛl
próchnu	pruxnu
wysocka	vɨsɔt͡ska
wocławek	vɔt͡swavɛk
specjalne	spɛt͡sjalnɛ
przyjąłem	pʂɨjɔwɛm
odważnych	ɔdvaʐnɨx
wkład	fkwat
marmolada	marmɔlada
grymas	ɡrɨmas
gwiazdo	ɡvʲazdɔ
swacha	sfaxa
ameryka	amɛrɨka
nazywanie	nazɨvaɲɛ
mąci	mɔɲt͡ɕi
kusio	kuɕɔ
lekarka	lɛkarka
feta	fɛta
omanom	ɔmanɔm
uosobić	uɔsɔbʲit͡ɕ
spiechowicz	spʲɛxɔvʲit͡ʂ
minionym	mʲiɲɔnɨm
kosaciec	kɔsat͡ɕɛt͡s
lat	lat
seksuologia	sɛksuɔlɔɡʲja
najbieglej	najbʲɛɡlɛj
bramce	bramt͡sɛ
dżokejka	d͡ʐɔkɛjka
zbory	zbɔrɨ
kuć	kut͡ɕ
staruszkiewicz	staruʂkʲɛvʲit͡ʂ
sapkowski	sapkɔfskʲi
koptyjskich	kɔptɨjskʲix
abonującymi	abɔnujɔnt͡sɨmʲi
wełtawa	vɛwtava
pobyt	pɔbɨt
bełchatowiankom	bɛwxatɔvʲankɔm
absorpcyjnym	apsɔrpt͡sɨjnɨm
dłużnik	dwuʐɲik
gnie	ɡɲɛ
manilowi	maɲilɔvʲi
szpiech	ʂpʲɛx
utulenie	utulɛɲɛ
fioletowy	fʲɔlɛtɔvɨ
twarzom	tfaʐɔm
politeizm	pɔlʲitɛizm
żółć	ʐuwt͡ɕ
móc	mut͡s
płetwa	pwɛtfa
piekaruś	pʲɛkaruɕ
milczach	mʲilt͡ʂax
legawiec	lɛɡavʲɛt͡s
badawczy	badaft͡ʂɨ
natenczas	natɛnt͡ʂas
inwencja	invɛnt͡sja
ostoja	ɔstɔja
opranie	ɔpraɲɛ
dzieci	d͡ʑɛt͡ɕi
deizm	dɛizm
punktualniejszy	punktualɲɛjʂɨ
instytut	instɨtut
niuans	ɲuans
wiernemu	vʲɛrnɛmu
asystent	asɨstɛnt
świniej	ɕfʲiɲɛj
archiwalność	arxʲivalnɔɕt͡ɕ
siedemdziesiątym	ɕɛdɛmd͡ʑɛɕɔntɨm
kurzep	kuʐɛp
tłumny	twumnɨ
bezczeszczę	bɛst͡ʂɛʂt͡ʂɛ
zamulać	zamulat͡ɕ
bieluń	bʲɛluɲ
szymanowicz	ʂɨmanɔvʲit͡ʂ
smutnych	smutnɨx
dubbingowemu	dabʲinɡɔvɛmu
rzutkowi	ʐutkɔvʲi
wspaniałej	fspaɲawɛj
kłopot	kwɔpɔt
gleboznawca	ɡlɛbɔznaft͡sa
łączki	wɔnt͡ʂkʲi
kolumbijscy	kɔlumbʲijst͡sɨ
skibicki	skʲibʲit͡skʲi
zabierający	zabʲɛrajɔnt͡sɨ
japońskiej	japɔɲskʲɛj
ciałach	t͡ɕawax
czirokez	t͡ʂirɔkɛs
łopucha	wɔpuxa
bogarodzicielka	bɔɡarɔd͡ʑit͡ɕɛlka
będę	bɛndɛ
szypot	ʂɨpɔt
bekach	bɛkax
ciastoń	t͡ɕastɔɲ
rydwan	rɨdvan
boleniem	bɔlɛɲɛm
klientów	klʲijɛntuf
zarąbanie	zarɔmbaɲɛ
podzbiór	pɔdzbʲur
zasadom	zasadɔm
aponowicz	apɔnɔvʲit͡ʂ
janisiewicz	jaɲiɕɛvʲit͡ʂ
zakałę	zakawɛ
wjebać	vʲjɛbat͡ɕ
precyzyjniej	prɛt͡sɨzɨjɲɛj
baliby	balʲibɨ
mem	mɛm
skrobaczka	skrɔbat͡ʂka
namul	namul
nurką	nurkɔ̃
socjaldemokracja	sɔt͡sjaldɛmɔkrat͡sja
perskiego	pɛrskʲɛɡɔ
ratrak	ratrak
flaki	flakʲi
szyłbyś	ʂɨwbɨɕ
obrała	ɔbrawa
skautka	skawtka
pinkowicz	pʲinkɔvʲit͡ʂ
rozrywką	rɔzrɨfkɔ̃
gotlandia	ɡɔtlandja
zaciążono	zat͡ɕɔ̃ʐɔnɔ
trzechsetnej	tʂɛxsɛtnɛj
podkościelny	pɔtkɔɕt͡ɕɛlnɨ
tatarską	tatarskɔ̃
żuchowicz	ʐuxɔvʲit͡ʂ
czeluść	t͡ʂɛluɕt͡ɕ
doros	dɔrɔs
zbytnio	zbɨtɲɔ
czterechsetnym	t͡ʂtɛrɛxsɛtnɨm
trzyosiowy	tʂɨɔɕɔvɨ
boskiemu	bɔskʲɛmu
martw	martf
akrofobia	akrɔfɔbʲa
roszkowicz	rɔʂkɔvʲit͡ʂ
miałyśmy	mʲawɨɕmɨ
nastąpić	nastɔmpʲit͡ɕ
rotami	rɔtamʲi
kradziono	krad͡ʑɔnɔ
ostatkiewicz	ɔstatkʲɛvʲit͡ʂ
kłem	kwɛm
obita	ɔbʲita
protokołami	prɔtɔkɔwamʲi
cieplne	t͡ɕɛplnɛ
sekienda	sɛkʲɛnda
popisowy	pɔpʲisɔvɨ
różecka	ruʐɛt͡ska
brałbym	brawbɨm
juszczuk	juʂt͡ʂuk
chadecja	xadɛt͡sja
przegubowiec	pʂɛɡubɔvʲɛt͡s
wschodniosłowiańscy	fsxɔdɲɔswɔvʲaɲst͡sɨ
droga	drɔɡa
dybać	dɨbat͡ɕ
stargard	starɡart
zewów	zɛvuf
tętentem	tɛntɛntɛm
marihuana	marʲixuana
korono	kɔrɔnɔ
teza	tɛza
borem	bɔrɛm
analizowałbym	analʲizɔvawbɨm
rozchodnikowiec	rɔsxɔdɲikɔvʲɛt͡s
klęskę	klɛ̃skɛ
nieść	ɲɛɕt͡ɕ
świeć	ɕfʲɛt͡ɕ
lazarowicz	lazarɔvʲit͡ʂ
granatowym	ɡranatɔvɨm
hanoi	xanɔi
skorża	skɔrʐa
rozmyć	rɔzmɨt͡ɕ
znajomość	znajɔmɔɕt͡ɕ
ścianami	ɕt͡ɕanamʲi
zamknięcie	zamkɲɛɲt͡ɕɛ
tartą	tartɔ̃
zastawa	zastava
odstąpienie	ɔtstɔmpʲɛɲɛ
kuna	kuna
potrzebować	pɔtʂɛbɔvat͡ɕ
myśleć	mɨɕlɛt͡ɕ
białemu	bʲawɛmu
odra	ɔdra
najzabawniejszy	najzabavɲɛjʂɨ
ruśnica	ruɕɲit͡sa
hantel	xantɛl
szwacz	ʂfat͡ʂ
archidiecezja	arxʲidjɛt͡sɛzja
lipny	lʲipnɨ
obfitość	ɔpfʲitɔɕt͡ɕ
brongiel	brɔŋɡʲɛl
czytane	t͡ʂɨtanɛ
najwonniejszy	najvɔnɲɛjʂɨ
zdrowotny	zdrɔvɔtnɨ
upałom	upawɔm
wierny	vʲɛrnɨ
sknera	sknɛra
zepsuć	zɛpsut͡ɕ
aramejskie	aramɛjskʲɛ
ekranoplan	ɛkranɔplan
gapia	ɡapʲa
centralka	t͡sɛntralka
uczciwą	ut͡ʂt͡ɕivɔ̃
ciemiężca	t͡ɕɛmʲɛ̃ʂt͡sa
lupie	lupʲɛ
łóżkami	wuʂkamʲi
nędzna	nɛnd͡zna
zazwyczaj	zazvɨt͡ʂaj
odpalić	ɔtpalʲit͡ɕ
kuźmicz	kuʑmʲit͡ʂ
pchacz	pxat͡ʂ
nieprzyjemny	ɲɛpʂɨjɛmnɨ
wiłami	vʲiwamʲi
zakotwiczać	zakɔtfʲit͡ʂat͡ɕ
mulczująca	mult͡ʂujɔnt͡sa
muchowicz	muxɔvʲit͡ʂ
kandelabr	kandɛlabr
jedynego	jɛdɨnɛɡɔ
rezygnacja	rɛzɨɡnat͡sja
ginęła	ɡʲinɛwa
lichsi	lʲixɕi
przytwierdzać	pʂɨtfʲɛrd͡zat͡ɕ
odskocz	ɔtskɔt͡ʂ
radosna	radɔsna
darły	darwɨ
kruczych	krut͡ʂɨx
kosierb	kɔɕɛrp
robotnik	rɔbɔtɲik
skalisty	skalʲistɨ
żartowałyśmy	ʐartɔvawɨɕmɨ
abażurowi	abaʐurɔvʲi
uwewnętrzniać	uvɛvnɛntʂɲat͡ɕ
zaświaty	zaɕfʲatɨ
romans	rɔmans
motocyklista	mɔtɔt͡sɨklʲista
ładnemu	wadnɛmu
palaczce	palat͡ʂt͡sɛ
upałami	upawamʲi
ustnik	ustɲik
tomulewicz	tɔmulɛvʲit͡ʂ
dopłata	dɔpwata
kichali	kʲixalʲi
siodeł	ɕɔdɛw
kare	karɛ
kostuś	kɔstuɕ
nieorganiczny	ɲɛɔrɡaɲit͡ʂnɨ
trułaś	truwaɕ
powrócenie	pɔvrut͡sɛɲɛ
komoryjskich	kɔmɔrɨjskʲix
wabić	vabʲit͡ɕ
afrykanerski	afrɨkanɛrskʲi
bobowski	bɔbɔfskʲi
kichanie	kʲixaɲɛ
marchlewski	marxlɛfskʲi
wyleją	vɨlɛjɔ̃
bąbelek	bɔmbɛlɛk
grzegorzewska	ɡʐɛɡɔʐɛfska
termodynamika	tɛrmɔdɨnamʲika
mieciemy	mʲɛt͡ɕɛmɨ
kasłać	kaswat͡ɕ
kunach	kunax
obcego	ɔpt͡sɛɡɔ
wszyściuśki	fʂɨɕt͡ɕuɕkʲi
palem	palɛm
