pogosto	pɔɡóːstɔ
insekt	inséːkt
bolgarski	bɔlɡàːrski
izkrcanje	íːskərt͡sàːnjɛ
hleb	xléːp
zdaj	zdáj
kokoš	kɔkóːʃ
sodnik	sɔdnìːk
razgovor	razɡɔ́ːʋɔr
lepši	léːpʃi
popačenka	pɔpáːt͡ʃɛnka
turist	turíːst
čeprav	t͡ʃɛpráʋ
volk	ʋɔ́ːʋk
pestrejši	pèːstrɛjʃi
bosta	bóːsta
polž	pɔ̀ːʋʃ
slovo	slɔʋóː
najznačilnejši	nájznat͡ʃíːlnɛjʃi
radovednost	radɔʋèːdnɔst
lep	léːp
litovsko	líːtɔʋskɔ
hematologija	xɛmatɔlɔɡíːja
finski	fíːnski
trener	trɛnɛ́ːr
indonezija	indɔnèːzija
gledati	ɡlèːdati
četrtinka	t͡ʃɛtərtíːnka
ljubiti	ljùːbiti
groziti	ɡrɔzíːti
jazon	jáːzɔn
ednina	ɛdnìːna
površina	pɔʋərʃìːna
adut	adúːt
kupa	kùːpa
otrpniti	ɔtə̀rpniti
strog	stróːk
drozd	dróːst
šahovnica	ʃaxɔ́ːʋnit͡sa
umazan	umáːzan
devica	dɛʋìːt͡sa
kot	kɔt
brom	bróːm
dromedar	drɔmɛdàːr
potem	pɔtéːm
prah	práːx
kvas	kʋáːs
moriti	mɔríːti
španski	ʃpáːnski
drobiž	drɔbìːʃ
genitiv	ɡéːnitiʋ
evo	éːʋɔ
poslati	pɔslàːti
klima	klíːma
zelena	zéːlɛna
svetnik	sʋéːtnik
irska	íːrska
žaba	ʒàːba
padalo	padàːlɔ
trdnjava	tərdnjáːʋa
vino	ʋìːnɔ
zahod	zaxɔ́t
habakuk	xabakúːk
žreti	ʒrèːti
tat	tát
turkinja	tùːrkinja
izposoditi	ispɔsɔdìːti
hujši	xúːjʃi
bolgarsko	bɔlɡàːrskɔ
nizozemka	nizɔzéːmka
osa	ɔ̀ːsa
resnik	réːsnik
če	t͡ʃɛ
lomiti	lɔmìːti
ost	óːst
hinavski	xináːʋski
žoga	ʒòːɡa
pokop	pɔkɔ́p
verjeti	ʋɛrjèːti
razred	ràːzrɛt
pravopis	praʋɔpíːs
pokrov	pɔkrɔ́ʋ
enajst	ɛnàːjst
rana	ràːna
čopič	t͡ʃɔ́ːpit͡ʃ
jezus	jéːzus
obramba	ɔbráːmba
žerjav	ʒɛrjáʋ
prositi	prɔsìːti
drkava	də́rkaʋa
vozel	ʋɔ̀ːzəʋ
košarka	kɔʃáːrka
mamilo	mamìːlɔ
že	ʒɛ
finska	fíːnska
rep	réːp
rilec	ríːlət͡s
natrij	nàːtrij
zapustiti	zapustíːti
tvoj	tʋòːj
ždeti	ʒdèːti
plesati	plɛsàːti
malteščina	maltéːʃt͡ʃina
strupen	strupéːn
možnar	mòːʒnar
petnajst	pɛtnàːjst
zahodnejši	zaxóːdnɛjʃi
zastava	zastáːʋa
lubje	lùːbjɛ
čifut	t͡ʃìːfut
počiti	pɔt͡ʃìːti
beton	bɛtóːn
vladavina	ʋladaʋìːna
dno	dnɔ́
hiša	xìːʃa
radoveden	radɔʋèːdən
družina	druʒìːna
tekoč	tɛkòːt͡ʃ
delavec	dèːlaʋət͡s
snežiti	snɛʒíːti
zvok	zʋóːk
branik	branìːk
ogroziti	ɔɡrɔzìːti
snovati	snɔʋàːti
malto	máːltɔ
tenis	téːnis
jagnjetina	jaɡnjɛtìːna
tjulenj	tjúːlən
bahrajn	baxráːjn
všeč	ʋʃéːt͡ʃ
pianist	pijaníːst
bojazen	bɔjáːzən
scenarij	st͡sɛnàːrij
papagaj	papaɡáːj
atol	atóːl
klovn	klɔ̀ːʋn
najhitreje	nájxitrɛ̀ːjɛ
pulzar	púːlzar
drkajo	də́rkajɔ
menih	mənìːx
plačati	plat͡ʃàːti
violončelo	ʋijɔlɔnt͡ʃéːlɔ
krt	kə́rt
vez	ʋéːs
kavarna	kaʋáːrna
boginja	bɔɡìːnja
sosed	sɔ̀ːsɛt
japonska	japóːnska
polenovka	pɔlèːnɔʋka
gluh	ɡlúːx
glušji	ɡlúːʃji
lenivec	lɛníːʋət͡s
vinograd	ʋinòːɡrat
suša	sùːʃa
grenek	ɡrɛ̀ːnək
rus	rúːs
gubiti	ɡubìːti
zlitina	zlíːtina
pasti	pàːsti
krajšava	krajʃáːʋa
križ	krìːʃ
kašča	kàːʃt͡ʃa
glog	ɡlóːk
najljubosumnejši	nájljubɔsùːmnɛjʃi
splošnejši	splɔ̀ːʃnɛjʃi
bokal	bɔkáːl
razglednica	razɡléːdnit͡sa
atomski	atóːmski
galij	ɡàːlij
marjan	máːrjan
čehinja	t͡ʃéːxinja
umor	umɔ́r
valj	ʋàːl
doživeti	dɔʒiʋèːti
prijazen	prijàːzən
vranica	ʋràːnit͡sa
ugriz	uɡríːs
odličen	ɔdlìːt͡ʃən
krasti	kràːsti
paladij	palàːdij
nebesa	nɛbèːsa
krajina	kràːjina
okno	ɔ̀ːknɔ
najgrji	nájɡə́rji
pomenski	pɔméːnski
samomor	samɔmɔ́r
pustejši	pùːstɛjʃi
literatura	litɛratúːra
lipa	lìːpa
obljubiti	ɔbljubìːti
prebiti	prɛbìːti
sanje	sàːnjɛ
lovec	lɔ̀ːʋət͡s
starost	staróːst
pojasniti	pɔjàːsniti
sadež	sáːdɛʃ
luka	lùːka
slon	slɔ́n
resničen	rɛsnìːt͡ʃən
besedilo	bɛsɛdìːlɔ
neodim	nɛɔdíːm
prst	pə́rst
skorja	skóːrja
slovan	slɔʋáːn
trinko	tríːnkɔ
brada	bràːda
ščegetavček	ʃt͡ʃɛɡɛtáːʋt͡ʃək
amputirati	amputíːrati
malina	malìːna
ljubosumnejši	ljubɔsùːmnɛjʃi
obljubiti	ɔbljúːbiti
najpomembnejši	nájpɔméːmbnɛjʃi
resničen	rɛsníːt͡ʃən
pri	pri
iti	ìːti
trši	tə́rʃi
mlad	mláːt
december	dɛt͡sɛ̀ːmbər
trpeti	tərpèːti
programski	prɔɡráːmski
cekin	t͡sɛkíːn
izmolsti	izmɔ̀ːʋsti
latvija	làːtʋija
izposoditi	ispɔsòːditi
bran	bráːn
sovražiti	sɔʋráːʒiti
bos	bɔ́s
armada	armáːda
ud	úːt
instrumental	instrumɛntáːl
fagot	faɡóːt
obed	ɔbɛ́t
pekel	pəkə́ʋ
okopati	ɔkòːpati
besedotvorje	bɛsɛdɔtʋóːrjɛ
skočiti	skɔt͡ʃìːti
heksagon	xɛksaɡóːn
tolči	tɔ̀ːʋt͡ʃi
manjši	máːnʃi
prostorski	prɔstòːrski
oznaka	ɔznáːka
klicati	klìːt͡sati
sončnik	sóːnt͡ʃnik
los	lóːs
radar	ráːdar
koroška	kɔróːʃka
medenica	mɛdɛnìːt͡sa
nehati	néːxati
prase	prasɛ́
krema	kréːma
zgrešiti	zɡrɛ̀ːʃiti
boriti	bɔríːti
kosinus	kɔ́síːnus
oddajnik	ɔddáːjnik
molsti	mɔ̀ːʋsti
predal	prɛdáːl
božati	bóːʒati
zrelejši	zrɛlɛ́ːjʃi
armenija	armèːnija
dogodek	dɔɡóːdək
francozinja	frant͡sóːzinja
aglomeracija	aɡlɔmɛràːt͡sija
os	óːs
mizantropija	mizantrɔpíːja
najkrutejši	nájkrúːtɛjʃi
najpotrpežljivejši	nájpɔtərpɛʒljìːʋɛjʃi
blato	blàːtɔ
metulj	mɛtùːl
najrazličnejši	nájrazlìːt͡ʃnɛjʃi
učiteljica	ut͡ʃíːtɛljit͡sa
epicenter	ɛpit͡sèːntər
kakovost	kakɔ̀ːʋɔst
avgust	aʋɡúːst
litovec	lìːtɔʋət͡s
ljubljenje	ljúːbljɛnjɛ
bodi	bòːdi
južnejši	jùːʒnɛjʃi
izvir	izʋíːr
borša	bóːrʃa
juvan	júːʋan
kobila	kɔbìːla
marelica	maréːlit͡sa
gospa	ɡɔspàː
sel	sə́l
slovenka	slɔʋèːnka
makedonski	makɛdóːnski
past	páːst
kavka	káːʋka
plaz	pláːs
sršen	sə̀rʃɛn
brcniti	bə̀rt͡sniti
baza	báːza
kositi	kòːsiti
prihodnjik	prixóːdnjik
aerolit	aɛrɔlíːt
vrša	ʋə̀rʃa
seznam	sɛznám
malo	màːlɔ
pa	pa
občutljivejši	ɔpt͡ʃutljìːʋɛjʃi
jahati	jáːxati
izmena	izmɛ́ːna
seksualen	sɛksuáːlən
vožnja	ʋɔ̀ːʒnja
vol	ʋɔ́ʋ
suti	sùːti
indijka	ìːndijka
ded	déːt
najboljši	nájbóːlʃi
najpogosteje	nájpɔɡóːstɛjɛ
najin	náːjin
ja	jáː
mleko	mlèːkɔ
brati	bràːti
bretanja	brɛtàːnja
trska	tə̀rska
fizika	fìːzika
vprašati	ʋpràːʃati
sekunda	sɛkúːnda
vojščak	ʋɔjʃt͡ʃàːk
ribi	rìːbi
pero	pɛróː
aceton	at͡sɛtóːn
nasmehniti	nasmèːxniti
najdejavnejši	nájdɛjáːʋnɛjʃi
strešica	strèːʃit͡sa
upor	upɔ́r
zakleniti	zaklɛníːti
voziti	ʋɔzíːti
samostalniški	samɔstáːlniʃki
mati	màːti
lice	líːt͡sɛ
meka	mèːka
najbednejši	nájbèːdnɛjʃi
hrupen	xrúːpən
devetnajst	dɛʋéːtnajst
njen	njèːn
vodja	ʋóːdja
zgodba	zɡóːdba
malarija	malàːrija
sod	sóːt
biti	bìːti
zober	zòːbər
polizati	pɔlìːzati
madžarski	mad͡ʒáːrski
jastreb	jáːstrɛp
cvet	t͡sʋéːt
malte	máːltɛ
kovati	kɔʋàːti
husit	xusíːt
cerkev	t͡sèːrkəʋ
zupanc	zúːpant͡s
apnenec	apnéːnət͡s
orjak	ɔrjàːk
ki	ki
judovstvo	jùːdɔʋstʋɔ
preproga	prɛpròːɡa
kreta	kréːta
sršen	sərʃɛ́n
petdeset	péːddɛsɛt
počasneje	pɔt͡ʃàːsnɛjɛ
igla	íːɡla
njun	njùːn
praporščak	prapɔrʃt͡ʃàːk
otvoriti	ɔtʋóːriti
vodnjak	ʋɔdnjàːk
očiten	ɔt͡ʃìːtən
mleti	mlèːti
ruščina	rúːʃt͡ʃina
najbetežnejši	nájbɛtèːʒnɛjʃi
lani	làːni
borba	bóːrba
potegovati	pɔtɛɡɔʋàːti
vedro	ʋɛ̀ːdrɔ
nocoj	nɔt͡sòːj
pojasniti	pɔjasnìːti
izboljšava	izbɔlʃáːʋa
gambija	ɡàːmbija
entomologija	ɛntɔmɔlɔɡíːja
koreja	kɔrɛ́ːja
odnos	ɔdnɔ́s
travojedec	traʋɔjéːdət͡s
aman	áːman
bogatejši	bɔɡatɛ́ːjʃi
zdravilo	zdraʋìːlɔ
mesija	mɛsíːja
osemdeset	òːsəmdɛsɛt
čevelj	t͡ʃéːʋəl
konkretno	kɔnkréːtnɔ
igralec	iɡráːlət͡s
prostata	próːstata
tjulenj	tjùːlən
španščina	ʃpáːnʃt͡ʃina
bosanščina	bɔsàːnʃt͡ʃina
lopov	lɔ́ːpɔʋ
dativ	dáːtiʋ
zrak	zrák
pohorje	póːxɔrjɛ
sit	sít
namigovati	namiɡɔʋàːti
jasen	jàːsən
dvom	dʋóːm
ropar	róːpar
žaga	ʒáːɡa
moč	móːt͡ʃ
obrv	ɔbə́rʋ
varen	ʋàːrən
nož	nɔ́ʃ
holmij	xòːlmij
kazalec	kazáːlət͡s
ravnik	ráːʋnik
kuža	kúːʒa
strastnejši	stràːstnɛjʃi
ulice	ulit͡sɛ
hoditi	xɔdìːti
najglasnejši	nájɡlasnɛ́ːjʃi
bon	bóːn
mineralogija	minɛralɔɡíːja
veti	ʋèːti
blago	blaɡóː
slovničen	slɔ́ːʋnit͡ʃən
pizda	píːzda
franc	fránt͡s
dvomiti	dʋòːmiti
telo	tɛlóː
nepotrpežljiv	nɛ́pɔtərpɛʒljíːʋ
želja	ʒɛ̀ːlja
trepalnica	trɛpáːlnit͡sa
temniti	təmníːti
nizozemec	nizɔzéːmət͡s
nedoločnik	nɛ́dɔlóːt͡ʃnik
paglavec	pàːɡlaʋət͡s
februar	féːbruar
dragulj	draɡúːl
toda	tóːda
srbščina	sə́rpʃt͡ʃina
začetek	zat͡ʃéːtək
pogovoriti	pɔɡɔʋɔríːti
izbrati	izbràːti
lasten	làːstən
brv	bə́rʋ
kokolj	kòːkɔl
steza	stə̀za
tipkovnica	tipkɔ́ːʋnit͡sa
niša	níːʃa
oblikoslovje	ɔblikɔslɔ́ːʋjɛ
bolnišnica	bɔʋníːʃnit͡sa
vrsten	ʋə́rstən
vprašaj	ʋpraʃáːj
miličnica	milíːt͡ʃnit͡sa
mlin	mlíːn
gnil	ɡníːʋ
podel	pɔ̀ːdəʋ
ulica	ùːlit͡sa
red	réːt
cula	t͡sùːla
ulomek	ulóːmək
bizantinski	bizantíːnski
čemaž	t͡ʃɛmáːʃ
naprava	napráːʋa
tris	tríːs
mošt	mɔ́ʃt
začeti	zat͡ʃèːti
uvel	uʋèːʋ
ksenofobija	ksɛnɔfɔbíːja
belorusija	bɛlɔrúːsija
telur	tɛlùːr
slabo	slabóː
učitelj	ut͡ʃíːtɛl
o	ɔ
grlica	ɡə̀rlit͡sa
kakšen	kàːkʃən
pogovoriti	pɔɡɔʋɔrìːti
rep	rɛ́p
izpeljati	ispɛljàːti
droben	drɔ̀ːbən
brest	brɛ́st
bel	bèːʋ
azija	àːzija
najspodobnejši	nájspɔdòːbnɛjʃi
skorbut	skɔrbúːt
zapestje	zapéːstjɛ
kladivo	klàːdiʋɔ
atene	atéːnɛ
izdajalec	izdajáːlət͡s
heziod	xɛzijóːt
bivol	bíːʋɔl
albansko	albáːnskɔ
kraj	kráj
buča	bùːt͡ʃa
gvajana	ɡʋajáːna
nihče	nixt͡ʃɛ́
strojiti	stróːjiti
dolgočasnejši	dɔlɡɔt͡ʃàːsnɛjʃi
skromen	skrɔ̀ːmən
oktober	ɔktòːbər
arterija	artɛ̀ːrija
vohunski	ʋɔxúːnski
ključiti	kljùːt͡ʃiti
bolgar	bɔlɡáːr
kaplja	kàːplja
nepredvidljiv	nɛ́prɛdʋidljíːʋ
govor	ɡɔ́ːʋɔr
majati	majàːti
norveška	nɔrʋéːʃka
noter	nòːtɛr
turčija	túːrt͡ʃija
oglas	ɔɡlás
znoj	znɔ́j
hrbet	xərbə́t
podroben	pɔdróːbən
kravžati	kráːʋʒati
latinski	latíːnski
rosomah	rɔsɔmáːx
benetke	bɛnéːtkɛ
perverzija	pɛrʋɛ̀ːrzija
nihče	níːxt͡ʃɛ
izložba	izlóːʒba
italijan	italiján
sestra	sɛ̀ːstra
sečničen	séːt͡ʃnit͡ʃən
izbira	izbíːra
istra	íːstra
ciklon	t͡siklóːn
slovanski	slɔʋáːnski
svet	sʋɛ́t
posoditi	pɔsɔdíːti
presenetiti	prɛsɛnéːtiti
najzrelejši	nájzrèːlɛjʃi
igrati	iɡràːti
najslabše	nájsláːpʃɛ
nekdo	néːɡdɔ
pest	péːst
obljubiti	ɔbljubíːti
mejiti	mɛjìːti
zaklad	zaklát
kuba	kúːba
pester	pèːstər
dvomiti	dʋóːmiti
reven	rèːʋən
jeza	jèːza
zenica	zɛnìːt͡sa
podgana	pɔdɡàːna
modrejši	mɔdrɛ́ːjʃi
sranje	sráːnjɛ
materen	máːtɛrən
škripec	ʃkríːpət͡s
kamin	kamíːn
moker	mòːkər
akuzativ	áːkuzatiʋ
antarktika	antàːrktika
dolina	dɔlìːna
sestrična	sɛstríːt͡ʃna
šarenica	ʃáːrɛnit͡sa
svak	sʋàːk
čuti	t͡ʃùːti
ujeti	ujèːti
mladič	mladít͡ʃ
hrvaška	xərʋáːʃka
barij	bàːrij
gepard	ɡéːpart
rešiti	rɛʃíːti
bežati	bɛʒàːti
loviti	lɔʋìːti
šesti	ʃɛ̀ːsti
hidrolog	xidrɔlóːk
mezeg	mə̀zək
krap	kráp
zbežati	zbɛʒàːti
stena	stèːna
kri	kríː
bitje	bíːtjɛ
pečat	pɛt͡ʃáːt
štorklja	ʃtóːrklja
mladost	mladóːst
bojo	bóːjɔ
skrivnostnejši	skriʋnóːstnɛjʃi
prosim	pròːsim
finsko	fíːnskɔ
spam	spɛ́ːm
prijateljica	prijáːtɛljit͡sa
ogrožati	ɔɡròːʒati
pomoč	pɔmóːt͡ʃ
čast	t͡ʃáːst
polkovnica	pɔlkɔ́ːʋnit͡sa
bomba	bóːmba
jantar	jáːntar
razvoj	razʋɔ́j
porod	pɔrɔ́t
džihad	d͡ʒixáːt
žarek	ʒáːrək
sanskrt	sanskə́rt
ustava	ustáːʋa
ježevec	jèːʒɛʋət͡s
pamet	pàːmɛt
džihad	d͡ʒíːxat
središče	srɛdìːʃt͡ʃɛ
varuh	ʋáːrux
sneguljčica	snɛɡúːlt͡ʃit͡sa
čistiti	t͡ʃìːstiti
luknja	lúːknja
narediti	narɛdìːti
sperma	spɛ́ːrma
breza	brèːza
lešnik	lèːʃnik
lek	léːk
zahteva	zaxtéːʋa
slabši	sláːpʃi
doma	dɔmáː
kontinent	kɔntinɛ́nt
meglica	məɡlìːt͡sa
ducat	dùːt͡sat
lisica	lisìːt͡sa
boljše	bóːlʃɛ
sobota	sɔbòːta
vaza	ʋàːza
zavreti	zaʋrèːti
božič	bɔ̀ːʒit͡ʃ
bolečina	bɔlɛt͡ʃìːna
slonica	slɔnìːt͡sa
ž	ʒ
najdolgočasnejši	nájdɔlɡɔt͡ʃàːsnɛjʃi
popek	póːpək
švedsko	ʃʋéːtskɔ
cev	t͡séːʋ
grb	ɡə́rp
poklicati	pɔklìːt͡sati
plavati	pláːʋati
holandski	xɔláːntski
satelit	satɛlíːt
svoboda	sʋɔbɔ̀ːda
steza	stəzá
hraniti	xràːniti
borka	bòːrka
hraniti	xraníːti
klop	klóːp
smučati	smúːt͡ʃati
jod	jóːt
kopel	kɔpéːl
psalmi	psáːlmi
najvišji	nájʋíːʃji
pospešek	pɔspéːʃək
mišičen	míːʃit͡ʃən
timijan	tíːmijan
vrat	ʋráːt
lobanja	lɔbàːnja
vektor	ʋèːktɔr
visok	ʋisɔ́k
polmer	pɔʋméːr
sta	stá
eden	ɛ̀ːdən
dolg	dɔ́ːʋk
artefakt	artɛfáːkt
zmaj	zmáːj
hasidizem	xasidíːzəm
blesteti	blɛstèːti
zahoden	zaxóːdən
zanimiv	zanimíːʋ
krog	króːk
zlonameren	zlɔnamèːrən
kreda	kréːda
duh	dúːx
žena	ʒɛ̀ːna
anton	antóːn
voditi	ʋɔdìːti
dejavnost	dɛjáːʋnɔst
zel	zə́ʋ
dihur	dixúːr
najsrečnejše	nájsrèːt͡ʃnɛjʃɛ
matej	matɛ́ːj
prisega	priséːɡa
nanašati	nanáːʃati
tlak	tláːk
bolj	bɔ́l
buldog	búːldɔk
slonovina	slɔnɔʋìːna
blagajna	blaɡáːjna
škof	ʃkɔ́f
vosek	ʋóːsək
hišen	xíːʃən
izgubiti	izɡubìːti
rubidij	rubìːdij
pobrati	pɔbràːti
bom	bóːm
soba	sɔ̀ːba
postati	pɔstàːti
strojiti	strɔjíːti
stegno	stɛ̀ːɡnɔ
dedovati	dɛdɔʋàːti
teden	téːdən
kje	kjéː
kurva	kúːrʋa
gost	ɡɔ́st
vaš	ʋáʃ
silicij	silìːt͡sij
cesar	t͡sɛ̀ːsar
hudič	xudìːt͡ʃ
zlog	zlɔ́k
terorist	tɛrɔríːst
januar	jáːnuar
mesec	méːsət͡s
dlaka	dlàːka
bodimo	bɔdíːmɔ
škorenj	ʃkóːrən
jelen	jɛ̀ːlɛn
biološki	biɔlóːʃki
radij	ràːdij
med	mɛt
ime	iméː
kop	kóːp
slovaško	slɔʋáːʃkɔ
avstrija	áːʋstrija
lokomotiva	lɔkɔmɔtíːʋa
abstrakten	apstráːktən
piton	pitóːn
da	dá
navada	naʋáːda
kenta	kéːnta
celota	t͡sɛlɔ̀ːta
metež	méːtɛʃ
asklepij	asklèːpij
tomaž	tɔmáːʃ
gros	ɡróː
elektron	ɛlɛktròːn
zaliv	zalíːʋ
večen	ʋèːt͡ʃən
možen	mòːʒən
noht	nóːxt
slanina	slanìːna
zvečer	zʋɛt͡ʃéːr
kurba	kúːrba
hercegovina	xɛrt͡sɛɡɔʋìːna
urnik	úːrnik
kositi	kɔsíːti
globok	ɡlɔbɔ́k
pornografija	pɔrnɔɡrafíːja
lemež	léːmɛʃ
lulček	lúːlt͡ʃək
sejati	sɛjàːti
grm	ɡə́rm
cenzura	t͡sɛnzúːra
aksiom	aksijóːm
duda	dúːda
kitajska	kitáːjska
srečnejše	srɛt͡ʃnɛ́ːjʃɛ
afrika	áːfrika
baza	bàːza
podmornica	pɔdmóːrnit͡sa
vojvodina	ʋóːjʋɔdina
najbliže	nájblíːʒɛ
težji	téːʒji
gadolinij	ɡadɔlìːnij
varnejši	ʋàːrnɛjʃi
sršen	sərʃéːn
aktualizirati	aktualizíːrati
alpaka	alpáːka
lahek	làːxək
gleženj	ɡlèːʒən
spolovilo	spɔlɔʋìːlɔ
prevajalec	prɛʋajáːlət͡s
tog	tóːk
veter	ʋéːtər
rog	róːk
tempelj	tɛ̀ːmpəl
opuščaj	ɔpuʃt͡ʃáːj
kaliti	kalìːti
roditi	rɔdìːti
zmaj	zmáj
pod	pɔ́t
runo	rùːnɔ
koliko	kòːlikɔ
deska	də̀ska
žila	ʒìːla
rokavica	rɔkaʋìːt͡sa
islandski	isláːntski
gravitacijski	ɡraʋitat͡síːjski
krastača	krastàːt͡ʃa
luksemburški	luksɛmbúːrʃki
prijaviti	prijàːʋiti
prazen	pràːzən
pica	píːt͡sa
umetnik	uméːtnik
topel	tɔ̀ːpəʋ
zaspan	zaspàːn
trinajst	tríːnajst
dež	də́ʃ
bič	bìːt͡ʃ
darilo	darìːlɔ
reši	rèːʃi
dokler	dóːklɛr
masa	máːsa
ananas	áːnanas
bober	bòːbər
sosed	sòːsɛt
izraz	izrás
zverina	zʋɛrìːna
kvar	kʋáːr
orel	ɔ̀ːrəʋ
maša	màːʃa
grom	ɡrɔ́m
inštitut	inʃtitúːt
najkrajši	nájkráːjʃi
že	ʒɛ́
sluti	slùːti
najmečji	nájméːt͡ʃji
klarinet	klarinéːt
spomin	spɔmíːn
militi	mìːliti
lutnja	lúːtnja
zažgati	zaʒɡàːti
dalek	dáːlɛk
budist	budíːst
jokati	jòːkati
beseden	bɛséːdən
čist	t͡ʃíːst
ingver	íːnɡʋɛr
najustreznejši	nájustrèːznɛjʃi
usta	ùːsta
ironija	irɔníːja
amarant	amaràːnt
dežela	dɛʒɛ̀ːla
krivda	kríːʋda
včeraj	ʋt͡ʃèːraj
muditi	mudíːti
ajd	àːjt
pomočnik	pɔmɔt͡ʃnìːk
zlomiti	zlɔmìːti
dvanajst	dʋanáːjst
posoditi	pɔsòːditi
neodvisen	nɛ́ɔdʋìːsən
jebati	jɛ́ːbati
obrazilo	ɔbrazìːlɔ
lug	lùːk
temza	téːmza
pohištvo	pɔxíːʃtʋɔ
mujezin	mujɛzíːn
priznati	priznàːti
dvomiti	dʋɔmìːti
sedeti	sɛdèːti
pijača	pijàːt͡ʃa
čao	t͡ʃáːɔ
pluti	plùːti
piramida	piramíːda
seznam	səznám
sečnica	séːt͡ʃnit͡sa
izsiljevalski	issiljɛʋáːʋski
antonim	antɔníːm
ožji	óːʒji
strah	stráːx
njegov	njɛɡɔ́ʋ
uživati	uʒìːʋati
samota	samɔ̀ːta
nedoločnik	nɛ́dɔlòːt͡ʃnik
parfum	parfúːm
mina	míːna
jajčnik	jáːjt͡ʃnik
monoteizem	mɔnɔtɛìːzəm
likalnik	likáːlnik
hrup	xrúːp
pesem	péːsəm
tetoviranje	tɛtɔʋíːranjɛ
odvreti	ɔdʋrèːti
bezjak	bɛzjáːk
boljši	bóːlʃi
klošč	klɔ́ʃt͡ʃ
daleč	dàːlɛt͡ʃ
oteti	ɔtèːti
urok	urɔ́k
ker	kɛr
skrivnosten	skriʋnóːstən
jože	jóːʒɛ
vladati	ʋlàːdati
pozavna	pɔzáːʋna
fin	fíːn
portugalsko	pɔrtuɡáːlskɔ
strop	strɔ́p
irščina	íːrʃt͡ʃina
raven	ràːʋən
ura	úːra
srečen	srèːt͡ʃən
ran	ráːn
aligator	aliɡáːtɔr
zmaga	zmáːɡa
vzhodnejši	ʋzxóːdnɛjʃi
zbirati	zbíːrati
bodite	bòːditɛ
holm	xóːlm
aragonit	araɡɔníːt
stranka	stráːnka
buden	bùːdən
pariz	paríːs
kartagina	kartáːɡina
azil	azíːl
je	jɛ́
italijanski	italijáːnski
pogodba	pɔɡóːdba
prometij	prɔmèːtij
liti	lìːti
pokazati	pɔkàːzati
seči	sèːt͡ʃi
legendaren	lɛɡɛndáːrən
domišljija	dɔmiʃljíːja
modrejši	mòːdrɛjʃi
transilvanija	transilʋàːnija
lira	líːra
sirija	sìːrija
latinica	latíːnit͡sa
liturgija	liturɡíːja
kopno	kɔ́ːpnɔ
štala	ʃtàːla
prostor	prɔ̀ːstɔr
let	lɛ́t
genij	ɡèːnij
doba	dɔ̀ːba
kocka	kóːt͡ska
enota	ɛnɔ̀ːta
umiti	umìːti
felicijan	fɛlit͡sijáːn
irec	íːrət͡s
balet	baléːt
najpogumnejši	nájpɔɡùːmnɛjʃi
dejanje	dɛjáːnjɛ
čigar	t͡ʃíːɡar
reči	rɛ̀ːt͡ʃi
kip	kíːp
podla	pɔ̀ːdla
preja	prɛ́ːja
mamut	máːmut
vrba	ʋə̀rba
meti	mèːti
kapetan	kapéːtan
uporabiti	upɔràːbiti
tadžikistan	tad͡ʒíːkistan
dama	dàːma
opatinja	ɔpáːtinja
divizija	diʋizíːja
učinek	ut͡ʃíːnək
najskrivnejši	nájskríːʋnɛjʃi
gozd	ɡɔ́st
lotos	lóːtɔs
najdebelejši	nájdɛbɛlɛ́ːjʃi
hobotnica	xɔbóːtnit͡sa
čebula	t͡ʃəbùːla
nikolaj	nikɔláːj
žuželka	ʒuʒéːlka
nafta	náːfta
slop	slɔ́p
kozarec	kɔzáːrət͡s
bas	báːs
nekrofilija	nɛkrɔfilíːja
noga	nɔ̀ːɡa
zelena	zɛ́ːlɛna
skoraj	skɔ̀ːraj
zagnati	zaɡnàːti
jahati	jàːxati
dotakniti	dɔtakníːti
enačba	ɛnáːd͡ʒba
tako	takóː
kislina	kislìːna
tisti	tíːsti
klečati	klɛt͡ʃàːti
veverica	ʋèːʋɛrit͡sa
spremeniti	sprɛmɛnìːti
vulkan	ʋulkáːn
nem	néːm
severen	sèːʋɛrən
kuhinja	kùːxinja
dinozaver	dinɔzàːʋər
paladin	paladíːn
ožemati	ɔʒéːmati
kikiriki	kikirikíː
najdejavnejši	nájdɛjàːʋnɛjʃi
obiskovati	ɔbiskɔʋàːti
kosilo	kɔsìːlɔ
volga	ʋɔ̀ːʋɡa
srb	sə́rp
bralnik	bráːlnik
jerebica	jɛrɛbìːt͡sa
najožji	nájóːʒji
redar	rɛdàːr
voščilo	ʋɔʃt͡ʃìːlɔ
monako	mɔnáːkɔ
komolec	kɔmóːlət͡s
desetletje	dɛsɛtléːtjɛ
gozdarstvo	ɡɔzdáːrstʋɔ
pomemben	pɔméːmbən
turški	tùːrʃki
filozof	filɔzóːf
aerodinamika	aɛ́ːrɔdinàːmika
vojakinja	ʋɔjàːkinja
ravnotežje	raʋnɔtéːʒjɛ
bresti	brɛ̀ːsti
vaditi	ʋàːditi
urban	urbán
vstopiti	ʋstɔpíːti
glaven	ɡláːʋən
uganka	uɡáːnka
čelo	t͡ʃéːlɔ
kurec	kúːrət͡s
boriti	bɔrìːti
predvidljiv	prɛdʋidljíːʋ
žolčnik	ʒɔ́ːʋt͡ʃnik
slovenec	slɔʋèːnət͡s
meniti	mɛnìːti
grčija	ɡə́rt͡ʃija
