pamīsus	pamiːzus
retergeō	rɛt̪ɛrd͡ʒɛɔ
sinōniam	sinɔːniam
arabrīga	arabriːɡa
neonātus	nɛɔnaːt̪us
tapēte	t̪apɛːt̪ɛ
iotapē	jɔːt̪apɛ
doctiloquus	d̪ɔkt̪iːlɔkwus
inri	jɛːzusnadd͡zarɛːnusrɛksjud̪ɛɔːrum
dīvīsor	d̪iviːzɔr
adpropiō	at̪prɔːpiɔ
officīna	ɔffit͡ʃiːna
peritonēālēs	pɛrit̪ɔnɛaːlɛs
parisiānus	pariziaːnus
ecfutuō	ɛkfuːt̪uɔ
actinacanthus	akt̪inakan̪t̪us
cornētum	kɔrnɛːt̪um
iuvenēscō	juvɛnɛskɔ
paeoplae	pɛːɔplɛ
hornōtinus	ɔrnɔːt̪inus
sēmilautus	sɛmilau̯t̪us
cypsela	t͡ʃipsɛla
ōsculātiō	ɔskulaːt͡siɔ
nōminanda	nɔminan̪d̪a
sulis	suːlis
convīvium	kɔnviːvium
lātrāveritis	lat̪ravɛːrit̪is
frūstrātōrius	frust̪rat̪ɔːrius
festīnō	fɛst̪iːnɔ
arbustus	arbust̪us
vesta	vɛst̪a
ēducātor	ɛd̪ukaːt̪ɔr
inaugurātis	inau̯ɡuraːt̪is
chlamys	klaːmis
coniectō	kɔnjɛkt̪ɔ
fragmentum	fraɡmɛn̪t̪um
autumnō	au̯t̪umnɔ
abacinātus	abat͡ʃinaːt̪us
solve	sɔlvɛ
vēlifer	vɛːlifɛr
nexilis	nɛksilis
cōpāïs	kɔpaːis
sȳrinx	siːriŋks
nitrum	nit̪rum
trīnitāriōs	t̪rinit̪aːriɔs
adveneror	ad̪vɛːnɛrɔr
sabura	saːbura
pācātōrius	pakat̪ɔːrius
linos	liːnɔs
indopacificus	in̪d̪ɔpat͡ʃiːfikus
cisalpīnus	t͡ʃizalpiːnus
recidīvus	rɛt͡ʃid̪iːvus
osset	ɔssɛt̪
appropiō	apprɔːpiɔ
acquiēscentis	akkwiɛʃʃɛn̪t̪is
reflectar	rɛflɛkt̪ar
saepēs	sɛːpɛs
pessinūs	pɛssinus
gestāveris	d͡ʒɛst̪aːvɛris
extrūde	ɛkst̪ruːd̪ɛ
sepulcrum	sɛpulkrum
pāgāna	paɡaːna
aurōreus	au̯rɔːrɛus
cāseus	kaːzɛus
maiānius	majaːnius
pōtiō	pɔːt͡siɔ
parnēs	parnɛs
dēsidiōsus	d̪ɛzid̪iɔːzus
iūdiciārius	jud̪it͡ʃiaːrius
multiloquium	mul̪t̪ilɔːkwium
intersecar	in̪t̪ɛrsɛkar
samōnium	samɔːnium
apiolae	apiːɔlɛ
zephyrius	d͡zɛfiːrius
oxymōrus	ɔksimɔːrus
latifrōns	laːt̪ifrɔns
quirīnius	kwiriːnius
hospitiolum	ɔspit͡siːɔlum
ēlaqueātiō	ɛlakwɛaːt͡siɔ
ignōrāveritis	iɲɲɔravɛːrit̪is
guiānicus	ɡwiaːnikus
gaudos	ɡau̯d̪ɔs
strēnuē	st̪rɛːnuɛ
seleucus	sɛlɛu̯kus
opūs	ɔːpus
intondeō	in̪t̪ɔn̪d̪ɛɔ
miser	miːzɛr
prōvinciālis	prɔvin̠ʲt͡ʃiaːlis
haereō	ɛːrɛɔ
capillāre	kapillaːrɛ
plācō	plaːkɔ
zōna	d͡zɔːna
inprimō	imprimɔ
īnsulte	insul̪t̪ɛ
apitāmī	apit̪aːmi
rubia	ruːbia
circumstō	t͡ʃirkumst̪ɔ
calō	kaːlɔ
menedēmus	mɛnɛd̪ɛːmus
seepēnsis	sɛpɛnsis
concidere	kɔn̠ʲt͡ʃiːd̪ɛrɛ
donūsa	d̪ɔnuːza
catīnus	kat̪iːnus
aniculāris	anikulaːris
lūcagus	luːkaɡus
condēnsō	kɔn̪d̪ɛnsɔ
hyēttus	iɛt̪t̪us
mactāverimus	makt̪avɛriːmus
aequilavium	ɛkwilaːvium
charinī	kaːrini
nostraticus	nɔst̪raːt̪ikus
sacēna	sat͡ʃɛːna
sempervirēns	sɛmpɛrvirɛns
alopē	aːlɔpɛ
prōfer	prɔːfɛr
pattersonēnsis	pat̪t̪ɛrsɔnɛnsis
pervulgō	pɛrvulɡɔ
logēum	lɔd͡ʒɛːum
īnsolēns	insɔlɛns
acrufolius	akrufɔːlius
pandiculor	pan̪d̪iːkulɔr
pater	paːt̪ɛr
chēlae	kɛːlɛ
convolvolī	kɔnvɔlvɔli
alcohol	alkɔɔl
epitaphium	ɛpit̪aːfium
nūme	nuːmɛ
agricola	aɡriːkɔla
smȳrus	smiːrus
latifasciātus	lat̪ifaʃʃiaːt̪us
nummulāriōs	nummulaːriɔs
dissociābilis	d̪issɔt͡ʃiaːbilis
pīpientis	pipiɛn̪t̪is
alogia	alɔːd͡ʒia
reliquō	rɛːlikwɔ
corrūgō	kɔrruːɡɔ
sedēs	sɛːd̪ɛs
anniculus	anniːkulus
reintegrāns	rɛin̪t̪ɛɡrans
memorāveris	mɛmɔraːvɛris
attondeō	at̪t̪ɔn̪d̪ɛɔ
tē̆ba	t̪ɛːba
vēiovis	vɛːjɔvis
coriallum	kɔriallum
lithuānus	lit̪uaːnus
perparvus	pɛrparvus
tasmaniēnsis	t̪asmaniɛnsis
tribrevēs	t̪riːbrɛvɛs
tenue	t̪ɛːnuɛ
observāveritis	ɔpsɛrvavɛːrit̪is
maliloquium	malilɔːkwium
viāre	viaːrɛ
interfluō	in̪t̪ɛrfluɔ
ēdō	ɛːd̪ɔ
sāgus	saːɡus
orichalcum	ɔrikalkum
obiūrgō	ɔbjurɡɔ
iūrisprūdentia	jurisprud̪ɛnt͡sia
applumbō	applumbɔ
serpentifōrmēs	sɛrpɛn̪t̪ifɔrmɛs
aemulanter	ɛmulan̪t̪ɛr
adendros	ad̪ɛn̪d̪rɔs
cāia	kaːja
novemdecim	nɔvɛn̪d̪ɛt͡ʃim
corylus	kɔːrilus
ericinium	ɛrit͡ʃiːnium
narcissītis	nart͡ʃissiːt̪is
craterītis	krat̪ɛriːt̪is
pilamalleus	pilamallɛus
irrogārem	irrɔɡaːrɛm
subsīdō	supsiːd̪ɔ
tenebrōsō	t̪ɛnɛbrɔːzɔ
obtineō	ɔpt̪iːnɛɔ
excidere	ɛkst͡ʃid̪ɛːrɛ
aequicus	ɛːkwikus
abarceō	abart͡ʃɛɔ
ēlectrōnicus	ɛlɛkt̪rɔːnikus
deificus	d̪ɛiːfikus
argentīne	ard͡ʒɛn̪t̪iːnɛ
reprehēnsibilis	rɛprɛɛnsiːbilis
adiūnctus	ad̪juŋkt̪us
matelliō	mat̪ɛlliɔ
prīmitīvus	primit̪iːvus
columbārium	kɔlumbaːrium
hērophilus	ɛrɔːfilus
medoacus	mɛd̪ɔːakus
boactēs	bɔakt̪ɛs
fuisset	fuissɛt̪
gubernāverimus	ɡubɛrnavɛːrimus
crōbylos	krɔːbilɔs
cōpulātiō	kɔpulaːt͡siɔ
jugō	juːɡɔ
tacueritis	t̪akuɛːrit̪is
adytus	aːd̪it̪us
wacta	vakt̪a
thermum	t̪ɛrmum
sacassānī	sakassaːni
restaurō	rɛst̪au̯rɔ
victuma	vikt̪uma
trabāria	t̪rabaːria
salicastrum	salikast̪rum
canīnus	kaniːnus
rutilō	ruːt̪ilɔ
vigōrēs	viɡɔːrɛs
violāscēns	viɔlaʃʃɛns
bohrium	bɔːrium
exquīsītus	ɛkskwiziːt̪us
thrissa	t̪rissa
gothīnī	ɡɔt̪iːni
aeningia	ɛnin̠ʲd͡ʒia
carrea	karrɛa
decās	d̪ɛːkas
hērāclītus	ɛrakliːt̪us
amātōrius	amat̪ɔːrius
nūdātis	nud̪aːt̪is
mātūrus	mat̪uːrus
macrosporus	makrɔspɔrus
pharnaspēs	farnaspɛs
flūmen	fluːmɛn
suppetiātus	suppɛt͡siaːt̪us
percute	pɛrkut̪ɛ
undulātus	un̪d̪ulaːt̪us
cōgitābundus	kɔd͡ʒit̪abun̪d̪us
ōdī	ɔːd̪i
scōttī	skɔt̪t̪i
inmaculātus	inmakulaːt̪us
armem	armɛm
reclūsās	rɛkluːzas
disculus	d̪iskulus
dromō	d̪rɔːmɔ
pēnultima	pɛnul̪t̪ima
tibūla	t̪ibuːla
perinīquus	pɛriniːkwus
dīrumpō	d̪irumpɔ
prōflīgō	prɔfliːɡɔ
lēthōn	lɛːt̪ɔn
ballet	ballɛt̪
enterītidis	ɛn̪t̪ɛriːt̪id̪is
grācula	ɡraːkula
circuit	t͡ʃirkuit̪
praesonō	prɛːzɔnɔ
sōphronistērium	sɔfrɔnist̪ɛːrium
lupārī	lupaːri
ōrāssēs	ɔrassɛs
incontrītus	iŋkɔn̪t̪riːt̪us
excaldō	ɛkskal̪d̪ɔ
stertēia	st̪ɛrt̪ɛja
harziānus	ard͡ziaːnus
bīliāris	biliaːris
tampsapor	t̪ampsapɔr
āera	aːɛra
marisus	maːrizus
undō	un̪d̪ɔ
cholerāicus	kɔlɛraːikus
ponderō	pɔn̪d̪ɛrɔ
errāssent	ɛrrassɛn̪t̪
bovārius	bɔvaːrius
alliciō	alliːt͡ʃiɔ
varagrī	vaːraɡri
prōstitūtiō	prɔst̪it̪uːt͡siɔ
incohātīs	iŋkɔaːt̪is
clēricia	klɛriːt͡ʃia
indigeō	in̪d̪iːd͡ʒɛɔ
dolōrēs	d̪ɔːlɔrɛs
persevērat	pɛrsɛvɛːrat̪
sonus	sɔːnus
mesēmbria	mɛzɛmbria
fallāciloquus	fallat͡ʃiːlɔkwus
perpendō	pɛrpɛn̪d̪ɔ
calcō	kalkɔ
marmotus	marmɔt̪us
athamānia	at̪amaːnia
mellificō	mɛlliːfikɔ
corduba	kɔrd̪uba
prōvēnerimus	prɔvɛnɛriːmus
caprea	kaːprɛa
retineō	rɛt̪iːnɛɔ
pervestīgō	pɛrvɛst̪iːɡɔ
hermundurī	ɛrmun̪d̪uri
comprobō	kɔmprɔbɔ
intrōductōriō	in̪t̪rɔd̪ukt̪ɔːriɔ
tigrīnus	t̪iɡriːnus
fugātor	fuɡaːt̪ɔr
nōbilitō	nɔbiːlit̪ɔ
turbulentia	t̪urbulɛnt͡sia
quadruplicō	kwad̪ruːplikɔ
flāte	flaːt̪ɛ
occaecāveritis	ɔtt͡ʃɛkavɛriːt̪is
zephyrōrum	d͡zɛfirɔːrum
veleia	vɛːlɛja
prōgenitor	prɔd͡ʒɛːnit̪ɔr
compitālis	kɔmpit̪aːlis
ēvibrō	ɛːvibrɔ
circumspectā	t͡ʃirkumspɛkt̪a
strongyla	st̪rɔn̠ʲd͡ʒila
guerrārius	ɡuɛrraːrius
volitō	vɔːlit̪ɔ
levāre	lɛvaːrɛ
habēnulārus	abɛnulaːrus
amplexō	amplɛksɔ
fendicae	fɛn̪d̪it͡ʃɛ
jugulodigastricus	juɡulɔd̪iɡast̪rikus
bullō	bullɔ
apozȳmō	apɔdd͡ziːmɔ
telōnēum	t̪ɛlɔnɛːum
indicāssem	in̪d̪ikassɛm
propinquitās	prɔpiŋkwit̪as
sexāgēsimum	sɛksad͡ʒɛːzimum
juntīnus	jun̪t̪iːnus
futūtrīx	fut̪uːt̪riks
daūria	d̪auːria
tasciaca	t̪aʃʃiːaka
praerumpō	prɛrumpɔ
silvāticus	silvaːt̪ikus
septimplex	sɛpt̪implɛks
mixtus	mikst̪us
panchrestus	paŋkrɛst̪us
bēstiārius	bɛst̪iaːrius
extemporaneus	ɛkst̪ɛmpɔraːnɛus
liquāmen	likwaːmɛn
pictor	pikt̪ɔr
onerāverimus	ɔnɛravɛriːmus
glōriās	ɡlɔːrias
phlegra	flɛːɡra
oxīa	ɔksiːa
discīdō	d̪iʃʃiːd̪ɔ
commordeō	kɔmmɔrd̪ɛɔ
comitor	kɔːmit̪ɔr
mīlitāriter	milit̪aːrit̪ɛr
autesiodūrum	au̯t̪ɛziɔd̪uːrum
ōrātus	ɔraːt̪us
āctuāsse	akt̪uassɛ
inreligiōsus	inrɛlid͡ʒiɔːzus
sēbāx	sɛːbaks
perfluus	pɛrfluus
ōvāta	ɔvaːt̪a
tisanūsa	t̪izanuːza
dēsertum	d̪ɛzɛrt̪um
pūsulātus	puzulaːt̪us
ablātīvus	ablat̪iːvus
dējuvō	d̪ɛːjuvɔ
dactylus	d̪akt̪ilus
abbreviō	abbrɛːviɔ
carnifex	karnifɛks
edāx	ɛːd̪aks
commandō	kɔmman̪d̪ɔ
cessātor	t͡ʃɛssaːt̪ɔr
sēbennȳtus	sɛbɛnniːt̪us
inductīvus	in̪d̪ukt̪iːvus
vomitōrium	vɔmit̪ɔːrium
pergrātus	pɛrɡraːt̪us
cīvīlista	t͡ʃivilist̪a
praecellō	prɛt͡ʃɛllɔ
dispareō	d̪ispaːrɛɔ
obsidiānus	ɔpsid̪iaːnus
aggāvīsus	aɡɡaviːzus
trānsalpīnus	t̪ransalpiːnus
polybus	pɔːlibus
abscōnsō	apskɔnsɔ
pontidius	pɔn̪t̪iːd̪ius
allūdō	alluːd̪ɔ
gelāveris	d͡ʒɛlaːvɛris
irreligiōsus	irrɛlid͡ʒiɔːzus
verberō	vɛrbɛrɔ
pruīna	pruiːna
inbellis	imbɛllis
aspendus	aspɛn̪d̪us
alphabētum	alfabɛːt̪um
acūleātus	akulɛaːt̪us
intexō	in̪t̪ɛksɔ
satrapa	saːt̪rapa
agger	add͡ʒɛr
farreus	farrɛus
cōnspicuō	kɔnspiːkuɔ
ilurō	iːlurɔ
laniātis	laniaːt̪is
terenūthis	t̪ɛrɛnuːt̪is
vēlōciter	vɛlɔːt͡ʃit̪ɛr
larix	laːriks
magis	maːd͡ʒis
plānus	plaːnus
ērogō	ɛːrɔɡɔ
argūtus	arɡuːt̪us
īnsignēs	insiɲɲɛs
āfricānī	afrikaːni
conpīlō	kɔmpiːlɔ
porcius	pɔrt͡ʃius
sīnēnsis	sinɛnsis
chindrum	kin̪d̪rum
zēbra	d͡zɛːbra
abellana	abɛllana
aromanicus	arɔmaːnikus
hampsicora	ampsiːkɔra
liquō	liːkwɔ
clāvīchordium	klavikɔrd̪ium
quadrāticōs	kwad̪raːt̪ikɔs
dēviātor	d̪ɛviaːt̪ɔr
reus	rɛːus
bāsiātiō	baziaːt͡siɔ
sōlāris	sɔlaːris
pugnicula	puɲɲiːkula
tampius	t̪ampius
lēthargiīs	lɛt̪ard͡ʒiis
sortiger	sɔrt̪id͡ʒɛr
dīvulgō	d̪ivulɡɔ
lēgāverimus	lɛɡavɛriːmus
conperiō	kɔmpɛːriɔ
vēneō	vɛːnɛɔ
eurōtiās	ɛu̯rɔːt͡sias
anas	aːnas
longipēs	lɔn̠ʲd͡ʒipɛs
albāna	albaːna
lēctōrēs	lɛkt̪ɔːrɛs
altor	al̪t̪ɔr
prōpēnsus	prɔpɛnsus
stigmāticus	st̪iɡmaːt̪ikus
ūbertās	ubɛrt̪as
sura	suːra
vēnitūrus	vɛnit̪uːrus
trium	t̪riːum
praevēneritis	prɛvɛnɛːrit̪is
odōrō	ɔd̪ɔːrɔ
mūcrōnātus	mukrɔnaːt̪us
marmarium	marmaːrium
vēnōse	vɛnɔːzɛ
illinc	illiŋk
clāritūdō	klarit̪uːd̪ɔ
dissēminā	d̪issɛːmina
adrēmigō	ad̪rɛːmiɡɔ
īnsidiō	insiːd̪iɔ
mācerō	maːt͡ʃɛrɔ
agnella	aɲɲɛlla
selēnium	sɛlɛːnium
laterālēs	lat̪ɛraːlɛs
lēgātus	lɛɡaːt̪us
sēquana	sɛːkwana
ūcraīna	ukraiːna
impetrō	impɛt̪rɔ
quadrīgulae	kwad̪riːɡulɛ
conductor	kɔn̪d̪ukt̪ɔr
sublīmante	subliman̪t̪ɛ
metaplasmus	mɛt̪aplasmus
apsorus	apsɔrus
prōdō	prɔːd̪ɔ
tollō	t̪ɔllɔ
fascīna	faʃʃiːna
bellisonus	bɛlliːzɔnus
mēcōnītēs	mɛkɔniːt̪ɛs
generāre	d͡ʒɛnɛraːrɛ
merus	mɛːrus
locāverimus	lɔkavɛːrimus
corinium	kɔriːnium
indāgātis	in̪d̪aɡaːt̪is
intrōmittō	in̪t̪rɔmit̪t̪ɔ
hindicus	in̪d̪ikus
lentior	lɛnt͡siɔr
garamantēs	ɡaraman̪t̪ɛs
acūtiglūmis	akut̪iɡluːmis
imāginōsus	imad͡ʒinɔːzus
excantō	ɛkskan̪t̪ɔ
obtestor	ɔpt̪ɛst̪ɔr
superlūceō	supɛrluːt͡ʃɛɔ
diffiteor	d̪iffiːt̪ɛɔr
rōmānae	rɔmaːnɛ
ceresia	t͡ʃɛrɛːzia
abacīnus	abat͡ʃiːnus
doriās	d̪ɔːrias
enispē	ɛnispɛ
dērīsiō	d̪ɛriːziɔ
būthrōtum	but̪rɔːt̪um
aethiopicus	ɛt̪iɔːpikus
circumvēneris	t͡ʃirkumvɛːnɛris
obrogātiō	ɔbrɔɡaːt͡siɔ
epictētus	ɛpikt̪ɛːt̪us
borussicus	bɔrussikus
baptisma	bapt̪isma
incendō	in̠ʲt͡ʃɛn̪d̪ɔ
scirros	ʃirrɔs
salūtiger	saluːt̪id͡ʒɛr
secundus	sɛkun̪d̪us
lacerta	lat͡ʃɛrt̪a
ratiōcinātīvus	rat͡siɔt͡ʃinat̪iːvus
ūranographia	uranɔɡraːfia
lauriacum	lau̯riːakum
laudābis	lau̯d̪aːbis
urgentēs	urd͡ʒɛn̪t̪ɛs
cenomānī	t͡ʃɛnɔmaːni
tmōlus	t̪mɔːlus
crēmnī	krɛmni
conmorior	kɔnmɔːriɔr
cōnsarcinō	kɔnsart͡ʃinɔ
merīdiēs	mɛriːd̪iɛs
salebra	saːlɛbra
contemplābilis	kɔn̪t̪ɛmplaːbilis
murmurāveritis	murmuravɛriːt̪is
doctōrem	d̪ɔkt̪ɔːrɛm
exspuō	ɛkspuɔ
danaus	d̪aːnaus
vīlitās	viːlit̪as
condormiō	kɔn̪d̪ɔrmiɔ
alveus	alvɛus
pēnīnsulārēs	pɛninsulaːrɛs
guttera	ɡut̪t̪ɛra
mōtiō	mɔːt͡siɔ
iōsēphopolis	jɔzɛfɔːpɔlis
numeria	numɛːria
aucupābundus	au̯kupabun̪d̪us
pactīcius	pakt̪iːt͡ʃius
cucumerīnus	kukumɛriːnus
abluvium	abluːvium
dādūchus	d̪ad̪uːkus
profūsus	prɔfuːzus
asinius	aziːnius
aretissa	arɛt̪issa
vīminētum	viminɛːt̪um
negāverimus	nɛɡavɛriːmus
helveconae	ɛlvɛːkɔnɛ
perlongus	pɛrlɔŋɡus
vōs	vɔs
redhibeō	rɛd̪iːbɛɔ
imāginārius	imad͡ʒinaːrius
intermittō	in̪t̪ɛrmit̪t̪ɔ
focunātēs	fɔkunaːt̪ɛs
obtruncāverimus	ɔpt̪ruŋkavɛriːmus
allūsiōnem	alluziɔːnɛm
portae	pɔrt̪ɛ
inportō	impɔrt̪ɔ
mileon	miːlɛɔn
eclīptica	ɛklipt̪ika
avē	aːvɛ
lipiō	liːpiɔ
crēstōnia	krɛst̪ɔːnia
āvolō	aːvɔlɔ
exhauriō	ɛksau̯riɔ
corēāne	kɔrɛaːnɛ
nigripennis	niɡripɛnnis
obtruncātīs	ɔpt̪ruŋkaːt̪is
fatuor	faːt̪uɔr
mā̆trona	maːt̪rɔna
dulcēdō	d̪ul̠ʲt͡ʃɛːd̪ɔ
reganus	rɛːɡanus
arelātē	arɛlaːt̪ɛ
syllogizō	sillɔd͡ʒidd͡zɔ
dēmentā	d̪ɛmɛn̪t̪a
cōnfessiō	kɔnfɛssiɔ
cānius	kaːnius
nūntiāveritis	nunt͡siavɛːrit̪is
dīvīsim	d̪iviːzim
germen	d͡ʒɛrmɛn
morinī	mɔːrini
apiastrum	apiast̪rum
spurcō	spurkɔ
īnsurgō	insurɡɔ
coīrī	kɔiːri
truncō	t̪ruŋkɔ
praevēneritis	prɛvɛnɛriːt̪is
germināveritis	d͡ʒɛrminavɛriːt̪is
chelōnītis	kɛlɔniːt̪is
orosinēs	ɔrɔːzinɛs
anōmalān	anɔːmalan
anīlis	aniːlis
dānicae	d̪aːnit͡ʃɛ
mandaeī	man̪d̪ɛːi
cōnsulō	kɔnsulɔ
pusillanimis	puzillaːnimis
ingeminō	in̠ʲd͡ʒɛːminɔ
vīcātim	vikaːt̪im
invīsibilis	inviziːbilis
reputō	rɛːput̪ɔ
carmen	karmɛn
praeferōx	prɛːfɛrɔks
cautus	kau̯t̪us
arbustum	arbust̪um
lēvābis	lɛvaːbis
dīrigeris	d̪iriːd͡ʒɛris
frūctuōsus	frukt̪uɔːzus
atossa	at̪ɔssa
pelinnaeum	pɛlinnɛːum
illūsiō	illuːziɔ
adōrdinō	ad̪ɔrd̪inɔ
paraclitus	paraːklit̪us
ambigō	ambiɡɔ
orchis	ɔrkis
vesperūgō	vɛspɛruːɡɔ
modificō	mɔd̪iːfikɔ
coruscāre	kɔruskaːrɛ
lībātīs	libaːt̪is
speciē	spɛːt͡ʃiɛ
abelus	aːbɛlus
alchymista	alkimist̪a
alginolyticus	al̠ʲd͡ʒinɔliːt̪ikus
aetās	ɛːt̪as
languēscō	laŋɡwɛskɔ
suppleō	supplɛɔ
spīrālis	spiraːlis
trāiectōrium	t̪rajɛkt̪ɔːrium
recondite	rɛkɔn̪d̪it̪ɛ
perūviānās	pɛruviaːnas
amerimnon	amɛrimnɔn
ēlectrōnica	ɛlɛkt̪rɔːnika
aditātum	ad̪it̪aːt̪um
bārdī	bard̪i
inexpectātus	inɛkspɛkt̪aːt̪us
analecta	analɛkt̪a
boduognātus	bɔd̪uɔɲɲaːt̪us
pittsburgum	pit̪sburɡum
legūminōsus	lɛɡuminɔːzus
contrādictōrius	kɔn̪t̪rad̪ikt̪ɔːrius
agricultūrāle	aɡrikul̪t̪uraːlɛ
plicātilis	plikaːt̪ilis
longidius	lɔn̠ʲd͡ʒiːd̪ius
metus	mɛːt̪us
ārfaciō	arfaːt͡ʃiɔ
exprōbrō	ɛksprɔːbrɔ
manifēstātis	manifɛst̪aːt̪is
redintegrāscō	rɛd̪in̪t̪ɛɡraskɔ
cōnscius	kɔn̠ʲʃius
hemmatae	ɛmmat̪ɛ
octōgēsimus	ɔkt̪ɔd͡ʒɛːzimus
dēvinciō	d̪ɛvin̠ʲt͡ʃiɔ
cānus	kaːnus
syagrus	siːaɡrus
vēnum	vɛːnum
pistō	pist̪ɔ
pāgina	paːd͡ʒina
alveolus	alvɛːɔlus
ēvincō	ɛviŋkɔ
ischiō	iskiɔ
auctō	au̯kt̪ɔ
ēiaculātus	ɛjakulaːt̪us
dēnsē	d̪ɛnsɛ
coeliger	t͡ʃɛːlid͡ʒɛr
mediaevālis	mɛd̪iɛvaːlis
palē	paːlɛ
armāssēs	armassɛs
teleptē	t̪ɛlɛpt̪ɛ
mēcyberna	mɛt͡ʃibɛrna
vergilī	vɛrd͡ʒiːli
lāsar	laːzar
obambulō	ɔbambulɔ
imprōvīsus	imprɔviːzus
incarnō	iŋkarnɔ
congȳrō	kɔn̠ʲd͡ʒiːrɔ
extirpō	ɛkst̪irpɔ
generāveritis	d͡ʒɛnɛravɛriːt̪is
aumātium	au̯maːt͡sium
fīlāmentōsō	filamɛn̪t̪ɔːzɔ
mīsēnum	mizɛːnum
phȳrāma	firaːma
iūdicātūra	jud̪ikat̪uːra
geniculātus	d͡ʒɛnikulaːt̪us
cocceus	kɔtt͡ʃɛus
palam	paːlam
fissiō	fissiɔ
pollinium	pɔlliːnium
postumius	pɔst̪uːmius
montuōsus	mɔn̪t̪uɔːzus
crocodīlus	krɔkɔd̪iːlus
sternēbāmus	st̪ɛrnɛbaːmus
adēsuriō	ad̪ɛzuːriɔ
motyca	mɔːt̪ika
nūntiātīs	nunt͡siaːt̪is
aciēs	aːt͡ʃiɛs
vēnālitās	vɛnaːlit̪as
fācundia	fakun̪d̪ia
lacūna	lakuːna
clārē	klaːrɛ
artificiālis	art̪ifit͡ʃiaːlis
daemoniacus	d̪ɛmɔniːakus
attenuō	at̪t̪ɛːnuɔ
minibicornis	minibikɔrnis
salum	saːlum
ēvagor	ɛːvaɡɔr
leprōsus	lɛprɔːzus
extimēscō	ɛkst̪imɛskɔ
mutūniātus	mut̪uniaːt̪us
sitrae	siːt̪rɛ
pertrahō	pɛrt̪raɔ
dēnūntiō	d̪ɛnunt͡siɔ
crocylē	krɔːt͡ʃilɛ
remētior	rɛmɛːt͡siɔr
epicydēs	ɛpiːt͡ʃid̪ɛs
librāriō	libraːriɔ
armārās	armaːras
sēnsim	sɛnsim
ērādīcō	ɛrad̪iːkɔ
dēfīnītus	d̪ɛfiniːt̪us
recreō	rɛːkrɛɔ
hieromix	iɛːrɔmiks
quisque	kwiskwɛ
trīnitāriō	t̪rinit̪aːriɔ
sambūceus	sambuːt͡ʃɛus
momōnia	mɔmɔːnia
puter	puːt̪ɛr
indicāssēs	in̪d̪ikassɛs
surripiō	surriːpiɔ
acorus	aːkɔrus
mauritiānus	mau̯rit͡siaːnus
querulē	kwɛːrulɛ
molestia	mɔlɛst̪ia
būdīnī	bud̪iːni
effectus	ɛffɛkt̪us
prīncipor	prin̠ʲt͡ʃipɔr
dērogātōrius	d̪ɛrɔɡat̪ɔːrius
alumnor	alumnɔr
gravitās	ɡraːvit̪as
equitāte	ɛkwit̪aːt̪ɛ
scirtarī	ʃirt̪ari
hostificus	ɔst̪iːfikus
numerōsus	numɛrɔːzus
inquiētō	iŋkwiɛːt̪ɔ
pullastram	pullast̪ram
īnsapiēns	insaːpiɛns
organizō	ɔrɡanidd͡zɔ
mador	maːd̪ɔr
sphȳraena	sfirɛːna
cicātrīcōsus	t͡ʃikat̪rikɔːzus
rūfulus	ruːfulus
tentantō	t̪ɛn̪t̪an̪t̪ɔ
nox	nɔks
cellārium	t͡ʃɛllaːrium
lūcibilis	lut͡ʃiːbilis
quīngentī	kwin̠ʲd͡ʒɛn̪t̪i
inexspectātus	inɛkspɛkt̪aːt̪us
prōmiscuus	prɔmiskuus
colī	kɔːli
latentissime	lat̪ɛn̪t̪issimɛ
pompeius	pɔmpɛjus
thomna	t̪ɔmna
farsulēius	farsulɛːius
subjugālis	subjuɡaːlis
petrocoriī	pɛt̪rɔkɔːrii
capessō	kapɛssɔ
quadrifolius	kwad̪rifɔːlius
rāmiflōrus	ramiflɔːrus
obtueor	ɔpt̪uːɛɔr
lassāverimus	lassavɛriːmus
terrinius	t̪ɛrriːnius
lītigantō	lit̪iɡan̪t̪ɔ
rōbertus	rɔbɛrt̪us
prænōmen	prɛnɔːmɛn
bactra	bakt̪ra
kazachstania	kadd͡zakst̪aːnia
casius	kaːzius
agandeī	aɡan̪d̪ɛi
dominicī	d̪ɔmiːnit͡ʃi
agamus	aːɡamus
arāneola	aranɛːɔla
senātrīx	sɛnaːt̪riks
concatēnō	kɔŋkat̪ɛːnɔ
compēnsā	kɔmpɛnsa
rubicundus	rubikun̪d̪us
lumbrīcus	lumbriːkus
viennēnsis	viɛnnɛnsis
cyprius	t͡ʃiːprius
kētōsiredūcēns	t͡ʃɛt̪ɔzirɛd̪uːt͡ʃɛns
amā	aːma
oneidēnsis	ɔnɛi̯d̪ɛnsis
cōnsipiō	kɔnsiːpiɔ
cottonara	kɔt̪t̪ɔːnara
sphaerocarpus	sfɛrɔkarpus
nōlō	nɔːlɔ
vergunnī	vɛrɡunni
faveolātus	favɛɔlaːt̪us
circumnāvigō	t͡ʃirkumnaːviɡɔ
spiciō	spiːt͡ʃiɔ
circellus	t͡ʃirt͡ʃɛllus
scrīpserimus	skripsɛriːmus
plavis	plaːvis
ventriōsus	vɛn̪t̪riɔːzus
convolō	kɔnvɔlɔ
antiochēnsis	ant͡siɔkɛnsis
nōta	nɔːt̪a
fūnerārius	funɛraːrius
proelium	prɛːlium
sōlum	sɔːlum
