астрономија	astronǒmija
снагатор	snǎɡaːtor
самрт	sǎmrt
ревност	rěːʋnoːst
прародитељ	prarǒditeʎ
североисток	seʋeroǐstok
возити	ʋǒziti
доминантан	dominǎntan
обука	ôbuka
џиџа	d͡ʒǐːd͡ʒa
азимут	ǎzimut
противник	prǒtiːʋniːk
прикладан	prǐkladan
мех	mêːx
необјективност	neobjektǐːʋnoːst
клептомански	kleptǒmaːnskiː
њезин	ɲěːzin
меморија	měmoːrija
ћилибар	t͡ɕilǐbaːr
мизантропија	mizantrǒpija
гулити	ɡǔːliti
гингивитис	ɡinɡiʋǐtis
плацента	plǎt͡seːnta
скуп	skûp
забрана	zâːbrana
проповедник	propoʋědniːk
ургентност	urɡěntnoːst
придонијети	pridǒnijeːti
деценија	dět͡seːnija
непромишљен	neprǒmiʃʎen
попустљиво	popǔstʎiʋo
бескрај	bêskraːj
баскијски	bâskiːjski
уман	ûːman
крцнути	kr̂t͡snuti
крмчић	křmt͡ʃit͡ɕ
мухендис	muxěndis
клизалиште	klǐzaliːʃte
подручје	pǒdruːt͡ʃje
набожно	nǎːboʒno
наменити	naměːniti
домаћица	domǎt͡ɕit͡sa
аранжирати	aranʒǐːrati
криминолошки	kriminǒloʃkiː
ритмичан	rǐtmit͡ʃan
састојати	sǎːstojati
чистилац	t͡ʃǐstilat͡s
неизвестан	nêizʋestan
досађивати	dosad͡ʑǐːʋati
бресква	brêskʋa
шовинизам	ʃoʋinǐzam
подгризати	podɡrǐːzati
посредник	pǒsredniːk
туниски	tǔniskiː
нахрупљивати	naxrupʎǐːʋati
напети	nǎpeːti
наоружати	naorǔʒati
стидан	stǐːdan
њима	ɲîma
африкански	afrǐkaːnskiː
мастурбирати	masturbǐːrati
кугла	kǔːɡla
манила	mânila
представа	prědstaʋa
штака	ʃtâka
исписивати	ispisǐːʋati
одмерити	ǒdmeriti
кртожити	křtoʒiti
земуница	zemǔnit͡sa
нападно	nǎːpadno
курвински	kǔrʋiːnskiː
немоћно	nêmot͡ɕno
теглити	têɡliti
јужина	jûʒina
гојити	ɡǒjiti
гнездо	ɡněːzdo
пркосан	přkosan
јаук	jâuːk
плиновод	plînoʋoːd
једрењача	jedrěɲat͡ʃa
бесавјесно	besǎːʋjesno
геронтофобија	ɡerontofǒbija
успомена	ûspomena
кристалотерапија	kristaloterǎpija
игда	îɡda
екскомуникација	ekskomunikǎːt͡sija
откривати	otkrǐːʋati
својствен	sʋǒjstʋen
разговарати	razɡoʋǎːrati
британија	brǐtaːnija
убадача	ubǎdat͡ʃa
инстинктивно	înstinktiːʋno
кандидирати	kandidǐːrati
словенка	slǒʋeːnka
свадљивост	sʋǎdʎiʋoːst
балкански	bǎlkaːnski
мешати	měːʃati
указати	ukǎːzati
увежбати	ǔʋeʒbati
државнички	dřʒaːʋnitʃkiː
свађати	sʋâd͡ʑati
јавни	jâːʋniː
каскада	kaskǎːda
овладати	oʋlǎːdati
атоналан	âtonaːlan
изгнаник	ǐzɡnaniːk
шлајфати	ʃlâjfati
амнестирати	amnestǐːrati
неухватљив	neuxʋǎtʎiʋ
вијадукт	ʋijǎdukt
свирачки	sʋǐraːtʃkiː
трансплантација	transplantǎːt͡sija
несхваћен	něsxʋat͡ɕen
разочаравати	razot͡ʃarǎːʋati
напред	nâpreːd
врата	ʋrǎːta
издати	ǐzdati
кошкати	kôʃkati
стићи	stît͡ɕi
увозити	uʋǒziti
јечерма	jět͡ʃeːrma
футуристкиња	futǔristkiɲa
баракуда	barakǔːda
калиф	kǎliːf
липа	lîpa
зеље	zêːʎe
опљачкати	ǒpʎat͡ʃkati
растјеривати	rastjerǐːʋati
пристојбени	prǐːstojbeniː
брајда	brâːjda
врапчић	ʋrǎpt͡ʃit͡ɕ
неовисно	nêoʋisno
упитник	ǔpitniːk
мерхаба	mêrxaːba
мерило	mêrilo
мрети	mrêːti
непристран	neprǐstran
ера	ěːra
пицајзла	pit͡sǎjzla
умјесто	ǔmjesto
гаћник	ɡât͡ɕniːk
облизати	oblǐːzati
далматински	dalmǎtiːnskiː
освањивати	osʋaɲǐːʋati
кеш	kêʃ
јорган	jǒrɡan
чудесност	t͡ʃûdesnoːst
шкиц	ʃkît͡s
крзнар	křznaːr
типографски	tipǒɡrafskiː
згурити	zɡûriti
делатник	dělaːtniːk
болешљив	bolěʃʎiʋ
босоног	bosǒnoɡ
умник	ûːmniːk
дејствовати	dějstʋoʋati
крешевљанин	krêʃeʋʎaːnin
малајски	mǎlajskiː
коњић	kǒɲiːt͡ɕ
тепати	têpati
ластавица	lâstaʋit͡sa
птичји	ptît͡ʃjiː
ефективан	êfektiːʋan
лиснат	lǐsnat
пад	pâːd
нечега	nêt͡ʃeɡa
шуњати	ʃǔːɲati
политологија	politolǒɡija
завидно	zǎːʋidno
јаметина	jamětina
верификатор	ʋerifǐkaːtor
продавач	prodǎʋaːt͡ʃ
самаританац	samaritǎːnat͡s
успављивати	uspaʋʎǐːʋati
никуд	nîkud
резиденцијалан	rêzident͡sijaːlan
б	b
каузативан	kâuzatiːʋan
аконтирати	akontǐːrati
дашчица	dǎʃt͡ʃit͡sa
галантност	ɡalǎntnoːst
наслонити	naslǒniti
пејзажист	pejzǎʒist
меркур	měrkuːr
јајаст	jâjast
пијанство	pijǎːnstʋo
астматичан	astmǎtit͡ʃan
нашки	nâʃkiː
чудак	t͡ʃǔdaːk
бештија	běʃtija
сета	sêta
заостати	zaǒstati
велепосланик	ʋeleposlǎniːk
пут	pûːt
гостионичар	ɡostiǒnit͡ʃaːr
противан	prôtiːʋan
талисман	talǐsmaːn
мјешовит	mjeʃǒʋit
јогунаст	jǒɡunast
крембљати	krěmbʎati
гондолијер	ɡondolǐjeːr
сенка	sêːnka
средоземни	srêdozeːmniː
ручни	rût͡ʃniː
дремнути	drêmnuti
илегалан	îleɡaːlan
лагано	lâɡano
онакав	onǎkaːʋ
харинга	xǎriːnɡa
охол	ôxol
месташце	mestǎːʃt͡se
релевантан	releʋǎntan
патња	pǎtɲa
жуљ	ʒûːʎ
туристички	turǐstitʃkiː
распламсати	rasplǎmsati
неукост	něukoːst
партиципирати	partit͡sipǐːrati
поправни	pǒpraːʋniː
немица	němit͡sa
зачаравати	zat͡ʃarǎːʋati
блудничити	blûːdnit͡ʃiti
вандализам	ʋandalǐzam
крвоток	kr̂ʋotoːk
плаузибилан	plâuzibiːlan
крижати	krǐːʒati
дружељубиво	druʒeʎǔbiʋo
поштеђивати	poʃted͡ʑǐːʋati
заостајати	zaǒstajati
рвачки	řʋaːt͡ʃki
донести	dǒnesti
цивилизираност	t͡siʋilǐziːranoːst
неистинит	něistinit
сестра	sěstra
другдје	drûɡdje
свадбени	sʋǎdbeniː
губитница	ɡǔbitnit͡sa
благостање	blaɡostǎːɲe
збринути	zbrînuti
брко	břːko
обујмљивати	obujmʎǐːʋati
удаљити	udǎːʎiti
цепити	t͡sěːpiti
нијемо	nijêːmo
једанпут	jedǎmpuːt
болеснички	bolěsniːt͡ʃki
рудиште	rûdiːʃte
префектура	prefektǔːra
туп	tûːp
труизам	truǐzam
изобличити	izoblǐːt͡ʃiti
одлеђивати	odled͡ʑǐːʋati
кровар	krǒʋaːr
дикобраз	dîkobraːz
квантитет	kʋantǐteːt
искричав	îskrit͡ʃaʋ
логаритамски	loɡarǐtamski
умарати	umǎːrati
шира	ʃǐra
месечина	mêset͡ʃina
абразиван	âbraziːʋan
машити	mâʃiti
дојава	dôjaʋa
праводобност	prâʋodobnoːst
амфитеатар	amfitěaːtar
постојећи	pǒːstojeːt͡ɕiː
тетива	tětiʋa
смотак	smôtak
футур	fǔtuːr
поштен	pǒʃten
кринолина	krinolǐːna
мушки	mûʃki
знаковит	znakǒʋit
делта	dêlta
непријатељица	neprijatěʎit͡sa
гас	ɡâːs
инхерентан	inxerěntan
енергичан	eněrɡit͡ʃan
кретенски	krěteːnski
клише	klǐʃeː
чалабрцнути	t͡ʃalabřːt͡snuti
расељавати	raseʎǎːʋati
асортиман	asortǐmaːn
кровопокривач	kroʋopokrǐːʋaːt͡ʃ
скопље	skôpʎe
препелица	prêpelit͡sa
бандоглав	bandǒɡlaʋ
хемикалија	xemikǎlija
партиципација	partit͡sipǎːt͡sija
лакомо	lâkomo
повучен	poʋǔt͡ʃen
драти	drâti
крстјански	křstjaːnski
географски	ɡeǒɡrafski
официр	ofǐt͡siːr
књижевнички	kɲǐʒeːʋnitʃkiː
лема	lěːma
колектор	kǒlektor
голман	ɡôlman
почетник	pǒt͡ʃetniːk
израелски	îzraelskiː
причљив	prǐt͡ʃʎiʋ
враголан	ʋraɡǒlaːn
демагог	demǎɡoɡ
кожица	kôʒit͡sa
имагинативан	îmaɡinatiːʋan
штекнферд	ʃtěknferd
скептички	skěptitʃkiː
варварски	ʋǎrʋarski
споразумети	sporazǔmeti
станар	stǎnaːr
приближити	priblǐːʒiti
леха	lěːxa
трзати	tr̂zati
костарика	kostǎrika
одмарати	odmǎːrati
прашина	prǎʃina
кома	kôma
усмен	ûsmen
изједначити	izjednǎːt͡ʃiti
скочити	skǒt͡ʃiti
верно	ʋêːrno
богиње	bǒɡiɲe
кинологија	kinolǒɡija
елемент	elěment
бучица	bût͡ʃit͡sa
гал	ɡâːl
плишани	plǐʃaniː
одлазити	ǒdlaziti
фотографија	fotoɡrǎfija
буков	bǔkoʋ
каплар	kâplaːr
кострушити	kostrǔːʃiti
пут	pût
нијесте	nijěːste
атеизам	ateǐzam
родитељ	rǒditeʎ
господарица	ɡospodǎrit͡sa
железнички	ʒěleznit͡ʃkiː
зачин	zǎːt͡ʃin
несавитљив	nesaʋǐtʎiʋ
сврсисходно	sʋr̂sisxodno
летак	lêtak
процент	prǒt͡sent
адонис	âdonis
плато	plǎtoː
сретати	srêtati
пулсирати	pulsǐːrati
немачки	němatʃkiː
исход	ǐsxod
адорирати	adorǐːrati
неопрезно	nêopreːzno
источњак	ǐstot͡ʃɲaːk
тријумфалан	trîjumfaːlan
крилце	krǐːlt͡se
објашњив	objǎʃɲiʋ
клик	klîk
насред	nâsred
фаталистички	fatalǐstit͡ʃkiː
бујични	bǔjit͡ʃniː
пигмент	pǐɡment
службено	slûʒbeno
бешавно	bêʃaːʋno
пасјалук	pasjǎluk
категорички	kateɡǒritʃkiː
дубок	dǔbok
везати	ʋěːzati
неповољан	nêpoʋoːʎan
много	mnôɡo
дрито	drîto
обелоданити	obelodǎːniti
директоријум	dirěktoːrijum
гвозден	ɡʋôzden
нетачан	nêtat͡ʃan
железан	ʒělezan
зачарати	zat͡ʃǎːrati
коб	kôːb
добродошао	dobrodǒʃao
обући	ǒbuːt͡ɕi
зацењивати	zat͡seɲǐːʋati
ријечни	rijêːt͡ʃniː
када	kǎda
свјећар	sʋjět͡ɕaːr
кланац	klǎːnat͡s
луфтирати	luftǐːrati
киклопски	kǐklopskiː
имагинарно	îmaɡinaːrno
штеточина	ʃtetǒt͡ʃina
атрибут	atrǐbuːt
нељубазан	nêʎubaːzan
учвршћивати	ut͡ʃʋrʃt͡ɕǐːʋati
безуб	bězub
гњида	ɡɲîda
бубуљичаст	bubǔʎit͡ʃast
абхажанка	abxǎʒaːnka
досезати	dosěːzati
репродуктиван	rêproduktiːʋan
утешан	ǔteʃan
аутопортрет	autopǒrtreːt
неумјереност	neǔmjerenoːst
краљевски	krǎːʎeʋskiː
клептоман	kleptǒmaːn
мишићав	mǐʃit͡ɕaʋ
капетан	kapětaːn
кумче	kǔːmt͡ʃe
конструктивизам	konstruktiʋǐzam
смакнути	smǎknuti
поклонство	pǒkloːnstʋo
балкон	bǎlkoːn
мегалосаур	meɡalosǎur
жеђа	ʒêːd͡ʑa
козји	kôzjiː
џихад	d͡ʒǐxaːd
савест	sǎːʋest
кобилица	kǒbilit͡sa
билдерски	bîlderski
јутрити	jûtriti
ганути	ɡǎnuti
застати	zǎstati
самоански	samǒaːnskiː
вакуф	ʋâkuf
привржено	prǐʋrʒeno
ловити	lǒʋiti
овдашњи	ǒʋdaʃɲiː
рано	râno
судба	sǔdba
филогенија	filoɡěːnija
интуитиван	întuitiːʋan
уметнички	ǔmetnit͡ʃkiː
шашав	ʃâʃaʋ
дјелокруг	djêlokruːɡ
рудиментаран	rûdimentaːran
уочљивост	uǒt͡ʃʎiʋoːst
орах	ǒrax
пеликан	pelǐkaːn
форинта	forǐːnta
средњовековни	sredɲoʋěkoːʋniː
купати	kǔːpati
незамењив	nezaměɲiʋ
пенетрација	penetrǎːt͡sija
ауторство	autǒːrstʋo
аеробик	aerǒbik
стратиграфија	stratiɡrǎfija
олигархијски	oliɡǎrxiːjski
савјет	sǎːʋjet
знатно	znâtno
јахачица	jaxǎt͡ʃit͡sa
сол	sôːl
исцедити	ist͡sěːditi
бодро	bôdro
аналошки	anǎloʃkiː
неуротик	neurǒtiːk
свота	sʋôta
пушчани	pǔʃt͡ʃaniː
грах	ɡrâx
викач	ʋǐkaːt͡ʃ
лепотица	lepǒtit͡sa
шоц	ʃôt͡s
дуго	dûɡo
одшкринути	odʃkrǐːnuti
абаја	abǎːja
сијати	sǐjati
разликовати	rǎːzlikoʋati
рачуноводство	rat͡ʃunoʋǒdstʋo
шампањски	ʃǎmpaɲskiː
медвед	mědʋed
номинативски	nôminatiːʋskiː
малавијски	malâːʋiːjskiː
прексутра	prěksutra
забораван	zâboraːʋan
џанарика	d͡ʒânarika
скрпавати	skrpǎːʋati
дед	dêd
приближавати	pribliʒǎːʋati
поткријепити	potkrjěːpiti
набој	nǎːboj
тројак	trôjaːk
артерија	ǎrteːrija
ниско	nîsko
парфем	pǎrfeːm
речни	rêːt͡ʃniː
пивница	pǐːʋnit͡sa
сугласнички	sǔɡlasnitʃki
бубњаст	bǔbɲaːst
петар	pětar
сакатост	sǎkatoːst
анкара	ǎnkara
жабетина	ʒabětina
безвремен	bězʋremen
импулзивно	împulziːʋno
присећати	prǐset͡ɕati
опомињати	opǒmiɲati
имитирати	imitǐːrati
ливадни	lǐʋadniː
отправити	ǒtpraʋiti
анимизам	animǐzam
топлота	toplǒta
распоредити	rasporěːditi
зачахурити	zat͡ʃǎxuriti
обостран	obǒstran
ама	âma
гипс	ɡîps
сумњати	sǔːmɲati
распетљавати	raspetʎǎːʋati
неверан	nêʋeran
мјешавина	mjěʃaʋina
изражавати	izraʒǎːʋati
ликвида	lǐkʋida
смео	směo
детектор	dětektor
феникс	fěːniks
церекати	t͡serěkati
теорем	teǒreːm
гребен	ɡrêbeːn
књишки	kɲîʃkiː
блесура	blesǔːra
малијац	malǐːjat͡s
присташа	prîstaʃa
горанин	ɡǒranin
неломљив	nelǒmʎiʋ
бистроумље	bîstrouːmʎe
рефлексиван	rêfleksiːʋan
тројство	trǒːjstʋo
несвестан	něsʋestan
надовезати	nadoʋěːzati
веђа	ʋêd͡ʑa
таљив	tǎʎiʋ
транзит	trǎnziːt
дефиниција	definǐːt͡sija
преторијанац	pretorijǎːnat͡s
минхен	mǐnxen
набрзо	nâbrːzo
сатирично	satǐrit͡ʃno
лексиколошки	leksikǒloʃki
ћепица	t͡ɕěpit͡sa
акт	âkt
старински	starǐnskiː
латинични	latǐnit͡ʃniː
злостављати	zlǒstaʋʎati
вишезначан	ʋiʃěznat͡ʃan
зелот	zěloːt
изоштрити	izǒʃtriti
панда	pǎːnda
котрљати	kotřʎati
бриселски	brǐselskiː
трансвеститски	transʋěstiːtskiː
непаран	nêpaːran
кецеља	kět͡seʎa
прокушавати	prokuʃǎːʋati
уступати	ustǔːpati
спознати	spǒznati
шеширић	ʃeʃǐrit͡ɕ
самоуверен	samoǔʋeren
заточеништво	zatot͡ʃenǐːʃtʋo
напричати	naprǐːt͡ʃati
будаласт	budǎlast
исланђанин	islǎːnd͡ʑanin
превој	prěːʋoj
прокопати	prokǒpati
грешник	ɡrêʃniːk
хороскоп	xôroskop
паркиралиште	parkǐraliːʃte
нећачки	nêtɕaːtʃki
статистички	statǐstitʃki
неизвјестан	nêizʋjestan
скептично	skěptit͡ʃno
обрамбени	ǒbrambeniː
темпераментност	temperǎmentnoːst
авиопревозник	aʋioprěːʋozniːk
тужба	tǔʒba
сомалија	sǒmaːlija
саботер	sabǒteːr
застрашити	zǎstraʃiti
хагиографски	xaɡiǒɡrafski
пребијати	prebǐːjati
дјечји	djět͡ʃjiː
хранитељ	xrǎniteʎ
инспекција	inspěkt͡sija
бол	bôːl
вешмашина	ʋêʃmaʃiːna
кврга	kʋr̂ɡa
заборавно	zâboraːʋno
красичанин	krâsit͡ʃanin
северозападно	seʋerozǎːpadno
контра	kôntra
кремљ	krêmʎ
романски	rǒmaːnski
црвењети	t͡srʋěɲeti
бијекција	bijěkt͡sija
брига	brîɡa
творац	tʋǒːrat͡s
шрајбмашина	ʃrajbmaʃǐːna
скромно	skrômno
доле	dôle
бесплодно	běsplodno
ждријебац	ʒdrijěːbat͡s
одмјерити	ǒdmjeriti
планирати	planǐːrati
уздржљив	uzdřʒʎiʋ
сеизмички	seǐzmit͡ʃkiː
кипјети	kǐːpjeti
хетитски	xětiːtskiː
текбир	těkbiːr
каприциозно	kâprit͡sioːzno
судбоносност	sudbǒnosnoːst
рупичав	rûpit͡ʃaʋ
скалп	skâlp
пуризам	purǐzam
вјештачки	ʋjěʃtaːtʃki
хексаметар	xêksametar
дубровник	dǔbroːʋniːk
специјално	spêt͡sijaːlno
бамија	bǎmija
особан	ǒsoban
предрасуда	prědraːsuda
уморно	ûmoːrno
кестенов	kêsteːnoʋ
анималан	ânimaːlan
фајронт	fǎjront
сурла	sûːrla
дријем	drijêːm
траћити	trât͡ɕiti
успјешно	ǔspjeʃno
скандинавија	skandǐnaːʋija
морфизам	morfǐzam
врење	ʋrěːɲe
тајом	tâːjom
лучни	lûːt͡ʃniː
кабаре	kabarêː
несагорив	nesaɡǒriʋ
реџеб	rěd͡ʒeb
робиња	rǒbiɲa
писац	pǐːsat͡s
ђилкош	d͡ʑîːlkoʃ
објелоданити	objelodǎːniti
смог	smôɡ
изнервирати	iznerʋǐːrati
крфски	kr̂fskiː
ћуп	t͡ɕûp
штајф	ʃtâjf
вјешто	ʋjêʃto
рецензент	ret͡sěnzent
скањивати	skaɲǐːʋati
опортун	ôportuːn
ногица	nǒɡit͡sa
обвезати	obʋěːzati
виршла	ʋǐrʃla
зачахуривати	zat͡ʃaxurǐːʋati
сустав	sǔːstaʋ
нисмо	nǐːsmo
љубитељица	ʎubitěʎit͡sa
орловски	ǒrloʋskiː
јечам	jět͡ʃam
изобара	izobǎːra
неморал	nêmoraːl
каша	kâʃa
пријеглед	prěːɡled
масло	mâslo
људскост	ʎûdskoːst
запушити	zǎpuʃiti
ћудљиво	t͡ɕǔdʎiʋo
дендрокронологија	dendrokronolǒɡija
страхотан	strâxotan
осип	ǒsip
гитарски	ɡǐtaːrskiː
дремљив	drěmʎiʋ
материн	mâterin
непожељно	nêpoʒeːʎno
социјално	sôt͡sijaːlno
узастопан	ûzastopan
луксузан	lǔksuzan
дресирати	dresǐːrati
подешавати	podeʃǎːʋati
еквадорац	ekʋadǒːrat͡s
идеолог	ideǒloɡ
дјелатник	djělaːtniːk
самостално	sâmostaːlno
бјелег	bjěleɡ
непреносив	neprenǒsiʋ
нестанак	něstanak
граничан	ɡrǎnit͡ʃan
помало	pǒmalo
преговарати	preɡoʋǎːrati
анархичан	anǎrxit͡ʃan
подријетло	podrijěːtlo
увала	ûʋala
одлучно	ôdluːt͡ʃno
бутик	bǔtik
домовински	dǒmoʋinskiː
сачинити	sat͡ʃǐniti
донети	dǒneːti
адорација	adorǎːt͡sija
клавијатура	klaʋijatǔːra
сируп	sǐrup
интелигентан	inteliɡěntan
несаница	něsanit͡sa
насупрот	nâsuprot
видеокасета	ʋideokasěta
тулум	tǔlum
шљака	ʃʎâka
ангиологија	anɡiolǒɡija
расплести	rǎsplesti
акробатика	akrobǎtika
вајда	ʋǎjda
набасавати	nabasǎːʋati
јуришати	jurǐʃati
забављач	zabǎʋʎaːt͡ʃ
цариградски	t͡sǎriɡradskiː
коефицијенат	koefit͡sǐjenat
место	mêsto
упит	ǔpit
сунчати	sǔnt͡ʃati
неко	nêkoː
беспосличар	běsposlit͡ʃaːr
мајкин	mâːjkiːn
тврд	tʋr̂ːd
ограничење	oɡranit͡ʃěːɲe
прокушати	prǒkuʃati
кримљанин	krǐːmʎanin
запрезати	zaprěːzati
распршити	raspřʃiti
трострук	trǒstruk
инспирирати	inspirǐːrati
анодни	ǎnoːdniː
мотка	môtka
кратерски	krǎːterskiː
селидба	sělidba
дјеломице	djêlomit͡seː
глицерин	ɡlit͡sěriːn
аконтација	akontǎːt͡sija
записивати	zapisǐːʋati
кад	kâd
биље	bîːʎe
часком	t͡ʃâskom
спокојан	spôkoːjaːn
љуљачка	ʎǔʎaːt͡ʃka
бивати	bǐːʋati
богохулник	bôɡoxuːlniːk
муњина	mǔɲina
сатирати	sǎtirati
шиљег	ʃǐʎeɡ
похотно	pôxotno
јуначки	jǔnaːtʃkiː
тегљач	těɡʎaːt͡ʃ
плуг	plûɡ
предсједник	prěːdsjedniːk
пробушити	probǔːʃiti
јордански	jǒrdanskiː
мештанин	měʃtanin
одбојка	ǒdboːjka
адресант	adrěsant
четворка	t͡ʃětʋoːrka
ломача	lǒmat͡ʃa
ћерка	t͡ɕěːrka
деветорица	deʋetǒrit͡sa
наручити	narǔːt͡ʃiti
загонетати	zaɡoněːtati
његов	ɲěɡoʋ
племенит	plêmenit
пудл	pǔːdl
неолитски	neǒliːtski
злонамјеран	zlonǎːmjeːran
притискивати	pritiskǐːʋati
далмација	dalmatsija
тролејбус	trolěːjbus
јесењи	jěseːɲiː
расцепати	rast͡sěːpati
дјед	djêd
вјенчавати	ʋjent͡ʃǎːʋati
кенгур	kênɡuːr
котлина	kǒtlina
флек	flêk
консекутиван	kônsekutiːʋan
проповједник	propoʋjědniːk
кристалка	krǐstalka
бактериолог	bakteriǒloɡ
дочасник	dǒt͡ʃaːsniːk
парнас	pǎrnas
соколити	sokǒliti
центрифуга	t͡sentrifǔːɡa
гласачица	ɡlasǎt͡ʃit͡sa
руднички	rûːdnit͡ʃkiː
једнособан	jednǒsoban
покрај	pôkraj
заменик	zâːmeniːk
сијалица	sîjalit͡sa
употријебити	upotrjěːbiti
неправилан	nêpraʋiːlan
олтар	ǒltaːr
пролетерски	prolěteːrskiː
бескрајност	bêskrajnoːst
избјежив	izbjěʒiʋ
желудац	ʒěludat͡s
наслиједити	naslijěːditi
глогов	ɡlǒɡoʋ
заслуга	zâːsluɡa
расијецати	rasijěːt͡sati
тезга	tězɡa
прештампати	prěʃtaːmpati
квибек	kʋibêk
творница	tʋǒːrnit͡sa
веројатно	ʋêrojaːtno
спавалица	spǎːʋalit͡sa
афинитет	afinǐteːt
две	dʋêː
алкохолизиран	alkoxolǐziːran
слабине	slâbine
одвратан	ôdʋraːtan
руменкаст	ruměnkaːst
гемишт	ɡěmiʃt
бизантски	bǐzantskiː
шематизам	ʃematǐzam
смешити	směːʃiti
нирвана	nirʋǎna
презати	prêzati
јецај	jêt͡saːj
бајрам	bǎjram
пресан	prěːsan
преварити	prěʋariti
новинар	nôʋinaːr
белгијски	bělɡiːjski
равнодушно	raʋnǒduʃno
порасти	pǒraːsti
племениташица	plemenitǎʃit͡sa
амодер	âːmoder
позорност	pozǒːrnoːst
малоазијски	maloâːziːjskiː
сродство	srǒdstʋo
барбарство	bǎrbaːrstʋo
спорадично	sporǎdit͡ʃno
шалабахтер	ʃalabǎxter
угодно	ûɡodno
одозго	odǒzɡoː
развој	rǎːzʋoj
сатана	satǎna
улазити	ǔlaziti
праворијек	prâʋorijeːk
самоувјереност	samoǔʋjerenoːst
жица	ʒîtsa
од	ôd
оскудно	ǒskudno
змија	zmǐja
подневни	pǒːdneːʋniː
посјед	pǒːsjed
замена	zâːmena
пуштати	pǔːʃtati
помислити	pǒmisliti
усидрити	ǔsidriti
болети	bǒleti
сагрешити	saɡrěːʃiti
етапа	etǎpa
изасланство	izaslǎnstʋo
унутарњи	ǔnutaːrɲiː
спартански	spǎrtaːnskiː
кисеоник	kiseǒniːk
безнадност	běznadnoːst
чијати	t͡ʃǐjati
дамаск	dǎmask
частољубив	t͡ʃastoʎǔbiʋ
озонски	ǒzoːnskiː
помоћ	pômoːt͡ɕ
потписник	pǒtpisniːk
варити	ʋǎːriti
биљег	bǐʎeɡ
непрецизно	nêpret͡siːzno
профитирати	profitǐːrati
фајрунт	fǎjrunt
бездушан	bězduʃan
осетно	ǒsetno
виталност	ʋitǎːlnoːst
фундаменталан	fûndamentaːlan
лизати	lǐːzati
картографски	kartǒɡrafskiː
ћердати	t͡ɕêːrdati
множив	mnǒʒiʋ
стакленка	stǎkleːnka
десетина	desětina
уобразити	uobrǎːziti
жељезнички	ʒěʎeznit͡ʃkiː
падавица	pâdaʋit͡sa
ауторски	ǎutorskiː
силазак	sǐlazak
непримјетан	nêprimjetan
зденац	zděːnat͡s
размјерно	rǎːzmjeːrno
сузити	sûziti
псић	psît͡ɕ
чедоморка	t͡ʃedǒmoːrka
винар	ʋǐnaːr
безуспех	bêzuspex
азбест	ǎzbest
адопција	adǒpt͡sija
адјектив	âdjektiːʋ
млохав	mlôxaʋ
кривоклетнички	kriʋǒkletnit͡ʃkiː
клупко	klûpko
олабавити	ǒlabaʋiti
из	iz
истоврстан	istǒʋrstan
натенане	natenǎːne
неморално	nêmoraːlno
округ	ôkruːɡ
арматура	armatǔːra
ренде	rěnde
скалпирати	skalpǐːrati
сека	sěːka
спадати	spâdati
разломити	razlǒmiti
ближити	blǐːʒiti
ереван	ěreʋaːn
коприва	kǒpriʋa
срамотан	srâmotan
причекати	prǐt͡ʃekati
краснословити	krasnoslǒʋiti
загребачки	zǎːɡrebat͡ʃkiː
кажњеник	kâʒɲeniːk
драгоцјеност	draɡǒt͡sjenoːst
граница	ɡrǎnit͡sa
хипотетичан	xipotětit͡ʃan
либија	lîːbija
парагвај	pâraɡʋaːj
ексцентрик	ekst͡sěntrik
крф	kr̂f
свеобухватан	sʋeobǔxʋatan
овисити	ǒʋisiti
лимунада	limunǎːda
медитерански	meditěraːnskiː
званично	zʋǎnit͡ʃno
родни	rôdniː
нула	nûla
глоталан	ɡlôtaːlan
неукусан	nêukusan
кључан	kʎûːt͡ʃan
успешан	ǔspeʃan
пуб	pûːb
теловежба	těloʋeʒba
сјајно	sjâːjno
фонемски	fǒneːmskiː
свадљиво	sʋǎdʎiʋo
рапидан	râpiːdan
пунски	pûːnskiː
зими	zîːmi
подршка	pǒdrʃka
краљешнични	krǎːʎeʃnit͡ʃniː
препознатљивост	prepoznǎtʎiʋoːst
морфема	morfěːma
резидент	rezǐdent
бесправан	bêspraːʋan
раздраженост	rǎzdraːʒenoːst
млекарски	mlěkaːrskiː
улудо	ûluːdo
самотност	sâmotnoːst
смрскати	smřːskati
нахоче	nǎxot͡ʃe
шлајдрати	ʃlâːjdrati
промена	prômena
патријарх	patrǐjarx
сачекивати	sat͡ʃekǐːʋati
патријархалан	pâtrijarxaːlan
стриптизета	striptizěta
омогућити	omoɡǔːt͡ɕiti
федералисткиња	federǎlistkiɲa
брат	brât
посед	pǒːsed
београђанин	bêoɡrad͡ʑanin
руководећи	rukoʋǒdeːt͡ɕiː
порађати	porǎːd͡ʑati
судеоница	sudeǒnit͡sa
кењац	kěːɲat͡s
бунило	bǔnilo
преноћивати	prenot͡ɕǐːʋati
тужитељ	tǔʒiteʎ
застајати	zǎstajati
брош	brôʃ
излаз	îzlaːz
ријешеност	rijêːʃenoːst
поштован	pôʃtoʋaːn
ђул	d͡ʑûːl
саксофонски	sâksofoːnskiː
монгол	mǒnɡoːl
сочан	sôt͡ʃan
неусиљено	neǔsiʎeno
непрепознатљив	neprepoznǎtʎiʋ
барокни	bǎrokniː
