மாங்காய்	mɑːŋɡɑːj
அரிவாள்மணை	ʔʌɾ̪ɨʋɑːɭmʌɳʌɪ̯
கோரிக்கை	koːɾ̪ɨkːʌɪ̯
கிளர்	kɨɭʌɾ̪
கலை	kʌl̪ʌɪ̯
கட்டி	kʌʈːi
அழிவு	ʔʌɻɨʋɯ
குரல்	kɯɾ̪ʌl̪
நல்லவர்	n̪ʌl̪ːʌʋʌɾ̪
நீக்கம்	n̪iːkːʌm
திருட்டு	t̪ɨɾ̪ɯʈːɯ
பெருக்கு	peɾ̪ɯkːɯ
இணக்கு	ʔɨɳʌkːɯ
மந்திரர்	mʌn̪d̪ɨɾ̪ʌɾ̪
ரிஷபம்	ɾ̪ɨʂʌbʌm
பிசின்பட்டை	pɨsɨnpʌʈːʌɪ̯
முரி	mɯɾ̪i
மதிநுட்பமிக்க	mʌd̪ɨn̪ɯʈpʌmɨkːa
தந்திரவாயன்	t̪ʌn̪d̪ɨɾ̪ʌʋɑːjʌn
பிசுக்கோத்து	pɨsɯkːoːt̪ːɯ
கிருத்திரம்	kɨɾ̪ɯt̪ːɨɾ̪ʌm
சீக்கிரம்	siːkːɨɾ̪ʌm
பண்பு	pʌɳpɯ
சமைவு	sʌmʌɪ̯ʋɯ
பேதிமருந்து	peːd̪ɨmʌɾ̪ɯn̪d̪ɯ
மாசவிடாய்	mɑːsʌʋɨɖɑːj
எங்கண்	ʔeŋɡʌɳ
ஜனவரி	d͡ʑʌnʌʋʌɾ̪i
தீவு	t̪iːʋɯ
காமம்	kɑːmʌm
குளி	kɯɭi
பிச்சுப்பை	pɨsːɯpːʌɪ̯
தேங்காய்	t̪eːŋɡɑːj
வால்	ʋɑːl̪
திறவுகோல்	t̪ɨrʌʋɯɡoːl̪
ஊதியம்	ʔuːd̪ɨjʌm
கிட்ட	kɨʈːa
மூக்கு	muːkːɯ
கொக்கு	kokːɯ
பங்களிப்பு	pʌŋɡʌɭɨpːɯ
மாதுபாகம்	mɑːd̪ɯbɑːɡʌm
கப்பல்	kʌpːʌl̪
சுண்ணம்	sɯɳːʌm
தம்புரா	t̪ʌmbɯɾ̪ɑː
அமிர்தம்	ʔʌmɨɾ̪t̪ʌm
மாமரம்	mɑːmʌɾ̪ʌm
உதவு	ʔɯd̪ʌʋɯ
தர்ஜமா	t̪ʌɾ̪d͡ʑʌmɑː
உள்ளங்கை	ʔɯɭːʌŋɡʌɪ̯
ஆண்	ʔɑːɳ
கின்னம்	kɨnːʌm
பிசம்	pɨsʌm
தொண்டு	t̪oɳɖɯ
ஐரோப்பா	ʔʌɪ̯ɾ̪oːpːɑː
குறித்து	kɯrɨt̪ːɯ
அகழி	ʔʌɡʌɻi
பெயர்த்துரை	pejʌɾ̪t̪ːɯɾ̪ʌɪ̯
நரம்பு	n̪ʌɾ̪ʌmbɯ
எடு	ʔeɖɯ
தெரிவி	t̪eɾ̪ɨʋi
அஹம்	ʔʌhʌm
வேர்வை	ʋeːɾ̪ʋʌɪ̯
சலகம்	sʌl̪ʌɡʌm
எங்கும்	ʔeŋɡɯm
நீளம்	n̪iːɭʌm
சகதி	sʌɡʌd̪i
உயிரிழப்பு	ʔɯjɨɾ̪ɨɻʌpːɯ
போலிஷ்	poːl̪ɨʂ
செங்கல்	seŋɡʌl̪
முழை	mɯɻʌɪ̯
மூலக்கூறு	muːl̪ʌkːuːrɯ
நினை	n̪ɨnʌɪ̯
வாக்கியம்	ʋɑːkːɨjʌm
வழலிக்கை	ʋʌɻʌl̪ɨkːʌɪ̯
அங்கு	ʔʌŋɡɯ
ஊற்று	ʔuːʈːɾɯ
பரோட்டா	pʌɾ̪oːʈːɑː
நரம்பியல்	n̪ʌɾ̪ʌmbɨjʌl̪
உகளம்	ʔɯɡʌɭʌm
காட்டெருமை	kɑːʈːeɾ̪ɯmʌɪ̯
சிதடு	sɨd̪ʌɖɯ
கழித்தல்	kʌɻɨt̪ːʌl̪
குருடன்	kɯɾ̪ɯɖʌn
வார்	ʋɑːɾ̪
மூங்கில்	muːŋɡɨl̪
ஆலயம்	ʔɑːl̪ʌjʌm
வடைப்பருப்பு	ʋʌɖʌɪ̯pːʌɾ̪ɯpːɯ
கூடு	kuːɖɯ
கடம்பு	kaɖəmbʉ
திராவிட	t̪ɨɾ̪ɑːʋɨɖa
குதிரை	kɯd̪ɨɾ̪ʌɪ̯
கிளிமெண்டி	kɨɭɨmeɳɖi
கட்கம்	kʌʈkʌm
மண்வளம்	mʌɳʋʌɭʌm
சைகதம்	sʌɪ̯kʌd̪ʌm
கல்வெட்டு	kʌl̪ʋeʈːɯ
சிசு	sɨsɯ
மிகை	mɨɡʌɪ̯
காபூல்	kɑːbuːl̪
ஊர்வலம்	ʔuːɾ̪ʋʌl̪ʌm
இழப்பீடு	ʔɨɻʌpːiːɖɯ
கிருட்டிணன்	kɨɾ̪ɯʈːɨɳʌn
பித்தப்பை	pɨt̪ːʌpːʌɪ̯
வெட்டுக்கிளி	ʋeʈːɯkːɨɭi
இஞ்சி	ʔɨɲd͡ʑi
வேண்டியமட்டும்	ʋeːɳɖɨjʌmʌʈːɯm
கொட்டகை	koʈːʌɡʌɪ̯
தடி	t̪ʌɖi
மலச்சிக்கல்	mʌl̪ʌsːɨkːʌl̪
அகப்பு	ʔʌɡʌpːɯ
விதைப்பை	ʋɨd̪ʌɪ̯pːʌɪ̯
பிருதிவி	pɨɾ̪ɯd̪ɨʋi
அங்குலி	ʔʌŋɡɯl̪i
தாயகம்	t̪ɑːjʌɡʌm
பொம்மை	pomːʌɪ̯
அடை	ʔʌɖʌɪ̯
வகை	ʋʌɡʌɪ̯
ரோதம்	ɾ̪oːd̪ʌm
சத்தியம்	sʌt̪ːɨjʌm
மணிக்கட்டு	mʌɳɨkːʌʈːɯ
வல்லிதின்	ʋʌl̪ːɨd̪ɨn
மிதழ்	mɨd̪ʌɻ
பிசகுசொல்லுதல்	pɨsʌɡɯsol̪ːɯd̪ʌl̪
உசுபெக்கிசுத்தான்	ʔɯsɯbekːɨsɯt̪ːɑːn
கைது	kʌɪ̯t̪ɯ
அம்மாய்	ʔʌmːɑːj
உறுகோள்	ʔɯrɯɡoːɭ
நான்கு	n̪ɑːnkɯ
இராசி	ʔɨɾ̪ɑːsi
உணவு	ʔɯɳʌʋɯ
கிரேக்கம்	kɨɾ̪eːkːʌm
பேச்சாளர்	peːsːɑːɭʌɾ̪
குறி	kɯri
பிங்கதிருட்டி	pɨŋɡʌd̪ɨɾ̪ɯʈːi
திரிதடையம்	t̪ɨɾ̪ɨd̪ʌɖʌɪ̯jʌm
எழுதுகோல்	ʔeɻɯd̪ɯɡoːl̪
ஓடம்	ʔoːɖʌm
ஆதி	ʔɑːd̪i
கந்தகம்	kʌn̪d̪ʌɡʌm
குமார்	kɯmɑːɾ̪
பேரருவி	peːɾ̪ʌɾ̪ɯʋi
செவ்வள்ளி	seʋːʌɭːi
கற்கம்	kʌrkʌm
காலணி	kɑːl̪ʌɳi
கட்சி	kʌʈsi
அவ்வோ	ʔʌʋːoː
ஒழுங்கை	ʔoɻɯŋɡʌɪ̯
செங்கோல்	seŋɡoːl̪
ஒன்பது	ʔonpʌd̪ɯ
விண்கலம்	ʋɨɳkʌl̪ʌm
பள்ளி	pʌɭːi
சுரம்	sɯɾ̪ʌm
சொல்	sol̪
சுவையான	sɯʋʌɪ̯jɑːna
கோயம்புத்தூர்	koːjʌmbɯt̪ːuːɾ̪
தம்பி	t̪ʌmbi
இயக்குரோதம்	ʔɨjʌkːɯɾ̪oːd̪ʌm
காய்	kɑːj
மீண்டும்	miːɳɖɯm
முன்னடியில்	mɯnːʌɖɨjɨl̪
ஆர்மீனியா	ʔɑːɾ̪miːnɨjɑː
முகக்குறி	mɯɡʌkːɯri
போராட்டம்	poːɾ̪ɑːʈːʌm
உயரம்	ʔɯjʌɾ̪ʌm
மழைத்துளி	mʌɻʌɪ̯t̪ːɯɭi
இரு	ʔɨɾ̪ɯ
ஆயர்	ʔɑːjʌɾ̪
நல்	n̪ʌl̪
துண்டு	t̪ɯɳɖɯ
நிலா	n̪ɨl̪ɑː
வல்லாமை	ʋʌl̪ːɑːmʌɪ̯
அருகு	ʔʌɾ̪ɯɡɯ
ஸீமை	siːmʌɪ̯
இசை	ʔɨsʌɪ̯
நாணயம்	n̪ɑːɳʌjʌm
பட்சி	pʌʈsi
ஸாவகாம்	sɑːʋʌɡɑːm
இழுப்பறை	ʔɨɻɯpːʌrʌɪ̯
அவ்வண்ணம்	ʔʌʋːʌɳːʌm
தானியம்	t̪ɑːnɨjʌm
குஞ்சி	kɯɲd͡ʑi
அக்காள்	ʔʌkːɑːɭ
அத்தியாபகன்	ʔʌt̪ːɨjɑːbʌɡʌn
பிறவி	pɨrʌʋi
மாளிகை	mɑːɭɨɡʌɪ̯
ஜீரகம்	d͡ʑiːɾ̪ʌɡʌm
கொறுக்கை	korɯkːʌɪ̯
நாளை	n̪ɑːɭʌɪ̯
அம்பர்	ʔʌmbʌɾ̪
மேற்கு	meːkkɯ
மென்தங்கம்	ment̪ʌŋɡʌm
சிறுநீரகம்	sɨrɯn̪iːɾ̪ʌɡʌm
மூக்கண்ணாடி	muːkːʌɳːɑːɖi
தாலாட்டு	t̪ɑːl̪ɑːʈːɯ
எண்ணம்	ʔeɳːʌm
செந்தாமரை	sen̪d̪ɑːmʌɾ̪ʌɪ̯
அக்கி	ʔʌkːi
அங்கிட்டு	ʔʌŋɡɨʈːɯ
இல்	ʔɨl̪
சகோதரன்	sʌɡoːd̪ʌɾ̪ʌn
சாய்ப்பிடம்	sɑːjpːɨɖʌm
அவண்	ʔʌʋʌɳ
கொடுவாள்	koɖɯʋɑːɭ
வருஷம்	ʋʌɾ̪ɯʂʌm
பண்டிதன்	pʌɳɖɨd̪ʌn
வளம்	ʋʌɭʌm
பிசுனம்	pɨsɯnʌm
கவர்வு	kʌʋʌɾ̪ʋɯ
மாரடைப்பு	mɑːɾ̪ʌɖʌɪ̯pːɯ
புத்தகம்	pɯt̪ːʌɡʌm
குயில்	kɯjɨl̪
தன்னுணர்வு	t̪ʌnːɯɳʌɾ̪ʋɯ
தாமிரபருணி	t̪ɑːmɨɾ̪ʌbʌɾ̪ɯɳi
கூட்டல்	kuːʈːʌl̪
பிறை	pɨrʌɪ̯
பெரியவெள்ளிக்கிழமை	peɾ̪ɨjʌʋeɭːɨkːɨɻʌmʌɪ̯
நித்திலம்	n̪ɨt̪ːɨl̪ʌm
சௌக்கியமா	sʌʊ̯kːɨjʌmɑː
பகல்	pʌɡʌl̪
இனம்	ʔɨnʌm
கொழும்பு	koɻɯmbɯ
நாம்	n̪ɑːm
இலக்கிய	ʔɨl̪ʌkːɨja
பலம்	pʌl̪ʌm
உடனே	ʔɯɖʌneː
சார்வு	sɑːɾ̪ʋɯ
நன்மை	n̪ʌnmʌɪ̯
கொள்ளை	koɭːʌɪ̯
மனை	mʌnʌɪ̯
அதோள்	ʔʌd̪oːɭ
கூறு	kuːrɯ
லோகம்	l̪oːɡʌm
இராகம்	ʔɨɾ̪ɑːɡʌm
பாரிசவாதம்	pɑːɾ̪ɨsʌʋɑːd̪ʌm
மஞ்சள்	mʌɲd͡ʑʌɭ
கிறி	kɨri
திருகாணி	t̪ɨɾ̪ɯɡɑːɳi
கபிலம்	kʌbɨl̪ʌm
உண்டாக	ʔɯɳɖɑːɡa
ஆகையால்	ʔɑːɡʌɪ̯jɑːl̪
தேசாதிபதி	t̪eːsɑːd̪ɨbʌd̪i
வறட்சி	ʋʌrʌʈsi
திராட்சை	t̪ɨɾ̪ɑːʈsʌɪ̯
லீக்டன்ஸ்டைன்	l̪iːkʈʌnsʈʌɪ̯n
கடைவாய்ப்பல்	kʌɖʌɪ̯ʋɑːjpːʌl̪
முடி	mɯɖi
தெள்ளு	t̪eɭːɯ
ரப்பர்	ɾ̪ʌpːʌɾ̪
யுத்தம்	jɯt̪ːʌm
காது	kɑːd̪ɯ
உம்	ʔɯm
லடாய்	l̪ʌɖɑːj
வன்மை	ʋʌnmʌɪ̯
ஓடை	ʔoːɖʌɪ̯
வெப்பநிலை	ʋepːʌn̪ɨl̪ʌɪ̯
முழுமை	mɯɻɯmʌɪ̯
திரியும்	t̪ɨɾ̪ɨjɯm
பாசம்	pɑːsʌm
கிற்பு	kɨrpɯ
நுழைவாசல்	n̪ɯɻʌɪ̯ʋɑːsʌl̪
சிதாரி	sɨd̪ɑːɾ̪i
போற்றுநர்	poːʈːɾɯn̪ʌɾ̪
முன்னர்	mɯnːʌɾ̪
தாவரவியல்	t̪ɑːʋʌɾ̪ʌʋɨjʌl̪
நிஷானி	n̪ɨʂɑːni
அமெரிக்கா	ʔʌmeɾ̪ɨkːɑː
செள்ளு	seɭːɯ
அண்ணி	ʔʌɳːi
விருட்சம்	ʋɨɾ̪ɯʈsʌm
ஜலம்	d͡ʑʌl̪ʌm
அந்த	ʔʌn̪d̪a
கத்தி	kʌt̪ːi
அங்கதம்	ʔʌŋɡʌd̪ʌm
ஊடகம்	ʔuːɖʌɡʌm
வன்பொருள்	ʋʌnpoɾ̪ɯɭ
மன்னிப்பு	mʌnːɨpːɯ
தருமன்	t̪ʌɾ̪ɯmʌn
மனிதவியல்	mʌnɨd̪ʌʋɨjʌl̪
முப்புவனம்	mɯpːɯʋʌnʌm
காதரம்	kɑːd̪ʌɾ̪ʌm
சூழலியல்	suːɻʌl̪ɨjʌl̪
தொடருந்து	t̪oɖʌɾ̪ɯn̪d̪ɯ
உருமேறு	ʔɯɾ̪ɯmeːrɯ
வௌவால்	ʋʌʊ̯ʋɑːl̪
அங்கோடிங்கோடு	ʔʌŋɡoːɖɨŋɡoːɖɯ
புகை	pɯɡʌɪ̯
பொறுப்பு	porɯpːɯ
ஓட்டல்	ʔoːʈːʌl̪
மீனவர்	miːnʌʋʌɾ̪
நாடகம்	n̪ɑːɖʌɡʌm
தெலுங்கு	t̪el̪ɯŋɡɯ
பெயர்வழி	pejʌɾ̪ʋʌɻi
தொன்று	t̪onrɯ
மாடு	mɑːɖɯ
ஊது	ʔuːd̪ɯ
செம்	sem
வினைமுற்று	ʋɨnʌɪ̯mɯʈːɾɯ
இடியாப்பம்	ʔɨɖɨjɑːpːʌm
கபோதகம்	kʌboːd̪ʌɡʌm
மாப்பு	mɑːpːɯ
உ	ʔɯ
ஆக்கம்	ʔɑːkːʌm
மஞ்சன்	mʌɲd͡ʑʌn
நாடோடி	n̪ɑːɖoːɖi
நேர்மை	n̪eːɾ̪mʌɪ̯
அங்கே	ʔʌŋɡeː
கீழ்மை	kiːɻmʌɪ̯
ஆசினி	ʔɑːsɨni
பிசாசக்கை	pɨsɑːsʌkːʌɪ̯
பள்ளிக்கல்வி	pʌɭːɨkːʌl̪ʋi
வாயின்மாடம்	ʋɑːjɨnmɑːɖʌm
பேசு	peːsɯ
புதன்	pɯd̪ʌn
பணி	pʌɳi
வறுமை	ʋʌrɯmʌɪ̯
அலை	ʔʌl̪ʌɪ̯
புஷபராகம்	pɯʂʌbʌɾ̪ɑːɡʌm
உலோகம்	ʔɯl̪oːɡʌm
பாலுறவு	pɑːl̪ɯrʌʋɯ
தெற்கு	t̪erkɯ
முள்ளங்கி	mɯɭːʌŋɡi
நேற்று	n̪eːʈːɾɯ
உடுக்கை	ʔɯɖɯkːʌɪ̯
சேர்	seːɾ̪
சுட்டுவிரல்	sɯʈːɯʋɨɾ̪ʌl̪
ஆடுமாடு	ʔɑːɖɯmɑːɖɯ
நுரையீரல்	n̪ɯɾ̪ʌɪ̯jiːɾ̪ʌl̪
ஏதடை	ʔeːd̪ʌɖʌɪ̯
திரவிடம்	t̪ɨɾ̪ʌʋɨɖʌm
கூட்டம்	kuːʈːʌm
வேலைநேரம்	ʋeːl̪ʌɪ̯n̪eːɾ̪ʌm
பதிவகம்	pʌd̪ɨʋʌɡʌm
எழுச்சி	ʔeɻɯsːi
தப்பு	t̪ʌpːɯ
சாறு	sɑːrɯ
கிளர்த்து	kɨɭʌɾ̪t̪ːɯ
வேறுபாடு	ʋeːrɯbɑːɖɯ
விலங்கி	ʋɨl̪ʌŋɡi
மிதியடி	mɨd̪ɨjʌɖi
உறப்பு	ʔɯrʌpːɯ
உவர்மம்	ʔɯʋʌɾ̪mʌm
திருமண்	t̪ɨɾ̪ɯmʌɳ
வன்பால்	ʋʌnpɑːl̪
காப்பியம்	kɑːpːɨjʌm
வழிப்பயணம்	ʋʌɻɨpːʌjʌɳʌm
பசலிப்பழம்	pʌsʌl̪ɨpːʌɻʌm
பறவையியல்	pʌrʌʋʌɪ̯jɨjʌl̪
கோட்பாடு	koːʈpɑːɖɯ
கஸாயி	kʌsɑːji
சப்பாத்தி	sʌpːɑːt̪ːi
மஹால்	mʌhɑːl̪
அருக்கன்	ʔʌɾ̪ɯkːʌn
அலுவல்	ʔʌl̪ɯʋʌl̪
வெப்புள்	ʋepːɯɭ
தொன்னை	t̪onːʌɪ̯
வேண்டியவன்	ʋeːɳɖɨjʌʋʌn
பச்சை	pʌsːʌɪ̯
அக்கினிகுண்டம்	ʔʌkːɨnɨɡɯɳɖʌm
வியாபாரம்	ʋɨjɑːbɑːɾ̪ʌm
தங்கம்	t̪ʌŋɡʌm
அகவன்மகள்	ʔʌɡʌʋʌnmʌɡʌɭ
அங்கம்	ʔʌŋɡʌm
யமன்	jʌmʌn
அக்குள்	ʔʌkːɯɭ
விடை	ʋɨɖʌɪ̯
உண்	ʔɯɳ
ஜனாபா	d͡ʑʌnɑːbɑː
ஆவல்	ʔɑːʋʌl̪
இணை	ʔɨɳʌɪ̯
தகடி	t̪ʌɡʌɖi
கயவாய்	kʌjʌʋɑːj
வில்	ʋɨl̪
கட்டிமை	kʌʈːɨmʌɪ̯
பொருள்	poɾ̪ɯɭ
காகிதம்	kɑːɡɨd̪ʌm
விரிகோணம்	ʋɨɾ̪ɨɡoːɳʌm
வெங்காயம்	ʋeŋɡɑːjʌm
காரணம்	kɑːɾ̪ʌɳʌm
இடு	ʔɨɖɯ
மும்பை	mɯmbʌɪ̯
தோலியல்	t̪oːl̪ɨjʌl̪
தலை	t̪ʌl̪ʌɪ̯
சொல்லெச்சம்	sol̪ːesːʌm
அகத்துக்காரி	ʔʌɡʌt̪ːɯkːɑːɾ̪i
ஊர்க்கதை	ʔuːɾ̪kːʌd̪ʌɪ̯
முட்டு	mɯʈːɯ
கறுவா	kʌrɯʋɑː
கட்டளை	kʌʈːʌɭʌɪ̯
பனி	pʌni
பணிமுட்டு	pʌɳɨmɯʈːɯ
மணி	mʌɳi
நரகம்	n̪ʌɾ̪ʌɡʌm
விரல்	ʋɨɾ̪ʌl̪
பெண்டாட்டி	peɳɖɑːʈːi
வம்சம்	ʋʌmsʌm
இழுக்கம்	ʔɨɻɯkːʌm
பதுமம்	pʌd̪ɯmʌm
வேகம்	ʋeːɡʌm
பகர்ச்சி	pʌɡʌɾ̪sːi
பனிமூட்டம்	pʌnɨmuːʈːʌm
இல்லகம்	ʔɨl̪ːʌɡʌm
கஞ்சாவை	kʌɲd͡ʑɑːʋʌɪ̯
சுனை	sɯnʌɪ̯
மிளகாய்	mɨɭʌɡɑːj
தளர்வு	t̪ʌɭʌɾ̪ʋɯ
வீடு	ʋiːɖɯ
வருடம்	ʋʌɾ̪ɯɖʌm
பொருளட்டவணை	poɾ̪ɯɭʌʈːʌʋʌɳʌɪ̯
பணிகோள்	pʌɳɨɡoːɭ
முடியாட்சி	mɯɖɨjɑːʈsi
ஆடம்பரம்	ʔɑːɖʌmbʌɾ̪ʌm
இரசாயனம்	ʔɨɾ̪ʌsɑːjʌnʌm
இள	ʔɨɭa
வனம்	ʋʌnʌm
சுருட்டு	sɯɾ̪ɯʈːɯ
பெண்சனம்	peɳsʌnʌm
விரயம்	ʋɨɾ̪ʌjʌm
காறையெலும்பு	kɑːrʌɪ̯jel̪ɯmbɯ
சின்டி	sɨnʈi
அளி	ʔʌɭi
சட்டை	sʌʈːʌɪ̯
பழுவம்	pʌɻɯʋʌm
மாற்றுமருந்து	mɑːʈːɾɯmʌɾ̪ɯn̪d̪ɯ
பசுமை	pʌsɯmʌɪ̯
பயப்படு	pʌjʌpːʌɖɯ
உண்டுபடு	ʔɯɳɖɯbʌɖɯ
தொடர்பு	t̪oɖʌɾ̪pɯ
சொற்றொடர்	soʈːɾoɖʌɾ̪
பிரசங்கம்	pɨɾ̪ʌsʌŋɡʌm
சிஷ்யன்	sɨʂjʌn
கல்விநிலையம்	kʌl̪ʋɨn̪ɨl̪ʌɪ̯jʌm
அட்டை	ʔʌʈːʌɪ̯
கூத்தாட	kuːt̪ːɑːɖa
பணப்பை	pʌɳʌpːʌɪ̯
குழி	kɯɻi
தேற்கு	t̪eːkkɯ
சேதி	seːd̪i
கலகம்	kʌl̪ʌɡʌm
விசனம்	ʋɨsʌnʌm
தாளம்	t̪ɑːɭʌm
இசுலாம்	ʔɨsɯl̪ɑːm
இலக்கு	ʔɨl̪ʌkːɯ
வாந்தி	ʋɑːn̪d̪i
இட்லி	ʔɨʈl̪i
குவியம்	kɯʋɨjʌm
இயைபு	ʔɨjʌɪ̯pɯ
மரவள்ளி	mʌɾ̪ʌʋʌɭːi
வரத்து	ʋʌɾ̪ʌt̪ːɯ
விழைவு	ʋɨɻʌɪ̯ʋɯ
தேவை	t̪eːʋʌɪ̯
முழங்கால்	mɯɻʌŋɡɑːl̪
அகங்கை	ʔʌɡʌŋɡʌɪ̯
கரு	kʌɾ̪ɯ
மிகுந்த	mɨɡɯn̪d̪a
செல்வநூல்	sel̪ʋʌn̪uːl̪
கிணறு	kɨɳʌrɯ
நேர்பாடு	n̪eːɾ̪pɑːɖɯ
கருப்பு	kʌɾ̪ɯpːɯ
மகிமை	mʌɡɨmʌɪ̯
கலவி	kʌl̪ʌʋi
நிரந்தர	n̪ɨɾ̪ʌn̪d̪ʌɾ̪a
வியாபாரி	ʋɨjɑːbɑːɾ̪i
தொழிலாளி	t̪oɻɨl̪ɑːɭi
லாடம்	l̪ɑːɖʌm
சுந்தரம்	sɯn̪d̪ʌɾ̪ʌm
வேற்றுமை	ʋeːʈːɾɯmʌɪ̯
கானலி	kɑːnʌl̪i
பிங்கலை	pɨŋɡʌl̪ʌɪ̯
ஓய்வூதியம்	ʔoːjʋuːd̪ɨjʌm
கொல்லறு	kol̪ːʌrɯ
குளிர்ச்சி	kɯɭɨɾ̪sːi
விண்ணுளவி	ʋɨɳːɯɭʌʋi
அவ்விடம்	ʔʌʋːɨɖʌm
வெம்பகல்	ʋembʌɡʌl̪
மாட்டிடையன்	mɑːʈːɨɖʌɪ̯jʌn
மரக்கலம்	mʌɾ̪ʌkːʌl̪ʌm
பாதுகாப்பு	pɑːd̪ɯɡɑːpːɯ
முழுவதும்	mɯɻɯʋʌd̪ɯm
துரியான்	t̪ɯɾ̪ɨjɑːn
செவ்விரும்பு	seʋːɨɾ̪ɯmbɯ
நபம்	n̪ʌbʌm
வாழை	ʋɑːɻʌɪ̯
ஆளுவல்லி	ʔɑːɭɯʋʌl̪ːi
கமலம்	kʌmʌl̪ʌm
பெருக்கல்வாய்பாடு	peɾ̪ɯkːʌl̪ʋɑːjpɑːɖɯ
காற்றழுத்தம்	kɑːʈːɾʌɻɯt̪ːʌm
அடிக்கொருக்கால்	ʔʌɖɨkːoɾ̪ɯkːɑːl̪
அடிநிலை	ʔʌɖɨn̪ɨl̪ʌɪ̯
ஆபரணம்	ʔɑːbʌɾ̪ʌɳʌm
முன்னடியார்	mɯnːʌɖɨjɑːɾ̪
நிலை	n̪ɨl̪ʌɪ̯
சாதிக்காய்	sɑːd̪ɨkːɑːj
முதலாளி	mɯd̪ʌl̪ɑːɭi
பாற்பசு	pɑːrpʌsɯ
போதை	poːd̪ʌɪ̯
அராவாரம்	ʔʌɾ̪ɑːʋɑːɾ̪ʌm
பணவீக்கம்	pʌɳʌʋiːkːʌm
எழுவாய்	ʔeɻɯʋɑːj
குசராத்	kɯsʌɾ̪ɑːt̪
வாக்குவாதம்	ʋɑːkːɯʋɑːd̪ʌm
சொத்து	sot̪ːɯ
இயங்குதளம்	ʔɨjʌŋɡɯd̪ʌɭʌm
ஆண்குறி	ʔɑːɳkɯri
குடிசை	kɯɖɨsʌɪ̯
வேலைமினக்கெட்டவன்	ʋeːl̪ʌɪ̯mɨnʌkːeʈːʌʋʌn
சர்பராஜ்	sʌɾ̪pʌɾ̪ɑːd͡ʑ
இகழ்ச்சி	ʔɨɡʌɻsːi
முதிர்ச்சி	mɯd̪ɨɾ̪sːi
உட்கருத்து	ʔɯʈkʌɾ̪ɯt̪ːɯ
இருப்பை	iɾʉpːaɪ
அலைப்பு	ʔʌl̪ʌɪ̯pːɯ
பிசங்கற்சீலை	pɨsʌŋɡʌrsiːl̪ʌɪ̯
சிற்றூர்	sɨʈːɾuːɾ̪
மயடம்	mʌjʌɖʌm
வானம்பாடி	ʋɑːnʌmbɑːɖi
புணர்ச்சி	pɯɳʌɾ̪sːi
அறிவி	ʔʌrɨʋi
மந்தை	mʌn̪d̪ʌɪ̯
எறும்பு	ʔerɯmbɯ
கஞ்சா	kʌɲd͡ʑɑː
ஊர்வன	ʔuːɾ̪ʋʌna
கங்கு	kʌŋɡɯ
நிறமாலையியல்	n̪ɨrʌmɑːl̪ʌɪ̯jɨjʌl̪
சுவடி	sɯʋʌɖi
அளவு	ʔʌɭʌʋɯ
பெயரெச்சம்	pejʌɾ̪esːʌm
சேறு	seːrɯ
பிசிர்தல்	pɨsɨɾ̪t̪ʌl̪
காதை	kɑːd̪ʌɪ̯
ஜீதம்	d͡ʑiːd̪ʌm
கணினியியல்	kʌɳɨnɨjɨjʌl̪
வெற்றிலை	ʋeʈːɾɨl̪ʌɪ̯
கணம்	kʌɳʌm
முன்னே	mɯnːeː
நீந்து	n̪iːn̪d̪ɯ
விரைவில்	ʋɨɾ̪ʌɪ̯ʋɨl̪
நிர்வாகம்	n̪ɨɾ̪ʋɑːɡʌm
மண்	mʌɳ
புத்தாண்டு	pɯt̪ːɑːɳɖɯ
வாயன்	ʋɑːjʌn
பிசான்	pɨsɑːn
சினைப்பை	sɨnʌɪ̯pːʌɪ̯
பிச்சு	pɨsːɯ
பாலாறு	pɑːl̪ɑːrɯ
அன்று	ʔʌnrɯ
இறக்கை	ʔɨrʌkːʌɪ̯
எஃகு	ʔeɡɯ
ரத்தினம்	ɾ̪ʌt̪ːɨnʌm
கிளவி	kɨɭʌʋi
கணிதம்	kʌɳɨd̪ʌm
லகரி	l̪ʌɡʌɾ̪i
கிளை	kɨɭʌɪ̯
நிலையம்	n̪ɨl̪ʌɪ̯jʌm
கொம்பு	kombɯ
அக்கினி	ʔʌkːɨni
கலயம்	kʌl̪ʌjʌm
படைப்பு	pʌɖʌɪ̯pːɯ
எத்தனை	ʔet̪ːʌnʌɪ̯
மன்றம்	mʌnrʌm
ஒரு	ʔoɾ̪ɯ
பறந்தலை	pʌrʌn̪d̪ʌl̪ʌɪ̯
அசாம்	ʔʌsɑːm
இலை	ʔɨl̪ʌɪ̯
நடை	n̪ʌɖʌɪ̯
தோட்டம்	t̪oːʈːʌm
ஒப்புமை	ʔopːɯmʌɪ̯
மூக்குத்தி	muːkːɯt̪ːi
அண்ணன்	ʔʌɳːʌn
கயிரவம்	kʌjɨɾ̪ʌʋʌm
கரியமிலவாயு	kʌɾ̪ɨjʌmɨl̪ʌʋɑːjɯ
ஏதின்மை	ʔeːd̪ɨnmʌɪ̯
மாடம்	mɑːɖʌm
முன்னாடி	mɯnːɑːɖi
அப்புறம்	ʔʌpːɯrʌm
குகை	kɯɡʌɪ̯
பிறப்பு	pɨrʌpːɯ
பானை	pɑːnʌɪ̯
சிறுவன்	sɨrɯʋʌn
தோசம்	t̪oːsʌm
குன்றின்	kɯnrɨn
