ajornor	ad͡ʒornɔr
kunlaborar	kunlaborar
komputero	komputero
bonvenigar	bonveniɡar
ofensonta	ofensonta
kustar	kustar
arkitekturi	arkitekturi
perkutus	perkutus
organizas	orɡanizas
quanto	kwanto
antiheroo	antiheroo
idolo	idolo
trahizita	trahizita
bastonagis	bastonaɡis
invitar	invitar
litigita	litiɡita
lernar	lernar
konstrukturo	kɔnstrukturo
dio	diɔ
koquinta	kokwinta
ablativi	ablativi
nutrivo	nutrivo
projetar	proʒetar
fushar	fuʃar
prosternir	prosternir
pardono	pardono
helponta	helponta
insertus	insertus
guvernantaro	ɡuvernantaro
liechtenstein	liktɛnstai̯n
lektebla	lektebla
abundas	abundas
sendar	sendar
koherar	koherar
asortar	asortar
adepto	adepto
koldeskar	kɔldɛskar
normala	normala
enkorpigante	enkorpiɡante
defensar	defensar
apelir	apelir
adoris	adoris
kantati	kantati
tranchar	trant͡ʃar
nudisti	nudisti
komencar	koment͡sar
bakterio	bakterjo
interago	interaɡo
gravitez	ɡravitɛz
kontinti	kontinti
audaceskez	au̯dat͡seskɛz
jenerozeso	ʒenerozeso
cienco	t͡sient͡so
chanjez	t͡ʃanʒɛz
frapinto	frapinto
atingis	atinɡis
repudios	repudi̯ɔs
fortigita	fortiɡita
video	videjo
mencionos	ment͡si̯onɔs
mielaquo	mi̯elaku̯o
kordio	kordio
projetonto	prod͡ʒetonto
okulo	okulo
radii	radii
konsideresar	konsideresar
haltar	haltar
heredar	heredar
frigoro	friɡoro
nesto	nesto
ofensante	ofensante
licencar	lit͡sent͡sar
mestieristo	mestieristo
irinti	irinti
evito	evito
lanjo	land͡ʒo
milimetri	milimetri
lakto	laktɔ
bandajizoti	bandaʒizoti
aceptez	at͡septɛz
extrema	ekstrema
deshonesta	dɛshonɛsta
advokato	advokato
perturbas	perturbas
festinonti	festinonti
fortigiti	fortiɡiti
abandonote	abandonote
karno	karno
deceptar	det͡septar
foresto	foresto
konocata	konot͡sata
disciplinar	dist͡siplinar
jonko	d͡ʒonko
kauzigar	kau̯ziɡar
equilibrato	ekvilibrato
fraciono	frat͡sjono
mitologio	mitoloɡi̯o
vasalo	vasalo
nokteskar	nokteskar
brakio	brakjo
sanigar	saniɡar
sigareti	siɡareti
jupeti	d͡ʒupeti
unionesar	unijonesar
frapar	frapar
aplikir	aplikir
universala	universala
bideto	bidɛtɔ
klozez	klozɛs
primara	primara
jurnalo	ʒurnalo
ve	ve
brodos	brodɔs
prezidanto	prezidanto
atingote	atinɡote
defensanti	defensanti
enkorpiginte	enkorpiɡinte
judikar	d͡ʒudikar
adoror	adorɔr
mencionati	ment͡si̯onati
a	a
somero	sɔmɛɾɔ
shakar	ʃakar
saturati	saturati
ma	ma
putrar	putrar
grandeskar	ɡrandeskar
agnoskinto	aɡnoskinto
desskrubagar	dɛsskrubaɡar
citas	t͡sitas
juntas	d͡ʒuntas
equilibronta	eku̯ilibronta
quitigar	kwitiɡar
aquofalo	akwofalo
bakinta	bakinta
zeloza	zeloza
entraprezo	entraprezo
jurnali	d͡ʒurnali
internaciona	internat͡sjona
festinis	festinis
bazolinei	bazolinei
bubulo	bubulo
muzeo	muzeo
plubonigar	pluboniɡar
vakua	vakua
helpita	helpita
dicez	dit͡sɛs
joyema	ʒojema
adorir	adorir
botanizoti	botanizoti
akuzonti	akuzonti
nek	nek
atinginte	atinɡinte
chaso	t͡ʃaso
likanto	likanto
noktar	noktar
hufofero	hufofero
sisinta	sisinta
selektar	sɛlɛktaɾ
simii	simii
kolokez	kolokɛz
bandajizata	bandad͡ʒizata
biciklo	bit͡siklɔ
prosternar	prosternar
procenti	prot͡senti
sokurso	sokurso
lauso	lau̯so
myelo	mjelo
strado	stɾadɔ
kalzumo	kalzumo
raspor	raspɔr
palpebro	palpebro
sive	sive
abortigar	abɔrtiɡar
exasperar	eɡzasperar
sequanta	sekvanta
raspoto	raspoto
quantesma	ku̯antɛsma
chipa	t͡ʃipa
equilibroto	ekvilibroto
k	ke
kad	kad
subsumir	subsumir
kontributaji	kontributad͡ʒi
pipo	pipo
legacario	leɡat͡sari̯o
frapir	frapir
adio	adio
regeneror	reɡenerɔr
litigonte	litiɡonte
drinkebla	drinkebla
adoptanta	adoptanta
advokati	advokati
lingoto	linɡoto
similesar	similesar
chanjus	t͡ʃanʒus
remonstrar	rɛmɔnstrar
abandonati	abandonati
nur	nur
papero	papero
organizo	orɡanizo
esenco	esent͡so
mondolingui	mondolinɡu̯i
exasperanto	eksasperanto
koquoto	kokvoto
aceptez	at͡septɛs
adianti	adi̯anti
permisus	permisus
monumento	monumento
y	je
cirkumiriti	t͡sirkumiriti
parasuno	parasuno
mencionota	ment͡si̯onota
rezumor	rezumɔr
tarda	tarda
teorbo	teorbo
tala	tala
adoriti	adoriti
atentiti	atentiti
jupitero	ʒupitero
equilibrota	ekvilibrota
organizita	orɡanizita
bandajizez	bandaʒizɛz
demonstror	demonstrɔr
kabineto	kabinɛtɔ
selo	selo
aceptanta	at͡septanta
equilibrus	eku̯ilibrus
disimulir	disimulir
botanizate	botanizate
praktikesar	praktikesar
borgezo	borɡezo
korodar	korodar
organizir	orɡanizir
aktorulo	aktɔɾulɔ
pensi	pensi
mencionito	ment͡si̯onito
adicionis	adit͡si̯onis
mancho	mant͡ʃo
tentas	tentas
bandajo	bandad͡ʒo
aplikor	aplikɔr
unikeso	unikeso
imaginir	imaɡinir
religioza	reliɡjoza
bovulo	bovulo
saturinto	saturinto
boliez	boli̯ɛs
usana	usana
equilibroto	eku̯ilibroto
fervoyo	fervojo
restaurata	restau̯rata
faraono	faraono
jetoto	d͡ʒetoto
pregar	preɡar
genui	ɡenui
extrema	eɡztrema
adoptata	adoptata
porteo	pɔrteo
forjas	forʒas
internacione	internat͡sione
litro	litro
irinte	irinte
permisis	permisis
axo	akso
equilibrate	ekvilibrate
akuzonta	akuzonta
koncesar	kont͡sesar
fontolinguo	fɔntolinɡu̯o
normo	normo
ito	ito
potencialo	potent͡si̯alo
kordio	kɔɾdiɔ
fotografante	fotoɡrafante
agnoskor	aɡnoskɔr
fortigoti	fortiɡoti
retopagino	ɾɛtɔpaɡinɔ
akademio	akademjo
akuzonto	akuzonto
esenci	esent͡si
probos	probɔs
nektari	nektari
repasto	repasto
iracez	irat͡sɛs
esinti	esinti
helpinte	helpinte
dinamo	dinamo
restaurante	restau̯rante
lu	lu
sublimor	sublimɔr
charmar	t͡ʃarmar
exasperate	eɡzasperate
batas	batas
brodar	brodar
samideani	samideani
pavonumo	pavonumo
kantito	kantito
ludo	ludo
decidinte	det͡sidinte
oportar	oportar
cirkum	t͡sirkum
fanatika	fanatika
konglomerateso	konɡlomerateso
abatante	abatante
joyigar	ʒojiɡar
apertante	apertante
parafalo	parafalo
citar	t͡sitaɾ
likoti	likoti
exasperinto	eɡzasperinto
adoptar	adoptar
komitato	komitato
quar	kwar
brechizabez	bret͡ʃizabɛz
fixigesar	fiksiɡesar
polico	polit͡so
glutinar	ɡlutinar
boki	boki
agnoskate	aɡnoskate
direktiva	direktiva
v	ve
protektar	pɾɔtɛktaɾ
merkurdio	mɛɾkuɾdiɔ
equilibroti	ekvilibroti
teologio	teoloɡi̯o
dop	dɔp
figuro	fiɡuro
esperanto	esperanto
atentar	atentar
proxim	prɔksim
r	ɾ
bisquiti	biskviti
stacar	stat͡sar
inflami	inflami
ilua	ilwa
tormentis	tormentis
kantonte	kantonte
facileskar	fat͡sileskar
kayero	kajero
refraktus	refraktus
pazar	pazar
citor	t͡sitɔr
alejus	aleʒus
dentifrici	dentifrit͡si
ofensez	ofensɛz
busolo	busolo
grandioza	ɡrandi̯oza
sidilo	sidilɔ
helpolinguo	hɛlpolinɡuwo
insultus	insultus
boliigus	boliiɡus
brakiumo	brakiumo
projetite	prod͡ʒetite
nazego	nazeɡo
filtroti	filtroti
animir	animir
suciar	sut͡sjar
desorganizez	desorɡanizɛs
citate	t͡sitate
popo	popo
santeso	santeso
celiba	t͡seliba
substitucar	substitut͡saɾ
likante	likante
legi	leɡi
saturos	saturɔs
exasperato	eɡzasperato
reklamo	reklamo
submisar	submisar
bakito	bakito
kuntexto	kunteksto
virgino	virɡino
dispozez	dispozɛs
expresar	ekspresar
helponto	helponto
noktomezo	noktomezo
naufrajo	nau̯fraʒo
merkurio	meɾkuɾio
amuzar	amuzar
deputez	deputɛz
projetite	proʒetite
abrejas	abreʒas
konsequar	konsekwar
brechiziti	bret͡ʃiziti
skikuror	skikurɔr
likar	likar
pamfleti	pamfleti
alejar	aleʒar
su	su
segli	seɡli
aganti	aɡanti
subtileso	subtileso
adresi	adresi
marshi	marʃi
saliko	saliko
regenerato	reɡenerato
agnoskonto	aɡnoskonto
laboratorio	laboratorjo
nevo	nevo
frapi	frapi
cedema	t͡sedema
dicionario	dit͡si̯onari̯o
exasperas	eɡzasperas
laboruri	laboruri
helpanti	helpanti
adoptanto	adoptanto
apogar	apoɡar
jako	ʒako
kuseno	kuseno
biokemio	biokemio
aden	aden
kauzo	kau̯zo
votez	votɛs
disimular	disimular
lago	laɡo
horizonto	horizonto
le	lɛ
sutar	sutaɾ
cediti	t͡sediti
likite	likite
rezumante	rezumante
stufanta	stufanta
explikos	eksplikɔs
tirkesti	tirkesti
kleriki	kleriki
adoptir	adoptir
skolo	skolo
guvernerio	ɡuvernerjo
evar	evar
signifikar	siɡnifikaɾ
memoronte	memoronte
plumatra	plumatra
radios	radi̯ɔs
mekanismo	mekanismo
sisota	sisota
necesajo	net͡sesad͡ʒo
adjektiva	add͡ʒektiva
traurar	trau̯rar
extra	ekstra
turdo	turdo
konseque	konseku̯e
boliigir	boliiɡir
vicar	vit͡sar
paperachi	paperat͡ʃi
votas	votas
muono	muono
kantote	kantote
abandonabis	abandonabis
plumo	plumɔ
bonvenar	bonvenar
hola	hola
nutrar	nutrar
taxio	taksi̯o
meritoza	meritoza
litigati	litiɡati
arkitekturo	arkitɛkturo
litiginto	litiɡinto
exasperis	eksasperis
cherpar	t͡ʃɛɾpaɾ
avancar	avant͡sar
quinino	ku̯inino
judikonto	ʒudikonto
indijar	indid͡ʒar
entratenar	entratennar
prosternis	prosternis
deputus	deputus
disimulez	disimulɛs
piktis	piktis
regresus	reɡresus
adicionor	adit͡si̯onɔr
fiziko	fiziko
kontonto	kontonto
equilibro	eku̯ilibro
exasperonte	eɡzasperonte
milio	miljɔ
brechizez	bret͡ʃizɛs
korno	korno
notar	notar
literaturaji	literaturaʒi
metro	metro
debilinterago	debilinteraɡo
regretar	reɡretar
abandonabez	abandonabɛs
stufata	stufata
piktez	piktɛz
suedia	swedja
exasperonto	eksasperonto
rodez	rodɛz
koquata	kokwata
indikili	indikili
rezumonta	rezumonta
equilibror	eku̯ilibrɔr
plufortigar	plufɔrtiɡar
mentioza	mentjoza
aristokrati	aristokrati
fiancitulo	fiant͡situlo
judiciar	ʒudit͡si̯ar
gravitanta	ɡravitanta
suciar	sut͡siar
saturate	saturate
uniono	unjono
kalsoneto	kalsoneto
generale	ɡenerale
semano	sɛmanɔ
arbustaro	arbustarɔ
sisoti	sisoti
alfabeto	alfabeto
figi	fiɡi
deo	deo
rezumir	rezumir
raspez	raspɛz
decendanto	det͡sendanto
persuadir	persuadir
projetonta	proʒetonta
digo	diɡo
heme	heme
exasperito	eksasperito
filtroto	filtroto
skikuros	skikurɔs
exajeranti	eɡzad͡ʒeranti
vespereskos	vespereskɔs
koquanto	kokvanto
agema	aɡema
akompanoti	akompanoti
koqueyo	kokwejo
imaginor	imaɡinɔr
abandonabos	abandonabɔs
multiplikar	multiplikar
odoro	odoro
tormentar	tɔɾmɛntaɾ
dormar	dormar
kanti	kanti
trahizez	trahizɛz
neutroni	neu̯troni
karear	karear
aparir	aparir
insultoto	insultoto
partio	parti̯o
kalzo	kalzo
kalico	kalit͡so
prosternez	prosternɛz
derivaji	derivad͡ʒi
dezirinda	dezirinda
pensanti	pensanti
berenjeno	berend͡ʒeno
jermifar	d͡ʒermifar
stufoti	stufoti
mokadi	mokadi
olim	olim
sejornar	seʒornar
komplikez	komplikɛz
lancieri	lant͡si̯eri
indikesar	indikesar
koliar	koliar
ventir	ventir
aceptata	at͡septata
stroki	stroki
vers	vɛrs
pavono	pavɔnɔ
koquonte	kokvonte
saturiti	saturiti
tentonto	tentonto
papriko	papriko
tosto	tosto
striizar	striizar
skribinti	skribinti
favorate	favorate
exekuto	eɡzekuto
frivolo	frivolo
redemti	redemti
diminutar	diminutaɾ
akompanonto	akompanonto
naufrajo	nau̯frad͡ʒo
kantero	kantero
angulo	anɡulo
f	f
kaloro	kaloro
cinematografilo	t͡sinɛmatɔɡɾafilɔ
exasperinte	eksasperinte
quanteso	kwanteso
sizar	sizar
citota	t͡sitota
laudus	lau̯dus
melodio	melodi̯o
granizez	ɡranizɛs
bovo	bovo
verdaji	verdaʒi
negociar	neɡot͡si̯ar
charioto	t͡ʃarioto
cizo	t͡sizo
laute	lau̯te
kolumo	kɔlumɔ
fotografonto	fotoɡrafonto
biblioteko	biblioteko
dum	dum
deshonoro	deshonoro
pertinacia	peɾtinaθja
arogar	aroɡar
anhelar	anhelar
permutar	permutar
grado	ɡrado
memorante	memorante
decendar	det͡sendar
jirafo	d͡ʒirafo
subtilaji	subtilaʒi
juntita	d͡ʒuntita
ocido	ot͡sido
elaborar	ɛlabɔɾaɾ
jurnalo	d͡ʒurnalo
adoptez	adoptɛz
prezidus	prezidus
decembro	det͡sembro
atolo	atolo
detektivo	detektivo
odianto	odi̯anto
bagajo	baɡaʒo
abandonabez	abandonabɛz
irgu	irɡu
litri	litri
helpati	helpati
legendo	leɡendo
rezumata	rezumata
polara	polara
sisoto	sisoto
fortigato	fortiɡato
swabragar	swabraɡar
horlojeto	horlod͡ʒeto
guidas	ɡu̯idas
desorganiziti	desorɡaniziti
printempe	printempe
edro	edro
prezidez	prezidɛs
skikurir	skikurir
verko	verko
tauro	tawro
explikas	eɡzplikas
skreni	skreni
centimetri	t͡sentimetri
memoranta	memoranta
kulturo	kulturo
favorinti	favorinti
invadir	invadir
prosternas	prosternas
biplano	biplano
botanizonto	botanizonto
arachar	arat͡ʃar
agnoskito	aɡnoskito
memorez	memorɛs
ministi	ministi
kelkafoye	kelkafoje
alejor	aleʒɔr
repozar	ɾɛpɔzaɾ
emersar	emersar
antiqua	antikwa
nomado	nomado
sociso	sot͡siso
bankroto	bankroto
tu	tu
linguisto	linɡwisto
kunlaboronto	kunlaboronto
vere	vɛrɛ
fonto	fonto
membrani	membrani
kontributaji	kontributaʒi
raspiti	raspiti
coexistir	t͡soeɡzistir
projetito	proʒetito
cinematografilo	t͡sinematoɡrafilo
foseto	foso
jetar	ʒetar
frapita	frapita
trahizinta	trahizinta
dekani	dekani
mencionite	ment͡si̯onite
p	p
abolisar	abolisaɾ
judikonti	ʒudikonti
manipulas	manipulas
guvernerio	ɡuvernerio
literaturala	literaturala
favoranti	favoranti
matrico	matrit͡so
c	ts
uzabez	uzabɛz
hego	heɡo
decar	det͡sar
arjenta	arʒenta
aqua	akva
posdineo	pɔsdinɛo
damo	damo
legifado	leɡifado
sisito	sisito
komplezajo	komplezaʒo
exhortar	ekshortar
konjelar	kɔnʒɛlaɾ
toro	toro
herbo	hɛrbɔ
putrinta	putrinta
shikani	ʃikani
revuo	revu̯o
origini	oriɡini
bronzo	bronzo
memorinta	memorinta
insertis	insertis
malediki	malediki
obelisko	obelisko
parapluvi	parapluvi
liquida	liku̯ida
baso	basɔ
kompozar	kɔmpozar
demono	demono
atingos	atinɡɔs
aceptota	at͡septota
astmo	astmo
yogurto	joɡurto
bari	bari
fortuno	fɔrtuno
be	bɛ
benko	benko
raspinto	raspinto
imaginoti	imaɡinoti
equilibras	eku̯ilibras
trezori	trezori
upupo	upupo
vador	vadɔr
anticipanto	antit͡sipanto
papiliono	papiljono
insultita	insultita
cesiganti	t͡sesiɡanti
lokomoco	lokomot͡so
damnos	damnɔs
exasperez	eɡzasperɛs
bandajizinta	bandad͡ʒizinta
herdo	herdo
torono	torono
basamento	basamɛntɔ
agnoskar	aɡnoskar
laxigar	laksiɡar
refraktanta	refraktanta
beja	beʒa
lumo	lumo
kambio	kambjo
vados	vadɔs
yarale	jarale
decidanti	det͡sidanti
refutar	refutar
koquinta	kokvinta
konsoli	konsoli
tentinti	tentinti
fabrikor	fabrikɔr
ventor	ventɔr
exasperas	eksasperas
danko	danko
helpir	helpir
organizoto	orɡanizoto
kordo	kordo
prezenta	prezenta
equilibris	eku̯ilibris
refraktar	refraktar
aceptonto	at͡septonto
citus	t͡situs
oficianta	ofit͡si̯anta
insultiti	insultiti
planko	plaŋko
likis	likis
bandajizonti	bandad͡ʒizonti
suflar	suflar
vera	vera
signifikar	siɡnifikar
eroranta	eroranta
bolias	boli̯as
stufita	stufita
insulano	insulano
pijamo	piʒamo
makulizar	makulizar
precipitar	pret͡sipitar
koquar	kokwar
muso	muso
ofensos	ofensɔs
boliigar	boliiɡar
karpo	karpo
legacez	leɡat͡sɛs
extingar	eɡztinɡar
exajeranto	eɡzad͡ʒeranto
haltez	haltɛs
frapos	frapɔs
plumaro	plumaro
entraprezi	entraprezi
fotografonte	fotoɡrafonte
sigaruyo	siɡarujo
ico	itso
jurnali	ʒurnali
tirar	tirar
evolucionar	evolut͡si̯onar
apliko	apliko
aboyar	abojar
veturo	veturo
artokarpofrukto	artokarpofrukto
aparez	aparɛs
grelo	ɡrelo
koquanto	kokwanto
rurala	rurala
irir	irir
pako	pako
ofensinta	ofensinta
strikos	strikɔs
imaginus	imaɡinus
spricar	spritsar
agrokultivo	aɡrokultivo
adorite	adorite
mikrobi	mikrobi
kompetenta	kompetenta
bandajizinte	bandad͡ʒizinte
projetinti	prod͡ʒetinti
desfidemeso	desfidemeso
funcionar	funt͡si̯onar
granizis	ɡranizis
kationo	kati̯ono
anado	anado
hiperligar	hiperliɡar
timida	timida
til	til
kunlaborinta	kunlaborinta
adiate	adi̯ate
bandajizinti	bandad͡ʒizinti
apertus	apertus
magra	maɡra
alejus	aled͡ʒus
iluziono	iluzjono
spatulo	spatulo
futbalo	futbalo
helpoto	helpoto
jornomezo	ʒornomezo
agato	aɡato
tentez	tentɛz
fotografati	fotoɡrafati
ecelar	et͡selar
mediano	medi̯ano
agnoskez	aɡnoskɛs
pasajar	pasaʒar
peruko	peruko
anticipos	antit͡sipɔs
molestar	molestar
w	w
briocho	bɾiɔt͡ʃɔ
operacar	operat͡sar
organiziti	orɡaniziti
ti	ti
abandonanti	abandonanti
chereskez	t͡ʃereskɛz
ofensonte	ofensonte
insultanti	insultanti
acento	at͡sɛnto
tondrar	tɔndrar
montenegro	monteneɡro
vespereskanto	vespereskanto
skikurinto	skikurinto
jorneskar	ʒorneskar
restaurati	restau̯rati
demonstrati	demonstrati
festinez	festinɛz
adoptas	adoptas
abatate	abatate
mungar	muŋɡar
disciplinanti	dist͡siplinanti
rostro	rostro
atentas	atentas
adoptis	adoptis
menciononto	ment͡si̯ononto
troni	troni
prezidero	prezidero
decidato	det͡sidato
gondolo	ɡondolo
judikati	d͡ʒudikati
bakoto	bakoto
balistiko	balistiko
enzimo	enzimo
helpos	helpɔs
lanceto	lant͡seto
jokar	ʒokar
likez	likɛz
aplikas	aplikas
klara	klara
likinto	likinto
tentonta	tentonta
desorganizinto	desorɡanizinto
domestika	domestika
quinino	kvinino
projetinta	proʒetinta
decidonta	det͡sidonta
maestrala	maestrala
bakterii	bakterii
audaceskez	au̯dat͡seskɛs
striizez	striizɛz
exasperoto	eksasperoto
hungro	hunɡro
glatigez	ɡlatiɡɛs
organizinto	orɡanizinto
charmante	t͡ʃarmante
hundo	hundo
bastonagez	bastonaɡɛz
desorganizite	desorɡanizite
equilibrinte	eku̯ilibrinte
gaya	ɡaja
disciplinir	dist͡siplinir
movar	movar
apliki	apliki
dormez	dormɛs
kontas	kontas
donacar	donat͡sar
kontir	kontir
jovdio	ʒovdio
equilibrinto	eku̯ilibrinto
akuzez	akuzɛs
restaurez	restau̯rɛs
pasto	pasto
varmega	varmeɡa
gasagar	ɡasaɡar
burjono	burd͡ʒono
pensis	pensis
bandajizoto	bandad͡ʒizoto
divorcar	divort͡sar
projetonti	proʒetonti
lanciero	lant͡si̯ero
kunlaborinti	kunlaborinti
oficiro	ofit͡siro
depozinto	depozinto
judikar	ʒudikar
montoza	montoza
mencionita	ment͡si̯onita
purpurea	purpurea
equilibrez	ekvilibrɛs
jacanta	d͡ʒat͡santa
judikeri	ʒudikeri
ofici	ofit͡si
exekutebla	eɡzekutebla
koquez	koku̯ɛz
ganto	ɡanto
tote	tote
le	le
axoloto	akzoloto
ante	ante
nacionala	nat͡sionala
skribez	skribɛz
siluri	siluri
sindikato	sindikato
nervika	nervika
atentinti	atentinti
entuziasmigar	entuzijasmiɡar
planaji	planad͡ʒi
jentila	ʒentila
kruela	kruela
kontonte	kontonte
dicate	dit͡sate
nudismo	nudismo
molusko	molusko
sorgar	sɔrɡar
questioni	kvesti̯oni
fricionar	fɾit͡sjɔnaɾ
yuna	juna
esanti	esanti
autoro	au̯toro
perturbato	perturbato
izomeri	izomeri
marchez	mart͡ʃɛz
bruli	bruli
biblo	biblo
koquanta	kokvanta
papi	papi
silka	silka
evolucionos	evolut͡si̯onɔs
protektar	protektar
pensoti	pensoti
dubitema	dubitema
jupeti	ʒupeti
braceleto	brat͡seleto
giganto	ɡiɡanto
juvelisto	d͡ʒuvelisto
petiolo	peti̯olo
yaro	jaro
euro	ɛu̯ro
proximeskar	proksimeskar
probas	probas
projetito	prod͡ʒetito
chanjanti	t͡ʃanʒanti
asno	asno
bandajizinta	bandaʒizinta
reciproka	ret͡siproka
inko	inko
enkorpigonte	enkorpiɡonte
helpar	hɛlpar
solstico	solstit͡so
falar	falar
adjuntar	ad͡ʒuntar
izraelido	izɾaɛlidɔ
envolvir	envolvir
apogilo	apoɡilo
manjesar	manʒesar
gorilo	ɡɔrilɔ
pruvar	pruvar
sisante	sisante
skribonte	skribonte
genro	ɡenro
chanjabez	t͡ʃanʒabɛz
procesema	prot͡sesema
armarko	armarko
amorato	amorato
exasperar	eksasperar
plajo	plad͡ʒo
pavonumo	pavɔnumɔ
stufanto	stufanto
litigante	litiɡante
l	le
perturbar	perturbar
cienco	t͡siɛnt͡sɔ
orgenisti	orɡenisti
latrino	latrino
adpozar	adpozar
nun	nun
papilioni	papili̯oni
rezumita	rezumita
ofensota	ofensota
likiti	likiti
konfesar	kɔnfesar
evaluar	evaluar
citati	t͡sitati
nervi	nervi
vino	vino
situesi	situesi
patro	patro
plantacerio	plantat͡serio
chereskar	t͡ʃereskar
japono	ʒapono
dicez	dit͡sɛz
glatigati	ɡlatiɡati
sublimanto	sublimanto
navigado	naviɡado
exulcero	eksult͡sero
dialogizar	di̯aloɡizar
hodie	hodi̯e
mediko	mediko
charmonti	t͡ʃarmonti
borar	borar
nokteskar	nɔktɛskar
butiko	butiko
sugar	suɡar
sublima	sublima
okazioni	okazi̯oni
iranta	iranta
revolucionema	revolut͡sionema
asidua	asiduwa
adorati	adorati
susteni	susteni
suedia	swɛdja
ami	ami
tormentato	tormentato
alejez	aleʒɛz
helpato	helpato
filtris	filtris
plumieri	plumi̯eri
tentanti	tentanti
bandajizote	bandaʒizote
stufante	stufante
abrejas	abred͡ʒas
mencionoto	ment͡si̯onoto
krugo	kruɡo
regeneras	reɡeneras
citinto	t͡sitinto
abandoninta	abandoninta
exasperinto	eksasperinto
prezenta	pɾɛzɛnta
championo	t͡ʃampiono
patruli	patruli
skopo	skɔpɔ
tro	tro
speco	spet͡so
botanizato	botanizato
ondego	ondeɡo
tormentati	tormentati
bakiti	bakiti
preco	pret͡so
organeto	orɡaneto
vidati	vidati
bramis	bramis
konceptar	kont͡septar
evolucionor	evolut͡si̯onɔr
weldos	weldɔs
meteoro	meteoro
aranjar	arand͡ʒar
hipo	hipo
leciono	let͡si̯ono
haringo	harinɡo
kultivar	kultivar
pinguino	pinɡvino
cerizo	t͡serizo
arki	arki
skribar	skribar
seruristo	seruristo
chanjez	t͡ʃand͡ʒɛs
koquato	kokwato
urjar	urd͡ʒar
animalo	animalo
trahizas	trahizas
incendiir	int͡sendiir
bicoko	bit͡soko
bruto	bruto
favorez	favorɛz
laudonti	lau̯donti
lamento	lamento
tirez	tirɛz
explikir	eɡzplikir
koquota	kokwota
filtrito	filtrito
fortigis	fortiɡis
akompanez	akompanɛz
organizate	orɡanizate
insultato	insultato
sequar	seku̯ar
raspanto	raspanto
briko	briko
mencionato	ment͡si̯onato
mencionez	ment͡si̯onɛz
frapato	frapato
farbo	farbo
incendiar	int͡sendi̯ar
organizote	orɡanizote
perturbanto	perturbanto
kantinte	kantinte
sacerdoti	sat͡serdoti
moblo	mɔblɔ
diafana	di̯afana
guyavo	ɡujavo
agnoskanti	aɡnoskanti
flecho	flet͡ʃo
akompanonti	akompanonti
joko	d͡ʒoko
verdaji	verdad͡ʒi
abandonez	abandonɛs
jeneroza	d͡ʒeneroza
metri	metri
anticipor	antit͡sipɔr
abandonos	abandonɔs
atingonti	atinɡonti
helponti	helponti
adsub	adsub
proximesko	proksimesko
apertis	apertis
saturonta	saturonta
kontis	kontis
charminto	t͡ʃarminto
gravida	ɡravida
tarto	taɾtɔ
evolucionis	evolut͡si̯onis
lamentonto	lamentonto
expektar	eɡzpektar
askoltar	askɔltar
ofensata	ofensata
perkutos	perkutɔs
kolokar	kolokar
profetala	prɔfɛtala
polemikus	polemikus
dicanto	dit͡santo
denti	denti
komprenende	komprenende
imaginonta	imaɡinonta
ivoro	ivoro
decidata	det͡sidata
legumo	leɡumo
arko	arko
kontinta	kontinta
jorni	d͡ʒorni
projetez	proʒetɛz
inflamar	inflamar
futurala	futurala
ube	ubɛ
explikar	eɡzplikar
komplikez	komplikɛs
propulsar	propulsar
vizar	vizar
chanjoti	t͡ʃand͡ʒoti
turnez	turnɛz
metala	metala
tombo	tombo
animar	animar
statuto	statuto
kuriero	kuriero
bubi	bubi
laboratorio	laboratorio
menciono	ment͡si̯ono
glatigor	ɡlatiɡɔr
kantor	kantɔr
ajornar	ad͡ʒornar
exasperos	eksasperɔs
shovinismi	ʃovinismi
anciena	ant͡sjena
abandonota	abandonota
mirakli	mirakli
championeso	t͡ʃampi̯oneso
erorez	erorɛs
induktar	induktar
tentate	tentate
nucoruptilo	nut͡soruptilo
agnoskir	aɡnoskir
laudinti	lau̯dinti
esperonto	esperonto
aceptos	at͡septɔs
bastonagor	bastonaɡɔr
grafiko	ɡrafiko
solena	solena
tomato	tomato
skribis	skribis
projetati	prod͡ʒetati
laxigir	laɡziɡir
decidema	det͡sidema
un	un
abandoninti	abandoninti
deputis	deputis
akompanus	akompanus
lamentanto	lamentanto
tentato	tentato
elu	elu
akompanonta	akompanonta
kerlo	kɛrlo
imaginito	imaɡinito
barilo	barilo
retrotirar	retrotirar
fotografiti	fotoɡrafiti
laveyo	lavejo
kunlaboros	kunlaborɔs
sisonto	sisonto
erorir	erorir
botanizoto	botanizoto
peizajo	peizaʒo
citinte	t͡sitinte
quale	kwale
lernolibro	lernolibro
censurez	t͡sensurɛz
merkurdio	merkurdio
recepciono	ret͡sept͡si̯ono
domajo	domaʒo
produktar	produktar
bagajo	baɡad͡ʒo
sisis	sisis
mati	mati
fonteni	fonteni
pronta	prɔnta
esperas	esperas
arkiduko	arkiduko
juvelo	ʒuvelo
projetati	proʒetati
trahizite	trahizite
spontana	spontana
aceptate	at͡septate
projetota	prod͡ʒetota
tota	tota
formala	fɔrmala
pregeyi	preɡeji
cintilo	t͡sintilo
trotuaro	trotwaro
ampla	ampla
universitato	universitato
aviaco	aviat͡so
elefantuli	elefantuli
fotografoti	fotoɡrafoti
famoza	famoza
equilibrir	ekvilibrir
drinkeyo	drinkejo
bujio	buʒi̯o
