berendezés	bɛrɛndɛzeːʃ
kürtökkel	kyrtøkːɛl
mellét	mɛlːeːt
méltóságok	meːltoːʃaːɡok
legízletesebb	lɛɡiːzlɛtɛʃɛbː
elfogadták	ɛlfoɡɒtːaːk
időz	idøːz
világítás	vilaːɡiːtaːʃ
lökdös	løɡdøʃ
létezik	leːtɛzik
foglalkoztatás	foɡlɒlkostɒtaːʃ
számától	saːmaːtoːl
szeretné	sɛrɛtneː
karosszékek	kɒrosːeːkɛk
babátok	bɒbaːtok
aláírási	ɒlaːjiːraːʃi
pillanatfelvétel	pilːɒnɒtfɛlveːtɛl
fűződik	fyːzøːdik
egyetemeken	ɛɟɛtɛmɛkɛn
karitatívabb	kɒritɒtiːvɒbː
felét	fɛleːt
girland	ɡirlɒnd
lakhelyváltoztatás	lɒkhɛjvaːltostɒtaːʃ
marxi	mɒrksi
spejz	ʃpɛjz
huszonöt	husonøt
bosszús	bosːuːʃ
legtünékenyebb	lɛktyneːkɛɲɛbː
maradvány	mɒrɒdvaːɲ
italhoz	itɒlɦoz
égő	eːɡøː
gél	ɡeːl
perben	pɛrbɛn
barbár	bɒrbaːr
biciklin	bit͡siɡlin
látogatók	laːtoɡɒtoːk
konzerveik	konzɛrvɛjik
tarsoly	tɒrʃoj
járőrök	jaːrøːrøk
szavazáshoz	sɒvɒzaːʃhoz
talajt	tɒlɒjt
februárotok	fɛbruaːrotok
légszivattyú	leːksivɒcːuː
hordárok	hordaːrok
támasz	taːmɒs
éjjeli	eːjːɛli
elemzők	ɛlɛmzøːk
kalpagok	kɒlpɒɡok
megyén	mɛɟeːn
készítője	keːsiːtøːjɛ
szlovénia	sloveːnijɒ
pocok	pot͡sok
befogja	bɛfoɡjɒ
hátrafelé	haːtrɒfɛleː
rendszeres	rɛntsɛrɛʃ
aggódó	ɒɡːoːdoː
kadmium	kɒdmijum
műbarát	myːbɒraːt
villáról	vilːaːroːl
engedmények	ɛŋɡɛdmeːɲɛk
vacsorát	vɒt͡ʃoraːt
csirkénk	t͡ʃirkeːŋk
vakcina	vɒkt͡sinɒ
hóembert	hoːɛmbɛrt
roham	roɦɒm
dolognak	doloɡnɒk
koponyáitok	kopoɲaːjitok
kordován	kordovaːn
leglágyabban	lɛɡlaːɟɒbːɒn
irigyel	iriɟɛl
tetején	tɛtɛjeːn
oszt	ost
írótollak	iːroːtolːɒk
nyomon	ɲomon
családnév	t͡ʃɒlaːdneːv
szívinfarktus	siːviɱfɒrktuʃ
jóknál	joːknaːl
kezelik	kɛzɛlik
tenni	tɛnːi
tekervényes	tɛkɛrveːɲɛʃ
prédikál	preːdikaːl
sorai	ʃorɒji
kopogás	kopoɡaːʃ
guyana	ɡɒjɒnɒ
arcom	ɒrt͡som
böglyökig	bøɡjøkiɡ
fásult	faːʃult
zsibbasztóbb	ʒibːɒstoːbː
alakjai	ɒlɒkjɒji
bekerül	bɛkɛryl
gurui	ɡuruji
deklinációk	dɛklinaːt͡sijoːk
gabonapehely	ɡɒbonɒpɛhɛj
födém	fødeːm
idegen	idɛɡɛn
pünkösdök	pyŋkøʒdøk
tartalmat	tɒrtɒlmɒt
absztrakt	ɒpstrɒkt
sprőd	sprøːd
badar	bɒdɒr
mozgalmas	mozɡɒlmɒʃ
kartúm	kɒrtuːm
szemöldökfa	sɛmøldøkfɒ
variáció	vɒrijaːt͡sijoː
asztalitenisz	ɒstɒlitɛnis
bóra	boːrɒ
kamionon	kɒmijonon
valamennyitek	vɒlɒmɛɲːitɛk
inverzetek	iɱvɛrzɛtɛk
dinamikusan	dinɒmikuʃɒn
ugyanazt	uɟɒnɒst
homlokok	homlokok
hívjuk	hiːvjuk
hideg	hidɛɡ
asztalhoz	ɒstɒlɦoz
dámok	daːmok
állítmányok	aːlːiːtmaːɲok
feddjétek	fɛɟːeːtɛk
témát	teːmaːt
mákból	maːɡboːl
legvilágosabb	lɛɡvilaːɡoʃɒbː
égne	eːɡnɛ
elégtől	ɛleːktøːl
poklok	poklok
bognárok	boɡnaːrok
céljaid	t͡seːjːɒjid
mosogatok	moʃoɡɒtok
kétszeres	keːt͡sːɛrɛʃ
ipari	ipɒri
jobbat	jobːɒt
találunk	tɒlaːluŋk
e	ɛ
arról	ɒrːoːl
trend	trɛnd
legkoncentráltabb	lɛkːont͡sɛntraːltɒbː
mássalhangzó	maːʃːɒlɦɒŋɡzoː
szerencsétlenségek	sɛrɛnt͡ʃeːtlɛnʃeːɡɛk
gardrób	ɡɒrdroːb
pokla	poklɒ
kürtöt	kyrtøt
rendszerben	rɛntsɛrbɛn
adatoktól	ɒdɒtoktoːl
váljunk	vaːjːuŋk
napközben	nɒpkøzbɛn
kedvesebb	kɛdvɛʃɛbː
bólyt	boːjt
nyomtatások	ɲomtɒtaːʃok
előítéletek	ɛløːjiːteːlɛtɛk
sorozatokat	ʃorozɒtokɒt
ígérgetés	iɡeːrɡɛteːʃ
kapusod	kɒpuʃod
prosztaták	prostɒtaːk
rendezésében	rɛndɛzeːʃeːbɛn
dolgozó	dolɡozoː
megújhodás	mɛɡuːjɦodaːʃ
csokoládétorták	t͡ʃokolaːdeːtortaːk
legfeljebb	lɛkfɛjːɛbː
róttunk	roːtːuŋk
mindenét	mindɛneːt
pillanata	pilːɒnɒtɒ
békát	beːkaːt
komolyabb	komojɒbː
félszobák	feːlsobaːk
szállodát	saːlːodaːt
mária	maːrijɒ
dohok	dohok
esetleg	ɛʃɛtlɛɡ
kiig	kiiɡ
hajszalag	hɒjsɒlɒɡ
nemsokára	nɛmʃokaːrɒ
egyenlet	ɛɟɛnlɛt
fiktívet	fiktiːvɛt
páternoszterek	paːtɛrnostɛrɛk
adva	ɒdvɒ
székkel	seːkːɛl
ritkábban	ritkaːbːɒn
vírusok	viːruʃok
zsizsik	ʒiʒik
etnikum	ɛtnikum
jogszerű	joksɛryː
adómentesség	ɒdoːmɛntɛʃːeːɡ
fertőz	fɛrtøːz
mestereink	mɛʃtɛrɛjiŋk
kicsiig	kit͡ʃiiɡ
teremtmény	tɛrɛmtmeːɲ
látszer	laːt͡sːɛr
tömör	tømør
anatómiák	ɒnɒtoːmijaːk
hűt	hyːt
dinnyék	diɲːeːk
elmond	ɛlmond
legborongósabb	lɛɡboroŋɡoːʃɒbː
forgalmi	forɡɒlmi
fehérjék	fɛɦeːrjeːk
szemszöge	sɛmsøɡɛ
hája	haːjɒ
aerobik	ɒɛrobik
akkordod	ɒkːordod
diákotthon	dijaːkothon
falevelekre	fɒlɛvɛlɛkrɛ
tiéd	tijeːd
kereslek	kɛrɛʃlɛk
gereblye	ɡɛrɛbjɛ
adottság	ɒdot͡ʃːaːɡ
világunk	vilaːɡuŋk
versé	vɛrʃeː
hághat	haːkhɒt
legparancsolgatóbb	lɛkpɒrɒnt͡ʃolɡɒtoːbː
kertészekként	kɛrteːsɛkːeːnt
cipőfűző	t͡sipøːfyːzøː
kiló	kiloː
alapunk	ɒlɒpuŋk
privilegizáltabb	privilɛɡizaːltɒbː
fogtam	foktɒm
évét	eːveːt
véss	veːʃː
hajadonotok	hɒjɒdonotok
helybeli	hɛjbɛli
bögölyöket	bøɡøjøkɛt
nikolett	nikolɛtː
antikváriumok	ɒntikvaːrijumok
viszont	visont
rés	reːʃ
francia	frɒnt͡sijɒ
fagypontok	fɒcpontok
törnénk	tørneːŋk
hajakba	hɒjɒɡbɒ
irtották	irtotːaːk
lenniük	lɛnːijyk
fülben	fylbɛn
terveket	tɛrvɛkɛt
húzkod	huːskod
vitázik	vitaːzik
jegyzetelés	jɛɟzɛtɛleːʃ
munkavállalás	muŋkɒvaːlːɒlaːʃ
kivégez	kiveːɡɛz
alagsoraitok	ɒlɒkʃorɒjitok
izmos	izmoʃ
énreám	eːnrɛaːm
ülésén	yleːʃeːn
felettem	fɛlɛtːɛm
nyújtani	ɲuːjtɒni
gyógyszerkönyv	ɟoːcsɛrkøɲv
megoldás	mɛɡoldaːʃ
hőtan	høːtɒn
magyarnál	mɒɟɒrnaːl
praktikus	prɒktikuʃ
holtiglan	holtiɡlɒn
leghátrányosabb	lɛkhaːtraːɲoʃɒbː
erősen	ɛrøːʃɛn
jog	joɡ
öntenek	øntɛnɛk
állakon	aːlːɒkon
hév	heːv
varr	vɒrː
szervezetért	sɛrvɛzɛteːrt
felkészít	fɛlkeːsiːt
erek	ɛrɛk
legszelesebb	lɛksɛlɛʃɛbː
protestánsak	protɛʃtaːnʃɒk
ellenőriz	ɛlːɛnøːriz
megkönnyebbülni	mɛkːøɲːɛbːylni
dédire	deːdirɛ
nihónium	niɦoːnijum
aduhoz	ɒduɦoz
fűszeres	fyːsɛrɛʃ
tanácsa	tɒnaːt͡ʃɒ
nyafog	ɲɒfoɡ
tapasztalatom	tɒpɒstɒlɒtom
egésznek	ɛɡeːsnɛk
tekintetek	tɛkintɛtɛk
fakutyák	fɒkucaːk
harkályok	hɒrkaːjok
sejtfal	ʃɛjtfɒl
házakért	haːzɒkeːrt
vegytan	vɛctɒn
fejének	fɛjeːnɛk
raboskodik	rɒboʃkodik
fenntarthatóság	fɛntɒrthɒtoːʃaːɡ
izobután	izobutaːn
hetekig	hɛtɛkiɡ
ásom	aːʃom
háztűztől	haːstyːstøːl
recepción	rɛt͡sɛpt͡sijoːn
biztosító	bistoʃiːtoː
veszedelmesen	vɛsɛdɛlmɛʃɛn
valószínűségű	vɒloːsiːnyːʃeːɡyː
szinusztételek	sinusteːtɛlɛk
dicsőségesen	dit͡ʃøːʃeːɡɛʃɛn
leggazdagabb	lɛɡːɒzdɒɡɒbː
legó	lɛɡoː
valamiknek	vɒlɒmiknɛk
napszúrások	nɒpsuːraːʃok
földek	føldɛk
rendszer	rɛntsɛr
gyermekcipők	ɟɛrmɛkt͡sipøːk
szervezetekhez	sɛrvɛzɛtɛkhɛz
félsorompó	feːlʃorompoː
tehetnék	tɛhɛtneːk
dolgunk	dolɡuŋk
harci	hɒrt͡si
érvényes	eːrveːɲɛʃ
mandula	mɒndulɒ
hangsúlyozni	hɒŋkʃuːjozni
napokat	nɒpokɒt
állakra	aːlːɒkrɒ
poligráf	poliɡraːf
indexe	indɛksɛ
bidék	bideːk
fősz	føːs
rovarok	rovɒrok
végzettséggel	veːɡzɛt͡ʃːeːɡːɛl
felveszünk	fɛlvɛsyŋk
égen	eːɡɛn
sekrestyések	ʃɛkrɛʃceːʃɛk
módunkban	moːduŋɡbɒn
cseberből	t͡ʃɛbɛrbøːl
foglalkoztató	foɡlɒlkostɒtoː
bilingvális	biliŋɡvaːliʃ
felhőtlen	fɛlɦøːtlɛn
kritikus	kritikuʃ
gúnárok	ɡuːnaːrok
űző	yːzøː
királylepke	kiraːjlɛpkɛ
dobtál	doptaːl
szorongás	soroŋɡaːʃ
leosztás	lɛostaːʃ
hallgatagabb	hɒlɡɒtɒɡɒbː
leépítések	lɛjeːpiːteːʃɛk
könnyesebb	køɲːɛʃɛbː
viszitek	visitɛk
folyamatokon	fojɒmɒtokon
levéltetű	lɛveːltɛtyː
százalékokat	saːzɒleːkokɒt
szervezetei	sɛrvɛzɛtɛji
utópiák	utoːpijaːk
fizetségek	fizɛt͡ʃːeːɡɛk
pusztítások	pustiːtaːʃok
pirkadat	pirkɒdɒt
tartotok	tɒrtotok
ásója	aːʃoːjɒ
hallik	hɒlːik
hamvak	hɒɱvɒk
fridzsiderek	frid͡ʒidɛrɛk
gróf	ɡroːf
családtag	t͡ʃɒlaːtːɒɡ
jutnod	jutnod
korszerűsítés	korsɛryːʃiːteːʃ
dédike	deːdikɛ
üdvözlőkártya	ydvøzløːkaːrcɒ
helyesírási	hɛjɛʃiːraːʃi
műt	myːt
gyűrű	ɟyːryː
vicsorog	vit͡ʃoroɡ
darab	dɒrɒb
legmagátólértetődőbb	lɛɡmɒɡaːtoːleːrtɛtøːdøːbː
váltalak	vaːltɒlɒk
galuska	ɡɒluʃkɒ
osszák	osːaːk
fáid	faːjid
számukra	saːmukrɒ
befektetők	bɛfɛktɛtøːk
ajtóért	ɒjtoːjeːrt
válaszolta	vaːlɒsoltɒ
sohasem	ʃoɦɒʃɛm
dzsinn	d͡ʒinː
fincsibb	fint͡ʃibː
bánjuk	baːɲːuk
halántéklebeny	hɒlaːnteːklɛbɛɲ
írjatok	iːrjɒtok
szarvashibátok	sɒrvɒʃhibaːtok
legszomorúbb	lɛksomoruːbː
átfésül	aːtfeːʃyl
melyeknek	mɛjɛknɛk
aggály	ɒɡːaːj
igeneken	iɡɛnɛkɛn
mentettek	mɛntɛtːɛk
egyből	ɛɟbøːl
alakjaik	ɒlɒkjɒjik
kalapszalag	kɒlɒpsɒlɒɡ
lepi	lɛpi
barnák	bɒrnaːk
szalonkocsijaik	sɒloŋkot͡ʃijɒjik
kezétől	kɛzeːtøːl
magamat	mɒɡɒmɒt
sokakról	ʃokɒkroːl
enyémet	ɛɲeːmɛt
filmfesztivál	filɱfɛstivaːl
merniük	mɛrnijyk
maki	mɒki
miniatűrfestő	minijɒtyːrfɛʃtøː
tipikus	tipikuʃ
utolérlek	utoleːrlɛk
varrókészlet	vɒrːoːkeːslɛt
jogok	joɡok
karaim	kɒrɒjim
tudtatok	tutːɒtok
halsz	hɒls
uralkodóház	urɒlkodoːɦaːz
ügynökség	yɟnøkʃeːɡ
tértél	teːrteːl
legremekebb	lɛɡrɛmɛkɛbː
előfizető	ɛløːfizɛtøː
gergő	ɡɛrɡøː
folpack	folpɒkː
köteg	køtɛɡ
répára	reːpaːrɒ
kemence	kɛmɛnt͡sɛ
kürtökig	kyrtøkiɡ
legfárasztóbb	lɛkfaːrɒstoːbː
gyermekvédelmi	ɟɛrmɛkveːdɛlmi
innom	inːom
legügyesebb	lɛɡyɟɛʃɛbː
betegek	bɛtɛɡɛk
tartanám	tɒrtɒnaːm
válságba	vaːlʃaːɡbɒ
ásványok	aːʃvaːɲok
zenévé	zɛneːveː
erőnléti	ɛrøːnleːti
legnyomósabb	lɛɡɲomoːʃɒbː
idegroham	idɛɡroɦɒm
vettünk	vɛtːyŋk
teoretikus	tɛorɛtikuʃ
indította	indiːtotːɒ
tollas	tolːɒʃ
tudatlanabb	tudɒtlɒnɒbː
álcázás	aːlt͡saːzaːʃ
szívesen	siːvɛʃɛn
hallod	hɒlːod
kitevők	kitɛvøːk
palin	pɒlin
nappá	nɒpːaː
sámán	ʃaːmaːn
melankolikusság	mɛlɒŋkolikuʃːaːɡ
kerékzörgés	kɛreːɡzørɡeːʃ
szaft	sɒft
civódás	t͡sivoːdaːʃ
kivel	kivɛl
hazamegy	hɒzɒmɛɟ
neumann	nɒjmɒn
lidérc	lideːrt͡s
hirdetmény	hirdɛtmeːɲ
csokinyulak	t͡ʃokiɲulɒk
darwin	dɒrvin
ölne	ølnɛ
varjúfiókák	vɒrjuːfijoːkaːk
lép	leːp
informált	iɱformaːlt
megtelik	mɛktɛlik
kétségbeesett	keːt͡ʃːeːɡbɛɛʃɛtː
katicabogár	kɒtit͡sɒboɡaːr
legelészik	lɛɡɛleːsik
fogvatartott	foɡvɒtɒrtotː
fülcimpák	fylt͡simpaːk
hálóköntös	haːloːkøntøʃ
ijedtségek	ijɛt͡ʃːeːɡɛk
gírosz	ɡiːros
zsó	ʒoː
legvendégszeretőbb	lɛɡvɛndeːksɛrɛtøːbː
értelmiség	eːrtɛlmiʃeːɡ
áruháznál	aːruɦaːznaːl
csatolni	t͡ʃɒtolni
legkonkrétebb	lɛkːoŋkreːtɛbː
hibák	hibaːk
ideálisabb	idɛaːliʃɒbː
ecdl	ɛt͡seːdeːjɛl
ideig	idɛjiɡ
ismerősebb	iʃmɛrøːʃɛbː
technikusok	tɛxnikuʃok
hasznát	hɒsnaːt
fogyatkozások	foɟɒtkozaːʃok
arcunk	ɒrt͡suŋk
prelúdiumok	prɛluːdijumok
mellőletek	mɛlːøːlɛtɛk
birodalmi	birodɒlmi
inzulin	inzulin
hajóid	hɒjoːjid
argonjai	ɒrɡoɲːɒji
bélyegkép	beːjɛkːeːp
gyöngybagoly	ɟøɲɟbɒɡoj
poénok	pojeːnok
járta	jaːrtɒ
alszik	ɒlsik
részrehajlóbb	reːsrɛɦɒjloːbː
cédrusfáért	t͡seːdruʃfaːjeːrt
szerkesztők	sɛrkɛstøːk
többféle	tøpfeːlɛ
csinálhat	t͡ʃinaːlɦɒt
elégedve	ɛleːɡɛdvɛ
testé	tɛʃteː
nyelveknél	ɲɛlvɛkneːl
esztergályosok	ɛstɛrɡaːjoʃok
kiknek	kiknɛk
ragok	rɒɡok
elröpül	ɛrːøpyl
megszilárdít	mɛksilaːrdiːt
devizaszámlák	dɛvizɒsaːmlaːk
januárból	jɒnuaːrboːl
képernyővédő	keːpɛrɲøːveːdøː
hanti	hɒnti
kíséret	kiːʃeːrɛt
legnyugtalanítóbb	lɛɡɲuktɒlɒniːtoːbː
gyomos	ɟomoʃ
meghívást	mɛkhiːvaːʃt
nepáliak	nɛpaːlijɒk
tisztátalan	tistaːtɒlɒn
ponty	poɲc
januároknak	jɒnuaːroknɒk
ártsd	aːrd͡ʒd
intézményekben	inteːzmeːɲɛɡbɛn
kereszttűz	kɛrɛstyːz
egyéves	ɛɟːeːvɛʃ
osztanál	ostɒnaːl
trolibuszok	trolibusok
fülöp	fyløp
felháborítóbb	fɛlɦaːboriːtoːbː
ujjú	ujːuː
akartak	ɒkɒrtɒk
nulláz	nulːaːz
vonulat	vonulɒt
nitrogén	nitroɡeːn
dalszöveg	dɒlsøvɛɡ
eltéved	ɛlteːvɛd
vetni	vɛtni
ignorál	iɡnoraːl
keret	kɛrɛt
irányítani	iraːɲiːtɒni
sírok	ʃiːrok
magyarázok	mɒɟɒraːzok
felőlünk	fɛløːlyŋk
használhat	hɒsnaːlɦɒt
meglepőbb	mɛɡlɛpøːbː
kerülöd	kɛrylød
szerepet	sɛrɛpɛt
tárgyilagos	taːrɟilɒɡoʃ
lyukaik	jukɒjik
köll	kølː
nagyapák	nɒɟɒpaːk
oldj	olɟ
döfd	døvd
demoralizációk	dɛmorɒlizaːt͡sijoːk
koronára	koronaːrɒ
briganti	briɡɒnti
skatulyák	ʃkɒtujaːk
ájulás	aːjulaːʃ
szervezetekig	sɛrvɛzɛtɛkiɡ
magzat	mɒɡzɒt
diszkrétebben	diskreːtɛbːɛn
folyamodványok	fojɒmodvaːɲok
rájön	raːjøn
faljuk	fɒjːuk
cikkben	t͡siɡbɛn
offenzíva	ofːɛnziːvɒ
görkorcsolyázik	ɡørkort͡ʃojaːzik
iparokon	ipɒrokon
here	hɛrɛ
síd	ʃiːd
felszabadító	fɛlsɒbɒdiːtoː
prága	praːɡɒ
önöktől	ønøktøːl
okát	okaːt
szűnik	syːnik
kortársak	kortaːrʃɒk
keveredik	kɛvɛrɛdik
nem	nɛm
adatfeldolgozás	ɒdɒtfɛldolɡozaːʃ
ismerősek	iʃmɛrøːʃɛk
kéregetők	keːrɛɡɛtøːk
huszonharmadika	husonɦɒrmɒdikɒ
szélhámosok	seːlɦaːmoʃok
medence	mɛdɛnt͡sɛ
beszed	bɛsɛd
paletták	pɒlɛtːaːk
panaszom	pɒnɒsom
asszisztens	ɒsːistɛnʃ
közalkalmazott	køzɒlkɒlmɒzotː
vejei	vɛjɛji
mindeneken	mindɛnɛkɛn
nanométer	nɒnomeːtɛr
intelligencia	intɛliɡɛnt͡sijɒ
nyereség	ɲɛrɛʃeːɡ
szentimentalizmus	sɛntimɛntɒlizmuʃ
tabut	tɒbut
hatszor	hɒtsor
gondoz	ɡondoz
elmarad	ɛlmɒrɒd
útpadka	uːtpɒtkɒ
anyákat	ɒɲaːkɒt
önökben	ønøɡbɛn
sajnos	ʃɒjnoʃ
őrzött	øːrzøtː
sajtó	ʃɒjtoː
böglyeid	bøɡjɛjid
költők	køltøːk
kérdések	keːrdeːʃɛk
nézne	neːznɛ
gyógyszerészek	ɟoːcsɛreːsɛk
kimutat	kimutɒt
szálról	saːrːoːl
teéretted	tɛjeːrɛtːɛd
terjedelmek	tɛrjɛdɛlmɛk
alamuszi	ɒlɒmusi
fejtené	fɛjtɛneː
hercegnőig	hɛrt͡sɛɡnøːjiɡ
oldalunk	oldɒluŋk
percemé	pɛrt͡sɛmeː
filctoll	filt͡stolː
harangtorony	hɒrɒŋktoroɲ
helga	hɛlɡɒ
álljunk	aːjːuŋk
alagsorai	ɒlɒkʃorɒji
gyűrűjéből	ɟyːryːjeːbøːl
látod	laːtod
instrumentális	inʃtrumɛntaːliʃ
gyaur	ɟɒur
forgatókönyv	forɡɒtoːkøɲv
póla	poːlɒ
néger	neːɡɛr
lehetek	lɛhɛtɛk
csomagolok	t͡ʃomɒɡolok
természetben	tɛrmeːsɛdbɛn
bogot	boɡot
gyúrt	ɟuːrt
ötvenhatodik	øtvɛnɦɒtodik
telefonszám	tɛlɛfonsaːm
szülhet	sylɦɛt
elrontja	ɛrːoɲcɒ
arcaként	ɒrt͡sɒkeːnt
alexander	ɒlɛksɒndɛr
tanulmányod	tɒnulmaːɲod
mérgez	meːrɡɛz
hetük	hɛtyk
edu	ɛdu
teljesekké	tɛjːɛʃɛkːeː
házakra	haːzɒkrɒ
bilik	bilik
baljós	bɒjːoːʃ
orientalisztika	orijɛntɒlistikɒ
labdarúgás	lɒbdɒruːɡaːʃ
rendelkezése	rɛndɛlkɛzeːʃɛ
átlátszó	aːtlaːt͡sːoː
vessz	vɛsː
tetszenék	tɛt͡sːɛneːk
vetette	vɛtɛtːɛ
törvényalkotás	tørveːɲɒlkotaːʃ
cselédlány	t͡ʃɛleːdlaːɲ
tokok	tokok
alakokig	ɒlɒkokiɡ
tulajdonosok	tulɒjdonoʃok
szedőkanál	sɛdøːkɒnaːl
tisztít	tistiːt
javít	jɒviːt
elégedetlenség	ɛleːɡɛdɛtlɛnʃeːɡ
nemzetiség	nɛmzɛtiʃeːɡ
szerzések	sɛrzeːʃɛk
hinta	hintɒ
oszlopfők	oslopføːk
perfid	pɛrfid
üvegház	yvɛkhaːz
államkincstár	aːlːɒmkint͡ʃtaːr
tengelyhatalom	tɛŋɡɛjhɒtɒlom
szállító	saːlːiːtoː
színdarab	siːndɒrɒb
hatalmak	hɒtɒlmɒk
utalva	utɒlvɒ
nyugodtan	ɲuɡotːɒn
bojtok	bojtok
zsúfolt	ʒuːfolt
felhasználásának	fɛlɦɒsnaːlaːʃaːnɒk
uzsonnázik	uʒonːaːzik
alagsorok	ɒlɒkʃorok
ölben	ølbɛn
nyak	ɲɒk
arcaid	ɒrt͡sɒjid
rendezvényeket	rɛndɛzveːɲɛkɛt
merjék	mɛrjeːk
nagymellű	nɒɟmɛlːyː
távoktatás	taːvoktɒtaːʃ
magatokat	mɒɡɒtokɒt
halljatok	hɒjːɒtok
tekörötted	tɛkørøtːɛd
beljebb	bɛjːɛbː
tanítások	tɒniːtaːʃok
szükségességét	sykʃeːɡɛʃːeːɡeːt
törvénysértés	tørveːɲʃeːrteːʃ
állatvilág	aːlːɒtvilaːɡ
akkordokból	ɒkːordoɡboːl
mértetek	meːrtɛtɛk
szegénység	sɛɡeːɲʃeːɡ
faltól	fɒltoːl
törte	tørtɛ
főhercegek	føːɦɛrt͡sɛɡɛk
osztottunk	ostotːuŋk
delibb	dɛlibː
kiért	kijeːrt
adandó	ɒdɒndoː
fülük	fylyk
cipész	t͡sipeːs
remélem	rɛmeːlɛm
figyelőlistáknál	fiɟɛløːliʃtaːknaːl
akaratát	ɒkɒrɒtaːt
szerzői	sɛrzøːji
lantánok	lɒntaːnok
egyenletesebb	ɛɟɛnlɛtɛʃɛbː
nehezedre	nɛhɛzɛdrɛ
lógsz	loːks
tanácsokkal	tɒnaːt͡ʃokːɒl
etethet	ɛtɛthɛt
dög	døɡ
hidroplán	hidroplaːn
tagadhat	tɒɡɒthɒt
narancsszín	nɒrɒnt͡ʃsiːn
szakmai	sɒkmɒji
hócipő	hoːt͡sipøː
szerzetesrendek	sɛrzɛtɛʃrɛndɛk
változásai	vaːltozaːʃɒji
rágcsál	raːkt͡ʃaːl
befagy	bɛfɒɟ
kifolyik	kifojik
évekről	eːvɛkrøːl
aids	eːt͡sː
adottak	ɒdotːɒk
legkajásabb	lɛkːɒjaːʃɒbː
lépcsőház	leːpt͡ʃøːɦaːz
gyep	ɟɛp
kérelmed	keːrɛlmɛd
mérnék	meːrneːk
sávoly	ʃaːvoj
magával	mɒɡaːvɒl
denevérre	dɛnɛveːrːɛ
gémes	ɡeːmɛʃ
prózák	proːzaːk
magasságon	mɒɡɒʃːaːɡon
döntőbe	døntøːbɛ
szaglóidegek	sɒɡloːjidɛɡɛk
fesztelenebb	fɛstɛlɛnɛbː
szinuszgörbék	sinuzɡørbeːk
acetonja	ɒt͡sɛtoɲːɒ
csekély	t͡ʃɛkeːj
motorok	motorok
telefonvonal	tɛlɛfoɱvonɒl
pultot	pultot
alapfokod	ɒlɒpfokod
kandírozott	kɒndiːrozotː
ügyfélkörök	ycfeːlkørøk
közüzemi	køzyzɛmi
biztonságtechnika	bistonʃaːktɛxnikɒ
bevezet	bɛvɛzɛt
borászok	boraːsok
mendelévium	mɛndɛleːvijum
ultrahang	ultrɒhɒŋɡ
fröccsök	frøt͡ʃːøk
teniszpálya	tɛnispaːjɒ
szád	saːd
diplomások	diplomaːʃok
hozza	hozːɒ
könyvkötő	køɲfkøtøː
terhesség	tɛrɦɛʃːeːɡ
kiadásra	kijɒdaːʃrɒ
címeket	t͡siːmɛkɛt
hővezetés	høːvɛzɛteːʃ
ispán	iʃpaːn
brjanszk	brjɒnsk
szekrény	sɛkreːɲ
szőre	søːrɛ
kertekbe	kɛrtɛɡbɛ
érdekesek	eːrdɛkɛʃɛk
felébredtem	fɛleːbrɛtːɛm
legakusztikusabb	lɛɡɒkustikuʃɒbː
karfiol	kɒrfijol
dagályos	dɒɡaːjoʃ
acetonig	ɒt͡sɛtoniɡ
zajtalan	zɒjtɒlɒn
valószínűséggel	vɒloːsiːnyːʃeːɡːɛl
próbáltátok	proːbaːltaːtok
áld	aːld
évente	eːvɛntɛ
pelyvák	pɛjvaːk
alagsoraik	ɒlɒkʃorɒjik
alanyesethez	ɒlɒɲɛʃɛthɛz
neveltünk	nɛvɛltyŋk
emberekről	ɛmbɛrɛkrøːl
megyékhez	mɛɟeːkhɛz
csomagok	t͡ʃomɒɡok
hapci	hɒpt͡si
kanos	kɒnoʃ
freskófestés	frɛʃkoːfɛʃteːʃ
norvég	norveːɡ
szántsd	saːnd͡ʒd
őfölöttük	øːføløtːyk
hasznából	hɒsnaːboːl
megszentségtelenített	mɛksɛnt͡ʃeːktɛlɛniːtɛtː
bakancs	bɒkːɒnt͡ʃ
mátyás	maːcaːʃ
hozzáférések	hozːaːfeːreːʃɛk
frázis	fraːziʃ
szakállas	sɒkaːlːɒʃ
áru	aːru
rágalmazó	raːɡɒlmɒzoː
szarvuk	sɒrvuk
vesznetek	vɛsnɛtɛk
osztanám	ostɒnaːm
tradíció	trɒdiːt͡sijoː
mérgünk	meːrɡyŋk
tilthat	tilthɒt
aktát	ɒktaːt
táblázat	taːblaːzɒt
tűzveszélyes	tyːzvɛseːjɛʃ
íretek	iːrɛtɛk
látás	laːtaːʃ
bel	bɛl
ilyenekre	ijɛnɛkrɛ
dzs	d͡ʒ
hagyni	hɒɟni
tarok	tɒrok
filmmel	filmɛl
túlnépesedés	tuːlneːpɛʃɛdeːʃ
ötödike	øtødikɛ
weboldala	vɛboldɒlɒ
melók	mɛloːk
trójai	troːjɒji
differenciálgeometria	difɛrɛnt͡sijaːlɡɛomɛtrijɒ
mielőbb	mijɛløːbː
adományokra	ɒdomaːɲokrɒ
fogtündér	foktyndeːr
meghökkentően	mɛkhøkːɛntøːɛn
skandináv	ʃkɒndinaːv
ürü	yry
kukák	kukaːk
piszok	pisok
ejakuláció	ɛjɒkulaːt͡sijoː
