აღმოუფხვრელი	ɑɣmɔupʰxvrɛli
ცელქი	t͡sɛlkʰi
ამძიმებს	ɑmd͡zimɛbs
მიმბაძველად	mimbɑd͡zvɛlɑd
კოშკურა	kʼɔʃkʼurɑ
ვიკონტი	vikʼɔntʼi
ასუსტებს	ɑsustʼɛbs
უსიცოცხლოდ	usit͡sɔt͡sxlɔd
მოსპობს	mɔspʼɔbs
მაიორანი	mɑiɔrɑni
შეკოწიწებული	ʃɛkʼɔt͡sʼit͡sʼɛbuli
ატავისტური	ɑtʼɑvistʼuri
ვერანა	vɛrɑnɑ
ორშაბათი	ɔrʃɑbɑtʰi
ჯეროვნად	d͡ʒɛrɔvnɑd
ბილეთი	bilɛtʰi
გააგრძელებს	ɡɑɑɡrd͡zɛlɛbs
ბექაპი	bɛkʰɑpʼi
ტაძარს	tʼɑd͡zɑrs
შუამავალი	ʃuɑmɑvɑli
პლუში	pʼluʃi
ფიფქია	pʰipʰkʰiɑ
ხეკორძი	xɛkʼɔrd͡zi
ნგრევა	nɡrɛvɑ
ჰიგიენური	hiɡiɛnuri
რაინდობა	rɑindɔbɑ
ყოჩობა	qʼɔt͡ʃɔbɑ
არასასიამოვნოდ	ɑrɑsɑsiɑmɔvnɔd
ძუნწი	d͡zunt͡sʼi
უსიმპტომო	usimpʼtʼɔmɔ
გუგა	ɡuɡɑ
უპატიოსნოდ	upʼɑtʼiɔsnɔd
მგრძნობიარე	mɡrd͡znɔbiɑrɛ
ტექსტი	tʼɛkʰstʼi
პადუა	pʼɑduɑ
აი	ɑi
სიხარბე	sixɑrbɛ
დასაფლავება	dɑsɑpʰlɑvɛbɑ
მალმე	mɑlmɛ
ჰყავს	hqʼɑvs
ნაგებობა	nɑɡɛbɔbɑ
იუდაიზმი	iudɑizmi
შექმნა	ʃɛkʰmnɑ
ძველად	d͡zvɛlɑd
მუშტარი	muʃtʼɑri
ამაღელვებლად	ɑmɑɣɛlvɛblɑd
თანამონაწილე	tʰɑnɑmɔnɑt͡sʼilɛ
ქმედება	kʰmɛdɛbɑ
ავოკადო	ɑvɔkʼɑdɔ
ვირული	viruli
მშვიდობით	mʃvidɔbitʰ
მევიოლინე	mɛviɔlinɛ
ფრაზეოლოგია	pʰrɑzɛɔlɔɡiɑ
უნაკლოდ	unɑkʼlɔd
სომეხი	sɔmɛxi
პიროვნებად	pʼirɔvnɛbɑd
იუმორისტულად	iumɔristʼulɑd
კორტეჟი	kʼɔrtʼɛʒi
ბროლი	brɔli
იქით	ikʰitʰ
ვითარებითი	vitʰɑrɛbitʰi
არგენტინით	ɑrɡɛntʼinitʰ
პორტალი	pʼɔrtʼɑli
ნერვიულობა	nɛrviulɔbɑ
ნაყვავილარი	nɑqʼvɑvilɑri
ფინანსური	pʰinɑnsuri
წისქვილი	t͡sʼiskʰvili
გიორგად	ɡiɔrɡɑd
თეზისი	tʰɛzisi
სამართალი	sɑmɑrtʰɑli
ბუშტოვანი	buʃtʼɔvɑni
კონკორდატი	kʼɔnkʼɔrdɑtʼi
ლაყუჩი	lɑqʼut͡ʃi
პრეროგატივა	pʼrɛrɔɡɑtʼivɑ
ფუტკარი	pʰutʼkʼɑri
რეზერვი	rɛzɛrvi
ტიპოგრაფიულად	tʼipʼɔɡrɑpʰiulɑd
მომთაბარეობა	mɔmtʰɑbɑrɛɔbɑ
ამნისტია	ɑmnistʼiɑ
სირანაშვილი	sirɑnɑʃvili
შემაჯამებლად	ʃɛmɑd͡ʒɑmɛblɑd
ვანდალიზმი	vɑndɑlizmi
ფონოგრაფი	pʰɔnɔɡrɑpʰi
მაქვს	mɑkʰvs
სროლა	srɔlɑ
საზღვარგარეთი	sɑzɣvɑrɡɑrɛtʰi
აშინებს	ɑʃinɛbs
ჰიბისკუსი	hibiskʼusi
გაატარებს	ɡɑɑtʼɑrɛbs
ნათესაობითი	nɑtʰɛsɑɔbitʰi
ორგანი	ɔrɡɑni
ბადისებრი	bɑdisɛbri
ავეჯი	ɑvɛd͡ʒi
კარტი	kʼɑrtʼi
თავქარიანი	tʰɑvkʰɑriɑni
შეუჩერებლად	ʃɛut͡ʃɛrɛblɑd
ფლაგშტოკი	pʰlɑɡʃtʼɔkʼi
სინამდვილე	sinɑmdvilɛ
დევნება	dɛvnɛbɑ
უნდა	undɑ
მშენებლობა	mʃɛnɛblɔbɑ
რვა	rvɑ
გერმანიად	ɡɛrmɑniɑd
გულაბი	ɡulɑbi
დურბინდი	durbindi
ქარიყლაპია	kʰɑriqʼlɑpʼiɑ
დაქტილური	dɑkʰtʼiluri
ამტანობა	ɑmtʼɑnɔbɑ
უმამო	umɑmɔ
ანგელოზივით	ɑnɡɛlɔzivitʰ
მარკერი	mɑrkʼɛri
სახელი	sɑxɛli
გიჟურად	ɡiʒurɑd
ნაირა	nɑirɑ
საცეცი	sɑt͡sɛt͡si
სეროზულად	sɛrɔzulɑd
ბათუმი	bɑtʰumi
ქოჩორაშვილი	kʰɔt͡ʃɔrɑʃvili
საყმაწვილო	sɑqʼmɑt͡sʼvilɔ
ტერმინოლოგია	tʼɛrminɔlɔɡiɑ
სანდო	sɑndɔ
აბლაუტი	ɑblɑutʼi
მსუბუქად	msubukʰɑd
წიწილა	t͡sʼit͡sʼilɑ
პოზიორი	pʼɔziɔri
კოლიბრი	kʼɔlibri
ლარი	lɑri
ბასტიონი	bɑstʼiɔni
ლოკავს	lɔkʼɑvs
საქმიანად	sɑkʰmiɑnɑd
მოვლენა	mɔvlɛnɑ
ციტრუსი	t͡sitʼrusi
სტალინი	stʼɑlini
პასტორალი	pʼɑstʼɔrɑli
სურავანდიანი	surɑvɑndiɑni
სამკლავური	sɑmkʼlɑvuri
დაუყოვნებლად	dɑuqʼɔvnɛblɑd
ორმოცდათერთმეტი	ɔrmɔt͡sdɑtʰɛrtʰmɛtʼi
სიმეტრიულად	simɛtʼriulɑd
აყალბებს	ɑqʼɑlbɛbs
აკრობატიკა	ɑkʼrɔbɑtʼikʼɑ
გამოიკვლევს	ɡɑmɔikʼvlɛvs
წერტილი	t͡sʼɛrtʼili
ციმბირი	t͡simbiri
ვიკიპედიამ	vikʼipʼɛdiɑm
ინსტრუქტორი	instʼrukʰtʼɔri
ავყია	ɑvqʼiɑ
ხარკოვი	xɑrkʼɔvi
ხმამაღლამოლაპარაკე	xmɑmɑɣlɑmɔlɑpʼɑrɑkʼɛ
მეჩეთი	mɛt͡ʃɛtʰi
წუხელ	t͡sʼuxɛl
დაუძლურებული	dɑud͡zlurɛbuli
არაკომპეტენტურად	ɑrɑkʼɔmpʼɛtʼɛntʼurɑd
პეპელა	pʼɛpʼɛlɑ
ავინიონი	ɑviniɔni
ჯიუტად	d͡ʒiutʼɑd
გვარს	ɡvɑrs
დავალებული	dɑvɑlɛbuli
ხუთკუთხა	xutʰkʼutʰxɑ
გამოსვლად	ɡɑmɔsvlɑd
პოზა	pʼɔzɑ
ფოცხი	pʰɔt͡sxi
ისტერიული	istʼɛriuli
სათავე	sɑtʰɑvɛ
წინასწარმეყველურად	t͡sʼinɑst͡sʼɑrmɛqʼvɛlurɑd
დაბადებას	dɑbɑdɛbɑs
დომინიონი	dɔminiɔni
ჩივილი	t͡ʃivili
მომწონს	mɔmt͡sʼɔns
გეოცენტრული	ɡɛɔt͡sɛntʼruli
ბურბონი	burbɔni
უიმედოდ	uimɛdɔd
შენ	ʃɛn
ხელცარიელი	xɛlt͡sɑriɛli
ზიმბაბვე	zimbɑbvɛ
თანდათან	tʰɑndɑtʰɑn
გამოშტერებული	ɡɑmɔʃtʼɛrɛbuli
მგლური	mɡluri
ინტერპოლაცია	intʼɛrpʼɔlɑt͡siɑ
ლინკი	linkʼi
მონასტერი	mɔnɑstʼɛri
ციკლოპური	t͡sikʼlɔpʼuri
ტენორი	tʼɛnɔri
უშუალო	uʃuɑlɔ
უზრდელი	uzrdɛli
ნული	nuli
ფურთხი	pʰurtʰxi
ნაირგვაროვნად	nɑirɡvɑrɔvnɑd
შეწეული	ʃɛt͡sʼɛuli
ჯოული	d͡ʒɔuli
ტვინო	tʼvinɔ
შესაფერისობა	ʃɛsɑpʰɛrisɔbɑ
მეზღვაური	mɛzɣvɑuri
საცავი	sɑt͡sɑvi
ციკლონი	t͡sikʼlɔni
გორა	ɡɔrɑ
ნოტარიუსი	nɔtʼɑriusi
გალუმპული	ɡɑlumpʼuli
ერკემალი	ɛrkʼɛmɑli
ტარაკანი	tʼɑrɑkʼɑni
სისავსე	sisɑvsɛ
ხულიგნობა	xuliɡnɔbɑ
სადისტი	sɑdistʼi
კოჭი	kʼɔt͡ʃʼi
საჭადრაკო	sɑt͡ʃʼɑdrɑkʼɔ
შემოწმება	ʃɛmɔt͡sʼmɛbɑ
ღვთისმოსავად	ɣvtʰismɔsɑvɑd
ჯალაღონია	d͡ʒɑlɑɣɔniɑ
არქივარიუსი	ɑrkʰivɑriusi
რევმატიზმი	rɛvmɑtʼizmi
შესატყვისი	ʃɛsɑtʼqʼvisi
თავბრუ	tʰɑvbru
უნუნტრიუმი	ununtʼriumi
გრიმი	ɡrimi
ამით	ɑmitʰ
თავდაპირველად	tʰɑvdɑpʼirvɛlɑd
ხარშვა	xɑrʃvɑ
მფლობელობა	mpʰlɔbɛlɔbɑ
ბუქსირები	bukʰsirɛbi
ამპერი	ɑmpʼɛri
ოპერატიული	ɔpʼɛrɑtʼiuli
სამწუხაროდ	sɑmt͡sʼuxɑrɔd
ლიბერია	libɛriɑ
პროფესიონალი	pʼrɔpʰɛsiɔnɑli
სიმბოლო	simbɔlɔ
მწყერჩიტა	mt͡sʼqʼɛrt͡ʃitʼɑ
მეთოდი	mɛtʰɔdi
ილუზიური	iluziuri
პირმოთნედ	pʼirmɔtʰnɛd
ნიჩაბი	nit͡ʃɑbi
აგდებულად	ɑɡdɛbulɑd
ფერმერი	pʰɛrmɛri
ბურბურა	burburɑ
ბეჭდავს	bɛt͡ʃʼdɑvs
კუპრიანი	kʼupʼriɑni
პროფანაცია	pʼrɔpʰɑnɑt͡siɑ
რესპონდენტი	rɛspʼɔndɛntʼi
გიშველის	ɡiʃvɛlis
საბედისწერო	sɑbɛdist͡sʼɛrɔ
ზარი	zɑri
სოფლად	sɔpʰlɑd
უმახვილო	umɑxvilɔ
შეღებილი	ʃɛɣɛbili
პიროვნება	pʼirɔvnɛbɑ
მზიანად	mziɑnɑd
ლენტი	lɛntʼi
ინტერვიუერი	intʼɛrviuɛri
ჩარტისტი	t͡ʃɑrtʼistʼi
კონსპექტი	kʼɔnspʼɛkʰtʼi
პალანი	pʼɑlɑni
მოქალაქე	mɔkʰɑlɑkʰɛ
კაპიტალისტი	kʼɑpʼitʼɑlistʼi
გულსაფარი	ɡulsɑpʰɑri
სამართალმცოდნეობა	sɑmɑrtʰɑlmt͡sɔdnɛɔbɑ
პორტპლედი	pʼɔrtʼpʼlɛdi
ზომიერად	zɔmiɛrɑd
გეოლოგიური	ɡɛɔlɔɡiuri
ქრომი	kʰrɔmi
ფუძე	pʰud͡zɛ
ალერსის	ɑlɛrsis
რატომ	rɑtʼɔm
გავლენა	ɡɑvlɛnɑ
ამერიკით	ɑmɛrikʼitʰ
გამბედავად	ɡɑmbɛdɑvɑd
კოლუმბია	kʼɔlumbiɑ
დაკარგეს	dɑkʼɑrɡɛs
ზადიკი	zɑdikʼi
როდიუმი	rɔdiumi
ფისუნია	pʰisuniɑ
წვიმიანი	t͡sʼvimiɑni
კინოჟურნალი	kʼinɔʒurnɑli
ჯაბა	d͡ʒɑbɑ
ჩაგერიცხათ	t͡ʃɑɡɛrit͡sxɑtʰ
ანგარებიანი	ɑnɡɑrɛbiɑni
ოფიციალური	ɔpʰit͡siɑluri
სხვადასხვაგვარად	sxvɑdɑsxvɑɡvɑrɑd
კატალონიური	kʼɑtʼɑlɔniuri
კეზერაშვილი	kʼɛzɛrɑʃvili
კაცს	kʼɑt͡ss
ბითუმად	bitʰumɑd
ამსტერდამი	ɑmstʼɛrdɑmi
რენკლოდი	rɛnkʼlɔdi
ნაკელი	nɑkʼɛli
კაბინეტი	kʼɑbinɛtʼi
ბაგირი	bɑɡiri
გონორეა	ɡɔnɔrɛɑ
მუზა	muzɑ
ბაკი	bɑkʼi
კორნეტი	kʼɔrnɛtʼi
გამოჩენილად	ɡɑmɔt͡ʃɛnilɑd
კიშინოვი	kʼiʃinɔvi
რეჰანი	rɛhɑni
ჭიკაანი	t͡ʃʼikʼɑɑni
ქვესექცია	kʰvɛsɛkʰt͡siɑ
კვანძი	kʼvɑnd͡zi
ბებია	bɛbiɑ
ასორტი	ɑsɔrtʼi
ტელეოლოგიური	tʼɛlɛɔlɔɡiuri
ტაქტიანად	tʼɑkʰtʼiɑnɑd
ამთავრებს	ɑmtʰɑvrɛbs
ფორთოხალი	pʰɔrtʰɔxɑli
არაშთამბეჭდავად	ɑrɑʃtʰɑmbɛt͡ʃʼdɑvɑd
სახელმწიფოთი	sɑxɛlmt͡sʼipʰɔtʰi
ორმოცდათვრამეტი	ɔrmɔt͡sdɑtʰvrɑmɛtʼi
ნიჭიერი	nit͡ʃʼiɛri
ეს	ɛs
შურისმაძიებლურად	ʃurismɑd͡ziɛblurɑd
უკანა	ukʼɑnɑ
ჯურღმული	d͡ʒurɣmuli
უარყოფა	uɑrqʼɔpʰɑ
თავგანწირვა	tʰɑvɡɑnt͡sʼirvɑ
პანტომიმა	pʼɑntʼɔmimɑ
გწყურია	ɡt͡sʼqʼuriɑ
ფერდობი	pʰɛrdɔbi
ფეიერვერკი	pʰɛiɛrvɛrkʼi
კომუნალურად	kʼɔmunɑlurɑd
დახრილობა	dɑxrilɔbɑ
პროტესტი	pʼrɔtʼɛstʼi
თანამოძმე	tʰɑnɑmɔd͡zmɛ
სიმბიოზი	simbiɔzi
ბადმინტონი	bɑdmintʼɔni
ბარათი	bɑrɑtʰi
ბიზანტიამ	bizɑntʼiɑm
ბზინვარება	bzinvɑrɛbɑ
დახუთულად	dɑxutʰulɑd
ფეხშიშველა	pʰɛxʃiʃvɛlɑ
შეაკეთებს	ʃɛɑkʼɛtʰɛbs
სეკრეცია	sɛkʼrɛt͡siɑ
ბოგვი	bɔɡvi
დავთარი	dɑvtʰɑri
ესკორტი	ɛskʼɔrtʼi
პერიოდს	pʼɛriɔds
სიამაყე	siɑmɑqʼɛ
უპატიოსნო	upʼɑtʼiɔsnɔ
აღგზნებული	ɑɣɡznɛbuli
ფეისბუქი	pʰɛisbukʰi
სიბასრე	sibɑsrɛ
ნესტიანი	nɛstʼiɑni
ტურისტი	tʼuristʼi
ქვემო	kʰvɛmɔ
მონოპლანი	mɔnɔpʼlɑni
ინფო	inpʰɔ
საწვავი	sɑt͡sʼvɑvi
ბოხჩა	bɔxt͡ʃɑ
ინერცია	inɛrt͡siɑ
გუმანით	ɡumɑnitʰ
უკარება	ukʼɑrɛbɑ
ბედი	bɛdi
შეშინებული	ʃɛʃinɛbuli
დაღარული	dɑɣɑruli
არაგონივრულად	ɑrɑɡɔnivrulɑd
მასივი	mɑsivi
ქართული	kʰɑrtʰuli
ასი	ɑsi
კანონიერება	kʼɑnɔniɛrɛbɑ
სიმი	simi
მერხი	mɛrxi
ლოგიკა	lɔɡikʼɑ
კიევი	kʼiɛvi
ცხელსაფენი	t͡sxɛlsɑpʰɛni
სინტაქსი	sintʼɑkʰsi
დაწერს	dɑt͡sʼɛrs
ტაქტიკა	tʼɑkʰtʼikʼɑ
ნიადაგ	niɑdɑɡ
ისე	isɛ
შეუწყნარებლად	ʃɛut͡sʼqʼnɑrɛblɑd
ნაყოფიერად	nɑqʼɔpʰiɛrɑd
შრაპნელი	ʃrɑpʼnɛli
მონასტრული	mɔnɑstʼruli
ფართედ	pʰɑrtʰɛd
გოჩა	ɡɔt͡ʃɑ
სიღარიბე	siɣɑribɛ
ორმო	ɔrmɔ
მომღერალი	mɔmɣɛrɑli
გაუპატიურება	ɡɑupʼɑtʼiurɛbɑ
ურცხვად	urt͡sxvɑd
რადიო	rɑdiɔ
ელექტრონული	ɛlɛkʰtʼrɔnuli
უჩვეულობა	ut͡ʃvɛulɔbɑ
ზეგ	zɛɡ
ბარათაშვილი	bɑrɑtʰɑʃvili
ტყვიამფრქვევი	tʼqʼviɑmpʰrkʰvɛvi
ჰამბურგი	hɑmburɡi
ტრომბონისტი	tʼrɔmbɔnistʼi
ყლაპვა	qʼlɑpʼvɑ
ფრანკფურტი	pʰrɑnkʼpʰurtʼi
ტაქსომეტრი	tʼɑkʰsɔmɛtʼri
გალიონი	ɡɑliɔni
დამწყები	dɑmt͡sʼqʼɛbi
სიტლანქე	sitʼlɑnkʰɛ
სიყალბე	siqʼɑlbɛ
დიადემა	diɑdɛmɑ
პროფესიულად	pʼrɔpʰɛsiulɑd
წყავი	t͡sʼqʼɑvi
მიეყრდნობა	miɛqʼrdnɔbɑ
ენთუზიაზმით	ɛntʰuziɑzmitʰ
მავთული	mɑvtʰuli
იტალიელი	itʼɑliɛli
რადიაცია	rɑdiɑt͡siɑ
შაბლონი	ʃɑblɔni
ოსვალდი	ɔsvɑldi
რწყავს	rt͡sʼqʼɑvs
ეთნოლოგია	ɛtʰnɔlɔɡiɑ
არაფორმალურად	ɑrɑpʰɔrmɑlurɑd
წარმოშობას	t͡sʼɑrmɔʃɔbɑs
ბურნუთი	burnutʰi
სინდიკალიზმი	sindikʼɑlizmi
ბრაზიანი	brɑziɑni
სახელს	sɑxɛls
ჭუჭრუტანა	t͡ʃʼut͡ʃʼrutʼɑnɑ
ტვინით	tʼvinitʰ
ფაშა	pʰɑʃɑ
მილიონი	miliɔni
დაიკიდე	dɑikʼidɛ
ქარაფშუტა	kʰɑrɑpʰʃutʼɑ
უკაცრავად	ukʼɑt͡srɑvɑd
კოსმეტიკური	kʼɔsmɛtʼikʼuri
ტოქსიკოლოგი	tʼɔkʰsikʼɔlɔɡi
სინდიკატი	sindikʼɑtʼi
ტიპს	tʼipʼs
სიმრუდე	simrudɛ
ათეული	ɑtʰɛuli
ხიჭი	xit͡ʃʼi
ფორმირება	pʰɔrmirɛbɑ
მანიაკალური	mɑniɑkʼɑluri
ლაგუნა	lɑɡunɑ
ჯუნგლი	d͡ʒunɡli
ღარიანი	ɣɑriɑni
ადეკვატურობა	ɑdɛkʼvɑtʼurɔbɑ
ორსაწოლიანი	ɔrsɑt͡sʼɔliɑni
გარდაუვალად	ɡɑrdɑuvɑlɑd
აწერს	ɑt͡sʼɛrs
ჯებირი	d͡ʒɛbiri
ალექსანდრე	ɑlɛkʰsɑndrɛ
შორსმიმავალი	ʃɔrsmimɑvɑli
ცხელა	t͡sxɛlɑ
ფაიზაღი	pʰɑizɑɣi
ჩახერგვა	t͡ʃɑxɛrɡvɑ
ანგოლა	ɑnɡɔlɑ
დარაბა	dɑrɑbɑ
იყავი	iqʼɑvi
ჩინეთით	t͡ʃinɛtʰitʰ
წავა	t͡sʼɑvɑ
ფანტავს	pʰɑntʼɑvs
ნეგუსი	nɛɡusi
ეკატერინე	ɛkʼɑtʼɛrinɛ
მიზეზი	mizɛzi
გაუბედაობა	ɡɑubɛdɑɔbɑ
ლამბაქი	lɑmbɑkʰi
მენსტრუალური	mɛnstʼruɑluri
თანდაყოლილად	tʰɑndɑqʼɔlilɑd
კურორტი	kʼurɔrtʼi
ჩანასახოვანი	t͡ʃɑnɑsɑxɔvɑni
სანახაობა	sɑnɑxɑɔbɑ
მონოტონური	mɔnɔtʼɔnuri
მოუწესრიგებელი	mɔut͡sʼɛsriɡɛbɛli
ექსპედიცია	ɛkʰspʼɛdit͡siɑ
აბა	ɑbɑ
ტელეგადაცემა	tʼɛlɛɡɑdɑt͡sɛmɑ
ჭვარტლი	t͡ʃʼvɑrtʼli
ჯირკი	d͡ʒirkʼi
უნივერსალური	univɛrsɑluri
პანღური	pʼɑnɣuri
ზრდილობიანი	zrdilɔbiɑni
ინვერსია	invɛrsiɑ
სისქე	siskʰɛ
მატერიალისტურად	mɑtʼɛriɑlistʼurɑd
მოუნანიებლად	mɔunɑniɛblɑd
სუბიექტურად	subiɛkʰtʼurɑd
მეწისქვილე	mɛt͡sʼiskʰvilɛ
წაუშლიათ	t͡sʼɑuʃliɑtʰ
გათხოვილი	ɡɑtʰxɔvili
მუყაითობა	muqʼɑitʰɔbɑ
Ⴂ	ɡ
ქილა	kʰilɑ
კურკა	kʼurkʼɑ
ნთქმა	ntʰkʰmɑ
ორობითი	ɔrɔbitʰi
მილიცია	milit͡siɑ
ენანება	ɛnɑnɛbɑ
კომპანიონი	kʼɔmpʼɑniɔni
მუმია	mumiɑ
საქმრო	sɑkʰmrɔ
პირველშობილი	pʼirvɛlʃɔbili
ხარისხს	xɑrisxs
ყინული	qʼinuli
ტაიური	tʼɑiuri
კონტექსტი	kʼɔntʼɛkʰstʼi
არათანმიმდევრულად	ɑrɑtʰɑnmimdɛvrulɑd
ზეთანამედროვე	zɛtʰɑnɑmɛdrɔvɛ
სამაჯური	sɑmɑd͡ʒuri
კელტი	kʼɛltʼi
არაჩვეულებრივი	ɑrɑt͡ʃvɛulɛbrivi
აბიბინებს	ɑbibinɛbs
ეშხიანი	ɛʃxiɑni
კლავიატურის	kʼlɑviɑtʼuris
პატივცემული	pʼɑtʼivt͡sɛmuli
მეზღაპრე	mɛzɣɑpʼrɛ
ჯარისკაცი	d͡ʒɑriskʼɑt͡si
წამყვანი	t͡sʼɑmqʼvɑni
მუსიკის	musikʼis
სკეპტიკოსი	skʼɛpʼtʼikʼɔsi
როდის	rɔdis
გადამწყვეტად	ɡɑdɑmt͡sʼqʼvɛtʼɑd
იოანე	iɔɑnɛ
გულცივად	ɡult͡sivɑd
რუმ	rum
ამახინჯებს	ɑmɑxind͡ʒɛbs
პასპარტუ	pʼɑspʼɑrtʼu
ფერშალი	pʰɛrʃɑli
წყენით	t͡sʼqʼɛnitʰ
ალაზანი	ɑlɑzɑni
წებოვანი	t͡sʼɛbɔvɑni
ჯადოსნურად	d͡ʒɑdɔsnurɑd
ყულაბა	qʼulɑbɑ
ტარსონი	tʼɑrsɔni
პნევმატურად	pʼnɛvmɑtʼurɑd
ცერემონიული	t͡sɛrɛmɔniuli
ჯიმი	d͡ʒimi
ვწუხვარ	vt͡sʼuxvɑr
სპრინტერი	spʼrintʼɛri
აუღელვებლობა	ɑuɣɛlvɛblɔbɑ
ჯიშიანი	d͡ʒiʃiɑni
წვეტიანი	t͡sʼvɛtʼiɑni
სიგამხდრე	siɡɑmxdrɛ
აკვანს	ɑkʼvɑns
უჩვეულოდ	ut͡ʃvɛulɔd
გვრიტი	ɡvritʼi
სკრუპულოზულად	skʼrupʼulɔzulɑd
ტალანი	tʼɑlɑni
არალოგიკურად	ɑrɑlɔɡikʼurɑd
მოენატრება	mɔɛnɑtʼrɛbɑ
ამაღლებულად	ɑmɑɣlɛbulɑd
იმპერიის	impʼɛriis
სხვენი	sxvɛni
ნავთობი	nɑvtʰɔbi
ეშმაკეული	ɛʃmɑkʼɛuli
ფინია	pʰiniɑ
არახელსაყრელად	ɑrɑxɛlsɑqʼrɛlɑd
საჭმელი	sɑt͡ʃʼmɛli
იდეოლოგია	idɛɔlɔɡiɑ
გაუსაძლისი	ɡɑusɑd͡zlisi
ვედრებით	vɛdrɛbitʰ
მგზავრობა	mɡzɑvrɔbɑ
სასწაულებრივი	sɑst͡sʼɑulɛbrivi
ინიციატივა	init͡siɑtʼivɑ
კოლოსალური	kʼɔlɔsɑluri
მანეკენი	mɑnɛkʼɛni
სტივენი	stʼivɛni
სანქცია	sɑnkʰt͡siɑ
კამარა	kʼɑmɑrɑ
შაშვი	ʃɑʃvi
წელიწადის	t͡sʼɛlit͡sʼɑdis
გოგონა	ɡɔɡɔnɑ
არადამაკმაყოფილებლად	ɑrɑdɑmɑkʼmɑqʼɔpʰilɛblɑd
სადირექტორო	sɑdirɛkʰtʼɔrɔ
პერიოდად	pʼɛriɔdɑd
შეტყობინება	ʃɛtʼqʼɔbinɛbɑ
ტექსტილი	tʼɛkʰstʼili
იჯარა	id͡ʒɑrɑ
აირღუმელი	ɑirɣumɛli
სეპარატისტი	sɛpʼɑrɑtʼistʼi
ცხადი	t͡sxɑdi
აკვალანგი	ɑkʼvɑlɑnɡi
ექსპანსიური	ɛkʰspʼɑnsiuri
საყურე	sɑqʼurɛ
აკვნით	ɑkʼvnitʰ
რომაული	rɔmɑuli
რეგიონმა	rɛɡiɔnmɑ
დაუჯერებლობა	dɑud͡ʒɛrɛblɔbɑ
მეტრონომი	mɛtʼrɔnɔmi
ფელამუში	pʰɛlɑmuʃi
ამწიფებს	ɑmt͡sʼipʰɛbs
ნომენკლატურა	nɔmɛnkʼlɑtʼurɑ
არაბესკები	ɑrɑbɛskʼɛbi
რენტა	rɛntʼɑ
გემი	ɡɛmi
შემწყნარებლობა	ʃɛmt͡sʼqʼnɑrɛblɔbɑ
შიშველი	ʃiʃvɛli
ვარგისად	vɑrɡisɑd
მოლაყბე	mɔlɑqʼbɛ
პირგასამტეხლო	pʼirɡɑsɑmtʼɛxlɔ
კულტი	kʼultʼi
ოცდათხუთმეტი	ɔt͡sdɑtʰxutʰmɛtʼi
ომმა	ɔmmɑ
სოციალისტი	sɔt͡siɑlistʼi
ღული	ɣuli
ფაეტონი	pʰɑɛtʼɔni
ხუთოცი	xutʰɔt͡si
მჭრელი	mt͡ʃʼrɛli
ნობელიუმი	nɔbɛliumi
მარცხნივ	mɑrt͡sxniv
სამეფომ	sɑmɛpʰɔm
ყიდვა	qʼidvɑ
მფრინველი	mpʰrinvɛli
ყვაოდეს	qʼvɑɔdɛs
პლანეტარული	pʼlɑnɛtʼɑruli
მინერალოგია	minɛrɑlɔɡiɑ
კარიერა	kʼɑriɛrɑ
ავი	ɑvi
პირდაღებული	pʼirdɑɣɛbuli
სტიქიური	stʼikʰiuri
ყმაწვილობა	qʼmɑt͡sʼvilɔbɑ
ალო	ɑlɔ
ცოდვილად	t͡sɔdvilɑd
კვეთა	kʼvɛtʰɑ
ტკივილს	tʼkʼivils
გადაწერეთ	ɡɑdɑt͡sʼɛrɛtʰ
გრაციოზულად	ɡrɑt͡siɔzulɑd
ფრიზი	pʰrizi
აქროლადობა	ɑkʰrɔlɑdɔbɑ
კულული	kʼululi
ვიკიპედიად	vikʼipʼɛdiɑd
დამდგარი	dɑmdɡɑri
ოქრიაშვილი	ɔkʰriɑʃvili
ასპირინი	ɑspʼirini
წყნარად	t͡sʼqʼnɑrɑd
ჩიტი	t͡ʃitʼi
ავიაკომპანია	ɑviɑkʼɔmpʼɑniɑ
უმთვარო	umtʰvɑrɔ
პათოლოგია	pʼɑtʰɔlɔɡiɑ
დეზი	dɛzi
ეტიმოლოგიური	ɛtʼimɔlɔɡiuri
ლუდი	ludi
ასაკი	ɑsɑkʼi
ყაჩაღი	qʼɑt͡ʃɑɣi
დაბა	dɑbɑ
მუფთა	mupʰtʰɑ
ტავტოლოგია	tʼɑvtʼɔlɔɡiɑ
პაროლი	pʼɑrɔli
ბიოლოგიამ	biɔlɔɡiɑm
ნაღები	nɑɣɛbi
რეტროსპექტულად	rɛtʼrɔspʼɛkʰtʼulɑd
მეხოტბე	mɛxɔtʼbɛ
ხელოვნება	xɛlɔvnɛbɑ
მარგალიტი	mɑrɡɑlitʼi
თანასწორობა	tʰɑnɑst͡sʼɔrɔbɑ
მარილიანობა	mɑriliɑnɔbɑ
ძირთეთრა	d͡zirtʰɛtʰrɑ
თავს	tʰɑvs
გაიჭაჭებიან	ɡɑit͡ʃʼɑt͡ʃʼɛbiɑn
ობსტრუქცია	ɔbstʼrukʰt͡siɑ
აგებს	ɑɡɛbs
ინფექციურად	inpʰɛkʰt͡siurɑd
საიმედოდ	sɑimɛdɔd
შუალედი	ʃuɑlɛdi
დღე	dɣɛ
