خطابت	xətˈaːbət
والے	ʋˈaːleː
بیرئیرز	bˌeːrˈiːrz
محراب	mɛhrˈaːb
زیورخ	zeːˈoːrəx
کنارے	kənˈaːreː
مد	mˈʌd
جاگرا	ɟˈaːɡrˌaː
کورائی	koːrˈaːi
چیئرمینز	ceːˈarmˌiːnəz
بالکل	bˈɪlkˌʊl
لڑی	lˈʌr.i
پروپوز	pˌəroːpˈoːz
سکاٹ	səkˈaːʈ
سراوٴں	sˈiːnrˈeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnɣʊnnˌa
جڑے	ɟˈʌr.eː
حملہامیر	hˌəməlhaːmˈiːr
احمدکے	ˈɛhmədkeː
رگڑ	rˈʌɡər.
طاہرہ	tˈaːhəra
منایا	mənˈaːjaː
محرومیوں	mɛhrˈuːmiˌõː
ریزنگ	rˈeːzənɡ
لگ	lˈʌɡ
کیپشن	kˈeːpəʃˌən
سزایافتہ	sˌəzaːjˈaːftˌa
جادوئی	ɟaːdˈoːi
ٹین	ʈˈeːn
سینئرصوبائی	sˌeːnərʂˈuːbaːˌiː
دھندے	dʰˈʌndeː
ٹماٹروں	ʈəmˈaːʈrˌõː
سدرن	sˈʌdərˌən
دھمکیاں	dʰəmˈʌkjãː
آفسران	ˌaːfəsrˈaːn
کرنسی	kərˈʌnsi
پرزوردیا	pˌərzoːrdˈiːaː
خانپور	xˈaːnpoːr
اکر	ˈakər
کانچ	kˈaːnc
اللھم	ˈaləlˌəhəm
اوربنگلہ	ˈoːrəbˌənəɡˌəlˌa
حول	hˈoːl
ڈاکومارے	ɖˌaːkoːmˈaːreː
ظت	ʐˈʌt
موٹر	mˈoːʈər
کریکٹر	kərˈeːkʈər
پامال	paːmˈaːl
اورآئندہ	oːrˈaːɪndˌa
بنایاجا	bˌənaːjˈaːɟaː
شہرام	ʃˈɛhraːm
گستاخیوں	ɡˌəstˈaːxiˌõː
بھٹے	bʰˈʌʈeː
کلاسز	klˈaːsz
کریمیں	kərˈiːmẽː
خطہ	xˈɪta
اکاوٴنٹنٹس	ˈalɪfkˈaːfˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnʈˈeːnˈuːnʈˈeːsˈiːn
نیہ	nˈeːa
دلیل	dəlˈiːl
کیریبیئن	kˌeːribiˈɪn
فنچ	fˈʌnc
خلل	xˈʌləl
کانسی	kˈaːnsi
سرمائی	sˌərmˈaːi
لمحے	lˈʌmhˌeː
کلہاڑی	kʊlhˈaːr.i
یرغمالیوں	jˌərəɣmˈaːliˌõː
نیگلیریا	nˌeːɡlˈiːrjaː
برفی	bˈʌrfˌiː
بدلتے	bˈʌdəlteː
ریزولیشن	rˌeːzoːleːʃˈan
قمار	qəmˈaːr
روٹھی	rˈoːʈʰi
گراؤنڈمیں	ɡˌəraːˈoːnɖəmˌẽː
کشید	kəʃˈiːd
کاٹھ	kˈaːʈʰ
یارومددگار	jˌaːroːmˌədədɡˈaːr
فائرنگکراچی	fˌa͡ɪrənˌəɡəkrˈaːci
گھیراوٴ	ɡˈaːfdɔcˈaʃmihˌeːcʰoːʈˈiːjeːrˈeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːr
توڑتا	tˈoːr.tˌaː
موقعے	mˈoːqeː
افرادگرفتاری	ˌafrˌaːdəɡˌərəftˈaːri
جواہرات	ɟˈaʋaːhˌərˌaːt
دارومدار	dˌaːroːmdˈaːr
شتہ	ʃˈʌta
غیرمعیاری	ɣˌeːrmaːjˈaːri
فرہاد	fˌərhˈaːd
دوا	dˈaʋaː
نوالے	nˈaʋaːlˌeː
موٹائی	moːʈˈaːi
طرابلس	tərˈaːbəlˌəs
لگیں	lˈʌɡẽː
جوہڑوں	ɟˈoːhr.õː
احرار	ɛhrˈaːr
کاقندیل	kˌaːqndˈiːl
میزائلوں	meːzˈa͡ɪlõː
بچنا	bˈʌcnˌaː
بجانا	bəɟˈaːnaː
پہیہ	pəhˈiːa
تہکال	tˈɛhkaːl
دیگ	dˈeːɡ
تالیوں	tˈaːliˌõː
بہترہے	bˈɛhtərheː
کترینہ	kˌətrˈiːnˌa
بجتی	bˈʌɟtˌiː
چپک	cɪpˈak
آرکے	ˈaːrkˌeː
گورنراسٹیٹ	ɡˌaʋarnarˈaːsʈiʈ
قرضہ	qˈʌrəza
واڈا	ʋˈaːɖaː
یکجہتی	jˌəkəɟˈati
بھجن	bʰˈʌɟən
قہقہہ	qˈʌhəqˌəhəˌa
لائٹس	lˈa͡ɪʈs
سیکشن	sˈeːkʃan
منایاگیا	mˌənaːjˈaːɡjaː
داریوں	dˈaːriˌõː
ڈالرمالیت	ɖˌaːlərmaːliˈat
ارپیتا	ˌarpˈiːtaː
ہرٹز	hˈʌrʈəz
دکھانا	dəkʰˈaːnaː
فرینک	fərˈiːnək
ناہمواری	nˈaːhmʋaːrˌiː
عز	ˈaz
مدیحہ	mədˈiːhəˌa
ہلی	hˈʌli
تراشی	tərˈaːʃi
عاصم	ˈaːʂəm
شہرمیں	ʃˈɛhrəmˌẽː
وائتھ	ʋˈa͡ɪtʰ
اونر	ˈoːnər
خنجر	xˈʌnɟər
اسکائی	ˌaskˈaːi
تودوسری	toːdˈoːsrˌiː
سفارتخانے	sɪfˈaːratxˌaːneː
پچھتاوے	pˌəcʰtˈaːʋeː
ابلتے	ʊbˈalteː
جڑوں	ɟˈʌr.õː
متاثرکن	mətˈaːsərˌəkən
برنارڈینو	bˌərnˈaːrɖinˌoː
الحق	ˌʊlhˈaq
گاڑھا	ɡˈaːr.haː
لیانگ	ljˈaːnɡ
پھیل	pʰˈeːl
لدین	lədˈiːn
نیکسٹ	nˈeːkˌɪsʈ
بہانہ	bəhˈaːnˌa
نفرتوں	nˈʌfərtõː
اورسید	ˌoːrsˈiːd
روما	rˈoːmaː
بیوگان	bˌeːoːɡˈaːn
پریشد	pərˈiːʃəd
ساندہ	sˈaːnda
تمیز	təmˈiːz
مصلحت	mˈaʂlɪhˌat
دھماکےمناواں	dʰˌəmaːkˌeːmnˈaːʋãː
آبپاشی	ˌaːbpˈaːʃi
فوارہ	faʋˈaːrˌa
کرواکے	kərʋˈaːkeː
نسخے	nˈʊsxeː
شروف	ʃərˈoːf
فوٹوسیشن	fˌoːʈoːseːʃˈan
معظمہ	mˌʊaʐˈama
پہلا	pˈɛhlaː
بصیرت	bəʂˈiːrət
وزیرزراعت	ʋˌəzirˌəzrˈaːat
ابتری	ˈabətri
وشال	ʋəʃˈaːl
امیدیں	ʊmˈiːdẽː
ریگولیٹرز	rˌeːɡoːliʈˈʌrz
لازوال	lˈaːzʋaːl
رفحان	rˌəfhˈaːn
ٹکرسے	ʈˈʌkərseː
سنتا	sˈʊntaː
باد	bˈaːd
کہا	kˈʌhaː
قلمی	qˈʌlmˌiː
کوسانپوں	koːsˈaːnpõː
دبایا	dəbˈaːjaː
رپورٹیں	rɪpˈoːrʈẽː
ویڈنگ	ʋˈeːɖɪnɡ
پرکاش	pˌərkˈaːʃ
انڈرگریجویٹ	ˌanɖərˌəɡrˈiːɟʋiʈ
ڈیوائن	ɖeːʋˈa͡ɪn
ہوں	huːn
موبائیل	mˌoːbaːˈiːl
شکایت	ʃˌɪkaːjˈat
الرشید	alrəʃˈiːd
نمایا	nˈʊmaːjˌaː
سرگرداں	sarɡˈardãː
فورموں	fˈoːrmˌõː
رفو	rˈafuː
رکتے	rˈʊkteː
عبدالجبار	ˌabdˌaːləɟbˈaːr
دوہرایا	dˈoːhraːjˌaː
ملکی	mˈʊlkˌiː
الخبر	alxˈʌbər
جلتا	ɟˈʌltˌaː
جھکائیں	ɟʰʊkˈaːẽː
تیکنیکی	tˌeːknˈiːki
سوارنوجوان	sˌaʋaːrnˈoːɟʋaːn
شتروگھن	ʃˌətrˈoːɡʰən
چھپوانے	cʰəpʋˈaːneː
ڈرتا	ɖˈʌrtˌaː
کسمپرسی	kəsˈʌmpərsi
کہاگیا	kəhˈaːɡjaː
رونما	rˈoːnmˌaː
سار	sˈaːr
ریسر	rˈeːsər
کوالالمپور	kˌʊaːlˌaːlmpˈoːr
نورین	noːrˈiːn
یوٹی	jˈɔʈi
سد	sˈʌd
لاری	lˈaːri
گروہوں	ɡɪrˈoːhõː
فور	fˈoːr
ڈیوائسسز	ɖeːʋˈa͡ɪsəsˌəz
ایڈٹ	ˈeːɖəʈ
آرم	ˈaːrəm
العاص	alˈaːʂ
فتنہ	fˈɪtna
دعوتی	daːˈoːti
جھوٹ	ɟʰˈuːʈ
شکوہ	ʃˈɪkʋa
بھیگ	bhˈiːɡ
ایڈوائزی	ˈeːɖʋa͡ɪzˌiː
رقم	rˈʌqəm
وابستگی	ʋaːbˈastɡi
محکمۂ	mˌeːheːkmˈaeː
فلپائنی	fˌəlpˈaːni
ریورس	reːˈoːrəs
راحیل	raːhˈiːl
ٹیمپرنگ	ʈˈiːmpərˌɪnɡ
موچی	mˈoːci
ٹھیلے	ʈʰˈeːleː
نفاست	nəfˈaːst
عبدالواحد	ˌabdˈaːlʋaːhˌɪd
کوجلد	kˈoːɟəlˌəd
دکھی	dˈʌkʰi
ایبل	ˈeːbəl
اوربیٹی	ˌoːrbˈiːʈi
صر	ʂˈʌr
فیفا	fˈeːfaː
اجزاء	ˈaɟzˌaː
فلک	fˈʌlək
متشدد	mˌʊtaʃˈadːɪd
سونڈ	sˈoːnɖ
فارمنس	fˌaːrəmˈʌns
سیکھنا	sˈiːkʰnaː
ایمونیشن	ˌeːmoːneːʃˈan
پارٹیاں	pˈaːrʈjãː
فائلیں	fˈa͡ɪlẽː
سلنڈروں	səlˈʌnɖərˌõː
نمبروں	nˈʌmbərˌõː
پولیومہم	pˌoːleːˈoːməhˌəm
پرگفتگو	pˈʌrəɡˌəfətɡoː
جیسے	ɟˈeːseː
اگران	ˌaɡrˈaːn
اسپریڈ	ˌɪspərˈiːɖ
انارکی	anˈaːrkˌiː
تفصیلات	tˌəfʂˌiːlˈaːt
سامبا	sˈaːmbaː
تفکر	tafˈakːʊr
دوسرے	dˈuːsreː
رہا	rˈʌhaː
پرمکمل	pˈʌrəmˌəkəmˌəl
پرسابق	pˌərsˈaːbəq
اتاترک	atˈaːtərˌək
روشن	rˈoːʃən
ظلم	ʐˈʊlm
سودو	sˈoːdoː
قندھاری	qəndʰˈaːri
خیرمقدم	xɛːrmˈaqdam
کچلنے	kˈʌcəlneː
گہانی	ɡəhˈaːni
دھاتیں	dʰˈaːtẽː
دسویں	dˈʌsʋẽː
کنال	kənˈaːl
وآلہ	ʋˈaːlˌa
پیاسا	pjˈaːsaː
چمکانا	cˌəmkˈaːnaː
کوواپس	kˈaʋʋaːpˌəs
روت	rˈoːt
چلتے	cˈʌltˌeː
بمپر	bˈʌmpər
دریا	dˈʌrjaː
البم	ˈalbam
کولگام	kˌoːlɡˈaːm
نسوار	nəsʋˈaːr
مجدد	mˈʌɟədˌəd
منسٹری	mˈʌnsʈərˌiː
کاپٹرکے	kˈaːpəʈˌərkˌeː
توکوئی	toːkˈoːi
ندوی	nˈʌdʋi
بقایاجات	bˌəqaːjˌaːɟˈaːt
چیئر	ceːˈar
گیڈر	ɡˈeːɖər
اورانھیں	oːrˈaːnhẽː
تووہ	tˈaʋʋəˌa
وسیع	ʋˈʌsi
زا	zˈaː
جیلیں	ɟˈeːlẽː
تبدیل	tˌəbdˈiːl
وابسطہ	ʋˈaːbəsˌətˌa
ئٹہ	ʈˈʌa
العرب	alˈarəb
پریمیئرلیگ	pˌərimiˈarlˌiːɡ
نثر	nˈasr
محاورے	məhˈaːʋrˌeː
نبھائے	nɪbʰˈaːeː
چیئرنگ	ceːˈarɪnɡ
جوہی	ɟˈoːhi
تحصیلوں	tɛhʂˈiːlõː
بھینٹ	bʰˈeːnʈ
ادائیگیوں	ˌadaːˈiːɡiˌõː
سال	sˈaːl
نچا	nˈʌcaː
سٹرکیں	sˈʌʈərkẽː
تمناؤں	tamˈannaːˌoːn
حملہمولانا	hˌəməlhmoːlˈaːnaː
اورسعودی	ˌoːrsaːˈoːdi
سرٹیفیکٹس	sˌərʈifˈeːkʈs
اسرانی	ˌasrˈaːni
تنائو	tənˈaːoː
پہنچتی	pahˈʊncti
پھولوں	phˈuːlõː
جاگنا	ɟˈaːɡnˌaː
جانیے	ɟˈaːnjeː
ہسپتا	hˈʌsəptaː
تواریخ	tˈaʋaːrˌiːx
مختیاری	məxtjˈaːri
کاغیر	kaːɣˈiːr
اشدضرورت	ˌaʃədzarˈuːrt
حرکت	hˈarkat
لکھیں	lˈɪkʰẽː
معدوم	mˈaːduːm
بھیانک	bʰjˈaːnək
ایڈوبی	eːɖˈoːbi
انفنٹری	ˈanəfˌənəʈri
ارضیاتی	ˌarzjˈaːti
اورمتعدد	ˌoːrəmtˈaːdəd
میزبان	mˌeːzbˈaːn
میتھی	mˈeːtʰi
ڈینسٹی	ɖˈeːnsʈi
گذارش	ɡʊzˈaːrəʃ
دیہی	dˈeːhi
مزید	məzˈiːd
ایڈمشن	ˈeːɖəmˌəʃən
ہارر	hˈaːrɪr
سیریزکی	seːrˈiːzkˌiː
گلبرگہ	ɡˈʊlbərˌəɡˌa
میگزیمیم	mˌeːɡzimˈiːm
کراچکے	kərˈaːckˌeː
امیدواریاسین	ʊmˈiːdʋaːrjˌaːsin
فضلہ	fˈʌzəla
ہڑتالیں	hˌər.tˈaːlẽː
بتاؤں	bˌətaːˈoːn
زاحمد	zˈaːhəmˌəd
وارانسی	ʋaːrˈaːnsi
کرگئیں	kˌərɡˈain
کھائیں	kʰˈaːẽː
آرٹسٹ	ˈaːrʈəˌɪsʈ
تیارکرلیا	tˌaiˈaːrkərljaː
دستر	dˈastar
نذر	nˈazr
ونگ	ʋˈɪnɡ
ڈگ	ɖˈʌɡ
فنڈ	fˈʌnɖ
ٹوٹی	ʈˈuːʈi
روبرٹا	roːbˈʌrʈaː
دادہ	dˈaːda
دھکم	dʰˈʌkəm
سوئپ	soːˈɪp
رے	rˈeː
سرکار	sˌərkˈaːr
شخص	ʃˈaxʂ
نچوڑنے	nɪcˈoːr.neː
جمع	ɟˈʌmaː
گھن	ɡʰˈʌn
زخمیو	zˌəxmˈeːoː
کاغان	kaːɣˈaːn
استطاعت	ˌɪstɪtˈaːat
زمینیں	zəmˈiːnẽː
عامیانہ	ˈaːmjaːna
شعوربیدار	ʃaˈuːrbidˌaːr
کشی	kˈʌʃi
ڈالتا	ɖˈaːltˌaː
آفرز	aːfˈʌrz
ادراہ	ˌadrˈaːh
مناسک	mənˈaːsək
خصوصیات	xʊʂˈuːʂiˌaːt
والڈسٹی	ʋˈaːlɖəsʈˌiː
باطل	bˈaːtɪl
دادو	dˈaːdoː
اپارٹمنٹ	apˈaːrʈəmˌənʈ
سنجے	sˈʌnɟeː
ریذیڈنسی	rˌeːziɖˈʌnsi
کشور	kɪʃʋˈar
دوریاں	dˈoːrjãː
روحوں	rˈuːhõː
وتھرا	ʋˈʌtʰrˌaː
انسا	ˈansaː
پرتھوی	pərˈʌtʰʋi
صہیونیت	ʂˌəheːˌoːniˈat
پوتیوں	pˈoːtiˌõː
مانا	mˈaːnaː
کوشاں	kˈoːʃãː
ڈائس	ɖˈa͡ɪs
معاملے	mˈaːmlˌeː
چوبیسویں	coːbˈiːsʋẽː
خوروں	xˈoːrõː
وطیرہ	ʋətˈiːrˌa
لیں	lˈẽ
اوکے	ˈoːkeː
ہوجن	hˈoːɟən
چیمپنز	cˈeːmpənˌəz
سواء	sˈaʋaː
سندر	sʊndˈar
پربہت	pˈʌrəbˌəhət
آگسٹا	aːɡˈʌsʈaː
شکست	ʃɪkˈast
جاتاہے	ɟaːtˈaːheː
سکالر	səkˈaːlɪr
ملازمینکراچی	mˌʊlaːzˌɪminˌəkrˈaːci
کرسکیں	kˈarsakˌẽː
بارآور	bˌaːraːˈoːr
چارگی	cˈaːrɡˌiː
پریڈ	pərˈiːɖ
کمیٹی	kəmˈiːʈi
چنگیز	cˌənɡˈiːz
نوویک	nˈaʋʋik
نپی	nˈʌpi
ایسٹ	ˈiːsʈ
سناکشی	sənˈaːkʃˌiː
شائستگی	ʃaːˈɪstɡi
اگین	aɡˈiːn
جیٹ	ɟˈeːʈ
مسحور	mˌəshˈuːr
وحضرات	ʋˌəhəzˌərˈaːt
پاکستانسانحہ	pˌaːkəstˈaːnsaːnˌəhəˌa
زندگیاں	zˈɪndɡjãː
اگلا	ˈaɡlˌaː
بوقت	bˈoːqət
مینیا	mˈeːnjaː
حرہت	hˈʌrəhˌət
مفاہمت	mʊfˈaːhɪmˌət
ساہی	sˈaːhi
چابیاں	cˈaːbjãː
غائر	ɣˈa͡ɪr
اگروال	ˌaɡrʋˈaːl
فنکارائیں	fˌənkaːrˈaːẽː
اعتدال	ˈeːtɪdˌaːl
میٹریل	mˌeːʈrˈiːl
اہکار	ˈahkaːr
دھماکےچوہدری	dʰˌəmaːkeːcˈoːhədri
فطر	fˈɪθr
اختلافات	ˌɪxtɪlˌaːfˈaːt
صدائیں	ʂədˈaːẽː
ڈینز	ɖˈeːnəz
میتھڈ	mˈeːtʰəɖ
پاؤنڈ	paːˈoːnɖ
حوالات	haʋˈaːlaːt
پہر	pˈɛhɛr
پنجم	pˈʌnɟəm
نگی	nˈʌɡi
موڑا	mˈoːr.aː
محمدشہباز	mˌəhəmˌədəʃhbˈaːz
قبول	qʊbˈuːl
پانسہ	pˈaːnsəˌa
افعانستان	ˌafaːnɪstˈaːn
چھپائیں	cʰəpˈaːẽː
تحسین	tɛhsˈiːn
کماؤ	kəmˈaːoː
سوچ	sˈoːc
بلڈپریشر	bˌəlɖəprˈiːʃər
پاشاہ	paːʃˈaːh
چھاتی	cʰˈaːti
گردونوا	ɡərdˈoːnʋaː
لوٹی	lˈoːʈi
اگلی	ˈaɡlˌiː
ڈونرز	ɖoːnˈʌrz
نابالغ	naːbˈaːlɪɣ
گیپکو	ɡˈeːpkˌoː
اسکواڈز	ɪskʋˈaːɖz
تحریکوں	tɛhrˈiːkõː
گوڑہ	ɡˈoːr.ˌa
خصو	xˈʌʂoː
مائیک	maːˈiːk
سنو	sˈʊnoː
سائٹوں	sˈa͡ɪʈõː
فلپ	fˈʌləp
چھاپے	cʰˈaːpeː
ڈاکٹرشاھدمسعود	ɖaːkʈˈarʃaːhˌədəmsaːˌoːd
فلسفیانہ	falsˈafjaːna
جانتی	ɟˈaːntˌiː
یدیدی	jədˈiːdi
دلوایا	dɪlʋˈaːjaː
بہاراں	bəhˈaːrãː
کانسٹیبلان	kˈaːnsʈiblaːn
واے	ʋˈaːeː
موم	mˈoːm
یونیفارم	jˌɔnifˈaːrəm
صلوۃ	ʂəlˈoːt
رضائیاں	rəzˈaːjãː
باکس	bˈaːks
جواہر	ɟˈaʋaːhˌər
گاما	ɡˈaːmaː
پیچیدہ	peːcˈiːda
تولہ	tˈoːlˌa
مارکس	mˈaːrəkˌəs
کراسکتی	kərˈaːsəkti
خدشے	xˈʌdʃˌeː
صیہونیوں	ʂeːhˈoːniˌõː
یزید	jəzˈiːd
مصیبتیں	məʂˈiːbtˌẽː
گاڑھی	ɡˈaːr.hi
گلوکاری	ɡˌəloːkˈaːri
شنا	ʃˈʌnaː
پائونڈ	paːˈoːnɖ
مچ	mˈʌc
وہم	ʋˈɛhɛm
امیدہے	ʊmˈiːdheː
پاکیزہ	paːkˈiːzˌa
قابلیت	qˈaːbɪlˌiːat
بصرہ	bˈʌʂəra
الغامدی	alɣˈaːmdˌiː
بھومی	bʰˈoːmi
ایمپاورمنٹ	ˈeːmpaːʋˌərəmˌənʈ
بلوایا	bəlʋˈaːjaː
اورقتل	ˈoːrəqˌətəl
برکتوں	bˈarkatˌõː
قتدار	qˌətdˈaːr
ڈیلیوری	ɖˌeːleːˈoːri
مورائی	moːrˈaːi
رہبر	rˈɛhbər
لاد	lˈaːd
فریزر	fərˈiːzər
میٹھادر	miʈʰˈaːdər
اچھالی	ʊcʰˈaːli
ورلڈکپ	ʋərˈʌlɖəkˌəp
حق	hˈʌq
کریموف	kˌərimˈoːf
کمرے	kˈʌmrˌeː
جہالت	ɟəhˈaːlət
چپ	cˈʊp
سمیٹیں	səmˈiːʈẽː
مالکہ	mˈaːləka
چکسواری	cˌəksʋˈaːri
کرچکاہے	kˌərcəkˈaːheː
واڑہ	ʋˈaːr.ˌa
پیشنگوئی	pˌeːʃənɡˈoːi
مناسبت	mˌʊnaːsɪbˈat
ذیا	zjˈaː
کوبلوچستان	kˌoːblˌoːcɪstˈaːn
بآسانی	baːsˈaːni
سواریاں	saʋˈaːrjãː
زہرہ	zˈɛhrəˌa
فراد	fərˈaːd
جنداللہ	ɟəndˈaːləla
رضی	rˈʌzi
کرہے	kˈʌrhˌeː
جیوے	ɟˈeːʋeː
روزبروز	rˌoːzəbrˈoːz
تعاؤن	taːˈoːn
حما	hˈʌmaː
بالنگ	bˈaːlənɡ
فضائیہ	fˌəzaːˈiːa
طیارہ	tˌaiˈaːra
کیاہے	kjˈaːheː
اگائی	aɡˈaːi
قدم	qˈʌdəm
سائیٹس	saːˈiːʈs
منورہ	mʊnˈaʋʋarˌa
خال	xˈaːl
علاقائی	ˌɪlaːqˈaːi
ورغلا	ʋˈʌrəɣlaː
جسوال	ɟəsʋˈaːl
معالجے	mˈaːlɟˌeː
دیوتا	deːˈoːtaː
کاچی	kˈaːci
بیل	bˈeːl
منصوبہ	mˌənʂˈuːba
پیئر	peːˈar
معاہدے	mʊˈaːhɪdˌeː
سیکھا	sˈiːkʰaː
پربھارت	pˌərbʰˈaːrət
کرملک	kˈʌrəmˌələk
سامرا	sˈaːmrˌaː
منڈوا	mˈʊnɖʋaː
اورجہاں	ˈoːrəɟhãː
علاقوں	ɪlˈaːqõː
شام	ʃˈaːm
ئیں	ˈẽ
معاندانہ	mˌʊaːnɪdˈaːnˌa
روڑ	rˈoːr.
فرش	fˈarʃ
جموں	ɟˈʌmõː
نہلانے	nˌɛhɛlˈaːneː
پروموٹر	proːmˈoːʈər
حمائمہ	həmˈa͡ɪmˌa
دیکھائیں	deːkʰˈaːẽː
ریٹائرڈ	reːʈˈa͡ɪrɖ
ہوا	hˈuːaː
ڈائننگ	ɖˈa͡ɪnɪnɡ
لینس	lˈeːns
سینیٹرسعید	sˌeːniʈˌərsaˈiːd
پوسٹیں	pˈoːsʈẽː
ٹولہ	ʈˈoːlˌa
پھینکا	pʰˈeːnkˌaː
ہمیش	həmˈiːʃ
ایجنسی	eːɟˈʌnsi
چدم	cˈʌdəm
انڈکس	ˈanɖəkˌəs
بیز	bˈeːz
ٹرافی	ʈrˈaːfi
اورمحب	ˈoːrəmˌəhəb
روپوں	rˈoːpõː
دوسال	doːsˈaːl
چھوٹی	cʰˈoːʈi
حلیمہ	həlˈiːmˌa
ٹریٹی	ʈrˈeːʈi
کڑی	kˈʌr.i
سکتے	sˈʌktˌeː
باڑ	bˈaːr.
آمریتوں	ˌaːmrˈiːtõː
رینڈی	rˈeːnɖi
ورنگل	ʋˈʌrənˌəɡəl
لیزا	lˈeːzaː
ایکسرے	ˈeːkəsreː
جڑیں	ɟˈʌr.ẽː
یز	jˈʌz
بارشیں	bˈaːrʃˌẽː
ریوالور	rˌeːʋaːlˈoːr
بولان	boːlˈaːn
توآپ	taʋˈaːp
اورسانحہ	ˌoːrsˈaːnəhˌəa
قلات	qˌəlˈaːt
برٹ	bˈʌrʈ
بھجوائے	bʰəɟʋˈaːeː
عبداﷲ	ˈa͡ɪnbˈeːdˈaːlˈalɪfˈallaːh
نیٹوسپلائی	nˌeːʈoːsˌəplˈaːi
قطرے	qˈʌtrˌeː
آرتھو	ˈaːrtʰˌoː
اسلحہ	ˈaslahˌa
ایلٹن	ˈeːləʈˌən
ماجد	mˈaːɟɪd
عمرقید	ˈʊmrqid
سسیکس	səsˈiːkəs
شاپنگ	ʃˈaːpɪnɡ
ائنٹ	ˈa͡ɪnʈ
مائیکروبلاگنگ	mˌaːikroːblˈaːɡənɡ
لمپور	ləmpˈoːr
بندیا	bəndˈiːaː
گونوازگو	ɡˈoːnʋaːzɡoː
سرگودھامیں	sˌərɡoːdʰˈaːmẽː
منارہی	mənˈaːrhˌiː
باسٹھ	bˈaːsʈʰ
آزادکشمیرنے	ˌaːzaːdˌəkəʃmˈiːrnˌeː
ظہیر	ʐəhˈiːr
پکتے	pˈʌktˌeː
اسٹوکس	ɪsʈˈoːkəs
کامیابیاں	kaːmjˈaːbjãː
جناز	ɟənˈaːz
دیانت	djˈaːnət
ریوائز	reːʋˈa͡ɪz
جونیئر	ɟˌoːniˈar
اکاؤنٹ	ˌakaːˈuːnʈ
مم	mˈʌm
فطرہ	fˈɪθra
نوٹ	nˈoːʈ
کاکڑ	kˈaːkər.
اورکشمیری	ˌoːrəkˌəʃmˈiːri
وسیم	ʋəsˈiːm
دندان	dəndˈaːn
دبا	dˈʌbaː
کاواحد	kaːʋˈaːhɪd
سپرنگ	sprˈɪnɡ
آزادحکومت	ˌaːzaːdhˌʊkuːmˈat
گولہ	ɡˈoːlˌa
ڈھا	ɖʰˈaː
مکوں	mˈʌkõː
بعداز	bˈaːdaːz
سنسر	sˈʌnsər
بنو	bˈʌnoː
مولانافضل	mˌoːlaːnˈaːfəzˌəl
سودے	sˈoːdeː
ضرو	zˈʌroː
خیزمواد	xˌeːzmʋˈaːd
عذیر	azˈiːr
پربھر	pˈʌrəbʰˌər
واہ	ʋˈaːh
تاثردرست	taːsˈʌrdərˌəst
مجموعہ	mˌaɟmˈuːa
خورونوش	xˌoːroːnˈoːʃ
سائلین	sa͡ɪlˈiːn
وراٹ	ʋərˈaːʈ
دہری	dˈɔhri
ٹرائب	ʈrˈa͡ɪb
کرر	kˈʌrər
اجالا	ʊɟˈaːlaː
میریان	mˈeːrjaːn
باجوڑکے	baːɟˈoːr.kˌeː
کاسامنا	kaːsˈaːmnˌaː
کاہنگامی	kˌaːhənɡˈaːmi
آزاری	aːzˈaːri
چھوڑنی	cʰˈoːr.nˌiː
الکونین	alkoːnˈiːn
ٹیکنالوجیز	ʈˌeːknˌaːloːɟˈiːz
تو	tˈoː
جابر	ɟˈaːbɪr
چھیلنے	cʰˈeːlnˌeː
تنبیہہ	tənbˈiːhəˌa
افتتاحی	ˌɪtɪtˈaːhi
کیسینو	keːsˈiːnoː
دھکا	dʰˈʌkaː
پاسٹر	pˈaːsʈər
اولیائے	ˈoːljaːˌeː
مددوحمایت	mˌəddˌuːhəmaːjˈat
خوشامد	xˌʊʃaːmˈad
تعزیب	tˈaːzib
آقائے	aːqˈaːeː
اٹکانے	ˌaʈkˈaːneː
گیس	ɡˈeːs
نوازشریف	nˈaʋaːzˌəʃrˌiːf
معرکے	mˈaːrkˌeː
ہمار	həmˈaːr
ڈومکی	ɖˈoːmkˌiː
بھوجا	bʰˈoːɟaː
نظررکھتے	naʐˈarrəkʰteː
شرعی	ʃərˈai
بھونیشور	bʰˌoːniʃˈoːr
شہرکی	ʃˈɛhrəkˌiː
خیراتی	xeːrˈaːti
کھیرے	kʰˈiːreː
کشمکش	kˈaʃmakˌaʃ
جھمرہ	ɟʰˈʌməra
بلدی	bˈʌldˌiː
الذمہ	ˈʊzzɪmˌa
پٹھانی	pəʈʰˈaːni
مینیجر	mˌɛnɛɟˈar
دادیں	dˈaːdẽː
ثقافتوں	səqˈaːftˌõː
شنواری	ʃʊnʋˈaːri
کزئی	kˈʌzˌiː
پاٹیل	paːʈˈiːl
محکمے	meːhˈeːkmeː
ممبرقومی	mˌəmbərqˈoːmi
آسان	aːsˈaːn
ڈویژنل	ɖaʋˈiːʒənˌəl
ہیڈماسٹر	hˌeːɖmˈaːsʈər
اثرات	ˌasərˈaːt
راستہ	rˈaːstˌa
ٹوٹکے	ʈˈoːʈkˌeː
ڈالنی	ɖˈaːlnˌiː
