Əbüləsvar	æbylæsvˈar
məruz	mæɾˈuz
fotonun	fotonˈun
Arturun	artuɾˈun
üzvlərin	yzvlæɾˈin
çarpışmalar	t͡ʃarpɯʃmaɫˈar
etirazlarını	et͡siɾazɫaɾɯnˈɯ
oxdan	oxdˈan
örtüklər	œrtyçlˈær
müqaviləyə	myɡavilˈæjæ
Gül	ɟˈyl
nominasiyalarda	nominasijaɫardˈa
Məsləhətçi	mæslæhætt͡ʃˈi
izahatı	izahatˈɯ
istifadəçilərinin	istifadæt͡ʃilæɾinˈin
Leon	leˈon
doğurmayan	doːurmajˈan
rəsmində	ræsmˈindæ
qonaqların	ɡonaɡɫaɾˈɯn
Elsa	elsˈa
başçının	baʃt͡ʃɯnˈɯn
Cəzirə	d͡ʒæzˈiɾæ
sağdakı	saːdacˈɯ
personalının	personaɫɯnˈɯn
beş	bˈeʃ
sovxozunda	sovxozundˈa
şöbəsi	ʃœbæsˈi
Dağıstandakı	daːɯstandacˈɯ
salmaq	saɫmˈax
çaydan	t͡ʃajdˈan
səmanı	sæmanˈɯ
Həccac	hæd͡ʒd͡ʒˈad͡ʒ
İcmalar	id͡ʒmaɫˈar
seçərkən	set͡ʃærcˈæn
Beyt	bˈejt
yığcamlığı	jɯɯd͡ʒamɫɯɯˈɯ
günlüyə	ɟynlˈyjæ
versə	vˈersæ
Təhmasibi	tæhmasibˈi
cümləyə	d͡ʒymlˈæjæ
Konvensiyasının	convensijasɯnˈɯn
dərinliyindən	dæɾinlijindˈæn
redaktorlarından	redaçtorɫaɾɯndˈan
imtahanlara	imtahanɫaɾˈa
anlayan	anɫajˈan
radioda	radiodˈa
Junior	ʒuniˈor
re	rˈe
yayan	jajˈan
Suleyman	sulejmˈan
dururdu	duɾurdˈu
köləliyə	cœlælˈijæ
vəd	vˈæd
iyi	ijˈi
yüksəkliklərindən	jyçsæçliçlæɾindˈæn
qrammatika	ɡrammaticˈa
ləzzəti	læzzætˈi
əmiri	æmiɾˈi
qurum	ɡuɾˈum
batil	batˈil
Nihal	nihˈaɫ
qüllənin	ɡyllænˈin
ediliblər	ediliblˈær
idmanın	idmanˈɯn
Ətrafında	ætrafɯndˈa
dayanmalı	dajanmaɫˈɯ
metalın	metaɫˈɯn
Fərəcan	fæɾæd͡ʒˈan
Ardanış	ardanˈɯʃ
irqinin	irɡinˈin
Senatda	senatdˈa
Müasirləri	myasirlæɾˈi
qatillərinin	ɡatillæɾinˈin
qopur	ɡopˈur
Montrö	montrˈœ
gözlədiyindən	ɟœzlædijindˈæn
kasad	casˈad
şirkətinə	ʃircætˈinæ
genişləndirmişdir	ɟeniʃlændirmiʃdˈir
Nəsrəddin	næsræddˈin
İbrahimə	ibrahˈimæ
əyyaş	æjjˈaʃ
damarların	damarɫaɾˈɯn
qarışqalar	ɡaɾɯʃɡaɫˈar
Palmiranın	paɫmiɾanˈɯn
TOEFL	toˈefl
Europa	euɾopˈa
tonusunu	tonusunˈu
keçib	cet͡ʃˈib
Problemlər	problemlˈær
effektləri	effeçtlæɾˈi
universitetlərindən	universit͡setlæɾindˈæn
Tunisdə	tunˈisdæ
tökməsi	tœçmæsˈi
icazə	id͡ʒˈazæ
Cümhuriyyətində	d͡ʒymhuɾijjætˈindæ
çirkab	t͡ʃircˈab
AV	ˈav
uzaqlaşa	uzaɡɫaʃˈa
işlədərək	iʃlædæɾˈæç
portreti	portret͡sˈi
Qogenin	ɡoɟenˈin
Adanada	adanadˈa
Gərşəsb	ɟærʃˈæsb
gətirdiyini	ɟætirdijinˈi
transferi	transfeɾˈi
hadisənin	hadisænˈin
Cənnətdən	d͡ʒænnætdˈæn
milyondur	miljondˈur
türkcəsinə	tyrçd͡ʒæsˈinæ
aşılanmış	aʃɯɫanmˈɯʃ
Lindley	lindlˈej
müstəmləkəçilər	mystæmlæcæt͡ʃilˈær
Kopetdağ	copetdˈaː
yiyəsi	jijæsˈi
Assosasiyası	assosasijasˈɯ
ilhamlanan	ilhamɫanˈan
Kleopatranın	çleopatranˈɯn
əqidəyə	æɡidˈæjæ
Aşıqlı	aʃɯɡɫˈɯ
meydançaya	mejdant͡ʃajˈa
melodiya	meɫˈodia
lideri	lideɾˈi
beldən	beldˈæn
Berta	bertˈa
ili	ilˈi
əv	ˈæv
Balo	baɫˈo
müttəfiqlik	myttæfiɡlˈiç
formatına	formatɯnˈa
eden	edˈen
üçtərəfli	yt͡ʃtæɾæflˈi
sönmüş	sœnmˈyʃ
bacarmalıdır	bad͡ʒarmaɫɯdˈɯr
belini	belinˈi
nöqtənin	nœɡtænˈin
evidir	evidˈir
Mühasirənin	myhasiɾænˈin
sadəliyinə	sadælijˈinæ
materikdə	mateɾˈiçdæ
Peyğəmbərlər	pejɣæmbærlˈær
kadrlarla	cadrɫarɫˈa
finalında	finaɫɯndˈa
yaradılmasını	jaɾadɯɫmasɯnˈɯ
mənşədən	mænʃædˈæn
idda	iddˈa
mükafatlandırılır	mycafatɫandɯɾɯɫˈɯr
ixtisaslaşmışdır	ixtisasɫaʃmɯʃdˈɯr
perspektivlidir	perspeçtivlidˈir
sevmirlər	sevmirlˈær
əngəl	ænɟˈæl
eih	eˈih
sənətini	sænætinˈi
Veteranları	vet͡seɾanɫaɾˈɯ
Şeir	ʃeˈir
sxeminə	sxemˈinæ
Qumuq	ɡumˈux
həcminin	hæd͡ʒminˈin
Qazançı	ɡazant͡ʃˈɯ
yunan	junˈan
Şinkayın	ʃincajˈɯn
səlahiyyətlərindən	sæɫahijjætlæɾindˈæn
Austin	austˈin
səthə	sˈæthæ
zədələnmə	zædælˈænmæ
Mənzərin	mænzæɾˈin
hündürlüyündədir	hyndyrlyjyndædˈir
versiyanın	versijanˈɯn
dişli	diʃlˈi
Dəmiryol	dæmirjˈoɫ
Palmira	paɫmiɾˈa
Rəhbərlik	ræhbærlˈiç
tutsa	tutsˈa
təngə	tˈænɟæ
İstifadəyə	istifadˈæjæ
əruz	æɾˈuz
Dövlətləri	dœvlætlæɾˈi
nümayişi	nymajiʃˈi
Təlim	tælˈim
Finala	finaɫˈa
Müəssisə	myæssˈisæ
döyüşmüşdür	dœjyʃmyʃdˈyr
Qüdsə	ɡˈydsæ
yararlı	jaɾarɫˈɯ
bayramda	bajramdˈa
işçidir	iʃt͡ʃidˈir
Ənənə	ænˈænæ
iliyi	ilijˈi
Səmədov	sæmædˈov
qaynaqlarında	ɡajnaɡɫaɾɯndˈa
səbəbiylə	sæbæbˈijlæ
qaytara	ɡajtaɾˈa
amillərdir	amillærdˈir
Tivi	tivˈi
şeyin	ʃejˈin
İppolit	ippolˈit
cümlələrdən	d͡ʒymlælærdˈæn
kütləsinə	cytlæsˈinæ
Nasist	nasˈist
quruluşlarında	ɡuɾuɫuʃɫaɾɯndˈa
indiyənə	indijˈænæ
gillicə	ɟillˈid͡ʒæ
Təbiətdən	tæbiætdˈæn
fərqlərdən	færɡlærdˈæn
təminatında	tæminatɯndˈa
qlikol	ɡlicˈoɫ
cızır	d͡ʒɯzˈɯr
Mətanət	mætanˈæt
premyerasını	premjeɾasɯnˈɯ
Thomas	thomˈas
hektardan	heçtardˈan
Kolçakın	coɫt͡ʃacˈɯn
əvvəlkilərdən	ævvælcilærdˈæn
Məcmuə	mæd͡ʒmˈuæ
geyşa	ɟejʃˈa
gedişində	ɟediʃˈindæ
silaha	siɫahˈa
polislərə	polislˈæɾæ
Zağalı	zaːɫˈɯ
Anadan	anadˈan
Drakulanın	dracuɫanˈɯn
pozulmasına	pozuɫmasɯnˈa
məhkəmələrin	mæhcæmælæɾˈin
Əbəs	æbˈæs
yarpaqlar	jarpaɡɫˈar
məmurlar	mæmurɫˈar
uyğunsuzluğu	ujɣunsuzɫˈuː
vəzifələrindən	væzifælæɾindˈæn
kilometrlik	ciɫometrlˈiç
əlbəyaxa	ælbæjaxˈa
Şarki	ʃarcˈi
əcaib	æd͡ʒˈa͡ɪb
ölkələrini	œlcælæɾinˈi
əyalətlərdə	æjalætlˈærdæ
prezidentli	prezidentlˈi
münsif	mynsˈif
Yorkda	jorçdˈa
canlının	d͡ʒanɫɯnˈɯn
mənimsənilir	mænimsænilˈir
Perry	pˈerrj
tamaşalarda	tamaʃaɫardˈa
qanunvericiliklə	ɡanunveɾid͡ʒilˈiçlæ
etirazçı	et͡siɾazt͡ʃˈɯ
ruhlandırmışdır	ruhɫandɯrmɯʃdˈɯr
dişin	diʃˈin
kurslarını	cursɫaɾɯnˈɯ
düzduran	dyzduɾˈan
axtarırdılar	axtaɾɯrdɯɫˈar
Adilə	adˈilæ
işə	ˈiʃæ
Aliyənin	alijænˈin
Marlin	marlˈin
fincanı	find͡ʒanˈɯ
metrin	metrˈin
olunmağı	oɫunmaːˈɯ
çağdan	t͡ʃaːdˈan
şəxslərin	ʃæxslæɾˈin
yaxınlaşır	jaxɯnɫaʃˈɯr
basdı	basdˈɯ
dizaynın	dizajnˈɯn
mənimsənilməsində	mænimsænilmæsˈindæ
Avaz	avˈaz
fənnin	fænnˈin
təsdiqlədiyi	tæsdiɡlædijˈi
geokimyası	ɟeocimjasˈɯ
nişanıdır	niʃanɯdˈɯr
Tərəqqi	tæɾæɡɡˈi
Dənizli	dænizlˈi
İndiana	indianˈa
yığımı	jɯɯɯmˈɯ
polyakların	poɫjaçɫaɾˈɯn
yaxşısını	jaxʃɯsɯnˈɯ
bəhrələnmək	bæhrælænmˈæç
piramidanın	piɾamidanˈɯn
dissertasiyasında	dissertasijasɯndˈa
addımların	addɯmɫaɾˈɯn
baxın	baxˈɯn
təsərrüfatlara	tæsærryfatɫaɾˈa
maddəsi	maddæsˈi
borucuq	boɾud͡ʒˈux
İrlandiyaya	irɫandijajˈa
Galilei	ɟalileˈi
kəsmik	cæsmˈiç
çalışsa	t͡ʃaɫɯʃsˈa
nənəsinin	nænæsinˈin
Lyu	ljˈu
prespektivli	prespeçtivlˈi
Köməkçi	cœmæçt͡ʃˈi
yetirilməsinə	jet͡siɾilmæsˈinæ
SCSI	sd͡ʒsˈɯ
işləmədi	iʃlæmædˈi
hərəkətlə	hæɾæcˈætlæ
Çəmənzəminli	t͡ʃæmænzæminlˈi
keçirin	cet͡ʃiɾˈin
Əntərə	æntˈæɾæ
Veri	veɾˈi
mülahizənin	myɫahizænˈin
dializ	dialˈiz
dəyir	dæjˈir
müvəffəqiyyətini	myvæffæɡijjætinˈi
Ziyanın	zijanˈɯn
vicdanla	vid͡ʒdanɫˈa
izzət	izzˈæt
mövqelər	mœvɡelˈær
Məhmət	mæhmˈæt
Həcər	hæd͡ʒˈær
səslərin	sæslæɾˈin
medalla	medaɫɫˈa
verərkən	veɾærcˈæn
yeddi	jeddˈi
təkmilləşmə	tæçmillˈæʃmæ
İngiltərədən	inɟiltæɾædˈæn
kamerasının	cameɾasɯnˈɯn
çəkməsinə	t͡ʃæçmæsˈinæ
kəsiyinin	cæsijinˈin
briqada	briɡadˈa
siyahıyaalınmasına	sijahɯjaaɫɯnmasɯnˈa
İnstitutundan	institutundˈan
Dövlətin	dœvlætˈin
hörmətini	hœrmætinˈi
zonaların	zonaɫaɾˈɯn
Sb	sˌebˈe
ümumilikdə	ymumilˈiçdæ
Kəvər	cævˈær
təpələrdə	tæpælˈærdæ
məktəblərinə	mæçtæblæɾˈinæ
keçiricilik	cet͡ʃiɾid͡ʒilˈiç
sana	sanˈa
keçiş	cet͡ʃˈiʃ
tipi	tipˈi
nəyəsə	næjˈæsæ
Tipik	tipˈiç
paylanmasına	pajɫanmasɯnˈa
Remark	remˈarç
Sonrada	sonradˈa
səadəti	sæadætˈi
vergilərin	verɟilæɾˈin
metodiki	metodicˈi
rəqiblərindən	ræɡiblæɾindˈæn
ehtiyatlarından	ehtijatɫaɾɯndˈan
güzgü	ɟyzɟˈy
zəncirləri	zænd͡ʒirlæɾˈi
Romanov	romanˈov
prinsipin	prinsipˈin
bağçılıqda	baːt͡ʃɯɫɯɡdˈa
Nigah	niɟˈah
Spitak	spitˈaç
qayıtdığı	ɡajɯtdɯɯˈɯ
sertifikat	sertificˈat
Atmosfer	atmosfˈer
Arnold	arnˈoɫd
birbirindən	birbiɾindˈæn
Lida	lidˈa
hücumlar	hyd͡ʒumɫˈar
damcısı	damd͡ʒɯsˈɯ
xanları	xanɫaɾˈɯ
təlimin	tælimˈin
aktyorlar	açtjorɫˈar
Hermionanın	hermionanˈɯn
Baqir	baɡˈir
debütu	debytˈu
farsların	farsɫaɾˈɯn
rasionuna	rasionunˈa
reallaşır	reaɫɫaʃˈɯr
Porsche	porsd͡ʒhˈe
komponentidir	componentidˈir
Şahsənəm	ʃahsænˈæm
ehtimalları	ehtimaɫɫaɾˈɯ
tapırıq	tapɯɾˈɯx
rəyləri	ræjlæɾˈi
Grande	ɟrandˈe
Ulutürk	uɫutˈyrç
quraraq	ɡuɾaɾˈax
yollandı	joɫɫandˈɯ
Sait	sˈa͡ɪt
traktatının	traçtatɯnˈɯn
Çəhrayı	t͡ʃæhrajˈɯ
Hindenburq	hindenbˈurx
alovdan	aɫovdˈan
İranlı	iɾanɫˈɯ
hərəkətləri	hæɾæcætlæɾˈi
zərbəsi	zærbæsˈi
məhsulda	mæhsuɫdˈa
Saraydakı	saɾajdacˈɯ
itirməsinə	it͡sirmæsˈinæ
məktəblərdə	mæçtæblˈærdæ
təqibini	tæɡibinˈi
qatarları	ɡatarɫaɾˈɯ
girdilər	ɟirdilˈær
sınaqlarını	sɯnaɡɫaɾɯnˈɯ
zolağında	zoɫaːɯndˈa
əkinləri	æcinlæɾˈi
Paleozoy	paleozˈoj
sinoptik	sinoptˈiç
çatmasına	t͡ʃatmasɯnˈa
Səs	sˈæs
maq	mˈax
Ziyadoğlu	zijadoːɫˈu
Qatçina	ɡatt͡ʃinˈa
hazırlıqlardan	hazɯrɫɯɡɫardˈan
yazılardan	jazɯɫardˈan
verdiyindən	verdijindˈæn
körpəyə	cœrpˈæjæ
UNESCO	unesd͡ʒˈo
MOİK	moˈiç
yüksəlişinə	jyçsæliʃˈinæ
oxşarlığına	oxʃarɫɯɯɯnˈa
Dəyişkən	dæjiʃcˈæn
türbəsində	tyrbæsˈindæ
Qut	ɡˈut
içirdi	it͡ʃirdˈi
cənab	d͡ʒænˈab
qozbel	ɡozbˈel
ştatlar	ʃtatɫˈar
endirdilər	endirdilˈær
aparatdan	apaɾatdˈan
çalınır	t͡ʃaɫɯnˈɯr
hermetik	hermet͡sˈiç
Senyor	senjˈor
linzadan	linzadˈan
davamçıları	davamt͡ʃɯɫaɾˈɯ
Fillərin	fillæɾˈin
mübadiləsi	mybadilæsˈi
Vazari	vazaɾˈi
Danimarka	danimarcˈa
qidalandıqları	ɡidaɫandɯɡɫaɾˈɯ
Əkiz	æcˈiz
Sezonun	sezonˈun
Simin	simˈin
Soto	sotˈo
Venesiyada	venesijadˈa
gözəgəlimli	ɟœzæɟælimlˈi
zühur	zyhˈur
rütubətlənmə	rytubætlˈænmæ
türkçə	tˈyrçt͡ʃæ
Qobustanın	ɡobustanˈɯn
qalacağı	ɡaɫad͡ʒaːˈɯ
ehtimallı	ehtimaɫɫˈɯ
hollandların	hoɫɫandɫaɾˈɯn
artilleriyasının	artilleɾijasɯnˈɯn
Tatra	tatrˈa
Yayım	jajˈɯm
məclislərə	mæd͡ʒlislˈæɾæ
çayda	t͡ʃajdˈa
səmadan	sæmadˈan
şöbələrinə	ʃœbælæɾˈinæ
əziyyətdən	æzijjætdˈæn
xronoloji	xronoɫoʒˈi
intizama	intizamˈa
yuyulması	jujuɫmasˈɯ
dairələrinin	da͡ɪɾælæɾinˈin
yaşayanların	jaʃajanɫaɾˈɯn
Əzələ	æzˈælæ
Ərdoğanın	ærdoːanˈɯn
bürcü	byrd͡ʒˈy
obrazları	obrazɫaɾˈɯ
yağlarından	jaːɫaɾɯndˈan
çəkilirlər	t͡ʃæcilirlˈær
Norma	normˈa
Hitleri	hitleɾˈi
Kopernikin	copernicˈin
materik	mateɾˈiç
işarəsidir	iʃaɾæsidˈir
Xürrəm	xyrrˈæm
üstünlüklərdən	ystynlyçlærdˈæn
dəstəkləmək	dæstæçlæmˈæç
interyeri	interjeɾˈi
uzaqlaşmasına	uzaɡɫaʃmasɯnˈa
tayfaları	tajfaɫaɾˈɯ
görün	ɟœɾˈyn
çəkir	t͡ʃæcˈir
Elbrus	elbrˈus
işçilərin	iʃt͡ʃilæɾˈin
çürüyüb	t͡ʃyɾyjˈyb
Şirkətdə	ʃircˈætdæ
rahiblərinin	rahiblæɾinˈin
qeydlərindən	ɡejdlæɾindˈæn
Texnikumda	texnicumdˈa
ba	bˈa
Romalı	romaɫˈɯ
otelləri	otellæɾˈi
gəlməsin	ɟælmæsˈin
ehtimal	ehtimˈaɫ
uzaqlaşırlar	uzaɡɫaʃɯrɫˈar
Növbəti	nœvbætˈi
restoranların	restoɾanɫaɾˈɯn
yığım	jɯɯˈɯm
temperaturunun	tempeɾatuɾunˈun
çevrilişinin	t͡ʃevriliʃinˈin
tələbələrinə	tælæbælæɾˈinæ
bioloji	bioɫoʒˈi
ulduzlarda	uɫduzɫardˈa
həqiqətə	hæɡiɡˈætæ
ifaçılara	ifat͡ʃɯɫaɾˈa
çirklənməsi	t͡ʃirçlænmæsˈi
vardlr	vˈardlər
asan	asˈan
Kolun	coɫˈun
hakimiyyətindən	hacimijjætindˈæn
Zalın	zaɫˈɯn
Böhrandan	bœhrandˈan
Tallin	taɫlˈin
xoşbəxtliyin	xoʃbæxtlijˈin
Qısası	ɡɯsasˈɯ
Dişlər	diʃlˈær
Muradxanlı	muɾadxanɫˈɯ
kilt	cˈilt
İnn	ˈinn
sığınıb	sɯɯɯnˈɯb
meyvələri	mejvælæɾˈi
Cin	d͡ʒˈin
Aaron	aaɾˈon
dənizçilərinin	dænizt͡ʃilæɾinˈin
beyincik	bejind͡ʒˈiç
imzalanmasından	imzaɫanmasɯndˈan
səhnələşdirilməsi	sæhnælæʃdiɾilmæsˈi
Yollar	joɫɫˈar
axtarışlara	axtaɾɯʃɫaɾˈa
gözləməkdən	ɟœzlæmæçdˈæn
metaldan	metaɫdˈan
gizlicə	ɟizlˈid͡ʒæ
verməsində	vermæsˈindæ
Şivanın	ʃivanˈɯn
Antarktidaya	antarçtidajˈa
lisenziyaları	lisenzijaɫaɾˈɯ
ağızda	aːɯzdˈa
tanışlıq	tanɯʃɫˈɯx
ray	rˈaj
qatılırdı	ɡatɯɫɯrdˈɯ
nihilizmin	nihilizmˈin
günümüzün	ɟynymyzˈyn
Quruçay	ɡuɾut͡ʃˈaj
Deva	devˈa
drama	dramˈa
tap	tˈap
Niderlandda	niderɫanddˈa
Ceyhan	d͡ʒejhˈan
sevgilim	sevɟilˈim
topoqrafik	topoɡrafˈiç
klubun	çɫubˈun
prinsiplər	prinsiplˈær
sübut	sybˈut
çöküntüləri	t͡ʃœcyntylæɾˈi
Etnik	etnˈiç
gecələrin	ɟed͡ʒælæɾˈin
Quadanino	ɡuadaninˈo
gətirilmişdir	ɟætiɾilmiʃdˈir
tamamlama	tamamɫamˈa
sərhədin	særhædˈin
təkəbbürlü	tæcæbbyrlˈy
Razi	razˈi
məhdudlaşdıran	mæhdudɫaʃdɯɾˈan
Məhşər	mæhʃˈær
hesabdan	hesabdˈan
parkdan	parçdˈan
Kəndlərdə	cændlˈærdæ
Öncəki	œnd͡ʒæcˈi
canlılıq	d͡ʒanɫɯɫˈɯx
hissiyat	hissijˈat
çökəkliyini	t͡ʃœcæçlijinˈi
Yəqub	jæɡˈub
dərsliyi	dærslijˈi
restoran	restoɾˈan
tavada	tavadˈa
bağırsaqlarda	baːɯrsaɡɫardˈa
dağınıqlığı	daːɯnɯɡɫɯɯˈɯ
düşənlər	dyʃænlˈær
fanatlar	fanatɫˈar
urologiya	uɾoɫˈoɟia
liderdir	liderdˈir
olunduğundan	oɫunduːndˈan
Səlman	sælmˈan
münaqişədən	mynaɡiʃædˈæn
güllələndi	ɟyllælændˈi
ustadları	ustadɫaɾˈɯ
mahalda	mahaɫdˈa
Zala	zaɫˈa
bölünməsidir	bœlynmæsidˈir
qarşılanmır	ɡarʃɯɫanmˈɯr
bütlərə	bytlˈæɾæ
şorba	ʃorbˈa
formalarından	formaɫaɾɯndˈan
membranların	membranɫaɾˈɯn
ovalşəkillidir	ovaɫʃæcillidˈir
infeksiyaya	infeçsijajˈa
Bülbülü	bylbylˈy
Ağahüseyn	aːhysˈejn
yaşadığından	jaʃadɯɯɯndˈan
ilik	ilˈiç
yemiş	jemˈiʃ
əqidəsinin	æɡidæsinˈin
fəaliyyətlərini	fæalijjætlæɾinˈi
modal	modˈaɫ
fəalı	fæaɫˈɯ
gillərin	ɟillæɾˈin
stomatoloji	stomatoɫoʒˈi
Petroleum	petroleˈum
mübarizəsində	mybaɾizæsˈindæ
amerikalıların	ameɾicaɫɯɫaɾˈɯn
Edvard	edvˈard
obsidiandan	obsidiandˈan
Ordusuna	ordusunˈa
vermədi	vermædˈi
aspektini	aspeçtinˈi
Atropat	atropˈat
yarışları	jaɾɯʃɫaɾˈɯ
əməkdaşların	æmæçdaʃɫaɾˈɯn
şaha	ʃahˈa
Mağaranın	maːɾanˈɯn
san	sˈan
səbri	sæbrˈi
yayılaraq	jajɯɫaɾˈax
Dişiləri	diʃilæɾˈi
hakimlərini	hacimlæɾinˈi
sahildəki	sahildæcˈi
tutduğuna	tutduːnˈa
bəbiri	bæbiɾˈi
yaxasına	jaxasɯnˈa
mərkəzindəki	mærcæzindæcˈi
uzunluq	uzunɫˈux
İmperiyasına	impeɾijasɯnˈa
dərzi	dærzˈi
Yozef	jozˈef
aparatı	apaɾatˈɯ
bazalarında	bazaɫaɾɯndˈa
CAD	d͡ʒˈad
əməllərindən	æmællæɾindˈæn
platformadan	pɫatformadˈan
çür	t͡ʃˈyr
liseyi	lisejˈi
oktyabrından	oçtjabrɯndˈan
dərdi	dærdˈi
Toxumlarla	toxumɫarɫˈa
versiyalardan	versijaɫardˈan
stadionudur	stadionudˈur
universitetdə	universit͡sˈetdæ
Usaqinin	usaɡinˈin
budur	budˈur
Orkestr	orcˈestər
Folklor	foɫçɫˈor
savadı	savadˈɯ
samitlər	samitlˈær
ixtisasartırma	ixtisasartɯrmˈa
məkanlar	mæcanɫˈar
bilə	bˈilæ
alıcının	aɫɯd͡ʒɯnˈɯn
investorların	investorɫaɾˈɯn
müstəmləkəçiliyi	mystæmlæcæt͡ʃilijˈi
Bəziləri	bæzilæɾˈi
ədəbiyyatşünas	ædæbijjatʃynˈas
Trinidad	trinidˈad
Pataqoniya	pataɡˈonia
çətirinin	t͡ʃætiɾinˈin
kövrək	cœvrˈæç
qızılbaş	ɡɯzɯɫbˈaʃ
planetlilər	pɫanetlilˈær
tapılıb	tapɯɫˈɯb
Culiya	d͡ʒˈulia
alırıq	aɫɯɾˈɯx
müstəmləkələri	mystæmlæcælæɾˈi
sınaqları	sɯnaɡɫaɾˈɯ
Nadirqulu	nadirɡuɫˈu
ştatının	ʃtatɯnˈɯn
sifət	sifˈæt
titulu	tituɫˈu
imzalanan	imzaɫanˈan
aparatından	apaɾatɯndˈan
quyruqlarını	ɡujruɡɫaɾɯnˈɯ
FM	fˌeˈem
İkiçayarasının	icit͡ʃajaɾasɯnˈɯn
cisimlə	d͡ʒisˈimlæ
Türinqin	tyɾinɡˈin
Seçicilər	set͡ʃid͡ʒilˈær
yana	janˈa
Brejnev	breʒnˈev
əsatiri	æsatiɾˈi
fabrikə	fabrˈicæ
zənginliyini	zænɟinlijinˈi
səfirinin	sæfiɾinˈin
artmaqda	artmaɡdˈa
qazıma	ɡazɯmˈa
yönələn	jœnælˈæn
manifest	manifˈest
köçürür	cœt͡ʃyɾˈyr
Luiz	ɫuˈiz
Gear	ɟeˈar
Şərqində	ʃærɡˈindæ
fəhlə	fˈæhlæ
atıldılar	atɯɫdɯɫˈar
güvəsinin	ɟyvæsinˈin
müxtəsər	myxtæsˈær
oğlandan	oːɫandˈan
təcavüzünün	tæd͡ʒavyzynˈyn
Qarxun	ɡarxˈun
Sabunçu	sabunt͡ʃˈu
taxılçılıqla	taxɯɫt͡ʃɯɫɯɡɫˈa
maraqlandıran	maɾaɡɫandɯɾˈan
qutunun	ɡutunˈun
Düyünün	dyjynˈyn
yaşlarda	jaʃɫardˈa
yazlıq	jazɫˈɯx
göstəricisini	ɟœstæɾid͡ʒisinˈi
sökülmüşdür	sœcylmyʃdˈyr
anlama	anɫamˈa
sırasından	sɯɾasɯndˈan
yoxdan	joxdˈan
birtəhər	birtæhˈær
tanıtım	tanɯtˈɯm
Məna	mænˈa
tikilməsinə	ticilmæsˈinæ
qaidəsinə	ɡa͡ɪdæsˈinæ
aktivliyinin	açtivlijinˈin
qovulmasından	ɡovuɫmasɯndˈan
boğuldu	boːuɫdˈu
konfranslarında	confransɫaɾɯndˈa
oxuduğu	oxudˈuː
mister	mistˈer
miokard	miocˈard
yoxlayırlar	joxɫajɯrɫˈar
Kastiliya	castˈilia
romantizminin	romantizminˈin
Minimum	minimˈum
itdi	itdˈi
sitoplazması	sitopɫazmasˈɯ
kətandan	cætandˈan
etdiyimiz	etdijimˈiz
epoxasının	epoxasɯnˈɯn
Buxar	buxˈar
qurbanlıq	ɡurbanɫˈɯx
rejimli	reʒimlˈi
Qaraqum	ɡaɾaɡˈum
qırıntılı	ɡɯɾɯntɯɫˈɯ
gizlənmişdi	ɟizlænmiʃdˈi
Manqada	manɡadˈa
yanaşılır	janaʃɯɫˈɯr
Şəhristaninin	ʃæhristaninˈin
taxılan	taxɯɫˈan
salındıqda	saɫɯndɯɡdˈa
Palma	paɫmˈa
dəydiyi	dæjdijˈi
rəqəmləri	ræɡæmlæɾˈi
tankdan	tançdˈan
arasıkəsilmədən	aɾasɯcæsilmædˈæn
baxışı	baxɯʃˈɯ
Müəllimləri	myællimlæɾˈi
hüceyrələrdir	hyd͡ʒejrælærdˈir
Paleolit	paleolˈit
kvadratı	çvadratˈɯ
almanlarla	aɫmanɫarɫˈa
tütünçülük	tyt͡synt͡ʃylˈyç
Futbolçusu	futboɫt͡ʃusˈu
rolunun	roɫunˈun
Kamerun	cameɾˈun
cani	d͡ʒanˈi
Nikolayevna	nicoɫajevnˈa
fasadları	fasadɫaɾˈɯ
təmizlənməsindən	tæmizlænmæsindˈæn
Həbs	hˈæbs
ziyadə	zijˈadæ
yarımadasını	jaɾɯmadasɯnˈɯ
dəli	dælˈi
Adrian	adriˈan
düşürdü	dyʃyrdˈy
nəticəsindən	nætid͡ʒæsindˈæn
sinqılı	sinɡɯɫˈɯ
ifadələrini	ifadælæɾinˈi
regionlara	reɟionɫaɾˈa
İntibahı	intibahˈɯ
əmanətlərin	æmanætlæɾˈin
Rage	raɟˈe
əmtəəyə	æmtæˈæjæ
Qran	ɡrˈan
Nümayəndələr	nymajændælˈær
işğalçılarından	iʃɣaɫt͡ʃɯɫaɾɯndˈan
Rio	riˈo
dadın	dadˈɯn
isbat	isbˈat
əzələlərinin	æzælælæɾinˈin
Valaxiya	vaɫˈaxia
Rumıniyaya	rumɯnijajˈa
Uorrenin	uorrenˈin
Nevski	nevscˈi
Civə	d͡ʒˈivæ
Annanı	annanˈɯ
gətirilib	ɟætiɾilˈib
Dediyinə	dedijˈinæ
bombasını	bombasɯnˈɯ
təşkilatı	tæʃciɫatˈɯ
Farabinin	faɾabinˈin
canan	d͡ʒanˈan
Ananın	ananˈɯn
spektrinə	speçtrˈinæ
loqosu	ɫoɡosˈu
sferada	sfeɾadˈa
salnaməçi	saɫnamæt͡ʃˈi
auditoriyanın	auditoɾijanˈɯn
kitabları	citabɫaɾˈɯ
Aprel	aprˈel
udulur	uduɫˈur
Ağoğlan	aːoːɫˈan
Verginin	verɟinˈin
tacirlərə	tad͡ʒirlˈæɾæ
