မြင်း	mjɪ́ɴ
ဈေးနှုန်း	zén̥óʊɴ
အာဏာသိမ်း	ʔànàθéɪɴ
ဗင်နီဇွဲလား	bɪ̀ɴnìzwɛ́lá
နိုင်ငံသားအဖြစ်	nàɪɴŋàɴðáʔəpʰjɪʔ
ပျားရည်	pjájè
အတွင်းဝန်	ʔətwɪ́ɴwʊ̀ɴ
ဝမ်း	wʊ́ɴ
စင်္ကြံ	zɪ́ɴd͡ʑàɴ
တရားသူကြီး	təjáðùd͡ʑí
အုန်းဆီ	ʔóʊɴzì
ထွန်စက်	tʰʊ̀ɴzɛʔ
သက်သေ	θɛʔθè
ကင်းပုံ	kɪ́ɴbòʊɴ
ခေါပျဉ်	kʰɔ́bjɪ̀ɴ
ပရဟိတ	pəɹa̰hḭta̰
မော်လဒိုက်	mɔ̀lədaɪʔ
ရေတွက်	jètwɛʔ
ဒိုင်ယာရီ	dàɪɴjəɹì
ကျောက်ကပ်	t͡ɕaʊʔkaʔ
ထည်	tʰɛ̀
ညီမ	ɲìma̰
ရေဝတဘုရား	jèwəta̰pʰəjá
ဗာတီကန်မြို့ပြနိုင်ငံ	bàtìkàɴmjo̰pja̰nàɪɴŋàɴ
တိုက်ပုံ	taɪʔpòʊɴ
ရွှေဘို	ʃwèbò
ငွေသား	ŋwèðá
တုတ်	doʊʔ
ကုန်း	kóʊɴ
ကောင်းကင်တမန်	káʊɴɡɪ̀ɴtəmàɴ
ဘဝ	ba̰wa̰
ကျွန်	t͡ɕʊ̀ɴ
ဖီဂျီ	pʰìd͡ʑì
မာလီ	màlì
စနစ်	sənɪʔ
ချင်းမိုင်	t͡ɕʰɪ́ɴmàɪɴ
ခြောက်	t͡ɕʰaʊʔ
တော်လှန်	tɔ̀l̥àɴ
အခန်း	ʔəkʰáɴ
လယ်ထွန်	lɛ̀tʰʊ̀ɴ
လမု	ləmṵ
အစုံအစုံ	ʔəsòʊɴʔəsòʊɴ
ခေါင်းလျှော်ရည်	ɡáʊɴʃɔ̀jè
ယုံ	jòʊɴ
စာသား	sàðá
ဂန်ဂျာ	ɡàɴd͡ʑà
ပျဉ်းမ	pjɪ́ɴma̰
ကင်းမြီးကောက်	kɪ́ɴmjíɡaʊʔ
သပိတ်	ðəbeɪʔ
တဲ့	dɛ̰
စန္ဒရား	sàɴdəjá
အိမ်လည်	ʔèɪɴlè
ပျိုး	pjó
အဆောက်အဦ	ʔəsʰaʊʔʔəʔù
တောမန်ကျည်း	tɔ́məd͡ʑí
ဩရသ	ʔɔ́jəθa̰
လီး	lí
ရက်သတ္တပတ်	jɛʔθaʔdəbaʔ
ရာဇဝတ်ကောင်	jàzəwʊʔkàʊɴ
ဆေးပေါ့လိပ်	sʰébɔ̰leɪʔ
ဓား	dá
ဩစတြေးလျ	ʔɔ́sətəɹélja̰
တိရစ္ဆာန်ရုံ	təɹeɪʔsʰàɴjòʊɴ
သဘက်ခါ	θəbɛʔkʰà
တံခါး	dəɡá
မနေ့က	mənḛɡa̰
နမူနာ	nəmùnà
မီးပူ	míbù
ယက်	jɛʔ
အနုပညာ	ʔənṵpjɪ̀ɴɲà
ဗေဒ	bèda̰
ဗိန္ဒု	bèɪɴdṵ
အိုး	ʔó
မာကျောက်	màt͡ɕaʊʔ
မှတ်စု	m̥aʔsṵ
ပစ္စည်း	pɪʔsí
ငံပြာရည်	ŋàɴbjàjè
မိုးရာသီ	mójàðì
ဗုဒ္ဓဟူး	boʊʔda̰hú
ဘိုင်စကယ်	bàɪɴsəkɛ̀
စပွတ်နစ်	səpʊʔnɪʔ
ရှလကာရည်	ʃàləkàjè
အပြုအမူ	ʔəpjṵʔəmù
ကန့်လန့်ကာ	kələɡà
နေ့	nḛ
ကျွန်းကိုင်းမှီကိုင်းကျွန်းမှီ	t͡ɕʊ́ɴkáɪɴm̥ìkáɪɴt͡ɕʊ́ɴm̥ì
ယုဇန	jṵza̰na̰
နျူကလိယ	njùkəlḭja̰
ကိုယ်ဝန်ဆောင်	kòjwʊ̀ɴsʰàʊɴ
မြင်းကလေး	mjɪ́ɴɡəlé
ကြည်	t͡ɕɪ̀ɴ
ဒေသ	dèθa̰
ဖယ်ဒရေးရှင်း	pʰɛ̀dəɹéʃɪ́ɴ
ထိပ်ခေါင်တင်	tʰeɪʔkʰàʊɴtɪ̀ɴ
စေ့စပ်	sḛzaʔ
မျက်တောင်	mjɛʔtàʊɴ
စကြာဝဠာဗေဒ	sɛʔt͡ɕàwəlàbèda̰
အကြွေးဝယ်ကတ်ပြား	ʔət͡ɕwéwɛ̀kaʔpjá
အဘွား	ʔəpʰwá
အိုင်ဒီယာ	ʔàɪɴdìjà
စကားထာ	zəɡətʰà
အောက်ဆီဂျင်	ʔaʊʔsʰìd͡ʑɪ̀ɴ
ဣန္ဒာ	ʔḭndà
သံအမတ်	θàɴʔəmaʔ
ခွာ	kʰwà
အာလာပသလ္လာပ	ʔàlàpa̰θəlàpa̰
အိပ်	ʔeɪʔ
နိုင်ငံသား	nàɪɴŋàɴðá
ဂငယ်	ɡa̰ŋɛ̀
မျက်ပါး	mjɛʔpá
အမှား	ʔəm̥á
ဒေါ်ကြီး	dɔ̀d͡ʑí
ဇာတိ	zàtḭ
ဟယ်လီကော့ပတာ	hɛ̀lìkɔ̰pətà
၎င်း	ləɡáʊɴ
မင်္ဂလဘုရား	mɪ̀ɴɡəla̰pʰəjá
ကြက်ဆီထမင်း	t͡ɕɛʔsʰìtʰəmɪ́ɴ
ပြည်ကြီးမွန်	pjìd͡ʑímʊ̀ɴ
ဥမ္မာ	ʔṵmmà
အညို	ʔəɲò
ထူထဲ	tʰùdɛ́
တိဿဘုရား	teɪʔθa̰pʰəjá
စိတ်ရောဂါ	seɪʔjɔ́ɡà
ကရင်	kəjɪ̀ɴ
အချွဲ	ʔət͡ɕʰwɛ́
ငံ	ŋàɴ
ဘိက္ခုနီ	bìkkʰṵnì
စားပွဲ	sábwɛ́
ထိုင်ဝမ်	tʰàɪɴwàɴ
လာ	là
ဂိုင်ယာနာ	ɡàɪɴjànà
အနောမဒဿီဘုရား	ʔənɔ́mədaʔθìpʰəjá
ယွန်း	jʊ́ɴ
သင်္ကြန်ထမင်း	ðəd͡ʑàɴtʰəmɪ́ɴ
ဂရမ်	ɡəɹàɴ
သမိုင်း	θəmáɪɴ
ကြွက်နို့	t͡ɕwɛʔno̰
ရတနာပူရ	jɛ̀dənàpùɹa̰
လှေကား	l̥èɡá
ရွှေရင်အေး	ʃwèjɪ̀ɴʔé
ထုတ်ကုန်	tʰoʊʔkòʊɴ
တုတ်မီး	doʊʔmí
အင်္ဂလိပ်	ʔɪ̀ɴɡəleɪʔ
ရမ္မက်	jəmɛʔ
လီသီယမ်	lìθìjàɴ
ရာစု	jàzṵ
ကချင်	kət͡ɕʰɪ̀ɴ
ပြုတ်	pjoʊʔ
ဆေးလိပ်	sʰéleɪʔ
ကျွန်တော့်	t͡ɕʊ̀ɴdɔ̰
ပရုတ်	pəjoʊʔ
ဆန္ဒပြပွဲ	sʰàɴda̰pja̰bwɛ́
သူရဲပြေး	θəjɛ́pjé
ဓာတ်မီးခြစ်	daʔmíd͡ʑɪʔ
သူယောင်	θùjàʊɴ
ဝဏ္ဏ	wʊ̀ɴna̰
တောသား	tɔ́ðá
ရွှေတောင်ခေါက်ဆွဲ	ʃwèdàʊɴkʰaʊʔsʰwɛ́
ဗိုက်ကြီး	baɪʔt͡ɕí
မွတ်စလင်	mʊʔsəlɪ̀ɴ
ရှင်တို့	ʃɪ̀ɴdo̰
မြှောက်ရကိန်း	m̥jaʊʔja̰kéɪɴ
ငွေ့ငွေ့	ŋwḛŋwḛ
ညှပ်	ɲ̊aʔ
သုမေဓာ	θṵmèdà
ညှစ်	ɲ̊ɪʔ
စာပို့	sàbo̰
လွှတ်တော်	l̥ʊʔtɔ̀
ရတီ	jətì
သာဂူပြင်	θàɡùbjɪ̀ɴ
ဓမ္မ	dəma̰
စစ်တွေ	sɪʔtwè
အနုတ်လက္ခဏာ	ʔən̥oʊʔlɛʔkʰənà
ယာမာ	jàmà
သာဝက	θàwəka̰
ပုံနှိပ်စက်	pòʊɴn̥eɪʔsɛʔ
သမ္မာကျမ်း	θəmàt͡ɕáɴ
သင်	θɪ̀ɴ
အဲဒီ	ʔɛ́dì
လေး	lé
တွင်း	twɪ́ɴ
ခြားနား	t͡ɕʰáná
ချည်လုံး	t͡ɕʰìlóʊɴ
ဒွာရ	dwàja̰
မေတ္တေယျ	mjɪʔtèja̰
သာသနာ	θàðənà
အကော်ဒီယံ	ʔəkɔ̀dìjàɴ
သူဌေး	θətʰé
ရေး	jé
ဂျမေကာ	d͡ʑəmèkà
ဘား	bá
သဉ္ဇာ	θɪ̀ɴzà
အလ္လာဟ်	ʔàllàh
ဝန်ကြီးချုပ်ကတော်	wʊ̀ɴd͡ʑíd͡ʑoʊʔɡədɔ̀
ဝိတ်ချ	weɪʔt͡ɕʰa̰
ကော်ဖီ	kɔ̀pʰì
ဘုန်းတော်ကြီးဘုရား	pʰóʊɴdɔ̀d͡ʑípʰəjá
အတိုင်ပင်ခံ	ʔətàɪɴbɪ̀ɴɡàɴ
ဌဝမ်းဘဲ	tʰa̰wʊ́ɴbɛ́
အယူ	ʔəjù
ယာဉ်ရပ်	jɪ̀ɴjaʔ
နှစ်ဆန်းတစ်ရက်	n̥ɪʔsʰáɴtəjɛʔ
မြေရိုင်း	mjèjáɪɴ
ပခုံး	pəkʰóʊɴ
သုံးလ	θóʊɴla̰
ငုစပ်	ŋṵzaʔ
မြတ်လေး	mjaʔlé
လေဖြတ်ရောဂါ	lèpʰjaʔjɔ́ɡà
လက်ဖက်	lɛʔpʰɛʔ
ဏကြီး	na̰d͡ʑí
ထော်လာဂျီ	tʰɔ̀làd͡ʑì
ဖြောဖြော	pʰjɔ́bjɔ́
သရဖူ	θəɹəpʰù
တမန်	təmàɴ
ရွေး	jwé
မြောက်	mjaʊʔ
ဟန်ဂေရီ	hàɴɡèɹì
ရိုင်ဖယ်	ɹàɪɴpʰɛ̀
အမည်	ʔəmjì
ကြွ	t͡ɕwa̰
ကြော်ငြာစာ	t͡ɕɔ̀ɲàzà
ဖာလာစေ့	pʰàlàsḛ
ခဲ	kʰɛ́
ပဒေသာပင်	bədèðàbɪ̀ɴ
ရောက်	jaʊʔ
လေမုန်တိုင်း	lèmòʊɴdáɪɴ
သေး	θé
တိုင်	tàɪɴ
ပီကေ	pìkè
ဒန့်သလွန်	da̰ɴðəlʊ̀ɴ
ကျီးအ	t͡ɕíʔa̰
အဖွဲ့ဝင်	ʔəpʰwɛ̰wɪ̀ɴ
နည်း	nɛ́
မုနိ	mṵnḭ
သင်္ဘောသီး	θɪ́ɴbɔ́ðí
ဟထိုး	ha̰tʰó
ထဘီ	tʰəmì
ဒွယံဒွယံ	dwa̰jàɴdwa̰jàɴ
မျက်နှာကြက်	mjɛʔn̥àd͡ʑɛʔ
မိန်းမလျာ	méɪɴməʃà
ပိတ်	peɪʔ
ကလာပ်စည်း	kəlaʔsí
ကပ်ကြီးသုံးပါး	kaʔd͡ʑíθóʊɴbá
သက်တံ	θɛʔtàɴ
ရွာ	jwà
ကဗျာ	ɡəbjà
ကလပ်	kəlaʔ
သူဆင်းရဲ	θùsʰɪ́ɴjɛ́
အဲဒါ	ʔɛ́dà
အိမ်ထောင်	ʔèɪɴtʰàʊɴ
မြောက်ကိုရီးယား	mjaʊʔkòɹíjá
ကြေးစည်	t͡ɕézì
ပါပူအာနယူးဂီနီ	pàpùʔànəjúɡìnì
ဟောင်ကောင်	hàʊɴkàʊɴ
ကျောပိုးအိတ်	t͡ɕɔ́bóʔeɪʔ
ဝတီ	wədì
ဘလေး	ba̰lé
ငါးဖျင်းသလက်	ŋəpʰjɪ́ɴθəlɛʔ
ယပ်	jaʔ
ဟိုဟာ	hòhà
အရုဏ်	ʔəjùn
ဟိန္ဒူ	hèɪɴdù
လောင်း	láʊɴ
သုတ	θṵta̰
ချပါတီ	t͡ɕʰəpàtì
သတင်းပို့	ðədɪ́ɴpo̰
စာမေးပွဲ	sàmébwɛ́
ရာဇဝင်	jàzəwɪ̀ɴ
ရေတပ်	jèdaʔ
အောင်	ʔàʊɴ
ကပ်ပါး	kaʔpá
အလင်္ကာ	ʔəlɪ̀ɴɡà
ကျနော်	t͡ɕənɔ̀
အိန္ဒြာ	ʔèɪɴdɹà
စူးစူး	súzú
လွတ်လပ်ရေးနေ့	lʊʔlaʔjénḛ
ဟင်းခါး	hɪ́ɴɡá
မက္ကဆီကို	mɛʔkəsʰìkò
ညောင်ဖြူ	ɲàʊɴbjù
သားသတ်ရုံ	θáðaʔjòʊɴ
ခရစ္စမတ်	kʰəɹɪʔsəmaʔ
ပုထိုး	pətʰó
လုံချည်	lòʊɴd͡ʑì
စကတ်	səkaʔ
ဝါ	wà
ထိုမှာ	tʰòm̥à
ကြွပ်	t͡ɕʊʔ
အသင်း	ʔəθɪ́ɴ
ဟိမဝန္တာ	hḭma̰wʊ̀ɴtà
စက်ဆုပ်	sɛʔsʰoʊʔ
စာရင်း	səjɪ́ɴ
ဇလဗေဒ	zəla̰bèda̰
ဆင်	sʰɪ̀ɴ
ရေကြီး	jèt͡ɕí
ညောင်ဗောဓိ	ɲàʊɴbɔ́dḭ
လုပ်ခ	loʊʔkʰa̰
ဒေါက်တာ	daʊʔtà
နှစ်ဆယ်	n̥ɪʔsʰɛ̀
ထောပတ်ထမင်း	tʰɔ́baʔtʰəmɪ́ɴ
မှား	m̥á
မဟာဂီတ	məhàɡìta̰
သုဒ္ဓေါဒန	θùddɔ́dəna̰
ခန္ဓာငါးပါး	kʰàɴdàŋábá
ကြက်ဖ	t͡ɕɛʔpʰa̰
ထွန်	tʰʊ̀ɴ
ကြက်ဆင်	t͡ɕɛʔsʰɪ̀ɴ
ဖိုးသူတော်	pʰóθùdɔ̀
အဏ္ဏဝါ	ʔàɴnəwà
အသုံးပြု	ʔəθóʊɴpjṵ
အရင်းရှင်ဝါဒ	ʔəjɪ́ɴʃɪ̀ɴwàda̰
ကြိုဆိုပါ၏	t͡ɕòzòbàʔɛ̰
ချဲ့ချဲ့	t͡ɕʰɛ̰d͡ʑɛ̰
သံလွင်	θàɴlwɪ̀ɴ
ကွဲ	kwɛ́
စာဖတ်	sàpʰaʔ
ဗိုလ်	bò
ဧဏီ	ʔènì
ခမောက်	kʰəmaʊʔ
ရေမြင်း	jèmjɪ́ɴ
လူမျိုးရေးဝါဒ	lùmjójéwàda̰
တော	tɔ́
ခြံ	t͡ɕʰàɴ
သီတဂူ	θìdəɡù
ကျောင်း	t͡ɕáʊɴ
ဝန်	wʊ̀ɴ
သဝဏ်လွှာ	θəwʊ̀ɴl̥wà
လျောင်း	ljáʊɴ
မဟာမောဂ္ဂလာန်	məhàmaʊʔɡəlàɴ
ပန်းသီး	páɴðí
ဆိုဖာ	sʰòpʰà
သတ္တုစပ်	θaʔtṵzaʔ
နောက်ရုံး	naʊʔjóʊɴ
ပင်ပေါင်	pɪ̀ɴpàʊɴ
ဥက္ကဋ္ဌ	ʔoʊʔkəθa̰
ပီဇာ	pìzà
ရဲဘော်	jɛ́bɔ̀
ပြယုဂ်	pja̰joʊʔ
သမား	θəmá
ညီအစ်ကို	ɲìʔəkò
ဈေး	zé
သုပ်	θoʊʔ
ကိန်း	kéɪɴ
မာရ်	mà
ဗာလချောင်	bàla̰t͡ɕʰàʊɴ
နံနံ	nàɴnàɴ
သင်္ကန်း	θɪ̀ɴɡáɴ
မီးခေါင်း	míɡáʊɴ
ထပ်တစ်ရာ	tʰaʔtəjà
ကော်မတီ	kɔ̀mətì
ငါးခူ	ŋəkʰù
ကြောက်	t͡ɕaʊʔ
ခွက်	kʰwɛʔ
ရှလပတ်ရည်	ʃa̰ləpaʔjè
မီးသီး	míθí
ပန်းကန်	bəɡàɴ
ဓအောက်ခြိုက်	da̰ʔaʊʔt͡ɕʰaɪʔ
ကျိုက်မရော	t͡ɕaɪʔməɹɔ́
ကပ်ရောဂါ	kaʔjɔ́ɡà
ကျီး	t͡ɕí
ယမင်း	jəmɪ́ɴ
အသား	ʔəθá
သည်း	θí
တောင်ကြား	tàʊɴd͡ʑá
ခြေဖနောင့်	t͡ɕʰèbəna̰ʊɴ
တံဆိပ်ခေါင်း	dəzeɪʔɡáʊɴ
ဒေသန္တရ	dèθàɴtəja̰
စွမ်း	swáɴ
ကနခို	kənəkʰò
ဆနွင်းမကင်း	sʰənwɪ́ɴməkɪ́ɴ
စီဒီ	sìdì
ဗိုလ်မှူးချုပ်	bòm̥úd͡ʑoʊʔ
ပုဏ္ဏမာ	pòʊɴnəmà
ကျ	t͡ɕa̰
ကာကွယ်ရေး	kàɡwɛ̀jé
တိုဟူးနွေး	tòhúnwé
ဖြည့်	pʰjḛ
အမဲသား	ʔəmɛ́ðá
အညာသား	ʔəɲàðá
ထမင်းချဉ်	tʰəmɪ́ɴd͡ʑɪ̀ɴ
ပရိဘောဂ	pəɹḭbɔ́ɡa̰
ဖာသည်မ	pʰàθɛ̀ma̰
မျိုးချစ်စိတ်	mjót͡ɕʰɪʔseɪʔ
သီချင်း	θət͡ɕʰɪ́ɴ
ခဏ	kʰəna̰
ခန်း	kʰáɴ
သံရုံး	θàɴjóʊɴ
သောဘိတဘုရား	θɔ́bḭta̰pʰəjá
ဒါပော့	dàpɔ̰
ရှူးဖိနပ်	ʃúpʰənaʔ
ဉာဏ်	ɲàn
မနုပ်တာနီ	mənoʊʔtànì
ရိက္ခာ	jeɪʔkʰà
ဝက်မှင်ဘီး	wɛʔm̥ɪ̀ɴbí
သန္ဓေ	θàɴdè
သူရဲခို	θəjɛ́kʰò
ဆံပင်တု	zəbɪ̀ɴdṵ
လေဖိအား	lèpʰḭʔá
ကုလား	kəlá
တနင်္ဂနွေ	tənɪ̀ɴɡənwè
ယေရှု	jèʃṵ
မောက်ချ	maʊʔt͡ɕʰa̰
ကျောင်းသူ	t͡ɕáʊɴðù
ပေါ်	bɔ̀
ပရိုဂျက်	pəɹòd͡ʑɛʔ
ဥပါကြယ်	ʔṵpàt͡ɕɛ̀
အိုင်အိုင်	ʔàɪɴʔàɪɴ
ပါရမီ	pàɹəmì
ကသည်း	kəθí
ကပ်ပယ်	kaʔpɛ̀
အစိုးရ	ʔəsója̰
ကလေး	kʰəlé
ဟုတ်တာပေါ့	hoʊʔtàpɔ̰
အရေပြား	ʔəjèbjá
ဖြောင့်	pʰja̰ʊɴ
လျှောက်	ʃaʊʔ
ခရုပက်ကျိ	kʰəjṵpɛʔt͡ɕḭ
ကိုးကန့်	kóɡa̰ɴ
ဓနု	dənṵ
ဥတ္တရခဏ္ဍ	ʔoʊʔtəɹa̰kʰànda̰
ကောင်စစ်ဝန်	kàʊɴsɪʔwʊ̀ɴ
သင်္ချိုင်း	θɪ̀ɴd͡ʑáɪɴ
ဘဏ်	bàɴ
ပလပ်ကြွတ်	pa̰laʔt͡ɕʊʔ
ဆန္ဒ	sʰàɴda̰
ဂေါက်	ɡaʊʔ
သူတော်သူမြတ်	θùdɔ̀θùmjaʔ
ရှိ	ʃḭ
သူရဿတီ	θùɹa̰θətì
မုန်လာဥနီ	mòʊɴlàʔṵnì
ဆား	sʰá
တော်သလင်း	tɔ̀ðəlɪ́ɴ
ပတ္တမြား	bədəmjá
နိုင်	nàɪɴ
ဝါသနာရှင်	wàðənàʃɪ̀ɴ
နီလာ	nìlà
မယ်တော်	mɛ̀dɔ̀
ကျိုက်ထီးရိုး	t͡ɕaɪʔtʰíjó
တိုးတက်	tótɛʔ
အော်ဒါ	ʔɔ̀dà
ပလွေ	pa̰lwè
မဲဇလီ	mɛ́zəlì
တင့်ကား	tɪ̰ɴká
သောက်	θaʊʔ
တိုကျို	tòt͡ɕò
ရေကာတာ	jèɡàdà
မဟာရဋ္ဌ	məhàjətʰa̰
ပိုးဟပ်	póhaʔ
ပင်စင်စား	pɪ̀ɴsɪ̀ɴsá
ပဒုမ	pədṵma̰
အသော	ʔəθɔ́
ကြောင်အိမ်	t͡ɕàʊɴʔèɪɴ
အပြစ်	ʔəpjɪʔ
ဖြည်းဖြည်း	pʰjébjé
ဗြဟ္မာ	bjəmà
ပါရီ	pàɹì
လေသာခန်း	lèðàɡáɴ
ထွက်ပြေး	tʰwɛʔpjé
ခကွေး	kʰa̰ɡwé
ရေသူ	jèðù
ပူဒီနာ	pùsìnà
မွေးနေ့	mwénḛ
လည်ပင်းကြီးရောဂါ	lìbɪ́ɴd͡ʑíjɔ́ɡà
ပြဿနာ	pjaʔθənà
ရုရု	jṵjṵ
အလုပ်လုပ်	ʔəloʊʔloʊʔ
ရွှေမျက်ပါး	ʃwèmjɛʔpá
သိရှိ	θḭʃḭ
ခါ	kʰà
သီဟိုဠ်သရက်	θìhòθəjɛʔ
မြောင်း	mjáʊɴ
အီရန်	ʔìɹàɴ
ဆန်းဒဝစ်	sʰáɴdəwɪʔ
မျက်စိ	mjɛʔsḭ
ဒင်္ဂါးတိုက်	dɪ̀ɴɡádaɪʔ
အုန်းမှန်ကူ	ʔóʊɴm̥àɴɡù
ခန္တီ	kʰàɴtì
နွေဦး	nwèʔú
ဓမ္မသတ်	dəməθaʔ
ထိုင်း	tʰáɪɴ
ပြင်းဟုပ်	pjɪ́ɴhoʊʔ
ဝမ်းသာ	wʊ́ɴθà
ဆရာတော်	sʰəjàdɔ̀
အမွေ	ʔəmwè
ကြက်သွန်မြိတ်	t͡ɕɛʔθʊ̀ɴmjeɪʔ
ဥဏ္ဏလုံ	ʔòʊɴnəlòʊɴ
ကံ	kàɴ
လိင်	lèɪɴ
ခံ	kʰàɴ
မဲခေါင်မြစ်	mɛ́kʰàʊɴmjɪʔ
ဂျင်	d͡ʑɪ̀ɴ
ဘူမိဗေဒ	bùmḭbèda̰
ငချိတ်	ŋət͡ɕʰeɪʔ
ဖား	pʰá
ဘိုင်စကုတ်	bàɪɴsəkoʊʔ
သစ္စာ	θɪʔsà
သူတော်စင်	θùdɔ̀zɪ̀ɴ
လှည်းကူး	l̥íkú
ရိက္ခါ	jeɪʔkʰà
ကောင်စစ်ဝန်ရုံး	kàʊɴsɪʔwʊ̀ɴjóʊɴ
မင်္ဂလာ	mɪ̀ɴɡəlà
ပြုံး	pjóʊɴ
မျှို့	m̥jo̰
ဘရူနိုင်း	bəɹùnáɪɴ
မင်းသား	mɪ́ɴðá
အမာ	ʔa̰mà
ဇိမ်မယ်	zèɪɴmɛ̀
မြေနင်းခွာစိုက်	mjènɪ́ɴkʰwàzaɪʔ
ဘောဂဗေဒ	bɔ́ɡa̰ta̰bèda̰
အကောင့်	ʔəka̰ʊɴ
ဗြိစ္ဆာ	bjeɪʔsʰà
မိတ်	meɪʔ
အကြံပေးချက်	ʔət͡ɕàɴpéd͡ʑɛʔ
ပိ	pḭ
စလွယ်	səlwè
လ	la̰
မြေဩဇာ	mjèʔɔ́zà
မရမာ	məɹəmà
သဲကန္တာရ	θéɡàɴdàja̰
အားလုံး	ʔálóʊɴ
သို့မဟုတ်	ðo̰məhoʊʔ
ပိုင်း	páɪɴ
ကန်စွန်းဥ	ɡəzʊ́ɴʔṵ
ကလမောင်း	kələmáʊɴ
နဂါး	nəɡá
လက်ရန်း	lɛʔjáɴ
လက်တန်း	lɛʔtáɴ
တောင်အာဖရိက	tàʊɴʔàpʰəɹḭka̰
အခေါက်	ʔəkʰaʊʔ
ကောလိပ်	kɔ́leɪʔ
ကြယ်သီး	t͡ɕɛ̀θí
နာရဒ	nàɹəda̰
ရှေး	ʃé
အလုပ်ရှင်	ʔəloʊʔʃɪ̀ɴ
ဒထွေး	da̰dwé
ပါဠိ	pàlḭ
ခြေအိတ်	t͡ɕʰèʔeɪʔ
မီးဖို	míbò
လေစုန်	lèzòʊɴ
ဆာရီ	sʰàɹì
ဩဂုတ်	ʔɔ́ɡoʊʔ
အင်ဒိုနီးရှား	ʔɪ̀ɴdòníʃá
ဂျီဘူတီ	d͡ʑìbùtì
ချမ်း	t͡ɕʰáɴ
ဘ	ba̰
အနောမဒဿီ	ʔənɔ́mədətθì
နရက်	nəɹɛʔ
ဓာတ်မီးပူ	daʔmíbù
ဂျော်နီ	d͡ʑɔ̀nì
ကင်မရွန်း	kɪ̀ɴma̰ɹʊ́ɴ
ရောဂန္တရကပ်	jɔ́ɡàɴtəɹa̰kaʔ
အကောက်	ʔəkaʊʔ
ဥပါလိ	ʔṵpàlḭ
ဇာတ်ညွှန်း	zàtɲ̊ʊ́ɴ
ဘာသာပြန်	bàðàpjàɴ
ဟော	hɔ́
ဒဏ်	dàn
ချင်း	d͡ʑɪ́ɴ
အချင်းဝက်	ʔət͡ɕʰɪ́ɴwɛʔ
သံချပ်	θəd͡ʑaʔ
သန်လျင်	θəɲɪ̀ɴ
တပ်မတော်နေ့	taʔmədɔ̀nḛ
ရခိုင်	jəkʰàɪɴ
ကြာဆံသုပ်	t͡ɕàzàɴθoʊʔ
ဇယား	zəjá
မှန်တော့	m̥àɴdɔ̰
ခွေးအိမ်	kʰwéʔèɪɴ
ရှင့်	ʃɪ̰ɴ
ကုလားပဲ	kələpɛ́
လက်သည်	lɛʔθɛ̀
သိဒ္ဓတ္ထ	θeɪʔdaʔtʰa̰
မီးရထား	míjətʰá
အရီး	ʔəjí
ကျပ်သား	t͡ɕaʔθá
ခံစား	kʰàɴzá
ငါးမုန့်	ŋámo̰ʊɴ
တပေါင်းလပြည့်နေ့	dəbáʊɴla̰pjḭnḛ
စန်း	sáɴ
လက်ဖက်သုပ်	ləpʰɛʔθoʊʔ
ပင့်ကူအိမ်	pɪ̰ɴɡùʔèɪɴ
နှစ်ဆယ့်တစ်	n̥ɪʔsʰɛ̰tɪʔ
သူတော်ကောင်း	θùdɔ̀ɡáʊɴ
လွှတ်ရုံးငါးရပ်	l̥ʊʔjóʊɴŋájaʔ
ရေသူမ	jèðùma̰
ဖက်ဆစ်ဝါဒ	pʰɛʔsʰɪʔwàda̰
စလုံး	sa̰lóʊɴ
အုတ်ကြွပ်	ʔoʊʔt͡ɕʊʔ
အာခါ	ʔàkʰà
အူမကြီး	ʔùma̰d͡ʑí
ဒွေးဘော်	dwébɔ̀
ကနား	kəná
ဝယ်	wɛ̀
သမာသမတ်	θəmàθəmaʔ
မူကြိုကျောင်း	mùd͡ʑòd͡ʑáʊɴ
အုန်းထမင်း	ʔóʊɴtʰəmɪ́ɴ
ကျောင်းသား	t͡ɕáʊɴðá
ဩစတြီးယား	ʔɔ́sətəɹìja̰
မေး	mé
အဖုံး	ʔəpʰóʊɴ
ဂါနာ	ɡànà
မုန့်လုံးရေပေါ်	mo̰ʊɴlóʊɴjèbɔ̀
ပိဿာ	peɪʔθà
မောရစ်ရှ	mɔ́ɹɪʔʃa̰
သောသော	θɔ́ðɔ́
ယောက်ျား	jaʊʔt͡ɕá
ပန်းချီဆရာ	bəd͡ʑìsʰəjà
မုန်လာထုပ်	mòʊɴlàdoʊʔ
ဆီ	sʰì
စီးကရက်	síkəɹɛʔ
ဒုက္ခသည်	doʊʔkʰa̰ðè
ယမ်း	jáɴ
မျှော်	m̥jɔ̀
ကြက်သီးထ	t͡ɕɛʔθéɪɴtʰa̰
ဖုန်းနံပါတ်	pʰóʊɴnàɴbaʔ
ညီမျှခြင်း	ɲìm̥ja̰d͡ʑɪ́ɴ
သားကြီး	θád͡ʑí
အဝတ်အစား	ʔəwʊʔʔəsá
ဝိုင်	wàɪɴ
ငှက်ပျောပေါင်း	ŋ̊əbjɔ́báʊɴ
ဆေးခန်း	sʰékʰáɴ
ညံစာစာ	ɲàɴsàzà
သံတမန်	θàɴtəmàɴ
တာတား	tàtá
ကျွဲပြည့်စင်	t͡ɕwɛ́pjḭzɪ̀ɴ
ဘုရင်	bəjɪ̀ɴ
