miyako	ˈmiˌəˌkoʊ
non-governmental	nɑnˌɡəvɝnˈmɛntəɫ
cutrale	ˈkəˌtɹeɪɫ
favourite	ˈfeɪvɝɪt
jamestown	ˈdʒeɪmzˌtaʊn
redolent	ˈɹɛdəɫənt
chebrikov	ˈtʃɛbɹɪˌkɑv
eyeshadow	ˈaɪˈʃædoʊ
kilburn	ˈkɪɫbɝn
gesundheit	ɡəˈzʊndhaɪt
citric	ˈsɪtɹɪk
cartons	ˈkɑɹtənz
cates	ˈkeɪts
fitzgibbon	ˌfɪtsˈdʒɪbən
debtholder	ˈdɛtˌhoʊɫdɝ
consuela	kənˈsweɪɫə
tinkered	ˈtɪŋkɝd
vescio	ˈvɛsioʊ
sieh	ˈsi
abstained	æbˈsteɪnd,əbˈsteɪnd
lewan	ˈɫuən
bud's	ˈbədz
eamon	ˈimən
bresette	bɹɪˈsɛt
deform	ˌdiˈfɔɹm
omer	ˈoʊmɝ
queuing	ˈkjuɪŋ
maynard	ˈmeɪnɝd
zachow	ˈzɑkoʊ
opponent's	əˈpoʊnənts
mimicking	ˈmɪmɪkɪŋ
danzy	ˈdænzi
threading	ˈθɹɛdɪŋ
uniting	juˈnaɪtɪŋ
housings	ˈhaʊzɪŋz
painstaking	ˈpeɪnˌsteɪkɪŋ
roma's	ˈɹoʊmɑz
emerging	ˈimɝdʒɪŋ,ɪˈmɝdʒɪŋ
submitting	səbˈmɪtɪŋ
amended	əˈmɛndɪd
dachau	ˈdækaʊ
klu	ˌkeɪˌɛɫˈju,ˈkɫu
pankow	ˈpæŋkoʊ
royster	ˈɹɔɪstɝ
whips	ˈwɪps,ˈhwɪps
panik	ˈpænɪk
counterinsurgencies	ˌkaʊntɝɪnˈsɝdʒənsiz
sears	ˈsɪɹz
bronston	ˈbɹɑnstən
nalbone	ˈnæɫˌboʊn
behlke	ˈbɛɫk
furniture	ˈfɝnɪtʃɝ
moger	ˈmoʊɡɝ
strove	ˈstɹoʊv
birthplace	ˈbɝθˌpɫeɪs
mithridate	ˈmɪθɹɪˌdeɪt
cushioned	ˈkʊʃənd
patchin	ˈpætʃɪn
rattlesnake	ˈɹætəɫsˌneɪk
iowans	ˈaɪəwənz,ˈaɪoʊənz
investigations	ˌɪnˌvɛstəˈɡeɪʃənz
extremely	ɛkˈstɹimɫi
summary	ˈsəmɝi
develops	dɪˈvɛɫəps
chasen	ˈtʃeɪsən
incur	ˌɪnˈkɝ
fattened	ˈfætənd
wilkins	ˈwɪɫkɪnz
invertebrates	ˌɪnˈvɝtəbɹəts,ˌɪnˈvɝtəˌbɹeɪts
virtually	ˈvɝtʃuəɫi,ˈvɝtʃuɫi
gladd	ˈɡɫæd
desalinization	diˌseɪɫɪnəˈzeɪʃən
crespo	ˈkɹɛspoʊ
decides	ˌdɪˈsaɪdz
choreographer	ˌkɔɹiˈɑɡɹəfɝ
copying	ˈkɑpiɪŋ
pardini	pɑɹˈdini
bruecher	ˈbɹutʃɝ
indemnify	ˌɪnˈdɛmnəˌfaɪ
mattucci	mɑˈtutʃi
conserving	kənˈsɝvɪŋ
sweden's	ˈswidənz
fyffe	ˈfaɪf
starr	ˈstɑɹ
sachse	ˈsætʃs
negroid	ˈniɡɹɔɪd
alexopoulos	æɫɪɡˈzɑpəɫɪs
subsistence	səbˈsɪstəns
falcons	ˈfæɫkənz
monotone	ˈmɑnəˌtoʊn
judgeships	ˈdʒədʒˌʃɪps
confederation	kənˌfɛdɝˈeɪʃən
shredding	ˈʃɹɛdɪŋ
hydrants	ˈhaɪdɹənts
handcuffs	ˈhændˌkəfs
trombly	ˈtɹɑmbɫi
bop	ˈbɑp
staunchly	ˈstɔntʃɫi
giefer	ˈɡifɝ
occupancy	ˈɑkjəpənsi
demilitarizes	diˈmɪɫətɝˌaɪzɪz
hurtt	ˈhɝt
bunge	ˈbəndʒ
abner	ˈæbnɝ
caldor	ˈkæɫdɔɹ
sluggers	ˈsɫəɡɝz
mahoney	məˈhoʊni
lafarge	ɫɑˈfɑɹdʒ
undocumented	ənˈdɑkjəmɛnɪd,ənˈdɑkjəmɛntɪd
khost	ˈkoʊst
adah	ˈædɑ
stage	ˈsteɪdʒ
mansel	ˈmænsəɫ
liasson	ˈɫaɪəsən
gallina	ɡɑˈɫinə
flashbulbs	ˈfɫæʃbəɫbz
vat	ˈvæt
municipalities	ˌmjunɪsəˈpæɫɪtiz
yam	ˈjæm
basner	ˈbæsnɝ
cuddeback	ˈkədbæk
nashville's	ˈnæʃˌvɪɫz
athanas	eɪˈθænəz
tandem	ˈtændəm
laura's	ˈɫɔɹəz
amoco	ˈæməkoʊ
marter	ˈmɑɹtɝ
mashantucket	ˌmæʃənˈtəkət
sniffier	ˈsnɪfiɝ
printable	ˈpɹɪntəbəɫ
girlfriends	ˈɡɝɫˌfɹɛndz
ur	ˈɝ
beidaihe	ˌbaɪˈdeɪhi
exclamations	ˌɛkskɫəˈmeɪʃənz
vigilance	ˈvɪdʒəɫəns
takach	ˈtækək
zobel	ˈzoʊbəɫ
ornithology	ˌɔɹnɪˈθɑɫədʒi
crump	ˈkɹəmp
bitterman's	ˈbɪtɝmənz
vandagriff	ˈvændəɡɹɪf,ˌvænˈdæɡɹɪf
binder	ˈbaɪndɝ
hammon	ˈhæmən
dieffenbach	ˈdifɪnbɑk
cugini	kuˈdʒini
clientele	ˌkɫaɪənˈtɛɫ
andi	ˈændi
azar	ɑˈzɑɹ
brickell	ˈbɹɪkəɫ
ladbroke's	ˈɫædˌbɹoʊks
siderographer	ˌsaɪdɝˈɔɡɹəfɝ
russification	ˌɹəsəfəˈkeɪʃən,ˌɹusəfəˈkeɪʃən
scourges	ˈskɝdʒɪz
bandaged	ˈbændədʒd
prowell	ˈpɹɑwɛɫ
ramble	ˈɹæmbəɫ
cedar	ˈsidɝ
hosoka	ˌhoʊˈsɑkə
odell	oʊˈdɛɫ
steve's	ˈstivz
lenora	ˈɫɛnɝə
zabel	ˈzeɪbəɫ
submerge	səbˈmɝdʒ
adapts	əˈdæpts
harrity	ˈhæɹɪti
linguistic	ɫɪŋˈɡwɪstɪk
ciaccia	siəˈsiə,tʃiəˈtʃiə
neglect	nɪˈɡɫɛkt,nəˈɡɫɛkt
hennigar	ˈhɛnɪɡɝ
tungsrom's	ˈtəŋzɹəmz
laudise	ˈɫɔˌdaɪz
maranville	mɑˈɹɑnvɪɫ
organizes	ˈɔɹɡəˌnaɪzɪz
worthen's	ˈwɝθənz
docklands	ˈdɑkɫəndz
anxieties	æŋˈzaɪətiz
smolka	ˈsmoʊɫkə
privacies	ˈpɹaɪvəsiz
revving	ˈɹɛvɪŋ
rototilles	ˈɹoʊtəˌtɪɫz,ˈɹoʊtoʊˌtɪɫz
horrifying	ˈhɔɹəˌfaɪɪŋ
waybright	ˈweɪˌbɹaɪt
overreached	ˈoʊvɝˌɹitʃt
grober	ˈɡɹoʊbɝ
adoptee	əˈdɑpˈti
abort	əˈbɔɹt
basie	ˈbeɪzi
runes	ˈɹunz
freemont	ˈfɹiˌmɑnt
melugin	ˈmɛɫəɡɪn
helton	ˈhɛɫtən
cadam	ˈkædəm
hemodynamics	ˌhɛmoʊdaɪˈnæmɪks
saddlebags	ˈsædəɫˌbæɡz
andros	ˈændɹɑs
cheer	ˈtʃɪɹ
olexa	əˈɫiksə
kaufman	ˈkɔfmən
crickets	ˈkɹɪkəts
artillery	ɑɹˈtɪɫɝi
misinterprets	mɪsɪnˈtɝpɹəts
o'bannon	oʊˈbænən
heskett	ˈhɛskɪt
rockette	ɹɑˈkɛt
suncook	ˈsənˌkʊk
flourishing	ˈfɫɝɪʃɪŋ
arbitrator's	ˈɑɹbəˌtɹeɪtɝz
actavas	ˌækˈtɑvəz
sorrels	ˈsɔɹəɫz
celestina	tʃɛɫɛˈstinə
gangbangers	ˈɡæŋbæŋɡɝz
intravenous	ˌɪntɹəˈvinəs
overused	ˌoʊvɝˈjuzd
scraper	ˈskɹeɪpɝ
feeler	ˈfiɫɝ
solidarity	ˌsɑɫəˈdɛɹəti
hughes'	ˈjuz,ˈhjuz
brue	ˈbɹu
morpheus	ˈmɔɹˌfiəs
posnick	ˈpɔsnɪk
karino	ˌkɛˈɹinoʊ
toenjes	ˈtoʊndʒɪz
ayesha	ˈaɪsɑ
chinn	ˈtʃɪn
schuette	ˈskut
gianotti	ˈdʒɑnoʊˌti
terranova	tɝɑˈnoʊvə
rained	ˈɹeɪnd
kardashian	ˈkɑdəˌʃeɪn
keiner	ˈkinɝ
stream	ˈstɹim
kief	ˈkif
superhero	ˌsupɝˈhiɹoʊ
boveri	boʊˈvɛɹi
junkbond	ˈdʒəŋkˌbɑnd
imposed	ˌɪmˈpoʊzd
armament	ˈɑɹməmənt
schoneman	ˈʃoʊnmən
reallowance	ˈɹiəˈɫaʊəns
sileo	ˈsɪɫioʊ
remoulded	ɹiˈmoʊɫdɪd
accetta	ɑˈtʃɛtə
marble's	ˈmɑɹbəɫz
coalitions	ˌkoʊəˈɫɪʃənz
tarmacs	ˈtɑɹˌmæks
idling	ˈaɪdəɫɪŋ,ˈaɪdɫɪŋ
altiplano	ˌæɫtəˈpɫɑˌnoʊ
cutrone	kuˈtɹoʊni
homefed	ˈhoʊmˌfɛd
finning	ˈfɪnɪŋ
wilinski	vɪˈɫɪnski
acheson's	ˈætʃəsənz
fullbright	ˈfʊɫˌbɹaɪt
oswalt	ˈɑswəɫt
d'alene's	dəˈɫinz
heiwa	ˈhaɪwə
shaking	ˈʃeɪkɪŋ
amphenol	ˈæmfənɔɫ
topless	ˈtɑpɫəs
liaison	ɫiˈeɪˌzɑn,ˈɫeɪˌzɑn
stains	ˈsteɪnz
tauber	ˈtaʊbɝ
romesburg	ˈɹoʊmzbɝɡ
marylebone	ˈmɝɫəboʊn
mg	ˌɛmˈɡi
offshore	ˈɔfˈʃɔɹ
shufflers	ˈʃəfəɫɝz,ˈʃəfɫɝz
sheng-fen	ˈʃɛŋˈfɛn
appenzeller	ˈæpɪnzəɫɝ
schipper	ˈʃɪpɝ
sample	ˈsæmpəɫ
dissuade	dɪˈsweɪd
lampl	ˈɫæmpəɫ
lyter	ˈɫaɪtɝ
foundering	ˈfaʊndɝɪŋ
tish	ˈtɪʃ
blares	ˈbɫɛɹz
lehrke	ˈɫɛɹk
valenzuela	vɑɫɛnˈzuɫə
shorenstein	ˈʃɔɹənstin,ˈʃɔɹənstaɪn
hughette	ˌjuˈɛt,ˌhjuˈɛt
kicked	ˈkɪkt
berated	bɪˈɹeɪtɪd
nickum	ˈnɪkəm
bellissimo	bɛɫiˈsimoʊ
deines	ˈdinz
discriminating	dɪsˈkɹɪməˌneɪtɪŋ
lifeguard	ˈɫaɪfˌɡɑɹd
vocation	voʊˈkeɪʃən
vivra	ˈvivɹə
strangis	ˈstɹændʒɪs
guterman	ˈɡjutɝmən
stringers	ˈstɹɪŋɝz
reexamined	ɹiɪɡˈzæmənd
helm	ˈhɛɫm
purchase	ˈpɝtʃəs
dichromate	daɪˈkɹoʊˌmeɪt,ˈdaɪkɹoʊˌmeɪt
fletchall	ˈfɫɛtʃəɫ
brocklehurst	ˈbɹɑkəɫhɝst
spaid	ˈspeɪd
floral	ˈfɫɔɹəɫ
mineworker	ˈmaɪnˌwɝkɝ
proffitt	ˈpɹɑfɪt
unsustainably	ˌənsəˈsteɪnəbɫi
pistachio	pəˈstæʃiˌoʊ
toehold	ˈtoʊˌhoʊɫd
perishing	ˈpɛɹɪʃɪŋ
muses	ˈmjuzəz,ˈmjuzɪz
musidora	musiˈdɔɹə
mintzer	ˈmɪntzɝ
tobar	ˈtoʊbɝ
wastewater	ˈweɪstˌwɔtɝ
mcqueeney	məˈkwini
godwin	ˈɡɑdwɪn
blasdell	ˈbɫæsdəɫ
helwig	ˈhɛɫwɪɡ
involved	ˌɪnˈvɑɫvd
rhoda	ˈɹoʊdə
gauntlet	ˈɡɔntɫət
accrediting	əˈkɹɛdətɪŋ
basilia	bɑˈsiɫiə
cackle	ˈkækəɫ
cho	ˈtʃoʊ
rarefy	ˈɹɛɹəfaɪ
durene	ˈdjuɹin
criminalist's	ˈkɹɪmənəɫɪsts
skalicky	skəˈɫɪki
carra	ˈkɑɹə
champaign	tʃæmˈpeɪn
daniel's	ˈdænjəɫz
sealey's	ˈsiɫiz
gaffe	ˈɡæf
decomposition	ˌdikəmpoʊˈzɪʃən,ˌdikəmpəˈzɪʃən
zoning	ˈzoʊnɪŋ
peeved	ˈpivd
unfunnily	ənˈfənəɫi
firebombing	ˈfaɪɝˌbɑmɪŋ
disassociated	ˌdɪsəˈsoʊʃieɪtəd,ˌdɪsəˈsoʊsieɪtəd
velobind	ˈvɛɫoʊˌbaɪnd,ˈvɛɫəbɪnd
impressment	ˌɪmˈpɹɛsmənt
sami's	ˈsæmiz
davisson	ˈdævɪsən
shatrov	ˈʃætɹɑv
trites	ˈtɹaɪts
anton	ˈænˌtɔn
cashless	ˈkæʃɫəs
births	ˈbɝθs
endless	ˈɛndɫəs
divisor	dɪˈvaɪzɝ
unabombings	ˈjunəˌbɔmɪŋz
intermet	ˌɪntɝˈmɛt
cribbage	ˈkɹɪbɪdʒ
bonte	ˈbɑnt
output	ˈaʊtˌpʊt
gallstone	ˈɡɔɫˌstoʊn
balkanization	ˌbɔɫkənɪˈzeɪʃən
schilling's	ˈʃɪɫɪŋz
szymborski	ʃɪmˈbɔɹski
lindholm	ˈɫɪndˌhoʊɫm
ledlow	ˈɫɛdˈɫoʊ
cuyahoga	ˌkaɪəˈhoʊɡə
simmonds	ˈsɪməndz
compose	kəmˈpoʊz
petrino	pɛˈtɹinoʊ
brewton	ˈbɹutən
movable	ˈmuvəbəɫ
alf	ˈæɫf
jingles	ˈdʒɪŋɡəɫz
pessimists	ˈpɛsəmɪsts
interrent	ˈɪnɝˌɛnt,ˈɪntɝˌɛnt
grunwald	ˈɡɹənˌwɔɫd
falgout	ˈfæɫɡaʊt
preakness	ˈpɹiknəs
zurowski	ˌzuˈɹoʊˌski
hires	ˈhaɪɝz,ˈhaɪɹz
louse	ˈɫaʊs
swaney	ˈswɔni
galik	ˈɡæɫɪk
scaggs	ˈskæɡz
mitamura	ˌmitəˈmʊɹə
confer	kənˈfɝ
caterwaul	ˈkætɝwɑɫ
furnishing	ˈfɝnɪʃɪŋ
synchronic	sɪŋˈkɹɑnɪk
dahlke	ˈdɑɫk
venison	ˈvɛnəsən
falsifying	ˈfɔɫsəˌfaɪɪŋ
thriller	ˈθɹɪɫɝ
olah	ˈoʊɫə,əˈɫɑ
edition's	ɪˈdɪʃənz
coleridge	ˈkoʊɫɹɪdʒ
revenues	ˈɹɛvənˌjuz,ˈɹɛvəˌnuz
amorphous	əˈmɔɹfəs
kawamura	ˌkaʊɑˈmʊɹə
veach	ˈvitʃ
cents	ˈsɛns,ˈsɛnts
picture	ˈpɪktʃɝ
lamagna	ɫɑˈmɑɡnɑ,ɫəˈmɑnjɑ
dissemination	dɪˌsɛməˈneɪʃən
motivator	ˈmoʊtəveɪtɝ
greens	ˈɡɹinz
gassman	ˈɡæsmən
bobsled	ˈbɑbˌsɫɛd
braithwaite	ˈbɹeɪθˌweɪt
pischke	ˈpɪʃk
cuoco	ˈkwoʊkoʊ
retail	ˈɹiˌteɪɫ
spanky	ˈspænˌki
responders	ɹɪˈspɑndɝz
ullock	ˈəɫək
colorfast	ˈkəɫɝˌfæst
arcs	ˈɑɹks
troughs	ˈtɹɔfs
rexroat	ˈɹɛksɹoʊt
inkblot	ˈɪŋkˌbɫɑt
hanifen	ˈhænɪfən
bossidy	ˈbɔsɪdi
boedecker	ˈboʊdɪkɝ
tories	ˈtɔˌɹiz
zedong	ˌziˌdəŋ,ˌzeɪˈdɔŋ
double	ˈdəbəɫ
mousetrap	ˈmaʊˌstɹæp
thresh	ˈθɹɛʃ
niess	ˈnis
nisbett	ˈnɪsbɪt
sheldahl	ˈʃɛɫˌdɑɫ
kohne	ˈkoʊn
rivals	ˈɹaɪvəɫz
priebe	ˈpɹib
scissors	ˈsɪzɝz
cloned	ˈkɫoʊnd
hofler	ˈhɑfɫɝ
golba	ˈɡoʊɫbə
kriese	ˈkɹiz
clouded	ˈkɫaʊdɪd
pedophile	ˈpɛdoʊfaɪɫ,ˈpɛdəfɪɫ
bolla	ˈbɑɫə
danced	ˈdænst
hustled	ˈhəsəɫd
evangelicals	ˌiˌvænˈdʒɛɫɪkəɫz
reamer's	ˈɹimɝz
defected	dɪˈfɛktɪd
bagel	ˈbeɪɡəɫ
mcnamer	məkˈneɪmɝ
matejka	məˈteɪkə
warped	ˈwɔɹpt
farold	ˈfæɹoʊɫd
newsletter's	ˈnuzˌɫɛtɝz
obstructions	əbˈstɹəkʃənz
incredulity	ˌɪnkɹəˈduɫɪti
dismuke	ˈdɪsmjuk
brum	ˈbɹəm
kopf	ˈkɔpf
columbine	ˈkɑɫəmˌbaɪn
countable	ˈkaʊntəbəɫ
clowers	ˈkɫaʊɝz
distributes	dɪˈstɹɪbjuts
machine's	məˈʃinz
pamphlets	ˈpæmfɫəts
miscavige	mɪˈskæˈvɪdʒ
greenough	ˈɡɹinəf
marian's	ˈmɛɹiənz
bynes	ˈbaɪnz
kinsey	ˈkɪnzi
macktal	ˈmæktəɫ
swanke	ˈswɔŋk
righteously	ˈɹaɪtʃəsɫi
io	ˈaɪoʊ
rotondi	ɹoʊˈtoʊndi
hillmer	ˈhɪɫmɝ
deale	ˈdiɫ
importantly	ˌɪmˈpɔɹtəntɫi
penikese	ˈpɛnɪˌkiz
jeffrey	ˈdʒɛfɹi
gawky	ˈɡɔki
developers	dɪˈvɛɫəpɝz
evildoers	ˈivəɫˌduɝz
bitting	ˈbɪtɪŋ
kirchhoff	ˈkɝkhɔf
pocock	ˈpɑkək
woelfle	ˈwoʊɫfəɫ
larmon	ˈɫɑɹmən
workday	ˈwɝkˌdeɪ
mcsorley	məkˈsɔɹɫi
reinaldo	ˌɹeɪˈnɑɫdoʊ
andreasen	ˈændɹisən
dunfee	ˈdənˌfi
vanzant	ˈvɑnzənt
stationers	ˈsteɪʃənɝz
ineffectiveness	ˌɪnəˈfɛktɪvnəs
texscan	ˈtɛkˌskæn
leppanen	ˈɫɛpənən
lame	ˈɫeɪm
paysops	ˈpeɪˌsɑps
tuber	ˈtubɝ
sightseer	ˈsaɪtˈsiɝ,ˈsaɪtˈsiɹ
intense	ˌɪnˈtɛns
belak	ˈbɛɫək
cellars	ˈsɛɫɝz
cosmetics	kɑzˈmɛtɪks
wortman	ˈwɝtmən
do	ˈdu
pizzazz	ˌpɪˈzæz
raffle	ˈɹæfəɫ
montanye	moʊnˈtɑnjeɪ
arman	ˈɑɹmən
term's	ˈtɝmz
mclay	məˈkɫeɪ
carburetor	ˈkɑɹbɝˌeɪtɝ
goergen	ˈɡɔɹɡən
midpriced	ˈmɪdˈpɹaɪst
oft	ˈɔft
sobered	ˈsoʊbɝd
chevron	ˈʃɛvɹən,ˈʃɛvɹɑn
twitching	ˈtwɪtʃɪŋ
mfume	məˈfuˌmeɪ
realcap	ˈɹiɫˌkæp
tolles	ˈtoʊɫz
quizard	ˈkwɪzɝd
fyodor	ˈfjoʊdɝ
matsuo	mɑtˈsuoʊ
generics	dʒəˈnɛɹɪks
marcilio	mɑɹˈsiɫioʊ
feel	ˈfiɫ
coverdale	ˈkəvɝˌdeɪɫ
denbow	ˈdɛnboʊ
addressee	ˌædɹɛˈsi
nightengales	ˈnaɪtɪŋɡəɫz
babbler	ˈbæbɫɝ
eggen	ˈɛɡən
tactically	ˈtæktɪkəɫi
rightfully	ˈɹaɪtfəɫi
knisely	ˈnaɪzɫi
delane	ˈdɛɫən
alco	ˈæɫkoʊ
foreclose	fɔɹˈkɫoʊz
bourbon	ˈbɝbən
richardt	ˈɹɪkɑɹt
hatchett	ˈhætʃɪt
engles	ˈɪŋəɫz
lamarre	ɫɑˈmɑɹi
cananea	ˌkænəˈniə
fogy	ˈfoʊɡi
anchors	ˈæŋkɝz
runzheimer	ˈɹənzˌhaɪmɝ
litvak	ˈɫɪtvək
francie	ˈfɹæŋki
knutzen	ˈnətzən
fairclough	ˈfɛɹkɫaʊ
acquired	əˈkwaɪɝd
stegmann	ˈstɛɡmən
thalia	ˈθeɪɫjə
eckerd	ˈɛkɝd
dermody	ˈdɝmədi
gillentine	ˈɡɪɫənˌtaɪn
kinko	ˈkɪŋˌkoʊ
herro	ˈhɛɹoʊ
bonczek	ˈbɑntʃɛk
sharply	ˈʃɑɹpɫi
vandersluis	ˈvændɝˌsɫuɪs,ˈvændɝˌsɫus
newswire	ˈnuzˌwaɪɹ
bureaucrats	ˈbjʊɹəˌkɹæts,ˈbjʊɹoʊˌkɹæts
cecil's	ˈsisəɫz
jurek	ˈjʊɹɛk,ˈdʒʊɹɛk
kozol	ˈkoʊzəɫ
telles	ˈtɛɫz
ranks	ˈɹæŋks
bialik	biˈɑˌɫɪk
erroneously	ɛˈɹoʊniəsɫi
lister	ˈɫɪstɝ
gibes	ˈdʒaɪbz
westernmost	ˈwɛstɝnˌmoʊst
dimpled	ˈdɪmpəɫd
outflanked	aʊtˈfɫæŋkt
dolman	ˈdɑɫmən
inactivate	ˌɪˈnæktɪˌveɪt
sandbagged	ˈsændˌbæɡd
vampiric	væmˈpɪɹɪk
froemming	ˈfɹoʊmɪŋ
midafternoon	ˈmɪˌdæftɝˌnun
goodrich's	ˈɡʊˌdɹɪtʃɪz
summerfield	ˈsəmɝˌfiɫd
murden	ˈmɝdən
potato	pəˈteɪˌtoʊ
litany	ˈɫɪtəni
baumgardner	ˈbaʊmˌɡɑɹdnɝ,ˈbɑmˌɡɑɹdnɝ
axes	ˈækˌsiz,ˈækˌsɪz
cypriot	ˈsɪpɹiˌɑt,ˈsɪpɹiət
bergstrausser	ˈbɝɡˌstɹaʊsɝ
feasibly	ˈfizəbɫi
lawman	ˈɫɔmən
rebuffs	ɹiˈbəfs
knighten	ˈnaɪtən
deducting	dɪˈdəktɪŋ
fallaw	ˈfæˌɫɔ
isleen	ˈaɪɫin
silks	ˈsɪɫks
ivorian	aɪˈvɔɹiən
vista	ˈvɪstə
counterproposal	ˈkaʊntɝpɹəˌpoʊzəɫ
oatmeal	ˈoʊtˌmiɫ
rawlings	ˈɹɔɫɪŋz
fatzinger	ˈfeɪtzɪŋɝ
undulates	ˈəndʒəˌɫeɪts
redacting	ɹɪˈdæktɪŋ
respond	ɹɪˈspɑnd,ɹiˈspɑnd
hamptons	ˈhæmptənz
readiness	ˈɹɛdinəs
illustrator	ˈɪɫəˌstɹeɪtɝ
martello	mɑɹˈtɛɫoʊ
showdowns	ˈʃoʊˌdaʊnz
back's	ˈbæks
acquiescence	ˌækwiˈɛsəns
leadville	ˈɫɛdˌvɪɫ
brinson	ˈbɹɪnsən
mortuary	ˈmɔɹtʃuˌɛɹi
hilbun	ˈhɪɫbən
heinzman	ˈhaɪnzmən
grandest	ˈɡɹændəst
avana's	əˈvænəz
hillhaven	ˈhɪɫˌheɪvən
commentary	ˈkɑmənˌtɛɹi
steimle	ˈstiməɫ
heartwarming	ˈhɑɹtˌwɔɹmɪŋ
caramelize	ˈkɛɹəməˌɫaɪz
amsouth	ˈæmˌsaʊθ
ontology	ɑnˈtɑɫədʒi
volvo	ˈvoʊɫvoʊ
leggio	ˈɫɛdʒioʊ
laroche	ɫɑˈɹoʊʃ,ɫɝˈoʊʃ
listed	ˈɫɪstəd,ˈɫɪstɪd
subterranean	səbtɝˈeɪniən
superconductors	ˈsupɝkənˌdəktɝz
aspirants	ˈæspɝəns,əˈspaɪɹənts,ˈæspɝənts,əˈspaɪɹəns
incisors	ˌɪnˈsaɪzɝz
commanding	kəˈmændɪŋ
arguelles	ɑɹˈɡeɪɫɛs
burkard	ˈbɝkɝd
nobatoshi	ˌnoʊbəˈtoʊʃi
ass	ˈæs
paganini	ˌpæɡəˈnini
duda	ˈdudə
fanciest	ˈfænsiəst
huesman	ˈhʊsmən
reichl	ˈɹaɪkəɫ
mckanna	məˈkænə
boos	ˈbuz
sobin	ˈsoʊbɪn
schaumburg	ˈʃaʊmbɝɡ
tights	ˈtaɪts
henehan	ˈhɛnɪhæn
crowing	ˈkɹoʊɪŋ
roberti	ɹəˈbɝti
phillip	ˈfɪɫɪp
cablec	ˈkæbɫək,ˈkeɪbəɫˈsi,ˈkeɪbɫɛk
chia	ˈtʃiə
leapfrogging	ˈɫipˌfɹɔɡɪŋ
masquerade	ˌmæskɝˈeɪd
equips	ɪˈkwɪps
immunological	ˌɪmjunəˈɫɑdʒɪkəɫ
munyon	ˈmənjən
ficom	ˈfɪkɑm
sammartino	sɑmɑɹˈtinoʊ
reunion	ɹiˈunjən
st-james	ˈseɪntˈdʒeɪmz
akron	ˈækɹən
wier	ˈwɪɹ
doxology	dɑkˈsɑɫədʒi
havis	ˈhævɪs
boehme	ˈboʊm,ˈbeɪm
muncey	ˈmənsi
carsey	ˈkɑɹsi
al-qaeda	ˌɑɫˈkaɪdɑ
monologues	ˈmɑnəˌɫɔɡz
unavailability	ənəˌveɪɫəˈbɪɫɪti
ferryboat	ˈfɛɹiˌboʊt
hakeem	hɑˈkim
bungey	ˈbəndʒi
leprosy	ˈɫɛpɹəsi
hershkowitz	ˈhɝʃkəwɪts
kaelin	ˈkɛɫɪn
maritime	ˈmɛɹəˌtaɪm
drunks	ˈdɹəŋks
meanders	miˈændɝz
bencher	ˈbɛntʃɝ
artist	ˈɑɹtɪst,ˈɑɹtəst
zaley's	ˈzeɪɫiz
edmison	ˈɛdmɪsən
kuttab	ˈkuˌtæb
dornin	ˈdɔnɪn
cbc	ˌsiˌbiˈsi
underutilize	ˈəndɝˌjutəˌɫaɪz
willard	ˈwɪɫɝd
lupe	ˈɫup
overzealous	ˌoʊvɝˈzɛɫəs
hougland	ˈhaʊɡɫənd
arda	ˈɑɹdə
controlling	kənˈtɹoʊɫɪŋ
brede	ˈbɹid
lebow's	ɫəˈboʊz
spainhour	ˈspaɪnaʊɹ
wiegmann	ˈwiɡmən
cranfield	ˈkɹænˌfiɫd
taos	ˈtaʊz
oppressions	əˈpɹɛʃənz
degeneration	dɪˌdʒɛnɝˈeɪʃən
anguish	ˈæŋɡwɪʃ
hastily	ˈheɪstəɫi
shellacking	ˌʃɛˈɫækɪŋ
telesis'	ˈtɛɫəˌsɪs
gannaway	ˈɡænəweɪ
stubbed	ˈstəbd
doorn	ˈdɔɹn
clairson	ˈkɫɛɹsən
barn	ˈbɑɹn
eccentricities	ˌɛksɛnˈtɹɪsɪtiz
hemry	ˈhɛmɹi
questioner	ˈkwɛstʃənɝ
karrick	ˈkæɹɪk
cambre	ˈkæmbɝ
infancy	ˈɪnfənsi
landmark's	ˈɫændˌmɑɹks
disappear	ˌdɪsəˈpiɹ,ˌdɪsəˈpɪɹ
resorting	ɹiˈsɔɹtɪŋ,ɹɪˈzɔɹtɪŋ,ɹiˈzɔɹtɪŋ
stanislas	stəˈnɪsɫəs
transparent	tɹænˈspɛɹənt
forebearance	ˌfɔɹˈbɛɹəns
ap	ˌeɪˈpi
disarmament	dɪˈsɑɹməmənt
bocchino	ˌboʊˈkinoʊ
harte	ˈhɑɹt
yawner	ˈjɔnɝ
wail	ˈweɪɫ
potamkin	ˈpoʊˌtæmkɪn
bole	ˈboʊɫ
credited	ˈkɹɛdɪtɪd,ˈkɹɛdətəd
aponte	əˈpɑnti
bohren	ˈbɔɹən
tamayo	tɑˈmɑjoʊ
dockyard	ˈdɑkˌjɑɹd
jerk-off	ˈdʒɝˈkɔf
whitaker	ˈhwɪtəkɝ,ˈwɪtəkɝ
hades	ˈheɪdz,ˈheɪdiz
employing	ɪmˈpɫɔɪɪŋ,ɛmˈpɫɔɪɪŋ
romano	ɹoʊˈmɑˌnoʊ
