артуына	ˈɑɾtwənɑ
аутизмге	ˈɑwtəjzmɡe
ыстығы	əstəʀə
жалақыларын	ʒɑɫˈɑqəɫɑɾən
телефонынан	telefˈonənɑn
Қоңырау	qˈoŋəɾɑw
шықсын	ʃəqsən
түскендерді	tuskendeɾdˈɪ
заңдылыққа	zˈɑŋdəɫəqqɑ
онымыз	ˈonəməz
алмағандар	ɑɫmɑʀɑndˈɑɾ
Хафез	xɑfˈez
қараудан	qɑɾɑwdˈɑn
саясаттағы	sɑjasɑttˈɑʀə
талпынады	tˈɑɫpənɑdə
фотосын	fotˈosən
жариялаушылардың	ʒˈɑɾəjjaɫɑwʃəɫɑɾdəŋ
мөлшерлеме	mɵɫʃeɾlemˈe
өтінішпен	ɵtɪnɪʃpˈen
келбетіне	keɫbetɪnˈe
білмеген	bɪɫmeɡˈen
біткен	bɪtkˈen
Ингушетия	əjnɡwʃetəjja
пункттер	pwnkttˈeɾ
ашсын	ˈɑʃsən
соғар	soʀˈɑɾ
төлегенін	tɵleɡenˈɪn
ойыңызды	ˈojəŋəzdə
ұялдым	ʊjˈaɫdəm
әкімінен	ækɪmɪnˈen
Өркешбаев	ɵɾkeʃbɑˈev
аянбай	ɑjanbˈɑj
қорғай	qoɾʀˈɑj
адамгершілікке	ɑdɑmɡeɾʃɪlɪkkˈe
Педро	pedɾˈo
қозғаушы	qozʀˈɑwʃə
тілшісіне	tɪɫʃɪsɪnˈe
Огнянова	oɡnjanovˈɑ
босқындары	bˈosqəndɑɾə
Комиссияға	kˈoməjssəjjaʀɑ
Қызылжарға	qəzəɫʒɑɾʀɑ
сарайға	sɑɾɑjʀˈɑ
ғылымын	ʀəɫəmən
өкінішке	ɵkɪnɪʃkˈe
Жұмаханов	ʒʊmɑxɑnˈov
Қилы	qəjɫə
Жұлдыздар	ʒˈʊɫdəzdɑɾ
қасиеттер	qˈɑsəjetteɾ
цехының	tsˈexənəŋ
Заңымыздың	zˈɑŋəməzdəŋ
Болаттың	boɫˈɑttəŋ
шоттарда	ʃottɑɾdˈɑ
Байзақ	bɑjzˈɑq
шағымды	ʃˈɑʀəmdə
тармақ	tɑɾmˈɑq
тасимыз	tˈɑsəjməz
Ұзынағаш	ˈʊzənɑʀɑʃ
еңсесін	eŋsesˈɪn
қайтпек	qɑjtpˈek
үкімде	ukɪmdˈe
жөндеуден	ʒɵndewdˈen
кеште	keʃtˈe
жетпек	ʒetpˈek
Моника	mˈonəjkɑ
ығыстыру	əʀəstəɾw
империяға	əjmpeɾəjjaʀɑ
биылға	bəjəɫʀɑ
Қарияның	qˈɑɾəjjanəŋ
Таразды	tɑɾˈɑzdə
үндейтін	undejtˈɪn
айы	ˈɑjə
алатындай	ɑɫˈɑtəndɑj
құстарды	qʊstˈɑɾdə
епископы	ˈepəjskopə
тұншықтырды	tˈʊnʃəqtəɾdə
Саясаткерлердің	sɑjasɑtkeɾleɾdˈɪŋ
іздері	ɪzdeɾˈɪ
МИЛЛИОН	məjɫɫəjon
адвокатымен	ɑdvokˈɑtəmen
ауысқанымен	ˈɑwəsqɑnəmen
кемесін	kemesˈɪn
қойдырып	qˈojdəɾəp
Наразылыққа	nɑɾˈɑzəɫəqqɑ
Бұйрық	bˈʊjɾəq
тергеп	teɾɡˈep
дәлдеп	dæɫdˈep
шақырымдағы	ʃˈɑqəɾəmdɑʀə
апатты	ɑpˈɑttə
мәтіннің	mætɪnnˈɪŋ
құбылыстардан	qˈʊbəɫəstɑɾdɑn
Америкасында	ɑmˈeɾəjkɑsəndɑ
Жүнісов	ʒunɪsˈov
тапқаннан	tɑpqɑnnˈɑn
Әлиевтер	ˈæɫəjevteɾ
экономикамыздың	ekonˈoməjkɑməzdəŋ
бауырына	bˈɑwəɾənɑ
тәйт	tˈæjt
лицензиялық	ɫəjtsenzəjjaɫəq
Мамин	mˈɑməjn
Асау	ɑsˈɑw
ұзаған	ʊzɑʀˈɑn
дыбыстық	dəbəstəq
психоневрологиялық	psəjxonevɾoɫoɡəjjaɫəq
провинциялық	pɾˈovəjntsəjjaɫəq
қимылдады	qəjməɫdɑdə
редакторлардың	ɾedɑktoɾɫˈɑɾdəŋ
Халықты	xˈɑɫəqtə
дамбал	dɑmbˈɑɫ
түбірі	tubɪɾˈɪ
түркітілдес	tuɾkɪtɪɫdˈes
алаңға	ɑɫɑŋʀˈɑ
өшіріп	ɵʃɪɾˈɪp
ошақтың	oʃˈɑqtəŋ
девальвацияны	devɑɫʔvˈɑtsəjjanə
тастар	tɑstˈɑɾ
алыпты	ˈɑɫəptə
Женяның	ʒenjˈanəŋ
Үстел	ustˈeɫ
округінде	okɾwɡɪndˈe
кірістері	kɪɾɪsteɾˈɪ
Ешқайсысы	eʃqˈɑjsəsə
төмендегідей	tɵmendeɡɪdˈej
таяғы	tɑjˈaʀə
Қаңғыбас	qˈɑŋʀəbɑs
тыңдаудан	təŋdɑwdɑn
болуын	bˈoɫwən
алтынына	ˈɑɫtənənɑ
тайды	tˈɑjdə
Сарысу	sˈɑɾəsw
жартыжылдығында	ʒˈɑɾtəʒəɫdəʀəndɑ
Тайбек	tɑjbˈek
шақыртулар	ʃˈɑqəɾtwɫɑɾ
Азаптау	ɑzɑptˈɑw
созатын	sozˈɑtən
кештік	keʃtˈɪk
Панамагейт	pɑnɑmɑɡˈejt
депортациясы	depoɾtˈɑtsəjjasə
қосылды	qˈosəɫdə
салығына	sˈɑɫəʀənɑ
жерлеп	ʒeɾlˈep
зейнетақысы	zejnetˈɑqəsə
свастика	svˈɑstəjkɑ
көрмесін	kɵɾmesˈɪn
мойнымен	mˈojnəmen
мұғалімдер	mʊʀɑlɪmdˈeɾ
Әбділұлы	æbdɪɫˈʊɫə
күштеп	kuʃtˈep
долларлық	doɫɫˈɑɾɫəq
кальян	kɑɫʔjˈan
Марлен	mɑɾlˈen
Жарайды	ʒɑɾˈɑjdə
базарларына	bɑzɑɾɫˈɑɾənɑ
жылайды	ʒəɫɑjdə
кәсіпкерлері	kæsɪpkeɾleɾˈɪ
анықтаған	ˈɑnəqtɑʀɑn
валютасының	vɑɫjutˈɑsənəŋ
айтыңдаршы	ˈɑjtəŋdɑɾʃə
полициядағы	pˈoɫəjtsəjjadɑʀə
қорғаймыз	qoɾʀˈɑjməz
күмәнін	kumænˈɪn
құруы	qˈʊɾwə
тұйықтан	tˈʊjəqtɑn
жылаймын	ʒəɫɑjmən
түсіргендер	tusɪɾɡendˈeɾ
қалғандарын	qɑɫʀɑndˈɑɾən
дайындаумен	dˈɑjəndɑwmen
баланың	bɑɫˈɑnəŋ
оқушылары	ˈoqwʃəɫɑɾə
орталыққа	oɾtˈɑɫəqqɑ
тоқтамайды	toqtɑmˈɑjdə
тауқыметке	tˈɑwqəmetke
секторларына	sektoɾɫˈɑɾənɑ
немістің	nemɪstˈɪŋ
тигеннен	təjɡennen
вирус	vəjɾws
Мүбәрәк	mubæɾˈæk
блогер	bɫoɡˈeɾ
Чиншанло	t͡ʃəjnʃɑnɫo
дайындалып	dˈɑjəndɑɫəp
барысымен	bˈɑɾəsəmen
продюсер	pɾodjusˈeɾ
қысы	qəsə
түсті	tustˈɪ
сирақ	səjɾɑq
бензинге	bˈenzəjnɡe
Телефон	telefˈon
қырау	qəɾɑw
мүгедектерді	muɡedekteɾdˈɪ
Югославия	juɡosɫˈɑvəjja
литрінің	ɫəjtɾɪnɪŋ
қудалауынан	qwdɑɫˈɑwənɑn
жүрегімен	ʒuɾeɡɪmˈen
Ұлыбританияны	ˈʊɫəbɾəjtɑnəjjanə
қимылдап	qəjməɫdɑp
Депутаттық	depwtˈɑttəq
орыстың	ˈoɾəstəŋ
режиссерлердің	ɾˈeʒəjsseɾleɾdɪŋ
дәліз	dælˈɪz
рейсі	ɾejsˈɪ
жанбай	ʒɑnbˈɑj
өшіре	ɵʃɪɾˈe
мақаласын	mɑqɑɫˈɑsən
конституция	kˈonstəjtwtsəjja
тереңнен	teɾeŋnˈen
қауымдастықты	qˈɑwəmdɑstəqtə
Судьялардың	swdʔjaɫˈɑɾdəŋ
танымайтын	tˈɑnəmɑjtən
мезгілі	mezɡɪlˈɪ
мигранттың	məjɡɾɑnttəŋ
бағалауынша	bɑʀɑɫˈɑwənʃɑ
дерегінше	deɾeɡɪnʃˈe
нәрселердің	næɾseleɾdˈɪŋ
Баубек	bɑwbˈek
өтелмеген	ɵteɫmeɡˈen
Германияның	ɡeɾmˈɑnəjjanəŋ
көтерілген	kɵteɾɪɫɡˈen
алауы	ɑɫˈɑwə
пакет	pɑkˈet
Ханабад	xɑnɑbˈɑd
айтқаннан	ɑjtqɑnnˈɑn
мемлекеттерінен	memleketteɾɪnˈen
суретті	swɾettˈɪ
парақтап	pɑɾɑqtˈɑp
көшкеннен	kɵʃkennˈen
қарекет	qɑɾekˈet
инаугурациясында	əjnɑwɡwɾɑtsəjjasəndɑ
Норвегиялық	noɾvˈeɡəjjaɫəq
қартаң	qɑɾtˈɑŋ
асыпты	ˈɑsəptə
тарифке	tˈɑɾəjfke
бейнежазбаға	bejneʒɑzbɑʀˈɑ
жаудыра	ʒˈɑwdəɾɑ
салудың	sˈɑɫwdəŋ
Ливан	ɫəjvɑn
Жолдауында	ʒoɫdˈɑwəndɑ
Дубайға	dwbɑjʀˈɑ
ойлану	ojɫˈɑnw
тағамдары	tɑʀɑmdˈɑɾə
жиналмақ	ʒəjnɑɫmɑq
жинайтын	ʒəjnɑjtən
артуын	ˈɑɾtwən
Кәрімов	kæɾɪmˈov
денсаулығы	densˈɑwɫəʀə
қатынаста	qˈɑtənɑstɑ
қулыққа	qwɫəqqɑ
Әскерилер	æskˈeɾəjleɾ
мұражайында	mʊɾɑʒˈɑjəndɑ
Оразалин	oɾɑzˈɑɫəjn
Домалақ	domɑɫˈɑq
дипломатияға	dəjpɫomɑtəjjaʀɑ
айналысуына	ɑjnˈɑɫəswənɑ
мина	məjnɑ
талқылаудың	tˈɑɫqəɫɑwdəŋ
мезгіл	mezɡˈɪɫ
тарифтерді	tˈɑɾəjfteɾdɪ
материалға	mɑtˈeɾəjɑɫʀɑ
түстес	tustˈes
кейбірін	kejbɪɾˈɪn
Бастан	bɑstˈɑn
көзіммен	kɵzɪmmˈen
өлтіргендерді	ɵɫtɪɾɡendeɾdˈɪ
әшкерелеген	æʃkeɾeleɡˈen
қоясын	qojˈasən
күз	kˈuz
материалдармен	mɑtˈeɾəjɑɫdɑɾmen
еңбек	eŋbˈek
шиша	ʃəjʃɑ
басқармаға	bɑsqɑɾmɑʀˈɑ
операциялары	opeɾˈɑtsəjjaɫɑɾə
шалуы	ʃˈɑɫwə
қайтыңдар	qˈɑjtəŋdɑɾ
қақтығыстарға	qˈɑqtəʀəstɑɾʀɑ
түрмелерге	tuɾmeleɾɡˈe
ұмытпағанымыз	ˈʊmətpɑʀɑnəməz
қалтасын	qɑɫtˈɑsən
жеткізушілер	ʒetkɪzwʃɪlˈeɾ
тәрбиенің	tˈæɾbəjenɪŋ
Абайды	ɑbˈɑjdə
баяндамасын	bɑjandɑmˈɑsən
қайнаса	qɑjnɑsˈɑ
Ойлы	ˈojɫə
иген	əjɡen
Сайлау	sɑjɫˈɑw
жымқырған	ʒəmqəɾʀɑn
бұрмалайды	bʊɾmɑɫˈɑjdə
футболына	fwtbˈoɫənɑ
дәрілік	dæɾɪlˈɪk
ерлікпен	eɾlɪkpˈen
қадір	qɑdˈɪɾ
сатпай	sɑtpˈɑj
талқыланатын	tˈɑɫqəɫɑnɑtən
тартпақ	tɑɾtpˈɑq
Академиялық	ɑkɑdˈeməjjaɫəq
Үндеуге	undewɡˈe
берілетін	beɾɪletˈɪn
подъездің	podʔezdˈɪŋ
интернеттен	əjnteɾnetten
кезі	kezˈɪ
журналисінің	ʒwɾnˈɑɫəjsɪnɪŋ
күте	kutˈe
таппапты	tɑppˈɑptə
арттыратын	ˈɑɾttəɾɑtən
қоймайтын	qojmˈɑjtən
білдіргісі	bɪɫdɪɾɡɪsˈɪ
ұясын	ʊjˈasən
мақсатымызға	mɑqsˈɑtəməzʀɑ
таластың	tɑɫˈɑstəŋ
жөнінен	ʒɵnɪnˈen
Амал	ɑmˈɑɫ
елшілігіндегі	eɫʃɪlɪɡɪndeɡˈɪ
акцияларға	ˈɑktsəjjaɫɑɾʀɑ
келсін	keɫsˈɪn
Голливудқа	ɡˈoɫɫəjvwdqɑ
жынысы	ʒənəsə
фойеде	fojedˈe
сценаристер	stsenˈɑɾəjsteɾ
музыкалық	mwzəkɑɫəq
түзетулер	tuzetwlˈeɾ
компаниядан	kompˈɑnəjjadɑn
халқыңның	xˈɑɫqəŋnəŋ
едені	edenˈɪ
барасыңдар	bɑɾˈɑsəŋdɑɾ
қосылмады	qˈosəɫmɑdə
сегізге	seɡɪzɡˈe
отбасын	otbˈɑsən
қырықтан	qəɾəqtɑn
сорғалаған	soɾʀɑɫɑʀˈɑn
үмітсіз	umɪtsˈɪz
сүйейді	sujejdˈɪ
кандидаттарды	kˈɑndəjdɑttɑɾdə
болмайын	boɫmˈɑjən
Ирақ	əjɾɑq
Төреші	tɵɾeʃˈɪ
Пхеньянның	pxenʔjˈannəŋ
туылып	twəɫəp
келгендігі	keɫɡendɪɡˈɪ
Иракты	əjɾɑktə
келетіндерді	keletɪndeɾdˈɪ
табиғат	tˈɑbəjʀɑt
қызықтар	qəzəqtɑɾ
пайдаланудан	pɑjdɑɫɑnwdˈɑn
бухгалтерлік	bwxɡɑɫteɾlˈɪk
текетіресті	teketɪɾestˈɪ
Сапарбек	sɑpɑɾbˈek
жарыста	ʒˈɑɾəstɑ
жанрдың	ʒˈɑnɾdəŋ
Шахтинск	ʃˈɑxtəjnsk
Саидовтың	sˈɑəjdovtəŋ
Немцов	nemtsˈov
жиналмай	ʒəjnɑɫmɑj
жұбайлар	ʒʊbɑjɫˈɑɾ
Алакөлдің	ɑɫɑkɵɫdˈɪŋ
бастағандықтан	bɑstɑʀˈɑndəqtɑn
қаржыландырғаны	qˈɑɾʒəɫɑndəɾʀɑnə
Александра	ɑleksɑndɾˈɑ
Петролеум	petɾolˈewm
девальвацияға	devɑɫʔvˈɑtsəjjaʀɑ
хатының	xˈɑtənəŋ
жағасында	ʒɑʀˈɑsəndɑ
кептелген	kepteɫɡˈen
келісу	kelˈɪsw
перзентханасында	peɾzentxɑnˈɑsəndɑ
қатпаған	qɑtpɑʀˈɑn
күтімге	kutɪmɡˈe
дәрігерлерден	dæɾɪɡeɾleɾdˈen
атпал	ɑtpˈɑɫ
жүргендер	ʒuɾɡendˈeɾ
сараптау	sɑɾɑptˈɑw
кезекшілік	kezekʃɪlˈɪk
қандасымыз	qɑndˈɑsəməz
кететіні	ketetɪnˈɪ
Марченконы	mɑɾt͡ʃenkˈonə
мұнараның	mʊnɑɾˈɑnəŋ
шығарылып	ʃəʀɑɾəɫəp
қаны	qˈɑnə
Оздоевтың	ozdoˈevtəŋ
аңды	ˈɑŋdə
көшеге	kɵʃeɡˈe
қақпаған	qɑqpɑʀˈɑn
ашудың	ˈɑʃwdəŋ
залда	zɑɫdˈɑ
мектептердің	mektepteɾdˈɪŋ
пысық	pəsəq
Бизиян	bəjzəjjan
Жақсылықова	ʒˈɑqsəɫəqovɑ
қорым	qˈoɾəm
ЖЭС	ʒˈes
экспортталатын	ekspoɾttɑɫˈɑtən
капитализмге	kˈɑpəjtɑɫəjzmɡe
сатирик	sˈɑtəjɾəjk
мүмкіндікті	mumkɪndɪktˈɪ
Сафаровтың	sɑfɑɾˈovtəŋ
жөндей	ʒɵndˈej
клубта	kɫwbtˈɑ
демейді	demejdˈɪ
корпорацияның	koɾpoɾˈɑtsəjjanəŋ
шуды	ʃwdə
жоқтықтан	ʒˈoqtəqtɑn
Глазго	ɡɫɑzɡˈo
еліміз	elɪmˈɪz
БҚО	bqˈo
мәдениетті	mædˈenəjettɪ
ставкасы	stɑvkˈɑsə
құрамда	qʊɾɑmdˈɑ
ынтымағын	əntəmɑʀən
шежіресін	ʃeʒɪɾesˈɪn
қайырымдылықпен	qˈɑjəɾəmdəɫəqpen
Дубайдан	dwbɑjdˈɑn
барлап	bɑɾɫˈɑp
жалған	ʒɑɫʀˈɑn
болушы	bˈoɫwʃə
шаруаларын	ʃɑɾwɑɫˈɑɾən
айтпағым	ɑjtpˈɑʀəm
артпаса	ɑɾtpɑsˈɑ
бүгінгінің	buɡɪnɡɪnˈɪŋ
ғалымды	ʀˈɑɫəmdə
тұлғасының	tʊɫʀˈɑsənəŋ
болғанды	boɫʀˈɑndə
ауамен	ɑwɑmˈen
тоспа	tospˈɑ
Собянин	sobjˈanəjn
орынында	ˈoɾənəndɑ
Жеңісгүл	ʒeŋɪsɡˈuɫ
тоқталған	toqtɑɫʀˈɑn
Цюрих	tsjˈuɾəjx
Қуат	qwˈɑt
күтеміз	kutemˈɪz
кандидатурасына	kˈɑndəjdɑtwɾɑsənɑ
Өмірзақова	ɵmɪɾzɑqovˈɑ
косметика	kosmˈetəjkɑ
қойылымы	qˈojəɫəmə
бауырынан	bˈɑwəɾənɑn
ұрлағанын	ʊɾɫɑʀˈɑnən
Жуаспаеваның	ʒwɑspɑevˈɑnəŋ
Әжіғалиева	æʒɪʀˈɑɫəjevɑ
ағымына	ˈɑʀəmənɑ
экспертиза	ekspˈeɾtəjzɑ
бітпей	bɪtpˈej
Сариевтің	sˈɑɾəjevtɪŋ
Чехия	t͡ʃˈexəjja
маңғаз	mɑŋʀˈɑz
ұштаса	ʊʃtɑsˈɑ
Шалғай	ʃɑɫʀˈɑj
Департаменттің	depɑɾtɑmenttˈɪŋ
сұрату	sʊɾˈɑtw
Үшарал	uʃɑɾˈɑɫ
шегуге	ʃeɡwɡˈe
оқығандары	ˈoqəʀɑndɑɾə
Нур	nwɾ
қарындасын	qˈɑɾəndɑsən
Суды	swdə
нақ	nˈɑq
Малайзияға	mɑɫˈɑjzəjjaʀɑ
бұруға	bʊɾwʀˈɑ
Нысанбаев	nəsɑnbɑev
Қадағалау	qɑdɑʀɑɫˈɑw
әжетханаға	æʒetxɑnɑʀˈɑ
айна	ɑjnˈɑ
жәрдемдесіп	ʒæɾdemdesˈɪp
балшықпен	bˈɑɫʃəqpen
фильмді	fəjɫʔmdɪ
турниріне	twɾnəjɾɪne
кедей	kedˈej
Қарақалпақ	qɑɾɑqɑɫpˈɑq
орманшы	oɾmˈɑnʃə
кеседі	kesedˈɪ
ашылуында	ˈɑʃəɫwəndɑ
мұрағатта	mʊɾɑʀɑttˈɑ
сезілген	sezɪɫɡˈen
сұлбасын	sʊɫbˈɑsən
жамандасақ	ʒɑmɑndɑsˈɑq
клубының	kɫwbənəŋ
жуығы	ʒwəʀə
өзенін	ɵzenˈɪn
бетоннан	betonnˈɑn
қаламгер	qɑɫɑmɡˈeɾ
біреумен	bɪɾewmˈen
режимдердің	ɾˈeʒəjmdeɾdɪŋ
қыздарына	qəzdɑɾənɑ
Соққыға	sˈoqqəʀɑ
шақырамын	ʃˈɑqəɾɑmən
ызғары	əzʀɑɾə
шарықтаған	ʃˈɑɾəqtɑʀɑn
келісер	kelɪsˈeɾ
Референдумнан	ɾefeɾendwmnˈɑn
сылтау	səɫtɑw
бұрғаны	bʊɾʀˈɑnə
имандылыққа	əjmɑndəɫəqqɑ
Хайт	xˈɑjt
резина	ɾˈezəjnɑ
топырлаған	tˈopəɾɫɑʀɑn
жүргендерді	ʒuɾɡendeɾdˈɪ
амбициясынан	ˈɑmbəjtsəjjasənɑn
бұзақылар	bʊzˈɑqəɫɑɾ
Лука	ɫwkˈɑ
Ұлының	ˈʊɫənəŋ
бөшкелер	bɵʃkelˈeɾ
амалдар	ɑmɑɫdˈɑɾ
атқаруды	ɑtqˈɑɾwdə
қорғауымыз	qoɾʀˈɑwəməz
орындауы	ˈoɾəndɑwə
жүкші	ʒukʃˈɪ
өлтіруі	ɵɫtɪɾwˈɪ
министрлікке	məjnəjstɾlɪkke
тамақтанып	tɑmɑqtˈɑnəp
толтырылуы	tˈoɫtəɾəɫwə
болайын	boɫˈɑjən
қораға	qoɾɑʀˈɑ
Мартиннің	mˈɑɾtəjnnɪŋ
кейіпкеріміз	kejɪpkeɾɪmˈɪz
топтық	tˈoptəq
ашылғаны	ˈɑʃəɫʀɑnə
мұсылмандықты	mˈʊsəɫmɑndəqtə
елжанды	eɫʒˈɑndə
жамағат	ʒɑmɑʀˈɑt
жұмыстарын	ʒˈʊməstɑɾən
темекіге	temekɪɡˈe
тәуелді	tæweɫdˈɪ
асырауына	ˈɑsəɾɑwənɑ
қолданушыларын	qoɫdˈɑnwʃəɫɑɾən
төрде	tɵɾdˈe
Осетияның	osˈetəjjanəŋ
радикалдық	ɾˈɑdəjkɑɫdəq
параны	pɑɾˈɑnə
мәшһүр	mæʃhˈuɾ
сиыры	səjəɾə
қабылданғалы	qˈɑbəɫdɑnʀɑɫə
елеген	eleɡˈen
қыркүйек	qəɾkujek
Максим	mˈɑksəjm
радиация	ɾˈɑdəjɑtsəjja
қойылып	qˈojəɫəp
естен	estˈen
жаңарып	ʒɑŋˈɑɾəp
сойқан	sojqˈɑn
өкіл	ɵkˈɪɫ
заңсыздығын	zˈɑŋsəzdəʀən
Алдымыздан	ˈɑɫdəməzdɑn
болып	bˈoɫəp
тебу	tˈebw
қатыстылығын	qˈɑtəstəɫəʀən
төбеліндей	tɵbelɪndˈej
досқа	dosqˈɑ
аңшы	ˈɑŋʃə
желісімен	ʒelɪsɪmˈen
қолдағанын	qoɫdɑʀˈɑnən
Болашақты	boɫɑʃˈɑqtə
қабылдаса	qˈɑbəɫdɑsɑ
таңғажайып	tɑŋʀɑʒˈɑjəp
пенде	pendˈe
жапсарлас	ʒɑpsɑɾɫˈɑs
топтастыра	toptˈɑstəɾɑ
тудырып	twdəɾəp
полициядан	pˈoɫəjtsəjjadɑn
дауаламайды	dɑwɑɫɑmˈɑjdə
уылдырық	wəɫdəɾəq
көтере	kɵteɾˈe
қатысушының	qˈɑtəswʃənəŋ
таразысына	tɑɾˈɑzəsənɑ
Кездесуге	kezdeswɡˈe
Косаревтің	kosɑɾevtˈɪŋ
отырушы	ˈotəɾwʃə
Дәркембай	dæɾkembˈɑj
әзірлеп	æzɪɾlˈep
техникадан	tˈexnəjkɑdɑn
ойламаппын	ojɫɑmˈɑppən
сабағынан	sɑbˈɑʀənɑn
колледждерде	koɫledʒdeɾdˈe
Робин	ɾˈobəjn
қайтармауға	qɑjtɑɾmɑwʀˈɑ
біткенін	bɪtkenˈɪn
Бұларды	bʊɫˈɑɾdə
жұмбақ	ʒʊmbˈɑq
алынуы	ˈɑɫənwə
туысқандар	twəsqɑndɑɾ
омырауын	ˈoməɾɑwən
көрер	kɵɾˈeɾ
маңында	mˈɑŋəndɑ
Түрмелерде	tuɾmeleɾdˈe
талаптармен	tɑɫɑptɑɾmˈen
Грегори	ɡɾeɡˈoɾəj
мойнымызда	mˈojnəməzdɑ
Айман	ɑjmˈɑn
шабуға	ʃɑbwʀˈɑ
адамдарымыз	ɑdɑmdˈɑɾəməz
химия	xəjməjja
диспансерге	dəjspɑnseɾɡe
ақшалы	ɑqʃˈɑɫə
ғана	ʀɑnˈɑ
алғанымызды	ɑɫʀˈɑnəməzdə
кәмелет	kæmelˈet
іліккен	ɪlɪkkˈen
Мұзафар	mʊzɑfˈɑɾ
дебатқа	debɑtqˈɑ
өзгеде	ɵzɡedˈe
Мұратбаев	mʊɾɑtbɑˈev
Баласының	bɑɫˈɑsənəŋ
көтеретін	kɵteɾetˈɪn
Бекназаровтың	beknɑzɑɾˈovtəŋ
жанаспайтын	ʒɑnɑspˈɑjtən
ындыны	əndənə
Бенедикт	benˈedəjkt
Әзербайжанға	æzeɾbɑjʒɑnʀˈɑ
жарақаттанып	ʒɑɾɑqɑttˈɑnəp
қатыспағаны	qˈɑtəspɑʀɑnə
төндіретінін	tɵndɪɾetɪnˈɪn
уәжімен	wæʒɪmˈen
құдайға	qʊdɑjʀˈɑ
тендерлерге	tendeɾleɾɡˈe
Бойжеткендер	bojʒetkendˈeɾ
Жолаушылардың	ʒoɫˈɑwʃəɫɑɾdəŋ
конфессия	konfˈessəjja
берілгені	beɾɪɫɡenˈɪ
көмектес	kɵmektˈes
аксиома	ˈɑksəjomɑ
төрағасының	tɵɾɑʀˈɑsənəŋ
консулдың	kˈonswɫdəŋ
тілім	tɪlˈɪm
қолдануда	qoɫdɑnwdˈɑ
қожайынын	qoʒˈɑjənən
науқастар	nɑwqɑstˈɑɾ
еркіммен	eɾkɪmmˈen
сериясының	sˈeɾəjjasənəŋ
амалға	ɑmɑɫʀˈɑ
курстың	kwɾstəŋ
кемшіліктерге	kemʃɪlɪkteɾɡˈe
алмағанын	ɑɫmɑʀˈɑnən
Хасан	xɑsˈɑn
қорларға	qoɾɫɑɾʀˈɑ
тағылар	tˈɑʀəɫɑɾ
постері	posteɾˈɪ
Украинадағы	wkɾˈɑəjnɑdɑʀə
жобасындағы	ʒobˈɑsəndɑʀə
қаскөй	qɑskˈɵj
Жанаттың	ʒɑnˈɑttəŋ
Жалақы	ʒɑɫˈɑqə
құрметтеймін	qʊɾmettejmˈɪn
тастан	tɑstˈɑn
Әбдірешид	æbdɪɾˈeʃəjd
ақбоз	ɑqbˈoz
берер	beɾˈeɾ
жойылуына	ʒˈojəɫwənɑ
тұрмыс	tˈʊɾməs
сатпақшы	sɑtpˈɑqʃə
дамыса	dˈɑməsɑ
сұрағымызға	sʊɾˈɑʀəməzʀɑ
Умберто	wmbeɾtˈo
бүлікшілерінің	bulɪkʃɪleɾɪnˈɪŋ
көзделіп	kɵzdelˈɪp
ұялы	ʊjˈaɫə
Нұх	nˈʊx
екпінді	ekpɪndˈɪ
жазылыңыз	ʒˈɑzəɫəŋəz
қиратып	qəjɾɑtəp
сотталғанына	sottɑɫʀˈɑnənɑ
бейітіне	bejɪtɪnˈe
сөзінен	sɵzɪnˈen
Тарбағатайдың	tɑɾbɑʀɑtˈɑjdəŋ
бейшараның	bejʃɑɾˈɑnəŋ
Сәрінжіповтің	sæɾɪnʒɪpovtˈɪŋ
бидайдың	bəjdɑjdəŋ
ханым	xˈɑnəm
жамандыққа	ʒɑmˈɑndəqqɑ
елшісі	eɫʃɪsˈɪ
аға	ɑʀˈɑ
әктеп	æktˈep
барғандай	bɑɾʀɑndˈɑj
Басқаша	bɑsqɑʃˈɑ
Тас	tˈɑs
нәрсені	næɾsenˈɪ
Ғаламторды	ʀɑɫɑmtˈoɾdə
фабрикасында	fˈɑbɾəjkɑsəndɑ
тұрғандары	tʊɾʀɑndˈɑɾə
жақтайтын	ʒɑqtˈɑjtən
қырқынан	qəɾqənɑn
қарусыздандыру	qˈɑɾwsəzdɑndəɾw
Надежда	nɑdeʒdˈɑ
қабы	qˈɑbə
ұстанымдары	ʊstˈɑnəmdɑɾə
Чехияға	t͡ʃˈexəjjaʀɑ
жатқанымызға	ʒɑtqˈɑnəməzʀɑ
ен	ˈen
жасағанымыз	ʒɑsɑʀˈɑnəməz
вокзалға	vokzɑɫʀˈɑ
кемінде	kemɪndˈe
Шүкеновтің	ʃukenovtˈɪŋ
ерсі	eɾsˈɪ
мәліметтерді	mælɪmetteɾdˈɪ
Автокөлік	ɑvtokɵlˈɪk
бейнематериалдар	bejnemɑtˈeɾəjɑɫdɑɾ
Кореямен	koɾejamˈen
қолымда	qˈoɫəmdɑ
жетемін	ʒetemˈɪn
панфиловшы	pˈɑnfəjɫovʃə
сұхбатын	sʊxbˈɑtən
сандарға	sɑndɑɾʀˈɑ
орындаушының	ˈoɾəndɑwʃənəŋ
Әсем	æsˈem
Мешітте	meʃɪttˈe
зардапты	zɑɾdˈɑptə
қайталау	qɑjtɑɫˈɑw
өмірлік	ɵmɪɾlˈɪk
