künjekleriniň	kˌønd͡ʒœklerˈiniŋ
ýasalan	jɑθˈɑɫɑn
Nusaýyň	nʊθˈojɯŋ
diýlende	dijlˈenne
göwün	ɡˈœβøn
Çykyşyň	t͡ʃɯqˈɯʃɯŋ
Aşgabatly	ˌɑʃʁɑβˈɑtɫɯ
bildirýär	billˈirjæːr
golaýyny	ɡˌoɫojˈɯnɯ
kottejler	qottˈed͡ʒler
üýtgedilmegine	ˌøːjtʁedˌilmeʁˈine
iýunynda	ˌijʊnˈʊnno
teleköpri	tˌelekˈœprø
goşantlaryny	ɡˌoʃontɫɑrˈɯnɯ
Patentiň	pɑtˈentiŋ
ylmy	ˈɯɫmɯ
Agentlik	ɑɡˈentlik
birleşiginiň	bˌirleʃiʁˈiniŋ
uzynlygyna	ˌʊðʊnɫʊʁˈɯnɑ
nyrhy	nˈɯrxɯ
döwründe	dœβrˈønnœ
oktýabrynda	ˌoqtjɑβrˈɯnnɑ
tejribesinden	tˌed͡ʒriβeθˈinnen
Pakistana	pˌɑqiθθˈɑnɑ
maksatnamalaýyn	mˌɑqθɑtnˌɑmɑɫˈɑjɯn
maslahatlaşmagy	mˌɑθɫɑxˌɑtɫɑʃmˈɑʁɯ
isleýiş	iθlˈejiʃ
şertnamasyna	ʃˌertnɑmɑθˈɯnɑ
çuň	t͡ʃˈʊŋ
urgusyny	ˌʊrʁʊθˈʊnʊ
derejelerdäki	dˌered͡ʒˌelerdˈæːkɪ
bagyny	bɑʁˈɯnɯ
saklaýjynyň	θˌɑqɫɑjd͡ʒˈɯnɯŋ
Röwşen	rˈœβʃœn
sungatlary	θˌʊnʁotɫˈɑrɯ
maýasyny	mˌɑjɑθˈɯnɯ
Abbas	ˈɑββɑθ
Halk	xˈɑɫk
saýlawlaryny	θˌɑjɫoβɫorˈɯnɯ
uçastoklarynyň	ˌʊt͡ʃoθθˌoqɫorˈʊnʊŋ
goraghanasynyň	ɡˌoroʁxˌonɑθˈɯnɯŋ
Şweýsariýa	ʃβˌejθɑrˈijɑ
raýatlygyny	rˌɑjɑtɫɯʁˈɯnɯ
çekmeýär	t͡ʃekmˈejæːr
haýyşnamaçy	xˌɑjɯʃnɑmˈɑt͡ʃɯ
tejribe	ted͡ʒrˈiβe
welosiped	βˌeloθˈiped
suwlary	θʊβɫˈorʊ
Lideri	lidˈeri
bozan	bˈoðon
ugruny	ʊʁrˈʊnʊ
yzygiderliligini	ˌɯðɯɡˌiderlˌiliʁˈini
tussaglykdan	tˌʊθθoʁɫˈʊqdɑn
görlen	ɡˈœrlœn
kapitany	qˌɑpitˈɑnɯ
baýram	bˈɑjrɑm
hyzmatdaşlygymyzyň	xˌɯðmɑtdˌɑʃɫɯʁɯmˈɯðɯŋ
seredilýäne	θˌerediljˈæne
aşyrmaga	ˌɑʃɯrmˈɑʁɑ
ýygymlar	jɯʁˈɯmɫɑr
üýtgedip	øːjtʁˈedip
dolulygyna	dˌoɫʊɫʊʁˈʊno
geçiriji	ɡˌet͡ʃirˈid͡ʒi
depgini	depʁˈini
münberiniň	mˌønmœrˈønøŋ
sazyny	θɑðˈɯnɯ
Ýaryşa	jɑrˈɯʃɑ
bugdaý	bˈʊʁdoj
dekabr	dˈekɑβr
Şunda	ʃˈʊnno
aşyrmagyň	ˌɑʃɯrmˈɑʁɯŋ
Latwiýanyň	ɫˌɑtβijˈɑnɯŋ
dakylýar	dɑqˈɯɫjɑr
Etrap	ˈetrɑːp
möhletde	mœhlˈœtdœ
çep	t͡ʃˈep
kemçilikleri	kˌemt͡ʃiliklˈeri
käbiri	kæβˈiri
Türkmenistana	tˌørkmœnøθθˈɑnɑ
bozulmalarynyň	bˌoðʊɫmˌoɫorˈɯnɯŋ
öndürilip	ˌœnnørˈøløp
Wedomstwoara	βˌedomθθβoˈɑrɑ
ýeňlişe	jeŋlˈiʃe
ýöreýän	jœrˈœjæn
enjamlaşdyrmaga	ˌend͡ʒɑmɫˌɑʃdɯrmˈɑʁɑ
merkezde	merkˈeððe
hasabatlylygynyň	xˌɑθɑβˌɑtɫɯɫɯʁˈɯnɯŋ
urup	ˈʊrʊp
Size	θˈiðe
tebigaty	tˌeβiʁˈɑtɯ
ilçi	ˈiːlt͡ʃi
bin	bˈin
şekilleri	ʃˌekillˈeri
ussalar	ʊθθˈoɫor
Kanunyny	qˌɑnʊnˈʊnʊ
çagyrdylar	t͡ʃˌɑʁɯrdˈɯɫɑr
islegini	ˌiθleʁˈini
taslamasynyň	tˌɑθɫɑmɑθˈɯnɯŋ
goraghanasynda	ɡˌoroʁxˌonɑθˈɯnnɑ
hereketleriniň	hˌerekˌetlerˈiniŋ
medallaryň	mˌedɑɫɫˈɑrɯŋ
ýeňmegi	jeŋmˈeʁi
işlemekde	ˌiʃlemˈekde
etraby	etrˈɑβɯ
Oguzhan	oʁˈʊðxon
mirasa	mirˈɑθɑ
ýygymyna	jˌɯʁɯmˈɯnɑ
jümmüşinde	d͡ʒˌømmøʃˈønnœ
derňew	dˈerŋœβ
artmagyny	ˌɑrtmɑʁˈɯnɯ
Stambul	θθˈɑmmʊɫ
arkalaşykly	ˌɑrqɑɫɑʃˈɯqɫɯ
Talyplaryň	tˌɑɫɯpɫˈɑrɯŋ
öndürilen	ˌœnnørˈølœn
şereketiniň	ʃˌereketˈiniŋ
ýekşenbesinde	jˌekʃenmeθˈinne
ýetirmeginde	jˌetirmeʁˈinne
ýyla	jˈɯɫɑ
döwri	dˈœβrø
žurnalda	ʒʊrnˈoɫɫo
Dynç	dˈɯnt͡ʃ
russiýaly	rˌʊθθijˈɑɫɯ
aýrylmagy	ˌɑjrɯɫmˈɑʁɯ
betbagtçylykly	bˌetβɑʁt͡ʃt͡ʃɯɫˈɯqɫɯ
baglylykda	bˌɑʁɫɯɫˈɯqdɑ
wekilini	βˌekilˈini
kanagatlandyrmakdan	qˌɑnɑʁˌɑtɫɑnnɯrmˈɑqdɑn
Nowruzyň	noβrˈʊðʊŋ
teswirnama	tˌeθβirnˈɑːmɑ
Telekeçiler	tˌeleket͡ʃˈiler
söhbetdeşlik	θˌœhβœtdˈœʃløk
Ylym	ˈɯɫɯm
tapgyrlary	tˌɑpʁɯrɫˈɑrɯ
gradus	ʁrˈɑdʊθ
gatnaşýan	ɡɑtnˈɑʃjɑn
ätiýaçlandyrma	ˌætijˌɑt͡ʃɫɑnnˈɯrmɑ
teatryna	tˌeɑtrˈɯnɑ
agaçlaryň	ˌɑʁɑt͡ʃɫˈɑrɯŋ
portuny	portˈʊnʊ
alma	ˈɑɫmɑ
geçirilişi	ɡˌet͡ʃirilˈiʃi
dalaşgärlige	dˌɑɫɑʃʁærlˈiʁe
bagyşlanyldy	bˌɑʁɯʃɫɑnˈɯɫɫɯ
köprüsini	kˌœprøθˈønø
düzgünnama	dˌøðʁønnˈɑːmɑ
gullugyň	ɡʊɫɫˈʊʁʊŋ
Törebeg	tœrˈœβœʁ
Günüň	ɡˈønøŋ
Öňdebaryjy	ˌœŋŋœβɑrˈɯd͡ʒɯ
durmuşynda	dˌʊrmʊʃˈʊnno
gezelençler	ɡˌeðelˈent͡ʃler
Bileleşigi	bˌileleʃˈiʁi
tabyn	tˈɑβɯn
bileleşiginde	bˌilelˌeʃiʁˈinne
Parfiýa	pɑrfˌijɑ
ussatlar	ʊθθˈotɫɑr
aýdylyşy	ˌɑjdɯɫˈɯʃɯ
ekin	ˈekin
seýilgähiň	θˌejilʁˈæhiŋ
hereketiniň	hˌereketˈiniŋ
müdirligi	mˌødørlˈiʁi
goşunyň	ɡoʃˈʊnʊŋ
kassiriň	qɑθθˈiriŋ
nyşana	nɯʃˈɑnɑ
rowaýat	roβˈojɑt
emläge	emlˈæʁe
täsiri	tæθˈiri
dogluş	dˈoʁɫʊʃ
barlan	bˈɑrɫɑn
bermese	bermˈeθe
kanunyna	qˌɑnʊnˈʊnɑ
geljegi	ɡeld͡ʒˈeʁi
şäherjigi	ʃˌæherd͡ʒˈiʁi
Nygtalyşy	nˌɯʁtɑɫˈɯʃɯ
gurulmagy	ɡˌʊrʊɫmˈoʁʊ
gaýtadan	ɡɑjtˈɑdɑn
jemlär	d͡ʒˈemlær
başlyklary	bˌɑʃɫɯqɫˈɑrɯ
düýbüniň	døːjbˈønøŋ
pursatlarda	pˌʊrθotɫˈɑrdɑ
ylalaşmak	ˌɯɫɑːɫɑʃmˈɑq
kilometrlik	kˌilomˈetrlik
garamak	ɡˌɑrɑmˈɑq
çagyrýan	t͡ʃɑʁˈɯrjɑn
dönderilendigi	dˌœnnœrˌølœnnˈiʁi
Toparymyzyň	tˌoporʊmˈʊðɯŋ
Italiýa	ˌitɑɫˈijɑ
käri	kˈæri
özgertmelerini	ˌœðʁœrtmˌelerˈini
nyşanydyr	nˌɯʃɑnˈɯdɯr
daşynda	dɑʃˈɯnnɑ
gözelleşýän	ɡˌœðœllˈœʃjæn
babynda	bɑβˈɯnnɑ
jemläp	d͡ʒˈemlæːp
eýerip	ejˈerip
türkmeniň	tørkmˈœnøŋ
eýeçilik	ˌejet͡ʃˈilik
owadanlygyny	ˌoβodˌonɫʊʁˈɯnɯ
bermezlik	bˌermeðlˈik
awariýa	ˌoβɑrˈijɑ
ýerüsti	jerˈøθθø
taýýardygy	tˌɑjjɑrdˈɯʁɯ
gatançlary	ɡˌɑtɑnt͡ʃɫˈɑrɯ
oýunlaryň	ˌojʊnɫˈorʊŋ
ýöretmegiň	jˌœrœtmˈœʁiŋ
ählisiniň	ˌæhliθˈiniŋ
ilata	ilˈɑtɑ
Lukaşenko	ɫˌʊqoʃˈenqo
şertnamasy	ʃˌertnɑmˈɑθɯ
raýatlary	rˌɑjɑtɫˈɑrɯ
Ruhabat	rʊxˈoβot
gatnaşmaklary	ɡˌɑtnɑʃmɑqɫˈɑrɯ
çäklendirilmedik	t͡ʃˌæklennˌirilmˈedik
maksatnamany	mˌɑqθɑtnɑmˈɑnɯ
gelenler	ɡelˈenler
hukuklary	xˌʊqʊqɫˈorʊ
tutujynyň	tˌʊtʊd͡ʒˈʊnʊŋ
möhüm	mˈœhøm
edilip	edˈilip
hukuklaryny	xˌʊqʊqɫorˈʊnʊ
eseri	eθˈeri
sportuny	θportˈʊnʊ
çekmegiň	t͡ʃekmˈeʁiŋ
döwürleri	dˌœβørlˈœrø
zerurdyr	ðerˈʊrdʊr
Tutuşlygyna	tˌʊtʊʃɫʊʁˈʊnɑ
ojaklarynyň	ˌod͡ʒoqɫorˈɯnɯŋ
baýramyna	bˌɑjrɑmˈɯnɑ
öwşün	ˈœβʃøn
tamamlanmadyk	tˌɑmɑmɫɑnmˈɑdɯq
etraplary	ˌetrɑpɫˈɑrɯ
durmuşyň	dʊrmˈʊʃʊŋ
başyndan	bɑʃˈɯnnɑn
elbetde	elβˈetde
çekip	t͡ʃˈekip
Uçastok	ʊt͡ʃˈoθθoq
watandaşlarymyz	βˌɑtɑnnˌɑʃɫɑrˈɯmɯð
Döwran	dˈœβrɑːn
goranyş	ɡorˈonʊʃ
wekilhanalaryň	βˌekilxˌɑnɑɫˈɑrɯŋ
bildirýänleriň	bˌillirjænlˈeriŋ
hojalyklary	xˌod͡ʒoɫʊqɫˈorɯ
Türkmenenergo	tˌørkmœnenˈerʁo
Türki	tˈørkø
gatynda	ɡɑtˈɯnnɑ
dil	dˈil
kaşaň	qˈɑʃɑŋ
Alyhezretiňize	ˌɑɫɯxˌeðretiŋˈiðe
musulman	mʊθˈʊɫmon
gelmelidir	ɡˌelmelˈidir
otlara	otɫˈoro
köpçülige	kˌœpt͡ʃølˈøʁœ
hereketlerini	hˌerekˌetlerˈini
Aman	ˈɑmɑːn
altysyny	ˌɑɫtɯθˈɯnɯ
netijeleriň	nˌetid͡ʒelˈeriŋ
pullaryň	pʊɫɫˈorʊŋ
Koreýanyň	qˌorejˈɑnɯŋ
bolardy	boɫˈordʊ
teplisadaky	tˌepliθɑdˈɑːqɯ
çykmagyny	t͡ʃˌɯqmɑʁˈɯnɯ
patente	pɑtˈente
Ýapon	jˈɑpon
ürgün	ˈørʁøn
Türkmenbaşy	tˌørkmœnmˈɑʃɯ
jerime	d͡ʒerˈime
iki	ˈiki
meýletin	mejlˈetin
wakalarynyň	βˌɑqɑɫɑrˈɯnɯŋ
býujete	bjʊd͡ʒˈete
mana	mˈɑnɑ
kitapçasy	kˌitɑpt͡ʃˈɑθɯ
guşy	ɡˈʊʃʊ
öwrenip	œβrˈœnøp
sebitinde	θˌeβitˈinne
gurluşykçylar	ɡˌʊrɫʊʃʊqt͡ʃˈʊɫɑr
howandarlyk	xˌoβonnˈorɫɯq
guramaçysy	ɡˌʊromot͡ʃˈɯθɯ
tertipnamasyna	tˌertipnˌɑmɑθˈɯnɑ
künjekleri	kˌønd͡ʒœklˈeri
Olimpiýa	ˌoɫimpˈijɑ
kime	kˈime
geçirmekden	ɡˌet͡ʃirmˈekden
durnukly	dʊrnˈʊqɫʊ
Erkin	ˈerkin
kanunlarynyň	qˌɑnʊnɫorˈʊnʊŋ
emlägini	ˌemlæʁˈini
Sanjar	θˈɑnd͡ʒɑr
giden	ɡˈiden
öndürmekde	ˌœnnørmˈœkde
mebeller	meβˈeller
ýeriň	jˈeriŋ
agajy	ɑʁˈɑd͡ʒɯ
sebäpler	θeβˈæpler
Saglygy	θɑʁɫˈɯʁɯ
Hatyra	xɑtˈɯrɑ
müdimilik	mˌødømˈølik
şolary	ʃoɫˈorʊ
ýeňişleriniň	jˌeŋiʃlerˈiniŋ
žurnal	ʒˈʊrnoɫ
Guşakly	ɡʊʃˈoqɫʊ
ýürek	jˈørœk
guraýjylar	ɡˌʊrojd͡ʒˈɯɫɑr
etrabyndaky	ˌetrɑβɯndˈɑːqɯ
ýaşulularyň	jˌɑʃʊɫʊɫˈorʊŋ
özleşdirip	ˌœðlœʃdˈørøp
buýsanjyny	bˌʊjθɑnd͡ʒˈɯnɯ
sebitinden	θˌeβitˈinnen
köptaraply	kˌœptɑrˈɑpɫɯ
Degişli	deʁˈiʃli
üstünlik	øθθˈønløk
ýetirmän	jetˈirmæn
häkimi	hækˈimi
namaz	nˈɑmɑːð
etdiler	etdˈiler
geňeşine	ɡˌeŋeʃˈine
etrabyň	etrˈɑβɯŋ
tabşyryldy	tˌɑβʃɯrˈɯɫɫɯ
çatynjalar	t͡ʃˌɑtɯnd͡ʒˈɑɫɑr
duşuşygynda	dˌʊʃʊʃʊʁˈʊnnɑ
saparda	θɑpˈɑrdɑ
aragatnaşygyň	ˌɑrɑʁˌɑtnɑʃˈɯʁɯŋ
derýanyň	derjˈɑnɯŋ
garşydaşyny	ɡˌɑrʃɯdɑʃˈɯnɯ
uzap	ˈʊðoːp
talaplaryny	tˌɑɫɑpɫɑrˈɯnɯ
senesinde	θˌeneθˈinne
daşalmagyny	dˌɑʃɑɫmɑʁˈɯnɯ
Owganystanyň	ˌoβʁonʊθθˈɑnɯŋ
bolanlar	boɫˈonɫor
münberiň	mønmˈœrøŋ
zatlaryny	ðˌɑtɫɑrˈɯnɯ
mermer	mˈermer
çykmaga	t͡ʃɯqmˈɑʁɑ
kadalaşdyrmak	qˌɑdɑɫˌɑʃdɯrmˈɑq
Russiýadan	rˌʊθθijˈɑdɑn
şadyýanlyk	ʃˌɑdɯjˈɑnɫɯq
maksadyny	mˌɑqθɑdˈɯnɯ
dowamly	doβˈomɫʊ
goşulýan	ɡoʃˈʊɫjɑn
oýunda	ojˈʊnno
beýläkki	bejlˈækki
gatnaşyklarymyzyň	ɡˌɑtnɑʃˌɯqɫɑrɯmˈɯðɯŋ
Kireýine	kˌirejˈine
dowarlaryň	dˌoβorɫˈorɯŋ
ussatlygynyň	ˌʊθθotɫʊʁˈɯnɯŋ
kesilýär	keθˈiljæːr
Swerdlowsk	θβˈerdɫoβθk
netijeleri	nˌetid͡ʒelˈeri
erkeklere	ˌerkeklˈere
göterimini	ɡˌœtœrømˈini
myhmanlaryny	mˌɯxmɑnɫɑrˈɯnɯ
taýýarlamagy	tˌɑjjɑrɫɑmˈɑʁɯ
energetiki	ˌenerʁetˈiki
üstünde	øθθˈønnœ
pikiriniň	pˌikirˈiniŋ
Kanunyna	qˌɑnʊnˈʊnɑ
enjamlarynyň	ˌend͡ʒɑmɫɑrˈɯnɯŋ
häkimligi	hˌækimlˈiʁi
ýokumly	joqˈʊmɫʊ
çempionatda	t͡ʃˌempionˈotdo
hyzmatdaşlaryň	xˌɯðmɑtdɑʃɫˈɑrɯŋ
menzilini	mˌenðilˈini
ýerinden	jerˈinnen
minutynda	mˌinʊtˈʊnno
zähmetiniň	ðˌæhmetˈiniŋ
terbiýe	terβˈije
bolýandygynyň	bˌoɫjɑnnɯʁˈɯnɯŋ
alternatiw	ˌɑɫternˈɑtiβ
Noýabr	nˈojɑβr
ýoly	jˈoːɫʊ
bilermenleriň	bˌilermenlˈeriŋ
bugdaýdan	bʊʁdˈojdɑn
baharyň	bɑxˈɑrɯŋ
belleýän	bellˈejæn
bildirýäris	bˌillirjˈæːriθ
aşyrylar	ˌɑʃɯrˈɯɫɑr
raýatlaryna	rˌɑjɑtɫɑrˈɯnɑ
jemgyýete	d͡ʒˌemʁɯjˈete
edilmän	edˈilmæn
taýýardyklaryny	tˌɑjjɑrdˌɯqɫɑrˈɯnɯ
üpjünçiligini	ˌøpd͡ʒønt͡ʃˌøløʁˈini
geçireris	ɡˌet͡ʃirˈeriθ
binýadynyň	bˌinjɑdˈɯnɯŋ
setirleri	θˌetirlˈeri
girew	ɡˈirœβ
halysynyň	xˌɑɫɯθˈɯnɯŋ
seljerişiniň	θˌeld͡ʒeriʃˈiniŋ
mallar	mˈɑɫɫɑr
geçirilmeginde	ɡˌet͡ʃirˌilmeʁˈinne
etraplarynyň	ˌetrɑpɫɑrˈɯnɯŋ
açýar	ˈɑt͡ʃjɑr
kesilenleriň	kˌeθilenlˈeriŋ
çäresine	t͡ʃˌæreθˈine
Berdimuhamedowyň	bˌerdimˌʊxomedˈoβʊŋ
aşyrdylar	ˌɑʃɯrdˈɯɫɑr
strategiýanyň	θθrˌɑteʁijˈɑnɯŋ
eserlerine	ˌeθerlerˈine
saýlaw	θˈɑjɫoβ
Türkmenistanda	tˌørkmœnøθθˈɑnnɑ
saýlandy	θɑjɫˈɑnnɯ
çapuw	t͡ʃˈɑpʊβ
hasabyny	xˌɑθɑβˈɯnɯ
hokkeýçileri	xˌoqkejt͡ʃilˈeri
çärelere	t͡ʃˌærelˈere
Tussag	tˈʊθθoʁ
ň	ˈɛŋ
ýüplük	jˈøpløk
düzgünler	døðʁˈønlœr
girdejisini	ɡˌirded͡ʒiθˈini
Ýaryşlara	jˌɑrɯʃɫˈɑrɑ
girdejisine	ɡˌirded͡ʒiθˈine
gulluklarynyň	ɡˌʊɫɫʊqɫorˈʊnʊŋ
alamatlandyrýar	ˌɑɫɑmˌɑtɫɑnnˈɯrjɑr
syýasatyna	θˌɯjɑθɑtˈɯnɑ
gürrüň	ɡˈørrøŋ
wezipeli	βˌeðipˈeli
himiki	himˈiki
saklamagyň	θˌɑqɫɑmˈɑʁɯŋ
Bütin	bˈøtøːn
gaznalary	ɡˌɑðnɑɫˈɑrɯ
ülňüleriniň	ˌølŋølœrˈøniŋ
asyr	ˈɑθɯr
Mundan	mˈʊnnon
tarapdan	tɑrˈɑpdɑn
saklanýar	θɑqɫˈɑnjɑr
näderejede	nˌædered͡ʒˈede
ýadynda	jɑdˈɯnnɑ
demirbeton	dˌemirβˈeton
tutuş	tˈʊtʊʃ
peýdasyna	pˌejdɑθˈɯnɑ
laýyklykda	ɫˌɑjɯqɫˈɯqdɑ
ilatyň	ilˈɑtɯŋ
Taslamany	tˌɑθɫɑmˈɑnɯ
üçüsine	ˌøt͡ʃøθˈønœ
çapa	t͡ʃˈɑpɑ
binýatlaýyn	bˌinjɑtɫˈɑjɯn
Şäheriň	ʃæhˈeriŋ
synagy	θɯnˈɑʁɯ
Köşgüň	kˈœʃʁøŋ
isleglerine	ˌiθleʁlerˈine
ýetirýän	jetˈirjæn
Raýat	rˈɑjɑt
kalbynyň	qɑɫβˈɯnɯŋ
häsiýetleriniň	hˌæθijˌetlerˈiniŋ
strategiki	θθrˌɑteʁˈiki
türkmenistanlylar	tˌørkmœnˌøθθɑnɫˈɯɫɑr
kanunçylygynda	qˌɑnʊnt͡ʃˌʊɫʊʁˈʊnnɑ
SMART	θmˈɑrt
gatnaşygyny	ɡˌɑtnɑʃɯʁˈɯnɯ
deňeşdirilende	dˌeŋeʃdˌirilˈenne
hassahananyň	xˌɑθθɑxɑnˈɑnɯŋ
formada	fˌormˈodo
nyň	nˈɯŋ
ýetirilipdir	jˌetirilˈipdir
hyzmatdaşlykSergiler	xˌɯðmɑtdˈɑʃɫɯqθerʁˈiler
esgerleriniň	ˌeθʁerlerˈiniŋ
etmegiň	etmˈeʁiŋ
Inçhon	ˈint͡ʃxon
dilinden	dilˈinnen
kanunlarynda	qˌɑnʊnɫorˈʊnnɑ
depginlerde	dˌepʁinlˈerde
haklydyr	xɑqɫˈɯdɯr
daýanjy	dɑjˈɑnd͡ʒɯ
Türkmenhowaýollary	tˌørkmœnxˌoβojoɫɫˈorʊ
grossmeýsteri	ʁrˌoθθmejθθˈeri
gowularyň	ɡˌoβʊɫˈorʊŋ
elektron	elˈektron
razylyk	rɑðˈɯɫɯq
paýtagtymyzyň	pˌɑjtɑʁtɯmˈɯðɯŋ
suwlarynyň	θˌʊβɫorˈʊnʊŋ
Azat	ˈɑðɑːt
düýn	dˈøːjn
syýasatynyň	θˌɯjɑθɑtˈɯnɯŋ
ugurlarynyň	ˌʊʁʊrɫorˈʊnʊŋ
şäherinde	ʃˌæherˈinne
gowşurdy	ɡoβʃˈʊrdʊ
garşylaýar	ɡˌɑrʃɯɫˈɑjɑr
ýerler	jˈerler
hoşallygyň	xˌoʃoɫɫˈʊʁɯŋ
forumy	fˌorˈʊmʊ
örtülen	œrtˈølœn
guramanyň	ɡˌʊromˈonɯŋ
yhlas	ˈɯxɫɑθ
galdyrýar	ɡɑɫɫˈɯrjɑr
enjamlaşdyrmak	ˌend͡ʒɑmɫˌɑʃdɯrmˈɑq
Döwrebap	dœβrˈœβɑp
ýetende	jetˈenne
Psihiatrik	pθˌihiˈɑtrik
paçlary	pɑt͡ʃɫˈɑrɯ
baglaşylyp	bˌɑʁɫɑʃˈɯɫɯp
girizmeli	ɡˌiriðmˈeli
howlusynda	xˌoβɫʊθˈʊnno
golaýynda	ɡˌoɫojˈɯnnɑ
Bilýard	bˈiljɑrd
Resminamalaryň	rˌeθminˌɑmɑɫˈɑrɯŋ
oturtdy	otˈʊrtdʊ
welaýatlarynyň	βˌelɑjˌɑtɫɑrˈɯnɯŋ
bahadan	bɑxˈɑdɑn
direktorynyň	dˌirektorˈʊnʊŋ
Berlen	bˈerlen
peýdalanmagyna	pˌejdɑɫˌɑnmɑʁˈɯnɑ
damjasy	dɑmd͡ʒˈɑθɯ
telekeçiniň	tˌeleket͡ʃˈiniŋ
sanyna	θɑnˈɯnɑ
görmäge	ɡœrmˈæːʁœ
Şikaýata	ʃˌikɑjˈɑtɑ
böleklerini	bˌœlœklœrˈini
geçiriljekdigini	ɡˌet͡ʃirˌild͡ʒekdiʁˈini
ösüşe	œθˈøʃœ
häsiýeti	hˌæθijˈeti
bank	bˈɑnk
zolaklary	ðˌoɫoqɫˈorɯ
kanunçylygyň	qˌɑnʊnt͡ʃʊɫˈʊʁʊŋ
nygtaýar	nɯʁtˈɑjɑr
çykarylýar	t͡ʃˌɯqɑrˈɯɫjɑr
Babaýew	bɑβˈɑjœβ
baýlaşdyrmaga	bˌɑjɫɑʃdɯrmˈɑʁɑ
bilermenleri	bˌilermenlˈeri
düzümlerine	dˌøðømlœrˈønœ
ýyladyş	jɯɫˈɑdɯʃ
tomus	tˈomʊθ
guramasynyň	ɡˌʊromoθˈɯnɯŋ
etmegi	etmˈeʁi
gaplamak	ɡˌɑpɫɑmˈɑq
geografik	ɡˌeoʁrˈofˌik
statusy	θθɑtˈʊθʊ
ýurduňyzyň	jˌʊrdʊŋˈʊðʊŋ
Görogly	ɡœrˈoʁɫʊ
wekilhanalar	βˌekilxɑnˈɑɫɑr
çykarmagyň	t͡ʃˌɯqɑrmˈɑʁɯŋ
goşlary	ɡoʃɫˈorʊ
bildirmegiň	bˌillirmˈeʁiŋ
Tertipnamasyna	tˌertipnˌɑmɑθˈɯnɑ
Putiniň	pʊtˈiniŋ
kireýine	kˌirejˈine
garyndaşlary	ɡˌɑrɯnnɑʃɫˈɑrɯ
bergidar	berʁˈidɑːr
Wengriýanyň	βˌenʁrijˈɑnɯŋ
ugurlara	ˌʊʁʊrɫˈoro
durkuny	dʊrqˈʊnʊ
alamatydyr	ˌɑɫɑmɑtˈɯdɯr
uçastoklaryna	ˌʊt͡ʃoθθˌoqɫorˈʊno
aýdymçy	ɑjdˈɯmt͡ʃɯ
maslahatda	mˌɑθɫɑxˈɑtdɑ
saýlawlarynda	θˌɑjɫoβɫorˈɯnnɑ
gazanan	ɡɑðˈɑnɑn
mümkinçilikleriniň	mˌømkønt͡ʃˌøliklerˈiniŋ
Beden	bˈeden
haýsydyr	xɑjθˈɯdɯr
Syýasy	θɯjˈɑθɯ
berdik	bˈerdik
saýlawlarda	θˌɑjɫoβɫˈordɑ
gönükdirilen	ɡˌœnøkdørˈølen
zehini	ðehˈini
Mekan	mˈekɑn
zähmetsöýerligi	ðˌæhmeθθˌœjerlˈiʁi
daýanýar	dɑjˈɑnjɑr
Meýdançada	mˌejdɑnt͡ʃˈɑdɑ
bildirdiler	bˌillirdˈiler
Garaşsyz	ɡɑrˈɑʃθɯð
meselä	meθˈelæ
geçelgelerini	ɡˌet͡ʃelʁˌelerˈini
gullukçy	ɡʊɫɫˈʊqt͡ʃʊ
telekeçilik	tˌeleket͡ʃˈilik
tejribesiniň	tˌed͡ʒriβeθˈiniŋ
Aşgabatda	ˌɑʃʁɑβˈɑtdɑ
Mukaddes	mʊqˈoddeθ
çeperçilik	t͡ʃˌepert͡ʃˈilik
Maksatnamanyň	mˌɑqθɑtnɑmˈɑnɯŋ
ösüşinde	ˌœθøʃˈønnœ
Demokratik	dˌemoqrˈotik
metjidiň	metd͡ʒˈidiŋ
ýerlerine	jˌerlerˈine
telekeçilige	tˌelekˌet͡ʃilˈiʁe
deňliginiň	dˌeŋliʁˈiniŋ
fraht	frˌɑxt
eýedirler	ˌejedˈirler
dükanlaryna	dˌøkɑnɫɑrˈɯnɑ
Türgenlerimiz	tˌørʁœnlerˈimið
ýetiripdir	jˌetirˈipdir
edilen	edˈilen
kanunyň	qɑnˈʊnʊŋ
kreditor	kredˈitor
uçastogynda	ˌʊt͡ʃoθθoʁˈʊnno
çykyşynda	t͡ʃˌɯqɯʃˈɯnnɑ
aýyplaýjysy	ˌɑjɯpɫɑjd͡ʒˈɯθɯ
hünärmenleriniň	hˌønærmˌœnlerˈiniŋ
gözel	ɡˈœðœl
prezidenti	prˌeðidˈenti
çäklendirilip	t͡ʃˌæklennirˈilip
salşyga	θɑɫʃˈɯʁɑ
tohumy	toxˈʊmʊ
Müsür	mˈøθør
institutynyň	ˌinθθitʊtˈʊnʊŋ
oýunlara	ˌojʊnɫˈoro
ahyrynda	ˌɑxɯrˈɯnnɑ
Täjigistandan	tˌæd͡ʒiʁiθθˈɑnnɑn
edinmek	ˌedinmˈek
Oýlap	ˈojlɑːp
salmagy	θɑɫmˈɑʁɯ
çig	t͡ʃˈiʁ
weýran	βˈejrɑːn
belende	belˈenne
goňşy	ɡˈoŋʃʊ
sülçi	θˈølt͡ʃø
netijä	netˈid͡ʒæ
geçiriljekdigi	ɡˌet͡ʃirˌild͡ʒekdˈiʁi
bozýan	bˈoðjɑn
seredilýäniň	θˌerediljˈæniŋ
