riksja	rɪkʃaː
onkruiddoder	ɔŋkrœy̯tdoːdər
daaromtrent	daːrɔmtrɛnt
edelmetaal	eːdəlmeːtaːl
entelechie	ɛnteːleːxi
deodorant	deːoːdoːrɑnt
armando	ɑrmɑndoː
twijfelen	tʋɛi̯fələn
tand	tɑnt
blende	blɛndə
handkoffer	ɦɑntkɔfər
mierenhoop	miːrənɦoːp
ecstasy	ɛkstəsi
islamologie	ɪslaːmoːloːɣi
cool	kuːl
schemer	sxeːmər
hectogram	ɦɛktoːɣrɑm
dinosauriër	dinoːsɑu̯riər
abortuskliniek	aːbɔrtʏsklinik
motten	mɔtən
frankisch	frɑŋkis
californiër	kaːlifɔrniər
aankomen	aːŋkoːmən
gratuit	ɡraːtʋi
langwerpig	lɑŋʋɛrpəx
doorkoud	doːrkɑu̯t
zinloos	zɪnloːs
slangengift	slɑŋənɣɪft
afruimen	ɑfrœy̯mən
schoonbroer	sxoːnbruːr
betekende	bəteːkəndə
gezicht	ɣəzɪxt
negenenzestig	neːɣənənsɛstəx
uitsprekend	œy̯tspreːkənt
afvinken	ɑfɪŋkən
automedicatie	oːtoːmeːdikaːtsi
dildo	dɪldoː
spongat	spɔnɣɑt
vinding	vɪndɪŋ
dooddoenerig	doːtdunərəx
zelfkritiek	zɛlfkritik
bescheidener	bəsxɛi̯dənər
verloning	vɛrloːnɪŋ
belenen	bəleːnən
telefoonverbinding	teːləfoːnvərbɪndɪŋ
zambiaan	zɑmbiaːn
zeus	zœy̯s
herinterviewen	ɦɛrɪntərvjun
menistenleugen	meːnɪstənløːɣən
omhakken	ɔmɦɑkən
lamlendig	lɑmlɛndəx
zomerzonnewende	zoːmərzɔnəʋɛndə
vietnam	vjɛtnɑm
doorwrocht	doːrvrɔxt
karnton	kɑrntɔn
dip	dɪp
spekkoek	spɛkuk
membraan	mɛmbraːn
achterschip	ɑxtərsxɪp
verschieten	vərsxitən
kwispelstaarten	kʋɪspəlstaːrtən
kraamsterfte	kraːmstɛrftə
zonsondergang	zɔnsɔndərɣɑŋ
verkaveling	vərkaːvəlɪŋ
beleefdheid	bəleːftɦɛi̯t
zaalkerk	zaːlkɛrk
alsem	ɑlsəm
gebocheld	ɣəbɔxəlt
appelaar	ɑpəlaːr
stroomsterkte	stroːmstɛrktə
afslachten	ɑfslɑxtən
energiezuinig	eːnərʒizœy̯nəx
perron	pərɔn
bonnetje	bɔnətjə
oorlogsgebied	oːrlɔxsxəbit
en	ɛn
wereldschokkend	ʋeːrəltsxɔkənt
luide	lœy̯də
drol	drɔl
glansrijk	ɣlɑnsrɛi̯k
lik	lɪk
dodenwake	doːdənʋaːkə
ervarenheid	ɛrvaːrənɦɛi̯t
precedent	preːseːdɛnt
polemarch	poːleːmɑrx
doodtij	doːttɛi̯
baggeraar	bɑɣəraːr
vreden	vreːdən
beiaardier	bɛi̯aːrdiːr
kiezersbedrog	kizərsbədrɔx
participium	pɑrtisipiʏm
shredden	ʃrɛdən
libertarisch	libərtaːris
verdwaald	vərdʋaːlt
rammelaar	rɑməlaːr
volksaard	vɔlksaːrt
katenspek	kaːtənspɛk
katwijk	kɑtʋɛi̯k
zuidelijk	zœy̯dələk
inkopen	ɪnkoːpən
deduceren	deːdyseːrən
bijgenaamd	bɛi̯ɣənaːmt
mantelaap	mɑntəlaːp
praal	praːl
bekkentrekken	bɛkəntrɛkən
bivakkeren	bivɑkeːrən
postkaart	pɔstkaːrt
aalmoes	aːlmus
eufoor	œy̯foːr
uitscheid	œy̯tsxɛi̯t
waarschuwing	ʋaːrsxyu̯ɪŋ
belgitude	bɛlʒitydə
buggy	bʏɡi
mallemolen	mɑləmoːlən
galjoen	ɣɑljun
schromen	sxroːmən
klier	kliːr
lijkenverbranding	lɛi̯kənfərbrɑndɪŋ
grensverdediging	ɣrɛnsfɛrdeːdəɣɪŋ
mathematicus	maːteːmaːtikʏs
zeeroofdier	zeːroːfdiːr
waver	ʋaːvər
valkenier	vɑlkəniːr
appelschel	ɑpəlsxɛl
godenspijs	ɣoːdənspɛi̯s
russisch	rʏsis
kwelgeest	kʋɛlɣeːst
goedkeuring	ɣutkøːrɪŋ
dorp	dɔrp
handvuurwapen	ɦɑntfyːrʋaːpən
auerhoen	ɑu̯ərɦun
bier	bir
brabants	braːbɑnts
kampen	kɑmpən
wereldburgeres	ʋeːrəltbʏrɣərɛs
gokverslaving	ɣɔkfərslaːvɪŋ
echel	ɛxəl
spooktrein	spoːktrɛi̯n
waterski	ʋaːtərski
albedil	ɑlbədɪl
parkeerterrein	pɑrkeːrtərɛi̯n
industrialiseren	ɪndystriaːlizeːrən
veraangenamen	vəraːnɣənaːmən
hakken	ɦɑkən
vlaggenstok	vlɑɣənstɔk
discontinu	dɪskɔntiny
rechtzaal	rɛxtsaːl
schoolgenoot	sxoːlɣənoːt
verdrinkingsdood	vərdriŋkɪŋsdoːt
half	ɦɑlf
studiemeester	stydimeːstər
castagnet	kɑstɑnjɛt
finish	fɪnɪʃ
kerks	kɛrks
zandaal	zɑntaːl
bestijgen	bəstɛi̯ɣən
boudeling	bɑu̯dəlɪŋ
kernoorlog	kɛrnoːrlɔx
terroristisch	tɛrɔrɪstis
aanmanen	aːnmaːnən
verzorgingsplaats	vərzɔrɣɪŋsplaːts
game	ɡeːm
hulpwerkwoord	ɦʏlpʋɛrkʋoːrt
verslaafde	vərslaːfdə
nefast	neːfɑst
hoofdmotief	ɦoːftmoːtif
achtbenig	ɑxtbeːnəx
logboek	lɔxbuk
frauderen	frɑu̯deːrən
plak	plɑk
auerhen	ɑu̯ərɦɛn
doodcedel	doːtseːdəl
koorzangeres	koːrzɑŋərɛs
disputeren	dɪspyteːrən
zwerfkei	zʋɛrfkɛi̯
walvistraan	ʋɑlvɪstraːn
krantenknipsel	krɑntənknɪpsəl
pasfoto	pɑsfoːtoː
davidjorisme	daːvɪtjoːrɪsmə
oversteken	oːvərsteːkən
verslijpen	vɛrslɛi̯pən
strikken	strɪkən
wurgdoek	ʋʏrxduk
asfalteren	ɑsfɑlteːrən
stadsjongen	stɑtsjɔŋən
gracieus	ɣraːsiøːs
lotgenoot	lɔtxənoːt
verdediger	vɛrdeːdəɣər
bovenbouw	boːvənbɑu̯
hazewindhond	ɦaːzəʋɪntɦɔnt
huisstofmijt	ɦœy̯stɔfmɛi̯t
milieugekkie	mɪljøːɣɛki
langdradig	lɑŋdraːdəx
boskoe	bɔsku
voorhoede	voːrɦudə
entrecote	ɑntrəkɔːt
temeier	təmɛi̯ər
doommetal	duːmmɛtəl
zwanzer	zʋɑnzər
modegril	moːdəɣrɪl
sporter	spɔrtər
ventilator	vɛntilaːtɔr
ronden	rɔndən
versnellingspook	vɛrsnɛlɪŋspoːk
rechtbank	rɛxtbɑŋk
kantonnetje	kɑntɔnətjə
bevolking	bəvɔlkɪŋ
sneller	snɛlər
smeris	smeːrəs
bastion	bɑstiɔn
blijheid	blɛiɦɛit
basketter	baːskətər
koekblik	kukblɪk
brutaliteit	brytaːlitɛi̯t
moonwalk	munʋɔlk
verdonkeremanen	vɛrdɔŋkərəmaːnən
gaffelhert	ɣɑfəlɦɛrt
atelier	aːtəljeː
haarscherp	ɦaːrsxɛrp
ontharden	ɔntɦɑrdən
drukpers	drʏkpɛrs
dollen	dɔlən
bankcheque	bɑŋkʃɛk
zeemansgraf	zeːmɑnsxrɑf
vrijgevigheid	vrɛi̯ɣeːvəxɦɛi̯t
ontregelen	ɔntreːɣələn
abortorium	aːbɔrtoːriʏm
spreekt	spreːkt
tonen	toːnən
bulldog	buldɔɡ
douche	duʃ
actor	ɑktɔr
fucking	fʏkɪŋ
winkelkar	ʋɪŋkəlkɑr
ondernemen	ɔndərneːmən
heersen	ɦeːrsən
plateauzool	plaːtoːzoːl
geselpaal	ɣeːsəlpaːl
pop	pɔp
fabelwezen	faːbəlʋeːzən
tra's	traːs
dol	dɔl
matten	mɑtə
arie	aːri
wederhalen	ʋeːdərɦaːlən
huurkoop	ɦyːrkoːp
genadeslag	ɣənaːdəslɑx
snik	snɪk
lijfeigenschap	lɛi̯fɛi̯ɣənsxɑp
dubbeldekker	dʏbəldɛkər
adblocker	ɛdblɔkər
eervol	eːrvɔl
broche	brɔʃ
kinkhoest	kɪŋkust
topverkoper	tɔpfɛrkoːpər
revolutie	reːvoːlytsi
bruut	bryt
confucius	kɔnfysiʏs
hoofdkussen	ɦoːftkʏsən
baasspeler	baːsspeːlər
dof	dɔf
trollen	trɔlən
desinfectie	dɛsɪnfɛksi
ebbe	ɛbə
middelnederduits	mɪdəlneːdərdœy̯ts
alternatief	ɑltərnaːtif
totalitarisme	toːtaːlitaːrɪsmə
doorlopend	doːrloːpənt
grafdelver	ɣrɑfdɛlvər
pijnlijk	pɛi̯nlək
cambodjaan	kɑmbɔtjaːn
microscoop	mikroːskoːp
schrander	sxrɑndər
aanhalen	aːnɦaːlən
luilekkerland	lœy̯lɛkərlɑnt
periscoopdiepte	peːrɪskoːpdiptə
frunniken	frʏnəkən
solliciteren	sɔlisiteːrən
neemt	neːmt
overdraagbaarheid	oːvərdraːxbaːrɦɛi̯t
heup	ɦøːp
schoenmaker	sxunmaːkər
sjabbes	ʃɑbəs
groenen	ɣrunən
bezinning	bəzɪnɪŋ
citroengras	sitrunɣrɑs
doorzettingsvermogen	doːrzɛtɪŋsfɛrmoːɣən
euraziatisch	øːraːziaːtis
perfectioneren	pɛrfɛkʃoːneːrən
creditcard	krɛdɪtkɑrt
antiferromagnetisme	ɑntifɛroːmɑxneːtɪsmə
wetgever	ʋɛtxeːvər
grondpersoneel	ɣrɔntpɛrsoːneːl
onnodig	ɔnoːdəx
keukentrap	køːkəntrɑp
sprinkhaan	sprɪŋkɦaːn
honkbalknuppel	ɦɔŋkbɑlknʏpəl
idiotisme	idioːtɪsmə
aangelegenheid	aːŋɣəleːɣənɦɛi̯t
kietelaar	kitəlaːr
commercie	kɔmɛrsi
kinbandpinguïn	kɪnbɑntpɪŋɡʋɪn
pugilistiek	pyɣilɪstik
bruien	brœy̯ən
orderidder	ɔrdərɪdər
ibis	ibɪs
antilliaans	ɑntɪliaːns
goedgemutst	ɣutxəmʏtst
bietsuiker	bitsœy̯kər
bekennen	bəkɛnən
ruigpoothoen	rœy̯xpoːtɦun
oligarchisch	oːliɣɑrxis
roodborsttapuit	roːtbɔrstɑpœy̯t
afrij	ɑfrɛi̯
cubaan	kybaːn
bibliofilie	biblioːfili
bowlen	boːlən
althans	ɑltɑns
puzzel	pʏzəl
briefomslag	brifɔmslɑx
uitputtingsslag	œy̯tpʏtɪŋslɑx
mijnschacht	mɛi̯nsxɑxt
dansplaten	dɑnsplaːtən
ontslapen	ɔntslaːpən
ingaan	ɪnɣaːn
ijsvrij	ɛisvrɛi
maak	maːk
boekpens	bukpɛns
dijk	dɛi̯k
pentateuch	pɛntaːtœy̯x
teweegbrengen	təʋeːxbrɛŋən
sketch	skɛtʃ
binnenpretje	bɪnənprɛtjə
xanthaangom	ksɑntaːnɣɔm
aktetas	ɑktətɑs
hiel	ɦil
deelgemeente	deːlɣəmeːntə
coen	kun
waardgelder	ʋaːrtxɛldər
altruïste	ɑltryɪstə
gezegd	ɣəzɛxt
zirkoon	zɪrkoːn
tankauto	tɛŋkɑu̯toː
pitstraat	pɪtstraːt
lamp	lɑmp
afwijzen	ɑfʋɛi̯zən
marionettenleger	maːrioːnɛtənleːɣər
waarschuwingsschot	ʋaːrsxyu̯ɪŋsxɔt
dysfoor	dɪsfoːr
braakloop	braːkloːp
catechumeen	kaːteːxymeːn
indammen	ɪndɑmən
oligarch	oːliɣɑrx
hoofdwerkwoord	ɦoːftʋɛrkʋoːrt
langs	lɑŋs
aluminium	aːlyminiʏm
soendanees	sundaːneːs
tip	tɪp
liturgie	litʏrɣi
handicap	ɦɛndikɛp
slaken	slaːkən
rad	rɑt
dijkramp	dɛi̯krɑmp
plasma	plɑsmaː
grammatiker	ɣrɑmaːtikər
warrig	ʋɑrəx
struikroos	strœy̯kroːs
onderbuikgevoel	ɔndərbœy̯kxəvul
bersten	bɛrstən
eenzaadlobbig	eːnzaːtlɔbəx
molentocht	moːləntɔxt
autopsie	oːtɔpsi
verglimmen	vɛrɣlɪmən
luchtaanval	lʏxtaːnvɑl
ontwekken	ɔntʋɛkən
kanonnenvoer	kaːnɔnənvuːr
donderdagsmorgens	dɔndərdɑxsmɔrɣəns
verstedelijken	vɛrsteːdələkən
speculaas	speːkylaːs
aanbeveling	aːmbəveːlɪŋ
akkerbouwer	ɑkərbɑu̯ər
visarend	vɪsaːrənt
narrig	nɑrəx
waterdicht	ʋaːtərdɪxt
barkruk	bɑrkrʏk
elkaars	ɛlkaːrs
apologeet	aːpoːloːɣeːt
afhaspelen	ɑfɦɑspələn
raatshoven	raːtsɦoːvən
ecliptica	eːklɪptikaː
optrek	ɔptrɛk
lef	lɛf
rondweg	rɔntʋɛx
dactylisch	dɑktilis
bühne	byːnə
wereldbrand	ʋeːrəltbrɑnt
beschikking	bəsxɪkɪŋ
krokodillentranen	kroːkoːdɪləntraːnən
morsig	mɔrsəx
hondsmoe	ɦɔntsmu
zijarm	zɛi̯ɑrm
goeiedag	ɣujədɑx
houtworm	ɦɑu̯tʋɔrm
brons	brɔns
amsterdam	ɑmstərdɑm
zeekrijg	zeːkrɛi̯x
weeg	ʋeːx
pijpeneren	pɛi̯pəneːrən
lemmetje	lɛmɛtjə
grondstof	ɣrɔntstɔf
defaitist	deːfɛtɪst
slaapgast	slaːpxɑst
been	beːn
druïde	dryidə
hondengevecht	ɦɔndənɣəvɛxt
abdijkerk	ɑpdɛi̯kɛrk
veenendaal	veːnəndaːl
tweederangsburger	tʋeːdərɑŋsbʏrɣər
boevenklok	buvənklɔk
menu	məny
teek	teːk
fijnstof	fɛi̯nstɔf
mantelpak	mɑntəlpɑk
elch	ɛlx
kerstkind	kɛrstkɪnt
telescoop	teːləskoːp
extrapolatie	ɛkstraːpoːlaːtsi
besluit	bəslœy̯t
grappig	ɣrɑpəx
nederpop	neːdərpɔp
cabrio	kaːbrioː
afmolmen	ɑfmɔlmən
simpelweg	sɪmpəlʋɛx
jouwen	jɑu̯ən
thesorie	teːsoːri
verstandsverbijstering	vərstɑntsfərbɛi̯stərɪŋ
volkslatijn	vɔlkslaːtɛi̯n
gezinsmoord	ɣəzɪnsmoːrt
wijkagent	ʋɛi̯kaːɣɛnt
dalmatiek	dɑlmaːtik
weekend	ʋikɛnt
opium	oːpiʏm
kikkerperspectief	kɪkərpɛrspɛktif
duizeligheid	dœy̯zələxɦɛi̯t
antiziganisme	ɑntiziɣaːnɪsmə
ontmelken	ɔntmɛlkən
kankerlul	kɑŋkərlʏl
zeedahlia	zeːdaːliaː
zangleraar	zɑŋleːraːr
constitueren	kɔnstityeːrən
taks	tɑks
achtereenvolgens	ɑxtəreːnvɔlɣəns
planteneter	plɑntəneːtər
zake	zaːkə
gronings	ɣroːnɪŋs
lesgeven	lɛsɣeːvən
afluisteren	ɑflœy̯stərən
vruchtenpers	vrʏxtənpɛrs
ziekteverwensing	ziktəvərʋɛnsɪŋ
catechist	kaːtəxɪst
bevolken	bəvɔlkən
jan	jɑn
ereteken	eːrəteːkən
jij	jɛi̯
loempia	lumpiaː
gebroed	ɣəbrut
hoedanigheid	ɦudaːnəxɦɛi̯t
misdragen	mɪsdraːɣən
equinoctium	eːkʋinɔktiʏm
kunstmaan	kʏnstmaːn
vruchtentaart	vrʏxtəntaːrt
kiescollege	kiskɔleːʒə
karabach	kaːraːbɑx
gifangel	ɣɪfɑŋəl
stronteigenwijs	strɔntɛi̯ɣənʋɛi̯s
verzen	vɛrzən
dissel	dɪsəl
verhuizer	vɛrɦœy̯zər
moed	mut
sara	saːraː
vertreden	vərtreːdən
beheerder	bəɦeːrdər
raam	raːm
achten	ɑxtən
extrusief	ɛkstryzif
zeedijk	zeːdɛi̯k
afdijken	ɑfdɛi̯kən
arnoud	ɑrnɑu̯t
klimop	klɪmɔp
benefice	beːneːfis
supercel	sypərsɛl
verroest	vərust
nijg	nɛi̯x
zuige	zœy̯ɣə
dysprosium	dɪsproːziʏm
afhaalchinees	ɑfɦaːlʃiːneːs
jappenkamp	jɑpənkɑmp
paasbult	paːsbʏlt
moeial	mujɑl
clique	klik
houdbaarheid	ɦɑu̯tbaːrɦɛi̯t
gotiek	ɣoːtik
christus	xrɪstʏs
account	ɑkɑu̯nt
acrobatiek	ɑkroːbaːtik
devoot	dəvoːt
afwitten	ɑfʋɪtən
waterpomp	ʋaːtərpɔmp
vork	vɔrk
vraagt	vraːxt
bauxiet	bɑu̯ksit
politica	poːlitikaː
melomaan	meːloːmaːn
proef	pruf
privatiseren	privaːtizeːrən
schuieren	sxœy̯ərən
sirocco	sirɔkoː
reisverhaal	rɛi̯sfɛrɦaːl
goldrush	ɡɔltrɑʃ
broederschap	brudərsxɑp
vakantieverblijf	vaːkɑnsivərblɛi̯f
acryl	ɑkril
aanwijsapparaat	aːnʋɛi̯sɑpaːraːt
filmvertoning	fɪlmvərtoːnɪŋ
zwaaien	zʋaːi̯ən
volgorde	vɔlxɔrdə
terugfluiten	tərʏxflœy̯tən
kraak	kraːk
wetten	ʋɛtən
aanvalsplan	aːnvɑlsplɑn
overmoed	oːvərmut
ontwenningsverschijnsel	ɔntʋɛnɪŋsfɛrsxɛi̯nsəl
siroop	siroːp
eclectisch	eːklɛktis
spinazie	spinaːzi
voegt	vuxt
ervoorbij	ərvoːrbɛi̯
petoet	pətut
pater	paːtər
sleurhut	sløːrɦʏt
ransel	rɑnsəl
omspinnen	ɔmspɪnən
trouwdag	trɑu̯dɑx
drollenvanger	drɔlənvɑŋər
muziekdoos	myzikdoːs
verstoppen	vərstɔpən
waaien	ʋaːi̯ən
kinderhandel	kɪndərɦɑndəl
chileen	ʃileːn
tweestatenoplossing	tʋeːstaːtənɔplɔsɪŋ
sjappietouwer	ʃɑpitɑu̯ər
sojaboon	soːjaːboːn
dissertatie	dɪsɛrtaːtsi
infernaal	ɪnfɛrnaːl
voorspelbaar	voːrspɛlbaːr
zinnigheid	zɪnəxɦɛi̯t
vesting	vɛstɪŋ
mondorgel	mɔntɔrɣəl
zoönose	zoːoːnoːzə
zwerfafval	zʋɛrfɑfɑl
elektron	eːlɛktrɔn
heptyl	ɦɛptil
hematoloog	ɦeːmaːtoːloːx
stork	stɔrk
herder	ɦɛrdər
kazerne	kaːzɛrnə
stadspoort	stɑtspoːrt
weesgeneesmiddel	ʋeːsxəneːsmɪdəl
regenjas	reːɣənjɑs
competitie	kɔmpeːtitsi
bezuinigen	bəzœy̯nəɣən
verslechtering	vɛrslɛxtərɪŋ
applicatie	ɑplikaːtsi
oorlogzucht	oːrlɔxsʏxt
maanjaar	maːnjaːr
statushouder	staːtʏsɦɑu̯dər
cloaca	kloːaːkaː
aristotelisch	aːrɪstoːteːlis
poen	pun
lunchen	lʏnʃən
behavioristisch	biɦeːviɔrɪstis
derivaat	deːrivaːt
zedenmeester	zeːdənmeːstər
snoeien	snui̯ən
trouwgetuige	trɑu̯ɣətœy̯ɣə
adrenaline	aːdreːnaːlinə
standpunt	stɑntpʏnt
ritsig	rɪtsəx
alcoholisch	ɑlkoːɦoːlis
beneffens	bənɛfəns
liturgisch	litʏrɣis
jaartelling	jaːrtɛlɪŋ
bloementuin	bluməntœy̯n
basiliek	baːsilik
livreiknecht	livrɛi̯knɛxt
abonnee	ɑbɔneː
matroos	maːtroːs
tempelman	tɛmpəlmɑn
projector	proːjɛktɔr
pan	pɑn
raderen	raːdərən
sluipwesp	slœy̯pʋɛsp
beding	bədɪŋ
nederlaag	neːdərlaːx
steenmot	steːnmɔt
ets	ɛts
duffels	dʏfəls
antinomiaans	ɑntinoːmiaːns
lelie	leːli
polak	poːlɑk
lemma	lɛmaː
voorstelling	voːrstɛlɪŋ
boottocht	boːtɔxt
verduurzamen	vərdyːrzaːmən
populisme	poːpylɪsmə
last	lɑst
bent	bɛnt
antependium	ɑntəpɛndiʏm
lok	lɔk
ghana	ɣaːnaː
hersenatrofie	ɦɛrsənaːtroːfi
urker	ʏrkər
carbonade	kɑrboːnaːdə
bodywarmer	bɔdiʋɑrmər
afwateren	ɑfʋaːtərən
botergeel	boːtərɣeːl
floor	floːr
tegenaanval	teːɣənaːnvɑl
feest	feːst
wijbisschop	ʋɛi̯bɪsxɔp
hemelpool	ɦeːnəlpoːl
burenhulp	byːrənɦʏlp
genoeg	ɣənux
spectaculair	spɛktaːkylɛr
waardin	ʋaːrdɪn
abdijbier	ɑpdɛi̯biːr
stil	stɪl
listig	lɪstəx
biertap	biːrtɑp
soap	soːp
zeiksnor	zɛi̯ksnɔr
hulpprogramma	ɦʏlpproːɣrɑmaː
bijeenkomst	bɛi̯eːnkɔmst
fichebak	fiʃəbɑk
verlengsnoer	vərlɛŋsnuːr
waakhond	ʋaːkɦɔnt
dicteren	dɪkteːrən
veeg	veːx
boevenwereld	buvənʋeːrəlt
hoogwerker	ɦoːxʋɛrkər
verschoven	vərsxoːvən
nominatie	noːminaːtsi
afschudden	ɑfsxʏdən
verschillend	vərsxɪlənt
handelsgeest	ɦɑndəlsxeːst
takelage	taːkəlaːʒə
verduistering	fɛrdœy̯stərɪŋ
vrouwen	vrɑu̯ən
dierenvriend	diːrənvrint
bericht	bərɪxt
toonbank	toːnbɑŋk
bouteille	butɛi̯ljə
parfumeren	pɑrfymeːrən
stoppen	stɔpən
forel	foːrɛl
bouwland	bɑu̯lɑnt
toelaten	tulaːtən
gideonsbende	ɣideːɔnsbɛndə
rei	rɛi̯
fiets	fits
veroorlogen	vəroːrloːɣən
auto	ɑu̯toː
kortzichtig	kɔrtsɪxtəx
incontinentie	ɪnkɔntinɛnsi
zoutelande	zɑu̯təlɑndə
deelstaat	deːlstaːt
keurtroep	køːrtrup
dwerghert	dʋɛrxɦɛrt
boerenland	buːrənlɑnt
keppel	kɛpəl
erbarmen	ɛrbɑrmən
warenfetisjisme	ʋaːrənfeːtiʃɪsmə
mengteelt	mɛŋteːlt
borstvoeding	bɔrstfudɪŋ
grashalm	ɣrɑsɦɑlm
hemelmechanica	ɦeːməlmeːxaːnikaː
loo	loː
beleidsmedewerker	bəlɛi̯tsmeːdəʋɛrkər
zweedse	zʋeːtsə
progressief	proːɣrɛsif
lisa	lizaː
kroft	krɔft
reaguursel	reːaːɣyːrsəl
zier	ziːr
brandschade	brɑntsxaːdə
betuigen	bətœy̯ɣən
halacha	ɦaːlɑxaː
jacobs	jaːkɔps
overmoedig	oːvərmudəx
horloge	ɦɔrloːʒə
allergologisch	ɑlɛrɣoːloːɣis
aäron	aːaːrɔn
bronsttijd	brɔnstɛi̯t
bolder	bɔldər
volladen	vɔllaːdən
cu	seːy
strafschoppenserie	strɑfsxɔpənseːri
meesterproef	meːstərpruf
scanderen	skɑndeːrən
wederdoop	ʋeːdərdoːp
confituur	kɔnfityːr
acteur	ɑktøːr
stadhouder	stɑtɦɑu̯dər
begeerlijkheid	bəɣeːrləkɦɛi̯t
afscheiding	ɑfsxɛi̯dɪŋ
vetpot	vɛtpɔt
onbenul	ɔnbənʏl
vesten	vɛstən
aanpasbaar	aːnpɑsbaːr
kontzak	kɔntsɑk
realiseren	reɑlizerə
beieren	bɛi̯ərən
implantaat	ɪmplɑntaːt
hospes	ɦɔspəs
bizar	bizɑr
actualiteit	ɑktyaːlitɛi̯t
errond	ɛrɔnt
vaas	vaːs
ethicus	eːtikʏs
precariaat	preːkaːriaːt
epenthesis	eːpɛnteːzɪs
emulsie	eːmʏlsi
aanprijzen	aːmprɛi̯zən
verzingen	vɛrzɪŋən
comfort	kɔmfɔrt
klikspaan	klikspaːn
ontpitten	ɔntpɪtən
geschiedvervalsing	ɣəsxitfərvɑlsɪŋ
dadel	daːdəl
visite	vizitə
lintjesregen	lɪntjəsreːɣən
haantjesgedrag	ɦaːntjəsxədrɑx
kerstmis	kɛrstmɪs
woorden	ʋɔːrdən
excursie	ɛkskʏrzi
meent	meːnt
vegen	veːɣən
geboorterecht	ɣəboːrtərɛxt
begrotingsunie	bəɣroːtɪŋsyni
koormuziek	koːrmyzik
rumba	rumbaː
mesdjid	mɛsdʒit
hermafroditisme	ɦɛrmaːfroːditɪsmə
bewijsmiddel	bəʋɛi̯smɪdəl
aviateur	aːviaːtøːr
kerkorde	kɛrkɔrdə
hommel	ɦɔməl
rotgans	rɔtxɑns
geldwezen	ɣɛltʋeːzən
schrikbarend	sxrɪkbaːrənt
niveau	nivoː
omschreven	ɔmsxreːvən
hindeloopen	ɦɪndəloːpən
eloquent	eːloːkʋɛnt
dubben	dʏbən
weerwolverij	ʋeːrʋɔlvərɛi̯
diepen	dipən
kransslagader	krɑnslɑxaːdər
hersenspoeling	ɦɛrsənspulɪŋ
telexen	teːlɛksən
leerplicht	leːrplɪxt
beraad	bəraːt
alkeen	ɑlkeːn
bevriend	bəvrɪnt
vragenuur	vraːɣənyːr
afwerking	ɑfʋɛrkɪŋ
verpulvering	vərpʏlvərɪŋ
vetzak	vɛtzɑk
botvieren	bɔtfiːrən
irma	ɪrmaː
waggie	ʋɑɡi
droevig	druvəx
waterschap	ʋaːtərsxɑp
almachtig	ɑlmɑxtəx
dia	diaː
spelleider	spɛlɛi̯dər
skeeler	skilər
lorgnet	lɔrnjɛt
chartervliegtuig	tʃɑrtərvlixtœy̯x
gondel	ɣɔndəl
winkelhaak	ʋɪŋkəlɦaːk
bezuiden	bəzœy̯dən
dadelpalm	daːdəlpɑlm
ergerlijk	ɛrɣərlək
draagstoel	draːxstul
halvezool	ɦɑlvəzoːl
fout	fɑu̯t
artificieel	ɑrtifiʃeːl
vijftien	vɛi̯ftin
boksen	bɔksən
buigzaam	bœy̯xsaːm
cellarius	sɛlaːriʏs
omstreek	ɔmstreːk
radio	raːdijoː
afstoting	ɑfstoːtən
dierenrechtenactivist	diːrənrɛxtənɑktivɪst
zottin	zɔtɪn
industrialisering	ɪndʏstriaːlizeːrɪŋ
milieustraat	mɪljøːstraːt
aangrijpen	aːŋɣrɛi̯pən
onverminderd	ɔnvərmɪndərt
eenbrauw	eːnbrɑu̯
bibberen	bɪbərən
alfanumeriek	ɑlfaːnymərik
toevlucht	tuvlʏxt
waardgeld	ʋaːrtxɛlt
supercomputer	sypərkɔmpjutər
wetenschapstaal	ʋeːtənsxɑpstaːl
sahidisch	saːɦidis
diens	dins
papaja	pɑpaːjaː
inn	ɪn
ondergeschikte	ɔndərɣəsxɪktə
maud	mɑu̯t
landverrader	lɑntfɛraːdər
aker	aːkər
aronskelk	aːrɔnskɛlk
zondagochtend	zɔndɑxɔxtənt
onwel	ɔnʋɛl
grof	ɣrɔf
nut	nʏt
verslinden	vərslɪndən
besneeuwen	bəsneːu̯ən
godsbewijs	ɣɔtsbəʋɛi̯s
blanken	blɑŋkən
special	spɛʃɑl
bekrompen	bəkrɔmpən
staatseigendom	staːtsɛi̯ɣəndɔm
borst	bɔrst
aanschroeven	aːnsxruvən
lobotomiseren	loːboːtoːmizeːrən
wederstreven	ʋeːdərstreːvən
snertnimf	snɛrtnɪmf
poppodium	pɔppoːdiʏm
afnaaien	ɑfnaːi̯ən
opstoot	ɔpstoːt
intikken	ɪntɪkən
grondel	ɣrɔndəl
rechtspraak	rɛxtspraːk
tandheelkunde	tɑntɦeːlkʏndə
friemelen	frimələn
coprolalie	koːproːlaːli
bordeelbrok	bɔrdeːlbrɔk
benedenbuur	bəneːdənbyːr
kuitenparade	kœy̯tənpaːraːdə
foeteren	futərən
kleinschalig	klɛi̯nsxaːləx
tantra	tɑntraː
bot	bɔt
rekel	reːkəl
tapijtslang	taːpɛi̯tslɑŋ
afmeting	ɑfmeːtɪŋ
yaoi	jaːɔi̯
nopen	noːpən
herroepen	ɦɛrupən
meedogenloos	meːdoːɣəloːs
