높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
프놈뻰	pʰɯno̞mp͈e̞n
초조	t͡ɕʰo̞d͡ʑo̞
종합예술	t͡ɕo̞ŋɦa̠bje̞sʰuɭ
알맞다	a̠ɭma̠t̚t͈a̠
잠재하다	t͡ɕa̠md͡ʑɛ̝ɦa̠da̠
엄형	ʌ̹mʝjʌ̹ŋ
포릉하다	pʰo̞ɾɯŋɦa̠da̠
불규칙하다	puɭɡjut͡ɕʰikʰa̠da̠
외면하다	ø̞mjʌ̹nɦa̠da̠,we̞mjʌ̹nɦa̠da̠
푸들쩍하다	pʰudɯɭt͡ɕ͈ʌ̹kʰa̠da̠
망연자실	ma̠ŋjʌ̹nd͡ʑa̠ɕʰiɭ
바치다	pa̠t͡ɕʰida̠
끼울이다	k͈iuɾida̠
지하자원	t͡ɕiɦa̠d͡ʑa̠wʌ̹n
투서	tʰusʰʌ̹
사면체	sʰa̠mjʌ̹nt͡ɕʰe̞
잠결	t͡ɕa̠mɡjʌ̹ɭ
속닥이다	sʰo̞k̚t͈a̠ɡida̠
건조주의보	kʌ̹nd͡ʑo̞d͡ʑuɰibo̞
소비경제	sʰo̞biɡjʌ̹ŋd͡ʑe̞
승격되다	sʰɯŋɡjʌ̹k̚t͈ø̞da̠,sʰɯŋɡjʌ̹k̚t͈we̞da̠
삼사합계	sʰa̠msʰa̠ɦa̠p̚k͈je̞,sʰa̠msʰa̠ɦa̠p̚k͈e̞
부걱	puɡʌ̹k̚
어적하다	ʌ̹d͡ʑʌ̹kʰa̠da̠
목적절	mo̞k̚t͡ɕ͈ʌ̹k̚t͡ɕ͈ʌ̹ɭ
볼가지다	po̞ɭɡa̠d͡ʑida̠
구불텅구불텅하다	kubuɭtʰʌ̹ŋɡubuɭtʰʌ̹ŋɦa̠da̠
미화	miβwa̠
배선손료	pɛ̝sʰʌ̹nsʰo̞ɭʎjo
부적절하다	pud͡ʑʌ̹k̚t͡ɕ͈ʌ̹ɾɦa̠da̠
명확하다	mjʌ̹ŋβwa̠kʰa̠da̠
꿋꿋	k͈ut̚k͈ut̚
까막거리다	k͈a̠ma̠k̚k͈ʌ̹ɾida̠
가차압	ka̠t͡ɕʰa̠a̠p̚
종형	t͡ɕo̞ŋʝjʌ̹ŋ
가지런히	ka̠d͡ʑiɾʌ̹nʝi
도자기	to̞d͡ʑa̠ɡi
귤	kjuɭ
대궁이	tɛ̝ɡuŋi
순조	ˈsʰuːnd͡ʑo̞
체수면	t͡ɕʰe̞sʰumjʌ̹n
초봄	t͡ɕʰo̞bo̞m
중독성	t͡ɕuŋdo̞ks͈ʌ̹ŋ
급속하다	kɯps͈o̞kʰa̠da̠
들	tɯɭ
핵응용학	hɛ̝ɡɯŋjoŋɦa̠k̚
동정생식	to̞ŋd͡ʑʌ̹ŋsʰɛ̝ŋɕʰik̚
백백교	pɛ̝k̚p͈ɛ̝k̚k͈jo
독락	to̞ŋna̠k̚
독촉되다	to̞k̚t͡ɕʰo̞k̚t͈ø̞da̠,to̞k̚t͡ɕʰo̞k̚t͈we̞da̠
수하물	sʰuɦa̠muɭ
초자연	t͡ɕʰo̞d͡ʑa̠jʌ̹n
전위파	t͡ɕʌ̹nɥipʰa̠,t͡ɕʌ̹nypʰa̠
자가닥대다	t͡ɕa̠ɡa̠da̠k̚t͈ɛ̝da̠
술수	sʰuɭsʰu
시녀	ɕʰiɲjʌ̹
일갈하다	iɭɡa̠ɾɦa̠da̠
하위어	ha̠ɥiʌ̹,ha̠yʌ̹
앙고라	a̠ŋɡo̞ɾa̠
군현	kunʝjʌ̹n
꺼먹거리다	k͈ʌ̹mʌ̹k̚k͈ʌ̹ɾida̠
보석금	po̞sʰʌ̹k̚k͈ɯm
인분	inbun
개찰구	kɛ̝t͡ɕʰa̠ɭɡu
우므러들다	umɯɾʌ̹dɯɭda̠
창립되다	t͡ɕʰa̠ŋnip̚t͈ø̞da̠,t͡ɕʰa̠ŋnip̚t͈we̞da̠
고동색	ko̞do̞ŋsʰɛ̝k̚
핀란드	pʰiɭɭa̠ndɯ
위촉하다	ɥit͡ɕʰo̞kʰa̠da̠,yt͡ɕʰo̞kʰa̠da̠
포플러	pʰo̞pʰɯɭɭʌ̹
호비다	ɸʷo̞bida̠
부피	pupʰi
사회법학	sʰa̠ɦø̞bʌ̹pʰa̠k̚,sʰa̠βwe̞bʌ̹pʰa̠k̚
쑥덕쑥덕하다	s͈uk̚t͈ʌ̹ks͈uk̚t͈ʌ̹kʰa̠da̠
거뿐히	kʌ̹p͈unʝi
신발	ɕʰinba̠ɭ
든든	tɯndɯn
녹신거리다	no̞kɕ͈inɡʌ̹ɾida̠
광포	kwa̠ŋpʰo̞
꾸무럭꾸무럭하다	k͈umuɾʌ̹k̚k͈umuɾʌ̹kʰa̠da̠
노임	no̞im
꾸무럭거리다	k͈umuɾʌ̹k̚k͈ʌ̹ɾida̠
등척	tɯŋt͡ɕʰʌ̹k̚
까칫대다	k͈a̠t͡ɕʰit̚t͈ɛ̝da̠
천일염	t͡ɕʰʌ̹niɾjʌ̹m
유급직	juɡɯp̚t͡ɕ͈ik̚
홀이름씨	ɸʷo̞ɾiɾɯmɕ͈i
극락원	kɯŋna̠ɡwʌ̹n
어긋어긋	ʌ̹ɡɯsʰʌ̹ɡɯt̚
씰룩하다	ɕ͈iɭɭukʰa̠da̠
강우대	ka̠ŋudɛ̝
난장판	ˈna̠ːnd͡ʑa̠ŋpʰa̠n
다짐	ta̠d͡ʑim
거동하다	kʌ̹do̞ŋɦa̠da̠
망정	ma̠ŋd͡ʑʌ̹ŋ
포악	pʰo̞a̠k̚
아슬랑대다	a̠sʰɯɭɭa̠ŋdɛ̝da̠
보세품	po̞sʰe̞pʰum
지속	t͡ɕisʰo̞k̚
혼방사	ɸʷo̞nba̠ŋsʰa̠
시큰둥	ɕʰikxɯnduŋ
까무레	k͈a̠muɾe̞
널벽	nʌ̹ɭbjʌ̹k̚
사육되다	sʰa̠juk̚t͈ø̞da̠,sʰa̠juk̚t͈we̞da̠
경거망동	kjʌ̹ŋɡʌ̹ma̠ŋdo̞ŋ
매도	mɛ̝do̞
한도	ha̠ndo̞
먼항로	mʌ̹nɦa̠ŋno̞
버찌	pʌ̹t͡ɕ͈i
박해	pa̠kʰɛ̝
전광석화	t͡ɕʌ̹nɡwa̠ŋsʰʌ̹kʰwa̠
자동문	t͡ɕa̠do̞ŋmun
삼출법	sʰa̠mt͡ɕʰuɭbʌ̹p̚
보시닥보시닥하다	po̞ɕʰida̠k̚p͈o̞ɕʰida̠kʰa̠da̠
활강바람	ɸwa̠ɭɡa̠ŋba̠ɾa̠m
슬로벤스꼬	sʰɯɭɭo̞be̞nsʰɯk͈o̞
인천국제공항고속도로	int͡ɕʰʌ̹nɡuk̚t͡ɕ͈e̞ɡo̞ŋɦa̠ŋɡo̞sʰo̞k̚t͈o̞ɾo̞
작살나무	t͡ɕa̠ks͈a̠ɭɭa̠mu
녹각	no̞k̚k͈a̠k̚
삼자범퇴	sʰa̠md͡ʑa̠bʌ̹mtʰø̞,sʰa̠md͡ʑa̠bʌ̹mtʰwe̞
정지거리	t͡ɕʌ̹ŋd͡ʑiɡʌ̹ɾi
상국	sʰa̠ŋɡuk̚
드링크	tɯɾiŋkxɯ
조탁	t͡ɕo̞tʰa̠k̚
가격 협정 카르텔	ka̠ɡjʌ̹k̚çjʌ̹p̚t͡ɕ͈ʌ̹ŋkʰa̠ɾɯtʰe̞ɭ
습득관념	sʰɯp̚t͈ɯk̚k͈wa̠nɲjʌ̹m
찍찍거리다	t͡ɕ͈ik̚t͡ɕ͈ik̚k͈ʌ̹ɾida̠
쿡쿡거리다	kʰuk̚kʰuk̚k͈ʌ̹ɾida̠
바이루트	pa̠iɾutʰɯ
중앙관청	t͡ɕuŋa̠ŋɡwa̠nt͡ɕʰʌ̹ŋ
씁쓸히	s͈ɯps͈ɯɾʝi
사실판단	sʰa̠ɕʰiɭpʰa̠nda̠n
니주니타길	nid͡ʑunitʰa̠ɡiɭ
말캉대다	ma̠ɭkʰa̠ŋdɛ̝da̠
건설하다	kʌ̹nsʰʌ̹ɾɦa̠da̠
가조인	ka̠d͡ʑo̞in
보골대다	po̞ɡo̞ɭdɛ̝da̠
후두	ɸʷudu
쉽사리	ʃʰɥips͈a̠ɾi,ʃʰyps͈a̠ɾi
갈보름	ka̠ɭbo̞ɾɯm
장어	t͡ɕa̠ŋʌ̹
특례법	tʰɯŋɲje̞bʌ̹p̚,tʰɯŋne̞bʌ̹p̚
신용기관	ɕʰiɲjoŋɡiɡwa̠n
조반	t͡ɕo̞ba̠n
씰룩쌜룩하다	ɕ͈iɭɭuks͈ɛ̝ɭɭukʰa̠da̠
겹박자	kjʌ̹p̚p͈a̠k̚t͡ɕ͈a̠
우후후	uβuβu
괘도	kwɛ̝do̞
사무과장	sʰa̠muɡwa̠d͡ʑa̠ŋ
터부룩이	tʰʌ̹buɾuɡi
미혹하다	miβo̞kʰa̠da̠
기업연합	kiʌ̹bjʌ̹nɦa̠p̚
롤러	ɾo̞ɭɭʌ̹
빈둥	pinduŋ
예레반	je̞ɾe̞ba̠n
뿔그레	p͈uɭɡɯɾe̞
벌쭉이다	pʌ̹ɭt͡ɕ͈uɡida̠
가설	ka̠sʰʌ̹ɭ
넘성대다	nʌ̹msʰʌ̹ŋdɛ̝da̠
미달	mida̠ɭ
기억	kiʌ̹k̚
찌개	t͡ɕ͈iɡɛ̝
무찌르다	mut͡ɕ͈iɾɯda̠
에타	e̞tʰa̠
녹다	no̞k̚t͈a̠
깨르르깨르르하다	k͈ɛ̝ɾɯɾɯk͈ɛ̝ɾɯɾɯɦa̠da̠
해밀톤	hɛ̝miɭtʰo̞n
꼬나크리	k͈o̞na̠kxɯɾi
우글벅작하다	uɡɯɭbʌ̹k̚t͡ɕ͈a̠kʰa̠da̠
휴양원	çjuja̠ŋwʌ̹n
버석	pʌ̹sʰʌ̹k̚
버그덕거리다	pʌ̹ɡɯdʌ̹k̚k͈ʌ̹ɾida̠
번뜻번뜻하다	pʌ̹nt͈ɯt̚p͈ʌ̹nt͈ɯtʰa̠da̠
태각거리다	tʰɛ̝ɡa̠k̚k͈ʌ̹ɾida̠
바가각바가각하다	pa̠ɡa̠ɡa̠k̚p͈a̠ɡa̠ɡa̠kʰa̠da̠
재외공관	t͡ɕɛ̝ø̞ɡo̞ŋɡwa̠n,t͡ɕɛ̝we̞ɡo̞ŋɡwa̠n
촉구하다	t͡ɕʰo̞k̚k͈uɦa̠da̠
발사	pa̠ɭsʰa̠
실바람	ɕʰiɭba̠ɾa̠m
민취하다	mint͡ɕʰɥiɦa̠da̠,mint͡ɕʰyɦa̠da̠
과거 완료	kwa̠ɡʌ̹wa̠ɭʎjo
복합반응	po̞kʰa̠p̚p͈a̠nɯŋ
온몸	o̞nmo̞m
소방차	sʰo̞ba̠ŋt͡ɕʰa̠
추천	t͡ɕʰut͡ɕʰʌ̹n
쥐어박다	t͡ɕɥiʌ̹ba̠k̚t͈a̠,t͡ɕyʌ̹ba̠k̚t͈a̠
일괄적	iɭɡwa̠ɭd͡ʑʌ̹k̚
부름말	puɾɯmma̠ɭ
새박	sʰɛ̝ba̠k̚
국민학교	kuŋminɦa̠k̚k͈jo
특급	tʰɯk̚k͈ɯp̚
근언	kɯnʌ̹n
극진	kɯk̚t͡ɕ͈in
핵폭발	hɛ̝k̚pʰo̞k̚p͈a̠ɭ
열띤	jʌ̹ɭt͈in
가스업	ka̠sʰɯʌ̹p̚
얼쩍지근	ʌ̹ɭt͡ɕ͈ʌ̹k̚t͡ɕ͈iɡɯn
어슬렁거리다	ʌ̹sʰɯɭɭʌ̹ŋɡʌ̹ɾida̠
까시덤부레기	k͈a̠ɕʰidʌ̹mbuɾe̞ɡi
감시인	ka̠mɕʰiin
사라락거리다	sʰa̠ɾa̠ɾa̠k̚k͈ʌ̹ɾida̠
토요일	tʰo̞joiɭ
무량겁	muɾja̠ŋɡʌ̹p̚
사규	sʰa̠ɡju
굴다	ˈkuːɭda̠
깐죽	k͈a̠nd͡ʑuk̚
바다수세미	pa̠da̠sʰusʰe̞mi
만무방	ma̠nmuba̠ŋ
무리하다	muɾiɦa̠da̠
중	t͡ɕuŋ
탄탄	tʰa̠ntʰa̠n
면검	mjʌ̹nɡʌ̹m
대학	tɛ̝ɦa̠k̚
몰캉하다	mo̞ɭkʰa̠ŋɦa̠da̠
묘지	mjod͡ʑi
센치메터	sʰe̞nt͡ɕʰime̞tʰʌ̹
손톱깎이	sʰo̞ntʰo̞p̚k͈a̠k͈i
원전	wʌ̹nd͡ʑʌ̹n
응답	ˈɯːŋda̠p̚
눅눅하다	nuŋnukʰa̠da̠
인구정책	inɡud͡ʑʌ̹ŋt͡ɕʰɛ̝k̚
종양	t͡ɕo̞ŋja̠ŋ
활엽수	ɸwa̠ɾjʌ̹ps͈u
들쩍지근	tɯɭt͡ɕ͈ʌ̹k̚t͡ɕ͈iɡɯn
궁방	kuŋba̠ŋ
약혼	ja̠kʰo̞n
조츰대다	t͡ɕo̞t͡ɕʰɯmdɛ̝da̠
살구나무	sʰa̠ɭɡuna̠mu
넙죽거리다	nʌ̹p̚t͡ɕ͈uk̚k͈ʌ̹ɾida̠
잠수병	t͡ɕa̠msʰubjʌ̹ŋ
남의눈	na̠mɰinun
미분자	mibund͡ʑa̠
서장	sʰʌ̹d͡ʑa̠ŋ
억지다짐	ʌ̹k̚t͡ɕ͈ida̠d͡ʑim
반목질시	pa̠nmo̞k̚t͡ɕ͈iɭɕʰi
기신대다	kiɕʰindɛ̝da̠
미루나무	miɾuna̠mu
자근덕자근덕하다	t͡ɕa̠ɡɯndʌ̹k̚t͡ɕ͈a̠ɡɯndʌ̹kʰa̠da̠
건뎅거리다	kʌ̹nde̞ŋɡʌ̹ɾida̠
구리텁텁하다	kuɾitʰʌ̹p̚tʰʌ̹pʰa̠da̠
떡	t͈ʌ̹k̚
분노	punno̞
자작농	t͡ɕa̠d͡ʑa̠ŋno̞ŋ
그득	kɯdɯk̚
당원	ta̠ŋwʌ̹n
쿠르릉대다	kʰuɾɯɾɯŋdɛ̝da̠
야누스	ja̠nusʰɯ
요구	joɡu
피해망상	pʰiɦɛ̝ma̠ŋsʰa̠ŋ
천행	t͡ɕʰʌ̹nɦɛ̝ŋ
아긋아긋하다	a̠ɡɯsʰa̠ɡɯtʰa̠da̠
묘음	mjoɯm
미르니기지	miɾɯniɡid͡ʑi
부유스레하다	pujusʰɯɾe̞ɦa̠da̠
아이돌	a̠ido̞ɭ
울렁이다	uɭɭʌ̹ŋida̠
박람회장	pa̠ŋna̠mɦø̞d͡ʑa̠ŋ,pa̠ŋna̠mβwe̞d͡ʑa̠ŋ
린네	ɾinne̞
앵도	ɛ̝ŋdo̞
제휴하다	t͡ɕe̞ʝjuɦa̠da̠
발간하다	pa̠ɭɡa̠nɦa̠da̠
복교	po̞k̚k͈jo
기럭기럭	kiɾʌ̹k̚k͈iɾʌ̹k̚
추락	t͡ɕʰuɾa̠k̚
빙식윤회	piŋɕʰiɡjunɦø̞,piŋɕʰiɡjunβwe̞
깝진거리다	k͈a̠p̚t͡ɕ͈inɡʌ̹ɾida̠
수평면	sʰupʰjʌ̹ŋmjʌ̹n
구름밑면	kuɾɯmminmjʌ̹n
없음	ʌ̹ps͈ɯm
소거	sʰo̞ɡʌ̹
시계방향	ɕʰiɡje̞ba̠ŋʝja̠ŋ,ɕʰiɡe̞ba̠ŋʝja̠ŋ
첨유	t͡ɕʰʌ̹mju
역내	jʌ̹ŋnɛ̝
토호	tʰo̞βo̞
소거법	sʰo̞ɡʌ̹bʌ̹p̚
새옹화복	sʰɛ̝o̞ŋβwa̠bo̞k̚
자폐적	t͡ɕa̠pʰje̞d͡ʑʌ̹k̚,t͡ɕa̠pʰe̞d͡ʑʌ̹k̚
재수	t͡ɕɛ̝sʰu
짜긋짜긋	t͡ɕ͈a̠ɡɯt̚t͡ɕ͈a̠ɡɯt̚
다라이	ta̠ɾa̠i
이즈러디다	id͡ʑɯɾʌ̹dida̠
계정	kje̞d͡ʑʌ̹ŋ,ke̞d͡ʑʌ̹ŋ
등비	tɯŋbi
보르르	po̞ɾɯɾɯ
벌벌대다	pʌ̹ɭbʌ̹ɭdɛ̝da̠
고단하다	ko̞da̠nɦa̠da̠
근현	kɯnʝjʌ̹n
모리	mo̞ɾi
보충되다	po̞t͡ɕʰuŋdø̞da̠,po̞t͡ɕʰuŋdwe̞da̠
줌	t͡ɕum
탁순국	tʰa̠ks͈unɡuk̚
오미크론	o̞mikxɯɾo̞n
조명등	t͡ɕo̞mjʌ̹ŋdɯŋ
목적시	mo̞k̚t͡ɕ͈ʌ̹kɕ͈i
일방	iɭba̠ŋ
기상자료	kisʰa̠ŋd͡ʑa̠ɾjo
시집	ɕʰid͡ʑip̚
의병제대	ɰibjʌ̹ŋd͡ʑe̞dɛ̝
시달리다	ɕʰida̠ɭʎida̠
벌제위명	pʌ̹ɭd͡ʑe̞ɥimjʌ̹ŋ,pʌ̹ɭd͡ʑe̞ymjʌ̹ŋ
뒤꿈치	tɥik͈umt͡ɕʰi,tyk͈umt͡ɕʰi
밀의	miɾɰi
지휘권	t͡ɕiɦɥiɡwʌ̹n,t͡ɕiɦyɡwʌ̹n
발루치어	pa̠ɭɭut͡ɕʰiʌ̹
수권	sʰuɡwʌ̹n
퇴진	tʰø̞d͡ʑin,tʰwe̞d͡ʑin
반주그레	pa̠nd͡ʑuɡɯɾe̞
너덜	nʌ̹dʌ̹ɭ
공강	ko̞ŋɡa̠ŋ
바삭바삭	pa̠sʰa̠k̚p͈a̠sʰa̠k̚
화뜰	ɸwa̠t͈ɯɭ
볼똑하다	po̞ɭt͈o̞kʰa̠da̠
어실대다	ʌ̹ɕʰiɭdɛ̝da̠
오밀고밀	o̞miɭɡo̞miɭ
견박	kjʌ̹nba̠k̚
애장하다	ɛ̝d͡ʑa̠ŋɦa̠da̠
캐나다기러기	kʰɛ̝na̠da̠ɡiɾʌ̹ɡi
가계되다	ka̠ɡje̞dø̞da̠,ka̠ɡe̞dwe̞da̠
똥똥	t͈o̞ŋt͈o̞ŋ
대담성	tɛ̝da̠msʰʌ̹ŋ
퇴행기	tʰø̞ɦɛ̝ŋɡi,tʰwe̞ɦɛ̝ŋɡi
청개구리	t͡ɕʰʌ̹ŋɡɛ̝ɡuɾi
이사짐	isʰa̠d͡ʑim
캐득하다	kʰɛ̝dɯkʰa̠da̠
하나둘	ha̠na̠duɭ
휴대식량	çjudɛ̝ɕʰiŋɲja̠ŋ
떨꺼덩	t͈ʌ̹ɭk͈ʌ̹dʌ̹ŋ
어둑충충	ʌ̹duk̚t͡ɕʰuŋt͡ɕʰuŋ
심판관	ɕʰimpʰa̠nɡwa̠n
출판	t͡ɕʰuɭpʰa̠n
간드락간드락	ka̠ndɯɾa̠k̚k͈a̠ndɯɾa̠k̚
깡똥깡똥	k͈a̠ŋt͈o̞ŋk͈a̠ŋt͈o̞ŋ
유형	juʝjʌ̹ŋ
초행	t͡ɕʰo̞ɦɛ̝ŋ
마상이	ma̠sʰa̠ŋi
언급되다	ʌ̹nɡɯp̚t͈ø̞da̠,ʌ̹nɡɯp̚t͈we̞da̠
남실하다	na̠mɕʰiɾɦa̠da̠
우줄우줄하다	ud͡ʑuɾud͡ʑuɾɦa̠da̠
순회하다	sʰunɦø̞ɦa̠da̠,sʰunβwe̞ɦa̠da̠
따꽃	t͈a̠k͈o̞t̚
아기장아기장하다	a̠ɡid͡ʑa̠ŋa̠ɡid͡ʑa̠ŋɦa̠da̠
중얼대다	t͡ɕuŋʌ̹ɭdɛ̝da̠
어물쩍이다	ʌ̹muɭt͡ɕ͈ʌ̹ɡida̠
솔직	sʰo̞ɭd͡ʑik̚
민족적	mind͡ʑo̞k̚t͡ɕ͈ʌ̹k̚
개중	kɛ̝d͡ʑuŋ
추후	t͡ɕʰuβu
큰코다치다	kxɯnkʰo̞da̠t͡ɕʰida̠
씨걸씨걸하다	ɕ͈iɡʌ̹ɭɕ͈iɡʌ̹ɾɦa̠da̠
우르를	uɾɯɾɯɭ
낙선자	na̠ks͈ʌ̹nd͡ʑa̠
금환식	kɯmβwa̠nɕʰik̚
성당	sʰʌ̹ŋda̠ŋ
울먹줄먹하다	uɭmʌ̹k̚t͡ɕ͈uɭmʌ̹kʰa̠da̠
닭강정	ta̠ɭk͈a̠ŋd͡ʑʌ̹ŋ
탈싹	tʰa̠ɭs͈a̠k̚
문답법	munda̠p̚p͈ʌ̹p̚
봉랍	po̞ŋna̠p̚
작법	t͡ɕa̠k̚p͈ʌ̹p̚
사붓사붓	sʰa̠but̚s͈a̠but̚
거부	kʌ̹bu
꼴값	k͈o̞ɭɡa̠p̚
짤름짤름	t͡ɕ͈a̠ɭɭɯmt͡ɕ͈a̠ɭɭɯm
제강	t͡ɕe̞ɡa̠ŋ
연어	jʌ̹nʌ̹
후천성	ɸʷut͡ɕʰʌ̹nsʰʌ̹ŋ
방적기	pa̠ŋd͡ʑʌ̹k̚k͈i
깡쭝	k͈a̠ŋt͡ɕ͈uŋ
쏙	s͈o̞k̚
한통속	ha̠ntʰo̞ŋsʰo̞k̚
허치럭대다	hʌ̹t͡ɕʰiɾʌ̹k̚t͈ɛ̝da̠
삼정과	sʰa̠md͡ʑʌ̹ŋɡwa̠
말투	ma̠ɭtʰu
까들랑거리다	k͈a̠dɯɭɭa̠ŋɡʌ̹ɾida̠
봉상	po̞ŋsʰa̠ŋ
여호와	jʌ̹βo̞wa̠
서북방	sʰʌ̹buk̚p͈a̠ŋ
습작	sʰɯp̚t͡ɕ͈a̠k̚
심각하다	ɕʰimɡa̠kʰa̠da̠
시위적시위적	ɕʰiɥid͡ʑʌ̹kɕ͈iɥid͡ʑʌ̹k̚,ɕʰiyd͡ʑʌ̹kɕ͈iyd͡ʑʌ̹k̚
속삭속삭	sʰo̞ks͈a̠ks͈o̞ks͈a̠k̚
난류운동	na̠ɭʎjuundo̞ŋ
민자	mind͡ʑa̠
석회질	sʰʌ̹kʰø̞d͡ʑiɭ,sʰʌ̹kʰwe̞d͡ʑiɭ
얼렁	ʌ̹ɭɭʌ̹ŋ
자행하다	t͡ɕa̠ɦɛ̝ŋɦa̠da̠
사우디아라비아	sʰa̠udia̠ɾa̠bia̠
분석비평	punsʰʌ̹k̚p͈ipʰjʌ̹ŋ
판명되다	pʰa̠nmjʌ̹ŋdø̞da̠,pʰa̠nmjʌ̹ŋdwe̞da̠
쪼그리다	t͡ɕ͈o̞ɡɯɾida̠
화려	ɸwa̠ɾjʌ̹
섹시하다	sʰe̞kɕ͈iɦa̠da̠
인솔	insʰo̞ɭ
방긋방긋하다	pa̠ŋɡɯt̚p͈a̠ŋɡɯtʰa̠da̠
백발홍안	pɛ̝k̚p͈a̠ɾβo̞ŋa̠n
코펠	kʰo̞pʰe̞ɭ
서편	sʰʌ̹pʰjʌ̹n
사시안	sʰa̠ɕʰia̠n
수난일	sʰuna̠niɭ
경축사	kjʌ̹ŋt͡ɕʰuks͈a̠
산호충	sʰa̠nβo̞t͡ɕʰuŋ
학군	ha̠k̚k͈un
치마꼬리	t͡ɕʰima̠k͈o̞ɾi
마크	ma̠kxɯ
폐업	pʰje̞ʌ̹p̚,pʰe̞ʌ̹p̚
부침개	put͡ɕʰimɡɛ̝
더금더금	tʌ̹ɡɯmdʌ̹ɡɯm
모독모독하다	mo̞do̞ŋmo̞do̞kʰa̠da̠
원병	wʌ̹nbjʌ̹ŋ
목탁귀신	mo̞k̚tʰa̠k̚k͈ɥiɕʰin,mo̞k̚tʰa̠k̚k͈yɕʰin
지저	t͡ɕid͡ʑʌ̹
숙모	sʰuŋmo̞
저걱저걱	t͡ɕʌ̹ɡʌ̹k̚t͡ɕ͈ʌ̹ɡʌ̹k̚
추천작가	t͡ɕʰut͡ɕʰʌ̹nd͡ʑa̠k̚k͈a̠
너물너물하다	nʌ̹muɭɭʌ̹muɾɦa̠da̠
각성제	ka̠ks͈ʌ̹ŋd͡ʑe̞
오모록오모록	o̞mo̞ɾo̞ɡo̞mo̞ɾo̞k̚
배송되다	pɛ̝sʰo̞ŋdø̞da̠,pɛ̝sʰo̞ŋdwe̞da̠
가로새다	ka̠ɾo̞sʰɛ̝da̠
복구	po̞k̚k͈u
사냥감	sʰa̠ɲja̠ŋɡa̠m
쫀득	t͡ɕ͈o̞ndɯk̚
복제권	po̞k̚t͡ɕ͈e̞ɡwʌ̹n
교신	kjoɕʰin
기교파	kiɡjopʰa̠
재미있음	t͡ɕɛ̝miis͈ɯm
조신	t͡ɕo̞ɕʰin
부글대다	puɡɯɭdɛ̝da̠
인물난	inmuɭɭa̠n
토지법	tʰo̞d͡ʑibʌ̹p̚
애상	ɛ̝sʰa̠ŋ
각개	ka̠k̚k͈ɛ̝
유철	jut͡ɕʰʌ̹ɭ
뇌우권운	nø̞uɡwʌ̹nun,nwe̞uɡwʌ̹nun
티	tʰi
기록기	kiɾo̞k̚k͈i
기초적	kit͡ɕʰo̞d͡ʑʌ̹k̚
달깍달깍	ta̠ɭk͈a̠k̚t͈a̠ɭk͈a̠k̚
붉은	puɭɡɯn
오돌오돌하다	o̞do̞ɾo̞do̞ɾɦa̠da̠
내주다	nɛ̝d͡ʑuda̠
남편	na̠mpʰjʌ̹n
자금원	t͡ɕa̠ɡɯmwʌ̹n
무의미하다	muɰimiɦa̠da̠
낙망	na̠ŋma̠ŋ
가매장	ka̠mɛ̝d͡ʑa̠ŋ
천방뚝	t͡ɕʰʌ̹nba̠ŋt͈uk̚
비밀	pimiɭ
자동인출기	t͡ɕa̠do̞ŋint͡ɕʰuɭɡi
잠망경	t͡ɕa̠mma̠ŋɡjʌ̹ŋ
간드락대다	ka̠ndɯɾa̠k̚t͈ɛ̝da̠
쌍지읒	s͈a̠ŋd͡ʑiɯt̚
발랑대다	pa̠ɭɭa̠ŋdɛ̝da̠
염세가	jʌ̹msʰe̞ɡa̠
떠받다	t͈ʌ̹ba̠t̚t͈a̠
상록관목	sʰa̠ŋno̞k̚k͈wa̠nmo̞k̚
땡전	t͈ɛ̝ŋd͡ʑʌ̹n
제도	t͡ɕe̞do̞
만재	ma̠nd͡ʑɛ̝
예시되다	je̞ɕʰidø̞da̠,je̞ɕʰidwe̞da̠
경제권	kjʌ̹ŋd͡ʑe̞ɡwʌ̹n
전자기	t͡ɕʌ̹nd͡ʑa̠ɡi
우뚤대다	ut͈uɭdɛ̝da̠
널따람	nʌ̹ɭt͈a̠ɾa̠m
지양	t͡ɕija̠ŋ
아느작	a̠nɯd͡ʑa̠k̚
걀쯔막하다	kja̠ɭt͡ɕ͈ɯma̠kʰa̠da̠
하례식	ha̠ɾje̞ɕʰik̚,ha̠ɾe̞ɕʰik̚
평강	pʰjʌ̹ŋɡa̠ŋ
면상	mjʌ̹nsʰa̠ŋ
봉황무	po̞ŋβwa̠ŋmu
미래영겁	miɾɛ̝jʌ̹ŋɡʌ̹p̚
스스러운	sʰɯsʰɯɾʌ̹un
짤캉하다	t͡ɕ͈a̠ɭkʰa̠ŋɦa̠da̠
자자	t͡ɕa̠d͡ʑa̠
콩닥닥거리다	kʰo̞ŋda̠k̚t͈a̠k̚k͈ʌ̹ɾida̠
츠럭츠럭	t͡ɕʰɯɾʌ̹k̚t͡ɕʰɯɾʌ̹k̚
환각제	ɸwa̠nɡa̠k̚t͡ɕ͈e̞
쓰나미	s͈ɯna̠mi
담론	ta̠mno̞n
신설하다	ɕʰinsʰʌ̹ɾɦa̠da̠
보통명사	po̞tʰo̞ŋmjʌ̹ŋsʰa̠
퍼덕대다	pʰʌ̹dʌ̹k̚t͈ɛ̝da̠
빠데	p͈a̠de̞
