gút mắt	ɣut˦˥măt˦˥
chỉ đâu đánh đó	ci˧˩˨dɤ̆w˧˧dɛŋ˨˦dɔ˨˦
thống sứ	tʰoŋ͡m˨˦sɯ˨˦
tối mày tối mặt	toj˨˦măj˧˨toj˨˦măt˨ˀ˩
ngôn từ	ŋon˧˧tɯ˧˨
giữa trời	zɯə˧ˀ˥cɤj˧˨
sơn hào hải vị	sɤn˧˧haw˧˨haj˧˩˨vi˨ˀ˩ʔ
đạn lửa	dan˨ˀ˩ʔlɯə˧˩˨
nước chậm phát triển	nɯək˦˥cɤ̆m˨ˀ˩ʔfat˦˥ciən˧˩˨
hương án	hɯəŋ˧˧an˨˦
bới móc	bɤj˨˦mɔk͡p˦˥
với	vɤj˨˦
giở trời	zɤ˧˩˨cɤj˧˨
nhuận trạch	ɲwɤ̆n˨ˀ˩ʔcɛk˨ˀ˩
mời	mɤj˧˨
chậy	cɤ̆j˨ˀ˩ʔ
bình nghi	biŋ˧˨ŋi˧˧
bất bạo động	bɤ̆t˦˥baw˨ˀ˩ʔdoŋ͡m˨ˀ˩ʔ
đảo ngược	daw˧˩˨ŋɯək˨ˀ˩
mau hạt	măw˧˧hat˨ˀ˩
hoá trang	hwa˨˦caŋ˧˧
quang xúc tác	kwaŋ˧˧suk͡p˦˥tak˦˥
hỗ huệ	ho˧ˀ˥hwe˨ˀ˩ʔ
hụt vốn	hut˨ˀ˩von˨˦
buồn tình	buən˧˨tiŋ˧˨
bọ nẹt có giẻ cùi	bɔ˨ˀ˩ʔnɛt˨ˀ˩kɔ˨˦zɛ˧˩˨kuj˧˨
dẹp bỏ	zɛp˨ˀ˩bɔ˧˩˨
tóm tắt	tɔm˨˦tăt˦˥
thư ký	tʰɯ˧˧ki˨˦
mánh mung	mɛŋ˨˦muŋ͡m˧˧
ki cóp cho cọp nó xơi	ki˧˧kɔp˦˥cɔ˧˧kɔp˨ˀ˩nɔ˨˦sɤj˧˧
cơm vua nợ dân	kɤm˧˧vuə˧˧nɤ˨ˀ˩ʔzɤ̆n˧˧
quế rành	kwe˨˦zɛŋ˧˨
trợ chiến	cɤ˨ˀ˩ʔciən˨˦
niềm nở	niəm˧˨nɤ˧˩˨
ruộng trên ao dưới	zuəŋ˨ˀ˩ʔcen˧˧aw˧˧zɯəj˨˦
tàu tốc hành	tăw˧˨tok͡p˦˥hɛŋ˧˨
giun xanh	zun˧˧sɛŋ˧˧
mồ cha chẳng khóc, khóc đống mối	mo˧˨ca˧˧căŋ˧˩˨xɔk͡p˦˥xɔk͡p˦˥doŋ͡m˨˦moj˨˦
khăn tày rế	xăn˧˧tăj˧˨ze˨˦
chuối tiêu	cuəj˨˦tiəw˧˧
ngoằn ngoèo	ŋwăn˧˨ŋwew˧˨
một tấc không đi, một li không rời	mot˨ˀ˩tɤ̆k˦˥xoŋ͡m˧˧di˧˧mot˨ˀ˩li˧˧xoŋ͡m˧˧zɤj˧˨
phi quân	fi˧˧kwɤ̆n˧˧
chổng bò	coŋ͡m˧˩˨bɔ˧˨
gia từ	za˧˧tɯ˧˨
thưa chuyện	tʰɯə˧˧cwiən˨ˀ˩ʔ
thông gian	tʰoŋ͡m˧˧zan˧˧
hảo sự	haw˧˩˨sɯ˨ˀ˩ʔ
hoạt dịch	hwat˨ˀ˩zik˨ˀ˩
đàn em	dan˧˨ɛm˧˧
ma chay	ma˧˧căj˧˧
tổ thành	to˧˩˨tʰɛŋ˧˨
quay phắt	kwăj˧˧făt˦˥
pa	pa˧˧
ngập đầu ngập cổ	ŋɤ̆p˨ˀ˩dɤ̆w˧˨ŋɤ̆p˨ˀ˩ko˧˩˨
nhẽo nhèo	ɲeo˧ˀ˥ɲeo˧˨
xanh dương	sɛŋ˧˧zɯəŋ˧˧
u mạch	u˧˧mɛk˨ˀ˩
túa	tuə˨˦
bạt hồn bạt vía	bat˨ˀ˩hon˧˨bat˨ˀ˩viə˨˦
phòng khi	fɔŋ͡m˧˨xi˧˧
lượn lờ	lɯən˨ˀ˩ʔlɤ˧˨
tiên tử	tiən˧˧tɯ˧˩˨
giảo hoạt	zaw˧˩˨hwat˨ˀ˩
thoạt	tʰwat˨ˀ˩
tức tốc	tɯk˦˥tok͡p˦˥
thống trị	tʰoŋ͡m˨˦ci˨ˀ˩ʔ
cá hẻn	ka˨˦hɛn˧˩˨
hai miệng một lời	haj˧˧miəŋ˨ˀ˩ʔmot˨ˀ˩lɤj˧˨
sêu	sɛu˧˧
quảng thạch	kwaŋ˧˩˨tʰɛk˨ˀ˩
quấy rầy	kwɤ̆j˨˦zɤ̆j˧˨
sở đoản	sɤ˧˩˨dwan˧˩˨
dấn thân	zɤ̆n˨˦tʰɤ̆n˧˧
cua máy cáy đào	kuə˧˧măj˨˦kăj˨˦daw˧˨
khốn cùng	xon˨˦kuŋ͡m˧˨
chạy nọc	căj˨ˀ˩ʔnɔk͡p˨ˀ˩
vô song	vo˧˧sɔŋ͡m˧˧
thừa cơ	tʰɯə˧˨kɤ˧˧
bình thì	biŋ˧˨tʰi˧˨
nói như khướu	nɔj˨˦ɲɯ˧˧xɯəw˨˦
tân trì	tɤ̆n˧˧ci˧˨
phai hương nhạt phấn	faj˧˧hɯəŋ˧˧ɲat˨ˀ˩fɤ̆n˨˦
quạ khoang	kwa˨ˀ˩ʔxwaŋ˧˧
loăn quăn	lwăn˧˧kwăn˧˧
dầu thầu dầu	zɤ̆w˧˨tʰɤ̆w˧˨zɤ̆w˧˨
chuyện nở như cơm gạo vàng	cwiən˨ˀ˩ʔnɤ˧˩˨ɲɯ˧˧kɤm˧˧ɣaw˨ˀ˩ʔvaŋ˧˨
nược	nɯək˨ˀ˩
ngu phu	ŋu˧˧fu˧˧
bấy lâu	bɤ̆j˨˦lɤ̆w˧˧
mằn thắn	măn˧˨tʰăn˨˦
may ô	măj˧˧o˧˧
khó nồi đồng giàu nồi đất	xɔ˨˦noj˧˨doŋ͡m˧˨zăw˧˨noj˧˨dɤ̆t˦˥
oác oác	wak˦˥wak˦˥
buộc tội	buək˨ˀ˩toj˨ˀ˩ʔ
chồn bạc má	con˧˨bak˨ˀ˩ma˨˦
vét nồi ba mươi cũng đầy niêu mốt	vɛt˦˥noj˧˨ba˧˧mɯəj˧˧kuŋ͡m˧ˀ˥dɤ̆j˧˨niəw˧˧mot˦˥
nhãn quang	ɲan˧ˀ˥kwaŋ˧˧
sơn khê	sɤn˧˧xe˧˧
bản tính	ban˧˩˨tiŋ˨˦
trưởng thượng	cɯəŋ˧˩˨tʰɯəŋ˨ˀ˩ʔ
hương đoàn	hɯəŋ˧˧dwan˧˨
chồng bắc vợ nam	coŋ͡m˧˨băk˦˥vɤ˨ˀ˩ʔnam˧˧
cái bang	kaj˨˦baŋ˧˧
nói lầm	nɔj˨˦lɤ̆m˧˨
gây bệnh	ɣɤ̆j˧˧beŋ˨ˀ˩ʔ
cổ ngẳng như cổ cò	ko˧˩˨ŋăŋ˧˩˨ɲɯ˧˧ko˧˩˨kɔ˧˨
chiếm công vi tư	ciəm˨˦koŋ͡m˧˧vi˧˧tɯ˧˧
dặm nghìn da ngựa	zăm˨ˀ˩ʔŋin˧˨za˧˧ŋɯə˨ˀ˩ʔ
lão bộc	law˧ˀ˥bok͡p˨ˀ˩
bùng nổ dân số	buŋ͡m˧˨no˧˩˨zɤ̆n˧˧so˨˦
cựu thần	kɯw˨ˀ˩ʔtʰɤ̆n˧˨
ác khẩu	ak˦˥xɤ̆w˧˩˨
an nhiên tự tại	an˧˧ɲiən˧˧tɯ˨ˀ˩ʔtaj˨ˀ˩ʔ
đổi lốt	doj˧˩˨lot˦˥
rổ rá	zo˧˩˨za˨˦
cứ lễ	kɯ˨˦le˧ˀ˥
tầng i-ôn	tɤ̆ŋ˧˨i˧˧-on˧˧
tao phùng	taw˧˧fuŋ͡m˧˨
không sao	xoŋ͡m˧˧saw˧˧
xám khôống	sam˨˦xoŋ͡m˨˦
cứu vong	kɯw˨˦vɔŋ͡m˧˧
chủ lưu	cu˧˩˨lɯw˧˧
bỏ không	bɔ˧˩˨xoŋ͡m˧˧
đâm diều	dɤ̆m˧˧ziəw˧˨
mừng húm	mɯŋ˧˨hum˨˦
sâu đậm	sɤ̆w˧˧dɤ̆m˨ˀ˩ʔ
như chông như mác	ɲɯ˧˧coŋ͡m˧˧ɲɯ˧˧mak˦˥
ơn ớn	ɤn˧˧ɤn˨˦
hằng sản	hăŋ˧˨san˧˩˨
kháng dống	xaŋ˨˦zoŋ͡m˨˦
một mười một chín	mot˨ˀ˩mɯəj˧˨mot˨ˀ˩cin˨˦
hoả luyện	hwa˧˩˨lwiən˨ˀ˩ʔ
hình nộm	hiŋ˧˨nom˨ˀ˩ʔ
học niên	hɔk͡p˨ˀ˩niən˧˧
sẻ đồng	sɛ˧˩˨doŋ͡m˧˨
thúc giục	tʰuk͡p˦˥zuk͡p˨ˀ˩
bớp	bɤp˦˥
diễn văn	ziən˧ˀ˥văn˧˧
đi đông đi tây	di˧˧doŋ͡m˧˧di˧˧tɤ̆j˧˧
bỏ ăn	bɔ˧˩˨ăn˧˧
nợ đìa	nɤ˨ˀ˩ʔdiə˧˨
làm quà	lam˧˨kwa˧˨
lý luận	li˨˦lwɤ̆n˨ˀ˩ʔ
lên hơi	len˧˧hɤj˧˧
rau cần tây	zăw˧˧kɤ̆n˧˨tɤ̆j˧˧
cẩu	kɤ̆w˧˩˨
tươi tỉnh	tɯəj˧˧tiŋ˧˩˨
hình học phẳng	hiŋ˧˨hɔk͡p˨ˀ˩făŋ˧˩˨
hạch nhân	hɛk˨ˀ˩ɲɤ̆n˧˧
sâu	sɤ̆w˧˧
bạch hạc	bɛk˨ˀ˩hak˨ˀ˩
cọc cà cọc cạch	kɔk͡p˨ˀ˩ka˧˨kɔk͡p˨ˀ˩kɛk˨ˀ˩
cương vị	kɯəŋ˧˧vi˨ˀ˩ʔ
chạy dài	căj˨ˀ˩ʔzaj˧˨
hăm dọa	hăm˧˧zwa˨ˀ˩ʔ
luật tố tụng dân sự	lwɤ̆t˨ˀ˩to˨˦tuŋ͡m˨ˀ˩ʔzɤ̆n˧˧sɯ˨ˀ˩ʔ
thọ dân	tʰɔ˨ˀ˩ʔzɤ̆n˧˧
ruột nghé	zuət˨ˀ˩ŋɛ˨˦
phương diện quân	fɯəŋ˧˧ziən˨ˀ˩ʔkwɤ̆n˧˧
khó nghe	xɔ˨˦ŋɛ˧˧
chứng lí	cɯŋ˨˦li˨˦
hợp duyên	hɤp˨ˀ˩zwiən˧˧
ký sinh	ki˨˦siŋ˧˧
bốc mồ	bok͡p˦˥mo˧˨
tiền ngữ	tiən˧˨ŋɯ˧ˀ˥
chắc là	căk˦˥la˧˨
khôn khôn!	xon˧˧xon˧˧
lạp xường	lap˨ˀ˩sɯəŋ˧˨
truyện vừa	cwiən˨ˀ˩ʔvɯə˧˨
cự phú	kɯ˨ˀ˩ʔfu˨˦
xương bồ	sɯəŋ˧˧bo˧˨
cọ dầu	kɔ˨ˀ˩ʔzɤ̆w˧˨
hoạ công	hwa˨ˀ˩ʔkoŋ͡m˧˧
học thầy không tầy học bạn	hɔk͡p˨ˀ˩tʰɤ̆j˧˨xoŋ͡m˧˧tɤ̆j˧˨hɔk͡p˨ˀ˩ban˨ˀ˩ʔ
điếu phạt	diəw˨˦fat˨ˀ˩
thạch đen	tʰɛk˨ˀ˩dɛn˧˧
nho quế	ɲɔ˧˧kwe˨˦
lập nghiêm	lɤ̆p˨ˀ˩ŋiəm˧˧
thút gút	tʰut˦˥ɣut˦˥
đánh đồng biệt	dɛŋ˨˦doŋ͡m˧˨biət˨ˀ˩
thị hoa	tʰi˨ˀ˩ʔhwa˧˧
sun vòi	sun˧˧vɔj˧˨
chúc phúc	cuk͡p˦˥fuk͡p˦˥
lịch rịch	lik˨ˀ˩zik˨ˀ˩
chạy như con thoi	căj˨ˀ˩ʔɲɯ˧˧kɔn˧˧tʰɔj˧˧
bán mặt cho đất	ban˨˦măt˨ˀ˩cɔ˧˧dɤ̆t˦˥
một già một trẻ bằng nhau	mot˨ˀ˩za˧˨mot˨ˀ˩cɛ˧˩˨băŋ˧˨ɲăw˧˧
tranh tứ bình	cɛŋ˧˧tɯ˨˦biŋ˧˨
phi hành	fi˧˧hɛŋ˧˨
hoa còn ngâm nụ	hwa˧˧kɔn˧˨ŋɤ̆m˧˧nu˨ˀ˩ʔ
đầu đũa	dɤ̆w˧˨duə˧ˀ˥
liên bang	liən˧˧baŋ˧˧
hơn bù kém	hɤn˧˧bu˧˨kɛm˨˦
nói lịu	nɔj˨˦liw˨ˀ˩ʔ
chiềng chăn	ciəŋ˧˨căn˧˧
dài dài	zaj˧˨zaj˧˨
dã lã	za˧ˀ˥la˧ˀ˥
phân kỳ	fɤ̆n˧˧ki˧˨
nằm sấp	năm˧˨sɤ̆p˦˥
bóng lộn	bɔŋ͡m˨˦lon˨ˀ˩ʔ
nhất loạt	ɲɤ̆t˦˥lwat˨ˀ˩
côn sơn	kon˧˧sɤn˧˧
thoăn thoắt	tʰwăn˧˧tʰwăt˦˥
có lê quên lựu, có trăng quên đèn	kɔ˨˦le˧˧kwen˧˧lɯw˨ˀ˩ʔkɔ˨˦căŋ˧˧kwen˧˧dɛn˧˨
đàn thập lục	dan˧˨tʰɤ̆p˨ˀ˩luk͡p˨ˀ˩
gạt đi	ɣat˨ˀ˩di˧˧
cò quăm	kɔ˧˨kwăm˧˧
đi dọc	di˧˧zɔk͡p˨ˀ˩
đặc sịt	dăk˨ˀ˩sit˨ˀ˩
chồn ngận hương	con˧˨ŋɤ̆n˨ˀ˩ʔhɯəŋ˧˧
ngạc hóa	ŋak˨ˀ˩hwa˨˦
sắc luật	săk˦˥lwɤ̆t˨ˀ˩
chìm đắm	cim˧˨dăm˨˦
trịnh hoài an	ciŋ˨ˀ˩ʔhwaj˧˨an˧˧
trợ bút	cɤ˨ˀ˩ʔbut˦˥
í ới	i˨˦ɤj˨˦
cầm cương	kɤ̆m˧˨kɯəŋ˧˧
cú lại chê vọ rằng hôi	ku˨˦laj˨ˀ˩ʔce˧˧vɔ˨ˀ˩ʔzăŋ˧˨hoj˧˧
dinh cơ	ziŋ˧˧kɤ˧˧
ngục quan	ŋuk͡p˨ˀ˩kwan˧˧
ăn chẳng bõ dính răng	ăn˧˧căŋ˧˩˨bɔ˧ˀ˥ziŋ˨˦zăŋ˧˧
dược mạ	zɯək˨ˀ˩ma˨ˀ˩ʔ
tự cung tự cấp	tɯ˨ˀ˩ʔkuŋ͡m˧˧tɯ˨ˀ˩ʔkɤ̆p˦˥
trung ương tập quyền	cuŋ͡m˧˧ɯəŋ˧˧tɤ̆p˨ˀ˩kwiɛn˧˨
com-bin	kɔm˧˧-bin˧˧
âm vực	ɤ̆m˧˧vɯk˨ˀ˩
mã tích	ma˧ˀ˥tik˦˥
bằng đôi bằng lứa	băŋ˧˨doj˧˧băŋ˧˨lɯə˨˦
vom	vɔm˧˧
ban nhật	ban˧˧ɲɤ̆t˨ˀ˩
tiểu tự	tiəw˧˩˨tɯ˨ˀ˩ʔ
nhục nhã	ɲuk͡p˨ˀ˩ɲa˧ˀ˥
võ duy dương	vɔ˧ˀ˥zwi˧˧zɯəŋ˧˧
châu chấu đấu xe	cɤ̆w˧˧cɤ̆w˨˦dɤ̆w˨˦sɛ˧˧
trường ca	cɯəŋ˧˨ka˧˧
uỷ trị	wi˧˩˨ci˨ˀ˩ʔ
đầu cáo	dɤ̆w˧˨kaw˨˦
nghê	ŋe˧˧
lắc đầu	lăk˦˥dɤ̆w˧˨
phứt	fɯt˦˥
ráo riết	zaw˨˦ziət˦˥
bình tâm	biŋ˧˨tɤ̆m˧˧
chống đỡ	coŋ͡m˨˦dɤ˧ˀ˥
quan hoả	kwan˧˧hwa˧˩˨
tiến động	tiən˨˦doŋ͡m˨ˀ˩ʔ
đi thú	di˧˧tʰu˨˦
thuỵ việt	tʰwi˨ˀ˩ʔviət˨ˀ˩
đình cứu	diŋ˧˨kɯw˨˦
tráo trở	caw˨˦cɤ˧˩˨
vâm	vɤ̆m˧˧
thế bạ	tʰe˨˦ba˨ˀ˩ʔ
khai quật	xaj˧˧kwɤ̆t˨ˀ˩
ngây thơ	ŋɤ̆j˧˧tʰɤ˧˧
đam dâm	dam˧˧zɤ̆m˧˧
nữ giáo viên	nɯ˧ˀ˥zaw˨˦viən˧˧
giấc nam-kha	zɤ̆k˦˥nam˧˧-xa˧˧
màng nhĩ	maŋ˧˨ɲi˧ˀ˥
màu cờ	măw˧˨kɤ˧˨
yên tân	iɛn˧˧tɤ̆n˧˧
nói đông nói tây	nɔj˨˦doŋ͡m˧˧nɔj˨˦tɤ̆j˧˧
cướp sống	kɯəp˦˥soŋ͡m˨˦
mắc vào vành	măk˦˥vaw˧˨vɛŋ˧˨
huyết tương	hwiət˦˥tɯəŋ˧˧
thất xuất	tʰɤ̆t˦˥swɤ̆t˦˥
sơ thảo	sɤ˧˧tʰaw˧˩˨
rượu mơ	zɯəw˨ˀ˩ʔmɤ˧˧
bụng mang dạ chửa	buŋ͡m˨ˀ˩ʔmaŋ˧˧za˨ˀ˩ʔcɯə˧˩˨
cụ già	ku˨ˀ˩ʔza˧˨
tham vấn	tʰam˧˧vɤ̆n˨˦
khuê khổn	xwe˧˧xon˧˩˨
đùm	dum˧˨
tiếp chiến	tiəp˦˥ciən˨˦
tự vị	tɯ˨ˀ˩ʔvi˨ˀ˩ʔ
ruồi lằng	zuəj˧˨lăŋ˧˨
ngoại ngữ	ŋwaj˨ˀ˩ʔŋɯ˧ˀ˥
giáo ban	zaw˨˦ban˧˧
tranh vui	cɛŋ˧˧vuj˧˧
kính thiên văn	kiŋ˨˦tʰiən˧˧văn˧˧
dỗ dành	zo˧ˀ˥zɛŋ˧˨
khử khuẩn	xɯ˧˩˨xwɤ̆n˧˩˨
phượng nhỡn	fɯəŋ˨ˀ˩ʔɲɤn˧ˀ˥
chiếu xạ	ciəw˨˦sa˨ˀ˩ʔ
in ỉn	in˧˧in˧˩˨
vàng thỏi	vaŋ˧˨tʰɔj˧˩˨
công nông lâm nghiệp	koŋ͡m˧˧noŋ͡m˧˧lɤ̆m˧˧ŋiəp˨ˀ˩
sánh giọng	sɛŋ˨˦zɔŋ͡m˨ˀ˩ʔ
súng hoả mai	suŋ͡m˨˦hwa˧˩˨maj˧˧
thượng đẳng	tʰɯəŋ˨ˀ˩ʔdăŋ˧˩˨
hùng cường	huŋ͡m˧˨kɯəŋ˧˨
quy chiếu	kwi˧˧ciəw˨˦
sơn dung	sɤn˧˧zuŋ͡m˧˧
khéo ăn khéo nói	xeo˨˦ăn˧˧xeo˨˦nɔj˨˦
thịt nát xương tan	tʰit˨ˀ˩nat˦˥sɯəŋ˧˧tan˧˧
trả của	ca˧˩˨kuə˧˩˨
số học	so˨˦hɔk͡p˨ˀ˩
thài lài	tʰaj˧˨laj˧˨
lâm tặc	lɤ̆m˧˧tăk˨ˀ˩
cắn răng bậm miệng	kăn˨˦zăŋ˧˧bɤ̆m˨ˀ˩ʔmiəŋ˨ˀ˩ʔ
lăng xăng lít xít	lăŋ˧˧săŋ˧˧lit˦˥sit˦˥
tai	taj˧˧
vung tàn tán	vuŋ͡m˧˧tan˧˨tan˨˦
hiu quạnh	hiw˧˧kwɛŋ˨ˀ˩ʔ
phản ứng dây chuyền	fan˧˩˨ɯŋ˨˦zɤ̆j˧˧cwiən˧˨
nằm xoài	năm˧˨swaj˧˨
thể lệ	tʰe˧˩˨le˨ˀ˩ʔ
giấu màu	zɤ̆w˨˦măw˧˨
pô-pe-lin	po˧˧-pɛ˧˧-lin˧˧
phận hèn	fɤ̆n˨ˀ˩ʔhɛn˧˨
liều	liəw˧˨
mạng hệ	maŋ˨ˀ˩ʔhe˨ˀ˩ʔ
mở khoá động đào	mɤ˧˩˨xwa˨˦doŋ͡m˨ˀ˩ʔdaw˧˨
cỗi ngọn	koj˧ˀ˥ŋɔn˨ˀ˩ʔ
hậu đình	hɤ̆w˨ˀ˩ʔdiŋ˧˨
đánh giá	dɛŋ˨˦za˨˦
hươu sao	hɯəw˧˧saw˧˧
thế chiến	tʰe˨˦ciən˨˦
ẩn náu	ɤ̆n˧˩˨năw˨˦
bình cổ cong	biŋ˧˨ko˧˩˨kɔŋ͡m˧˧
méo mó nghề nghiệp	meo˨˦mɔ˨˦ŋe˧˨ŋiəp˨ˀ˩
ràng rạng	zaŋ˧˨zaŋ˨ˀ˩ʔ
nhồi máu	ɲoj˧˨măw˨˦
thượng hưởng	tʰɯəŋ˨ˀ˩ʔhɯəŋ˧˩˨
khăn lau	xăn˧˧lăw˧˧
mặt tái mét nói phét thành thần	măt˨ˀ˩taj˨˦mɛt˦˥nɔj˨˦fɛt˦˥tʰɛŋ˧˨tʰɤ̆n˧˨
quang phản ứng	kwaŋ˧˧fan˧˩˨ɯŋ˨˦
trâu chó	cɤ̆w˧˧cɔ˨˦
bé bỏng	bɛ˨˦bɔŋ͡m˧˩˨
nhục cảm	ɲuk͡p˨ˀ˩kam˧˩˨
công tích	koŋ͡m˧˧tik˦˥
cơm ráo cháo nát	kɤm˧˧zaw˨˦caw˨˦nat˦˥
tinh túy	tiŋ˧˧tuj˨˦
bất thành văn	bɤ̆t˦˥tʰɛŋ˧˨văn˧˧
trói buộc	cɔj˨˦buək˨ˀ˩
đặc kịt	dăk˨ˀ˩kit˨ˀ˩
ân oán rạch ròi	ɤ̆n˧˧wan˨˦zɛk˨ˀ˩zɔj˧˨
sa mộc	sa˧˧mok͡p˨ˀ˩
ngoái	ŋwaj˨˦
cao như sếu vườn	kaw˧˧ɲɯ˧˧sɛu˨˦vɯən˧˨
mía de	miə˨˦zɛ˧˧
thư điện tử	tʰɯ˧˧diən˨ˀ˩ʔtɯ˧˩˨
đút tiền	dut˦˥tiən˧˨
hoàng trùng	hwaŋ˧˨cuŋ͡m˧˨
hội chùa	hoj˨ˀ˩ʔcuə˧˨
i-ôn âm	i˧˧-on˧˧ɤ̆m˧˧
đấm họng	dɤ̆m˨˦hɔŋ͡m˨ˀ˩ʔ
danh từ	zɛŋ˧˧tɯ˧˨
tổ cầu	to˧˩˨kɤ̆w˧˨
con nít	kɔn˧˧nit˦˥
hưởng ứng	hɯəŋ˧˩˨ɯŋ˨˦
thanh nưa	tʰɛŋ˧˧nɯə˧˧
cọ già là bà lim	kɔ˨ˀ˩ʔza˧˨la˧˨ba˧˨lim˧˧
tôi tối	toj˧˧toj˨˦
ướm	ɯəm˨˦
tiên liệu	tiən˧˧liəw˨ˀ˩ʔ
trung thần	cuŋ͡m˧˧tʰɤ̆n˧˨
ngút trời	ŋut˦˥cɤj˧˨
xổn xoảng	son˧˩˨swaŋ˧˩˨
ắp	ăp˦˥
danh lợi	zɛŋ˧˧lɤj˨ˀ˩ʔ
sấm kí	sɤ̆m˨˦ki˨˦
sâm banh	sɤ̆m˧˧bɛŋ˧˧
tri lễ	ci˧˧le˧ˀ˥
phịch	fik˨ˀ˩
tuyển hầu	twiən˧˩˨hɤ̆w˧˨
xích đế	sik˦˥de˨˦
chạy quẩng	căj˨ˀ˩ʔkwɤ̆ŋ˧˩˨
ngồi bệt	ŋoj˧˨bet˨ˀ˩
treo chức	ceo˧˧cɯk˦˥
cư lễ	kɯ˧˧le˧ˀ˥
dãy	zăj˧ˀ˥
bộ vạt	bo˨ˀ˩ʔvat˨ˀ˩
từ động học	tɯ˧˨doŋ͡m˨ˀ˩ʔhɔk͡p˨ˀ˩
bã xõa	ba˧ˀ˥swa˧ˀ˥
của đội nón đi	kuə˧˩˨doj˨ˀ˩ʔnɔn˨˦di˧˧
chèo sân đình	ceo˧˨sɤ̆n˧˧diŋ˧˨
chia rẽ	ciə˧˧zɛ˧ˀ˥
ờn ợt	ɤn˧˨ɤt˨ˀ˩
di dưỡng	zi˧˧zɯəŋ˧ˀ˥
vượt núi băng ngàn	vɯət˨ˀ˩nuj˨˦băŋ˧˧ŋan˧˨
lưỡi lê	lɯəj˧ˀ˥le˧˧
thanh thoả	tʰɛŋ˧˧tʰwa˧˩˨
thạch động	tʰɛk˨ˀ˩doŋ͡m˨ˀ˩ʔ
trễ biếng	ce˧ˀ˥biəŋ˨˦
dưa lê	zɯə˧˧le˧˧
trải mờ	caj˧˩˨mɤ˧˨
khoăm	xwăm˧˧
cắt cỏ	kăt˦˥kɔ˧˩˨
còn đâu	kɔn˧˨dɤ̆w˧˧
thái dương hệ	tʰaj˨˦zɯəŋ˧˧he˨ˀ˩ʔ
chối kệ	coj˨˦ke˨ˀ˩ʔ
ủ liễu phai đào	u˧˩˨liəw˧ˀ˥faj˧˧daw˧˨
sài đất	saj˧˨dɤ̆t˦˥
môn	mon˧˧
an-te	an˧˧-tɛ˧˧
gọn	ɣɔn˨ˀ˩ʔ
cho xong	cɔ˧˧sɔŋ͡m˧˧
tình tự	tiŋ˧˨tɯ˨ˀ˩ʔ
cào	kaw˧˨
khoa giáp	xwa˧˧zap˦˥
chiếu mệnh	ciəw˨˦meŋ˨ˀ˩ʔ
đâu đấy	dɤ̆w˧˧dɤ̆j˨˦
đảo điện	daw˧˩˨diən˨ˀ˩ʔ
địa thức học	diə˨ˀ˩ʔtʰɯk˦˥hɔk͡p˨ˀ˩
ngăn sông cấm chợ	ŋăn˧˧soŋ͡m˧˧kɤ̆m˨˦cɤ˨ˀ˩ʔ
mồm loa mép giải	mom˧˨lwa˧˧mɛp˦˥zaj˧˩˨
cản phá	kan˧˩˨fa˨˦
chủ nghĩa xã hội	cu˧˩˨ŋiə˧ˀ˥sa˧ˀ˥hoj˨ˀ˩ʔ
cát đen	kat˦˥dɛn˧˧
ngoại giới	ŋwaj˨ˀ˩ʔzɤj˨˦
chăm chắm	căm˧˧căm˨˦
đóng vảy	dɔŋ͡m˨˦văj˧˩˨
sa thạch	sa˧˧tʰɛk˨ˀ˩
trị ngoại pháp quyền	ci˨ˀ˩ʔŋwaj˨ˀ˩ʔfap˦˥kwiɛn˧˨
thập tử nhất sinh	tʰɤ̆p˨ˀ˩tɯ˧˩˨ɲɤ̆t˦˥siŋ˧˧
vinh thân	viŋ˧˧tʰɤ̆n˧˧
diễn đàn	ziən˧ˀ˥dan˧˨
chướng mắt ngang tai	cɯəŋ˨˦măt˦˥ŋaŋ˧˧taj˧˧
đổ xô	do˧˩˨so˧˧
treo cổ	ceo˧˧ko˧˩˨
cửa mái	kɯə˧˩˨maj˨˦
cây có sợi	kɤ̆j˧˧kɔ˨˦sɤj˨ˀ˩ʔ
quốc vụ khanh	kwok͡p˦˥vu˨ˀ˩ʔxɛŋ˧˧
gác tía lầu hồng	ɣak˦˥tiə˨˦lɤ̆w˧˨hoŋ͡m˧˨
dao cày	zaw˧˧kăj˧˨
tớ thầy	tɤ˨˦tʰɤ̆j˧˨
ngông cuồng	ŋoŋ͡m˧˧kuəŋ˧˨
múa gậy trong bị	muə˨˦ɣɤ̆j˨ˀ˩ʔcɔŋ͡m˧˧bi˨ˀ˩ʔ
sởn gai ốc	sɤn˧˩˨ɣaj˧˧ok͡p˦˥
phì phà phì phèo	fi˧˨fa˧˨fi˧˨feo˧˨
lô-gích hình thức	lo˧˧-ɣik˦˥hiŋ˧˨tʰɯk˦˥
giam chấp	zam˧˧cɤ̆p˦˥
đúm	dum˨˦
kĩu cà kĩu kịt	kiw˧ˀ˥ka˧˨kiw˧ˀ˥kit˨ˀ˩
hạ chỉ	ha˨ˀ˩ʔci˧˩˨
mãn tính	man˧ˀ˥tiŋ˨˦
văn liệu	văn˧˧liəw˨ˀ˩ʔ
yêu ma	iəw˧˧ma˧˧
đi đường vòng	di˧˧dɯəŋ˧˨vɔŋ͡m˧˨
