производстволарны	projzwodstwoɫɑrnˈɯ
тынычландырырга	tɯnɯɕɫɑndɯrɯrʁˈɑ
препарат	prepɑrˈɑt
кузгатылды	quzʁɑtɯɫdˈɯ
яшәүчеләрнең	jæʃæwɕelærnˈeŋ
филармониясе	fiɫɑrmonijæsˈe
алмашынучан	ɒɫmɒʃɯnuɕˈɑn
куанычын	quɑnɯɕˈɯn
Канаш	qɒnˈɒʃ
гаҗәпләнерлек	ʁɒʑæplænerlˈek
оештырдылар	oeʃtɯrdɯɫˈɑr
нефтькә	neftʔkˈæ
кесәләреннән	kesælærennˈæn
Хуҗалыкларда	xuʑɑɫɯqɫɑrdˈɑ
аранжировка	ɒrɒnʒirowqˈɑ
Лачын	ɫɒɕˈɯn
ятмыйлар	jɑtmɯjɫˈɑr
самолетларда	sɒmoɫetɫɑrdˈɑ
Чаллысы	ɕɒɫɫɯsˈɯ
Күчмә	kyɕmˈæ
барганлыгын	bɒrʁɒnɫɯʁˈɯn
бәрелешләр	bæreleʃlˈær
Сәгыйдә	sæʁɯjdˈæ
Дәрдемәнднең	dærdemændnˈeŋ
Одноклассники	odnoqɫɑssnikˈi
Былтыр	bɯɫtˈɯr
булдыгыз	buɫdɯʁˈɯz
Тормышының	tormɯʃɯnˈɯŋ
тернәкләнә	ternæklænˈæ
йоктыру	joqtɯrˈu
Көндез	kœndˈez
йөрсәк	jœrsˈæk
җайлаштырылган	ʑɒjɫɒʃtɯrɯɫʁˈɑn
Рим	rˈim
Маргарян	mɒrʁɒrjˈɑn
субъектыннан	subʔeqtɯnnˈɑn
Новосибирскига	nowosibirskiʁˈɑ
автобусларының	ɑwtobusɫɑrɯnˈɯŋ
чукмары	ɕuqmɑrˈɯ
утравы	utrɑwˈɯ
шәһәрчеге	ʃæhærɕeɣˈe
атау	ɒtˈɑw
җилләтеп	ʑillætˈep
Берәүнең	beræwnˈeŋ
җай	ʑˈɒj
поселок	poseɫˈoq
төя	tœjˈæ
укыймы	uqɯjmˈɯ
иттән	ittˈæn
шимбәсендә	ʃimbæsendˈæ
Степанида	stepɑnidˈɑ
алганы	ɒɫʁɒnˈɯ
поэмалары	poemɑɫɑrˈɯ
макияж	mɒqijˈæʒ
Хисамиев	xisɑmiˈew
мисал	misˈɑɫ
җөмләдәге	ʑœmlædæɣˈe
бетәләр	betælˈær
Биредән	biredˈæn
сәламләделәр	sæɫɑmɫædelˈær
субъектлар	subʔeqtɫˈɑr
критерийлары	kriterijɫɑrˈɯ
савытлар	sɑwɯtɫˈɑr
үтсен	ytsˈen
укытудан	uqɯtudˈɑn
гадилек	ʁɒdilˈek
тәравих	tærɑwˈix
капчыкларны	qɒpɕɯqɫɑrnˈɯ
бозучыларны	bozuɕɯɫɑrnˈɯ
йокысыз	joqɯsˈɯz
борчуга	borɕuʁˈɑ
ярымлап	jɑrɯmɫˈɑp
үләбез	ylæbˈez
Еврокомиссия	jɯwroqomissijˈæ
торыла	torɯɫˈɑ
ашамыйча	ɒʃɒmɯjɕˈɑ
революциясе	rewoɫjytsijæsˈe
ялганлап	jɑɫʁɑnɫˈɑp
диварларында	diwɑrɫɑrɯndˈɑ
түбәләре	tybælærˈe
Генрих	ɣenrˈix
Белград	beɫʁrˈɑd
сараена	sɒrɒenˈɑ
РОСТО	rostˈo
Шэньчжэнь	ʃenʔɕʒˈenʔ
рәсмиләштерергә	ræsmilæʃtererɣˈæ
башлангычларда	bɒʃɫɒŋʁɯɕɫɑrdˈɑ
көндәге	kœndæɣˈe
җыену	ʑɯenˈu
йомшаклыгы	jomʃɑqɫɯʁˈɯ
өлгергәнче	œlɣerɣænɕˈe
болыннарны	boɫɯnnɑrnˈɯ
радиода	rɒdiodˈɑ
калкулыклар	qɒɫquɫɯqɫˈɑr
Радмир	rɒdmˈir
киемнән	kiemnˈæn
микъдарын	miqʔdɑrˈɯn
Эчкечелек	eɕkeɕelˈek
Дәрдмәнднең	dærdmændnˈeŋ
теләүләрен	telæwlærˈen
талант	tɒɫˈɒnt
яратмау	jɑrɑtmˈɑw
юыгыз	juɯʁˈɯz
арынгач	ɒrɯŋʁˈɑɕ
мәкальләр	mæqɑɫʔɫˈær
сыерлары	sɯerɫɑrˈɯ
таган	tɒʁˈɒn
үсентеләрне	ysentelærnˈe
мәзһәбендә	mæzhæbendˈæ
троллейбус	troɫɫejbˈus
калдыкларның	qɒɫdɯqɫɑrnˈɯŋ
Одесса	odessˈɑ
Күккә	kykkˈæ
хыялны	xɯjɑɫnˈɯ
Чират	ɕirˈɑt
калырдай	qɒɫɯrdˈɑj
Документның	doqumentnˈɯŋ
тәрбияләнүчеләре	tærbijælænyɕelærˈe
Олжас	oɫʒˈɑs
агулап	ɒʁuɫˈɑp
кипмәгән	kipmæɣˈæn
сагына	sɒʁɯnˈɑ
Айдарны	ɒjdɒrnˈɯ
уртак	urtˈɑq
Калтай	qɒɫtˈɒj
тамаклары	tɒmɒqɫɑrˈɯ
Поповка	popowqˈɑ
Бәрәңгенең	bæræŋɣenˈeŋ
минутларын	minutɫɑrˈɯn
Урамның	urɑmnˈɯŋ
Илсур	iɫsˈur
Кредит	kredˈit
тапкыр	tɒpqˈɯr
реактив	reɑqtˈiw
адәмнең	ɒdæmnˈeŋ
юылган	juɯɫʁˈɑn
аңлаучы	ɒŋɫɑwɕˈɯ
генерал	ɣenerˈɑɫ
республикабыздагы	respubɫiqɑbɯzdɑʁˈɯ
рухтагы	ruxtɑʁˈɯ
сораулардан	sorɑwɫɑrdˈɑn
төсләре	tœslærˈe
башкарасыз	bɒʃqɒrɑsˈɯz
Ихлас	ixɫˈɑs
иттарткычтан	ittɑrtqɯɕtˈɑn
бүлекләрен	byleklærˈen
командаларыннан	qomɑndɑɫɑrɯnnˈɑn
Җыр	ʑˈɯr
Актуаль	ɒqtuˈɑɫʔ
дивизиясе	diwizijæsˈe
борчымый	borɕɯmˈɯj
белгәндер	belɣændˈer
фонтаннар	fontɑnnˈɑr
йолдыз	joɫdˈɯz
кулында	quɫɯndˈɑ
эфир	efˈir
телеграммасы	teleʁrɑmmɑsˈɯ
барудан	bɒrudˈɑn
Хәйруллович	xæjruɫɫowˈiɕ
артканнан	ɒrtqɒnnˈɑn
урыннардагы	urɯnnɑrdɑʁˈɯ
төннәрне	tœnnærnˈe
мәеткә	meːtkˈæ
Камалиева	qɒmɒɫiewˈɑ
Вәкил	wækˈil
галәйһи	ʁɒɫæjhˈi
ыргытып	ɯrʁɯtˈɯp
сәхнәне	sæxnænˈe
дөньям	dœnʔjˈæm
Әсад	æsˈɑd
географиясен	ɣeoʁrɑfijæsˈen
позициясен	pozitsijæsˈen
хиҗаб	xiʑˈɑb
архиепискобы	ɒrxiepisqobˈɯ
өчпочмакларны	œɕpoɕmɑqɫɑrnˈɯ
китергәч	kiterɣˈæɕ
стиле	stilˈe
урманнарын	urmɑnnɑrˈɯn
Типсә	tipsˈæ
бәрәңгеләрен	bæræŋɣelærˈen
Нагаев	nɒʁɒˈew
барышындагы	bɒrɯʃɯndɑʁˈɯ
мөрәҗәгатьләренә	mœræʑæʁɑtʔɫærenˈæ
җыйды	ʑɯjdˈɯ
тоя	tojˈɑ
матурлап	mɒturɫˈɑp
якалы	jɑqɑɫˈɯ
яны	jɑnˈɯ
ә	ˈæ
батырлар	bɒtɯrɫˈɑr
сайтлардан	sɒjtɫɒrdˈɑn
маллар	mɒɫɫˈɒr
гизгән	ɣizɣˈæn
рамнарын	rɒmnɒrˈɯn
халыкчанлыгы	xɒɫɯqɕɑnɫɯʁˈɯ
Үзәндәге	yzændæɣˈe
мөмкиндер	mœmkindˈer
Уенның	uennˈɯŋ
әтигә	ætiɣˈæ
тынычландым	tɯnɯɕɫɑndˈɯm
кибетләрдән	kibetlærdˈæn
очрашкач	oɕrɑʃqˈɑɕ
илчесен	ilɕesˈen
Филүснең	filysnˈeŋ
авылдашларын	ɑwɯɫdɑʃɫɑrˈɯn
белешкән	beleʃkˈæn
үтмәсен	ytmæsˈen
әзермен	æzermˈen
Телебез	telebˈez
язды	jɑzdˈɯ
ясыйсы	jɑsɯjsˈɯ
ачу	ɒɕˈu
Җиңүче	ʑiŋyɕˈe
разрядлы	rɒzrjɑdɫˈɯ
язучылар	jɑzuɕɯɫˈɑr
ташучыларга	tɒʃuɕɯɫɑrʁˈɑ
билне	bilnˈe
бетон	betˈon
гарәб	ʁɒrˈæb
балыкның	bɒɫɯqnˈɯŋ
Уеннан	uennˈɑn
карашны	qɒrɒʃnˈɯ
Өлешчә	œleʃɕˈæ
тилмерә	tilmerˈæ
картаеп	qɒrtɒˈep
геройларына	ɣerojɫɑrɯnˈɑ
юылып	juɯɫˈɯp
документларында	doqumentɫɑrɯndˈɑ
сатучыларны	sɒtuɕɯɫɑrnˈɯ
диалогка	diɑɫoʁqˈɑ
карны	qɒrnˈɯ
ишегалларының	iʃeʁɑɫɫɑrɯnˈɯŋ
хурлый	xurɫˈɯj
Нәзирә	næzirˈæ
федератив	federɑtˈiw
шигыренең	ʃiʁɯrenˈeŋ
өзелеп	œzelˈep
Волгоградның	woɫʁoʁrɑdnˈɯŋ
Хәсрәт	xæsrˈæt
толлары	toɫɫɑrˈɯ
укытучыга	uqɯtuɕɯʁˈɑ
күрелмәгән	kyrelmæɣˈæn
каравыл	qɒrɑwˈɯɫ
Җай	ʑˈɒj
Көнчыгышны	kœnɕɯʁɯʃnˈɯ
чәчәсе	ɕæɕæsˈe
чүлмәкләр	ɕylmæklˈær
яңгыравыклы	jɑŋʁɯrɑwɯqɫˈɯ
тоттым	tottˈɯm
чатындагы	ɕɒtɯndɑʁˈɯ
ире	irˈe
милекнең	mileknˈeŋ
ташлау	tɒʃɫˈɑw
ташламас	tɒʃɫɒmˈɑs
хәмернең	xæmernˈeŋ
урнашыр	urnɑʃˈɯr
хәбәрләрдән	xæbærlærdˈæn
Актүбәдәге	ɒqtybædæɣˈe
җитеп	ʑitˈep
принципиаль	printsipiˈɑɫʔ
сәнәгатьчеләр	sænæʁɑtʔɕelˈær
Тамьян	tɒmʔjˈɑn
ышанычларын	ɯʃɑnɯɕɫɑrˈɯn
туфракны	tufrɑqnˈɯ
механизаторларны	mexɑnizɑtorɫɑrnˈɯ
аренда	ɒrendˈɑ
күрсәтелүен	kyrsætelyˈen
төзербез	tœzerbˈez
коэффициент	qoeffitsiˈent
урамнардан	urɑmnɑrdˈɑn
банкының	bɒnqɯnˈɯŋ
Мидхәтович	midxætowˈiɕ
бактерияләргә	bɒqterijælærɣˈæ
сәнгатебезне	sæŋʁɑtebeznˈe
информацион	informɑtsiˈon
тукып	tuqˈɯp
зурлар	zurɫˈɑr
Быелдан	bɯeɫdˈɑn
игүче	iɣyɕˈe
элә	elˈæ
Чараны	ɕɒrɒnˈɯ
Көтү	kœtˈy
Консерватория	qonserwɑtorijˈæ
юрганга	jurʁɑŋʁˈɑ
Әбелхәер	æbelxˈeːr
баламны	bɒɫɒmnˈɯ
Булачак	buɫɑɕˈɑq
әйтми	æjtmˈi
Колхозның	qoɫxoznˈɯŋ
Сәнгатьтә	sæŋʁɑtʔtˈæ
йә	jˈæ
Бинаның	binɑnˈɯŋ
инспекторына	inspeqtorɯnˈɑ
Куергазы	querʁɑzˈɯ
Кибетләр	kibetlˈær
багаж	bɒʁˈɒʒ
Физика	fiziqˈɑ
тәэсирлерәк	tæesirlerˈæk
хәрби	xærbˈi
тик	tˈik
җитәргә	ʑitærɣˈæ
телефоннарга	telefonnɑrʁˈɑ
абыйлар	ɒbɯjɫˈɑr
табынында	tɒbɯnɯndˈɑ
булмавында	buɫmɑwɯndˈɑ
китерсәң	kitersˈæŋ
бригадага	briʁɑdɑʁˈɑ
Шотландиядә	ʃotɫɑndijædˈæ
яшәсәм	jæʃæsˈæm
енә	jenˈæ
биеклек	bieklˈek
консерваториясен	qonserwɑtorijæsˈen
телефоннары	telefonnɑrˈɯ
ниятне	nijætnˈe
штурм	ʃtˈurm
ФСБның	ˌefˈesbnˈɯŋ
бәхәс	bæxˈæs
плитәләр	plitælˈær
күзәтүче	kyzætyɕˈe
ишек	iʃˈek
теләкләр	telæklˈær
аптырыйм	ɒptɯrˈɯjm
финансларны	finɑnsɫɑrnˈɯ
килененең	kilenenˈeŋ
базарларның	bɒzɒrɫɑrnˈɯŋ
гәүдәләрен	ɣæwdælærˈen
Уратма	urɑtmˈɑ
Ханнанов	xɒnnɒnˈow
вокалы	woqɑɫˈɯ
сугышкан	suʁɯʃqˈɑn
биатлон	biɑtɫˈon
Җәйгә	ʑæjɣˈæ
балаларының	bɒɫɒɫɑrɯnˈɯŋ
субсидияләре	subsidijælærˈe
сугышларында	suʁɯʃɫɑrɯndˈɑ
Кубок	qubˈoq
хупланган	xupɫɑŋʁˈɑn
әйде	æjdˈe
онытмады	onɯtmɑdˈɯ
империалистик	imperiɑɫistˈik
җибәрүчеләр	ʑibæryɕelˈær
Голодец	ʁoɫodˈets
Җырлар	ʑɯrɫˈɑr
һөҗүмнәрдә	hœʑymnærdˈæ
бәхәсләшергә	bæxæslæʃerɣˈæ
Гарәфиев	ʁɒræfiˈew
Фикрәт	fikrˈæt
Хәлбуки	xæɫbuqˈi
Укучыларыбызның	uquɕɯɫɑrɯbɯznˈɯŋ
алыштырыр	ɒɫɯʃtɯrˈɯr
сезнең	seznˈeŋ
мастит	mɒstˈit
проблеманың	probɫemɑnˈɯŋ
гадәттән	ʁɒdættˈæn
тапкандыр	tɒpqɒndˈɯr
Илештә	ileʃtˈæ
ака	ɒqˈɒ
кәррә	kærrˈæ
күтәрүдән	kytærydˈæn
бәйләнеш	bæjlænˈeʃ
сизепме	sizepmˈe
Гыйбаш	ʁɯjbˈɑʃ
ставкасы	stɑwqɑsˈɯ
блокадасы	bɫoqɑdɑsˈɯ
майлар	mɒjɫˈɒr
ямьсез	jæmʔsˈez
Бәйрәкә	bæjrækˈæ
тавышка	tɑwɯʃqˈɑ
Раштуаны	rɒʃtuɑnˈɯ
автомашиналар	ɑwtomɑʃinɑɫˈɑr
Командир	qomɑndˈir
Минзәләдәге	minzælædæɣˈe
икенчесенең	ikenɕesenˈeŋ
тикшерүче	tikʃeryɕˈe
дебют	debjˈyt
уеннарны	uennɑrnˈɯ
тәмамлагач	tæmɑmɫɑʁˈɑɕ
качкан	qɒɕqˈɒn
икегез	ikeɣˈez
пакеты	pɒqetˈɯ
Һәм	hˈæm
мәйданчыгында	mæjdɑnɕɯʁɯndˈɑ
лицеена	litseenˈɑ
Будда	buddˈɑ
симертеп	simertˈep
күрсәттеләр	kyrsættelˈær
күңелләренә	kyŋellærenˈæ
үзеңнән	yzeŋnˈæn
үтерүченең	yteryɕenˈeŋ
билгеләнсә	bilɣelænsˈæ
барганы	bɒrʁɒnˈɯ
илтте	ilttˈe
турысындагы	turɯsɯndɑʁˈɯ
аңлатканча	ɒŋɫɒtqɑnɕˈɑ
сыймаган	sɯjmɑʁˈɑn
шәһәрчеген	ʃæhærɕeɣˈen
Машиналар	mɒʃinɑɫˈɑr
Сатуда	sɒtudˈɑ
ташчы	tɒʃɕˈɯ
Социологик	sotsioɫoʁˈik
калаларына	qɒɫɒɫɑrɯnˈɑ
дусларча	dusɫɑrɕˈɑ
темпларының	tempɫɑrɯnˈɯŋ
шалтырап	ʃɒɫtɯrˈɑp
мирасында	mirɑsɯndˈɑ
диварларга	diwɑrɫɑrʁˈɑ
гүзәле	ɣyzælˈe
Малахов	mɒɫɒxˈow
обойлар	obojɫˈɑr
кайтмаган	qɒjtmɒʁˈɑn
ташның	tɒʃnˈɯŋ
сабыеның	sɒbɯenˈɯŋ
Була	buɫˈɑ
Испаниядән	ispɑnijædˈæn
итмәү	itmˈæw
исеме	isemˈe
бронза	bronzˈɑ
юнәләчәк	jynælæɕˈæk
мизгеленнән	mizɣelennˈæn
слесаре	slesɑrˈe
Хәмәдишин	xæmædiʃˈin
масаеп	mɒsɒˈep
сындырырга	sɯndɯrɯrʁˈɑ
икәнемне	ikænemnˈe
ялгышмаса	jɑɫʁɯʃmɑsˈɑ
Юбилейга	jybilejʁˈɑ
тетрәндерә	tetrænderˈæ
Ранил	rɒnˈil
җитешмәгән	ʑiteʃmæɣˈæn
сынауның	sɯnɑwnˈɯŋ
сәнәгатен	sænæʁɑtˈen
онның	onnˈɯŋ
Ирне	irnˈe
Мәүлемҗан	mæwlemʑˈɑn
аралашуга	ɒrɒɫɑʃuʁˈɑ
Махсус	mɒxsˈus
колаклары	qoɫɑqɫɑrˈɯ
йотарлык	jotɑrɫˈɯq
итүенчә	ityenɕˈæ
канатландырып	qɒnɒtɫɑndɯrˈɯp
юллаучы	juɫɫɑwɕˈɯ
терәлде	terældˈe
Түбә	tybˈæ
тапкырлар	tɒpqɯrɫˈɑr
чәчәкләренә	ɕæɕæklærenˈæ
авыруларының	ɑwɯruɫɑrɯnˈɯŋ
өстәлнең	œstælnˈeŋ
Фойеда	fojedˈɑ
күргәндә	kyrɣændˈæ
басмасын	bɒsmɒsˈɯn
шартлары	ʃɒrtɫɒrˈɯ
кәүсәсе	kæwsæsˈe
открытка	otqrɯtqˈɑ
бирсә	birsˈæ
төзәп	tœzˈæp
Мирхәйдәр	mirxæjdˈær
боз	bˈoz
сәламәтлектән	sæɫɑmætlektˈæn
июненә	ijynenˈæ
янәшәсеннән	jænæʃæsennˈæn
Гәрәевның	ɣæreːwnˈɯŋ
гыйбарәсе	ʁɯjbɑræsˈe
юлыма	juɫɯmˈɑ
ширкәттә	ʃirkættˈæ
йорты	jortˈɯ
баскетболчылар	bɒsqetboɫɕɯɫˈɑr
социализм	sotsiɑɫˈizm
музееннан	muzeennˈɑn
Гарифуллиннар	ʁɒrifuɫɫinnˈɑr
Хәдичәгә	xædiɕæɣˈæ
Төпчек	tœpɕˈek
Кечкенәдән	keɕkenædˈæn
алтысында	ɒɫtɯsɯndˈɑ
гозерен	ʁozerˈen
белдеге	beldeɣˈe
Халит	xɒɫˈit
Габделхәмит	ʁɒbdelxæmˈit
терелгән	terelɣˈæn
теләгеннән	telæɣennˈæn
газларны	ʁɒzɫɒrnˈɯ
Төзүчеләр	tœzyɕelˈær
дигәндер	diɣændˈer
кешелекле	keʃeleklˈe
билгеләгәннәр	bilɣelæɣænnˈær
комплексның	qompɫeqsnˈɯŋ
авырлашты	ɑwɯrɫɑʃtˈɯ
артымы	ɒrtɯmˈɯ
җырдагыча	ʑɯrdɑʁɯɕˈɑ
култамга	quɫtɑmʁˈɑ
Белешмәләр	beleʃmælˈær
Центральная	tsentrɑɫʔnɑjˈɑ
күрүчеләргә	kyryɕelærɣˈæ
Район	rɒjˈon
Лагерьны	ɫɒʁerʔnˈɯ
ялкыны	jɑɫqɯnˈɯ
остазның	ostɑznˈɯŋ
Газ	ʁˈɒz
Ярату	jɑrɑtˈu
утыр	utˈɯr
ялланып	jɑɫɫɑnˈɯp
интегүчеләргә	inteɣyɕelærɣˈæ
имзаларын	imzɑɫɑrˈɯn
басмаларны	bɒsmɒɫɑrnˈɯ
былтыргы	bɯɫtɯrʁˈɯ
Очрашуның	oɕrɑʃunˈɯŋ
Рада	rɒdˈɒ
симпозиум	simpozˈiwm
калканы	qɒɫqɒnˈɯ
Норма	normˈɑ
Табигатьтән	tɒbiʁɑtʔtˈæn
Никитин	nikitˈin
аударган	ɑwdɑrʁˈɑn
пәрдәләр	pærdælˈær
кычкырса	qɯɕqɯrsˈɑ
сөтчелек	sœtɕelˈek
салымның	sɒɫɯmnˈɯŋ
Иделдә	ideldˈæ
Каталония	qɒtɒɫonijˈæ
Валдай	wɒɫdˈɒj
комбайннарының	qombɑjnnɑrɯnˈɯŋ
Егетне	jeɣetnˈe
юрган	jurʁˈɑn
егылган	jɯʁɯɫʁˈɑn
комплектлар	qompɫeqtɫˈɑr
Зөләйха	zœlæjxˈɑ
һәрберебезне	hærberebeznˈe
эшләргә	eʃlærɣˈæ
теләктәшлегендә	telæktæʃleɣendˈæ
окоп	oqˈop
Чаян	ɕɒjˈɑn
сүзебез	syzebˈez
тыгылып	tɯʁɯɫˈɯp
Пышма	pɯʃmˈɑ
АгроМир	ɒʁrˈomˈir
невролог	newroɫˈoʁ
елмаюлары	jɯɫmɑjuɫɑrˈɯ
капчыкка	qɒpɕɯqqˈɑ
маеның	mɒenˈɯŋ
терлекләрдән	terleklærdˈæn
вокалчылар	woqɑɫɕɯɫˈɑr
Тугылым	tuʁɯɫˈɯm
Калашников	qɒɫɒʃniqˈow
Җыентык	ʑɯentˈɯq
Язмышым	jɑzmɯʃˈɯm
кыйммәтләнергә	qɯjmmætlænerɣˈæ
итүчәнлеге	ityɕænleɣˈe
гаиләсез	ʁɒjɫæsˈez
Гыйззәтнең	ʁɯjzzætnˈeŋ
шугалакка	ʃuʁɑɫɑqqˈɑ
озаткач	ozɑtqˈɑɕ
беләсем	belæsˈem
экономияләргә	eqonomijælærɣˈæ
сизәбез	sizæbˈez
мәйдан	mæjdˈɑn
икенчегә	ikenɕeɣˈæ
Урыннарда	urɯnnɑrdˈɑ
Россияле	rossijælˈe
эчемлекнең	eɕemleknˈeŋ
аренасында	ɒrenɑsɯndˈɑ
Казакъстаннан	qɒzɒqʔstɑnnˈɑn
вәгазен	wæʁɑzˈen
Кәбирова	kæbirowˈɑ
предметлардан	predmetɫɑrdˈɑn
китермәдем	kitermædˈem
югалтырга	juʁɑɫtɯrʁˈɑ
карында	qɒrɯndˈɑ
уйнамаган	ujnɑmɑʁˈɑn
бинасына	binɑsɯnˈɑ
шартлаулардан	ʃɒrtɫɑwɫɑrdˈɑn
калмык	qɒɫmˈɯq
юридик	jyridˈik
шәхесебез	ʃæxesebˈez
әзерләп	æzerlˈæp
паспортларын	pɒsportɫɑrˈɯn
Сәяхәт	sæjæxˈæt
били	bilˈi
ишарә	iʃɑrˈæ
Галиуллина	ʁɒɫiwllinˈɑ
уйчан	ujɕˈɑn
Аң	ˈɒŋ
талды	tɒɫdˈɯ
ставкасын	stɑwqɑsˈɯn
Идән	idˈæn
бетүе	betyˈe
урлана	urɫɑnˈɑ
утау	utˈɑw
күрелмәгәнчә	kyrelmæɣænɕˈæ
Содружество	sodruʒestwˈo
ташуы	tɒʃuˈɯ
куандым	quɑndˈɯm
ипле	iplˈe
Студент	studˈent
сүгәләр	syɣælˈær
кузгалак	quzʁɑɫˈɑq
Гвардия	ʁwɒrdijˈæ
Хәйри	xæjrˈi
Ахман	ɒxmˈɒn
ягулыгын	jɑʁuɫɯʁˈɯn
охшап	oxʃˈɑp
эстрада	estrɑdˈɑ
сумкасына	sumqɑsɯnˈɑ
чыганагының	ɕɯʁɑnɑʁɯnˈɯŋ
шөгыльләнгәнен	ʃœʁɯɫʔɫæŋɣænˈen
еламыйча	jɯɫɑmɯjɕˈɑ
барын	bɒrˈɯn
ирексездән	ireksezdˈæn
барулары	bɒruɫɑrˈɯ
колонияләрдә	qoɫonijælærdˈæ
ялгыш	jɑɫʁˈɯʃ
канда	qɒndˈɒ
күркәмлек	kyrkæmlˈek
җыюның	ʑɯjunˈɯŋ
беркетмәдә	berketmædˈæ
динчеләр	dinɕelˈær
продукцияләрен	produqtsijælærˈen
дәреслек	dæreslˈek
какшады	qɒqʃɒdˈɯ
коллективларын	qoɫɫektiwɫɑrˈɯn
Балашиха	bɒɫɒʃixˈɑ
шелтәләп	ʃeltælˈæp
тартуны	tɒrtunˈɯ
бәяләрдән	bæjælærdˈæn
коляска	qoɫjɑsqˈɑ
түбәндәгеләр	tybændæɣelˈær
форумнар	forumnˈɑr
узуынча	uzuɯnɕˈɑ
чапканда	ɕɒpqɒndˈɑ
бүләгенең	bylæɣenˈeŋ
Йола	joɫˈɑ
керешә	kereʃˈæ
Свияжскины	swijæʒskinˈɯ
автобусына	ɑwtobusɯnˈɑ
бозауларга	bozɑwɫɑrʁˈɑ
бүләкләнүчеләр	bylæklænyɕelˈær
Дилемма	dilemmˈɑ
Тәртипле	tærtiplˈe
видеокамера	wideoqɑmerˈɑ
таныштырып	tɒnɯʃtɯrˈɯp
сарказм	sɒrqˈɒzm
җәрәхәтләр	ʑæræxætlˈær
инвентарьлары	inwentɑrʔɫɑrˈɯ
суыта	suɯtˈɑ
чыкмаса	ɕɯqmɑsˈɑ
Шырдан	ʃɯrdˈɑn
Экспедициядә	ekspeditsijædˈæ
Тиен	tiˈen
төркеменең	tœrkemenˈeŋ
үсте	ystˈe
властеның	wɫɒstenˈɯŋ
шурасына	ʃurɑsɯnˈɑ
Әбиемнең	æbiemnˈeŋ
кызганмаган	qɯzʁɑnmɑʁˈɑn
ышандырырга	ɯʃɑndɯrɯrʁˈɑ
яшьләрендәге	jæʃʔlærendæɣˈe
көннәрдән	kœnnærdˈæn
артуның	ɒrtunˈɯŋ
үзгәрде	yzɣærdˈe
дисәк	disˈæk
ифрат	ifrˈɑt
Фатирны	fɒtirnˈɯ
итергә	iterɣˈæ
бомбалы	bombɑɫˈɯ
картиналарында	qɒrtinɑɫɑrɯndˈɑ
моментта	momenttˈɑ
михнәтләрен	mixnætlærˈen
шовинистлар	ʃowinistɫˈɑr
әһәмиятен	æhæmijætˈen
көчәйтелә	kœɕæjtelˈæ
Шнейдер	ʃnejdˈer
участковые	uɕɑstqowɯˈe
тукталабыз	tuqtɑɫɑbˈɯz
образларын	obrɑzɫɑrˈɯn
нәүбәттән	næwbættˈæn
гаделсезлеккә	ʁɒdelsezlekkˈæ
кайтасым	qɒjtɒsˈɯm
Тирескә	tireskˈæ
конференциясендә	qonferentsijæsendˈæ
колониягә	qoɫonijæɣˈæ
могҗизалар	moʁʑizɑɫˈɑr
читән	ɕitˈæn
телевидениесенә	telewideniesenˈæ
ирек	irˈek
усак	usˈɑq
сораудан	sorɑwdˈɑn
йолдызны	joɫdɯznˈɯ
берседер	bersedˈer
башлары	bɒʃɫɒrˈɯ
агымына	ɒʁɯmɯnˈɑ
Фондның	fondnˈɯŋ
татарчадан	tɒtɒrɕɑdˈɑn
кайтачаклар	qɒjtɒɕɑqɫˈɑr
Таврия	tɑwrijˈæ
балансны	bɒɫɒnsnˈɯ
алдынгылардан	ɒɫdɯŋʁɯɫɑrdˈɑn
осетин	osetˈin
көчләренә	kœɕlærenˈæ
саграк	sɒʁrˈɒq
түзәр	tyzˈær
фатирларга	fɒtirɫɑrʁˈɑ
гр	ɣˌeˈer
спикеры	spikerˈɯ
түләмә	tylæmˈæ
Литваның	litwɑnˈɯŋ
җимерергә	ʑimererɣˈæ
күлмәкләр	kylmæklˈær
яшьләр	jæʃʔlˈær
өзеклек	œzeklˈek
очыртып	oɕɯrtˈɯp
борчу	borɕˈu
салмаска	sɒɫmɒsqˈɑ
героик	ɣerˈojq
шарына	ʃɒrɯnˈɑ
тынычлану	tɯnɯɕɫɑnˈu
газетабыз	ʁɒzetɑbˈɯz
Сәлам	sæɫˈɑm
Иделбуе	ideɫbuˈe
Аналарның	ɒnɒɫɑrnˈɯŋ
Юләр	jylˈær
барылучы	bɒrɯɫuɕˈɯ
буза	buzˈɑ
көтәсен	kœtæsˈen
стресс	strˈess
Ларионова	ɫɒrionowˈɑ
Бурычлылар	burɯɕɫɯɫˈɑr
Мега	meʁˈɑ
Кудашев	qudɑʃˈew
төбәкләрен	tœbæklærˈen
балкып	bɒɫqˈɯp
язмаларымны	jɑzmɑɫɑrɯmnˈɯ
торышта	torɯʃtˈɑ
хезмәтчәннәренә	xezmætɕænnærenˈæ
НГДУ	ŋʁdˈu
Тәрҗеманов	tærʑemɑnˈow
уйланулары	ujɫɑnuɫɑrˈɯ
Кемнең	kemnˈeŋ
проблемадан	probɫemɑdˈɑn
сүрелде	syreldˈe
начарлыкка	nɒɕɒrɫɯqqˈɑ
эшкәрткәннәр	eʃkærtkænnˈær
иңгә	iŋɣˈæ
билгеләсә	bilɣelæsˈæ
